1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 418.87872),(2 566.8811),(3 609.02484),(4 624.34235),(5 653.6617),(6 672.20764),(7 683.73785),(8 691.1347),(9 698.1339),(10 697.1736),(11 709.75366),(12 719.76306),(13 718.9844),(14 715.5175),(15 736.08636),(16 732.18976),(17 731.3433),(18 730.9457),(19 735.6491),(20 742.68024),(21 749.84607),(22 744.4959),(23 737.51715),(24 737.2372),(25 737.2229),(26 746.8514),(27 752.2974),(28 760.7318),(29 762.2555),(30 761.0391),(31 760.025),(32 760.2455),(33 759.04175),(34 755.169),(35 762.2164),(36 759.6099),(37 766.00464),(38 762.36615),(39 765.06586),(40 765.3529),(41 759.1156),(42 764.82733),(43 774.01764),(44 773.6596),(45 779.17194),(46 800.9994),(47 786.406),(48 777.97095),(49 771.9446),(50 765.80096),(51 770.40375),(52 768.1932),(53 773.1552),(54 775.1824),(55 787.2209),(56 799.82007),(57 802.0822),(58 792.09454),(59 794.33746),(60 784.8844),(61 780.8625),(62 772.6252),(63 782.3906),(64 775.93146),(65 775.66284),(66 771.1596),(67 772.9299),(68 782.15826),(69 794.8523),(70 795.1291),(71 789.00134),(72 783.6598),(73 782.5172),(74 783.2086),(75 788.9436),(76 784.17035),(77 782.1254),(78 784.15814),(79 780.2637),
(1 406.56277),(2 553.88367),(3 588.2605),(4 598.1158),(5 623.64996),(6 645.5567),(7 647.6986),(8 649.639),(9 659.1038),(10 667.1138),(11 680.1164),(12 697.74963),(13 699.0207),(14 692.9749),(15 696.61414),(16 705.52234),(17 694.7719),(18 690.4775),(19 699.3188),(20 708.735),(21 708.23456),(22 715.913),(23 702.8836),(24 705.3989),(25 711.6348),(26 721.63434),(27 729.2778),(28 726.0449),(29 728.1083),(30 728.4387),(31 721.45166),(32 721.2978),(33 716.51245),(34 710.085),(35 714.84076),(36 698.93085),(37 704.2346),(38 712.1797),(39 711.03516),(40 721.57544),(41 729.7772),(42 740.9772),(43 727.50934),(44 728.60205),(45 739.2734),(46 758.0859),(47 759.9571),(48 750.7694),(49 750.0577),(50 745.22424),(51 751.4795),(52 759.1469),(53 760.9851),(54 764.67487),(55 769.3406),(56 772.7958),(57 780.77484),(58 779.434),(59 769.769),(60 763.3318),(61 773.32623),(62 762.7905),(63 762.9713),(64 755.8474),(65 763.1389),(66 767.5911),(67 759.08966),(68 760.1426),(69 752.4101),(70 752.44617),(71 749.99335),(72 746.605),(73 745.86554),(74 742.48553),(75 750.551),(76 746.22375),(77 746.1553),(78 755.3194),(79 748.6544),
(1 397.80832),(2 546.22076),(3 583.1549),(4 601.2302),(5 626.2273),(6 641.6409),(7 638.16016),(8 641.8043),(9 641.75256),(10 655.1602),(11 670.7118),(12 671.2507),(13 666.4935),(14 663.96234),(15 674.2443),(16 690.741),(17 680.408),(18 687.7354),(19 685.0497),(20 674.47015),(21 674.2104),(22 680.28754),(23 683.0843),(24 685.56476),(25 688.1499),(26 692.3533),(27 708.89746),(28 710.66187),(29 710.7918),(30 703.03735),(31 696.4493),(32 698.7552),(33 696.3187),(34 699.7087),(35 698.82684),(36 713.5422),(37 711.0621),(38 706.54926),(39 718.1292),(40 717.99774),(41 722.1981),(42 718.7769),(43 716.1809),(44 721.72797),(45 716.5451),(46 726.44135),(47 722.6267),(48 723.0901),(49 717.01434),(50 716.7856),(51 717.1516),(52 719.37286),(53 708.26373),(54 716.57184),(55 719.3494),(56 726.5172),(57 736.6355),(58 731.5893),(59 731.0187),(60 719.51385),(61 721.535),(62 718.55536),(63 733.44147),(64 726.95795),(65 730.31934),(66 732.9195),(67 726.94745),(68 732.0419),(69 734.6152),(70 736.3107),(71 738.6669),(72 737.69794),(73 735.94006),(74 736.01086),(75 736.7131),(76 741.0523),(77 740.2009),(78 734.6659),(79 732.0873),
(1 392.02777),(2 537.4885),(3 573.504),(4 586.562),(5 608.6083),(6 625.1627),(7 622.8685),(8 621.97046),(9 623.3378),(10 641.66693),(11 662.1153),(12 661.5212),(13 657.383),(14 670.9895),(15 678.6235),(16 682.8863),(17 678.3165),(18 677.5725),(19 688.7203),(20 692.3437),(21 689.49945),(22 684.07764),(23 689.6082),(24 683.4582),(25 693.5982),(26 686.4161),(27 704.00214),(28 694.66425),(29 705.3483),(30 704.88367),(31 697.548),(32 698.70074),(33 698.4306),(34 689.64465),(35 693.2178),(36 703.89374),(37 691.5308),(38 695.6544),(39 696.693),(40 694.04535),(41 702.2854),(42 710.0294),(43 700.9394),(44 699.7915),(45 700.63367),(46 706.4306),(47 708.067),(48 704.008),(49 699.51697),(50 696.1655),(51 710.931),(52 715.9307),(53 709.1298),(54 715.09106),(55 721.62286),(56 720.97986),(57 720.18225),(58 725.6839),(59 719.5721),(60 713.3548),(61 725.0503),(62 715.9538),(63 704.8783),(64 708.4063),(65 711.99554),(66 713.8939),(67 712.3702),(68 724.1057),(69 717.57355),(70 721.4245),(71 725.6708),(72 727.78656),(73 723.82935),(74 724.786),(75 720.2238),(76 722.4408),(77 717.4421),(78 721.64764),(79 720.935),
(1 381.90955),(2 511.02658),(3 554.30164),(4 573.00275),(5 592.80835),(6 605.96625),(7 600.8044),(8 601.55914),(9 606.1423),(10 609.5217),(11 620.99255),(12 618.9606),(13 619.22174),(14 629.08746),(15 638.1054),(16 638.8536),(17 633.3238),(18 637.74176),(19 646.45984),(20 658.4722),(21 659.3437),(22 654.3664),(23 661.47894),(24 675.4972),(25 669.07574),(26 670.01624),(27 678.7024),(28 680.7343),(29 674.9172),(30 664.16125),(31 665.5118),(32 670.25543),(33 669.9698),(34 661.20233),(35 672.7817),(36 674.065),(37 671.2859),(38 679.0885),(39 687.89886),(40 683.4197),(41 682.06976),(42 684.019),(43 683.8174),(44 675.1816),(45 676.46246),(46 685.7358),(47 681.8772),(48 685.97614),(49 682.6499),(50 678.90894),(51 686.3074),(52 684.4158),(53 682.69525),(54 691.9695),(55 691.78),(56 685.7087),(57 688.5059),(58 695.79346),(59 701.41736),(60 685.4414),(61 679.6804),(62 674.00366),(63 687.68695),(64 675.9318),(65 678.3832),(66 685.92737),(67 678.67926),(68 681.69147),(69 686.88556),(70 674.6359),(71 663.56683),(72 674.3323),(73 675.4526),(74 674.209),(75 670.32477),(76 678.21954),(77 682.9665),(78 691.03406),(79 682.8101),
(1 374.01892),(2 496.50067),(3 538.7205),(4 557.5399),(5 577.45245),(6 590.94116),(7 595.93555),(8 594.09656),(9 598.0283),(10 622.3862),(11 634.13684),(12 625.3886),(13 622.232),(14 621.43713),(15 629.73444),(16 636.53564),(17 631.33325),(18 628.1832),(19 628.67365),(20 632.19476),(21 626.37177),(22 627.5498),(23 633.50183),(24 642.8942),(25 639.3792),(26 629.2025),(27 638.41693),(28 639.4094),(29 640.59033),(30 646.7072),(31 643.2392),(32 653.7811),(33 652.4069),(34 642.1313),(35 647.801),(36 648.50085),(37 646.39935),(38 646.0375),(39 655.2676),(40 653.04474),(41 663.9357),(42 670.28876),(43 665.46936),(44 662.5298),(45 663.8246),(46 670.7431),(47 665.1411),(48 668.9454),(49 661.6438),(50 664.62897),(51 667.52454),(52 664.7223),(53 669.35077),(54 667.8833),(55 669.4619),(56 672.00775),(57 671.8007),(58 671.13007),(59 669.77124),(60 660.79517),(61 664.6248),(62 658.8274),(63 665.14764),(64 674.8159),(65 677.8619),(66 668.8935),(67 665.4027),(68 678.33795),(69 670.4679),(70 667.2558),(71 679.75775),(72 680.13684),(73 685.2932),(74 679.82745),(75 680.5246),(76 672.44037),(77 671.4349),(78 682.26324),(79 688.2456),
(1 367.22214),(2 480.1849),(3 519.8663),(4 533.67755),(5 561.8232),(6 568.3696),(7 571.06195),(8 582.81146),(9 593.58264),(10 607.4878),(11 609.89325),(12 608.54535),(13 622.61957),(14 620.5094),(15 628.4213),(16 622.97766),(17 623.87384),(18 633.25415),(19 629.1799),(20 631.8798),(21 629.60706),(22 635.31934),(23 641.60345),(24 639.62036),(25 641.0809),(26 637.54346),(27 654.41516),(28 656.2149),(29 648.677),(30 642.3489),(31 646.35077),(32 656.18713),(33 646.41974),(34 641.6614),(35 635.34314),(36 640.44305),(37 639.8044),(38 650.00085),(39 662.3165),(40 659.00037),(41 661.51056),(42 656.7575),(43 645.5487),(44 657.0727),(45 655.67065),(46 657.9178),(47 657.62744),(48 647.81665),(49 646.6302),(50 649.9001),(51 657.88995),(52 664.61096),(53 661.4646),(54 661.00476),(55 659.27704),(56 660.8094),(57 657.7121),(58 656.66565),(59 655.9883),(60 646.7737),(61 650.04517),(62 652.55817),(63 660.4379),(64 658.098),(65 661.41724),(66 663.6726),(67 655.9337),(68 658.6603),(69 655.9449),(70 646.94116),(71 645.0111),(72 651.4542),(73 653.1191),(74 654.07086),(75 654.54565),(76 649.5638),(77 647.6031),(78 647.6598),(79 647.37836),
(1 360.0291),(2 476.0424),(3 514.3438),(4 539.10205),(5 548.6887),(6 565.9165),(7 568.2857),(8 569.1421),(9 572.61194),(10 589.245),(11 591.9335),(12 590.22705),(13 593.8637),(14 598.66315),(15 607.4553),(16 609.26154),(17 604.46515),(18 610.27045),(19 607.1119),(20 615.1126),(21 612.7691),(22 612.6423),(23 617.6869),(24 623.70135),(25 614.00916),(26 619.77124),(27 633.2976),(28 641.5781),(29 636.27423),(30 637.5673),(31 635.6757),(32 647.0507),(33 640.7414),(34 637.1978),(35 643.2059),(36 651.0696),(37 644.2069),(38 649.27637),(39 655.8622),(40 648.3741),(41 647.59863),(42 647.24304),(43 643.74634),(44 647.3662),(45 648.5587),(46 658.8488),(47 652.70636),(48 640.693),(49 639.6753),(50 638.9242),(51 653.0017),(52 656.7613),(53 649.71173),(54 648.1363),(55 649.90576),(56 647.7933),(57 647.6411),(58 650.28375),(59 650.77576),(60 642.6675),(61 646.20795),(62 648.3485),(63 642.3918),(64 630.27686),(65 627.7306),(66 632.4165),(67 634.1457),(68 642.158),(69 648.53357),(70 650.50916),(71 642.2523),(72 649.8256),(73 644.78827),(74 639.967),(75 643.74786),(76 650.9821),(77 653.2782),(78 650.9557),(79 643.7093),
(1 350.92224),(2 450.84128),(3 490.517),(4 511.02023),(5 534.15137),(6 537.66284),(7 538.92053),(8 541.15466),(9 546.4734),(10 552.07336),(11 552.8804),(12 558.81244),(13 562.70807),(14 570.2767),(15 575.8646),(16 575.5552),(17 569.08185),(18 575.11615),(19 584.0923),(20 585.0504),(21 578.54565),(22 593.2909),(23 600.2385),(24 602.6591),(25 594.00574),(26 595.4681),(27 601.1992),(28 600.9689),(29 602.8149),(30 600.41925),(31 596.5406),(32 608.55115),(33 607.43896),(34 613.63104),(35 617.42975),(36 608.14874),(37 611.0468),(38 608.7858),(39 609.96936),(40 606.8482),(41 601.518),(42 606.5929),(43 605.4038),(44 600.0774),(45 609.58746),(46 620.52844),(47 613.48145),(48 606.6102),(49 613.3729),(50 610.2316),(51 626.38525),(52 628.23987),(53 627.85156),(54 632.8032),(55 631.1184),(56 626.0497),(57 626.8992),(58 622.44604),(59 630.71204),(60 625.468),(61 623.0429),(62 620.5298),(63 627.49),(64 623.7999),(65 623.0066),(66 627.025),(67 625.7369),(68 616.8828),(69 615.9973),(70 611.6893),(71 607.3392),(72 606.2187),(73 600.8182),(74 601.4159),(75 602.4486),(76 614.8755),(77 620.7508),(78 626.8193),(79 622.9585),
(1 345.68405),(2 454.19067),(3 495.01932),(4 514.8136),(5 528.3872),(6 540.60486),(7 545.4823),(8 552.97736),(9 556.1889),(10 572.7529),(11 571.0097),(12 565.25183),(13 575.26764),(14 584.34485),(15 587.21783),(16 578.8029),(17 577.1856),(18 580.0744),(19 583.7542),(20 586.4037),(21 574.67725),(22 583.6015),(23 589.2754),(24 590.2086),(25 594.5726),(26 596.8996),(27 605.2252),(28 614.0346),(29 607.70593),(30 604.20483),(31 599.8443),(32 605.6479),(33 599.3637),(34 596.1165),(35 603.6616),(36 605.6566),(37 605.3066),(38 608.9591),(39 613.3137),(40 611.9561),(41 610.1881),(42 613.6375),(43 616.8218),(44 626.0251),(45 625.57245),(46 621.1196),(47 614.23553),(48 616.7294),(49 612.6135),(50 611.2449),(51 619.9509),(52 618.5498),(53 622.3244),(54 619.3759),(55 611.94086),(56 623.4236),(57 615.54266),(58 617.8085),(59 619.2905),(60 616.8212),(61 609.2864),(62 601.61676),(63 605.38965),(64 609.306),(65 605.42163),(66 602.2085),(67 613.3906),(68 620.7001),(69 621.5579),(70 622.796),(71 615.92755),(72 610.48596),(73 604.82214),(74 598.27673),(75 610.0958),(76 620.5256),(77 613.3632),(78 619.081),(79 608.6759),
(1 333.45544),(2 446.87598),(3 478.22937),(4 491.0083),(5 505.9357),(6 522.23663),(7 523.7708),(8 537.27954),(9 537.4889),(10 548.61444),(11 553.8818),(12 549.3879),(13 547.6543),(14 553.4197),(15 557.4474),(16 558.5313),(17 542.446),(18 550.9504),(19 543.22144),(20 551.8122),(21 552.33734),(22 565.1879),(23 569.98456),(24 575.46515),(25 572.97217),(26 570.58673),(27 583.8072),(28 584.79846),(29 578.47296),(30 579.4882),(31 574.766),(32 579.86237),(33 582.32837),(34 576.7098),(35 583.64856),(36 580.0644),(37 582.28314),(38 583.8056),(39 578.6105),(40 580.13617),(41 586.2844),(42 586.24945),(43 590.683),(44 598.70624),(45 594.64545),(46 599.3434),(47 597.191),(48 602.32806),(49 604.43945),(50 598.68915),(51 605.0714),(52 599.94824),(53 588.8415),(54 598.65955),(55 595.50073),(56 587.64557),(57 588.4617),(58 588.93933),(59 594.2232),(60 589.3257),(61 583.8711),(62 584.85645),(63 589.8071),(64 591.9975),(65 590.91565),(66 597.1054),(67 597.6126),(68 605.8806),(69 601.3533),(70 602.2984),(71 601.05554),(72 597.7422),(73 594.6586),(74 583.7032),(75 593.37866),(76 591.89716),(77 590.76306),(78 589.6331),(79 592.52124),
(1 326.17276),(2 427.8359),(3 461.51132),(4 481.3368),(5 494.1178),(6 509.29504),(7 508.36716),(8 516.54767),(9 516.8895),(10 523.56586),(11 528.11316),(12 532.5939),(13 527.80273),(14 536.01074),(15 542.68665),(16 545.19794),(17 542.6305),(18 545.6349),(19 542.997),(20 548.55524),(21 554.6206),(22 550.8853),(23 548.5283),(24 549.60956),(25 552.9992),(26 553.3432),(27 560.02734),(28 560.45874),(29 559.21014),(30 568.49646),(31 556.0952),(32 558.71967),(33 556.76965),(34 551.74817),(35 545.3255),(36 547.60205),(37 551.5476),(38 555.82434),(39 564.72125),(40 565.4083),(41 566.8671),(42 568.00836),(43 564.1454),(44 565.8103),(45 563.93823),(46 563.41144),(47 557.4718),(48 565.26886),(49 562.96344),(50 558.4977),(51 561.42865),(52 564.79193),(53 563.3268),(54 565.5674),(55 565.5735),(56 567.46765),(57 560.21356),(58 562.97736),(59 562.0426),(60 560.75116),(61 558.32666),(62 566.8509),(63 570.32007),(64 573.7772),(65 570.21063),(66 571.981),(67 570.06464),(68 572.7286),(69 566.1015),(70 565.1462),(71 564.2707),(72 566.28186),(73 564.2435),(74 555.43097),(75 561.022),(76 561.27484),(77 555.2669),(78 562.11365),(79 558.63696),
(1 320.13922),(2 411.14862),(3 446.47217),(4 469.41577),(5 488.1813),(6 504.82657),(7 506.31348),(8 509.2275),(9 510.83157),(10 513.43866),(11 519.0945),(12 522.87756),(13 525.327),(14 518.70294),(15 530.74194),(16 533.64136),(17 527.1003),(18 534.88),(19 534.84753),(20 533.36334),(21 532.55804),(22 532.05444),(23 541.99585),(24 539.65405),(25 532.6224),(26 540.72437),(27 535.48083),(28 530.71295),(29 530.7259),(30 539.1389),(31 535.23584),(32 537.1948),(33 530.92554),(34 531.9507),(35 533.6459),(36 533.0096),(37 529.0507),(38 536.19135),(39 547.07086),(40 547.29736),(41 546.9983),(42 548.0107),(43 554.2178),(44 562.6534),(45 558.6451),(46 561.01227),(47 558.7956),(48 565.1787),(49 570.7805),(50 560.8469),(51 562.8257),(52 561.99243),(53 558.7667),(54 562.3883),(55 553.8237),(56 557.191),(57 553.2433),(58 553.8182),(59 553.7534),(60 547.3382),(61 552.816),(62 544.7687),(63 551.17),(64 552.13257),(65 545.69775),(66 552.15594),(67 547.8497),(68 550.95276),(69 546.18744),(70 545.1176),(71 548.94586),(72 547.43097),(73 549.9488),(74 545.2184),(75 547.28485),(76 547.9924),(77 553.1303),(78 551.2435),(79 557.93567),
(1 317.7638),(2 402.81918),(3 433.78326),(4 449.20013),(5 464.45233),(6 480.6578),(7 482.15613),(8 488.338),(9 486.1207),(10 494.1951),(11 496.6324),(12 495.11777),(13 500.61652),(14 507.04068),(15 514.8908),(16 510.0959),(17 508.8415),(18 514.53937),(19 514.1737),(20 507.7035),(21 505.72482),(22 504.37024),(23 506.9763),(24 506.8541),(25 506.54398),(26 518.2918),(27 531.60614),(28 531.84705),(29 526.5145),(30 530.7218),(31 526.61163),(32 522.1245),(33 528.1254),(34 527.6933),(35 526.1828),(36 519.95135),(37 529.3024),(38 533.06824),(39 535.864),(40 542.44543),(41 542.30756),(42 544.9154),(43 540.1532),(44 543.56506),(45 542.0097),(46 548.3589),(47 554.72656),(48 555.54047),(49 553.9022),(50 549.7701),(51 548.64526),(52 552.1584),(53 544.91345),(54 545.1612),(55 547.01044),(56 549.3186),(57 546.77203),(58 550.9283),(59 542.1353),(60 539.2854),(61 550.13385),(62 545.1422),(63 546.09393),(64 545.39856),(65 541.93414),(66 542.69727),(67 543.5299),(68 542.5522),(69 537.23645),(70 543.7881),(71 543.9206),(72 546.7598),(73 550.4013),(74 549.83594),(75 555.1899),(76 553.3536),(77 546.0661),(78 553.3477),(79 551.1703),
(1 317.88055),(2 406.59668),(3 437.29242),(4 459.13895),(5 470.67413),(6 484.54654),(7 488.473),(8 482.71768),(9 486.41772),(10 498.91135),(11 499.8207),(12 497.79092),(13 496.75635),(14 504.2194),(15 513.6336),(16 514.31085),(17 515.53235),(18 517.2979),(19 518.97577),(20 517.5972),(21 522.76135),(22 520.31085),(23 515.5853),(24 512.063),(25 509.9574),(26 517.4944),(27 521.59344),(28 517.1873),(29 517.22125),(30 519.25995),(31 518.7596),(32 520.5183),(33 520.8548),(34 520.2828),(35 522.79785),(36 517.3339),(37 526.3217),(38 525.52423),(39 538.38025),(40 535.07465),(41 545.06085),(42 544.82245),(43 541.93726),(44 544.78485),(45 538.9459),(46 540.76495),(47 542.2083),(48 547.52765),(49 537.29767),(50 541.9312),(51 547.17285),(52 546.54877),(53 546.00433),(54 555.9769),(55 550.20374),(56 555.06555),(57 553.77594),(58 551.84955),(59 548.2592),(60 550.40265),(61 552.21124),(62 547.68304),(63 543.1654),(64 540.0552),(65 535.754),(66 532.3008),(67 534.5597),(68 534.3052),(69 531.49194),(70 535.8873),(71 533.6361),(72 530.8367),(73 530.61865),(74 527.4849),(75 541.41486),(76 536.52014),(77 541.7237),(78 543.4598),(79 537.041),
(1 300.50308),(2 390.27615),(3 416.28006),(4 435.66434),(5 453.20926),(6 466.11603),(7 466.08057),(8 463.98636),(9 466.68088),(10 479.66245),(11 474.98508),(12 474.50842),(13 474.4415),(14 483.7971),(15 487.85217),(16 489.93362),(17 486.493),(18 499.18625),(19 500.60107),(20 492.72333),(21 496.79578),(22 498.27283),(23 501.15536),(24 499.6018),(25 497.7799),(26 504.6031),(27 508.10092),(28 518.3737),(29 519.2901),(30 517.5005),(31 512.7015),(32 511.66956),(33 522.3005),(34 524.79724),(35 520.9676),(36 516.9574),(37 523.687),(38 519.29205),(39 521.013),(40 519.30316),(41 519.98975),(42 525.924),(43 519.5612),(44 517.8252),(45 516.19),(46 519.4872),(47 523.49927),(48 522.42114),(49 524.76263),(50 517.22864),(51 521.8647),(52 523.08746),(53 519.8347),(54 519.60004),(55 520.5113),(56 514.24506),(57 519.4712),(58 528.0023),(59 526.1509),(60 527.40497),(61 531.3629),(62 532.81793),(63 533.35425),(64 531.6303),(65 528.6706),(66 526.8361),(67 525.3624),(68 528.67206),(69 526.555),(70 524.0988),(71 524.93945),(72 521.40247),(73 520.4831),(74 524.9232),(75 533.98254),(76 536.6226),(77 540.9407),(78 542.8185),(79 534.9637),
(1 302.53345),(2 384.13272),(3 417.3629),(4 429.09933),(5 441.97388),(6 450.4107),(7 456.08923),(8 461.92258),(9 465.17938),(10 473.6021),(11 469.12238),(12 472.85596),(13 478.49734),(14 481.69165),(15 483.8939),(16 479.53625),(17 477.67563),(18 485.4599),(19 480.65155),(20 482.6692),(21 487.074),(22 485.63953),(23 487.25137),(24 485.5667),(25 490.0541),(26 507.21576),(27 499.21884),(28 499.691),(29 497.53513),(30 508.6851),(31 507.30295),(32 509.14508),(33 507.93533),(34 508.5124),(35 512.9316),(36 511.48303),(37 515.3999),(38 512.3988),(39 507.84012),(40 504.63925),(41 508.99902),(42 516.873),(43 517.78064),(44 520.7571),(45 519.61017),(46 522.3648),(47 524.00916),(48 520.574),(49 515.5698),(50 517.88306),(51 527.15186),(52 523.5451),(53 521.3759),(54 522.5861),(55 518.1224),(56 519.01416),(57 518.8721),(58 523.2661),(59 522.72565),(60 521.1111),(61 512.7586),(62 513.41486),(63 517.7711),(64 517.2888),(65 513.8028),(66 518.35187),(67 510.9701),(68 516.822),(69 512.3668),(70 518.52106),(71 518.9712),(72 513.5857),(73 510.9483),(74 508.62207),(75 521.0418),(76 518.5222),(77 514.7776),(78 509.2666),(79 503.5612),
(1 292.2512),(2 371.33868),(3 398.0947),(4 413.46368),(5 433.07208),(6 438.57556),(7 443.98312),(8 455.54214),(9 452.2091),(10 459.6195),(11 451.67368),(12 456.30563),(13 462.77863),(14 465.76587),(15 463.4713),(16 466.08456),(17 460.86942),(18 465.48462),(19 466.35703),(20 470.9165),(21 470.64868),(22 474.7106),(23 484.82672),(24 477.73734),(25 477.27216),(26 479.73047),(27 487.07315),(28 484.4127),(29 485.59537),(30 489.57516),(31 489.11252),(32 479.9036),(33 480.65564),(34 482.79276),(35 486.77695),(36 480.5733),(37 479.41943),(38 479.6305),(39 483.48923),(40 481.45416),(41 483.37344),(42 479.92685),(43 484.2971),(44 490.3145),(45 498.10776),(46 501.88812),(47 496.16046),(48 491.43405),(49 482.0495),(50 481.45874),(51 487.0959),(52 488.832),(53 496.5998),(54 496.9683),(55 497.73914),(56 497.90918),(57 499.17844),(58 500.01443),(59 500.70093),(60 491.8688),(61 489.99274),(62 496.5291),(63 497.0571),(64 488.77563),(65 493.2102),(66 498.35226),(67 491.68384),(68 495.2179),(69 498.5531),(70 498.95364),(71 492.41922),(72 492.0591),(73 488.69763),(74 488.09143),(75 495.00592),(76 500.78528),(77 500.77045),(78 501.8962),(79 494.29575),
(1 284.9698),(2 358.6656),(3 385.2241),(4 400.6086),(5 411.6669),(6 416.41284),(7 418.4189),(8 425.37695),(9 428.66354),(10 430.84146),(11 432.48975),(12 433.38162),(13 440.15198),(14 444.49896),(15 445.5421),(16 444.77466),(17 445.88403),(18 449.19614),(19 445.8279),(20 448.09796),(21 452.7171),(22 453.66287),(23 451.88315),(24 450.75787),(25 457.33685),(26 461.08212),(27 464.27277),(28 460.18378),(29 462.69623),(30 462.48798),(31 462.60098),(32 459.14487),(33 465.73953),(34 461.8991),(35 466.0389),(36 462.42715),(37 465.55823),(38 470.42438),(39 471.15912),(40 470.39212),(41 470.55826),(42 483.05704),(43 477.11203),(44 475.38828),(45 477.1079),(46 479.53033),(47 482.1644),(48 481.04004),(49 479.99304),(50 479.5008),(51 479.8616),(52 484.65665),(53 483.76724),(54 478.29504),(55 482.86572),(56 483.00525),(57 482.20547),(58 485.38),(59 484.9605),(60 485.29086),(61 484.46188),(62 484.51703),(63 485.37384),(64 485.71588),(65 484.2274),(66 489.06903),(67 486.23248),(68 491.755),(69 490.40265),(70 491.2266),(71 486.05188),(72 479.91278),(73 471.96014),(74 473.1596),(75 478.9051),(76 485.55646),(77 480.86215),(78 484.6109),(79 477.13837),
