1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11318.243),(2 26004.072),(3 44472.793),(4 66381.79),(5 83993.61),(6 104241.23),(7 110052.51),(8 119084.71),(9 133296.25),(10 154832.25),(11 182932.25),(12 202344.63),(13 229645.95),(14 257340.05),(15 285033.47),(16 333954.44),(17 371033.75),(18 423139.1),(19 460662.25),(20 500269.9),(21 549736.3),(22 586024.75),(23 630790.56),(24 673712.8),(25 721991),(26 764532.7),(27 803794.3),(28 858210),(29 897865.94),(30 948474.2),(31 985412.5),(32 1016980.56),(33 1059672),(34 1095673.5),(35 1140570.5),(36 1167289),(37 1190530.6),(38 1235026.8),(39 1268781.1),(40 1302742.5),(41 1323851.6),(42 1365496),(43 1397022.4),(44 1442685),(45 1503936.5),(46 1563686.5),(47 1633374.1),(48 1674221.9),(49 1732480.4),(50 1804350.1),(51 1874795.6),(52 1955462),(53 2016612),(54 2107194.8),(55 2175397),(56 2247765.8),(57 2338388.3),(58 2407371.8),(59 2504090.8),(60 2581645.5),(61 2655582.3),(62 2738020.5),(63 2785559),(64 2873742),(65 2939448),(66 3020762),(67 3083396),(68 3147998),(69 3241521),(70 3310084.8),(71 3406582.3),(72 3472531.3),(73 3532798.8),(74 3601309),(75 3625804),(76 3694026.8),(77 3738297.3),(78 3805349.3),(79 3858499.3),
(1 22114.383),(2 65115.934),(3 114577.49),(4 155132.8),(5 180388.63),(6 191751.22),(7 196225.02),(8 204253.48),(9 213261),(10 224919.84),(11 231859.17),(12 236839.05),(13 239199.16),(14 242629.27),(15 246664.84),(16 251070.77),(17 253564.52),(18 250719),(19 243374.44),(20 234702.5),(21 229899.63),(22 228790.56),(23 229320.13),(24 230970.95),(25 231035.23),(26 231279.16),(27 231562.44),(28 234238.9),(29 242359.7),(30 253929.77),(31 262372.53),(32 266208.03),(33 260554.44),(34 250588.11),(35 242047.13),(36 240012.48),(37 242165.61),(38 245104.66),(39 245531.73),(40 241618.61),(41 236524.94),(42 234635.77),(43 234772.06),(44 241251.83),(45 247292.66),(46 251529.17),(47 252405.3),(48 249548),(49 241833.89),(50 231191.06),(51 222734.13),(52 218611.13),(53 219722.23),(54 223606.7),(55 229406.2),(56 235628.94),(57 235627.48),(58 231643.13),(59 222448.1),(60 210114.11),(61 203755.34),(62 203355.44),(63 210499.73),(64 221725.95),(65 230260.44),(66 232244.33),(67 232342.56),(68 231482.55),(69 234515.8),(70 240577.73),(71 244865.55),(72 245807.78),(73 243174.95),(74 236611.61),(75 230263.45),(76 229638.8),(77 234415.28),(78 240977.39),(79 241854.02),
(1 24604.387),(2 71150),(3 122738.07),(4 165057.27),(5 185528.19),(6 184952.36),(7 184788.5),(8 190753.81),(9 201629.5),(10 215138.9),(11 223711.11),(12 221827.88),(13 217027.16),(14 215713.94),(15 221904.06),(16 231668.44),(17 242499.33),(18 246928.92),(19 240587.52),(20 232052.77),(21 225303.4),(22 222359.56),(23 222537.4),(24 222831.38),(25 220773.22),(26 217621.47),(27 219514.83),(28 226726.44),(29 237005.69),(30 243335.23),(31 244593.64),(32 242117.81),(33 238683.44),(34 235347.63),(35 232828.63),(36 230204.9),(37 227044.84),(38 221224.25),(39 218635.28),(40 219539.58),(41 223109.56),(42 226816.72),(43 226397.38),(44 227154.92),(45 230300.9),(46 236929.53),(47 242971.38),(48 247359.23),(49 243239.53),(50 233827.17),(51 225889.92),(52 222803.33),(53 223234.98),(54 224474.5),(55 227229.72),(56 226939.5),(57 221253.89),(58 214271.66),(59 206651.58),(60 196438.28),(61 192398.73),(62 191374.44),(63 194662.95),(64 197962.69),(65 199620.98),(66 197231.08),(67 192395.58),(68 190708.38),(69 191145.45),(70 196546.77),(71 204362.3),(72 210627.6),(73 206620.55),(74 196908.28),(75 189859.92),(76 188298.17),(77 193405.69),(78 202074.05),(79 206859.5),
(1 20012.031),(2 57745.387),(3 100743.586),(4 137808.05),(5 158355.7),(6 164073.13),(7 164638.5),(8 170008.08),(9 177502.84),(10 186545.33),(11 191880.72),(12 191045.23),(13 188382.75),(14 186402.25),(15 189240.58),(16 198067.61),(17 210384.58),(18 219451.33),(19 220976.05),(20 218143.61),(21 211818.94),(22 206345.5),(23 201959.95),(24 197917.06),(25 196127.42),(26 196355.05),(27 202549.06),(28 212204.9),(29 220248.14),(30 221240.28),(31 221456.38),(32 220982.5),(33 223929.95),(34 229329.25),(35 231926.73),(36 230033.13),(37 224694.5),(38 216500.02),(39 210409.48),(40 209434.5),(41 213208.23),(42 217324.77),(43 219292.17),(44 219990.81),(45 220272.81),(46 219874.66),(47 219172.75),(48 216682.14),(49 212319.45),(50 202581.98),(51 197081.23),(52 193628.42),(53 193759.25),(54 194728.66),(55 195712.6),(56 195751.63),(57 194280.13),(58 193598.83),(59 190341.84),(60 185079.28),(61 182409.7),(62 182633.13),(63 185793.02),(64 190274.67),(65 193664.44),(66 192156.73),(67 189266.02),(68 187674.16),(69 187526.25),(70 189898.61),(71 193492.83),(72 195061.7),(73 192371.69),(74 187236.28),(75 183867.13),(76 182562.17),(77 184573.5),(78 185762.77),(79 183350.44),
(1 18228.732),(2 51986.816),(3 89559.59),(4 121008.79),(5 139536.02),(6 146778.97),(7 149915.86),(8 156630.72),(9 165059.05),(10 175214.13),(11 180736.28),(12 184460),(13 185099.38),(14 185689.63),(15 188043.84),(16 190928.63),(17 195430.16),(18 198280.13),(19 198199.75),(20 195426.13),(21 191099.81),(22 187810.45),(23 185352.2),(24 183417.25),(25 183976.61),(26 185465.11),(27 187981.2),(28 188142.84),(29 189477.06),(30 190003.66),(31 189610.39),(32 195520.88),(33 200487.11),(34 207774.58),(35 214333.6),(36 217159.27),(37 216778.25),(38 212363.08),(39 206432.13),(40 201894.92),(41 199320.66),(42 197737.72),(43 197122.22),(44 198734.08),(45 196980.78),(46 193698.72),(47 189607.27),(48 185128.38),(49 181743.14),(50 177117.31),(51 172981.05),(52 169802.81),(53 168035.2),(54 169163.38),(55 170884.52),(56 174495.84),(57 177402.81),(58 178895.73),(59 177870.06),(60 178495.42),(61 179540.2),(62 183077.25),(63 184958.45),(64 187073.19),(65 189511.98),(66 190971.2),(67 191306.48),(68 192922.55),(69 193648.28),(70 193207.39),(71 194365.89),(72 197752.58),(73 201171.02),(74 204049.02),(75 203720.66),(76 199585.53),(77 193924),(78 189379.92),(79 186584.33),
(1 20286.379),(2 58130.727),(3 100355.234),(4 132636.83),(5 146524.95),(6 149957.39),(7 152505.34),(8 159323.1),(9 168659.44),(10 178734.61),(11 182157.61),(12 182006.14),(13 182635.6),(14 183113.22),(15 184999.61),(16 188853.73),(17 194532.89),(18 196799.39),(19 196528.36),(20 192015.19),(21 186054.47),(22 182619.9),(23 181070.83),(24 182168.78),(25 182223.11),(26 180374.5),(27 177787.6),(28 172955.53),(29 170945.66),(30 171804.88),(31 176598.58),(32 183439.47),(33 189209.1),(34 193693.1),(35 192475.25),(36 190175.19),(37 189299.17),(38 186416.02),(39 182888.28),(40 177488.55),(41 172968.4),(42 171209.73),(43 173904.56),(44 178509.73),(45 178755.66),(46 175948.89),(47 167423.56),(48 159330.61),(49 159647.28),(50 160699.42),(51 164572.03),(52 169664.75),(53 173849.72),(54 177636.48),(55 180376.5),(56 181552.3),(57 182139.75),(58 181787.39),(59 180081.19),(60 179778.7),(61 179975.98),(62 179284.28),(63 179848.97),(64 184025.38),(65 186868.55),(66 186045.5),(67 184152.48),(68 178594.75),(69 172416.7),(70 169042.19),(71 171294.05),(72 179981.78),(73 188330.1),(74 192008.33),(75 188451.67),(76 182207.67),(77 183583.45),(78 190813.47),(79 193983.88),
(1 20607.018),(2 57770.703),(3 98197.73),(4 130987.586),(5 149497.36),(6 156663.16),(7 158005.45),(8 159504.88),(9 162074.06),(10 167611.27),(11 173624.5),(12 178840),(13 182087.66),(14 185102.36),(15 187285.58),(16 186311.34),(17 185354.5),(18 183295.34),(19 180268.36),(20 179289.34),(21 178131.1),(22 179313.66),(23 180558.66),(24 182178.39),(25 181305.33),(26 176132.97),(27 170753.5),(28 165916.69),(29 164024.52),(30 164806.36),(31 170445.58),(32 177835.69),(33 184263.78),(34 187258.22),(35 183316.6),(36 176303.34),(37 171717.47),(38 169000.53),(39 169613.86),(40 172103.56),(41 174701.39),(42 174783.17),(43 175688.53),(44 176684.72),(45 176253.84),(46 173335.33),(47 169046.42),(48 167696.42),(49 171139.13),(50 174083.19),(51 177003.88),(52 181234.22),(53 184874.81),(54 186056.55),(55 187615.9),(56 190087.34),(57 193169.94),(58 194106.94),(59 192154.83),(60 190858.84),(61 192023.77),(62 194216.83),(63 196542.02),(64 198178.34),(65 195794.77),(66 190144.9),(67 185293.66),(68 180465.88),(69 174756.8),(70 170305.03),(71 169351.42),(72 174773.83),(73 181842.55),(74 186216.66),(75 186904.95),(76 185442.73),(77 184438.31),(78 184907.28),(79 186317.72),
(1 19511.525),(2 55706.82),(3 95667.45),(4 127105.63),(5 143358.61),(6 148730.47),(7 151058.64),(8 156034.83),(9 163725.42),(10 173401.55),(11 182063.66),(12 187929.11),(13 189698.1),(14 189028.22),(15 186890.34),(16 184281.2),(17 183610.48),(18 183403.53),(19 182243.66),(20 179130.1),(21 174012.92),(22 171284.27),(23 171709.17),(24 174013.89),(25 174030.22),(26 170578.58),(27 166726.67),(28 165117.64),(29 166736.13),(30 167603.92),(31 169991.03),(32 174410.38),(33 176597.55),(34 178297.92),(35 177182.92),(36 174398.94),(37 173386.67),(38 174923.72),(39 180055.55),(40 183704.88),(41 184174.06),(42 179370.27),(43 172994.13),(44 169080.81),(45 167282.22),(46 168697.75),(47 169946.11),(48 168581.78),(49 169228.39),(50 167205.38),(51 165309.7),(52 165607.08),(53 169430.13),(54 172507.38),(55 176550.67),(56 180103.7),(57 182258.55),(58 183439.47),(59 183557.34),(60 181921.36),(61 181473.16),(62 181993.02),(63 186272.55),(64 190583.8),(65 192170.45),(66 188603.27),(67 183437.02),(68 176245.98),(69 170062.58),(70 167284.67),(71 170607.06),(72 176994.9),(73 183561.08),(74 185793.56),(75 184670.84),(76 181311.61),(77 178650.44),(78 178156.25),(79 180750),
(1 19292.254),(2 55143.465),(3 94491.27),(4 124250.39),(5 137298.86),(6 142786.9),(7 145830.17),(8 149639.17),(9 154122.53),(10 159989.22),(11 165933.98),(12 171577.48),(13 175518.34),(14 175669.88),(15 173318.55),(16 168339.6),(17 165296.66),(18 165413.56),(19 167898.53),(20 170158.31),(21 170820.66),(22 170056.7),(23 169677.9),(24 170086.77),(25 170546.17),(26 165943.27),(27 162420.48),(28 158263.4),(29 155958.75),(30 156661.94),(31 161203.98),(32 169011.13),(33 175954.1),(34 179866.14),(35 178221.75),(36 175164.17),(37 172597.39),(38 169848.48),(39 167727.55),(40 166338.64),(41 165856.88),(42 161253.8),(43 155978.86),(44 150068.95),(45 146535.22),(46 145421.56),(47 145634.3),(48 145900.34),(49 146243.61),(50 145465.75),(51 146226.38),(52 148492.64),(53 152923.33),(54 157282.56),(55 164155.64),(56 172678.03),(57 178244.19),(58 177566.44),(59 172310.53),(60 168100.19),(61 166837.98),(62 170065.06),(63 172798.73),(64 171946.72),(65 171652.56),(66 170818.13),(67 169888.73),(68 167656.5),(69 163535.52),(70 159130.92),(71 158037.61),(72 160157.27),(73 162662.48),(74 162466.23),(75 161608.4),(76 160311.64),(77 160212.11),(78 162258.28),(79 167818.19),
(1 19825.781),(2 56267.133),(3 95066.18),(4 122123.125),(5 132293.11),(6 137198.95),(7 142589.33),(8 150595.86),(9 157674.67),(10 162611.28),(11 164890.53),(12 167696.22),(13 172413.66),(14 175088.61),(15 174654.58),(16 167392.53),(17 161139.58),(18 160240.88),(19 163714.05),(20 168392.13),(21 173511.02),(22 175850.58),(23 173090.69),(24 171253.27),(25 170459.72),(26 167519.34),(27 163626.2),(28 159404.28),(29 158302.98),(30 159332.94),(31 163246.34),(32 169065.55),(33 172596.89),(34 173772.14),(35 172746.8),(36 171544.9),(37 171331.31),(38 168690.02),(39 164658.8),(40 161775.02),(41 158739.02),(42 154864.22),(43 152310.23),(44 150342.83),(45 149953.31),(46 151346.52),(47 151994.95),(48 152835.75),(49 152440.2),(50 153288.08),(51 157615.25),(52 162188.13),(53 167512.06),(54 172105.58),(55 176587.88),(56 182079.78),(57 183135.19),(58 180574.66),(59 176398.17),(60 173451.84),(61 174247.95),(62 179988.31),(63 184458.28),(64 184255.61),(65 181602.08),(66 178315.63),(67 175339.61),(68 173096.94),(69 170542.64),(70 169334.58),(71 169242.14),(72 168845.9),(73 168663.56),(74 166272.47),(75 165485.3),(76 163504.95),(77 162115.75),(78 162751.58),(79 167752.06),
(1 18790.951),(2 52935.89),(3 91449.984),(4 120165),(5 132426.98),(6 135038.64),(7 136716.19),(8 140135.33),(9 146465.88),(10 153142.25),(11 158054.39),(12 161033.88),(13 162490.81),(14 160820.4),(15 157380.55),(16 153012.33),(17 149081.44),(18 147678.53),(19 149317.64),(20 151189.77),(21 152505.44),(22 153112.36),(23 150485.94),(24 148119.56),(25 146337),(26 145166.9),(27 146201.34),(28 146938.48),(29 146169.73),(30 143332.1),(31 143582.48),(32 146691.98),(33 151671.88),(34 156528.84),(35 158637.44),(36 160652.23),(37 158825.14),(38 154363.02),(39 152133.06),(40 152557.78),(41 153101.75),(42 151843.47),(43 148966.86),(44 145140.8),(45 143657.86),(46 146398.22),(47 149060.13),(48 152218.72),(49 152613.69),(50 151948.38),(51 150834.13),(52 149354.39),(53 151042.05),(54 154817.55),(55 157935.48),(56 163314.56),(57 164237.9),(58 161976.4),(59 159450.4),(60 155987.6),(61 153660.81),(62 154037.45),(63 156807.06),(64 160256.1),(65 163446.94),(66 164434.52),(67 163668),(68 163804.42),(69 163564.83),(70 162973.86),(71 163727.75),(72 165347.3),(73 166148.9),(74 164980.44),(75 165827.48),(76 165372.03),(77 166164.73),(78 169331.17),(79 169122.66),
(1 20014.64),(2 55656.816),(3 92967.336),(4 119562.516),(5 131132.2),(6 135340.31),(7 139449.63),(8 146510.42),(9 153785.11),(10 159855.42),(11 163266.38),(12 168771.27),(13 174527.66),(14 178462.48),(15 179641.16),(16 178454.14),(17 175298.77),(18 171362.56),(19 170224.81),(20 170204.48),(21 168387.1),(22 165850.06),(23 164204.63),(24 163561.2),(25 162860.03),(26 161631.23),(27 159999.72),(28 157563.75),(29 154985.03),(30 152888.84),(31 154924.25),(32 160105.88),(33 163746.69),(34 164361.47),(35 163646.25),(36 163764.19),(37 162480.63),(38 161874.75),(39 161437.13),(40 161182.6),(41 158938.42),(42 154818.19),(43 152765.06),(44 151130.03),(45 153448.94),(46 158163.84),(47 162298.58),(48 166081.1),(49 167503.63),(50 164259.94),(51 160361.8),(52 158757),(53 161185.31),(54 165722.31),(55 171001.9),(56 175118.42),(57 176185.1),(58 175882.6),(59 175631.61),(60 175534.98),(61 175563.94),(62 175121.97),(63 176719.3),(64 179760.28),(65 179648.27),(66 178454.34),(67 177204.3),(68 176726.45),(69 175987.89),(70 176330.9),(71 176508.11),(72 178209.94),(73 179422.28),(74 178079.03),(75 178679.89),(76 178881.27),(77 177216.88),(78 173882.27),(79 170477.53),
(1 18629.164),(2 51455.402),(3 85384.66),(4 110710.11),(5 124554.586),(6 129679.945),(7 132269.81),(8 135210.97),(9 137912.48),(10 144870.52),(11 154362.77),(12 165618.5),(13 172642.83),(14 173668.94),(15 170907.36),(16 166430.52),(17 163579.6),(18 160592.89),(19 159851.61),(20 160735.92),(21 160737.02),(22 158979.89),(23 156733.64),(24 155319.78),(25 155247.13),(26 155224.39),(27 154402.17),(28 152851.42),(29 151868.78),(30 151683.5),(31 151474.64),(32 151785.8),(33 151635.03),(34 153800.1),(35 156027.94),(36 158341.31),(37 159243.14),(38 157380.44),(39 155251.34),(40 152527.77),(41 148726.13),(42 145305.45),(43 143598.34),(44 144119.52),(45 147088.39),(46 149950.94),(47 153456.55),(48 157554.73),(49 159444.95),(50 158435.39),(51 155393.44),(52 151628.39),(53 151485.78),(54 154338.86),(55 157184.89),(56 162077.27),(57 166679.64),(58 170743.6),(59 172880.61),(60 172891.22),(61 171172.7),(62 169902.66),(63 171549.81),(64 173922.3),(65 176488.61),(66 176250.69),(67 174618.16),(68 171675.92),(69 169859.06),(70 170431.03),(71 169953.89),(72 171246.98),(73 173516.38),(74 175053.83),(75 176748.67),(76 175590.56),(77 173884.97),(78 171832.98),(79 170479.63),
(1 17772.322),(2 48156.926),(3 79341.055),(4 101535.66),(5 112196.52),(6 115857.96),(7 118427.12),(8 122682.08),(9 126407.54),(10 132343.52),(11 138623.39),(12 146531.08),(13 152473.77),(14 154382.17),(15 151789.05),(16 145525.58),(17 141321.97),(18 139125.2),(19 139581.05),(20 139014.98),(21 136825.75),(22 135118.16),(23 134836.31),(24 137874.69),(25 141074.16),(26 141634.42),(27 140096.78),(28 138258.36),(29 138263.9),(30 138820.58),(31 139460.36),(32 140095.22),(33 140823.34),(34 142062.58),(35 142445.2),(36 142817.48),(37 144352.58),(38 146357.89),(39 149135.39),(40 149359.83),(41 149013.42),(42 148539.95),(43 148132.9),(44 146100.3),(45 144094.75),(46 144006.13),(47 145981.89),(48 148452.14),(49 149581.95),(50 147946.72),(51 145363.81),(52 141259.48),(53 139260.98),(54 136062.52),(55 135943.5),(56 138360.4),(57 143661.17),(58 149732),(59 153544.94),(60 155350.11),(61 157424.25),(62 159450.23),(63 160125.97),(64 158917.19),(65 156976),(66 154695.44),(67 155131.86),(68 154737.02),(69 153098.64),(70 151401.28),(71 149103.97),(72 148962.58),(73 151015.25),(74 153845.89),(75 156926.39),(76 158079.58),(77 157922.83),(78 155562.9),(79 153411.83),
(1 18128.945),(2 48603.668),(3 78427.09),(4 99998.484),(5 109145.85),(6 111269.03),(7 113102.53),(8 119332.56),(9 127685.5),(10 136124.11),(11 142279.52),(12 147462.19),(13 150903.69),(14 152012.23),(15 151856.14),(16 150404.06),(17 148571.13),(18 145834.72),(19 146232.69),(20 147042.94),(21 147021.42),(22 147163.22),(23 146572.58),(24 147287.3),(25 147360.6),(26 146979.72),(27 145748.11),(28 144968.11),(29 144640.06),(30 144026.9),(31 143749.08),(32 141788.1),(33 140363.67),(34 139810.97),(35 138409.83),(36 137759.58),(37 141671.61),(38 145290.89),(39 147979.78),(40 148520.14),(41 149024.72),(42 148706.83),(43 151149.23),(44 152297.3),(45 153896.86),(46 156009.67),(47 156148.7),(48 155568.53),(49 157052.17),(50 158368.19),(51 158385.64),(52 156498.92),(53 151906.17),(54 144553.16),(55 140779.86),(56 141981.6),(57 147907.14),(58 156020.64),(59 161778.94),(60 165686.36),(61 168360.13),(62 170028.9),(63 169602.7),(64 168906.17),(65 168707.22),(66 168994.81),(67 171677.08),(68 172602.52),(69 170215.97),(70 166649.86),(71 161402.03),(72 160124.1),(73 161596.63),(74 162883.11),(75 163481.11),(76 162524.58),(77 161558.81),(78 160898.81),(79 160514.44),
(1 18000.72),(2 48264.547),(3 77204.71),(4 97105.99),(5 106151.95),(6 109138.72),(7 111763.266),(8 116480.87),(9 122391.09),(10 128798.17),(11 130590.87),(12 131449.55),(13 132573.03),(14 132930.94),(15 132382.77),(16 128964.15),(17 125454.71),(18 123287.76),(19 127129.47),(20 129551.58),(21 130375.05),(22 129757.26),(23 127543.19),(24 128849.125),(25 132151.95),(26 134564.06),(27 133061.63),(28 129199.62),(29 126393.72),(30 126340.06),(31 127140.15),(32 129236.77),(33 129771.055),(34 130208.984),(35 129061.35),(36 127699.234),(37 131055.05),(38 136795.97),(39 142910.77),(40 146284.52),(41 148554.75),(42 152124.48),(43 156485.56),(44 158225.3),(45 156505.25),(46 154492.34),(47 153474.95),(48 154263.97),(49 155723.31),(50 156743.92),(51 153987.84),(52 149191.55),(53 143653.55),(54 139068.03),(55 135520.78),(56 134888.73),(57 135958.67),(58 140067.39),(59 144649.36),(60 148951.86),(61 150875.14),(62 151022.44),(63 150749.73),(64 150488.63),(65 150516.42),(66 150250.9),(67 152311.64),(68 154821.22),(69 154918.36),(70 153540.64),(71 150034.7),(72 146404.88),(73 145385.06),(74 145292.38),(75 146164.7),(76 145831.33),(77 144621.73),(78 142437.77),(79 142261.6),
(1 17988.395),(2 47458.207),(3 76184.09),(4 95044.03),(5 103591.1),(6 107772.99),(7 111688.79),(8 116062.64),(9 119814.44),(10 124147.64),(11 126206.84),(12 127020.82),(13 125834.82),(14 123653.88),(15 123930.25),(16 123867.81),(17 122452.484),(18 121310.805),(19 124475.19),(20 127671.7),(21 129019.234),(22 130623.266),(23 131708.27),(24 132940.92),(25 132369.52),(26 130406.42),(27 128704.875),(28 128648.25),(29 131582.2),(30 133781.19),(31 132542.63),(32 131619.33),(33 131271.64),(34 132578.14),(35 133182.13),(36 132119.38),(37 132913.28),(38 135261.7),(39 138644.55),(40 140254.28),(41 141275.17),(42 142491.47),(43 142906.55),(44 142412.31),(45 140088.83),(46 139253.84),(47 139107.55),(48 139615.08),(49 138637.45),(50 137234.64),(51 138009.31),(52 138507.44),(53 137105.72),(54 134531.19),(55 132988.05),(56 132833.08),(57 135371.2),(58 141743.53),(59 148973.58),(60 154025.63),(61 156032.34),(62 155959.16),(63 156271.73),(64 156478.28),(65 157293.95),(66 156930.3),(67 158212.19),(68 159385.23),(69 158315.38),(70 157961.95),(71 155281.06),(72 151306.02),(73 147188.22),(74 145387.14),(75 143786.27),(76 142270.1),(77 140452.39),(78 138131.78),(79 136877.02),
(1 17626.283),(2 44894.223),(3 69622.695),(4 86700.59),(5 93796.69),(6 99715.02),(7 106626.055),(8 113480.7),(9 117693.76),(10 120362.016),(11 122651.14),(12 125747.95),(13 126371.91),(14 125210.28),(15 123724.34),(16 121173.336),(17 121233.46),(18 123984.945),(19 127214.46),(20 130188.15),(21 131116.52),(22 132537.08),(23 134171.86),(24 136225.13),(25 134607.17),(26 133670.64),(27 134796.95),(28 135541.06),(29 134856.67),(30 134612.6),(31 134063.52),(32 134367.02),(33 134273.58),(34 134936.73),(35 134034.84),(36 134703.55),(37 136490.7),(38 133883.84),(39 130461.88),(40 127935.29),(41 127297.45),(42 128896.695),(43 129274.72),(44 127178.25),(45 125897.81),(46 126359.734),(47 127217.15),(48 127617.586),(49 125787.914),(50 125040.805),(51 126603.336),(52 127984.266),(53 129406.1),(54 129176.77),(55 127354.11),(56 126589.805),(57 127795.67),(58 132160.1),(59 136844.4),(60 141036.86),(61 143819.56),(62 145094.94),(63 146058.94),(64 143830.5),(65 141850.67),(66 140858.16),(67 143865.33),(68 146415.13),(69 145617.08),(70 142554.02),(71 140145.53),(72 139839.25),(73 138879.77),(74 135169.66),(75 132228.39),(76 129700.42),(77 127493.88),(78 125559.62),(79 124130.53),
