1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 106478.49),(2 377899.9),(3 804687),(4 1396136.9),(5 2112030.8),(6 2963478.8),(7 3938670.8),(8 5013668),(9 6117737.5),(10 7273166.5),(11 8483147),(12 9767647),(13 11123201),(14 12580329),(15 14328632),(16 16126892),(17 18048850),(18 20146202),(19 22387046),(20 24863394),(21 27638638),(22 30502486),(23 33709250),(24 37022540),(25 40255840),(26 43617804),(27 46784292),(28 50210900),(29 53753732),(30 57278692),(31 61072750),(32 65094484),(33 69401590),(34 73796456),(35 78414904),(36 83270350),(37 88294344),(38 93496990),(39 98730744),(40 103801280),(41 108730824),(42 113420030),(43 117974250),(44 122281630),(45 126310530),(46 130282730),(47 134039900),(48 138108290),(49 142027780),(50 145568030),(51 149479360),(52 153200130),(53 156597840),(54 160160960),(55 163159840),(56 165954510),(57 168324820),(58 170684590),(59 172697580),(60 174312720),(61 175593420),(62 176609600),(63 177287890),(64 177776480),(65 178122190),(66 178398600),(67 178690580),(68 179256830),(69 179134900),(70 179102480),(71 179466700),(72 179815040),(73 179921090),(74 180672180),(75 181345330),(76 182264780),(77 183219020),(78 184517250),(79 185826740),
(1 11548.016),(2 15447.124),(3 16558.006),(4 17590.426),(5 17989.76),(6 17724.244),(7 18334.422),(8 18964.057),(9 19353.734),(10 19558.244),(11 19756.367),(12 19841.654),(13 20308.256),(14 20603.336),(15 20753.252),(16 21177.27),(17 21225.105),(18 21145.432),(19 21428.14),(20 21694.887),(21 22099.408),(22 21894.459),(23 22063.2),(24 22281.879),(25 23006.186),(26 23208.99),(27 23182.871),(28 23175.799),(29 23775.648),(30 23798.945),(31 23750.438),(32 23619.871),(33 23906.307),(34 23813.99),(35 23496.309),(36 24010.61),(37 24132.139),(38 23602.137),(39 23805.66),(40 23882.969),(41 24214.729),(42 24413.025),(43 24596.492),(44 24745.23),(45 24429.424),(46 24543.938),(47 23927.314),(48 24072.434),(49 23716.037),(50 23408.023),(51 23472.824),(52 23971.018),(53 24156.352),(54 24023.9),(55 23378.299),(56 23379.77),(57 23049.236),(58 23200.469),(59 23335.986),(60 23641.098),(61 23730.725),(62 24032.975),(63 23617.498),(64 23164.863),(65 22956.22),(66 23412.156),(67 23588.57),(68 22972.67),(69 22874.094),(70 23122.943),(71 23308.223),(72 23320.002),(73 23526.002),(74 23866.893),(75 23495.756),(76 23745.816),(77 23313.648),(78 23223.852),(79 23953.479),
(1 11810.089),(2 15566.806),(3 16675.482),(4 18112.031),(5 19074.1),(6 18878.322),(7 18532.127),(8 19155.334),(9 19776.908),(10 20346.932),(11 20301.846),(12 20287.775),(13 20889.586),(14 20482.682),(15 21132.643),(16 21719.014),(17 21523.316),(18 21712.846),(19 21613.002),(20 22020.031),(21 22211.416),(22 21801.713),(23 21919.303),(24 21979.623),(25 22432.717),(26 22383.889),(27 22568.18),(28 22848.025),(29 22975.389),(30 22936.46),(31 22616.447),(32 22723.951),(33 23087.666),(34 23093.846),(35 23023.064),(36 23168.07),(37 23211.717),(38 23180.092),(39 23582.375),(40 23628.432),(41 23853.914),(42 23593.213),(43 24099.008),(44 23998.771),(45 23950.63),(46 24176.24),(47 23975.068),(48 24265.64),(49 24508.986),(50 23981.627),(51 23917.766),(52 23754.51),(53 23654.727),(54 23755.373),(55 23682.258),(56 23930.88),(57 23561.672),(58 23728.438),(59 23552.697),(60 23228.432),(61 23166.94),(62 23391.193),(63 23475.563),(64 23321.13),(65 23126.139),(66 23189.78),(67 23491.135),(68 23542.547),(69 23596.68),(70 23647.912),(71 23708.047),(72 23666.682),(73 23918.615),(74 24046.264),(75 23782.266),(76 24017.748),(77 24167.627),(78 24046.086),(79 24375.21),
(1 11580.205),(2 15006.116),(3 16026.482),(4 17284.002),(5 18914.023),(6 19168.61),(7 19424.846),(8 19496.33),(9 19721.67),(10 19952.182),(11 19990.203),(12 20228.4),(13 20843.773),(14 20431.775),(15 20920.104),(16 21612.264),(17 21204.271),(18 21217.957),(19 21145.953),(20 21613.21),(21 21658.46),(22 21976.912),(23 21811.977),(24 22233.568),(25 22441.707),(26 22268.674),(27 22445.82),(28 22628.521),(29 22305.58),(30 22070.678),(31 21973.42),(32 21734.445),(33 22350.986),(34 22782.41),(35 22952.209),(36 23055.252),(37 23044.434),(38 23313.613),(39 23476.05),(40 24114.535),(41 24317.178),(42 23845.045),(43 24085.688),(44 23909.133),(45 23634.133),(46 23300.275),(47 23602.68),(48 23626.36),(49 23315.244),(50 23391.91),(51 23347.434),(52 23416.994),(53 23348.576),(54 23469.457),(55 24152.24),(56 23794.322),(57 23791.531),(58 24216.064),(59 24015.244),(60 23572.072),(61 23619.912),(62 23828.783),(63 23644.678),(64 23524.293),(65 23604.61),(66 23759.7),(67 23843.402),(68 23656.154),(69 23942.547),(70 24140.014),(71 23948.852),(72 23952.807),(73 24167.008),(74 24247.113),(75 23699.285),(76 23869.51),(77 23603.408),(78 23527.773),(79 23628.682),
(1 11434.995),(2 14927.107),(3 15548.667),(4 15660.128),(5 16606.81),(6 17037.465),(7 17448.893),(8 17606.18),(9 18312.031),(10 18724.436),(11 19083.549),(12 18851.25),(13 19236.549),(14 19516.238),(15 20212.078),(16 20685.617),(17 20678.598),(18 20771.375),(19 20846.535),(20 21386.303),(21 21694.523),(22 21305.088),(23 20891.002),(24 21121.31),(25 21472.715),(26 21773.477),(27 21290.637),(28 21448.717),(29 21581.951),(30 21534.574),(31 21246.543),(32 21316.197),(33 21667.428),(34 21952.635),(35 21813.87),(36 21562.023),(37 22187.658),(38 22541.275),(39 22587.807),(40 23008.527),(41 22929.63),(42 23062.006),(43 23180.537),(44 22762.492),(45 22505.361),(46 23033.441),(47 23468.379),(48 23141.754),(49 22807.197),(50 22555.064),(51 22633.08),(52 22782.936),(53 22173.514),(54 21799.682),(55 21756.598),(56 21582.111),(57 21794.145),(58 21806.621),(59 21820.357),(60 21972.23),(61 21949.96),(62 21980.492),(63 22364.715),(64 22585.379),(65 22616.834),(66 22828.658),(67 22844.717),(68 22244.85),(69 22871.1),(70 23275.92),(71 23802.904),(72 23627.855),(73 24019.21),(74 24013.514),(75 23987.234),(76 23548.313),(77 23074.328),(78 23187.846),(79 22959.904),
(1 11311.378),(2 14406.851),(3 15173.825),(4 15880.18),(5 16837.34),(6 17098.895),(7 17607.027),(8 18240.21),(9 18542.115),(10 18930.11),(11 19111.021),(12 18599.057),(13 18964.91),(14 18741.412),(15 19083.195),(16 19801.48),(17 19850.96),(18 20164.932),(19 20175.453),(20 20366.584),(21 20611.316),(22 20281.193),(23 20007.896),(24 20080.902),(25 20490.553),(26 20693.615),(27 20367.844),(28 20382.313),(29 20215.727),(30 20538.05),(31 21178.336),(32 21054.355),(33 21261.34),(34 21452.059),(35 21203.861),(36 21651.568),(37 22033.965),(38 21711.336),(39 21599.975),(40 21822.29),(41 21879.52),(42 22168.174),(43 22612.908),(44 22424.9),(45 22901.152),(46 22934.328),(47 22808.873),(48 21991.658),(49 21953.203),(50 21675.014),(51 21875.928),(52 21662.96),(53 21348.566),(54 21736.025),(55 22169.428),(56 22489.959),(57 22141.059),(58 22226.209),(59 22022.426),(60 22127.889),(61 22450.91),(62 22956.441),(63 23295.324),(64 23081.252),(65 22960.547),(66 23148.6),(67 23103.625),(68 22727.215),(69 22379.053),(70 22527.398),(71 22654.072),(72 22169.477),(73 22579.434),(74 22817.082),(75 23437.63),(76 23224.967),(77 23188.6),(78 23203.344),(79 23283.74),
(1 10856.581),(2 13707.291),(3 14534.7705),(4 15263.551),(5 15876.037),(6 16036.9375),(7 16156.719),(8 16619.324),(9 16843.676),(10 17058.018),(11 17224.541),(12 17188.416),(13 17605.402),(14 17625.322),(15 17924.64),(16 17916.986),(17 18001.078),(18 18762.771),(19 18761.729),(20 18885.023),(21 19141.662),(22 18932.754),(23 18746.836),(24 18639.012),(25 19018.477),(26 19245.432),(27 18725.404),(28 19184.805),(29 19170.94),(30 19421.293),(31 19505.791),(32 19289.37),(33 19674.549),(34 19117.338),(35 19308.32),(36 19933.543),(37 20041.047),(38 19860.773),(39 20048.182),(40 20296.143),(41 20336.969),(42 20578.928),(43 20589.084),(44 20859.941),(45 20951.105),(46 21011.412),(47 21350.092),(48 21245.643),(49 20966.998),(50 20861.273),(51 20790.785),(52 21038.727),(53 20861.725),(54 20626.184),(55 20536.963),(56 20406.357),(57 19934.906),(58 20218.813),(59 20545.344),(60 20450.285),(61 20361.916),(62 20363.604),(63 20286.137),(64 20437.37),(65 20560.156),(66 20670.584),(67 20735.238),(68 20845.092),(69 20346.283),(70 20431.03),(71 20535.541),(72 20632.064),(73 20769.45),(74 20543.213),(75 21096.406),(76 20811.027),(77 20615.47),(78 20752.91),(79 20868.313),
(1 10673.414),(2 13373.302),(3 14316.38),(4 15378.894),(5 16388.662),(6 17010.104),(7 17261.785),(8 17797.979),(9 17995.084),(10 18243.35),(11 18457.338),(12 18264.52),(13 18542.117),(14 18976.361),(15 19617.113),(16 19498.271),(17 19494.793),(18 19713.016),(19 19885.773),(20 19997.492),(21 19545.205),(22 19786.473),(23 19641.408),(24 19308.334),(25 19970.467),(26 19899.646),(27 20007.771),(28 20439.762),(29 20541.39),(30 20455.645),(31 20327.19),(32 20844.38),(33 21060.225),(34 20817.164),(35 21167.648),(36 21585.068),(37 21366.543),(38 20908.271),(39 20875.873),(40 21267.813),(41 21404.877),(42 21339.643),(43 21513.244),(44 21716.83),(45 21507.174),(46 21213.52),(47 21262.58),(48 21195.19),(49 20879.955),(50 21200.813),(51 21316.645),(52 21493.518),(53 21102.69),(54 21308.621),(55 21257.574),(56 21430.195),(57 21565.39),(58 21513.008),(59 21400.82),(60 21150.477),(61 20948.621),(62 21308.707),(63 21578.662),(64 21160.71),(65 21293.918),(66 21332.037),(67 21358.6),(68 21270.045),(69 21394.438),(70 21647.268),(71 21522.352),(72 21423.514),(73 21525.617),(74 21549.871),(75 21554.432),(76 21842.434),(77 21772.246),(78 21657.205),(79 21615.074),
(1 10309.553),(2 12736.297),(3 13360.237),(4 14233.683),(5 14890.459),(6 15008.082),(7 15547.373),(8 15727.162),(9 16014.515),(10 16582.463),(11 16668.549),(12 16702.898),(13 17280.648),(14 17237.393),(15 17786.586),(16 17804.115),(17 17798.41),(18 18097.756),(19 18404.613),(20 18623.783),(21 18528.71),(22 18540.242),(23 18726.887),(24 19119.148),(25 19677.297),(26 19628.355),(27 19803.49),(28 19811.639),(29 19657.096),(30 19236.371),(31 18780.178),(32 18860.23),(33 19160.852),(34 19307.766),(35 19494.771),(36 19403.307),(37 19073.508),(38 19265.455),(39 19073.17),(40 19004.898),(41 19351.234),(42 19865.383),(43 20118.479),(44 20139.063),(45 19685.904),(46 19797.01),(47 19929.43),(48 19746.703),(49 19791.152),(50 19949.438),(51 19640.232),(52 19663.742),(53 19894.49),(54 19738.723),(55 19579.209),(56 19546.158),(57 19721.238),(58 19918.998),(59 19791.055),(60 19552.56),(61 19383.076),(62 19612.275),(63 19562.2),(64 19465.049),(65 19742.574),(66 19409.928),(67 19257.605),(68 18751.818),(69 18890.732),(70 19179.064),(71 19136.732),(72 19244.121),(73 19215.225),(74 19591.229),(75 19718.635),(76 20088.998),(77 19918.512),(78 20083.605),(79 20051.805),
(1 10377.939),(2 13236.65),(3 13981.454),(4 14973.2),(5 15684.126),(6 15606.039),(7 16072.798),(8 16230.747),(9 16761.68),(10 17525.518),(11 17564.748),(12 17426.096),(13 17601.441),(14 17666.07),(15 18194.018),(16 18161.97),(17 18249.32),(18 18756.69),(19 18867.67),(20 18882.166),(21 19049.66),(22 18732.707),(23 18330.719),(24 18582.24),(25 18668.37),(26 18598.357),(27 19015.332),(28 19085.682),(29 19130.006),(30 18921.914),(31 18331.434),(32 17929.66),(33 18615.145),(34 18598.385),(35 19060.57),(36 19338.111),(37 19127.174),(38 19634.965),(39 19788.805),(40 20257.46),(41 20451.434),(42 20413.484),(43 20394.904),(44 20482.24),(45 20180.195),(46 20116.28),(47 20320.775),(48 20477.697),(49 20545.264),(50 20262.97),(51 19941.598),(52 19476.926),(53 19748.166),(54 19820.646),(55 20146.62),(56 19793.014),(57 19495.3),(58 19503.918),(59 19648.586),(60 19601.408),(61 20128.736),(62 19652.268),(63 19899.734),(64 20153.361),(65 20515.572),(66 20070.188),(67 20439.31),(68 20490.896),(69 20857.605),(70 20653.059),(71 20479.203),(72 20882.266),(73 21067.217),(74 20984.143),(75 20996.232),(76 20948.318),(77 20400.063),(78 20463.559),(79 20467.58),
(1 9872.391),(2 11883.114),(3 12838.476),(4 13599.26),(5 14168.116),(6 14205.844),(7 15051.667),(8 15086.113),(9 15555.207),(10 16179.754),(11 15956.959),(12 16179.361),(13 16631.77),(14 16312.4),(15 16991.89),(16 16974.4),(17 17028.734),(18 17318.316),(19 17823.8),(20 17464.32),(21 17352.846),(22 17343.281),(23 17086.092),(24 17485.092),(25 17579.516),(26 17544.068),(27 18020.268),(28 18116.602),(29 18091.777),(30 17770.773),(31 17533.273),(32 17697.81),(33 17872.773),(34 17853.902),(35 18228.537),(36 18063.117),(37 18011.709),(38 18157.445),(39 18366.846),(40 18549.053),(41 18384.135),(42 18307.135),(43 18325.334),(44 18369.082),(45 18115.041),(46 18224.732),(47 18242.043),(48 17879.576),(49 18123.102),(50 18190.906),(51 18357.53),(52 18371.115),(53 18789.313),(54 18479.703),(55 18408.875),(56 18441.512),(57 18350.848),(58 18430.938),(59 18235.885),(60 18378.164),(61 18282.484),(62 18502.164),(63 19087.818),(64 19086.021),(65 19055.156),(66 18757.168),(67 18817.996),(68 18766.963),(69 18784.486),(70 18637.197),(71 18827.365),(72 18903.098),(73 18612.45),(74 18575.744),(75 18851.34),(76 19106.424),(77 19206.984),(78 18990.885),(79 19087.438),
(1 9902.639),(2 12201.0625),(3 12785.022),(4 13682.812),(5 14438.22),(6 14553.828),(7 15059.68),(8 15266.774),(9 15618.356),(10 16168.344),(11 16030.443),(12 16106.94),(13 16039.699),(14 15771.184),(15 16422.338),(16 16237.233),(17 16416.264),(18 16462.736),(19 16939.848),(20 17193.783),(21 16986.98),(22 16886.783),(23 16698.104),(24 16767.21),(25 16824.227),(26 17024.64),(27 17051.807),(28 17059.021),(29 17113.17),(30 17135.488),(31 16846.773),(32 16851.777),(33 17373.951),(34 17119.568),(35 17434.227),(36 17772.563),(37 17895.945),(38 18115.322),(39 18544.068),(40 18565.084),(41 18605.455),(42 18137.664),(43 18144.328),(44 18663.588),(45 18396.32),(46 18270.146),(47 18402.656),(48 18129.713),(49 18074.662),(50 17900.66),(51 18023.354),(52 17734.145),(53 17500.955),(54 17419.656),(55 17410.146),(56 17797.783),(57 17723.15),(58 17890.396),(59 17562.07),(60 18058.266),(61 18153.002),(62 18320.713),(63 18028.982),(64 17969.752),(65 17932.46),(66 17929.395),(67 18142.518),(68 18103.354),(69 18270.777),(70 18142.537),(71 18027.57),(72 18558.146),(73 18083.121),(74 18009.82),(75 18061.941),(76 18281.451),(77 17892.293),(78 18320.682),(79 18160.945),
(1 9345.929),(2 11801.074),(3 12649.73),(4 13190.422),(5 13578.866),(6 13766.585),(7 13983.41),(8 14409.961),(9 14855.621),(10 15477.621),(11 15770.658),(12 15866.927),(13 15902.479),(14 15873.689),(15 16214.559),(16 16067.267),(17 16492.684),(18 16360.669),(19 16741.223),(20 16354.063),(21 16289.321),(22 16623.887),(23 16777.996),(24 17044.396),(25 16787.428),(26 16640.682),(27 16506.748),(28 16129.391),(29 16310.045),(30 15947.437),(31 15975.829),(32 16276.993),(33 16433.271),(34 16431.994),(35 16565.99),(36 16595.102),(37 16851.066),(38 16788.502),(39 17031.672),(40 17173.008),(41 17074.941),(42 16929.309),(43 17182.063),(44 16954.012),(45 16640.695),(46 16680.898),(47 16765.229),(48 16724.197),(49 16683.33),(50 16438.268),(51 16431.541),(52 16693.5),(53 16299.759),(54 16625.127),(55 16370.131),(56 16290.854),(57 16334.995),(58 16775.84),(59 16741.363),(60 16852.977),(61 17121.299),(62 17563.012),(63 17785.002),(64 17847.021),(65 17897.969),(66 17844.768),(67 17811.645),(68 17704.521),(69 17579.844),(70 17574.184),(71 17579.818),(72 17566.766),(73 17369.87),(74 17135.416),(75 17543.93),(76 17766.213),(77 17308.533),(78 17107.96),(79 17095.896),
(1 9188.43),(2 11361.754),(3 12231.315),(4 12588.221),(5 12842.296),(6 13155.595),(7 13352.54),(8 13371.607),(9 13854.49),(10 14254.451),(11 14381.907),(12 14674.461),(13 14521.245),(14 14482.048),(15 15039.056),(16 14968.017),(17 14839.8545),(18 15020.799),(19 15200.013),(20 15087.983),(21 15186.451),(22 15185.116),(23 15371.654),(24 15276.994),(25 15045.32),(26 15388.324),(27 15481.974),(28 15370.718),(29 15603.655),(30 15367.707),(31 15174.938),(32 15111.331),(33 15501.039),(34 15432.667),(35 15508.339),(36 15702.254),(37 15735.589),(38 16067.996),(39 16391.512),(40 16590.912),(41 16569.02),(42 16617.379),(43 16651.314),(44 16880.26),(45 16601.043),(46 16253.249),(47 16382.721),(48 16717.547),(49 16235.911),(50 16409.564),(51 16554.234),(52 16202.766),(53 15965.062),(54 16031.3),(55 15765.218),(56 15894.505),(57 15813.551),(58 15860.112),(59 15936.404),(60 16120.511),(61 16378.814),(62 16465.404),(63 16426.242),(64 16119.754),(65 16305.976),(66 16297.665),(67 16446.674),(68 16130.49),(69 16239.05),(70 16209.12),(71 16324.071),(72 16245.476),(73 16009.219),(74 16017.746),(75 16253.283),(76 16452.047),(77 16213.723),(78 16116.254),(79 16229.948),
(1 8972.698),(2 10913.542),(3 11411.424),(4 12429.971),(5 12772.141),(6 12959.235),(7 13692.557),(8 13911.77),(9 14374.461),(10 14561.8125),(11 14543.034),(12 14855.643),(13 14900.031),(14 15024.217),(15 14948.426),(16 14721.814),(17 15186.794),(18 15192.016),(19 15175.024),(20 15026.647),(21 14877.749),(22 15252.254),(23 15625.862),(24 15726.8955),(25 15810.713),(26 15822.605),(27 15748.616),(28 15892.061),(29 16226.036),(30 16265.542),(31 15929.567),(32 15536.472),(33 15627.85),(34 15997.01),(35 16369.253),(36 16473.648),(37 16613.959),(38 16631.754),(39 16693.488),(40 16607.176),(41 16443.691),(42 16556.227),(43 16849.152),(44 16917.408),(45 17073.363),(46 16751.857),(47 16916.576),(48 16936.756),(49 16672.285),(50 16852.174),(51 17032.107),(52 16767.463),(53 16620.139),(54 16694.596),(55 16811.945),(56 16522.113),(57 16797.115),(58 17025.28),(59 16821.5),(60 16813.324),(61 16891.063),(62 16495.693),(63 16658.34),(64 16578.018),(65 16621.504),(66 16628.395),(67 16990.97),(68 16650.893),(69 16657.322),(70 16389.115),(71 16501.938),(72 16591.076),(73 16791.549),(74 16918.875),(75 16743.896),(76 16775.895),(77 16565.951),(78 16617.99),(79 16548.064),
(1 8231.544),(2 10151.789),(3 10778.595),(4 11541.476),(5 11776.13),(6 12144.797),(7 12559.358),(8 12612.986),(9 12911.825),(10 13235.287),(11 13632.281),(12 13816.23),(13 13950.977),(14 13840.205),(15 14023.302),(16 14247.241),(17 14408.613),(18 14286.461),(19 14440.963),(20 14699.739),(21 14468.449),(22 14470.928),(23 14516.051),(24 14646.251),(25 14804.768),(26 14847.095),(27 14788.619),(28 14881.704),(29 15139.456),(30 15180.124),(31 15172.589),(32 15200.569),(33 15066.237),(34 15299.137),(35 15360.21),(36 15264.109),(37 15581.328),(38 15634.857),(39 15823.531),(40 15858.902),(41 15816.781),(42 16107.379),(43 16121.352),(44 15902.61),(45 15926.501),(46 16100.89),(47 15849.554),(48 16034.974),(49 15776.917),(50 15825.738),(51 15521.307),(52 15657.78),(53 15252.565),(54 15404.943),(55 15856.191),(56 15769.34),(57 15644.303),(58 15455.324),(59 15636.84),(60 15548.491),(61 15629.011),(62 15808.703),(63 15513.278),(64 15526.286),(65 15744.924),(66 15731.288),(67 16067.005),(68 15924.873),(69 16111.005),(70 16403.926),(71 16343.21),(72 16202.643),(73 16258.04),(74 16539.9),(75 16611.057),(76 16750.043),(77 16324.066),(78 16127.578),(79 16046.102),
(1 8004.8115),(2 9576.869),(3 10266.978),(4 10848.949),(5 11394.92),(6 11776.864),(7 12347.533),(8 12795.256),(9 13138.174),(10 13297.776),(11 13384.875),(12 13220.686),(13 13463.081),(14 13435.17),(15 13685.809),(16 14105.869),(17 14392.139),(18 14149.182),(19 14268.314),(20 14554.032),(21 14732.464),(22 14570.46),(23 14652.657),(24 14759.18),(25 14821.385),(26 15000.808),(27 15046.698),(28 15181.705),(29 15082.648),(30 14934.508),(31 14904.462),(32 15094.553),(33 15133.25),(34 15305.205),(35 15176.945),(36 15459.019),(37 15535.393),(38 15607.417),(39 15811.516),(40 15391.04),(41 15531.903),(42 15617.754),(43 15644.522),(44 15759.553),(45 15509.92),(46 15532.524),(47 15320.573),(48 15485.614),(49 15510.285),(50 15532.387),(51 15391.592),(52 15206.441),(53 15283.826),(54 15472.455),(55 15497.941),(56 15115.927),(57 15095.745),(58 14882.136),(59 14840.897),(60 14624.092),(61 14751.799),(62 14682.694),(63 14811.84),(64 14533.646),(65 14650.083),(66 14789.658),(67 14958.553),(68 14890.688),(69 14986.035),(70 15110.584),(71 15103.979),(72 15290.72),(73 15208.046),(74 15084.88),(75 15098.941),(76 15200.767),(77 15211.357),(78 15440.556),(79 15438.04),
(1 7898.6646),(2 9620.117),(3 10538.791),(4 11117.699),(5 11402.043),(6 11670.459),(7 11903.304),(8 12291.044),(9 12730.853),(10 12901.315),(11 13062.891),(12 13137.99),(13 13430.246),(14 13680.037),(15 13711.626),(16 13952.269),(17 13845.701),(18 13702.084),(19 13566.134),(20 13811.804),(21 13770.972),(22 13921.778),(23 14127.463),(24 14159.384),(25 14316.978),(26 14244.798),(27 14146.906),(28 14283.156),(29 14064.893),(30 14098.275),(31 14281.395),(32 14399.241),(33 14480.579),(34 14558.765),(35 14511.094),(36 14608.278),(37 14712.626),(38 14924.944),(39 15054.222),(40 15269.121),(41 15174.958),(42 15092.576),(43 14838.919),(44 14787.346),(45 14830.131),(46 14824.463),(47 14634.582),(48 14943.761),(49 15125.56),(50 14812.51),(51 14690.149),(52 14826.491),(53 15125.552),(54 15300.008),(55 15115.895),(56 15094.589),(57 14831.07),(58 14962.6455),(59 14713.89),(60 14656.551),(61 14961.35),(62 14884.838),(63 15146.717),(64 15037.261),(65 15006.902),(66 15108.071),(67 15192.453),(68 14910.1455),(69 15594.82),(70 15475.338),(71 15176.564),(72 15203.797),(73 15408.062),(74 15359.614),(75 15559.2705),(76 15510.143),(77 15106.005),(78 15405.69),(79 15490.895),
(1 7672.6924),(2 9334.1),(3 9993.369),(4 10682.774),(5 11106.766),(6 11394.558),(7 11787.601),(8 11980.089),(9 12380.206),(10 12342.621),(11 12278.961),(12 11973.347),(13 12163.632),(14 12379.348),(15 12694.235),(16 12886.372),(17 12975.823),(18 13158.348),(19 13054.236),(20 13006.335),(21 12995.627),(22 12999.554),(23 12988.296),(24 13094.691),(25 13373.74),(26 13277.877),(27 13368.554),(28 13525.017),(29 13515.229),(30 13366.632),(31 13455.823),(32 13458.484),(33 13627.69),(34 14015.204),(35 13657.154),(36 13534.694),(37 13840.676),(38 13741.461),(39 13872.462),(40 13802.538),(41 13804.922),(42 14010.446),(43 14259.187),(44 14303.886),(45 14451.18),(46 14596.864),(47 14508.786),(48 14186.066),(49 14363.661),(50 14263.2705),(51 14374.832),(52 14254.929),(53 14021.309),(54 13925.389),(55 13983.04),(56 13865.863),(57 14018.13),(58 14295.983),(59 14112.319),(60 14113.666),(61 14465.742),(62 14445.28),(63 14466.256),(64 14455.539),(65 14441.554),(66 14432.199),(67 14293.164),(68 14204.976),(69 14546.311),(70 14579.946),(71 14332.735),(72 14452.801),(73 13964.497),(74 13892.55),(75 14057.88),(76 13726.301),(77 13977.06),(78 13879.795),(79 14108.69),
