1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 501.19476),(2 630.77716),(3 707.7024),(4 760.9964),(5 810.3396),(6 835.3508),(7 875.83844),(8 905.1718),(9 927.9115),(10 949.45996),(11 971.6444),(12 985.6295),(13 1025.4309),(14 1039.0562),(15 1054.1737),(16 1065.3938),(17 1067.8248),(18 1077.7543),(19 1086.3604),(20 1081.4093),(21 1088.2622),(22 1091.7767),(23 1100.9481),(24 1101.9576),(25 1118.7013),(26 1130.1029),(27 1136.6687),(28 1150.6349),(29 1155.9863),(30 1167.8589),(31 1179.8096),(32 1200.5862),(33 1208.6445),(34 1206.5336),(35 1222.5559),(36 1222.3287),(37 1226.9899),(38 1222.8344),(39 1233.4587),(40 1225.2058),(41 1221.2896),(42 1210.2637),(43 1222.286),(44 1213.1069),(45 1205.9766),(46 1212.3069),(47 1221.095),(48 1206.4895),(49 1204.7941),(50 1207.8104),(51 1215.7518),(52 1219.31),(53 1227.5131),(54 1241.0459),(55 1230.8464),(56 1239.0532),(57 1249.5548),(58 1245.1782),(59 1238.3109),(60 1231.5663),(61 1221.2948),(62 1211.3761),(63 1213.8936),(64 1205.8547),(65 1196.4001),(66 1197.988),(67 1198.7504),(68 1199.6951),(69 1201.1182),(70 1208.2064),(71 1225.6533),(72 1226.29),(73 1237.1738),(74 1238.4054),(75 1244.1779),(76 1257.5161),(77 1264.4904),(78 1272.5681),(79 1277.2205),
(1 496.4647),(2 624.7247),(3 705.6279),(4 753.52325),(5 802.5043),(6 842.83813),(7 875.4254),(8 903.64197),(9 928.6817),(10 949.80206),(11 972.9789),(12 995.10236),(13 1026.9977),(14 1054.3694),(15 1072.9583),(16 1079.8424),(17 1083.3119),(18 1098.8986),(19 1104.0178),(20 1109.7639),(21 1106.0199),(22 1117.4413),(23 1117.9398),(24 1120.7198),(25 1127.269),(26 1126.7865),(27 1143.3529),(28 1166.4971),(29 1188.1893),(30 1195.4515),(31 1207.0586),(32 1215.3209),(33 1231.7831),(34 1220.9077),(35 1225.2802),(36 1233.7003),(37 1231.4713),(38 1223.6793),(39 1223.5652),(40 1225.1232),(41 1203.458),(42 1212.5295),(43 1217.144),(44 1200.3658),(45 1193.9382),(46 1199.0237),(47 1203.009),(48 1196.9209),(49 1193.5436),(50 1192.5923),(51 1193.4908),(52 1205.6147),(53 1215.6069),(54 1217.0607),(55 1220.154),(56 1236.1757),(57 1237.9584),(58 1250.0726),(59 1260.8003),(60 1263.5697),(61 1256.7056),(62 1261.0879),(63 1242.6973),(64 1234.0507),(65 1232.5502),(66 1238.2228),(67 1236.6342),(68 1231.613),(69 1228.8363),(70 1245.942),(71 1247.9175),(72 1239.2621),(73 1251.2141),(74 1269.5706),(75 1271.0491),(76 1280.384),(77 1280.8634),(78 1279.0359),(79 1297.6149),
(1 494.09628),(2 626.1735),(3 694.3263),(4 742.4301),(5 794.6441),(6 837.8002),(7 872.3217),(8 897.18756),(9 925.0612),(10 938.66547),(11 964.6164),(12 981.2869),(13 1019.3415),(14 1051.749),(15 1076.7433),(16 1087.9248),(17 1102.1271),(18 1111.2837),(19 1117.645),(20 1115.806),(21 1114.4293),(22 1134.0812),(23 1146.7867),(24 1154.7617),(25 1157.7777),(26 1171.4435),(27 1177.6862),(28 1191.907),(29 1216.2305),(30 1224.654),(31 1237.0876),(32 1249.6152),(33 1255.2817),(34 1245.9519),(35 1240.5879),(36 1239.2269),(37 1244.3928),(38 1232.7653),(39 1232.2842),(40 1230.2524),(41 1225.661),(42 1221.7753),(43 1212.5706),(44 1207.2927),(45 1207.5812),(46 1221.5679),(47 1216.302),(48 1211.7195),(49 1215.7078),(50 1213.0533),(51 1208.3937),(52 1226.2373),(53 1231.0106),(54 1241.69),(55 1244.0793),(56 1247.6884),(57 1246.6471),(58 1247.2839),(59 1228.9288),(60 1232.7698),(61 1222.7244),(62 1204.3558),(63 1202.4231),(64 1187.9098),(65 1185.0232),(66 1189.827),(67 1184.6359),(68 1182.14),(69 1178.7139),(70 1188.4354),(71 1203.868),(72 1210.5126),(73 1231.1648),(74 1252.7811),(75 1260.7883),(76 1262.6794),(77 1269.8981),(78 1277.6804),(79 1292.5809),
(1 483.1917),(2 604.3797),(3 688.7738),(4 734.7885),(5 781.0478),(6 817.24414),(7 850.42706),(8 880.53015),(9 898.3473),(10 917.6735),(11 941.364),(12 961.86536),(13 982.9264),(14 1002.5834),(15 1019.9242),(16 1025.149),(17 1032.5939),(18 1039.9001),(19 1048.9104),(20 1043.4982),(21 1044.8827),(22 1058.8359),(23 1071.6564),(24 1090.0604),(25 1098.273),(26 1107.4001),(27 1126.1003),(28 1142.1372),(29 1151.0127),(30 1158.4398),(31 1163.9207),(32 1167.0654),(33 1183.5293),(34 1183.877),(35 1179.4049),(36 1173.0044),(37 1183.6006),(38 1181.3961),(39 1186.5701),(40 1186.6766),(41 1182.1906),(42 1188.7454),(43 1181.5066),(44 1164.1749),(45 1174.5638),(46 1168.6692),(47 1171.4286),(48 1171.4618),(49 1169.4227),(50 1166.3903),(51 1169.7374),(52 1178.1749),(53 1181.2106),(54 1185.0043),(55 1187.7433),(56 1191.693),(57 1196.7396),(58 1203.0315),(59 1195.2345),(60 1198.4116),(61 1187.2817),(62 1173.7808),(63 1174.1157),(64 1169.9792),(65 1160.531),(66 1171.9435),(67 1161.3055),(68 1162.0352),(69 1161.8359),(70 1176.679),(71 1194.4343),(72 1209.3889),(73 1213.732),(74 1229.5612),(75 1239.178),(76 1249.5234),(77 1255.5227),(78 1263.2719),(79 1263.5095),
(1 477.48514),(2 611.3795),(3 691.5101),(4 735.2527),(5 779.2478),(6 822.5832),(7 861.9788),(8 893.15454),(9 921.1398),(10 936.4002),(11 960.4392),(12 995.65344),(13 1017.6658),(14 1038.1512),(15 1054.5663),(16 1065.3693),(17 1061.0485),(18 1072.1438),(19 1085.4418),(20 1080.6566),(21 1080.0101),(22 1095.2158),(23 1106.5352),(24 1112.1206),(25 1120.7062),(26 1126.6815),(27 1136.6075),(28 1157.4645),(29 1170.3444),(30 1177.6492),(31 1190.5171),(32 1205.2592),(33 1200.6713),(34 1210.7347),(35 1217.1504),(36 1224.9547),(37 1225.0742),(38 1234.3337),(39 1242.9064),(40 1224.8969),(41 1226.9321),(42 1219.547),(43 1215.2476),(44 1204.7332),(45 1193.4764),(46 1195.3633),(47 1199.616),(48 1189.1101),(49 1187.8683),(50 1188.6157),(51 1207.7474),(52 1211.1823),(53 1216.1537),(54 1226.1846),(55 1230.2994),(56 1238.9669),(57 1240.7155),(58 1242.7225),(59 1225.219),(60 1223.472),(61 1215.3998),(62 1208.8123),(63 1202.9971),(64 1194.7634),(65 1184.7827),(66 1183.9475),(67 1170.8049),(68 1175.9731),(69 1179.7882),(70 1181.1118),(71 1193.9186),(72 1203.1115),(73 1205.7731),(74 1219.3798),(75 1223.1451),(76 1247.2501),(77 1248.5396),(78 1260.1886),(79 1265.0931),
(1 470.8249),(2 606.1789),(3 685.95605),(4 723.0437),(5 772.6671),(6 815.92175),(7 847.7761),(8 878.5361),(9 902.66376),(10 909.1405),(11 930.1435),(12 955.30383),(13 973.0641),(14 990.1889),(15 1004.0106),(16 1023.5448),(17 1026.759),(18 1035.6514),(19 1044.2369),(20 1045.052),(21 1056.7322),(22 1067.8502),(23 1088.2832),(24 1085.5688),(25 1098.5392),(26 1100.121),(27 1108.4253),(28 1126.1082),(29 1138.8132),(30 1145.6232),(31 1147.1912),(32 1161.5682),(33 1161.6613),(34 1167.8118),(35 1170.3376),(36 1171.1272),(37 1173.6228),(38 1175.7733),(39 1180.4965),(40 1174.6632),(41 1172.7816),(42 1175.663),(43 1172.7344),(44 1165.9176),(45 1160.359),(46 1166.0154),(47 1166.6545),(48 1156.4404),(49 1148.6251),(50 1153.5154),(51 1159.75),(52 1166.2307),(53 1173.5385),(54 1192.6459),(55 1195.3937),(56 1198.4121),(57 1192.9122),(58 1198.3055),(59 1195.1807),(60 1193.5386),(61 1192.7577),(62 1186.0385),(63 1189.2191),(64 1177.7577),(65 1169.7853),(66 1163.2665),(67 1148.9235),(68 1153.4662),(69 1158.272),(70 1179.6285),(71 1182.18),(72 1194.0636),(73 1214.5125),(74 1212.3398),(75 1236.3976),(76 1238.4313),(77 1239.1305),(78 1249.3502),(79 1255.2372),
(1 473.23663),(2 601.55237),(3 687.9892),(4 735.02954),(5 773.1613),(6 809.1689),(7 849.88245),(8 881.058),(9 909.7995),(10 923.18713),(11 948.2757),(12 953.487),(13 977.392),(14 990.096),(15 1011.9658),(16 1020.2578),(17 1022.3952),(18 1033.7383),(19 1032.9888),(20 1037.3672),(21 1043.7754),(22 1050.9731),(23 1061.3066),(24 1069.5305),(25 1078.7563),(26 1085.3348),(27 1092.2059),(28 1094.0791),(29 1104.7148),(30 1101.9681),(31 1116.8357),(32 1128.3749),(33 1144.3484),(34 1147.7515),(35 1148.0201),(36 1142.6326),(37 1142.6697),(38 1146.6016),(39 1150.0519),(40 1148.8265),(41 1153.8296),(42 1149.1716),(43 1144.3888),(44 1140.1877),(45 1135.4951),(46 1144.9578),(47 1155.5581),(48 1154.6628),(49 1159.4888),(50 1152.7292),(51 1157.3143),(52 1160.7981),(53 1159.4441),(54 1168.0874),(55 1183.6787),(56 1182.833),(57 1178.9686),(58 1188.2869),(59 1187.0186),(60 1184.2163),(61 1174.7837),(62 1154.5013),(63 1144.3555),(64 1140.17),(65 1133.9808),(66 1136.4081),(67 1124.2191),(68 1126.816),(69 1125.958),(70 1134.1272),(71 1145.291),(72 1152.607),(73 1172.548),(74 1180.4436),(75 1196.1747),(76 1187.5581),(77 1192.8024),(78 1204.8481),(79 1200.0989),
(1 456.85767),(2 582.2313),(3 667.3348),(4 707.74255),(5 740.69507),(6 776.2353),(7 813.5328),(8 849.7883),(9 883.9614),(10 894.13184),(11 920.3824),(12 938.71906),(13 965.2731),(14 983.43005),(15 1004.12805),(16 1014.4229),(17 1011.568),(18 1026.8729),(19 1039.0265),(20 1041.5366),(21 1058.0929),(22 1064.6846),(23 1056.3384),(24 1060.9137),(25 1064.3173),(26 1072.2792),(27 1090.2141),(28 1107.3177),(29 1122.882),(30 1120.0588),(31 1128.256),(32 1139.1948),(33 1144.7184),(34 1150.2267),(35 1153.8184),(36 1159.1183),(37 1163.875),(38 1164.7115),(39 1166.8418),(40 1165.051),(41 1168.0436),(42 1162.4214),(43 1162.4728),(44 1164.4218),(45 1157.1311),(46 1161.8463),(47 1161.7155),(48 1168.5112),(49 1168.4302),(50 1157.1656),(51 1162.0708),(52 1169.6686),(53 1170.5471),(54 1178.5321),(55 1175.6024),(56 1187.408),(57 1188.5182),(58 1200.9597),(59 1188.8214),(60 1180.0405),(61 1176.2684),(62 1167.6547),(63 1152.1526),(64 1143.1927),(65 1135.7161),(66 1135.5787),(67 1127.5864),(68 1122.7505),(69 1124.542),(70 1120.2375),(71 1134.9043),(72 1134.0662),(73 1145.9276),(74 1145.7766),(75 1164.8025),(76 1170.3502),(77 1182.4348),(78 1190.2948),(79 1192.4188),
(1 445.3799),(2 569.8542),(3 648.6874),(4 695.7716),(5 738.7609),(6 777.90784),(7 811.5847),(8 830.3557),(9 847.20996),(10 869.0219),(11 891.38837),(12 912.03577),(13 924.93066),(14 941.54443),(15 954.323),(16 965.3265),(17 967.9873),(18 974.983),(19 983.6195),(20 993.1751),(21 992.434),(22 999.9014),(23 1002.4729),(24 994.39984),(25 1006.85986),(26 1009.5675),(27 1039.1162),(28 1048.7568),(29 1066.764),(30 1064.0165),(31 1076.9565),(32 1086.5032),(33 1102.4995),(34 1102.1791),(35 1093.5918),(36 1092.7079),(37 1089.2738),(38 1090.1809),(39 1093.7848),(40 1091.6963),(41 1095.0594),(42 1094.6327),(43 1077.406),(44 1066.1628),(45 1073.5402),(46 1070.4143),(47 1077.3875),(48 1078.7354),(49 1063.2325),(50 1061.7042),(51 1071.2445),(52 1075.9707),(53 1074.2158),(54 1080.1295),(55 1085.5098),(56 1091.294),(57 1099.5321),(58 1107.8279),(59 1105.7754),(60 1103.5059),(61 1096.2228),(62 1086.3729),(63 1079.1008),(64 1070.9514),(65 1064.0486),(66 1063.241),(67 1062.697),(68 1071.9387),(69 1070.9049),(70 1070.4847),(71 1080.6936),(72 1079.2731),(73 1100.003),(74 1105.3771),(75 1120.3466),(76 1126.9556),(77 1133.1091),(78 1141.9915),(79 1150.6393),
(1 441.05713),(2 569.5122),(3 647.25183),(4 693.0415),(5 732.4827),(6 765.32227),(7 801.9939),(8 832.626),(9 844.50995),(10 866.4313),(11 885.44226),(12 897.3604),(13 919.5169),(14 944.10297),(15 953.6405),(16 959.6955),(17 970.955),(18 978.59015),(19 984.6965),(20 990.6865),(21 991.85657),(22 988.88495),(23 983.8419),(24 980.82806),(25 986.4139),(26 989.8425),(27 1007.501),(28 1019.0125),(29 1030.8918),(30 1020.06476),(31 1035.6952),(32 1052.6455),(33 1070.3494),(34 1068.2617),(35 1070.0211),(36 1078.4352),(37 1076.5253),(38 1084.7836),(39 1080.5765),(40 1080.1587),(41 1080.5549),(42 1078.4827),(43 1079.9712),(44 1071.28),(45 1069.563),(46 1075.7576),(47 1075.5834),(48 1073.3269),(49 1080.911),(50 1073.0865),(51 1081.715),(52 1081.822),(53 1078.0121),(54 1089.9471),(55 1094.0536),(56 1101.2664),(57 1104.7856),(58 1109.3018),(59 1100.4756),(60 1108.5789),(61 1101.8362),(62 1100.9437),(63 1100.7921),(64 1070.4436),(65 1065.2378),(66 1073.984),(67 1057.9238),(68 1065.6016),(69 1064.8612),(70 1065.0387),(71 1076.9524),(72 1079.741),(73 1084.6453),(74 1106.2798),(75 1113.6549),(76 1125.593),(77 1130.2568),(78 1130.2622),(79 1145.7771),
(1 434.3611),(2 556.90247),(3 632.086),(4 679.25854),(5 716.69586),(6 753.09357),(7 776.6999),(8 801.16034),(9 825.658),(10 850.1121),(11 862.3888),(12 872.65045),(13 893.42365),(14 916.09344),(15 930.65045),(16 938.368),(17 950.46747),(18 960.27344),(19 968.81824),(20 965.34875),(21 975.13165),(22 972.3704),(23 974.03754),(24 972.51105),(25 985.74646),(26 987.9934),(27 1009.6477),(28 1022.51263),(29 1043.0604),(30 1043.8657),(31 1047.9689),(32 1061.2488),(33 1075.68),(34 1062.9941),(35 1064.5027),(36 1075.776),(37 1075.0101),(38 1071.065),(39 1069.0098),(40 1063.8345),(41 1078.4596),(42 1068.7952),(43 1071.2222),(44 1056.2781),(45 1048.1055),(46 1056.9891),(47 1056.9011),(48 1053.4369),(49 1053.0342),(50 1048.395),(51 1049.5493),(52 1058.1282),(53 1064.905),(54 1063.8684),(55 1073.851),(56 1083.5662),(57 1089.6906),(58 1089.0964),(59 1086.132),(60 1086.6978),(61 1085.7401),(62 1082.2322),(63 1079.0856),(64 1066.4117),(65 1069.5249),(66 1066.099),(67 1059.1732),(68 1060.2826),(69 1055.2744),(70 1057.508),(71 1061.6433),(72 1075.8878),(73 1085.0518),(74 1094.3295),(75 1093.4125),(76 1090.3369),(77 1103.7327),(78 1112.7014),(79 1116.4032),
(1 432.66223),(2 557.06134),(3 643.9261),(4 683.5762),(5 725.3961),(6 757.6634),(7 782.2536),(8 810.2905),(9 826.66473),(10 854.92725),(11 871.5464),(12 890.97095),(13 908.32684),(14 935.53204),(15 953.7256),(16 954.75885),(17 964.21027),(18 963.7088),(19 961.9353),(20 966.75696),(21 979.0918),(22 969.8517),(23 976.8492),(24 971.9352),(25 981.8078),(26 989.47235),(27 997.8586),(28 1003.76544),(29 1020.61444),(30 1014.43396),(31 1029.079),(32 1042.3083),(33 1052.4238),(34 1054.1237),(35 1051.0856),(36 1053.7242),(37 1053.8596),(38 1054.7135),(39 1050.0007),(40 1039.1763),(41 1043.0352),(42 1045.0771),(43 1040.041),(44 1031.4817),(45 1034.1038),(46 1037.1106),(47 1049.3273),(48 1042.8368),(49 1039.7063),(50 1041.3088),(51 1053.802),(52 1063.044),(53 1062.8899),(54 1065.4781),(55 1066.846),(56 1077.3481),(57 1078.9863),(58 1072.7745),(59 1068.2723),(60 1068.3694),(61 1062.3198),(62 1057.9845),(63 1053.3041),(64 1031.1335),(65 1020.9056),(66 1017.4766),(67 1009.3721),(68 1013.3637),(69 1011.4871),(70 1016.7827),(71 1020.7302),(72 1025.8585),(73 1038.751),(74 1053.942),(75 1049.975),(76 1061.7208),(77 1066.8079),(78 1066.3011),(79 1067.9893),
(1 420.96237),(2 534.77686),(3 615.99054),(4 651.7703),(5 701.80804),(6 729.883),(7 759.5551),(8 786.28284),(9 803.3822),(10 821.4113),(11 844.2547),(12 859.0524),(13 868.09924),(14 899.03577),(15 919.93207),(16 928.29065),(17 930.8152),(18 933.38586),(19 933.86365),(20 932.80676),(21 942.5173),(22 946.4565),(23 950.87585),(24 952.7732),(25 955.6225),(26 958.2812),(27 973.41235),(28 984.29144),(29 993.44086),(30 996.46796),(31 1005.6908),(32 1018.8486),(33 1027.0101),(34 1020.1503),(35 1023.4346),(36 1028.0779),(37 1026.1841),(38 1017.3583),(39 1028.3203),(40 1023.71704),(41 1025.5603),(42 1029.1149),(43 1021.30524),(44 1006.89655),(45 1010.1256),(46 1005.7755),(47 1024.6996),(48 1015.3947),(49 1013.934),(50 1009.13586),(51 1015.1942),(52 1031.06),(53 1037.6187),(54 1038.8765),(55 1036.2139),(56 1043.8848),(57 1043.8058),(58 1047.9644),(59 1049.5808),(60 1048.9154),(61 1035.5098),(62 1032.7458),(63 1031.3013),(64 1013.96063),(65 1000.75256),(66 995.19),(67 990.4655),(68 995.59546),(69 1003.334),(70 996.4991),(71 994.8173),(72 1006.8306),(73 1022.5379),(74 1030.0566),(75 1028.0966),(76 1032.9424),(77 1034.4276),(78 1035.164),(79 1033.3735),
(1 411.0964),(2 531.11646),(3 606.8556),(4 640.9866),(5 690.70197),(6 718.0497),(7 740.6251),(8 760.9635),(9 781.84814),(10 806.6749),(11 822.1688),(12 845.43567),(13 852.4144),(14 875.21967),(15 900.5078),(16 909.2776),(17 919.6957),(18 925.3545),(19 928.3116),(20 930.5139),(21 931.10754),(22 943.2255),(23 946.91),(24 940.1245),(25 941.8203),(26 939.29297),(27 953.0383),(28 967.9327),(29 976.4274),(30 982.4859),(31 987.83417),(32 1001.6514),(33 1016.0174),(34 1011.7391),(35 1006.67615),(36 1016.2787),(37 1013.7686),(38 1012.62225),(39 1012.63464),(40 1000.8426),(41 1003.4236),(42 1004.69586),(43 1007.51953),(44 995.30426),(45 994.9608),(46 998.59937),(47 1010.0779),(48 1007.4522),(49 1013.49786),(50 1012.69977),(51 1025.3014),(52 1021.1146),(53 1027.3165),(54 1032.1809),(55 1038.2821),(56 1041.8451),(57 1032.9442),(58 1033.5762),(59 1024.1813),(60 1029.5825),(61 1015.9411),(62 1009.16327),(63 1016.88947),(64 1009.88226),(65 997.1047),(66 990.0316),(67 987.6845),(68 988.6264),(69 983.23706),(70 989.63947),(71 989.0448),(72 981.71515),(73 995.4411),(74 1002.81244),(75 1012.3612),(76 1014.2642),(77 1016.52),(78 1028.9631),(79 1034.7795),
(1 411.36316),(2 530.2091),(3 599.12085),(4 635.7502),(5 680.1153),(6 723.7854),(7 739.912),(8 757.5623),(9 785.9046),(10 803.7705),(11 819.3549),(12 835.5383),(13 851.3275),(14 861.0826),(15 876.9104),(16 894.5448),(17 899.79175),(18 902.7269),(19 909.93353),(20 916.7912),(21 920.17566),(22 925.31995),(23 923.47705),(24 920.6883),(25 927.3468),(26 915.7506),(27 928.068),(28 935.83344),(29 952.254),(30 954.26434),(31 959.4763),(32 974.96906),(33 989.0318),(34 986.2094),(35 983.2726),(36 980.44666),(37 979.0512),(38 983.0388),(39 978.70374),(40 971.2989),(41 972.58167),(42 972.5534),(43 980.003),(44 970.0296),(45 957.908),(46 955.3532),(47 955.64294),(48 950.76166),(49 949.7066),(50 942.2707),(51 950.867),(52 955.70917),(53 964.8124),(54 967.44574),(55 982.082),(56 988.5382),(57 985.35144),(58 990.3261),(59 985.88324),(60 993.11066),(61 991.4816),(62 997.6093),(63 986.9725),(64 978.95856),(65 978.59595),(66 969.03656),(67 965.5983),(68 969.2775),(69 971.9314),(70 965.09076),(71 961.4322),(72 964.5823),(73 981.6118),(74 993.4157),(75 996.5351),(76 999.5257),(77 996.0193),(78 997.22754),(79 1005.2307),
(1 398.1383),(2 507.3497),(3 579.7995),(4 618.61993),(5 658.2525),(6 696.988),(7 718.25507),(8 731.7494),(9 744.38464),(10 765.09564),(11 778.29456),(12 795.6487),(13 803.7661),(14 828.37616),(15 838.54724),(16 845.515),(17 853.34375),(18 855.03406),(19 865.1798),(20 868.88635),(21 879.4634),(22 886.7003),(23 888.7712),(24 900.17413),(25 903.73303),(26 906.75397),(27 907.8405),(28 919.2328),(29 931.2349),(30 942.85583),(31 946.5422),(32 954.9573),(33 964.65784),(34 971.6425),(35 969.20215),(36 981.1478),(37 978.38135),(38 979.36255),(39 979.4035),(40 974.50903),(41 982.50684),(42 983.7099),(43 984.89825),(44 975.3801),(45 977.2975),(46 979.3629),(47 979.17285),(48 977.6796),(49 978.78656),(50 970.3782),(51 974.0915),(52 980.8792),(53 987.10175),(54 988.08655),(55 992.7705),(56 987.51556),(57 991.5323),(58 995.241),(59 983.1031),(60 988.40564),(61 990.11444),(62 987.5981),(63 981.5162),(64 968.9446),(65 971.6973),(66 974.8755),(67 965.66266),(68 967.8314),(69 961.30756),(70 956.62067),(71 960.845),(72 958.70087),(73 963.29254),(74 969.5034),(75 980.9534),(76 977.6869),(77 970.3817),(78 976.84875),(79 978.6385),
(1 393.92813),(2 503.3019),(3 576.0709),(4 617.6723),(5 656.913),(6 696.40027),(7 718.41156),(8 741.6965),(9 749.4307),(10 762.39813),(11 778.37585),(12 788.1143),(13 793.6491),(14 809.46643),(15 830.3956),(16 834.86786),(17 846.46185),(18 852.8878),(19 862.06177),(20 864.56),(21 872.7186),(22 884.3437),(23 880.27057),(24 887.1216),(25 891.2831),(26 898.72687),(27 901.0276),(28 910.4771),(29 923.3291),(30 924.87744),(31 928.95166),(32 931.23346),(33 930.5961),(34 933.5252),(35 926.5962),(36 933.90704),(37 921.29266),(38 926.1915),(39 927.62),(40 926.00073),(41 929.8595),(42 935.19403),(43 927.7663),(44 920.70135),(45 917.26),(46 914.69574),(47 914.1451),(48 908.5001),(49 901.94354),(50 891.53455),(51 897.68),(52 899.00946),(53 907.75543),(54 920.134),(55 922.4293),(56 932.4217),(57 936.9767),(58 948.3285),(59 940.5784),(60 950.2495),(61 952.03314),(62 943.30835),(63 937.65814),(64 926.93494),(65 931.3658),(66 927.31195),(67 918.6452),(68 925.92444),(69 930.4211),(70 928.40344),(71 935.20074),(72 937.06396),(73 947.92444),(74 959.5078),(75 971.17633),(76 964.79315),(77 959.0437),(78 961.40094),(79 958.7794),
