1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 663078.44),(2 1602178.6),(3 2694339.8),(4 3852235.8),(5 4754532.5),(6 4970345.5),(7 5159975.5),(8 5231249.5),(9 5196501.5),(10 5107903),(11 5086398.5),(12 5454230.5),(13 5965649.5),(14 6717994.5),(15 7878249.5),(16 9113421),(17 10068348),(18 10888941),(19 11512120),(20 11894093),(21 11952296),(22 12372125),(23 12834436),(24 13524633),(25 14339904),(26 15269632),(27 16430761),(28 17821526),(29 19366390),(30 21122482),(31 22587632),(32 24177362),(33 25596794),(34 26735682),(35 28006406),(36 29589878),(37 30807352),(38 31830696),(39 32700656),(40 33741530),(41 34593900),(42 35685772),(43 36522610),(44 36630508),(45 37207544),(46 37669244),(47 38361940),(48 38776348),(49 38945148),(50 38593704),(51 38157812),(52 37577490),(53 36893532),(54 35833124),(55 34563740),(56 33223454),(57 32077306),(58 31223658),(59 30840822),(60 32647066),(61 33498934),(62 31814728),(63 30841136),(64 30495238),(65 29988024),(66 29544514),(67 28928546),(68 28105522),(69 27482694),(70 27244840),(71 27148016),(72 27545466),(73 28026670),(74 28451350),(75 28936328),(76 29335702),(77 29864030),(78 30401272),(79 30894344),
(1 387.6946),(2 633.5838),(3 769.9447),(4 862.9399),(5 919.14),(6 959.7905),(7 992.9934),(8 1001.75256),(9 1034.6824),(10 1058.1654),(11 1080.146),(12 1102.5231),(13 1123.536),(14 1143.4856),(15 1165.7456),(16 1189.0062),(17 1218.6396),(18 1221.8146),(19 1246.4675),(20 1254.4854),(21 1272.2612),(22 1283.6627),(23 1305.1193),(24 1315.0204),(25 1341.7904),(26 1354.6354),(27 1354.0953),(28 1355.742),(29 1372.7269),(30 1382.7649),(31 1383.2496),(32 1393.2397),(33 1416),(34 1417.3499),(35 1426.9247),(36 1427.2147),(37 1433.8381),(38 1420.8379),(39 1425.8009),(40 1422.2834),(41 1424.4285),(42 1428.2406),(43 1436.3903),(44 1431.0668),(45 1427.1987),(46 1416.3336),(47 1420.503),(48 1397.2351),(49 1390.6798),(50 1385.8851),(51 1382.1127),(52 1367.9199),(53 1351.9054),(54 1347.8611),(55 1328.077),(56 1311.4004),(57 1295.6836),(58 1278.866),(59 1267.5237),(60 1252.5709),(61 1235.3944),(62 1211.5183),(63 1200.7104),(64 1181.0736),(65 1163.8151),(66 1151.2213),(67 1140.2314),(68 1133.3279),(69 1123.1394),(70 1121.0907),(71 1116.0555),(72 1111.0739),(73 1101.4583),(74 1087.5815),(75 1078.7627),(76 1073.2356),(77 1068.6447),(78 1066.8429),(79 1068.2218),
(1 378.41116),(2 617.57745),(3 749.55255),(4 849.10645),(5 910.21625),(6 949.5506),(7 991.25525),(8 1012.68335),(9 1052.5732),(10 1076.2343),(11 1095.4069),(12 1104.5765),(13 1128.2101),(14 1152.5623),(15 1164.4406),(16 1181.6965),(17 1197.9917),(18 1202.0741),(19 1223.7322),(20 1235.3184),(21 1243.5198),(22 1248.9769),(23 1269.6763),(24 1280.6559),(25 1298.921),(26 1309.0684),(27 1321.8302),(28 1313.9269),(29 1315.2281),(30 1325.1901),(31 1326.3331),(32 1337.5066),(33 1330.9784),(34 1333.6926),(35 1341.3009),(36 1349.9891),(37 1356.4714),(38 1348.5519),(39 1352.5448),(40 1352.6572),(41 1354.287),(42 1361.1265),(43 1377.7235),(44 1378.6512),(45 1385.291),(46 1379.2927),(47 1376.4725),(48 1358.3094),(49 1341.9509),(50 1340.1906),(51 1337.5393),(52 1325.8969),(53 1313.0636),(54 1306.2126),(55 1297.224),(56 1277.7256),(57 1250.6017),(58 1229.2512),(59 1224.5151),(60 1215.9875),(61 1194.2206),(62 1179.5884),(63 1166.452),(64 1145.1871),(65 1125.5435),(66 1109.9536),(67 1098.6448),(68 1087.1873),(69 1079.2924),(70 1076.6165),(71 1070.724),(72 1063.8055),(73 1055.741),(74 1045.3846),(75 1039.344),(76 1037.8003),(77 1038.1667),(78 1038.5569),(79 1039.5352),
(1 370.07632),(2 603.78613),(3 742.3907),(4 836.1455),(5 896.56976),(6 942.1985),(7 983.8311),(8 1009.7999),(9 1031.443),(10 1053.2694),(11 1068.7471),(12 1091.0376),(13 1114.6796),(14 1136.2922),(15 1155.155),(16 1171.4673),(17 1184.926),(18 1190.552),(19 1216.2686),(20 1230.558),(21 1240.3923),(22 1254.9545),(23 1277.0641),(24 1274.8423),(25 1286.9749),(26 1295.0828),(27 1309.1809),(28 1314.4916),(29 1327.1678),(30 1333.0139),(31 1333.89),(32 1340.768),(33 1348.1714),(34 1346.0094),(35 1351.7322),(36 1360.1718),(37 1374.593),(38 1365.6405),(39 1374.7843),(40 1383.0746),(41 1378.156),(42 1378.4363),(43 1383.256),(44 1384.2604),(45 1388.8895),(46 1385.6334),(47 1385.3859),(48 1365.3422),(49 1358.5553),(50 1352.1904),(51 1350.4943),(52 1336.7456),(53 1321.495),(54 1310.453),(55 1298.3456),(56 1274.5231),(57 1249.5507),(58 1235.4414),(59 1230.2764),(60 1214.4941),(61 1200.11),(62 1178.6213),(63 1167.0905),(64 1154.1622),(65 1131.7488),(66 1121.7697),(67 1120.4761),(68 1106.7726),(69 1105.3629),(70 1091.3129),(71 1083.5588),(72 1071.4227),(73 1055.5922),(74 1043.6606),(75 1042.2999),(76 1039.709),(77 1036.3779),(78 1034.3461),(79 1036.7411),
(1 367.0781),(2 595.9676),(3 734.86975),(4 834.0175),(5 906.6001),(6 946.05676),(7 972.70917),(8 984.872),(9 1008.44934),(10 1025.6603),(11 1050.2903),(12 1067.3739),(13 1083.0348),(14 1097.9434),(15 1114.7596),(16 1131.4412),(17 1143.2599),(18 1163.4425),(19 1184.9502),(20 1191.5585),(21 1199.5254),(22 1202.2316),(23 1212.3534),(24 1215.3359),(25 1239.7399),(26 1249.146),(27 1248.2616),(28 1255.7388),(29 1266.917),(30 1273.3019),(31 1274.8115),(32 1282.2302),(33 1296.1147),(34 1290.9539),(35 1289.7032),(36 1303.9152),(37 1316.3414),(38 1323.3982),(39 1343.8538),(40 1329.5693),(41 1324.7587),(42 1321.2837),(43 1328.521),(44 1329.1943),(45 1333.2224),(46 1345.2363),(47 1338.1394),(48 1320.517),(49 1317.6501),(50 1309.2101),(51 1305.6249),(52 1298.4956),(53 1291.0989),(54 1277.0297),(55 1269.9612),(56 1252.4061),(57 1234.9839),(58 1217.2062),(59 1205.2587),(60 1191.7456),(61 1173.571),(62 1154.0353),(63 1144.2961),(64 1129.1718),(65 1117.3138),(66 1102.5182),(67 1086.1168),(68 1074.6556),(69 1062.1342),(70 1052.8137),(71 1039.8414),(72 1032.6272),(73 1031.4751),(74 1029.501),(75 1025.3522),(76 1023.60443),(77 1021.88464),(78 1019.8151),(79 1034.0498),
(1 367.39978),(2 593.65076),(3 727.5158),(4 809.9455),(5 873.19104),(6 914.93774),(7 946.67114),(8 966.8862),(9 985.8792),(10 1009.38983),(11 1031.1786),(12 1047.0187),(13 1070.2937),(14 1086.436),(15 1112.7189),(16 1130.0925),(17 1133.72),(18 1137.0398),(19 1151.8372),(20 1163.7754),(21 1165.9263),(22 1177.6122),(23 1197.266),(24 1199.5),(25 1203.323),(26 1219.6708),(27 1231.9998),(28 1233.2411),(29 1249.993),(30 1254.9669),(31 1253.8606),(32 1252.9607),(33 1261.2062),(34 1264.1267),(35 1276.7028),(36 1281.2705),(37 1290.0583),(38 1282.4822),(39 1302.8525),(40 1297.6482),(41 1299.7537),(42 1299.7988),(43 1303.2457),(44 1298.4658),(45 1295.8173),(46 1295.8517),(47 1295.4434),(48 1280.2341),(49 1277.5236),(50 1268.6563),(51 1269.0753),(52 1269.0956),(53 1259.9248),(54 1249.6678),(55 1239.7295),(56 1226.5398),(57 1208.7968),(58 1188.2809),(59 1173.5782),(60 1165.4086),(61 1147.4952),(62 1135.7252),(63 1122.9534),(64 1110.2891),(65 1096.8116),(66 1081.3607),(67 1074.8179),(68 1062.2924),(69 1056.6267),(70 1048.0615),(71 1037.5864),(72 1033.399),(73 1023.8399),(74 1016.6166),(75 1010.8702),(76 1010.5561),(77 1009.45874),(78 1004.5042),(79 1005.80853),
(1 351.91928),(2 570.79846),(3 698.87067),(4 795.0927),(5 848.12366),(6 889.13947),(7 926.23627),(8 946.2936),(9 968.7025),(10 991.4233),(11 1007.86847),(12 1024.4354),(13 1056.7277),(14 1073.1155),(15 1092.559),(16 1108.3362),(17 1119.507),(18 1118.3973),(19 1133.9739),(20 1138.7638),(21 1140.5717),(22 1156.6569),(23 1167.1332),(24 1176.6321),(25 1201.2122),(26 1209.5046),(27 1218.3971),(28 1225.3302),(29 1247.5616),(30 1243.2256),(31 1245.172),(32 1259.0231),(33 1265.2493),(34 1278.35),(35 1284.8718),(36 1291.3121),(37 1293.3312),(38 1289.9312),(39 1302.7501),(40 1296.6302),(41 1300.0244),(42 1295.6938),(43 1309.6494),(44 1322.1086),(45 1309.9302),(46 1310.8486),(47 1305.8428),(48 1298.4697),(49 1302.9896),(50 1299.5527),(51 1295.1788),(52 1291.375),(53 1276.642),(54 1268.1373),(55 1252.8616),(56 1237.265),(57 1223.1794),(58 1205.1631),(59 1191.7931),(60 1178.0607),(61 1160.7482),(62 1138.5431),(63 1124.7423),(64 1116.3138),(65 1106.2085),(66 1086.3882),(67 1074.3641),(68 1062.0548),(69 1049.9471),(70 1038.1385),(71 1032.5334),(72 1025.8947),(73 1019.17456),(74 1006.88055),(75 995.08356),(76 984.96246),(77 984.429),(78 980.30444),(79 984.2915),
(1 349.85675),(2 568.99475),(3 696.5756),(4 780.47064),(5 844.85767),(6 881.51855),(7 913.3208),(8 940.3759),(9 965.3477),(10 977.0258),(11 992.58154),(12 1002.37683),(13 1027.4954),(14 1047.2587),(15 1063.6655),(16 1094.3602),(17 1111.6667),(18 1115.8026),(19 1129.3497),(20 1138.1798),(21 1142.646),(22 1138.5044),(23 1138.6427),(24 1156.4541),(25 1167.282),(26 1181.4056),(27 1188.6937),(28 1191.3633),(29 1196.5667),(30 1210.9259),(31 1213.4348),(32 1224.1011),(33 1231.2814),(34 1235.7656),(35 1248.1517),(36 1256.9459),(37 1260.2),(38 1262.2076),(39 1262.4409),(40 1249.1785),(41 1243.4988),(42 1237.8011),(43 1255.2468),(44 1246.4302),(45 1243.6959),(46 1237.3738),(47 1233.8268),(48 1213.6097),(49 1213.0461),(50 1206.8157),(51 1204.0884),(52 1200.089),(53 1194.5126),(54 1189.8214),(55 1178.4414),(56 1157.3206),(57 1142.3942),(58 1121.6135),(59 1104.7354),(60 1097.8651),(61 1084.6864),(62 1063.0304),(63 1050.008),(64 1043.9763),(65 1032.1796),(66 1021.34906),(67 1004.2292),(68 992.7412),(69 981.9983),(70 979.2109),(71 966.71783),(72 958.5315),(73 955.3554),(74 946.6384),(75 951.9193),(76 953.567),(77 955.74585),(78 957.542),(79 957.7105),
(1 347.9583),(2 571.6026),(3 696.6428),(4 773.81085),(5 835.1402),(6 871.91895),(7 903.9165),(8 922.90845),(9 953.96576),(10 968.80225),(11 988.9344),(12 1002.2197),(13 1022.65625),(14 1032.3346),(15 1045.0251),(16 1056.0801),(17 1069.3915),(18 1074.4418),(19 1086.7355),(20 1090.709),(21 1096.1019),(22 1099.3645),(23 1111.6534),(24 1119.0464),(25 1133.5853),(26 1148.9236),(27 1156.7444),(28 1162.966),(29 1167.7611),(30 1173.0364),(31 1181.1707),(32 1191.1505),(33 1200.2965),(34 1208.4698),(35 1221.9923),(36 1237.2327),(37 1246.1882),(38 1233.727),(39 1239.6177),(40 1240.5635),(41 1237.0538),(42 1232.3848),(43 1243.0894),(44 1244.189),(45 1240.3788),(46 1237.7926),(47 1229.3723),(48 1210.4186),(49 1210.6617),(50 1199.4845),(51 1189.6661),(52 1173.4678),(53 1168.4088),(54 1171.8715),(55 1158.843),(56 1142.6296),(57 1127.4886),(58 1110.3572),(59 1095.7634),(60 1087.8318),(61 1072.0164),(62 1059.3757),(63 1051.9956),(64 1039.3907),(65 1029.747),(66 1020.69617),(67 1005.7745),(68 992.77826),(69 984.0216),(70 975.50745),(71 970.4357),(72 962.6737),(73 956.2573),(74 944.4266),(75 938.1746),(76 938.3563),(77 936.4989),(78 934.6975),(79 943.0857),
(1 341.47064),(2 551.32477),(3 675.26483),(4 758.70483),(5 811.92914),(6 849.02985),(7 875.6774),(8 887.946),(9 914.6194),(10 931.7961),(11 945.76825),(12 964.77966),(13 975.2954),(14 981.6649),(15 1001.951),(16 1018.4821),(17 1029.0485),(18 1028.5848),(19 1043.5182),(20 1055.8324),(21 1062.5734),(22 1073.1158),(23 1090.4124),(24 1106.4329),(25 1108.3776),(26 1120.6733),(27 1125.0476),(28 1129.3668),(29 1146.611),(30 1154.9247),(31 1159.6547),(32 1164.521),(33 1173.2346),(34 1175.3547),(35 1179.9952),(36 1189.8508),(37 1197.8496),(38 1191.7476),(39 1199.3452),(40 1199.0027),(41 1191.5548),(42 1184.7375),(43 1199.197),(44 1191.7003),(45 1195.162),(46 1180.8987),(47 1180.3414),(48 1159.8967),(49 1156.2096),(50 1152.8655),(51 1144.4686),(52 1131.186),(53 1125.3008),(54 1122.3162),(55 1115.0476),(56 1110.1554),(57 1095.4952),(58 1074.7473),(59 1061.2366),(60 1045.4149),(61 1033.6279),(62 1025.5654),(63 1012.2115),(64 1000.47266),(65 984.2607),(66 977.0455),(67 965.61304),(68 955.8004),(69 958.2162),(70 950.7167),(71 948.29724),(72 944.844),(73 943.88855),(74 935.5133),(75 940.77313),(76 939.49786),(77 935.50256),(78 926.5727),(79 927.3072),
(1 340.7264),(2 546.2927),(3 660.72656),(4 742.98676),(5 802.3643),(6 832.78174),(7 872.77356),(8 895.47107),(9 917.7907),(10 944.0983),(11 960.9512),(12 975.11945),(13 998.1826),(14 1016.15344),(15 1037.1804),(16 1047.5413),(17 1057.0875),(18 1069.033),(19 1080.3318),(20 1075.8159),(21 1072.9774),(22 1088.3894),(23 1104.6334),(24 1112.9678),(25 1117.9231),(26 1126.5098),(27 1135.4674),(28 1135.4979),(29 1152.4319),(30 1158.578),(31 1161.2786),(32 1163.8452),(33 1172.0001),(34 1173.5887),(35 1184.2385),(36 1187.4282),(37 1187.6055),(38 1185.5671),(39 1205.9746),(40 1205.5933),(41 1211.4492),(42 1208.0853),(43 1212.5658),(44 1211.3495),(45 1214.7821),(46 1219.1951),(47 1214.3768),(48 1194.3046),(49 1186.8164),(50 1183.3495),(51 1178.3503),(52 1171.5244),(53 1158.9791),(54 1145.1151),(55 1134.0681),(56 1122.6261),(57 1115.5594),(58 1101.3181),(59 1088.576),(60 1074.9314),(61 1061.4954),(62 1044.0659),(63 1035.2982),(64 1023.50995),(65 1004.5755),(66 991.31683),(67 981.8661),(68 964.2616),(69 954.4363),(70 949.6054),(71 948.19806),(72 940.2093),(73 938.02875),(74 929.24475),(75 926.08057),(76 929.2408),(77 928.46625),(78 920.3078),(79 921.6764),
(1 336.66095),(2 542.26526),(3 657.1744),(4 743.1118),(5 795.35),(6 826.05316),(7 865.9227),(8 892.65875),(9 909.99133),(10 921.82776),(11 937.75323),(12 951.49396),(13 972.175),(14 983.9907),(15 999.1017),(16 1013.7902),(17 1035.0704),(18 1045.7881),(19 1053.928),(20 1053.3604),(21 1057.1044),(22 1064.3672),(23 1073.4381),(24 1078.0591),(25 1085.3419),(26 1093.9459),(27 1097.7772),(28 1093.9667),(29 1107.4539),(30 1115.9779),(31 1119.9604),(32 1125.1381),(33 1135.0234),(34 1149.6133),(35 1156.9054),(36 1157.4417),(37 1149.1477),(38 1144.8151),(39 1168.795),(40 1166.7601),(41 1169.6887),(42 1177.159),(43 1193.8668),(44 1189.2926),(45 1174.5125),(46 1174.3701),(47 1172.8236),(48 1166.0564),(49 1165.3789),(50 1168.4916),(51 1163.9866),(52 1144.8927),(53 1136.0298),(54 1128.502),(55 1119.0249),(56 1108.3575),(57 1094.2975),(58 1077.8256),(59 1069.2037),(60 1064.8331),(61 1051.4547),(62 1033.7952),(63 1025.7632),(64 1011.95825),(65 994.1874),(66 981.4396),(67 973.27563),(68 960.72327),(69 955.2179),(70 951.44934),(71 947.71985),(72 935.6387),(73 933.1364),(74 926.9001),(75 925.76227),(76 924.9486),(77 920.7257),(78 914.75244),(79 921.62415),
(1 327.88538),(2 531.831),(3 653.7402),(4 731.63043),(5 786.75696),(6 817.75946),(7 844.6531),(8 871.4161),(9 898.42773),(10 915.49786),(11 928.62585),(12 937.5246),(13 947.96277),(14 964.4724),(15 977.5661),(16 988.8176),(17 1002.6963),(18 1008.2548),(19 1019.6208),(20 1036.3345),(21 1042.2261),(22 1041.4669),(23 1055.5126),(24 1057.4877),(25 1065.6628),(26 1078.2496),(27 1085.5161),(28 1093.3552),(29 1104.5562),(30 1114.9235),(31 1116.1775),(32 1118.0238),(33 1128.1304),(34 1121.7264),(35 1124.4221),(36 1130.8403),(37 1144.5935),(38 1148.1877),(39 1160.4778),(40 1158.1732),(41 1160.0991),(42 1167.5292),(43 1178.3994),(44 1181.6547),(45 1177.4369),(46 1171.1124),(47 1172.7554),(48 1161.3489),(49 1157.6515),(50 1149.3983),(51 1142.2133),(52 1131.0985),(53 1117.4485),(54 1108.6879),(55 1094.9719),(56 1082.06),(57 1073.8181),(58 1059.6431),(59 1055.3126),(60 1044.6113),(61 1028.9501),(62 1015.8915),(63 1005.64215),(64 989.2061),(65 979.1359),(66 966.7886),(67 953.35516),(68 943.4847),(69 930.4),(70 922.7282),(71 919.0485),(72 912.6002),(73 912.95404),(74 909.96356),(75 901.8695),(76 902.1258),(77 898.5861),(78 897.1295),(79 893.4173),
(1 327.90717),(2 522.16785),(3 636.6058),(4 708.8369),(5 764.9659),(6 798.88776),(7 830.8173),(8 854.6764),(9 875.0873),(10 884.0115),(11 891.9641),(12 902.96484),(13 922.1549),(14 936.9593),(15 950.3265),(16 960.568),(17 978.7107),(18 984.5433),(19 1000.84845),(20 1006.02344),(21 1012.43225),(22 1021.1134),(23 1024.5376),(24 1034.8855),(25 1037.7777),(26 1043.6989),(27 1060.3275),(28 1062.0522),(29 1078.2902),(30 1079.7286),(31 1082.2565),(32 1088.2474),(33 1096.6265),(34 1098.9695),(35 1109.1644),(36 1112.741),(37 1111.0145),(38 1110.9192),(39 1127.2605),(40 1133.7008),(41 1139.0056),(42 1131.1848),(43 1138.1598),(44 1144.6304),(45 1144.6448),(46 1141.3782),(47 1140.8884),(48 1125.7314),(49 1119.3411),(50 1110.4795),(51 1102.7157),(52 1091.9968),(53 1086.6129),(54 1075.9722),(55 1066.6833),(56 1055.062),(57 1041.0814),(58 1025.8507),(59 1017.2907),(60 1006.0739),(61 994.2732),(62 983.9689),(63 974.8493),(64 965.2158),(65 958.62787),(66 950.4174),(67 937.2202),(68 925.96533),(69 919.39825),(70 914.0181),(71 906.9002),(72 899.48737),(73 892.3125),(74 889.6271),(75 889.2787),(76 891.53253),(77 891.8009),(78 888.3449),(79 885.1722),
(1 315.1545),(2 507.61502),(3 626.44293),(4 707.85266),(5 763.7121),(6 799.9448),(7 823.7466),(8 841.00824),(9 862.38586),(10 877.7474),(11 891.5123),(12 901.5074),(13 912.55493),(14 926.1876),(15 946.0502),(16 954.8003),(17 962.70905),(18 965.24365),(19 970.32666),(20 975.519),(21 973.9449),(22 977.9279),(23 994.04425),(24 1000.82794),(25 1014.6303),(26 1027.4243),(27 1037.7579),(28 1035.7915),(29 1047.5106),(30 1055.0045),(31 1061.281),(32 1066.3627),(33 1083.2239),(34 1090.578),(35 1093.8569),(36 1101.7783),(37 1116.0338),(38 1111.5511),(39 1123.3807),(40 1121.045),(41 1129.0372),(42 1134.6143),(43 1140.032),(44 1134.2667),(45 1130.509),(46 1123.3624),(47 1128.5548),(48 1111.3132),(49 1094.6826),(50 1095.5886),(51 1087.3407),(52 1084.6572),(53 1067.0309),(54 1053.6157),(55 1044.6613),(56 1035.0963),(57 1022.5875),(58 1003.1106),(59 994.42334),(60 984.2837),(61 973.32007),(62 965.7591),(63 947.9106),(64 933.824),(65 922.0868),(66 914.6015),(67 907.7131),(68 899.2142),(69 890.43933),(70 885.9634),(71 881.92285),(72 875.0017),(73 866.4326),(74 866.6396),(75 870.21857),(76 867.36676),(77 862.54834),(78 858.88293),(79 859.5357),
(1 320.03757),(2 522.2446),(3 624.98914),(4 695.15405),(5 749.11334),(6 779.66797),(7 807.11554),(8 824.02374),(9 852.64185),(10 866.39276),(11 881.187),(12 884.1739),(13 899.494),(14 918.96344),(15 937.97046),(16 951.2544),(17 962.93854),(18 970.9205),(19 984.97064),(20 990.1645),(21 990.4625),(22 990.93506),(23 999.91394),(24 1008.3014),(25 1027.252),(26 1036.5975),(27 1048.6469),(28 1053.0974),(29 1066.5067),(30 1075.3861),(31 1080.022),(32 1084.4583),(33 1089.6704),(34 1085.2759),(35 1095.1998),(36 1095.1815),(37 1094.6127),(38 1091.5933),(39 1108.7744),(40 1102.1765),(41 1111.1239),(42 1106.833),(43 1110.5925),(44 1114.9897),(45 1109.2264),(46 1112.4679),(47 1112.4374),(48 1096.3143),(49 1087.7268),(50 1081.1085),(51 1074.3612),(52 1063.7594),(53 1058.1552),(54 1047.8318),(55 1036.6031),(56 1027.4849),(57 1011.7683),(58 1000.3002),(59 997.15875),(60 986.58777),(61 974.6456),(62 961.7244),(63 951.19165),(64 943.388),(65 934.688),(66 921.6572),(67 912.6485),(68 902.90784),(69 894.3289),(70 888.7326),(71 882.03674),(72 877.0404),(73 874.6506),(74 866.8684),(75 859.3468),(76 855.5344),(77 850.2779),(78 843.0044),(79 843.2058),
(1 320.30002),(2 514.9044),(3 621.7829),(4 691.9282),(5 743.0594),(6 774.3715),(7 801.4181),(8 812.8407),(9 823.5349),(10 840.2029),(11 857.33606),(12 869.14154),(13 887.9824),(14 898.4039),(15 907.1194),(16 920.71045),(17 933.35364),(18 940.6594),(19 950.2722),(20 951.75793),(21 950.004),(22 965.7882),(23 982.2636),(24 990.06525),(25 995.05707),(26 1011.0432),(27 1021.23303),(28 1032.385),(29 1042.7074),(30 1048.4613),(31 1045.683),(32 1050.4069),(33 1054.278),(34 1050.22),(35 1065.3348),(36 1077.6709),(37 1084.4102),(38 1083.8522),(39 1090.2977),(40 1095.4209),(41 1088.9185),(42 1088.1765),(43 1086.4713),(44 1080.2794),(45 1078.3706),(46 1074.1593),(47 1077.453),(48 1055.975),(49 1049.0121),(50 1044.1885),(51 1039.0596),(52 1034.7261),(53 1028.6743),(54 1022.2739),(55 1016.7267),(56 1011.532),(57 1001.36206),(58 989.66425),(59 979.23834),(60 968.1678),(61 956.8416),(62 940.62396),(63 926.9758),(64 914.55865),(65 898.10394),(66 894.699),(67 891.31067),(68 884.8758),(69 883.4309),(70 878.2367),(71 868.8188),(72 860.2756),(73 854.02136),(74 852.3982),(75 846.7699),(76 846.65234),(77 846.41656),(78 844.0936),(79 847.3857),
