1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 89999.77),(2 318714.34),(3 694942.94),(4 1229575.6),(5 1966623.5),(6 2858056.3),(7 3771234.3),(8 4861438.5),(9 5711519.5),(10 6332729.5),(11 6901637.5),(12 7498044),(13 8050966),(14 8602082),(15 9080249),(16 9468343),(17 9771508),(18 9997533),(19 10137418),(20 10200583),(21 10223540),(22 10222596),(23 10104161),(24 9887936),(25 9595249),(26 9197142),(27 8708156),(28 8210344),(29 7694090),(30 7284924),(31 7109457.5),(32 7112519.5),(33 7243059.5),(34 7401990),(35 7541044.5),(36 7590625.5),(37 7551508.5),(38 7484956),(39 7523153.5),(40 7636939.5),(41 7671006),(42 7741054.5),(43 7773138),(44 7846892),(45 7941062.5),(46 8075242.5),(47 8215442),(48 8300030.5),(49 8343364),(50 8337509.5),(51 8288578.5),(52 8143821.5),(53 7994109.5),(54 7840309.5),(55 7707284),(56 7637187.5),(57 7585378),(58 7689804.5),(59 7687518),(60 7718530.5),(61 7800645.5),(62 7894870),(63 8061000),(64 8227594.5),(65 8463573),(66 8670268),(67 8908825),(68 9130643),(69 9474868),(70 9813838),(71 10204337),(72 10609227),(73 11030526),(74 11398059),(75 11778051),(76 12064244),(77 12309977),(78 12663581),(79 12883611),
(1 14822.843),(2 29802.11),(3 46405.863),(4 61168.547),(5 74070.484),(6 86009.14),(7 95320.54),(8 104138.875),(9 110440.625),(10 116402.98),(11 121346.4),(12 125108.9),(13 130419.8),(14 134036.88),(15 137753.66),(16 141223.06),(17 141374.31),(18 143544.25),(19 144816.3),(20 145638.69),(21 146654.08),(22 146583.13),(23 147851.05),(24 148499.66),(25 149414.61),(26 149686.58),(27 150093.16),(28 151025.86),(29 152798.03),(30 154448.88),(31 156840.08),(32 158647.44),(33 160454.56),(34 161729.7),(35 161826.39),(36 160956.52),(37 160225.2),(38 158796.47),(39 156887.02),(40 154978.61),(41 152725.7),(42 150692.31),(43 149274.38),(44 147063.2),(45 145389.73),(46 143015.69),(47 140950.58),(48 140304.77),(49 138649),(50 139022.8),(51 139416.84),(52 140035.9),(53 141301.72),(54 142888.56),(55 144756.45),(56 147023.89),(57 148952.53),(58 151543.56),(59 154108.86),(60 156376.67),(61 158167.22),(62 159144.19),(63 159705.77),(64 160629),(65 161899.61),(66 162615.44),(67 163320.05),(68 163198.19),(69 161675.1),(70 160860.11),(71 159786.55),(72 158441.7),(73 158340.4),(74 157170.05),(75 155867.17),(76 155036.22),(77 153527.52),(78 153124.19),(79 153674.9),
(1 15233.309),(2 29726.074),(3 44916.133),(4 58268.41),(5 70411.79),(6 82926.53),(7 91775.48),(8 99914.91),(9 105561.016),(10 110985.59),(11 115172.74),(12 118809.1),(13 123725.266),(14 126470.55),(15 129039.76),(16 131066.14),(17 131852.75),(18 133678.16),(19 135105.36),(20 137117.78),(21 138555.69),(22 139574.94),(23 141453.19),(24 142157.7),(25 142833.81),(26 142856.42),(27 143469.2),(28 143480.45),(29 144973.58),(30 146863.03),(31 150257.19),(32 153395.19),(33 155685.22),(34 156827.25),(35 157603.3),(36 157598.56),(37 157565.64),(38 156083.55),(39 155301.8),(40 154661.19),(41 153579.7),(42 151993.48),(43 150164.86),(44 147889.55),(45 147483.1),(46 147219.3),(47 148022.78),(48 148203),(49 146991.4),(50 146879.66),(51 146169.73),(52 145391.44),(53 143960.13),(54 144073.6),(55 145364.42),(56 148326.4),(57 150841.19),(58 152806.45),(59 154775.19),(60 156363.3),(61 157752.42),(62 159156.69),(63 159367.11),(64 159861.77),(65 158969.05),(66 158098.19),(67 156867.95),(68 155330.9),(69 153785.94),(70 152401.14),(71 151028.2),(72 149728.88),(73 149465.11),(74 149280.38),(75 149636.22),(76 149999.66),(77 149786.64),(78 150403.7),(79 150829.34),
(1 14539.818),(2 28846.313),(3 43876.11),(4 56429.04),(5 67767.68),(6 79211.7),(7 88019.19),(8 96683.4),(9 102511.14),(10 108177.586),(11 112730.414),(12 116366.484),(13 122059.055),(14 125711.6),(15 128798.766),(16 132421.47),(17 133657.77),(18 136377.53),(19 137229.9),(20 138233.22),(21 138367.92),(22 138252.02),(23 138379.83),(24 137508.23),(25 138583.58),(26 139277.61),(27 140337.45),(28 141150.11),(29 142815.1),(30 145065.73),(31 147688.06),(32 150099.34),(33 152085.44),(34 152824.47),(35 153131.72),(36 152343.19),(37 151268.94),(38 149043.05),(39 147203.34),(40 145825.84),(41 145221.02),(42 145698.83),(43 146553.27),(44 146541.14),(45 146653.72),(46 145758.81),(47 145693.47),(48 146538.1),(49 146715.7),(50 147257.53),(51 147277.39),(52 147248.36),(53 147168.02),(54 146993.88),(55 147225.31),(56 147932.4),(57 148080.95),(58 146976.9),(59 147130.48),(60 147072.61),(61 148078.2),(62 148658.98),(63 149034.06),(64 149639.69),(65 149459.33),(66 149909.86),(67 150359.84),(68 150775.8),(69 151039.5),(70 151231.5),(71 150920.83),(72 150211.72),(73 150695.75),(74 150605.22),(75 150989.36),(76 151176.33),(77 150517.73),(78 149660.28),(79 149818.44),
(1 14528.299),(2 28380.572),(3 43513.336),(4 55207.984),(5 66277.984),(6 78045.59),(7 86547.445),(8 94415.555),(9 100230.66),(10 105397.016),(11 109569.945),(12 114200.625),(13 120071.2),(14 125567.266),(15 129314.78),(16 134127.58),(17 135373.64),(18 137681.61),(19 138553.27),(20 139276.11),(21 139831.88),(22 140054.55),(23 140080.88),(24 140335.42),(25 140887.42),(26 140518.44),(27 140828.9),(28 141076.55),(29 140986.02),(30 142530.75),(31 144622.72),(32 146415.88),(33 147419.73),(34 148442.69),(35 149456.45),(36 149926.75),(37 149744.17),(38 148527.75),(39 147713.31),(40 147403.73),(41 147956.3),(42 147416.47),(43 147985.13),(44 147928.64),(45 147074.27),(46 146663),(47 146722.14),(48 147330.23),(49 146439.6),(50 145017.34),(51 144013.73),(52 144356.56),(53 143012.1),(54 142540.25),(55 142380.95),(56 142603.53),(57 143000.52),(58 143542.61),(59 145316.97),(60 147840.94),(61 149277.56),(62 149981.83),(63 150467.6),(64 149848.23),(65 150360.81),(66 150690.47),(67 151355.73),(68 151201.88),(69 151076.16),(70 151488.88),(71 152421.52),(72 152522.83),(73 153856.44),(74 154882.8),(75 155378.4),(76 156033.11),(77 155713.95),(78 156446.69),(79 156644.69),
(1 14901.007),(2 29135.422),(3 45417.766),(4 58926.74),(5 71292.484),(6 83839.51),(7 92863.33),(8 100440.74),(9 105499.195),(10 109896.3),(11 114188.39),(12 119024.13),(13 125056.31),(14 129787.87),(15 133833.86),(16 138961.13),(17 141504.92),(18 144322.88),(19 146304.5),(20 146303.7),(21 145413.16),(22 145045.33),(23 144670),(24 144619.34),(25 145738.64),(26 146418.89),(27 148292.8),(28 149486.78),(29 151368),(30 153688.84),(31 156689.86),(32 159080.53),(33 159909.14),(34 160309.86),(35 160343.38),(36 159489.34),(37 158306.33),(38 155310.23),(39 152548.6),(40 149826.1),(41 148073.8),(42 145056.56),(43 142056.27),(44 138702.69),(45 136839.7),(46 134868.47),(47 134102.3),(48 133870.31),(49 133302.36),(50 132905.52),(51 132894.77),(52 133668.84),(53 134991.6),(54 136809.64),(55 138286.9),(56 140582.36),(57 142964.17),(58 144972.67),(59 147508.78),(60 149518.56),(61 151765.67),(62 153248.63),(63 153289.17),(64 153736.42),(65 153242.72),(66 152367.44),(67 151111.13),(68 150178.33),(69 149317.34),(70 148982.2),(71 148692.52),(72 148304.53),(73 147715.86),(74 147916.23),(75 147751.63),(76 147661.72),(77 147407.77),(78 147810.7),(79 147432.6),
(1 14283.406),(2 28264.584),(3 42897.67),(4 55219.95),(5 65929.836),(6 77419.98),(7 85993.53),(8 93713.43),(9 99296.51),(10 104162.26),(11 108290.63),(12 111906),(13 116051.72),(14 118840.47),(15 121085.01),(16 123356.78),(17 123924.37),(18 125448.85),(19 126766.914),(20 127842.21),(21 128260.34),(22 127895.375),(23 127299.25),(24 125852.48),(25 126097.9),(26 126980.086),(27 127922.22),(28 129666.04),(29 130965.31),(30 133988.17),(31 136220.02),(32 138765.89),(33 139792.33),(34 140072.3),(35 140621.31),(36 141583.89),(37 141987.86),(38 141611.88),(39 140111.13),(40 139538.66),(41 137929.78),(42 136368.19),(43 135984.7),(44 135459.81),(45 135370.72),(46 134063.55),(47 133340.61),(48 133485.27),(49 133810.86),(50 135309.3),(51 135372.3),(52 135848.89),(53 136050.08),(54 137310.63),(55 138415.39),(56 138822.17),(57 138671.8),(58 139044.55),(59 140133.58),(60 141359.89),(61 143045.89),(62 144541.38),(63 145019.52),(64 145437.27),(65 144855.45),(66 144395.77),(67 144180.03),(68 145046.67),(69 144281.03),(70 143159.38),(71 141054.94),(72 139869.33),(73 139050.7),(74 138345.38),(75 138208.75),(76 137771.14),(77 137472.44),(78 137474.36),(79 137140.98),
(1 14568.314),(2 28368.492),(3 43048.742),(4 55026.92),(5 66020.24),(6 77413.89),(7 85609.91),(8 93552.055),(9 98599.47),(10 103162.24),(11 106439.16),(12 109810.71),(13 115143.85),(14 118693.945),(15 121599.56),(16 125945.82),(17 128702.89),(18 132288.1),(19 134202.17),(20 136369.34),(21 138089.1),(22 138554.05),(23 139607.92),(24 139320.31),(25 139953.67),(26 141298.08),(27 142624.63),(28 142965.33),(29 144215.27),(30 146562.69),(31 149104.75),(32 152486.4),(33 153913.78),(34 154142.89),(35 154180.28),(36 153658.28),(37 152906.3),(38 150516.53),(39 148053.25),(40 145501.23),(41 143368.11),(42 140832.94),(43 140096.53),(44 138886.95),(45 138636.03),(46 138024.64),(47 138176.52),(48 138546.47),(49 138682.52),(50 137802.67),(51 136716.08),(52 137184.14),(53 136481.39),(54 136649.19),(55 136468.38),(56 136164.64),(57 136765.1),(58 137559.58),(59 139276.4),(60 140513.36),(61 142607.28),(62 144990.61),(63 146685.94),(64 147487.7),(65 148215.33),(66 148379.23),(67 147767.75),(68 146517.97),(69 143687.13),(70 141428.89),(71 139461.23),(72 137692.78),(73 137527.56),(74 137582.6),(75 136958.89),(76 136810.16),(77 136190.9),(78 135992.8),(79 135665.27),
(1 14453.168),(2 27686.486),(3 42345.19),(4 54233.813),(5 65051.406),(6 76723.03),(7 84207.734),(8 91586.445),(9 96460.14),(10 101485.3),(11 105990.805),(12 110990.164),(13 115901.414),(14 118500.516),(15 120712.52),(16 123022.61),(17 123041.67),(18 124984.04),(19 127115.016),(20 128029.22),(21 128635.28),(22 129408.34),(23 130268.664),(24 130383.82),(25 130916.02),(26 130379.06),(27 130317.04),(28 130137.805),(29 131715.02),(30 133863.58),(31 135910.97),(32 137846.63),(33 137788.56),(34 137956.69),(35 138185.92),(36 137904.05),(37 137607.05),(38 136485.14),(39 135418.97),(40 134129.23),(41 134502.72),(42 134543.2),(43 134246.16),(44 133248.28),(45 132548.78),(46 131863.17),(47 132172.02),(48 131767.86),(49 131992.02),(50 132574.73),(51 133368),(52 133299.55),(53 131855.92),(54 131862.48),(55 131008.37),(56 130641.99),(57 130731.96),(58 131630.5),(59 132418.69),(60 133725.56),(61 135496.66),(62 136558.69),(63 138581.6),(64 139014.67),(65 140521.42),(66 140020.94),(67 139178.05),(68 139467.67),(69 138601.66),(70 137981.84),(71 137708.89),(72 136366.03),(73 136043.17),(74 136138.13),(75 135509.4),(76 135671.23),(77 135605.2),(78 135826.25),(79 135731.83),
(1 14389.629),(2 28156.803),(3 43315.617),(4 56235.137),(5 66989.69),(6 78130.48),(7 85473.2),(8 92499.24),(9 97529.46),(10 102845.71),(11 107564.73),(12 112568.23),(13 118596.31),(14 122118.41),(15 124718.83),(16 128078.02),(17 128678.47),(18 131163.02),(19 133267.3),(20 135160.16),(21 136677.45),(22 137192.92),(23 138275.6),(24 138651.89),(25 139366.22),(26 139672.34),(27 140771.53),(28 141053.63),(29 142686.83),(30 144235.13),(31 145373.42),(32 146832.55),(33 147483.78),(34 148563.78),(35 148528.89),(36 147716.88),(37 146859.67),(38 144978.28),(39 143882.67),(40 143459.17),(41 143543.38),(42 143219.19),(43 142706.94),(44 142305.75),(45 140955.25),(46 139730.52),(47 138861.06),(48 137630.16),(49 136961.66),(50 135483.52),(51 135251.02),(52 134870.7),(53 134546.19),(54 134810.58),(55 135198.45),(56 136442.4),(57 137491.5),(58 138373.34),(59 139223.81),(60 140884.88),(61 141904.31),(62 142408.4),(63 142603.9),(64 142457.1),(65 141834.98),(66 141254.88),(67 140800.88),(68 140182.92),(69 138853.34),(70 138464.19),(71 137631.6),(72 136733.42),(73 137975.47),(74 138072.69),(75 138983.02),(76 139829.06),(77 140178),(78 141226.44),(79 141160.89),
(1 13987.864),(2 26770.418),(3 40530.047),(4 51648.86),(5 61405.332),(6 71276.21),(7 78259.44),(8 85071.914),(9 89403.91),(10 92999.84),(11 96266.64),(12 99062.45),(13 102371.72),(14 104282.84),(15 105609.6),(16 106973.516),(17 108096.58),(18 109355.266),(19 110082.24),(20 110215.65),(21 110662.66),(22 111086.09),(23 112160.695),(24 112597.25),(25 113317.086),(26 113885.305),(27 114907.42),(28 115458.28),(29 116334.7),(30 118141.89),(31 119062.26),(32 120526.93),(33 122156.55),(34 123341.086),(35 124077.664),(36 124329.68),(37 124370.13),(38 122312.25),(39 120933.516),(40 120095.09),(41 119223.89),(42 118568.18),(43 117822.41),(44 116814.36),(45 115754.93),(46 114776.03),(47 113359.58),(48 113276.46),(49 113554.11),(50 113831.87),(51 114236.016),(52 116082.22),(53 117318.88),(54 118259.69),(55 118906.38),(56 119531.055),(57 119952.38),(58 120318.13),(59 121609.8),(60 122594.22),(61 123240.75),(62 123414.766),(63 123912.44),(64 124367.55),(65 124572.734),(66 124274.69),(67 123584.26),(68 123279.086),(69 122848.625),(70 122862.125),(71 123444.516),(72 124364.66),(73 125301.69),(74 124721.76),(75 124255.58),(76 124846.586),(77 124382.28),(78 124260.68),(79 124781.99),
(1 13380.511),(2 26420.207),(3 40364.375),(4 50836.22),(5 60779.95),(6 70974.086),(7 77672.2),(8 84579.87),(9 88211.87),(10 92127.74),(11 95637.02),(12 98092.625),(13 101504.44),(14 104578.13),(15 107251.98),(16 109971.37),(17 111073.945),(18 112951.98),(19 113980.84),(20 113745.16),(21 113799.21),(22 114229.86),(23 115551.766),(24 116059.93),(25 117033.16),(26 117385.12),(27 118732.69),(28 119846.125),(29 122540.95),(30 125519.65),(31 128118.82),(32 131111.44),(33 132034.64),(34 133032.44),(35 132950.4),(36 133310.52),(37 133482.45),(38 132503.72),(39 131808.02),(40 131498.83),(41 130860.84),(42 129505.98),(43 127924.516),(44 126331.695),(45 125658.79),(46 124440.45),(47 123490.01),(48 123422.32),(49 123138.625),(50 122704.88),(51 122200.91),(52 122529.234),(53 121862.92),(54 122617.61),(55 123865.805),(56 125175.6),(57 126841.61),(58 127186.09),(59 128054.664),(60 129360.71),(61 130174.46),(62 130538.09),(63 130614.414),(64 130678.65),(65 130031.414),(66 129693.56),(67 128615.89),(68 128485.91),(69 127920.96),(70 128042.35),(71 127612.62),(72 126801.57),(73 126782.09),(74 126726.07),(75 125844.69),(76 125656.69),(77 124991.875),(78 124652.07),(79 124717.67),
(1 13330.197),(2 25636.582),(3 38993.434),(4 49309.15),(5 59089.47),(6 68498.39),(7 75370.01),(8 81228.48),(9 84873.21),(10 88401.99),(11 91483.37),(12 93293.43),(13 96632.07),(14 98700.57),(15 100659.99),(16 102760.71),(17 103027.01),(18 105129.43),(19 106271.05),(20 106985.85),(21 107818.7),(22 108839.555),(23 109643.51),(24 109799.42),(25 110254.49),(26 111199.75),(27 113034.27),(28 113777.03),(29 114527.16),(30 116241.586),(31 117618.86),(32 119318.336),(33 120537.39),(34 121689.78),(35 122274.75),(36 123087.96),(37 123310.37),(38 122878.836),(39 121559.21),(40 120554.61),(41 119258.23),(42 117654.75),(43 115852.984),(44 114071.125),(45 113519.125),(46 113729.82),(47 113937.914),(48 115154.54),(49 115989.94),(50 116521.516),(51 117674.07),(52 118695.17),(53 119816),(54 121210.555),(55 122767.055),(56 124364.59),(57 125453.01),(58 125879.27),(59 126994.445),(60 127233.14),(61 127970.38),(62 128270.01),(63 128086.9),(64 127609.484),(65 125955.8),(66 124972.16),(67 124383.875),(68 121912.93),(69 120459.92),(70 119747.016),(71 118803.89),(72 118266.54),(73 118651.85),(74 118850.01),(75 119396.766),(76 119928.48),(77 120433.555),(78 121128.41),(79 122336.71),
(1 13413.489),(2 25770.5),(3 39168.168),(4 48918.684),(5 58644.004),(6 67894.12),(7 74271.82),(8 79931.93),(9 83487.72),(10 86328.78),(11 88548.02),(12 90544.16),(13 94904.52),(14 97989.61),(15 99768.99),(16 102026.99),(17 102758.414),(18 104557.83),(19 105883.17),(20 106381.28),(21 107329),(22 108028.086),(23 108548.88),(24 108273.28),(25 108988.84),(26 108893.914),(27 109141.484),(28 109175.42),(29 109674.445),(30 111805.07),(31 113841.34),(32 116228.27),(33 117370.51),(34 118870.586),(35 119558.76),(36 119737.484),(37 119128.04),(38 118637.914),(39 117485.21),(40 116858.66),(41 116302.82),(42 115149.73),(43 115070.78),(44 113778.63),(45 112742.234),(46 111395.8),(47 110389.18),(48 110421.63),(49 110810.31),(50 112093.02),(51 113289.21),(52 113559.63),(53 113960.37),(54 114062.64),(55 114624.72),(56 115662.69),(57 116821.93),(58 117703.12),(59 118710.33),(60 119183.6),(61 119279.38),(62 117777.484),(63 116427.586),(64 114863.48),(65 114463.12),(66 114922.19),(67 114885.45),(68 114112.6),(69 113395.54),(70 113239.81),(71 112725.28),(72 112447.86),(73 113162.14),(74 113011.37),(75 112977.734),(76 113149.734),(77 112823.45),(78 112661.914),(79 113165.86),
(1 13311.514),(2 25804.38),(3 39669.297),(4 50564.04),(5 61346.6),(6 71170.09),(7 77681.56),(8 83757.836),(9 87527.19),(10 92103.016),(11 95303.5),(12 98288.87),(13 102106.89),(14 104334.945),(15 106306.99),(16 108255.73),(17 109261.2),(18 111377.67),(19 113427.28),(20 114927.6),(21 114781.77),(22 115538.695),(23 115928.76),(24 116071.83),(25 116362.305),(26 116670.89),(27 117087.125),(28 117745.305),(29 119105.3),(30 120547.84),(31 122346.484),(32 124222.875),(33 125248.25),(34 126206.54),(35 126224.62),(36 126286.44),(37 126147.25),(38 124771.99),(39 123542.39),(40 122683.05),(41 121138.9),(42 120145.055),(43 119620.68),(44 119257.914),(45 119081.055),(46 118767.69),(47 118015.24),(48 118522.55),(49 119452.82),(50 119621.53),(51 119364.09),(52 118632.39),(53 117453.26),(54 117647.63),(55 117861.93),(56 119240.9),(57 119191.33),(58 119547.68),(59 120228.43),(60 119483.2),(61 119590.94),(62 119145.48),(63 118047.49),(64 117495.805),(65 117526.24),(66 117536.04),(67 117620.83),(68 118247.71),(69 117989.055),(70 118785.15),(71 118894.47),(72 119100.484),(73 119499.914),(74 118841.875),(75 118881.71),(76 119822.71),(77 119492.81),(78 120291.68),(79 120790.164),
(1 13123.407),(2 25159.14),(3 38521.36),(4 49220.7),(5 59991.79),(6 69964.82),(7 77058.625),(8 83076.79),(9 86730.48),(10 90804.46),(11 93699.46),(12 95943.375),(13 100819.555),(14 103649.7),(15 105485.95),(16 107773.086),(17 107851.305),(18 109144.42),(19 108903.8),(20 108053.266),(21 107111.18),(22 106363.516),(23 106687.95),(24 105826.73),(25 105302.234),(26 104764.37),(27 104849.14),(28 104970.62),(29 106059.62),(30 107993.45),(31 110081.72),(32 112733.62),(33 114710.78),(34 115853.93),(35 116719.47),(36 116806.13),(37 116607.07),(38 115438.27),(39 113909.91),(40 112046.52),(41 110302.74),(42 109151.4),(43 108288.35),(44 107891.01),(45 107004.78),(46 106651.234),(47 107117.28),(48 107881.4),(49 108102.125),(50 108526.32),(51 107472.484),(52 106702.766),(53 106548.85),(54 107427.73),(55 109095.54),(56 110993.42),(57 113195.11),(58 115151.75),(59 116541.74),(60 117140.83),(61 117727.51),(62 117783.88),(63 118742.164),(64 118901.13),(65 119442.81),(66 119884.89),(67 119662.74),(68 119092.734),(69 118760.26),(70 118274.73),(71 116821.31),(72 115285.34),(73 114654.78),(74 113822.87),(75 113426.695),(76 113359.36),(77 113128.65),(78 112917.305),(79 112875.234),
(1 13235.98),(2 24613.418),(3 36761.477),(4 45927.727),(5 54903.938),(6 64628.047),(7 70792.53),(8 76454.5),(9 80351.04),(10 83739.72),(11 86540.2),(12 88827.64),(13 93115.81),(14 96387.875),(15 98630.28),(16 102107.11),(17 103036.39),(18 104476.53),(19 105293.32),(20 105175.88),(21 105227.67),(22 105420.445),(23 106231.27),(24 105543.15),(25 105489.99),(26 104591.45),(27 104099.375),(28 104262.52),(29 106218.05),(30 107918.55),(31 110013.96),(32 112213.81),(33 113545.69),(34 114822.234),(35 115354.445),(36 115596.8),(37 115150.29),(38 113706.586),(39 112355.23),(40 111406.77),(41 110032.336),(42 109108.87),(43 108117.15),(44 107473.88),(45 107645.086),(46 108586.56),(47 109112.836),(48 109894.77),(49 110274.625),(50 110707.23),(51 110926.93),(52 110590.72),(53 111836.64),(54 112230.36),(55 112925.23),(56 112917.13),(57 112946.195),(58 113114.805),(59 113567.01),(60 113956.13),(61 113473.95),(62 112995.375),(63 112838.99),(64 112236.68),(65 112109.92),(66 112072.15),(67 112541.17),(68 113347.69),(69 113285.555),(70 113946.83),(71 114665.2),(72 115392.734),(73 114923.03),(74 114143.55),(75 113723.63),(76 112604.97),(77 112215.03),(78 112028.195),(79 112181.01),
(1 12866.129),(2 24146.445),(3 37074.223),(4 46893.242),(5 56188.953),(6 65238.336),(7 70896.92),(8 76201.09),(9 79959.91),(10 83533.484),(11 85635.945),(12 87926.1),(13 92159.59),(14 95229.375),(15 97961.695),(16 100902.93),(17 102659.69),(18 104586.89),(19 105987.734),(20 105812.8),(21 106171.85),(22 105885.29),(23 105794.19),(24 105900.03),(25 105681.44),(26 105440.63),(27 106051.836),(28 106690.45),(29 108227.375),(30 110455.766),(31 113313.52),(32 116876.54),(33 118347.97),(34 120369.35),(35 120602.63),(36 120032.836),(37 119245.07),(38 118202.664),(39 116940.5),(40 116314.33),(41 115347.24),(42 114202.57),(43 113438.22),(44 112956),(45 113053.28),(46 112980.5),(47 112779.73),(48 112888.76),(49 112524.805),(50 112177.734),(51 113308.84),(52 114171.516),(53 114692.086),(54 115567.37),(55 115615.59),(56 115553.25),(57 115120.49),(58 113443.695),(59 112649.32),(60 111473.79),(61 110745.42),(62 110853.516),(63 110876.74),(64 110448.33),(65 110260.984),(66 109857.29),(67 109472.63),(68 108426.625),(69 107943.5),(70 107484.445),(71 107370.625),(72 107119.29),(73 106362.46),(74 106357.06),(75 106340.63),(76 105794.76),(77 106045.92),(78 105913.57),(79 106305.875),
(1 12913.909),(2 24387.67),(3 36973.195),(4 46584.207),(5 55482.176),(6 64324.258),(7 69461.99),(8 74811.48),(9 78102.52),(10 81715.65),(11 84383.836),(12 86519.34),(13 90226.11),(14 92595.54),(15 94510.22),(16 96159.74),(17 97224.42),(18 99176.45),(19 100004.42),(20 101080.234),(21 101467.61),(22 101952.234),(23 102894.78),(24 102722.2),(25 103298.984),(26 103171.73),(27 103555.28),(28 103663.97),(29 105078.69),(30 106869.22),(31 108388.7),(32 110619.43),(33 111587.33),(34 112027.55),(35 110785.1),(36 109558.31),(37 108111.65),(38 106279.06),(39 104925.69),(40 103347.32),(41 102158.43),(42 100913.125),(43 99506.76),(44 99437.77),(45 99857.18),(46 100030.91),(47 101095.13),(48 101714.086),(49 102773.33),(50 103181.38),(51 103666.6),(52 104760.91),(53 105867.09),(54 106709.31),(55 107223.086),(56 108176.84),(57 108353.5),(58 108766.086),(59 109088.22),(60 108927.3),(61 108843.51),(62 109189.37),(63 109506.87),(64 108942.69),(65 108244.195),(66 108241.25),(67 108550.87),(68 108843.445),(69 109003.67),(70 109206.95),(71 109729.164),(72 109660.35),(73 109255.1),(74 109013.18),(75 109506.97),(76 109806.99),(77 109522.82),(78 109288.04),(79 108367.016),
