1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1112.3485),(2 1076.9675),(3 1758.352),(4 1453.7594),(5 2065.2263),(6 1750.6327),(7 2307.896),(8 1914.385),(9 2451.6045),(10 2062.9414),(11 2559.0933),(12 2124.3052),(13 2614.5193),(14 2179.4683),(15 2634.505),(16 2164.017),(17 2621.7832),(18 2168.4402),(19 2617.1907),(20 2190.7925),(21 2658.4265),(22 2216.2527),(23 2655.3875),(24 2203.64),(25 2692.4778),(26 2295.471),(27 2818.7422),(28 2485.9124),(29 3030.171),(30 2748.4976),(31 3361.4434),(32 3098.9326),(33 3690.162),(34 3421.687),(35 4043.329),(36 3789.5032),(37 4423.5845),(38 4169.472),(39 4831.447),(40 4560.1514),(41 5224.0776),(42 4972.806),(43 5584.9434),(44 5330.3423),(45 5949.3296),(46 5676.39),(47 6301.7383),(48 6063.273),(49 6661.5513),(50 6402.1733),(51 6997.906),(52 6676.3867),(53 7239.956),(54 6906.2),(55 7422.8145),(56 7099.19),(57 7633.4097),(58 7264.4243),(59 7795.8813),(60 7455.0996),(61 7950.9087),(62 7563.806),(63 8080.3833),(64 7707.2285),(65 8186.766),(66 7834.7993),(67 8324.209),(68 7915.8643),(69 8371.105),(70 7972.626),(71 8444.377),(72 8030.7676),(73 8485.401),(74 8022.954),(75 8498.132),(76 8079.61),(77 8531.998),(78 8099.844),(79 8528.416),
(1 1124.856),(2 1067.5636),(3 1733.4122),(4 1428.2354),(5 2016.1606),(6 1692.9227),(7 2259.678),(8 1875.8531),(9 2419.6648),(10 2019.7819),(11 2527.2),(12 2087.3513),(13 2587.2458),(14 2142.7947),(15 2612.207),(16 2152.5347),(17 2613.4224),(18 2155.3242),(19 2610.93),(20 2144.9763),(21 2618.408),(22 2165.8745),(23 2641.8882),(24 2202.3718),(25 2673.1672),(26 2259.305),(27 2811.6155),(28 2481.5254),(29 3028.7803),(30 2715.251),(31 3340.7285),(32 3055.5347),(33 3656.0676),(34 3360.8384),(35 3995.9897),(36 3714.9456),(37 4373.3066),(38 4105.118),(39 4792.213),(40 4561.3027),(41 5243.3223),(42 4951.2075),(43 5564.805),(44 5350.613),(45 6013.436),(46 5811.086),(47 6443.7876),(48 6191.597),(49 6799.9526),(50 6531.394),(51 7124.7407),(52 6791.6367),(53 7380.2344),(54 7056.7554),(55 7605.859),(56 7234.5356),(57 7718.1577),(58 7342.7803),(59 7853.047),(60 7473.6104),(61 7954.251),(62 7565.789),(63 8047.1313),(64 7635.1807),(65 8145.5195),(66 7783.5234),(67 8264.602),(68 7867.1206),(69 8330.157),(70 7926.8564),(71 8411.779),(72 8003.0757),(73 8461.163),(74 8017.111),(75 8506.448),(76 8051.719),(77 8517.25),(78 8103.269),(79 8559.535),
(1 1142.5144),(2 1046.2195),(3 1739.4347),(4 1382.15),(5 2010.5215),(6 1654.1997),(7 2240.933),(8 1840.9993),(9 2408.506),(10 2003.9905),(11 2513.7827),(12 2046.4993),(13 2560.3147),(14 2090.7483),(15 2581.4954),(16 2100.7551),(17 2558.77),(18 2069.6226),(19 2568.4258),(20 2094.2727),(21 2583.4705),(22 2116.4536),(23 2605.1711),(24 2125.1348),(25 2642.8445),(26 2220.62),(27 2803.504),(28 2441.2178),(29 3009.1326),(30 2714.318),(31 3349.4905),(32 3060.717),(33 3706.0193),(34 3392.2258),(35 4037.3833),(36 3752.019),(37 4427.9927),(38 4186.8125),(39 4918.667),(40 4682.0474),(41 5406.2163),(42 5132.228),(43 5790.7603),(44 5566.0693),(45 6291.519),(46 6090.557),(47 6754.7397),(48 6520.413),(49 7139.0894),(50 6848.6973),(51 7481.0537),(52 7186.059),(53 7790.2593),(54 7440.4243),(55 8014.0767),(56 7647.7266),(57 8149.4517),(58 7734.9346),(59 8208.429),(60 7795.6797),(61 8297.883),(62 7909.846),(63 8391.764),(64 7985.9067),(65 8451.053),(66 8039.6436),(67 8515.978),(68 8083.239),(69 8545.681),(70 8101.792),(71 8583.365),(72 8109.622),(73 8528.355),(74 8117.6),(75 8617.009),(76 8144.264),(77 8546.917),(78 8109.446),(79 8552.35),
(1 1098.0898),(2 1049.6646),(3 1688.2458),(4 1381.7515),(5 1958.5181),(6 1657.9857),(7 2189.5881),(8 1835.9917),(9 2374.0247),(10 2004.778),(11 2467.9688),(12 2057.2842),(13 2540.293),(14 2116.2078),(15 2566.9905),(16 2128.9783),(17 2581.1267),(18 2119.1301),(19 2576.425),(20 2109.3643),(21 2567.8748),(22 2137.6108),(23 2618.9697),(24 2165.9902),(25 2650.5896),(26 2256.2632),(27 2804.2207),(28 2476.9548),(29 3018.7158),(30 2716.8064),(31 3321.8613),(32 3046.793),(33 3677.679),(34 3365.8777),(35 3989.0862),(36 3698.5613),(37 4358.35),(38 4092.948),(39 4716.7603),(40 4469.6084),(41 5138.2886),(42 4873.256),(43 5478.464),(44 5263.0137),(45 5926.6),(46 5696.8545),(47 6310.0884),(48 6053.9136),(49 6660.7554),(50 6357.4873),(51 6984.3467),(52 6703.997),(53 7250.1587),(54 6897.956),(55 7400.616),(56 7059.79),(57 7542.3086),(58 7193.7676),(59 7678.5454),(60 7332.813),(61 7775.5605),(62 7455.6177),(63 7938.1963),(64 7555.624),(65 8013.018),(66 7654.705),(67 8093.828),(68 7678.1177),(69 8163.1763),(70 7780.4614),(71 8265.09),(72 7842.299),(73 8226.473),(74 7791.7227),(75 8241.385),(76 7802.261),(77 8231.427),(78 7800.988),(79 8194.704),
(1 1078.1779),(2 1031.3315),(3 1647.0414),(4 1332.7722),(5 1903.9778),(6 1592.0122),(7 2107.8623),(8 1753.2416),(9 2282.5903),(10 1908.112),(11 2377.588),(12 1968.4277),(13 2449.0012),(14 2038.9476),(15 2481.7214),(16 2049.7397),(17 2462.251),(18 1996.4857),(19 2473.6897),(20 2011.2378),(21 2456.6846),(22 2005.482),(23 2467.5684),(24 2027.6847),(25 2493.538),(26 2119.9668),(27 2697.0974),(28 2369.4436),(29 2892.3728),(30 2584.3545),(31 3149.002),(32 2882.863),(33 3472.2952),(34 3225.6597),(35 3808.784),(36 3529.3562),(37 4129.158),(38 3870.1313),(39 4469.6665),(40 4217.613),(41 4854.939),(42 4621.535),(43 5217.0615),(44 4970.8726),(45 5630.791),(46 5425.9233),(47 5976.246),(48 5731.4976),(49 6294.5264),(50 6035.9834),(51 6597.9795),(52 6318.2275),(53 6839.4795),(54 6520.954),(55 6980.475),(56 6662.9263),(57 7165.2695),(58 6845.7944),(59 7343.671),(60 7010.7754),(61 7463.2017),(62 7115.818),(63 7575.8887),(64 7222.1167),(65 7664.739),(66 7322.539),(67 7750.879),(68 7405.118),(69 7842.193),(70 7458.9746),(71 7879.086),(72 7520.528),(73 7931.475),(74 7564.3027),(75 7967.3013),(76 7554.047),(77 7940.5205),(78 7571.8),(79 7959.503),
(1 1081.7695),(2 1003.2582),(3 1654.1642),(4 1327.392),(5 1924.7952),(6 1591.2438),(7 2123.3794),(8 1726.833),(9 2262.5305),(10 1840.8525),(11 2334.637),(12 1888.0991),(13 2374.1572),(14 1932.3583),(15 2405.5762),(16 1927.485),(17 2374.83),(18 1900.5837),(19 2371.006),(20 1911.4863),(21 2377.7388),(22 1926.3207),(23 2392.7908),(24 1959.2664),(25 2465.1318),(26 2052.0693),(27 2599.621),(28 2264.3176),(29 2837.4475),(30 2538.1846),(31 3145.6484),(32 2863.8086),(33 3472.157),(34 3202.992),(35 3796.2686),(36 3507.4722),(37 4130.272),(38 3862.9216),(39 4525.291),(40 4255.2134),(41 4940.988),(42 4685.1245),(43 5308.305),(44 5054.6943),(45 5695.481),(46 5470.1875),(47 6080.699),(48 5796.7373),(49 6418.6533),(50 6118.6685),(51 6685.2744),(52 6384.3745),(53 6917.9307),(54 6553.2583),(55 7044.7554),(56 6726.8784),(57 7234.494),(58 6854.03),(59 7361.2485),(60 6952.8433),(61 7415.3003),(62 7032.261),(63 7522.133),(64 7132.869),(65 7612.87),(66 7222.044),(67 7692.007),(68 7296.107),(69 7739.999),(70 7303.626),(71 7749.373),(72 7357.884),(73 7787.8433),(74 7344.955),(75 7843.302),(76 7386.4917),(77 7827.7607),(78 7382.2764),(79 7821.19),
(1 1057.4758),(2 979.9054),(3 1603.642),(4 1271.4731),(5 1837.4371),(6 1487.0383),(7 2013.025),(8 1652.6735),(9 2161.2686),(10 1760.8097),(11 2221.1091),(12 1806.2825),(13 2280.0737),(14 1862.3326),(15 2313.789),(16 1858.9382),(17 2299.763),(18 1877.1449),(19 2330.413),(20 1874.546),(21 2324.539),(22 1902.8726),(23 2350.4033),(24 1902.8324),(25 2387.5823),(26 1990.9347),(27 2549.7888),(28 2197.0398),(29 2716.9792),(30 2385.4766),(31 2955.699),(32 2677.349),(33 3253.1018),(34 2973.3347),(35 3580.1099),(36 3306.2666),(37 3935.492),(38 3672.3047),(39 4322.041),(40 4072.1243),(41 4696.465),(42 4434.958),(43 5049.5596),(44 4802.131),(45 5420.1157),(46 5150.2275),(47 5758.3477),(48 5491.109),(49 6109.45),(50 5838.179),(51 6424.8022),(52 6109.7915),(53 6658.221),(54 6326.307),(55 6830.3335),(56 6491.0313),(57 7001.4272),(58 6597.779),(59 7079.627),(60 6700.1733),(61 7155.967),(62 6742.194),(63 7231.16),(64 6821.585),(65 7271.4683),(66 6866.0083),(67 7307.174),(68 6928.139),(69 7394.3945),(70 6961.0327),(71 7384.8813),(72 6945.298),(73 7390.47),(74 6989.102),(75 7409.373),(76 6998.1914),(77 7435.8022),(78 7002.7407),(79 7410.328),
(1 1044.8853),(2 981.68604),(3 1584.6958),(4 1279.8182),(5 1817.3369),(6 1486.4698),(7 1987.8633),(8 1642.6244),(9 2131.1987),(10 1764.0153),(11 2223.2073),(12 1814.4518),(13 2267.0059),(14 1873.904),(15 2291.4014),(16 1866.366),(17 2288.1404),(18 1877.7612),(19 2305.5261),(20 1869.5128),(21 2313.9868),(22 1907.225),(23 2329.3875),(24 1931.0575),(25 2401.8062),(26 2046.7671),(27 2575.3008),(28 2262.1514),(29 2766.8105),(30 2466.4854),(31 3023.3894),(32 2743.857),(33 3307.8672),(34 3043.7095),(35 3629.107),(36 3395.59),(37 3996.5212),(38 3767.771),(39 4367.596),(40 4132.226),(41 4751.552),(42 4532.125),(43 5143.839),(44 4910.7437),(45 5523.3457),(46 5287.3843),(47 5861.6123),(48 5616.2896),(49 6208.5024),(50 5974.462),(51 6519.0903),(52 6241.58),(53 6736.1685),(54 6451.3013),(55 6920.3594),(56 6614.828),(57 7095.4463),(58 6718.869),(59 7159.7046),(60 6810.6167),(61 7242.455),(62 6917.8604),(63 7358.2075),(64 6996.847),(65 7422.1274),(66 7058.555),(67 7464.7515),(68 7099.6777),(69 7527.545),(70 7153.788),(71 7552.9487),(72 7213.5176),(73 7585.884),(74 7166.67),(75 7592.6396),(76 7178.007),(77 7570.578),(78 7178.025),(79 7558.754),
(1 1037.4591),(2 953.0537),(3 1557.156),(4 1235.4226),(5 1776.7363),(6 1441.5697),(7 1949.0219),(8 1567.3661),(9 2059.485),(10 1677.7043),(11 2145.1375),(12 1740.4286),(13 2188.7449),(14 1789.5321),(15 2221.0752),(16 1785.524),(17 2212.3674),(18 1785.0852),(19 2234.8003),(20 1779.5604),(21 2208.4268),(22 1791.0366),(23 2240.2048),(24 1827.0286),(25 2298.0728),(26 1927.995),(27 2465.9294),(28 2155.1733),(29 2661.7603),(30 2347.8162),(31 2905.1946),(32 2628.9326),(33 3173.486),(34 2890.819),(35 3453.461),(36 3196.1563),(37 3779.2827),(38 3511.5728),(39 4136.0054),(40 3893.9656),(41 4506.208),(42 4241.6963),(43 4835.922),(44 4602.4478),(45 5186.689),(46 4947.57),(47 5522.9785),(48 5241.6494),(49 5792.3115),(50 5539.8257),(51 6085.472),(52 5785.0767),(53 6256.7275),(54 5918.06),(55 6367.682),(56 6022.3696),(57 6458.504),(58 6068.3584),(59 6514.7686),(60 6161.0767),(61 6579.4775),(62 6230.9004),(63 6673.76),(64 6297.6494),(65 6738.722),(66 6373.9663),(67 6782.9644),(68 6388.168),(69 6837.7554),(70 6456.362),(71 6851.23),(72 6490.406),(73 6863.7007),(74 6466.537),(75 6889.08),(76 6476.2925),(77 6867.178),(78 6480.3545),(79 6891.0835),
(1 1000.56934),(2 914.74304),(3 1507.3417),(4 1186.0634),(5 1711.0254),(6 1379.0469),(7 1881.8564),(8 1518.1656),(9 2015.7279),(10 1645.9647),(11 2086.793),(12 1698.4054),(13 2138.2314),(14 1734.9133),(15 2166.2905),(16 1750.9132),(17 2175.3462),(18 1744.8839),(19 2154.0872),(20 1740.4229),(21 2176.739),(22 1765.1296),(23 2206.8086),(24 1791.3578),(25 2260.3752),(26 1897.3418),(27 2403.3066),(28 2067.3474),(29 2573.4353),(30 2261.6162),(31 2796.4465),(32 2511.6892),(33 3054.1282),(34 2773.546),(35 3324.3335),(36 3068.3076),(37 3637.0623),(38 3397.2507),(39 4021.1265),(40 3795.0713),(41 4398.2964),(42 4164.4746),(43 4742.34),(44 4503.001),(45 5085.203),(46 4872.078),(47 5432.2773),(48 5202.5547),(49 5729.4805),(50 5468.384),(51 5971.238),(52 5692.052),(53 6168.399),(54 5848.2246),(55 6288.7695),(56 5974.463),(57 6405.69),(58 6016.1797),(59 6449.2344),(60 6102.8384),(61 6526.944),(62 6148.287),(63 6556.7983),(64 6179.4253),(65 6596.501),(66 6245.9097),(67 6620.5454),(68 6248.227),(69 6617.4404),(70 6273.8433),(71 6659.1133),(72 6303.1445),(73 6685.913),(74 6297.076),(75 6704.6255),(76 6325.2285),(77 6713.408),(78 6338.357),(79 6711.0757),
(1 989.2358),(2 890.1548),(3 1486.0581),(4 1161.0472),(5 1699.8031),(6 1365.2042),(7 1866.643),(8 1491.52),(9 1993.6952),(10 1620.0973),(11 2087.163),(12 1675.8873),(13 2133.5676),(14 1737.3967),(15 2180.4517),(16 1749.4675),(17 2188.2244),(18 1748.1593),(19 2175.4612),(20 1764.0687),(21 2183.7632),(22 1759.3662),(23 2193.7234),(24 1784.1029),(25 2239.7473),(26 1873.7991),(27 2370.7278),(28 2069.7798),(29 2563.489),(30 2273.47),(31 2796.5093),(32 2493.613),(33 3013.1812),(34 2749.9226),(35 3304.297),(36 3029.8467),(37 3586.639),(38 3355.3806),(39 3952.3938),(40 3709.3574),(41 4296.0264),(42 4049.1895),(43 4593.3403),(44 4363.525),(45 4946.8457),(46 4728.8804),(47 5274.256),(48 5021.3677),(49 5577.0776),(50 5317.2075),(51 5828.4404),(52 5543.5874),(53 6009.9316),(54 5696.913),(55 6196.6724),(56 5889.994),(57 6337.5596),(58 5978.5625),(59 6406.5806),(60 6036.132),(61 6478.59),(62 6150.4727),(63 6584.186),(64 6223),(65 6668.215),(66 6293.7397),(67 6677.9336),(68 6289.1196),(69 6701.5015),(70 6349.2417),(71 6775.7266),(72 6399.6245),(73 6749.536),(74 6344.828),(75 6751.939),(76 6367.783),(77 6785.7114),(78 6381.3394),(79 6746.481),
(1 988.4417),(2 872.33105),(3 1486.7336),(4 1142.2397),(5 1689.6803),(6 1352.2146),(7 1847.3673),(8 1459.4994),(9 1947.3934),(10 1554.6293),(11 2018.5917),(12 1588.5482),(13 2042.9323),(14 1621.0159),(15 2066.2883),(16 1634.7605),(17 2098.6213),(18 1664.5538),(19 2117.0645),(20 1668.3816),(21 2111.554),(22 1687.411),(23 2137.0657),(24 1703.6965),(25 2169.2676),(26 1766.185),(27 2284.607),(28 1939.1133),(29 2460.7024),(30 2139.5486),(31 2687.1836),(32 2356.8616),(33 2895.2415),(34 2586.6523),(35 3150.8926),(36 2855.356),(37 3439.3015),(38 3162.5522),(39 3785.7402),(40 3504.4397),(41 4099.3325),(42 3830.0957),(43 4416.1094),(44 4144.208),(45 4723.538),(46 4444.2476),(47 5001.4053),(48 4692.899),(49 5256.2075),(50 4942.0254),(51 5478.7754),(52 5149.976),(53 5635.264),(54 5294.573),(55 5796.751),(56 5447.083),(57 5920.351),(58 5547.121),(59 6006.84),(60 5621.7354),(61 6056.43),(62 5695.198),(63 6166.7583),(64 5795.1313),(65 6231.3975),(66 5859.3823),(67 6307.44),(68 5920.111),(69 6348.329),(70 5969.4897),(71 6402.5615),(72 6008.4985),(73 6411.233),(74 5996.8774),(75 6443.033),(76 6043.557),(77 6465.8916),(78 6061.1064),(79 6473.2734),
(1 959.5312),(2 832.2458),(3 1432.9579),(4 1113.0609),(5 1646.153),(6 1326.5963),(7 1818.0057),(8 1433.1599),(9 1909.7062),(10 1548.1749),(11 1994.053),(12 1593.2828),(13 2039.9857),(14 1646.0856),(15 2072.2483),(16 1649.4242),(17 2086.6697),(18 1667.2579),(19 2099.2578),(20 1681.7693),(21 2113.4536),(22 1695.0984),(23 2126.438),(24 1723.3667),(25 2177.124),(26 1795.1266),(27 2320.942),(28 1984.823),(29 2498.9934),(30 2187.7131),(31 2723.668),(32 2420.3145),(33 2970.8606),(34 2683.6653),(35 3244.2507),(36 2953.3018),(37 3547.3137),(38 3311.3801),(39 3933.6643),(40 3704.7642),(41 4323.1543),(42 4082.5938),(43 4663.06),(44 4437.944),(45 5012.3853),(46 4770.024),(47 5306.8315),(48 5057.794),(49 5610.285),(50 5321.4253),(51 5824.0264),(52 5503.356),(53 5950.079),(54 5628.4717),(55 6106.579),(56 5759.6235),(57 6208.659),(58 5816.7427),(59 6266.3564),(60 5915.422),(61 6337.347),(62 5943.0405),(63 6399.1636),(64 6004.6987),(65 6414.3286),(66 6029.039),(67 6442.6074),(68 6068.636),(69 6487.023),(70 6065.253),(71 6470.912),(72 6101.2383),(73 6497.0283),(74 6084.3193),(75 6544.376),(76 6155.3936),(77 6574.873),(78 6163.3237),(79 6567.676),
(1 952.1596),(2 821.1428),(3 1398.4614),(4 1070.6232),(5 1595.2107),(6 1258.438),(7 1746.3927),(8 1358.3274),(9 1836.1506),(10 1472.0166),(11 1923.5992),(12 1515.4906),(13 1961.275),(14 1546.9178),(15 1975.6929),(16 1555.1848),(17 1983.2421),(18 1555.2936),(19 1981.1705),(20 1569.4795),(21 1996.3932),(22 1576.9844),(23 2010.33),(24 1606.0704),(25 2058.4067),(26 1668.8823),(27 2186.105),(28 1850.0057),(29 2359.9814),(30 2058.7124),(31 2587.0195),(32 2286.1855),(33 2826.4968),(34 2546.7961),(35 3131.4963),(36 2846.0642),(37 3423.6423),(38 3168.1052),(39 3782.7385),(40 3544.472),(41 4142.186),(42 3871.8823),(43 4435.4976),(44 4191.679),(45 4790.7397),(46 4527.7285),(47 5081.909),(48 4795.814),(49 5339.546),(50 5051.1616),(51 5569.703),(52 5218.061),(53 5716.4063),(54 5367.4146),(55 5871.6387),(56 5501.6113),(57 5970.5415),(58 5596.683),(59 6073.5254),(60 5706.446),(61 6157.0366),(62 5745.6436),(63 6239.656),(64 5860.1123),(65 6312.9985),(66 5910.16),(67 6348.4077),(68 5946.0054),(69 6388.8154),(70 5968.406),(71 6385.4126),(72 5970.7563),(73 6374.748),(74 5938.7085),(75 6393.595),(76 5992.1343),(77 6416.12),(78 5985.2935),(79 6384.5957),
(1 943.17975),(2 825.67523),(3 1400.9313),(4 1077.5942),(5 1587.4758),(6 1259.1908),(7 1742.6768),(8 1368.1333),(9 1831.7593),(10 1464.5674),(11 1919.2705),(12 1506.4675),(13 1948.8206),(14 1549.8074),(15 1986.938),(16 1566.2782),(17 2004.9308),(18 1575.9573),(19 1988.5488),(20 1573.5457),(21 2005.5459),(22 1580.8666),(23 1995.232),(24 1571.6096),(25 2016.7048),(26 1613.099),(27 2128.92),(28 1779.2312),(29 2280.3325),(30 1942.2993),(31 2480.9426),(32 2166.2227),(33 2693.2676),(34 2402.9604),(35 2959.4546),(36 2661.9976),(37 3223.7844),(38 2926.772),(39 3537.595),(40 3262.341),(41 3845.624),(42 3554.569),(43 4130.693),(44 3834.397),(45 4420.064),(46 4136.641),(47 4683.669),(48 4380.326),(49 4921.818),(50 4594.3975),(51 5127.6636),(52 4771.748),(53 5244.8667),(54 4886.199),(55 5362.7813),(56 5021.168),(57 5493.504),(58 5121.2275),(59 5584.1694),(60 5211.4253),(61 5668.144),(62 5292.578),(63 5756.762),(64 5379.6787),(65 5825.216),(66 5455.941),(67 5861.6636),(68 5472.2666),(69 5900.187),(70 5529.4604),(71 5948.554),(72 5569.5986),(73 5997.367),(74 5610.748),(75 6067.8896),(76 5666.9487),(77 6073.2744),(78 5661.9077),(79 6076.164),
(1 914.26917),(2 799.70325),(3 1355.529),(4 1060.3279),(5 1563.7733),(6 1258.9302),(7 1702.7853),(8 1354.3557),(9 1802.7404),(10 1429.8329),(11 1871.2039),(12 1482.321),(13 1909.8019),(14 1512.1644),(15 1923.2102),(16 1543.4268),(17 1963.6057),(18 1564.2631),(19 1952.6305),(20 1536.2772),(21 1964.9769),(22 1570.2776),(23 1981.8002),(24 1561.8933),(25 1999.3474),(26 1628.3892),(27 2138.8127),(28 1797.8309),(29 2283.7876),(30 1998.9878),(31 2539.1555),(32 2252.735),(33 2768.2332),(34 2483.9446),(35 3034.0293),(36 2735.4104),(37 3277.23),(38 3031.0298),(39 3602.2622),(40 3334.0918),(41 3921.5051),(42 3656.723),(43 4231.076),(44 3960.1248),(45 4501.311),(46 4244.3755),(47 4762.1855),(48 4497.6675),(49 5017.918),(50 4710.974),(51 5201.7344),(52 4864.2827),(53 5339.28),(54 4992.8545),(55 5443.9053),(56 5079.076),(57 5502.7495),(58 5144.8325),(59 5555.7764),(60 5182.5903),(61 5581.0156),(62 5212.0747),(63 5618.7896),(64 5262.877),(65 5675.118),(66 5314.2104),(67 5698.5586),(68 5323.755),(69 5731.606),(70 5353.1753),(71 5756.445),(72 5385.976),(73 5759.618),(74 5371.3706),(75 5795.041),(76 5404.071),(77 5797.9897),(78 5434.8286),(79 5823.524),
(1 904.87494),(2 793.12726),(3 1342.9244),(4 1042.9161),(5 1537.3424),(6 1230.2903),(7 1696.6908),(8 1329.8213),(9 1772.1035),(10 1392.9763),(11 1837.1393),(12 1441.8846),(13 1856.6458),(14 1458.7399),(15 1880.3749),(16 1476.848),(17 1891.8257),(18 1495.3486),(19 1908.779),(20 1520.3965),(21 1940.9332),(22 1540.1195),(23 1963.9509),(24 1560.691),(25 1993.5815),(26 1619.2118),(27 2118.0684),(28 1793.6741),(29 2283.5483),(30 1988.8025),(31 2523.4922),(32 2229.847),(33 2735.9326),(34 2463.208),(35 2989.9187),(36 2726.7104),(37 3261.7434),(38 3015.4006),(39 3567.5212),(40 3331.4373),(41 3886.0244),(42 3634.4412),(43 4167.3867),(44 3924.1528),(45 4451.451),(46 4188.213),(47 4683.1924),(48 4435.1133),(49 4937.512),(50 4655.3027),(51 5127.68),(52 4797.353),(53 5245.779),(54 4909.049),(55 5329.396),(56 5011.9575),(57 5422.144),(58 5072.689),(59 5463.0146),(60 5086.6357),(61 5478.304),(62 5159.8267),(63 5573.62),(64 5221.4175),(65 5610.3623),(66 5255.435),(67 5656.14),(68 5302.9204),(69 5685.1475),(70 5332.8047),(71 5706.217),(72 5329.956),(73 5720.0244),(74 5330.854),(75 5736.425),(76 5378.1465),(77 5767.3105),(78 5407.6343),(79 5770.8364),
