1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 49470.547),(2 144475.8),(3 329417.97),(4 547652.94),(5 850134.25),(6 1157364.9),(7 1529665.6),(8 1892741),(9 2298644.8),(10 2665569),(11 3057845),(12 3374225.3),(13 3703409),(14 3990851.8),(15 4231795.5),(16 4451103.5),(17 4641723.5),(18 4808268.5),(19 4934020),(20 5041214.5),(21 5103789.5),(22 5146846.5),(23 5136983.5),(24 5105131),(25 5059790),(26 5014530.5),(27 4959732),(28 4899461.5),(29 4836817.5),(30 4777541.5),(31 4725573.5),(32 4705926.5),(33 4669383.5),(34 4674815.5),(35 4703534),(36 4773485.5),(37 4823805.5),(38 4902385.5),(39 5040376.5),(40 5182915.5),(41 5359357.5),(42 5494160.5),(43 5654634.5),(44 5790400),(45 5899238.5),(46 5950761.5),(47 5948384.5),(48 5899662.5),(49 5822810.5),(50 5715938.5),(51 5570357),(52 5426082.5),(53 5307277.5),(54 5173536.5),(55 5089050),(56 5033502),(57 5030702),(58 5022341.5),(59 5092028.5),(60 5165068.5),(61 5306651.5),(62 5413814.5),(63 5531692.5),(64 5639314.5),(65 5737485.5),(66 5800784),(67 5900372),(68 6004298),(69 6118827.5),(70 6253872),(71 6376897.5),(72 6507584),(73 6632100),(74 6743661.5),(75 6844048.5),(76 6937148),(77 7008367.5),(78 7070805.5),(79 7136726.5),
(1 9388.49),(2 31147.107),(3 56260.69),(4 78808.75),(5 96109.055),(6 109255.07),(7 119174.51),(8 128574.22),(9 136853.81),(10 144415.56),(11 151330.48),(12 157281.8),(13 160702.89),(14 163548.02),(15 165211.3),(16 166696.3),(17 169148.6),(18 171982.98),(19 175021.14),(20 176778.6),(21 178052.47),(22 178346.69),(23 177884.16),(24 177738.48),(25 180214.14),(26 183539.92),(27 187548.63),(28 192450.64),(29 197135.13),(30 200052.69),(31 201678.81),(32 202138.66),(33 201811.42),(34 200813.94),(35 200640.13),(36 200184.02),(37 200799.97),(38 202155.16),(39 203337.42),(40 204712.84),(41 205580.73),(42 206731.81),(43 206576.08),(44 206230.95),(45 206762.5),(46 207584.6),(47 207274.38),(48 206396.4),(49 204771.05),(50 203770.48),(51 203597.97),(52 204528.45),(53 206181.05),(54 207433.95),(55 207739.47),(56 208209.31),(57 208138.39),(58 207667.69),(59 205943.5),(60 205264.95),(61 204330.52),(62 203240.27),(63 202966),(64 202463.4),(65 201529.52),(66 200686.55),(67 201408.5),(68 202753.98),(69 203537.83),(70 203315.67),(71 203142.47),(72 204023.98),(73 206392.8),(74 209305.34),(75 211768.77),(76 212627.89),(77 213105.69),(78 212169.31),(79 210680.05),
(1 8631.864),(2 28558.863),(3 51444.98),(4 72353.65),(5 89197.805),(6 102376.836),(7 112089.03),(8 120510.664),(9 128038.5),(10 135202.36),(11 140562.23),(12 144969.86),(13 148160.45),(14 150719.16),(15 153182.94),(16 156075.19),(17 159310.25),(18 161674.5),(19 162894.95),(20 163208.34),(21 164170.94),(22 166072.56),(23 169070.86),(24 172143.4),(25 175521.11),(26 177770.16),(27 179976.5),(28 181859.5),(29 184305.39),(30 186718.75),(31 188720.11),(32 190740.88),(33 192610.45),(34 193487.16),(35 193700.39),(36 192342.9),(37 191351.72),(38 190846.56),(39 189915.75),(40 189087.83),(41 187754.58),(42 186670.55),(43 184609.03),(44 183062.22),(45 181351.17),(46 180316.88),(47 179705.77),(48 179768.7),(49 180260.53),(50 181232.39),(51 181426),(52 181542.38),(53 181377.52),(54 181698.52),(55 182182.66),(56 183019.03),(57 183795.34),(58 184973.25),(59 185705.44),(60 186674.05),(61 189215.97),(62 191778.03),(63 193990.3),(64 196285.02),(65 197703),(66 196772.52),(67 196470.1),(68 196085.38),(69 196130.1),(70 195727.72),(71 195701.47),(72 196203.03),(73 197435.75),(74 198782.53),(75 200386.7),(76 201738.11),(77 203187.52),(78 204555.67),(79 205574.39),
(1 8673.347),(2 28407.375),(3 51882.516),(4 73361.79),(5 90655.17),(6 103836.83),(7 113055.45),(8 121218.22),(9 129384.36),(10 137049.4),(11 142962.23),(12 147496.83),(13 150300.55),(14 152504.8),(15 154897.78),(16 157979.31),(17 162132.88),(18 166421.34),(19 169732.64),(20 171706.66),(21 173866.06),(22 175999.7),(23 178844.27),(24 182387.81),(25 186012.72),(26 187751.6),(27 187686.17),(28 187754.89),(29 188983.38),(30 190418.05),(31 191221.94),(32 190810.3),(33 189841.7),(34 188185.22),(35 187539.55),(36 187489.25),(37 187835.19),(38 188760.7),(39 189687.75),(40 190982.42),(41 192436.1),(42 193698.48),(43 195062.64),(44 196212.47),(45 195862.55),(46 195543.72),(47 194591.4),(48 194483.78),(49 194498.86),(50 195651.81),(51 196559.56),(52 197171.88),(53 197469.92),(54 198766.86),(55 200268.53),(56 201214.61),(57 201895.3),(58 201839.75),(59 199627.42),(60 197412.4),(61 195185.84),(62 193293.89),(63 194869.84),(64 197094.31),(65 200016.3),(66 201845.86),(67 203693.88),(68 205907.19),(69 207542.77),(70 207997.7),(71 207620.3),(72 206798.03),(73 207112.4),(74 208724.4),(75 211321.58),(76 212908.11),(77 214889.7),(78 217270.3),(79 218659.36),
(1 8609.371),(2 28163.201),(3 50147.93),(4 69486.586),(5 84084.59),(6 95857.19),(7 105805.85),(8 115797.37),(9 124440.93),(10 131719.27),(11 137285.94),(12 142085.16),(13 145088.5),(14 147841.98),(15 150014.83),(16 152714.73),(17 156833.39),(18 160874.4),(19 163684.95),(20 164354.92),(21 164752.2),(22 165381.36),(23 166636.36),(24 168027.81),(25 170662.13),(26 173613.02),(27 177011.84),(28 178842.5),(29 180668.66),(30 182351.38),(31 184539.63),(32 187079.31),(33 189387.28),(34 190210.94),(35 190314.42),(36 189978.28),(37 189684.08),(38 188531.5),(39 187068.7),(40 186193.64),(41 185859.38),(42 186054.88),(43 185747.67),(44 185644.33),(45 184551.75),(46 183389.6),(47 181666.42),(48 180923.39),(49 181242.19),(50 181510.63),(51 180552.56),(52 179035.17),(53 176143.13),(54 174827.55),(55 176018.4),(56 178992.39),(57 180871.1),(58 181306.36),(59 180911.16),(60 180368.5),(61 180120.2),(62 180476.4),(63 181174.73),(64 181779.69),(65 182856.28),(66 184680.77),(67 186970.88),(68 188697.6),(69 190844.47),(70 192313.47),(71 193222.19),(72 193287.75),(73 193289.9),(74 193098.92),(75 193036.88),(76 192144.97),(77 190992.69),(78 190840.2),(79 191539.56),
(1 8661.388),(2 28174.627),(3 50191.53),(4 69262.44),(5 84351.75),(6 97415.38),(7 108095.15),(8 117225.51),(9 123780.664),(10 128257.16),(11 131699.75),(12 135711.3),(13 138860.25),(14 142005.63),(15 144284.44),(16 147144.88),(17 150940.05),(18 154660.39),(19 157589.38),(20 159613.1),(21 161192.39),(22 162547.03),(23 164838.38),(24 167785.86),(25 171749.13),(26 176329),(27 179809.02),(28 182391.98),(29 184707.95),(30 186796.19),(31 189530.55),(32 191680.58),(33 193678.69),(34 194121.1),(35 194018.48),(36 193040.25),(37 192655.28),(38 191801.53),(39 190728.6),(40 190089.58),(41 189176.06),(42 188903.53),(43 189569.98),(44 190650.39),(45 190881.33),(46 191399.78),(47 191052.19),(48 189554.56),(49 186801.95),(50 185262.89),(51 183926.64),(52 183178.1),(53 182454.13),(54 183028.47),(55 184659.73),(56 186573.63),(57 187817.66),(58 189327.94),(59 189924.56),(60 189347.83),(61 189407.63),(62 188390.3),(63 188398.08),(64 187188.8),(65 186579.78),(66 185774.5),(67 185787.78),(68 186165.69),(69 187775.27),(70 189245.95),(71 190893.73),(72 192327.72),(73 193049),(74 192662.58),(75 192660.72),(76 193849.58),(77 195373.31),(78 196524.22),(79 196707.4),
(1 8513.67),(2 27859.58),(3 49344.008),(4 67303.93),(5 79635.984),(6 89283.37),(7 96911.81),(8 103685.04),(9 109712.49),(10 115595.9),(11 120652.76),(12 125115.47),(13 127093.35),(14 129365.86),(15 131605.7),(16 134114.5),(17 137243.52),(18 138352.98),(19 139243.73),(20 140920.9),(21 143958.84),(22 146992.86),(23 150492),(24 154163.56),(25 159301.16),(26 164839.02),(27 169101.23),(28 171225.06),(29 172847.97),(30 173572.98),(31 174427.28),(32 174626.55),(33 174301.17),(34 173398.44),(35 173279.77),(36 173786.08),(37 175598.58),(38 177512.7),(39 179430.78),(40 180938.92),(41 181596),(42 181198.73),(43 179411.67),(44 177406.84),(45 176517.28),(46 176766.61),(47 176399.11),(48 175694.8),(49 175349.4),(50 176583.75),(51 178727.25),(52 181145.58),(53 182996.94),(54 184290.03),(55 184284.44),(56 183613.08),(57 183085.08),(58 183094.34),(59 181994.27),(60 180550.83),(61 178620.19),(62 176763.97),(63 175279.64),(64 174087.78),(65 173896),(66 173688.63),(67 174010.89),(68 175046.25),(69 176853.17),(70 177732.34),(71 178367.25),(72 179233.48),(73 180189.95),(74 181225.66),(75 182811.2),(76 183539.45),(77 183686.78),(78 183206.19),(79 183637.03),
(1 8315.281),(2 27020.818),(3 48476.54),(4 66980.03),(5 80513.945),(6 91715.695),(7 101474.52),(8 111400.8),(9 120935.016),(10 129766.47),(11 135366.66),(12 138620.17),(13 140857.39),(14 142101.14),(15 144523),(16 148222.31),(17 152606.03),(18 156853.78),(19 161495.16),(20 166050.8),(21 169940.55),(22 171309.67),(23 171447.86),(24 170467.39),(25 170668.45),(26 171700.55),(27 173027.19),(28 173359.31),(29 173788.02),(30 173614.25),(31 173041.13),(32 172440.7),(33 172047.38),(34 171677.44),(35 172727.16),(36 173356.5),(37 173934.83),(38 173860.77),(39 173126.3),(40 172735.92),(41 173156.66),(42 173667.97),(43 172717.19),(44 171070.42),(45 169935.75),(46 169698.5),(47 169942.08),(48 171554.02),(49 172845.77),(50 173354.52),(51 172922.83),(52 173512.61),(53 173637.39),(54 173470.94),(55 172579.42),(56 171997.11),(57 171324.97),(58 171137.47),(59 171642.84),(60 171608.39),(61 172023.55),(62 172080.8),(63 171898.11),(64 171347.97),(65 171362.92),(66 171470.81),(67 173580.39),(68 175881.45),(69 178107.81),(70 178666.48),(71 178544.06),(72 177969.3),(73 178355.39),(74 179041.11),(75 179877.48),(76 179794.69),(77 179790.4),(78 180040.94),(79 181189.55),
(1 8329.31),(2 27102.361),(3 48349.33),(4 66623.95),(5 80973.71),(6 92539.66),(7 101963.336),(8 110348.47),(9 117082.98),(10 123070.04),(11 127715.74),(12 132261.33),(13 136256.92),(14 140342.44),(15 144075.23),(16 146734.28),(17 149899.77),(18 151723.8),(19 152310.92),(20 151723.4),(21 151329.8),(22 151910.36),(23 153012.2),(24 154040.27),(25 156161.83),(26 156812.48),(27 157096.39),(28 156363.22),(29 155204.44),(30 154439.56),(31 155080.52),(32 156672.6),(33 157869.31),(34 158318.94),(35 159021.36),(36 159181.2),(37 159615.8),(38 160066.39),(39 159888.77),(40 159521.95),(41 159380.55),(42 160373.25),(43 162125.81),(44 164723.69),(45 166056.77),(46 165935.88),(47 166088.86),(48 167208.13),(49 168593.02),(50 170125.64),(51 170887.52),(52 171050.23),(53 171628),(54 172454.2),(55 172777.42),(56 172764.2),(57 172595.84),(58 173351.38),(59 174040.53),(60 174749.4),(61 175651.23),(62 175589.48),(63 175193.55),(64 173761.02),(65 172252.47),(66 171609.89),(67 172867),(68 174010.06),(69 174868.39),(70 174708.84),(71 174463.03),(72 173423.19),(73 172989.56),(74 172555.11),(75 171917.8),(76 170768.03),(77 170090.69),(78 169964.69),(79 170023.4),
(1 7971.294),(2 25927.592),(3 45754.652),(4 62872.547),(5 75697.266),(6 85380.51),(7 93100.25),(8 100312.44),(9 106113.12),(10 111304.59),(11 114749.03),(12 116894.29),(13 118254.5),(14 119106.35),(15 121193.71),(16 123439.94),(17 125704.18),(18 127839.76),(19 130251.42),(20 131912.73),(21 133428.83),(22 134578.66),(23 136216.61),(24 136956.08),(25 138109.94),(26 139619.2),(27 141639.77),(28 143721.7),(29 144819.19),(30 144402.06),(31 142961.7),(32 140580.61),(33 138910.22),(34 137731.22),(35 137870.72),(36 138094.22),(37 138694.16),(38 140435.67),(39 142557.7),(40 144973.45),(41 146319.58),(42 147274.23),(43 147027.19),(44 146827.16),(45 146906.89),(46 148602.8),(47 151177.84),(48 153184.55),(49 154364.61),(50 155762.23),(51 157554.94),(52 160085.83),(53 162700.36),(54 164517.52),(55 165085.52),(56 165522.05),(57 165014.88),(58 164478.78),(59 163743.38),(60 162859.95),(61 162737.78),(62 162246.97),(63 161635.05),(64 160539.95),(65 160133.33),(66 159262.33),(67 158013.94),(68 156380.67),(69 156070.89),(70 156011.55),(71 156625.89),(72 156596.94),(73 156972.88),(74 158132.86),(75 159485.69),(76 160777.84),(77 162433.89),(78 164363),(79 166318.6),
(1 8299.962),(2 26760.451),(3 47195.9),(4 64360.758),(5 77060.016),(6 85763.4),(7 92000.6),(8 97393.945),(9 102165.89),(10 107484.375),(11 111823.45),(12 115367.375),(13 117584.29),(14 119561.38),(15 121968.21),(16 123907.11),(17 126700.85),(18 130234.58),(19 133820.42),(20 135399.05),(21 134593.84),(22 133057.22),(23 133295.47),(24 134125.06),(25 135254.48),(26 137072.39),(27 138672.77),(28 140527.61),(29 142485.66),(30 143564.14),(31 144052.67),(32 144328.38),(33 145332.64),(34 146061.75),(35 146814.33),(36 147365.08),(37 147704.19),(38 148124),(39 148222.2),(40 148339.03),(41 147976.88),(42 147773.44),(43 147102.69),(44 146386.25),(45 146216.6),(46 147324),(47 148445.2),(48 149433.53),(49 149443.45),(50 149782.97),(51 149182.02),(52 149259.11),(53 150176.06),(54 151895.73),(55 153536.98),(56 153691.39),(57 152631.8),(58 151880.69),(59 152059.39),(60 153329.8),(61 155034.94),(62 156737.86),(63 159090.6),(64 161013.6),(65 162006.27),(66 161799.4),(67 161675.19),(68 161551.11),(69 161455.08),(70 161727.77),(71 162401.56),(72 163033.73),(73 164421.55),(74 165962.64),(75 166803.38),(76 166689.16),(77 166173.33),(78 165487.98),(79 165227.36),
(1 7769.071),(2 25173.871),(3 44599.38),(4 61391.22),(5 73829.336),(6 83147.68),(7 89253.51),(8 94531.7),(9 99672.15),(10 104237.02),(11 108263.95),(12 110976.734),(13 111909.46),(14 112965.62),(15 114320.89),(16 116374.47),(17 119540.984),(18 123240.67),(19 128188.58),(20 132182.77),(21 135473.66),(22 138771.89),(23 142069.64),(24 144825.72),(25 148025.19),(26 150486.22),(27 151373.27),(28 151106.8),(29 150138.5),(30 148762.23),(31 147968.19),(32 147058.8),(33 147186.06),(34 148090.33),(35 149091.5),(36 149999.77),(37 150679.06),(38 151911.4),(39 152699.6),(40 153059.88),(41 152556.63),(42 152230.94),(43 151432.23),(44 150435.7),(45 149954.39),(46 150079.88),(47 150594.58),(48 151567.92),(49 151580.22),(50 151636.97),(51 151039.08),(52 150225.77),(53 149060.38),(54 148512.92),(55 148218.45),(56 148435.9),(57 148720.23),(58 148578.05),(59 147421.16),(60 147090.48),(61 145690.34),(62 144953.73),(63 145362.39),(64 146479.06),(65 148059.19),(66 149047.5),(67 149879.03),(68 150436.14),(69 151533.22),(70 152025.6),(71 151918.78),(72 151071.17),(73 150524.3),(74 149784.47),(75 149741.2),(76 150297.92),(77 150968.52),(78 151789.92),(79 152574.13),
(1 7778.417),(2 25206.152),(3 44899.547),(4 62058.426),(5 74668.43),(6 83983.984),(7 90435.88),(8 96729.44),(9 102500.305),(10 107292.414),(11 110475.055),(12 112298.414),(13 114108.27),(14 115626.16),(15 118645.586),(16 121900.81),(17 125613.76),(18 128679.69),(19 130954.87),(20 132079.97),(21 132724.22),(22 132609.05),(23 132843.02),(24 133940.44),(25 136307.67),(26 138520.52),(27 140760.8),(28 143412.92),(29 145248.78),(30 145963.17),(31 146495.27),(32 145874.56),(33 145329.17),(34 145537.67),(35 147272.27),(36 150039.97),(37 152140.25),(38 154413.97),(39 154142.3),(40 152432.98),(41 150530.48),(42 149500.56),(43 148740.95),(44 148483.44),(45 148696.36),(46 149244.61),(47 151344.98),(48 154681.22),(49 155991.22),(50 156028.92),(51 155142.36),(52 154068.23),(53 154118.31),(54 155291.11),(55 155858.38),(56 156166.44),(57 155640.36),(58 155873.69),(59 155608.52),(60 154708.56),(61 154198.61),(62 152624.4),(63 151464.31),(64 151283.72),(65 152749.23),(66 154543.66),(67 157066.61),(68 158094.08),(69 158054.48),(70 156304.1),(71 153986.2),(72 151494.25),(73 150581),(74 151263.64),(75 152469.14),(76 153628.19),(77 154781.08),(78 155586.58),(79 155565.38),
(1 7007.5664),(2 22279.355),(3 38687.992),(4 52766.14),(5 63197.668),(6 71708.586),(7 79017.13),(8 85922.13),(9 91864.29),(10 96605.62),(11 99616.82),(12 102726.375),(13 105253.24),(14 108807.88),(15 112389.31),(16 114947.586),(17 117537.87),(18 119355.984),(19 121218.2),(20 123245.88),(21 125536.44),(22 126735.63),(23 127394.97),(24 128204.234),(25 128872.65),(26 129198.37),(27 129709.914),(28 130091.36),(29 131565.45),(30 133200.47),(31 135102.03),(32 136758.14),(33 138534.22),(34 139994.69),(35 141072.17),(36 141775.5),(37 143111.44),(38 144380.88),(39 144402.9),(40 142785.56),(41 139805.31),(42 137344.56),(43 136270.89),(44 136977.94),(45 138154.61),(46 138934.36),(47 139727.97),(48 140611.66),(49 141264.1),(50 142673.67),(51 143489.08),(52 143559.3),(53 143105.44),(54 142909.64),(55 142919.84),(56 143820.11),(57 144990.1),(58 146180.64),(59 146851.97),(60 147815.27),(61 148176.34),(62 148337.69),(63 148507),(64 148827.55),(65 149122.94),(66 148485.81),(67 147667.36),(68 146620.52),(69 146243.45),(70 146238.81),(71 146346.39),(72 145775.34),(73 144639),(74 143480.47),(75 143282.56),(76 143311.48),(77 143174.45),(78 142927.55),(79 143453.83),
(1 7480.412),(2 24254.734),(3 42607.914),(4 58078.156),(5 68875.78),(6 76921.33),(7 83360.25),(8 89106.29),(9 93502.2),(10 97334.164),(11 100384.21),(12 103128.984),(13 105697.016),(14 108289.04),(15 111180.4),(16 114221.96),(17 117165.98),(18 119153.55),(19 120886.766),(20 123166.36),(21 126328.32),(22 128918.766),(23 130994.32),(24 132405.05),(25 133200.1),(26 134474.8),(27 135428.73),(28 135356.08),(29 134955.19),(30 134993.33),(31 136172.36),(32 137582.05),(33 139446.27),(34 140374.72),(35 141862.9),(36 143001.66),(37 143645.98),(38 144857.75),(39 146061.97),(40 146687.78),(41 146611.33),(42 146006.73),(43 144863.48),(44 144449.7),(45 143852.33),(46 143634.67),(47 142636.98),(48 141827.53),(49 141277.52),(50 140899.58),(51 140639.2),(52 140736.86),(53 139958.97),(54 138609.95),(55 137340.6),(56 137161.45),(57 138337.56),(58 141205.02),(59 143837.64),(60 145240.34),(61 146357.86),(62 145893.55),(63 144742.77),(64 143087.86),(65 143316.19),(66 143564.83),(67 143572.67),(68 143535.42),(69 144111.31),(70 145141.38),(71 146735.14),(72 147097.53),(73 146026.23),(74 144201.7),(75 143168.9),(76 142248.81),(77 142160.13),(78 142383.02),(79 142235.58),
(1 7258.214),(2 23205.713),(3 39783.465),(4 53557.184),(5 63553.61),(6 71395.32),(7 77284.664),(8 82331.86),(9 87457.77),(10 93153.336),(11 97488.73),(12 100483.37),(13 102160.35),(14 103016.33),(15 103957.9),(16 105577.734),(17 108072.39),(18 111098.88),(19 114766.6),(20 118527.05),(21 121009.53),(22 120785.08),(23 119812.53),(24 118939.24),(25 119401.79),(26 121319.85),(27 123942.23),(28 126035.98),(29 127514.375),(30 126993.56),(31 126223.96),(32 125588.19),(33 126115.37),(34 127792.25),(35 130027.69),(36 131693.73),(37 133381.22),(38 134092.47),(39 133323.5),(40 132633.92),(41 132771.08),(42 133306.44),(43 133541.52),(44 133849.2),(45 133633.61),(46 133457.05),(47 133452.13),(48 133313.53),(49 133719.53),(50 135236.69),(51 136977.42),(52 137635.42),(53 137308.67),(54 137412.25),(55 137509.08),(56 138015.72),(57 138763.75),(58 139694.08),(59 140328.94),(60 140876.47),(61 142684.9),(62 144487.1),(63 146860.48),(64 147850.25),(65 147502.25),(66 145280.98),(67 143223.97),(68 141633.19),(69 140782.14),(70 140744.73),(71 141323.1),(72 141174.2),(73 140917.13),(74 139690.7),(75 138725.6),(76 138281.14),(77 137883.13),(78 136530.67),(79 135571.25),
(1 7181.806),(2 23133.135),(3 39877.62),(4 53233.555),(5 62625.977),(6 69582.32),(7 76540.664),(8 84027.62),(9 90417.92),(10 95299.01),(11 98689.23),(12 101822.94),(13 104198.92),(14 106878.55),(15 109447.25),(16 110957.55),(17 112108.84),(18 113038.734),(19 114399.45),(20 115788.4),(21 117231.695),(22 118397.36),(23 119508.35),(24 120543.51),(25 120825.97),(26 121215.11),(27 120715.98),(28 119825.71),(29 120470.84),(30 121527.18),(31 122587.5),(32 123228.055),(33 124256.08),(34 125385.016),(35 126599.67),(36 127472.66),(37 128760.234),(38 129849.52),(39 129903.74),(40 130303.79),(41 131040.49),(42 131673.92),(43 132370.75),(44 133047.61),(45 133319.42),(46 133877.28),(47 133981.31),(48 134466.02),(49 135695.72),(50 136849.52),(51 136926.06),(52 137248.16),(53 137433.42),(54 138036.84),(55 138355.03),(56 139408.78),(57 140470.31),(58 141636.1),(59 141592.33),(60 142053.94),(61 141642.67),(62 141221.52),(63 140850.6),(64 140410.03),(65 140403.98),(66 140874.27),(67 141274.98),(68 141719.98),(69 142482.7),(70 142025.61),(71 142083.28),(72 142242.67),(73 142921.28),(74 143323.78),(75 143407.94),(76 142879.63),(77 142227.39),(78 141727.17),(79 141398.44),
(1 7579.532),(2 24206.318),(3 42029.637),(4 56428),(5 66148.5),(6 72122.54),(7 76561.16),(8 81447.43),(9 86072.85),(10 90038.055),(11 93075.33),(12 96108.96),(13 98022.63),(14 100274.21),(15 102211.664),(16 103806.65),(17 105527.766),(18 106886.305),(19 108427.76),(20 109884.15),(21 111370.79),(22 112772.15),(23 114074.234),(24 114463.85),(25 114533.52),(26 114433.086),(27 114582.586),(28 114218.234),(29 114523.63),(30 114638.02),(31 115423.02),(32 116133.914),(33 117204.84),(34 117977.78),(35 119780.32),(36 122418.18),(37 124633.125),(38 126981.625),(39 127577.16),(40 127675.72),(41 127743.06),(42 128607.766),(43 129534.05),(44 129805.74),(45 129714.33),(46 130197.63),(47 129618.07),(48 129255.234),(49 128533.35),(50 128937.55),(51 129204.63),(52 129839.734),(53 130172.61),(54 130397.61),(55 130255.67),(56 131443.05),(57 132718.03),(58 134865.36),(59 136435.98),(60 137575.98),(61 138390.69),(62 138394.94),(63 138125.88),(64 138141.86),(65 138714.52),(66 139411.23),(67 139441.16),(68 139253.27),(69 139231.31),(70 137869.1),(71 136131.95),(72 135427.48),(73 135658.2),(74 135979.16),(75 136009.2),(76 135946.14),(77 135947.06),(78 135572.86),(79 135192.48),
