1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,
(1 0.00030746064),(2 0.55336225),(3 0.9408818),(4 1.0263543),(5 1.0250413),(6 1.0206847),(7 1.0859227),(8 1.118654),(9 1.1185873),(10 1.0618283),(11 1.0432385),(12 1.1007161),(13 1.0993743),(14 1.0520813),(15 1.0558007),(16 1.1531528),(17 1.1516678),(18 1.1164348),(19 1.0999959),(20 1.1602967),(21 1.1589608),(22 1.089863),(23 1.0950257),(24 1.1543046),(25 1.153702),(26 1.1338733),(27 1.1561856),(28 1.1900992),(29 1.1910504),(30 1.1212409),(31 1.1246847),(32 1.2020954),(33 1.2016343),(34 1.1706777),(35 1.18281),(36 1.2110825),(37 1.2095699),(38 1.177021),(39 1.1514257),(40 1.2144859),(41 1.2135069),(42 1.1754864),(43 1.1496699),(44 1.17534),(45 1.1728444),(46 1.1459838),
(1 0.00029649842),(2 0.4777322),(3 0.7976537),(4 0.87168896),(5 0.87116444),(6 0.8791314),(7 0.93411833),(8 0.9584979),(9 0.9579874),(10 0.89287347),(11 0.88710314),(12 0.9453899),(13 0.94386846),(14 0.91350424),(15 0.9312547),(16 0.9764763),(17 0.9744308),(18 0.96170104),(19 0.93490154),(20 0.97760814),(21 0.9766468),(22 0.9552924),(23 0.93754506),(24 0.9671597),(25 0.96669817),(26 0.95668405),(27 0.9580853),(28 1.0074397),(29 1.0074247),(30 0.9654615),(31 0.94972783),(32 1.005942),(33 1.0055915),(34 0.98914653),(35 1.0133852),(36 1.0493487),(37 1.0479039),(38 0.99650586),(39 0.9894899),(40 1.0345826),(41 1.0341439),(42 0.98872304),(43 0.95128196),(44 1.0006466),(45 0.99865687),(46 0.96714926),
(1 0.00031632718),(2 0.46741545),(3 0.7642044),(4 0.83868605),(5 0.8382785),(6 0.84213555),(7 0.872377),(8 0.89976),(9 0.89957374),(10 0.85962206),(11 0.82632846),(12 0.891212),(13 0.8909842),(14 0.84802395),(15 0.86533934),(16 0.93733346),(17 0.9358299),(18 0.9210537),(19 0.9156058),(20 0.9375585),(21 0.9366256),(22 0.89007276),(23 0.8973731),(24 0.93622416),(25 0.9356484),(26 0.9293795),(27 0.92910624),(28 0.9740659),(29 0.9743348),(30 0.9177162),(31 0.9054558),(32 0.9696192),(33 0.96868485),(34 0.94503236),(35 0.9614252),(36 0.9922595),(37 0.99041396),(38 0.9616858),(39 0.9530803),(40 0.9764817),(41 0.9760721),(42 0.9467519),(43 0.9371355),(44 0.9744447),(45 0.9729766),(46 0.9383538),
(1 0.00029503932),(2 0.42246625),(3 0.67582965),(4 0.74443376),(5 0.7438784),(6 0.76220274),(7 0.78177494),(8 0.80662316),(9 0.8069317),(10 0.7592245),(11 0.74649626),(12 0.78961337),(13 0.788189),(14 0.76112986),(15 0.7582017),(16 0.8282324),(17 0.82684696),(18 0.82426035),(19 0.792304),(20 0.8268529),(21 0.8265395),(22 0.8001521),(23 0.7897882),(24 0.8197639),(25 0.81989956),(26 0.8274701),(27 0.81432384),(28 0.8527953),(29 0.8523309),(30 0.79826933),(31 0.7933488),(32 0.8471223),(33 0.8466586),(34 0.8356657),(35 0.8437932),(36 0.88150007),(37 0.8806194),(38 0.8467871),(39 0.84166646),(40 0.86778784),(41 0.86722094),(42 0.838715),(43 0.8144472),(44 0.8475812),(45 0.8468907),(46 0.8182655),
(1 0.00027258947),(2 0.3533759),(3 0.5549706),(4 0.61196166),(5 0.6112202),(6 0.61062574),(7 0.63363576),(8 0.66325057),(9 0.66314596),(10 0.62447107),(11 0.59542),(12 0.65054464),(13 0.64941746),(14 0.6242132),(15 0.6301179),(16 0.6869659),(17 0.68632376),(18 0.6821905),(19 0.6658367),(20 0.7000065),(21 0.69976026),(22 0.67297715),(23 0.67177033),(24 0.6864586),(25 0.68576986),(26 0.693663),(27 0.6922934),(28 0.72213244),(29 0.7221604),(30 0.6790654),(31 0.6805074),(32 0.7227737),(33 0.7227528),(34 0.70142955),(35 0.71205074),(36 0.74578744),(37 0.7452582),(38 0.717199),(39 0.7002699),(40 0.72930425),(41 0.72925997),(42 0.71095616),(43 0.69855046),(44 0.72682524),(45 0.7263158),(46 0.6896499),
(1 0.00023623972),(2 0.28663585),(3 0.45238104),(4 0.4975641),(5 0.49727285),(6 0.5180302),(7 0.52438927),(8 0.5429431),(9 0.5431676),(10 0.51114535),(11 0.49629873),(12 0.5354721),(13 0.53506774),(14 0.5187763),(15 0.51340234),(16 0.5611294),(17 0.5597047),(18 0.554129),(19 0.55116093),(20 0.57435733),(21 0.57433677),(22 0.5513275),(23 0.5359248),(24 0.566224),(25 0.5656186),(26 0.56738573),(27 0.5538564),(28 0.5888684),(29 0.5887169),(30 0.5555616),(31 0.5561438),(32 0.58338404),(33 0.58319116),(34 0.5720815),(35 0.5837587),(36 0.6097644),(37 0.6086897),(38 0.58705616),(39 0.5779974),(40 0.5910107),(41 0.59049386),(42 0.5790922),(43 0.57194436),(44 0.5967518),(45 0.5958403),(46 0.5751771),
(1 0.00022246524),(2 0.26660892),(3 0.40965274),(4 0.45113206),(5 0.45059878),(6 0.46357605),(7 0.4641924),(8 0.4941224),(9 0.49330544),(10 0.4694567),(11 0.45572275),(12 0.49030605),(13 0.48995396),(14 0.47202113),(15 0.47414407),(16 0.5121774),(17 0.51126266),(18 0.513189),(19 0.5056915),(20 0.52297574),(21 0.5231043),(22 0.503801),(23 0.50228673),(24 0.52206004),(25 0.52151346),(26 0.5268346),(27 0.51965016),(28 0.5456304),(29 0.5455925),(30 0.51794463),(31 0.5184844),(32 0.5383021),(33 0.53793585),(34 0.5325395),(35 0.5465739),(36 0.56560737),(37 0.56506217),(38 0.5415846),(39 0.53222376),(40 0.5555031),(41 0.5552512),(42 0.54060143),(43 0.53290164),(44 0.55341417),(45 0.55305445),(46 0.54300624),
(1 0.00023360357),(2 0.25170904),(3 0.3842626),(4 0.42969573),(5 0.42929804),(6 0.43668255),(7 0.44670334),(8 0.45847437),(9 0.45818833),(10 0.43728533),(11 0.42612296),(12 0.4542776),(13 0.45483673),(14 0.4447418),(15 0.4404231),(16 0.48133045),(17 0.48013446),(18 0.46589682),(19 0.46371338),(20 0.47814223),(21 0.47802052),(22 0.46738386),(23 0.45934036),(24 0.47940794),(25 0.47922835),(26 0.47838825),(27 0.47886446),(28 0.50072736),(29 0.50068367),(30 0.477408),(31 0.47284135),(32 0.48767072),(33 0.48729002),(34 0.48792338),(35 0.49758208),(36 0.51294345),(37 0.51212746),(38 0.49240184),(39 0.48348567),(40 0.5024363),(41 0.50237316),(42 0.49822584),(43 0.487103),(44 0.5149563),(45 0.51425683),(46 0.4984963),
(1 0.00020785916),(2 0.21034814),(3 0.3272675),(4 0.35970157),(5 0.35947815),(6 0.37416217),(7 0.37577155),(8 0.38916358),(9 0.38889018),(10 0.37033042),(11 0.36687225),(12 0.3946573),(13 0.3946334),(14 0.38174024),(15 0.38196462),(16 0.41128132),(17 0.41037357),(18 0.40847936),(19 0.40240398),(20 0.41743612),(21 0.4173208),(22 0.40587333),(23 0.40568954),(24 0.41689178),(25 0.41655663),(26 0.41866434),(27 0.41643816),(28 0.4368762),(29 0.43661332),(30 0.41415605),(31 0.4127929),(32 0.42927557),(33 0.42878813),(34 0.42748788),(35 0.44108343),(36 0.44290432),(37 0.44248068),(38 0.4313015),(39 0.4259124),(40 0.44116905),(41 0.4409774),(42 0.43220612),(43 0.4298321),(44 0.45052183),(45 0.45030904),(46 0.43327352),
(1 0.00021883714),(2 0.19949158),(3 0.30439737),(4 0.3330745),(5 0.33266085),(6 0.34383377),(7 0.35227162),(8 0.35865176),(9 0.3578932),(10 0.34356403),(11 0.3436925),(12 0.36592883),(13 0.36578915),(14 0.35579997),(15 0.35391173),(16 0.38457158),(17 0.38426143),(18 0.375243),(19 0.37624955),(20 0.38576898),(21 0.38519856),(22 0.36913207),(23 0.37037623),(24 0.3821611),(25 0.38204584),(26 0.3874517),(27 0.38525847),(28 0.4001221),(29 0.40015078),(30 0.38045302),(31 0.37882593),(32 0.39501557),(33 0.3941789),(34 0.3977415),(35 0.40289423),(36 0.4094098),(37 0.40909857),(38 0.3923085),(39 0.39394236),(40 0.4061997),(41 0.4058437),(42 0.3995005),(43 0.38965845),(44 0.4116331),(45 0.4108459),(46 0.39453462),
