1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 0.00009338428),(2 0.04785882),(3 0.08304232),(4 0.098849714),(5 0.09876948),(6 0.10364351),(7 0.10471559),(8 0.110798165),(9 0.11055027),(10 0.10692137),(11 0.11074188),(12 0.11401282),(13 0.11379838),(14 0.11453774),(15 0.1253764),(16 0.13692354),(17 0.13663122),(18 0.13887376),(19 0.13431978),(20 0.13529783),(21 0.13510184),(22 0.12906148),(23 0.12718453),(24 0.13635612),(25 0.13628651),(26 0.13270731),(27 0.13875748),(28 0.14569183),(29 0.14570545),(30 0.14318167),(31 0.14227755),(32 0.14589667),(33 0.14558063),(34 0.14100176),(35 0.14967635),(36 0.15249972),(37 0.15227726),(38 0.1485358),(39 0.14169148),(40 0.14875118),(41 0.1486344),(42 0.14303266),(43 0.13918965),(44 0.13681927),(45 0.13655202),(46 0.13728388),
(1 0.0000869662),(2 0.04271671),(3 0.074785955),(4 0.08740226),(5 0.08736814),(6 0.09382895),(7 0.09529062),(8 0.10007492),(9 0.09976428),(10 0.096967265),(11 0.09978947),(12 0.10225621),(13 0.102049716),(14 0.10384145),(15 0.11473929),(16 0.12505142),(17 0.12476848),(18 0.12817477),(19 0.123308055),(20 0.12438334),(21 0.12415457),(22 0.11856767),(23 0.116045475),(24 0.12504627),(25 0.12491627),(26 0.12212763),(27 0.12773655),(28 0.13299692),(29 0.13310161),(30 0.13072477),(31 0.12845005),(32 0.13254474),(33 0.13247441),(34 0.12767461),(35 0.13596089),(36 0.13997437),(37 0.13977824),(38 0.13579513),(39 0.12707387),(40 0.13353574),(41 0.13334039),(42 0.13002633),(43 0.12684499),(44 0.12570949),(45 0.12544075),(46 0.12490241),
(1 0.00008811154),(2 0.039896637),(3 0.07025522),(4 0.08242965),(5 0.08234747),(6 0.087254286),(7 0.08899326),(8 0.09371327),(9 0.093354754),(10 0.09096072),(11 0.09346148),(12 0.09581569),(13 0.09563987),(14 0.09798026),(15 0.1068287),(16 0.11621696),(17 0.116041176),(18 0.11874299),(19 0.114434436),(20 0.1157058),(21 0.11553594),(22 0.110916786),(23 0.10910442),(24 0.11563346),(25 0.11552973),(26 0.11396027),(27 0.119512126),(28 0.12448245),(29 0.12446022),(30 0.12302119),(31 0.121508114),(32 0.12473279),(33 0.124625646),(34 0.11961574),(35 0.1285478),(36 0.13146517),(37 0.13139546),(38 0.12716644),(39 0.12045509),(40 0.12560987),(41 0.1254907),(42 0.1226139),(43 0.11900416),(44 0.11786227),(45 0.11770936),(46 0.11872935),
(1 0.000098208046),(2 0.039452113),(3 0.06893659),(4 0.08095481),(5 0.08090747),(6 0.08528466),(7 0.08689375),(8 0.09305192),(9 0.092686154),(10 0.089733176),(11 0.09134052),(12 0.09406541),(13 0.09387259),(14 0.09657624),(15 0.10435649),(16 0.114389874),(17 0.11414608),(18 0.11563919),(19 0.112221666),(20 0.11291662),(21 0.112750225),(22 0.10833252),(23 0.1056668),(24 0.11339817),(25 0.11323602),(26 0.11237842),(27 0.11788497),(28 0.12309712),(29 0.12308077),(30 0.11957262),(31 0.118974194),(32 0.12218133),(33 0.12191721),(34 0.11715008),(35 0.12380369),(36 0.12727714),(37 0.12719859),(38 0.12266149),(39 0.118189216),(40 0.12207599),(41 0.12191288),(42 0.1195233),(43 0.11523921),(44 0.11452335),(45 0.11434593),(46 0.115165256),
(1 0.00010270425),(2 0.0386921),(3 0.06532618),(4 0.0782319),(5 0.07804748),(6 0.08169643),(7 0.08265292),(8 0.088750124),(9 0.088385426),(10 0.08575244),(11 0.087652124),(12 0.09123843),(13 0.090835795),(14 0.09247493),(15 0.10078944),(16 0.11081009),(17 0.110393375),(18 0.112675436),(19 0.107536815),(20 0.1087223),(21 0.10850305),(22 0.10344646),(23 0.10218084),(24 0.109698415),(25 0.1094957),(26 0.10827418),(27 0.112194136),(28 0.11740331),(29 0.11733141),(30 0.11580983),(31 0.11378291),(32 0.117981754),(33 0.11771107),(34 0.112729065),(35 0.11990923),(36 0.12389354),(37 0.12372814),(38 0.11891567),(39 0.11336736),(40 0.118835956),(41 0.11867924),(42 0.11584585),(43 0.11219261),(44 0.110507555),(45 0.11014783),(46 0.1107479),
(1 0.00009843414),(2 0.035746105),(3 0.060934342),(4 0.07301122),(5 0.07277271),(6 0.075814605),(7 0.07783582),(8 0.083834246),(9 0.08349598),(10 0.08075596),(11 0.08250881),(12 0.08483749),(13 0.084558494),(14 0.08643622),(15 0.09493659),(16 0.1036708),(17 0.10340502),(18 0.10568366),(19 0.10254437),(20 0.10360213),(21 0.103329554),(22 0.0975038),(23 0.09672617),(24 0.104106896),(25 0.103921674),(26 0.10232205),(27 0.10591904),(28 0.11196141),(29 0.11190985),(30 0.10930864),(31 0.107501425),(32 0.111223124),(33 0.11089001),(34 0.106353626),(35 0.1129972),(36 0.11668332),(37 0.1163802),(38 0.11213422),(39 0.10656305),(40 0.11236133),(41 0.11214092),(42 0.1092863),(43 0.10552831),(44 0.10352076),(45 0.10320512),(46 0.10387714),
(1 0.000095597796),(2 0.03345376),(3 0.05738094),(4 0.068383835),(5 0.068180494),(6 0.07120225),(7 0.07290295),(8 0.077979565),(9 0.077722505),(10 0.07544141),(11 0.07751484),(12 0.08010337),(13 0.079925865),(14 0.08214633),(15 0.090041555),(16 0.099351756),(17 0.09912623),(18 0.09992717),(19 0.09645921),(20 0.09787043),(21 0.09764588),(22 0.091912165),(23 0.091735914),(24 0.099016),(25 0.09889571),(26 0.09620123),(27 0.10008595),(28 0.106736556),(29 0.10667952),(30 0.10438258),(31 0.10228331),(32 0.10483246),(33 0.10460938),(34 0.10114083),(35 0.10749967),(36 0.110654846),(37 0.11054804),(38 0.107025996),(39 0.102178425),(40 0.10699112),(41 0.10695559),(42 0.103602394),(43 0.1002273),(44 0.09826656),(45 0.097941205),(46 0.09851721),
(1 0.000104445855),(2 0.032392222),(3 0.05596482),(4 0.06689991),(5 0.06682156),(6 0.06907825),(7 0.07134557),(8 0.07655912),(9 0.07627134),(10 0.073337615),(11 0.07641217),(12 0.078552514),(13 0.07833458),(14 0.08018302),(15 0.08762915),(16 0.096648484),(17 0.096506074),(18 0.09862795),(19 0.09470919),(20 0.09634273),(21 0.09624753),(22 0.09024537),(23 0.09053092),(24 0.09707677),(25 0.09691207),(26 0.09438554),(27 0.098617636),(28 0.10349962),(29 0.10339698),(30 0.10236831),(31 0.09978376),(32 0.10196516),(33 0.10170575),(34 0.0986393),(35 0.104940474),(36 0.10857432),(37 0.10846798),(38 0.104433216),(39 0.10066349),(40 0.10473391),(41 0.104624815),(42 0.10187787),(43 0.098179415),(44 0.09656856),(45 0.09643717),(46 0.09593489),
(1 0.00011107263),(2 0.031596627),(3 0.05467153),(4 0.06547193),(5 0.0653624),(6 0.06816984),(7 0.07083994),(8 0.07522573),(9 0.074891955),(10 0.0722084),(11 0.07505927),(12 0.077432044),(13 0.077050395),(14 0.07897511),(15 0.086032085),(16 0.09542547),(17 0.09516473),(18 0.096355885),(19 0.09337238),(20 0.094063774),(21 0.09387843),(22 0.08832123),(23 0.08813268),(24 0.09535816),(25 0.09524874),(26 0.092278555),(27 0.0967281),(28 0.10152472),(29 0.10128914),(30 0.09938356),(31 0.09782885),(32 0.10141339),(33 0.101091295),(34 0.09653547),(35 0.10412097),(36 0.10608066),(37 0.10582555),(38 0.10332549),(39 0.098108605),(40 0.10276121),(41 0.10261038),(42 0.0992747),(43 0.096094035),(44 0.09500131),(45 0.0947344),(46 0.094857566),
(1 0.000104246814),(2 0.030352574),(3 0.052005444),(4 0.06167904),(5 0.06146357),(6 0.06506337),(7 0.06768899),(8 0.072276056),(9 0.072035834),(10 0.06962255),(11 0.07166822),(12 0.07363561),(13 0.07344776),(14 0.07529385),(15 0.082996525),(16 0.09150478),(17 0.09124991),(18 0.093389824),(19 0.090222456),(20 0.09010121),(21 0.08983687),(22 0.0854349),(23 0.08422295),(24 0.091308445),(25 0.09108547),(26 0.08924309),(27 0.09270689),(28 0.09712495),(29 0.09698053),(30 0.096152015),(31 0.0950955),(32 0.09727651),(33 0.09688212),(34 0.09265782),(35 0.10020947),(36 0.102398306),(37 0.10214663),(38 0.09875457),(39 0.09470427),(40 0.099014886),(41 0.098793134),(42 0.09581196),(43 0.09298993),(44 0.09081434),(45 0.090564005),(46 0.09062762),
