1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 46714.957),(2 114251.836),(3 199384.73),(4 318182.66),(5 466806.63),(6 652942.7),(7 841309.8),(8 1036700.94),(9 1219535.5),(10 1437482.4),(11 1655314.9),(12 1897286),(13 2176108),(14 2461061.8),(15 2699810.3),(16 2928520),(17 3153160.8),(18 3406146.3),(19 3629545.3),(20 3808414.8),(21 3932581.3),(22 4103912.8),(23 4251152.5),(24 4406837.5),(25 4548916.5),(26 4679009.5),(27 4797302),(28 4867660.5),(29 4987616.5),(30 5083549),(31 5170109.5),(32 5199386),(33 5214339.5),(34 5248790.5),(35 5278898.5),(36 5329928.5),(37 5321013.5),(38 5310822.5),(39 5314045.5),(40 5309500.5),(41 5342195),(42 5343401.5),(43 5391136),(44 5435704.5),(45 5447772.5),(46 5548066),(47 5689756),(48 5884553.5),(49 6105378.5),(50 6344329.5),(51 6510668),(52 6830450.5),(53 7188584),(54 7544190.5),(55 7944158),(56 8411941),(57 8755816),(58 9238342),(59 9760978),(60 10410416),(61 11014132),(62 11610821),(63 12124420),(64 12811557),(65 13574223),(66 14376065),(67 15215832),(68 16087245),(69 16832504),(70 17768286),(71 18653146),(72 19666870),(73 20623750),(74 21613146),(75 22446406),(76 23499654),(77 24636214),(78 25783034),(79 26929674),
(1 8010.759),(2 10701.986),(3 11115.375),(4 11145.684),(5 11985.183),(6 11855.957),(7 12112.227),(8 12763.696),(9 12965.688),(10 13098.689),(11 13102.794),(12 13565.925),(13 13638.448),(14 13943.886),(15 14295.204),(16 13992.5),(17 13830.285),(18 14079.937),(19 14059.861),(20 14080.195),(21 14162.04),(22 14207.917),(23 14010.256),(24 14235.044),(25 14640.869),(26 14455.814),(27 14503.107),(28 14378.574),(29 14828.887),(30 14444.793),(31 14645.169),(32 14615.401),(33 14489.973),(34 14430.736),(35 14342.762),(36 14485.039),(37 14476.669),(38 14405),(39 14756.801),(40 14629.64),(41 14564.407),(42 14550.379),(43 14828.946),(44 14627.986),(45 14470.956),(46 14555.214),(47 14647.631),(48 14574.206),(49 14341.934),(50 14304.142),(51 14437.563),(52 14343.781),(53 14357.283),(54 14330.386),(55 14315.212),(56 14166.037),(57 14077.455),(58 14215.492),(59 14061.509),(60 14107.733),(61 14137.544),(62 14142.65),(63 14262.245),(64 14187.361),(65 14112.381),(66 13929.824),(67 13987.72),(68 13730.324),(69 13661.139),(70 13698.817),(71 13689.987),(72 13602.429),(73 13492.174),(74 13361.776),(75 13481.587),(76 13371.66),(77 13463.189),(78 13413.324),(79 13518.2705),
(1 7646.9414),(2 10258.594),(3 10688.566),(4 10611.749),(5 11488.407),(6 11149.32),(7 11311.1875),(8 11929.734),(9 12071.758),(10 12080.025),(11 12279.932),(12 12563.397),(13 12803.202),(14 12985.66),(15 13162.187),(16 13161.798),(17 13063.189),(18 13419.912),(19 13523.871),(20 13279.608),(21 13246.833),(22 13443.684),(23 13517.075),(24 13329.888),(25 13682.034),(26 13879.155),(27 13829.237),(28 13481.394),(29 13739.732),(30 13550.332),(31 13443.506),(32 13325.637),(33 13144.055),(34 13327.872),(35 13255.927),(36 13198.945),(37 13336.779),(38 13378.865),(39 13601.94),(40 13444.185),(41 13702.883),(42 13396.711),(43 13747.711),(44 13783.318),(45 13598.048),(46 13489.359),(47 13407.426),(48 13537.235),(49 13468.738),(50 13435.757),(51 13575.778),(52 13605.21),(53 13746.738),(54 13546.285),(55 13725.962),(56 13756.285),(57 13755.519),(58 13690.027),(59 13840.941),(60 13786.313),(61 13725.043),(62 13623.276),(63 13670.035),(64 13458.2705),(65 13351.162),(66 13022.926),(67 12982.589),(68 12860.474),(69 12879.707),(70 12763.388),(71 12792.286),(72 12908.445),(73 12586.183),(74 12578.971),(75 12691.418),(76 12514.258),(77 12525.183),(78 12519.634),(79 13000.596),
(1 7345.198),(2 9915.205),(3 10340.054),(4 10511.496),(5 11319.391),(6 11071.354),(7 11154.005),(8 11575.644),(9 11797.456),(10 11979.725),(11 12114.257),(12 12645.261),(13 12713.097),(14 12805.206),(15 13165.411),(16 13345.813),(17 13190.831),(18 13335.746),(19 13542.909),(20 13349.386),(21 13379.756),(22 13517.2),(23 13527.844),(24 13393.704),(25 13431.147),(26 13688.655),(27 13455.397),(28 13209.12),(29 13370.492),(30 13306.511),(31 13247.351),(32 13104.351),(33 13057.845),(34 13279.017),(35 13062.287),(36 13000.429),(37 12907.329),(38 12967.357),(39 13034.282),(40 12955.025),(41 13246.8955),(42 13138.752),(43 13215.357),(44 13060.794),(45 13024.377),(46 13073.938),(47 12924.795),(48 13085.155),(49 13080.242),(50 13084.775),(51 13138.416),(52 12976.816),(53 13247.046),(54 13059.451),(55 13280.565),(56 13145.116),(57 13055.923),(58 13089.936),(59 13233.77),(60 13129.546),(61 13122.342),(62 13092),(63 13218.084),(64 12921.128),(65 12798.514),(66 12660.19),(67 12471.171),(68 12506.803),(69 12431.901),(70 12521.942),(71 12528.44),(72 12616.681),(73 12476.951),(74 12425.896),(75 12532.894),(76 12478.176),(77 12641.834),(78 12521.674),(79 12875.946),
(1 7235.397),(2 9736.821),(3 10219.173),(4 10270.007),(5 11143.327),(6 10726.7705),(7 10996.583),(8 11339.252),(9 11482.081),(10 11704.988),(11 11954.733),(12 12301.032),(13 12493.131),(14 12579.017),(15 12895.22),(16 12995.576),(17 12922.595),(18 12814.244),(19 13246.35),(20 13444.425),(21 13219.668),(22 13046.308),(23 13295.121),(24 13532.832),(25 13138.292),(26 13686.511),(27 13690.39),(28 13257.324),(29 13412.1045),(30 13386.204),(31 13526.151),(32 13198.925),(33 13001.336),(34 13044.393),(35 13138.014),(36 12885.55),(37 12940.314),(38 13208.669),(39 13256.123),(40 13014.157),(41 13183.575),(42 13152.164),(43 13244.437),(44 13318.019),(45 13135.031),(46 12964.881),(47 12975.161),(48 13233.889),(49 13087.579),(50 13225.956),(51 13369.85),(52 13177.335),(53 13212.219),(54 13189.934),(55 13426.41),(56 13135.461),(57 12945.883),(58 13169.158),(59 13475.902),(60 13406.249),(61 13205.681),(62 13137.454),(63 13188.168),(64 12933.48),(65 12841.132),(66 12911.21),(67 12681.754),(68 12569.906),(69 12524.455),(70 12742.477),(71 12575.881),(72 12818.874),(73 12678.381),(74 12693.616),(75 12777.963),(76 12681.044),(77 12804.937),(78 12844.529),(79 12934.248),
(1 6964.1694),(2 9195.387),(3 9732.941),(4 9669.6045),(5 10234.391),(6 9935.903),(7 10280.473),(8 10485.289),(9 10443.207),(10 10802.765),(11 11150.359),(12 11477.971),(13 11496.029),(14 11541.377),(15 11906.342),(16 11904.277),(17 12033.478),(18 12121.518),(19 12342.466),(20 12463.617),(21 12406.285),(22 12314.638),(23 12423.678),(24 12729.516),(25 12613.611),(26 12914.942),(27 12930.062),(28 12694.803),(29 12626.788),(30 12971.75),(31 13050.759),(32 12757.651),(33 12620.2705),(34 12706.398),(35 12707.861),(36 12523.464),(37 12523.006),(38 12681.591),(39 12632.022),(40 12258.396),(41 12457.19),(42 12707.821),(43 12683.398),(44 12507.299),(45 12277.436),(46 12313.562),(47 12365.739),(48 12610.746),(49 12334.537),(50 12328.731),(51 12311.926),(52 12015.427),(53 12271.082),(54 12225.142),(55 12276.331),(56 12146.56),(57 12004.58),(58 12289.507),(59 12300.659),(60 12174.513),(61 11842.624),(62 11964.229),(63 12139.729),(64 11891.562),(65 11756.418),(66 11661.138),(67 11699.147),(68 11808.599),(69 11873.08),(70 11934.73),(71 11753.603),(72 11970.989),(73 11941.073),(74 11831.626),(75 11944.247),(76 11848.094),(77 11994.969),(78 12032.88),(79 11956.2),
(1 6732.162),(2 8861.677),(3 9204.018),(4 9206.419),(5 9976.519),(6 9689.171),(7 10104.572),(8 10444.82),(9 10565.772),(10 10783.732),(11 11283.379),(12 11601.859),(13 11677.203),(14 11887.419),(15 12177.256),(16 12079.07),(17 12280.093),(18 12035.262),(19 12307.925),(20 12268.413),(21 12041.281),(22 12018.148),(23 12344.4375),(24 12549.553),(25 12490.593),(26 12623.536),(27 12782.641),(28 12337.093),(29 12311.34),(30 12241.836),(31 12698.525),(32 12169.664),(33 11837.605),(34 11946.81),(35 12038.304),(36 12146.101),(37 12038.107),(38 12067.824),(39 12126.13),(40 11947.887),(41 12038.65),(42 12129.953),(43 12329.239),(44 12089.565),(45 11925.661),(46 11770.388),(47 11843.575),(48 11908.17),(49 11870.975),(50 11842.844),(51 11935.82),(52 11867.076),(53 12060.142),(54 12217.489),(55 12297.46),(56 12200.737),(57 12161.193),(58 12413.109),(59 12443.045),(60 12436.577),(61 11917.408),(62 12103.461),(63 12317.085),(64 12116.001),(65 12120.469),(66 11930.64),(67 11869.242),(68 12009.039),(69 11967.486),(70 11951.513),(71 11850.612),(72 11861.966),(73 11785.047),(74 11894.746),(75 11772.149),(76 11542.533),(77 11529.993),(78 11505.5205),(79 11611.938),
(1 6359.706),(2 8571.602),(3 8931.924),(4 9101.632),(5 9770.67),(6 9494.529),(7 9906.16),(8 10169.446),(9 10237.949),(10 10584.342),(11 10934.598),(12 11280.398),(13 11419.546),(14 11611.64),(15 11792.599),(16 11806.062),(17 11927.71),(18 11789.049),(19 12074.895),(20 12116.726),(21 11943.796),(22 12145.155),(23 12045.62),(24 12133.093),(25 12240.277),(26 12400.542),(27 12426.329),(28 12216.77),(29 12305.755),(30 12284.721),(31 12650.721),(32 12284.7),(33 11978.748),(34 11933.098),(35 12056.218),(36 12137.858),(37 11817.62),(38 11855.664),(39 11960.118),(40 11657.089),(41 11906.855),(42 11782.5),(43 12061.175),(44 11811.813),(45 11796.508),(46 11808.676),(47 11820.424),(48 12031.095),(49 11913.954),(50 12002.803),(51 12049.239),(52 11892.033),(53 12009.123),(54 11907.234),(55 11887.929),(56 11898.288),(57 11847.654),(58 11897.73),(59 11955.33),(60 12064.992),(61 11576.596),(62 11688.425),(63 11866.291),(64 11656.809),(65 11602.074),(66 11522.753),(67 11440.526),(68 11750.3545),(69 11786.718),(70 11703.639),(71 11618.649),(72 11714.589),(73 11617.414),(74 11524.498),(75 11468.415),(76 11398.442),(77 11452.079),(78 11418.006),(79 11584.608),
(1 6164.4595),(2 8261.998),(3 8470.733),(4 8438.576),(5 9111.118),(6 8863.605),(7 9301.83),(8 9482.493),(9 9509.281),(10 10025.82),(11 10213.781),(12 10621.457),(13 10878.568),(14 10971.084),(15 11018.297),(16 11161.622),(17 11246.142),(18 11270.021),(19 11405.014),(20 11570.864),(21 11541.649),(22 11635.18),(23 11637.381),(24 11823.98),(25 11923.786),(26 12036.472),(27 12204.6),(28 12071.54),(29 12305.81),(30 12038.899),(31 12139.405),(32 12042.41),(33 11746.158),(34 11663.788),(35 11746.535),(36 11897.594),(37 11604.273),(38 11631),(39 11730.88),(40 11729.653),(41 11684.125),(42 11436.198),(43 11696.859),(44 11586.776),(45 11369.977),(46 11407.432),(47 11389.991),(48 11554.355),(49 11289.757),(50 11263.102),(51 11429.219),(52 11327.2),(53 11424.15),(54 11390.222),(55 11313.018),(56 11218.337),(57 11193.459),(58 11338.919),(59 11371.801),(60 11355.644),(61 11093.652),(62 11120.905),(63 11156.907),(64 10883.242),(65 11018.314),(66 10990.197),(67 10847.958),(68 10906.964),(69 10910.327),(70 10876.267),(71 10679.792),(72 10774.53),(73 10829.87),(74 10819.856),(75 10806.297),(76 10778.959),(77 10949.076),(78 10769.532),(79 10827.435),
(1 5827.7627),(2 7849.0273),(3 8184.478),(4 8171.3726),(5 8816.976),(6 8704.858),(7 8876.9375),(8 9094.023),(9 9186.547),(10 9453.774),(11 9696.084),(12 10056.33),(13 10170.622),(14 10260.049),(15 10474.396),(16 10689.023),(17 10895.155),(18 10905.741),(19 11080.866),(20 11083.755),(21 11022.432),(22 11022.857),(23 10896.497),(24 10970.5205),(25 11202.104),(26 11289.103),(27 11411.774),(28 11338.495),(29 11417.384),(30 11213.195),(31 11284.176),(32 11195.532),(33 11031.989),(34 11020.087),(35 10941.6045),(36 11094.314),(37 10980.734),(38 10833.635),(39 10875.009),(40 10814.694),(41 10946.474),(42 10731.977),(43 10835.259),(44 10732.393),(45 10690.504),(46 10689.227),(47 10652.381),(48 10807.61),(49 10555.832),(50 10560.924),(51 10680.977),(52 10630.341),(53 10781.234),(54 10890.885),(55 10734.307),(56 10662.171),(57 10667.903),(58 10804.997),(59 10612.344),(60 10564.912),(61 10633.959),(62 10696.177),(63 10829.353),(64 10689.346),(65 10585.57),(66 10669.162),(67 10560.191),(68 10463.352),(69 10495.425),(70 10565.073),(71 10535.222),(72 10391.444),(73 10457.941),(74 10579.672),(75 10516.313),(76 10343.457),(77 10433.13),(78 10415.013),(79 10614.319),
(1 5643.1367),(2 7334.73),(3 7578.2783),(4 7597.831),(5 8449.71),(6 8184.652),(7 8232.278),(8 8417.5205),(9 8489.012),(10 8982.8),(11 9155.635),(12 9356.438),(13 9427.558),(14 9748.751),(15 9958.772),(16 9999.146),(17 10086.731),(18 10176.218),(19 10206.293),(20 10244.498),(21 10275.646),(22 10340.974),(23 10390.647),(24 10425.129),(25 10561.9795),(26 10627.939),(27 10643.262),(28 10528.661),(29 10680.552),(30 10617.965),(31 10633.904),(32 10614.042),(33 10446.159),(34 10401.437),(35 10480.372),(36 10592.909),(37 10402.713),(38 10387.841),(39 10557.376),(40 10263.127),(41 10366.3545),(42 10272.821),(43 10388.861),(44 10268.816),(45 10173.38),(46 10282.076),(47 10401.049),(48 10392.538),(49 10225.369),(50 10429.573),(51 10476.325),(52 10297.611),(53 10367.063),(54 10538.838),(55 10541.1),(56 10307.487),(57 10236.363),(58 10400.205),(59 10199.209),(60 10309.521),(61 10123.769),(62 10185.833),(63 10327.861),(64 10179.333),(65 10198.189),(66 10311.707),(67 10242.172),(68 10072.259),(69 10020.492),(70 10193.293),(71 10009.129),(72 9912.598),(73 9909.34),(74 9925.59),(75 9954.341),(76 9849.34),(77 10038.671),(78 9976.578),(79 10075.464),
(1 5524.719),(2 7316.49),(3 7539.9805),(4 7516.264),(5 8245.24),(6 8237.584),(7 8308.72),(8 8702.795),(9 8849.132),(10 9134.985),(11 9481.032),(12 9780.535),(13 9852.607),(14 10009.693),(15 10122.402),(16 10147.215),(17 10334.792),(18 10285.395),(19 10366.8125),(20 10040.339),(21 10029.518),(22 10162.097),(23 10123.408),(24 9995.355),(25 10068.912),(26 10286.385),(27 10184.93),(28 9812.565),(29 10000.565),(30 9993.76),(31 9901.463),(32 9876.882),(33 9817.453),(34 9844.292),(35 9750.378),(36 9863.973),(37 9875.293),(38 9849.952),(39 9996.072),(40 9903.74),(41 10044.275),(42 10192.338),(43 10142.717),(44 10240.903),(45 10303.836),(46 10393.566),(47 10405.931),(48 10347.381),(49 10224.069),(50 10452.466),(51 10606.6),(52 10432.588),(53 10390.855),(54 10393.548),(55 10193.613),(56 10174.608),(57 10179.529),(58 10175.185),(59 10169.783),(60 10221.038),(61 10029.811),(62 10235.868),(63 10349.516),(64 10296.401),(65 10228.018),(66 10188.35),(67 10009.432),(68 9884.921),(69 10045.716),(70 10272.401),(71 10195.149),(72 10109.693),(73 10052.267),(74 10084.749),(75 10068.509),(76 9858.698),(77 9954.376),(78 9945.662),(79 9978.992),
(1 5247.982),(2 6778.3433),(3 7088.425),(4 7289.4136),(5 7824.4243),(6 7594.119),(7 7895.9004),(8 8000.6772),(9 8123.605),(10 8460.655),(11 8768.492),(12 8878.913),(13 9002.988),(14 9218.059),(15 9274.571),(16 9339.806),(17 9436.564),(18 9437.814),(19 9549.993),(20 9391.471),(21 9348.631),(22 9472.819),(23 9392.842),(24 9367.724),(25 9475.673),(26 9618.934),(27 9719.872),(28 9633.607),(29 9669.339),(30 9513.916),(31 9505.742),(32 9373.983),(33 9284.063),(34 9341.28),(35 9349.301),(36 9299.322),(37 9247.556),(38 9277.586),(39 9283.459),(40 9184.718),(41 9193.557),(42 9139.17),(43 9352.826),(44 9239.463),(45 9201.262),(46 9276.527),(47 9325.907),(48 9314.654),(49 9292.299),(50 9351.79),(51 9445.361),(52 9371.101),(53 9299.488),(54 9203.64),(55 9137.232),(56 9157.464),(57 9093.738),(58 9137.613),(59 9031.661),(60 9160.119),(61 8996.986),(62 9218.742),(63 9213.856),(64 9098.381),(65 9245.151),(66 9281.6455),(67 9034.643),(68 8956.627),(69 9018.698),(70 9190.573),(71 9023.77),(72 9064.824),(73 9042.082),(74 8951.847),(75 9027.211),(76 8977.664),(77 9135.832),(78 9130.633),(79 9239.1),
(1 5122.524),(2 6497.7705),(3 6752.7705),(4 6953.7217),(5 7616.911),(6 7278.9507),(7 7593.2593),(8 7632.2188),(9 7690.2),(10 8203.046),(11 8472.034),(12 8362.207),(13 8551.751),(14 8756.297),(15 8878.603),(16 8899.192),(17 9172.56),(18 9025.591),(19 9205.028),(20 9159.589),(21 9093.267),(22 9294.815),(23 9296.981),(24 9221.207),(25 9292.106),(26 9473.412),(27 9568.94),(28 9429.397),(29 9597.791),(30 9453.864),(31 9405.152),(32 9325.254),(33 9235.536),(34 9239.238),(35 9216.423),(36 9275.535),(37 9157.521),(38 9111.155),(39 9164.696),(40 9130.902),(41 9282.943),(42 9135.402),(43 9269.619),(44 9304.4375),(45 9275.647),(46 9371.524),(47 9382.071),(48 9250.034),(49 9119),(50 9156.029),(51 9143.812),(52 9175.986),(53 9272.179),(54 9145.328),(55 9208.101),(56 9125.872),(57 9022.988),(58 9028.754),(59 8917.667),(60 8905.602),(61 8603.917),(62 8801.655),(63 8851.974),(64 8757.987),(65 8772.48),(66 8747.497),(67 8704.276),(68 8720.166),(69 8796.053),(70 8813.873),(71 8871.558),(72 8740.836),(73 8656.15),(74 8784.434),(75 8908.702),(76 8794.624),(77 8820.651),(78 8741.1),(79 8817.181),
(1 4939.3257),(2 6370.036),(3 6607.6133),(4 6701.004),(5 7187.3965),(6 6980.183),(7 7176.714),(8 7268.476),(9 7278.095),(10 7721.727),(11 8048.4546),(12 8033.9995),(13 8200.854),(14 8460.515),(15 8539.116),(16 8575.464),(17 8682.123),(18 8584.369),(19 8760.609),(20 8695.137),(21 8715.362),(22 8898.639),(23 8750.55),(24 8799.878),(25 8875.193),(26 8947.531),(27 8981.312),(28 8846.503),(29 8942.096),(30 8691.738),(31 8842.611),(32 8697.322),(33 8605.781),(34 8540.417),(35 8485.843),(36 8491.398),(37 8473.055),(38 8426.414),(39 8366.796),(40 8263.924),(41 8557.417),(42 8393.027),(43 8508.358),(44 8477.498),(45 8445.658),(46 8601.196),(47 8535.778),(48 8462.854),(49 8479.544),(50 8559.102),(51 8616.694),(52 8545.172),(53 8663.982),(54 8511.842),(55 8659.093),(56 8646.954),(57 8568.255),(58 8505.17),(59 8529.445),(60 8557.1875),(61 8533.532),(62 8533.004),(63 8643.497),(64 8580.324),(65 8682.243),(66 8470.571),(67 8415.116),(68 8361.17),(69 8255.3545),(70 8387.581),(71 8386.005),(72 8373.138),(73 8172.4546),(74 8425.949),(75 8533.037),(76 8407.395),(77 8442.473),(78 8370.754),(79 8287.045),
(1 4776.7075),(2 6061.6206),(3 6361.995),(4 6353.159),(5 6841.5063),(6 6766.084),(7 6971.706),(8 6993.366),(9 7019.3423),(10 7432.484),(11 7709.9595),(12 7788.5415),(13 7776.877),(14 7974.5967),(15 8100.5137),(16 8083.9673),(17 8206.088),(18 8298.587),(19 8376.802),(20 8316.091),(21 8331.164),(22 8500.028),(23 8465.866),(24 8556.818),(25 8625.209),(26 8591.707),(27 8617.74),(28 8514.462),(29 8562.703),(30 8406.279),(31 8553.249),(32 8550.9375),(33 8475.734),(34 8468.857),(35 8378.204),(36 8459.758),(37 8414.488),(38 8360.022),(39 8386.775),(40 8409.189),(41 8515.668),(42 8453.219),(43 8436.313),(44 8448.091),(45 8399.296),(46 8367.297),(47 8321.433),(48 8334.189),(49 8259.88),(50 8266.865),(51 8398.35),(52 8262.977),(53 8191.474),(54 8228.352),(55 8357.318),(56 8311.016),(57 8220.865),(58 8299.577),(59 8221.301),(60 8210.176),(61 8018.592),(62 8132.3657),(63 8222.839),(64 8241.514),(65 8205.938),(66 8177.107),(67 8148.039),(68 8043.748),(69 8033.782),(70 8080.88),(71 8127.153),(72 8010.7686),(73 8078.624),(74 8217.617),(75 8283.62),(76 8113.6377),(77 8085.2456),(78 7938.106),(79 7970.8667),
(1 4603.2144),(2 5890.424),(3 6113.6567),(4 6034.7334),(5 6580.4634),(6 6408.004),(7 6634.7207),(8 6625.147),(9 6654.526),(10 6968.4507),(11 7157.032),(12 7279.3237),(13 7328.4004),(14 7619.377),(15 7813.418),(16 7864.6914),(17 7818.998),(18 7968.5386),(19 8112.493),(20 7928.5596),(21 7878.7188),(22 8023.4683),(23 7949.583),(24 8031.071),(25 8134.89),(26 8129.785),(27 8172.0728),(28 8006.235),(29 8284.897),(30 8042.688),(31 8048.345),(32 8113.551),(33 8084.5234),(34 8034.528),(35 8040.013),(36 8082.24),(37 8039.908),(38 8065.929),(39 8077.524),(40 7961.9414),(41 8105.755),(42 8070.387),(43 8144.376),(44 8180.254),(45 8111.396),(46 8188.552),(47 8164.2944),(48 8088.232),(49 8177.561),(50 8134.373),(51 8178.0557),(52 8009.05),(53 8054.877),(54 8084.067),(55 8123.0767),(56 8077.189),(57 8063.9106),(58 8194.273),(59 8075.5728),(60 8020.4756),(61 8019.626),(62 8021.7866),(63 8062.4688),(64 7861.5444),(65 8005.143),(66 7832.835),(67 7730.65),(68 7625.563),(69 7703.983),(70 7772.0737),(71 7629.8564),(72 7576.3086),(73 7629.157),(74 7720.4253),(75 7691.113),(76 7623.3706),(77 7655.818),(78 7405.023),(79 7531.0005),
(1 4548.4907),(2 5609.2207),(3 5785.197),(4 5845.2046),(5 6308.8257),(6 6067.3423),(7 6239.7944),(8 6309.7896),(9 6295.895),(10 6622.3633),(11 6841.263),(12 6912.3086),(13 6952.2915),(14 7064.5483),(15 7210.5225),(16 7140.2813),(17 7242.934),(18 7292.0615),(19 7481.191),(20 7331.2896),(21 7281.071),(22 7417.3535),(23 7399.807),(24 7421.609),(25 7512.8423),(26 7608.761),(27 7662.1274),(28 7569.4736),(29 7842.3745),(30 7565.887),(31 7577.655),(32 7595.899),(33 7493.342),(34 7536.844),(35 7609.892),(36 7553.1025),(37 7486.5317),(38 7459.9517),(39 7575.1025),(40 7519.654),(41 7658.9775),(42 7601.3247),(43 7717.263),(44 7645.619),(45 7609.984),(46 7695.065),(47 7642.4463),(48 7542.669),(49 7583.6904),(50 7682.6797),(51 7694.5527),(52 7539.177),(53 7510.633),(54 7572.939),(55 7618.6016),(56 7373.087),(57 7341.103),(58 7487.3696),(59 7355.1494),(60 7318.169),(61 7335.5024),(62 7353.3687),(63 7459.945),(64 7317.037),(65 7455.599),(66 7278.9473),(67 7313.225),(68 7234.2124),(69 7263.272),(70 7335.0435),(71 7292.392),(72 7125.3633),(73 7205.9644),(74 7189.552),(75 7227.669),(76 7187.2813),(77 7304.4307),(78 7131.752),(79 7252.0054),
