1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 40363.566),(2 128721.875),(3 252718.89),(4 417628.1),(5 605863.9),(6 822122.8),(7 1057045.4),(8 1349765.5),(9 1642635.6),(10 1967791.6),(11 2370488.3),(12 2840264.8),(13 3371777.8),(14 3920175.3),(15 4549475.5),(16 5261298.5),(17 6011192.5),(18 6663953.5),(19 7419502.5),(20 8279903.5),(21 9112765),(22 9930693),(23 10817876),(24 11732568),(25 12781713),(26 14008407),(27 15358212),(28 16917914),(29 18427740),(30 20092166),(31 21882714),(32 23630104),(33 25258778),(34 26789230),(35 28300710),(36 29865558),(37 31302760),(38 32725146),(39 34171892),(40 35582160),(41 37088732),(42 38663604),(43 40380548),(44 42193560),(45 43864812),(46 45382420),(47 46906460),(48 48235964),(49 49187156),(50 49778670),(51 50136660),(52 50278708),(53 50309812),(54 50232108),(55 50104110),(56 50025452),(57 49870690),(58 49923572),(59 50050750),(60 50315404),(61 50684148),(62 51078988),(63 51519616),(64 51834144),(65 51981572),(66 52180340),(67 52512332),(68 52877436),(69 53007490),(70 53440644),(71 54332720),(72 55599236),(73 56888820),(74 58094292),(75 59362220),(76 60640084),(77 61677696),(78 62690420),(79 63596796),
(1 17768.303),(2 49202.14),(3 78233.62),(4 101870.305),(5 119138.43),(6 132550.34),(7 144219.5),(8 153986.72),(9 160902.88),(10 164856.56),(11 167601.86),(12 170952.72),(13 174383.73),(14 180142.34),(15 186039.94),(16 193634.9),(17 200617.8),(18 204033.06),(19 206320.83),(20 208098.4),(21 210637.4),(22 212643.17),(23 215873.42),(24 217497.63),(25 219574.38),(26 221302.02),(27 221652.11),(28 222788.75),(29 223927.31),(30 226304.8),(31 229412.2),(32 232684.19),(33 233174.5),(34 235163.97),(35 240284.6),(36 244598.75),(37 244896.73),(38 243301.48),(39 244101.88),(40 245163.97),(41 246142.61),(42 247416.89),(43 247578.6),(44 248404.48),(45 250956.06),(46 252914.05),(47 256316.69),(48 258158.31),(49 259507.08),(50 260578.11),(51 260410.78),(52 258383.58),(53 255636.27),(54 253677.3),(55 250190.97),(56 246002.1),(57 243359.89),(58 241115.84),(59 240585.81),(60 240311.3),(61 239913.67),(62 240288.14),(63 241913.03),(64 243656.56),(65 245600.77),(66 245741.38),(67 244290.42),(68 242949.5),(69 240969.2),(70 240117.56),(71 238973.5),(72 238454.39),(73 239014.31),(74 239886.98),(75 239439.64),(76 240583.8),(77 241800.17),(78 242820.6),(79 244703.4),
(1 17607.719),(2 50029.535),(3 81018.82),(4 105479.93),(5 124988.82),(6 139551.16),(7 150701.63),(8 159619.8),(9 165078.11),(10 167700.9),(11 169507.22),(12 172756.16),(13 178672.67),(14 185601.34),(15 192743.3),(16 200413.27),(17 204649.22),(18 205580.8),(19 205567.81),(20 204182.08),(21 203241.4),(22 205488.7),(23 209659.53),(24 214321.1),(25 218542.39),(26 223171.4),(27 225780.53),(28 226602.23),(29 226730.77),(30 226090.56),(31 225847.8),(32 226080.1),(33 226685.52),(34 229844.05),(35 231656.61),(36 233928.28),(37 236949.61),(38 240989.42),(39 245305.48),(40 250319.66),(41 254741.81),(42 257490.95),(43 257536.39),(44 257435.3),(45 257603.34),(46 256201.84),(47 254966.36),(48 254548.5),(49 257344.11),(50 260320.83),(51 262695.75),(52 263433.66),(53 263001.25),(54 264184.94),(55 264231.34),(56 266634.3),(57 267793),(58 268828.1),(59 267164.03),(60 266037.1),(61 264519.66),(62 263075.6),(63 261836.16),(64 261980.7),(65 262016.03),(66 262691.66),(67 262740.8),(68 263585.7),(69 263945.06),(70 265100.47),(71 266861.75),(72 266503.78),(73 265576.97),(74 266808.38),(75 267592.03),(76 266110.66),(77 263346.16),(78 261368.58),(79 258808.97),
(1 15991.595),(2 44886.742),(3 72628.875),(4 95020.516),(5 112388.79),(6 126439.75),(7 138424.75),(8 149079.33),(9 155974.45),(10 162061.28),(11 168173.4),(12 174725.66),(13 180786.94),(14 188723.97),(15 196622.8),(16 203161.81),(17 206638.56),(18 207998.83),(19 208875.17),(20 209188.03),(21 211546.25),(22 212506.33),(23 213509.88),(24 217412.84),(25 222196.56),(26 226610.83),(27 228041.33),(28 227362.34),(29 225703),(30 227585.88),(31 227816.42),(32 228521.16),(33 227244.6),(34 226542.6),(35 226107.58),(36 225599.64),(37 225310.58),(38 227153.27),(39 227070.52),(40 226697.69),(41 228312.56),(42 229267.9),(43 229028.47),(44 227525.25),(45 227043.64),(46 225654.17),(47 224892.03),(48 226117.34),(49 226715.72),(50 228762.2),(51 230661.4),(52 232657.58),(53 234607.19),(54 236585.42),(55 237775.19),(56 240161.7),(57 243822.97),(58 248518.88),(59 251492.81),(60 252462.58),(61 252090.63),(62 252788.2),(63 251944.61),(64 250615.27),(65 249484.2),(66 247260.03),(67 246404.06),(68 248230.38),(69 250329.94),(70 251333.56),(71 252223.39),(72 252646.16),(73 251625.67),(74 250386.9),(75 251091.19),(76 252875.69),(77 254189.6),(78 255422.05),(79 255146.05),
(1 16776.416),(2 46620.94),(3 74375.516),(4 96640.164),(5 113380.62),(6 127886.46),(7 141161.05),(8 151092.06),(9 157061.8),(10 162294.23),(11 167897.16),(12 174899.1),(13 182131.4),(14 189711.38),(15 198546.9),(16 205549.7),(17 210058.64),(18 212271.36),(19 212259.69),(20 213506.3),(21 214287.44),(22 217122),(23 222414.98),(24 226434.34),(25 229544),(26 233995.16),(27 234346.67),(28 234158.19),(29 236603.3),(30 239904.25),(31 243756.3),(32 251056.88),(33 257403.19),(34 262403.2),(35 266734.66),(36 268617.38),(37 271068.34),(38 275692.13),(39 277474.5),(40 278694.2),(41 280155.2),(42 282342.03),(43 283199),(44 280683),(45 275714.88),(46 271949.03),(47 269571.4),(48 269264.34),(49 269764.38),(50 269987.63),(51 270011.5),(52 269082.34),(53 266828.2),(54 264954.56),(55 264906.2),(56 264598.97),(57 264969.13),(58 266529.8),(59 265438.94),(60 264343.28),(61 262244.88),(62 260869.86),(63 259473.36),(64 256503.69),(65 253914.75),(66 251923.36),(67 253203.42),(68 254443.7),(69 255912.7),(70 257621.19),(71 260654.27),(72 263301.4),(73 265402.97),(74 265935.63),(75 265778.56),(76 264385),(77 265778.56),(78 268105.06),(79 270767.63),
(1 16957.52),(2 47158.72),(3 73799.91),(4 94560.78),(5 110663.5),(6 124740.12),(7 134305.7),(8 142121.47),(9 147178.23),(10 151460),(11 155871.25),(12 162183.52),(13 171431.97),(14 179990.25),(15 186543.97),(16 192262.9),(17 195416.11),(18 197144.98),(19 199190.13),(20 200881.7),(21 202453.33),(22 204076.83),(23 205846.66),(24 208522.52),(25 212920.2),(26 217211.66),(27 218965.88),(28 218176.1),(29 218755.58),(30 219696.45),(31 220233.5),(32 222817.58),(33 225534.52),(34 229560.2),(35 233738.02),(36 235053.28),(37 235348.92),(38 236017),(39 237723.56),(40 239822.8),(41 241015.14),(42 240988.42),(43 242592.72),(44 243275.22),(45 243937.06),(46 245280.28),(47 245595.66),(48 247339.19),(49 248764.48),(50 248579.97),(51 248342.27),(52 248163.39),(53 249457.19),(54 249795.77),(55 249414.5),(56 248710.84),(57 247495.34),(58 247985.03),(59 247808.95),(60 246970.81),(61 245214.16),(62 243079.55),(63 240628.92),(64 241155.84),(65 241284.44),(66 242385.9),(67 243141.67),(68 241399.14),(69 239356.27),(70 239728.81),(71 241688.52),(72 243530.5),(73 244797.92),(74 247257.13),(75 251357.58),(76 255392.98),(77 258466.7),(78 260300.86),(79 261331.72),
(1 15303.404),(2 42254.145),(3 66937.84),(4 85495.164),(5 99629.45),(6 111715.32),(7 120808.75),(8 128916.87),(9 133542.25),(10 137955.69),(11 141847.97),(12 145660.05),(13 151628.33),(14 158134.66),(15 165670.3),(16 171674.81),(17 175789.47),(18 179240.77),(19 180515.66),(20 182370.44),(21 184227.55),(22 185324.81),(23 187031.42),(24 189458.5),(25 190778.64),(26 193750.42),(27 195401.13),(28 196233.95),(29 195714.23),(30 195711.72),(31 195166.33),(32 197003.11),(33 199481.48),(34 198396.02),(35 199418.9),(36 200599.72),(37 202869.66),(38 203839.28),(39 205381.1),(40 206671.13),(41 208803.47),(42 210319.19),(43 209080.2),(44 207783.42),(45 207427.05),(46 208027.42),(47 209112.55),(48 209723.55),(49 211486.1),(50 211271.63),(51 211525.19),(52 212548.11),(53 213278.77),(54 213128.89),(55 213468.55),(56 213244.61),(57 212287.72),(58 209633.22),(59 208973.08),(60 209056.55),(61 207946.3),(62 208020.58),(63 208665.5),(64 211070.16),(65 213954.3),(66 216671.48),(67 219731.55),(68 221423.55),(69 223264.48),(70 224803.02),(71 225031.66),(72 225316.7),(73 224201.75),(74 223129.36),(75 222406.83),(76 224550.4),(77 226918.77),(78 229188.81),(79 231752.5),
(1 14925.41),(2 40750.68),(3 64090.305),(4 84112.086),(5 100217.28),(6 112972.12),(7 121235.414),(8 127656.59),(9 132460.47),(10 136451.67),(11 139829.05),(12 146825.84),(13 155678.16),(14 161260.78),(15 166430.48),(16 171161.9),(17 175867.17),(18 178822.83),(19 182542.61),(20 187169.11),(21 189717.72),(22 191901.75),(23 193964.55),(24 196677.19),(25 200879.2),(26 205344.69),(27 207353.52),(28 209328.08),(29 210957.11),(30 209840.84),(31 209352.5),(32 207496.84),(33 206344.13),(34 206080.42),(35 206804.23),(36 208386.53),(37 208285.08),(38 208781.83),(39 208731.61),(40 209400.17),(41 210536.36),(42 210914.66),(43 212362.33),(44 214290.33),(45 215539.95),(46 216478.8),(47 217154.95),(48 216490.33),(49 213516.17),(50 210837.05),(51 210350.81),(52 210465.23),(53 211104.66),(54 210403.95),(55 209873.44),(56 209823.16),(57 208272.19),(58 206638.56),(59 206188.06),(60 206372.75),(61 206637.64),(62 206410.56),(63 205577.88),(64 205216.2),(65 206144.42),(66 209697.34),(67 212247.75),(68 212078.95),(69 212913.11),(70 214159.17),(71 215721.3),(72 216569.39),(73 216944.03),(74 217349.2),(75 217774.89),(76 218331.48),(77 219806.06),(78 221204.55),(79 221644.66),
(1 14339.922),(2 39306.082),(3 61656.37),(4 80045.62),(5 94928.57),(6 106942.23),(7 116211.305),(8 123449.266),(9 128109.9),(10 133049.23),(11 140127.3),(12 147047.78),(13 152984.13),(14 156260.78),(15 161343.36),(16 165877.97),(17 169433.3),(18 172992.44),(19 175227.64),(20 176544.7),(21 177878.47),(22 179245.58),(23 181221.34),(24 181579.33),(25 184055.02),(26 187548.05),(27 189179.84),(28 190802.81),(29 192969.63),(30 196030.84),(31 198952.45),(32 200385.95),(33 200235.72),(34 200519.72),(35 201408.2),(36 201797.63),(37 202927.8),(38 205347.78),(39 208363.61),(40 209950.84),(41 212188.02),(42 213200.66),(43 213497.38),(44 214180.36),(45 216982.97),(46 219875.23),(47 220537.78),(48 220721.98),(49 219612.11),(50 220499.14),(51 221454.44),(52 223007),(53 221630.53),(54 221009.17),(55 220146.38),(56 219191.88),(57 217330.73),(58 216081.4),(59 215137.17),(60 211412.48),(61 211005.05),(62 209907.95),(63 208492.53),(64 208295),(65 209057.95),(66 211549.48),(67 213899.94),(68 215943.08),(69 217551.47),(70 218166.1),(71 217253.81),(72 216952.19),(73 218351.2),(74 220217.16),(75 224427.11),(76 226808.36),(77 229224.5),(78 231409.4),(79 230632.58),
(1 14499.999),(2 39731.582),(3 61687.22),(4 79704.836),(5 94030.016),(6 105356.4),(7 113220.54),(8 121092.88),(9 126740.58),(10 131844.47),(11 137622.98),(12 144827.73),(13 151869.47),(14 158268.55),(15 164388.23),(16 169260.64),(17 171800.58),(18 174693.03),(19 177194.47),(20 177392.8),(21 177888.86),(22 178398.89),(23 178750.27),(24 178459.94),(25 179043.92),(26 179270.86),(27 180836.44),(28 182774.53),(29 184148.23),(30 184573.36),(31 186049.98),(32 187376.34),(33 186741.45),(34 188227.7),(35 189846.72),(36 190294.88),(37 190121.48),(38 190627.05),(39 192136.48),(40 193986.84),(41 196588.05),(42 196713.02),(43 197466.4),(44 198154.77),(45 198278.38),(46 197575.88),(47 196581),(48 197044.38),(49 196719.25),(50 198189.27),(51 199953.56),(52 201807.47),(53 202198.39),(54 203282.47),(55 204307.16),(56 204480.3),(57 202522.44),(58 201554.47),(59 201263.61),(60 200154.19),(61 198932.28),(62 197454.88),(63 197702.38),(64 198874.47),(65 199509.06),(66 200904.75),(67 202619.13),(68 203909.22),(69 205214.36),(70 204946.3),(71 202720.7),(72 200588.89),(73 201186.27),(74 203889.75),(75 205411.44),(76 205677.58),(77 206314.84),(78 207237.67),(79 207882.72),
(1 13845.838),(2 37841.727),(3 59457.137),(4 77697.16),(5 92058.49),(6 102373.28),(7 109139.375),(8 114951.46),(9 119057.8),(10 124111.89),(11 130924.07),(12 138764.66),(13 146499),(14 151663.33),(15 157207.67),(16 160768.44),(17 163552.33),(18 165109.7),(19 165423.78),(20 165531.81),(21 165974.42),(22 167207.47),(23 168806.38),(24 170189.6),(25 173658.92),(26 177031.95),(27 177370.78),(28 177988.95),(29 177503.6),(30 175920.63),(31 175953.02),(32 174089.31),(33 172478.98),(34 171009),(35 170197.66),(36 170303.28),(37 172484.19),(38 175743.95),(39 179042.84),(40 183324.44),(41 186074.06),(42 187085.64),(43 187486.81),(44 188122.17),(45 187336.64),(46 186077.94),(47 186748.88),(48 188892.28),(49 189470.23),(50 191748.92),(51 193278.4),(52 193187.53),(53 192321.25),(54 191956.25),(55 190798.4),(56 189199.67),(57 187508.92),(58 186594.03),(59 186466.14),(60 186539.95),(61 185600.14),(62 184624.38),(63 186338.77),(64 188337.7),(65 189076.89),(66 191112.39),(67 192909.83),(68 194165.4),(69 195330.81),(70 196875.8),(71 197901.53),(72 197592.64),(73 196948.1),(74 197154.53),(75 198616.77),(76 198942.05),(77 199100.48),(78 198332.64),(79 199746.56),
(1 14196.538),(2 38203.625),(3 59136.02),(4 75317.03),(5 88314.69),(6 98431.81),(7 106297.45),(8 113389.555),(9 118192.71),(10 122556.82),(11 127032.96),(12 130388.15),(13 135340.02),(14 140303.72),(15 145791.55),(16 150174.61),(17 153205.55),(18 156184.81),(19 158353.31),(20 160135.25),(21 161600.11),(22 164077.83),(23 165839.67),(24 167137.05),(25 169611.16),(26 172776.13),(27 174567.38),(28 175300.14),(29 175435.1),(30 173687.84),(31 170583.06),(32 168453.64),(33 166668.8),(34 165153.1),(35 163963.67),(36 162292.23),(37 164094.4),(38 166235.83),(39 167832.28),(40 169276.2),(41 170600.4),(42 170950.77),(43 170601.89),(44 170196.4),(45 168747.08),(46 167621.58),(47 167598.9),(48 169697),(49 170128.72),(50 171180.69),(51 171763.47),(52 171298.94),(53 170537.53),(54 169205.75),(55 169134.25),(56 169162.22),(57 169297.17),(58 169091.31),(59 168622.25),(60 168352.66),(61 168117.63),(62 167604.28),(63 169655.8),(64 171442.5),(65 173771.84),(66 176451.28),(67 178443.55),(68 181104.39),(69 182758.33),(70 183552.19),(71 182973.61),(72 185041.61),(73 186695.31),(74 187805.03),(75 189386.98),(76 190641.86),(77 191695.34),(78 192651.17),(79 192624.63),
(1 13981.529),(2 37720.957),(3 58735.258),(4 75065.64),(5 87649.48),(6 96322.734),(7 103372.06),(8 109486.055),(9 114207.59),(10 119926.09),(11 126181.69),(12 131891.63),(13 136835.14),(14 140916.73),(15 143981.64),(16 147849.22),(17 151008.72),(18 152713.3),(19 154301.31),(20 155452.47),(21 157407.81),(22 161192.25),(23 163361.58),(24 165517.48),(25 167500.88),(26 168449.39),(27 170035.05),(28 169891.61),(29 169340.67),(30 169142.48),(31 167847.1),(32 166715.56),(33 165173.63),(34 164127.13),(35 164905.42),(36 166294.55),(37 168008.36),(38 170843.42),(39 173031.53),(40 175020.84),(41 177260.39),(42 177606.22),(43 177211.02),(44 176810.13),(45 175504.88),(46 175590.75),(47 175803.27),(48 176430.34),(49 175823.38),(50 174947.84),(51 173004.58),(52 169528.58),(53 167406.14),(54 166601.78),(55 166798.34),(56 167026.56),(57 166220.47),(58 165705.69),(59 166598.58),(60 167011.53),(61 168068.02),(62 167895.2),(63 167893.66),(64 168029.83),(65 168084.72),(66 169278.89),(67 169675.78),(68 169731.8),(69 168166.58),(70 166856.4),(71 165848.63),(72 166135.7),(73 167578.83),(74 167671.98),(75 168501.72),(76 168865.73),(77 169338.75),(78 170694.63),(79 170323.45),
(1 13409.356),(2 36047.473),(3 55920.99),(4 71276.58),(5 82113.2),(6 90249.09),(7 96694.5),(8 103285.62),(9 108494.69),(10 113087.625),(11 117734),(12 122945.24),(13 127902.26),(14 132193),(15 134264.75),(16 135795.33),(17 137701.6),(18 140611.17),(19 142029.47),(20 141820.38),(21 143035.89),(22 143919.14),(23 146237.94),(24 150312.8),(25 154125.44),(26 155424.13),(27 156368.55),(28 158417.77),(29 160340.63),(30 163114.1),(31 164707.3),(32 166203.84),(33 168034.1),(34 170270.48),(35 171847.25),(36 173900.77),(37 175409.06),(38 176547.08),(39 177997.1),(40 179065.42),(41 181476.6),(42 183895.88),(43 185455.05),(44 184218.48),(45 182510.38),(46 181806.05),(47 182027.6),(48 183440.48),(49 183597.73),(50 184117.2),(51 182052.23),(52 180960.02),(53 179822.86),(54 178244.31),(55 176364.67),(56 173843.02),(57 172194.63),(58 172107.2),(59 171301.34),(60 171288.75),(61 170962.02),(62 170756.08),(63 170913.55),(64 171032.11),(65 170966.92),(66 171240.88),(67 171831.17),(68 171584.77),(69 171151.4),(70 170426.81),(71 170827.73),(72 172422.63),(73 174243.67),(74 175624.75),(75 176727.38),(76 176456.28),(77 176326.05),(78 176371.17),(79 174863.75),
(1 12993.315),(2 34751.008),(3 54138.652),(4 68646.61),(5 80019.305),(6 87979.14),(7 93863.1),(8 100574.71),(9 105962.92),(10 111673.42),(11 117557.53),(12 122673.09),(13 127699.56),(14 132452.42),(15 135467.47),(16 136988.42),(17 137728.31),(18 138162.98),(19 139103.73),(20 139464.19),(21 139400.63),(22 140431.83),(23 143493.14),(24 145606.98),(25 147908.25),(26 149239.61),(27 150337.17),(28 151264.5),(29 153567.69),(30 155075.14),(31 154993.6),(32 155513.45),(33 156650.3),(34 157734.61),(35 157612.16),(36 158469.38),(37 158622.03),(38 159594.77),(39 162062.86),(40 164514.84),(41 167296.66),(42 169473.48),(43 170357.72),(44 171239.39),(45 171812.88),(46 172382.02),(47 173150.56),(48 173727.75),(49 173395.78),(50 173332.86),(51 173318.89),(52 173529.81),(53 173507.73),(54 173516.4),(55 173524.81),(56 171875.9),(57 171609.06),(58 171958.5),(59 172101.28),(60 171707.31),(61 170776.13),(62 168578.2),(63 166726.14),(64 165517.98),(65 165976.03),(66 166641.56),(67 165691.16),(68 165505.48),(69 165221.67),(70 166401.39),(71 169942.13),(72 174161.42),(73 176663.16),(74 178434.94),(75 179407.4),(76 179619.38),(77 180721.97),(78 181333.11),(79 183042.95),
(1 13055.381),(2 34491.703),(3 52847.23),(4 67170.29),(5 79347.63),(6 89544.12),(7 96939.58),(8 103661.92),(9 109086),(10 114008.016),(11 118588.37),(12 124133.164),(13 129340.77),(14 132515.5),(15 133687.23),(16 133746.36),(17 135127.63),(18 136623.4),(19 137388.95),(20 137825.3),(21 138173.52),(22 138849.11),(23 139959.73),(24 140784.5),(25 140599.16),(26 140892.6),(27 141459.81),(28 142028.3),(29 141951.36),(30 141966.28),(31 143122.53),(32 145799.94),(33 147191.55),(34 148514.27),(35 148185.9),(36 149856.13),(37 152205.02),(38 153769.08),(39 154303.86),(40 156274.95),(41 158554.02),(42 160971.8),(43 163786.92),(44 166876.94),(45 169142.77),(46 169892.16),(47 169350.72),(48 169342.72),(49 170396.27),(50 172387.45),(51 174282.67),(52 176530.08),(53 176999.77),(54 176343.81),(55 175360.27),(56 174682.75),(57 173812.05),(58 174153.4),(59 175248.78),(60 176775.64),(61 177477.3),(62 176783.88),(63 175921.06),(64 175004.95),(65 174430.84),(66 174236.66),(67 174751.13),(68 175089.5),(69 175911.84),(70 177217.4),(71 179148.92),(72 180784.34),(73 181115.33),(74 180519.45),(75 179612.13),(76 177869.23),(77 177869.25),(78 179150.8),(79 179907.89),
(1 12459.022),(2 32584.232),(3 49713.79),(4 63012.414),(5 74738.41),(6 84106.36),(7 90946.58),(8 98837.54),(9 105204.63),(10 110706.21),(11 116336),(12 121894.516),(13 126513.71),(14 128551.336),(15 130534.62),(16 133091.97),(17 135282.61),(18 137120.02),(19 138752),(20 140938.03),(21 142433.7),(22 143690.89),(23 143811.5),(24 144914.16),(25 146113.44),(26 147567.3),(27 147841.2),(28 146885.03),(29 147234.36),(30 146464.81),(31 146771.11),(32 147033.44),(33 147046.84),(34 147467.97),(35 148667.97),(36 151122.39),(37 152040.72),(38 152417.97),(39 153333.05),(40 153609.69),(41 154669.75),(42 154820.63),(43 156221.97),(44 157078.11),(45 157128.98),(46 157307.81),(47 156668.17),(48 157203.84),(49 157369.64),(50 157566.05),(51 158286.67),(52 158785.23),(53 159002.45),(54 157386.19),(55 154875.58),(56 153306.06),(57 152291.84),(58 152926.78),(59 154711.97),(60 157906.23),(61 160237.2),(62 160355.48),(63 162099.67),(64 162779.33),(65 162555.98),(66 162961.55),(67 163063.1),(68 165002.78),(69 167137.25),(70 169033.81),(71 170492.17),(72 172577.23),(73 174495.8),(74 174145.64),(75 174212.64),(76 174138.3),(77 173745.61),(78 174988.89),(79 177746.22),
(1 13187.701),(2 34624.375),(3 51767.086),(4 64491.91),(5 75571.92),(6 83813.664),(7 89301.086),(8 95687.28),(9 101050.125),(10 107823.7),(11 114671.375),(12 121564.16),(13 125904.6),(14 127948.56),(15 130195.07),(16 132199.4),(17 133900.77),(18 136138.23),(19 137748.52),(20 138957.16),(21 140030.8),(22 139654.36),(23 140761.06),(24 142589.52),(25 145378.6),(26 148086.77),(27 150778.9),(28 152153.23),(29 151844.44),(30 151937.52),(31 152500.23),(32 153091.73),(33 153103.56),(34 154844.6),(35 156638.5),(36 157279.77),(37 159111.56),(38 160659.84),(39 163411.84),(40 164271.94),(41 164927.03),(42 165322.4),(43 165891.02),(44 167166.1),(45 168436.44),(46 169331.56),(47 168900.73),(48 168572.69),(49 168582.45),(50 169254.06),(51 172385.11),(52 175012.44),(53 174778.81),(54 174224.3),(55 174066.72),(56 174649.6),(57 176217.2),(58 177475.23),(59 179771.64),(60 181952.47),(61 183399.53),(62 183823.11),(63 184210.27),(64 183631.73),(65 181652.36),(66 178391.75),(67 175977.61),(68 174697),(69 174104.95),(70 173548.7),(71 173229.38),(72 172386.22),(73 170977.23),(74 169006.39),(75 167150.78),(76 165730.34),(77 163874.22),(78 163584.77),(79 163301.19),
(1 12079.445),(2 31907.01),(3 49321.707),(4 63081.965),(5 74189.945),(6 81547.49),(7 87650.664),(8 92386.76),(9 95946.61),(10 99492.305),(11 103534.84),(12 108131.35),(13 112472.734),(14 115036.805),(15 117996.62),(16 120767.734),(17 123137.04),(18 125756.69),(19 128672.29),(20 131763.69),(21 133061.03),(22 134046.67),(23 134397.3),(24 135363.83),(25 136598.78),(26 137102.7),(27 137993.89),(28 139363.45),(29 141263.64),(30 142701.13),(31 143092.55),(32 144031.23),(33 145514.34),(34 147543.92),(35 149581.88),(36 149935.84),(37 149342.06),(38 148679.7),(39 148879.81),(40 150168.3),(41 152409.2),(42 154600.97),(43 155317.13),(44 156955.05),(45 158021.84),(46 159477.14),(47 159938.27),(48 159169.88),(49 157337.27),(50 156221.27),(51 155482.7),(52 155708.83),(53 155778.53),(54 156203.19),(55 157050.8),(56 156182.97),(57 155964.08),(58 154945.81),(59 153683.98),(60 153709.05),(61 154322),(62 153406.06),(63 152508.14),(64 151772.66),(65 150927.86),(66 150841.42),(67 151367.5),(68 152849.95),(69 155418.56),(70 158946.84),(71 161683.19),(72 162787.56),(73 164229.23),(74 165651.08),(75 167315.88),(76 167683.55),(77 168457.81),(78 168442.05),(79 167443.23),
