1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 12460.925),(2 38594.375),(3 82836.55),(4 138076.17),(5 189849.02),(6 252605.31),(7 310120.4),(8 355564),(9 376147.9),(10 395388.22),(11 403362.6),(12 417132.97),(13 439134),(14 474438.34),(15 530296.2),(16 596251.8),(17 672465.5),(18 730589.56),(19 793560.56),(20 850071),(21 924077.25),(22 987805.44),(23 1052460.4),(24 1110100),(25 1177595),(26 1265560),(27 1355511.6),(28 1450391.4),(29 1565004),(30 1696886),(31 1826081.4),(32 1977145.5),(33 2115855.8),(34 2246458.3),(35 2381271.5),(36 2513809),(37 2636530),(38 2774607.3),(39 2925511.8),(40 3062229),(41 3209854),(42 3369591),(43 3568228.8),(44 3799613.3),(45 4066123.3),(46 4347657),(47 4686498),(48 4996378.5),(49 5303637.5),(50 5606036),(51 5881550.5),(52 6137165.5),(53 6391484),(54 6636868),(55 6897182.5),(56 7142656),(57 7433048),(58 7748334.5),(59 8071314),(60 8394453),(61 8787516),(62 9184239),(63 9587505),(64 9971857),(65 10313417),(66 10616116),(67 10887907),(68 11103641),(69 11322101),(70 11504429),(71 11661707),(72 11804987),(73 11970392),(74 12144545),(75 12316685),(76 12500624),(77 12682687),(78 12866611),(79 13055405),
(1 11663.527),(2 34382.656),(3 54540.297),(4 67725.67),(5 73541.23),(6 74858.11),(7 73970.31),(8 73072.664),(9 73795.336),(10 75579.1),(11 78012.06),(12 81433.016),(13 83499.82),(14 84820.79),(15 84806.05),(16 84311.09),(17 83694.93),(18 85050.32),(19 86432.96),(20 86064.84),(21 84889.96),(22 83876.055),(23 84476.57),(24 85670.27),(25 86960.69),(26 87438.125),(27 86616.26),(28 85841.56),(29 87298.24),(30 90167.125),(31 92201.26),(32 93240.55),(33 94319.58),(34 95514.46),(35 96304.27),(36 96408.45),(37 96693.734),(38 97172.49),(39 95740.805),(40 95432.84),(41 95541.54),(42 96653),(43 98336.22),(44 99192.06),(45 100235.23),(46 101225.26),(47 101227.484),(48 100739.336),(49 101267.22),(50 100707.53),(51 99656.664),(52 100135.06),(53 101768.05),(54 103199.836),(55 104330.05),(56 104399.695),(57 103912.36),(58 103321.836),(59 103471.16),(60 104678.2),(61 104215.97),(62 101980.97),(63 100642.3),(64 100323.05),(65 100896.24),(66 101417.9),(67 101319.47),(68 101429.836),(69 101613.9),(70 100887.45),(71 99779.78),(72 98834.46),(73 97678.15),(74 96323.69),(75 95279.16),(76 94834.46),(77 94058.3),(78 93488.266),(79 93347.97),
(1 11266.468),(2 33023.89),(3 52290.395),(4 64322.92),(5 68671.13),(6 69154.24),(7 68723.74),(8 68067.06),(9 68559.77),(10 69927.14),(11 71697.7),(12 74902.35),(13 77446.58),(14 79782.79),(15 81599.914),(16 82606.875),(17 81564.85),(18 80950.49),(19 80826.3),(20 80690.53),(21 80617.16),(22 80352.6),(23 81565.79),(24 83173.01),(25 85071.945),(26 85508.24),(27 84409.45),(28 83215.35),(29 83578.586),(30 84451.45),(31 84341.83),(32 84010.53),(33 84476.19),(34 86337.7),(35 88817.336),(36 90592.37),(37 92019.65),(38 93306.164),(39 92674.1),(40 91189.57),(41 90511.086),(42 90175.22),(43 91415.55),(44 94148.95),(45 97164.36),(46 98628.91),(47 98488.195),(48 96590.31),(49 94672.65),(50 92688.94),(51 91878.49),(52 92825.734),(53 94405.23),(54 93568.7),(55 91981.78),(56 91914.56),(57 92387.48),(58 91700.555),(59 90443.21),(60 89327.35),(61 89100.3),(62 89504.45),(63 91238.945),(64 93202.59),(65 95992.76),(66 96774.8),(67 96230.49),(68 96234.78),(69 96144.64),(70 97175.42),(71 98905.875),(72 99669.84),(73 99355.875),(74 98633.875),(75 96785.625),(76 94738.44),(77 92816.84),(78 91399.734),(79 91954.09),
(1 10874.815),(2 31655.604),(3 50086.746),(4 61528.004),(5 65762.37),(6 66355.72),(7 65499.13),(8 64070.777),(9 64128.17),(10 65415.945),(11 67270.89),(12 70384.06),(13 72087.73),(14 72884.09),(15 72950.17),(16 73125.91),(17 71577.086),(18 71833.77),(19 73640.18),(20 74156.75),(21 73862.13),(22 74194.57),(23 76438.92),(24 79416.33),(25 81952.27),(26 82306.52),(27 80574.92),(28 79320.44),(29 78622.63),(30 78484.39),(31 79197.27),(32 79963.25),(33 80219.195),(34 81792.14),(35 84514.63),(36 86461.92),(37 86922.78),(38 86310.56),(39 85002.375),(40 82820.47),(41 81400.48),(42 81719.89),(43 84556.04),(44 88709.03),(45 90581.086),(46 90997.77),(47 89983.49),(48 87620.9),(49 86625.46),(50 87437.1),(51 90056.17),(52 91514.09),(53 91381.97),(54 89565.13),(55 88063.22),(56 87689.94),(57 88118.52),(58 88158.32),(59 87897.33),(60 87871.516),(61 89070.16),(62 91497.14),(63 93460.945),(64 93674.39),(65 92738.016),(66 91114.51),(67 90395.27),(68 90991.72),(69 92383.8),(70 93523.42),(71 94684.695),(72 94633.56),(73 93570.695),(74 91989.086),(75 90006.1),(76 88750.63),(77 88237.11),(78 88507.77),(79 89932.87),
(1 10343.527),(2 29923.645),(3 47094.41),(4 56759.434),(5 60101.387),(6 60343.92),(7 59377.906),(8 58680.28),(9 59185.406),(10 60943.266),(11 63543.824),(12 65880.51),(13 65806.875),(14 64000.145),(15 63270.434),(16 63055.723),(17 64315.53),(18 68201.625),(19 71615.09),(20 72509.93),(21 72006.305),(22 72018.984),(23 73813.04),(24 75033.96),(25 75686.086),(26 75447.27),(27 74550.875),(28 75364.39),(29 75806.69),(30 76061.33),(31 76368.055),(32 76028.42),(33 75862.875),(34 75629.44),(35 76370.04),(36 77383.48),(37 78344.25),(38 77141.055),(39 75864.46),(40 73139.28),(41 70258.266),(42 69278.164),(43 70823.95),(44 73990.984),(45 76979.54),(46 79154.98),(47 79134.81),(48 78145.89),(49 76074.11),(50 75732.44),(51 76693.98),(52 77886.49),(53 78392.195),(54 78785.44),(55 78045.42),(56 76945.21),(57 76653.555),(58 77321.77),(59 78276.516),(60 78485.664),(61 79213.984),(62 81023.15),(63 82837.93),(64 84089.34),(65 82734.45),(66 81440.39),(67 81375.47),(68 82277.84),(69 83702.87),(70 83996.125),(71 83762.76),(72 83487.68),(73 83049.19),(74 82849.414),(75 82334.35),(76 81856.805),(77 81541.984),(78 81565.34),(79 81827.86),
(1 10702.887),(2 30400.58),(3 47056.945),(4 56911.492),(5 60496.656),(6 61130.35),(7 61030.16),(8 61131.305),(9 61932.426),(10 63426.35),(11 64835.207),(12 65357.85),(13 64821.39),(14 64880.31),(15 65104.406),(16 65489.87),(17 67574.59),(18 70560.53),(19 72834.43),(20 73124.195),(21 72737.46),(22 73715.33),(23 75719.13),(24 77195.15),(25 77781.87),(26 76319.14),(27 74737.086),(28 75077.4),(29 76581.24),(30 78284.07),(31 78650.414),(32 77994.78),(33 78637.484),(34 80378.14),(35 82919.26),(36 84544.07),(37 85338.15),(38 83870.39),(39 82639.22),(40 81993.19),(41 80749.74),(42 79884.65),(43 80122.65),(44 81435.805),(45 82908.32),(46 83314.91),(47 83332.69),(48 83116.91),(49 82999.87),(50 83227.945),(51 82663.97),(52 82017.4),(53 82317.164),(54 82559.81),(55 83030.9),(56 83417.305),(57 84537.81),(58 84628.37),(59 83605.18),(60 83588.07),(61 84717.72),(62 86177.8),(63 87137.81),(64 87106.734),(65 86836.195),(66 86359.664),(67 86384.484),(68 86450.64),(69 86260.63),(70 85722.11),(71 85860.13),(72 85594.766),(73 86278.07),(74 86799.516),(75 87636.46),(76 87865.99),(77 88275.71),(78 88604.78),(79 87596.82),
(1 10329.953),(2 29308.662),(3 44996.258),(4 54949.11),(5 60000.906),(6 62827.094),(7 64348.938),(8 64930.145),(9 65408.41),(10 65644.305),(11 65374.867),(12 67056.914),(13 69733.234),(14 72408.805),(15 74668.8),(16 75366.875),(17 74487.77),(18 73566.71),(19 73494.99),(20 72696.95),(21 73236.43),(22 76055.875),(23 78729.914),(24 79058.58),(25 77184.12),(26 75063.62),(27 74273.94),(28 75141.97),(29 75861.6),(30 75750.64),(31 75392.086),(32 76066.06),(33 78038.164),(34 79683.766),(35 80290.555),(36 79566.375),(37 79240.695),(38 79489.67),(39 79025.08),(40 78978),(41 78074.23),(42 76785.49),(43 75546.09),(44 74741.99),(45 74588.66),(46 74416.36),(47 73839.51),(48 73778.92),(49 74231.69),(50 75098.38),(51 74993.766),(52 74011.41),(53 74162.28),(54 75986.77),(55 78579.64),(56 79932.81),(57 79661.18),(58 77879.125),(59 76588.49),(60 77205.32),(61 78987.61),(62 81151.305),(63 82608.27),(64 82373.95),(65 82319.91),(66 82932.79),(67 83161),(68 82967.08),(69 82389.14),(70 82042.125),(71 82255.69),(72 82596.48),(73 83254.76),(74 83228.61),(75 82565.59),(76 80952.734),(77 79248.164),(78 78179.48),(79 78220.87),
(1 10209.662),(2 29231.11),(3 44972.51),(4 55076.094),(5 60269.41),(6 63338.715),(7 64289.625),(8 62915.66),(9 60397.297),(10 57926.215),(11 57668.496),(12 59516.164),(13 62635.42),(14 65086.227),(15 67407.945),(16 68282.586),(17 68135.4),(18 68421.53),(19 69066.484),(20 69395.85),(21 70063.05),(22 71816.54),(23 74094.91),(24 75135.99),(25 74482.6),(26 72803.95),(27 71005.305),(28 69478.65),(29 68884.81),(30 70151.16),(31 71997.49),(32 73516.195),(33 74775.32),(34 75616.58),(35 75635.26),(36 74490.375),(37 72529.76),(38 70169.266),(39 68785.44),(40 69504.33),(41 70088.91),(42 70236.016),(43 71046.51),(44 70873.08),(45 70681.234),(46 71073.664),(47 71541.44),(48 73497.46),(49 74893.695),(50 75815.19),(51 76528.57),(52 76225.805),(53 76279.516),(54 77295.43),(55 78734.16),(56 79469.79),(57 80428.47),(58 80064.96),(59 79840.96),(60 80489.26),(61 81606.016),(62 83437.13),(63 84016.45),(64 82887.79),(65 82147.1),(66 82432.52),(67 82836.47),(68 82740.07),(69 82869.086),(70 83329.195),(71 84635.09),(72 85522.34),(73 84969.195),(74 83412.086),(75 81869.81),(76 81526.13),(77 81635.23),(78 80802.75),(79 79506.91),
(1 9882.652),(2 27471.73),(3 41508.953),(4 49824.195),(5 53313.57),(6 54255.703),(7 54723.664),(8 54254.438),(9 53398.332),(10 53008.066),(11 54373.973),(12 55488.305),(13 56847.797),(14 58549.984),(15 61047.832),(16 63692.63),(17 65576.13),(18 66184.7),(19 66725.35),(20 66510.734),(21 66673.734),(22 68092.22),(23 69845.28),(24 70484.54),(25 69501.164),(26 68717.24),(27 67995.37),(28 66667.1),(29 66949.78),(30 68424.516),(31 70390.49),(32 72019.02),(33 73106.53),(34 72304.49),(35 70847.44),(36 68151.81),(37 65912),(38 64659.24),(39 63756.26),(40 62722.348),(41 61961.555),(42 61774.46),(43 61879.254),(44 61629.86),(45 61499.47),(46 62751.547),(47 64292.313),(48 65795.84),(49 66572.4),(50 66768.734),(51 66006.445),(52 64918.414),(53 65091.55),(54 66210.66),(55 67738.1),(56 67948.89),(57 68261.68),(58 68212.76),(59 68355.33),(60 68639.23),(61 69919.836),(62 71245.2),(63 72660.03),(64 74414.234),(65 75975.98),(66 77444.03),(67 76723.2),(68 75357.26),(69 74436.09),(70 75004.63),(71 75906.97),(72 77263.766),(73 77938.67),(74 78072.62),(75 76747.69),(76 76231.2),(77 76376.234),(78 75248.44),(79 74363.34),
(1 9923.909),(2 27938.406),(3 42353.824),(4 50460.543),(5 52940.418),(6 53071.266),(7 53664.426),(8 54055.36),(9 53535.766),(10 52842.367),(11 53749.8),(12 55941.465),(13 58138.523),(14 59353.816),(15 60483),(16 60843.82),(17 61692.11),(18 62966.56),(19 65418.535),(20 67908.93),(21 70430.836),(22 71027.45),(23 70218.57),(24 68526.91),(25 66398.58),(26 66303.61),(27 67307.92),(28 67088.36),(29 66355.055),(30 66867.27),(31 69386.79),(32 72459.766),(33 73502.78),(34 72208.57),(35 70737.99),(36 68943.336),(37 67908.42),(38 66683.54),(39 66061.195),(40 66108.41),(41 65497.617),(42 65771.21),(43 65701.46),(44 64712.55),(45 64259.934),(46 64173.527),(47 64255.074),(48 64462.734),(49 66152.54),(50 67242.414),(51 68335.75),(52 68521.836),(53 69236.32),(54 70092.336),(55 70213.98),(56 69692.9),(57 69594.13),(58 70007.484),(59 71066.85),(60 71537.27),(61 71181.48),(62 70791.45),(63 70794.664),(64 71133.07),(65 71311.3),(66 72596.83),(67 73117.47),(68 72678.586),(69 71932.03),(70 71004.75),(71 70400.72),(72 70664.28),(73 71142.15),(74 72271.12),(75 72804.32),(76 73461.164),(77 73756.734),(78 73314.9),(79 73004.914),
(1 9574.929),(2 27502.928),(3 42448.914),(4 51248.117),(5 53236.49),(6 51318.06),(7 48991),(8 47952.496),(9 48397.71),(10 50044.836),(11 51894.277),(12 54052.387),(13 55808.742),(14 56231.42),(15 55686.715),(16 55092.836),(17 55631.91),(18 57020.652),(19 58676.277),(20 60638.996),(21 63875.78),(22 66312.7),(23 67177.195),(24 66359.61),(25 64572.043),(26 63833.668),(27 64057.676),(28 64817),(29 65901.08),(30 67242.26),(31 69299.055),(32 70667.586),(33 70562.586),(34 70234.12),(35 70406.92),(36 69231.16),(37 67633.58),(38 65990.22),(39 65211.797),(40 64516.434),(41 64029.117),(42 64112.457),(43 63720.527),(44 62506.066),(45 62080.59),(46 62453.64),(47 62898.54),(48 62973.76),(49 63463.313),(50 63826.957),(51 64630.15),(52 64676.83),(53 64757.71),(54 65454.703),(55 65676.94),(56 66164.086),(57 67370.266),(58 68379.44),(59 69125.04),(60 68709.83),(61 67607.67),(62 66660.06),(63 65402.297),(64 65805.08),(65 66317.34),(66 68907.91),(67 70738.05),(68 70259.51),(69 70040.31),(70 70040.2),(71 69751.055),(72 69657.54),(73 70345.78),(74 70679.45),(75 70322),(76 69143.95),(77 68269.33),(78 67857.55),(79 67933.4),
(1 9248.525),(2 26310.527),(3 39878.42),(4 48092.406),(5 51415.316),(6 51348.133),(7 50620.992),(8 50244.89),(9 50889.156),(10 52342.984),(11 53876.043),(12 55286.918),(13 56440.094),(14 55717.777),(15 54945.246),(16 54489.543),(17 54586.26),(18 54912.684),(19 55522.246),(20 57266.61),(21 59369.582),(22 60091.867),(23 59205.566),(24 57639.316),(25 55555.89),(26 55460.215),(27 56105.805),(28 57161.1),(29 58652.434),(30 59608.457),(31 59994.094),(32 59995.03),(33 60256.324),(34 60131.15),(35 59403.215),(36 58495.035),(37 58640.586),(38 59323.383),(39 59684.363),(40 59898.83),(41 59732.56),(42 59233.355),(43 58750.316),(44 57162.074),(45 57102.203),(46 57371.805),(47 57502.73),(48 57908.652),(49 58794.973),(50 59550.82),(51 58979.883),(52 57942.938),(53 58445.51),(54 59543.01),(55 60380.22),(56 61332.74),(57 62889.848),(58 63710.883),(59 63035.227),(60 61891.14),(61 60350.516),(62 59322.27),(63 59496.36),(64 61667.047),(65 63673.258),(66 65120.918),(67 65601.336),(68 65814.97),(69 66903.83),(70 67607.88),(71 67728.39),(72 67527.375),(73 67150.78),(74 66778.95),(75 66569.625),(76 66767.99),(77 67737.34),(78 68436.14),(79 68098.516),
(1 9910.723),(2 27545.68),(3 40917.367),(4 48596.418),(5 51961.34),(6 52453.6),(7 52415.81),(8 51812.71),(9 51756.723),(10 54141.266),(11 56353.9),(12 57438.785),(13 58342.266),(14 57621.063),(15 56886.504),(16 56191.86),(17 56866.08),(18 57066.87),(19 57636.758),(20 58208.582),(21 58971.938),(22 59262.625),(23 58471.418),(24 56828.332),(25 56105.09),(26 56922.625),(27 57486.793),(28 58694.383),(29 60774.64),(30 62058.484),(31 61971.23),(32 61709.38),(33 61540.31),(34 61291.523),(35 61401.566),(36 62373.477),(37 63544.81),(38 64531.426),(39 64961.93),(40 64518.523),(41 63717.21),(42 63276.867),(43 62321.457),(44 61201.19),(45 61659.934),(46 62343.605),(47 62804.18),(48 63275.86),(49 64406.875),(50 65144.9),(51 65831.586),(52 64825.8),(53 64208.668),(54 64486.68),(55 65127.31),(56 65585.56),(57 66249.44),(58 65930.44),(59 65455.152),(60 65294.547),(61 64133.492),(62 63941.016),(63 63844.37),(64 65038.06),(65 66838.75),(66 67229.38),(67 66902.15),(68 65259.56),(69 63946.266),(70 64544.836),(71 66388.164),(72 67664.22),(73 67865.16),(74 67279.29),(75 66404.69),(76 65871.28),(77 66409.695),(78 67716.74),(79 68999.414),
(1 9274.996),(2 25992.883),(3 39029.152),(4 46050.117),(5 48859.586),(6 49106.977),(7 48790.695),(8 48595.547),(9 49002.715),(10 50649.56),(11 51535.742),(12 52306.926),(13 52362.156),(14 52199.05),(15 51825.875),(16 51024.457),(17 51487.56),(18 52129.547),(19 52838.285),(20 53130.59),(21 53635.676),(22 54180.645),(23 53910.15),(24 52927.117),(25 52355.41),(26 52801.973),(27 53008.688),(28 53580.813),(29 56245.51),(30 59218.176),(31 60966.855),(32 61833.71),(33 61559.035),(34 60994.945),(35 60523.387),(36 59703.125),(37 58701.277),(38 58063.51),(39 57332.496),(40 56912.563),(41 57332.85),(42 58227.69),(43 59277.98),(44 59960.46),(45 60162.76),(46 59680.023),(47 59336.07),(48 59979.4),(49 61073.32),(50 61846.914),(51 61747.47),(52 60924),(53 60957.094),(54 61889.03),(55 63342.516),(56 64243.984),(57 64071.426),(58 62291.953),(59 60692.438),(60 61226.52),(61 61604.766),(62 62107.99),(63 62147.56),(64 62553.527),(65 63128.74),(66 63371.93),(67 64120.742),(68 63485.973),(69 63223.984),(70 63543.51),(71 64608.44),(72 64902.133),(73 64067),(74 63059.227),(75 62715.86),(76 62979.17),(77 64116.55),(78 65704.836),(79 66780.94),
(1 10052.3545),(2 27980.217),(3 40876.16),(4 46576.063),(5 46843.473),(6 45622.848),(7 45215.297),(8 45860.97),(9 46859.547),(10 48662.113),(11 50430.863),(12 51586.03),(13 51476.926),(14 50703.285),(15 49623.902),(16 49852.453),(17 50836.43),(18 50380.938),(19 48984.83),(20 48673.93),(21 50880.61),(22 53162.883),(23 53609.42),(24 53087.63),(25 51957.65),(26 51481.133),(27 50973.992),(28 51205.375),(29 53772.645),(30 56113.54),(31 56816.29),(32 56574.734),(33 56049.176),(34 55816.273),(35 55692.023),(36 54961.11),(37 54266.29),(38 53939.594),(39 53624.453),(40 53751.285),(41 54868.305),(42 56305.426),(43 57148.902),(44 57087.367),(45 56778.617),(46 56406.18),(47 56764.29),(48 57689.43),(49 58912.08),(50 58662.77),(51 57686.652),(52 56319.16),(53 56120.473),(54 57287.2),(55 58244.313),(56 57983.5),(57 57801.246),(58 56930.633),(59 55908.36),(60 55737.594),(61 55042.266),(62 54711.676),(63 54491.375),(64 54497.96),(65 54608.16),(66 54150.594),(67 53984.703),(68 54392.12),(69 54872.945),(70 55377.61),(71 55438.55),(72 54621.668),(73 53696.367),(74 53326.133),(75 53103.703),(76 52728.766),(77 53000.793),(78 53642.69),(79 54244.734),
(1 9303.728),(2 25482.371),(3 37716.957),(4 43759.883),(5 44826.246),(6 45001.797),(7 46092.16),(8 47515.043),(9 49081.03),(10 51131.074),(11 52954.773),(12 53563.914),(13 52570.64),(14 51701.566),(15 51137.51),(16 52166.523),(17 53345.207),(18 51835.08),(19 49089.8),(20 47953.668),(21 49940.62),(22 53070.76),(23 54125.277),(24 53742.355),(25 53472.535),(26 53276.26),(27 51998.816),(28 51533.105),(29 52569.41),(30 53315.566),(31 53463.465),(32 53168.277),(33 53397.92),(34 54141.594),(35 54342.49),(36 53218.25),(37 52687.457),(38 52078.668),(39 51664.918),(40 52349.816),(41 53861.35),(42 55166.43),(43 55474.207),(44 55245.652),(45 55392.176),(46 55605.86),(47 56023.305),(48 56410.016),(49 57174.297),(50 56761.516),(51 56328.785),(52 55920.83),(53 56342.598),(54 57178.598),(55 57921.813),(56 57765.03),(57 57871.24),(58 57521.855),(59 56848.414),(60 56356.746),(61 56289.67),(62 56265.813),(63 55467.63),(64 54481.145),(65 54390.895),(66 54762.027),(67 55910.168),(68 57362.777),(69 58961.87),(70 60147.813),(71 59715.61),(72 58216.92),(73 55746.285),(74 54280.508),(75 54748.137),(76 56848.85),(77 58253.094),(78 58415.67),(79 57361.77),
(1 9242.04),(2 25058.955),(3 36838.24),(4 42447.75),(5 42447.88),(6 41587.047),(7 41720.02),(8 42964.2),(9 44866.156),(10 46274.57),(11 46970.01),(12 46440.773),(13 45873.82),(14 45563.715),(15 45811.25),(16 47248.277),(17 48374.965),(18 47856.71),(19 46795.414),(20 47366.87),(21 49507.004),(22 50957.67),(23 51053.65),(24 50255.69),(25 50635.664),(26 51677.004),(27 51750.668),(28 51436.957),(29 52145.81),(30 52964.332),(31 52625.82),(32 51849.953),(33 51756.27),(34 51817.15),(35 51357.527),(36 50212.49),(37 49212.66),(38 49136.594),(39 50628.734),(40 52798.71),(41 54845.895),(42 56823.99),(43 58148.58),(44 57919.223),(45 56764.28),(46 55531.188),(47 55588.594),(48 56134.86),(49 56752.555),(50 56777.45),(51 55757.086),(52 54724.445),(53 54534.098),(54 54779.2),(55 55450.68),(56 55388.676),(57 55590.016),(58 55450.926),(59 54967.7),(60 54547.57),(61 54702.125),(62 55558.645),(63 56597.28),(64 56905.76),(65 56904.074),(66 56594.207),(67 56172.004),(68 56099.902),(69 56589.605),(70 56609.89),(71 55739.6),(72 55224.387),(73 54627.305),(74 55304.695),(75 57469.637),(76 59455.18),(77 60285.793),(78 59982.81),(79 58567.938),
(1 8909.4795),(2 24281.86),(3 36050.105),(4 42089.074),(5 42937.99),(6 42024.95),(7 41005.555),(8 40822.598),(9 41664.566),(10 42600),(11 43120.086),(12 42803),(13 42422.1),(14 42818.184),(15 44529.23),(16 46944.383),(17 48694.836),(18 49181.55),(19 47938.617),(20 47738.098),(21 47918.48),(22 46972.117),(23 45393.027),(24 44561.16),(25 45698.543),(26 47108.605),(27 47467.996),(28 47436.227),(29 48465.453),(30 49040.395),(31 49567.375),(32 50642.26),(33 52029.76),(34 53335.55),(35 53303.797),(36 51526.15),(37 49531.19),(38 48505.688),(39 49221.906),(40 50639.254),(41 51315.117),(42 51077.027),(43 51004.38),(44 50741.125),(45 50225.715),(46 50052.89),(47 50921.414),(48 51781.234),(49 52277.92),(50 51706.027),(51 50478.67),(52 49640.977),(53 49618.37),(54 50295.945),(55 50838.156),(56 50920.465),(57 50831.137),(58 51304.63),(59 52041.465),(60 52143.28),(61 51788),(62 51831.055),(63 52103.543),(64 52469.418),(65 52450.883),(66 51737.055),(67 51295.688),(68 50994.563),(69 51380.22),(70 51755.766),(71 52016.297),(72 52336.74),(73 52857.637),(74 54244.14),(75 55301.44),(76 55499.35),(77 54589.563),(78 53317.156),(79 52477.723),
(1 8408.362),(2 22372.475),(3 32882.934),(4 38378.61),(5 39232.395),(6 37963.07),(7 37094.62),(8 37233.42),(9 38010.38),(10 39239.477),(11 39990.168),(12 40942.344),(13 41178.09),(14 41406.96),(15 42401.21),(16 44773.813),(17 47085.67),(18 47518.715),(19 47173.887),(20 47437.324),(21 48136.93),(22 48426.5),(23 48759.152),(24 48351.215),(25 48511.043),(26 48838.598),(27 49389.297),(28 48966.62),(29 49325.523),(30 49640.684),(31 49604.727),(32 49413.18),(33 49987.92),(34 51004.406),(35 50909.016),(36 49748.09),(37 48574.785),(38 47824.293),(39 47993.688),(40 48456.67),(41 48454.895),(42 47993.7),(43 47985.918),(44 47398.965),(45 47513.86),(46 48777.78),(47 50544.15),(48 51387.55),(49 51495.453),(50 51329.97),(51 50804.008),(52 50776.19),(53 51641.414),(54 52718.203),(55 52927.92),(56 52771.004),(57 53594.414),(58 54716.875),(59 56030.797),(60 56156.46),(61 55650.914),(62 55261.574),(63 54346.855),(64 53805.195),(65 53883.45),(66 54112.434),(67 54071.65),(68 55141.242),(69 55954.86),(70 55980.75),(71 55465.016),(72 55186.91),(73 55483.117),(74 56018.184),(75 55823.664),(76 55175.55),(77 54485.125),(78 53571.41),(79 53310.215),
