1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,
(1 0.00058752764),(2 0.31119615),(3 0.522337),(4 0.58564824),(5 0.5861721),(6 0.6417681),(7 0.6389249),(8 0.67134887),(9 0.67126375),(10 0.6966326),(11 0.707649),(12 0.79439217),(13 0.7936967),(14 0.84400225),(15 0.8477412),(16 0.8480137),(17 0.84641147),(18 0.9044932),(19 0.87831837),(20 0.9029609),(21 0.90216184),(22 0.91340315),(23 1.0178775),(24 0.9844782),(25 0.9831338),(26 0.9391863),(27 0.9122047),(28 0.8696981),(29 0.8692905),(30 0.87455106),(31 0.90130293),(32 0.87078685),(33 0.8708369),(34 0.837416),(35 0.8595373),(36 0.86525184),(37 0.86535317),(38 0.8242373),(39 0.86393523),(40 0.86708593),(41 0.8677212),(42 0.890268),(43 0.9401972),(44 0.9053027),(45 0.9055623),
(1 0.0005766836),(2 0.2794037),(3 0.45379376),(4 0.5143873),(5 0.5146351),(6 0.5479672),(7 0.5795658),(8 0.6016098),(9 0.6012673),(10 0.61136216),(11 0.63333),(12 0.7173268),(13 0.7172731),(14 0.75397915),(15 0.7526588),(16 0.7771603),(17 0.776105),(18 0.8284735),(19 0.8082678),(20 0.81509775),(21 0.8144348),(22 0.80928355),(23 0.89879495),(24 0.8920305),(25 0.8911884),(26 0.82107955),(27 0.7888211),(28 0.77190363),(29 0.7700069),(30 0.75936437),(31 0.77463496),(32 0.76487625),(33 0.76546025),(34 0.7277839),(35 0.7511388),(36 0.7699681),(37 0.7700758),(38 0.72640103),(39 0.76209444),(40 0.77775633),(41 0.77712786),(42 0.8010687),(43 0.85284966),(44 0.8217844),(45 0.8217893),
(1 0.00064625795),(2 0.27766454),(3 0.4405354),(4 0.49729243),(5 0.4970156),(6 0.52167904),(7 0.55464333),(8 0.5773909),(9 0.5770784),(10 0.5779046),(11 0.5928368),(12 0.67998254),(13 0.6785821),(14 0.72214335),(15 0.70721394),(16 0.7165972),(17 0.716156),(18 0.77728975),(19 0.76005477),(20 0.78418463),(21 0.7833312),(22 0.7653177),(23 0.8317903),(24 0.8205837),(25 0.8194644),(26 0.7838708),(27 0.7512182),(28 0.7281313),(29 0.72907925),(30 0.71186954),(31 0.73537374),(32 0.7191319),(33 0.71921945),(34 0.6935319),(35 0.7082872),(36 0.70816374),(37 0.70809907),(38 0.6735148),(39 0.70364565),(40 0.7198348),(41 0.71884304),(42 0.7478264),(43 0.7764725),(44 0.76738894),(45 0.76720196),
(1 0.00063532946),(2 0.23544458),(3 0.38659048),(4 0.4262801),(5 0.4261427),(6 0.45936257),(7 0.48710966),(8 0.50950426),(9 0.50888866),(10 0.51076156),(11 0.5344068),(12 0.6055111),(13 0.60412747),(14 0.6544159),(15 0.6461401),(16 0.6528247),(17 0.65169346),(18 0.70701116),(19 0.688906),(20 0.6968956),(21 0.696636),(22 0.68813044),(23 0.7567744),(24 0.7546172),(25 0.7545247),(26 0.7116817),(27 0.6714407),(28 0.6557493),(29 0.65564215),(30 0.6467061),(31 0.6681809),(32 0.6655238),(33 0.666158),(34 0.6460898),(35 0.64718544),(36 0.66304666),(37 0.66281503),(38 0.62138677),(39 0.67117023),(40 0.68936545),(41 0.68915385),(42 0.69835126),(43 0.7342542),(44 0.7283265),(45 0.7282516),
(1 0.00060824986),(2 0.19833997),(3 0.32468778),(4 0.37017393),(5 0.370267),(6 0.39665565),(7 0.41573495),(8 0.42518678),(9 0.42561957),(10 0.42939055),(11 0.44928065),(12 0.5233727),(13 0.5225179),(14 0.5635112),(15 0.56014884),(16 0.5637074),(17 0.56306064),(18 0.6241394),(19 0.6104008),(20 0.6152426),(21 0.61508316),(22 0.6239262),(23 0.7109951),(24 0.69583917),(25 0.6960837),(26 0.6454531),(27 0.6142554),(28 0.59861827),(29 0.5978712),(30 0.5889039),(31 0.62126523),(32 0.60917085),(33 0.60987353),(34 0.58157843),(35 0.5922656),(36 0.5926389),(37 0.5925349),(38 0.5502751),(39 0.5896332),(40 0.5978283),(41 0.5978606),(42 0.6167693),(43 0.64461994),(44 0.62593424),(45 0.62544686),
(1 0.0005342562),(2 0.15347326),(3 0.26251855),(4 0.31194055),(5 0.31212598),(6 0.3369804),(7 0.34596026),(8 0.35727692),(9 0.35705802),(10 0.36285666),(11 0.39168578),(12 0.4566735),(13 0.4566837),(14 0.49839252),(15 0.49349457),(16 0.50158125),(17 0.500805),(18 0.5420607),(19 0.52854866),(20 0.54645056),(21 0.5466262),(22 0.55309176),(23 0.62270486),(24 0.60401565),(25 0.6037923),(26 0.5569625),(27 0.53986603),(28 0.5123937),(29 0.511249),(30 0.52413136),(31 0.550778),(32 0.5394638),(33 0.53946334),(34 0.5087146),(35 0.5270827),(36 0.53037995),(37 0.53043604),(38 0.4855425),(39 0.50958496),(40 0.52460366),(41 0.5242364),(42 0.5372238),(43 0.57124025),(44 0.5486406),(45 0.5484838),
(1 0.0005413935),(2 0.13959825),(3 0.24642664),(4 0.28716052),(5 0.28712222),(6 0.31028885),(7 0.32341737),(8 0.3277675),(9 0.32698497),(10 0.34061915),(11 0.36021286),(12 0.4219721),(13 0.42110023),(14 0.4526703),(15 0.45473823),(16 0.46288252),(17 0.46227023),(18 0.50896686),(19 0.49058136),(20 0.5039469),(21 0.50368965),(22 0.5038888),(23 0.57306105),(24 0.55091757),(25 0.5505301),(26 0.50567514),(27 0.49095047),(28 0.4672486),(29 0.4665206),(30 0.47805843),(31 0.5024593),(32 0.491992),(33 0.4924251),(34 0.46687385),(35 0.4846251),(36 0.48179),(37 0.48150358),(38 0.4418562),(39 0.4672379),(40 0.4939949),(41 0.49393076),(42 0.49718583),(43 0.5292348),(44 0.49305016),(45 0.49296612),
(1 0.0005633433),(2 0.119497985),(3 0.22853737),(4 0.26946968),(5 0.26925352),(6 0.2847596),(7 0.29454112),(8 0.30064043),(9 0.30060956),(10 0.3210016),(11 0.33570835),(12 0.393098),(13 0.39215487),(14 0.43031275),(15 0.42929584),(16 0.4316189),(17 0.43100998),(18 0.4709424),(19 0.45780233),(20 0.4700965),(21 0.46939096),(22 0.46340388),(23 0.53392756),(24 0.51138306),(25 0.5108266),(26 0.4682408),(27 0.44410983),(28 0.4368059),(29 0.43672678),(30 0.44293755),(31 0.47051966),(32 0.45723358),(33 0.4576667),(34 0.4338176),(35 0.45249704),(36 0.45642),(37 0.45621637),(38 0.41718373),(39 0.43127882),(40 0.44824985),(41 0.44799733),(42 0.45371988),(43 0.4849593),(44 0.46542132),(45 0.4654349),
(1 0.0005248339),(2 0.09656884),(3 0.19396704),(4 0.23319556),(5 0.23338611),(6 0.24861),(7 0.25233933),(8 0.26220116),(9 0.2621387),(10 0.2786506),(11 0.2937231),(12 0.35253516),(13 0.3522696),(14 0.37811917),(15 0.38290772),(16 0.38649017),(17 0.38589856),(18 0.42515638),(19 0.41230658),(20 0.42754838),(21 0.4271112),(22 0.42241576),(23 0.4808196),(24 0.468586),(25 0.46799573),(26 0.43256742),(27 0.40333733),(28 0.3923163),(29 0.3921292),(30 0.4017621),(31 0.42893386),(32 0.42184773),(33 0.42191434),(34 0.39316967),(35 0.40739298),(36 0.4085222),(37 0.40850616),(38 0.37181574),(39 0.3855799),(40 0.39741164),(41 0.3973287),(42 0.40583894),(43 0.42741197),(44 0.4076434),(45 0.40753424),
(1 0.0005452375),(2 0.09163175),(3 0.17650318),(4 0.2184998),(5 0.21848264),(6 0.23410031),(7 0.23274511),(8 0.24524866),(9 0.24493326),(10 0.26222137),(11 0.2803545),(12 0.33189982),(13 0.33115742),(14 0.35698363),(15 0.36274832),(16 0.3682029),(17 0.36771998),(18 0.39940825),(19 0.38152844),(20 0.40131107),(21 0.40065596),(22 0.39535683),(23 0.45095202),(24 0.43673375),(25 0.43648767),(26 0.40774414),(27 0.3768861),(28 0.35847923),(29 0.35790643),(30 0.37283006),(31 0.4025827),(32 0.3945387),(33 0.39493734),(34 0.3726274),(35 0.3908379),(36 0.38839376),(37 0.3884845),(38 0.352989),(39 0.36638165),(40 0.38193235),(41 0.38166913),(42 0.38189024),(43 0.40221965),(44 0.38982332),(45 0.38947737),
