1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,
(1 0.00088111794),(2 0.5985596),(3 1.1080562),(4 1.1426694),(5 1.142855),(6 1.2832978),(7 1.2214231),(8 1.2294064),(9 1.2283237),(10 1.2802929),(11 1.2869984),(12 1.2667824),(13 1.2636209),(14 1.309827),(15 1.3642975),(16 1.362967),(17 1.3611171),(18 1.3642046),(19 1.3209393),(20 1.3833258),(21 1.3820523),(22 1.4650961),(23 1.4564189),(24 1.4678112),(25 1.4670926),(26 1.4505367),(27 1.4132736),(28 1.4295348),(29 1.4254986),(30 1.3542854),(31 1.3400424),(32 1.3299079),(33 1.3294672),(34 1.2422459),(35 1.2950948),(36 1.3296813),(37 1.3291001),(38 1.3543336),(39 1.3387526),(40 1.3592508),(41 1.3590086),(42 1.4502113),(43 1.4834858),(44 1.4999515),(45 1.4996141),
(1 0.00085816474),(2 0.5462071),(3 0.97085536),(4 0.9852395),(5 0.98519635),(6 1.0914781),(7 1.0600423),(8 1.0965749),(9 1.0953293),(10 1.1542857),(11 1.1179003),(12 1.1002076),(13 1.0982757),(14 1.1398897),(15 1.218996),(16 1.2020768),(17 1.201347),(18 1.2178637),(19 1.1733516),(20 1.233077),(21 1.2325162),(22 1.304022),(23 1.3177395),(24 1.3152468),(25 1.3141394),(26 1.3096776),(27 1.259844),(28 1.2702334),(29 1.267564),(30 1.223188),(31 1.2121779),(32 1.2067416),(33 1.2068151),(34 1.135933),(35 1.1656884),(36 1.1887014),(37 1.1885741),(38 1.2020752),(39 1.2029327),(40 1.2182978),(41 1.2177434),(42 1.2982435),(43 1.3051296),(44 1.3335813),(45 1.3327804),
(1 0.00080445677),(2 0.46785808),(3 0.80945855),(4 0.8487713),(5 0.8488847),(6 0.9514743),(7 0.895264),(8 0.94341356),(9 0.9423852),(10 0.96789473),(11 0.9487761),(12 0.9528826),(13 0.9514888),(14 0.98695695),(15 1.0598536),(16 1.052851),(17 1.0516005),(18 1.0362211),(19 1.0128498),(20 1.0857235),(21 1.0846153),(22 1.1263328),(23 1.1649696),(24 1.1287663),(25 1.1279587),(26 1.1204206),(27 1.0893313),(28 1.1254508),(29 1.1231089),(30 1.0792127),(31 1.0586237),(32 1.0537367),(33 1.0533924),(34 0.97195095),(35 0.9984547),(36 1.0250169),(37 1.0245064),(38 1.0288991),(39 1.0140855),(40 1.038597),(41 1.0381504),(42 1.1012774),(43 1.1262769),(44 1.1472342),(45 1.1472528),
(1 0.0007177568),(2 0.4033012),(3 0.68027747),(4 0.7051116),(5 0.70624053),(6 0.78578776),(7 0.758982),(8 0.79626983),(9 0.79465777),(10 0.8370067),(11 0.7889827),(12 0.79504436),(13 0.7942816),(14 0.83319104),(15 0.8945803),(16 0.8879367),(17 0.88654333),(18 0.88244194),(19 0.85859776),(20 0.9150216),(21 0.9146025),(22 0.9561479),(23 0.9661403),(24 0.96514183),(25 0.9643117),(26 0.9411788),(27 0.9437782),(28 0.96025485),(29 0.95964956),(30 0.9351586),(31 0.9162143),(32 0.9172867),(33 0.9173304),(34 0.85431),(35 0.8757574),(36 0.87381864),(37 0.87353325),(38 0.87515116),(39 0.8573865),(40 0.86636406),(41 0.8656188),(42 0.9374833),(43 0.94796675),(44 0.9574208),(45 0.95746475),
(1 0.00071589666),(2 0.37333632),(3 0.61606055),(4 0.6498401),(5 0.649904),(6 0.7265159),(7 0.70552665),(8 0.7362585),(9 0.73475575),(10 0.74115473),(11 0.7116517),(12 0.7293741),(13 0.72846144),(14 0.7632858),(15 0.8211028),(16 0.82970375),(17 0.8282534),(18 0.8080459),(19 0.7806852),(20 0.84138745),(21 0.84048957),(22 0.8686915),(23 0.9022539),(24 0.88966286),(25 0.8886729),(26 0.8687793),(27 0.8499842),(28 0.86440367),(29 0.86216664),(30 0.8498564),(31 0.8417251),(32 0.8473766),(33 0.8470873),(34 0.78058285),(35 0.79967046),(36 0.8178607),(37 0.81752336),(38 0.8211901),(39 0.795339),(40 0.8009885),(41 0.80117023),(42 0.8690429),(43 0.8849297),(44 0.8793164),(45 0.8793083),
(1 0.0007551276),(2 0.36854935),(3 0.61036986),(4 0.6265886),(5 0.626962),(6 0.68539274),(7 0.6735775),(8 0.7207406),(9 0.7191876),(10 0.74324596),(11 0.6942332),(12 0.70527864),(13 0.70431983),(14 0.74778074),(15 0.7902312),(16 0.78804034),(17 0.7863457),(18 0.7735077),(19 0.7610957),(20 0.8216229),(21 0.8203894),(22 0.84599113),(23 0.8418881),(24 0.8403914),(25 0.8396714),(26 0.838465),(27 0.8365053),(28 0.8547774),(29 0.85396725),(30 0.8161615),(31 0.8174522),(32 0.81377095),(33 0.81394774),(34 0.75002384),(35 0.7764051),(36 0.7738431),(37 0.77352744),(38 0.78243464),(39 0.7542029),(40 0.76942354),(41 0.7684478),(42 0.8331736),(43 0.8337964),(44 0.8369195),(45 0.83711135),
(1 0.0006855091),(2 0.3173348),(3 0.5134449),(4 0.5327281),(5 0.5328628),(6 0.5920915),(7 0.58770084),(8 0.61875707),(9 0.61758727),(10 0.6328927),(11 0.59752584),(12 0.62212765),(13 0.6208524),(14 0.6495718),(15 0.69091356),(16 0.68922067),(17 0.6878937),(18 0.67306775),(19 0.6546014),(20 0.70092314),(21 0.69997156),(22 0.715949),(23 0.7258849),(24 0.73424435),(25 0.7338629),(26 0.7134849),(27 0.7052604),(28 0.7204228),(29 0.7186056),(30 0.68269247),(31 0.690876),(32 0.69869226),(33 0.69847697),(34 0.6433501),(35 0.6750349),(36 0.6931158),(37 0.69263744),(38 0.6971372),(39 0.66855097),(40 0.6772942),(41 0.6765574),(42 0.7292886),(43 0.73000395),(44 0.73222667),(45 0.7321595),
(1 0.00072433485),(2 0.30442095),(3 0.49112502),(4 0.50852233),(5 0.5078944),(6 0.5420758),(7 0.5676898),(8 0.5924642),(9 0.59174347),(10 0.5888537),(11 0.5518014),(12 0.5749199),(13 0.57379013),(14 0.6051549),(15 0.6386055),(16 0.6328234),(17 0.6318046),(18 0.6327426),(19 0.6206728),(20 0.6716486),(21 0.67073834),(22 0.70322657),(23 0.6938373),(24 0.7041422),(25 0.7035891),(26 0.6907247),(27 0.68858236),(28 0.70191395),(29 0.70077485),(30 0.67060864),(31 0.66661686),(32 0.67159694),(33 0.67187196),(34 0.6226611),(35 0.64465153),(36 0.657429),(37 0.6568639),(38 0.66137916),(39 0.63029116),(40 0.64833486),(41 0.6479046),(42 0.6996818),(43 0.69348747),(44 0.7090295),(45 0.7088514),
(1 0.0006839724),(2 0.26065645),(3 0.42187625),(4 0.44080836),(5 0.44056028),(6 0.47822687),(7 0.48562387),(8 0.50488156),(9 0.50422287),(10 0.5137006),(11 0.49065772),(12 0.51496243),(13 0.5139314),(14 0.5418226),(15 0.57155293),(16 0.57341534),(17 0.57212394),(18 0.56939876),(19 0.5517641),(20 0.59374434),(21 0.5931281),(22 0.6153525),(23 0.6178381),(24 0.62736464),(25 0.62681407),(26 0.60941803),(27 0.6110614),(28 0.61264443),(29 0.6117885),(30 0.592127),(31 0.59652376),(32 0.6113213),(33 0.6118069),(34 0.5565876),(35 0.57426727),(36 0.5856776),(37 0.5855342),(38 0.5795924),(39 0.55805653),(40 0.56593966),(41 0.56570417),(42 0.609842),(43 0.6058504),(44 0.61326134),(45 0.6130228),
(1 0.0006993796),(2 0.2328057),(3 0.3768156),(4 0.40038392),(5 0.40044332),(6 0.44101027),(7 0.45892674),(8 0.46284285),(9 0.46186543),(10 0.46354377),(11 0.44601393),(12 0.47119102),(13 0.47048506),(14 0.49701697),(15 0.533893),(16 0.5283473),(17 0.52746016),(18 0.5218176),(19 0.5103281),(20 0.54829735),(21 0.54753643),(22 0.58025664),(23 0.5769347),(24 0.5790901),(25 0.5785973),(26 0.5617),(27 0.5670313),(28 0.57369536),(29 0.5721484),(30 0.55343693),(31 0.5594556),(32 0.56778395),(33 0.5679188),(34 0.52057886),(35 0.5367532),(36 0.5527522),(37 0.55207336),(38 0.54896426),(39 0.5182098),(40 0.5235942),(41 0.52350384),(42 0.56648666),(43 0.56257665),(44 0.5781281),(45 0.5777781),
