1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 263718.25),(2 843255.5),(3 1548225.9),(4 2328221.3),(5 3082780),(6 3943138),(7 4981248.5),(8 6218138.5),(9 7756110.5),(10 9405816),(11 11199601),(12 12994785),(13 15032133),(14 17110224),(15 18948854),(16 20609588),(17 22369978),(18 24086360),(19 26011686),(20 27945906),(21 29894102),(22 32096186),(23 34133628),(24 35975052),(25 37814744),(26 39548990),(27 41022220),(28 42243140),(29 43123172),(30 43711100),(31 44334404),(32 44671148),(33 44856276),(34 44806668),(35 44449736),(36 44061892),(37 43334680),(38 42382196),(39 41381924),(40 40457010),(41 39720256),(42 39151936),(43 38583616),(44 38267468),(45 37395060),(46 36542780),(47 35172188),(48 33721276),(49 32582520),(50 31595424),(51 30798682),(52 30247818),(53 29500216),(54 29146678),(55 29378730),(56 29779782),(57 30078382),(58 30382954),(59 30890378),(60 31381664),(61 32156976),(62 32831602),(63 33907684),(64 35277124),(65 36592720),(66 38173284),(67 39894224),(68 41176910),(69 42278540),(70 43501028),(71 44609710),(72 45645504),(73 46583456),(74 47239948),(75 47898796),(76 48336292),(77 48598420),(78 48491936),(79 48073204),
(1 89096.7),(2 129482.69),(3 137408.14),(4 140275.02),(5 148091.86),(6 153910.67),(7 155794.4),(8 158320.23),(9 163601.56),(10 163605),(11 162879.73),(12 163897.55),(13 164442.25),(14 165031.63),(15 161439.13),(16 162545.27),(17 165509.81),(18 163649.66),(19 162919.8),(20 163717.48),(21 166954),(22 172166.2),(23 169494.17),(24 165898.17),(25 163525.4),(26 166970.53),(27 171518.42),(28 169913.44),(29 169305.86),(30 168730.27),(31 170533.66),(32 174128.03),(33 166699.8),(34 164260.89),(35 167619.47),(36 172111.23),(37 162783.94),(38 162902.95),(39 171146.02),(40 169462.88),(41 164393.13),(42 163672.2),(43 160222.94),(44 162924.44),(45 165599.77),(46 165117),(47 158653.69),(48 160580.28),(49 160423.03),(50 160301.16),(51 159714),(52 161053.8),(53 160989.97),(54 162195.58),(55 166103.38),(56 170557.23),(57 170583.72),(58 169967.53),(59 170829.48),(60 171695.86),(61 170651.94),(62 168632.28),(63 169885.13),(64 168638.84),(65 171072.14),(66 169616.44),(67 165307.67),(68 169826.4),(69 174519.23),(70 176106.84),(71 172101.88),(72 173706.52),(73 173700.86),(74 171722.34),(75 176122.81),(76 176078.86),(77 173875.77),(78 173024.2),(79 169923.86),
(1 85397.4),(2 123357.1),(3 132213.78),(4 135805.03),(5 142293.34),(6 143259.53),(7 144901.88),(8 149176.7),(9 148464.11),(10 150115.11),(11 154235.02),(12 156516.42),(13 152630.22),(14 156126.78),(15 159424.4),(16 159909.31),(17 158123.02),(18 152341.3),(19 154463.52),(20 160863.52),(21 159740.16),(22 158521.39),(23 159201.69),(24 156015.36),(25 157557.78),(26 156494.52),(27 155306.69),(28 157137.45),(29 157364.39),(30 160582.89),(31 162105.98),(32 161571.72),(33 156276.97),(34 152532.4),(35 153493.72),(36 155632.6),(37 159079.64),(38 160103.94),(39 161917.3),(40 158793.64),(41 157469.88),(42 157464.84),(43 153525.19),(44 151017.69),(45 149585.25),(46 155216.2),(47 153459.63),(48 152105.02),(49 155997.14),(50 154293.2),(51 151311.08),(52 154326.58),(53 158128.78),(54 154569.95),(55 158745.56),(56 160733.08),(57 158263.2),(58 158833.39),(59 160480.98),(60 158379.27),(61 156948.92),(62 156680.92),(63 155792.88),(64 156113.08),(65 160217.03),(66 155220.27),(67 153138.88),(68 161032.78),(69 163183.16),(70 166199.81),(71 168351.3),(72 169070.58),(73 166504.75),(74 165203.4),(75 167163.98),(76 162089.17),(77 160100.77),(78 161375.45),(79 159097.16),
(1 78431.96),(2 112690.14),(3 119381.47),(4 127663.25),(5 133822.44),(6 133618.86),(7 137676.19),(8 139634.33),(9 142561.39),(10 141747.08),(11 143553.83),(12 145712.28),(13 145622.64),(14 145865.25),(15 144640.95),(16 143872.05),(17 142077.11),(18 144011.28),(19 150313.58),(20 150120.88),(21 147587.66),(22 149916.14),(23 154093.89),(24 149368.8),(25 150224.67),(26 148739.84),(27 149153.34),(28 148017.28),(29 150442.22),(30 148994.92),(31 148246.66),(32 147029.17),(33 145133.92),(34 147257.25),(35 147311.75),(36 148006.44),(37 146534.14),(38 147512.06),(39 148612.66),(40 144655.7),(41 145617.94),(42 147100.17),(43 147357.98),(44 145568.31),(45 139223.97),(46 143604.52),(47 144707.05),(48 145563.61),(49 147583.88),(50 148770.61),(51 150159.34),(52 148810.9),(53 149738.52),(54 147873.98),(55 150700.25),(56 154804.53),(57 154868.58),(58 153661.45),(59 152277.81),(60 152052.39),(61 152108.61),(62 154685.19),(63 152718.23),(64 152374.28),(65 152079.06),(66 148133.77),(67 149118.8),(68 154940.77),(69 156249.2),(70 157420.67),(71 157321.5),(72 158067.05),(73 155174.08),(74 149658.7),(75 148893.02),(76 149091.69),(77 146507.25),(78 144256.89),(79 143232.72),
(1 73277.05),(2 103843.914),(3 109361.516),(4 119812.84),(5 127707.15),(6 128718.84),(7 132137.44),(8 135684.31),(9 134627.72),(10 130637.69),(11 134197.47),(12 140005.22),(13 139849.03),(14 136365.44),(15 138525.69),(16 138709.44),(17 141052.7),(18 141780.64),(19 139574.75),(20 140009.47),(21 141080.11),(22 143147.94),(23 143912.38),(24 140828.61),(25 140851.72),(26 143709.98),(27 141963.92),(28 139464.61),(29 141590.2),(30 141676.11),(31 139728.72),(32 140069.86),(33 134399.28),(34 136499.14),(35 135896.1),(36 138866.19),(37 138234),(38 137736.02),(39 138003.78),(40 139893.27),(41 139663.88),(42 135689.56),(43 133704.63),(44 133779.56),(45 130196.97),(46 129237.12),(47 132862.77),(48 136063.33),(49 135243.61),(50 139377.53),(51 141658.98),(52 139485.53),(53 135490.47),(54 134042.3),(55 133160.14),(56 136515.56),(57 138402.72),(58 140281.97),(59 137189.81),(60 138859.03),(61 139470.67),(62 138361.81),(63 139578.77),(64 138263.69),(65 137795.14),(66 138342.44),(67 140997.48),(68 138435.11),(69 138955.58),(70 143707.53),(71 141229.53),(72 141599.67),(73 135412.56),(74 134955.6),(75 134218.48),(76 139085.88),(77 137558.63),(78 136695.53),(79 137778.6),
(1 69189.38),(2 95388.89),(3 101949.805),(4 115241.12),(5 121609.97),(6 123539.91),(7 126623.67),(8 127104.79),(9 127331.01),(10 125460.74),(11 124863.766),(12 126745.22),(13 127315.82),(14 131791.27),(15 131044.66),(16 134836.13),(17 135743.38),(18 132322.72),(19 132911.72),(20 133532.9),(21 135191.75),(22 133511.86),(23 133246.36),(24 133731.5),(25 131908.05),(26 131419.14),(27 129334.164),(28 130737.984),(29 129528.01),(30 129376.54),(31 131844.64),(32 129160.05),(33 127370.77),(34 130954.99),(35 129135.11),(36 127499.14),(37 125903.8),(38 127766.51),(39 125462.336),(40 122849.96),(41 124479.445),(42 125145.53),(43 121641.21),(44 122195.4),(45 124536),(46 124411.36),(47 123177.25),(48 123727.695),(49 122450.805),(50 127518.01),(51 128492.05),(52 127306.484),(53 127782.74),(54 129833.09),(55 127705.08),(56 125568.24),(57 127114.445),(58 128250.87),(59 129267.57),(60 128586.414),(61 128591.11),(62 128158.586),(63 128092.92),(64 130281.08),(65 131322.31),(66 129961.77),(67 132524.55),(68 133204.4),(69 133066.45),(70 132011.45),(71 135315.7),(72 135906.44),(73 133429.08),(74 130613.12),(75 130863.52),(76 127059.695),(77 126010.22),(78 126766.59),(79 123760.875),
(1 66270.766),(2 89536),(3 95566.96),(4 102931.38),(5 107889.4),(6 110657.914),(7 114707.6),(8 119451.19),(9 122603.02),(10 121371.04),(11 122085.695),(12 121443.79),(13 122140.92),(14 121172.15),(15 120439.59),(16 123890.57),(17 121855.52),(18 120178.33),(19 120068.95),(20 124092.29),(21 125251.6),(22 123981.87),(23 122769.74),(24 124436.375),(25 124623.4),(26 124573.266),(27 125730.555),(28 124607.86),(29 123864.91),(30 123063.82),(31 121886.49),(32 121876.93),(33 122436.766),(34 123503.77),(35 122047.14),(36 121720.48),(37 123211.43),(38 126187.555),(39 124390.05),(40 122938.98),(41 124429.305),(42 124632.1),(43 122733.75),(44 122618.1),(45 124551.38),(46 122700.914),(47 122668.336),(48 121361.25),(49 121345.69),(50 124207.44),(51 126590.05),(52 128107.336),(53 128131.64),(54 125997.65),(55 125370.62),(56 124382.305),(57 125390.44),(58 124087.82),(59 126470.58),(60 125143.55),(61 124463.336),(62 123540.875),(63 124470.67),(64 124946.484),(65 125616.234),(66 126505.58),(67 129949.48),(68 129752.3),(69 128594.94),(70 129986.59),(71 131055.45),(72 128390.31),(73 124642.875),(74 126296.35),(75 125739.93),(76 127044.75),(77 127233.93),(78 126831.94),(79 124135.02),
(1 63806.54),(2 86799.484),(3 95506.34),(4 99733.414),(5 104483.445),(6 109741.734),(7 108788.27),(8 110361.3),(9 113163.63),(10 113925.78),(11 115783.57),(12 115272.945),(13 113564.375),(14 112706.13),(15 113405.68),(16 114500.42),(17 115332.89),(18 114524.766),(19 114092.875),(20 115704.73),(21 119499.336),(22 119751.945),(23 119215.9),(24 118561.63),(25 117690.81),(26 116433.414),(27 117567.61),(28 118540.11),(29 118637.85),(30 118503.83),(31 118710.234),(32 120074.74),(33 117653.805),(34 115470.695),(35 116588.31),(36 119290.195),(37 120765.625),(38 123142.58),(39 125273.04),(40 125826.83),(41 123846.54),(42 122631.94),(43 122134.625),(44 122215.875),(45 121286.88),(46 120619.33),(47 121390.16),(48 119752.42),(49 119089.42),(50 120512.8),(51 122093.03),(52 124390.695),(53 124295.26),(54 124847.72),(55 122989.16),(56 122644.68),(57 123099.9),(58 118782.08),(59 117018.8),(60 117792.8),(61 118926.016),(62 119858.34),(63 116495.24),(64 112395.67),(65 111393.555),(66 113024.195),(67 116403.414),(68 119733.8),(69 119721.02),(70 121053.85),(71 122533.9),(72 120740.99),(73 119337.29),(74 118847.3),(75 120319.01),(76 120116.89),(77 119599.664),(78 118623.164),(79 119255.41),
(1 61909.508),(2 86634.33),(3 95484.68),(4 100155.74),(5 103628.195),(6 107420.76),(7 110013.5),(8 112088.35),(9 114090.12),(10 115232.305),(11 117789.38),(12 119716.75),(13 118116.39),(14 116119.36),(15 116991.6),(16 118320.96),(17 114467.7),(18 114618.086),(19 115038.58),(20 120422.95),(21 120247.234),(22 117394.2),(23 116625.13),(24 116548.51),(25 117385.52),(26 116295.195),(27 116807.03),(28 116038.33),(29 119793.11),(30 120575.836),(31 120613.4),(32 121784.62),(33 118858.555),(34 117084.164),(35 116369.305),(36 119387.46),(37 120491.98),(38 121771.11),(39 120187.67),(40 120559.516),(41 118664.164),(42 117623.25),(43 116514.53),(44 117611.65),(45 117110.586),(46 116246.99),(47 116444.266),(48 117866.945),(49 117312.734),(50 118179.195),(51 118254.01),(52 118528.57),(53 117985.97),(54 117970.79),(55 116026.33),(56 114197.23),(57 115359.65),(58 118115.48),(59 117010.266),(60 116641.266),(61 114592.4),(62 114770.68),(63 111913.68),(64 109837.35),(65 109400.68),(66 109403.25),(67 111326.375),(68 111031.92),(69 112199.59),(70 114028.414),(71 115863.24),(72 115179.82),(73 113496.8),(74 114300.914),(75 112945.68),(76 113585.71),(77 115534.57),(78 117263.375),(79 118463.55),
(1 59504.67),(2 79563.41),(3 90675.85),(4 96704.734),(5 101862.84),(6 105256.25),(7 106941.78),(8 111049.75),(9 112232.94),(10 109237.95),(11 109102.54),(12 109713.234),(13 111348.44),(14 110461.68),(15 110328.05),(16 110031.32),(17 108888.8),(18 109861.15),(19 112992.33),(20 114774.305),(21 115276.664),(22 114731.01),(23 111924.92),(24 110224.44),(25 109429.78),(26 110141.4),(27 108718.82),(28 109710.69),(29 110938.09),(30 112076.03),(31 110758.83),(32 110740.74),(33 110727.82),(34 109639.305),(35 109579.31),(36 110449.984),(37 109451.06),(38 108345.05),(39 108858.74),(40 108461.9),(41 107949.14),(42 109738.88),(43 107642.35),(44 109771.586),(45 110324.234),(46 109680.74),(47 109857.97),(48 108222.58),(49 106506.33),(50 109008.74),(51 109147.75),(52 108606.836),(53 109910.72),(54 111314.77),(55 109007.94),(56 107969.27),(57 108086.97),(58 109723.44),(59 108966.22),(60 110894.04),(61 112376.55),(62 110092.51),(63 109250.82),(64 109435.35),(65 110244.68),(66 109880.12),(67 111698.08),(68 109484.49),(69 112007.87),(70 111721.516),(71 113903.055),(72 112601.46),(73 112624.58),(74 113579.76),(75 113405.97),(76 111103.195),(77 113991.19),(78 117296.32),(79 116500.94),
(1 56289.242),(2 76035.06),(3 84289.086),(4 91260.4),(5 94611.43),(6 98556.55),(7 98411.164),(8 98688.625),(9 102485.26),(10 102187.95),(11 102661.914),(12 103706.51),(13 104049.55),(14 104133.664),(15 102412.33),(16 104320.39),(17 107373.32),(18 106654.98),(19 105351.37),(20 106403.01),(21 106852.82),(22 106741.91),(23 104830.36),(24 103080.695),(25 104056.89),(26 106409.03),(27 107263.73),(28 108206.81),(29 109072.42),(30 109262.52),(31 106660.305),(32 106436.23),(33 106913.48),(34 106493.7),(35 104983.03),(36 102901.586),(37 104655.99),(38 103739.55),(39 102094.63),(40 102645.47),(41 105007.164),(42 105136.36),(43 104582.836),(44 105369.65),(45 105241.43),(46 104951.02),(47 102914.945),(48 101244.3),(49 100418.11),(50 101916.56),(51 101626.445),(52 99934.53),(53 100295.05),(54 102067.04),(55 101892.45),(56 99203.91),(57 100418.36),(58 101415.75),(59 100405.67),(60 98347.95),(61 99634.69),(62 100928.09),(63 100869.11),(64 101824.26),(65 103556.95),(66 101857.98),(67 100557.76),(68 100131.89),(69 101320.39),(70 103305.38),(71 104110.97),(72 104611.81),(73 106648.37),(74 106876.94),(75 108716.39),(76 107027.22),(77 108000.41),(78 106861.82),(79 106394.42),
(1 58181.633),(2 78092.73),(3 82651.266),(4 88886.72),(5 91836.734),(6 93702.98),(7 94615.85),(8 95282.03),(9 96987.99),(10 100023.84),(11 98593.5),(12 96697.555),(13 99222.8),(14 100531.48),(15 103313.5),(16 102630.3),(17 103814.79),(18 105347.34),(19 104684.57),(20 104195.47),(21 104784.984),(22 104252.57),(23 102863.3),(24 103486.664),(25 103239.195),(26 103547.234),(27 107000.336),(28 106637.57),(29 106067.914),(30 108588.78),(31 108308.92),(32 108332.164),(33 104976.3),(34 105460.26),(35 103050.43),(36 100672.03),(37 101412.34),(38 100169.1),(39 101733.3),(40 103230.34),(41 103550.27),(42 102140.05),(43 103444.68),(44 102340.97),(45 104620.36),(46 102450.03),(47 101426.47),(48 102838.336),(49 102127.664),(50 99337.836),(51 96579.41),(52 99425.46),(53 100978.945),(54 97756.664),(55 98960.54),(56 99996.18),(57 99232.82),(58 100271.695),(59 98619.25),(60 100024.1),(61 100249.47),(62 100334.29),(63 101484.99),(64 103504.52),(65 102255.68),(66 100154.22),(67 100945.125),(68 101125),(69 102544.09),(70 102875.11),(71 101846.28),(72 102633.13),(73 102176.09),(74 101739.664),(75 103546.45),(76 103107.1),(77 103258.83),(78 103257.88),(79 104612.72),
(1 53816.688),(2 71004.87),(3 74858.3),(4 81058.76),(5 85029.24),(6 87367.05),(7 89363.28),(8 89318.484),(9 91307.49),(10 92147.555),(11 91083.85),(12 89310.734),(13 90258.38),(14 91446.66),(15 94512.71),(16 91423.445),(17 91467.49),(18 93673.98),(19 91894.02),(20 92121.28),(21 93994.93),(22 94173.16),(23 95471.42),(24 96417.83),(25 95608.37),(26 94492.85),(27 94774.164),(28 98298.45),(29 98261.4),(30 96872.445),(31 97609.766),(32 99543.305),(33 98849.78),(34 98836.59),(35 97506.99),(36 96408.54),(37 94922.89),(38 97493.2),(39 95973.164),(40 97902.41),(41 97318.92),(42 95433.164),(43 97026.92),(44 96725.92),(45 96540.336),(46 98447.29),(47 97212.04),(48 98600.55),(49 96734.05),(50 96577.555),(51 94268.85),(52 94448.89),(53 94837),(54 94943.664),(55 93646.24),(56 91902.46),(57 91275.266),(58 92281.16),(59 90196.29),(60 89604.87),(61 90272.266),(62 92700.695),(63 95950.45),(64 94392.04),(65 92736.22),(66 92995.28),(67 93970.26),(68 93590.45),(69 95295.125),(70 94166.4),(71 93799.76),(72 93758.875),(73 93606.91),(74 95982.74),(75 96771),(76 95390.21),(77 96423.766),(78 95803.984),(79 95442.41),
(1 51122.875),(2 67577.91),(3 72378.98),(4 77574.875),(5 81614.42),(6 83179.31),(7 84676.26),(8 84478.49),(9 86043.99),(10 84979.17),(11 85779.805),(12 87642.055),(13 86767.22),(14 88253.3),(15 87336.47),(16 85905.48),(17 86225.27),(18 89104.5),(19 88982.29),(20 90616.61),(21 89270.45),(22 90157.445),(23 91933.04),(24 93075.33),(25 92751),(26 93761.836),(27 92936.37),(28 93561.39),(29 94390.984),(30 93313.805),(31 92910.72),(32 91836.37),(33 90554.33),(34 89996.58),(35 87052.336),(36 85554.9),(37 87359.65),(38 87755.3),(39 86806.02),(40 87008.21),(41 89041.39),(42 88958.04),(43 88421.18),(44 89450.49),(45 88629.94),(46 90597.13),(47 88942.71),(48 90232.945),(49 89916.48),(50 90286.69),(51 89134.49),(52 88072.164),(53 90203.984),(54 88723.78),(55 87211.45),(56 86910.29),(57 87774.055),(58 89380.6),(59 88553.15),(60 88677.45),(61 89104.164),(62 87852.766),(63 89673.13),(64 86939.72),(65 90920.734),(66 89768.43),(67 90346.64),(68 90457.71),(69 90270.21),(70 89841.95),(71 91069.98),(72 90862.38),(73 89105.57),(74 87586.164),(75 86644.35),(76 88493.125),(77 90922.555),(78 90457.96),(79 87724.375),
(1 48717.09),(2 65146.97),(3 70961.71),(4 74345.87),(5 77381.85),(6 79491.02),(7 80658.125),(8 82311.234),(9 83715.55),(10 82090.42),(11 84492.77),(12 84401.47),(13 87108.875),(14 87576.98),(15 86494.516),(16 85331.766),(17 85989.38),(18 87530.586),(19 89889.15),(20 90169.13),(21 89382.84),(22 88287.55),(23 88037.81),(24 88427.26),(25 87035.62),(26 88045.27),(27 88487.695),(28 87641.03),(29 88545.89),(30 89295.93),(31 86950.27),(32 87454.91),(33 85632.484),(34 83891.516),(35 81865.945),(36 81748.89),(37 81829.67),(38 83333.05),(39 85034.92),(40 85800.414),(41 86395.88),(42 86208.02),(43 87219.43),(44 86712),(45 86754.59),(46 86947.74),(47 86221.19),(48 84873.484),(49 84767.76),(50 85508.125),(51 87016.336),(52 86889.88),(53 88215.99),(54 88212.01),(55 87795.44),(56 87047.414),(57 88204.914),(58 85537.32),(59 84072.78),(60 85658.69),(61 85999.65),(62 84533.38),(63 85158.41),(64 84171.19),(65 86434.805),(66 85587.91),(67 88039.875),(68 88187.016),(69 89559.6),(70 88607.78),(71 86703.52),(72 88741.76),(73 87426.97),(74 85215.305),(75 83667.305),(76 85401.13),(77 88392.1),(78 87705.77),(79 85957.39),
(1 47132.793),(2 62737.844),(3 70080.56),(4 74471.97),(5 75756.06),(6 79302.66),(7 79940.77),(8 80075.3),(9 80382.23),(10 78284.77),(11 79399.805),(12 78461.83),(13 80635.59),(14 81250.79),(15 82551.12),(16 83908.01),(17 82943.56),(18 84460.78),(19 86313.43),(20 85936.25),(21 84924.05),(22 84867.266),(23 83831.96),(24 84433.17),(25 84974.195),(26 85901.13),(27 85269.055),(28 84339.484),(29 83033.336),(30 81995.79),(31 82486.836),(32 82533.89),(33 83459.88),(34 81847.336),(35 81945.11),(36 83132.64),(37 80855.94),(38 82673.24),(39 84695.4),(40 85960.55),(41 86184.93),(42 86855.49),(43 85849.57),(44 85664.65),(45 85312.68),(46 84252),(47 84513.914),(48 84175.9),(49 85460.07),(50 84343.31),(51 83627.95),(52 83315.56),(53 85160.88),(54 86163.09),(55 87530.49),(56 87111.85),(57 86554.24),(58 84562.48),(59 84980.78),(60 83961.48),(61 82766.49),(62 81541.74),(63 80483.734),(64 81868.414),(65 83716.77),(66 83869.555),(67 82144.57),(68 84211.62),(69 84345.85),(70 83507.34),(71 82644.68),(72 84267.65),(73 84188.43),(74 81794.25),(75 82958.22),(76 84253.03),(77 84509.5),(78 84131.79),(79 83589.86),
(1 46170.93),(2 61462.223),(3 66353.62),(4 71530.92),(5 73913.95),(6 77365.836),(7 78121.19),(8 77428.72),(9 77089.555),(10 76653.77),(11 77913.6),(12 78631.89),(13 80232.76),(14 82021.78),(15 84028.43),(16 83841.18),(17 82508.78),(18 84182.125),(19 84906.234),(20 83852.06),(21 83333.68),(22 81820.016),(23 80740.26),(24 81393.555),(25 81460.41),(26 80958.14),(27 81048.016),(28 78237.26),(29 77145.125),(30 79297.95),(31 81333.555),(32 79343.54),(33 79685.05),(34 79999.01),(35 78603.08),(36 79625.67),(37 79380.27),(38 79425.58),(39 81080.34),(40 82054.38),(41 80452.9),(42 80711.54),(43 80721.82),(44 81123.42),(45 80309.9),(46 80812.086),(47 80897.31),(48 81392.28),(49 81852.07),(50 82556.766),(51 81415.734),(52 79013.234),(53 78865.14),(54 79482.945),(55 81680.58),(56 81416.26),(57 82068.93),(58 82692.836),(59 81119.75),(60 81740.06),(61 80090.125),(62 80012.586),(63 79618.11),(64 80169.64),(65 82679.234),(66 82066.36),(67 81741.414),(68 82327.37),(69 83473.95),(70 82675.97),(71 79918.26),(72 80488.516),(73 80620.34),(74 80967.88),(75 82053.97),(76 82735.555),(77 82178.26),(78 84053.445),(79 81115.625),
(1 41933.234),(2 55622.05),(3 60160.637),(4 65665.164),(5 68191.93),(6 69533.86),(7 69863.83),(8 70047.03),(9 70598.21),(10 70952.27),(11 72976.13),(12 73236.055),(13 71701.57),(14 72654.03),(15 73751.53),(16 74865.88),(17 74600.305),(18 75277.555),(19 74525.34),(20 74557.766),(21 75473.93),(22 73327.11),(23 73675.37),(24 75280.24),(25 76463.625),(26 76705.47),(27 75559.766),(28 76530.81),(29 76815.5),(30 76286.164),(31 77706.016),(32 76870.74),(33 74767.58),(34 77918.77),(35 77632.45),(36 78411.54),(37 78563.1),(38 78493.01),(39 77949.09),(40 78364.91),(41 77269.3),(42 76308.51),(43 77467.36),(44 77539.15),(45 75810.76),(46 76394.3),(47 77028.5),(48 75657.9),(49 74486.46),(50 76013.7),(51 73939.234),(52 71363.72),(53 73295.89),(54 73390.914),(55 74584.57),(56 76188.14),(57 75829.89),(58 75062.516),(59 76253.25),(60 74278.836),(61 73425.38),(62 74002.5),(63 73957.484),(64 72773.58),(65 74437.17),(66 73820.086),(67 74033.78),(68 74624.12),(69 74759.09),(70 74974.59),(71 76456.73),(72 76041.59),(73 75727.63),(74 74885.81),(75 76363.93),(76 77123.59),(77 76540.49),(78 77359.43),(79 77297.26),
(1 42339.438),(2 55346.574),(3 58187.406),(4 65735.54),(5 67869.19),(6 66833.35),(7 69567.234),(8 71322.03),(9 70468.164),(10 72489.086),(11 72938.89),(12 72963.58),(13 73327.4),(14 73863.914),(15 73786.414),(16 74249.74),(17 74248.695),(18 73877.61),(19 75037.78),(20 74551.484),(21 74498.65),(22 73586.1),(23 72547.53),(24 73230.28),(25 73796.32),(26 73891.9),(27 73743.766),(28 74911.984),(29 75150.55),(30 75818.15),(31 76152.336),(32 75917.06),(33 74387.43),(34 74053.4),(35 73265.195),(36 74466.29),(37 74325.26),(38 75065.625),(39 73895),(40 73685.87),(41 71867.65),(42 71747.01),(43 72319.38),(44 71049.99),(45 71659.11),(46 73275.45),(47 73105.4),(48 72171.15),(49 73432.21),(50 75183.26),(51 73961.484),(52 73430.98),(53 75963.555),(54 75078.44),(55 74284.15),(56 74892.46),(57 74302.99),(58 74066.46),(59 75490.99),(60 74904.45),(61 76013.77),(62 74438.125),(63 75201.93),(64 76182.94),(65 77430.97),(66 75962.125),(67 76343.9),(68 76655.08),(69 76074.84),(70 73584.305),(71 74241.66),(72 74096.555),(73 74274.61),(74 75541.984),(75 75103.65),(76 76591.56),(77 75512.35),(78 75182.5),(79 76889.39),
