1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11376.867),(2 28079.172),(3 56472),(4 85299.68),(5 116210.01),(6 139714.64),(7 167494.48),(8 191225.92),(9 218667.75),(10 240342.42),(11 266153.4),(12 281354.1),(13 298776.4),(14 306820.1),(15 320425.75),(16 329667.34),(17 340800.34),(18 350834.97),(19 362642.34),(20 375368.6),(21 389878.9),(22 413684.16),(23 436875.53),(24 462768.4),(25 499585.28),(26 537118.2),(27 580913.2),(28 631932.94),(29 687568.2),(30 744389.44),(31 806020.94),(32 884477.5),(33 968706.3),(34 1055008.1),(35 1138207.6),(36 1223337.3),(37 1307221.5),(38 1391570),(39 1465005.5),(40 1531325.9),(41 1596453.1),(42 1655114.5),(43 1704234),(44 1741203.1),(45 1767597.6),(46 1784713.6),(47 1801920),(48 1817938),(49 1837209),(50 1844270.1),(51 1863112.4),(52 1871863.6),(53 1881275),(54 1872287.1),(55 1856789.9),(56 1842739),(57 1824072.5),(58 1810652.5),(59 1784267),(60 1765340.5),(61 1755196.6),(62 1758525.4),(63 1764823.6),(64 1769914),(65 1785064),(66 1791060),(67 1799189.6),(68 1808847.1),(69 1816664),(70 1828674.9),(71 1845216.4),(72 1854117.4),(73 1890347),(74 1918453.4),(75 1959969),(76 2009025.4),(77 2075282.6),(78 2136037.3),(79 2184034.8),
(1 3060.163),(2 7606.198),(3 10551.443),(4 11475.937),(5 11633.601),(6 11896.764),(7 12336.878),(8 12722.876),(9 12915.809),(10 13098.392),(11 13292.587),(12 13308.598),(13 13178.238),(14 13112.724),(15 13204.738),(16 13316.852),(17 13277.059),(18 13340.526),(19 13614.955),(20 13912.561),(21 14108.087),(22 14177.869),(23 14313.648),(24 14553.246),(25 14787.269),(26 14795.168),(27 14911.706),(28 15021.814),(29 14958.848),(30 14916.907),(31 14973.683),(32 15206.977),(33 15172.974),(34 15057.294),(35 14776.8),(36 14740.656),(37 14921.161),(38 15106.286),(39 14946.32),(40 14911.523),(41 15017.566),(42 15013.284),(43 14931.134),(44 14804.743),(45 14650.992),(46 14757.471),(47 14953.825),(48 15053.109),(49 15053.919),(50 15004.664),(51 14938.056),(52 14983.393),(53 14835.032),(54 14814.796),(55 14971.866),(56 15134.899),(57 15284.186),(58 15373.85),(59 15397.268),(60 15495.452),(61 15430.415),(62 15406.955),(63 15633.428),(64 15754.038),(65 15861.746),(66 15895.462),(67 15791.844),(68 15669.695),(69 15612.331),(70 15653.735),(71 15782.486),(72 16101.292),(73 16319.717),(74 16297.616),(75 16270.034),(76 16215.5),(77 16254.064),(78 16366.07),(79 16364.876),
(1 3066.0315),(2 7675.1914),(3 10617.636),(4 11574.211),(5 12015.573),(6 12507.376),(7 13015.315),(8 13354.688),(9 13403.6875),(10 13336.372),(11 13199.931),(12 13014.974),(13 13083.832),(14 13795.179),(15 14338.695),(16 14383.479),(17 14242.395),(18 14177.791),(19 14184.033),(20 14129.321),(21 14061.508),(22 14070.514),(23 14240.917),(24 14400.246),(25 14402.934),(26 14310.67),(27 14454.207),(28 14498.152),(29 14222.04),(30 14013.685),(31 14273.162),(32 14752.417),(33 15013.444),(34 15165.003),(35 14888.163),(36 14730.592),(37 14573.086),(38 14608.775),(39 14677.398),(40 14744.703),(41 14997.718),(42 15291.577),(43 15449.734),(44 15370.747),(45 15334.511),(46 15357.709),(47 15202.075),(48 14975.464),(49 14732.278),(50 15038.322),(51 15480.174),(52 15389.151),(53 15220.728),(54 15084.612),(55 15137.139),(56 15582.537),(57 15738.965),(58 15695.929),(59 15435.546),(60 15258.757),(61 15034.457),(62 14910.334),(63 14826.323),(64 14813.061),(65 15074.168),(66 15014.595),(67 14943.658),(68 14930.311),(69 15004.872),(70 15154.134),(71 15588.521),(72 15940.746),(73 15867.115),(74 15850.291),(75 15756.738),(76 15830.478),(77 15954.635),(78 16001.679),(79 15856.025),
(1 3152.7314),(2 7813.7227),(3 10757.199),(4 11743.072),(5 12064.649),(6 12336.8545),(7 12469.727),(8 12594.444),(9 12632.122),(10 12753.066),(11 12794.282),(12 12691.503),(13 12782.216),(14 13199.029),(15 13389.337),(16 13337.476),(17 13373.445),(18 13345.02),(19 13246.429),(20 13143.416),(21 13018.483),(22 13046.37),(23 13293.589),(24 13782.183),(25 14218.411),(26 14561.224),(27 14510.893),(28 14595.632),(29 14685.621),(30 14569.654),(31 14467.034),(32 14546.477),(33 14751.938),(34 14964.295),(35 15136.328),(36 15277.812),(37 15212.401),(38 15047.385),(39 15047.55),(40 14980.863),(41 15068.773),(42 15139.393),(43 15153.347),(44 15201.591),(45 15177.795),(46 15114.817),(47 14805.266),(48 14580.907),(49 14495.435),(50 14603.099),(51 14863.696),(52 14951.122),(53 14845.495),(54 14827.016),(55 14951.178),(56 14756.038),(57 14543.074),(58 14570.508),(59 14745.44),(60 14773.874),(61 14639.445),(62 14675.88),(63 14790.24),(64 14857.871),(65 15020.128),(66 15082.517),(67 15218.727),(68 15330.424),(69 15054.571),(70 14833.108),(71 14904.996),(72 15250.005),(73 15126.92),(74 15218.725),(75 15508.324),(76 15596.116),(77 15603.901),(78 15600.088),(79 15398.233),
(1 2975.0051),(2 7375.9565),(3 10036.717),(4 10917.849),(5 11296.512),(6 11671.802),(7 11887.587),(8 12011.718),(9 12158.704),(10 12332.725),(11 12463.912),(12 12634.883),(13 12718.78),(14 12753.739),(15 12639.198),(16 12682.624),(17 12832.368),(18 13154.174),(19 13295.408),(20 13150.177),(21 13201.718),(22 13516.744),(23 13805.067),(24 14046.862),(25 14134.924),(26 14196.908),(27 14056.798),(28 13774.639),(29 13334.216),(30 13009.157),(31 12889.323),(32 13190.649),(33 13287.942),(34 13278.544),(35 13185.218),(36 13249.424),(37 13399.822),(38 13495.366),(39 13550.022),(40 13450.546),(41 13568.882),(42 13730.988),(43 13856.632),(44 14114.041),(45 14095.186),(46 13994.403),(47 13963.382),(48 14370.238),(49 14428.777),(50 14208.301),(51 14178.351),(52 14095.216),(53 13984.048),(54 13954.039),(55 14080.372),(56 14194.401),(57 14308.857),(58 14445.954),(59 14575.415),(60 14530.537),(61 14348.058),(62 14295.2295),(63 14290.831),(64 14249.7295),(65 14143.884),(66 13792.851),(67 13953.975),(68 14506.84),(69 14749.998),(70 14901.928),(71 14888.162),(72 14916.429),(73 14700.825),(74 14636.111),(75 14693.536),(76 14778.149),(77 14658.647),(78 14394.939),(79 14147.454),
(1 3001.3328),(2 7460.0303),(3 10150.062),(4 11146.952),(5 11553.182),(6 11705.065),(7 11826.348),(8 11976.678),(9 12138.917),(10 12354.062),(11 12344.124),(12 12429.303),(13 12560.007),(14 12775.596),(15 12712.292),(16 12445.105),(17 12617.837),(18 12985.033),(19 13108.286),(20 13150.422),(21 13115.033),(22 13213.758),(23 13382.128),(24 13263.456),(25 13275.951),(26 13523.082),(27 13729.395),(28 13817.725),(29 13791.348),(30 13652.736),(31 13497.017),(32 13600.618),(33 13779.607),(34 13901.279),(35 13859.146),(36 13767.278),(37 13639.635),(38 13688.384),(39 14002.027),(40 14260.655),(41 14260.644),(42 13999.762),(43 14167.13),(44 14516.232),(45 14578.218),(46 14505.311),(47 14421.516),(48 14529.79),(49 14502.753),(50 14415.857),(51 14407.839),(52 14358.716),(53 14219.836),(54 14359.827),(55 14683.078),(56 15049.921),(57 15234.452),(58 15159.61),(59 15055.716),(60 14886.773),(61 14832.271),(62 14697.881),(63 14644.904),(64 14696.257),(65 14760.975),(66 14711.234),(67 14602.62),(68 14616.25),(69 14818.738),(70 15059.738),(71 15103.655),(72 14929.603),(73 14559.311),(74 14312.512),(75 14407.577),(76 14784.072),(77 14906.503),(78 14899.585),(79 14671.738),
(1 2960.9707),(2 7257.5024),(3 9965.249),(4 10823.899),(5 11114.061),(6 11395.123),(7 11562.7705),(8 11961.327),(9 12449.289),(10 12740.101),(11 12541.66),(12 12482.546),(13 12695.857),(14 13203.589),(15 13211.07),(16 12903.607),(17 12839.004),(18 12940.335),(19 12926.594),(20 12885.523),(21 12718.962),(22 12649.859),(23 12777.778),(24 12765.537),(25 12647.317),(26 12920.448),(27 12986.197),(28 12819.412),(29 12849.67),(30 12864.902),(31 12798.629),(32 12885.647),(33 13069.204),(34 12933.959),(35 12667.031),(36 12617.566),(37 12671.528),(38 12772.732),(39 12921.219),(40 12794.622),(41 12788.058),(42 12813.577),(43 13125.317),(44 13388.57),(45 13470.566),(46 13377.853),(47 13240.264),(48 13140.179),(49 13140.719),(50 12988.48),(51 13038.377),(52 13232.015),(53 13026.047),(54 12634.895),(55 12487.458),(56 12743.713),(57 13236.781),(58 13473.567),(59 13394.213),(60 13167.27),(61 13196.351),(62 13386.84),(63 13377.457),(64 13253.511),(65 13091.693),(66 13177.712),(67 13046.232),(68 12919.209),(69 13127.166),(70 13514.519),(71 13847.781),(72 13697.371),(73 13299.81),(74 13351.519),(75 13931.449),(76 14575.466),(77 14644.261),(78 14324.569),(79 13745.203),
(1 2813.8567),(2 6888.3296),(3 9429.545),(4 10264.232),(5 10623.943),(6 10970.644),(7 11059.367),(8 11224.511),(9 11269.842),(10 11289.479),(11 11355.963),(12 11903.98),(13 12172.671),(14 12299.313),(15 12264.697),(16 12119.046),(17 12290.859),(18 12431.283),(19 12364.617),(20 12329.224),(21 12501.973),(22 12662.516),(23 12855.622),(24 13090.273),(25 12911.011),(26 12980.363),(27 13166.052),(28 13124.291),(29 13073.323),(30 13042.806),(31 13090.338),(32 13295.904),(33 13477.235),(34 13135.78),(35 12500.773),(36 12206.005),(37 12273.103),(38 12341.561),(39 12489.965),(40 12449.549),(41 12425.289),(42 12419.951),(43 12566.539),(44 12670.41),(45 12797.716),(46 12783.75),(47 13056.832),(48 12837.837),(49 12839.773),(50 12828.174),(51 12745.523),(52 13013.088),(53 13237.755),(54 13334.175),(55 13573.817),(56 13723.595),(57 13483.065),(58 12920.205),(59 12560.701),(60 12644.958),(61 12965.833),(62 13176.432),(63 13051.951),(64 13071.711),(65 12915.519),(66 12826.354),(67 12861.366),(68 12748.923),(69 12810.683),(70 13099.112),(71 13438.383),(72 13420.163),(73 13051.296),(74 13093.352),(75 13768.666),(76 14201.15),(77 14279.658),(78 14391.029),(79 14630.591),
(1 2717.4182),(2 6567.231),(3 8832.028),(4 9625.568),(5 9990.01),(6 10150.442),(7 10309.69),(8 10540.137),(9 10603.54),(10 10635.82),(11 10573.053),(12 10669.029),(13 10691.891),(14 10956.572),(15 10906.962),(16 10855.109),(17 11200.485),(18 11550.24),(19 11569.578),(20 11402.469),(21 11402.099),(22 11397.701),(23 11229.23),(24 11258.974),(25 11301.384),(26 11352.148),(27 11397.22),(28 11369.599),(29 11265.621),(30 11390.509),(31 11683.323),(32 11900.638),(33 12285.549),(34 12267.962),(35 12023.269),(36 11861.459),(37 11808.736),(38 11974.001),(39 12416.322),(40 12621.509),(41 12658.009),(42 12522.991),(43 12475.137),(44 12670.2705),(45 12770.148),(46 12610.246),(47 12487.442),(48 12617.425),(49 13018.07),(50 13078.388),(51 12825.129),(52 12488.416),(53 12521.979),(54 12824.153),(55 12991.267),(56 13089.303),(57 12941.634),(58 12966.124),(59 12948.961),(60 12951.177),(61 12916.185),(62 12925.035),(63 12800.447),(64 12775.499),(65 12720.544),(66 12535.498),(67 12419.356),(68 12493.127),(69 12452.146),(70 12608.165),(71 12683.6455),(72 12773.57),(73 12957.264),(74 13037.108),(75 13118.644),(76 13180.354),(77 13188.3125),(78 13360.7295),(79 13569.457),
(1 2714.732),(2 6640.501),(3 9139.917),(4 9873.123),(5 10216.895),(6 10569.31),(7 10843.254),(8 10887.67),(9 10919.42),(10 10891.39),(11 10870.6875),(12 10944.577),(13 11186.841),(14 11486.599),(15 11504.611),(16 11511.826),(17 11609.322),(18 11677.183),(19 11726.029),(20 11591.01),(21 11559.037),(22 11753.973),(23 11743.898),(24 11798.306),(25 12072.988),(26 12339.608),(27 12357.864),(28 12402.444),(29 12215.005),(30 12208.107),(31 12638.682),(32 13140.64),(33 13442.092),(34 13561.33),(35 13448.738),(36 13130.755),(37 13007.562),(38 13097.956),(39 13257.285),(40 13409.762),(41 13370.264),(42 13136.774),(43 12908.425),(44 13047.812),(45 13070.294),(46 12763.99),(47 12507.966),(48 12434.261),(49 12283.257),(50 12126.751),(51 12099.643),(52 12124.031),(53 12311.771),(54 12552.087),(55 12644.754),(56 12864.633),(57 13088.3),(58 13214.423),(59 13228.341),(60 13319.918),(61 13287.592),(62 13213.884),(63 12909.818),(64 12660.099),(65 12419.801),(66 12544.114),(67 12764.326),(68 12998.41),(69 13194.645),(70 13572.69),(71 13687.379),(72 13728.2),(73 13653.256),(74 13502.025),(75 13403.532),(76 13163.286),(77 12972.602),(78 13017.39),(79 13071.295),
(1 2700.0085),(2 6631.3594),(3 8931.439),(4 9628.128),(5 9716.59),(6 9929.733),(7 10212.895),(8 10322.802),(9 10131.204),(10 10023.262),(11 10116.401),(12 10321.876),(13 10564.2705),(14 10730.535),(15 10901.464),(16 10891.399),(17 11085.656),(18 11316.913),(19 11532.719),(20 11494.971),(21 11251.075),(22 10996.08),(23 10807.941),(24 10719.219),(25 10867.16),(26 11106.432),(27 11306.078),(28 11290.764),(29 11174.811),(30 11096.819),(31 11331.45),(32 11661.585),(33 11679.563),(34 11554.541),(35 11226.677),(36 11039.927),(37 11156.85),(38 11492.19),(39 11815.591),(40 11967.319),(41 12033.876),(42 12165.193),(43 12162.865),(44 12121.386),(45 12152.403),(46 11933.509),(47 11679.414),(48 11670.993),(49 11604.493),(50 11326.788),(51 11153.469),(52 11022.206),(53 11151.014),(54 11450.27),(55 11602.944),(56 11703.995),(57 11788.129),(58 11833.749),(59 11727.695),(60 11980.698),(61 12002.865),(62 11943.059),(63 11767.344),(64 11648.051),(65 11637.561),(66 11819.626),(67 12016.988),(68 12319.774),(69 12325.419),(70 12394.86),(71 12351.526),(72 12488.756),(73 12700.13),(74 12526.6),(75 12245.381),(76 11883.386),(77 11776.214),(78 12044.144),(79 12221.534),
(1 2662.883),(2 6460.3),(3 8795.857),(4 9579.993),(5 9587.151),(6 9560.263),(7 9790.678),(8 9993.331),(9 10108.907),(10 10127.796),(11 10297.571),(12 10662.79),(13 10944.611),(14 11038.2),(15 10974.071),(16 10809.436),(17 10863.21),(18 10963.217),(19 11209.245),(20 11390.778),(21 11354.801),(22 11310.322),(23 11441.156),(24 11611.628),(25 11646.145),(26 11573.851),(27 11516.862),(28 11502.248),(29 11549.969),(30 11667.798),(31 11845.784),(32 12310.255),(33 12430.027),(34 12027.913),(35 11392.294),(36 11120.629),(37 11296.623),(38 11519.75),(39 11582.987),(40 11584.394),(41 11683.849),(42 11873.008),(43 11921.064),(44 11635.352),(45 11585.327),(46 11408.641),(47 11220.656),(48 11300.595),(49 11399.389),(50 11345.442),(51 11215.854),(52 11198.549),(53 11344.624),(54 11719.481),(55 12007.344),(56 12058.626),(57 11830.466),(58 11716.074),(59 11637.327),(60 11955.163),(61 12239.56),(62 12360.86),(63 12474.576),(64 12242.315),(65 11998.506),(66 11984.905),(67 12097.754),(68 12217.683),(69 12135.484),(70 12005.223),(71 12021.6),(72 12337.992),(73 12404.159),(74 12378.994),(75 12058.235),(76 11771.279),(77 11646.428),(78 11965.435),(79 12270.928),
(1 2544.1057),(2 6117.4546),(3 8191.2656),(4 8823.892),(5 8988.303),(6 9233.305),(7 9642.652),(8 9947.181),(9 9971.576),(10 9995.5205),(11 9959.077),(12 10108.419),(13 10279.019),(14 10344.713),(15 10395.036),(16 10363.353),(17 10477.75),(18 10400.085),(19 10602.324),(20 10972.254),(21 10981.156),(22 10865.98),(23 10942.037),(24 11095.886),(25 11313.277),(26 11224.591),(27 11054.684),(28 11047.214),(29 11129.503),(30 11254.796),(31 11357.397),(32 11472.286),(33 11358.149),(34 11256.161),(35 11040.504),(36 10775.899),(37 10626.571),(38 10565.377),(39 10572.964),(40 10782.973),(41 11057.434),(42 11210.126),(43 11144.382),(44 11044.811),(45 11098.7705),(46 11095.174),(47 11149.712),(48 11139.211),(49 10996.632),(50 10826.73),(51 10804.3955),(52 10789.916),(53 10726.426),(54 10962.933),(55 11209.481),(56 11272.386),(57 11028.387),(58 10782.782),(59 10696.196),(60 10826.688),(61 11071.168),(62 11080.041),(63 11203.032),(64 11043.819),(65 10902.138),(66 10919.531),(67 11164.206),(68 11076.372),(69 10821.094),(70 10865.126),(71 10894.359),(72 11142.411),(73 11495.58),(74 11550.3955),(75 11343.435),(76 11206.596),(77 11342.415),(78 11434.628),(79 11420.925),
(1 2653.7034),(2 6386.9272),(3 8498.426),(4 9161.765),(5 9429.139),(6 9674.572),(7 9970.594),(8 10129.547),(9 10070.845),(10 10035.641),(11 9873.6045),(12 9896.188),(13 9985.261),(14 10029.974),(15 10146.345),(16 10245.8125),(17 10461.012),(18 10492.592),(19 10472.372),(20 10471.248),(21 10417.803),(22 10363.164),(23 10379.575),(24 10460.365),(25 10662.396),(26 10564.284),(27 10529.527),(28 10581.22),(29 10682.448),(30 10739.297),(31 10749.3125),(32 10845.36),(33 10883.921),(34 10830.238),(35 10586.474),(36 10344.023),(37 10283.974),(38 10354.664),(39 10521.509),(40 10753.134),(41 10951.466),(42 10843.104),(43 10711.88),(44 10755.239),(45 10748.487),(46 10687.566),(47 10716.594),(48 10628.263),(49 10699.782),(50 10836.273),(51 10948.818),(52 10992.328),(53 10917.666),(54 11027.357),(55 11084.492),(56 11057.884),(57 10911.467),(58 10704.72),(59 10686.058),(60 10819.509),(61 11098.773),(62 11120.289),(63 11234.204),(64 11190.078),(65 11055.481),(66 10903.97),(67 11106.127),(68 11189.044),(69 11062.685),(70 11101.483),(71 10907.653),(72 10907.63),(73 11067.898),(74 11148.034),(75 11205.896),(76 11258.477),(77 11158.556),(78 11255.328),(79 11335.615),
(1 2475.4631),(2 5863.821),(3 7692.874),(4 8145.243),(5 8190.7666),(6 8319.752),(7 8627.072),(8 8811.843),(9 8928.859),(10 9071.271),(11 9092.07),(12 9219.709),(13 9522.869),(14 9532.479),(15 9495.333),(16 9526.68),(17 9737.68),(18 9838.534),(19 9763.717),(20 9755.004),(21 9888.736),(22 9908.544),(23 9973.285),(24 9974.99),(25 10011.045),(26 9997.791),(27 10064.768),(28 10325.523),(29 10599.416),(30 10593.892),(31 10540.188),(32 10368.501),(33 10393.081),(34 10429.34),(35 10366.986),(36 10311.233),(37 10339.811),(38 10453.388),(39 10390.893),(40 10363.788),(41 10420.405),(42 10279.178),(43 10018.017),(44 10035.032),(45 10160.353),(46 10119.724),(47 10115.57),(48 10254.38),(49 10320.717),(50 10258.319),(51 10158.24),(52 10147.29),(53 10154.803),(54 10208.059),(55 10362.943),(56 10423.272),(57 10285.153),(58 10086.871),(59 9800.29),(60 9863.913),(61 10103.738),(62 10314.05),(63 10551.555),(64 10557.732),(65 10668.949),(66 10541.276),(67 10432.089),(68 10416.752),(69 10470.841),(70 10801.762),(71 10968.535),(72 10876.919),(73 10686.973),(74 10588.764),(75 10788.172),(76 10937.552),(77 10793.635),(78 10576.763),(79 10562.698),
(1 2470.8088),(2 5926.979),(3 7751.156),(4 8024.9854),(5 7959.989),(6 8035.1846),(7 8250.037),(8 8464.263),(9 8536.367),(10 8613.226),(11 8707.77),(12 8814.032),(13 8974.695),(14 9009.367),(15 8957.867),(16 8999.426),(17 9226.387),(18 9357.001),(19 9351.931),(20 9406.453),(21 9564.918),(22 9621.954),(23 9724.91),(24 9955.914),(25 10114.867),(26 10002.866),(27 9763.988),(28 9682.759),(29 9827.129),(30 10043.815),(31 10054.454),(32 9956.141),(33 10010.176),(34 9949.407),(35 9739.18),(36 9757.973),(37 9901.182),(38 10153.242),(39 10210.104),(40 10242.931),(41 10222.551),(42 10224.518),(43 10193.027),(44 10045.637),(45 9827.661),(46 9720.655),(47 9805.058),(48 9940.123),(49 9949.709),(50 10090.1045),(51 10172.857),(52 10154.569),(53 10132.345),(54 10282.607),(55 10458.434),(56 10526.601),(57 10371.989),(58 10240.692),(59 10064.996),(60 10081.935),(61 10154.02),(62 10182.487),(63 10255.734),(64 10161.975),(65 10350.558),(66 10560.882),(67 10616.907),(68 10563.15),(69 10524.963),(70 10592.35),(71 10748.374),(72 10828.096),(73 10733.56),(74 10639.694),(75 10645.953),(76 10801.961),(77 10856.448),(78 10765.916),(79 10714.616),
(1 2426.1294),(2 5678.7505),(3 7521.9355),(4 7922.6465),(5 7999.445),(6 8086.5493),(7 8211.511),(8 8483.689),(9 8541.729),(10 8586.164),(11 8590.349),(12 8722.91),(13 9076.765),(14 9173.782),(15 9126.232),(16 8939.162),(17 9001.46),(18 9089.549),(19 9056.127),(20 9119.954),(21 9275.478),(22 9328.166),(23 9154.333),(24 9147.554),(25 9327.665),(26 9417.908),(27 9434.429),(28 9555.61),(29 9533.497),(30 9544.404),(31 9598.384),(32 9806.31),(33 9820.278),(34 9582.444),(35 9366.325),(36 9414.235),(37 9607.552),(38 9842.335),(39 9923.036),(40 9917.188),(41 9973.096),(42 9955.574),(43 9793.697),(44 9668.726),(45 9665.92),(46 9643.533),(47 9636.469),(48 9577.486),(49 9478.459),(50 9497.854),(51 9603.3125),(52 9724.592),(53 9764.907),(54 9857.803),(55 9901.283),(56 9682.446),(57 9553.274),(58 9564.865),(59 9745.813),(60 9762.935),(61 9459.305),(62 9452.258),(63 9662.734),(64 9801.408),(65 9914.937),(66 9861.67),(67 9902.265),(68 10065.017),(69 10440.489),(70 10625.692),(71 10417.978),(72 10364.517),(73 10254.476),(74 10338.5625),(75 10521.447),(76 10615.439),(77 10561.509),(78 10386.487),(79 10302.473),
(1 2386.2068),(2 5593.384),(3 7327.8),(4 7817.8066),(5 8068.2603),(6 8181.7793),(7 8224.618),(8 8197.564),(9 8154.6426),(10 8229.999),(11 8329.241),(12 8438.913),(13 8570.796),(14 8648.509),(15 8584.151),(16 8622.092),(17 8752.277),(18 8600.249),(19 8413.372),(20 8437.085),(21 8520.908),(22 8715.831),(23 8761.127),(24 8833.594),(25 9021.857),(26 9106.361),(27 9142.996),(28 9077.996),(29 9020.708),(30 8932.522),(31 8981.623),(32 9266.906),(33 9419.341),(34 9508.866),(35 9561.617),(36 9701.07),(37 9756.743),(38 9652.234),(39 9509.866),(40 9516.463),(41 9563.785),(42 9572.311),(43 9461.78),(44 9362.004),(45 9304.039),(46 9220.625),(47 9190.677),(48 9307.661),(49 9520.35),(50 9565.569),(51 9581.258),(52 9627.668),(53 9605.431),(54 9599.638),(55 9476.957),(56 9406.473),(57 9499.626),(58 9637.559),(59 9798.917),(60 9684.955),(61 9266.599),(62 9137.685),(63 9308.989),(64 9390.445),(65 9429.227),(66 9265.891),(67 9276.361),(68 9532.136),(69 9845.587),(70 9965.0625),(71 9870.228),(72 9596.962),(73 9519.837),(74 9727.759),(75 9917.964),(76 9946.981),(77 9892.897),(78 9722.63),(79 9644.817),
