1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1328.5829),(2 1981.528),(3 2472.093),(4 2790.3354),(5 2974.38),(6 3188.976),(7 3346.4436),(8 3483.7375),(9 3650.333),(10 3811.3372),(11 3843.7412),(12 3938.6545),(13 3962.8706),(14 3960.034),(15 4020.5903),(16 4081.0044),(17 4058.839),(18 4128.601),(19 4143.1714),(20 4150.7646),(21 4185.8745),(22 4254.785),(23 4190.2124),(24 4191.8936),(25 4278.6304),(26 4285.0806),(27 4296.819),(28 4318.994),(29 4281.3076),(30 4297.395),(31 4367.481),(32 4308.674),(33 4312.8438),(34 4360.7505),(35 4315.845),(36 4312.4287),(37 4349.412),(38 4302.4893),(39 4327.8613),(40 4367.258),(41 4367.5796),(42 4454.1797),(43 4407.4463),(44 4460.613),(45 4571.758),(46 4538.885),(47 4593.134),(48 4637.4507),(49 4599.7065),(50 4616.553),(51 4711.1133),(52 4602.875),(53 4656.3174),(54 4654.344),(55 4614.834),(56 4651.685),(57 4584.091),(58 4544.1333),(59 4601.626),(60 4533.0146),(61 4492.0996),(62 4545.749),(63 4452.4624),(64 4444.6304),(65 4490.253),(66 4442.4663),(67 4466.548),(68 4408.8022),(69 4455.5215),(70 4442.1807),(71 4521.2095),(72 4543.4766),(73 4537.7603),(74 4525.6045),(75 4590.668),(76 4547.637),(77 4568.5957),(78 4671.4966),(79 4654.2227),
(1 1277.69),(2 1908.2726),(3 2403.4485),(4 2690.507),(5 2884.0996),(6 3065.5994),(7 3268.1982),(8 3382.8254),(9 3501.2698),(10 3615.9724),(11 3656.7163),(12 3740.1943),(13 3814.498),(14 3772.8586),(15 3794.0574),(16 3857.7593),(17 3842.9695),(18 3902.0732),(19 3917.2725),(20 3865.4),(21 3889.899),(22 3971.3328),(23 3957.6958),(24 3971.3086),(25 4009.0525),(26 3992.8855),(27 4014.6926),(28 4049.495),(29 4039.7542),(30 4027.9932),(31 4039.7783),(32 3970.5276),(33 3975.2139),(34 4042.9067),(35 4036.212),(36 4002.997),(37 4039.209),(38 4043.039),(39 4005.8052),(40 4021.007),(41 3987.4343),(42 4043.0269),(43 4005.331),(44 4075.904),(45 4169.042),(46 4144.282),(47 4153.305),(48 4199.262),(49 4192.3315),(50 4164.29),(51 4242.118),(52 4212.716),(53 4278.7544),(54 4265.2847),(55 4231.16),(56 4270.0635),(57 4204.239),(58 4198.187),(59 4281.5),(60 4219.8613),(61 4197.12),(62 4258.5166),(63 4191.8174),(64 4148.9956),(65 4230.2114),(66 4187.8267),(67 4216.782),(68 4189.912),(69 4212.472),(70 4182.876),(71 4223.2305),(72 4271.534),(73 4312.85),(74 4305.904),(75 4343.352),(76 4348.2256),(77 4345.6655),(78 4418.477),(79 4403.6113),
(1 1297.7579),(2 1966.9574),(3 2472.7817),(4 2777.97),(5 2967.3345),(6 3169.7446),(7 3395.7358),(8 3483.5203),(9 3580.2932),(10 3725.545),(11 3750.0889),(12 3779.7585),(13 3812.1174),(14 3798.0933),(15 3853.6243),(16 3920.7327),(17 3867.9773),(18 3901.859),(19 3909.9648),(20 3886.8105),(21 3899.4968),(22 3938.2366),(23 3896.1487),(24 3947.9858),(25 4057.7385),(26 4002.4387),(27 3998.5361),(28 4071.074),(29 4095.506),(30 4109.614),(31 4141.007),(32 4112.294),(33 4135.2153),(34 4181.3413),(35 4179.7515),(36 4195.317),(37 4213.4478),(38 4175.5796),(39 4179.541),(40 4220.8115),(41 4182.445),(42 4262.674),(43 4210.449),(44 4213.9463),(45 4259.148),(46 4228.204),(47 4263.172),(48 4335.304),(49 4328.9253),(50 4319.4385),(51 4404.0093),(52 4340.788),(53 4359.5947),(54 4335.33),(55 4414.332),(56 4431.974),(57 4362.5728),(58 4393.091),(59 4475.4507),(60 4420.323),(61 4352.1494),(62 4375.653),(63 4285.517),(64 4234.5313),(65 4241.906),(66 4205.3213),(67 4211.012),(68 4193.9897),(69 4226.8315),(70 4257.142),(71 4327.0996),(72 4386.9336),(73 4412.282),(74 4461.634),(75 4526.496),(76 4506.518),(77 4480.599),(78 4546.0776),(79 4521.8823),
(1 1273.5876),(2 1892.665),(3 2388.242),(4 2694.2253),(5 2864.2246),(6 3066.088),(7 3277.6816),(8 3393.6934),(9 3468.9944),(10 3591.1375),(11 3631.5374),(12 3693.7847),(13 3748.94),(14 3689.4778),(15 3747.1042),(16 3757.0972),(17 3786.2659),(18 3767.6162),(19 3776.5608),(20 3714.6162),(21 3749.3398),(22 3843.8328),(23 3825.2073),(24 3816.8206),(25 3827.802),(26 3828.5313),(27 3862.96),(28 3962.8867),(29 3933.1968),(30 3905.7737),(31 3947.587),(32 3913.2747),(33 3977.6057),(34 4003.873),(35 4002.8645),(36 4021.3232),(37 4068.9646),(38 4025.1555),(39 4093.2375),(40 4152.512),(41 4156.638),(42 4176.207),(43 4085.563),(44 4108.5444),(45 4158.357),(46 4121.1157),(47 4185.5044),(48 4237.0576),(49 4167.28),(50 4151.16),(51 4225.4775),(52 4146.9883),(53 4160.247),(54 4132.4614),(55 4128.152),(56 4143.132),(57 4158.5103),(58 4203.9873),(59 4339.514),(60 4288.486),(61 4267.7837),(62 4282.2285),(63 4233.696),(64 4175.1206),(65 4216.211),(66 4153.751),(67 4163.219),(68 4148.461),(69 4195.219),(70 4181.494),(71 4189.008),(72 4252.5757),(73 4288.4272),(74 4328.2646),(75 4412.8877),(76 4387.5464),(77 4375.534),(78 4460.73),(79 4413.4956),
(1 1279.1908),(2 1928.993),(3 2489.3035),(4 2785.6033),(5 2957.4426),(6 3082.6436),(7 3290.9934),(8 3401.2576),(9 3483.4854),(10 3590.8257),(11 3615.536),(12 3650.5095),(13 3707.0098),(14 3640.6538),(15 3724.4487),(16 3728.6462),(17 3730.463),(18 3698.743),(19 3730.2925),(20 3737.6838),(21 3722.3865),(22 3800.78),(23 3776.8167),(24 3766.9685),(25 3821.3005),(26 3796.6467),(27 3817.8135),(28 3945.0828),(29 3917.687),(30 3906.7751),(31 3932.448),(32 3862.1858),(33 3841.9788),(34 3877.75),(35 3886.853),(36 3877.804),(37 3939.6755),(38 3952.157),(39 4051.9832),(40 4073.2866),(41 4067.102),(42 4099.6245),(43 4059.5232),(44 4090.5742),(45 4180.0835),(46 4142.578),(47 4154.3135),(48 4205.847),(49 4150.1753),(50 4148.9355),(51 4257.474),(52 4185.294),(53 4252.8843),(54 4228.926),(55 4177.357),(56 4206.702),(57 4182.393),(58 4226.805),(59 4319.691),(60 4254.435),(61 4257.622),(62 4339.5063),(63 4280.237),(64 4240.6084),(65 4279.6426),(66 4217.1855),(67 4222.503),(68 4211.398),(69 4212.1655),(70 4225.2427),(71 4207.79),(72 4273.063),(73 4271.1343),(74 4253.891),(75 4290.513),(76 4282.6196),(77 4267.696),(78 4324.714),(79 4330.6323),
(1 1252.761),(2 1870.8508),(3 2329.259),(4 2621.921),(5 2815.8914),(6 3020.7808),(7 3232.1675),(8 3325.8716),(9 3418.1543),(10 3516.119),(11 3522.1858),(12 3533.987),(13 3619.7341),(14 3598.7397),(15 3668.3274),(16 3727.4563),(17 3710.5073),(18 3692.2197),(19 3728.5745),(20 3710.5964),(21 3729.6794),(22 3806.3188),(23 3818.2615),(24 3848.6238),(25 3946.2273),(26 3904.7092),(27 3926.855),(28 3957.7769),(29 3935.3389),(30 3933.1702),(31 3953.505),(32 3904.2766),(33 3907.1443),(34 3947.153),(35 3890.4624),(36 3890.638),(37 3933.636),(38 3926.0806),(39 4001.6064),(40 4029.6777),(41 3997.9814),(42 4051.1946),(43 4018.758),(44 4031.3738),(45 4080.0698),(46 4046.935),(47 4111.594),(48 4166.3125),(49 4129.6865),(50 4151.0396),(51 4206.937),(52 4175.28),(53 4184.3535),(54 4145.623),(55 4123.721),(56 4188.7246),(57 4138.079),(58 4097.222),(59 4157.184),(60 4166.946),(61 4166.3525),(62 4177.2065),(63 4122.985),(64 4107.8286),(65 4132.6255),(66 4069.2322),(67 4105.108),(68 4054.1877),(69 4079.5881),(70 4086.2642),(71 4038.091),(72 4079.9028),(73 4059.7644),(74 4041.0862),(75 4086.3662),(76 4096.5723),(77 4070.3838),(78 4162.734),(79 4158.249),
(1 1227.2843),(2 1823.9854),(3 2325.7954),(4 2620.5046),(5 2806.6106),(6 2973.6184),(7 3191.4187),(8 3310.0308),(9 3438.4368),(10 3516.6716),(11 3520.8945),(12 3516.7546),(13 3594.2473),(14 3577.2651),(15 3621.8853),(16 3700.4993),(17 3712.229),(18 3685.312),(19 3721.173),(20 3657.8276),(21 3685.7002),(22 3757.7896),(23 3730.664),(24 3787.5618),(25 3858.5444),(26 3831.6104),(27 3841.2397),(28 3887.8035),(29 3883.8584),(30 3873.7278),(31 3935.4187),(32 3938.2349),(33 3963.6943),(34 4010.946),(35 4035.9563),(36 4058.8542),(37 4104.2065),(38 4057.8152),(39 4073.0422),(40 4118.5776),(41 4085.007),(42 4126.0435),(43 4092.0457),(44 4097.329),(45 4145.8477),(46 4123.451),(47 4143.404),(48 4167.368),(49 4137.821),(50 4141.57),(51 4205.996),(52 4154.7417),(53 4202.1904),(54 4180.0566),(55 4136.1914),(56 4123.638),(57 4045.2026),(58 4015.7744),(59 4080.5986),(60 4019.7568),(61 4005.687),(62 4031.2397),(63 3996.4897),(64 3991.3535),(65 4034.6619),(66 3992.3655),(67 3975.4683),(68 3939.8132),(69 3955.65),(70 3958.8853),(71 3945.5186),(72 3981.2334),(73 3992.532),(74 3969.7153),(75 4056.293),(76 4019.187),(77 3988.4119),(78 3969.9873),(79 3966.2021),
(1 1204.6888),(2 1810.0083),(3 2269.3662),(4 2517.049),(5 2709.5364),(6 2889.7573),(7 3092.1035),(8 3210.668),(9 3320.4954),(10 3437.005),(11 3463.8293),(12 3455.1375),(13 3514.038),(14 3500.2625),(15 3584.7925),(16 3675.595),(17 3667.3376),(18 3643.4358),(19 3697.5137),(20 3677.396),(21 3732.735),(22 3820.5908),(23 3798.454),(24 3873.4849),(25 3935.269),(26 3872.5217),(27 3873.877),(28 3932.032),(29 3913.27),(30 3905.0718),(31 3954.1892),(32 3937.825),(33 3917.1646),(34 4027.9766),(35 4052.7358),(36 4056.8354),(37 4107.7144),(38 4093.4126),(39 4143.4873),(40 4198.546),(41 4151.7456),(42 4206.1323),(43 4130.4746),(44 4109.59),(45 4153.5127),(46 4088.717),(47 4078.2322),(48 4140.1543),(49 4103.411),(50 4111.189),(51 4191.3936),(52 4153.9297),(53 4242.266),(54 4237.4185),(55 4194.7354),(56 4173.1035),(57 4094.3416),(58 4057.9878),(59 4095.2808),(60 4046.4495),(61 4007.6277),(62 4056.1162),(63 4022.2136),(64 4042.6375),(65 4038.8),(66 4012.746),(67 4049.0818),(68 3981.6074),(69 3985.735),(70 3970.6462),(71 3972.2546),(72 3993.446),(73 3984.2378),(74 3974.9011),(75 4003.86),(76 3994.3687),(77 3984.9387),(78 4029.1409),(79 4011.7344),
(1 1178.7893),(2 1744.0194),(3 2138.3289),(4 2406.0657),(5 2572.959),(6 2712.6682),(7 2865.769),(8 2975.0688),(9 3107.1804),(10 3230.9905),(11 3264.2246),(12 3290.9978),(13 3335.4456),(14 3336.341),(15 3382.6182),(16 3476.9421),(17 3469.7302),(18 3442.9558),(19 3511.2437),(20 3498.5989),(21 3527.0457),(22 3566.155),(23 3555.9958),(24 3556.52),(25 3617.0015),(26 3565.166),(27 3581.789),(28 3626.47),(29 3649.642),(30 3645.017),(31 3697.6133),(32 3663),(33 3658.5647),(34 3694.2554),(35 3697.3572),(36 3684.591),(37 3728.606),(38 3706.259),(39 3719.2402),(40 3688.5562),(41 3662.168),(42 3723.8633),(43 3666.6597),(44 3675.653),(45 3730.116),(46 3688.3108),(47 3679.6064),(48 3763.302),(49 3727.8137),(50 3750.2317),(51 3790.2747),(52 3719.7964),(53 3786.5505),(54 3744.2942),(55 3714.8218),(56 3704.3347),(57 3698.683),(58 3686.0774),(59 3722.2124),(60 3706.841),(61 3731.6204),(62 3810.2842),(63 3773.378),(64 3807.1125),(65 3852.3074),(66 3820.2915),(67 3872.631),(68 3869.7964),(69 3874.349),(70 3854.6672),(71 3858.8135),(72 3889.4685),(73 3860.3584),(74 3877.7432),(75 3961.862),(76 3968.6323),(77 3980.6755),(78 3991.0854),(79 3975.3572),
(1 1196.7761),(2 1736.8998),(3 2151.3057),(4 2420.1357),(5 2575.8835),(6 2704.3926),(7 2879.8508),(8 2964.2095),(9 3047.8967),(10 3170.301),(11 3211.3066),(12 3239.845),(13 3290.4304),(14 3291.1868),(15 3355.3206),(16 3427.9097),(17 3411.3562),(18 3423.9944),(19 3453.8933),(20 3415.665),(21 3416.6868),(22 3483.7327),(23 3439.1357),(24 3450.3176),(25 3484.8022),(26 3442.3867),(27 3490.2847),(28 3516.604),(29 3492.0085),(30 3491),(31 3534.958),(32 3502.9602),(33 3453.062),(34 3479.7415),(35 3470.223),(36 3500.47),(37 3521.45),(38 3500.41),(39 3516.5269),(40 3551.692),(41 3511.28),(42 3535.0762),(43 3518.1477),(44 3564.106),(45 3610.6243),(46 3581.9766),(47 3613.2173),(48 3691.4133),(49 3680.6794),(50 3692.8494),(51 3727.141),(52 3675.7993),(53 3680.1394),(54 3619.6357),(55 3553.7585),(56 3571.6633),(57 3545.9158),(58 3519.6702),(59 3527.0247),(60 3469.567),(61 3467.13),(62 3520.0168),(63 3488.6213),(64 3513.4397),(65 3550.6855),(66 3545.7056),(67 3566.3096),(68 3524.2756),(69 3550.747),(70 3543.3225),(71 3563.9832),(72 3547.7764),(73 3534.4163),(74 3544.9448),(75 3631.5674),(76 3592.8816),(77 3658.0684),(78 3715.4956),(79 3750.3699),
(1 1172.8103),(2 1706.0892),(3 2109.2),(4 2369.2324),(5 2508.8328),(6 2657.8755),(7 2826.847),(8 2910.534),(9 3021.5256),(10 3160.3948),(11 3188.9275),(12 3249.183),(13 3302.55),(14 3246.6404),(15 3322.0083),(16 3365.0474),(17 3355.6926),(18 3318.315),(19 3303.9363),(20 3249.6526),(21 3217.3691),(22 3287.5706),(23 3275.248),(24 3284.4717),(25 3314.712),(26 3295.0127),(27 3350.896),(28 3437.5671),(29 3393.2188),(30 3382.9668),(31 3418.1033),(32 3350.8381),(33 3352.5007),(34 3382.3687),(35 3388.2551),(36 3424.0059),(37 3450.003),(38 3433.6362),(39 3471.5178),(40 3508.3818),(41 3512.8862),(42 3579.8784),(43 3604.1292),(44 3642.4717),(45 3733.135),(46 3706.183),(47 3731.403),(48 3740.1436),(49 3706.8284),(50 3713.2244),(51 3757.3984),(52 3707.6094),(53 3691.288),(54 3628.6116),(55 3592.0344),(56 3596.2917),(57 3564.6577),(58 3549.3977),(59 3575.5444),(60 3498.8738),(61 3481.2742),(62 3518.8035),(63 3489.4817),(64 3499.0376),(65 3506.101),(66 3450.3232),(67 3446.1086),(68 3422.6414),(69 3407.4082),(70 3410.0452),(71 3381.9119),(72 3421.8135),(73 3406.1372),(74 3411.6714),(75 3502.615),(76 3498.8928),(77 3511.3953),(78 3603.4988),(79 3614.2861),
(1 1142.5237),(2 1689.9961),(3 2082.4502),(4 2348.3962),(5 2485.1548),(6 2641.4717),(7 2830.8127),(8 2941.3154),(9 3056.2815),(10 3134.9626),(11 3167.3638),(12 3222.4172),(13 3286.9155),(14 3229.953),(15 3269.2651),(16 3311.0671),(17 3291.89),(18 3276.901),(19 3285.937),(20 3235.0906),(21 3215.7373),(22 3267.3794),(23 3289.9),(24 3294.0837),(25 3350.0051),(26 3310.0645),(27 3338.6235),(28 3370.365),(29 3324.3384),(30 3325.454),(31 3369.755),(32 3326.0427),(33 3345.698),(34 3393.5063),(35 3401.9873),(36 3412.4944),(37 3455.9163),(38 3415.5234),(39 3449.28),(40 3510.8523),(41 3496.75),(42 3556.4812),(43 3530.5515),(44 3572.4685),(45 3661.6936),(46 3606.5093),(47 3636.5598),(48 3661.8862),(49 3632.9922),(50 3640.9995),(51 3687.7363),(52 3585.7544),(53 3582.4158),(54 3545.23),(55 3551.9912),(56 3590.4795),(57 3547.3938),(58 3513.0027),(59 3569.7092),(60 3536.3538),(61 3560.837),(62 3585.3335),(63 3529.3186),(64 3520.5483),(65 3547.6401),(66 3461.8586),(67 3481.5767),(68 3431.865),(69 3443.9207),(70 3438.4543),(71 3448.16),(72 3443.8213),(73 3440.7043),(74 3465.5088),(75 3551.6335),(76 3561.04),(77 3582.796),(78 3669.9287),(79 3639.8208),
(1 1130.7838),(2 1668.5472),(3 2070.0505),(4 2330.2056),(5 2447.669),(6 2590.6338),(7 2775.601),(8 2835.712),(9 2917.2798),(10 3006.1262),(11 3016.91),(12 3060.118),(13 3133.2188),(14 3095.1375),(15 3134.239),(16 3168.719),(17 3186.6577),(18 3199.3013),(19 3236.7385),(20 3227.1365),(21 3282.2551),(22 3343.3447),(23 3327.347),(24 3350.458),(25 3371.0313),(26 3332.6504),(27 3343.91),(28 3355.7368),(29 3345.4695),(30 3364.4697),(31 3410.0686),(32 3387.6523),(33 3407.758),(34 3531.62),(35 3514.0085),(36 3514.8337),(37 3540.6692),(38 3521.0398),(39 3535.13),(40 3562.663),(41 3506.6624),(42 3540.9985),(43 3517.2766),(44 3519.9875),(45 3572.705),(46 3583.9875),(47 3606.6482),(48 3663.9001),(49 3659.69),(50 3677.5247),(51 3705.3657),(52 3626.562),(53 3671.2349),(54 3609.7654),(55 3539.43),(56 3589.409),(57 3543.904),(58 3504.958),(59 3552.1245),(60 3543.9485),(61 3546.428),(62 3579.9124),(63 3487.305),(64 3475.2412),(65 3491.2239),(66 3421.1028),(67 3412.0522),(68 3375.953),(69 3396.0413),(70 3386.2559),(71 3423.0176),(72 3468.5945),(73 3468.7393),(74 3486.8547),(75 3551.2031),(76 3547.6335),(77 3545.0022),(78 3581.9229),(79 3565.4775),
(1 1131.9202),(2 1661.1171),(3 2032.4038),(4 2269.471),(5 2387.8755),(6 2517.6736),(7 2679.8652),(8 2772.355),(9 2824.2998),(10 2897.42),(11 2948.5867),(12 2996.196),(13 3056.313),(14 3029.888),(15 3046.4585),(16 3099.8062),(17 3089.4783),(18 3093.9849),(19 3152.0354),(20 3115.303),(21 3170.2214),(22 3212.9067),(23 3233.3855),(24 3248),(25 3248.4612),(26 3233.4624),(27 3244.1626),(28 3310.6145),(29 3299.3965),(30 3337.1821),(31 3408.8472),(32 3421.187),(33 3444.7937),(34 3510.0974),(35 3468.9883),(36 3481.3137),(37 3491.4631),(38 3488.8633),(39 3478.0745),(40 3512.52),(41 3487.078),(42 3499.247),(43 3495.707),(44 3493.044),(45 3555.6526),(46 3541.1846),(47 3547.188),(48 3593.279),(49 3581.3938),(50 3607.9707),(51 3689.395),(52 3633.9966),(53 3654.132),(54 3629.2957),(55 3604.0952),(56 3658.3535),(57 3607.8154),(58 3606.8494),(59 3636.7373),(60 3625.8418),(61 3596.4438),(62 3625.4548),(63 3586.221),(64 3558.3562),(65 3558.6702),(66 3494.3887),(67 3535.3787),(68 3494.7668),(69 3491.8328),(70 3463.7703),(71 3486.1633),(72 3479.1619),(73 3465.579),(74 3476.3623),(75 3582.1658),(76 3539.9993),(77 3516.122),(78 3542.6216),(79 3504.8967),
(1 1081.7731),(2 1617.973),(3 1956.5773),(4 2182.7996),(5 2323.5698),(6 2438.6519),(7 2606.7332),(8 2679.2813),(9 2748.3176),(10 2819.8538),(11 2854.6323),(12 2861.7322),(13 2936.3015),(14 2917.3477),(15 2953.8142),(16 3021.763),(17 2977.1865),(18 3005.7283),(19 3069.678),(20 3022.174),(21 3045.5598),(22 3109.9478),(23 3085.879),(24 3102.7476),(25 3138.4631),(26 3108.3),(27 3137.4229),(28 3191.4604),(29 3194.5566),(30 3186.4385),(31 3186.834),(32 3165.5955),(33 3202.6543),(34 3226.7627),(35 3190.2358),(36 3181.6047),(37 3201.6707),(38 3150.3457),(39 3184.4585),(40 3232.7222),(41 3210.9063),(42 3242.879),(43 3219.9128),(44 3252.8142),(45 3316.894),(46 3288.9001),(47 3296.31),(48 3336.963),(49 3289.951),(50 3282.9492),(51 3326.982),(52 3294.9365),(53 3318.7234),(54 3263.4763),(55 3231.519),(56 3265.8008),(57 3230.9448),(58 3230.1543),(59 3284.9219),(60 3263.5154),(61 3262.637),(62 3288.898),(63 3242.1401),(64 3222.9727),(65 3242.6636),(66 3194.5757),(67 3209.7703),(68 3200.124),(69 3251.2104),(70 3248.1472),(71 3244.8123),(72 3237.146),(73 3226.8113),(74 3234.8403),(75 3340.7847),(76 3310.8342),(77 3316.732),(78 3370.7961),(79 3367.9749),
(1 1082.2977),(2 1586.239),(3 1923.6866),(4 2164.587),(5 2297.8093),(6 2441.1265),(7 2587.4524),(8 2642.8074),(9 2676.0366),(10 2764.289),(11 2802.737),(12 2820.348),(13 2877.5684),(14 2889.7576),(15 2973.8342),(16 2986.6143),(17 2933.5876),(18 2977.6606),(19 3026.1907),(20 2916.6265),(21 2886.6196),(22 2941.2773),(23 2895.1372),(24 2902.567),(25 2947.171),(26 2943.6333),(27 2974.4307),(28 3020.2366),(29 3001.4163),(30 2986.173),(31 3026.2104),(32 3006.0547),(33 2985.635),(34 3021.2297),(35 3006.67),(36 3009.978),(37 3055.126),(38 3056.1775),(39 3053.941),(40 3048.593),(41 3046.9045),(42 3114.929),(43 3091),(44 3108.2112),(45 3169.4395),(46 3168.4866),(47 3187.0725),(48 3244.8809),(49 3226.9373),(50 3196.437),(51 3262.3357),(52 3236.7695),(53 3232.041),(54 3182.6523),(55 3130.6912),(56 3175.0122),(57 3124.8105),(58 3118.352),(59 3147.9082),(60 3110.637),(61 3106.5134),(62 3139.2874),(63 3093.9023),(64 3059.534),(65 3078.7483),(66 3063.328),(67 3089.3176),(68 3089.6567),(69 3130.5017),(70 3145.109),(71 3145.4207),(72 3165.7212),(73 3197.0024),(74 3225.2773),(75 3306.7249),(76 3270.83),(77 3278.34),(78 3309.547),(79 3349.0842),
(1 1080.0089),(2 1595.0187),(3 1940.6235),(4 2156.6047),(5 2266.004),(6 2403.5186),(7 2545.3923),(8 2590.442),(9 2630.5977),(10 2709.5322),(11 2734.7942),(12 2756.2456),(13 2837.8867),(14 2833.3406),(15 2873.1902),(16 2917.6162),(17 2886.8733),(18 2922.874),(19 2955.466),(20 2923.825),(21 2893.1853),(22 2918.3318),(23 2893.934),(24 2887.3018),(25 2926.0315),(26 2904.1475),(27 2907.0962),(28 3007.0474),(29 2979.7073),(30 3016.4707),(31 3027.5203),(32 3026.189),(33 3027.424),(34 3072.1147),(35 3050.2131),(36 3049.7112),(37 3091.53),(38 3106.7498),(39 3097.8198),(40 3105.7822),(41 3055.1575),(42 3128.2832),(43 3138.859),(44 3166.5713),(45 3231.4788),(46 3227.3286),(47 3261.4558),(48 3303.9883),(49 3250.6323),(50 3239.9802),(51 3300.1733),(52 3259.9392),(53 3273.1074),(54 3236.1929),(55 3165.0176),(56 3220.231),(57 3185.4792),(58 3143.6196),(59 3169.5847),(60 3142.94),(61 3121.8743),(62 3139.4053),(63 3121.4146),(64 3110.4365),(65 3141.4714),(66 3101.656),(67 3114.506),(68 3078.7427),(69 3153.137),(70 3146.5588),(71 3166.216),(72 3199.698),(73 3197.9001),(74 3212.1267),(75 3283.2163),(76 3221.2727),(77 3198.078),(78 3258.4836),(79 3233.0708),
