1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 7065.1216),(2 22084.885),(3 45255.754),(4 72717.58),(5 101823.88),(6 134012.94),(7 169843.8),(8 205859.7),(9 247560.08),(10 286083.47),(11 329279.22),(12 379617),(13 441835.34),(14 509962.25),(15 595407),(16 684160.2),(17 784655.3),(18 867481.7),(19 957615),(20 1041902.2),(21 1143406.9),(22 1248257.9),(23 1351502.5),(24 1455720.4),(25 1561397.1),(26 1672497.9),(27 1792077),(28 1904089.1),(29 2026804.6),(30 2164749.8),(31 2300668.8),(32 2451257.5),(33 2574277.3),(34 2696809.3),(35 2810270.3),(36 2907731.3),(37 3010913),(38 3097245.3),(39 3197876.3),(40 3286558.8),(41 3392145.3),(42 3494282.3),(43 3570362),(44 3649354),(45 3736597.3),(46 3826248.8),(47 3920686.8),(48 4005194),(49 4117302.3),(50 4227072),(51 4335436.5),(52 4445962.5),(53 4565336.5),(54 4733944.5),(55 4905301),(56 5096550),(57 5326928),(58 5549057.5),(59 5793819.5),(60 5999595.5),(61 6205150.5),(62 6393569.5),(63 6592188),(64 6781639.5),(65 6990073.5),(66 7209573.5),(67 7456848.5),(68 7694792),(69 7966636),(70 8247333.5),(71 8520481),(72 8753403),(73 8974040),(74 9167569),(75 9324865),(76 9432121),(77 9525525),(78 9617779),(79 9712541),
(1 280.82635),(2 402.94217),(3 472.9678),(4 507.5057),(5 535.2849),(6 562.0041),(7 572.8129),(8 589.15826),(9 602.39777),(10 610.8943),(11 624.86774),(12 612.98175),(13 624.95703),(14 626.73157),(15 635.4683),(16 640.1434),(17 652.2435),(18 658.65234),(19 657.11926),(20 662.66394),(21 660.8369),(22 664.4579),(23 678.1022),(24 673.6976),(25 689.19135),(26 702.1322),(27 703.4068),(28 702.58264),(29 704.71893),(30 716.86456),(31 718.59265),(32 719.6108),(33 712.375),(34 717.4579),(35 713.1438),(36 701.3406),(37 694.4176),(38 688.7798),(39 692.4657),(40 691.6798),(41 689.95734),(42 686.7388),(43 689.649),(44 702.36664),(45 692.8811),(46 683.09406),(47 683.3424),(48 682.7715),(49 693.60474),(50 699.44604),(51 706.76843),(52 697.91254),(53 694.6186),(54 692.2697),(55 694.18445),(56 695.6765),(57 697.4889),(58 692.4405),(59 696.9895),(60 686.6045),(61 689.27844),(62 692.229),(63 697.0938),(64 701.0664),(65 699.9093),(66 703.72516),(67 700.1635),(68 699.6506),(69 698.4713),(70 694.08136),(71 711.34595),(72 704.17),(73 709.8665),(74 703.5921),(75 716.3811),(76 713.28186),(77 715.509),(78 721.6526),(79 726.9243),
(1 273.85553),(2 388.09708),(3 452.88287),(4 490.786),(5 521.87836),(6 546.4545),(7 556.12445),(8 574.99176),(9 586.16473),(10 598.6974),(11 614.5208),(12 614.08014),(13 622.11786),(14 616.7226),(15 629.77594),(16 629.1312),(17 636.45166),(18 644.75525),(19 644.5514),(20 651.4608),(21 652.4515),(22 653.81805),(23 663.2305),(24 668.66095),(25 681.80066),(26 677.8451),(27 683.6987),(28 683.7863),(29 690.199),(30 691.74274),(31 704.4244),(32 703.98315),(33 710.05743),(34 709.1083),(35 703.2015),(36 697.1351),(37 688.88995),(38 686.17444),(39 689.08105),(40 688.946),(41 683.293),(42 679.0129),(43 680.4511),(44 686.4422),(45 692.9057),(46 693.6848),(47 697.6662),(48 685.6658),(49 698.80963),(50 698.8618),(51 711.85736),(52 704.7815),(53 715.1799),(54 711.66693),(55 713.4847),(56 703.5026),(57 707.94293),(58 706.5728),(59 699.53326),(60 699.3944),(61 705.0084),(62 707.60876),(63 710.07227),(64 714.5191),(65 711.3261),(66 718.1315),(67 719.5714),(68 720.207),(69 721.91156),(70 713.9971),(71 716.92334),(72 710.6121),(73 712.9087),(74 702.17944),(75 704.3637),(76 706.15076),(77 708.4008),(78 710.1066),(79 708.47064),
(1 271.2503),(2 391.69394),(3 443.22287),(4 480.3773),(5 510.68155),(6 532.5393),(7 546.5071),(8 556.25116),(9 565.9067),(10 574.806),(11 589.1294),(12 588.6064),(13 600.76996),(14 596.29364),(15 615.70483),(16 622.5989),(17 624.5759),(18 629.5147),(19 624.70917),(20 624.8651),(21 629.685),(22 630.05237),(23 636.26245),(24 635.4289),(25 652.3004),(26 652.17596),(27 652.1939),(28 653.55566),(29 654.50824),(30 660.8579),(31 666.50433),(32 671.1127),(33 668.6199),(34 665.65393),(35 673.71564),(36 668.0176),(37 663.42236),(38 660.2958),(39 659.80194),(40 661.57715),(41 659.543),(42 656.9531),(43 656.3374),(44 663.7013),(45 671.1448),(46 669.6577),(47 670.6023),(48 669.28125),(49 670.9378),(50 668.6634),(51 683.1154),(52 675.9889),(53 678.5542),(54 679.01544),(55 673.47723),(56 673.1985),(57 683.2333),(58 684.251),(59 685.223),(60 677.1523),(61 680.88306),(62 681.6862),(63 698.4851),(64 697.85516),(65 697.21173),(66 692.7533),(67 695.554),(68 700.3916),(69 703.1737),(70 708.18414),(71 710.651),(72 701.5852),(73 702.69464),(74 697.8253),(75 712.46265),(76 719.50757),(77 719.566),(78 720.4868),(79 712.3171),
(1 266.4591),(2 375.3794),(3 436.3225),(4 470.5806),(5 504.4963),(6 533.28125),(7 541.43054),(8 561.85443),(9 569.76556),(10 576.6157),(11 584.21844),(12 579.7076),(13 594.1129),(14 600.30896),(15 618.57007),(16 616.9014),(17 621.6753),(18 624.67346),(19 628.33606),(20 637.05865),(21 636.53235),(22 641.51385),(23 648.24567),(24 643.6527),(25 655.71545),(26 657.5782),(27 671.3643),(28 667.73816),(29 673.3652),(30 677.54926),(31 673.57654),(32 672.55493),(33 670.9258),(34 666.4424),(35 673.5157),(36 656.25934),(37 654.2972),(38 652.13696),(39 664.3743),(40 659.8112),(41 656.2641),(42 660.5399),(43 667.6192),(44 667.44183),(45 678.7107),(46 675.7961),(47 673.6274),(48 669.2143),(49 669.8533),(50 669.00946),(51 673.76245),(52 668.2868),(53 670.62744),(54 668.7641),(55 661.57556),(56 659.18066),(57 669.23584),(58 669.40125),(59 667.6837),(60 662.5458),(61 669.3024),(62 665.16296),(63 679.31036),(64 675.6583),(65 684.11505),(66 689.38367),(67 679.17194),(68 676.2802),(69 673.86224),(70 683.707),(71 682.3996),(72 673.2895),(73 678.2049),(74 678.8977),(75 685.28864),(76 685.8079),(77 687.3744),(78 690.97375),(79 688.7235),
(1 262.62872),(2 371.67953),(3 430.39008),(4 463.7964),(5 489.4606),(6 513.35223),(7 533.0151),(8 549.5838),(9 562.45575),(10 565.8923),(11 574.69415),(12 573.9287),(13 591.4125),(14 592.80426),(15 602.9583),(16 603.38086),(17 609.5795),(18 615.4133),(19 620.76855),(20 628.9501),(21 627.2727),(22 632.83685),(23 636.90454),(24 637.5661),(25 642.6751),(26 640.02655),(27 649.34784),(28 657.95575),(29 669.2128),(30 671.63043),(31 667.37506),(32 668.0649),(33 669.63745),(34 671.11914),(35 682.4749),(36 659.64136),(37 661.03503),(38 663.81586),(39 673.86554),(40 663.1886),(41 661.49506),(42 666.15546),(43 671.45593),(44 674.1634),(45 670.2023),(46 668.8206),(47 667.7034),(48 661.1266),(49 664.1734),(50 655.76324),(51 667.3462),(52 660.8129),(53 652.6152),(54 653.55237),(55 659.1306),(56 655.67114),(57 665.64716),(58 666.63824),(59 663.3423),(60 654.25543),(61 665.0639),(62 668.5853),(63 686.3336),(64 689.22284),(65 681.4872),(66 679.9013),(67 677.53625),(68 683.3876),(69 689.116),(70 696.92145),(71 694.3693),(72 686.9685),(73 691.6844),(74 697.236),(75 703.8882),(76 700.6943),(77 704.6984),(78 708.6399),(79 701.77167),
(1 266.52243),(2 377.62686),(3 435.3204),(4 464.02658),(5 483.00137),(6 509.65863),(7 524.1031),(8 537.02966),(9 547.79565),(10 549.8656),(11 570.3477),(12 564.7195),(13 577.8223),(14 582.21515),(15 606.22626),(16 605.44824),(17 604.72266),(18 614.39246),(19 623.2425),(20 625.3307),(21 626.19305),(22 636.1557),(23 642.56036),(24 636.5597),(25 647.3744),(26 646.6489),(27 649.6507),(28 644.38214),(29 648.2663),(30 660.09174),(31 657.7496),(32 662.3206),(33 662.5606),(34 667.8748),(35 675.14056),(36 667.1902),(37 668.8877),(38 668.06744),(39 672.68536),(40 678.1372),(41 672.5994),(42 677.63116),(43 680.37244),(44 681.91016),(45 677.2033),(46 679.2867),(47 679.46826),(48 674.0977),(49 679.04486),(50 682.5868),(51 693.7798),(52 687.299),(53 686.3536),(54 691.80756),(55 688.4412),(56 685.3813),(57 681.7982),(58 681.92053),(59 687.011),(60 677.7144),(61 684.2328),(62 678.48627),(63 687.0775),(64 688.2552),(65 683.9752),(66 685.19604),(67 685.4984),(68 692.7241),(69 694.41754),(70 695.3158),(71 694.9664),(72 689.1772),(73 696.70337),(74 689.3745),(75 691.7982),(76 696.64764),(77 701.10486),(78 702.73804),(79 705.28015),
(1 254.77177),(2 363.3059),(3 414.21918),(4 439.67587),(5 460.82556),(6 492.17673),(7 510.1106),(8 522.68274),(9 528.9577),(10 530.25836),(11 542.1483),(12 540.6105),(13 556.656),(14 556.0331),(15 567.6949),(16 573.3951),(17 566.40485),(18 570.62164),(19 585.2268),(20 591.75214),(21 598.29443),(22 600.75885),(23 605.8447),(24 602.8821),(25 612.7996),(26 619.0178),(27 624.9203),(28 615.21484),(29 623.038),(30 632.4879),(31 636.86566),(32 638.23694),(33 637.5672),(34 639.2437),(35 645.4471),(36 641.7844),(37 639.5268),(38 637.0905),(39 647.48285),(40 645.5261),(41 646.90405),(42 645.4513),(43 642.1631),(44 641.2962),(45 650.11487),(46 641.1008),(47 638.62445),(48 639.2068),(49 640.35284),(50 636.4273),(51 638.2409),(52 635.79785),(53 631.207),(54 631.83826),(55 631.1882),(56 636.2091),(57 637.934),(58 635.4864),(59 639.07434),(60 632.3649),(61 639.2008),(62 635.9608),(63 636.09845),(64 640.6303),(65 640.9813),(66 639.97675),(67 638.58746),(68 636.7727),(69 642.11914),(70 645.2376),(71 641.1099),(72 633.71014),(73 643.434),(74 651),(75 657.00415),(76 651.08545),(77 654.4483),(78 663.81805),(79 656.6569),
(1 252.1613),(2 354.0604),(3 412.64038),(4 437.08084),(5 456.57376),(6 481.91998),(7 497.4522),(8 516.2937),(9 524.3563),(10 527.38794),(11 545.86884),(12 550.239),(13 567.23596),(14 564.8909),(15 576.87744),(16 587.6233),(17 589.30005),(18 599.3375),(19 600.8663),(20 606.2477),(21 606.68854),(22 611.981),(23 621.65845),(24 617.0584),(25 618.4088),(26 618.68933),(27 629.9467),(28 626.0545),(29 624.38904),(30 625.16254),(31 633.2982),(32 633.49133),(33 633.2877),(34 632.53516),(35 634.52246),(36 631.3372),(37 630.0908),(38 623.8545),(39 631.9393),(40 640.41455),(41 629.62305),(42 635.2972),(43 636.77454),(44 635.9459),(45 640.68066),(46 629.69836),(47 630.4243),(48 634.248),(49 637.9038),(50 639.5707),(51 650.5372),(52 650.5015),(53 648.7157),(54 653.56683),(55 652.34875),(56 657.1211),(57 662.30084),(58 658.4447),(59 662.48956),(60 661.65454),(61 664.7961),(62 661.82776),(63 663.61566),(64 661.34784),(65 669.47534),(66 667.05176),(67 671.2353),(68 665.84204),(69 665.3438),(70 661.63464),(71 662.8584),(72 648.8203),(73 656.9404),(74 657.9238),(75 661.1658),(76 660.7274),(77 662.07513),(78 669.19196),(79 657.442),
(1 250.64015),(2 353.22635),(3 410.2421),(4 437.44876),(5 459.91034),(6 491.71448),(7 502.28897),(8 515.7945),(9 520.369),(10 530.606),(11 549.1248),(12 552.6815),(13 571.7427),(14 570.0666),(15 585.3374),(16 592.75885),(17 593.4223),(18 609.5932),(19 608.0969),(20 613.8518),(21 621.7164),(22 632.05286),(23 638.9568),(24 637.9247),(25 646.2582),(26 656.9064),(27 666.72375),(28 672.6093),(29 666.2573),(30 676.0119),(31 679.103),(32 681.5032),(33 687.0005),(34 680.6975),(35 674.3459),(36 658.22894),(37 662.4765),(38 655.5896),(39 659.71375),(40 666.7542),(41 659.67474),(42 662.6242),(43 660.9603),(44 659.52124),(45 648.5825),(46 643.00635),(47 642.04553),(48 642.50146),(49 640.2414),(50 643.85315),(51 655.1019),(52 645.6418),(53 646.73474),(54 643.20825),(55 640.6237),(56 645.14166),(57 651.97437),(58 649.4059),(59 651.31885),(60 647.9557),(61 655.7822),(62 656.0302),(63 660.4472),(64 652.2363),(65 657.12573),(66 657.78784),(67 655.2504),(68 656.7593),(69 650.28436),(70 648.84424),(71 647.88824),(72 652.5905),(73 659.02246),(74 662.8061),(75 662.08704),(76 666.4632),(77 666.3028),(78 674.481),(79 669.9809),
(1 243.1557),(2 340.7076),(3 393.16968),(4 421.4704),(5 443.0596),(6 465.83923),(7 479.79938),(8 492.1897),(9 500.41525),(10 508.73697),(11 521.6416),(12 531.8878),(13 539.5625),(14 541.26373),(15 559.3591),(16 561.1024),(17 564.8591),(18 575.56036),(19 585.7232),(20 582.66364),(21 593.00323),(22 592.68225),(23 598.99866),(24 606.97064),(25 614.3619),(26 620.5383),(27 624.17377),(28 634.5819),(29 635.5983),(30 640.8831),(31 637.9203),(32 644.9676),(33 648.2965),(34 644.7964),(35 649.6655),(36 638.15466),(37 640.9057),(38 636.8744),(39 636.26526),(40 644.21497),(41 648.5574),(42 647.0329),(43 651.5871),(44 651.7154),(45 641.9348),(46 630.978),(47 636.53375),(48 632.6387),(49 631.0247),(50 632.0244),(51 632.4923),(52 634.3264),(53 635.9443),(54 631.4026),(55 626.642),(56 631.7547),(57 633.7676),(58 621.6656),(59 629.2809),(60 629.22705),(61 633.9415),(62 631.7002),(63 642.8112),(64 636.2035),(65 643.7973),(66 647.7201),(67 649.9528),(68 657.33997),(69 651.3206),(70 645.59357),(71 655.06244),(72 648.1437),(73 643.31665),(74 651.0713),(75 654.6056),(76 651.87494),(77 652.642),(78 654.1443),(79 657.57294),
(1 245.35512),(2 342.04498),(3 391.29678),(4 420.98816),(5 443.7806),(6 464.46494),(7 471.99738),(8 481.94144),(9 490.35196),(10 501.14276),(11 514.7985),(12 510.63977),(13 520.48804),(14 521.8044),(15 535.4358),(16 535.4473),(17 539.5972),(18 549.8409),(19 556.466),(20 553.10913),(21 557.0421),(22 561.5762),(23 563.1368),(24 567.2891),(25 573.8789),(26 582.557),(27 590.8816),(28 596.11633),(29 597.1609),(30 598.64044),(31 596.0713),(32 610.6422),(33 617.0976),(34 614.9688),(35 622.733),(36 629.79297),(37 628.46545),(38 623.89923),(39 626.94574),(40 627.4566),(41 628.32715),(42 630.4599),(43 629.31714),(44 632.0419),(45 632.671),(46 631.8911),(47 633.2906),(48 626.51825),(49 628.21466),(50 624.2292),(51 620.5708),(52 625.1683),(53 627.3419),(54 628.9565),(55 621.2075),(56 625.127),(57 624.05994),(58 615.78174),(59 613.9213),(60 615.238),(61 611.26373),(62 610.4373),(63 623.08746),(64 618.7659),(65 626.6642),(66 634.39026),(67 640.6914),(68 645.0351),(69 641.8734),(70 639.5425),(71 644.9295),(72 644.39886),(73 651.7853),(74 652.8851),(75 667.49817),(76 658.1045),(77 657.82184),(78 662.17206),(79 666.3851),
(1 239.2255),(2 337.26877),(3 389.60138),(4 417.9906),(5 441.9222),(6 458.69342),(7 474.06534),(8 487.2515),(9 496.181),(10 506.27277),(11 512.9891),(12 519.46484),(13 525.7961),(14 526.2982),(15 547.0341),(16 549.46844),(17 545.21704),(18 552.2331),(19 558.04083),(20 557.34344),(21 558.7892),(22 558.53174),(23 565.3303),(24 567.0345),(25 567.85815),(26 569.60925),(27 578.7062),(28 582.09937),(29 584.49194),(30 592.87506),(31 591.2871),(32 594.5944),(33 601.8015),(34 593.4817),(35 604.2177),(36 600.959),(37 603.7841),(38 605.9398),(39 606.98914),(40 600.694),(41 597.06244),(42 608.3371),(43 612.3412),(44 616.452),(45 614.7413),(46 620.94135),(47 627.49164),(48 623.5885),(49 625.48),(50 626.0975),(51 632.71246),(52 634.067),(53 635.073),(54 634.5799),(55 636.5575),(56 647.54297),(57 645.39545),(58 644.27045),(59 644.9133),(60 642.6565),(61 652.4587),(62 649.48315),(63 645.4256),(64 640.82635),(65 638.38184),(66 640.27765),(67 647.0932),(68 648.5555),(69 648.13),(70 646.00244),(71 644.7757),(72 637.4881),(73 645.3228),(74 638.3718),(75 647.6325),(76 645.555),(77 642.9356),(78 648.09607),(79 649.34784),
(1 241.24615),(2 332.45285),(3 387.83646),(4 413.29144),(5 436.27084),(6 457.28906),(7 472.4805),(8 484.6245),(9 495.0146),(10 508.90567),(11 517.21326),(12 522.5353),(13 530.8404),(14 532.40216),(15 549.84973),(16 552.4951),(17 551.2579),(18 557.5083),(19 562.4236),(20 563.9948),(21 566.80365),(22 571.94824),(23 581.5441),(24 581.0315),(25 587.3118),(26 588.80707),(27 596.9227),(28 599.939),(29 596.0608),(30 602.54315),(31 603.03296),(32 604.9969),(33 608.31494),(34 607.6174),(35 610.64575),(36 610.9147),(37 611.56714),(38 607.41315),(39 609.0486),(40 610.1789),(41 606.6858),(42 613.7253),(43 617.86127),(44 618.05206),(45 620.91595),(46 618.51086),(47 618.0622),(48 612.75995),(49 618.85205),(50 622.5901),(51 627.3752),(52 622.1241),(53 621.5145),(54 618.5418),(55 626.8017),(56 626.8802),(57 631.7178),(58 630.00653),(59 633.15906),(60 624.93286),(61 631.265),(62 633.6777),(63 640.18274),(64 629.8365),(65 631.3264),(66 639.00305),(67 634.6776),(68 639.9287),(69 636.4545),(70 639.90857),(71 643.1198),(72 638.0362),(73 644.86676),(74 644.75464),(75 653.52795),(76 643.2337),(77 642.60767),(78 649.4808),(79 655.35425),
(1 235.31117),(2 326.4712),(3 379.18005),(4 403.07104),(5 425.03018),(6 445.74442),(7 461.39615),(8 474.7564),(9 488.89392),(10 495.4614),(11 508.15753),(12 514.18976),(13 526.07947),(14 529.2442),(15 543.6028),(16 546.56903),(17 546.9699),(18 557.67865),(19 561.0412),(20 566.4539),(21 570.9361),(22 569.419),(23 567.55536),(24 562.9052),(25 569.6794),(26 569.44025),(27 576.21124),(28 585.86426),(29 586.55865),(30 583.0919),(31 582.8715),(32 581.6587),(33 589.1045),(34 588.6772),(35 585.63275),(36 577.7086),(37 580.3261),(38 576.8737),(39 576.8431),(40 575.8113),(41 577.24493),(42 584.58636),(43 580.5736),(44 584.82513),(45 584.97845),(46 587.876),(47 593.7057),(48 594.41187),(49 596.10077),(50 596.27747),(51 602.6386),(52 608.438),(53 605.1112),(54 603.8282),(55 607.00183),(56 609.24133),(57 608.6371),(58 603.353),(59 603.6126),(60 597.793),(61 604.8602),(62 608.1676),(63 619.1284),(64 616.78546),(65 617.00745),(66 617.0992),(67 619.67316),(68 628.6239),(69 630.79504),(70 632.99384),(71 635.32764),(72 635.25793),(73 642.91705),(74 640.34283),(75 655.0725),(76 647.41516),(77 652.1945),(78 656.73706),(79 666.05975),
(1 227.18173),(2 319.0697),(3 366.922),(4 393.70294),(5 412.07367),(6 435.92435),(7 452.53754),(8 466.68777),(9 480.89697),(10 490.5808),(11 505.57748),(12 508.90024),(13 519.53217),(14 519.7415),(15 540.2491),(16 535.6817),(17 538.18835),(18 540.48834),(19 550.50256),(20 551.2287),(21 560.9447),(22 561.4714),(23 570.2251),(24 570.276),(25 574.6832),(26 578.39215),(27 586.41736),(28 588.8778),(29 585.2135),(30 582.8144),(31 581.9381),(32 584.6499),(33 593.3483),(34 599.65045),(35 601.6064),(36 594.10706),(37 594.427),(38 591.47),(39 600.9153),(40 601.20233),(41 603.8894),(42 601.60156),(43 603.76184),(44 612.5437),(45 617.3342),(46 610.4046),(47 614.3085),(48 608.9902),(49 621.39404),(50 620.97546),(51 628.6632),(52 623.0861),(53 621.9229),(54 618.9296),(55 623.86206),(56 622.73785),(57 622.95825),(58 618.1394),(59 619.00146),(60 612.646),(61 613.3503),(62 615.0668),(63 623.3864),(64 623.3019),(65 611.19867),(66 616.8186),(67 615.26385),(68 613.3863),(69 616.82227),(70 617.7081),(71 622.764),(72 619.99664),(73 624.7357),(74 623.83954),(75 626.1423),(76 624.2818),(77 624.55536),(78 628.5725),(79 628.41766),
(1 225.83008),(2 312.3435),(3 358.0441),(4 384.41568),(5 402.953),(6 422.78378),(7 438.33792),(8 457.0531),(9 468.7841),(10 483.05087),(11 493.54266),(12 499.85016),(13 508.18155),(14 513.22327),(15 519.7672),(16 523.7381),(17 525.8447),(18 531.21484),(19 533.83386),(20 537.61285),(21 534.7641),(22 533.43555),(23 535.9604),(24 537.5369),(25 544.0239),(26 543.6643),(27 557.01514),(28 560.02985),(29 564.29663),(30 570.11707),(31 570.75934),(32 577.4795),(33 581.117),(34 581.8424),(35 586.414),(36 582.81866),(37 589.49976),(38 588.35364),(39 591.4774),(40 595.5388),(41 593.1643),(42 593.62683),(43 589.56805),(44 607.1092),(45 604.7961),(46 601.3129),(47 600.8962),(48 593.624),(49 608.11664),(50 603.1368),(51 601.05316),(52 606.7235),(53 602.3347),(54 596.5128),(55 597.7131),(56 598.2845),(57 598.361),(58 599.12976),(59 595.8945),(60 592.68274),(61 596.59845),(62 598.06256),(63 611.8875),(64 607.5437),(65 603.0095),(66 602.88666),(67 606.6976),(68 603.2477),(69 601.9334),(70 602.7743),(71 605.54675),(72 607.9084),(73 604.71313),(74 601.0614),(75 604.4193),(76 603.87),(77 610.7394),(78 609.9722),(79 612.1771),
(1 222.30632),(2 301.36667),(3 350.37415),(4 382.74606),(5 404.55124),(6 427.0063),(7 437.88385),(8 450.9546),(9 467.5889),(10 474.93716),(11 483.3725),(12 491.4087),(13 503.0096),(14 511.17557),(15 525.65393),(16 531.33093),(17 529.9249),(18 539.72815),(19 544.39514),(20 542.46515),(21 550.54535),(22 552.1496),(23 561.5102),(24 562.1939),(25 564.2768),(26 573.4631),(27 584.1248),(28 588.95605),(29 590.26654),(30 596.9565),(31 599.8713),(32 597.3926),(33 604.2188),(34 607.4313),(35 613.43036),(36 608.5419),(37 601.6643),(38 599.7374),(39 606.6904),(40 599.5847),(41 597.1727),(42 600.57874),(43 590.7847),(44 597.459),(45 594.7113),(46 593.3327),(47 597.1113),(48 591.129),(49 596.86584),(50 588.4035),(51 586.4286),(52 585.5285),(53 581.17395),(54 581.0423),(55 577.816),(56 568.95123),(57 570.1929),(58 575.0711),(59 570.0485),(60 562.3644),(61 563.56537),(62 564.81854),(63 570.5523),(64 571.1109),(65 561.2931),(66 566.1731),(67 572.1994),(68 576.71655),(69 578.43713),(70 576.84406),(71 582.90344),(72 577.064),(73 588.1394),(74 586.5496),(75 589.0309),(76 587.2871),(77 592.4069),(78 598.88116),(79 594.2681),
(1 223.29488),(2 311.24545),(3 356.98492),(4 385.87076),(5 404.52444),(6 429.1344),(7 440.75818),(8 456.57632),(9 469.96295),(10 477.49142),(11 490.33878),(12 496.97226),(13 502.78134),(14 507.76025),(15 522.6881),(16 524.42017),(17 521.83215),(18 529.64655),(19 535.343),(20 538.5593),(21 552.13885),(22 558.02734),(23 566.278),(24 562.8221),(25 576.3866),(26 578.4599),(27 590.59863),(28 592.8456),(29 587.8791),(30 593.3833),(31 594.57837),(32 590.39484),(33 590.67334),(34 595.3275),(35 599.33875),(36 586.85693),(37 582.2212),(38 581.5028),(39 582.7236),(40 584.5034),(41 579.3453),(42 581.60394),(43 580.00824),(44 581.08044),(45 572.6096),(46 571.1986),(47 574.993),(48 565.85956),(49 571.66656),(50 573.64307),(51 579.5562),(52 578.5422),(53 577.42267),(54 585.1913),(55 578.8488),(56 580.76324),(57 580.94244),(58 583.0218),(59 586.12585),(60 582.34204),(61 578.2737),(62 576.4934),(63 580.04114),(64 577.23926),(65 574.1898),(66 580.7014),(67 584.5141),(68 585.3792),(69 588.9716),(70 583.28125),(71 588.59973),(72 585.4179),(73 591.4771),(74 587.1212),(75 588.6612),(76 587.9701),(77 591.2027),(78 601.06274),(79 597.4182),
