1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 186.0791),(2 246.864),(3 293.4706),(4 317.3168),(5 333.51788),(6 343.35144),(7 357.01044),(8 365.88113),(9 378.7835),(10 383.61447),(11 385.19968),(12 387.40396),(13 396.3896),(14 396.40085),(15 400.18158),(16 396.35907),(17 398.3181),(18 396.471),(19 400.3394),(20 404.8903),(21 406.45877),(22 404.82846),(23 410.21808),(24 409.75104),(25 406.24176),(26 406.25433),(27 408.4246),(28 407.46683),(29 408.2173),(30 408.2746),(31 412.8308),(32 417.5199),(33 418.92242),(34 415.15472),(35 408.13168),(36 402.88565),(37 405.07843),(38 405.8004),(39 413.96164),(40 413.92017),(41 411.7406),(42 417.2499),(43 415.73575),(44 414.2585),(45 412.86346),(46 408.13794),(47 403.8986),(48 405.00177),(49 410.1227),(50 413.91824),(51 414.93552),(52 416.0651),(53 419.3422),(54 415.7133),(55 413.0478),(56 415.71548),(57 414.33218),(58 410.3811),(59 409.14087),(60 410.7583),(61 414.4382),(62 415.58716),(63 417.35034),(64 415.2595),(65 412.5036),(66 416.23532),(67 413.59344),(68 415.06357),(69 415.82056),(70 420.47015),(71 417.73105),(72 418.70145),(73 425.09482),(74 424.26825),(75 423.8282),(76 427.04764),(77 434.03598),(78 432.4681),(79 433.89505),
(1 187.4641),(2 246.68355),(3 290.99905),(4 313.12274),(5 332.81564),(6 340.32712),(7 349.2367),(8 357.11197),(9 362.0336),(10 371.52338),(11 380.66272),(12 385.32944),(13 395.9997),(14 402.1807),(15 410.6671),(16 413.33673),(17 413.51764),(18 407.37238),(19 409.82333),(20 408.92996),(21 413.7483),(22 416.2415),(23 412.98373),(24 408.2232),(25 407.93716),(26 406.5014),(27 414.1363),(28 408.41492),(29 407.87088),(30 411.29904),(31 406.45114),(32 406.81436),(33 401.40347),(34 400.56198),(35 396.47507),(36 392.00107),(37 393.58377),(38 395.43213),(39 400.31067),(40 400.12286),(41 404.88364),(42 414.0704),(43 413.2557),(44 413.41748),(45 414.09113),(46 405.6782),(47 401.8576),(48 401.26212),(49 399.19208),(50 399.21414),(51 404.4138),(52 404.92233),(53 401.24988),(54 400.99942),(55 397.9676),(56 393.30737),(57 391.3634),(58 394.7686),(59 401.31418),(60 396.6353),(61 399.38733),(62 403.45236),(63 408.35245),(64 406.1331),(65 405.13525),(66 409.91962),(67 403.94324),(68 405.60495),(69 402.6826),(70 406.57156),(71 413.16235),(72 420.07425),(73 424.69025),(74 426.51294),(75 433.52423),(76 427.83286),(77 425.0105),(78 430.0702),(79 431.56027),
(1 183.10512),(2 248.17282),(3 292.689),(4 319.06427),(5 338.12247),(6 353.03793),(7 363.2537),(8 377.8798),(9 388.8595),(10 393.65866),(11 403.31326),(12 402.7019),(13 401.10913),(14 408.01535),(15 419.60223),(16 416.1396),(17 412.367),(18 413.019),(19 415.94208),(20 411.61505),(21 412.37677),(22 410.05734),(23 412.21832),(24 401.41824),(25 398.30698),(26 398.55896),(27 402.09207),(28 407.23703),(29 405.89575),(30 406.66272),(31 406.03555),(32 406.6104),(33 408.8722),(34 407.30084),(35 407.87924),(36 409.30344),(37 413.46176),(38 415.4191),(39 410.99185),(40 410.94128),(41 415.94742),(42 421.26804),(43 416.35846),(44 421.4638),(45 422.3584),(46 417.52115),(47 413.9793),(48 413.48398),(49 410.08438),(50 413.38382),(51 421.723),(52 429.17712),(53 427.77194),(54 428.66498),(55 420.66174),(56 418.18665),(57 415.23843),(58 414.1705),(59 417.01868),(60 412.2112),(61 416.87177),(62 418.20514),(63 426.33606),(64 418.3986),(65 421.0605),(66 419.52844),(67 419.1086),(68 415.98465),(69 414.94394),(70 411.33383),(71 416.95303),(72 423.79465),(73 425.91473),(74 436.3366),(75 439.14713),(76 439.15576),(77 442.3939),(78 443.42874),(79 445.46234),
(1 183.14035),(2 243.49673),(3 288.67682),(4 316.53702),(5 331.32004),(6 348.01556),(7 355.93268),(8 362.83716),(9 370.3622),(10 379.3236),(11 384.88925),(12 387.79025),(13 389.01575),(14 396.7412),(15 401.0114),(16 398.94464),(17 397.03232),(18 402.64114),(19 412.73233),(20 416.43503),(21 418.1101),(22 429.353),(23 424.8048),(24 415.16412),(25 413.4761),(26 409.48465),(27 412.84174),(28 409.0828),(29 407.64725),(30 408.2738),(31 403.92328),(32 409.52716),(33 410.85083),(34 411.78632),(35 412.8433),(36 410.1491),(37 410.49796),(38 409.77487),(39 410.5468),(40 409.28635),(41 407.43158),(42 407.4549),(43 412.11978),(44 414.15005),(45 415.647),(46 416.29465),(47 420.1223),(48 414.89694),(49 411.87503),(50 412.0843),(51 411.69287),(52 414.01385),(53 414.58917),(54 416.0199),(55 412.37894),(56 412.36993),(57 408.89838),(58 403.37192),(59 406.41693),(60 405.32544),(61 404.15054),(62 407.28937),(63 409.20935),(64 406.68085),(65 404.53894),(66 401.24124),(67 405.29074),(68 400.68387),(69 395.49054),(70 390.97763),(71 398.90002),(72 403.96198),(73 406.99484),(74 410.2616),(75 409.1619),(76 408.93137),(77 409.93085),(78 411.89297),(79 418.3138),
(1 184.70515),(2 242.61195),(3 288.209),(4 316.75662),(5 330.19266),(6 343.50916),(7 354.8175),(8 364.46378),(9 374.5187),(10 384.0456),(11 392.00232),(12 387.41968),(13 393.44547),(14 392.01923),(15 390.95776),(16 389.9189),(17 392.2404),(18 395.1925),(19 401.48007),(20 411.8842),(21 413.73904),(22 410.83823),(23 410.04074),(24 405.937),(25 406.03165),(26 412.24057),(27 417.49994),(28 414.51416),(29 410.79202),(30 415.51834),(31 410.45395),(32 411.6262),(33 408.8533),(34 418.70746),(35 422.07343),(36 419.70477),(37 420.12732),(38 420.0124),(39 424.86673),(40 416.79724),(41 412.276),(42 414.45148),(43 415.79898),(44 419.9158),(45 422.67136),(46 425.56973),(47 425.72342),(48 421.93423),(49 423.93756),(50 420.33414),(51 425.37723),(52 429.6819),(53 431.05157),(54 438.88074),(55 432.1884),(56 428.77603),(57 430.30505),(58 426.73773),(59 433.2885),(60 429.803),(61 427.88016),(62 430.2884),(63 430.34293),(64 426.75638),(65 429.15848),(66 423.57587),(67 424.05374),(68 423.7957),(69 423.18845),(70 416.16202),(71 422.99545),(72 418.02716),(73 420.38687),(74 421.70044),(75 426.2359),(76 428.71664),(77 429.46802),(78 436.21207),(79 439.1985),
(1 179.789),(2 239.80197),(3 285.6605),(4 309.48846),(5 330.8742),(6 341.67416),(7 358.19745),(8 369.29578),(9 377.84308),(10 380.71988),(11 383.89786),(12 379.72037),(13 379.09546),(14 380.36554),(15 380.8343),(16 383.30746),(17 387.3658),(18 387.92526),(19 392.4618),(20 394.8702),(21 398.65643),(22 400.23752),(23 404.44135),(24 404.39673),(25 409.17133),(26 408.0717),(27 415.86578),(28 412.63345),(29 413.76553),(30 416.99286),(31 418.17868),(32 416.8265),(33 413.59686),(34 416.115),(35 418.60123),(36 415.68793),(37 414.73502),(38 415.16364),(39 425.97855),(40 426.01004),(41 416.2942),(42 415.64807),(43 411.84045),(44 413.78937),(45 414.4237),(46 412.16965),(47 415.20248),(48 420.50067),(49 419.7403),(50 420.12228),(51 423.98288),(52 428.13043),(53 426.04855),(54 431.5901),(55 436.51025),(56 434.322),(57 434.484),(58 430.94727),(59 432.66208),(60 427.2302),(61 429.07077),(62 426.74246),(63 434.9388),(64 429.9844),(65 428.1505),(66 434.07986),(67 426.9136),(68 426.91724),(69 426.16464),(70 418.38492),(71 416.02673),(72 413.11487),(73 409.44543),(74 409.95236),(75 411.5975),(76 417.12567),(77 424.8729),(78 429.34616),(79 436.99783),
(1 177.07797),(2 236.93959),(3 283.46988),(4 309.55228),(5 331.2845),(6 343.3626),(7 350.67114),(8 362.07123),(9 371.59525),(10 376.7548),(11 390.16864),(12 385.4699),(13 382.1112),(14 384.84644),(15 384.06363),(16 389.29654),(17 388.38745),(18 391.24097),(19 396.6878),(20 401.0899),(21 405.1772),(22 406.47723),(23 403.39523),(24 401.29822),(25 400.84637),(26 400.59613),(27 402.9571),(28 405.06097),(29 402.7432),(30 404.79562),(31 407.7749),(32 406.44952),(33 408.81244),(34 409.42102),(35 420.56616),(36 423.62122),(37 426.02588),(38 422.63348),(39 430.48172),(40 425.6812),(41 425.36404),(42 422.2264),(43 421.9182),(44 425.98618),(45 428.7149),(46 422.5825),(47 427.56793),(48 424.09845),(49 423.91788),(50 421.78696),(51 422.64792),(52 418.07574),(53 413.80887),(54 416.6109),(55 417.55975),(56 418.44275),(57 417.96936),(58 412.21014),(59 406.92908),(60 400.19476),(61 401.21414),(62 401.95703),(63 420.03436),(64 420.9817),(65 420.65775),(66 414.80756),(67 411.57614),(68 408.43735),(69 409.17123),(70 409.59515),(71 414.2582),(72 415.59952),(73 413.115),(74 413.06662),(75 407.34354),(76 411.0085),(77 413.61554),(78 417.4246),(79 421.0658),
(1 176.08638),(2 237.92647),(3 285.64264),(4 314.67825),(5 339.96008),(6 349.22653),(7 360.82968),(8 374.05365),(9 383.15982),(10 390.62854),(11 394.85974),(12 396.49307),(13 399.1115),(14 398.7881),(15 403.88324),(16 406.57083),(17 409.2429),(18 409.95883),(19 408.609),(20 413.6858),(21 412.16064),(22 408.33252),(23 408.34937),(24 402.98703),(25 401.66516),(26 407.16626),(27 411.56766),(28 407.56866),(29 404.8395),(30 405.50586),(31 406.1381),(32 405.07532),(33 402.01865),(34 408.97916),(35 417.74524),(36 415.77255),(37 418.982),(38 416.51886),(39 423.2389),(40 427.34766),(41 422.61047),(42 425.54318),(43 413.59982),(44 413.91614),(45 420.1962),(46 413.9831),(47 413.52963),(48 404.90146),(49 409.74078),(50 413.40262),(51 420.5088),(52 418.79282),(53 414.3319),(54 420.0861),(55 421.57645),(56 420.39352),(57 419.5216),(58 421.06665),(59 416.24445),(60 413.82077),(61 409.6102),(62 407.3978),(63 412.36356),(64 413.05423),(65 410.51276),(66 408.77213),(67 408.51724),(68 409.13477),(69 411.86877),(70 419.97488),(71 418.64435),(72 424.18625),(73 422.4718),(74 418.90314),(75 407.31586),(76 408.82147),(77 407.471),(78 411.31494),(79 407.4189),
(1 177.18709),(2 237.35301),(3 282.7385),(4 315.48026),(5 336.60382),(6 350.12717),(7 357.81253),(8 362.58984),(9 369.67813),(10 375.08853),(11 382.07068),(12 380.47147),(13 374.28265),(14 371.822),(15 373.10492),(16 376.8272),(17 379.02646),(18 381.6973),(19 385.61502),(20 389.5614),(21 389.5096),(22 394.70618),(23 396.56647),(24 393.675),(25 392.22668),(26 392.0932),(27 394.94547),(28 402.7997),(29 399.5153),(30 408.4015),(31 412.01926),(32 416.81036),(33 422.38193),(34 424.6318),(35 421.4473),(36 418.33502),(37 419.5883),(38 422.60733),(39 430.24573),(40 423.69064),(41 416.4133),(42 414.59003),(43 405.98172),(44 400.2112),(45 399.03082),(46 395.56058),(47 400.40683),(48 396.43793),(49 402.38428),(50 399.54984),(51 396.9272),(52 398.196),(53 399.55325),(54 404.32767),(55 401.68924),(56 402.56784),(57 406.40768),(58 411.2305),(59 412.937),(60 413.8527),(61 419.4521),(62 415.00595),(63 424.6766),(64 417.6235),(65 413.65207),(66 418.0461),(67 418.4424),(68 422.85715),(69 422.04584),(70 418.1256),(71 411.90475),(72 413.7329),(73 417.309),(74 413.384),(75 410.51456),(76 414.80347),(77 413.79633),(78 421.70493),(79 414.8996),
(1 178.31346),(2 246.81868),(3 291.11353),(4 322.1547),(5 334.68112),(6 341.33154),(7 350.33936),(8 358.7795),(9 365.2394),(10 370.22305),(11 369.4329),(12 370.72122),(13 374.74026),(14 372.87228),(15 376.63202),(16 381.64194),(17 387.25754),(18 393.83908),(19 400.0328),(20 406.99426),(21 402.79156),(22 403.99387),(23 401.0693),(24 399.2774),(25 397.80536),(26 400.10135),(27 401.09033),(28 395.0992),(29 393.70883),(30 392.46408),(31 396.9239),(32 402.46988),(33 403.38748),(34 403.94104),(35 404.33978),(36 397.09473),(37 397.22556),(38 403.76245),(39 411.5999),(40 411.23877),(41 407.09567),(42 403.04276),(43 396.27643),(44 396.4145),(45 391.83148),(46 391.95203),(47 396.70514),(48 399.84708),(49 398.6319),(50 390.08356),(51 384.03513),(52 383.20496),(53 381.99185),(54 387.43274),(55 392.33005),(56 395.2178),(57 398.17358),(58 398.54095),(59 403.3517),(60 408.03687),(61 413.0137),(62 413.78778),(63 411.47192),(64 403.9382),(65 400.651),(66 399.1464),(67 401.08954),(68 407.94104),(69 413.8918),(70 418.2762),(71 417.59497),(72 418.04922),(73 417.6761),(74 419.31656),(75 421.66373),(76 423.74426),(77 421.34027),(78 430.04132),(79 427.90094),
(1 171.29256),(2 238.61116),(3 282.96878),(4 315.15594),(5 336.5684),(6 348.22284),(7 354.93817),(8 365.0093),(9 371.65308),(10 375.48935),(11 385.3441),(12 378.14972),(13 378.29428),(14 376.735),(15 382.29407),(16 381.6221),(17 386.86725),(18 393.56024),(19 405.32843),(20 405.52768),(21 406.45743),(22 407.62686),(23 403.30182),(24 400.46964),(25 402.2043),(26 400.3915),(27 401.35596),(28 398.35712),(29 396.50494),(30 397.08826),(31 398.71637),(32 399.0936),(33 396.92465),(34 395.0641),(35 399.41235),(36 393.8896),(37 398.73288),(38 400.92642),(39 401.6423),(40 400.77487),(41 403.86172),(42 407.88803),(43 403.52756),(44 397.03265),(45 392.7172),(46 394.48227),(47 393.9862),(48 396.5407),(49 394.45352),(50 390.2106),(51 388.38196),(52 386.516),(53 387.82434),(54 393.77106),(55 397.13828),(56 401.8259),(57 406.0766),(58 402.8322),(59 405.49896),(60 408.12488),(61 417.07385),(62 417.1265),(63 422.6998),(64 419.54425),(65 419.921),(66 417.0141),(67 417.20993),(68 416.8312),(69 417.7558),(70 420.40134),(71 420.89648),(72 414.24634),(73 412.8792),(74 405.90958),(75 398.6469),(76 396.30527),(77 395.2956),(78 401.29407),(79 408.74255),
(1 171.72096),(2 234.50294),(3 278.3435),(4 300.96164),(5 313.5189),(6 321.8597),(7 324.23483),(8 331.87292),(9 343.33847),(10 347.1541),(11 353.27963),(12 353.5891),(13 355.16998),(14 354.83664),(15 363.00912),(16 361.3179),(17 363.15268),(18 365.0419),(19 373.43573),(20 380.02264),(21 383.01294),(22 377.81308),(23 375.23886),(24 374.0273),(25 381.22107),(26 378.85034),(27 382.90094),(28 387.3483),(29 385.67303),(30 384.18115),(31 383.02625),(32 386.8582),(33 386.77072),(34 387.43674),(35 393.22363),(36 394.12177),(37 397.40118),(38 390.744),(39 390.3802),(40 385.78674),(41 388.07788),(42 391.18262),(43 389.90872),(44 390.81055),(45 388.48825),(46 385.8982),(47 390.2222),(48 389.22406),(49 388.83136),(50 385.74094),(51 381.2116),(52 378.86417),(53 376.8317),(54 381.10516),(55 389.3301),(56 396.63495),(57 398.60468),(58 395.92584),(59 395.65854),(60 392.5211),(61 400.8982),(62 401.54935),(63 409.2684),(64 407.99155),(65 407.93756),(66 414.9793),(67 410.16772),(68 411.7607),(69 412.06982),(70 411.0313),(71 415.7735),(72 419.34525),(73 420.01102),(74 419.9483),(75 411.7188),(76 408.53427),(77 402.77682),(78 403.19427),(79 409.30338),
(1 171.47131),(2 232.73303),(3 275.77823),(4 307.0496),(5 318.64987),(6 325.13712),(7 330.23935),(8 344.73138),(9 345.40445),(10 347.67422),(11 352.53427),(12 358.00223),(13 364.3363),(14 365.151),(15 373.9025),(16 372.66223),(17 376.20935),(18 377.26547),(19 380.5818),(20 379.66626),(21 380.03378),(22 382.0107),(23 385.0393),(24 381.1152),(25 392.82095),(26 394.77347),(27 403.96954),(28 401.1271),(29 397.15005),(30 396.00113),(31 391.33362),(32 392.86066),(33 396.72546),(34 398.32944),(35 402.42343),(36 404.07797),(37 402.28143),(38 397.2417),(39 394.88596),(40 388.91302),(41 388.24524),(42 386.31458),(43 385.3848),(44 389.0763),(45 385.34674),(46 381.6694),(47 383.33264),(48 377.2759),(49 377.20282),(50 382.28955),(51 378.91943),(52 380.10623),(53 379.72253),(54 384.66357),(55 389.1482),(56 395.73102),(57 399.32944),(58 400.63058),(59 397.51105),(60 394.57632),(61 393.06555),(62 393.45007),(63 405.90186),(64 403.4036),(65 398.9011),(66 407.59683),(67 403.0497),(68 396.05307),(69 392.31378),(70 390.63287),(71 394.56848),(72 395.9498),(73 397.9799),(74 399.34247),(75 397.06744),(76 392.5225),(77 390.53122),(78 388.64862),(79 391.47485),
(1 173.12416),(2 234.11066),(3 276.49606),(4 305.8396),(5 316.61075),(6 323.2454),(7 339.9422),(8 355.33594),(9 356.7518),(10 358.197),(11 365.13055),(12 367.79575),(13 368.73996),(14 367.1488),(15 374.15247),(16 379.17032),(17 384.3019),(18 387.39908),(19 396.47647),(20 401.73376),(21 403.5629),(22 400.30698),(23 402.31558),(24 397.81488),(25 398.4495),(26 398.1243),(27 404.92126),(28 401.01956),(29 396.30002),(30 396.28366),(31 390.5582),(32 382.90176),(33 381.74454),(34 382.47858),(35 384.53006),(36 386.34683),(37 394.47635),(38 393.9548),(39 398.7167),(40 401.603),(41 403.60275),(42 404.0424),(43 400.1969),(44 405.894),(45 409.4601),(46 405.6311),(47 403.96213),(48 390.5463),(49 390.39648),(50 391.1543),(51 397.49768),(52 400.86478),(53 400.40536),(54 406.5823),(55 401.55402),(56 400.08975),(57 396.33127),(58 396.5805),(59 400.14737),(60 403.7194),(61 405.80402),(62 409.1757),(63 412.7012),(64 414.56033),(65 415.9582),(66 425.32803),(67 420.90494),(68 415.16608),(69 420.17538),(70 418.0084),(71 421.69052),(72 419.40527),(73 418.18262),(74 417.52463),(75 422.22955),(76 411.72922),(77 410.9005),(78 413.8244),(79 415.2132),
(1 172.13358),(2 236.83784),(3 281.15274),(4 307.59702),(5 323.3972),(6 327.442),(7 341.14496),(8 352.5),(9 357.1271),(10 360.72778),(11 363.30295),(12 364.8263),(13 373.28574),(14 378.10986),(15 389.12003),(16 394.23346),(17 395.13724),(18 403.9585),(19 410.87766),(20 405.8618),(21 402.41434),(22 394.31558),(23 394.93414),(24 394.8318),(25 403.43414),(26 406.29736),(27 411.23508),(28 406.79037),(29 401.45776),(30 392.40894),(31 391.6727),(32 388.16467),(33 383.14935),(34 382.2385),(35 379.22195),(36 372.975),(37 381.78656),(38 379.18665),(39 380.7987),(40 380.85046),(41 382.14532),(42 381.17087),(43 382.05008),(44 385.58408),(45 385.44794),(46 378.15396),(47 376.55154),(48 367.5432),(49 367.27155),(50 374.52524),(51 388.49875),(52 401.56854),(53 401.85742),(54 401.84442),(55 398.09164),(56 392.05914),(57 389.1378),(58 388.85135),(59 387.7525),(60 382.85565),(61 385.86334),(62 388.12155),(63 389.05264),(64 391.48383),(65 398.4656),(66 405.34232),(67 405.14627),(68 407.86313),(69 411.5281),(70 411.76685),(71 407.01138),(72 402.57224),(73 400.58252),(74 399.49512),(75 388.70328),(76 390.61304),(77 393.624),(78 394.8647),(79 395.19058),
(1 167.12906),(2 230.35992),(3 272.82642),(4 297.89218),(5 312.9964),(6 321.98956),(7 331.74356),(8 339.83633),(9 349.33206),(10 351.99313),(11 355.2188),(12 352.2524),(13 359.5693),(14 359.83774),(15 361.5724),(16 364.46356),(17 363.81833),(18 364.9699),(19 368.0723),(20 365.51868),(21 363.2098),(22 358.69946),(23 364.41977),(24 373.79468),(25 379.4305),(26 384.41208),(27 383.5622),(28 381.51068),(29 379.15433),(30 372.86),(31 369.46997),(32 373.67926),(33 377.35596),(34 375.4546),(35 383.62524),(36 386.88846),(37 385.70493),(38 383.34354),(39 380.7286),(40 382.7139),(41 379.6179),(42 387.641),(43 390.8327),(44 392.32513),(45 394.5248),(46 392.75272),(47 394.66025),(48 389.6222),(49 383.97668),(50 377.2185),(51 384.57428),(52 384.91418),(53 390.29312),(54 388.1247),(55 388.8803),(56 382.71732),(57 379.46136),(58 380.08844),(59 381.1503),(60 381.70242),(61 391.46692),(62 391.23593),(63 396.11884),(64 390.40613),(65 391.5198),(66 392.2135),(67 393.1037),(68 395.89606),(69 397.559),(70 395.21643),(71 398.89728),(72 393.18884),(73 394.5842),(74 397.15094),(75 390.74744),(76 394.22864),(77 399.42422),(78 400.51584),(79 399.14224),
(1 168.97531),(2 228.33173),(3 274.09158),(4 295.23575),(5 310.41956),(6 321.87003),(7 329.54214),(8 338.14795),(9 346.7813),(10 352.63596),(11 358.77573),(12 357.88376),(13 363.1449),(14 366.91714),(15 373.31598),(16 381.5012),(17 379.38214),(18 379.03662),(19 378.11203),(20 380.67517),(21 374.64758),(22 374.09772),(23 374.842),(24 377.59958),(25 376.72598),(26 381.82813),(27 378.44574),(28 379.51453),(29 382.57928),(30 378.24356),(31 371.39746),(32 373.02307),(33 370.62283),(34 373.80093),(35 375.13977),(36 376.41528),(37 382.01553),(38 375.4901),(39 368.29102),(40 371.96896),(41 375.0442),(42 381.36438),(43 392.47116),(44 395.68594),(45 395.68066),(46 395.61633),(47 392.9098),(48 391.24542),(49 391.31506),(50 395.64273),(51 402.451),(52 392.665),(53 389.8928),(54 390.46677),(55 389.93378),(56 392.14145),(57 398.83212),(58 393.73898),(59 399.07233),(60 399.4496),(61 402.2496),(62 399.5653),(63 399.73862),(64 399.8766),(65 401.82083),(66 404.51434),(67 411.53146),(68 414.56644),(69 412.0107),(70 407.99216),(71 403.82193),(72 393.96805),(73 387.70706),(74 393.95093),(75 401.69162),(76 408.3084),(77 404.59988),(78 401.06577),(79 406.4524),
(1 164.25952),(2 220.22552),(3 260.98172),(4 291.30014),(5 303.1112),(6 308.9085),(7 319.14767),(8 326.90298),(9 336.48294),(10 340.74536),(11 351.02277),(12 354.58456),(13 357.2574),(14 357.8849),(15 359.96024),(16 365.69843),(17 365.24887),(18 372.6345),(19 380.44128),(20 382.52542),(21 378.65347),(22 374.31912),(23 373.77448),(24 379.54114),(25 379.73447),(26 378.1162),(27 381.47528),(28 377.89224),(29 375.09915),(30 375.89758),(31 374.82446),(32 373.54202),(33 374.47794),(34 371.5709),(35 371.60812),(36 366.2486),(37 363.33832),(38 364.6036),(39 365.12924),(40 363.00992),(41 364.46115),(42 369.89084),(43 372.2141),(44 376.2521),(45 379.04407),(46 379.3257),(47 375.09256),(48 368.97635),(49 368.4114),(50 374.68387),(51 380.286),(52 382.75116),(53 386.461),(54 384.50992),(55 387.28754),(56 380.61334),(57 375.65506),(58 373.4809),(59 373.11505),(60 373.88388),(61 377.9102),(62 374.44403),(63 377.1761),(64 373.126),(65 377.9334),(66 381.05392),(67 382.9823),(68 381.8738),(69 381.38312),(70 380.14523),(71 377.3502),(72 375.47885),(73 375.528),(74 375.62195),(75 381.5261),(76 393.25104),(77 393.04437),(78 398.4304),(79 401.85336),
(1 166.08493),(2 224.294),(3 265.72147),(4 290.87585),(5 305.39716),(6 313.6548),(7 322.4371),(8 333.72174),(9 342.3684),(10 342.30005),(11 349.476),(12 350.2014),(13 351.83792),(14 353.31),(15 355.91922),(16 358.16357),(17 363.89832),(18 372.5686),(19 381.61215),(20 383.37607),(21 381.34338),(22 382.56198),(23 382.47693),(24 380.10992),(25 384.892),(26 380.7408),(27 384.70038),(28 383.98923),(29 379.60306),(30 377.52744),(31 376.10986),(32 376.40533),(33 384.79224),(34 389.95853),(35 389.38892),(36 394.55237),(37 398.0883),(38 406.80917),(39 408.89163),(40 407.7016),(41 404.18582),(42 409.8628),(43 411.06674),(44 412.6055),(45 409.03522),(46 403.88913),(47 405.28275),(48 399.49835),(49 399.9916),(50 403.9878),(51 408.30392),(52 401.9705),(53 402.19217),(54 401.48203),(55 400.303),(56 399.94797),(57 399.396),(58 397.2964),(59 394.0101),(60 395.0608),(61 398.48273),(62 397.13312),(63 399.2169),(64 396.35812),(65 399.92694),(66 394.07617),(67 391.71277),(68 394.51047),(69 392.0741),(70 391.9306),(71 390.66214),(72 385.06412),(73 387.34253),(74 381.70905),(75 388.8892),(76 397.74088),(77 402.77975),(78 401.82034),(79 399.31793),
