1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 10057.243),(2 19226.768),(3 36731.035),(4 50073.188),(5 65327.375),(6 84493.54),(7 100567.336),(8 119982.85),(9 138023.98),(10 160949.52),(11 179460.3),(12 198856.61),(13 218755.38),(14 244636.55),(15 271690.97),(16 293235.4),(17 324107.66),(18 346225),(19 378570.66),(20 404204.9),(21 437079.5),(22 464450.4),(23 495345.63),(24 533682.1),(25 561207.3),(26 603803.56),(27 648907.56),(28 686301),(29 748626.75),(30 797596.7),(31 853624),(32 895538.2),(33 946687.5),(34 990221.3),(35 1018615.75),(36 1057776.4),(37 1088006.9),(38 1120041.6),(39 1150585.1),(40 1173693),(41 1214951.1),(42 1240152.5),(43 1282165.6),(44 1320941.5),(45 1365828),(46 1401718.9),(47 1441896),(48 1493911.6),(49 1547797),(50 1617400),(51 1665607),(52 1707693.9),(53 1791074.9),(54 1856755.9),(55 1949156.6),(56 2040552.1),(57 2146827.8),(58 2241098.3),(59 2331843.3),(60 2459268.3),(61 2538413.3),(62 2667685),(63 2796381.3),(64 2901588.3),(65 3045084),(66 3178348),(67 3322618),(68 3467919),(69 3652850.8),(70 3792383.3),(71 3983009.3),(72 4199601.5),(73 4366218.5),(74 4551047.5),(75 4728876.5),(76 4878777),(77 5069628),(78 5237187),(79 5393818),
(1 20642.28),(2 47853.17),(3 61415.74),(4 64962.906),(5 66273.66),(6 70762.61),(7 77755.234),(8 79985.81),(9 80275.914),(10 80390.086),(11 82849.81),(12 87177.92),(13 89278.266),(14 90111.89),(15 90803.734),(16 91979.09),(17 90784.06),(18 88548.31),(19 88600.734),(20 88760.516),(21 86821.1),(22 85068.664),(23 84103.15),(24 86862.23),(25 88085.12),(26 87856.625),(27 86845.125),(28 86365.02),(29 88110.586),(30 89288.09),(31 88628.04),(32 86455.66),(33 86923.87),(34 88143.34),(35 89226.87),(36 87694.57),(37 85364.42),(38 86032.586),(39 87614.42),(40 89126.65),(41 89546.75),(42 87717.23),(43 86575.375),(44 86184.63),(45 85832.3),(46 85857.57),(47 85182.87),(48 87088.305),(49 88671.76),(50 89356.195),(51 89492.695),(52 89872),(53 91503.625),(54 90892.68),(55 88781.414),(56 87498.91),(57 86923.56),(58 86276.76),(59 82469.59),(60 78909.46),(61 78423.78),(62 79953.734),(63 81531.04),(64 80954.98),(65 78701.43),(66 78247.36),(67 79878.51),(68 82369.48),(69 84133.695),(70 83048.914),(71 83009.62),(72 85542.734),(73 86003.79),(74 85187.81),(75 86062.42),(76 87346.34),(77 87977.195),(78 87390.65),(79 86923.55),
(1 18306.188),(2 42747.797),(3 56926.18),(4 63154.992),(5 66823.734),(6 69062.58),(7 71377.05),(8 72989.45),(9 75423.875),(10 77505.73),(11 78550.22),(12 79702.36),(13 80841.73),(14 82601.984),(15 83753.516),(16 84664.04),(17 83173.91),(18 80722.32),(19 79753.18),(20 80886.766),(21 82645.72),(22 82984.39),(23 82797.336),(24 82508.914),(25 82859.6),(26 83079.375),(27 82147.8),(28 82111.56),(29 83458.555),(30 83436.69),(31 82161.734),(32 81551.37),(33 83010.36),(34 82751.3),(35 80237.19),(36 77864.85),(37 77673.055),(38 79874.41),(39 80925.16),(40 81714.06),(41 82219.04),(42 81897.5),(43 81747.82),(44 82193.86),(45 83277.06),(46 84415.41),(47 84277.24),(48 85760.07),(49 87791.78),(50 89155.24),(51 87986.08),(52 87359.38),(53 87727.31),(54 88027.516),(55 87755.85),(56 86151.23),(57 84661.06),(58 83146.95),(59 80681.1),(60 79977.15),(61 81339.98),(62 83464.5),(63 84058.4),(64 82955.35),(65 81299.734),(66 82501.21),(67 84686.56),(68 86975.266),(69 89445.44),(70 90323.77),(71 90432.766),(72 91175.71),(73 92237.59),(74 92870.99),(75 92610.59),(76 92657.47),(77 93800.49),(78 94697.805),(79 96084.61),
(1 17913.564),(2 41904.254),(3 55603.598),(4 60592.043),(5 64001.508),(6 65805.805),(7 67738.22),(8 70712.43),(9 73206.18),(10 74585.71),(11 74648.805),(12 76115.2),(13 77594.6),(14 78006.5),(15 76605.14),(16 75955.11),(17 74934.086),(18 74247.66),(19 73788.39),(20 72692.11),(21 71979.88),(22 71978.875),(23 73366.49),(24 74600.97),(25 74263.35),(26 73438.586),(27 73206.914),(28 73481.03),(29 73450.53),(30 73890.836),(31 73982.695),(32 73507.07),(33 72253.92),(34 71207.06),(35 70617.11),(36 70575.664),(37 69893.75),(38 70394.96),(39 70575.76),(40 71402.52),(41 71965.18),(42 73559.98),(43 75013.414),(44 74655.86),(45 74144.26),(46 75069.9),(47 75469.28),(48 77015.25),(49 78190.82),(50 79869.945),(51 80275.74),(52 80104.88),(53 80245.58),(54 80691.07),(55 80289.836),(56 78885.195),(57 78575.62),(58 78069.78),(59 77288.89),(60 76221.53),(61 75131.414),(62 75857.484),(63 76858.625),(64 76429.09),(65 75060.586),(66 75800.09),(67 77347.31),(68 78186.97),(69 79547.73),(70 81069.56),(71 81897.91),(72 80866.96),(73 78455.4),(74 79121.836),(75 80459.64),(76 81944.484),(77 82254.1),(78 82891.484),(79 84243.84),
(1 16625.725),(2 38369.023),(3 51867.066),(4 57745.23),(5 62452.9),(6 65645.89),(7 69053.19),(8 74518.805),(9 79504.07),(10 81109.81),(11 81736.6),(12 82117.83),(13 83044.11),(14 82506.91),(15 81339.55),(16 81662.64),(17 81689.836),(18 81941.875),(19 82304.05),(20 80420.414),(21 78503.63),(22 78687.43),(23 81558),(24 82322.63),(25 80317.19),(26 79274.95),(27 80246.47),(28 81748.445),(29 80924.22),(30 81002.26),(31 81721.29),(32 81672.46),(33 79851.83),(34 78115.484),(35 77677.5),(36 77279.12),(37 76108.35),(38 74960.75),(39 73644.95),(40 73159.23),(41 73688.99),(42 75620.71),(43 76756.51),(44 76245.234),(45 76434.75),(46 76440.3),(47 77288.91),(48 78091.45),(49 77940.5),(50 79427.46),(51 80307.62),(52 79589.96),(53 78592.67),(54 77428.13),(55 77729.14),(56 77625.6),(57 76866.98),(58 76325.39),(59 75669.195),(60 74798.555),(61 73618.34),(62 74553.97),(63 75142.26),(64 74266.81),(65 71907.234),(66 73453.91),(67 75875.13),(68 77235.484),(69 78736.695),(70 79539.14),(71 80341.29),(72 80400.27),(73 80028.44),(74 80244),(75 81329.37),(76 82004.734),(77 83981.21),(78 84559.8),(79 85037.29),
(1 17360.225),(2 39689.03),(3 52179.777),(4 56835.18),(5 59832.645),(6 63375.574),(7 67034.12),(8 69843.25),(9 72041.46),(10 73060.74),(11 73596.2),(12 74103.305),(13 74021.08),(14 72942.54),(15 71996.22),(16 71876.47),(17 72040.59),(18 72775.41),(19 73218.67),(20 72092.65),(21 72542.46),(22 74074.65),(23 75860.26),(24 76412.65),(25 77009.27),(26 77707.03),(27 77751.266),(28 77473.5),(29 78590.3),(30 80705.6),(31 81076.91),(32 78694.12),(33 76707.41),(34 75195.56),(35 73403.96),(36 70624.97),(37 68801.53),(38 69248.79),(39 69918.945),(40 68664.38),(41 68533.21),(42 70162.89),(43 71114.46),(44 70831.586),(45 70299.43),(46 70844.5),(47 71454.95),(48 72475.46),(49 73846.16),(50 74890.5),(51 74378.04),(52 73070.54),(53 71708.73),(54 71254.055),(55 72397.61),(56 71751.66),(57 70830.57),(58 70842.58),(59 70924.57),(60 72338.375),(61 73591.47),(62 73384.875),(63 71742.46),(64 69863.03),(65 69735.21),(66 72931.41),(67 75444.55),(68 75785.19),(69 74614.484),(70 75112.79),(71 76593.945),(72 77470.06),(73 77804.28),(74 78541.69),(75 79134.9),(76 79735.87),(77 80694.81),(78 80480.57),(79 81236.875),
(1 16908.07),(2 38344.72),(3 48500.68),(4 52954.3),(5 56629.793),(6 61365.93),(7 65828.695),(8 68752.47),(9 69916.875),(10 70293.23),(11 69815.914),(12 69192.29),(13 69590.05),(14 70176.97),(15 69186.29),(16 68274.586),(17 66985.51),(18 67661.26),(19 67720.03),(20 66227.4),(21 66713.95),(22 68663.19),(23 69334.2),(24 69094.1),(25 69456.055),(26 70535),(27 69841.164),(28 68831.25),(29 68573.2),(30 69794.97),(31 69774.1),(32 68484.766),(33 67232.78),(34 66594.23),(35 65370.273),(36 64860.72),(37 65162.773),(38 66555.38),(39 66955.87),(40 66816.875),(41 68450.86),(42 70075.48),(43 71773.73),(44 71959.25),(45 71822.07),(46 72037.305),(47 72199),(48 73697.03),(49 75073.414),(50 75176.85),(51 73069.25),(52 71608.34),(53 72090.445),(54 72681.4),(55 72982.75),(56 72047.125),(57 71159.62),(58 70317.88),(59 69275.74),(60 69519.92),(61 70761.766),(62 72455.78),(63 72363.26),(64 71599.09),(65 71276.96),(66 73786.75),(67 76278.63),(68 75954.766),(69 74537.234),(70 74876.9),(71 77245.09),(72 79245.03),(73 79374.234),(74 78763.82),(75 78359.664),(76 77985.44),(77 78368.914),(78 80052.54),(79 81719.76),
(1 15785.417),(2 35515.137),(3 46063.13),(4 50540.01),(5 54188.418),(6 59883.61),(7 66327.21),(8 69889.6),(9 71333.14),(10 71495.414),(11 71811.83),(12 71912.93),(13 71416.56),(14 71304.91),(15 71339.59),(16 70946.31),(17 69521.38),(18 69024.96),(19 68128.45),(20 66113.266),(21 65939.61),(22 66756.9),(23 68230.89),(24 69365.766),(25 69371.57),(26 68672.56),(27 67936.87),(28 67125.234),(29 66670.42),(30 65767.5),(31 65512.367),(32 65973.15),(33 66512.68),(34 66159.59),(35 64856.71),(36 65737.375),(37 66210.77),(38 67578.984),(39 68040.13),(40 67893.95),(41 68529.79),(42 68431.82),(43 68774.74),(44 68803.82),(45 69414.36),(46 70906.27),(47 70561.29),(48 71307.28),(49 73036.77),(50 73857.9),(51 72802.32),(52 71289.36),(53 70655.6),(54 70952.72),(55 72512.72),(56 72228.65),(57 70410.46),(58 69285.66),(59 68540.52),(60 69643.24),(61 70633.48),(62 71181.086),(63 70446.17),(64 69662.14),(65 70168.08),(66 71708.09),(67 72021.29),(68 71426.33),(69 71421.38),(70 72886.32),(71 75043.26),(72 76802.914),(73 77467.555),(74 78300.42),(75 77409.07),(76 76178.76),(77 74718.17),(78 73581.164),(79 74076.9),
(1 15574.544),(2 35742.617),(3 46219.242),(4 49766.266),(5 53035.28),(6 57091.824),(7 60809.58),(8 63972.7),(9 66317.49),(10 67269.8),(11 67363.33),(12 65702.41),(13 63455.164),(14 62519.02),(15 62415.39),(16 62775.105),(17 63130.473),(18 62093.832),(19 62074.227),(20 62473.508),(21 62845.42),(22 63104.434),(23 63459.566),(24 65079.926),(25 65205.855),(26 65456.38),(27 65369.46),(28 64498.875),(29 63453.566),(30 62972.71),(31 63337.75),(32 63396.977),(33 64075.03),(34 64386.215),(35 64330.813),(36 64110.72),(37 63313),(38 62101.523),(39 60954.465),(40 60017.44),(41 59885.863),(42 59852.152),(43 60599.32),(44 60845.723),(45 61804.234),(46 62801.71),(47 63820.184),(48 65355.652),(49 66414.15),(50 66499.46),(51 65214.332),(52 64560.97),(53 66552.11),(54 67510.96),(55 67022.336),(56 64942.316),(57 65183.28),(58 67215.16),(59 68353.12),(60 68165.85),(61 67678.9),(62 67898.555),(63 68221.92),(64 67826.07),(65 67888.82),(66 69670.62),(67 71260.92),(68 70925.12),(69 69723.92),(70 70353.21),(71 73159.02),(72 75540.414),(73 76079.63),(74 77234.05),(75 77401.67),(76 76521.05),(77 75789.695),(78 74939.52),(79 76679.41),
(1 15668.716),(2 35949.457),(3 46488.223),(4 51104.164),(5 54872.67),(6 58619.95),(7 61725.03),(8 65368.49),(9 68330.82),(10 69478.67),(11 69328.555),(12 67207.73),(13 66098.84),(14 65609.234),(15 64906.99),(16 66464.695),(17 68209.22),(18 66652.75),(19 66015.66),(20 66377.516),(21 67570.08),(22 68893.75),(23 69588.57),(24 69623.086),(25 68458.76),(26 68826.68),(27 69303.63),(28 68937.73),(29 67809.06),(30 66987.03),(31 66188.33),(32 65424.156),(33 66180.9),(34 66523.7),(35 67768.9),(36 68238.85),(37 66241.45),(38 64422.98),(39 62133.69),(40 60920.797),(41 61440.92),(42 62310.89),(43 63365.98),(44 63354.883),(45 63518.06),(46 63978.563),(47 64181.117),(48 66055.92),(49 68459.78),(50 70154.14),(51 70035.59),(52 69146.125),(53 70750.15),(54 71608.6),(55 72358.88),(56 72562.055),(57 72841.914),(58 73540.73),(59 72158.06),(60 71592.734),(61 72001.85),(62 72010.78),(63 71237.61),(64 70737.31),(65 70627.66),(66 71216.52),(67 71886.195),(68 72196.27),(69 71045.07),(70 70804.195),(71 70493.02),(72 71281.37),(73 70954.11),(74 70981.98),(75 72003.984),(76 72196.9),(77 71875.945),(78 70655.87),(79 71410.8),
(1 16327.256),(2 36111.652),(3 45252.93),(4 48627.363),(5 51102.613),(6 53753.32),(7 57517.543),(8 60657.336),(9 61902.94),(10 62323.11),(11 62305.246),(12 62302.965),(13 61978.098),(14 61572.098),(15 60691.652),(16 61266.09),(17 61742.066),(18 60552.668),(19 60981.402),(20 62065.56),(21 62620.1),(22 62472.41),(23 62036.492),(24 62079.742),(25 61880.168),(26 62892.074),(27 63254.125),(28 63456.742),(29 61455.703),(30 60515.375),(31 60582.086),(32 61187.867),(33 61988.5),(34 62400.97),(35 63505.465),(36 63424.145),(37 61950.758),(38 61425.23),(39 60363.88),(40 60284.03),(41 60749.11),(42 61319.746),(43 61841.426),(44 61827.637),(45 62063.656),(46 62372.203),(47 62347.48),(48 63415.813),(49 64744.676),(50 66367.484),(51 66349.28),(52 65942.24),(53 65408.223),(54 65122.023),(55 66648.04),(56 68062.06),(57 68439.83),(58 68457.29),(59 66935.52),(60 65471.137),(61 64589.02),(62 64349.555),(63 63434.926),(64 62832.99),(65 62655.81),(66 62782.6),(67 63147.98),(68 63775.902),(69 64176.965),(70 64553.535),(71 64384.53),(72 66018.78),(73 67491.12),(74 67922.62),(75 67823.82),(76 68879.59),(77 70363.83),(78 69763.12),(79 71427.25),
(1 17433.46),(2 38138.48),(3 45819.4),(4 49425.082),(5 52149.61),(6 55745.504),(7 58617.832),(8 59576.477),(9 61176.297),(10 63145.324),(11 63660.14),(12 63596.344),(13 63001.336),(14 61909.31),(15 62043.23),(16 63390.85),(17 63016.258),(18 62645.18),(19 63817.496),(20 64942.664),(21 64932.934),(22 65656.61),(23 65599.625),(24 64750.574),(25 63778.97),(26 64441.93),(27 65640.3),(28 65771.53),(29 64486.406),(30 62934.555),(31 62842.445),(32 63082.23),(33 64203.86),(34 63822.844),(35 62566.344),(36 61042.586),(37 61017.285),(38 61506.633),(39 60146.4),(40 58581.285),(41 58603.215),(42 58834.94),(43 59057.77),(44 60029.69),(45 61271.563),(46 62455.547),(47 63494.04),(48 63149.71),(49 62276.457),(50 63352.465),(51 64668.08),(52 64783.508),(53 64800.33),(54 64175.03),(55 64242.027),(56 64118.62),(57 64047.703),(58 64708.15),(59 66207.11),(60 66480.43),(61 66073.85),(62 66658.08),(63 65956.75),(64 65512.582),(65 65980.33),(66 66293.2),(67 65858.414),(68 65869.3),(69 67709.94),(70 68052.09),(71 66316.375),(72 66495.055),(73 67507.336),(74 68128.94),(75 68802.14),(76 70203.61),(77 71333.8),(78 69198.31),(79 68086.375),
(1 17156.879),(2 37412.45),(3 45374.645),(4 48533.695),(5 52862.676),(6 56456.117),(7 58103.438),(8 59722.36),(9 62675.41),(10 64043.02),(11 62816.98),(12 62670.71),(13 62839.055),(14 62135.3),(15 61926.52),(16 62003.46),(17 61197.656),(18 59772.645),(19 59977.64),(20 60943.793),(21 61293.16),(22 61504.785),(23 61027.266),(24 60970.61),(25 59763.066),(26 59989.797),(27 61166.508),(28 61814.473),(29 60901.36),(30 59210.36),(31 59022.457),(32 59959.39),(33 60825.84),(34 59965.03),(35 58647.125),(36 58680),(37 58600.39),(38 58342.367),(39 57054.598),(40 56190.957),(41 55933.3),(42 56401.668),(43 57404.227),(44 58297.953),(45 59080.652),(46 60114.46),(47 61455.426),(48 61666.24),(49 60564.887),(50 59929.793),(51 60758.03),(52 61939.457),(53 62185.24),(54 61116.652),(55 61104.92),(56 60619.586),(57 61173.1),(58 61920.58),(59 62892.54),(60 63084.188),(61 62908.703),(62 64506.445),(63 64849.746),(64 63974.1),(65 63780.473),(66 64611.03),(67 63897.813),(68 63462.64),(69 65219.727),(70 65721.305),(71 64231.266),(72 63005.516),(73 63951.94),(74 65956.55),(75 66448.46),(76 66835.63),(77 68505.875),(78 67792.78),(79 66226.55),
(1 16178.119),(2 35321.73),(3 44087.066),(4 47184.297),(5 50627.566),(6 53860.816),(7 54943.668),(8 56046.61),(9 57146.3),(10 57302.344),(11 57578.242),(12 58519.434),(13 58478.234),(14 57397.785),(15 57262.605),(16 58875.89),(17 59598.3),(18 58373.31),(19 58986.285),(20 59608.734),(21 60088.063),(22 59846.656),(23 59668.65),(24 60148.734),(25 60250.86),(26 60215.035),(27 60620.414),(28 60140.71),(29 58597.125),(30 57895.508),(31 59702.785),(32 60586.277),(33 60237.074),(34 59017.81),(35 58990.246),(36 59403.594),(37 58477.625),(38 57537.457),(39 56580.777),(40 56330.61),(41 56568.168),(42 55496.35),(43 54617.117),(44 55287.13),(45 57405.254),(46 58021.395),(47 57995.05),(48 57421.66),(49 57112.938),(50 58700.977),(51 60171.277),(52 60937.754),(53 59349.703),(54 58904.715),(55 61188.3),(56 61283.594),(57 59767.617),(58 59410.926),(59 60307.426),(60 60582.344),(61 60520.29),(62 61862.055),(63 62372.938),(64 61887.945),(65 61188.508),(66 61166.914),(67 60741.36),(68 60219.418),(69 61234.008),(70 62279.543),(71 61952),(72 61390.254),(73 61651.01),(74 62683.48),(75 63977.918),(76 64595.83),(77 66257.22),(78 65040.426),(79 63595.64),
(1 16018.132),(2 34041.918),(3 42105.098),(4 44941.63),(5 48206.957),(6 50861.414),(7 51619.184),(8 52740.195),(9 54180.023),(10 54842.227),(11 54943.473),(12 56343.523),(13 56702.516),(14 56951.895),(15 57843.56),(16 58584.797),(17 57569.402),(18 56337.71),(19 58199.44),(20 59818.492),(21 60528.797),(22 59881.824),(23 59145.492),(24 58358),(25 57479.02),(26 57447.848),(27 57873.586),(28 57090.824),(29 56150.152),(30 55904.844),(31 56834.723),(32 56814.97),(33 56507.496),(34 55968.527),(35 55868.05),(36 56379.926),(37 56120.137),(38 55435.01),(39 54551.46),(40 54494.65),(41 54518.426),(42 53038.203),(43 52478.848),(44 53056.145),(45 54423.527),(46 54405.945),(47 53828.215),(48 53696.164),(49 54213.56),(50 56234.617),(51 57517.54),(52 57998.766),(53 57744.766),(54 57446.36),(55 57341.96),(56 56656.527),(57 56529.22),(58 56116.363),(59 56525.773),(60 57724.793),(61 59232.59),(62 60790.133),(63 61315.258),(64 61612.97),(65 62207.813),(66 61829.02),(67 61105.76),(68 60965.195),(69 62160.168),(70 63606.164),(71 63675.7),(72 62960.445),(73 62817.082),(74 63017.723),(75 63193.816),(76 63126.605),(77 63279.61),(78 62286.926),(79 60867.863),
(1 15984.794),(2 33775.543),(3 40749.574),(4 43432.965),(5 46739.387),(6 49236.375),(7 49411.152),(8 50079.46),(9 51965.94),(10 53411.87),(11 53530.33),(12 53597.707),(13 53119.54),(14 52853.918),(15 53228.76),(16 54200.07),(17 55604.67),(18 55076.434),(19 55607.355),(20 56427.273),(21 56805.145),(22 56010.81),(23 55501.273),(24 55161.016),(25 54792.855),(26 54909.574),(27 54863.414),(28 54495.53),(29 55168.098),(30 55626.81),(31 55466.26),(32 54521.918),(33 54213.176),(34 54044.176),(35 53504.625),(36 53374.65),(37 53767.75),(38 54005.12),(39 52825.973),(40 52150.04),(41 52642.14),(42 52772.96),(43 53505.977),(44 53361.598),(45 53439.72),(46 53291.168),(47 53354.67),(48 53321.72),(49 53487.766),(50 53907.93),(51 53616.387),(52 54000.996),(53 55003.027),(54 54537.46),(55 53934.05),(56 55101.414),(57 56106.61),(58 56587.844),(59 55565.45),(60 55841.05),(61 57589.645),(62 58463.375),(63 57739.016),(64 56692.016),(65 56667.563),(66 56568.035),(67 56176.45),(68 56131.41),(69 56726.492),(70 56985.69),(71 56000.81),(72 55866.28),(73 56440.402),(74 56552.14),(75 55752.52),(76 55160.484),(77 54675.035),(78 54926.813),(79 54756.68),
(1 14646.769),(2 31594.844),(3 39607.195),(4 42784.75),(5 45123.133),(6 47415.516),(7 48224.508),(8 48759.508),(9 50547.09),(10 52160.08),(11 52343.566),(12 53070.793),(13 52495.395),(14 51812.426),(15 52286.063),(16 53131.16),(17 54520.773),(18 53546.16),(19 52889.574),(20 52805.652),(21 53835.008),(22 52945.707),(23 52188.938),(24 52586.098),(25 52411.22),(26 53675.164),(27 54020.59),(28 53781.215),(29 53570.26),(30 54384.574),(31 56258.063),(32 55694.598),(33 54322.12),(34 54093.75),(35 54957.367),(36 54298.08),(37 53011.39),(38 52764.83),(39 52187.465),(40 51416.08),(41 51051.367),(42 51435),(43 51755.02),(44 51074.3),(45 50974.883),(46 50992.313),(47 51690.992),(48 51317.297),(49 51345.508),(50 51370.816),(51 50868.355),(52 50223.402),(53 51281.52),(54 52113),(55 52069.664),(56 52708.59),(57 54243.52),(58 55607.73),(59 55068.74),(60 53719.63),(61 55131.5),(62 56441.523),(63 56142.453),(64 55912.652),(65 56398.617),(66 56272.88),(67 55299.535),(68 55262.992),(69 56765.293),(70 57857.855),(71 57011.598),(72 56806.13),(73 58216.316),(74 58799.563),(75 57827.574),(76 57895.26),(77 58921.934),(78 58150.926),(79 56598.773),
(1 13421.808),(2 28251.637),(3 34868.63),(4 37620.004),(5 40142.504),(6 41786.598),(7 42928.516),(8 43648.71),(9 44853.082),(10 46088.727),(11 46761.645),(12 47931.13),(13 48457.324),(14 48789.977),(15 49428.688),(16 49528.41),(17 50007.965),(18 50481.93),(19 51525.31),(20 51566.543),(21 52052.63),(22 51709.94),(23 51174.54),(24 52087.324),(25 52050.496),(26 51639.527),(27 50842.273),(28 49864.617),(29 49079.676),(30 49201.395),(31 49871.184),(32 50379.406),(33 50727.566),(34 50549.324),(35 50073.086),(36 50367.16),(37 50222.457),(38 49413.645),(39 47960.63),(40 46571.652),(41 45715.04),(42 45643.008),(43 45921.664),(44 46437.313),(45 47005.742),(46 47328.273),(47 47044.074),(48 46489.24),(49 47150.992),(50 47442.4),(51 48250.527),(52 49501.688),(53 50460.656),(54 50102.688),(55 49175.234),(56 50330.207),(57 52283.145),(58 53554.06),(59 52956.504),(60 52331.543),(61 52602.137),(62 53521.715),(63 53426.195),(64 52422.926),(65 51924.62),(66 52058.25),(67 52082.23),(68 52291.53),(69 53168.125),(70 53550.715),(71 52065.047),(72 51341.43),(73 51516.164),(74 52097.457),(75 53178.566),(76 54000.1),(77 55070.75),(78 53940.023),(79 53731.742),
