1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 64015.95),(2 223225.33),(3 451331.84),(4 747201.75),(5 1107721),(6 1533543),(7 2092975.9),(8 2674028.3),(9 3222694),(10 3843575.3),(11 4578308.5),(12 5453444.5),(13 6461720.5),(14 7506558.5),(15 8566987),(16 9645912),(17 10810431),(18 11976321),(19 13098881),(20 14290029),(21 15506509),(22 16736989),(23 18222818),(24 19892026),(25 21684882),(26 23623162),(27 25669816),(28 27773214),(29 29981370),(30 32504880),(31 35102180),(32 37713256),(33 40326500),(34 43085856),(35 45917788),(36 48812100),(37 51879852),(38 55181484),(39 58440308),(40 62237660),(41 66226292),(42 70549120),(43 75357570),(44 80476870),(45 85939496),(46 91650090),(47 97501750),(48 103168870),(49 108959130),(50 113971290),(51 118582104),(52 123806456),(53 129421920),(54 134831890),(55 139897380),(56 144967660),(57 149449810),(58 154173900),(59 158719200),(60 162785200),(61 165962610),(62 168683120),(63 171037630),(64 172929400),(65 173988460),(66 174609140),(67 175354240),(68 175454640),(69 175436110),(70 175300050),(71 175693170),(72 176556560),(73 177427090),(74 178479760),(75 179579520),(76 180866990),(77 181967800),(78 183410610),(79 185099120),
(1 26049.828),(2 77901.85),(3 132090.8),(4 184487.03),(5 235955.08),(6 285738.44),(7 323397.16),(8 349914.6),(9 369954.6),(10 387575.6),(11 400504.44),(12 409540.03),(13 412249.28),(14 412556.84),(15 415521),(16 420138.34),(17 424819.34),(18 428773.25),(19 434796.28),(20 444263.28),(21 455145.66),(22 463845.75),(23 474150.2),(24 481709.06),(25 490449.28),(26 499008.88),(27 506243.03),(28 511507.13),(29 514978.78),(30 518605.9),(31 520286.9),(32 521047.75),(33 521865.8),(34 521036.7),(35 518962.34),(36 516884.4),(37 517043.22),(38 520672.1),(39 524400.2),(40 528400.6),(41 530678.56),(42 531482.94),(43 532398.6),(44 533980.9),(45 535647.4),(46 535645.25),(47 537440.25),(48 539665.2),(49 542888.25),(50 546132.2),(51 550076.2),(52 555578.94),(53 559932.6),(54 564480.8),(55 567107.8),(56 569784.56),(57 571663.4),(58 572456.6),(59 569907.56),(60 567382.8),(61 563117.75),(62 560133.44),(63 561291.6),(64 568415.44),(65 577047.2),(66 586003.1),(67 592595.2),(68 597605.56),(69 603037.8),(70 607705.06),(71 610765.56),(72 613697.4),(73 612880.9),(74 610049.1),(75 606077.5),(76 605173.56),(77 610514.6),(78 618760.25),(79 623505.9),
(1 25820.469),(2 76660.25),(3 128706.414),(4 176296.16),(5 221477.83),(6 263416.4),(7 295353.53),(8 317769.5),(9 337619.6),(10 355958.2),(11 369585.5),(12 379862.13),(13 386775.75),(14 394087.25),(15 406806.34),(16 418906.94),(17 429203.22),(18 437160.9),(19 447480.63),(20 459157.22),(21 470272.4),(22 477390.8),(23 483583.44),(24 488548.9),(25 493814.9),(26 495886.66),(27 497444.5),(28 504271.88),(29 515165.6),(30 527510.75),(31 537844.2),(32 545903.4),(33 553553),(34 560046.6),(35 566541.4),(36 570536.5),(37 574926.2),(38 576609.25),(39 574339.94),(40 570972.25),(41 566289.44),(42 560836.6),(43 558411.6),(44 560966.44),(45 564627.5),(46 566609.7),(47 570826.44),(48 577592.56),(49 583639.5),(50 588167.2),(51 593347.94),(52 597550.8),(53 600092.1),(54 600419.6),(55 601951.3),(56 601830.2),(57 603858.9),(58 604933.6),(59 604904.4),(60 603127.56),(61 602226.6),(62 601804.06),(63 601230.8),(64 604135.3),(65 604970.94),(66 603485.6),(67 602879.6),(68 599813.7),(69 593121.75),(70 587629.3),(71 579791.3),(72 570074.3),(73 560540.6),(74 552965.7),(75 546874.75),(76 543031.06),(77 544788.75),(78 548568.25),(79 552863.2),
(1 24833.742),(2 73094.22),(3 122877.164),(4 172149.06),(5 219934.38),(6 259861.27),(7 291935.8),(8 315640),(9 334479.56),(10 348496.56),(11 362858),(12 377975.7),(13 391470.75),(14 401634.13),(15 411404.34),(16 420170.72),(17 427865.84),(18 436353.03),(19 445133.75),(20 454763.25),(21 464072.3),(22 470854.06),(23 477295.66),(24 483059.88),(25 487536.38),(26 489280.72),(27 489394.2),(28 489674.34),(29 490855.6),(30 495672.75),(31 499992.03),(32 504364.78),(33 507848.5),(34 509601.3),(35 510370.97),(36 509652.03),(37 508814.9),(38 508719.78),(39 508166.53),(40 508445.97),(41 505978.03),(42 505300.75),(43 507363.78),(44 514771.44),(45 521033.56),(46 523503.03),(47 525679.75),(48 530877.56),(49 535619),(50 542751.9),(51 551612.56),(52 560198.4),(53 569947.56),(54 576889.4),(55 582015.9),(56 585676.2),(57 588534.75),(58 590792.1),(59 589106.6),(60 586664.9),(61 586860.4),(62 588991.75),(63 591570.6),(64 592248.8),(65 590976.9),(66 593145.9),(67 596090.06),(68 596625.56),(69 594603.2),(70 592652.6),(71 592758.8),(72 591940.56),(73 591449.06),(74 591743.3),(75 594153.75),(76 598790.25),(77 602160.9),(78 602274.25),(79 602550.75),
(1 24487.143),(2 73479.16),(3 126196.375),(4 176759.72),(5 225064.3),(6 265911.34),(7 298870.9),(8 326611.44),(9 348303.44),(10 364420.78),(11 378453.06),(12 390009.5),(13 398634.34),(14 408585),(15 420222.66),(16 430456.97),(17 437507.3),(18 443537.94),(19 450323.3),(20 458249.1),(21 466426.75),(22 473569.4),(23 481427.03),(24 490181),(25 495355.03),(26 497192.5),(27 499888.56),(28 502981.1),(29 504335.6),(30 507635.03),(31 513420.63),(32 521273.2),(33 526937.75),(34 530560.2),(35 530695.7),(36 532710.4),(37 537351.4),(38 543216.94),(39 550966.56),(40 560515.75),(41 567746.4),(42 572565.8),(43 574116.25),(44 574128.1),(45 569185.94),(46 563689.75),(47 561141.44),(48 560100.25),(49 558362.06),(50 560885.56),(51 562426.9),(52 563475.06),(53 565977.9),(54 571113.9),(55 575706.4),(56 579646),(57 580907.4),(58 580675.9),(59 581116.1),(60 580049.2),(61 584157.5),(62 589431.5),(63 592887.1),(64 597086.25),(65 599799.6),(66 600548.06),(67 601751.3),(68 599317.6),(69 590732),(70 579072.06),(71 570017.2),(72 564504.1),(73 559933.9),(74 559504.1),(75 561491.94),(76 563591),(77 566199.94),(78 571136.56),(79 577026.25),
(1 23823.762),(2 70580.41),(3 120442.21),(4 166092.02),(5 209589.53),(6 247105.58),(7 274659),(8 294855.16),(9 309502.34),(10 321518.7),(11 329422.94),(12 333125.8),(13 333753.03),(14 334723.88),(15 337989.7),(16 344743.16),(17 354582.63),(18 365216.2),(19 376616.5),(20 387840.16),(21 397103.44),(22 405853.16),(23 412911.06),(24 418032.9),(25 419304.5),(26 421380.28),(27 424906.56),(28 427352.47),(29 428170.06),(30 429212.16),(31 428792.7),(32 428249.03),(33 429191.66),(34 431826.22),(35 436184.72),(36 442770.13),(37 450900.03),(38 456438.63),(39 459625.75),(40 465523.16),(41 471741.97),(42 479026.4),(43 485464.75),(44 493875.66),(45 499030.8),(46 505565.2),(47 508750.97),(48 510581.28),(49 514326.97),(50 520702.94),(51 528635.3),(52 532413.25),(53 532481.9),(54 532926.7),(55 532069),(56 528667.25),(57 529626.6),(58 529951.9),(59 531331.6),(60 531482.75),(61 532708.9),(62 535585.25),(63 539674.7),(64 541917.7),(65 540637.2),(66 536781.25),(67 533209.8),(68 532173.9),(69 531866.75),(70 532026.6),(71 530461.1),(72 525505.9),(73 524264.44),(74 528559.3),(75 534084.06),(76 538258.6),(77 540652.25),(78 544407.2),(79 544552.2),
(1 23481.705),(2 69934.01),(3 117992.8),(4 163733.13),(5 208139.92),(6 247131.39),(7 280025.66),(8 304031.2),(9 321895.34),(10 336552.06),(11 348849.44),(12 357661.72),(13 365406.1),(14 371922.53),(15 375666.66),(16 374902.9),(17 374412.34),(18 377098.7),(19 383538.28),(20 390948.22),(21 398732.34),(22 408285.3),(23 416904.5),(24 422397.97),(25 428207.63),(26 431864.28),(27 433154.06),(28 431556.38),(29 431464.56),(30 432291.44),(31 435096.38),(32 439436.03),(33 444544.5),(34 448272.97),(35 449806.03),(36 452303.84),(37 456458.78),(38 460936.56),(39 465103.5),(40 468141.44),(41 468725.56),(42 470916.84),(43 472852.56),(44 474469.5),(45 478339.66),(46 481388.06),(47 481075.6),(48 478165.97),(49 474459.16),(50 475169.3),(51 477838.88),(52 478232.47),(53 474500.97),(54 474195.63),(55 473591.1),(56 472306.06),(57 469403.1),(58 466241.63),(59 465058.5),(60 463030.38),(61 460910.6),(62 461209.03),(63 464211.44),(64 470600.56),(65 476410.72),(66 481090.47),(67 489442.88),(68 503243.88),(69 516621.28),(70 529649.4),(71 538136.4),(72 541957),(73 543684.4),(74 542699.8),(75 539936.25),(76 536954.94),(77 534925.3),(78 533641.56),(79 532509.2),
(1 23048.338),(2 68501.97),(3 115584.055),(4 160827.56),(5 203480.17),(6 240871.58),(7 271538.78),(8 292849.88),(9 306315.9),(10 316941.47),(11 324096.47),(12 328469.63),(13 332062.8),(14 335424.47),(15 337966.94),(16 341749.63),(17 345206.2),(18 347814.34),(19 352846.06),(20 357237.8),(21 360457.1),(22 364635.97),(23 370226.2),(24 373577.75),(25 380991.22),(26 390864.56),(27 400557.34),(28 408749.72),(29 414899.44),(30 419614.3),(31 424131.66),(32 428298.06),(33 432653.06),(34 433391.2),(35 430962.66),(36 426904.5),(37 424386.53),(38 422392.47),(39 420790.9),(40 419221.72),(41 418655.5),(42 418824.5),(43 420540.9),(44 422286),(45 425512.53),(46 429747.16),(47 432268.88),(48 435566.66),(49 437140.5),(50 438426.9),(51 438573.7),(52 441857.6),(53 444868.2),(54 447787.97),(55 449637.16),(56 451104.7),(57 453705.34),(58 452856.34),(59 451151.44),(60 448771.6),(61 448320.5),(62 452678.66),(63 459373.7),(64 461827.22),(65 460594.34),(66 459977.9),(67 459373.7),(68 457778.25),(69 457670.2),(70 459363.66),(71 461093.16),(72 463172.75),(73 465007.38),(74 465475.72),(75 467258.94),(76 471130.66),(77 476170.2),(78 481661.38),(79 487608.3),
(1 24016.44),(2 71664.38),(3 121389.234),(4 167762.22),(5 210120.38),(6 244564.38),(7 268443),(8 288033.94),(9 304313.5),(10 314413.22),(11 319376.3),(12 322806.97),(13 325197.75),(14 332182.03),(15 340891.2),(16 346928.94),(17 352553.94),(18 359707.06),(19 365959.56),(20 370435.88),(21 373621.38),(22 375266.25),(23 375376.53),(24 375071.5),(25 375686.03),(26 377920.9),(27 381892.5),(28 387568.16),(29 393267.2),(30 398240.06),(31 401909.16),(32 404092.6),(33 405609.72),(34 407553.88),(35 407349.3),(36 407534.1),(37 409404.06),(38 414267.66),(39 416330.47),(40 416820.56),(41 415792.8),(42 417007.78),(43 418834.44),(44 419630.88),(45 421103.7),(46 422781.84),(47 427991.7),(48 433922.88),(49 436951.63),(50 439209.56),(51 438833.22),(52 437622.63),(53 435981.84),(54 433210.97),(55 429190.34),(56 427942.34),(57 428210.72),(58 425132.22),(59 423446.9),(60 424571.84),(61 430723.88),(62 439773.66),(63 448793.78),(64 455531.88),(65 458036.5),(66 457266.53),(67 456131.06),(68 450544.16),(69 442978.16),(70 439582.4),(71 440813.3),(72 442138.9),(73 444637.5),(74 448173.03),(75 451612.4),(76 455207.4),(77 457078.84),(78 459111),(79 461757.3),
(1 22424.86),(2 67045.34),(3 114707.56),(4 159622.55),(5 199933.48),(6 233480.66),(7 257001.28),(8 273415.7),(9 284666.84),(10 290040.3),(11 291621.78),(12 293418.03),(13 298436.78),(14 306952.6),(15 314994.1),(16 322589.03),(17 328313.34),(18 332845.13),(19 337557.44),(20 340121.6),(21 341702.06),(22 345055.38),(23 349652.2),(24 354759.22),(25 357911.38),(26 359384.28),(27 357895.47),(28 356151.44),(29 355692.28),(30 356116.63),(31 355818.34),(32 355745.3),(33 356305.66),(34 355788.78),(35 353845.3),(36 353094.4),(37 355096.06),(38 358209.5),(39 356716.06),(40 354473.44),(41 354631.7),(42 359690.2),(43 365646.3),(44 371484.03),(45 376356.22),(46 379951.44),(47 381732.38),(48 384899.5),(49 389002.94),(50 391968.44),(51 391649.63),(52 394988.38),(53 399047.13),(54 401889.22),(55 400914.34),(56 401009.8),(57 401793.88),(58 401982.16),(59 403179.75),(60 405173.9),(61 408729.28),(62 417454.44),(63 425301.34),(64 429838.5),(65 435582.9),(66 436943.38),(67 435202.97),(68 431799.84),(69 429081.1),(70 425907.3),(71 424151.84),(72 419618.13),(73 416268.56),(74 414870.3),(75 414932.2),(76 416814.97),(77 419431.56),(78 418986.84),(79 421879.84),
(1 20630.652),(2 60301.656),(3 101705.03),(4 140267.3),(5 174564.7),(6 201535.08),(7 220089.14),(8 234651.89),(9 245551.64),(10 254331.86),(11 261940.97),(12 268108.75),(13 275995.72),(14 284859.44),(15 293294),(16 300847.13),(17 307868.13),(18 312826.88),(19 316415.2),(20 320173.8),(21 324477.94),(22 328652.28),(23 333175.78),(24 337591.88),(25 341771.06),(26 343718.4),(27 344483.56),(28 344735.34),(29 344677.2),(30 346610.25),(31 350682.53),(32 353760.25),(33 357138.16),(34 357280.34),(35 357422.78),(36 361418.53),(37 365184.72),(38 370016.88),(39 374939.56),(40 380612.34),(41 385120.72),(42 389738),(43 393096.66),(44 396091.56),(45 398911.78),(46 401864),(47 404211.34),(48 407407.6),(49 411601.6),(50 416140.66),(51 418520.4),(52 416688.47),(53 415888.75),(54 419003.34),(55 421799),(56 423778.88),(57 425618.06),(58 428544.8),(59 431940.94),(60 437371.56),(61 441127.78),(62 442881.34),(63 442189.25),(64 439912.44),(65 439676.22),(66 442211.72),(67 444762.66),(68 445319.4),(69 440281.72),(70 436254.88),(71 432304.28),(72 430926.16),(73 430986.66),(74 428987.4),(75 427687.28),(76 426717.66),(77 427210.94),(78 428213.63),(79 426858.94),
(1 20312.664),(2 59332.023),(3 100101.28),(4 137353.64),(5 170435.72),(6 196012.61),(7 212834.03),(8 227873.19),(9 240669.56),(10 253001.77),(11 265697.4),(12 275729.7),(13 281276.22),(14 287150.38),(15 293295.72),(16 301103.63),(17 308055.88),(18 312972.2),(19 316981.4),(20 321543.72),(21 325502.2),(22 328446.9),(23 332251.47),(24 335774.88),(25 339410.53),(26 344023.97),(27 347811.25),(28 350721.03),(29 350134.97),(30 349415.7),(31 348994.75),(32 349597.63),(33 350752.03),(34 352602.44),(35 355269.78),(36 359226.66),(37 363021.4),(38 366835.78),(39 370186.72),(40 374529.7),(41 379722.1),(42 383996.94),(43 385233.34),(44 386087.44),(45 388993.78),(46 392036.1),(47 394128.03),(48 394184.84),(49 394455.34),(50 394106.34),(51 391821.28),(52 392203.8),(53 391284.06),(54 390596.9),(55 387260.7),(56 385413.97),(57 385283.8),(58 386056.38),(59 388213.34),(60 388657.5),(61 390123.5),(62 392544.38),(63 394802.22),(64 395366.9),(65 395940.22),(66 398803.53),(67 403527.56),(68 405978.2),(69 404696.06),(70 402176.6),(71 402175.3),(72 404064.7),(73 405210.22),(74 403665.53),(75 401443.1),(76 400239.9),(77 400032.88),(78 399039.25),(79 399642.88),
(1 20856.494),(2 62044.42),(3 106436.016),(4 147965.75),(5 185471.52),(6 214634.22),(7 235325.8),(8 251803.86),(9 263161.3),(10 272786.47),(11 281494.56),(12 288014.6),(13 294029.75),(14 298387.53),(15 302134.5),(16 305995.1),(17 311739.47),(18 315747.6),(19 321177.66),(20 327325.88),(21 331881),(22 335333.25),(23 338916.72),(24 340153.88),(25 340300.44),(26 341619.6),(27 344638.25),(28 348897.84),(29 353132.75),(30 356396.4),(31 358395.44),(32 359822.66),(33 362204.5),(34 364685.47),(35 368587.63),(36 373191.9),(37 378006.2),(38 382581.1),(39 386907.88),(40 389494.75),(41 388755.22),(42 386732.6),(43 385557),(44 386199.38),(45 386045.47),(46 384420.1),(47 382957.78),(48 382923.28),(49 385324.25),(50 389294.9),(51 389095.2),(52 387713.28),(53 386991.03),(54 387473.5),(55 388574.03),(56 390415.13),(57 392281.78),(58 393637.72),(59 394906.84),(60 399509.16),(61 401507.03),(62 406706.72),(63 416094.75),(64 421157.78),(65 423505.4),(66 424431.94),(67 425324.06),(68 424921.63),(69 419502.72),(70 412958.16),(71 405722.1),(72 403435.2),(73 402987.88),(74 403371.47),(75 404373.28),(76 405903.88),(77 407161.88),(78 410803.28),(79 414286.47),
(1 19843.21),(2 57924.37),(3 98894.71),(4 138056.58),(5 175345.81),(6 203802.45),(7 223534.88),(8 239349.45),(9 250128.89),(10 260445.95),(11 266854.3),(12 272644.66),(13 280330.88),(14 286318.9),(15 292041.9),(16 296440.72),(17 299776.78),(18 301134.16),(19 303038.75),(20 304148.4),(21 305458.63),(22 307779.06),(23 309716.56),(24 310968.2),(25 314859.6),(26 321065.5),(27 325290.44),(28 326700.44),(29 327976.06),(30 331843.1),(31 333257.97),(32 330020.16),(33 324621.94),(34 320931.25),(35 319148.6),(36 320208.94),(37 322167.97),(38 325297.97),(39 326783.75),(40 329238.3),(41 332217.63),(42 336142.66),(43 339353.66),(44 341830.72),(45 342784.06),(46 343588.6),(47 342304.94),(48 343334.75),(49 346631.13),(50 348602.06),(51 347585.88),(52 344856.9),(53 342233),(54 340982.22),(55 340545.16),(56 342858.97),(57 343898.44),(58 344534.66),(59 345963.28),(60 349054.8),(61 349956),(62 351201.84),(63 349186.47),(64 348918.75),(65 349524.97),(66 349756.94),(67 351989.4),(68 358022.88),(69 365225.47),(70 370316.38),(71 373445.28),(72 376873.9),(73 380650.6),(74 384893.25),(75 388597.28),(76 394996.44),(77 401396.53),(78 405607.8),(79 406538.88),
(1 19178.195),(2 56796.44),(3 96279.7),(4 132474.39),(5 164210.83),(6 186727.25),(7 203158.78),(8 215945.4),(9 225082.27),(10 231232.23),(11 236727.2),(12 242795.77),(13 248024.72),(14 252542.19),(15 254704.03),(16 256800.33),(17 259283.4),(18 263747.9),(19 268615.94),(20 273360.03),(21 280092),(22 285785.44),(23 291944.5),(24 296525),(25 299237.6),(26 301708.16),(27 305502.7),(28 309113.88),(29 312166.2),(30 316945),(31 321740),(32 324034.78),(33 323414.22),(34 322995.28),(35 320469.66),(36 318989.53),(37 316854.28),(38 315292.44),(39 314913.88),(40 316215.72),(41 317887.8),(42 320233.63),(43 321761),(44 322867.66),(45 324580.1),(46 324486.72),(47 322682.88),(48 319513.5),(49 315058.13),(50 311117.72),(51 309578.2),(52 310578.13),(53 313639.8),(54 317065.72),(55 317357.66),(56 316792.06),(57 316334.6),(58 318008.34),(59 322555.4),(60 324265.34),(61 325033.53),(62 324882.72),(63 321327.6),(64 319032.34),(65 318062.94),(66 316262.97),(67 316352.6),(68 318917.44),(69 324241.78),(70 330237.94),(71 334719.13),(72 337119.88),(73 340548.78),(74 343578.28),(75 345165.22),(76 345198.97),(77 344385.6),(78 345287.6),(79 347451.8),
(1 19268.258),(2 56720.72),(3 96799.32),(4 133956.69),(5 166160.39),(6 189194.55),(7 205883.66),(8 219172.7),(9 229881.88),(10 240189.63),(11 248425.4),(12 256760.83),(13 265483.63),(14 273304),(15 281560.9),(16 286459.78),(17 290185.7),(18 294216.22),(19 296701.28),(20 297539.47),(21 299539.38),(22 299865.3),(23 299917.53),(24 299260.4),(25 300792.2),(26 303129.6),(27 304065.88),(28 303162.16),(29 302923.34),(30 304669.16),(31 308282.34),(32 311414.03),(33 312788.8),(34 313693.28),(35 313971.97),(36 313122.22),(37 309269.4),(38 304750.8),(39 302349.22),(40 302385.9),(41 304999.66),(42 308406.47),(43 312207.88),(44 317131.97),(45 320548.63),(46 324370.06),(47 327127.34),(48 328072.56),(49 330098.66),(50 332812.53),(51 337421.16),(52 340636.06),(53 342644.7),(54 344620.7),(55 345760.9),(56 348918.88),(57 351556.38),(58 355059.56),(59 356334.3),(60 358614.38),(61 358439.6),(62 356619.97),(63 352712.2),(64 350042.44),(65 348824.63),(66 345615.53),(67 343613.28),(68 342038.72),(69 342633),(70 344500.3),(71 347541.75),(72 350505.2),(73 353383.03),(74 356318.13),(75 358752.1),(76 361897.9),(77 365475.22),(78 367597.66),(79 368638.22),
(1 18481.186),(2 53874.227),(3 91798.4),(4 127631.42),(5 159188.9),(6 181879.94),(7 198029.75),(8 210780.89),(9 218596.56),(10 228023.05),(11 237501.63),(12 246340.03),(13 252856.03),(14 258469.27),(15 262662),(16 264375.75),(17 267647.3),(18 274062.25),(19 280404.34),(20 282330.03),(21 283703.94),(22 283607.63),(23 283996.47),(24 283944),(25 284063.66),(26 284777.84),(27 285384.94),(28 284767.53),(29 285091.94),(30 287110.7),(31 288667.78),(32 290178.63),(33 289135.44),(34 288514.38),(35 289052.84),(36 292355.25),(37 295953.06),(38 298163.16),(39 301106.53),(40 303755.4),(41 306925.75),(42 309457.28),(43 311094.06),(44 313858.1),(45 317331.03),(46 322609.72),(47 326516.72),(48 328723.1),(49 328947.1),(50 328975.5),(51 327983.63),(52 328281.13),(53 329598.1),(54 331511.7),(55 332915.5),(56 335319.28),(57 337736.75),(58 341002.53),(59 346099.4),(60 349775.75),(61 348766.2),(62 344615.3),(63 341589.97),(64 339430.94),(65 338387.22),(66 337293.34),(67 334931.63),(68 333176.2),(69 330857.66),(70 330043.56),(71 331626.78),(72 336747.9),(73 342441.38),(74 346980.84),(75 350181.9),(76 351656.22),(77 350345.13),(78 346821.97),(79 341964.47),
(1 18712.967),(2 54626.12),(3 92826.65),(4 126614.05),(5 154617.14),(6 175495.7),(7 192568.83),(8 206639.14),(9 215341.95),(10 221421.05),(11 225506.78),(12 228434),(13 231636.7),(14 237596.16),(15 243981.4),(16 247812.17),(17 250587.4),(18 252650.55),(19 254456.2),(20 254643.1),(21 255632.84),(22 257916.86),(23 262120.1),(24 265546.13),(25 268161.34),(26 272796.2),(27 278551.1),(28 284551.22),(29 289301.1),(30 294314.3),(31 298269.3),(32 301761.78),(33 304221.88),(34 306943.9),(35 310817.47),(36 312268.34),(37 311930.9),(38 312616.44),(39 315674.06),(40 320240.16),(41 325777.1),(42 332713.38),(43 339004.4),(44 343560.34),(45 344389.53),(46 344996.94),(47 346123.7),(48 345451.34),(49 343621.22),(50 343407.13),(51 342780.1),(52 341535.78),(53 341624.63),(54 342689.88),(55 345946),(56 349510.66),(57 352771.63),(58 355398.94),(59 359023.53),(60 360329.06),(61 361662.88),(62 360823.84),(63 359232.8),(64 355937.38),(65 352403.13),(66 348919.47),(67 346962.66),(68 345723.9),(69 345399.94),(70 346243.84),(71 347768.8),(72 350701.84),(73 352327.06),(74 353030.03),(75 352892.2),(76 351819.66),(77 347690.4),(78 342623.66),(79 340358.56),
(1 17814.988),(2 51610.977),(3 86771.83),(4 118236.39),(5 143101.52),(6 160294.11),(7 172516.66),(8 181781.38),(9 190037.56),(10 196390.11),(11 201094.83),(12 205449.38),(13 209419.66),(14 214730.92),(15 220581.69),(16 226225.95),(17 231156.78),(18 235574.2),(19 239571.75),(20 243060.63),(21 246194.27),(22 249124.14),(23 250573.33),(24 250951.6),(25 251282.58),(26 253243.89),(27 257155.34),(28 261119.63),(29 264538.84),(30 266981.53),(31 266479.4),(32 266046.4),(33 266924.75),(34 268785.75),(35 271418.38),(36 274692.03),(37 276208.13),(38 275432.5),(39 274472.9),(40 276490.66),(41 281029.8),(42 286267.47),(43 289523.16),(44 293963.28),(45 297244.63),(46 300636.7),(47 301966.7),(48 302588.03),(49 303182.2),(50 301793.1),(51 301150.16),(52 299193.94),(53 297948.75),(54 299174.63),(55 301666.53),(56 304148.78),(57 304309.1),(58 304113.5),(59 304343.53),(60 302783.72),(61 299040.38),(62 293659.47),(63 288758.22),(64 284929.56),(65 283042.6),(66 283023.38),(67 283726.63),(68 286702.16),(69 288838.72),(70 291360.44),(71 294919.44),(72 298681.7),(73 300680.03),(74 304781.6),(75 310146.22),(76 313765.53),(77 317325.56),(78 319766.16),(79 320222.06),
