1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 67054.13),(2 242142.75),(3 534274.25),(4 920765.25),(5 1402150.4),(6 1993154.6),(7 2665695.8),(8 3380945.8),(9 4158662.8),(10 5020264),(11 5924390.5),(12 6900660),(13 7984919.5),(14 9085567),(15 10207738),(16 11334611),(17 12480428),(18 13708348),(19 14975477),(20 16231748),(21 17458606),(22 18715680),(23 19890852),(24 21070002),(25 22138002),(26 23278080),(27 24417458),(28 25510416),(29 26526510),(30 27457922),(31 28339088),(32 29201768),(33 29989722),(34 30554666),(35 31156760),(36 31708352),(37 32301846),(38 32919270),(39 33467110),(40 34005748),(41 34462604),(42 34865228),(43 35201950),(44 35500540),(45 35763816),(46 35992548),(47 36244372),(48 36406180),(49 36412708),(50 36389124),(51 36318224),(52 36224816),(53 36071316),(54 35926596),(55 35881516),(56 35912450),(57 35935200),(58 35901944),(59 35833068),(60 35732624),(61 35641092),(62 35537212),(63 35403420),(64 35259828),(65 35112956),(66 35012820),(67 34928964),(68 34811220),(69 34791108),(70 34866212),(71 34948950),(72 35106196),(73 35293356),(74 35565652),(75 35847228),(76 36245916),(77 36651140),(78 37247604),(79 37893892),
(1 6504.343),(2 13248.297),(3 17835.525),(4 20859.12),(5 22948.863),(6 24718.82),(7 25790.83),(8 27214.682),(9 28538.234),(10 29837.18),(11 31237.502),(12 31720.86),(13 31787.123),(14 32064.533),(15 32481.164),(16 32585.129),(17 32659.451),(18 33129.266),(19 33593.594),(20 34295.33),(21 34884.203),(22 35590.402),(23 36207.88),(24 36558.01),(25 37069.074),(26 37107.906),(27 37424.13),(28 37766.156),(29 38098.66),(30 37964.59),(31 38022.63),(32 37987.86),(33 37724.816),(34 38034.477),(35 38442.258),(36 38862.883),(37 39403.67),(38 39519.89),(39 39479.523),(40 39687.523),(41 39781.605),(42 39761.23),(43 39918.496),(44 40048.434),(45 40214.742),(46 40559.934),(47 41100.96),(48 41229.113),(49 40970.645),(50 40656.863),(51 40949.03),(52 41273.773),(53 41537.24),(54 42257.59),(55 42841.188),(56 42964.375),(57 42942.86),(58 43040.63),(59 42703.133),(60 42432.598),(61 42478.06),(62 42507.44),(63 42483.18),(64 42499.156),(65 42591.02),(66 42670.28),(67 42993.438),(68 43051.664),(69 43068.164),(70 43117.15),(71 43617.332),(72 43879.086),(73 44119.746),(74 44458.09),(75 44727.668),(76 44675.04),(77 44760.348),(78 44525.246),(79 44384.184),
(1 6434.792),(2 13056.052),(3 17556.291),(4 20524.445),(5 22607.28),(6 24198.965),(7 25721.84),(8 27481.2),(9 28570.605),(10 29578.607),(11 30700.488),(12 31366.057),(13 31659.615),(14 31889.164),(15 32323.61),(16 32443.643),(17 32630.605),(18 33096.434),(19 33849.67),(20 34008.1),(21 34292.3),(22 34688.043),(23 34860.063),(24 35271.965),(25 35467.72),(26 35604.953),(27 35606.51),(28 35702.16),(29 35750.074),(30 35744.02),(31 35807.43),(32 36208.32),(33 36363.586),(34 36689.992),(35 37510.29),(36 37930.633),(37 38053.613),(38 38336.33),(39 38430.965),(40 38284.895),(41 37978.734),(42 38352.98),(43 38714.2),(44 38859.22),(45 38862.6),(46 38786.063),(47 39096.895),(48 39106.316),(49 39287.094),(50 39459.242),(51 39424.52),(52 39416.023),(53 39386.297),(54 39827.656),(55 39954.367),(56 40319.34),(57 40054.805),(58 40453.91),(59 40557.24),(60 40834.758),(61 41327.465),(62 41729.547),(63 41890.9),(64 41673.77),(65 41704.113),(66 41901.605),(67 42046.434),(68 42035.164),(69 41996.293),(70 42130.086),(71 42290.258),(72 42103.535),(73 41834.363),(74 41913.99),(75 42290.066),(76 42657.723),(77 42848.855),(78 42410.78),(79 42349.258),
(1 6356.8936),(2 13110.751),(3 17962.076),(4 20754.53),(5 22993.418),(6 24910.703),(7 26360.273),(8 27832.09),(9 28785.252),(10 29685.95),(11 30451.104),(12 30805.113),(13 31150.943),(14 31514.277),(15 32046.086),(16 32207.615),(17 32454.516),(18 32461.012),(19 32915.508),(20 33384.3),(21 33453.133),(22 33852.758),(23 34310.566),(24 34504.07),(25 34475.164),(26 34706.87),(27 35036.72),(28 35290.316),(29 35760.43),(30 36032.363),(31 36292.297),(32 36729.254),(33 36832.098),(34 37089.48),(35 37605.59),(36 38075.27),(37 38793.383),(38 39397.87),(39 40021.14),(40 40312.8),(41 40352.59),(42 40467.91),(43 40522.766),(44 40176.18),(45 39903.434),(46 39880.125),(47 39803.973),(48 39878.34),(49 40200.492),(50 40405.69),(51 40506.332),(52 40480.45),(53 40526.063),(54 40603.043),(55 40755.625),(56 40502.332),(57 40529.063),(58 40536.25),(59 40275.918),(60 40218.047),(61 40144.14),(62 40251.04),(63 40531.066),(64 40563.97),(65 40693.637),(66 40688.195),(67 40786.348),(68 41014.16),(69 41357.625),(70 41699.098),(71 42029.176),(72 42242.156),(73 42473.305),(74 42489.766),(75 42381.996),(76 42417.297),(77 42588.05),(78 42315.355),(79 41970.26),
(1 6200.4644),(2 12475.015),(3 16714.355),(4 19356.906),(5 21312.748),(6 23142.611),(7 24344.262),(8 25486.875),(9 26161.504),(10 27001.338),(11 27922.936),(12 28331.715),(13 28910.113),(14 29358.607),(15 30123.027),(16 30507.268),(17 30911.094),(18 31625.342),(19 32168.1),(20 32811.355),(21 33189.996),(22 33810.613),(23 34525.34),(24 34728.805),(25 34878.83),(26 34973.492),(27 35389.836),(28 35812.203),(29 35989.387),(30 36252.777),(31 36360.023),(32 36833.965),(33 36973.656),(34 37314.45),(35 37858.535),(36 38051.688),(37 38318.72),(38 38524.54),(39 38800.957),(40 38768.492),(41 38694.035),(42 38780.9),(43 38563.004),(44 38511.797),(45 38494.152),(46 38518.402),(47 38867.48),(48 38450.03),(49 38215.086),(50 38077.37),(51 38135.305),(52 38236.76),(53 37942.684),(54 37921.703),(55 38134.75),(56 37774.754),(57 37872.78),(58 38029.195),(59 38318.12),(60 38446.234),(61 38574.793),(62 38524.766),(63 38501.32),(64 38560.75),(65 38534.344),(66 38441.75),(67 38422.008),(68 38280.734),(69 38433.145),(70 38943.73),(71 39427.117),(72 39571.164),(73 39577.406),(74 39670.215),(75 39638.64),(76 39349.625),(77 39187.824),(78 38849.156),(79 38722.96),
(1 6328.039),(2 12523.729),(3 17233.172),(4 19893.078),(5 21776.225),(6 23319.744),(7 24465.93),(8 25670.37),(9 26564.512),(10 27951.955),(11 29160.959),(12 29657.05),(13 30405.082),(14 31327.654),(15 32303.748),(16 32616.03),(17 32917.17),(18 33486.1),(19 33842.777),(20 34274.02),(21 34601.164),(22 34982.027),(23 35443.31),(24 36164.824),(25 36331.67),(26 36194.758),(27 36398.086),(28 36713.477),(29 37060.832),(30 37171.703),(31 37304.105),(32 37651.113),(33 37718.293),(34 37921.67),(35 38436.645),(36 38438.145),(37 38288.55),(38 38228.28),(39 38220.91),(40 37784.758),(41 37610.91),(42 37541.63),(43 37507.563),(44 37861.773),(45 37833.418),(46 37712.344),(47 37563.973),(48 37244.33),(49 37294.523),(50 36955.02),(51 36731.457),(52 36572.355),(53 36583.39),(54 36377.434),(55 36114.906),(56 35987.08),(57 36105.39),(58 36271.88),(59 36629.945),(60 37014.156),(61 37388.805),(62 37715.688),(63 37878.848),(64 38300.453),(65 38889.18),(66 39182.387),(67 39334.14),(68 39206.69),(69 39297.313),(70 39374.297),(71 39831.508),(72 39743.684),(73 39560.516),(74 39643.508),(75 39872.914),(76 39785.637),(77 39743.82),(78 39617.305),(79 39641.855),
(1 5999.4204),(2 11795.026),(3 16012.488),(4 18667.922),(5 20550.883),(6 22413.691),(7 23650.674),(8 24831.762),(9 25434.658),(10 26737.459),(11 28023.502),(12 28643.377),(13 28984.422),(14 29796.908),(15 30348.418),(16 30666.514),(17 31017.893),(18 31384.865),(19 31556.857),(20 31826.908),(21 32258.43),(22 32497.355),(23 32736.496),(24 33263.387),(25 33500.51),(26 33082.793),(27 32793.418),(28 32885.84),(29 33302.754),(30 33589.875),(31 33742.1),(32 33674.273),(33 33777.527),(34 33980.004),(35 34094.594),(36 34167.977),(37 34431.44),(38 34824.617),(39 34901.16),(40 35039.195),(41 35337.64),(42 35562.68),(43 35698.117),(44 35863.277),(45 35738.71),(46 35846.055),(47 35562.547),(48 35069.117),(49 35189.402),(50 35150.395),(51 34967.953),(52 35427.938),(53 35600.047),(54 35895.297),(55 36179.797),(56 36144.95),(57 35963.16),(58 36084.05),(59 36288.664),(60 36358.125),(61 36472.71),(62 36446.45),(63 36515.313),(64 36631.79),(65 36539.008),(66 36481.996),(67 36869.785),(68 37145.85),(69 37168.027),(70 37355.39),(71 37553.08),(72 37652.586),(73 37677.863),(74 37915.523),(75 38035.445),(76 38047.17),(77 38029.492),(78 38242.285),(79 38336.016),
(1 6090.9478),(2 12059.464),(3 16238.74),(4 18950.137),(5 21066.857),(6 23122.43),(7 24505.12),(8 25938.385),(9 26482.922),(10 27423.969),(11 28354.203),(12 28980.135),(13 29455.482),(14 30304.906),(15 31195.654),(16 31763.963),(17 32139.71),(18 32284.693),(19 32629.207),(20 32971.59),(21 33087.887),(22 33324.082),(23 33608.82),(24 33587.313),(25 33626.7),(26 33357.723),(27 32815.848),(28 32844.4),(29 32926.695),(30 32939.35),(31 32946.33),(32 33125.727),(33 33434.14),(34 33640.715),(35 33534),(36 33577.52),(37 33503.656),(38 33717.27),(39 34218.445),(40 34887.05),(41 35349.82),(42 35581.207),(43 35397.332),(44 35300.094),(45 35351.332),(46 35468.473),(47 35505.117),(48 35624),(49 35760.31),(50 35990.74),(51 35982.6),(52 36362.25),(53 36424.145),(54 36534.855),(55 36292.246),(56 36030.06),(57 36039.855),(58 36339.09),(59 36403.254),(60 36548.35),(61 36607.145),(62 36487.215),(63 36546.2),(64 36720.92),(65 36726.926),(66 37109.082),(67 37465.395),(68 37835.906),(69 37966.42),(70 37939.52),(71 37920.273),(72 38215.78),(73 38443.13),(74 38674.383),(75 38765.62),(76 38714.9),(77 38247.516),(78 38083.105),(79 38172.383),
(1 5979.254),(2 11908.767),(3 16113.68),(4 18493.082),(5 20402.557),(6 21910.412),(7 22991.473),(8 24520.023),(9 25185.283),(10 26097.219),(11 27199.645),(12 27628.695),(13 27821.803),(14 28396.709),(15 28983.084),(16 28956.795),(17 28965.656),(18 29273.299),(19 29685.38),(20 30048.865),(21 30698.084),(22 30720.352),(23 30844.563),(24 31233.701),(25 31534.695),(26 31519.645),(27 31769.033),(28 32072.445),(29 32220.23),(30 32406.068),(31 32479.875),(32 32687.684),(33 32873.285),(34 33191.723),(35 33488.004),(36 33619.523),(37 33641.527),(38 33977.957),(39 34351.004),(40 34378.348),(41 34403.12),(42 34558.137),(43 34716.945),(44 34820.64),(45 35226.168),(46 34985.094),(47 34890.66),(48 34844.234),(49 34647.89),(50 34789.066),(51 34918.043),(52 35364.73),(53 35760.125),(54 35752.258),(55 35314.586),(56 34996.266),(57 35051.035),(58 34959.063),(59 34759.26),(60 34417.04),(61 34185.91),(62 34185.71),(63 34183.008),(64 34106.81),(65 34216.473),(66 34386.9),(67 34702.996),(68 34827.918),(69 35172.78),(70 35659.72),(71 35866.21),(72 36053.27),(73 36069.215),(74 35888.777),(75 36000.92),(76 36031.24),(77 35963.64),(78 35833.473),(79 35908.87),
(1 5870.8203),(2 11565.743),(3 15757.749),(4 18270.797),(5 20045),(6 21744.027),(7 23032.234),(8 24160.844),(9 24858.984),(10 25964.701),(11 27090.521),(12 27663.55),(13 28012.385),(14 28579.943),(15 29307.314),(16 29621.291),(17 29874.166),(18 30352.87),(19 30807.188),(20 31072.977),(21 31260.164),(22 31348.62),(23 31632.53),(24 31952.74),(25 32133.102),(26 32044.11),(27 32135.764),(28 32290.623),(29 32510.543),(30 32829.07),(31 33023.816),(32 33361.31),(33 33589.137),(34 33525.64),(35 33365.76),(36 33439.258),(37 33485.742),(38 33742.813),(39 33690.2),(40 33729.992),(41 33843.105),(42 34130.54),(43 34492.918),(44 34781.547),(45 34816.02),(46 34833.434),(47 35121.727),(48 35057.63),(49 34940.746),(50 35121.086),(51 35365.89),(52 35440.29),(53 35557.285),(54 35618.188),(55 35682.492),(56 35676.2),(57 35946.94),(58 36147.19),(59 36189.688),(60 36049.246),(61 36217.465),(62 36543.688),(63 36535.59),(64 36638.17),(65 36885.137),(66 36782.184),(67 36665.227),(68 36692.25),(69 36952.61),(70 37266.51),(71 37705.813),(72 37771.84),(73 37678.766),(74 37650.438),(75 37484.227),(76 37218.535),(77 37091.43),(78 37234.55),(79 37398.67),
(1 5646.4727),(2 11050.114),(3 14911.468),(4 17635.426),(5 19702.912),(6 21533.162),(7 23070.861),(8 24186.646),(9 24954.203),(10 25707.344),(11 26619.459),(12 27109.496),(13 27516.824),(14 28033.475),(15 28541.828),(16 28752.266),(17 28898.73),(18 29467.102),(19 29641.148),(20 29880.537),(21 30344.951),(22 30670.79),(23 30974.91),(24 31109.898),(25 31155.46),(26 31017.402),(27 31074.646),(28 31404.389),(29 31384.736),(30 31472.018),(31 31633.738),(32 31360.154),(33 31342.19),(34 31576.111),(35 31499.97),(36 31461.875),(37 31819.197),(38 32306.375),(39 32426.957),(40 32564.371),(41 33090.73),(42 33552.203),(43 34081.08),(44 34381.586),(45 34844.85),(46 35250.34),(47 35545.867),(48 35636.574),(49 35696.01),(50 35693.04),(51 35838.473),(52 35898.063),(53 36060.117),(54 35994.965),(55 36064.965),(56 36087.04),(57 35966.387),(58 35926.87),(59 35779.45),(60 35521.43),(61 35392.535),(62 35429.85),(63 35368.617),(64 35288.363),(65 35257.227),(66 35282.344),(67 35034.64),(68 34918.85),(69 34820.438),(70 34534.92),(71 34347.914),(72 34331.18),(73 34466.14),(74 34456.26),(75 34733.7),(76 34592.855),(77 34552.652),(78 34320.938),(79 34499.07),
(1 5722.6274),(2 11144.428),(3 14984.951),(4 17345.16),(5 19074.035),(6 20769.178),(7 21906.816),(8 23140.76),(9 24041.004),(10 25066.955),(11 25850.633),(12 26336.98),(13 26778.805),(14 27109.387),(15 27377.893),(16 27805.695),(17 28105.24),(18 28527.31),(19 28669.398),(20 29063.932),(21 29235.27),(22 29154.49),(23 29131.482),(24 29261.71),(25 29588.338),(26 29815.262),(27 30193.992),(28 30647.94),(29 30527.607),(30 30550.043),(31 30626.9),(32 30443.219),(33 30344.945),(34 30374.17),(35 30555.219),(36 30853.127),(37 31216.717),(38 31592.334),(39 31731.281),(40 32091.832),(41 32308.148),(42 32688.533),(43 33031.953),(44 33101.27),(45 33284.746),(46 33413.727),(47 33298.61),(48 33354.887),(49 33768.85),(50 33977.4),(51 34181.977),(52 34308.59),(53 34693.05),(54 34909.4),(55 35145.54),(56 35348.73),(57 35109.316),(58 34915.637),(59 34958.516),(60 35029.688),(61 35214.855),(62 35311.95),(63 35117.008),(64 35265.383),(65 35409.47),(66 35400.438),(67 35435.688),(68 35663.78),(69 35595.223),(70 35592.18),(71 35838.586),(72 36154.695),(73 36247.68),(74 35999.613),(75 36087.164),(76 36053.996),(77 35942.598),(78 35933.543),(79 36265.313),
(1 5575.424),(2 10878.234),(3 14656.088),(4 17106.537),(5 18979.205),(6 20387.758),(7 21550.012),(8 22586.383),(9 23447.36),(10 24348.523),(11 25076.357),(12 25760.203),(13 26302.08),(14 26589.443),(15 26855.043),(16 27072.723),(17 27439.633),(18 28309.064),(19 28760.137),(20 29175.037),(21 29677.473),(22 29982.81),(23 30051.371),(24 29990.459),(25 30119.42),(26 30460.703),(27 31030.586),(28 31255.875),(29 31112.316),(30 31212.764),(31 31501.703),(32 31753.918),(33 31918.16),(34 31939.459),(35 32349.89),(36 32584.44),(37 32836.453),(38 32735.64),(39 32749.107),(40 32589.258),(41 32361.24),(42 32398.44),(43 32640.395),(44 32646.59),(45 32962),(46 33147.016),(47 32843.637),(48 32646.05),(49 32726.254),(50 32797.383),(51 32873.063),(52 33205.418),(53 33575.047),(54 33530.414),(55 33445.145),(56 33202.375),(57 33105.81),(58 33207.684),(59 33432.03),(60 33688.832),(61 33674.03),(62 33617.51),(63 33532.64),(64 33682.375),(65 33969.43),(66 34036.68),(67 34087.418),(68 34203.355),(69 34219.51),(70 34410.11),(71 34761),(72 35070.066),(73 35260.543),(74 35328.69),(75 35425.523),(76 35475.06),(77 35322.094),(78 35256.246),(79 35174.875),
(1 5484.439),(2 10745.006),(3 14340.167),(4 16477.395),(5 18045.62),(6 19521.277),(7 20727.492),(8 21473.912),(9 22388.121),(10 23404.375),(11 24143.613),(12 24812.152),(13 25288.826),(14 25510.52),(15 25735.238),(16 25965.664),(17 26097.707),(18 26466.064),(19 26583.31),(20 26647.982),(21 26951.184),(22 26948.416),(23 26996.398),(24 27248.3),(25 27590.941),(26 27955.035),(27 28568.732),(28 28981.404),(29 29074.541),(30 29414.75),(31 29883.553),(32 29996.1),(33 30083.506),(34 30271.037),(35 30365.885),(36 30397.855),(37 30726.25),(38 30733.82),(39 30888.121),(40 31226.984),(41 30926.668),(42 30829.59),(43 31041.453),(44 31024.324),(45 30999.576),(46 31155.934),(47 31008.229),(48 30869.762),(49 30662.662),(50 30570.115),(51 30672.66),(52 30559.684),(53 30669.596),(54 30971.664),(55 31189.955),(56 31349.154),(57 31434.73),(58 31787.78),(59 32014.668),(60 32162.49),(61 32203.816),(62 32297.03),(63 32438.273),(64 32320.48),(65 31916.783),(66 31849.21),(67 31896.088),(68 32082.074),(69 32324.938),(70 32371.121),(71 32424.166),(72 32640.453),(73 32633.17),(74 32508.045),(75 32600.178),(76 32650.967),(77 32532.686),(78 32629.377),(79 32618.822),
(1 5452.121),(2 10776.86),(3 14533.366),(4 16648.58),(5 18131.508),(6 19509.871),(7 20603.258),(8 21654.865),(9 22418.137),(10 23438.523),(11 24108.479),(12 24543.484),(13 25025.602),(14 25293.752),(15 25640.049),(16 25760.074),(17 25898.258),(18 26505.69),(19 26482.816),(20 26620.158),(21 26919.52),(22 27041.988),(23 27230.018),(24 27520.861),(25 27854.643),(26 28401.898),(27 28584.678),(28 28591.998),(29 28556.957),(30 29072.328),(31 29692.71),(32 30193.336),(33 30591.227),(34 30973.336),(35 31009.775),(36 30925.898),(37 31174.572),(38 31400.877),(39 31813.61),(40 32188.96),(41 32108.506),(42 32342.072),(43 32461.613),(44 32678.791),(45 32803.1),(46 32852.395),(47 32552.527),(48 32209.975),(49 32247.365),(50 32252.406),(51 32110.205),(52 32001.322),(53 32116.463),(54 32227.992),(55 32419.973),(56 32489.426),(57 32540.268),(58 32528.93),(59 32520.658),(60 32689.28),(61 33146.176),(62 33191.25),(63 32987.195),(64 32933.55),(65 32921.27),(66 32956.734),(67 32992.727),(68 32921.15),(69 33259.41),(70 33451.094),(71 33228.85),(72 32961.55),(73 32896.63),(74 33000.543),(75 33447.844),(76 33574.78),(77 33491.04),(78 33390.676),(79 33334.113),
(1 5407.6865),(2 10566.136),(3 14140.713),(4 16358.783),(5 18222.64),(6 19714.018),(7 21069.229),(8 22251.842),(9 23106.492),(10 24066.8),(11 24653.15),(12 25158.926),(13 25523.014),(14 26003.104),(15 26424.38),(16 26628.313),(17 26677.336),(18 26800.762),(19 26666.568),(20 26933.824),(21 27481.283),(22 27788.57),(23 27897.535),(24 27921.41),(25 28104.398),(26 28145.408),(27 28147.14),(28 28388.602),(29 28306.455),(30 28404.568),(31 28648.787),(32 29181.969),(33 29901.3),(34 30357.73),(35 30715.805),(36 30754.264),(37 30791.807),(38 30725.47),(39 30683.537),(40 30707.742),(41 30733.627),(42 30564.502),(43 30349.238),(44 30102.697),(45 30233.533),(46 30176.033),(47 29938.596),(48 29892.574),(49 29852.686),(50 29959.902),(51 30179.424),(52 30320.66),(53 30665.379),(54 31272.992),(55 31713.861),(56 31872.904),(57 32070.867),(58 31948.219),(59 31541.525),(60 31586.754),(61 31699.145),(62 31677.77),(63 31720.246),(64 31659.223),(65 31512.781),(66 31566.268),(67 31958.807),(68 31989.033),(69 32033.068),(70 32054.223),(71 32010.334),(72 32212.785),(73 32211.828),(74 32306.836),(75 32588.123),(76 32836.566),(77 33173.047),(78 33111.414),(79 33105.176),
(1 5229.4824),(2 10054.343),(3 13714.91),(4 16004.889),(5 17626.465),(6 19092.31),(7 20102.848),(8 21044.236),(9 21682.166),(10 22330.031),(11 22848.576),(12 23350.693),(13 23789.832),(14 24149.34),(15 24656.627),(16 24889.598),(17 25133.48),(18 25560.111),(19 25675.055),(20 26000.598),(21 26592.707),(22 26786.316),(23 26999.387),(24 27285.492),(25 27201.156),(26 27245.74),(27 27114.402),(28 27238.113),(29 27240.305),(30 27468.104),(31 27950.926),(32 28235.338),(33 28218.936),(34 28313.795),(35 28436.12),(36 28583.004),(37 28638.145),(38 28685.725),(39 28721.527),(40 28788.174),(41 28782.717),(42 28499.19),(43 28383.223),(44 28416.406),(45 28427.826),(46 28414.227),(47 28295.676),(48 28228.293),(49 28001.951),(50 27984.908),(51 27878.41),(52 27923.162),(53 28028.059),(54 28284.031),(55 28505.764),(56 28879.457),(57 29027.852),(58 28888.95),(59 28876.24),(60 28908.842),(61 28796.738),(62 28973.592),(63 29183.191),(64 29226.588),(65 29409.455),(66 29385.258),(67 29370.406),(68 29569.992),(69 29724.053),(70 29729.385),(71 29808.018),(72 29922.082),(73 30129.611),(74 30254.424),(75 30522.53),(76 30854.879),(77 31180.773),(78 31290.14),(79 31181.809),
(1 5296.112),(2 10236.591),(3 13705.085),(4 15892.7),(5 17632.475),(6 19311.123),(7 20349.008),(8 21110.21),(9 21701.102),(10 22237.143),(11 22945.385),(12 23302.87),(13 23856.36),(14 24311.09),(15 24459.11),(16 24679.393),(17 24865.617),(18 25227.27),(19 25294.03),(20 25665.258),(21 26064.71),(22 26088.76),(23 26282.463),(24 26569.24),(25 26671.273),(26 26932.127),(27 26982.104),(28 27122.926),(29 27388.957),(30 27697.082),(31 28089.244),(32 28378.326),(33 28747.115),(34 28988.762),(35 29012.016),(36 29201.797),(37 29311.61),(38 29265.078),(39 29284.967),(40 29293.1),(41 29359.508),(42 29360.72),(43 29387.174),(44 29275.832),(45 29295.457),(46 29490.123),(47 29577.082),(48 29540.61),(49 29662.229),(50 29961.174),(51 30070.281),(52 30257.916),(53 30394.92),(54 30445.71),(55 30556.252),(56 30553.363),(57 30436.588),(58 30122.63),(59 30021.893),(60 29975.37),(61 29880.955),(62 29905.541),(63 29952.605),(64 29799.402),(65 29706.361),(66 29589.908),(67 29723.57),(68 29683.975),(69 29642.107),(70 29699.092),(71 29726.078),(72 29693.32),(73 29644.402),(74 29829.273),(75 30045.457),(76 30167.797),(77 30164.553),(78 30152.217),(79 30263.951),
(1 5137.922),(2 9786.756),(3 12964.075),(4 15005.433),(5 16149.895),(6 17399.447),(7 18418.623),(8 19271.104),(9 19892.988),(10 20650.588),(11 21224.598),(12 21530.078),(13 21810.475),(14 22159.053),(15 22742.59),(16 23362.785),(17 24140.047),(18 24734.996),(19 25059.854),(20 25570.346),(21 26015.225),(22 26051.574),(23 25927.424),(24 26200.666),(25 26524.467),(26 26694.701),(27 26978.232),(28 27247.828),(29 27439.385),(30 27581.832),(31 27610.65),(32 27649.088),(33 27899.982),(34 28038.717),(35 28133.756),(36 28257.75),(37 28137.178),(38 27906.48),(39 27836.963),(40 27782.04),(41 27720.967),(42 27697.268),(43 27650.158),(44 27580.922),(45 27580.414),(46 27608.258),(47 27866.19),(48 27994.316),(49 28144.055),(50 28408.588),(51 28792.172),(52 28655.994),(53 28754.957),(54 28845.25),(55 28830.527),(56 28938.813),(57 28984.785),(58 29095.15),(59 29219.328),(60 29060.717),(61 28776.395),(62 28873.21),(63 28965.377),(64 28875.006),(65 28852.064),(66 28970.72),(67 28953.594),(68 29071.729),(69 29125.248),(70 29168.844),(71 29026.506),(72 28994.271),(73 29370.145),(74 29552.52),(75 29561.416),(76 29542.129),(77 29423.535),(78 29363.02),(79 29240.982),
