1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 9162.426),(2 27982.928),(3 51148.95),(4 72605.62),(5 94550.71),(6 122397.69),(7 157799.67),(8 200291.31),(9 249958.95),(10 298384.6),(11 341596.56),(12 383380.75),(13 425676.75),(14 471152.97),(15 517336.28),(16 564616.25),(17 607185.44),(18 636152.94),(19 660172.25),(20 683584.3),(21 711160.8),(22 738827.8),(23 763964.3),(24 789056.2),(25 803557.94),(26 824761.3),(27 842565.44),(28 866315.2),(29 900519.06),(30 942934.8),(31 978658.25),(32 1021044.3),(33 1073670.3),(34 1117387.4),(35 1170627.9),(36 1236443.1),(37 1300725),(38 1368150.1),(39 1432720.5),(40 1490921),(41 1538138.6),(42 1582215.6),(43 1611328),(44 1635273.6),(45 1656614.4),(46 1685013),(47 1706678.6),(48 1719748.4),(49 1729941.6),(50 1720537.4),(51 1706274.6),(52 1691997.5),(53 1670694.4),(54 1641009.5),(55 1621778),(56 1606467.4),(57 1608332.4),(58 1613193.4),(59 1608000.5),(60 1601720.4),(61 1617131.6),(62 1637378),(63 1648225.4),(64 1681398),(65 1723407.4),(66 1768138),(67 1823534),(68 1864603.4),(69 1934508.5),(70 2023765),(71 2131750.3),(72 2231996.5),(73 2341089.3),(74 2462001.8),(75 2581470.3),(76 2699679.8),(77 2810109.3),(78 2915578.8),(79 3020146.8),
(1 5575.183),(2 13892.24),(3 20976.877),(4 26292.047),(5 31031.39),(6 35564.395),(7 39559.094),(8 43192.04),(9 46600.586),(10 49345.2),(11 51540.344),(12 53542.164),(13 55688.348),(14 57494.742),(15 58766.88),(16 60149.637),(17 61784.98),(18 63239.773),(19 64045.855),(20 64950.555),(21 65773.695),(22 67100.31),(23 69067.59),(24 70745.555),(25 72322.09),(26 73320.27),(27 74027.3),(28 74534.14),(29 75307.96),(30 76260.62),(31 77640.71),(32 79012.15),(33 80223.63),(34 80664.59),(35 81025.695),(36 81647.016),(37 82382.336),(38 83401.234),(39 84730.39),(40 86518.24),(41 88327.26),(42 89369.67),(43 90055.93),(44 90954.76),(45 91844.54),(46 92666.82),(47 93884.48),(48 94591.586),(49 95125.15),(50 95355.54),(51 95363.34),(52 95164.984),(53 94872.7),(54 94643.38),(55 94454.58),(56 94700.695),(57 94770.8),(58 94654.6),(59 94988.55),(60 95396.164),(61 95637.2),(62 96015.38),(63 96778.85),(64 97350),(65 97428.79),(66 97716.7),(67 98494.13),(68 99531.08),(69 100475.37),(70 101508.62),(71 102321.52),(72 102828.24),(73 103313.8),(74 103706.625),(75 104697.44),(76 105690.37),(77 106624.08),(78 107438.04),(79 108299.69),
(1 5275.3276),(2 13185.737),(3 20572.328),(4 26001.582),(5 31036.76),(6 35858.81),(7 40087.168),(8 43753.906),(9 46932.484),(10 49643.824),(11 52184.223),(12 54345.527),(13 56642.68),(14 58582.684),(15 59941.67),(16 61223.203),(17 62576.332),(18 64115.62),(19 65721.17),(20 67434.63),(21 68363.28),(22 69255.89),(23 70526.49),(24 71736.55),(25 73076.42),(26 73876.664),(27 74581.06),(28 75098.04),(29 75925.8),(30 76913.99),(31 77569.945),(32 78234.38),(33 79108.76),(34 80092.61),(35 81325.9),(36 82306.36),(37 82847.664),(38 83502.78),(39 84356.016),(40 85356.68),(41 86294.45),(42 86603.5),(43 86508.41),(44 86674.02),(45 87013.06),(46 87539.586),(47 88089.484),(48 88420.31),(49 88519.69),(50 88427.58),(51 88129.48),(52 87711.74),(53 87920.4),(54 88112.33),(55 88255.42),(56 88600.01),(57 88649.65),(58 89235.266),(59 90164.43),(60 91403.78),(61 92228.03),(62 92778.195),(63 93498.05),(64 94530.79),(65 95696.625),(66 96869.13),(67 98049.9),(68 99380.445),(69 100045.01),(70 100606.15),(71 101199.875),(72 101154.01),(73 101315.18),(74 101202.22),(75 101084.61),(76 100969.39),(77 101276.77),(78 101665.95),(79 102472.89),
(1 5345.497),(2 13446.108),(3 20939.303),(4 26597.26),(5 31663.555),(6 36108.227),(7 40021.098),(8 43852.39),(9 47639.004),(10 50828.492),(11 53244.77),(12 55678.742),(13 57829.688),(14 59582.434),(15 60842.49),(16 61971.676),(17 63077.76),(18 64939.273),(19 66400.83),(20 67789.516),(21 68744.516),(22 69906.18),(23 71634.66),(24 72885.734),(25 74139.234),(26 74719.484),(27 75272.62),(28 76070.43),(29 76557.25),(30 77805.09),(31 78938.54),(32 80040.984),(33 80547.83),(34 81183.59),(35 81797.875),(36 82505.08),(37 83491.48),(38 84551.79),(39 85685.59),(40 86972.38),(41 87484.44),(42 87561.82),(43 87633.84),(44 87881.016),(45 88793.016),(46 89172.91),(47 89621.7),(48 90000.23),(49 90166.586),(50 90298.18),(51 89988.71),(52 89178.23),(53 88560.52),(54 88200.336),(55 88038.3),(56 88396.945),(57 88813.46),(58 89313.93),(59 89335.875),(60 89377.56),(61 89648.8),(62 90095.1),(63 90800.05),(64 91929.12),(65 93206.98),(66 93954.2),(67 94831.63),(68 95778.18),(69 96688.46),(70 97795.766),(71 98941.44),(72 100057.7),(73 100904.055),(74 101393.45),(75 102030.05),(76 103013.695),(77 104266.11),(78 105042.66),(79 105903.84),
(1 5161.805),(2 12799.847),(3 19693.365),(4 24958.717),(5 29780.896),(6 33786.29),(7 37380.953),(8 41064.03),(9 44626.285),(10 48226.027),(11 51443.742),(12 54265.902),(13 56671.88),(14 58534.813),(15 60141.12),(16 62352.984),(17 64206.07),(18 66184.52),(19 68072.76),(20 69729.18),(21 71102.555),(22 72436.83),(23 73482.734),(24 74192.67),(25 74922.71),(26 75008.62),(27 75870.01),(28 76435.625),(29 76893.98),(30 77392.54),(31 77990.28),(32 78681.84),(33 79328.41),(34 80334.25),(35 81694.71),(36 82717.84),(37 82911.95),(38 82954.234),(39 83155.5),(40 83748.57),(41 83912.94),(42 83939.66),(43 84104.99),(44 84832.805),(45 85935.13),(46 87353.54),(47 88110.23),(48 88099.24),(49 88223.33),(50 88122.984),(51 87864.305),(52 87806.26),(53 88136.95),(54 88154.71),(55 87920.67),(56 87883.086),(57 87578.32),(58 87631.78),(59 87717.08),(60 87984.99),(61 88353.984),(62 88708.28),(63 88797.91),(64 89009.45),(65 89296.695),(66 89863.76),(67 90328),(68 90843.086),(69 91366.12),(70 91934.59),(71 92236.13),(72 92658.836),(73 93054.02),(74 93472.61),(75 93979.39),(76 95144.516),(77 96049.086),(78 96620.625),(79 97224.47),
(1 4862.271),(2 12139.791),(3 18503.469),(4 23304.43),(5 27207.627),(6 30632.965),(7 34261.188),(8 38019.41),(9 41333.83),(10 44114.715),(11 46386.355),(12 48332.117),(13 49756.965),(14 51003.445),(15 52216.42),(16 54009.008),(17 55752.617),(18 57945.273),(19 59685.668),(20 61900.125),(21 63714.527),(22 65464.17),(23 67155.3),(24 69019.46),(25 70490.1),(26 71553.234),(27 72881.55),(28 74256.28),(29 75847.945),(30 77375.11),(31 78692.375),(32 79830.4),(33 81150.82),(34 82467.234),(35 83600.234),(36 84467.41),(37 85008.27),(38 85412.26),(39 85733.02),(40 85979.76),(41 85802.24),(42 85667.78),(43 85728.69),(44 85580.61),(45 85446.72),(46 85231.72),(47 85322.016),(48 85372.72),(49 85480.984),(50 85702.23),(51 85748.33),(52 85576.95),(53 85465.89),(54 85170.82),(55 84872.72),(56 84870.33),(57 85007.74),(58 84787.95),(59 84982.13),(60 85065.164),(61 85124.2),(62 85646.83),(63 85874.19),(64 86829.266),(65 87636.34),(66 88716.84),(67 89763.28),(68 90418.55),(69 91231.45),(70 92187.22),(71 93068.305),(72 93790.51),(73 94098.11),(74 94311.1),(75 94703.04),(76 95395.26),(77 96338.45),(78 97021.016),(79 97751.11),
(1 4733.4844),(2 11900.281),(3 18086.146),(4 22705.162),(5 26617.863),(6 30103.686),(7 33999.605),(8 37814.8),(9 41028.14),(10 43082.45),(11 44826.98),(12 46590.434),(13 48283.62),(14 49510.34),(15 50768.14),(16 52249.324),(17 53806),(18 55709.066),(19 57371.9),(20 58861.06),(21 60763.492),(22 62689.617),(23 64316.254),(24 66023.13),(25 67464.77),(26 67925.59),(27 69430.16),(28 70729.664),(29 72451.625),(30 73549.65),(31 74451.26),(32 75732.39),(33 77350.07),(34 78620.766),(35 79704.87),(36 80177.94),(37 80269.98),(38 80414.73),(39 80512.49),(40 80366.04),(41 80353.26),(42 80198.28),(43 80336.84),(44 80682.43),(45 81124.06),(46 81178.35),(47 81034.85),(48 80862.68),(49 80727.29),(50 81210.64),(51 81925.05),(52 82375.13),(53 82627.414),(54 82645.984),(55 82402.96),(56 82520.08),(57 83290.26),(58 84106.945),(59 85374.516),(60 86155.1),(61 86769.086),(62 87890.195),(63 88994.06),(64 89799.18),(65 90495.03),(66 91232.195),(67 91553.33),(68 91975.42),(69 92476.94),(70 92865.664),(71 93206.5),(72 93530.305),(73 94023.48),(74 94349.82),(75 94730.41),(76 95335.125),(77 95885.82),(78 96020.914),(79 96221.73),
(1 4718.1797),(2 11876.518),(3 18290.453),(4 23060.693),(5 26980.492),(6 30700.035),(7 34328.07),(8 38002.535),(9 40905.92),(10 43094.99),(11 44971.953),(12 46759.516),(13 48494.57),(14 49797),(15 51287.68),(16 52853.78),(17 54648.965),(18 56476.83),(19 57800.953),(20 59445.95),(21 61521.18),(22 63327.586),(23 65346.625),(24 67081.33),(25 68243.734),(26 69203.3),(27 70470.38),(28 71809.68),(29 73002.07),(30 74024.49),(31 74785.64),(32 75730.69),(33 76459.63),(34 76939.55),(35 77082.96),(36 77199.414),(37 77115.64),(38 77285.59),(39 77500.09),(40 77499.63),(41 77466.88),(42 77660.555),(43 77761.59),(44 77962.5),(45 78133.81),(46 78024.836),(47 77945.664),(48 78020.555),(49 78127.55),(50 78299.03),(51 78377.27),(52 79032.08),(53 79829.945),(54 80566.664),(55 81719.27),(56 82899.836),(57 84135.945),(58 85012.1),(59 85821.14),(60 85857.19),(61 86463.62),(62 87507.74),(63 87954.375),(64 88137.88),(65 88533.44),(66 88797.88),(67 88903.2),(68 88983.68),(69 89368.03),(70 90232.62),(71 90861.19),(72 91612.49),(73 92176.836),(74 92721.91),(75 93436.68),(76 93957.58),(77 94509.836),(78 94773.12),(79 94635.18),
(1 4706.5327),(2 11561.376),(3 17513.26),(4 22171.844),(5 26293.22),(6 30248.764),(7 34172.36),(8 37704.1),(9 40614.39),(10 43036.25),(11 45261.707),(12 47572.348),(13 49797.43),(14 51522.566),(15 52694.504),(16 53400.79),(17 54283.28),(18 55532.527),(19 56226.367),(20 56887.16),(21 58344.594),(22 59687.273),(23 61005.91),(24 62131.504),(25 62658.938),(26 63184.91),(27 63977.004),(28 64638.42),(29 65450.703),(30 66155.91),(31 67022.734),(32 68231.44),(33 69541.555),(34 70354.36),(35 70711.47),(36 71169.48),(37 71374.88),(38 71424.23),(39 71540.414),(40 71583.266),(41 71331.79),(42 71228.87),(43 71409.625),(44 71559.08),(45 72028.945),(46 72346.05),(47 72945.086),(48 73579.66),(49 74472.82),(50 75622.945),(51 76611.92),(52 77284.53),(53 77943.92),(54 78482.62),(55 79140.875),(56 80121.055),(57 81017.86),(58 81994.54),(59 82913.586),(60 82751.03),(61 82791.76),(62 83060),(63 83474.49),(64 83628.22),(65 83758.414),(66 83691.92),(67 83364.56),(68 83239.43),(69 83385.8),(70 83788.77),(71 84058.15),(72 84781.13),(73 85595.266),(74 86448.82),(75 87007.45),(76 87523.29),(77 88078.03),(78 89008.49),(79 89514.46),
(1 4700.8853),(2 11447.147),(3 17551.586),(4 22050.535),(5 25978.766),(6 29621.133),(7 33178.125),(8 36710.72),(9 39664.586),(10 42096.336),(11 44829.984),(12 47679.88),(13 50068.31),(14 51961.586),(15 53614.01),(16 55164.934),(17 56450.813),(18 57714.203),(19 58742.04),(20 59930.43),(21 61763.438),(22 63204.223),(23 64758.055),(24 66082.914),(25 67138.73),(26 68086.41),(27 69090.25),(28 70456.86),(29 71623.83),(30 72454.26),(31 72968.68),(32 73502.59),(33 73858.63),(34 74130.06),(35 73898.8),(36 73951.28),(37 74221.75),(38 74531.336),(39 74968.37),(40 75565.21),(41 76085.1),(42 76760.05),(43 77008.19),(44 77105.7),(45 77204.195),(46 77126.91),(47 77357.86),(48 77785.28),(49 78055.82),(50 78443.914),(51 78546.23),(52 78408.56),(53 78388.234),(54 78795.8),(55 79611.78),(56 80759.086),(57 81813.78),(58 82357.31),(59 82586.29),(60 82436.984),(61 82656.33),(62 82673.07),(63 82811.07),(64 83153.39),(65 83378.234),(66 83556.63),(67 83904.78),(68 84294.055),(69 84868.086),(70 85568.37),(71 85915.78),(72 86369.41),(73 86625.87),(74 87110.06),(75 87741.49),(76 88622.31),(77 89188.35),(78 89862.875),(79 90358.5),
(1 4707.6055),(2 11452.721),(3 17611.807),(4 22263.744),(5 26319.002),(6 30139.275),(7 33654.6),(8 36433.59),(9 38632.316),(10 40788.176),(11 43114),(12 45779.125),(13 48395.36),(14 50648.016),(15 52241.695),(16 53420.715),(17 54421.887),(18 55351.434),(19 55865.914),(20 56457),(21 57394.363),(22 58267.617),(23 59228.832),(24 60336.14),(25 61205.395),(26 62175.316),(27 63075.875),(28 63696.37),(29 63926.453),(30 64216.945),(31 64164.973),(32 64280.766),(33 65117.793),(34 65524.316),(35 65629.06),(36 65851.07),(37 66367.12),(38 66901.21),(39 67319.85),(40 68073.5),(41 68996.59),(42 69945.17),(43 70821.695),(44 71402.086),(45 71929.13),(46 72307.92),(47 72425.08),(48 72652.75),(49 73015.03),(50 73646.37),(51 74357.73),(52 74958.89),(53 75745.67),(54 76297.51),(55 76652.43),(56 76895.21),(57 77216),(58 77424.586),(59 77710.29),(60 78359.49),(61 79125.89),(62 79504.34),(63 79682.69),(64 79250.69),(65 78604.35),(66 77853.086),(67 77740.24),(68 78285.17),(69 78712.48),(70 79399.05),(71 80201.305),(72 80892.74),(73 81344.36),(74 81345.47),(75 81576.664),(76 81969.79),(77 82228.17),(78 82506.1),(79 83076.97),
(1 4639.639),(2 11320.5625),(3 17390.086),(4 21930.395),(5 25787.682),(6 29056.57),(7 32482.768),(8 35457.367),(9 37820.984),(10 40170.105),(11 42401.7),(12 44869.52),(13 46758.094),(14 48269.938),(15 49757.586),(16 51234.19),(17 52537.32),(18 54136.133),(19 54803.445),(20 55467.676),(21 56451.805),(22 57605.12),(23 59001.66),(24 60098.414),(25 60675.867),(26 61168.375),(27 61637.887),(28 62228.72),(29 62431.406),(30 62643.01),(31 62702.79),(32 63261.426),(33 63872.984),(34 64438.65),(35 64978.063),(36 65345.234),(37 65767.49),(38 66088.58),(39 66160.47),(40 66322.53),(41 66799.48),(42 67156.11),(43 67418.625),(44 68038.945),(45 68683.14),(46 69087.41),(47 69533.8),(48 69785.72),(49 70417.81),(50 71057.85),(51 71581.164),(52 72105.15),(53 72818.695),(54 73555.31),(55 74212.5),(56 74609.3),(57 74866.33),(58 75019.07),(59 75445.06),(60 76414.57),(61 77561.66),(62 78293.96),(63 79666.945),(64 80464.09),(65 80946.44),(66 81166.836),(67 81783.57),(68 82443.914),(69 83188.36),(70 83918),(71 84684.586),(72 85249.72),(73 85761.805),(74 85823.4),(75 86038.36),(76 86633.49),(77 86875.8),(78 87090.01),(79 87500.37),
(1 4553.9917),(2 10938.077),(3 16731.555),(4 20983.256),(5 24576.977),(6 27738.924),(7 30949.209),(8 33896.383),(9 36646.348),(10 39082.508),(11 41504.563),(12 43947.15),(13 46220.824),(14 48323.535),(15 50132.02),(16 51722.758),(17 52845.254),(18 54036.164),(19 54877.24),(20 55914.89),(21 57173.953),(22 57987.69),(23 58862.598),(24 59598.734),(25 60563.063),(26 61257.332),(27 62029.414),(28 62452.848),(29 62877.418),(30 63107.535),(31 63245.906),(32 63796.027),(33 64471.586),(34 64916.824),(35 65288.81),(36 65434.848),(37 65913.68),(38 66255.39),(39 66387.13),(40 66738.125),(41 67141.234),(42 67687.336),(43 67941.42),(44 68050.2),(45 68180.21),(46 68322.516),(47 68748.64),(48 68879.82),(49 69188.15),(50 69063.61),(51 69045.13),(52 69021.91),(53 69286.1),(54 69798.19),(55 70072.01),(56 69849.53),(57 69707),(58 69478.89),(59 69628.89),(60 69924.6),(61 70536.22),(62 70998.81),(63 71389.65),(64 71758.09),(65 71757.03),(66 71691.86),(67 71944.26),(68 72278.16),(69 73024.914),(70 73819.96),(71 74451.766),(72 74921.73),(73 75306.875),(74 75897.164),(75 76680.47),(76 77268.14),(77 77626.02),(78 78033.65),(79 78154.375),
(1 4366.081),(2 10736.541),(3 16320.805),(4 20658.63),(5 24562.416),(6 28092.74),(7 31756.457),(8 34811.824),(9 37337.73),(10 39659.66),(11 41602.605),(12 43416.633),(13 45281.055),(14 47002.97),(15 48438.93),(16 49845.656),(17 50981.996),(18 52212.51),(19 52775.082),(20 53416.67),(21 54909.902),(22 56678.207),(23 58171.56),(24 59001.4),(25 60276.887),(26 61242.945),(27 62365.684),(28 63190.26),(29 63916.504),(30 64654.305),(31 64995.426),(32 65945.17),(33 67031.21),(34 67632.734),(35 68338.12),(36 68914.06),(37 69445.61),(38 70195.664),(39 70734.984),(40 71623.805),(41 72765.766),(42 73468.875),(43 73605.87),(44 74048.086),(45 74552.19),(46 75080.91),(47 75403.83),(48 75482.84),(49 75574.77),(50 75443.76),(51 75264.44),(52 75113.125),(53 74801.055),(54 74700.664),(55 74688.484),(56 74994.766),(57 75015.64),(58 75161.37),(59 75905.57),(60 76643.336),(61 77712.336),(62 78426.81),(63 78911.54),(64 79273.06),(65 79524.35),(66 79492.195),(67 79685.3),(68 80044.5),(69 80341.14),(70 80801.85),(71 80784.766),(72 80906.3),(73 80941.39),(74 80885.19),(75 81048.98),(76 81344.39),(77 81815.41),(78 82430.36),(79 82784.305),
(1 4399.2275),(2 10698.6875),(3 16171.589),(4 20083.725),(5 23499.836),(6 26466.777),(7 29633.951),(8 32644.98),(9 35276.188),(10 37584.313),(11 39616.24),(12 41348.043),(13 43092.55),(14 44886.79),(15 46441.227),(16 47955.47),(17 48978.01),(18 49980.28),(19 50777.746),(20 51919.03),(21 53480.152),(22 54842.01),(23 55903.504),(24 56999.246),(25 58623.473),(26 59882.49),(27 61089.027),(28 62076.617),(29 62731.633),(30 62992.457),(31 63078.594),(32 63653.06),(33 64674.676),(34 65346.94),(35 65964.56),(36 66291.43),(37 66960.64),(38 67902.055),(39 68642.49),(40 69693.62),(41 70426.875),(42 71001.234),(43 71258.69),(44 71744.12),(45 72445.016),(46 73379.62),(47 74588.914),(48 75691.21),(49 76532.71),(50 76968.875),(51 77601.57),(52 78203.48),(53 78843.836),(54 79009.59),(55 79260.45),(56 79182.84),(57 79229.21),(58 79257.64),(59 79668.67),(60 79894.36),(61 79689.91),(62 79446.12),(63 78888.17),(64 78210.66),(65 77495.43),(66 77097.54),(67 76678.06),(68 76626.99),(69 76722.88),(70 76749.17),(71 76723.12),(72 76647.93),(73 76810.766),(74 77217.45),(75 77940.195),(76 78608.32),(77 78895.86),(78 79274.85),(79 79430.2),
(1 4294.6553),(2 10489.571),(3 15874.972),(4 19627.006),(5 23032.227),(6 26249.938),(7 29816.965),(8 32950.74),(9 35420.523),(10 37653.535),(11 39770.594),(12 41854.32),(13 43726.715),(14 45476.426),(15 47014.832),(16 47999.535),(17 49011.8),(18 50552.703),(19 51768.87),(20 52792.53),(21 54145.926),(22 55282.54),(23 56279.836),(24 56914.633),(25 57749.816),(26 58387.406),(27 58717.027),(28 59233.45),(29 59951.137),(30 60605.844),(31 61307.164),(32 62004.086),(33 62470.715),(34 62578.99),(35 62368.094),(36 62150.855),(37 62347.707),(38 63063.44),(39 63763.023),(40 64262.266),(41 64583.33),(42 64692.86),(43 64571.926),(44 64900.68),(45 65253.33),(46 65597.85),(47 65960.7),(48 66360.555),(49 67037.42),(50 67463.31),(51 67883.17),(52 68128.78),(53 68466.484),(54 68889.91),(55 69310.266),(56 70012.42),(57 70661.44),(58 71323.875),(59 72011.95),(60 72624.484),(61 73219.38),(62 73518.57),(63 73603.5),(64 73872.414),(65 74061.484),(66 74047.19),(67 73968.086),(68 74219.09),(69 74508.99),(70 74748.74),(71 74561.29),(72 74693.76),(73 74940.25),(74 75508.31),(75 76137.586),(76 76726.27),(77 77115.164),(78 77274.6),(79 77522.57),
(1 4392.79),(2 10609.549),(3 16147.495),(4 20112.943),(5 23345.482),(6 26363.953),(7 29710.2),(8 32708.217),(9 35164.164),(10 37230.65),(11 39102.563),(12 41006.656),(13 42920.48),(14 44659.68),(15 46414.48),(16 47860.38),(17 49405.344),(18 50751.613),(19 51841.047),(20 53043.75),(21 54170.06),(22 54977.004),(23 55740.742),(24 56548.574),(25 57373.266),(26 58127.742),(27 59111.863),(28 59969.215),(29 60807.63),(30 61616.895),(31 62453.56),(32 63163.367),(33 63777.418),(34 64185.465),(35 64523.8),(36 64873.203),(37 65302.066),(38 65747.45),(39 66119.07),(40 66541.445),(41 66657.62),(42 66539.086),(43 66280.04),(44 66218.305),(45 66263.1),(46 66611.555),(47 66767.45),(48 67007.555),(49 67211.805),(50 67270.53),(51 67187.164),(52 66901.945),(53 66989.56),(54 67138.164),(55 67502.5),(56 68153.78),(57 68628.7),(58 68816.89),(59 69617.04),(60 70527.62),(61 71263.21),(62 71904.69),(63 71878.555),(64 72353.4),(65 72777.96),(66 73262.55),(67 73861.75),(68 74308.58),(69 74460.7),(70 74426.24),(71 74110.87),(72 73918.21),(73 73843.45),(74 73627.7),(75 73830.56),(76 74018.664),(77 74200.02),(78 74249.54),(79 74257.48),
(1 4039.7002),(2 9391.008),(3 14217.539),(4 17989.764),(5 21041.713),(6 24150.104),(7 27296.717),(8 30237.416),(9 32787.043),(10 34636.61),(11 36568.73),(12 38117.242),(13 39699.688),(14 41335.605),(15 42753.81),(16 43953.598),(17 45415.125),(18 46963.277),(19 48379.613),(20 49506.906),(21 50459.707),(22 51241.035),(23 51966.504),(24 53018.594),(25 54126.582),(26 55069.594),(27 55669.094),(28 55950.09),(29 56330.027),(30 56624.168),(31 57053.734),(32 57585.12),(33 58024.066),(34 58389.625),(35 58543.223),(36 58647.957),(37 58900.293),(38 59299.86),(39 59598.51),(40 59939.234),(41 60134.223),(42 60551.39),(43 60974.87),(44 61110.887),(45 61217.95),(46 61255.28),(47 61466.457),(48 61938.996),(49 62523.73),(50 63067.49),(51 63346.188),(52 63891.094),(53 64576.11),(54 65171.152),(55 65662.07),(56 66265.836),(57 66815.91),(58 67366.91),(59 67993.29),(60 68401.484),(61 68795.99),(62 69000.29),(63 68928.164),(64 69067),(65 69470.4),(66 69727.46),(67 69802.38),(68 70167.93),(69 70307.414),(70 70664.8),(71 70601.46),(72 70742.37),(73 71010.695),(74 71487.57),(75 71906.37),(76 72323.61),(77 72472.47),(78 72488.2),(79 72339.46),
