1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 16976.86),(2 48199.426),(3 103301.01),(4 175946.2),(5 263417.66),(6 356685.88),(7 466247.34),(8 578960.3),(9 689817.8),(10 812575.2),(11 945341.8),(12 1072582.5),(13 1210169.3),(14 1345573.4),(15 1475382.6),(16 1618214),(17 1753204.1),(18 1890085.6),(19 2028935.1),(20 2166588.3),(21 2304202.3),(22 2461697.3),(23 2613137.8),(24 2727223.5),(25 2837892.8),(26 2942739),(27 3050944),(28 3165651.3),(29 3319793.8),(30 3496913.8),(31 3699431.3),(32 3898848.8),(33 4113298.8),(34 4364228.5),(35 4577207.5),(36 4809040.5),(37 5025696),(38 5215447.5),(39 5390700),(40 5592340),(41 5805405.5),(42 6038340),(43 6301864.5),(44 6534268),(45 6807960.5),(46 7099018.5),(47 7376568.5),(48 7668364),(49 7925959.5),(50 8152321.5),(51 8344034),(52 8579591),(53 8774004),(54 8956590),(55 9087989),(56 9233059),(57 9400851),(58 9545967),(59 9709696),(60 9954761),(61 10112227),(62 10291274),(63 10478531),(64 10619887),(65 10733151),(66 10906953),(67 11015433),(68 11134681),(69 11265715),(70 11451436),(71 11640116),(72 11894612),(73 12098421),(74 12350259),(75 12563971),(76 12780661),(77 13019492),(78 13367236),(79 13580253),
(1 9044.817),(2 25921.967),(3 46799.934),(4 65393.63),(5 81851.36),(6 96271.516),(7 108468.87),(8 118408.65),(9 126077.83),(10 132018),(11 137890.92),(12 143464.05),(13 148152.69),(14 152174.34),(15 155031.2),(16 158120.89),(17 161090.19),(18 163746.9),(19 166757.63),(20 169641.52),(21 171332.19),(22 170934),(23 170518.77),(24 169094.42),(25 167913.1),(26 167923.81),(27 168107.31),(28 169799.72),(29 171576.67),(30 173754.03),(31 176715.84),(32 177986.14),(33 179042.7),(34 180179.64),(35 181584.72),(36 184298.38),(37 187103.03),(38 189531.34),(39 192617.73),(40 195506.38),(41 196931.75),(42 197704.19),(43 197708.69),(44 197124.17),(45 196878.19),(46 196713.2),(47 195231.22),(48 194315.44),(49 193023.84),(50 192235.58),(51 190588.98),(52 190506.88),(53 190623.69),(54 192279.5),(55 194007.03),(56 196639.89),(57 198751.6),(58 200531.64),(59 202729.86),(60 204169.97),(61 204686.13),(62 205375.05),(63 206358.27),(64 206787.36),(65 205420.72),(66 203635.2),(67 201819.6),(68 200772.77),(69 200162.1),(70 200092.98),(71 201102.39),(72 202691.64),(73 204156.1),(74 205485.17),(75 206463.34),(76 207411.08),(77 209928.38),(78 213386.84),(79 216171.48),
(1 8878.526),(2 25225.191),(3 46322.734),(4 64506.35),(5 81604.89),(6 96204.26),(7 108661.47),(8 119556.65),(9 128694.76),(10 136059.69),(11 142664.98),(12 147802.13),(13 152756.95),(14 157428.31),(15 161420.22),(16 165088.6),(17 168805.7),(18 172540.42),(19 174914.72),(20 177551.47),(21 178173.9),(22 178809.72),(23 178614.52),(24 178485.53),(25 177742.06),(26 178021.19),(27 177928.89),(28 179223.1),(29 180418.53),(30 180833.28),(31 181344.83),(32 181695.52),(33 182300.81),(34 182618.6),(35 181676.73),(36 181383.67),(37 181022.4),(38 181409.73),(39 182333.13),(40 184443.63),(41 185116.53),(42 185572.97),(43 185590.4),(44 184613.23),(45 184367),(46 184791.13),(47 184043.77),(48 182746.47),(49 182642.7),(50 180877.03),(51 179329.02),(52 179238.23),(53 178865.48),(54 179231.83),(55 179251.17),(56 180317.89),(57 182193.8),(58 184153.48),(59 186747.64),(60 189682.31),(61 191422.39),(62 192852.78),(63 193598.42),(64 193965.8),(65 194183.19),(66 194402.2),(67 193957.98),(68 193704.56),(69 193924.7),(70 192573.88),(71 192164.31),(72 192896.6),(73 194938.4),(74 196952.48),(75 199160),(76 200612.23),(77 202148.19),(78 203708.92),(79 205188.92),
(1 8727.634),(2 24836.146),(3 45116.277),(4 62659.684),(5 78606.445),(6 92175.57),(7 103330.875),(8 113231.164),(9 121216.83),(10 127944.66),(11 134434.77),(12 139830.4),(13 145110.86),(14 149697.19),(15 154673.05),(16 158858.66),(17 164152.48),(18 168824.11),(19 172378.22),(20 175847.9),(21 177793.88),(22 179533.78),(23 181244.31),(24 181941.05),(25 182986.94),(26 184429.53),(27 185460.98),(28 186499.98),(29 186524.94),(30 186626.88),(31 186452.34),(32 184699.48),(33 183260.42),(34 182224.3),(35 180739.23),(36 179694.89),(37 179383.06),(38 179660.42),(39 180836.34),(40 182002.22),(41 183088.4),(42 184522.48),(43 185091.16),(44 185262.11),(45 185651.14),(46 186731.45),(47 186673.78),(48 185210),(49 184526.44),(50 182589.77),(51 180956.86),(52 180710.56),(53 182010.88),(54 183561.14),(55 184092.97),(56 184441.48),(57 184156.33),(58 183829.11),(59 183979.81),(60 184720.06),(61 185193.77),(62 186002.27),(63 185933.33),(64 185355.7),(65 184849.11),(66 185394.34),(67 185057.27),(68 184372.58),(69 183904.11),(70 182651.34),(71 183320.38),(72 184394.94),(73 186253.94),(74 188497.2),(75 190618.94),(76 192571.36),(77 193960.27),(78 194975.72),(79 194377.9),
(1 8593.537),(2 24643.45),(3 45182.99),(4 62480.754),(5 78278.25),(6 91021.58),(7 101209.03),(8 109907.68),(9 117245.1),(10 123148.266),(11 129367.13),(12 134115.64),(13 138747.19),(14 142957.56),(15 147385.39),(16 151958.53),(17 156839.6),(18 160022.67),(19 163112.02),(20 166101.61),(21 168166.55),(22 170214.02),(23 170929.4),(24 172596.7),(25 173166.48),(26 175244.95),(27 177189.63),(28 179978.17),(29 182348.8),(30 183737.42),(31 185510.6),(32 185963.86),(33 186674.63),(34 187120.19),(35 186505.06),(36 186761.78),(37 187388.73),(38 187576.25),(39 188211.05),(40 188039.75),(41 187755.77),(42 187944.7),(43 188730.6),(44 189355.02),(45 189633.06),(46 190262.6),(47 189189.84),(48 187833.5),(49 186798.77),(50 185616.63),(51 184746.95),(52 184875.73),(53 186075.31),(54 186181.69),(55 185934.19),(56 185445.17),(57 184798.9),(58 184078.58),(59 183574.75),(60 183839.1),(61 183970),(62 184066.89),(63 184481.95),(64 184172.44),(65 183899.08),(66 183322.95),(67 182021.47),(68 180832.97),(69 179878.44),(70 178544.42),(71 178590.3),(72 178494.48),(73 178409.1),(74 179461.47),(75 181545.84),(76 183050.45),(77 184547.19),(78 184802.8),(79 185258.89),
(1 8465.709),(2 24005.686),(3 43315.9),(4 60192.402),(5 75511.67),(6 88213.28),(7 99117.016),(8 108381.305),(9 115594.016),(10 120843.92),(11 125660.47),(12 129173.734),(13 132348.52),(14 135002),(15 137763.48),(16 140447.89),(17 143173.7),(18 145404.11),(19 147513.22),(20 150110.97),(21 152025.66),(22 154738.05),(23 156848.67),(24 158553.7),(25 160564.98),(26 162338.66),(27 164283.89),(28 167701.27),(29 171270.4),(30 174228.06),(31 176570.47),(32 178137.42),(33 180335.55),(34 181782.61),(35 181458.34),(36 181377.45),(37 181176.61),(38 180382.17),(39 180075.53),(40 179162.8),(41 177240.94),(42 175500.22),(43 174067.22),(44 173789.64),(45 174278.4),(46 174229.95),(47 174149.81),(48 172575.97),(49 172233.39),(50 171153.52),(51 171380.31),(52 172474.75),(53 173966.9),(54 175603.61),(55 176442.19),(56 177648.6),(57 178497.6),(58 179433.88),(59 179396.69),(60 179437.16),(61 178622.17),(62 177694.97),(63 177594.52),(64 176819.16),(65 175743.2),(66 174810.97),(67 173399.5),(68 172856.83),(69 173921.56),(70 175139.52),(71 176278.73),(72 177312.2),(73 177468.92),(74 179086.86),(75 180860.22),(76 181845.27),(77 183099.39),(78 183531.05),(79 184165.55),
(1 8334.296),(2 23463.674),(3 42782.453),(4 59970.105),(5 76156.55),(6 90076.24),(7 101635.5),(8 111622.05),(9 119357.15),(10 125228.73),(11 130431),(12 133903.16),(13 136780.28),(14 138924.78),(15 140379.03),(16 142199.75),(17 144164.9),(18 146324.73),(19 147487.89),(20 148174.11),(21 149630.3),(22 150171.77),(23 152183.2),(24 154114.2),(25 156414.36),(26 158282.19),(27 158811.9),(28 160320.34),(29 161166.23),(30 161976.03),(31 162702.6),(32 162888.44),(33 163943.6),(34 165976.47),(35 167794.58),(36 170174.97),(37 172170.61),(38 172727.14),(39 173577.64),(40 174000.98),(41 173718.69),(42 172506.05),(43 170977.31),(44 169616.56),(45 168884.1),(46 168324.17),(47 167786.84),(48 168416.9),(49 169575.6),(50 170948.48),(51 172382),(52 174193.53),(53 176645.86),(54 180131.06),(55 181859.55),(56 182419.2),(57 183354.97),(58 183521.36),(59 182654.66),(60 182392.94),(61 180978.19),(62 179533.1),(63 178107.17),(64 177084.8),(65 176365.42),(66 175615.19),(67 175145.45),(68 175426.44),(69 175703.95),(70 175861.34),(71 175984.1),(72 177437.92),(73 177816),(74 178823.23),(75 178423.19),(76 177015.47),(77 175494.16),(78 174273.44),(79 173818.52),
(1 8213.564),(2 23067.662),(3 41620.273),(4 57437.555),(5 72528.13),(6 85276.05),(7 95533.055),(8 104458.25),(9 110224.29),(10 114687.04),(11 118378.305),(12 120985.055),(13 123217.68),(14 125953.7),(15 128817.66),(16 131676.67),(17 133950.6),(18 135893.48),(19 137476.78),(20 138827.34),(21 139877.63),(22 141131.94),(23 142648.28),(24 142638.83),(25 143753.17),(26 145754.84),(27 147340.98),(28 149005.3),(29 150289.1),(30 151498.47),(31 152819.73),(32 153199.31),(33 153647.89),(34 155176.95),(35 155395.08),(36 156592.1),(37 157557.34),(38 157304.03),(39 157894.28),(40 158752.48),(41 158806.58),(42 159369.63),(43 159226.23),(44 158139.19),(45 157066.75),(46 156601.5),(47 155975.73),(48 155377.13),(49 156117.81),(50 156730.31),(51 158483.9),(52 161062.69),(53 163534.7),(54 166525.38),(55 168302.56),(56 170106.97),(57 171887.2),(58 173789.14),(59 174787.9),(60 175531.27),(61 175249.08),(62 174322.28),(63 173710.52),(64 172068.84),(65 169850.34),(66 167867.5),(67 165990.16),(68 164852.84),(69 165185.16),(70 164780.94),(71 164938.3),(72 165371.9),(73 164635.3),(74 164529.52),(75 164650.7),(76 164330.38),(77 163814.83),(78 163763.66),(79 163266.3),
(1 8130.089),(2 22837.895),(3 41280.906),(4 57199.45),(5 71418.14),(6 83698.38),(7 94350.664),(8 103323.64),(9 110543.87),(10 116121.97),(11 120422.91),(12 123006.68),(13 124610.22),(14 126231.65),(15 127781.08),(16 130536.04),(17 133131.14),(18 134452.6),(19 134941.19),(20 135764.38),(21 136170.5),(22 136516.44),(23 137069.39),(24 136941.81),(25 137960.67),(26 139516.39),(27 141355.9),(28 144639.72),(29 147122.92),(30 149378.88),(31 152359.48),(32 154359.72),(33 156026.95),(34 158027.16),(35 159080.52),(36 161160.52),(37 163633.58),(38 163721.14),(39 164820.98),(40 165291.02),(41 163641.88),(42 162331.14),(43 161733.03),(44 161066.16),(45 160658.75),(46 161539.4),(47 161784.92),(48 162508.95),(49 163961.61),(50 164656),(51 165498.69),(52 166345.52),(53 166506.31),(54 166712.81),(55 166569.77),(56 166781.36),(57 167420.11),(58 167260.8),(59 166614.8),(60 166281.83),(61 165667.77),(62 164491.56),(63 163816.77),(64 161801.53),(65 161029.3),(66 160766.66),(67 160155.88),(68 160966.02),(69 161442.25),(70 161455.3),(71 162505.13),(72 163767.78),(73 164295.06),(74 164830.28),(75 164851.6),(76 163584.86),(77 161475.86),(78 160519.94),(79 159518.53),
(1 8623.168),(2 24401.768),(3 43499.133),(4 60421.883),(5 76373.95),(6 90267.79),(7 102487.875),(8 112763.07),(9 120921.7),(10 127436.234),(11 133361.8),(12 137071.47),(13 139340.19),(14 140964.17),(15 140917.7),(16 141925.58),(17 142803.03),(18 143620.95),(19 144131.86),(20 144881.56),(21 145476.81),(22 146699.1),(23 148760.5),(24 149753.14),(25 151547.16),(26 153307.64),(27 154807.2),(28 156428.7),(29 156927.52),(30 157779.22),(31 159373.92),(32 160111.1),(33 161247.44),(34 163611.16),(35 165088.86),(36 166403.9),(37 167350.19),(38 166705.14),(39 167141.48),(40 167866.83),(41 167776.02),(42 166835.56),(43 165384.52),(44 164295.03),(45 163227.17),(46 163234.98),(47 161946.69),(48 161668.31),(49 162425.58),(50 162702.45),(51 162035.28),(52 161001.6),(53 160012.4),(54 159170.5),(55 158676.86),(56 158705.45),(57 159772.84),(58 160148.89),(59 160471.36),(60 161382.84),(61 162326.03),(62 161842.77),(63 161055),(64 159017.67),(65 157007.81),(66 156516.95),(67 155572.28),(68 156318.16),(69 156741.36),(70 157435.06),(71 158001.97),(72 158964.92),(73 159553.77),(74 160817.47),(75 162540.1),(76 164010.53),(77 164538.33),(78 165802.64),(79 166672.77),
(1 8191.7803),(2 23015.742),(3 41256.95),(4 57050.004),(5 71162.48),(6 83083.92),(7 93225.95),(8 101268.09),(9 107658.98),(10 113026.62),(11 117375.164),(12 120052.72),(13 122632.48),(14 124923.56),(15 126712.01),(16 129403.82),(17 131241.06),(18 132615.4),(19 134181.34),(20 136418.36),(21 138646.1),(22 140445.08),(23 142209.94),(24 142717.03),(25 143485.03),(26 144307.02),(27 144796.56),(28 145136.47),(29 144569.56),(30 143838.75),(31 143720.34),(32 143895.84),(33 143561.8),(34 144232.55),(35 145340.97),(36 147082.58),(37 148565.61),(38 148341.64),(39 148424.66),(40 147841.19),(41 145651.33),(42 143214.11),(43 141121.94),(44 139223.14),(45 138436.3),(46 138006.17),(47 137388.5),(48 138368.33),(49 140389.97),(50 142917.36),(51 145809.42),(52 148064.56),(53 150571.36),(54 153416.61),(55 155604.69),(56 157614.28),(57 159673.92),(58 160034.27),(59 160165.61),(60 160434.53),(61 160191.06),(62 159729.48),(63 160257.61),(64 160012.13),(65 159455.38),(66 158796.67),(67 157125.55),(68 156612.88),(69 155688.6),(70 154534.88),(71 153688.02),(72 153587.67),(73 153124.02),(74 153259.94),(75 153775.75),(76 154082.33),(77 153807.89),(78 154349.6),(79 155132.02),
(1 8215.17),(2 23024.465),(3 41672.883),(4 57645.363),(5 72198.58),(6 84395.41),(7 94990.43),(8 103995.875),(9 110713.92),(10 115720.23),(11 120135.31),(12 123089.57),(13 124916.625),(14 126773.07),(15 129391.54),(16 132727.66),(17 136027.05),(18 137209.67),(19 137564.75),(20 137407.47),(21 138013.7),(22 138842.48),(23 140110.25),(24 140433.1),(25 141027.97),(26 140330.63),(27 139782.78),(28 140234.48),(29 140966.27),(30 142227.69),(31 143327.39),(32 144155.78),(33 145306.53),(34 146915.45),(35 147558.17),(36 148152.11),(37 148758.05),(38 148525.42),(39 148445.95),(40 147505.22),(41 146355.6),(42 145378.02),(43 144923.7),(44 144676.05),(45 145196.03),(46 146405.98),(47 146823.78),(48 148151.11),(49 150172.33),(50 151447.69),(51 152361.7),(52 153433.42),(53 154210.17),(54 155686.16),(55 156623.53),(56 157452.94),(57 158578.1),(58 158794.55),(59 159258.1),(60 159288.69),(61 158332.13),(62 157916.83),(63 157832.33),(64 157637.22),(65 158357.5),(66 159899.47),(67 161102.53),(68 162522.5),(69 164289.2),(70 164992.9),(71 166172),(72 166950.89),(73 165980.36),(74 164474.1),(75 163453.02),(76 161172.14),(77 158323.98),(78 156701.23),(79 155764.56),
(1 8071.901),(2 22325.172),(3 39465.938),(4 54350.95),(5 67533),(6 78689.63),(7 87439.55),(8 94634.78),(9 99756.83),(10 103693.945),(11 107235.484),(12 110174.06),(13 112808.49),(14 115582.38),(15 118817.51),(16 121924.93),(17 124651),(18 125901.83),(19 127086.32),(20 126861.63),(21 127148.09),(22 128549.39),(23 130490.79),(24 132834.8),(25 135912.27),(26 138037.17),(27 138993.5),(28 139554.72),(29 140281.11),(30 141746.36),(31 143950),(32 146329.61),(33 148394.92),(34 150520.92),(35 151538.47),(36 152145.8),(37 152151.1),(38 150949.22),(39 149948.45),(40 148393.73),(41 146377.31),(42 144390.16),(43 143732.38),(44 142904.58),(45 142200.66),(46 142362.13),(47 141644.92),(48 141766.3),(49 142375.69),(50 142446.92),(51 142388.69),(52 143428.34),(53 143033.23),(54 143364.38),(55 142635.77),(56 142980.53),(57 143641.28),(58 144177.13),(59 145591.9),(60 147477.86),(61 148141.63),(62 148622.63),(63 148768.11),(64 148863.5),(65 149078.5),(66 150429.78),(67 152226),(68 154882.69),(69 157950.84),(70 159567.27),(71 161061.08),(72 163578.48),(73 165296.16),(74 166934.64),(75 168749.06),(76 168990.78),(77 168913.48),(78 167758.05),(79 167103.53),
(1 7828.41),(2 22069.535),(3 39307.33),(4 54799.258),(5 68512.195),(6 80189.555),(7 88872.65),(8 95574.7),(9 99861.19),(10 103129.62),(11 106524.9),(12 109292.13),(13 111735.95),(14 114401.734),(15 116718.88),(16 120164.34),(17 123409.99),(18 124924.84),(19 125668.414),(20 126347.734),(21 127232.15),(22 128341.586),(23 129095.64),(24 130747.5),(25 133058.52),(26 135669.34),(27 137325.47),(28 139543.11),(29 141028.08),(30 142737.95),(31 144390.16),(32 145214.44),(33 146206.92),(34 146343.38),(35 145969.03),(36 145680.52),(37 144542.38),(38 142015.13),(39 140486.97),(40 138961.7),(41 137907.98),(42 136868.67),(43 137167.47),(44 136972.28),(45 137478.56),(46 138477.44),(47 138423.06),(48 138735.2),(49 138973.97),(50 138651.36),(51 138500.28),(52 139034.92),(53 140163.14),(54 141426.97),(55 141641.78),(56 142860.13),(57 144419.1),(58 145637),(59 147686.02),(60 150175.92),(61 152714),(62 154630.38),(63 156490.06),(64 157015.86),(65 157907.5),(66 159237.28),(67 160117.28),(68 161192.4),(69 162887.7),(70 163764.67),(71 164405.36),(72 164996.08),(73 165550.4),(74 165400.72),(75 165442.14),(76 164649.75),(77 163755.73),(78 163599.27),(79 163432.39),
(1 8080.4766),(2 22510.143),(3 39941.05),(4 55941.168),(5 70448.86),(6 82546.02),(7 92012.21),(8 99666.164),(9 104493.75),(10 108307.22),(11 111026.44),(12 112988.36),(13 114480.34),(14 115732.336),(15 117385.46),(16 119594.28),(17 122434.266),(18 123955.47),(19 125284.875),(20 127435.336),(21 128865.055),(22 130172.05),(23 131147.06),(24 133174.61),(25 135426.39),(26 138085.33),(27 139653.25),(28 142240.02),(29 143839.03),(30 145898.42),(31 148614.28),(32 150166.11),(33 152157.75),(34 154263.42),(35 155689.88),(36 156901.38),(37 157356.72),(38 156174.48),(39 154934.53),(40 153338.14),(41 151708.34),(42 150800.08),(43 150390.4),(44 148975.14),(45 148042.34),(46 147210.39),(47 146268.16),(48 146026.8),(49 146864.95),(50 146557.16),(51 147501.81),(52 147765.52),(53 147376.77),(54 147922.44),(55 148181.28),(56 148811.4),(57 150289.27),(58 150829.1),(59 151114.81),(60 151079.06),(61 150116.75),(62 150158.73),(63 150185.58),(64 150453.3),(65 151327.8),(66 152836.72),(67 153895.45),(68 155242.31),(69 156799.23),(70 157337.67),(71 158847.94),(72 159343.9),(73 158542.1),(74 157216.86),(75 156074.75),(76 155091.1),(77 154410.88),(78 155928.47),(79 156922.48),
(1 7712.2324),(2 21463.967),(3 38192.285),(4 52963.883),(5 66056.56),(6 77468.9),(7 86651.29),(8 94416.52),(9 100274.09),(10 105107.45),(11 108983.04),(12 111165.33),(13 112383.83),(14 112743.51),(15 113325.32),(16 114003.945),(17 115487.85),(18 116941.38),(19 118117.57),(20 119854.98),(21 122404.586),(22 124799.12),(23 126429.29),(24 127600.336),(25 128356.14),(26 128833.57),(27 128352.41),(28 128492.7),(29 129775.34),(30 131268.03),(31 133364.33),(32 135485.13),(33 138159.22),(34 140321.2),(35 141368.02),(36 142132.55),(37 142469.02),(38 141536.8),(39 141106.47),(40 140897.48),(41 140226.58),(42 140443.14),(43 140792.9),(44 141067.33),(45 140967.02),(46 140222.47),(47 139327.1),(48 139448),(49 141384.1),(50 142320.66),(51 142379.34),(52 142632.47),(53 142943.02),(54 143060.72),(55 142883.13),(56 142419.58),(57 142389.53),(58 140843.34),(59 139054.13),(60 137698.58),(61 135973.53),(62 134867.7),(63 134650.31),(64 134533.44),(65 136067.22),(66 137997.31),(67 140325.34),(68 142736.16),(69 145273.78),(70 146526.19),(71 147353.4),(72 147873.58),(73 147948.36),(74 148240.3),(75 148450.55),(76 147281.73),(77 145601.81),(78 144210.98),(79 143397.03),
(1 7670.893),(2 21043.725),(3 37254.54),(4 51042.426),(5 63140.71),(6 73777.875),(7 82876.64),(8 91119.49),(9 97499.18),(10 102569.04),(11 107325.484),(12 110216.84),(13 112217.16),(14 113863.79),(15 115850.32),(16 117357.17),(17 118806.99),(18 119807.27),(19 121130.766),(20 122643.74),(21 123584.016),(22 125843.27),(23 127784.42),(24 128763.87),(25 128968.75),(26 129376.13),(27 129929),(28 130527.61),(29 131581.8),(30 133312.67),(31 135448.9),(32 137193.39),(33 139435.73),(34 141366.4),(35 142304.48),(36 143550.69),(37 144416.1),(38 143333.9),(39 142673.17),(40 142513.72),(41 142990.06),(42 143389.77),(43 144089.97),(44 143891.3),(45 144130.14),(46 144158.89),(47 143319.84),(48 142724.88),(49 143840.9),(50 144405.2),(51 145877.48),(52 147053.69),(53 147493.83),(54 148168.86),(55 148261.45),(56 148495.47),(57 148585.95),(58 147457.95),(59 146306.69),(60 145103.84),(61 143748.69),(62 142896.03),(63 142552.27),(64 141569.6),(65 141399.31),(66 142067.02),(67 142359.61),(68 143101.44),(69 144305.63),(70 145280.31),(71 147069.92),(72 148969.9),(73 150418.38),(74 151699.5),(75 153134.64),(76 153798.52),(77 153239.3),(78 153289.02),(79 153858.14),
(1 7517.5425),(2 20825.838),(3 36795.887),(4 50145.297),(5 61860.3),(6 72028.74),(7 80212.6),(8 87056.49),(9 92748.29),(10 97134.4),(11 101097.234),(12 103469.56),(13 105613.18),(14 108087.14),(15 110491.53),(16 112513.69),(17 114641.414),(18 116242.17),(19 117853.586),(20 118983.38),(21 119682.25),(22 120416.375),(23 120458.07),(24 119625.17),(25 119658.445),(26 120488.836),(27 120962.95),(28 121986),(29 122640.55),(30 123941.37),(31 126012.14),(32 127512.27),(33 128242.95),(34 127669.64),(35 126746.734),(36 126556.12),(37 126700.95),(38 126019.59),(39 125740.734),(40 125090.72),(41 124074.29),(42 123952.836),(43 124606.33),(44 124964.63),(45 126414.13),(46 127489.8),(47 129076.16),(48 130289.18),(49 132377.3),(50 133666.72),(51 135241.72),(52 137488.97),(53 138807.77),(54 140528.45),(55 141348.9),(56 142097.73),(57 143589.6),(58 144954.67),(59 145694.14),(60 145813.53),(61 144741.39),(62 143896.2),(63 142608.97),(64 141229.73),(65 140828.47),(66 140669.89),(67 139859.25),(68 139000.61),(69 138542.08),(70 137252.4),(71 136759.34),(72 137015.4),(73 137268.97),(74 138749.3),(75 140912.45),(76 142600.31),(77 143651.39),(78 143668.86),(79 142929.55),
(1 7346.019),(2 19884.021),(3 35026.586),(4 47686.566),(5 58905.67),(6 68407.445),(7 76124.695),(8 82602.25),(9 88075.9),(10 92661.62),(11 97005.79),(12 99415.23),(13 101431.05),(14 103736.44),(15 106101.72),(16 108476.055),(17 110902.86),(18 113018.47),(19 115258.47),(20 117752.69),(21 119410.63),(22 120756.56),(23 121768.016),(24 122340.59),(25 122177.05),(26 122608.62),(27 123101.25),(28 124279.31),(29 124788.34),(30 125648.17),(31 126040.836),(32 125691.3),(33 124812.32),(34 124694.72),(35 124099.95),(36 123833.83),(37 124062.2),(38 123584.91),(39 123684.305),(40 123605.336),(41 123303.68),(42 124056.72),(43 125709.125),(44 127274.305),(45 129309.38),(46 130557.45),(47 130515.54),(48 130857.32),(49 131105.33),(50 131977.33),(51 133390.67),(52 134281.84),(53 134197.33),(54 135181.61),(55 135028.6),(56 134926.9),(57 135139.38),(58 134594.5),(59 134662.56),(60 134671.05),(61 134383.4),(62 134860.64),(63 135491.47),(64 135884.9),(65 136774.94),(66 137557.75),(67 137407.47),(68 138127.28),(69 139499.47),(70 140562.23),(71 141582.55),(72 142456.56),(73 142641.05),(74 143035.2),(75 143814.45),(76 144340.31),(77 144451.88),(78 145289.89),(79 145085.52),
