1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 270664.03),(2 738242.8),(3 1348532.8),(4 2294563),(5 3278420.3),(6 4309887.5),(7 5579373.5),(8 6827821.5),(9 7984394),(10 9320076),(11 10444145),(12 11336725),(13 12244061),(14 13089096),(15 13683904),(16 14314127),(17 14714225),(18 14896789),(19 15224429),(20 15545944),(21 15754236),(22 16046901),(23 16273661),(24 16409971),(25 16706407),(26 16941894),(27 17074938),(28 17438720),(29 17831010),(30 18172250),(31 18686222),(32 19286886),(33 19913758),(34 20730070),(35 21557910),(36 22188306),(37 22868864),(38 23574586),(39 24290390),(40 25425190),(41 26616478),(42 27746218),(43 29119336),(44 30460842),(45 31700696),(46 33019702),(47 34369468),(48 35708100),(49 37228444),(50 38979690),(51 40810604),(52 42871120),(53 44863060),(54 46628724),(55 48762868),(56 50624516),(57 52090340),(58 53774516),(59 55407600),(60 56912324),(61 58590160),(62 60135164),(63 61526796),(64 63061984),(65 64690324),(66 66261868),(67 68112700),(68 70046000),(69 71907270),(70 73462520),(71 75062184),(72 76322780),(73 77562936),(74 78887270),(75 80488110),(76 82076550),(77 83921450),(78 85797730),(79 87702216),
(1 20226.672),(2 34547.613),(3 34973.473),(4 33486.27),(5 34538.387),(6 35132.33),(7 36016.832),(8 37824.86),(9 39004.473),(10 38956.004),(11 38012.21),(12 38086.867),(13 39412.29),(14 39714.836),(15 39412.785),(16 38945.875),(17 40581.32),(18 42131.684),(19 41615.527),(20 41102.78),(21 41613.79),(22 41442.375),(23 42118.953),(24 42755.56),(25 43334.62),(26 44101.266),(27 43804.457),(28 43774.316),(29 44220.95),(30 44961.777),(31 45173.73),(32 44671.887),(33 44845.6),(34 45132.438),(35 45162.11),(36 44109.598),(37 44158.387),(38 45331.906),(39 44903.71),(40 43842.07),(41 43593.656),(42 43676.797),(43 43740.684),(44 43946.47),(45 45267.04),(46 45146.504),(47 44609.637),(48 44659.28),(49 45116.7),(50 45933.61),(51 45293.355),(52 44678.586),(53 45273.664),(54 46510.99),(55 46264.58),(56 46699.27),(57 47496.17),(58 48656.473),(59 49570.723),(60 49963.668),(61 49918.06),(62 50203.637),(63 51673.89),(64 52830.137),(65 53169.168),(66 52647.31),(67 53711.977),(68 54992.355),(69 55778.027),(70 56032.266),(71 56227.04),(72 56070.56),(73 57205.316),(74 57513.938),(75 57184.734),(76 57470.914),(77 58027.22),(78 57990.094),(79 57075.31),
(1 20643.652),(2 34692.26),(3 35016.37),(4 34136.98),(5 34999.52),(6 34377.086),(7 34208.484),(8 35529.48),(9 36964.98),(10 37367.688),(11 37396.953),(12 37145.152),(13 38114.543),(14 38234.035),(15 38679.6),(16 38672.004),(17 39496.56),(18 40345.098),(19 40825.27),(20 40543.75),(21 40044.848),(22 39991.25),(23 41250.656),(24 41822.85),(25 42964.24),(26 43872.457),(27 43156.594),(28 42740.113),(29 43551.566),(30 43768.973),(31 44134.43),(32 44217.85),(33 43619.855),(34 43495.44),(35 43966.313),(36 43763.164),(37 44473.902),(38 44759.055),(39 44490.79),(40 43524.64),(41 43686.57),(42 43073.965),(43 42857.027),(44 42604.902),(45 43416.625),(46 44247.54),(47 43625.254),(48 43205.73),(49 43046.54),(50 43884.43),(51 44038.234),(52 44558.605),(53 45156.15),(54 44886.152),(55 45561.13),(56 46283.066),(57 46461.055),(58 46987.145),(59 47334.16),(60 48292.32),(61 49229.73),(62 48948.418),(63 49346.887),(64 49865.223),(65 50156.31),(66 50365.902),(67 51281.664),(68 51795.84),(69 52148.613),(70 52630.387),(71 53081.324),(72 53090.902),(73 52941.418),(74 53716.547),(75 54310.582),(76 54297.863),(77 53922.285),(78 53903.133),(79 54173.305),
(1 19561.627),(2 32936.62),(3 33138.164),(4 32764.887),(5 33684.973),(6 34285.184),(7 35115.39),(8 36059.848),(9 37153.715),(10 37201.426),(11 37217.82),(12 37758.617),(13 38830.69),(14 40160.883),(15 40171.53),(16 40479.203),(17 40592.094),(18 40646.543),(19 40238.8),(20 40665.71),(21 40588.37),(22 40613.38),(23 41501.938),(24 41610.402),(25 42507.55),(26 42270.844),(27 42017.773),(28 42068.44),(29 41508.69),(30 41362.92),(31 42321.188),(32 42374.293),(33 41671.69),(34 41405.11),(35 42617.695),(36 43159.027),(37 43467.867),(38 43920.59),(39 43718.49),(40 42912.43),(41 43452.676),(42 43614.402),(43 43278.664),(44 43716.227),(45 43785.637),(46 43176.07),(47 43567.95),(48 43355.363),(49 42875.883),(50 43135.01),(51 44266.293),(52 44603.137),(53 45429.53),(54 45015.918),(55 44725.863),(56 44592.35),(57 45038.14),(58 46225.15),(59 46803.652),(60 47122.91),(61 47223.52),(62 47835.48),(63 48637.92),(64 48926.133),(65 49478.918),(66 50255.97),(67 51217.39),(68 51131.547),(69 52237.023),(70 52415.25),(71 52656.53),(72 52755.082),(73 52498.27),(74 52749.52),(75 53163.547),(76 54136.918),(77 53777.117),(78 53272.45),(79 52819.37),
(1 19329.363),(2 31738.006),(3 32830.99),(4 32650.297),(5 33342.234),(6 32718.117),(7 33257.414),(8 33961.516),(9 34218.875),(10 34333.715),(11 34695.813),(12 34683.605),(13 34837.297),(14 35604.523),(15 35518.258),(16 35611.063),(17 36880.113),(18 37136.203),(19 37680.016),(20 37716.426),(21 38251.625),(22 38307.395),(23 39239.24),(24 39663.76),(25 39848.297),(26 40504.895),(27 40726.414),(28 40320.895),(29 40611.453),(30 40459.07),(31 40517.387),(32 41452.855),(33 41826.977),(34 41302.11),(35 41486.145),(36 41710.92),(37 42044.254),(38 41821.34),(39 41864.8),(40 41256.496),(41 41677.75),(42 42166.76),(43 42079.004),(44 42649.086),(45 42489.914),(46 42264.676),(47 42697.344),(48 42529.277),(49 43165.445),(50 43477.035),(51 44256.97),(52 45134.88),(53 45482.55),(54 44464.375),(55 44299.36),(56 44346.04),(57 44607.793),(58 45568.676),(59 46002.316),(60 46642.1),(61 46747.797),(62 47550.055),(63 48471.336),(64 48568.28),(65 49253.973),(66 49702.58),(67 49272.152),(68 49501.973),(69 50196.004),(70 50310.82),(71 50135.332),(72 50309.563),(73 50674.4),(74 50363.54),(75 50347.484),(76 50738.19),(77 50487.87),(78 50641.92),(79 50579.824),
(1 18909.803),(2 30825.55),(3 31459.762),(4 31207.203),(5 32368.39),(6 31479.723),(7 32493.338),(8 33084.504),(9 33564.19),(10 34177.977),(11 34367.543),(12 34245.438),(13 34466.2),(14 34882.027),(15 34652.6),(16 35794.89),(17 36341.43),(18 35883.28),(19 35433.152),(20 36599.15),(21 36570.297),(22 37464.477),(23 38170.555),(24 38282.418),(25 38090.84),(26 38965.773),(27 39390.47),(28 39315.09),(29 39240.277),(30 39649.19),(31 39567.67),(32 39178.418),(33 39618.83),(34 40070.785),(35 40177.418),(36 41521.367),(37 42139.926),(38 41423.848),(39 41183.273),(40 41191.76),(41 41195.2),(42 40767.508),(43 41507.996),(44 42347.832),(45 41855.043),(46 41653.55),(47 41438.336),(48 41518.566),(49 41674.918),(50 41539.055),(51 42109.074),(52 42521.133),(53 42424.84),(54 42343.96),(55 42047.07),(56 42706.41),(57 42978.27),(58 42767.58),(59 43283.58),(60 43781.867),(61 43563.81),(62 43885.207),(63 44170.027),(64 44491.766),(65 44944.543),(66 44288.598),(67 44375.914),(68 45165.9),(69 45315.98),(70 45623.957),(71 45809.906),(72 45834.758),(73 45265.758),(74 45429.938),(75 45463.2),(76 46044.598),(77 46351.273),(78 46457.043),(79 46483.977),
(1 18326.945),(2 29157.264),(3 30064.625),(4 30018.656),(5 30817.94),(6 30450.174),(7 32195.273),(8 32989.19),(9 32932.984),(10 32990.004),(11 33461.85),(12 33496.87),(13 33839.676),(14 34790.375),(15 34426.406),(16 35514.16),(17 35816.063),(18 35758.742),(19 35500.28),(20 37197.457),(21 37528.938),(22 37467.906),(23 37837.754),(24 37307.156),(25 37204.684),(26 38813.51),(27 39326.918),(28 39544.516),(29 39410.31),(30 39245.152),(31 39072.414),(32 38914.656),(33 40207.574),(34 41328.508),(35 40416.156),(36 39863.684),(37 40058.074),(38 40204.7),(39 40600.66),(40 40353.53),(41 40346.414),(42 40104.258),(43 40380.85),(44 40481.832),(45 40496.43),(46 40221.53),(47 39772.547),(48 39567.758),(49 39445.69),(50 39549.184),(51 40363.734),(52 41044.035),(53 41396.18),(54 42039.625),(55 42018.742),(56 42744.07),(57 43146.355),(58 43577.63),(59 43751.402),(60 43850.176),(61 44636.793),(62 45230.688),(63 44686.273),(64 44277.938),(65 44318.008),(66 44523.676),(67 44907.637),(68 45386.434),(69 44787.117),(70 45154.645),(71 45330.453),(72 45600.73),(73 45628.13),(74 46039.793),(75 46478.54),(76 46050.54),(77 46402.117),(78 46291.234),(79 46415.832),
(1 18156.953),(2 28739.063),(3 28951.658),(4 28376.014),(5 30201.06),(6 30519.93),(7 31820.506),(8 31907.115),(9 31399.047),(10 31584.314),(11 32080.516),(12 32056.842),(13 32709.148),(14 33120.51),(15 33714.215),(16 34588.406),(17 34455.53),(18 34143.832),(19 34874.496),(20 35571.293),(21 35985.555),(22 36377.12),(23 37039.89),(24 36807.01),(25 37006.94),(26 37471.875),(27 37412.145),(28 36859.535),(29 37374.547),(30 37622.934),(31 37342.848),(32 36862.01),(33 36997.664),(34 37244.25),(35 38627.4),(36 38705.5),(37 38445.676),(38 38256.793),(39 38226.496),(40 37812.324),(41 37943.965),(42 37188.16),(43 37417.48),(44 37469.203),(45 37395.89),(46 37149.95),(47 37377.97),(48 37262.027),(49 36587.64),(50 37061.758),(51 37197.94),(52 37044.63),(53 37158.04),(54 37472.73),(55 38168.203),(56 38487.34),(57 38478.83),(58 39173.855),(59 39256.566),(60 39292.723),(61 40635.03),(62 41365.523),(63 41321.434),(64 40800.598),(65 41002.215),(66 41186.48),(67 41595.742),(68 42021.207),(69 42680.06),(70 43111.48),(71 43377.918),(72 43130.27),(73 43352.45),(74 42852.35),(75 42465.62),(76 42415.94),(77 42285.758),(78 42423.047),(79 42579.22),
(1 18610.578),(2 29062.805),(3 29146.4),(4 28278.441),(5 29326.03),(6 29677.08),(7 30218.84),(8 30813.533),(9 30909.008),(10 31352.684),(11 31832.154),(12 31525.973),(13 31417.129),(14 32079.945),(15 32516.191),(16 33497.69),(17 33646.484),(18 33227.41),(19 33813.285),(20 34584.336),(21 34372.41),(22 34776.227),(23 35256.066),(24 35216.984),(25 35429.83),(26 36284.43),(27 36203.94),(28 36673.137),(29 37016.72),(30 37355.13),(31 37354.8),(32 37700.723),(33 37402.57),(34 37430.805),(35 38676.68),(36 38541.8),(37 38209.34),(38 37706.457),(39 37844.7),(40 37590.195),(41 37524.484),(42 37116.234),(43 38134.727),(44 38048.406),(45 38156.098),(46 37941.934),(47 37549.152),(48 37064.293),(49 37418.285),(50 37487.06),(51 38028.016),(52 37907.504),(53 37276.418),(54 37699.094),(55 38203.313),(56 38163.81),(57 38073.285),(58 38445.81),(59 38779.223),(60 39024.234),(61 39061.55),(62 39351.637),(63 39884.633),(64 39769.836),(65 39978.055),(66 40885.31),(67 41178.473),(68 41807.05),(69 43144.867),(70 43112.637),(71 42847.516),(72 42205.207),(73 43325.207),(74 42960.89),(75 42512.453),(76 41591.598),(77 41778.133),(78 41664.973),(79 42581.117),
(1 18080.314),(2 28499.783),(3 28831.125),(4 27271.016),(5 28414.205),(6 28637.445),(7 30934.646),(8 32074.826),(9 31365.924),(10 31335.984),(11 31745.805),(12 32175.59),(13 31113.383),(14 31342.336),(15 30956.033),(16 32350.086),(17 32482.033),(18 32197.47),(19 32456.47),(20 32577.182),(21 32878.055),(22 33353.93),(23 33714.87),(24 34411.805),(25 34417.758),(26 34477.266),(27 34758.504),(28 34897.992),(29 34785.813),(30 35409.723),(31 35045.547),(32 35995.938),(33 35815.758),(34 35564.918),(35 35443.734),(36 34933.35),(37 35167.688),(38 35365.62),(39 36065.4),(40 35883.883),(41 35726.656),(42 35694.848),(43 36084.6),(44 37016.355),(45 36734.977),(46 36415.918),(47 35774.188),(48 35659.32),(49 35449.86),(50 35939.54),(51 36640.17),(52 37134.742),(53 36652.164),(54 36925.215),(55 37336.07),(56 37667.86),(57 38232.504),(58 38290.098),(59 38325.926),(60 38763.6),(61 38568.117),(62 38465.26),(63 38517.2),(64 38332.906),(65 38370.414),(66 38316.79),(67 38419.94),(68 39141.363),(69 39786.906),(70 39742.098),(71 40536.01),(72 40715.395),(73 41257.727),(74 40985.004),(75 41030.81),(76 40605.17),(77 39688.004),(78 39673.863),(79 40290.25),
(1 17438.605),(2 26525.893),(3 26795.549),(4 26215.346),(5 28050.96),(6 27511.107),(7 28296.8),(8 28755.4),(9 28820.67),(10 29356.1),(11 29768.13),(12 30057.283),(13 30512.328),(14 30168.617),(15 30418.691),(16 31783.375),(17 31660.492),(18 30836.893),(19 31333.377),(20 31965.22),(21 32038.408),(22 32516.492),(23 32797.766),(24 33052.527),(25 33536.703),(26 32741.598),(27 33187.242),(28 33679.83),(29 33949.957),(30 33713.152),(31 33038.902),(32 33505.266),(33 34670.023),(34 35620.035),(35 35505.22),(36 34869.633),(37 35053.92),(38 34999.4),(39 34754.93),(40 34665.508),(41 34492.063),(42 34445.79),(43 34408.996),(44 34587.758),(45 34719.914),(46 35086.03),(47 34708.984),(48 34648.934),(49 34543.277),(50 34283.895),(51 34023.387),(52 34073.695),(53 34234.156),(54 34448.785),(55 34494.49),(56 35462.98),(57 35623.418),(58 35711.527),(59 35572.918),(60 35917.56),(61 35405.3),(62 35799.965),(63 36698.156),(64 36959.64),(65 36773.37),(66 37068.266),(67 37087.027),(68 36852.27),(69 37207.723),(70 37681.016),(71 37658.477),(72 37297.18),(73 37142.91),(74 37156.34),(75 37080.082),(76 36961.324),(77 37070.41),(78 37190.93),(79 36801.62),
(1 16943.424),(2 26560.438),(3 26794.695),(4 25696.334),(5 25962.727),(6 25720.822),(7 27443.922),(8 28255.041),(9 28533.813),(10 28467.178),(11 29027.857),(12 30051.4),(13 30838.656),(14 30193.729),(15 30826.506),(16 31283.117),(17 31420.563),(18 30516.225),(19 31676.44),(20 31566.615),(21 31371.521),(22 31630.266),(23 31893.87),(24 31832.686),(25 32774.094),(26 32995.453),(27 33390.453),(28 33464.785),(29 32996.113),(30 33374.676),(31 33232.543),(32 33047.94),(33 32942.816),(34 34036.34),(35 34511.74),(36 34258.176),(37 34645.863),(38 33404.246),(39 33185.816),(40 33663.633),(41 33894.68),(42 33648.473),(43 33696.63),(44 33564.215),(45 33797.316),(46 33650.86),(47 33473.793),(48 33531.31),(49 33073.375),(50 33018.207),(51 33078.19),(52 33134.863),(53 33430.168),(54 33388.586),(55 33287.613),(56 33045.87),(57 33537.67),(58 34156.16),(59 34698.84),(60 34764),(61 34627.867),(62 35742.047),(63 36619.938),(64 36314.008),(65 36547.05),(66 36520.695),(67 36696.69),(68 37040.258),(69 36927.59),(70 37665.004),(71 37787.824),(72 37899.652),(73 37293.516),(74 37486.184),(75 37255.72),(76 37225.23),(77 37799.664),(78 37474.23),(79 36769.74),
(1 16126.373),(2 24521.846),(3 24994.725),(4 24313.957),(5 24756.492),(6 24838.916),(7 26007.26),(8 26153.121),(9 26316.691),(10 26740.186),(11 27152.219),(12 27703.217),(13 28384),(14 28122.828),(15 28336.424),(16 28569.42),(17 28898.016),(18 29302.191),(19 30225.322),(20 30602.928),(21 30268.715),(22 30566.426),(23 31202.18),(24 31458.318),(25 31459.96),(26 31419.293),(27 32103.979),(28 31809.01),(29 31535.053),(30 31924.928),(31 32407.574),(32 32454.096),(33 32328.043),(34 32658.172),(35 33439.016),(36 33583.395),(37 32474.537),(38 31831.746),(39 32106.447),(40 32521.908),(41 32231.947),(42 32939.08),(43 32371.441),(44 32216.611),(45 32998.316),(46 33679.688),(47 32893.727),(48 32411.592),(49 31958.42),(50 32570.592),(51 32631.137),(52 32476.44),(53 32958.066),(54 33250.973),(55 33279.668),(56 33892.027),(57 33905.637),(58 34338.48),(59 34793.137),(60 35282.33),(61 35220.438),(62 35442.19),(63 35795.492),(64 35773.992),(65 35989.293),(66 36118.977),(67 36084.938),(68 36280.742),(69 36580.176),(70 37154.805),(71 37003.617),(72 37234.37),(73 37435.152),(74 37008.637),(75 36675.074),(76 36670.832),(77 36767.492),(78 36474.87),(79 36702.734),
(1 16622.646),(2 25009.129),(3 25737.604),(4 25141.107),(5 25656.684),(6 26022.625),(7 26514.799),(8 27252.275),(9 26858.182),(10 27468.85),(11 27707.607),(12 28116.621),(13 28121.795),(14 28703.07),(15 28597.418),(16 29025.223),(17 28887.426),(18 29208.346),(19 29656.129),(20 29336.457),(21 29198.305),(22 30093.059),(23 30999.406),(24 31570.268),(25 31175.107),(26 31286.133),(27 31539.203),(28 31346.201),(29 31649.535),(30 31758.564),(31 31422.986),(32 31504.305),(33 31390.037),(34 32417.078),(35 32649.268),(36 33422.74),(37 33209.67),(38 32161.139),(39 32982.652),(40 33044.566),(41 32750.824),(42 33035.7),(43 32807.047),(44 32508.963),(45 32509.172),(46 32410.52),(47 32022.465),(48 32213.021),(49 32007.215),(50 31890.947),(51 32008.66),(52 32068.637),(53 31864.477),(54 32503.234),(55 32532.762),(56 32669.732),(57 32642.877),(58 33445.813),(59 33575.316),(60 33817.086),(61 34302.496),(62 34479.273),(63 34716.81),(64 35215.793),(65 35233.117),(66 35194.67),(67 35302.5),(68 36074.65),(69 35792.51),(70 36731.46),(71 36006.824),(72 36655.79),(73 36409.207),(74 36848.38),(75 36972.46),(76 36822.13),(77 36631.496),(78 36741.754),(79 36911.145),
(1 16293.47),(2 24729.084),(3 24338.686),(4 24560.31),(5 25136.389),(6 24697.691),(7 25611.867),(8 25900.402),(9 25779.686),(10 26592.291),(11 27046.908),(12 26053.693),(13 26554.76),(14 26643.994),(15 27389.184),(16 27824.984),(17 27698.244),(18 27940.574),(19 28771.27),(20 28737.635),(21 28798.666),(22 28849.578),(23 29151.992),(24 29824.27),(25 29923.605),(26 29399.967),(27 29568.244),(28 29046.033),(29 29067.264),(30 29540.592),(31 29792.418),(32 29862.533),(33 30311.824),(34 30365.047),(35 30245.094),(36 30333.707),(37 30210.764),(38 29157.908),(39 28688.074),(40 29770.547),(41 30112.875),(42 30337.766),(43 30035.598),(44 30358.207),(45 30630.1),(46 30438.574),(47 30174.74),(48 30007.895),(49 29629.676),(50 29660.87),(51 29943.645),(52 30218.1),(53 30024.959),(54 30062.057),(55 30580.207),(56 31598.645),(57 31758.736),(58 31818.203),(59 31862.777),(60 31892.26),(61 31946.934),(62 32356.857),(63 32315.385),(64 32739.15),(65 32984.43),(66 33284.563),(67 33439.805),(68 33497.97),(69 32341.656),(70 32871.65),(71 33578.914),(72 33983.67),(73 33271.6),(74 33516.21),(75 33803.594),(76 33281.5),(77 33754.105),(78 33381.047),(79 33445.33),
(1 15979.828),(2 23217.059),(3 23679.578),(4 23854.846),(5 23996.51),(6 23766.549),(7 24490.436),(8 24806.188),(9 25157.143),(10 26187.672),(11 26198.53),(12 26256.969),(13 26031.906),(14 26388.531),(15 26614.857),(16 26759.844),(17 26421.707),(18 27160.55),(19 27215.258),(20 27545.768),(21 27808.938),(22 28382.662),(23 28460.508),(24 28514.97),(25 28552.18),(26 28273.416),(27 28689.57),(28 28370.297),(29 29091.666),(30 28748.543),(31 28918.188),(32 29293.473),(33 29343.596),(34 29179.904),(35 29483.326),(36 29733.104),(37 29212.07),(38 29222.371),(39 29338.969),(40 29602.635),(41 29862.545),(42 30065.62),(43 30180.541),(44 29867.756),(45 30039.559),(46 29439.633),(47 29692.092),(48 29479.387),(49 29013.258),(50 29108.707),(51 28767.408),(52 29170.992),(53 29323.277),(54 30271.72),(55 29592.674),(56 29525.102),(57 29845.35),(58 29923.662),(59 29970.738),(60 30239.203),(61 30195.582),(62 30829.83),(63 31286.84),(64 31395.764),(65 31182.945),(66 30975.938),(67 31038.293),(68 31160.146),(69 31429.83),(70 31482.803),(71 32467.35),(72 32290.813),(73 32053.252),(74 31897.14),(75 32118.969),(76 32099.764),(77 31913.053),(78 32277.645),(79 32310.717),
(1 15316.086),(2 22613.508),(3 22640.047),(4 22747.322),(5 23280.72),(6 23076.564),(7 24101.738),(8 24102.076),(9 24429.025),(10 24824.244),(11 24708.18),(12 24872.777),(13 24822.232),(14 25715.041),(15 25877.713),(16 26059.81),(17 25942.826),(18 26518.236),(19 27259.484),(20 27620.252),(21 27872.172),(22 27554.252),(23 27081.764),(24 27254.568),(25 28037.18),(26 28100.105),(27 28451.467),(28 27799.564),(29 28169.502),(30 27829.133),(31 28176.855),(32 28699.639),(33 28699.666),(34 28693.416),(35 28876.568),(36 28854.219),(37 28510.22),(38 28517.975),(39 28424.018),(40 28469.998),(41 28758.457),(42 28791.438),(43 28776.592),(44 28843.83),(45 28371.459),(46 28604.877),(47 28556.486),(48 28545.7),(49 27800.846),(50 28182.041),(51 28401.451),(52 27950.785),(53 28183.016),(54 28902.738),(55 28355.604),(56 28745.057),(57 28588.129),(58 28435.498),(59 28649.295),(60 28894.85),(61 29093.809),(62 30119.49),(63 30222.588),(64 30596.588),(65 30402.805),(66 30706.984),(67 30297.904),(68 30316.432),(69 31366.35),(70 31606.088),(71 31802.047),(72 31676.984),(73 31393.871),(74 31104.23),(75 31502.346),(76 31129.818),(77 31702.404),(78 32010.943),(79 31677.984),
(1 15340.562),(2 22471.756),(3 22174.625),(4 22412.672),(5 23108.557),(6 22668.154),(7 23931.098),(8 23846.186),(9 24380.822),(10 25098.273),(11 25235.494),(12 24876.258),(13 25054.861),(14 25439.432),(15 26051.97),(16 25719.318),(17 25827.635),(18 26267.701),(19 26716.848),(20 26768.965),(21 27480.758),(22 27642.219),(23 27535.035),(24 28287.342),(25 29016.217),(26 29413.479),(27 29303.791),(28 28651.65),(29 28696.322),(30 28596.027),(31 29244.592),(32 29948.443),(33 30055.64),(34 30161.37),(35 29786.256),(36 29709.738),(37 29559.03),(38 29564.959),(39 30189.18),(40 30364.79),(41 30948.46),(42 30525.7),(43 30508.621),(44 30600.04),(45 30654.813),(46 30667.215),(47 30449.102),(48 29757.941),(49 29375.912),(50 29521.865),(51 29831.197),(52 29868.068),(53 30148.393),(54 30183.965),(55 30124.074),(56 29662.37),(57 29697.295),(58 29213.01),(59 29132.195),(60 29179.309),(61 28964.12),(62 28990.135),(63 29539.531),(64 29946.857),(65 29956.99),(66 29826.154),(67 29786.691),(68 29522.531),(69 30023.18),(70 30266.37),(71 30605.625),(72 31117.654),(73 30688.697),(74 30095.414),(75 30406.04),(76 30269.615),(77 30336.059),(78 29897.984),(79 29967.404),
(1 15237.832),(2 22853.506),(3 23163.846),(4 22766.975),(5 22805.111),(6 22394.994),(7 22874.672),(8 23139.385),(9 23670.65),(10 23875.166),(11 23479.023),(12 23512.309),(13 23995.848),(14 23980.729),(15 24282.031),(16 24656.664),(17 24929.545),(18 25109.895),(19 24341.896),(20 24740.9),(21 25590.555),(22 25929.998),(23 26259.914),(24 25965.137),(25 26035.773),(26 26583.479),(27 27200.03),(28 27209.066),(29 26937.26),(30 27134.137),(31 27119.127),(32 27083.795),(33 27370.021),(34 27461.426),(35 27887.6),(36 28046.3),(37 27411.016),(38 26520.127),(39 26900.553),(40 27297.555),(41 27518.525),(42 27632.354),(43 27756.72),(44 27479.41),(45 27419.578),(46 27971.13),(47 27799.275),(48 27756.225),(49 27593.682),(50 27998.652),(51 28631.445),(52 29029.379),(53 28969.1),(54 28525.87),(55 28210.445),(56 28410.354),(57 28876.47),(58 28539.043),(59 28980.205),(60 28996.309),(61 28912.234),(62 28900.727),(63 29113.658),(64 29214.658),(65 29210.908),(66 29206.164),(67 29387.992),(68 29585.373),(69 30217.71),(70 29983.861),(71 30007.574),(72 30251.652),(73 30387.31),(74 30297.113),(75 30312.994),(76 30155.543),(77 29832.34),(78 29420.688),(79 29415.348),
