1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 414175.28),(2 703427.8),(3 819260.06),(4 1727127.6),(5 2440031.3),(6 3004833.3),(7 4233428),(8 5301897),(9 5947813.5),(10 7328056),(11 8453221),(12 9276847),(13 10827565),(14 11964139),(15 12757559),(16 14185660),(17 15285469),(18 16041823),(19 17484674),(20 18628750),(21 19324370),(22 20625606),(23 21770842),(24 22516566),(25 23831446),(26 25126538),(27 25943944),(28 27014448),(29 27993392),(30 28378536),(31 29238138),(32 30134896),(33 30701386),(34 31713890),(35 32810406),(36 33744684),(37 35102236),(38 36364830),(39 37351360),(40 38665420),(41 39672320),(42 40313396),(43 41391892),(44 42423892),(45 42870190),(46 43694332),(47 44634492),(48 44869412),(49 45514124),(50 46340830),(51 46431276),(52 46945812),(53 47732956),(54 47366016),(55 47520180),(56 47987852),(57 47462812),(58 47581524),(59 48149628),(60 47776896),(61 48176224),(62 49209250),(63 49390996),(64 50471044),(65 52078944),(66 52757120),(67 54296640),(68 56144764),(69 57088864),(70 58756468),(71 60717644),(72 61797740),(73 63418210),(74 65306750),(75 66342108),(76 67943976),(77 69883224),(78 70976220),(79 72441176),
(1 24218.014),(2 47182.69),(3 55415.207),(4 57470.7),(5 57313.477),(6 59521.504),(7 62981.824),(8 65402.098),(9 65503.35),(10 65925.83),(11 67863.21),(12 70684.03),(13 72214.24),(14 70707.98),(15 70938.44),(16 73603.1),(17 75324.625),(18 77632.99),(19 77374.44),(20 76671.945),(21 78089.68),(22 80812.86),(23 82845.88),(24 82257.79),(25 81901.086),(26 82214.34),(27 81425.29),(28 80080.586),(29 77367.13),(30 77357.47),(31 77925.43),(32 78584.234),(33 78471.68),(34 78178.05),(35 78747.88),(36 80341.6),(37 79808.44),(38 79414.71),(39 79482.29),(40 79036.32),(41 78095.06),(42 78461.914),(43 78803.445),(44 78171.64),(45 78380.16),(46 79196.66),(47 78748.164),(48 79157.66),(49 79976.414),(50 78951.32),(51 78260.84),(52 78268.84),(53 78502.7),(54 78778.75),(55 78838.59),(56 78492.34),(57 79192.6),(58 79745.164),(59 78843.53),(60 78453.78),(61 79824.99),(62 80830.3),(63 81773.13),(64 81028.625),(65 80142.46),(66 81716.08),(67 82456.92),(68 82451.875),(69 81291.15),(70 80667.734),(71 79577.07),(72 79191.65),(73 79218.23),(74 80090.29),(75 81398.33),(76 82795.05),(77 82855.234),(78 82653.4),(79 82492.32),
(1 23545.629),(2 45409.89),(3 53157.01),(4 55443.836),(5 55216.39),(6 56555.51),(7 60927.72),(8 64389.605),(9 64993.848),(10 64417.21),(11 64560.844),(12 66588.4),(13 67508.43),(14 67879.65),(15 69880.84),(16 72231.92),(17 74345.03),(18 75788.28),(19 75851.4),(20 76386.67),(21 78064.2),(22 79502.26),(23 80530.625),(24 79557.78),(25 78984.79),(26 77894.43),(27 77258.055),(28 77975.02),(29 76767.03),(30 77219.85),(31 78419.13),(32 80032.2),(33 80976.57),(34 79810.95),(35 78124.33),(36 78013.63),(37 76775.46),(38 75622.88),(39 76134.055),(40 76456.305),(41 75327.08),(42 74523.19),(43 74994.414),(44 74718.62),(45 73630.33),(46 73059.08),(47 73393.445),(48 73565.18),(49 72307.58),(50 72869.58),(51 74242.33),(52 74588.484),(53 74671.18),(54 75269.586),(55 75598.52),(56 74758.34),(57 74334.484),(58 76406.92),(59 75810.06),(60 75957.05),(61 76225.14),(62 75964.48),(63 76624.266),(64 76628.61),(65 77131.9),(66 77140.92),(67 78660.66),(68 79614.36),(69 80493.61),(70 80883.12),(71 81401.52),(72 81947.5),(73 80573.914),(74 80445.45),(75 81347.15),(76 81402.87),(77 81395.45),(78 80734.01),(79 81210.05),
(1 22802.156),(2 45413.41),(3 52718.617),(4 55190.227),(5 54801.35),(6 55483.14),(7 57963.227),(8 59592.016),(9 61733.55),(10 62707.28),(11 62894.77),(12 64490.566),(13 67172.88),(14 68089.945),(15 69381.76),(16 70998.11),(17 72080.47),(18 74014.9),(19 74135.49),(20 74473.42),(21 75929.414),(22 78764.74),(23 78152.07),(24 78720.15),(25 79219.55),(26 78656.42),(27 79014.58),(28 78123.54),(29 77494.93),(30 77050.87),(31 76295.87),(32 77502.68),(33 78108.06),(34 77098.69),(35 77491.63),(36 77836.336),(37 78497.195),(38 77376.46),(39 76082.62),(40 76328.69),(41 76363.12),(42 76951.17),(43 75742.586),(44 76065.12),(45 76070.914),(46 76137.586),(47 76304.58),(48 76538.81),(49 75843.42),(50 76366.16),(51 76552.15),(52 76111.62),(53 76588.87),(54 76130.36),(55 74948.93),(56 74213.414),(57 74681.516),(58 74970.375),(59 74074.945),(60 73890.56),(61 73327.18),(62 74998.984),(63 74376.56),(64 73666.76),(65 74556.016),(66 75015.11),(67 75640.98),(68 75551.03),(69 76332.9),(70 76855.7),(71 78238.01),(72 80001.26),(73 81041.93),(74 81440.17),(75 80382.95),(76 81023.086),(77 81719.23),(78 81734.89),(79 82353.66),
(1 22538.271),(2 43350.35),(3 49892.73),(4 52327.105),(5 53402.715),(6 55514.207),(7 57809.816),(8 59029.082),(9 60450.297),(10 60994.137),(11 61628.47),(12 63117.51),(13 64746.145),(14 64332.457),(15 66701.414),(16 68584.99),(17 68501.195),(18 69881.77),(19 71150.555),(20 71312.76),(21 72424.62),(22 72227.48),(23 70712.65),(24 71429.72),(25 72676.99),(26 73159.29),(27 74104.15),(28 74636.75),(29 74304.016),(30 73585.58),(31 73195.35),(32 75059.66),(33 74580.125),(34 73744.055),(35 74086.63),(36 73839.08),(37 72885.93),(38 72793.01),(39 72884.26),(40 72862.43),(41 73314.1),(42 73128.68),(43 73049.96),(44 73844.83),(45 73246.18),(46 72128.83),(47 71960.516),(48 71516.56),(49 69902.766),(50 71029.555),(51 71471.5),(52 70564.68),(53 70572.59),(54 71897.54),(55 71970.32),(56 71899.29),(57 72600.375),(58 72914.055),(59 73027.86),(60 73629.5),(61 73416.66),(62 72185.086),(63 73328.98),(64 73313.71),(65 72420.516),(66 73412.02),(67 74451.06),(68 74680.14),(69 74332.1),(70 74673.77),(71 75381.914),(72 76528.914),(73 78105.24),(74 78927.57),(75 80282.62),(76 79230.63),(77 78860.23),(78 78621.98),(79 78152.01),
(1 21923.678),(2 41633.81),(3 49404.527),(4 52834.855),(5 53891.105),(6 54921.145),(7 57576.316),(8 59304.72),(9 60144.535),(10 59869.46),(11 61379.92),(12 64952.273),(13 65852.164),(14 65054.66),(15 66478.63),(16 68769.32),(17 72041.49),(18 72834.266),(19 73035),(20 74595.516),(21 75597.305),(22 75925.305),(23 75368.445),(24 75438.96),(25 76683.805),(26 77568.85),(27 78031.625),(28 76746.38),(29 75848.664),(30 75260.125),(31 74313.79),(32 74681.9),(33 74434.03),(34 74568.83),(35 74375.29),(36 74858.05),(37 73869.07),(38 73005.945),(39 72791.086),(40 73949.92),(41 74736.18),(42 74034.234),(43 72831.96),(44 72950.55),(45 72538.39),(46 72755.05),(47 73237.76),(48 72778.13),(49 71294.33),(50 71332.336),(51 70082.23),(52 69001.984),(53 69355.13),(54 69208.516),(55 68863.4),(56 68681.81),(57 68860.59),(58 69951.59),(59 68376.445),(60 67820.54),(61 68529.77),(62 68505.93),(63 69335.336),(64 68920.57),(65 68367.336),(66 69394.766),(67 70870.86),(68 71842.58),(69 72512.984),(70 72534.62),(71 72676.74),(72 74414.875),(73 75747.47),(74 75204.695),(75 76370.4),(76 76887.695),(77 76316.695),(78 75313.78),(79 74938.85),
(1 21999.455),(2 42377.64),(3 49628.117),(4 52768.188),(5 52442.84),(6 54385.336),(7 58215.52),(8 60619.09),(9 61597.723),(10 60722.777),(11 61846.91),(12 63702.715),(13 64988.48),(14 65617.13),(15 67501.64),(16 68168.875),(17 70244.14),(18 71310.49),(19 73133.195),(20 74257.22),(21 73328.41),(22 73594.96),(23 72279.46),(24 71675.65),(25 72350.3),(26 71614.89),(27 71333.16),(28 70698.11),(29 71593.586),(30 72135.52),(31 71464.6),(32 71055.82),(33 70640.266),(34 72749.48),(35 74293.32),(36 73766.86),(37 73145.88),(38 72658.57),(39 71626.484),(40 71586.21),(41 70798.83),(42 69631.28),(43 69252.25),(44 69821.414),(45 70829.016),(46 71159),(47 71086.1),(48 69842.66),(49 69667.39),(50 70003.21),(51 69903.766),(52 70105.445),(53 70159.71),(54 70076.414),(55 70395.98),(56 70466.53),(57 69477.516),(58 68696.66),(59 68776.734),(60 69028.79),(61 69864.86),(62 69187.46),(63 69521.89),(64 68921.8),(65 69111.14),(66 70744.6),(67 71269.016),(68 71411.516),(69 72218.28),(70 71729.336),(71 72200.92),(72 73449.06),(73 74463.88),(74 75358.5),(75 74699.21),(76 74328.14),(77 73921.21),(78 72801.16),(79 71419.516),
(1 21764.842),(2 40354.703),(3 47437.605),(4 50969.535),(5 51698.68),(6 53150.473),(7 55455.63),(8 57173.445),(9 57655.12),(10 58795.38),(11 60000.9),(12 62610.5),(13 62821.836),(14 62631.844),(15 63998.23),(16 63904.77),(17 64273.027),(18 65298.402),(19 64979.23),(20 65813.29),(21 67332.555),(22 68700.06),(23 67606.64),(24 68539.02),(25 68343.58),(26 68912.31),(27 69101.19),(28 68366.914),(29 68942.79),(30 68969.95),(31 70734.945),(32 70164.04),(33 70878.44),(34 72594.58),(35 72098.12),(36 70968.31),(37 71008.875),(38 69998.64),(39 70136),(40 68774.91),(41 68388.39),(42 68482.64),(43 66981.305),(44 67253.945),(45 66776.38),(46 66236.555),(47 66774.54),(48 66398.25),(49 66751.03),(50 67082.33),(51 66133.69),(52 65808.21),(53 65617.42),(54 65036.586),(55 64869.28),(56 64581.664),(57 64407.406),(58 64543.4),(59 65436.04),(60 65248.57),(61 65345),(62 65620.87),(63 66350.336),(64 65560.02),(65 65677.04),(66 66107.805),(67 65912.086),(68 66889.67),(69 68438.91),(70 69536.31),(71 70307.06),(72 69480.02),(73 70086.95),(74 70866.06),(75 70832.57),(76 71803.93),(77 71733.08),(78 71208.24),(79 71156.086),
(1 21736.764),(2 39851.27),(3 46126.75),(4 49115.85),(5 48568.816),(6 49824.457),(7 52364.813),(8 54038.918),(9 55946.26),(10 57530.797),(11 58889.344),(12 60599.88),(13 60220.49),(14 60082.406),(15 61291.344),(16 60871.105),(17 61982.613),(18 62013.1),(19 61848.434),(20 62529.168),(21 62402.043),(22 62001.49),(23 60981.023),(24 61383.293),(25 62036.066),(26 62930.754),(27 62179.75),(28 61884.23),(29 62546.504),(30 63282.156),(31 63451.58),(32 62689.492),(33 63690.813),(34 64675.395),(35 63444.105),(36 63867.168),(37 63260.707),(38 63105.793),(39 62322.613),(40 62272.29),(41 62289.69),(42 61414.477),(43 61033.918),(44 61904.85),(45 62573.31),(46 62183.387),(47 62576.61),(48 63528.406),(49 63060.63),(50 63050.832),(51 62260.47),(52 61447.94),(53 61330.2),(54 62013.594),(55 62457.914),(56 61443.51),(57 60926.816),(58 60301.47),(59 60963.57),(60 60910.984),(61 61649.508),(62 62173.676),(63 62565.832),(64 63033.45),(65 63223.016),(66 61923.656),(67 61471.24),(68 63067.18),(69 63702.504),(70 63782.617),(71 65239.58),(72 63786.652),(73 63949.707),(74 64160.66),(75 64784.125),(76 65200.23),(77 64949.64),(78 65813.94),(79 65890.31),
(1 21063.887),(2 39729.176),(3 45926.03),(4 48012.82),(5 47429.41),(6 48810.176),(7 52434.004),(8 53267.64),(9 54693.766),(10 55027.355),(11 55640.81),(12 58334.523),(13 58780.28),(14 58831.098),(15 59954.93),(16 59848.727),(17 60783.58),(18 60928.234),(19 61593.406),(20 63520.727),(21 62898.62),(22 61774.707),(23 61459.547),(24 61131.625),(25 61586.152),(26 62452.848),(27 61257.754),(28 61317.523),(29 62412.2),(30 61781.605),(31 62300.31),(32 61614.676),(33 61694.965),(34 61820.727),(35 61124.52),(36 61072.875),(37 61266.15),(38 60644.855),(39 59882.063),(40 60118.168),(41 59026.234),(42 58730.184),(43 58784.117),(44 59084.207),(45 58616.707),(46 58170.867),(47 58841.527),(48 59806.645),(49 59607.457),(50 59344.676),(51 59221.836),(52 59832.297),(53 58576.656),(54 58390.266),(55 59004.98),(56 59016.617),(57 59359.324),(58 60224.637),(59 60378.07),(60 61197.87),(61 60994.29),(62 61372.81),(63 62550.3),(64 62022.195),(65 61882.72),(66 62037.46),(67 61863.234),(68 60757.656),(69 60354.957),(70 62056.504),(71 62629.426),(72 62443.637),(73 62849.184),(74 63256.184),(75 63833.15),(76 63524.72),(77 64024.453),(78 63761.938),(79 63702.656),
(1 20008.13),(2 37337.457),(3 42355.15),(4 44240.793),(5 43821.355),(6 45874.797),(7 48614.117),(8 49292.016),(9 50754.168),(10 51400.473),(11 52886.145),(12 56115.844),(13 57007.996),(14 57828.59),(15 59093.89),(16 59967.195),(17 61044.09),(18 61789.73),(19 61185.793),(20 61554.703),(21 60294.258),(22 60275.207),(23 60516.496),(24 60187.41),(25 60148.473),(26 60239.59),(27 59687.742),(28 60526.598),(29 59974.07),(30 59426.918),(31 59440.305),(32 59874.848),(33 60284.91),(34 60086.44),(35 60828.094),(36 60827.016),(37 60671.58),(38 60290.188),(39 60291.902),(40 59763.703),(41 59359.96),(42 58804.563),(43 58790.75),(44 59357.03),(45 58519.645),(46 57995.484),(47 58015.96),(48 59100.69),(49 58949.19),(50 59879.27),(51 58780.66),(52 57354),(53 57235.527),(54 57916.1),(55 57339.85),(56 56867.41),(57 57253.27),(58 57539.246),(59 58266.207),(60 59017.516),(61 59560.227),(62 59697.27),(63 60354.33),(64 59642.79),(65 59306.266),(66 59208.656),(67 59783.4),(68 60343.85),(69 61440.29),(70 61056.29),(71 61805.297),(72 61463.91),(73 61119.625),(74 61237.49),(75 61143.824),(76 61000.375),(77 61690.863),(78 61354.945),(79 62131.754),
(1 21016.21),(2 38687.61),(3 44382.45),(4 45388.42),(5 45058.23),(6 48425.746),(7 50789.316),(8 51400.156),(9 51520.617),(10 52459.246),(11 54450.906),(12 55196.137),(13 56110.85),(14 56217.344),(15 57536.32),(16 58455.086),(17 60206.586),(18 59961.848),(19 60100.293),(20 61880.094),(21 61125.633),(22 61437.664),(23 60543.95),(24 59495.12),(25 59686.336),(26 61021.777),(27 60394.33),(28 60283.473),(29 60273.938),(30 60583.137),(31 60430.617),(32 60644.242),(33 61014.58),(34 61260.82),(35 60705.02),(36 60017.496),(37 60837.33),(38 60477.027),(39 59352.906),(40 59350.31),(41 58414.215),(42 57248.594),(43 57109.44),(44 57277.453),(45 58042.26),(46 58695.23),(47 58707.953),(48 57858.61),(49 58104.29),(50 57928.027),(51 57219.832),(52 56838.91),(53 57135.82),(54 56674.61),(55 55850.086),(56 55552.42),(57 55616.215),(58 56963.332),(59 57580.55),(60 56743.23),(61 57166.754),(62 57868.332),(63 58668.02),(64 57489.316),(65 57025.33),(66 57606.125),(67 58269.223),(68 58339.707),(69 57561.273),(70 58063.836),(71 60200.727),(72 59925.395),(73 60429.19),(74 60209.715),(75 61042.35),(76 62426),(77 63109.137),(78 62296.65),(79 62349.453),
(1 19511.361),(2 35572.684),(3 40909.203),(4 43542.94),(5 43624.504),(6 45212.066),(7 47736.625),(8 48603.824),(9 49690.313),(10 49712.047),(11 50336.816),(12 51937.055),(13 51707.996),(14 52751),(15 54338.8),(16 55062.684),(17 55344.996),(18 56013.996),(19 56156.64),(20 57067.766),(21 57770.96),(22 57129.895),(23 56821.313),(24 56956.79),(25 57386.145),(26 57704.316),(27 56701.836),(28 57291.465),(29 57604.043),(30 57745.574),(31 58153.16),(32 57754.08),(33 57621.22),(34 57300.633),(35 57344.59),(36 58231.33),(37 58773.277),(38 58385.387),(39 58066.574),(40 58407.086),(41 57381.824),(42 56331.836),(43 56835.766),(44 57284.867),(45 56044.848),(46 55721.98),(47 56209.777),(48 55772.887),(49 54531.043),(50 54314.86),(51 54151.86),(52 54734.824),(53 55474.68),(54 54480.074),(55 54022.41),(56 53933.875),(57 54231.465),(58 55580.375),(59 54780.855),(60 54449.18),(61 55696.08),(62 55671.297),(63 56045.527),(64 56230.434),(65 56620.605),(66 57305.1),(67 57590.176),(68 57657.98),(69 57187.688),(70 57148.86),(71 57210.664),(72 57787.395),(73 57660.98),(74 57365.516),(75 58340.215),(76 59018.176),(77 58965.184),(78 60053.586),(79 60391.668),
(1 19559.793),(2 35754.824),(3 41353.73),(4 43622.098),(5 43546.137),(6 45583.793),(7 47041.14),(8 48087.383),(9 48383.69),(10 48457.477),(11 49075.35),(12 50671.324),(13 50376.47),(14 50843.04),(15 50886.26),(16 51454.504),(17 52056.84),(18 53459.332),(19 54339.35),(20 54597.758),(21 54304.63),(22 53092.53),(23 52916.08),(24 52349.78),(25 53578.04),(26 53144.453),(27 52284.65),(28 52815.51),(29 52842.484),(30 53329.934),(31 53251.477),(32 53721.688),(33 54563.883),(34 55334.734),(35 54540.25),(36 54545.88),(37 54382.85),(38 54266.77),(39 53897.184),(40 54121.953),(41 54187.434),(42 54338.76),(43 54028.59),(44 53478.016),(45 53470.32),(46 54014.73),(47 53995.535),(48 54140.32),(49 54100.656),(50 53803.67),(51 53643.92),(52 52736.94),(53 51439.586),(54 50960.836),(55 51585.59),(56 52303.12),(57 52410.19),(58 52552.02),(59 52432.027),(60 53486.656),(61 53439.082),(62 53535.457),(63 53436.387),(64 53283.203),(65 53713.895),(66 54367.773),(67 54547.836),(68 54812.36),(69 54010.69),(70 54230.855),(71 54149.98),(72 54607.81),(73 54275.14),(74 54601.863),(75 55392.65),(76 55207.754),(77 55998.87),(78 55428.176),(79 55056.33),
(1 19821.768),(2 35340.652),(3 40075.035),(4 42005.56),(5 42651.754),(6 44125.773),(7 45791.617),(8 46972.473),(9 47334.332),(10 48170.496),(11 49201.66),(12 50067.92),(13 50155.816),(14 51050.715),(15 51664.426),(16 52794.617),(17 53484.832),(18 52895.832),(19 53344.836),(20 53097.824),(21 53689.484),(22 52810.887),(23 51578.184),(24 51654.066),(25 52097.332),(26 52268.02),(27 52436.414),(28 52732.695),(29 52368.918),(30 53527.234),(31 54197.105),(32 53994.336),(33 54310.203),(34 54800.36),(35 55031.785),(36 54783.98),(37 54705.223),(38 55122.703),(39 54542.766),(40 54422.04),(41 55192.375),(42 54636.906),(43 54090.06),(44 54114.36),(45 53669.043),(46 53965.313),(47 54398.273),(48 53611.113),(49 53163.832),(50 53124.395),(51 52691.145),(52 52039.06),(53 51816.457),(54 51476.98),(55 51962.094),(56 52569.117),(57 51862.5),(58 50933.6),(59 51556.02),(60 51798.387),(61 51880.574),(62 51914.605),(63 52990.406),(64 52409.113),(65 52053.234),(66 52326.715),(67 52169.7),(68 52718.28),(69 52742.582),(70 52866.203),(71 52719.535),(72 52830.746),(73 53382.766),(74 54052.035),(75 53562.824),(76 53878.742),(77 55975.293),(78 56984.332),(79 56736.656),
(1 18405.57),(2 32850.125),(3 37792.266),(4 39758.582),(5 40205.582),(6 41085.13),(7 43220.46),(8 44114.805),(9 44437.977),(10 44685.02),(11 46343.914),(12 48092.047),(13 47969.09),(14 48352.668),(15 49469.105),(16 51015.8),(17 51659.09),(18 51430.223),(19 51788.17),(20 51546.14),(21 51954.375),(22 51716.816),(23 50839.91),(24 50783.555),(25 51193.83),(26 51499.43),(27 52168.992),(28 51733.453),(29 51301.11),(30 51274.703),(31 51386.402),(32 51413.54),(33 50788.555),(34 50792.195),(35 50459.156),(36 50232.04),(37 51022.516),(38 51394.77),(39 51345.313),(40 51096.242),(41 50697.105),(42 50620.84),(43 50459.74),(44 49932.55),(45 49191.77),(46 49556.727),(47 49489.066),(48 50200.35),(49 49942.16),(50 48870.89),(51 49695.086),(52 49651.266),(53 50022.105),(54 50016.45),(55 49468.05),(56 49959.938),(57 49776.117),(58 49719.934),(59 49535.05),(60 50026.44),(61 49431.28),(62 49968.56),(63 51456.18),(64 51206.098),(65 51594.62),(66 51106.773),(67 51032.25),(68 51252.574),(69 51877.863),(70 53108.953),(71 53502.715),(72 53150.348),(73 53187.46),(74 54497.918),(75 54911.14),(76 55328.992),(77 54711.418),(78 54543.52),(79 54563.6),
(1 18497.506),(2 33847.715),(3 37964.465),(4 39731.664),(5 40235.965),(6 41899.188),(7 44093.56),(8 44236.336),(9 43315.516),(10 43065.063),(11 45123.62),(12 46261.99),(13 45969.793),(14 45482.844),(15 46648.855),(16 47574.758),(17 48854.215),(18 49814.414),(19 50493.56),(20 50405.785),(21 49557.47),(22 49537.438),(23 48985.797),(24 49770.156),(25 50277.477),(26 50993.168),(27 50994.113),(28 51145.363),(29 51416.195),(30 51155.08),(31 50660.42),(32 50908.355),(33 51213.77),(34 51573.023),(35 51701.43),(36 51452.34),(37 50888.176),(38 50978.715),(39 51078.145),(40 50960.05),(41 50916.39),(42 51257.152),(43 51664.92),(44 51979.152),(45 51782.063),(46 50553.51),(47 50034.984),(48 50027.93),(49 49969.71),(50 51073.38),(51 50525.75),(52 49748.016),(53 48834.266),(54 48323.863),(55 48397.33),(56 49636.35),(57 49337.605),(58 48200.523),(59 49077.984),(60 49905.016),(61 49914.55),(62 50146.457),(63 50752.926),(64 50246.816),(65 50063.29),(66 50576.523),(67 50750.97),(68 50721.832),(69 50970.043),(70 51391.055),(71 51879.074),(72 52378.93),(73 53392.375),(74 53614.23),(75 53363.38),(76 53290.945),(77 52703.227),(78 51784.297),(79 51471.89),
(1 18106.828),(2 32004.342),(3 36017.324),(4 36830.066),(5 37193.25),(6 39227.598),(7 40736.555),(8 41261.465),(9 41444.125),(10 41853.625),(11 42878),(12 42990.785),(13 43028.703),(14 44223),(15 45049.305),(16 45887.215),(17 46157.008),(18 46656.906),(19 47423.336),(20 47875.56),(21 47053.7),(22 47036.332),(23 46619.75),(24 46789.87),(25 47565.734),(26 47409.82),(27 47696.29),(28 48163.664),(29 47949.438),(30 47817.75),(31 47292.445),(32 48037.438),(33 47884.48),(34 47412.004),(35 47406.246),(36 47155.59),(37 46899.363),(38 46233.902),(39 46116.777),(40 46586.89),(41 46884.625),(42 46456.777),(43 46386.53),(44 46601.9),(45 47171.027),(46 45847.71),(47 46465.543),(48 46545.617),(49 45716.645),(50 45763.24),(51 45598.164),(52 44669.504),(53 44557.895),(54 45128.164),(55 45274.23),(56 46156.164),(57 46073.12),(58 46123.055),(59 46090.625),(60 46119.59),(61 46249.97),(62 46879.273),(63 47033.598),(64 45880.76),(65 46214.668),(66 47281.355),(67 47740.93),(68 47534.664),(69 48157.438),(70 48362.414),(71 48246.36),(72 47740.97),(73 48348.7),(74 48783.29),(75 49252.027),(76 48908.43),(77 49013.03),(78 48849.895),(79 48634.016),
(1 17233.832),(2 30761.67),(3 34844.555),(4 36689.598),(5 36782.332),(6 39037.313),(7 40497.39),(8 41205.227),(9 41678.695),(10 42819.605),(11 43906.52),(12 44772.66),(13 44750.887),(14 45266.594),(15 46558.543),(16 47598.094),(17 48016.188),(18 48799.793),(19 49500.766),(20 50080.457),(21 49135.383),(22 48792.34),(23 48724.61),(24 48836.473),(25 48570.395),(26 47797.563),(27 48395.453),(28 48772.89),(29 49123.293),(30 48866.926),(31 49205.184),(32 49703.574),(33 49601.492),(34 49900.496),(35 49509.555),(36 49025.754),(37 49693.234),(38 49344.78),(39 48989.28),(40 50184.008),(41 51589.227),(42 50727.98),(43 50325.027),(44 50635.13),(45 50670.52),(46 50308.3),(47 50393.945),(48 50502.14),(49 48461.844),(50 48282.66),(51 49065.457),(52 48761.152),(53 48669.18),(54 48348.86),(55 48937.758),(56 48110.105),(57 47942.63),(58 48011.7),(59 47647.832),(60 48339.688),(61 48328.836),(62 48362.03),(63 48444.266),(64 48735.754),(65 48578.027),(66 47933.367),(67 48501.832),(68 48357.57),(69 48933),(70 48904.066),(71 49596.406),(72 50642.48),(73 51318.332),(74 51173),(75 51091.402),(76 50265.867),(77 49934.05),(78 49639.652),(79 49293.89),
