1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 144467.92),(2 262267.1),(3 389384.1),(4 634255.06),(5 885144.8),(6 1110660),(7 1441335.4),(8 1701017.6),(9 1944792.4),(10 2258795.3),(11 2579590.3),(12 2903938.8),(13 3305563.3),(14 3666553.8),(15 4044432.8),(16 4441999.5),(17 4843925.5),(18 5199955.5),(19 5577536.5),(20 5925184),(21 6238060),(22 6529374.5),(23 6877919.5),(24 7133162.5),(25 7434064),(26 7769888),(27 8119432),(28 8487919),(29 9077971),(30 9782325),(31 10433967),(32 11107619),(33 11807659),(34 12430551),(35 13269575),(36 14276347),(37 15039343),(38 16081413),(39 16896878),(40 17668676),(41 18510296),(42 19287518),(43 20140706),(44 21005954),(45 21819378),(46 22447024),(47 23181144),(48 23766830),(49 24172328),(50 24612592),(51 24971258),(52 25123626),(53 25532816),(54 25900022),(55 26199286),(56 26657438),(57 26915722),(58 27311286),(59 27733018),(60 28295222),(61 28784766),(62 29387594),(63 29909440),(64 30179450),(65 30659162),(66 30849870),(67 31219424),(68 31615902),(69 31859904),(70 32165766),(71 32551272),(72 32735638),(73 32877706),(74 33198656),(75 33305734),(76 33420432),(77 33693084),(78 33866780),(79 33928228),
(1 11283.949),(2 16398.285),(3 17059.4),(4 18477.193),(5 18235.809),(6 19332.693),(7 19542.969),(8 20219.018),(9 20915.129),(10 20848.553),(11 21325.057),(12 21575.695),(13 22036.525),(14 22156.303),(15 21635.299),(16 21698.537),(17 21343.623),(18 21318.389),(19 21427.66),(20 20695.316),(21 20594.082),(22 21114.697),(23 21307.514),(24 21213.092),(25 22056.14),(26 22148.623),(27 21873.705),(28 22009.68),(29 22066.947),(30 22057.063),(31 22515.357),(32 22579.635),(33 23010.904),(34 22652.51),(35 22701.396),(36 22936.07),(37 23230.455),(38 22676.414),(39 22652.072),(40 22806.385),(41 22456.795),(42 22569.271),(43 23163.494),(44 22843.053),(45 23015.938),(46 22797.89),(47 22771.494),(48 22492.947),(49 22901.807),(50 23029.377),(51 23580.586),(52 23255.203),(53 22955.727),(54 23068.799),(55 22943.791),(56 23780.885),(57 23513.459),(58 23402.912),(59 23564.744),(60 23065.508),(61 22990.521),(62 22902.908),(63 23571.982),(64 23293.016),(65 22673.03),(66 22718.908),(67 22912.275),(68 22824.607),(69 22734.76),(70 22750.854),(71 23130.936),(72 22865.89),(73 22930.29),(74 22976.729),(75 22772.729),(76 22977.258),(77 23210.367),(78 23014.414),(79 22639.713),
(1 10775.936),(2 15618.971),(3 16836.756),(4 17951.62),(5 17740.709),(6 18912.543),(7 18990.207),(8 19278.13),(9 20207.85),(10 20520.646),(11 20722.096),(12 20874.781),(13 21289.93),(14 21641.463),(15 21410.133),(16 21022.125),(17 20525.006),(18 21296.568),(19 20800.725),(20 20345.313),(21 20337.338),(22 20912.818),(23 21009.813),(24 21317.006),(25 22264.06),(26 22055.527),(27 22059.236),(28 22258.059),(29 22511.744),(30 23080.543),(31 23420.396),(32 23309.982),(33 23711.74),(34 23188.236),(35 23396.299),(36 23906.03),(37 23813.135),(38 23630.564),(39 23319.91),(40 23549.645),(41 23139.307),(42 23784.77),(43 23659.852),(44 23764.926),(45 23936.223),(46 23142.32),(47 23848.137),(48 23471.47),(49 23929.875),(50 24016.434),(51 24758.867),(52 24523.754),(53 24197.969),(54 24511.262),(55 24244.678),(56 24555.426),(57 25051.162),(58 25006.318),(59 24432.934),(60 24215.072),(61 24537.896),(62 24340.969),(63 24257.04),(64 23649.582),(65 23915.688),(66 24122.006),(67 23392.74),(68 23742.416),(69 23709.924),(70 23766.365),(71 23888.805),(72 23639.49),(73 23376.61),(74 23665.275),(75 23650.527),(76 23317.232),(77 24123.908),(78 23641.031),(79 23301.064),
(1 10496.013),(2 15292.158),(3 15811.326),(4 16973.535),(5 16859.947),(6 17982.27),(7 18232.408),(8 19110.766),(9 19807.324),(10 20113.748),(11 20209.707),(12 20745.248),(13 20858.863),(14 21123.674),(15 20982.557),(16 20656.602),(17 20538.516),(18 20428.754),(19 20333.955),(20 19993.152),(21 20363.82),(22 20488.396),(23 20329.39),(24 20691.459),(25 21137.059),(26 21062.518),(27 21163.588),(28 21127.783),(29 21335.121),(30 22098.748),(31 22361.826),(32 22092.785),(33 22066.197),(34 22052.766),(35 22290.285),(36 22169.389),(37 22451.484),(38 21863.299),(39 22236.436),(40 21972.664),(41 21552.07),(42 21870.727),(43 21843.557),(44 22048.105),(45 22244.943),(46 21873.643),(47 22063.832),(48 21616.875),(49 22017.156),(50 21818.03),(51 22272.24),(52 22781.61),(53 22037.176),(54 22085.563),(55 22588.145),(56 22193.76),(57 22403.785),(58 22690.027),(59 22207.398),(60 22153.861),(61 22628.342),(62 22488.465),(63 22220.408),(64 22034.25),(65 21768.586),(66 21850.361),(67 21639.69),(68 22024.184),(69 21434.99),(70 21243.232),(71 21621.447),(72 21394.965),(73 21047.977),(74 20759.035),(75 21315.277),(76 21649.889),(77 21832.123),(78 21380.475),(79 21670.4),
(1 10145.613),(2 14429.45),(3 15072.749),(4 16317.661),(5 16076.6875),(6 16848.475),(7 17396.223),(8 18273.727),(9 18870.846),(10 18930.293),(11 19050.592),(12 19517.158),(13 20017.305),(14 20083.744),(15 19646.22),(16 19671.57),(17 19199.23),(18 19431.148),(19 19111.27),(20 18948.885),(21 19216.057),(22 19182.023),(23 18954.469),(24 19862.113),(25 20065.94),(26 19873.06),(27 20090.152),(28 20253.105),(29 20738.955),(30 20917.428),(31 20687.8),(32 20756.605),(33 21108.254),(34 21339.559),(35 21465.193),(36 21427.867),(37 21434.023),(38 21329.156),(39 21345.693),(40 21759.139),(41 21577.082),(42 21649.85),(43 21492.703),(44 21789.035),(45 22123.217),(46 21965.336),(47 22074.6),(48 21910.4),(49 22413.645),(50 22308.62),(51 22395.123),(52 22265.822),(53 21817.928),(54 22282.035),(55 22866.773),(56 22564.51),(57 22427.828),(58 22808.314),(59 22449.209),(60 22653.156),(61 22632.799),(62 22528.566),(63 22677.047),(64 22248.531),(65 21912.922),(66 21646.783),(67 21696.05),(68 22253.928),(69 21755.643),(70 21846.898),(71 21473.977),(72 21471.4),(73 21428.527),(74 21213.701),(75 21664.006),(76 21438.316),(77 21522.277),(78 21677.52),(79 21585.498),
(1 10151.817),(2 14374.097),(3 15013.527),(4 16019.311),(5 16380.794),(6 16805.457),(7 17136.314),(8 18029.402),(9 18860.54),(10 18734.28),(11 19133.885),(12 19917.053),(13 20232.709),(14 20077.078),(15 20050.768),(16 19944.045),(17 19750.51),(18 19990.746),(19 19377.58),(20 18931.207),(21 19294.78),(22 19338.92),(23 19511.545),(24 19832.707),(25 20212.021),(26 20057.004),(27 20096.332),(28 20467.488),(29 20660.906),(30 21000.436),(31 20763.313),(32 21008.041),(33 20863.713),(34 21583.91),(35 22067.318),(36 21661.08),(37 21606.48),(38 21841.314),(39 21564.271),(40 21363.563),(41 21871.104),(42 21950.555),(43 21452.418),(44 21583.771),(45 21667.082),(46 21564.193),(47 21764.457),(48 21487.629),(49 21920.992),(50 21673.512),(51 22038.797),(52 21873.48),(53 22333.44),(54 22408.664),(55 22263.39),(56 22531.123),(57 22359.652),(58 22338.238),(59 22208.693),(60 22239.01),(61 22794.93),(62 22354.785),(63 22214.879),(64 21955.395),(65 21942.756),(66 21607.854),(67 22089.633),(68 21809.371),(69 21730.844),(70 22010.096),(71 21680.271),(72 21500.93),(73 21356.467),(74 21477.41),(75 21411.59),(76 21574.9),(77 21486.275),(78 21123.854),(79 21319.588),
(1 10069.283),(2 14593.755),(3 14738.495),(4 15260.503),(5 15702.288),(6 16275.704),(7 16826.527),(8 17390.89),(9 18303.105),(10 18199.207),(11 18298.475),(12 18864.965),(13 18959.111),(14 18906.74),(15 18603.975),(16 18656.178),(17 18495.754),(18 18480.406),(19 18063.785),(20 17646.168),(21 17666.375),(22 17996.764),(23 18286.93),(24 18455.082),(25 18705.285),(26 18644.06),(27 18790.133),(28 19045.543),(29 19356.727),(30 19031.723),(31 19300.285),(32 19408.465),(33 19261.178),(34 19660.424),(35 19964.994),(36 20006.275),(37 19909.613),(38 20297.973),(39 20228.008),(40 19852.043),(41 19892.133),(42 19835.123),(43 19977.885),(44 19968.916),(45 20344.205),(46 20256.31),(47 19874.018),(48 20119.197),(49 20104.1),(50 20297.814),(51 20534.822),(52 20057.686),(53 20297.54),(54 20463.297),(55 20291.932),(56 20556.24),(57 20089.295),(58 20171.64),(59 20205.412),(60 20114.254),(61 20652.355),(62 19993.74),(63 20383.469),(64 20008.066),(65 19782.723),(66 19830.316),(67 20090.064),(68 19983.367),(69 19743.76),(70 19878.715),(71 20353.936),(72 20267.002),(73 19990.54),(74 20142.785),(75 20109.193),(76 19968.512),(77 20350.363),(78 19991.674),(79 19918.055),
(1 10000.081),(2 14363.511),(3 14606.981),(4 14898.921),(5 15066.194),(6 16122.099),(7 16440.574),(8 16942.965),(9 17718.225),(10 17878.893),(11 17841.318),(12 18532.066),(13 18585.264),(14 18526.168),(15 18350.135),(16 18252.824),(17 18336.875),(18 18411.238),(19 18303.959),(20 17975.361),(21 17838.885),(22 17805.156),(23 18260.824),(24 18512.705),(25 18606.861),(26 18921.357),(27 18978.576),(28 19210.96),(29 19598.285),(30 19492.28),(31 19771.121),(32 20141.555),(33 19940.31),(34 19928.592),(35 20212.295),(36 20625.275),(37 20437.123),(38 20506.168),(39 20258.611),(40 20332.652),(41 20413.861),(42 19895.484),(43 20500.652),(44 20459.8),(45 20522.143),(46 20110.652),(47 19986.813),(48 20142.94),(49 20368.697),(50 20347.752),(51 20223.664),(52 20314.314),(53 20550.701),(54 20795.395),(55 20849.549),(56 21015.768),(57 20623.928),(58 20984.45),(59 21073.135),(60 20302.041),(61 20519.81),(62 20308.764),(63 20447.229),(64 19837.281),(65 19958.059),(66 20122.658),(67 19829.438),(68 19868.74),(69 19448.916),(70 19700.963),(71 19977.441),(72 19805.246),(73 19778.744),(74 19821.152),(75 19563.72),(76 19804.416),(77 19852.416),(78 19865.217),(79 19715.111),
(1 9796.798),(2 13513.075),(3 13856.408),(4 14752.072),(5 14750.391),(6 15529.308),(7 15863.92),(8 16713.168),(9 17013.324),(10 17222.543),(11 17069.271),(12 17847.703),(13 18074.252),(14 17758.51),(15 17754.82),(16 17360.05),(17 17348.367),(18 17242.42),(19 17174.068),(20 17021.965),(21 16682.139),(22 17187.793),(23 17083.744),(24 17313.43),(25 17657.5),(26 17631.447),(27 17333.219),(28 17997.57),(29 18259.615),(30 17834.318),(31 18098.566),(32 18289.207),(33 18378.676),(34 18678.275),(35 18489.258),(36 18785.041),(37 19172.111),(38 18985.182),(39 19046.662),(40 18895.51),(41 18958.246),(42 18285.477),(43 18669.783),(44 19156.227),(45 19043.328),(46 18680.482),(47 18880.29),(48 19224.877),(49 19328.459),(50 19766.031),(51 19768.82),(52 19523.582),(53 19973.926),(54 20092.627),(55 19913.05),(56 19747.615),(57 19769.477),(58 19785.092),(59 19779.1),(60 19674.129),(61 19822.375),(62 19694.082),(63 19627.22),(64 19325.975),(65 19652.592),(66 19603.078),(67 19355.717),(68 19494.996),(69 19047.236),(70 19616.527),(71 19146.092),(72 18960.98),(73 19186.545),(74 18927.398),(75 19022.553),(76 18808.842),(77 19096.809),(78 19198.32),(79 18876.467),
(1 9308.056),(2 13208.642),(3 13756.328),(4 14104.725),(5 14287.15),(6 14837.626),(7 15226.791),(8 15910.476),(9 16471.447),(10 16506.164),(11 16361.222),(12 17013.248),(13 16948.148),(14 17010.578),(15 17228.871),(16 16804.934),(17 16738.803),(18 17052.924),(19 16853.79),(20 16820.658),(21 16537.611),(22 16791.822),(23 16405.57),(24 16912.533),(25 17123.674),(26 17097.836),(27 17241.652),(28 17627.676),(29 17754.352),(30 17541.502),(31 17670.762),(32 17898.092),(33 18049.457),(34 18231.518),(35 17945.496),(36 18441.793),(37 18417.443),(38 18943.91),(39 18903.834),(40 18804.059),(41 18721.096),(42 18495.518),(43 18458.396),(44 18687.533),(45 18693.752),(46 18551.014),(47 18575.748),(48 18917.713),(49 19005.47),(50 19376.697),(51 19312.637),(52 19074.31),(53 19240.28),(54 19808.965),(55 19523.277),(56 19530.912),(57 19054.408),(58 19586.17),(59 19601.072),(60 19512.13),(61 19512.557),(62 19504.895),(63 19381.86),(64 19246.346),(65 19181.385),(66 18711.197),(67 19029.996),(68 18881.496),(69 18558.283),(70 19038.049),(71 18644.428),(72 18466.648),(73 18557.447),(74 18731.63),(75 18843.314),(76 18583.44),(77 18451.451),(78 18734.523),(79 18440.48),
(1 9484.494),(2 13104.443),(3 13883.041),(4 14141.143),(5 14129.942),(6 14868.376),(7 15252.881),(8 15848.425),(9 16460.549),(10 16716.07),(11 17034.53),(12 17144.623),(13 17178.688),(14 17126.973),(15 17003.078),(16 16911.197),(17 16889.563),(18 16967.09),(19 16498.97),(20 16709.115),(21 16234.895),(22 16140.374),(23 16464.287),(24 16782.193),(25 16631.406),(26 16850.225),(27 17147.424),(28 17377.053),(29 17159.482),(30 17163.191),(31 17154.21),(32 17235.332),(33 17551.72),(34 17622.287),(35 17367.348),(36 17658.17),(37 17857.645),(38 17984.186),(39 17948.506),(40 17702.432),(41 17855.533),(42 17907.908),(43 18070.07),(44 18096.121),(45 17921.59),(46 18016.824),(47 18072.43),(48 17996.867),(49 18122.828),(50 18349.732),(51 18454.145),(52 18487.025),(53 18469.164),(54 18929.008),(55 18786.613),(56 18392.23),(57 18436.46),(58 18915.926),(59 18864.125),(60 18954.537),(61 18697.021),(62 18759.084),(63 18747.879),(64 18402.371),(65 18713.885),(66 18627.479),(67 18752.654),(68 18347.271),(69 18319.318),(70 18615.896),(71 18388.242),(72 18055.457),(73 18007.615),(74 18527.803),(75 18055.64),(76 17939.059),(77 18242.568),(78 18176.03),(79 18328.578),
(1 9053.461),(2 12696.93),(3 13084.346),(4 13280.036),(5 13473.667),(6 13584.585),(7 13825.238),(8 14526.717),(9 15243.599),(10 14997.739),(11 15418.9),(12 15613.786),(13 15565.028),(14 15470.52),(15 15496.475),(16 15225.274),(17 15341.266),(18 15602.698),(19 15064.845),(20 15474.113),(21 14784.674),(22 14862.488),(23 15230.045),(24 15712.163),(25 15419.172),(26 15495.23),(27 15968.431),(28 16188.446),(29 16020.203),(30 16174.6),(31 15918.954),(32 16042.845),(33 16486.578),(34 16589.773),(35 16471.299),(36 16963.672),(37 17103.986),(38 16770.775),(39 16750.115),(40 16808.826),(41 17136.19),(42 17364.432),(43 17184.402),(44 17289.852),(45 17311.768),(46 17240.268),(47 17357.445),(48 17574.08),(49 17432.488),(50 17674.902),(51 17889.32),(52 17626.977),(53 17870.121),(54 17867.049),(55 18045.668),(56 17895.395),(57 18001.58),(58 18061.318),(59 17860.723),(60 17798.91),(61 17997.434),(62 18048.514),(63 17730.4),(64 17709.008),(65 17835.42),(66 17197.088),(67 17107.195),(68 17318.67),(69 17419.67),(70 17527.807),(71 17481.988),(72 17410.793),(73 17068.293),(74 17075.27),(75 16991.81),(76 17210.264),(77 16793.848),(78 16986.947),(79 16731.172),
(1 8938.1),(2 12198.648),(3 12615.099),(4 12959.359),(5 13651.433),(6 13972.761),(7 14474.94),(8 15145.84),(9 15448.511),(10 15546.752),(11 15807.609),(12 15858.45),(13 15867.326),(14 16021.474),(15 15830.37),(16 15994.743),(17 15875.041),(18 15897.517),(19 15612.4),(20 15473.574),(21 15441.284),(22 15570.217),(23 15843.712),(24 16429.541),(25 16362.944),(26 16305.641),(27 16187.213),(28 16511.707),(29 16428.678),(30 16283.807),(31 16257.826),(32 16591.219),(33 16328.4375),(34 16577.508),(35 16772.813),(36 16991.906),(37 16724.137),(38 16744.143),(39 16783.33),(40 16454.031),(41 16778.064),(42 17206.63),(43 17192.125),(44 17024.527),(45 16912.057),(46 16891.143),(47 17033.535),(48 17289.65),(49 17201.506),(50 17354.354),(51 17615.063),(52 17638.514),(53 17391.824),(54 17834.154),(55 18279.303),(56 17747.096),(57 18038.559),(58 18446.227),(59 18464.924),(60 18157.727),(61 18072.922),(62 18018.725),(63 17817.416),(64 17533.977),(65 17439.379),(66 17080.36),(67 17276.016),(68 17533.205),(69 17513.527),(70 17447.07),(71 17376.865),(72 17315.154),(73 17551.334),(74 17552.793),(75 17054.773),(76 17105.023),(77 17131.773),(78 17265.86),(79 17014.082),
(1 8284.377),(2 11649.424),(3 12215.4),(4 12132.634),(5 12605.964),(6 12947.881),(7 13312.977),(8 13908.062),(9 14270.796),(10 14097.683),(11 14358.428),(12 14697.02),(13 14551.424),(14 14561.381),(15 14588.081),(16 14556.492),(17 14507.256),(18 14271.646),(19 14154.315),(20 14199.505),(21 14096.439),(22 14456.088),(23 14600.235),(24 14465.831),(25 14822.963),(26 14859.761),(27 14802.659),(28 15263.032),(29 14874.216),(30 15157.933),(31 15218.516),(32 15402.242),(33 15532.831),(34 15616.849),(35 15664.253),(36 16106.122),(37 15682.169),(38 15930.8545),(39 15976.1875),(40 15902.603),(41 15940.675),(42 16135.881),(43 16224.382),(44 15856.388),(45 16014.815),(46 15989.492),(47 16580.508),(48 16647.336),(49 16540.387),(50 16889.281),(51 16463.025),(52 16588.486),(53 16678.928),(54 16768.182),(55 16999.455),(56 16415.303),(57 16730.568),(58 16620.672),(59 17161.428),(60 16950.28),(61 16758.668),(62 16712.371),(63 16525.85),(64 16208.079),(65 16338.741),(66 16114.854),(67 16248.61),(68 16356.019),(69 16523.215),(70 16274.029),(71 16215.536),(72 16230.349),(73 16410.473),(74 16537.832),(75 16224.423),(76 16081.915),(77 16465.01),(78 16585.545),(79 16264.052),
(1 8333.324),(2 11225.752),(3 11552.84),(4 11625.687),(5 12297.192),(6 12792.899),(7 13016.617),(8 13736.455),(9 13781.354),(10 13857.813),(11 14236.376),(12 14358.045),(13 14597.878),(14 14459.477),(15 14522.904),(16 14748.237),(17 14481.523),(18 14378.525),(19 14341.021),(20 14290.802),(21 14084.406),(22 14251.905),(23 14666.064),(24 14628.518),(25 14959.414),(26 15021.748),(27 15155.713),(28 15198.166),(29 15043.884),(30 15360.659),(31 15367.834),(32 15533.602),(33 15759.198),(34 15816.058),(35 15363.19),(36 15845.045),(37 15710.044),(38 15612.925),(39 15352.925),(40 15723.404),(41 15517.509),(42 15758.429),(43 15578.488),(44 15488.483),(45 15726.275),(46 15622.422),(47 15823.428),(48 15949.224),(49 15978.336),(50 16071.326),(51 16049.38),(52 16235.669),(53 15960.354),(54 16103.301),(55 16378.784),(56 16131.235),(57 16135.057),(58 16323.438),(59 16487.791),(60 16530.178),(61 16429.49),(62 16378.049),(63 16455.105),(64 16045.557),(65 15893.543),(66 15541.679),(67 15917.179),(68 15538.891),(69 15722.268),(70 15799.673),(71 15659.615),(72 15581.988),(73 15458.943),(74 15821.14),(75 15538.523),(76 15470.517),(77 15700.345),(78 15840.361),(79 15743.184),
(1 8242.896),(2 11106.087),(3 11471.873),(4 11605.472),(5 11876.618),(6 12506.097),(7 12748.618),(8 13038.476),(9 13357.176),(10 13676.277),(11 13924.024),(12 13986.776),(13 14217.153),(14 14254.481),(15 13912.267),(16 14392.441),(17 14355.391),(18 14183.489),(19 14230.883),(20 14130.016),(21 13783.099),(22 13897.426),(23 14246.511),(24 14330.598),(25 14534.356),(26 14467.3),(27 14710.062),(28 14580.601),(29 14463.674),(30 14648.925),(31 14997.306),(32 15042.343),(33 15315.539),(34 15335.552),(35 15175.819),(36 15247.792),(37 15387.431),(38 15553.175),(39 14970.58),(40 15111.568),(41 15255.783),(42 15302.139),(43 14991.123),(44 15348.651),(45 15406.16),(46 15517.026),(47 15530.352),(48 15657.34),(49 15981.448),(50 15921.296),(51 15880.192),(52 15999.21),(53 16131.047),(54 16000.729),(55 16162.32),(56 16385.889),(57 16284.776),(58 16149.736),(59 16289.576),(60 16079.603),(61 16094.995),(62 16133.328),(63 16280.717),(64 15965.625),(65 15734.309),(66 15242.796),(67 15646.661),(68 15751.79),(69 15757.795),(70 15619.206),(71 15514.843),(72 15329.8955),(73 15326.061),(74 15659.928),(75 15389.8),(76 15562.539),(77 15588.979),(78 15640.995),(79 15341.172),
(1 8210.267),(2 10857.253),(3 11595.94),(4 11642.332),(5 12110.8955),(6 12480.976),(7 12752.378),(8 13177.613),(9 13336.661),(10 13640.245),(11 13905.095),(12 14072.585),(13 13878.098),(14 14030.449),(15 13873.815),(16 14135.649),(17 13771.476),(18 13796.296),(19 13815),(20 13854.457),(21 13546.468),(22 13616.921),(23 13892.626),(24 14076.028),(25 14181.443),(26 14280.013),(27 14375.378),(28 14373.572),(29 14347.1455),(30 14286.131),(31 14717.269),(32 14585.486),(33 14792.302),(34 14883.6875),(35 14909.196),(36 14879.112),(37 15072.241),(38 14967.34),(39 14509.934),(40 15097.513),(41 15024.338),(42 15130.939),(43 14840.09),(44 14884.108),(45 15048.659),(46 14961.982),(47 15164.33),(48 15405.216),(49 15419.929),(50 15024.311),(51 14985.256),(52 15147.539),(53 15118.59),(54 15088.949),(55 15096.477),(56 15244.73),(57 15338.019),(58 15193.018),(59 15281.116),(60 15343.912),(61 15135.438),(62 15458.613),(63 15486.956),(64 15454.343),(65 14917.541),(66 14801.698),(67 14875.219),(68 14954.41),(69 14977.505),(70 14978.967),(71 14980.702),(72 14507.395),(73 14689.091),(74 15150.527),(75 14683.989),(76 14981.899),(77 14643.942),(78 15040.576),(79 14909.827),
(1 8077.617),(2 10999.069),(3 11520.7295),(4 11841.86),(5 12356.548),(6 12681.001),(7 12983.461),(8 13390.635),(9 13508.158),(10 13828.368),(11 14116.007),(12 14271.639),(13 14267.878),(14 14148.472),(15 14000.582),(16 13926.128),(17 14058.313),(18 14046.748),(19 13895.17),(20 13877.551),(21 13655.538),(22 13896.15),(23 13971.782),(24 14318.977),(25 14563.339),(26 14202.553),(27 14544.666),(28 14560.211),(29 14767.987),(30 14663.76),(31 14791.989),(32 14734.725),(33 14974.3955),(34 15095.45),(35 15127.168),(36 14926.682),(37 15072.8955),(38 14811.452),(39 14693.616),(40 14920.136),(41 14997.879),(42 14740.876),(43 14771.017),(44 14834.2705),(45 14902.378),(46 14890.242),(47 14831.123),(48 15144.408),(49 15145.733),(50 15226.424),(51 15088.906),(52 15353.076),(53 15346.674),(54 15415.502),(55 15622.008),(56 15685.121),(57 15900.174),(58 15946.04),(59 15631.022),(60 15849.685),(61 15778.399),(62 15772.431),(63 15678.823),(64 15324.827),(65 15439.643),(66 15239.707),(67 15289.02),(68 15162.927),(69 15127.677),(70 15264.71),(71 15279.749),(72 14851.715),(73 14983.52),(74 15319.939),(75 15109.469),(76 15084.559),(77 15000.877),(78 15197.659),(79 15169.874),
(1 8010.1147),(2 10813.918),(3 11212.316),(4 11266.294),(5 11755.603),(6 11842.379),(7 12124.973),(8 12364.558),(9 12741.413),(10 12993.732),(11 13280.154),(12 13648.9375),(13 13306.41),(14 13334.457),(15 13502.338),(16 13368.301),(17 13306.688),(18 13184.73),(19 12803.961),(20 12826.812),(21 12580.612),(22 12832.965),(23 12990.068),(24 13280.07),(25 13460.417),(26 13601.75),(27 13558.023),(28 13470.955),(29 13950.188),(30 13955.911),(31 13883.991),(32 14050.269),(33 14165.487),(34 14003.044),(35 14246.123),(36 14334.478),(37 14385.438),(38 14232.7295),(39 14243.079),(40 14411.7705),(41 14220.704),(42 14409.744),(43 14179.445),(44 14335.228),(45 14492.962),(46 14440.28),(47 14470.552),(48 14675.404),(49 14723.897),(50 14724.276),(51 14573.995),(52 14904.593),(53 14866.461),(54 14885.225),(55 14861.024),(56 14921.265),(57 15047.674),(58 15221.796),(59 15168.602),(60 14882.223),(61 14659.552),(62 14852.395),(63 14901.693),(64 14548.877),(65 14814.576),(66 14345.356),(67 14432.045),(68 14227.237),(69 14408.696),(70 14266.531),(71 14247.917),(72 13951.326),(73 14119.47),(74 14160.404),(75 13988.694),(76 13875.268),(77 14067.314),(78 14384.699),(79 14163.405),
