1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 527619.2),(2 863325.5),(3 889350),(4 1936940),(5 2830121.8),(6 3258826.3),(7 4783889.5),(8 6172854.5),(9 7106000.5),(10 9042185),(11 10757947),(12 11911512),(13 14185948),(14 16063923),(15 17255638),(16 19324354),(17 21461506),(18 22771718),(19 24855846),(20 27027726),(21 28628480),(22 30984984),(23 33063712),(24 33984590),(25 35479230),(26 36947252),(27 37358748),(28 38564268),(29 39405716),(30 39337908),(31 39948140),(32 40527516),(33 40418520),(34 40780572),(35 40901316),(36 40320136),(37 40956436),(38 41799004),(39 42541508),(40 44021836),(41 45063724),(42 45050304),(43 45691732),(44 46369230),(45 46457810),(46 47618268),(47 48951628),(48 49841308),(49 51361700),(50 53340656),(51 54642530),(52 56628160),(53 58737740),(54 59849004),(55 61494812),(56 63421788),(57 64511124),(58 66342796),(59 68257160),(60 68914936),(61 69699016),(62 71082390),(63 71611896),(64 72322250),(65 73533920),(66 74327576),(67 75159710),(68 76430104),(69 76808170),(70 77524900),(71 78497190),(72 78682376),(73 79224310),(74 80409910),(75 80836616),(76 81745990),(77 83356424),(78 84383140),(79 85368930),
(1 30463.918),(2 69441.09),(3 87776.95),(4 94909.805),(5 97452.63),(6 95813.25),(7 93636.63),(8 96284.77),(9 102024.266),(10 106228.02),(11 108047.13),(12 109626.73),(13 113793.336),(14 117044.47),(15 121269.63),(16 126084.99),(17 127143.08),(18 130340.1),(19 134956.88),(20 138875.73),(21 141023.67),(22 141419.44),(23 141929.69),(24 145939.63),(25 149177.9),(26 148500.69),(27 149026.11),(28 149262.16),(29 148180.84),(30 151150.83),(31 155394.03),(32 154141.78),(33 154089.42),(34 155708.89),(35 157320.77),(36 156963.84),(37 154248.36),(38 153712.61),(39 153002.86),(40 152932.55),(41 153225.9),(42 151298.61),(43 148319),(44 145610.55),(45 142797.39),(46 142002.36),(47 143329.83),(48 142403.63),(49 138815.44),(50 135880.11),(51 135119.22),(52 135916.81),(53 136343.25),(54 134462.45),(55 132456.89),(56 128760.766),(57 126101.34),(58 127774.62),(59 127774.04),(60 124307.75),(61 123576.45),(62 125053.28),(63 125298.49),(64 123713.016),(65 120764.44),(66 119472.84),(67 118447.67),(68 116393.13),(69 116362.805),(70 116607.77),(71 117102.25),(72 120657.484),(73 121708.74),(74 119719.055),(75 118632.66),(76 118495.11),(77 118753.41),(78 119307.3),(79 121218.27),
(1 30656.238),(2 69911.14),(3 87689.72),(4 94758.56),(5 98856.81),(6 99195.51),(7 99830.27),(8 103170.81),(9 106580.86),(10 107164.62),(11 106771.984),(12 109448.57),(13 115150.55),(14 118580.99),(15 121542.82),(16 125379.49),(17 126302.72),(18 128137.305),(19 130161.48),(20 131897.48),(21 134243.7),(22 136947.16),(23 139512.5),(24 141807.81),(25 144608.48),(26 145291.92),(27 145716.05),(28 147310.92),(29 147087.38),(30 146455.86),(31 145978.75),(32 148423.27),(33 149955.95),(34 148686.63),(35 148252.13),(36 147833.72),(37 146782.31),(38 145968.98),(39 144105.03),(40 142188.28),(41 141698.77),(42 142342.13),(43 143604.25),(44 141914.23),(45 140179.83),(46 139495.73),(47 139570.25),(48 138056.45),(49 134634.9),(50 130835.42),(51 129595.9),(52 127098.95),(53 126694.1),(54 125564.66),(55 124727.62),(56 124238.33),(57 123325.71),(58 122731.78),(59 124659.18),(60 124915.87),(61 125522.52),(62 123018.586),(63 120184.33),(64 118206.33),(65 119113.94),(66 120071.42),(67 118548.09),(68 116074.72),(69 116539.766),(70 115885.5),(71 116202.21),(72 117886.93),(73 121255.19),(74 120044.42),(75 118164.35),(76 119800.72),(77 123264.13),(78 122895.45),(79 121902.21),
(1 30459.95),(2 67113.516),(3 81687.05),(4 89492.82),(5 93887.44),(6 93777.23),(7 93176.61),(8 95984.3),(9 100000.984),(10 101526.695),(11 101749.98),(12 104617.31),(13 110316.914),(14 115065.29),(15 115795.445),(16 117171.6),(17 118180.31),(18 121765.336),(19 122984.51),(20 125689.2),(21 128380.53),(22 129818.47),(23 129859.336),(24 131697.7),(25 134850.39),(26 137575.8),(27 139149.44),(28 140233.06),(29 140870.23),(30 140899.83),(31 141281.33),(32 143942.7),(33 144981.97),(34 144208.55),(35 142592.73),(36 140941.97),(37 142579.61),(38 142114.58),(39 138051.13),(40 135695.88),(41 135569.2),(42 135447.67),(43 133498.23),(44 131297.61),(45 129186.94),(46 129107.695),(47 129058.04),(48 128846.22),(49 127117.59),(50 124175.76),(51 123155.516),(52 121076.805),(53 120504.47),(54 119343.734),(55 118484.62),(56 118703.95),(57 118485.93),(58 117165.98),(59 116814.04),(60 115110.53),(61 113107.2),(62 112623.93),(63 111841.54),(64 110226.78),(65 109878.94),(66 109418.8),(67 106829.17),(68 105545.33),(69 106945.805),(70 108950.11),(71 108492.77),(72 109201.93),(73 112631.305),(74 113573.31),(75 113299.76),(76 114123.38),(77 114909.91),(78 112835.84),(79 113656.12),
(1 28886.432),(2 66920.44),(3 86290.49),(4 92528.22),(5 93124.77),(6 91606.414),(7 93389.77),(8 96907.305),(9 99202.84),(10 100639.87),(11 101061.64),(12 103248.3),(13 106850.91),(14 109642.8),(15 112095.35),(16 114657.484),(17 118808.99),(18 120892.18),(19 119194.4),(20 119234.76),(21 121190.02),(22 123009.805),(23 125621.78),(24 130630.234),(25 132380.03),(26 132789.89),(27 130546.58),(28 130011.766),(29 133017.5),(30 136147.42),(31 139463.83),(32 141027.61),(33 141221.19),(34 138466.14),(35 135513.98),(36 134551.02),(37 135900.53),(38 134138.95),(39 131150.7),(40 130250.1),(41 130324.375),(42 127956.91),(43 127106.555),(44 127033.164),(45 127679.41),(46 127545.76),(47 125219.43),(48 122631.51),(49 120751.76),(50 118825.984),(51 118427.125),(52 116904.27),(53 117017.016),(54 117258.836),(55 116171.586),(56 114012.46),(57 113367.445),(58 113010.836),(59 113598.16),(60 112656.46),(61 109671.11),(62 108435.8),(63 109955.586),(64 109935.836),(65 110033.61),(66 109181.055),(67 106114.555),(68 105554.78),(69 106298.516),(70 107232.73),(71 105911.51),(72 105645.016),(73 107908.695),(74 108225.55),(75 108462.81),(76 109814.06),(77 109693.55),(78 109095.84),(79 110839.2),
(1 28630.29),(2 64856.688),(3 82857.75),(4 90197.695),(5 89860.875),(6 88538.84),(7 88911.08),(8 90288.75),(9 92824.31),(10 94430.35),(11 96094.94),(12 98483.76),(13 100056.71),(14 99969.22),(15 102945.67),(16 106485.87),(17 107273.31),(18 107917.445),(19 108586.85),(20 108316.09),(21 110225.984),(22 113018.04),(23 115093.87),(24 116483.22),(25 116499.18),(26 115469.63),(27 113761.35),(28 114099.17),(29 117006.82),(30 119330.766),(31 121005.7),(32 121108.94),(33 118786.13),(34 115286.734),(35 114337.94),(36 115669.96),(37 117258.664),(38 117206.555),(39 118119.836),(40 119157.48),(41 117800.82),(42 116037.22),(43 116044.65),(44 116448.74),(45 116742.84),(46 116314.41),(47 116194.94),(48 115737.31),(49 114014.664),(50 110499.125),(51 110098.83),(52 110080.34),(53 110864.67),(54 110810.82),(55 108441.65),(56 106995.91),(57 106775.836),(58 106910.26),(59 105791.93),(60 104744.12),(61 104762.69),(62 104749.29),(63 104002.18),(64 102766.64),(65 100727.89),(66 100831.87),(67 101039.94),(68 100600.97),(69 100064.28),(70 99606.87),(71 98992.69),(72 97279.74),(73 97368.49),(74 99646.19),(75 101764.33),(76 101362.37),(77 99991.836),(78 99247.62),(79 100093.13),
(1 27969.031),(2 62537.727),(3 79563.9),(4 86556.28),(5 86103.11),(6 83316.87),(7 85981.27),(8 89455.89),(9 92848.02),(10 96648.336),(11 98230.234),(12 99317.36),(13 98834.82),(14 99757.57),(15 102723.22),(16 104399.664),(17 105408.57),(18 106695.3),(19 108527.805),(20 109935.36),(21 112037.234),(22 115765.64),(23 117809.95),(24 116808.555),(25 117600.58),(26 116434.73),(27 115321.914),(28 114398.445),(29 116038.4),(30 118152.32),(31 118888.11),(32 119927.445),(33 118567.45),(34 117706.766),(35 119214.914),(36 121655.95),(37 122248.74),(38 119919.53),(39 118223.36),(40 115594.74),(41 113114.62),(42 111795.78),(43 111438.42),(44 110721.72),(45 109443.53),(46 108199.78),(47 107460.21),(48 109580.27),(49 110004.89),(50 107879.125),(51 105989.83),(52 103480.74),(53 102581.445),(54 101130.055),(55 99445.63),(56 97987.586),(57 99624.87),(58 100006.81),(59 100019.24),(60 100078.08),(61 100063.73),(62 99343.26),(63 98223.836),(64 97484.55),(65 96094.09),(66 95789.57),(67 96257.78),(68 94405.836),(69 93235.16),(70 93535.81),(71 94557.16),(72 93374.75),(73 93457.63),(74 97046.984),(75 99293.78),(76 99727.734),(77 100015.31),(78 100787.484),(79 101074.914),
(1 26270.563),(2 58797.875),(3 74447.5),(4 79951.94),(5 79779.37),(6 77498.34),(7 79111.18),(8 84282.234),(9 88401.14),(10 88257.94),(11 89408.695),(12 91951.47),(13 92416.48),(14 91477.73),(15 92942.92),(16 94719.734),(17 96421.42),(18 98257.17),(19 99584.89),(20 100374.54),(21 102583.016),(22 106174.125),(23 108622.47),(24 109771.03),(25 110091.234),(26 110120.62),(27 110201.055),(28 110166.516),(29 110128.76),(30 109821.11),(31 109620.164),(32 110731.055),(33 111892.64),(34 112946.24),(35 113065.57),(36 112421.08),(37 112850.164),(38 113987.98),(39 113322.375),(40 112031.82),(41 111736.27),(42 111837.21),(43 111376.555),(44 109470.63),(45 107466.79),(46 105530.68),(47 104805.09),(48 102684.79),(49 99880.34),(50 98513.41),(51 98502.56),(52 98240.39),(53 98156.82),(54 96779.89),(55 94565.31),(56 91290.97),(57 90308.1),(58 90393.71),(59 91518.625),(60 91813.24),(61 90880.305),(62 89772.79),(63 88964.516),(64 89298.58),(65 88648.2),(66 88339.53),(67 89530.49),(68 88837.46),(69 87361.55),(70 86824.23),(71 87176.41),(72 87912.39),(73 88528.75),(74 89699.69),(75 89209.3),(76 90057.18),(77 91269.66),(78 91644.04),(79 91008.984),
(1 25341.678),(2 54847.496),(3 68021.45),(4 75170.055),(5 75228.65),(6 74021.41),(7 74745.99),(8 75905.695),(9 78588.07),(10 80361.734),(11 82685.85),(12 86329.13),(13 87725.125),(14 87798.94),(15 89632.805),(16 90433.164),(17 91458.484),(18 92884.945),(19 94829.2),(20 94599.6),(21 96176.01),(22 99134.984),(23 101456.7),(24 103264.164),(25 106602.47),(26 110186.47),(27 110266.76),(28 108526.94),(29 107104.1),(30 106117.38),(31 105004.35),(32 105047.74),(33 105341.85),(34 106414.1),(35 107830.78),(36 107189.805),(37 106001.086),(38 105545.766),(39 105330.875),(40 103438.31),(41 102821.37),(42 103249.98),(43 102502.445),(44 100357.57),(45 99574.05),(46 98803.805),(47 97391.484),(48 96111.336),(49 94408.43),(50 94026.945),(51 94268.33),(52 93833.18),(53 94443.36),(54 94755.93),(55 93286.37),(56 91806.14),(57 91286.26),(58 90362.64),(59 88308.27),(60 88162.85),(61 88702.03),(62 86686.64),(63 85272.14),(64 85049.7),(65 85329.945),(66 84227.92),(67 83957.01),(68 84687.24),(69 85391.234),(70 85481.45),(71 85587.57),(72 86288.62),(73 86434.766),(74 88305.92),(75 88524.97),(76 88695.73),(77 88393.25),(78 88069.71),(79 89257.5),
(1 25685.64),(2 55781.258),(3 69935.25),(4 76914.76),(5 77959.34),(6 77791.88),(7 78199.83),(8 79603),(9 81893.89),(10 85036.59),(11 88461.516),(12 91694.445),(13 93020.93),(14 93364.28),(15 95234.88),(16 98898.99),(17 101551.82),(18 104627.65),(19 105097.39),(20 104147.87),(21 106916.805),(22 109726.85),(23 111405.76),(24 112367.66),(25 113779.82),(26 115080.875),(27 116243.125),(28 116666.93),(29 116196.52),(30 115535.57),(31 113484.09),(32 113493.35),(33 114307.85),(34 113845.37),(35 111441.95),(36 110030.35),(37 109157.375),(38 109164.516),(39 108627.74),(40 106086.02),(41 105432.52),(42 105712.11),(43 105872.734),(44 106335.68),(45 107646.24),(46 106444),(47 104089.59),(48 101577.36),(49 100039.086),(50 98279.375),(51 97910.625),(52 97920.61),(53 98711.2),(54 99159.05),(55 98472.586),(56 99428.34),(57 98510.25),(58 95346.37),(59 93976.66),(60 95007.336),(61 94733.516),(62 93140.375),(63 91455.62),(64 91513.89),(65 91151.45),(66 91809.28),(67 92810.7),(68 92713.82),(69 90502.9),(70 88976.93),(71 88708.21),(72 88200.164),(73 86389.21),(74 85957.305),(75 85909.24),(76 87150.97),(77 85118.234),(78 84561.48),(79 86553.484),
(1 25705.557),(2 55652.28),(3 67794.09),(4 73724.82),(5 73728.234),(6 74342.055),(7 74599.87),(8 75610.56),(9 78532.836),(10 80672.984),(11 82738.97),(12 84042.49),(13 86365.01),(14 90396.375),(15 92605.625),(16 93570.25),(17 94667.09),(18 94147.36),(19 95394.766),(20 96536.1),(21 97939.93),(22 99264.89),(23 100438.01),(24 101479.98),(25 103501.484),(26 105016.64),(27 105133.67),(28 105328.33),(29 104995.33),(30 103304.414),(31 103874.836),(32 106181.43),(33 107056.77),(34 106123.9),(35 105633.44),(36 104322.81),(37 104123.01),(38 105514.47),(39 105306),(40 104244.91),(41 103087.625),(42 102742.44),(43 104415.39),(44 104491.24),(45 102562.35),(46 99591.945),(47 96344.375),(48 96435.164),(49 96714.836),(50 94844.24),(51 92704.5),(52 91138.305),(53 90351.93),(54 90925.43),(55 89902.44),(56 89026.586),(57 87563.98),(58 85407.5),(59 85452.62),(60 86188.664),(61 87691.46),(62 87648.02),(63 86563.23),(64 84824.66),(65 85284.695),(66 86238.81),(67 84960.21),(68 84178.18),(69 84009.31),(70 84343),(71 84532.734),(72 85927.555),(73 86553.29),(74 86348.38),(75 86530.516),(76 87320.74),(77 87368.35),(78 87016.97),(79 86437.99),
(1 25597.104),(2 55907.383),(3 68958.94),(4 75116.87),(5 76036.31),(6 75848.06),(7 75527.93),(8 76521.28),(9 78513.24),(10 82293.16),(11 86182.95),(12 88442.54),(13 88735.96),(14 90427.38),(15 93917.51),(16 95726.58),(17 95979.7),(18 97809.914),(19 102698.13),(20 106923.82),(21 109515.26),(22 110197.18),(23 110278.41),(24 109205.89),(25 110841.38),(26 112078.52),(27 112620.35),(28 113132.43),(29 113175.266),(30 113613.24),(31 113930.695),(32 114183.38),(33 113967.586),(34 113448.76),(35 112304.99),(36 111382.234),(37 110118.086),(38 110337.84),(39 110859.61),(40 108679.22),(41 106558.6),(42 106078.984),(43 105590.97),(44 104560.34),(45 102206.164),(46 100113.305),(47 99337.375),(48 100156.84),(49 99179.695),(50 96223.766),(51 95961.11),(52 95097.195),(53 92589.5),(54 91193.04),(55 90113.31),(56 90515.766),(57 90661.28),(58 88294.92),(59 87296.625),(60 87640.234),(61 88397.94),(62 87910.28),(63 86972.6),(64 86454.45),(65 86743.72),(66 86344.01),(67 85070.914),(68 84524.41),(69 85198.734),(70 85091.766),(71 85765.15),(72 85787.13),(73 86217.96),(74 86585.69),(75 87027.516),(76 86704.65),(77 85453.25),(78 86037.1),(79 85661.61),
(1 24799.57),(2 53268.504),(3 66483.125),(4 72536.71),(5 72743.305),(6 71643.07),(7 73023.87),(8 74554.72),(9 76559.5),(10 78410.305),(11 82138.78),(12 86163.87),(13 90155.11),(14 92359.17),(15 94345.67),(16 95160.94),(17 95767.72),(18 95569.55),(19 98097.49),(20 101975.45),(21 104306.13),(22 103150.72),(23 105419.38),(24 107520.44),(25 108393.16),(26 109760.664),(27 111129.234),(28 112482.41),(29 114142),(30 115634.875),(31 116998.766),(32 118658.92),(33 119713.86),(34 119122.305),(35 117939.56),(36 116788.21),(37 114484.45),(38 112899.055),(39 112757.086),(40 112601.586),(41 113472.94),(42 111940.72),(43 110270.414),(44 109431.24),(45 107021.48),(46 105289.33),(47 103523.41),(48 100517.33),(49 99913.625),(50 98891.45),(51 99666.76),(52 98397.08),(53 96960.28),(54 94886.625),(55 92442.89),(56 91404.34),(57 91430.695),(58 89658.914),(59 88890.02),(60 88533.08),(61 86525.1),(62 86877.28),(63 87350.984),(64 86399.7),(65 86478.25),(66 87616.625),(67 87410.67),(68 86349.35),(69 86153.26),(70 86520.02),(71 87110.29),(72 87675.4),(73 87689.625),(74 88325.03),(75 89082.2),(76 88013.414),(77 85934.82),(78 85585.84),(79 85049.31),
(1 23724.84),(2 51893.875),(3 64172.598),(4 68994.31),(5 69277.734),(6 69764.34),(7 71463.42),(8 72693.19),(9 75245.53),(10 77093.99),(11 80838.03),(12 84934.29),(13 88366.05),(14 91387.03),(15 93746.266),(16 95341.13),(17 95458.44),(18 97850.1),(19 100250.1),(20 103012.47),(21 104497.32),(22 105054.66),(23 107469.555),(24 109904.07),(25 112235.25),(26 114363.66),(27 117546.1),(28 119017.63),(29 119800.92),(30 120239.36),(31 120509.6),(32 120709.01),(33 119335.4),(34 117289.4),(35 115079.24),(36 113300.95),(37 110714.945),(38 108198.56),(39 108201.68),(40 109095.86),(41 108466.37),(42 105311.08),(43 102918.12),(44 101995.69),(45 102414.62),(46 100776.555),(47 98451.195),(48 94774.1),(49 93172.73),(50 92270.125),(51 91344.22),(52 90063.81),(53 88928.23),(54 89342.58),(55 87927.08),(56 85232.375),(57 85068.53),(58 84557.195),(59 84872.14),(60 85290.81),(61 84552.19),(62 84370.05),(63 83121.93),(64 82787.97),(65 82066.29),(66 81494.77),(67 80733.2),(68 81319.71),(69 82746.26),(70 82469.07),(71 79285.36),(72 78468.19),(73 79291.42),(74 79123.27),(75 79440.47),(76 79658.67),(77 79873.61),(78 80189.46),(79 79849.766),
(1 23071.742),(2 48617.664),(3 59790.42),(4 63701.453),(5 63923.867),(6 64864.594),(7 66852.305),(8 70569.06),(9 72308.68),(10 73647.77),(11 75632.99),(12 77883.414),(13 82092.375),(14 85288.72),(15 89199.99),(16 89845.55),(17 90608.29),(18 91370.484),(19 92168.195),(20 93129.61),(21 94356.695),(22 95737.68),(23 97775.375),(24 98796.2),(25 100804.42),(26 102350.72),(27 103667.75),(28 103340.664),(29 102910.24),(30 100714.18),(31 100220.79),(32 101204.24),(33 100968.47),(34 100109.28),(35 99419.695),(36 96675.29),(37 94238.46),(38 93960.08),(39 93532.5),(40 94974.555),(41 95066.375),(42 92387.58),(43 91230.92),(44 89790.99),(45 88469.9),(46 87870.23),(47 86997.49),(48 85900.34),(49 85491.76),(50 84893.16),(51 84507.45),(52 85556.77),(53 86026.84),(54 85161.586),(55 83014.59),(56 81345.64),(57 82201.33),(58 81656.08),(59 81411.08),(60 80063.86),(61 80237.5),(62 81395.14),(63 81022.375),(64 80756.15),(65 80891.75),(66 81188.47),(67 80063.82),(68 79006.65),(69 79552.82),(70 80375.58),(71 78952.32),(72 78271.95),(73 79988.734),(74 81618.195),(75 80155.1),(76 78497.08),(77 78203.32),(78 79281.2),(79 80017.82),
(1 23228.682),(2 49549.324),(3 58726.05),(4 61978.73),(5 62593.21),(6 63072.504),(7 64046.363),(8 65652.06),(9 68332.95),(10 70805.12),(11 73701.484),(12 76654.67),(13 79059.1),(14 81233.164),(15 84165.79),(16 85903.74),(17 86272.086),(18 86754.664),(19 88293.66),(20 89703.44),(21 91328.54),(22 92832.62),(23 93722.27),(24 94491.555),(25 95310.9),(26 97403.805),(27 98354.62),(28 97599.39),(29 97283.67),(30 96686.94),(31 95750.9),(32 94757.76),(33 94759.6),(34 95668.45),(35 95907.73),(36 95237.66),(37 92990.37),(38 90976.35),(39 90453.31),(40 92083.484),(41 92806.71),(42 90779.875),(43 88626.24),(44 87461.47),(45 87098.695),(46 86804.67),(47 85907.97),(48 84600.58),(49 84268.484),(50 82842.09),(51 81119.94),(52 81080.18),(53 80694.01),(54 79577.55),(55 77781.484),(56 75740.805),(57 75711.586),(58 77171.39),(59 78261.4),(60 76496.9),(61 75080.46),(62 74244.03),(63 75016.945),(64 75014.67),(65 74906.14),(66 73002.9),(67 72890.055),(68 74226.53),(69 74277.75),(70 74183.96),(71 73764.72),(72 73194.62),(73 74211.484),(74 74382.94),(75 74887.59),(76 75158.375),(77 74673.38),(78 75510.43),(79 76095.74),
(1 23225.748),(2 49179.477),(3 58444.613),(4 61607.426),(5 61783.504),(6 61877.32),(7 63042.945),(8 66009),(9 68442.56),(10 69276.15),(11 73066.125),(12 77430.01),(13 79251.484),(14 79445.76),(15 79930.586),(16 81981.07),(17 84567.14),(18 86817.24),(19 89263.54),(20 90289.21),(21 91391.8),(22 93729.19),(23 95926.07),(24 95191.79),(25 95104.305),(26 96963.28),(27 97155.46),(28 95963.33),(29 94990.07),(30 95038.53),(31 95336.54),(32 96462.59),(33 96409.8),(34 97354.8),(35 97542.44),(36 96950.23),(37 94419.57),(38 92858.29),(39 93455.445),(40 94320.33),(41 93331.445),(42 91055.875),(43 88903.47),(44 87607.69),(45 86648.37),(46 86426.29),(47 87509.336),(48 87511.695),(49 85677.55),(50 83145.414),(51 81842.89),(52 81952.08),(53 80242.695),(54 78898.1),(55 77032.63),(56 74769.34),(57 73671.09),(58 74985.07),(59 76125.59),(60 75906.35),(61 74305.125),(62 73089.914),(63 72024.56),(64 71619.77),(65 71207.15),(66 70717.27),(67 72529.125),(68 72890.055),(69 71900.81),(70 72326.47),(71 71895.83),(72 70761.61),(73 70015.54),(74 70057.35),(75 71444.35),(76 73123.484),(77 73029.87),(78 73467.4),(79 74545.59),
(1 22274.85),(2 47446.883),(3 58608.887),(4 62699.906),(5 63642.414),(6 63835.65),(7 64796.78),(8 66397.8),(9 68142.12),(10 69602.766),(11 70879.85),(12 72598.46),(13 73062.74),(14 74840.65),(15 76269.47),(16 78024.16),(17 79891.58),(18 81571.54),(19 83530.46),(20 84907.24),(21 85662.93),(22 86346.49),(23 87967.766),(24 88721.07),(25 88407.58),(26 89050.15),(27 89399.85),(28 88148.81),(29 88618.3),(30 88941.7),(31 87869.086),(32 88556.45),(33 87423.03),(34 87890.125),(35 89049.45),(36 88083.72),(37 86599.5),(38 85494.086),(39 85772.27),(40 85131.34),(41 84972.5),(42 83320.766),(43 81473.02),(44 81190.07),(45 80879.086),(46 81183.33),(47 81795.57),(48 80965.125),(49 80776.65),(50 80849.62),(51 80171.3),(52 78643.805),(53 76651.19),(54 75177.836),(55 74911.78),(56 73701.836),(57 72730.77),(58 74125.51),(59 74613.85),(60 73177.914),(61 73393.48),(62 72307.05),(63 70174.05),(64 71137.61),(65 71282.03),(66 71358.94),(67 70894.15),(68 70941.87),(69 71235.07),(70 71407.35),(71 70571.72),(72 69703.44),(73 70669.42),(74 73381.27),(75 74676.41),(76 74893.914),(77 74780.01),(78 75452.56),(79 76064.76),
(1 21408.512),(2 44646.676),(3 54155.492),(4 56486.047),(5 55660.832),(6 57377.035),(7 58862.98),(8 60154.824),(9 62092.39),(10 64588.523),(11 66054.91),(12 67621.38),(13 68886.38),(14 72421.42),(15 74510.484),(16 75234.57),(17 76389.97),(18 77723.2),(19 79982.14),(20 83011.484),(21 83952.02),(22 84873.32),(23 85027.195),(24 86059.27),(25 86400.55),(26 86581.336),(27 87522.8),(28 89194.83),(29 90092.15),(30 90045.37),(31 88777.89),(32 86777.83),(33 84798.234),(34 85433.4),(35 86561.81),(36 86666.52),(37 84852.6),(38 84325.484),(39 84575.44),(40 84309.45),(41 82881.74),(42 82005.695),(43 82105.86),(44 82093.5),(45 80123.41),(46 78657.34),(47 77126.04),(48 76675.664),(49 77487.15),(50 76796.945),(51 74604.1),(52 73217.734),(53 72126.8),(54 71319.305),(55 71585.27),(56 71729.44),(57 70327.68),(58 69853.695),(59 69257.26),(60 68621.336),(61 67952.65),(62 66862.49),(63 66406.4),(64 65524.08),(65 64937.535),(66 65473.152),(67 65911.55),(68 66000.41),(69 64964.598),(70 65951.71),(71 66813.43),(72 65854.54),(73 65924.53),(74 67061.98),(75 67874.695),(76 67763.02),(77 68039.75),(78 68544.984),(79 68094.36),
