1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 335.82364),(2 529.78186),(3 659.39325),(4 757.854),(5 822.832),(6 887.4953),(7 921.25726),(8 943.83234),(9 965.6272),(10 992.5179),(11 1012.21234),(12 1025.9913),(13 1038.8074),(14 1043.5496),(15 1059.1199),(16 1068.2808),(17 1069.2228),(18 1090.5582),(19 1103.2247),(20 1117.6667),(21 1131.9669),(22 1139.176),(23 1138.8898),(24 1135.4954),(25 1142.2178),(26 1151.0338),(27 1158.3119),(28 1163.8547),(29 1165.7579),(30 1184.5945),(31 1183.2657),(32 1187.0802),(33 1187.8378),(34 1193.3928),(35 1198.9812),(36 1206.4728),(37 1209.7297),(38 1212.4436),(39 1221.7133),(40 1221.6263),(41 1231.8265),(42 1241.4003),(43 1238.914),(44 1241.4141),(45 1244.995),(46 1247.2445),(47 1253.675),(48 1252.1156),(49 1246.6364),(50 1245.2526),(51 1263.7201),(52 1257.1776),(53 1260.6915),(54 1266.4288),(55 1274.1278),(56 1277.7087),(57 1282.7737),(58 1285.3756),(59 1290.6519),(60 1285.3763),(61 1290.8721),(62 1286.8171),(63 1284.1909),(64 1272.765),(65 1275.6477),(66 1286.1232),(67 1289.6965),(68 1294.6426),(69 1298.2821),(70 1296.0797),(71 1297.601),(72 1288.1584),(73 1283.0509),(74 1273.503),(75 1279.6218),(76 1271.642),(77 1271.4076),(78 1273.8636),(79 1277.9032),
(1 323.27466),(2 508.26138),(3 631.5993),(4 717.5477),(5 780.0743),(6 852.6925),(7 893.25977),(8 920.25073),(9 948.82825),(10 975.6839),(11 996.175),(12 1003.399),(13 1006.23804),(14 1014.45154),(15 1022.85474),(16 1028.1187),(17 1042.6417),(18 1058.3754),(19 1068.8594),(20 1071.5995),(21 1079.6006),(22 1089.3462),(23 1091.5109),(24 1103.2766),(25 1101.9281),(26 1110.666),(27 1117.6133),(28 1129.9543),(29 1139.6744),(30 1157.9867),(31 1153.6753),(32 1162.3484),(33 1167.3807),(34 1172.4395),(35 1178.3207),(36 1179.8926),(37 1192.1538),(38 1207.9971),(39 1210.9525),(40 1217.3075),(41 1230.2023),(42 1236.8451),(43 1236.7183),(44 1227.5419),(45 1230.0593),(46 1219.8019),(47 1225.8363),(48 1237.7057),(49 1234.8491),(50 1238.5946),(51 1229.9956),(52 1223.7887),(53 1219.6605),(54 1225.3037),(55 1221.9017),(56 1226.0789),(57 1226.8127),(58 1227.3787),(59 1219.3666),(60 1210.2552),(61 1212.9038),(62 1210.7822),(63 1214.606),(64 1209.8146),(65 1214.1434),(66 1221.8075),(67 1227.3381),(68 1232.7328),(69 1235.688),(70 1244.8464),(71 1250.3325),(72 1248.6655),(73 1242.2574),(74 1237.2449),(75 1241.1259),(76 1234.8722),(77 1231.8137),(78 1236.8857),(79 1232.4995),
(1 323.41302),(2 511.54602),(3 635.1833),(4 717.4633),(5 777.0701),(6 842.4967),(7 871.4771),(8 894.8828),(9 918.2425),(10 947.388),(11 960.3759),(12 971.25793),(13 968.67236),(14 981.6828),(15 988.24567),(16 993.475),(17 1012.0698),(18 1044.7246),(19 1056.022),(20 1059.8876),(21 1069.9697),(22 1089.3201),(23 1084.0084),(24 1088.7852),(25 1086.4209),(26 1088.8009),(27 1090.1145),(28 1092.9727),(29 1098.4536),(30 1121.1199),(31 1118.5701),(32 1123.4994),(33 1139.8032),(34 1144.128),(35 1144.7157),(36 1147.1364),(37 1146.1111),(38 1146.0677),(39 1143.018),(40 1137.2156),(41 1144.0049),(42 1153.9408),(43 1158.0548),(44 1159.1914),(45 1152.9375),(46 1158.172),(47 1158.199),(48 1163.6459),(49 1166.1393),(50 1176.5244),(51 1185.6942),(52 1188.0117),(53 1191.357),(54 1194.4777),(55 1191.7606),(56 1188.7358),(57 1181.5436),(58 1183.2783),(59 1182.4391),(60 1182.2454),(61 1183.9489),(62 1187.7385),(63 1185.7649),(64 1186.518),(65 1177.8489),(66 1188.4443),(67 1186.9435),(68 1193.4513),(69 1197.855),(70 1202.7974),(71 1195.0986),(72 1200.8115),(73 1197.5784),(74 1181.5421),(75 1183.4008),(76 1182.3378),(77 1183.6458),(78 1185.3627),(79 1181.1056),
(1 307.68066),(2 487.1271),(3 608.39856),(4 688.2724),(5 739.33105),(6 797.73486),(7 831.963),(8 871.1977),(9 892.04205),(10 908.52),(11 921.9121),(12 933.19794),(13 942.453),(14 951.1323),(15 952.45496),(16 958.5951),(17 963.8502),(18 985.5381),(19 996.72766),(20 999.81177),(21 1015.19604),(22 1030.4155),(23 1039.9491),(24 1041.2404),(25 1036.2878),(26 1042.0587),(27 1054.6147),(28 1062.4996),(29 1065.1179),(30 1085.9784),(31 1087.7485),(32 1096.5634),(33 1102.9109),(34 1117.8885),(35 1121.5155),(36 1128.3055),(37 1138.4396),(38 1143.7003),(39 1148.5609),(40 1136.3693),(41 1142.8864),(42 1149.8789),(43 1149.4874),(44 1146.6361),(45 1145.5704),(46 1153.536),(47 1146.9519),(48 1141.7717),(49 1156.1409),(50 1166.9033),(51 1174.4597),(52 1167.7435),(53 1167.6334),(54 1166.7344),(55 1163.6632),(56 1167.8518),(57 1171.8951),(58 1168.8447),(59 1162.5894),(60 1157.2539),(61 1154.1086),(62 1157.6317),(63 1163.5712),(64 1154.9565),(65 1151.5421),(66 1159.3975),(67 1159.7639),(68 1161.5468),(69 1153.1226),(70 1139.7065),(71 1137.0696),(72 1140.6056),(73 1129.6924),(74 1128.6259),(75 1127.9237),(76 1135.1113),(77 1132.8445),(78 1132.7728),(79 1136.456),
(1 306.80954),(2 486.61346),(3 608.14294),(4 680.9528),(5 738.4695),(6 795.2193),(7 828.9051),(8 862.2207),(9 881.9309),(10 903.7958),(11 925.27325),(12 934.92194),(13 945.39624),(14 949.9746),(15 953.0255),(16 951.45953),(17 951.6114),(18 963.8886),(19 961.17456),(20 963.173),(21 974.3326),(22 982.0636),(23 992.96936),(24 996.478),(25 999.70184),(26 1008.5408),(27 1010.24585),(28 1019.2922),(29 1014.73315),(30 1043.9),(31 1038.0801),(32 1042.867),(33 1048.2605),(34 1042.6046),(35 1043.9999),(36 1049.3573),(37 1051.0068),(38 1048.5796),(39 1054.6409),(40 1060.3429),(41 1072.0654),(42 1088.9452),(43 1105.4995),(44 1113.5143),(45 1123.2651),(46 1122.8821),(47 1119.5928),(48 1124.8053),(49 1122.9451),(50 1126.14),(51 1132.9755),(52 1124.522),(53 1124.2014),(54 1128.4657),(55 1133.4641),(56 1139.5856),(57 1141.7203),(58 1138.5496),(59 1134.2773),(60 1136.6266),(61 1133.5847),(62 1126.3586),(63 1135.7236),(64 1127.7522),(65 1127.8646),(66 1129.9822),(67 1127.108),(68 1120.9373),(69 1116.0829),(70 1116.3302),(71 1117.3646),(72 1113.2643),(73 1115.176),(74 1125.5038),(75 1132.9116),(76 1135.5579),(77 1130.8168),(78 1130.9054),(79 1128.7511),
(1 302.79575),(2 472.30164),(3 579.63965),(4 654.9912),(5 711.9583),(6 769.98267),(7 797.8359),(8 827.68176),(9 850.1013),(10 870.5875),(11 886.59454),(12 900.99554),(13 908.02625),(14 914.8603),(15 925.5615),(16 937.9432),(17 939.2245),(18 954.7643),(19 961.17554),(20 968.11475),(21 965.7448),(22 976.91766),(23 987.34),(24 997.648),(25 1007.6064),(26 1008.614),(27 1005.5413),(28 1006.54315),(29 1007.6029),(30 1032.8285),(31 1028.724),(32 1025.0242),(33 1023.4247),(34 1035.8795),(35 1041.7076),(36 1045.0254),(37 1048.6477),(38 1061.4093),(39 1059.8275),(40 1060.726),(41 1053.8253),(42 1059.0114),(43 1061.9707),(44 1073.252),(45 1084.4575),(46 1102.7598),(47 1115.9939),(48 1118.2008),(49 1115.5282),(50 1124.8168),(51 1129.3265),(52 1126.928),(53 1129.3066),(54 1131.2133),(55 1127.3345),(56 1129.6979),(57 1126.7919),(58 1122.3556),(59 1114.4879),(60 1116.4526),(61 1112.1521),(62 1113.4445),(63 1115.2745),(64 1118.5645),(65 1112.517),(66 1127.0414),(67 1130.1255),(68 1133.3453),(69 1125.7239),(70 1126.304),(71 1138.5658),(72 1135.785),(73 1134.0227),(74 1124.9591),(75 1121.027),(76 1117.3551),(77 1117.341),(78 1121.0615),(79 1119.1001),
(1 289.65152),(2 452.22372),(3 569.0009),(4 643.7793),(5 710.39),(6 767.6857),(7 804.76807),(8 827.5041),(9 846.5239),(10 862.1913),(11 878.82056),(12 895.5462),(13 906.6469),(14 909.69806),(15 915.9505),(16 924.2652),(17 925.5495),(18 938.48047),(19 940.33936),(20 945.7295),(21 946.8115),(22 952.4528),(23 954.98413),(24 954.76495),(25 961.24945),(26 964.9521),(27 974.5228),(28 983.05383),(29 986.22723),(30 1005.56),(31 1009.1996),(32 1018.83844),(33 1026.5276),(34 1033.4581),(35 1033.0724),(36 1032.7485),(37 1035.0507),(38 1038.1722),(39 1042.8802),(40 1043.0875),(41 1030.1658),(42 1036.4924),(43 1041.5615),(44 1039.6808),(45 1050.69),(46 1047.5106),(47 1057.1416),(48 1047.3462),(49 1049.2526),(50 1054.2664),(51 1060.6101),(52 1065.8682),(53 1071.9055),(54 1076.6495),(55 1078.7236),(56 1079.9514),(57 1083.415),(58 1076.929),(59 1077.7982),(60 1077.6661),(61 1066.3167),(62 1072.8396),(63 1073.7703),(64 1067.138),(65 1067.8049),(66 1083.935),(67 1098.6862),(68 1096.3256),(69 1095.9706),(70 1094.8446),(71 1099.0149),(72 1098.7782),(73 1090.4519),(74 1084.769),(75 1077.3285),(76 1075.3035),(77 1066.271),(78 1069.7507),(79 1065.2976),
(1 285.86636),(2 442.65186),(3 555.8839),(4 622.23254),(5 671.95703),(6 731.0457),(7 763.0609),(8 792.55975),(9 806.6863),(10 823.8025),(11 841.16235),(12 854.5495),(13 857.4513),(14 869.87305),(15 878.299),(16 875.6793),(17 880.2345),(18 896.7884),(19 910.43317),(20 915.12854),(21 918.12915),(22 922.44543),(23 926.22034),(24 937.0124),(25 936.247),(26 942.11584),(27 948.9819),(28 950.6278),(29 968.48785),(30 992.43256),(31 995.5565),(32 1004.5215),(33 998.31744),(34 1002.81805),(35 1003.3965),(36 1004.2932),(37 1013.6767),(38 1012.1093),(39 1014.5484),(40 1012.275),(41 1019.21436),(42 1025.4365),(43 1028.7899),(44 1041.8788),(45 1048.7726),(46 1049.4767),(47 1043.2551),(48 1042.0791),(49 1038.356),(50 1040.6776),(51 1043.8872),(52 1041.8237),(53 1040.2739),(54 1039.903),(55 1048.1046),(56 1051.3024),(57 1052.657),(58 1054.0945),(59 1042.6539),(60 1042.729),(61 1048.9054),(62 1056.6615),(63 1063.8678),(64 1061.0127),(65 1059.4557),(66 1064.567),(67 1064.5275),(68 1068.8224),(69 1080.6422),(70 1081.2455),(71 1083.5936),(72 1081.3582),(73 1078.445),(74 1077.5706),(75 1087.0176),(76 1085.4252),(77 1069.0099),(78 1075.1729),(79 1066.6569),
(1 285.98837),(2 435.96658),(3 543.86884),(4 612.4949),(5 659.8897),(6 709.5657),(7 737.0743),(8 762.636),(9 785.2084),(10 801.95056),(11 804.3168),(12 815.02576),(13 823.76917),(14 834.4244),(15 849.5762),(16 854.1525),(17 863.425),(18 890.74097),(19 894.7227),(20 903.59924),(21 908.8145),(22 917.1768),(23 927.04614),(24 935.4028),(25 940.42993),(26 954.8074),(27 956.89355),(28 961.5712),(29 971.2714),(30 981.3051),(31 987.19434),(32 985.0889),(33 986.86743),(34 987.02405),(35 987.2371),(36 984.54456),(37 986.0474),(38 989.75006),(39 995.4082),(40 1000.2256),(41 996.36127),(42 1001.25494),(43 1007.8094),(44 1015.09204),(45 1020.37396),(46 1022.8924),(47 1022.9734),(48 1025.3468),(49 1030.1362),(50 1035.299),(51 1036.3163),(52 1042.2177),(53 1032.53),(54 1031.9579),(55 1031.5697),(56 1035.2278),(57 1036.5057),(58 1039.5829),(59 1034.6447),(60 1041.2277),(61 1043.7059),(62 1032.3018),(63 1033.2424),(64 1022.7642),(65 1021.1633),(66 1035.6658),(67 1038.3876),(68 1042.619),(69 1046.3971),(70 1054.045),(71 1057.0028),(72 1056.2296),(73 1051.2665),(74 1047.4902),(75 1051.0406),(76 1040.4626),(77 1040.7522),(78 1042.3936),(79 1037.1272),
(1 276.09177),(2 424.023),(3 526.65924),(4 594.96277),(5 644.74603),(6 704.6684),(7 727.7096),(8 744.82135),(9 757.4054),(10 779.4062),(11 790.71106),(12 799.3318),(13 801.7968),(14 801.8311),(15 814.1421),(16 822.0085),(17 831.4226),(18 849.81165),(19 860.38446),(20 866.71674),(21 879.5947),(22 883.38403),(23 885.10944),(24 884.9026),(25 885.70667),(26 900.3008),(27 906.49963),(28 902.706),(29 906.1706),(30 922.1869),(31 918.5468),(32 922.6099),(33 933.1371),(34 940.11993),(35 943.9718),(36 952.0256),(37 952.8776),(38 964.12195),(39 970.26227),(40 976.1466),(41 969.6353),(42 972.21204),(43 983.3174),(44 981.8703),(45 981.6699),(46 984.4171),(47 989.6542),(48 987.4151),(49 990.0181),(50 998.28564),(51 1005.3744),(52 1001.6764),(53 1000.0471),(54 1007.70184),(55 1004.8461),(56 992.9431),(57 991.1353),(58 986.934),(59 987.4006),(60 983.8961),(61 986.29913),(62 975.33777),(63 980.7778),(64 971.3069),(65 973.15967),(66 977.78973),(67 975.9137),(68 985.5464),(69 986.4792),(70 979.389),(71 981.477),(72 981.9071),(73 979.736),(74 973.6952),(75 970.7988),(76 971.0198),(77 970.0459),(78 968.9688),(79 972.79913),
(1 265.09625),(2 409.80304),(3 518.4601),(4 585.28064),(5 640.2434),(6 694.9515),(7 724.8014),(8 751.8428),(9 770.0909),(10 785.044),(11 795.43604),(12 803.87775),(13 803.9453),(14 813.66504),(15 820.73126),(16 830.6467),(17 837.97455),(18 849.5357),(19 857.0743),(20 865.1946),(21 868.09656),(22 875.31714),(23 878.788),(24 876.4523),(25 876.65735),(26 885.1029),(27 903.1799),(28 909.4629),(29 916.6935),(30 923.88416),(31 920.7408),(32 924.42896),(33 921.2964),(34 921.36774),(35 921.82446),(36 926.7534),(37 927.9244),(38 934.1732),(39 932.41034),(40 940.2672),(41 939.251),(42 940.3591),(43 935.4695),(44 933.83136),(45 930.4518),(46 932.44214),(47 933.5292),(48 928.92126),(49 938.3653),(50 940.99866),(51 944.002),(52 944.6983),(53 943.84784),(54 961.26764),(55 959.9078),(56 958.7487),(57 947.94275),(58 941.31433),(59 937.10175),(60 929.04395),(61 925.357),(62 920.4761),(63 928.74347),(64 926.2843),(65 928.7296),(66 932.67194),(67 927.3672),(68 930.69446),(69 938.89264),(70 940.04114),(71 947.12573),(72 958.11005),(73 956.2259),(74 954.12836),(75 958.9009),(76 958.6278),(77 956.0331),(78 966.92914),(79 967.3993),
(1 263.4283),(2 406.9584),(3 502.6741),(4 571.9775),(5 616.73175),(6 673.3023),(7 704.57196),(8 727.6149),(9 735.86414),(10 748.21625),(11 762.02856),(12 773.6185),(13 783.39276),(14 788.37164),(15 789.41504),(16 791.8953),(17 795.57324),(18 808.40106),(19 814.0229),(20 822.5761),(21 824.6812),(22 829.63354),(23 834.9232),(24 832.4228),(25 841.1445),(26 847.0147),(27 850.3175),(28 851.1378),(29 861.3312),(30 886.0889),(31 888.43536),(32 896.949),(33 891.31537),(34 907.555),(35 910.10297),(36 919.99835),(37 923.28815),(38 927.49664),(39 926.1663),(40 929.195),(41 930.99054),(42 947.40875),(43 953.0113),(44 950.07074),(45 953.33856),(46 953.9716),(47 950.3808),(48 941.64874),(49 941.9224),(50 946.1432),(51 947.113),(52 939.0505),(53 939.836),(54 949.88696),(55 944.6638),(56 941.49097),(57 939.0228),(58 937.7901),(59 942.71356),(60 940.9247),(61 942.3232),(62 940.9475),(63 940.31885),(64 946.53204),(65 947.8891),(66 949.5487),(67 954.3701),(68 947.9542),(69 954.1613),(70 956.6775),(71 957.7531),(72 955.8228),(73 950.79407),(74 957.3564),(75 964.3702),(76 959.3264),(77 953.70953),(78 956.88367),(79 950.83655),
(1 263.24533),(2 403.83444),(3 498.73712),(4 555.858),(5 599.4581),(6 653.7359),(7 680.705),(8 704.47235),(9 712.4495),(10 738.1007),(11 749.17224),(12 756.6308),(13 766.98083),(14 769.55334),(15 786.1591),(16 788.9675),(17 792.258),(18 801.0191),(19 799.52185),(20 802.4057),(21 798.9381),(22 801.5878),(23 800.2412),(24 806.17053),(25 805.1551),(26 810.4151),(27 811.1565),(28 811.3948),(29 816.3829),(30 824.8738),(31 831.84766),(32 829.6269),(33 837.69495),(34 843.52045),(35 847.66754),(36 845.95044),(37 844.79474),(38 843.4945),(39 842.7428),(40 846.80133),(41 851.3821),(42 862.55023),(43 872.94293),(44 885.7943),(45 895.38477),(46 900.4849),(47 898.6578),(48 898.9293),(49 902.2488),(50 908.05524),(51 914.04877),(52 908.9535),(53 910.3194),(54 912.53595),(55 912.71643),(56 913.44745),(57 911.9094),(58 908.2021),(59 914.42535),(60 914.5694),(61 916.8506),(62 919.6645),(63 925.0549),(64 924.0847),(65 918.84845),(66 925.2022),(67 920.8069),(68 919.58453),(69 915.62604),(70 916.8389),(71 921.93774),(72 916.51154),(73 915.3625),(74 917.5035),(75 918.29456),(76 912.95544),(77 909.2826),(78 920.35815),(79 923.99976),
(1 259.08707),(2 399.15305),(3 489.8887),(4 554.3496),(5 602.7833),(6 644.2153),(7 671.945),(8 688.0222),(9 703.03394),(10 719.70386),(11 730.1944),(12 743.35297),(13 742.3347),(14 747.18713),(15 761.5748),(16 763.1681),(17 764.6621),(18 772.656),(19 777.22394),(20 784.0093),(21 786.1157),(22 785.37177),(23 789.0225),(24 788.1607),(25 792.1093),(26 794.0076),(27 798.63855),(28 803.225),(29 807.0558),(30 818.16455),(31 818.9158),(32 824.0892),(33 837.63434),(34 847.2573),(35 852.49133),(36 860.44696),(37 862.1557),(38 867.3526),(39 866.6014),(40 862.6528),(41 863.3205),(42 871.7915),(43 878.43353),(44 879.93805),(45 873.93353),(46 876.70264),(47 874.2434),(48 871.61237),(49 872.7337),(50 873.4974),(51 881.2312),(52 883.8393),(53 884.3557),(54 893.9555),(55 891.1881),(56 887.02637),(57 894.0844),(58 887.246),(59 881.65186),(60 880.6362),(61 882.9915),(62 884.2623),(63 887.1576),(64 883.0938),(65 885.45807),(66 895.2301),(67 902.45667),(68 901.402),(69 900.7794),(70 899.02747),(71 895.15546),(72 895.9524),(73 900.0756),(74 900.64417),(75 908.2141),(76 899.99866),(77 896.8734),(78 896.26263),(79 897.6853),
(1 253.22809),(2 386.61453),(3 483.88297),(4 548.0565),(5 587.30444),(6 631.2401),(7 649.3763),(8 660.7325),(9 670.2885),(10 690.8891),(11 698.3893),(12 713.28204),(13 717.91235),(14 721.9065),(15 725.6639),(16 730.5438),(17 728.3866),(18 735.82904),(19 733.2312),(20 736.3022),(21 745.7728),(22 748.8369),(23 751.74347),(24 757.421),(25 765.132),(26 770.05597),(27 777.5199),(28 781.6608),(29 783.3211),(30 795.2914),(31 802.4974),(32 803.30994),(33 806.64026),(34 810.42737),(35 805.9182),(36 809.50073),(37 817.3656),(38 816.0589),(39 822.2191),(40 825.1085),(41 819.875),(42 823.22876),(43 835.4322),(44 834.1801),(45 832.0288),(46 825.10785),(47 824.6596),(48 821.7456),(49 827.3214),(50 827.13873),(51 834.7897),(52 832.8388),(53 834.3011),(54 841.15),(55 842.30896),(56 835.0303),(57 836.0109),(58 838.7291),(59 837.6147),(60 845.9102),(61 846.61884),(62 842.30707),(63 849.01776),(64 841.5727),(65 843.58057),(66 843.867),(67 846.61426),(68 844.6523),(69 844.4104),(70 845.1764),(71 850.5926),(72 852.8213),(73 846.3575),(74 844.2028),(75 848.6815),(76 846.9662),(77 848.40186),(78 843.46277),(79 845.93695),
(1 248.44781),(2 382.43933),(3 480.22192),(4 540.29865),(5 585.42786),(6 632.8617),(7 654.0853),(8 666.7977),(9 676.70166),(10 689.3799),(11 700.14624),(12 711.2779),(13 717.21356),(14 724.421),(15 724.4565),(16 731.51215),(17 734.4503),(18 743.79865),(19 744.89185),(20 741.7891),(21 746.31885),(22 747.9238),(23 751.64166),(24 758.91376),(25 760.59033),(26 770.15234),(27 773.8944),(28 785.3026),(29 780.5065),(30 790.9645),(31 797.13684),(32 802.0221),(33 806.2909),(34 809.44696),(35 806.89655),(36 803.6315),(37 807.5296),(38 810.56696),(39 810.36444),(40 811.80334),(41 820.23755),(42 826.1372),(43 833.5394),(44 831.6946),(45 839.7744),(46 837.5282),(47 842.6552),(48 834.4634),(49 829.2945),(50 831.75006),(51 832.534),(52 829.5447),(53 827.9272),(54 836.40106),(55 831.9232),(56 832.6781),(57 830.69604),(58 831.97876),(59 840.72516),(60 846.1969),(61 845.0772),(62 842.56213),(63 848.5203),(64 836.15564),(65 842.1304),(66 844.3789),(67 845.17865),(68 848.46185),(69 843.53296),(70 847.62286),(71 854.0224),(72 849.1663),(73 849.85504),(74 847.29553),(75 846.71405),(76 847.3607),(77 842.3569),(78 849.76855),(79 857.1056),
(1 242.68661),(2 368.6655),(3 452.64267),(4 507.89883),(5 550.4546),(6 590.95056),(7 612.131),(8 630.65393),(9 645.36896),(10 649.4565),(11 656.3941),(12 662.0006),(13 663.32446),(14 669.12354),(15 673.14355),(16 677.2872),(17 688.31525),(18 700.87524),(19 704.9019),(20 712.8083),(21 713.6151),(22 715.9389),(23 716.16315),(24 722.7706),(25 726.1699),(26 731.4229),(27 732.30664),(28 742.6549),(29 744.8826),(30 755.79254),(31 759.9534),(32 763.63293),(33 766.1304),(34 767.0277),(35 767.00415),(36 766.33466),(37 769.3185),(38 762.62616),(39 771.2262),(40 766.4431),(41 771.71735),(42 774.1357),(43 777.7308),(44 778.54333),(45 780.2071),(46 777.7703),(47 776.24634),(48 775.04126),(49 774.4629),(50 779.512),(51 786.8646),(52 791.5588),(53 795.9245),(54 806.4807),(55 807.4462),(56 803.00433),(57 809.7553),(58 803.50366),(59 808.96686),(60 810.1243),(61 811.4312),(62 812.516),(63 816.6482),(64 811.313),(65 810.7373),(66 815.21735),(67 817.8317),(68 820.56775),(69 813.5294),(70 813.5076),(71 815.534),(72 812.8921),(73 814.1078),(74 807.6091),(75 810.9187),(76 813.50446),(77 817.13513),(78 812.90326),(79 813.4843),
(1 241.68732),(2 365.0571),(3 441.6836),(4 502.74265),(5 542.75934),(6 596.8554),(7 619.598),(8 633.9905),(9 649.904),(10 657.1096),(11 666.00806),(12 675.6402),(13 680.98663),(14 687.27295),(15 693.75714),(16 699.23975),(17 700.26996),(18 708.59485),(19 707.89856),(20 720.7614),(21 726.7333),(22 727.5235),(23 735.5621),(24 740.6384),(25 734.22327),(26 739.84125),(27 741.7365),(28 748.2772),(29 748.8472),(30 760.2603),(31 764.40106),(32 768.954),(33 773.2095),(34 773.3602),(35 773.6143),(36 777.03516),(37 780.9695),(38 791.2657),(39 796.0909),(40 793.39966),(41 795.5116),(42 794.95483),(43 796.1308),(44 797.4189),(45 796.9796),(46 798.9083),(47 797.47723),(48 796.17194),(49 794.63904),(50 791.59436),(51 801.7203),(52 801.79),(53 801.6729),(54 801.9783),(55 800.7005),(56 798.1588),(57 801.83386),(58 800.625),(59 798.2611),(60 798.533),(61 808.3958),(62 806.3019),(63 809.6098),(64 807.35565),(65 805.179),(66 821.92584),(67 830.87836),(68 834.84436),(69 838.3295),(70 837.59186),(71 844.97687),(72 842.79254),(73 839.24536),(74 830.91187),(75 828.7877),(76 827.9412),(77 829.24994),(78 832.53284),(79 829.16766),
