1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 93100.71),(2 239491.88),(3 513159.6),(4 808813.94),(5 1196806.9),(6 1600223.9),(7 2077498),(8 2598139.8),(9 3087148),(10 3546308.3),(11 3908196.3),(12 4278253.5),(13 4586271.5),(14 4947950.5),(15 5330389),(16 5837382.5),(17 6401086.5),(18 7163907.5),(19 7903154),(20 8717941),(21 9624989),(22 10560451),(23 11686699),(24 12696507),(25 13763163),(26 14831751),(27 15963619),(28 16965888),(29 18094646),(30 19152902),(31 20404094),(32 21679380),(33 22882406),(34 24294370),(35 25770474),(36 27123034),(37 28588186),(38 29923352),(39 31141002),(40 32378766),(41 33694508),(42 34776144),(43 35776732),(44 36741284),(45 37631092),(46 38619620),(47 39605090),(48 40630870),(49 41471540),(50 42492660),(51 43567536),(52 44467420),(53 45436108),(54 46429444),(55 47362690),(56 48194252),(57 49124224),(58 49979772),(59 50993284),(60 52060324),(61 53215540),(62 54242736),(63 55580884),(64 56666884),(65 57786304),(66 58847708),(67 59745996),(68 60600948),(69 61624190),(70 62645580),(71 63612996),(72 64473170),(73 65297940),(74 66051810),(75 66685900),(76 67416700),(77 68168664),(78 69168376),(79 70004290),
(1 20861.922),(2 31973.793),(3 36624.027),(4 35468.59),(5 33109.156),(6 33065.316),(7 32242.555),(8 34845.38),(9 32453.172),(10 35209.14),(11 33997.2),(12 35055.79),(13 34632.15),(14 35771.49),(15 35806.594),(16 35991.727),(17 38381.547),(18 37977.367),(19 39297.047),(20 37441.83),(21 38605.258),(22 39524.965),(23 41319.4),(24 41717.98),(25 41329.566),(26 41758.53),(27 42121.08),(28 43926.406),(29 43845.363),(30 45487.094),(31 47151.547),(32 47063.633),(33 45903.895),(34 45707.063),(35 47004.49),(36 48166.08),(37 49761.58),(38 49813.605),(39 49442.117),(40 48637.527),(41 47886.74),(42 48842.004),(43 50614.49),(44 51912.633),(45 52238.06),(46 50905.06),(47 51228.09),(48 51565.3),(49 51344.55),(50 52078.79),(51 51117.76),(52 51456),(53 52077.68),(54 53535.133),(55 52910.816),(56 53835.8),(57 53451.77),(58 53130.844),(59 55053.957),(60 55001.883),(61 54638.4),(62 54193.957),(63 53338.15),(64 53753.563),(65 54531.664),(66 53660.305),(67 52727.293),(68 53527.36),(69 55284.19),(70 56129.27),(71 54692.016),(72 53558.88),(73 53227.926),(74 54780.883),(75 54940.805),(76 53771.137),(77 53508.527),(78 53215.723),(79 54286.973),
(1 22217.146),(2 32488.277),(3 37289.895),(4 35787.23),(5 33964.418),(6 34479.844),(7 33179.215),(8 35428.69),(9 32243.803),(10 35351.824),(11 33736.086),(12 37271.445),(13 36550.563),(14 37266.664),(15 36165.707),(16 36035.152),(17 38426.574),(18 37589.918),(19 39856.03),(20 37482.777),(21 39352.41),(22 40302.438),(23 40973.164),(24 41175.887),(25 41073.953),(26 42291.477),(27 43419.348),(28 45416.008),(29 45525.41),(30 46280.12),(31 45921.613),(32 46254.465),(33 45208.918),(34 45810.547),(35 47447.38),(36 49363.973),(37 50784.32),(38 49903.78),(39 49572.105),(40 49177.195),(41 49984.977),(42 51304.066),(43 51893.22),(44 51719.24),(45 52709.047),(46 53081.17),(47 55013.6),(48 54693.12),(49 54557.62),(50 55086.137),(51 54103.688),(52 55906.473),(53 55120.918),(54 56101.082),(55 56900.6),(56 57803.375),(57 58431.855),(58 59449.64),(59 59879.36),(60 60005.074),(61 59775.863),(62 59623),(63 59667.98),(64 59085.125),(65 60259.38),(66 60636.75),(67 60421.953),(68 61034.945),(69 61033.49),(70 61639.12),(71 60521.707),(72 60088.12),(73 59601.24),(74 59167.395),(75 59928.273),(76 60343.32),(77 59446.71),(78 59825.465),(79 59982.293),
(1 21535.521),(2 32163.371),(3 35634.73),(4 34089.086),(5 32980.49),(6 33279.31),(7 30945.367),(8 33023.902),(9 31383.865),(10 34551.23),(11 33718.527),(12 35898.92),(13 34583.836),(14 35510.516),(15 35442.754),(16 34767.043),(17 37058.945),(18 36311),(19 38353.266),(20 37002.77),(21 38340.973),(22 38360.746),(23 39129.74),(24 39782.863),(25 41243.42),(26 42016.7),(27 42093.223),(28 43436.594),(29 42972.402),(30 44409.12),(31 45969.1),(32 45692.31),(33 44001.633),(34 44734.125),(35 45786.09),(36 47895.996),(37 48279.77),(38 47977.3),(39 48451.41),(40 48165.656),(41 49224.945),(42 49141.574),(43 49635.406),(44 50295.523),(45 50593.164),(46 50538),(47 51701.566),(48 51632.734),(49 52688.44),(50 51644.3),(51 50421.66),(52 51570.7),(53 51719.934),(54 52750.55),(55 52993.3),(56 55029.75),(57 55750.074),(58 55385.445),(59 55554.69),(60 54892.64),(61 55068.406),(62 54930.67),(63 56416.43),(64 56498.754),(65 56311.3),(66 55483.496),(67 55051.445),(68 54844.508),(69 55306.793),(70 56583.035),(71 56161.816),(72 56021.13),(73 55991.73),(74 54971.73),(75 54109.008),(76 54111.383),(77 54715.57),(78 54980.57),(79 54471.008),
(1 20354.297),(2 29963.883),(3 33553.37),(4 32053.387),(5 30531.541),(6 30857.387),(7 29776.613),(8 31974.602),(9 30457.389),(10 33606.383),(11 31705.557),(12 33535.1),(13 32792.285),(14 33652.652),(15 34348.734),(16 34455.043),(17 35161.13),(18 35372.574),(19 37021.492),(20 35928.516),(21 38258.215),(22 38458.703),(23 38891.78),(24 38857.965),(25 39975.008),(26 41219.98),(27 42200.277),(28 43743.457),(29 44094.195),(30 44819.992),(31 45326.246),(32 45855.973),(33 45975.473),(34 46944.293),(35 46747.027),(36 47966.902),(37 48408.363),(38 47503.484),(39 48336.652),(40 49068.566),(41 49250.707),(42 48758.64),(43 49097.555),(44 50370.484),(45 51899.145),(46 50560.18),(47 50600.973),(48 50919.195),(49 51090.258),(50 51347.234),(51 50079.363),(52 51141.12),(53 51089.836),(54 51779.902),(55 51550.78),(56 52875.875),(57 54009.72),(58 54060.84),(59 54198.223),(60 53780.563),(61 54214.727),(62 54158.934),(63 54168.523),(64 53633.26),(65 53963.406),(66 53489.336),(67 53500.7),(68 53798.656),(69 53724.926),(70 53597.184),(71 53072.742),(72 53540.434),(73 53370.934),(74 53111.496),(75 52729.66),(76 51904.285),(77 51326.918),(78 51186.332),(79 51748.44),
(1 19517.55),(2 29293.14),(3 32070.03),(4 31056.732),(5 29651.26),(6 29528.88),(7 28825.438),(8 31252.129),(9 30108.486),(10 32581.363),(11 30742.984),(12 31973.568),(13 32281.586),(14 32816.254),(15 33073.664),(16 33560.563),(17 34713.34),(18 35025.066),(19 36671.7),(20 35214.684),(21 36713.84),(22 38131.39),(23 38549.824),(24 38591.19),(25 39541.496),(26 40584.125),(27 41377.8),(28 43248.402),(29 43993.98),(30 45350.152),(31 45571.52),(32 45093.156),(33 44873.547),(34 45837.555),(35 46597.758),(36 47453.09),(37 48072.246),(38 47843.84),(39 48522.324),(40 48085.203),(41 47089.797),(42 47793.836),(43 49041.258),(44 49379.625),(45 49154.24),(46 48227.695),(47 48251.43),(48 48141.156),(49 47640.973),(50 47343.617),(51 47330.848),(52 47857.293),(53 47790.527),(54 47518.336),(55 47502.13),(56 48618.69),(57 48859.105),(58 48827.156),(59 49388.17),(60 48716.137),(61 48641.305),(62 48889.625),(63 48769.074),(64 49564.258),(65 49230.37),(66 49286.19),(67 49522.29),(68 48889.617),(69 47592.96),(70 48140.47),(71 48895.8),(72 49246.203),(73 49363.06),(74 49605.355),(75 48670.098),(76 48063.715),(77 47524.152),(78 47732.594),(79 47892.51),
(1 19219.727),(2 29166.836),(3 32994.41),(4 31004.902),(5 28860.578),(6 28963.865),(7 29068.824),(8 31639.518),(9 30647.121),(10 32229.402),(11 30742.133),(12 32282.621),(13 31729.828),(14 33684.67),(15 34360.258),(16 34015.797),(17 35118.516),(18 34874.484),(19 35623.25),(20 34483.016),(21 36150.656),(22 37352.785),(23 38459),(24 38277.316),(25 38262.33),(26 39874.24),(27 41016.535),(28 42448.79),(29 43422.844),(30 45035.99),(31 44882.28),(32 43992.902),(33 44365.617),(34 45900.887),(35 45884.87),(36 46496.6),(37 47714.133),(38 46832.246),(39 46917.375),(40 47215.31),(41 47218.17),(42 48232.617),(43 48619.813),(44 48690.887),(45 48631.38),(46 48239.125),(47 48492.36),(48 47891.984),(49 47645.05),(50 47531.04),(51 47631.25),(52 48674.055),(53 48131.62),(54 49142.984),(55 49283.363),(56 49323.883),(57 50051.26),(58 49980.11),(59 50678.566),(60 50152.797),(61 50344.926),(62 50560.566),(63 50649.516),(64 50565.1),(65 50548.887),(66 49786.74),(67 50905.938),(68 50092.035),(69 50364.176),(70 50885.754),(71 50059.355),(72 50560.11),(73 51095.195),(74 51137.887),(75 50391.184),(76 49521.34),(77 49285.26),(78 49532.758),(79 49176.74),
(1 19174.266),(2 28659.615),(3 31705.254),(4 29906.316),(5 28280.074),(6 28690.24),(7 27972.95),(8 30139.008),(9 29111.242),(10 32083.553),(11 30485.809),(12 31393.227),(13 29938.05),(14 31426.936),(15 32433.504),(16 33199.977),(17 33259.92),(18 31940.943),(19 33808.254),(20 33518.734),(21 35626.664),(22 35617.79),(23 35876.855),(24 36366.246),(25 36787.44),(26 38592.863),(27 39437.9),(28 40697.574),(29 40542.164),(30 42146.82),(31 42566.914),(32 42529.203),(33 42681.03),(34 43370.723),(35 42887.105),(36 43884.29),(37 45008.734),(38 44159.656),(39 44626.234),(40 45350.164),(41 46048.918),(42 45624.266),(43 45748.48),(44 46182.254),(45 46630.918),(46 46578.695),(47 46531.93),(48 46149.742),(49 46596.85),(50 46910.35),(51 46337.336),(52 46210.066),(53 45936.05),(54 47008.77),(55 47151.953),(56 47855.508),(57 48080.637),(58 48054.953),(59 48493.504),(60 47666.633),(61 47198.926),(62 47108.957),(63 47621.715),(64 47717.633),(65 48404.566),(66 47936.97),(67 47323.844),(68 45475.227),(69 45154.047),(70 46534.777),(71 46164.34),(72 45605.92),(73 45526.52),(74 45790.51),(75 45688.03),(76 45384.508),(77 45195.004),(78 44997.2),(79 45162.164),
(1 19189.842),(2 28610.504),(3 31029.56),(4 28602.746),(5 27963.326),(6 28332.75),(7 27705.016),(8 29638.297),(9 28517.533),(10 30579.305),(11 29257.93),(12 30728.666),(13 29991.064),(14 30214.807),(15 30253.686),(16 31609.475),(17 32980.2),(18 32219.457),(19 33528.098),(20 32514.803),(21 34301.664),(22 34910.258),(23 35895.184),(24 36747.934),(25 37901.38),(26 39017.8),(27 39570.88),(28 40194.047),(29 40883.89),(30 41460.227),(31 42382.668),(32 42938.668),(33 43073.438),(34 43320.402),(35 43614.848),(36 44399.36),(37 44239.063),(38 43861.668),(39 44455.008),(40 45107.305),(41 45989.066),(42 46132.504),(43 45645.188),(44 46060.574),(45 46650.645),(46 46147.61),(47 46036.594),(48 45907.3),(49 46844.695),(50 45727.723),(51 45051.434),(52 43920.387),(53 44666.164),(54 46673.234),(55 45805.605),(56 45358.348),(57 45458.594),(58 45109.22),(59 45622.984),(60 45730.62),(61 46143.473),(62 46034.7),(63 45154.305),(64 44992.344),(65 45565.332),(66 45294.508),(67 44282.895),(68 43621.45),(69 44124.938),(70 44597.586),(71 43646.652),(72 42900.62),(73 43316.313),(74 43943.46),(75 43785.53),(76 43659.914),(77 43827.094),(78 43635.758),(79 42641.37),
(1 18865.814),(2 26873.785),(3 29295.945),(4 27941.715),(5 27202.475),(6 27779.682),(7 27280.074),(8 29910.252),(9 27770.336),(10 30334.377),(11 29427.902),(12 31250.414),(13 29844.748),(14 30577.758),(15 30406.162),(16 30944.64),(17 33185.242),(18 32245.105),(19 33760.3),(20 32132.729),(21 33754.11),(22 33943.586),(23 35130.727),(24 36421.52),(25 36819.63),(26 37974.395),(27 38057.684),(28 38973.805),(29 39042.273),(30 40109.49),(31 40658.31),(32 41293.61),(33 40707.79),(34 40276.668),(35 41304.563),(36 42000.816),(37 42884),(38 42450.625),(39 43688.965),(40 43592.336),(41 43639.02),(42 43777.32),(43 43914.703),(44 44203.297),(45 44151.25),(46 44425.742),(47 44826.63),(48 44731.02),(49 45277.53),(50 44716.926),(51 44657.797),(52 44868.33),(53 44361.133),(54 45894.977),(55 46271.01),(56 47379.773),(57 47642.05),(58 47255.285),(59 47611.656),(60 47348.363),(61 47179.28),(62 47064.875),(63 47318.074),(64 47537.098),(65 47676.6),(66 46579.45),(67 46034.33),(68 46328.793),(69 46852.344),(70 47210.188),(71 46741.133),(72 46256.816),(73 45808.41),(74 45977.23),(75 46326.402),(76 46321.71),(77 45222.906),(78 44409.66),(79 44420.64),
(1 17923.645),(2 27116.188),(3 30173.465),(4 28108.049),(5 26251.955),(6 27108.863),(7 27417.66),(8 28734.314),(9 27126.807),(10 29041.61),(11 28135.035),(12 29419.549),(13 29026.238),(14 28971.715),(15 29307.072),(16 29913.566),(17 31365.908),(18 31493.824),(19 32262.787),(20 31916.373),(21 32678.13),(22 32714.8),(23 34259.61),(24 34542.336),(25 34549.56),(26 35589.66),(27 36692.895),(28 37497.45),(29 37772.918),(30 37681.363),(31 37938.492),(32 38878.598),(33 39238.91),(34 39602.73),(35 40164.78),(36 40510.69),(37 41154.04),(38 41412.39),(39 41710.88),(40 42303.223),(41 41950.152),(42 42010.35),(43 42177.21),(44 41730.55),(45 42062.11),(46 41436.66),(47 41734.67),(48 41924.16),(49 42611.91),(50 42329.207),(51 41224.848),(52 40588.305),(53 40148.887),(54 41284.066),(55 41908.07),(56 42216.176),(57 41489.246),(58 41116.6),(59 41548.89),(60 41338.24),(61 41113.082),(62 41912.176),(63 41241.754),(64 40325.87),(65 40220.363),(66 40162.664),(67 39787.066),(68 39590.402),(69 39742.4),(70 39949.758),(71 40037.72),(72 39653.07),(73 39793.273),(74 39860.457),(75 39871.74),(76 40209.402),(77 40459.332),(78 40291.066),(79 39759.305),
(1 17921.58),(2 26121.676),(3 28705.922),(4 27069.578),(5 25546.303),(6 26466.549),(7 26038.717),(8 27687.666),(9 25914.992),(10 28370.209),(11 26925.1),(12 28451.31),(13 27796.701),(14 27621.445),(15 27413.125),(16 28984.342),(17 30545.732),(18 29949.018),(19 31664.797),(20 30156.17),(21 31324.414),(22 31509.195),(23 32614.813),(24 33046.246),(25 33191.055),(26 35413.395),(27 35533.617),(28 35953.668),(29 35260.324),(30 36269.832),(31 37354.047),(32 37621.84),(33 38012.043),(34 38426.15),(35 38685.684),(36 38756.29),(37 38900.977),(38 38881.254),(39 40514.926),(40 40775.867),(41 41339.117),(42 41413.902),(43 41058.13),(44 40598.805),(45 41243.78),(46 41188.707),(47 41037.473),(48 40921.324),(49 41382.66),(50 42057.324),(51 42253.285),(52 41924.1),(53 40973.465),(54 41694.426),(55 42213.652),(56 43030.18),(57 42757.93),(58 42666.89),(59 41880.766),(60 42014.766),(61 42432.082),(62 41845.203),(63 42132.145),(64 41356.082),(65 41961.902),(66 41497.617),(67 40206.805),(68 40026.906),(69 39721.348),(70 40980.156),(71 40972.027),(72 40152.656),(73 39605.473),(74 39519.543),(75 39662.215),(76 39596.152),(77 39597.832),(78 39933.906),(79 39441.297),
(1 17701.664),(2 25055.64),(3 27576.73),(4 25535.799),(5 25261.111),(6 26414.08),(7 25092.314),(8 26357.338),(9 25145.12),(10 27689.963),(11 25795.285),(12 27400.406),(13 27292.283),(14 28122.738),(15 27142.283),(16 28030.082),(17 29526.762),(18 29347.531),(19 30868.824),(20 29365.377),(21 30753.977),(22 31246.035),(23 32436.951),(24 32898.645),(25 33230.9),(26 34946.773),(27 35638.117),(28 36164.188),(29 35136.297),(30 35879.008),(31 37663.92),(32 37331.34),(33 37105.24),(34 37938.645),(35 38045.62),(36 37575.344),(37 37879.598),(38 38935.59),(39 39809.78),(40 40149.016),(41 39410.547),(42 39464.047),(43 39240.484),(44 38898.254),(45 40123.547),(46 40260.426),(47 40017.69),(48 39770.07),(49 41009.547),(50 41243.31),(51 40504.13),(52 40212.36),(53 39359.09),(54 40399.875),(55 41145.223),(56 41812.926),(57 41474.65),(58 42105.44),(59 41455.457),(60 41019.957),(61 40914.234),(62 41165.54),(63 41716.46),(64 41244.71),(65 40977.992),(66 40686.367),(67 40429.348),(68 39613.78),(69 39685.168),(70 40283.324),(71 40189.543),(72 40352.785),(73 40082.49),(74 39996.68),(75 40242.953),(76 40766.98),(77 40899.438),(78 40011.215),(79 39264.03),
(1 16437.924),(2 23369.162),(3 26677.44),(4 25374.162),(5 24766.139),(6 24990.473),(7 23866.176),(8 25679.797),(9 24570.232),(10 26846.934),(11 25091.666),(12 26469.564),(13 26837.81),(14 26870.215),(15 26985.191),(16 27608.14),(17 28930.523),(18 28292.51),(19 29614.594),(20 29278.209),(21 30030.986),(22 30433.732),(23 31319.002),(24 32193.514),(25 32463.537),(26 33579.527),(27 34033.797),(28 34752.043),(29 34448.547),(30 34721.03),(31 35152.31),(32 36055.15),(33 35939.42),(34 36229.145),(35 36152.73),(36 37202.492),(37 37135.277),(38 37090.78),(39 37733.83),(40 37633.254),(41 37398.52),(42 37609.555),(43 38415.12),(44 37745.344),(45 37960.555),(46 37632.664),(47 37758.445),(48 37514.496),(49 37647.574),(50 37370.17),(51 37064.813),(52 37484.445),(53 37692.746),(54 38293.574),(55 38681.027),(56 38984.316),(57 39436.07),(58 39182.03),(59 38103.34),(60 38107.555),(61 37932.65),(62 38445.88),(63 38590.33),(64 37949.34),(65 38145.75),(66 37890.824),(67 37710.945),(68 37502.715),(69 37184.742),(70 38074.402),(71 37997.926),(72 37703.934),(73 38161.24),(74 38082.03),(75 37948.977),(76 37961.563),(77 38014.418),(78 37285.6),(79 36967.207),
(1 17309.736),(2 25422.174),(3 27440.385),(4 26590.045),(5 26035.633),(6 26009.59),(7 24356.521),(8 26226.371),(9 25435.762),(10 27151.703),(11 25841.992),(12 26595.164),(13 26265.627),(14 27240.621),(15 27501.354),(16 28060.176),(17 29161.55),(18 27977.164),(19 29503.322),(20 29790.416),(21 30492.61),(22 30070.51),(23 31232.992),(24 31789.564),(25 32103.764),(26 33876.742),(27 34669.207),(28 35004.87),(29 35110.17),(30 35524.47),(31 35572.023),(32 36422.367),(33 36409.58),(34 36943.66),(35 37213.383),(36 37549.887),(37 37541.43),(38 37698.26),(39 38373.617),(40 37969.31),(41 38113.31),(42 37914.527),(43 37945.793),(44 37472.918),(45 38333.09),(46 38196.305),(47 37709.094),(48 37545.566),(49 38144.152),(50 37743.78),(51 36793.383),(52 37187.22),(53 37586.125),(54 38452.477),(55 38290.996),(56 37980.742),(57 37973.215),(58 37671.59),(59 38094.098),(60 38526.16),(61 37871.68),(62 37809.21),(63 38070.836),(64 37632.926),(65 37470.41),(66 37004.047),(67 37170.07),(68 37905.74),(69 36669.797),(70 36477.56),(71 36592.59),(72 36825.63),(73 37390.58),(74 37656.67),(75 37478.305),(76 36773.414),(77 37037.777),(78 37320.066),(79 36718.797),
(1 16561.563),(2 24121.463),(3 26118.387),(4 25023.35),(5 24061.156),(6 24248.87),(7 23726.596),(8 25612.682),(9 24149.291),(10 25719.336),(11 24533.408),(12 25894.545),(13 25338.7),(14 26152.11),(15 26462.06),(16 26584.533),(17 27187.41),(18 27210.797),(19 28998.945),(20 27459.209),(21 28624.813),(22 28917.22),(23 29218.533),(24 30052.086),(25 31503.645),(26 32963.13),(27 32382.678),(28 33208.285),(29 33320.457),(30 33790.57),(31 34468.676),(32 34578.438),(33 34767.895),(34 35523.234),(35 35297.008),(36 35820.703),(37 35702.85),(38 35421.23),(39 35948.68),(40 36175.883),(41 36140.414),(42 36317.926),(43 36292.598),(44 36568.72),(45 36415.207),(46 35879.7),(47 35726.504),(48 35530.777),(49 35883.67),(50 36075.66),(51 35638.875),(52 35225.76),(53 35275.918),(54 36948.863),(55 36856.63),(56 36919.33),(57 36249.23),(58 36370.535),(59 36621.066),(60 36102.113),(61 36214.7),(62 36409.703),(63 35987.445),(64 36205.605),(65 36622.242),(66 35709.727),(67 35187.914),(68 35477.348),(69 35231.277),(70 35904.402),(71 35717.734),(72 35289.72),(73 35141.492),(74 35237.23),(75 35214.496),(76 35458.223),(77 35437.152),(78 34591.7),(79 34307.2),
(1 16849.834),(2 23140.342),(3 25465.684),(4 24519.354),(5 24160.21),(6 24906.232),(7 23337.762),(8 25676.309),(9 24415.334),(10 26265.861),(11 24248.617),(12 26031.71),(13 25648.252),(14 26852.186),(15 26884.15),(16 27047.002),(17 27556.465),(18 26596.188),(19 28849.104),(20 27364.428),(21 29053.219),(22 29277.082),(23 30512.488),(24 30663.45),(25 31139.008),(26 32090.43),(27 31491.693),(28 32257.225),(29 32818.496),(30 33678.313),(31 33523.02),(32 33531.23),(33 33512.043),(34 34360.71),(35 34432.72),(36 34463.723),(37 35241.15),(38 35426.145),(39 35131.086),(40 35823.055),(41 36372.926),(42 35762.434),(43 36084.98),(44 36911.563),(45 37331.793),(46 37062.734),(47 37520.81),(48 37611.996),(49 37642.008),(50 38138.625),(51 37574.965),(52 38532.145),(53 37770.375),(54 38897.35),(55 39750.813),(56 39472.82),(57 39155.14),(58 39862.32),(59 39787.816),(60 39545.668),(61 40063.918),(62 40017.496),(63 40848.754),(64 40032.49),(65 40303.734),(66 40485.105),(67 40501.9),(68 39651.36),(69 39447.34),(70 39670.293),(71 39278.293),(72 39184.21),(73 39178.586),(74 38934.996),(75 38369.594),(76 38885.38),(77 38727.266),(78 38725.875),(79 38406.844),
(1 15539.948),(2 21593.553),(3 23691.678),(4 23072.73),(5 22874.084),(6 23159.115),(7 21846.32),(8 23113.049),(9 22454.576),(10 24500.516),(11 22939.691),(12 24456.238),(13 23368),(14 23980.563),(15 24807.89),(16 25628.27),(17 25863.26),(18 24833.926),(19 26243.127),(20 25491.086),(21 27338.842),(22 27491.143),(23 28145.28),(24 29054.842),(25 29165.643),(26 29822),(27 29618.334),(28 30714.066),(29 30415.47),(30 31488.258),(31 31512.662),(32 30743.053),(33 31264.852),(34 32350.848),(35 32618.965),(36 32971.457),(37 33175.402),(38 33331.38),(39 32882.2),(40 32512.986),(41 32980.477),(42 33782.266),(43 33829.79),(44 34103.82),(45 34683.973),(46 34234.133),(47 34138.582),(48 34647),(49 35003.77),(50 34484.184),(51 34224.766),(52 34442.188),(53 34501.055),(54 35247.254),(55 35607.21),(56 36085.324),(57 35656.473),(58 36564.797),(59 37178.715),(60 36059.383),(61 36546.32),(62 36509.867),(63 36877.227),(64 36724.523),(65 37145.227),(66 36824.832),(67 36607.613),(68 36393.39),(69 36712.266),(70 36679.117),(71 36573.832),(72 37010.758),(73 36590.273),(74 35964.426),(75 36313.08),(76 36413.645),(77 36411.63),(78 36112.22),(79 36542.758),
(1 15611.481),(2 22353.918),(3 24096.344),(4 22950.246),(5 22263.424),(6 22957.781),(7 22252.844),(8 23647.707),(9 22190.58),(10 24123.33),(11 22789.344),(12 23757.916),(13 23451.021),(14 24589.89),(15 25258.129),(16 25698.455),(17 26355.834),(18 25170.66),(19 27217.01),(20 26490.97),(21 27510.734),(22 27440.871),(23 28756.777),(24 29675.07),(25 29720.262),(26 29756.076),(27 29813.678),(28 30923.93),(29 31336.717),(30 31738.018),(31 31905.95),(32 31677.766),(33 31494.254),(34 31674.916),(35 32161.865),(36 32281.479),(37 32356.62),(38 32554.402),(39 33425.07),(40 33079.58),(41 32746.344),(42 33066.445),(43 33618.504),(44 34218.066),(45 34084.207),(46 34254.465),(47 34064.07),(48 33740.754),(49 33955.71),(50 34258.59),(51 33763.13),(52 34047.73),(53 33725.824),(54 34534.19),(55 35064.164),(56 35760.387),(57 35178.805),(58 35074.695),(59 34938.977),(60 35403.395),(61 36416.914),(62 35767.543),(63 35714.676),(64 35706.813),(65 35934.656),(66 35571.004),(67 34505.008),(68 34720.574),(69 35213.496),(70 35816.88),(71 35817.5),(72 35647.95),(73 34838.29),(74 34429.156),(75 34564.254),(76 35169.06),(77 35212.44),(78 35361.99),(79 34917.742),
