1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 27178.447),(2 77087.805),(3 155702.8),(4 240417.19),(5 335518.84),(6 433484.34),(7 533731.3),(8 629005.9),(9 748161.8),(10 832713.8),(11 926128.75),(12 1046341.5),(13 1199236.1),(14 1407718.6),(15 1627310.1),(16 1827517.4),(17 2061375.6),(18 2295268),(19 2538536.3),(20 2782503),(21 3004531.8),(22 3216964.3),(23 3434689),(24 3664390.8),(25 3846842.8),(26 4032916),(27 4220288),(28 4416044.5),(29 4593837.5),(30 4754585.5),(31 4929820),(32 5148570.5),(33 5363123),(34 5587149.5),(35 5777378.5),(36 5968406.5),(37 6165910),(38 6358331.5),(39 6550991.5),(40 6742276),(41 6924272),(42 7155160),(43 7364374),(44 7562155.5),(45 7717950.5),(46 7967916.5),(47 8189682),(48 8448540),(49 8663096),(50 8911252),(51 9131247),(52 9331139),(53 9503411),(54 9679625),(55 9789814),(56 9986567),(57 10160844),(58 10386096),(59 10573515),(60 10827394),(61 11068399),(62 11364775),(63 11612208),(64 11902265),(65 12198035),(66 12513912),(67 12801171),(68 13131456),(69 13421689),(70 13673780),(71 13888273),(72 14135208),(73 14321501),(74 14530021),(75 14776053),(76 15028429),(77 15256735),(78 15534968),(79 15789733),
(1 4838.265),(2 11167.797),(3 15611.435),(4 19349.719),(5 21934.996),(6 23682.566),(7 24953.637),(8 26127.096),(9 26595.105),(10 27549.09),(11 27749.94),(12 28587.781),(13 28952.14),(14 29662.408),(15 30223.723),(16 30516.441),(17 30459.195),(18 30665.326),(19 30194.793),(20 30342.31),(21 30724.54),(22 31621.18),(23 32510.33),(24 33059.867),(25 33575.12),(26 34218.29),(27 34790.004),(28 35255.305),(29 35480.133),(30 35669.29),(31 35336.62),(32 35074.61),(33 34827.74),(34 35097.81),(35 35157.84),(36 35205.75),(37 35160.547),(38 34956.49),(39 34735.105),(40 34898.844),(41 35308.195),(42 35845.016),(43 35867.844),(44 35568.797),(45 35194.12),(46 35440.04),(47 35172.254),(48 34717.07),(49 34133.14),(50 33476.69),(51 32767.625),(52 32065.11),(53 31862.7),(54 31573.297),(55 31144.488),(56 30914.086),(57 30674.096),(58 31119.045),(59 31565.344),(60 31887.885),(61 32038.14),(62 32584.143),(63 32644.156),(64 32882.977),(65 33024.516),(66 33094.56),(67 32885.82),(68 32700.729),(69 32569.703),(70 32783.867),(71 32484.266),(72 32429.508),(73 32443.559),(74 32233.19),(75 32543.54),(76 32746.727),(77 32748.59),(78 32569.408),(79 31927.76),
(1 4671.5806),(2 10907.07),(3 15502.184),(4 18464.219),(5 20478.137),(6 22011.61),(7 23215.752),(8 24130.068),(9 24666.338),(10 25709.863),(11 25865.502),(12 26532.678),(13 26554.232),(14 27006.395),(15 27641.717),(16 27989.344),(17 28260.254),(18 28547.248),(19 28572.783),(20 28910.5),(21 29298.664),(22 30266.428),(23 30826.484),(24 31499.186),(25 32123.379),(26 32896.645),(27 33316.28),(28 33764.258),(29 34124.91),(30 34203.48),(31 34146.266),(32 34255.13),(33 33964.727),(34 33848.28),(35 33643.246),(36 33420.18),(37 33202.586),(38 32713.633),(39 32612.76),(40 32951.94),(41 33243.547),(42 33491.234),(43 33167.402),(44 32817.9),(45 32370.895),(46 32741.01),(47 32361.291),(48 31942.871),(49 31357.05),(50 30808.193),(51 30732.8),(52 30422.736),(53 30163.666),(54 29945.047),(55 29833.479),(56 29538.744),(57 29651.842),(58 30342.834),(59 30585.6),(60 30586.127),(61 30556.113),(62 30992.244),(63 31213.44),(64 31441.371),(65 31434.5),(66 31518.105),(67 31074.342),(68 30759.283),(69 30574.492),(70 30814.994),(71 30296.703),(72 30239.662),(73 30147.635),(74 29691.203),(75 29600.643),(76 29404.29),(77 29145.375),(78 28817.256),(79 28478.896),
(1 4734.2207),(2 10962.319),(3 15248.672),(4 18246.27),(5 20694.553),(6 22611.592),(7 24013.11),(8 24914.639),(9 25476.44),(10 26192.855),(11 26434.855),(12 27269.713),(13 27427.676),(14 28040.547),(15 28704.82),(16 29324.926),(17 30000.357),(18 30438.29),(19 30116.57),(20 30369.58),(21 30797.855),(22 32081.314),(23 32661.748),(24 33322.113),(25 34209.668),(26 34992.418),(27 35679.22),(28 36147.758),(29 36624.58),(30 36931.652),(31 37023.06),(32 37205.34),(33 36894.934),(34 36892.42),(35 36447.92),(36 36174.645),(37 35889.12),(38 35477.223),(39 34844.207),(40 34674.695),(41 34578.266),(42 34592.234),(43 34280.03),(44 33956.188),(45 33562.977),(46 33382.88),(47 32841.355),(48 32214.404),(49 31391.896),(50 30834.41),(51 30633.957),(52 30370.393),(53 29899.975),(54 29286.398),(55 29015.746),(56 28850.543),(57 28706.666),(58 29105.896),(59 29223.443),(60 29509.377),(61 30107.445),(62 30491.47),(63 30378.2),(64 30516.666),(65 30797.281),(66 31109.885),(67 31158.83),(68 31152.246),(69 31243.252),(70 31575.842),(71 31478.934),(72 31296.502),(73 31004.316),(74 30535.26),(75 30557.355),(76 30586.225),(77 30204.563),(78 29767.623),(79 28905.248),
(1 4415.4893),(2 10445.282),(3 14962.006),(4 18062.25),(5 20323.818),(6 22089.129),(7 23344.459),(8 24485.674),(9 25111.115),(10 26058.527),(11 26431.252),(12 27069.418),(13 27547.912),(14 28320.965),(15 28887.332),(16 29407.867),(17 29679.494),(18 29560.71),(19 29068.852),(20 29113.205),(21 29667.424),(22 30947.4),(23 31608.484),(24 32631.72),(25 33521.598),(26 33981.234),(27 34243.855),(28 34509.293),(29 34501.75),(30 34625.7),(31 34494.617),(32 34463.234),(33 33892.977),(34 33625.395),(35 33304.65),(36 33051.164),(37 32508.34),(38 31859.945),(39 31293.178),(40 31151.756),(41 31161.705),(42 31344.924),(43 31399.967),(44 31406.535),(45 31061.486),(46 31283.354),(47 30712.596),(48 30179.34),(49 29563.863),(50 29534.729),(51 29572.44),(52 29228.535),(53 28683.291),(54 28432.117),(55 28777.201),(56 28814.049),(57 29108.506),(58 29656.668),(59 30043.033),(60 30262.19),(61 30286.309),(62 30636.748),(63 30722.494),(64 30989.229),(65 31094.29),(66 31056.363),(67 30824.816),(68 30291.234),(69 30041.242),(70 30551.258),(71 30156.59),(72 29975.373),(73 29859.086),(74 29574.191),(75 29555.678),(76 29365.143),(77 28987.61),(78 28650.486),(79 28002.176),
(1 4443.8403),(2 10493.49),(3 14722.877),(4 17966.727),(5 20702.102),(6 22519.744),(7 23403.918),(8 24187.33),(9 25110.19),(10 26163.275),(11 26414.922),(12 27054.297),(13 27299.85),(14 27524.93),(15 27762.256),(16 27923.457),(17 27859.584),(18 27555.314),(19 26823.305),(20 26824.395),(21 27076.055),(22 28112.984),(23 28871.361),(24 29484.2),(25 30042.64),(26 30420.664),(27 30661.59),(28 30682.734),(29 30804.564),(30 30769.893),(31 30527.963),(32 30420.81),(33 29633.072),(34 29383.195),(35 29213.438),(36 28572.09),(37 28018.477),(38 27561.67),(39 27467.008),(40 27453.361),(41 27331.111),(42 27740.38),(43 28193.787),(44 28407.854),(45 28636.232),(46 29482.068),(47 29987.586),(48 30297.582),(49 30079.838),(50 30343.936),(51 30508.791),(52 30532.992),(53 30729.744),(54 30765.846),(55 30908.28),(56 31074.346),(57 31328.957),(58 31846.914),(59 31832.67),(60 31171.598),(61 30625.521),(62 30649.283),(63 30555.273),(64 30290.023),(65 30164.076),(66 30328.375),(67 30259.12),(68 29959.283),(69 29521.791),(70 29595.379),(71 29173.227),(72 28889.414),(73 28544.219),(74 28209.686),(75 28352.932),(76 28553.527),(77 28318.592),(78 28141.896),(79 27865.281),
(1 4206.5713),(2 9928.227),(3 13799.131),(4 16795.666),(5 19200.586),(6 20592.799),(7 21735.541),(8 22816.225),(9 23534.871),(10 24434.54),(11 24289.783),(12 24542.2),(13 24364.514),(14 24702.686),(15 25475.082),(16 25829.066),(17 25826.791),(18 25657.895),(19 25150.385),(20 24858.354),(21 24761.453),(22 25582.82),(23 26007.092),(24 26507.371),(25 26969.17),(26 27461.8),(27 27580.377),(28 27515.068),(29 27420.803),(30 27456.367),(31 27120.39),(32 26908.09),(33 26440.963),(34 26601.59),(35 26545.375),(36 26344.916),(37 26100.5),(38 26030.225),(39 26100.094),(40 26309.953),(41 26503.537),(42 26731.717),(43 26573.184),(44 26702.316),(45 27103.861),(46 27994.291),(47 28002.424),(48 27894.47),(49 27762.13),(50 27891.46),(51 28186.361),(52 27800.756),(53 27637.602),(54 27538.725),(55 27478.94),(56 27405.56),(57 27502.605),(58 27516.49),(59 27609.2),(60 27260.924),(61 26986.86),(62 27149.672),(63 26866.945),(64 26827.293),(65 26910.068),(66 26662.375),(67 26244.04),(68 26035.37),(69 25948.76),(70 26139.707),(71 25882.43),(72 25691.81),(73 25743.14),(74 25657.406),(75 25625.51),(76 25816.775),(77 25854.418),(78 25928.605),(79 25807.283),
(1 4175.2515),(2 9710.038),(3 13667.005),(4 16607.957),(5 18833.045),(6 20368.836),(7 21256.13),(8 22133.752),(9 22768.727),(10 23424.805),(11 23555.994),(12 24000.322),(13 24162.025),(14 24646.705),(15 24936.775),(16 25339.877),(17 25237.086),(18 24984.367),(19 24464.805),(20 24664.594),(21 24502.62),(22 25166.432),(23 25770.521),(24 26376.178),(25 26728.291),(26 27152.695),(27 27481.46),(28 27564.31),(29 27719.025),(30 28015.904),(31 27888.438),(32 27925.12),(33 27536.068),(34 27753.553),(35 27662.479),(36 27751),(37 27719.344),(38 27495.244),(39 27247.787),(40 27075.334),(41 26926.459),(42 26966.92),(43 27021.482),(44 27226.81),(45 27466.459),(46 28000.758),(47 28164.334),(48 28279.865),(49 28126.25),(50 27973.912),(51 27592.838),(52 27427.992),(53 27342.123),(54 27040.76),(55 26710.318),(56 26128.416),(57 26203.594),(58 26397.148),(59 26110.805),(60 25708.156),(61 25690.463),(62 25715.627),(63 25541.264),(64 25628.096),(65 25683.11),(66 25778.443),(67 25331.031),(68 24815.834),(69 24443.19),(70 24808.611),(71 24808.14),(72 24711.365),(73 24773.143),(74 24710.719),(75 24599.406),(76 24553.76),(77 24590.432),(78 24699.314),(79 25174.162),
(1 4063.433),(2 9762.175),(3 13593.911),(4 16288.217),(5 18241.252),(6 19512.107),(7 20500.408),(8 21308.96),(9 22010.65),(10 23136.215),(11 23224.436),(12 23754.018),(13 23790.418),(14 23836.309),(15 23868.39),(16 23889.064),(17 23623.838),(18 23568.371),(19 23278.65),(20 23213.375),(21 23348.064),(22 24199.418),(23 24671.402),(24 25146.77),(25 25429.574),(26 25701.55),(27 25953.992),(28 25908.357),(29 25979.291),(30 26248.664),(31 26209.023),(32 26433.752),(33 26217.227),(34 26637.36),(35 26532.404),(36 26228.678),(37 26164.592),(38 25926.799),(39 25555.252),(40 25617.852),(41 25620.621),(42 25765.598),(43 25881.531),(44 25974.395),(45 26133.9),(46 26540.611),(47 26664.158),(48 26696.076),(49 26544.514),(50 26324.375),(51 26174.545),(52 26134.572),(53 26103.879),(54 25963.564),(55 25858.871),(56 25630.191),(57 25407.453),(58 25545.053),(59 25543.186),(60 25421.426),(61 25325.566),(62 25596.844),(63 25675.408),(64 25931.58),(65 26171.799),(66 26002.662),(67 25349.674),(68 24706.984),(69 24436.918),(70 24660.084),(71 24409.262),(72 24188.434),(73 24306.85),(74 24317.582),(75 24304.203),(76 24242.365),(77 24207.023),(78 23977.201),(79 23482.822),
(1 3952.0251),(2 9162.342),(3 12727.872),(4 15429.944),(5 17390.082),(6 18681.285),(7 19373.314),(8 20116.412),(9 20368.406),(10 20901.396),(11 21138.537),(12 21574.5),(13 21705.086),(14 22154.238),(15 22619.088),(16 22800.574),(17 22862.225),(18 22837.832),(19 22142.465),(20 21890.506),(21 21684.121),(22 22297.643),(23 23040.629),(24 23289.42),(25 23452.904),(26 23691.775),(27 23824.455),(28 24028.469),(29 24101.637),(30 24152.748),(31 24221.418),(32 24369.783),(33 24026.717),(34 24159.19),(35 24083.715),(36 23882.197),(37 23634.234),(38 23420.664),(39 23233.285),(40 23122.08),(41 22950.104),(42 23186.861),(43 23215.26),(44 23224.256),(45 23189.37),(46 24032.45),(47 24225.215),(48 24219.879),(49 24200.03),(50 24225.508),(51 24341.63),(52 24020.541),(53 23813.145),(54 23582.58),(55 23364.262),(56 23277.77),(57 23298.527),(58 23657.494),(59 23625.164),(60 23556.422),(61 23657.701),(62 23503.998),(63 23333.193),(64 23165.818),(65 23302.795),(66 23253.867),(67 22822.064),(68 22233.8),(69 21922.273),(70 21876.734),(71 21500.31),(72 21247.459),(73 21363.68),(74 21399.316),(75 21582.848),(76 21534.82),(77 21511.854),(78 21307.332),(79 21212.676),
(1 3770.1042),(2 8624.445),(3 11956.837),(4 14397.243),(5 16342.863),(6 17631.686),(7 18824.3),(8 19475.598),(9 19692.785),(10 20611.34),(11 20954.373),(12 21530.086),(13 21887.408),(14 21931.572),(15 21855.41),(16 22245.547),(17 22458.96),(18 22526.168),(19 21844.674),(20 21415.578),(21 20990.68),(22 21755.748),(23 21922.365),(24 22197.752),(25 22538.4),(26 22857.508),(27 23101.54),(28 23110.758),(29 23080.316),(30 23151.834),(31 23206.316),(32 23209.89),(33 22855.715),(34 22745.275),(35 22810.96),(36 22798.145),(37 22650.732),(38 22472.498),(39 22233.318),(40 22025.469),(41 22088.434),(42 22090.467),(43 21942.355),(44 22102.807),(45 22310.867),(46 22938.844),(47 22965.867),(48 22901.191),(49 22690.684),(50 22628.828),(51 22443.418),(52 22296.248),(53 22203.693),(54 22141.348),(55 22078.393),(56 21894.568),(57 21849.05),(58 22408.016),(59 22745.186),(60 22481.143),(61 22262.877),(62 22162.525),(63 21843.186),(64 21775.182),(65 21876.65),(66 22059.266),(67 21820.965),(68 21348.143),(69 20927.734),(70 20992.299),(71 20834.096),(72 20649.291),(73 20658.2),(74 20609.898),(75 20483.326),(76 20391.863),(77 20269.953),(78 20056.357),(79 19818.486),
(1 3610.903),(2 8283.744),(3 11168.094),(4 13241.308),(5 14769.106),(6 15740.485),(7 16478.398),(8 17283.07),(9 17820.176),(10 18562.385),(11 18869.68),(12 19193.455),(13 19032.639),(14 19219.188),(15 19472.9),(16 19570.654),(17 19685.932),(18 19579.879),(19 19148.518),(20 19080.684),(21 19126.943),(22 19445.236),(23 19916.973),(24 20686.553),(25 20894.477),(26 20794.283),(27 20682.855),(28 20727.305),(29 20830.041),(30 20740.537),(31 20693.574),(32 20963.674),(33 20802.16),(34 20972.447),(35 20885.123),(36 20661.584),(37 20631.672),(38 20599.559),(39 20324.82),(40 20236.746),(41 20297.074),(42 20225.578),(43 20093.656),(44 20209.412),(45 20314.355),(46 20825.15),(47 20700.922),(48 20686.97),(49 20457.092),(50 20369.316),(51 20402.793),(52 20356.676),(53 20448.785),(54 20266.885),(55 19894.717),(56 19711.584),(57 19833.855),(58 20257.62),(59 20191.893),(60 19813.846),(61 19663.008),(62 19787.441),(63 19839.125),(64 19969.7),(65 19916.797),(66 19901.123),(67 19485.05),(68 19211.965),(69 18957.496),(70 19073.482),(71 18824.342),(72 18860.824),(73 19054.094),(74 19058.771),(75 19050.512),(76 18952.813),(77 18942.934),(78 18962.496),(79 18910.22),
(1 3466.1323),(2 8053.08),(3 11115.613),(4 13140.729),(5 14664.541),(6 15667.717),(7 16727.266),(8 17585.7),(9 18041.43),(10 18929.188),(11 19183.334),(12 19738.174),(13 20050.334),(14 20451.531),(15 20600.91),(16 20652.494),(17 20660.941),(18 20639.768),(19 20302.195),(20 20371.203),(21 20490.639),(22 21544.508),(23 22381.453),(24 22787.846),(25 23122.719),(26 23245.871),(27 23416.607),(28 23379.133),(29 23304.992),(30 23345.453),(31 23431.441),(32 23665.95),(33 23166.191),(34 23055.805),(35 22748.303),(36 22436.771),(37 22027.654),(38 21737.002),(39 21442.023),(40 21272.965),(41 21149.791),(42 21173.572),(43 20990.89),(44 20864.658),(45 20765.283),(46 20843.834),(47 20719.87),(48 20441.871),(49 20269.33),(50 20400.387),(51 20651.67),(52 20743.023),(53 20875.68),(54 20989.965),(55 21056.094),(56 21148.506),(57 21262.787),(58 21780.559),(59 21903.19),(60 21698.164),(61 21630.424),(62 21737.65),(63 21474.957),(64 21156.791),(65 20841.482),(66 20788.031),(67 20726.8),(68 20463.166),(69 20181.502),(70 20207.547),(71 20020.605),(72 19991.613),(73 20063.88),(74 20063.969),(75 19957.984),(76 19823.104),(77 19612.475),(78 19360.604),(79 19075.793),
(1 3303.478),(2 7604.1724),(3 10532.397),(4 12584.808),(5 13872.806),(6 14774.509),(7 15522.609),(8 16054.227),(9 16440.814),(10 17298.234),(11 17628.121),(12 17825.922),(13 17686.275),(14 17863.205),(15 18175.975),(16 18242.254),(17 18190.22),(18 18219.615),(19 18059.027),(20 17945.418),(21 17847.25),(22 18519.104),(23 19044.242),(24 19690.139),(25 20084.555),(26 20241.258),(27 20361.473),(28 20575.555),(29 20876.576),(30 21077),(31 21018.264),(32 20950.563),(33 20441.45),(34 20258.2),(35 20131.322),(36 19764.258),(37 19357.182),(38 18994.838),(39 18713.53),(40 18675.393),(41 18593.191),(42 18670.168),(43 18600.193),(44 18560.424),(45 18606.445),(46 19256.982),(47 19313.814),(48 19335.72),(49 19189.846),(50 19358.508),(51 19554.762),(52 19390.488),(53 19379.564),(54 19523.158),(55 19511.924),(56 19615.285),(57 19515.275),(58 19730.607),(59 19657.455),(60 19559.559),(61 19498.695),(62 19585.855),(63 19476.023),(64 19255.564),(65 18857.652),(66 18692.545),(67 18490.627),(68 18275.768),(69 17961.672),(70 18134.29),(71 18011.875),(72 17862.637),(73 17884.889),(74 17814.998),(75 17713.146),(76 17805.748),(77 17656.88),(78 17516.12),(79 17398.4),
(1 3258.5122),(2 7253.7764),(3 9838.215),(4 11603.565),(5 12994.65),(6 13910.798),(7 14618.523),(8 15143.217),(9 15268.671),(10 15976.12),(11 15908.436),(12 16014.959),(13 16188.929),(14 16412.12),(15 16706.938),(16 16665.191),(17 16574.648),(18 16554.537),(19 16254.126),(20 15976.224),(21 15838.255),(22 16340.12),(23 16750.314),(24 17195.123),(25 17564.955),(26 17908.764),(27 18072.148),(28 18219.62),(29 18309.191),(30 18239.27),(31 18177.875),(32 18137.318),(33 17808.785),(34 17573.4),(35 17529.945),(36 17529.021),(37 17292.2),(38 17128.857),(39 16954.678),(40 16963.572),(41 17133.756),(42 17300.465),(43 17266.074),(44 17355.063),(45 17501.813),(46 18129.45),(47 18131.516),(48 18097.703),(49 18078.098),(50 18190.686),(51 18173.252),(52 18057.285),(53 17964.775),(54 18003.438),(55 18020.334),(56 18067.285),(57 18068.43),(58 18144.596),(59 18118.559),(60 18059.576),(61 18095.393),(62 18186.266),(63 18150.135),(64 18158.232),(65 18060.129),(66 17960.203),(67 17691.072),(68 17495.768),(69 17183.277),(70 17100.785),(71 16794.014),(72 16435.637),(73 16271.136),(74 16201.739),(75 16464.924),(76 16679.81),(77 16760.822),(78 16873.158),(79 16987.117),
(1 3187.3455),(2 6909.6714),(3 9522.573),(4 11145.923),(5 12468.68),(6 13434.796),(7 13996.643),(8 14535.939),(9 14798.795),(10 15302.172),(11 15661.783),(12 16071.158),(13 16443.6),(14 16892.459),(15 17246.773),(16 17388.64),(17 17496.34),(18 17684.506),(19 17707.438),(20 17798.086),(21 17959.533),(22 18696.137),(23 19309.473),(24 19865.56),(25 20184.223),(26 20494.041),(27 20533.111),(28 20700.627),(29 20775.293),(30 20834.795),(31 20813.041),(32 20710.19),(33 20504.95),(34 20546.354),(35 20510.504),(36 20418.346),(37 20164.824),(38 19709.506),(39 19248.645),(40 18943.154),(41 18840.428),(42 18956.51),(43 18828.252),(44 18680.75),(45 18416.783),(46 18395.969),(47 18086.746),(48 17733.893),(49 17732.41),(50 17612.287),(51 17420.086),(52 17439.82),(53 17574.861),(54 17779.14),(55 18089.793),(56 18330.082),(57 18751.904),(58 19235.658),(59 19439.395),(60 19264.83),(61 19364.232),(62 19316.193),(63 19276.61),(64 19114.621),(65 18703.08),(66 18514.521),(67 18024.215),(68 17604.188),(69 17280.803),(70 17249.36),(71 16896.75),(72 16644.861),(73 16636.305),(74 16603.678),(75 16747.21),(76 16880.164),(77 16983.17),(78 16900.787),(79 16667.04),
(1 3039.8008),(2 6754.6475),(3 9133.677),(4 10713.657),(5 11985.333),(6 12782.695),(7 13451.723),(8 14067.902),(9 14218.902),(10 15134.66),(11 15251.087),(12 15498.745),(13 15760.521),(14 16003.198),(15 16120.006),(16 16212.236),(17 16357.077),(18 16459.13),(19 16347.461),(20 16443.365),(21 16411.346),(22 16817.613),(23 17073.418),(24 17292.967),(25 17686.518),(26 17957.799),(27 18023.51),(28 18112.844),(29 18284.459),(30 18364.33),(31 18206.732),(32 17936.938),(33 17820.584),(34 17803.375),(35 17589.637),(36 17391.936),(37 17065.434),(38 16597.629),(39 16217.46),(40 16019.305),(41 16057.867),(42 16073.199),(43 15916.376),(44 15682.736),(45 15414.679),(46 15647.282),(47 15706.964),(48 15717.404),(49 15623.236),(50 15566.886),(51 15580.348),(52 15462.025),(53 15314.052),(54 15213.234),(55 15368.016),(56 15580.677),(57 15785.522),(58 16229.789),(59 16374.627),(60 16330.823),(61 16354.33),(62 16430.154),(63 16269.612),(64 16208.806),(65 16143.295),(66 16084.837),(67 15880.004),(68 15522.623),(69 15373.878),(70 15556.261),(71 15644.296),(72 15619.401),(73 15655.133),(74 15694.585),(75 15787.586),(76 15768.784),(77 15729.101),(78 15766.566),(79 15678.186),
(1 2998.8347),(2 6478.4697),(3 8871.448),(4 10382.262),(5 11834.364),(6 12908.979),(7 13509.92),(8 14125.196),(9 14473.955),(10 15142.981),(11 15253.435),(12 15614.971),(13 15947.493),(14 16266.56),(15 16466.611),(16 16747.412),(17 16940.314),(18 16977.797),(19 16781.568),(20 16743.898),(21 16619.063),(22 17252.191),(23 17496.268),(24 17675.146),(25 18125.258),(26 18502.738),(27 18619.38),(28 18757.107),(29 18827.656),(30 18951.434),(31 18784.162),(32 18806.762),(33 18538.229),(34 18439.754),(35 18347.389),(36 18129.162),(37 17788.959),(38 17486.648),(39 16963.434),(40 16841.58),(41 16782.834),(42 16762.658),(43 16377.221),(44 16076.014),(45 15971.415),(46 16056.389),(47 15933.296),(48 15777.07),(49 15696.745),(50 15571.709),(51 15647.966),(52 15470.248),(53 15380.025),(54 15397.936),(55 15605.479),(56 15776.144),(57 15966.248),(58 16394.092),(59 16476.58),(60 16450.186),(61 16420.121),(62 16347.002),(63 16270.789),(64 16157.981),(65 16185.051),(66 16134.158),(67 15762.524),(68 15445.953),(69 15247.755),(70 15262.759),(71 15053.249),(72 14957.941),(73 15073.045),(74 15154.854),(75 15220.009),(76 15086.416),(77 15062.444),(78 15102.824),(79 15183.663),
