1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 125532.44),(2 330899.5),(3 533528.3),(4 671539.4),(5 781025.2),(6 826375.8),(7 848769.25),(8 849983.3),(9 864400),(10 870045.3),(11 945882.06),(12 1082322.9),(13 1293698),(14 1429689),(15 1480331.6),(16 1516328.9),(17 1531582.4),(18 1515638.9),(19 1508701),(20 1542109.5),(21 1668104.4),(22 1838491.1),(23 2044954.1),(24 2421650),(25 2610164.8),(26 2742784.5),(27 2869363.3),(28 2941926.8),(29 2950701.8),(30 3012155.3),(31 3114694.8),(32 3226548),(33 3281233.8),(34 3376559),(35 3563459.3),(36 3765285.8),(37 3907110.8),(38 3932464.3),(39 3800231.8),(40 3639756.3),(41 3476276),(42 3331852.3),(43 3293750),(44 3349802.8),(45 3343506),(46 3327054.8),(47 3204754),(48 3008387.8),(49 2764411.8),(50 2548973.8),(51 2412121),(52 2320958.8),(53 2282280.3),(54 2266401.3),(55 2312312.8),(56 2280229.5),(57 2212598.8),(58 2088765.6),(59 1894296.4),(60 1726698.4),(61 1622128.1),(62 1592589.4),(63 1639042),(64 1700575.1),(65 1840819.6),(66 1889828.4),(67 1864233.5),(68 1863196.1),(69 1924995.5),(70 1899298.5),(71 1857466.6),(72 1824599.1),(73 1863929.4),(74 1959504.9),(75 2206991.5),(76 2410387.3),(77 2694151),(78 2874172.8),(79 2964740),
(1 110476.52),(2 315125.22),(3 540075),(4 732712.9),(5 874532.5),(6 1004196.4),(7 1101235.5),(8 1156373.4),(9 1235952),(10 1321039),(11 1444436.9),(12 1599255),(13 1765198.8),(14 1914673),(15 2037324),(16 2131634.3),(17 2201916.5),(18 2247048.8),(19 2262790.5),(20 2284158.5),(21 2332862.3),(22 2450169.3),(23 2615265.5),(24 2811680.8),(25 2978079.3),(26 3125630.5),(27 3263403.3),(28 3367752.8),(29 3465714),(30 3539848),(31 3631287),(32 3717664.8),(33 3799943),(34 3870463.3),(35 3925868.5),(36 3962068.8),(37 3998365.3),(38 4012362.5),(39 4018628.3),(40 4018199.8),(41 4000331.5),(42 3976198.3),(43 3970901.5),(44 3970732.8),(45 3958286),(46 3989972.8),(47 3998177.5),(48 3995598.3),(49 3965825.5),(50 3951732.5),(51 3897324.8),(52 3843928.3),(53 3787779.8),(54 3766672),(55 3745289.8),(56 3730771.5),(57 3705145.8),(58 3672955.3),(59 3617515.8),(60 3536500.8),(61 3447438.3),(62 3354526),(63 3313676.5),(64 3263956.5),(65 3240425.5),(66 3260235.3),(67 3283921),(68 3297376),(69 3273218),(70 3261311),(71 3201856.8),(72 3164510),(73 3141950),(74 3117205.3),(75 3115201.5),(76 3139388.8),(77 3184299.3),(78 3206917.5),(79 3221580.8),
(1 108230.75),(2 306341.72),(3 516307.66),(4 680642.3),(5 803130.3),(6 894190.06),(7 936086.94),(8 951458.94),(9 968248),(10 1026944.7),(11 1135752.1),(12 1271941.9),(13 1416973.4),(14 1547845.6),(15 1657293.4),(16 1726632.4),(17 1753422),(18 1785380.1),(19 1796392),(20 1826979),(21 1921242.4),(22 2044100.1),(23 2183377.8),(24 2319430.3),(25 2498739.3),(26 2610879),(27 2673002.3),(28 2723484.8),(29 2755867),(30 2798918.3),(31 2872568.3),(32 2941369.3),(33 3039922),(34 3105857.8),(35 3179952),(36 3247846.8),(37 3277738.3),(38 3279060.8),(39 3256350.3),(40 3218066.8),(41 3220906.8),(42 3249317.3),(43 3313290.8),(44 3383923.8),(45 3438175.3),(46 3455891),(47 3457446),(48 3435836.3),(49 3421473),(50 3428944.8),(51 3410075),(52 3404514),(53 3426386.3),(54 3445173.8),(55 3459880.8),(56 3469731.8),(57 3459724.8),(58 3407717.3),(59 3357839.8),(60 3283909),(61 3201848.8),(62 3156674.3),(63 3144463.3),(64 3145834),(65 3152326.8),(66 3177553.3),(67 3218704),(68 3220264.8),(69 3220081),(70 3200804),(71 3181798.8),(72 3141520),(73 3106514.8),(74 3094326),(75 3098617.8),(76 3133181.8),(77 3199538),(78 3225386.8),(79 3244466.8),
(1 111577.56),(2 311685.97),(3 530186.44),(4 718815.75),(5 860720.94),(6 970579.1),(7 1029598),(8 1046297.25),(9 1040218.8),(10 1054138.1),(11 1114202.5),(12 1224059.6),(13 1338505),(14 1443477.8),(15 1536224.4),(16 1592097),(17 1622600.6),(18 1636580.5),(19 1658283),(20 1678178.9),(21 1728646.8),(22 1819306.4),(23 1930074.9),(24 2069737),(25 2189682.5),(26 2291154.3),(27 2366956.8),(28 2425199),(29 2428316.8),(30 2436967),(31 2435326),(32 2453517.5),(33 2501073.8),(34 2556985),(35 2570234.5),(36 2562031),(37 2555989.5),(38 2546439),(39 2559568),(40 2576359.3),(41 2578712),(42 2592303.5),(43 2626823.3),(44 2697230.8),(45 2751488),(46 2792393),(47 2841936),(48 2883512.8),(49 2879235.5),(50 2879353),(51 2893736.3),(52 2901675),(53 2906697.3),(54 2924645.5),(55 2938100.3),(56 2974434),(57 2977381),(58 2945715.8),(59 2881115.5),(60 2809577),(61 2741832.3),(62 2735608.8),(63 2748718),(64 2788034.3),(65 2852955.5),(66 2956115.3),(67 3011467.5),(68 3021196.8),(69 3017537.3),(70 3005673.5),(71 2976167.8),(72 2934917.8),(73 2890912),(74 2885037),(75 2931946.5),(76 2990183.3),(77 3020113.5),(78 3031506.5),(79 3031401.5),
(1 110294.22),(2 307168.4),(3 520324.25),(4 717868.8),(5 887057.75),(6 1008372.6),(7 1086166.1),(8 1137847.5),(9 1186917),(10 1254540.8),(11 1345200.4),(12 1458086.3),(13 1578923.3),(14 1699578.9),(15 1798002.5),(16 1882024.8),(17 1929669.6),(18 1954711.9),(19 1971809.6),(20 1986933.9),(21 2029322.1),(22 2099598.8),(23 2180810.5),(24 2316084.8),(25 2426409),(26 2532053.5),(27 2611075.3),(28 2665494.8),(29 2666900.3),(30 2633854.3),(31 2614345.5),(32 2600572.8),(33 2591951.5),(34 2596820.8),(35 2567252),(36 2546696.5),(37 2534010),(38 2512704.3),(39 2472990.5),(40 2424374.5),(41 2399219.8),(42 2408208.8),(43 2447666),(44 2546239.8),(45 2649249.5),(46 2744120.8),(47 2817959),(48 2880134.5),(49 2922812.5),(50 2957989.8),(51 2988606),(52 3002631.3),(53 3054921.5),(54 3104100.8),(55 3169287.8),(56 3241851.5),(57 3296916.5),(58 3296125.8),(59 3277283.8),(60 3191628.3),(61 3106817.3),(62 3063318.8),(63 3054910.8),(64 3086865.5),(65 3119030),(66 3182087),(67 3230962.3),(68 3257704.8),(69 3258430.5),(70 3259977.5),(71 3250310.8),(72 3217425),(73 3187627.5),(74 3172427.5),(75 3173678.5),(76 3207704),(77 3211584),(78 3167243.5),(79 3127433.3),
(1 107611.24),(2 304294.47),(3 493607.38),(4 679344.7),(5 852888.25),(6 975903.56),(7 1074857.8),(8 1129788.1),(9 1192986.4),(10 1269048.3),(11 1368187.9),(12 1513228.9),(13 1668026.9),(14 1808447.1),(15 1977183.5),(16 2098707.8),(17 2157013),(18 2209980.3),(19 2244106.3),(20 2257872.5),(21 2299577.5),(22 2366638.8),(23 2439528.3),(24 2520677),(25 2610299),(26 2697565),(27 2770989),(28 2809129.3),(29 2847427.8),(30 2845368),(31 2824777.3),(32 2840846.3),(33 2853158.8),(34 2878351.8),(35 2874415),(36 2843001.5),(37 2821307.5),(38 2793105.5),(39 2763628.8),(40 2748822.3),(41 2721093),(42 2731823.5),(43 2744295.5),(44 2768641),(45 2826913.5),(46 2881078.5),(47 2911056),(48 2937077),(49 2961813),(50 2978470.5),(51 2994636.8),(52 3053387.8),(53 3175606.5),(54 3281826.8),(55 3389678.3),(56 3502962.3),(57 3568717),(58 3590203.3),(59 3634326.8),(60 3631209.8),(61 3606451.5),(62 3606662),(63 3627479),(64 3698640),(65 3797553.3),(66 3883346.3),(67 3944880),(68 3963360),(69 3949641.8),(70 3889744),(71 3854166.8),(72 3814045.3),(73 3774383.5),(74 3780566.8),(75 3796244.3),(76 3816906.8),(77 3828711),(78 3798244.3),(79 3771998.8),
(1 106598.65),(2 288864.1),(3 487701.94),(4 646539.9),(5 773258.7),(6 870184.8),(7 932462.44),(8 965427.94),(9 1007429.1),(10 1074367.4),(11 1169681.9),(12 1305029.9),(13 1478677.6),(14 1623840),(15 1746750.6),(16 1847906.5),(17 1900909.6),(18 1932431.1),(19 1966227.4),(20 1997539.4),(21 2058441.6),(22 2141624.3),(23 2257974.8),(24 2360663),(25 2422070.5),(26 2485797.8),(27 2540087.3),(28 2571420.3),(29 2605519.3),(30 2613546.3),(31 2606980.3),(32 2616739),(33 2640949.8),(34 2667852.8),(35 2686373.8),(36 2687991.5),(37 2648632),(38 2600500.3),(39 2551560.3),(40 2498040.5),(41 2457509.5),(42 2456916.3),(43 2473163.3),(44 2494406.8),(45 2548290.8),(46 2610476.5),(47 2645880.3),(48 2688281.8),(49 2716753.3),(50 2705432.5),(51 2691544),(52 2695732.3),(53 2770719),(54 2849905),(55 2906554.5),(56 2985408.8),(57 3023405),(58 3032257.5),(59 3037557.8),(60 3038797.3),(61 3039111),(62 3054924.8),(63 3057044.8),(64 3052651.3),(65 3088513.5),(66 3121018.3),(67 3123873.5),(68 3110777),(69 3080837.5),(70 3011012.8),(71 2957988.3),(72 2900473),(73 2870660.8),(74 2851124.3),(75 2833468.5),(76 2805796),(77 2772912.3),(78 2723715.3),(79 2688938.8),
(1 110057.305),(2 307955.72),(3 513269.16),(4 672143.1),(5 803712.9),(6 926745.8),(7 992800.9),(8 1027483.7),(9 1053675.4),(10 1085973.9),(11 1188091.1),(12 1324206.1),(13 1477939.3),(14 1603412.6),(15 1692230.1),(16 1756255.9),(17 1798716.3),(18 1817089.5),(19 1833129),(20 1850700.1),(21 1906135.5),(22 1992775.3),(23 2106232.8),(24 2225910.3),(25 2303667.3),(26 2350872.3),(27 2351855.5),(28 2353426.5),(29 2347662.8),(30 2349049.3),(31 2351639.8),(32 2371590.3),(33 2379268.8),(34 2394476.3),(35 2361988.8),(36 2342211.3),(37 2311972.8),(38 2278048.8),(39 2248266.8),(40 2204455.8),(41 2196054.3),(42 2206850.5),(43 2245959.5),(44 2307168.8),(45 2388781.5),(46 2477377.8),(47 2534964.8),(48 2580194.8),(49 2618516.5),(50 2645006.5),(51 2670985.3),(52 2698176.3),(53 2748549.8),(54 2823616.8),(55 2880555.8),(56 2929604.3),(57 2979540.3),(58 3004312.3),(59 3027182.5),(60 3036555.3),(61 3025394.3),(62 3005081.3),(63 3008849),(64 3035290),(65 3080985),(66 3127175.8),(67 3169367.5),(68 3178507.8),(69 3193243.8),(70 3175568),(71 3155351.3),(72 3101191.5),(73 3065739.5),(74 3032212.8),(75 3028632.3),(76 3042852.5),(77 3074019.8),(78 3060980.5),(79 3026536.3),
(1 113135.516),(2 302339.78),(3 486803.53),(4 642367.75),(5 769163.9),(6 865171.56),(7 930236.9),(8 964779),(9 1003554),(10 1055562.4),(11 1132328.5),(12 1223216.3),(13 1312034.4),(14 1389930.8),(15 1445922.8),(16 1489811.1),(17 1514369.4),(18 1529392.3),(19 1555193),(20 1576612.9),(21 1620249.6),(22 1689019.4),(23 1772741.4),(24 1866015),(25 1967429.4),(26 2047394.1),(27 2101202.5),(28 2141621),(29 2160563.8),(30 2176697.8),(31 2199998),(32 2230141.3),(33 2245162),(34 2274515),(35 2300439.8),(36 2338677.3),(37 2377163.8),(38 2409027),(39 2406476),(40 2401916.3),(41 2419646),(42 2488314.3),(43 2590074.3),(44 2729967),(45 2848643),(46 2952822.3),(47 3045220.3),(48 3095188.8),(49 3147927.3),(50 3196670.5),(51 3233114),(52 3276940.5),(53 3298404),(54 3363043.8),(55 3441410.8),(56 3497988.3),(57 3535759.3),(58 3572261.5),(59 3583000.8),(60 3559305.8),(61 3512812),(62 3493076.8),(63 3493890.3),(64 3523443),(65 3554940.5),(66 3554299.8),(67 3545875.3),(68 3477453.5),(69 3425945.3),(70 3338788),(71 3241127.8),(72 3145456.8),(73 3082069.8),(74 3034937.3),(75 3014622.5),(76 3007530.5),(77 3009122),(78 3007366.3),(79 2965427.5),
(1 104217.81),(2 288210.78),(3 459846.1),(4 604269.9),(5 717570.6),(6 795190.1),(7 825954.9),(8 843210),(9 841911.94),(10 866121.4),(11 952751.25),(12 1061913),(13 1171431.1),(14 1280460.8),(15 1361456.3),(16 1434615.4),(17 1478756),(18 1514438),(19 1540606.6),(20 1574621.4),(21 1637819.1),(22 1744550),(23 1861783.5),(24 1974591.8),(25 2092986.6),(26 2201084.8),(27 2241527.8),(28 2226626.8),(29 2200301),(30 2168030.5),(31 2180609),(32 2180017.3),(33 2210066),(34 2237465),(35 2272423.5),(36 2319447.3),(37 2334591.8),(38 2316555),(39 2272272.3),(40 2231876),(41 2207110.3),(42 2222167.8),(43 2246651.5),(44 2284207),(45 2348611.5),(46 2393918.5),(47 2379199.5),(48 2361638.8),(49 2337391.5),(50 2310992.5),(51 2292667.3),(52 2288028),(53 2307168),(54 2331687.3),(55 2358690.5),(56 2400220.5),(57 2440374),(58 2463448),(59 2469170.3),(60 2438137.5),(61 2396647.3),(62 2378449.5),(63 2368308.3),(64 2377118.3),(65 2389533.5),(66 2404979),(67 2423079.5),(68 2404616.5),(69 2393541.3),(70 2366385),(71 2340991),(72 2338451.5),(73 2363658.8),(74 2384063),(75 2404549.8),(76 2437106.5),(77 2458866.8),(78 2473487),(79 2474640),
(1 109143.48),(2 299159.7),(3 481533.4),(4 626746.7),(5 735066.7),(6 811017.3),(7 848101.75),(8 868916.3),(9 885162.3),(10 925901.2),(11 1018987.25),(12 1134984.9),(13 1238755.3),(14 1324132.1),(15 1378450.8),(16 1421271.8),(17 1439936.4),(18 1434379.5),(19 1410629),(20 1412080.9),(21 1437437.8),(22 1506282.8),(23 1601749.5),(24 1694620.4),(25 1799834.9),(26 1880701.9),(27 1918420.4),(28 1922552.4),(29 1938439.1),(30 1961214.3),(31 1988129.8),(32 2012825.5),(33 2050711.1),(34 2094557),(35 2116206.5),(36 2127951.8),(37 2115007),(38 2056242),(39 1981686),(40 1922126.3),(41 1872618.6),(42 1855725.4),(43 1874964.8),(44 1913307.9),(45 1952888),(46 1985888.9),(47 1989029.6),(48 1996794),(49 1974229),(50 1951493),(51 1941449.1),(52 1955284.4),(53 1979240.4),(54 1992959.6),(55 2024111.8),(56 2053684.4),(57 2077512.3),(58 2091550.8),(59 2078030.5),(60 2066250.4),(61 2043030.3),(62 2041314.6),(63 2051872.9),(64 2097363.8),(65 2155843),(66 2225017.5),(67 2287740.5),(68 2327838),(69 2343913.8),(70 2347536.8),(71 2353479.3),(72 2360572.5),(73 2371105.8),(74 2378620.5),(75 2398909.5),(76 2463684.8),(77 2522221.8),(78 2549171.3),(79 2549458.3),
(1 106036.09),(2 299506.22),(3 485647.78),(4 639684.44),(5 750678.56),(6 828232.8),(7 862159),(8 873163),(9 881144.4),(10 897828.6),(11 960149.94),(12 1079017.6),(13 1213060),(14 1328835.6),(15 1417539.3),(16 1479871.8),(17 1493939.6),(18 1488168.9),(19 1479808.6),(20 1457091.5),(21 1472739.6),(22 1524508.8),(23 1604983.1),(24 1683676.4),(25 1754798.4),(26 1820574.5),(27 1856535.8),(28 1887224.8),(29 1894915.4),(30 1893595.6),(31 1904370),(32 1923587.3),(33 1942847.8),(34 1976193.9),(35 2016193.6),(36 2047363.6),(37 2058734.1),(38 2057595.4),(39 2046527.4),(40 2044772.6),(41 2055051),(42 2086736.3),(43 2142416),(44 2205129.8),(45 2278782.5),(46 2345534),(47 2397703.3),(48 2446012.3),(49 2438862.8),(50 2424805.5),(51 2409005),(52 2408139.5),(53 2410083.3),(54 2414481),(55 2432025.3),(56 2461998.8),(57 2479529.3),(58 2474375.3),(59 2467748.5),(60 2456753),(61 2442716.8),(62 2439772.5),(63 2443531.5),(64 2456056.5),(65 2491376.3),(66 2513708),(67 2513400.5),(68 2504742.5),(69 2506248),(70 2488964),(71 2488820.3),(72 2494696.3),(73 2502833.8),(74 2503249.3),(75 2507974.8),(76 2514923.3),(77 2517645.8),(78 2515570.3),(79 2502484.8),
(1 108429.7),(2 296742.34),(3 469705.28),(4 598795.94),(5 704509),(6 787483.44),(7 837966.75),(8 864371.06),(9 893813.56),(10 925062.7),(11 987113.1),(12 1087249.5),(13 1200101),(14 1306452.9),(15 1391814.5),(16 1448654),(17 1468273.5),(18 1456227.5),(19 1434965.3),(20 1417721.3),(21 1425484.1),(22 1486070.4),(23 1559649.1),(24 1652341.5),(25 1733205.4),(26 1786380.1),(27 1822573.1),(28 1845847.5),(29 1841765.6),(30 1838142.6),(31 1846170.5),(32 1863173.1),(33 1870332.6),(34 1870761.1),(35 1876320.5),(36 1901898.9),(37 1888613.5),(38 1870614.6),(39 1829699.4),(40 1792311.5),(41 1782362.9),(42 1799940.1),(43 1819573.8),(44 1851398.9),(45 1892667.5),(46 1899117.5),(47 1887777.5),(48 1879785.1),(49 1872118),(50 1860671.6),(51 1854619.4),(52 1869642.9),(53 1886055.8),(54 1901598),(55 1925777.5),(56 1948901.8),(57 1966683.4),(58 1973828.6),(59 1969097.1),(60 1959017.8),(61 1951248.6),(62 1938748.5),(63 1924225.5),(64 1930588.6),(65 1961115.4),(66 1979521.5),(67 1993335.4),(68 1980683.4),(69 1988323.1),(70 1980652),(71 1934336),(72 1915075.4),(73 1899370.6),(74 1884449.5),(75 1893710),(76 1933422.5),(77 1969150.3),(78 2007618.9),(79 2023592.5),
(1 101474.555),(2 273748.03),(3 431636.38),(4 556794.06),(5 658596.3),(6 728410.5),(7 776057.44),(8 806535.6),(9 843379.75),(10 891574.8),(11 960847.06),(12 1054236.9),(13 1143950.6),(14 1221748.4),(15 1274337),(16 1293502.1),(17 1289890.1),(18 1266005),(19 1232744.4),(20 1211106.6),(21 1224887.9),(22 1281701),(23 1368162.8),(24 1439054.4),(25 1491427.5),(26 1529200.8),(27 1555568.1),(28 1567574.9),(29 1557213.8),(30 1543435.1),(31 1567036.1),(32 1585246.1),(33 1637819.4),(34 1700447.6),(35 1755406.4),(36 1795971.8),(37 1815864.9),(38 1840456.5),(39 1825320),(40 1819753.6),(41 1826237),(42 1858161.6),(43 1907712.4),(44 1934629.6),(45 1948499.8),(46 1952939.5),(47 1965249.5),(48 1971367.1),(49 1962543.6),(50 1953394.6),(51 1944855.1),(52 1947232.1),(53 1961971.4),(54 1993646.9),(55 2017618.3),(56 2029618.8),(57 2019654.5),(58 2016035.4),(59 2002510),(60 1995689.6),(61 1984620.6),(62 1952109),(63 1935760.4),(64 1932477),(65 1937346),(66 1942414.8),(67 1941471.6),(68 1938294.5),(69 1918455.5),(70 1910904.5),(71 1907921.1),(72 1921192.5),(73 1933079.9),(74 1940065.9),(75 1953897.9),(76 1971163.8),(77 1987056.9),(78 1991764.6),(79 1984201.3),
(1 102426.74),(2 263679.03),(3 410943.34),(4 530269.56),(5 626417.2),(6 688254.5),(7 738895.25),(8 766244.4),(9 780891.1),(10 801750.7),(11 855482.5),(12 928506.06),(13 994172.6),(14 1061811.9),(15 1117066.3),(16 1145670.6),(17 1157913.6),(18 1146745.8),(19 1121842.9),(20 1101267.4),(21 1101933.9),(22 1129317.6),(23 1187658),(24 1263631),(25 1336032.5),(26 1370479.5),(27 1418217.4),(28 1446356.6),(29 1450259.5),(30 1465514.5),(31 1471789.8),(32 1485229),(33 1506180.5),(34 1534867.9),(35 1546933.8),(36 1553307),(37 1570039.9),(38 1589367.5),(39 1575804.8),(40 1565957),(41 1567690),(42 1575833.1),(43 1609238.3),(44 1651282.3),(45 1682829.4),(46 1705130.6),(47 1713698.3),(48 1717766.6),(49 1712124.3),(50 1705372.6),(51 1694782.8),(52 1693158.3),(53 1693022.9),(54 1729850.9),(55 1762393.4),(56 1795893.1),(57 1815412.8),(58 1823879.9),(59 1825602.9),(60 1817316.6),(61 1802342.3),(62 1778596.3),(63 1756026.3),(64 1729032.5),(65 1723777.8),(66 1714869.9),(67 1718817.3),(68 1707595),(69 1696323.5),(70 1675045.5),(71 1662601.6),(72 1651455.6),(73 1653527.5),(74 1655066.5),(75 1652065.8),(76 1661071.1),(77 1691666),(78 1728389.1),(79 1740749),
(1 99190.48),(2 259854.38),(3 410342.4),(4 529518.94),(5 623185),(6 694788.2),(7 747198.56),(8 778512.9),(9 811055.4),(10 850632.6),(11 913647.6),(12 995611.44),(13 1076720.5),(14 1133104.4),(15 1183286.3),(16 1214122),(17 1218273.6),(18 1206445.4),(19 1194037.9),(20 1181944.1),(21 1184200.9),(22 1210568.1),(23 1249409.8),(24 1306057.8),(25 1364166.4),(26 1404976.1),(27 1415076.1),(28 1420111.3),(29 1433724.1),(30 1436834.5),(31 1432746.9),(32 1444737.6),(33 1455789.4),(34 1478343.1),(35 1503353.4),(36 1539329.8),(37 1562899.3),(38 1580660.3),(39 1562413.1),(40 1547951.9),(41 1534360.4),(42 1532375.5),(43 1536339.4),(44 1562335.5),(45 1585631.3),(46 1600238.9),(47 1606661.4),(48 1599372.5),(49 1576711.3),(50 1554605.1),(51 1526331.4),(52 1514628.6),(53 1525676.5),(54 1555524.5),(55 1574433.1),(56 1601116.8),(57 1618976.5),(58 1645974.9),(59 1663139.8),(60 1649076.3),(61 1615845),(62 1597584.9),(63 1612902.8),(64 1629997.9),(65 1651447.1),(66 1661321.4),(67 1668442),(68 1658602.6),(69 1630557.5),(70 1598590.9),(71 1565149.1),(72 1538853.8),(73 1530419.5),(74 1535094.8),(75 1551721.1),(76 1580624.9),(77 1637482),(78 1675672.9),(79 1689173.5),
(1 97606.984),(2 265048.56),(3 417886.44),(4 539125.25),(5 636352.94),(6 701279.56),(7 747244.5),(8 774839.56),(9 791089.44),(10 813864.94),(11 867692.2),(12 947909.3),(13 1018089.7),(14 1090811.5),(15 1137512),(16 1169205.9),(17 1172523),(18 1151645.8),(19 1128225.1),(20 1112888.3),(21 1123105.8),(22 1163738.5),(23 1222348.3),(24 1271888.9),(25 1314047),(26 1359959.6),(27 1401384.3),(28 1431643),(29 1461632.6),(30 1482260.8),(31 1493974.8),(32 1513027.5),(33 1526944.8),(34 1531646.3),(35 1528404.9),(36 1522467),(37 1506655),(38 1473485.1),(39 1410407),(40 1351536.1),(41 1319978.9),(42 1323755.8),(43 1331061.9),(44 1345475.6),(45 1355021.9),(46 1368008.8),(47 1373811.3),(48 1375814.5),(49 1366442.4),(50 1375626.6),(51 1386585.8),(52 1387876.8),(53 1384380.8),(54 1384936.8),(55 1395336.3),(56 1412205.6),(57 1411878.8),(58 1413737.4),(59 1412271.8),(60 1421219.5),(61 1423400.4),(62 1430230.4),(63 1445394.8),(64 1469754.6),(65 1488949.1),(66 1518451.3),(67 1542081.8),(68 1544646.5),(69 1546328.5),(70 1554885.3),(71 1549645.6),(72 1557565.6),(73 1569383.4),(74 1590108.9),(75 1623553.5),(76 1652015.3),(77 1661727.4),(78 1674436.3),(79 1684463.8),
