1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 25508.4),(2 88635.22),(3 183324.95),(4 289040.88),(5 417810.16),(6 573712.3),(7 736273.2),(8 926013.25),(9 1148374.6),(10 1377051.6),(11 1628283.6),(12 1883438.6),(13 2171513.5),(14 2439987),(15 2732020),(16 3031856.8),(17 3341733.3),(18 3622341.3),(19 3907260.3),(20 4202530.5),(21 4533932),(22 4906197.5),(23 5261417.5),(24 5621038),(25 5942363.5),(26 6254946),(27 6592727.5),(28 6903133.5),(29 7182300),(30 7458656.5),(31 7736928),(32 7997513.5),(33 8261742.5),(34 8483562),(35 8724820),(36 8946337),(37 9133508),(38 9353336),(39 9607279),(40 9905654),(41 10188673),(42 10458898),(43 10723062),(44 10983595),(45 11232515),(46 11468987),(47 11640796),(48 11750620),(49 11765891),(50 11754443),(51 11768171),(52 11771048),(53 11801957),(54 11842521),(55 11894583),(56 11963256),(57 12065645),(58 12244431),(59 12405112),(60 12563981),(61 12722791),(62 12915141),(63 13126200),(64 13345875),(65 13569461),(66 13817587),(67 14087357),(68 14388093),(69 14704513),(70 15048603),(71 15411859),(72 15780415),(73 16238171),(74 16665493),(75 17100800),(76 17577510),(77 18054592),(78 18547234),(79 19068046),
(1 8337.567),(2 17154.768),(3 20527.459),(4 21696.605),(5 23275.078),(6 23597.229),(7 24022.95),(8 25782.688),(9 28368.434),(10 29976.725),(11 31107.574),(12 31890.984),(13 32850.953),(14 33916.918),(15 35879.617),(16 37871.457),(17 38968.18),(18 39644.133),(19 41062.496),(20 42643.37),(21 43608.01),(22 44962.09),(23 45954.637),(24 46454.168),(25 47081.24),(26 47899.023),(27 48829.99),(28 49619.7),(29 50082.17),(30 50450.563),(31 51293.906),(32 52317.453),(33 52331.508),(34 52108.85),(35 52810.66),(36 53088.59),(37 52838.51),(38 52768.35),(39 52299.508),(40 52023.418),(41 52123.023),(42 52199.277),(43 52721.566),(44 52974.035),(45 53496.793),(46 52918.9),(47 52817.094),(48 53404.535),(49 53220.832),(50 52377.4),(51 52358.63),(52 52416.094),(53 52172.58),(54 52298.977),(55 52920.734),(56 53072.45),(57 53563.145),(58 53591.72),(59 53915.063),(60 53540.266),(61 53178.01),(62 53088.72),(63 52965.297),(64 53121.793),(65 52618.492),(66 52952.902),(67 53391.117),(68 53019.43),(69 52950.11),(70 53223.305),(71 53001.184),(72 53090.547),(73 52969.836),(74 53228.184),(75 53632.754),(76 53599.363),(77 53459.773),(78 54098.06),(79 54806.188),
(1 8391.405),(2 17092.3),(3 20026.469),(4 20835.813),(5 22425.242),(6 22443.484),(7 23332.361),(8 25620.18),(9 27531.79),(10 28722.043),(11 30167.826),(12 31383.793),(13 32385.457),(14 33145.746),(15 34706.766),(16 36351.414),(17 37550.344),(18 38158.582),(19 39340.297),(20 40538.668),(21 41357.805),(22 42652.316),(23 44398.914),(24 45219.77),(25 45443.76),(26 45534.86),(27 46069.9),(28 46668.332),(29 47489.242),(30 48062.6),(31 48726.867),(32 49268.133),(33 49658.414),(34 50598.61),(35 51077.5),(36 51016.77),(37 50974.074),(38 51229.605),(39 51011.65),(40 51267.69),(41 51826.707),(42 51923.42),(43 51904.195),(44 51653.285),(45 52203.293),(46 52657.293),(47 52831.14),(48 52998.875),(49 53091.344),(50 52865.973),(51 52860.08),(52 53285.504),(53 53651.97),(54 53772.97),(55 53523.723),(56 53171.285),(57 53545.664),(58 53694.656),(59 53682.4),(60 52487.98),(61 52017.832),(62 52524.27),(63 52226.367),(64 51683.01),(65 51730.3),(66 52179.016),(67 52177.652),(68 51481.656),(69 51205.184),(70 51136.98),(71 50992.23),(72 51126.527),(73 51032.97),(74 50786.832),(75 50496.156),(76 50687.926),(77 50723.344),(78 50905.727),(79 51441.77),
(1 8148.124),(2 16633.324),(3 19537.375),(4 20578.482),(5 22217.986),(6 22264.334),(7 23333.088),(8 25922.434),(9 27606.87),(10 28515.791),(11 30086.346),(12 31463.824),(13 32815.375),(14 33264.38),(15 34218.08),(16 35313.574),(17 36317.88),(18 37540.758),(19 38997.348),(20 40394.664),(21 41456.137),(22 42201.613),(23 42893.17),(24 43731.934),(25 44384.316),(26 45172.73),(27 45790.105),(28 46316.477),(29 46941.79),(30 47807.17),(31 48413.426),(32 48817.316),(33 48992.66),(34 49417.145),(35 49352.457),(36 48993.69),(37 48781.92),(38 49175.516),(39 49156.73),(40 49676.664),(41 50222.45),(42 49811.156),(43 49506.625),(44 49733.59),(45 49767.21),(46 49528.434),(47 49488.563),(48 49771.348),(49 49778.727),(50 49694.27),(51 49509.906),(52 49688.094),(53 49300.34),(54 49570.004),(55 49712.965),(56 49779.74),(57 49843.06),(58 50395.137),(59 50531.727),(60 50422.273),(61 49641.49),(62 49325.24),(63 49586.945),(64 49251.836),(65 49110.563),(66 49330.73),(67 49264.297),(68 48850.184),(69 48721.836),(70 47981.39),(71 47582.313),(72 47704.867),(73 48475.04),(74 48986.418),(75 49706.41),(76 50426.867),(77 50326.688),(78 50223.57),(79 50744.28),
(1 7955.3525),(2 16021.082),(3 18940.924),(4 20273.764),(5 21880.01),(6 22401.656),(7 23777.074),(8 25336.977),(9 26069.324),(10 27559.363),(11 29879.654),(12 31682.787),(13 32764.418),(14 33489.55),(15 34653.934),(16 35885.48),(17 36968.434),(18 38149.652),(19 39951.832),(20 41718.55),(21 42415.137),(22 42924.246),(23 43674.934),(24 44525.086),(25 45198.688),(26 45754.445),(27 46199.37),(28 46584.598),(29 47599.652),(30 48409.543),(31 48961.047),(32 49086.88),(33 49366.098),(34 49863.43),(35 49588.75),(36 48878.715),(37 48935.58),(38 49003.754),(39 48414.395),(40 48683.78),(41 49141.855),(42 48375.492),(43 48560.965),(44 49029.793),(45 49427.566),(46 49122.082),(47 49060.87),(48 49713.617),(49 49653.203),(50 49417.24),(51 49600.965),(52 49912.37),(53 49841.344),(54 50152.164),(55 50217.883),(56 50379.188),(57 50777.04),(58 50446.96),(59 50462.74),(60 50476.51),(61 50400.387),(62 50265.457),(63 50466.074),(64 50415.793),(65 50428.8),(66 50158.996),(67 49782.066),(68 49988.926),(69 49950.957),(70 50125.414),(71 50459.61),(72 51353.883),(73 51464.758),(74 51782.23),(75 52398.305),(76 52518.617),(77 52791.836),(78 53095.484),(79 53369.344),
(1 7626.8594),(2 15577.687),(3 18549.387),(4 20138.684),(5 21602.168),(6 22026.004),(7 23403.113),(8 24877.252),(9 26249.637),(10 27704.332),(11 29916.799),(12 31365.486),(13 32636.066),(14 33363.207),(15 34645.652),(16 36474.355),(17 37305.395),(18 38258.992),(19 40353.27),(20 42479.08),(21 44062.26),(22 45126.727),(23 45583.92),(24 45850.64),(25 46458.664),(26 46950.863),(27 48172.223),(28 48732.516),(29 48665.723),(30 49425.457),(31 50516.605),(32 51314.418),(33 51303.06),(34 51092.313),(35 50694.984),(36 50160.28),(37 50083.34),(38 49798.117),(39 49903.777),(40 50483.625),(41 50625.72),(42 50313.813),(43 50855.496),(44 51118.125),(45 51702.9),(46 51775.242),(47 51392.12),(48 51580.816),(49 51737.656),(50 52403.34),(51 52555.363),(52 52511.785),(53 53121.46),(54 52955.68),(55 52377.363),(56 52171.656),(57 52453.695),(58 52293.98),(59 51864.145),(60 51627.02),(61 51773.16),(62 52536.76),(63 52721.707),(64 52405.207),(65 52557.723),(66 52427.9),(67 51989.324),(68 52140.867),(69 52389.152),(70 52252.117),(71 52242.926),(72 52513.66),(73 52483.516),(74 52375.4),(75 52689.332),(76 52399.273),(77 52794.332),(78 53676.438),(79 54350.387),
(1 7702.0195),(2 15408.606),(3 17945.092),(4 19444.326),(5 20951.582),(6 21671.176),(7 23043.389),(8 24613.455),(9 26213.215),(10 27375.258),(11 28743.125),(12 30283.629),(13 31723.79),(14 32306.467),(15 32953.434),(16 34366.363),(17 35567.03),(18 36994.76),(19 38778.793),(20 40320.65),(21 40945.137),(22 41269.973),(23 41770.105),(24 42275.777),(25 42772),(26 43457.195),(27 44543.637),(28 45332.71),(29 46049.867),(30 47158.324),(31 47942.844),(32 48157.418),(33 48853.066),(34 48796.94),(35 48220.094),(36 48148.734),(37 48116.824),(38 47848.07),(39 47947.98),(40 48369.492),(41 48539.844),(42 48311.082),(43 48414.31),(44 48426.47),(45 48894.336),(46 49323.35),(47 49747.52),(48 50318.75),(49 50049.563),(50 50320.15),(51 50111.082),(52 49867.426),(53 50508.25),(54 51303.957),(55 51145.266),(56 50998.58),(57 50738.547),(58 50367.465),(59 50031.844),(60 49444.66),(61 49795.703),(62 49595.273),(63 49719.85),(64 50087.27),(65 50387.313),(66 50383.84),(67 50594.97),(68 50794.258),(69 50641.465),(70 50296.43),(71 50208.547),(72 50155.563),(73 49942.875),(74 50800.867),(75 51666.465),(76 51714.207),(77 51563.008),(78 51923.465),(79 52358.875),
(1 7923.889),(2 16007.674),(3 18676.258),(4 19724.912),(5 20995.531),(6 21821.709),(7 23393.887),(8 24538.098),(9 25872.416),(10 27606.867),(11 29663.002),(12 31076.385),(13 32213.922),(14 32883.195),(15 33847.06),(16 35286.53),(17 36716.35),(18 38007.29),(19 40055.957),(20 41198.62),(21 41926.465),(22 43010.305),(23 43613.195),(24 43884.887),(25 44612.32),(26 45105.09),(27 45944.64),(28 46163.6),(29 46657.516),(30 47861.375),(31 48528.402),(32 48778.91),(33 49109.434),(34 49524.92),(35 49018.023),(36 48681.36),(37 48624.145),(38 48582.93),(39 48877.72),(40 49148.664),(41 49128.85),(42 49219.645),(43 49276.74),(44 49098.33),(45 49263.363),(46 49348.535),(47 49806.58),(48 49478.586),(49 49759.137),(50 49845.492),(51 50089.11),(52 50265.645),(53 50177.363),(54 50525.414),(55 50639.04),(56 50630.06),(57 50549.605),(58 50391.617),(59 50327.69),(60 50020.65),(61 50115.125),(62 50062.363),(63 49672.492),(64 50202.207),(65 50160.566),(66 49925.39),(67 49858.227),(68 49671.56),(69 49310.645),(70 48709.35),(71 48749.453),(72 49523.266),(73 49442.996),(74 49652.285),(75 50336.836),(76 50777.26),(77 50886.375),(78 50895.582),(79 51353.742),
(1 7598.0674),(2 14878.129),(3 17206.89),(4 18616.754),(5 19926.484),(6 20655.355),(7 22286.41),(8 23779.959),(9 25010.887),(10 26552.723),(11 28104.42),(12 28981.447),(13 29636.432),(14 30256.793),(15 31562.822),(16 33438.7),(17 34855.934),(18 36131.34),(19 37477.33),(20 38147.797),(21 38755.656),(22 40116.844),(23 40948.625),(24 41303.85),(25 41907.004),(26 42595.734),(27 43184.953),(28 43284.535),(29 43838.77),(30 44605.445),(31 44528.414),(32 44663.297),(33 45673.76),(34 45971.2),(35 45567.02),(36 45417.383),(37 45342.207),(38 45157.93),(39 44999.93),(40 45232.41),(41 45159.1),(42 45394.984),(43 45834.363),(44 45865.87),(45 45643.977),(46 45654.766),(47 46288.027),(48 46354.918),(49 46677.02),(50 47066.008),(51 47523.574),(52 47767.06),(53 47895.004),(54 47437.89),(55 47475.688),(56 47465.023),(57 47415.46),(58 47146.21),(59 47244.563),(60 46885.484),(61 46632.074),(62 46855.844),(63 47057.086),(64 46978.625),(65 47051.434),(66 46830.684),(67 46847.453),(68 46737.598),(69 46691.17),(70 46364.137),(71 46316.21),(72 46397.477),(73 46615.24),(74 46533.137),(75 46375.773),(76 46427.023),(77 46820.35),(78 46926.055),(79 47322.43),
(1 7227.9243),(2 14116.614),(3 16293.389),(4 17592.951),(5 18978.959),(6 19786),(7 21645.639),(8 23623.633),(9 25074.521),(10 26483.508),(11 27906.633),(12 29063.604),(13 30185.555),(14 31285.035),(15 32755.736),(16 34400.39),(17 35994.965),(18 37183.258),(19 38258.867),(20 38601.293),(21 39549.395),(22 41388.695),(23 42539.824),(24 42892.867),(25 43119.34),(26 43571.453),(27 44173.188),(28 44714.746),(29 45392.68),(30 46239.863),(31 46201.594),(32 45853.367),(33 46394.586),(34 46833.543),(35 46531.227),(36 46325.164),(37 46300.95),(38 46184.984),(39 46195.72),(40 46061.152),(41 46035.46),(42 46008.105),(43 46045.176),(44 46265.168),(45 46461.86),(46 46768.5),(47 46972.402),(48 46798.71),(49 46780.363),(50 47125.992),(51 47273.492),(52 47807.586),(53 48465.305),(54 48656.59),(55 49039.254),(56 49324.996),(57 49096.758),(58 48543.3),(59 48698.824),(60 49175.555),(61 49089.758),(62 48994.45),(63 48935.617),(64 48914.8),(65 48962.434),(66 49213.52),(67 49298.766),(68 49164.637),(69 49297.773),(70 49095.96),(71 49111.594),(72 49344.3),(73 49216.492),(74 49094.816),(75 49081.883),(76 49280.234),(77 49791.402),(78 49863.355),(79 50319.613),
(1 7268.1895),(2 14021.071),(3 16129.647),(4 17820.75),(5 19036.693),(6 19572.51),(7 21222.602),(8 22995.172),(9 24580.191),(10 25902.36),(11 27626.438),(12 28883.799),(13 29721.123),(14 31228.84),(15 33073.082),(16 34829.74),(17 36043.777),(18 37012.945),(19 38178.918),(20 39163.035),(21 40448.47),(22 41838.055),(23 42121.957),(24 42624.844),(25 43350.66),(26 43542.906),(27 43687.96),(28 44120.535),(29 45251.684),(30 46085.617),(31 46436.51),(32 46667.336),(33 46820.37),(34 46553.87),(35 46341.523),(36 46220.56),(37 45975.91),(38 46325.13),(39 46960.71),(40 47166.266),(41 46989.137),(42 46523.258),(43 46936.484),(44 47456.145),(45 47423.734),(46 47175.98),(47 47050.215),(48 46794.137),(49 47051.39),(50 46842.96),(51 46670.51),(52 46552.76),(53 46529.83),(54 46530.004),(55 46673.63),(56 46475.625),(57 45897.03),(58 45911.715),(59 45717.527),(60 45498.754),(61 45663.98),(62 45506.875),(63 44986.39),(64 44708.51),(65 44536.984),(66 44870.637),(67 44923.69),(68 44728.438),(69 45015.02),(70 45039.844),(71 45104.734),(72 45478.55),(73 45952.37),(74 46153.242),(75 46909.504),(76 47359.035),(77 47847.73),(78 48615.375),(79 48701.96),
(1 7464.139),(2 13859.32),(3 15699.045),(4 17831.057),(5 19239.377),(6 19402.732),(7 20835.785),(8 22429.191),(9 23581.803),(10 24729.7),(11 26487.957),(12 27689.004),(13 28627.516),(14 30010.832),(15 31578.813),(16 32950.7),(17 34754.99),(18 36059.99),(19 37216.117),(20 37944.74),(21 38847.184),(22 40287.473),(23 41308.68),(24 42192.82),(25 42815.723),(26 43035.406),(27 43769.65),(28 44417.574),(29 45667.4),(30 46840.32),(31 47282.92),(32 47377.97),(33 47189.785),(34 47026.637),(35 47411.527),(36 47519.977),(37 47729.715),(38 48306.285),(39 48344.703),(40 48339.57),(41 48385.547),(42 48581.547),(43 48440.93),(44 48757.535),(45 48974.125),(46 48507.72),(47 47882.45),(48 48010.72),(49 48650.063),(50 49296.94),(51 49661.355),(52 49744.637),(53 49947.68),(54 50217.547),(55 50292.3),(56 49976.33),(57 49837.938),(58 49750.08),(59 49803.387),(60 50000.676),(61 50125.46),(62 49749.027),(63 49687.19),(64 49459.39),(65 49337.266),(66 49295.656),(67 49686.004),(68 50179.008),(69 50258.77),(70 49850.027),(71 49899.05),(72 50195.91),(73 50069.418),(74 50018.44),(75 50139.605),(76 50120.07),(77 50833.598),(78 51540.445),(79 51792.17),
(1 7287.163),(2 13686.464),(3 15748.221),(4 17688.156),(5 19302.166),(6 19566.387),(7 21336.914),(8 23587.666),(9 24883.93),(10 26176.672),(11 27856.81),(12 28850.658),(13 29900.625),(14 31392.922),(15 32821.805),(16 33634.94),(17 34935.777),(18 36474.32),(19 37636.047),(20 38473.05),(21 39720.156),(22 40879.676),(23 41636.844),(24 42263.59),(25 43327.324),(26 43683.3),(27 44240.426),(28 44459.832),(29 44973.27),(30 45674.984),(31 46377.53),(32 46841.742),(33 46678.105),(34 46372.07),(35 46428.37),(36 46353.477),(37 46059.266),(38 46319.684),(39 46763.6),(40 46740.523),(41 46843.94),(42 47133.824),(43 47205.81),(44 47074.59),(45 47239.5),(46 47046.85),(47 46856.15),(48 46636.05),(49 46472.293),(50 46377.082),(51 46637.965),(52 46811.43),(53 46645.418),(54 46804.035),(55 46831.684),(56 46134.35),(57 45668.855),(58 45604.426),(59 45731.12),(60 45895.47),(61 45732.52),(62 45368.69),(63 45242.242),(64 45152.83),(65 44984.297),(66 44922.953),(67 44993.152),(68 44929.06),(69 45350.82),(70 45574.027),(71 46015.57),(72 46234.992),(73 46394.65),(74 46736.477),(75 47399.83),(76 47921.895),(77 48824.75),(78 49350.242),(79 50016.75),
(1 7002.943),(2 13215.266),(3 15143.883),(4 17059.15),(5 18412.025),(6 18946.16),(7 20463.611),(8 22353.725),(9 23810.813),(10 24903.621),(11 26291.326),(12 27647.145),(13 28778.838),(14 29667.762),(15 31052.197),(16 32153.87),(17 33639.063),(18 35200.793),(19 36094.023),(20 36770.453),(21 38068.684),(22 39212.496),(23 39832.43),(24 40477.29),(25 40858.973),(26 41212.684),(27 41781.16),(28 42262.91),(29 42548.33),(30 43027.8),(31 43468.145),(32 43664.652),(33 43731.59),(34 43598.883),(35 43151.54),(36 42590.516),(37 42479.832),(38 42728.434),(39 42727.25),(40 43043.21),(41 43097.883),(42 43327.484),(43 43732.89),(44 43851.215),(45 43641.223),(46 43575.6),(47 43764.58),(48 43624.277),(49 43278.965),(50 43189.9),(51 43704.727),(52 43921.035),(53 44264.35),(54 44378.18),(55 44253.2),(56 43774.984),(57 43815.297),(58 43872.188),(59 44336.246),(60 44407.9),(61 44323.617),(62 44492.383),(63 44488.848),(64 44533.734),(65 44193.586),(66 44356.227),(67 44691.84),(68 45087.266),(69 45754.504),(70 46268.703),(71 46820.3),(72 47001.19),(73 47228.164),(74 47443.46),(75 47346.223),(76 47373.793),(77 47609.184),(78 47933.605),(79 48657.1),
(1 7122.543),(2 13484.241),(3 14987.762),(4 16604.7),(5 17731.934),(6 18173.629),(7 19563.83),(8 21034.328),(9 22282.586),(10 23808.844),(11 25103.813),(12 26152.348),(13 26873.104),(14 27585.14),(15 28865.604),(16 30626.742),(17 32046.166),(18 33549.855),(19 34920.297),(20 35374.453),(21 36215.08),(22 37186.934),(23 37654.242),(24 38176.52),(25 39279.207),(26 40240.902),(27 40881.004),(28 41137.8),(29 41135.934),(30 41286.555),(31 42149.266),(32 42929.71),(33 43050.043),(34 43023.965),(35 43170.984),(36 42990.508),(37 43182.984),(38 43692.176),(39 43588.285),(40 43576.176),(41 43842.375),(42 44014.36),(43 44024.008),(44 43989.785),(45 43832.84),(46 43763.44),(47 43820.793),(48 43887.445),(49 44004.008),(50 43918.05),(51 43955.363),(52 44134.836),(53 43882.64),(54 43981.105),(55 43719.08),(56 43389.227),(57 43670.023),(58 43906.207),(59 43809.152),(60 43665.586),(61 43859.79),(62 43862.047),(63 43890.69),(64 43786.266),(65 43266.508),(66 43048.563),(67 43139.746),(68 43295.496),(69 43585.43),(70 43837.313),(71 43857.59),(72 43841.086),(73 44129.484),(74 44321.98),(75 44408.285),(76 44842.535),(77 44751.492),(78 44884.992),(79 44987.33),
(1 6707.555),(2 12634.34),(3 14186.356),(4 16100.431),(5 16904.973),(6 17651.598),(7 19031.537),(8 20359.54),(9 21632.92),(10 23284.701),(11 25081.916),(12 26134.014),(13 26851.945),(14 27693.799),(15 29151.451),(16 30515.5),(17 31737.166),(18 33317.85),(19 34673.33),(20 35395.953),(21 36284.62),(22 36963.598),(23 37819.73),(24 38441.61),(25 39245.543),(26 39696.035),(27 39919.16),(28 40324.645),(29 40911.305),(30 40919.953),(31 41095.008),(32 41523.605),(33 41304.305),(34 41009.98),(35 40870.727),(36 40727.965),(37 40833.684),(38 41107.11),(39 41168.56),(40 41306.867),(41 41306.883),(42 40957.875),(43 41043.12),(44 41276.266),(45 41515.93),(46 41545.707),(47 41688.977),(48 42329.996),(49 42177.016),(50 42176.668),(51 42227.355),(52 42143.742),(53 42040.473),(54 41996.58),(55 42140.34),(56 42250.707),(57 42454.6),(58 42410.297),(59 41989.777),(60 41825.9),(61 41896.242),(62 41711.527),(63 41862.63),(64 41482.406),(65 41029.02),(66 40849.074),(67 40617.652),(68 40747.66),(69 41497.324),(70 41763.773),(71 41734.242),(72 41629.527),(73 42160.402),(74 42402.12),(75 42682.395),(76 43458.55),(77 43529.332),(78 43479.215),(79 43724.867),
(1 6727.497),(2 12500.14),(3 14053.945),(4 15351.538),(5 16229.701),(6 17093.975),(7 18485.543),(8 19993.838),(9 21092.91),(10 22265.59),(11 23565.588),(12 24764.545),(13 25845.998),(14 26925.836),(15 28620.664),(16 30046.309),(17 30998.66),(18 32202.357),(19 33140.313),(20 33980.05),(21 35013.97),(22 35861.824),(23 36385.32),(24 37320.594),(25 37932.95),(26 38091.117),(27 38746.44),(28 39076.844),(29 39423.43),(30 39732.395),(31 39891.527),(32 39987.566),(33 39851.793),(34 40008.92),(35 40150.33),(36 39868.22),(37 40107.598),(38 39989.293),(39 39764.41),(40 39817.97),(41 39846.633),(42 39653.734),(43 39694.082),(44 39627.863),(45 39595.54),(46 39615.33),(47 39922.504),(48 39984.23),(49 40117.676),(50 40264.188),(51 40541.3),(52 40478.7),(53 40770.63),(54 40467.195),(55 39927.418),(56 39908.668),(57 40235.97),(58 39825.453),(59 39763.03),(60 39931.082),(61 40309.992),(62 40229.07),(63 40378.67),(64 40526.023),(65 40442.484),(66 40346.605),(67 40044.598),(68 40086.523),(69 40663.027),(70 40474.816),(71 40223.79),(72 40187.516),(73 40279.152),(74 40367.06),(75 40632.625),(76 41091.07),(77 41457.55),(78 41662.05),(79 42052.63),
(1 6762.3774),(2 12232.788),(3 13541.305),(4 15321.638),(5 16360.615),(6 16938.422),(7 18437.838),(8 19978.146),(9 21170),(10 22199.69),(11 23445.93),(12 24873.738),(13 25869.563),(14 26911.45),(15 28284.59),(16 29807.523),(17 30985.275),(18 32117.443),(19 33113.98),(20 33902.95),(21 35284.574),(22 36112.76),(23 36500.754),(24 37363.53),(25 37667.48),(26 37658.355),(27 38430.938),(28 38803.594),(29 38985.805),(30 38962.387),(31 39147.83),(32 39323.453),(33 38980.83),(34 39125.55),(35 39061.32),(36 39071.74),(37 39105.465),(38 38969.67),(39 39181.777),(40 39314.38),(41 39319.62),(42 39396.24),(43 39258.063),(44 39581.07),(45 39684.49),(46 39680.887),(47 39891.957),(48 39742.484),(49 39563.938),(50 39645.516),(51 39892.8),(52 40084.793),(53 40100.617),(54 40011.645),(55 39665.434),(56 39326.57),(57 39406.625),(58 39160.516),(59 38800.58),(60 38898.316),(61 38951.63),(62 39258.133),(63 39079.137),(64 38637.117),(65 38471.863),(66 38209.3),(67 38221.41),(68 38472.957),(69 38761.953),(70 39095.246),(71 39422.613),(72 39651.05),(73 39653.754),(74 39665.246),(75 40007.855),(76 40710.766),(77 41471.703),(78 41680.125),(79 41723.93),
(1 6822.551),(2 12490.193),(3 14123.086),(4 16014.059),(5 16972.973),(6 17942.686),(7 19466.193),(8 21080.998),(9 22160.344),(10 23322.887),(11 24660.523),(12 25695.566),(13 26613.297),(14 27869.049),(15 29430.092),(16 30693.61),(17 32031.297),(18 33257.22),(19 34143.066),(20 35063.637),(21 35864.066),(22 36521.24),(23 37231.29),(24 37962),(25 38164.65),(26 38340.91),(27 39582.863),(28 40632.563),(29 40839.723),(30 40979),(31 41331.344),(32 41000.04),(33 40822.29),(34 40837.047),(35 40375.656),(36 40253.863),(37 40446.59),(38 40230.65),(39 40370.09),(40 40532.605),(41 40589.547),(42 40700.066),(43 40807.734),(44 40619.652),(45 40558.16),(46 40542.16),(47 40663.906),(48 40752.625),(49 41005.813),(50 41367.094),(51 41246.883),(52 41228.59),(53 41409.996),(54 41172.53),(55 41270.934),(56 41442.64),(57 41407.344),(58 41302.94),(59 41358.516),(60 41470.957),(61 41030.84),(62 41144.98),(63 41229.68),(64 40950.473),(65 41153.94),(66 41139.145),(67 41011.938),(68 41187.08),(69 40898.457),(70 40635.105),(71 40728.668),(72 40649.977),(73 40730.65),(74 41103.266),(75 41731.313),(76 42309.832),(77 42709.305),(78 42741.69),(79 42460.063),
