1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 8069.078),(2 15743.394),(3 33724.938),(4 48224.863),(5 66732.87),(6 84004.01),(7 108834.75),(8 132688.7),(9 157296.08),(10 180410.2),(11 213733.92),(12 244673.75),(13 287808.7),(14 329241.22),(15 389766.25),(16 442588.5),(17 488795.75),(18 544637.8),(19 595536.56),(20 646905.25),(21 701477.3),(22 749255),(23 807309.3),(24 856426),(25 915984),(26 983704.56),(27 1066424.6),(28 1136198.9),(29 1227392.1),(30 1312403.6),(31 1405045.4),(32 1495985.4),(33 1585468.6),(34 1670735.1),(35 1752373.6),(36 1837966.4),(37 1925196.4),(38 2021854),(39 2132487.5),(40 2232837),(41 2339689.8),(42 2441864.8),(43 2561997.8),(44 2682375.3),(45 2802283.8),(46 2927864),(47 3050831.3),(48 3171032),(49 3312994.3),(50 3433774),(51 3580116.8),(52 3738388),(53 3899190.8),(54 4066652),(55 4256671.5),(56 4462364),(57 4646065.5),(58 4843877.5),(59 5049238.5),(60 5246860),(61 5479348.5),(62 5709195.5),(63 5961006.5),(64 6190152.5),(65 6426824),(66 6674690.5),(67 6907172),(68 7184179.5),(69 7456280.5),(70 7722976),(71 8001822.5),(72 8260056.5),(73 8515660),(74 8743591),(75 8988733),(76 9219281),(77 9440768),(78 9668303),(79 9948612),
(1 6932.4487),(2 21580.043),(3 37209.617),(4 50382.098),(5 59886),(6 65253.77),(7 67921.445),(8 68948.94),(9 69033.49),(10 68684.39),(11 68539.91),(12 68877.69),(13 69483.79),(14 70499.93),(15 72132.07),(16 73430.92),(17 74175.484),(18 74153.34),(19 74445.61),(20 75585.66),(21 76887.3),(22 78005.555),(23 78330.05),(24 77644.336),(25 77571.91),(26 78570.305),(27 80117.586),(28 81386.61),(29 82462.625),(30 82765.35),(31 82434.48),(32 81908.35),(33 81428.93),(34 81055.07),(35 80741.35),(36 80924.98),(37 80831.56),(38 81143.92),(39 82026.5),(40 82919.766),(41 83726.99),(42 83867.766),(43 82708.72),(44 80882.06),(45 79836.68),(46 79517.41),(47 79633.28),(48 80344.27),(49 81372.65),(50 82618.2),(51 83670.43),(52 84114.01),(53 84419.734),(54 84420.266),(55 84573.02),(56 84856.41),(57 84459.664),(58 83340.99),(59 82028.23),(60 81171.04),(61 80888.56),(62 80571.72),(63 79935.17),(64 79825.016),(65 80476.8),(66 81307.07),(67 82840.32),(68 84246.47),(69 84912.04),(70 85027.31),(71 84680.46),(72 83968.35),(73 83435.54),(74 83381.44),(75 83102.04),(76 82627.18),(77 82768.04),(78 83434.03),(79 84021.76),
(1 7251.866),(2 22810.12),(3 39667.56),(4 53433.67),(5 62083.313),(6 66636.45),(7 68789.11),(8 69238.04),(9 68296.12),(10 67279.4),(11 67184.664),(12 68243.21),(13 69621.234),(14 71150.41),(15 72706.445),(16 74452.125),(17 75543.125),(18 75794.55),(19 75681.82),(20 75879.086),(21 76224.99),(22 76947.77),(23 77928.625),(24 77768.84),(25 77904.55),(26 78753.305),(27 79894.52),(28 80721.27),(29 81330.75),(30 82267.56),(31 83359.53),(32 83997.125),(33 83929.305),(34 83437.42),(35 82883.25),(36 83216.48),(37 84086.22),(38 85230.11),(39 86372.4),(40 86829.34),(41 87045.11),(42 86698.7),(43 86378.83),(44 87174.36),(45 88969.88),(46 90991.62),(47 92130.93),(48 93032.71),(49 93130.08),(50 92830.77),(51 92210.875),(52 91433.12),(53 91024.664),(54 91441.914),(55 92096.1),(56 92806.875),(57 92959.42),(58 92734.875),(59 92276.44),(60 90960.195),(61 89283.586),(62 87724.805),(63 87056.63),(64 87146.71),(65 87617.75),(66 88131.48),(67 88051.195),(68 87148.914),(69 86244.17),(70 85629.97),(71 85145.79),(72 85096.75),(73 84973.75),(74 84860.414),(75 84468.77),(76 84050.9),(77 84334.58),(78 85273.82),(79 86181.99),
(1 6950.532),(2 21790.803),(3 37593.73),(4 49988.953),(5 58250.367),(6 62676.234),(7 64338.766),(8 64670.434),(9 64468.78),(10 64797.594),(11 65327.754),(12 66423.63),(13 67613.85),(14 68879.24),(15 70123.53),(16 71182.664),(17 71965.39),(18 72808.47),(19 73153.125),(20 73630.41),(21 74608.71),(22 75578.695),(23 76252.914),(24 76413.67),(25 76423.44),(26 76643.945),(27 77432.08),(28 78402.336),(29 79015.31),(30 78939.11),(31 78019.99),(32 76672.734),(33 75501.21),(34 74911.93),(35 74876.086),(36 75295.46),(37 75666.22),(38 75514.445),(39 75283.51),(40 75340.25),(41 76321.31),(42 77504.47),(43 79283.805),(44 82172.47),(45 84559.21),(46 85944.04),(47 86748.44),(48 87249.65),(49 86139.77),(50 84212.65),(51 81868.69),(52 80454.625),(53 80380.73),(54 80091.65),(55 79582.055),(56 79559.86),(57 79334.53),(58 79249.79),(59 79107.01),(60 79507.49),(61 80318.19),(62 80727.71),(63 81237),(64 81524.59),(65 82029.375),(66 83014.89),(67 83275.664),(68 82566.195),(69 81671.79),(70 81108.44),(71 81425.15),(72 82279.17),(73 82381.695),(74 81825.6),(75 81139.35),(76 80238.5),(77 79571.336),(78 79450.586),(79 79822.19),
(1 6954.6377),(2 21604.46),(3 37332.684),(4 50074.555),(5 58719.14),(6 63575.598),(7 65814.21),(8 66079.484),(9 66198.61),(10 67132.625),(11 68007.73),(12 69112.81),(13 70320.49),(14 71360.195),(15 72176.44),(16 72501.266),(17 72598.05),(18 72199.2),(19 71576.33),(20 71275.24),(21 70901.94),(22 70370.88),(23 69679.86),(24 69173.04),(25 69219.086),(26 70018.82),(27 71114.76),(28 72215.07),(29 73721.55),(30 74872.48),(31 75290.41),(32 75356.63),(33 75327.76),(34 75657.76),(35 76316.93),(36 76941.32),(37 76702.61),(38 76002.68),(39 75237.31),(40 74657.83),(41 74699.32),(42 75317.36),(43 76111.57),(44 76911.65),(45 77501.37),(46 77395.85),(47 77007.42),(48 77579.305),(49 78573.21),(50 79111.05),(51 79050.24),(52 79387.24),(53 79762.586),(54 79746.41),(55 79444.14),(56 79253.516),(57 78783.22),(58 78571.83),(59 78256.516),(60 77555.82),(61 76924.586),(62 76157.46),(63 75592.26),(64 75102.32),(65 74941.71),(66 75231.81),(67 75381.84),(68 75735.71),(69 76538.88),(70 77503.83),(71 77985.75),(72 78560.04),(73 78400.16),(74 77707.27),(75 77006.24),(76 76120.82),(77 75298.94),(78 74819.23),(79 74814.305),
(1 7275.7065),(2 22514.527),(3 38438.758),(4 50935.074),(5 59007.52),(6 62725.543),(7 63691.543),(8 63647.098),(9 63635.445),(10 63922.258),(11 64444.617),(12 65901.01),(13 68733.484),(14 71326.555),(15 72834.81),(16 73308.53),(17 72811.21),(18 72265.3),(19 71863.625),(20 71661.17),(21 71711.086),(22 71567.414),(23 71756.01),(24 72044.78),(25 72726.36),(26 74163.09),(27 75480.55),(28 75827.836),(29 74897.58),(30 73812.09),(31 71985.95),(32 70897.92),(33 71056.86),(34 71871.51),(35 72840.04),(36 73796.06),(37 73902.79),(38 73141.3),(39 72014.125),(40 71198.305),(41 71653.766),(42 72216.1),(43 72805.11),(44 73820.375),(45 74884.08),(46 75086.83),(47 74772.08),(48 74720.65),(49 74276.4),(50 73641.516),(51 72646.56),(52 72372.55),(53 72880.45),(54 73147.9),(55 72801.914),(56 72590.61),(57 72816.195),(58 73119.805),(59 72376.16),(60 70804.86),(61 69423.16),(62 69613.664),(63 71100.89),(64 73448.52),(65 75086.06),(66 75426.875),(67 75139.44),(68 74627.8),(69 74403.98),(70 74743.32),(71 75002.766),(72 75079.71),(73 74666.66),(74 74133.15),(75 73686.766),(76 73427.67),(77 73081.36),(78 72654.27),(79 72135.234),
(1 6980.0093),(2 21589.674),(3 37048.215),(4 49238.727),(5 56934.605),(6 60724.496),(7 62076.754),(8 62573.12),(9 62193.805),(10 61487.758),(11 61035.57),(12 61671.98),(13 63193.844),(14 64675.926),(15 65672.586),(16 66369.85),(17 66519.586),(18 66692.31),(19 66597.04),(20 66464.734),(21 66346.93),(22 66325.73),(23 66436.164),(24 66898.25),(25 67074.18),(26 67544.48),(27 67158.44),(28 66740.016),(29 66734.39),(30 67004.195),(31 67205.125),(32 67176.39),(33 67626.22),(34 67995.2),(35 68567.05),(36 69682.39),(37 70299.555),(38 70113.625),(39 68993.945),(40 68341.74),(41 69103.914),(42 70272.33),(43 71903.22),(44 73437.47),(45 73843.35),(46 73471.17),(47 72953.3),(48 72721.32),(49 72180.016),(50 71829.29),(51 71062.82),(52 70699.04),(53 71303.55),(54 72797.195),(55 73983.03),(56 74207.24),(57 74121.375),(58 74432.65),(59 74571.05),(60 75377.695),(61 76680.43),(62 77637.305),(63 77853.414),(64 77632.734),(65 76923.92),(66 76607.03),(67 76906.63),(68 77564.68),(69 78618.07),(70 79077.21),(71 78808.22),(72 78838.305),(73 78285.836),(74 77613.17),(75 77706.484),(76 77675.65),(77 77471.36),(78 76887.27),(79 76230.11),
(1 6626.8125),(2 20566.75),(3 35228.594),(4 46571.598),(5 53644.957),(6 57341.38),(7 59156.33),(8 60245.402),(9 60850.863),(10 61074.86),(11 60549.594),(12 60171.81),(13 60351.867),(14 60662.56),(15 61622.95),(16 63211.1),(17 64622.832),(18 66405.48),(19 67208.91),(20 67909.82),(21 68019.14),(22 68315.75),(23 68783.01),(24 69748.625),(25 70766.8),(26 70943.5),(27 70562.234),(28 70987.92),(29 71373.12),(30 70895.836),(31 69646.28),(32 68624.66),(33 68177.17),(34 68349.234),(35 69598.33),(36 70870.17),(37 71131.836),(38 70446.18),(39 69306.95),(40 69050.53),(41 69714.836),(42 70003.42),(43 70071.984),(44 70145.164),(45 69945.66),(46 69386.84),(47 68660.66),(48 69028.06),(49 69042.59),(50 68597.78),(51 67777.805),(52 67256.53),(53 67121.055),(54 66835.28),(55 66305.02),(56 66021.99),(57 64842.88),(58 63797.57),(59 63543.81),(60 63993.387),(61 64229.4),(62 64479.824),(63 64492.043),(64 64383.098),(65 64083.15),(66 63718.176),(67 63440.19),(68 63799.816),(69 63792.11),(70 64026.184),(71 63806.86),(72 64097.1),(73 64797.836),(74 65800.43),(75 66680.8),(76 67358.86),(77 67234.03),(78 66717.07),(79 66443.64),
(1 6634.236),(2 19969.93),(3 33542.47),(4 43946.55),(5 50673.19),(6 54632.543),(7 57043.26),(8 58105.984),(9 58362.16),(10 58309.41),(11 58499.906),(12 59326.746),(13 60504.93),(14 61025.88),(15 60991.47),(16 60221.3),(17 60091.79),(18 60599.914),(19 60489.285),(20 60267.168),(21 59569.95),(22 58590.598),(23 58547.004),(24 59820.52),(25 61468.625),(26 62517.33),(27 63017.668),(28 63281.945),(29 63114.746),(30 62906.004),(31 63179.758),(32 63737.02),(33 64488.484),(34 65825.19),(35 67399.22),(36 68305.984),(37 67350.4),(38 65710.336),(39 64008.234),(40 62810.652),(41 62868.906),(42 63741.91),(43 64640),(44 65073.84),(45 65330.05),(46 65761.234),(47 66345.89),(48 67171.125),(49 67683.41),(50 67651.88),(51 67330.94),(52 67307.78),(53 67688.84),(54 67896.56),(55 67940.54),(56 67701.83),(57 66982.91),(58 66196),(59 65635.086),(60 65278.668),(61 65278.855),(62 66029.89),(63 66992),(64 67759.37),(65 68440.586),(66 69133.67),(67 69497.18),(68 69685.06),(69 69717.18),(70 69826.016),(71 69900.19),(72 69712.59),(73 68925.54),(74 67869.76),(75 67022.29),(76 66317.445),(77 65781.06),(78 65878.99),(79 66428.08),
(1 6447.6587),(2 19568.998),(3 32874.715),(4 43166.527),(5 50074.41),(6 53907.867),(7 55769.527),(8 56306.414),(9 55866.29),(10 55625.14),(11 55864.633),(12 56597.14),(13 57004.5),(14 56932.105),(15 56998.586),(16 57612),(17 58593.055),(18 59371.58),(19 59947.453),(20 60331.49),(21 60071.957),(22 59386.656),(23 58827.992),(24 59144.168),(25 59981.586),(26 61049.42),(27 62210.44),(28 62842.043),(29 62942.1),(30 63139.465),(31 63840.6),(32 64578.53),(33 65227.043),(34 66070.414),(35 66565.05),(36 66532.336),(37 65865.91),(38 64892.813),(39 63834.98),(40 62922.656),(41 63353.113),(42 64412.508),(43 65274.504),(44 66292.19),(45 67562.16),(46 68570.414),(47 68910.91),(48 68744.555),(49 68387.72),(50 68266.39),(51 68314.68),(52 68455.13),(53 68195.734),(54 67600.18),(55 67052.59),(56 66468.055),(57 66637.18),(58 67366.11),(59 67265.3),(60 67056.64),(61 66558.81),(62 65650.79),(63 65467.7),(64 66290.44),(65 67142.58),(66 67270.22),(67 66763.24),(68 65748.414),(69 65001.355),(70 64740.844),(71 64778.133),(72 65399.945),(73 65925.875),(74 66195.26),(75 66504.06),(76 65869.766),(77 64872.805),(78 64231.34),(79 64618.414),
(1 6645.9316),(2 20173.084),(3 33980.76),(4 44608.8),(5 50889.215),(6 54019.477),(7 55305),(8 55560.152),(9 55512.11),(10 55517.92),(11 55772.184),(12 56486.15),(13 56633.6),(14 56006.61),(15 55642.52),(16 55656.566),(17 56308.05),(18 57440.203),(19 57627.023),(20 57901.33),(21 58234.758),(22 58434.07),(23 58914.973),(24 59893.4),(25 60766.047),(26 61565.64),(27 61744.3),(28 61928.656),(29 61866.12),(30 61867.5),(31 61948.906),(32 62236.465),(33 62274.184),(34 62229.86),(35 62177.953),(36 62458.445),(37 62850.15),(38 62860.094),(39 62951.473),(40 63069.797),(41 63279.527),(42 63221.684),(43 62709.434),(44 62190.242),(45 61701.88),(46 61822.504),(47 61972.797),(48 62249.09),(49 62053.293),(50 61663.84),(51 61448.38),(52 61419.6),(53 61404.805),(54 61560.56),(55 62311.89),(56 63072.195),(57 63556.52),(58 63091.973),(59 62686.953),(60 62922.19),(61 62633.027),(62 62277.293),(63 62603.105),(64 62918.22),(65 63243.62),(66 63528.465),(67 63702.53),(68 63749.566),(69 63398.703),(70 62885.28),(71 62370.523),(72 62311.28),(73 62254.727),(74 62498.344),(75 62873.367),(76 63570.746),(77 64566.715),(78 65063.293),(79 65215.902),
(1 6505.6865),(2 19913.754),(3 33658.176),(4 43627.36),(5 48906.496),(6 50835.582),(7 51303.19),(8 51390.633),(9 51831.23),(10 53412.375),(11 55682.9),(12 57706.055),(13 59090.34),(14 59511.203),(15 59047.72),(16 58341.184),(17 58077.72),(18 58150.5),(19 59014.78),(20 60875.098),(21 63150.047),(22 64714.055),(23 65586.06),(24 65521.176),(25 65377.027),(26 65191.164),(27 64611.04),(28 64422.97),(29 64675.234),(30 65331.438),(31 65454.965),(32 65713.805),(33 65602.55),(34 65239.316),(35 64876.598),(36 64878.64),(37 64649.39),(38 64137.273),(39 63665.824),(40 63444.742),(41 63207.086),(42 62745.17),(43 61699.86),(44 60780.355),(45 59839.664),(46 59287.1),(47 59064.004),(48 58832.363),(49 58218.293),(50 57862.773),(51 58303.203),(52 59364.227),(53 60387.992),(54 60969.844),(55 61251.758),(56 61273.887),(57 60569.04),(58 59874.02),(59 59632.957),(60 59814.516),(61 60515.57),(62 61337.44),(63 60666.93),(64 58857.797),(65 57371.387),(66 56939.48),(67 56952.21),(68 57581.414),(69 59105.395),(70 60989.332),(71 62048.895),(72 63016.535),(73 63367.164),(74 63053.83),(75 62581.246),(76 62702.895),(77 62957.316),(78 63638.8),(79 64032.875),
(1 6739.0117),(2 20323.227),(3 34221.367),(4 44134.11),(5 49408.152),(6 51224.383),(7 51023.67),(8 50063.67),(9 49128.4),(10 48947.355),(11 50261.28),(12 52397.67),(13 54392.008),(14 55662.555),(15 55945.54),(16 55514.48),(17 55086.023),(18 54933.063),(19 55183.668),(20 56192.266),(21 57203.78),(22 58080.984),(23 59029.895),(24 60148.453),(25 60820.32),(26 61180.44),(27 60640.11),(28 59795.555),(29 59072.617),(30 59386.777),(31 60285.67),(32 61493.28),(33 62803.887),(34 63466.234),(35 63294.375),(36 62861.723),(37 61798.402),(38 60232.297),(39 59056.83),(40 58266.574),(41 57541.965),(42 57031.184),(43 56978.94),(44 57284.434),(45 57525.16),(46 57561.617),(47 57154.543),(48 57019.676),(49 56960.72),(50 56937.605),(51 58060.62),(52 59592.984),(53 60950.223),(54 61611.59),(55 61534.836),(56 61117.906),(57 60341.848),(58 59617.785),(59 59466.58),(60 59757.465),(61 60040.504),(62 60202.758),(63 59570.45),(64 58062.855),(65 57258.668),(66 57480.484),(67 58264.56),(68 59267.32),(69 60250.2),(70 61367.926),(71 62101.17),(72 62776.734),(73 62816.832),(74 61838.316),(75 60470.508),(76 59724.242),(77 60019.266),(78 60283.73),(79 60409.074),
(1 6452.9653),(2 19646.293),(3 32984.1),(4 42623.47),(5 48069.934),(6 49818.76),(7 49803.63),(8 49194.71),(9 47651.574),(10 46666.19),(11 46679.082),(12 48078.508),(13 49900.707),(14 51255.215),(15 52257.48),(16 52511.094),(17 52364.434),(18 51942.266),(19 51391.332),(20 51584.176),(21 52672.58),(22 53926.26),(23 54958.133),(24 55875.38),(25 56082.66),(26 56099.3),(27 56238.57),(28 56785.086),(29 57378.668),(30 57815.23),(31 57641.875),(32 57306.91),(33 57535.71),(34 57580.17),(35 57129.742),(36 56561.816),(37 55944.008),(38 55365.03),(39 55094.805),(40 55386.57),(41 55755.164),(42 56723.81),(43 58088.973),(44 58591.332),(45 58819.023),(46 58811.227),(47 58277.44),(48 57433.49),(49 55702.37),(50 54666.62),(51 54524.63),(52 55184.316),(53 56909.61),(54 58309.297),(55 58943.48),(56 58766.516),(57 58228.4),(58 57523.586),(59 57519.406),(60 57862.934),(61 57853.53),(62 56919.918),(63 55424.977),(64 54118.508),(65 53957.91),(66 54759.652),(67 55618.285),(68 56355.98),(69 56889.066),(70 57157.02),(71 56742.37),(72 55798.24),(73 54754.53),(74 53584.945),(75 53106.418),(76 53859.11),(77 55380.547),(78 57072.66),(79 58159.477),
(1 6228.1543),(2 18700.428),(3 31363.846),(4 40429.895),(5 45686.047),(6 47905.246),(7 48507.918),(8 48417.133),(9 47904.527),(10 47740.535),(11 48437.496),(12 49810.94),(13 51235.65),(14 52246.1),(15 52971.875),(16 52968.34),(17 52144.16),(18 51350.64),(19 50540.367),(20 50514.04),(21 50558.953),(22 51068.008),(23 51573.316),(24 52247.15),(25 52306.418),(26 51640.484),(27 50747.207),(28 50359.117),(29 50453.543),(30 51204.266),(31 52234.703),(32 53122.668),(33 53950.723),(34 54324.285),(35 54006.793),(36 53165.633),(37 52751.61),(38 53195.12),(39 53528.125),(40 53561.32),(41 53285.977),(42 53163.426),(43 53225.05),(44 53750.277),(45 54485.258),(46 55650.52),(47 56341.293),(48 56824.625),(49 56752.188),(50 56737.957),(51 57250.465),(52 58169.965),(53 58827.07),(54 59569.355),(55 59652.66),(56 59198.617),(57 58538.563),(58 58164.39),(59 57840.8),(60 57280.977),(61 56719.71),(62 56292.71),(63 56158.582),(64 56268.363),(65 56832.297),(66 57120.164),(67 57402.58),(68 57462.582),(69 56784.793),(70 56141.918),(71 55619.69),(72 55269.523),(73 55180.45),(74 55348.41),(75 55069.547),(76 54818.652),(77 54677.285),(78 54404.45),(79 53908.508),
(1 6150.489),(2 18161.092),(3 30016.367),(4 38489.188),(5 43603.24),(6 45869.848),(7 46502.996),(8 46102.445),(9 45917.746),(10 46499.77),(11 47753.61),(12 49281.156),(13 50476.11),(14 50623.195),(15 49977.51),(16 49151.83),(17 48610.813),(18 48420.37),(19 48399.547),(20 48679.652),(21 49199.96),(22 50354.38),(23 51333.734),(24 52237.258),(25 52273.27),(26 51416.883),(27 50312),(28 49648.61),(29 50549.53),(30 51675.043),(31 52368.418),(32 52377.273),(33 51900.145),(34 51020.01),(35 50424.164),(36 50505.87),(37 51205.57),(38 52037.266),(39 52545.094),(40 52391.19),(41 52491.54),(42 52855.438),(43 52886.875),(44 52759.62),(45 53081.867),(46 53277.293),(47 53503.484),(48 53971.83),(49 54370.62),(50 54424.645),(51 54656.08),(52 55184.992),(53 55426.074),(54 54642.46),(55 54008.297),(56 54413.074),(57 55198.266),(58 56416.844),(59 57506.043),(60 57727.21),(61 57853.594),(62 57654.97),(63 56683.51),(64 56361.277),(65 56782.594),(66 57302.11),(67 56455),(68 55476.527),(69 55350.387),(70 55943.504),(71 56912.297),(72 57983.207),(73 58629.89),(74 58358.93),(75 57806.777),(76 56830.83),(77 55895.223),(78 55279.645),(79 55483.42),
(1 5998.7437),(2 17954.16),(3 29497.127),(4 37870.508),(5 42541.996),(6 44738.387),(7 45375.734),(8 45363.293),(9 45218.695),(10 45567.293),(11 46265.953),(12 47393.29),(13 48564.652),(14 48878.582),(15 48790.953),(16 48914.56),(17 48839.69),(18 48755.824),(19 48727.645),(20 48623.668),(21 48231.3),(22 48285.633),(23 48680.184),(24 49624.992),(25 50307.07),(26 50715.652),(27 50845.008),(28 50975.316),(29 51294.086),(30 51788.95),(31 52242.016),(32 52659.434),(33 53453.53),(34 53672.266),(35 53377.99),(36 52654.53),(37 51725.69),(38 50774.473),(39 50169.742),(40 50182.527),(41 50817.52),(42 51361.27),(43 52061.586),(44 52397.484),(45 51907.99),(46 51360.03),(47 50370.133),(48 49904.707),(49 50291.156),(50 51093.145),(51 52063.414),(52 52935.49),(53 53858.324),(54 54172.41),(55 54446.516),(56 53812.332),(57 52427.707),(58 51778.605),(59 51719.18),(60 51856.684),(61 51869.7),(62 52186.12),(63 52246.48),(64 52320.66),(65 52513.227),(66 53040.582),(67 53108.176),(68 53173.574),(69 53535.74),(70 53961.4),(71 54080.875),(72 54338.543),(73 54354.074),(74 54359.69),(75 54561.47),(76 54609.08),(77 54771.715),(78 55200.734),(79 55154.375),
(1 5739.805),(2 17055.742),(3 27871.055),(4 35326.34),(5 39176.703),(6 40353.63),(7 40464.625),(8 39906.504),(9 39515.07),(10 39802.36),(11 40594.402),(12 41917.023),(13 42836.477),(14 43498.21),(15 44284.7),(16 44666.73),(17 44707.324),(18 44486.285),(19 44435.14),(20 45206.31),(21 46623.953),(22 48313.105),(23 49832.887),(24 50607.39),(25 50543.984),(26 50168.56),(27 49978.625),(28 50201.957),(29 50891.277),(30 51730.625),(31 52297.047),(32 53040.227),(33 53985.508),(34 53994.516),(35 53078.855),(36 51347.324),(37 49826.668),(38 48973.496),(39 48853.35),(40 49465.766),(41 50323.395),(42 51235.992),(43 51998.64),(44 52541.254),(45 52266.383),(46 51483.19),(47 51149.336),(48 51360.773),(49 51712.375),(50 51710.06),(51 51409.465),(52 51360.234),(53 50835.3),(54 49868.7),(55 49697.367),(56 49717.133),(57 49356.56),(58 49171.85),(59 48846.984),(60 48635.805),(61 48793.727),(62 49697.33),(63 50425.06),(64 50935.867),(65 51794.434),(66 53112.09),(67 54015.375),(68 54247.875),(69 53927.223),(70 53411.785),(71 53081.84),(72 52936),(73 52743.766),(74 52795.25),(75 53438.555),(76 54403.285),(77 54762.938),(78 54699.504),(79 54131.87),
