1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 56175.723),(2 167964.78),(3 352536.16),(4 602044.75),(5 896079),(6 1243462.6),(7 1646730.1),(8 2091150.4),(9 2584868.8),(10 3111169.3),(11 3672009.3),(12 4253942),(13 4862684.5),(14 5463295.5),(15 6090782),(16 6739606.5),(17 7406387.5),(18 8105883.5),(19 8809759),(20 9518332),(21 10262317),(22 11051027),(23 11881463),(24 12679616),(25 13478236),(26 14294865),(27 15191427),(28 16054568),(29 16892810),(30 17714802),(31 18575174),(32 19429270),(33 20295906),(34 21199966),(35 22092904),(36 23005888),(37 23913366),(38 24858128),(39 25810950),(40 26742480),(41 27620038),(42 28399046),(43 29134912),(44 29796512),(45 30435134),(46 31063666),(47 31773562),(48 32469686),(49 33086778),(50 33753612),(51 34326060),(52 34938596),(53 35333916),(54 35547188),(55 35654972),(56 35816724),(57 36019596),(58 36271228),(59 36509988),(60 36746732),(61 36937680),(62 37168756),(63 37479936),(64 37727316),(65 38052388),(66 38434530),(67 38875332),(68 39327284),(69 39757180),(70 40229360),(71 40770428),(72 41318670),(73 41858456),(74 42464344),(75 43137524),(76 43990480),(77 44811012),(78 45761570),(79 46633504),
(1 17463.316),(2 24996.666),(3 27487.867),(4 28698.451),(5 29101.129),(6 32112.574),(7 31541.697),(8 31029.049),(9 32144.479),(10 33383.953),(11 34272.008),(12 34699.492),(13 35142.535),(14 35316.816),(15 36060.918),(16 36828.008),(17 36340.715),(18 36439.066),(19 36189.15),(20 36788.023),(21 37549.617),(22 36639.707),(23 37485.965),(24 37825.758),(25 38864.594),(26 39409.043),(27 39778.85),(28 40025.7),(29 39669.223),(30 39620.668),(31 40719.973),(32 41371.11),(33 41265.14),(34 42003.234),(35 42016.8),(36 41305.684),(37 41063.93),(38 41957.63),(39 42923.246),(40 42891.47),(41 43283.703),(42 43312.832),(43 43303.78),(44 43411.582),(45 44415.09),(46 44314.008),(47 42890.7),(48 43828.465),(49 43834.76),(50 43656.586),(51 43500.03),(52 43166.773),(53 43634.895),(54 43804.832),(55 43310.215),(56 42374.55),(57 42329.7),(58 42346.367),(59 42183.17),(60 42475.266),(61 43093.715),(62 44051.14),(63 44891.273),(64 44085.277),(65 43511.023),(66 44001.516),(67 43988.723),(68 44280.42),(69 44386.043),(70 44645.594),(71 44917.875),(72 46789.98),(73 47102.74),(74 46435.453),(75 47312.656),(76 47446.95),(77 48500.945),(78 49795.42),(79 49433.34),
(1 17713.61),(2 25834.732),(3 28757.412),(4 29978.902),(5 30431.27),(6 33011.38),(7 32023.025),(8 32266.365),(9 33959.816),(10 35539.78),(11 34835.26),(12 35053.195),(13 35937.63),(14 36928.363),(15 37208.535),(16 37085.645),(17 37440.484),(18 37962.285),(19 38199.184),(20 38138.508),(21 37461.895),(22 36978.87),(23 38203.72),(24 39201.504),(25 39401.47),(26 40569.24),(27 41043.133),(28 39925.99),(29 39528.402),(30 40075.348),(31 41100.836),(32 40745.945),(33 40664.625),(34 42474.332),(35 42091.453),(36 42248.44),(37 42137.734),(38 42188.324),(39 42630.367),(40 42254.098),(41 42957.28),(42 42896.45),(43 43728.277),(44 43823.31),(45 44528.477),(46 45547.59),(47 45218.465),(48 44755.074),(49 44481.434),(50 44749.62),(51 44414.008),(52 44123.168),(53 44740.04),(54 45157.445),(55 44300.76),(56 43524.008),(57 44181.734),(58 43345.1),(59 41920.35),(60 43868.684),(61 44387.38),(62 44621.703),(63 45992.75),(64 46149.152),(65 45716.617),(66 45161.586),(67 45557.793),(68 45405.082),(69 45209.934),(70 45703.96),(71 46179.414),(72 46979.76),(73 46513.613),(74 46362.574),(75 46173.367),(76 47070.582),(77 47327.04),(78 47824.258),(79 48612.99),
(1 17065.754),(2 23493.75),(3 25753),(4 27307.754),(5 27741.494),(6 30687.883),(7 29947.783),(8 30393.682),(9 32421.229),(10 32546.877),(11 31551.176),(12 31779.924),(13 32527.264),(14 32553.014),(15 32556.412),(16 33816.773),(17 34425.887),(18 33959.613),(19 34741.973),(20 35747.13),(21 35595.598),(22 34796.773),(23 35531.734),(24 37142.89),(25 38354.383),(26 38451.89),(27 39010.477),(28 37701.156),(29 36643.984),(30 36608.29),(31 37378.12),(32 36699.813),(33 36883.555),(34 38547.934),(35 38793.52),(36 38403.266),(37 38089.617),(38 38234.504),(39 38703.93),(40 39586.094),(41 40566.215),(42 39927.332),(43 40359.457),(44 40477.23),(45 39746.023),(46 40451.66),(47 40240.297),(48 40013.867),(49 39703.19),(50 39723.145),(51 40215.547),(52 40942.867),(53 40712.844),(54 41370.973),(55 41599.438),(56 40780.777),(57 41457.938),(58 41339.273),(59 41179.4),(60 41810.234),(61 42427.375),(62 42901.86),(63 42627.094),(64 42691.26),(65 42795.766),(66 41936.742),(67 42083.406),(68 42395.332),(69 41898.105),(70 42355.87),(71 42533.49),(72 42066.88),(73 41960.168),(74 43710.246),(75 44088.87),(76 44755.84),(77 44029.555),(78 44154.65),(79 44440.05),
(1 16221.733),(2 22039.121),(3 24723.102),(4 26728.469),(5 27076.11),(6 29420.488),(7 28688.67),(8 28455.896),(9 30572.822),(10 30469.256),(11 30682.287),(12 31163.936),(13 31388.79),(14 31806.924),(15 31927.488),(16 31598.191),(17 32231.158),(18 32728.44),(19 32849.203),(20 33033.543),(21 33191.617),(22 33337.793),(23 33629.816),(24 34724.707),(25 35560.348),(26 35168.863),(27 34990.78),(28 35048.68),(29 35938.285),(30 36379.203),(31 37027.684),(32 36815.195),(33 36698.086),(34 37424.336),(35 37270.13),(36 36570.4),(37 37547.934),(38 38199.25),(39 37630.355),(40 37373.105),(41 37465.71),(42 37990.977),(43 39129.105),(44 39311.004),(45 39152.633),(46 39023.33),(47 37640.62),(48 37454.297),(49 38071.203),(50 38129.895),(51 38531.19),(52 38951.875),(53 38447.5),(54 38838.586),(55 38717.9),(56 38980.645),(57 39152.34),(58 38945.684),(59 39565.563),(60 40266.688),(61 39813.383),(62 40034.766),(63 40322.438),(64 40543.297),(65 41134.33),(66 41900.848),(67 42015.914),(68 42173.027),(69 41528.715),(70 42390.813),(71 42638.305),(72 42343.043),(73 42545.004),(74 43148.605),(75 43206.83),(76 43696.83),(77 43283.215),(78 43820.145),(79 43842.145),
(1 16103.831),(2 22645.236),(3 25371.135),(4 27292.863),(5 28095.81),(6 29794.23),(7 29576.963),(8 29437.475),(9 31140.883),(10 31289.86),(11 31597.21),(12 31773.406),(13 32083.234),(14 32736.47),(15 33789.3),(16 34183.184),(17 35200.42),(18 35338.33),(19 35545.625),(20 35413.145),(21 34776.668),(22 35059.793),(23 34996.523),(24 35724.555),(25 36945.2),(26 36975.043),(27 36297.27),(28 36604),(29 36274.504),(30 36614.93),(31 37510.473),(32 36710.863),(33 35807.4),(34 35692.67),(35 36059.133),(36 35785.453),(37 36749.965),(38 36622.336),(39 36114.164),(40 36578.41),(41 36460.74),(42 37192.12),(43 37921.62),(44 38018.914),(45 37853.582),(46 37854.152),(47 38094.453),(48 38266.95),(49 38868.08),(50 39356.625),(51 40213.617),(52 40761.68),(53 40813.336),(54 40905.355),(55 39764.113),(56 39686.266),(57 40583.855),(58 41089.9),(59 41257.496),(60 41641.4),(61 40710.95),(62 40753.434),(63 40997.047),(64 41159.12),(65 40835.137),(66 40838.78),(67 40833.887),(68 40427.945),(69 39593.805),(70 40050.066),(71 40244.027),(72 40412.863),(73 40695.355),(74 41557.188),(75 40388.457),(76 40512.98),(77 40919.516),(78 41789.992),(79 41962.73),
(1 15183.258),(2 21542.883),(3 24134.068),(4 26689.266),(5 27516.46),(6 28804.621),(7 28007.23),(8 28014.748),(9 29348.34),(10 30058.666),(11 30730.246),(12 31077.03),(13 31476.96),(14 31169.45),(15 31305.332),(16 32070.143),(17 32800.855),(18 33303.273),(19 33989.62),(20 34156.23),(21 33975.586),(22 33382.02),(23 32468.742),(24 33103.227),(25 33978.125),(26 34882.516),(27 34636.945),(28 35022.91),(29 35677.516),(30 35973.832),(31 37160.98),(32 36652.5),(33 35345.492),(34 34669.72),(35 34676.504),(36 35369.785),(37 36397.86),(38 35748.68),(39 36258.74),(40 36641.938),(41 36493.195),(42 36619.582),(43 36466.184),(44 36033.887),(45 36614.93),(46 36306.824),(47 37236.727),(48 37869.176),(49 38572.203),(50 39426.645),(51 38838.434),(52 39014.117),(53 38640.152),(54 38836.277),(55 38491.02),(56 38062.227),(57 39114.39),(58 40056.88),(59 39759.508),(60 39698.85),(61 39408.813),(62 39389.543),(63 40496.473),(64 40626.484),(65 40993.027),(66 40277.016),(67 40822.543),(68 40618.38),(69 40518.492),(70 40573.95),(71 40933.64),(72 40514.96),(73 39974.906),(74 39653.527),(75 40050.84),(76 40462.68),(77 39845.64),(78 40748.24),(79 41178.313),
(1 14458.805),(2 20811.7),(3 23839.977),(4 25789.656),(5 26550.68),(6 28103.602),(7 27373.516),(8 27382.826),(9 28333.35),(10 29385.197),(11 30279.898),(12 30601.875),(13 30917.607),(14 29884.5),(15 29680.271),(16 30358.063),(17 30996.85),(18 31049.305),(19 30517.541),(20 30726.045),(21 31121.918),(22 31684.178),(23 31525.104),(24 32379.309),(25 32213.816),(26 32078.21),(27 32009.777),(28 32711.426),(29 33141.41),(30 32499.45),(31 34007.26),(32 34170.188),(33 33558.176),(34 33352.48),(35 33310.89),(36 33412.848),(37 33303.25),(38 33854.07),(39 35697.113),(40 36008.3),(41 35803.938),(42 35190.207),(43 34839.89),(44 35437.66),(45 34999.23),(46 34803.402),(47 35041.08),(48 35354.406),(49 35321.383),(50 36289.906),(51 35847.082),(52 36519.734),(53 36587.105),(54 36322.887),(55 36854.332),(56 37141.68),(57 37482.984),(58 38285.22),(59 37957.46),(60 38027.395),(61 37300.813),(62 37149.977),(63 36602.48),(64 36269.934),(65 36359.02),(66 35870.184),(67 37090.33),(68 36998.508),(69 37506.27),(70 36797.027),(71 37194.305),(72 37125.188),(73 37017.605),(74 37281.066),(75 37513.516),(76 37873.934),(77 37819.26),(78 37452.508),(79 37282.77),
(1 14366.523),(2 20899.713),(3 23758.7),(4 24814.324),(5 26142.367),(6 27537.568),(7 27035.793),(8 27339.736),(9 27613.16),(10 28696.605),(11 29150.584),(12 29193.258),(13 29403.098),(14 29903.35),(15 29960.188),(16 29994.4),(17 30196.678),(18 29242.654),(19 30420.652),(20 31009.69),(21 31248.916),(22 31771.041),(23 31885.55),(24 32160.36),(25 32385.557),(26 33115.53),(27 31944.568),(28 31933.23),(29 32179.623),(30 32643.525),(31 33230.465),(32 33397.973),(33 33582.49),(34 33390.777),(35 32827.773),(36 33311.8),(37 33475.082),(38 32708.25),(39 33946.156),(40 34218.3),(41 34358.887),(42 33800.95),(43 33656.99),(44 34128.7),(45 33727.9),(46 33764.92),(47 33365.43),(48 33470.555),(49 33782.746),(50 33664.906),(51 33395.504),(52 33873.96),(53 34377.32),(54 34268.05),(55 33960.91),(56 34214.375),(57 35062.258),(58 35289.164),(59 35707.15),(60 36225.055),(61 36491.82),(62 36402.594),(63 35916.73),(64 35226.49),(65 35017),(66 34643.223),(67 35383.76),(68 35398.316),(69 36180.55),(70 36650.465),(71 37294.96),(72 36189.61),(73 36344.434),(74 36721.266),(75 36799.406),(76 37206.69),(77 36857.973),(78 36786.094),(79 37055.246),
(1 14725.9375),(2 20267.4),(3 23166.654),(4 24288.512),(5 25775.383),(6 27442.39),(7 27617.178),(8 27910.975),(9 27789.588),(10 28043.72),(11 28645.672),(12 28734.395),(13 28838.832),(14 29774.662),(15 31258.506),(16 31360.297),(17 30993.006),(18 29985.166),(19 30147.902),(20 29992.297),(21 30365.156),(22 30566.545),(23 31166.82),(24 31565.344),(25 32252.691),(26 32316.77),(27 32309.66),(28 31974.568),(29 32490.652),(30 32141.098),(31 32412.295),(32 32121.98),(33 31737.605),(34 32797.9),(35 32932.72),(36 33888.902),(37 34015.82),(38 33171.89),(39 33786.72),(40 33470.848),(41 33780.31),(42 34015.39),(43 34163.44),(44 34720.664),(45 34298),(46 34932.813),(47 34749.81),(48 34649.188),(49 34727.91),(50 34272.453),(51 33383.89),(52 33096.816),(53 33208.703),(54 34911.316),(55 34795.188),(56 35222.17),(57 35157.6),(58 34629.418),(59 34722.54),(60 35419.72),(61 35935.047),(62 36563.13),(63 36214.527),(64 36686.76),(65 36964.78),(66 36707.344),(67 37249.992),(68 37388.023),(69 37713.605),(70 37961.88),(71 37738.79),(72 37600.27),(73 38531.3),(74 38543.32),(75 37870.664),(76 38469.03),(77 39063.78),(78 38674.848),(79 38796.047),
(1 15220.943),(2 21433.865),(3 24412.027),(4 25541.055),(5 25564.486),(6 27460.473),(7 27358.594),(8 28040.014),(9 28137.111),(10 28706.281),(11 29352.441),(12 28954.402),(13 29350.453),(14 29714.492),(15 30512.887),(16 30528.314),(17 30234.182),(18 29597.348),(19 29987.738),(20 29558.145),(21 29622.68),(22 29771.549),(23 30915.627),(24 31633.727),(25 31615.055),(26 31786.951),(27 31743.729),(28 31656.78),(29 32174.984),(30 32236.148),(31 32698.678),(32 32844.645),(33 33397.918),(34 33229.78),(35 33412.047),(36 34261.695),(37 33386.57),(38 33874.805),(39 35119.35),(40 34337.91),(41 34298.36),(42 33851.816),(43 34747.387),(44 35726.44),(45 34719.58),(46 34816.13),(47 35055.73),(48 34736.11),(49 34900.082),(50 34093.16),(51 34155.223),(52 33759.43),(53 33444.004),(54 34776.75),(55 34247.637),(56 34662.742),(57 34122.215),(58 33395.426),(59 33221.477),(60 33744.387),(61 33892.477),(62 34842.54),(63 35269.383),(64 36219.516),(65 35953.406),(66 36353.76),(67 35969.164),(68 35181.2),(69 36248.453),(70 35990.414),(71 35835.523),(72 35512.227),(73 35548.49),(74 35401.184),(75 35306.8),(76 35269.73),(77 35852.496),(78 35907.016),(79 36664.09),
(1 13760.885),(2 19737.908),(3 22429.611),(4 23947.523),(5 24656.563),(6 25078.23),(7 24435.178),(8 25203.705),(9 25480.334),(10 26398.668),(11 27480.014),(12 27400.076),(13 27946.826),(14 28025.512),(15 28396.047),(16 28214.742),(17 28214.66),(18 27835.277),(19 28392.436),(20 28216.123),(21 28009.14),(22 28390.727),(23 29616.162),(24 29947.818),(25 29641.217),(26 30018.814),(27 30405.756),(28 29967.121),(29 30498.168),(30 30368.537),(31 30830.932),(32 30863.95),(33 30831.16),(34 30984.256),(35 31336.553),(36 31781.113),(37 31785.662),(38 31639.36),(39 31737.713),(40 31490.527),(41 31750.617),(42 32031.807),(43 32390.113),(44 33318.79),(45 33149.46),(46 33074.83),(47 32490.793),(48 32685.572),(49 33237.824),(50 33445.645),(51 33719.51),(52 33874),(53 34269.848),(54 34457.934),(55 34229.195),(56 34387.375),(57 34078.805),(58 33731.336),(59 33313.434),(60 33476.13),(61 33850.344),(62 33962.207),(63 34503.387),(64 34436.527),(65 34369.55),(66 34396.78),(67 34692.746),(68 35083.316),(69 35798.273),(70 35688.71),(71 35194.656),(72 34719.293),(73 34442.715),(74 34797.81),(75 36291.797),(76 37179.523),(77 37217.28),(78 36970.867),(79 37116.305),
(1 12974.678),(2 17695.943),(3 19996.986),(4 21527.217),(5 22157.047),(6 22565.145),(7 22332.947),(8 22993.816),(9 23470.143),(10 24085.9),(11 24897.611),(12 24432.28),(13 25033.459),(14 25118.447),(15 26293.193),(16 26410.05),(17 26500.656),(18 26738.031),(19 26315.143),(20 26827.307),(21 26865.715),(22 27479.875),(23 28229.28),(24 28104.541),(25 27965.59),(26 28531.46),(27 28931.045),(28 29159.773),(29 29666.48),(30 29262.695),(31 29777.365),(32 29877.352),(33 28995.537),(34 29625.541),(35 29746.754),(36 30197.232),(37 30525.396),(38 30228.674),(39 30447.475),(40 30088.332),(41 30524.486),(42 31035.502),(43 31718.902),(44 31759.352),(45 31224.785),(46 31607.156),(47 30994.68),(48 30995.889),(49 31472.604),(50 31382.494),(51 31352.36),(52 31871.598),(53 32154.441),(54 32175.67),(55 31845.162),(56 32308.092),(57 32338.586),(58 32735.227),(59 33192.094),(60 33276.73),(61 32787.086),(62 33398.49),(63 32823.27),(64 32328.936),(65 32117.826),(66 33027.082),(67 33236.797),(68 33792.24),(69 33596.87),(70 33806.375),(71 33978.566),(72 33740.895),(73 33525.68),(74 33619.027),(75 34371.57),(76 34982.12),(77 35717.496),(78 35234.133),(79 35169.83),
(1 13300.635),(2 17893.191),(3 19154.648),(4 20533.242),(5 21906.58),(6 21953.03),(7 21864.945),(8 22857.514),(9 23525.775),(10 23816.514),(11 24122.473),(12 23911.494),(13 23963.281),(14 23855.365),(15 24981.336),(16 25000.932),(17 25153.736),(18 25978.318),(19 26591.145),(20 26586.916),(21 25792),(22 26293.1),(23 26982.053),(24 27076.121),(25 26978.715),(26 26759.564),(27 27444.11),(28 27354.172),(29 27159.293),(30 27313.963),(31 28446.412),(32 28334.664),(33 27583.596),(34 28099.82),(35 27996.83),(36 28023.855),(37 28382.21),(38 28712.709),(39 28447.662),(40 28168.24),(41 28927.963),(42 28465.225),(43 28709.596),(44 29111.611),(45 29010.047),(46 29282.39),(47 29041.822),(48 29005.523),(49 29446.008),(50 29450.568),(51 30468.945),(52 30771.164),(53 30618.082),(54 30385.963),(55 30953.111),(56 31462.582),(57 31636.973),(58 31660.14),(59 32351.865),(60 32274.03),(61 32466.105),(62 32328.293),(63 32311.91),(64 31848.32),(65 31396.91),(66 31846.547),(67 31417.457),(68 31993.322),(69 31832.688),(70 31757.65),(71 31339.617),(72 31432.79),(73 31300.555),(74 31664.74),(75 31483.998),(76 31427.582),(77 32042.428),(78 32094.314),(79 32269.379),
(1 12680.646),(2 17144.209),(3 19064.943),(4 20589.047),(5 22291.36),(6 21857.635),(7 21656.137),(8 22615.447),(9 22609.385),(10 22975.088),(11 23540.85),(12 23794.459),(13 24023.828),(14 24378.338),(15 24935.883),(16 24984.984),(17 24869.5),(18 25861.115),(19 26330.547),(20 26113.842),(21 25736.32),(22 25576.508),(23 25357.596),(24 26339.438),(25 26224.33),(26 26255.17),(27 26983.246),(28 26857.717),(29 26822.973),(30 26848.371),(31 27340.184),(32 27852.547),(33 27971.844),(34 28531.076),(35 28379.848),(36 28274.809),(37 28376.48),(38 28577.035),(39 28053.988),(40 28246.227),(41 28907.984),(42 28735.186),(43 28921.066),(44 29581.014),(45 29979.43),(46 29655.947),(47 29477.254),(48 29883.947),(49 29104.307),(50 29511.96),(51 29981.213),(52 30516.334),(53 30512.94),(54 30943.852),(55 31030.232),(56 31211.21),(57 31390.746),(58 31525.863),(59 31338.23),(60 31590.984),(61 32366.502),(62 32329.594),(63 32167.203),(64 31924.309),(65 31348.371),(66 31029.234),(67 31145.91),(68 31340.703),(69 31791.924),(70 32821.4),(71 33149.77),(72 33057.47),(73 33338.934),(74 33181.004),(75 33008.688),(76 32505.459),(77 32951.01),(78 32865.25),(79 32835.766),
(1 12621.02),(2 16785.113),(3 19204.451),(4 19883.08),(5 21300.297),(6 21454.32),(7 21024.621),(8 22113.127),(9 22301.096),(10 22648.553),(11 23104.904),(12 23395.795),(13 23859.838),(14 24142.068),(15 24009.81),(16 23876.525),(17 23973.852),(18 24444.35),(19 24007.506),(20 23874.248),(21 23847.709),(22 24222.313),(23 24370.467),(24 24864.36),(25 25137.027),(26 25421.771),(27 26175.79),(28 25876.66),(29 26154.553),(30 25992.484),(31 26479.883),(32 25879.742),(33 26017.412),(34 27425.46),(35 27007.955),(36 27112.836),(37 26677.318),(38 25876.928),(39 26112.791),(40 26816.697),(41 27762.701),(42 26875.262),(43 27536.932),(44 27830.332),(45 27577.984),(46 28359.29),(47 28372.502),(48 28649.033),(49 28753.752),(50 28800.182),(51 28753.799),(52 28787.447),(53 28749.012),(54 28651.967),(55 28467.998),(56 29340.896),(57 29178.123),(58 29293.654),(59 29216.41),(60 30521.979),(61 30601.154),(62 30199.6),(63 29821.201),(64 29800.752),(65 29496.98),(66 30717.979),(67 30731.404),(68 31117.541),(69 31272.979),(70 31264.076),(71 31317.025),(72 31748.975),(73 31939.986),(74 32241.346),(75 32068.16),(76 32189.21),(77 31508.305),(78 31400.615),(79 31842.467),
(1 12489.028),(2 17231.34),(3 18626.465),(4 19447.975),(5 21474.516),(6 21280.324),(7 20669.318),(8 22128.842),(9 21521.682),(10 22060.248),(11 22978.59),(12 23228.734),(13 23465.668),(14 23762.902),(15 23592.248),(16 23213.883),(17 23094.686),(18 23944.795),(19 23354.098),(20 23044.697),(21 23746.291),(22 24020.393),(23 24397.527),(24 24534.639),(25 24436.086),(26 24595.78),(27 25020.95),(28 24800.768),(29 24919.979),(30 25726.748),(31 25714.838),(32 25270.908),(33 25484.275),(34 25654.7),(35 24892.33),(36 24723.945),(37 25007.6),(38 24841.844),(39 25171.217),(40 26166.66),(41 26554.432),(42 25382.797),(43 26033.098),(44 26824.098),(45 25901.916),(46 25857.148),(47 26600.086),(48 26540.203),(49 26890.678),(50 27009.64),(51 27202.422),(52 27674.52),(53 28839.305),(54 28587.133),(55 28471.252),(56 28966.656),(57 28553.6),(58 28517.527),(59 28430.451),(60 28551.543),(61 28867.674),(62 28681.541),(63 28960.582),(64 29231.049),(65 28843.346),(66 29559.111),(67 29611.07),(68 30062.023),(69 29820.754),(70 29664.773),(71 30033.023),(72 29248.03),(73 28578.38),(74 29280.986),(75 29331.824),(76 28782.479),(77 28886.576),(78 28721.691),(79 29485.473),
(1 12196.716),(2 17154.31),(3 19068.518),(4 19831.814),(5 20966.922),(6 21130.62),(7 20726.494),(8 21801.799),(9 21167.223),(10 22107.93),(11 22327.338),(12 22791.074),(13 23238.1),(14 23622.402),(15 23630.99),(16 23244.402),(17 22854.063),(18 23593.932),(19 23767.586),(20 23569.139),(21 23142.352),(22 23593.775),(23 23854.207),(24 24116.84),(25 23926.033),(26 23929.115),(27 24241.084),(28 23696.352),(29 24263.879),(30 25005.725),(31 24797.287),(32 24584.555),(33 25288.602),(34 25691),(35 25177.148),(36 25118.77),(37 25016.598),(38 25074.84),(39 25513.838),(40 26163.686),(41 25891.705),(42 25658.9),(43 26163.348),(44 26802.074),(45 26643.51),(46 27046.994),(47 25869.016),(48 25654.154),(49 25809.756),(50 25304.229),(51 25305.69),(52 26347.049),(53 27011.768),(54 26656.291),(55 26637.56),(56 27357.555),(57 26876.246),(58 26723.549),(59 27126.262),(60 27892.951),(61 28049.578),(62 28663.146),(63 29005.057),(64 28574.53),(65 28073.836),(66 28415.186),(67 28109.574),(68 28514.816),(69 28593.807),(70 28894.914),(71 29045.346),(72 29215.094),(73 28964.387),(74 28997.002),(75 28616.115),(76 28827.563),(77 28967.248),(78 29522.676),(79 29659.063),
(1 11531.87),(2 15629.956),(3 17977.854),(4 18332.35),(5 19741.176),(6 19845.453),(7 19756.908),(8 20856.775),(9 20651.53),(10 21293.488),(11 21737.955),(12 21653.602),(13 21894.26),(14 21965.078),(15 22018.094),(16 21821.22),(17 22162.12),(18 22417.94),(19 22249.56),(20 22408.963),(21 22883.65),(22 23165.576),(23 22870.78),(24 23607.959),(25 23530.057),(26 23711.898),(27 23968.803),(28 23569.854),(29 24076.508),(30 24829.227),(31 24489.258),(32 24782.99),(33 24986.807),(34 25309.447),(35 25424.47),(36 24967.271),(37 24718.563),(38 24727.586),(39 25469.906),(40 25459.604),(41 25481.49),(42 25741.984),(43 26068.115),(44 25522.518),(45 25260.154),(46 25457.727),(47 25179.156),(48 25858.94),(49 25960.959),(50 26159.74),(51 26214.408),(52 26227.88),(53 26210.797),(54 25650.518),(55 25903.123),(56 26121.87),(57 26184.875),(58 26639.361),(59 27198.943),(60 27261.404),(61 27030.33),(62 27354.37),(63 27127.658),(64 27346.838),(65 27495.633),(66 27538.068),(67 27670.28),(68 28048.291),(69 27819.213),(70 28210.727),(71 28554.994),(72 28569.93),(73 28251.9),(74 28109.818),(75 28195.85),(76 28476.525),(77 29121.61),(78 29820.666),(79 29947.213),
