1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 80634),(2 291739.78),(3 600503.7),(4 973405.8),(5 1386308.9),(6 1814792.4),(7 2246928.3),(8 2675826),(9 3106481.3),(10 3539862.8),(11 3975769.8),(12 4416726),(13 4862642),(14 5307584),(15 5747398),(16 6172945.5),(17 6589794.5),(18 6998760),(19 7403672),(20 7801903.5),(21 8201613.5),(22 8597331),(23 8991203),(24 9383097),(25 9773191),(26 10161829),(27 10541743),(28 10913073),(29 11284017),(30 11672811),(31 12075403),(32 12479477),(33 12872133),(34 13248129),(35 13615261),(36 13975571),(37 14335419),(38 14692555),(39 15047595),(40 15408867),(41 15783021),(42 16158541),(43 16549812),(44 16942210),(45 17349448),(46 17770358),(47 18199130),(48 18608378),(49 19010250),(50 19406550),(51 19802566),(52 20186160),(53 20569478),(54 20950128),(55 21332848),(56 21711164),(57 22087888),(58 22459464),(59 22820438),(60 23173928),(61 23510614),(62 23829786),(63 24136234),(64 24430432),(65 24706322),(66 24962910),(67 25207758),(68 25453962),(69 25707678),(70 25981070),(71 26269910),(72 26573992),(73 26890894),(74 27208898),(75 27528200),(76 27838816),(77 28140638),(78 28413400),(79 28662854),
(1 3583.5234),(2 7762.351),(3 11415.114),(4 14428.329),(5 16918.037),(6 18876.95),(7 20380.838),(8 21455.9),(9 22347.271),(10 23056.111),(11 23708.607),(12 24311.025),(13 24906.975),(14 25346.934),(15 25703.75),(16 26036.578),(17 26371.578),(18 26661.596),(19 26956.066),(20 27221.744),(21 27479.256),(22 27716.393),(23 27962.84),(24 28145.498),(25 28311.227),(26 28399.805),(27 28509.994),(28 28580.373),(29 28681.025),(30 28740.197),(31 28825.24),(32 28917.76),(33 28981.45),(34 29023.938),(35 29101.645),(36 29197.797),(37 29295.803),(38 29392.953),(39 29524.006),(40 29557.055),(41 29579.285),(42 29536.297),(43 29520.4),(44 29489.1),(45 29490.53),(46 29505.037),(47 29600.174),(48 29677.568),(49 29747.463),(50 29788.6),(51 29842.813),(52 29847.207),(53 29854.13),(54 29806.234),(55 29786.95),(56 29763.537),(57 29757.105),(58 29741.047),(59 29758.068),(60 29700.586),(61 29678.773),(62 29674.605),(63 29700.887),(64 29714.904),(65 29777.469),(66 29818.574),(67 29884.672),(68 29915),(69 29963.49),(70 29951.955),(71 29970.44),(72 29968.219),(73 29982.18),(74 29990.479),(75 30011.076),(76 30000.615),(77 29982.955),(78 29953.55),(79 29962.037),
(1 3445.6692),(2 7435.7446),(3 10906.167),(4 13827.427),(5 16237.088),(6 18130.809),(7 19582.988),(8 20734.422),(9 21643.932),(10 22414.797),(11 23085.467),(12 23665.879),(13 24206.49),(14 24582.205),(15 24863.764),(16 25124.283),(17 25395.654),(18 25650.303),(19 25920.469),(20 26189.814),(21 26438.87),(22 26631.46),(23 26844.05),(24 27008.807),(25 27196.45),(26 27316.313),(27 27458.098),(28 27553.951),(29 27635.912),(30 27692.94),(31 27809.727),(32 27936.992),(33 28087.785),(34 28173.713),(35 28206.816),(36 28231.902),(37 28281.586),(38 28366.02),(39 28474.223),(40 28526.756),(41 28567.615),(42 28608.398),(43 28674.496),(44 28667.826),(45 28635.527),(46 28590.902),(47 28574.41),(48 28510.111),(49 28513.078),(50 28516.1),(51 28536.275),(52 28545.379),(53 28574.168),(54 28587.217),(55 28577.576),(56 28528.703),(57 28478.92),(58 28459.031),(59 28455.842),(60 28442.229),(61 28468.69),(62 28449.97),(63 28431.053),(64 28392.11),(65 28368.629),(66 28315.236),(67 28292.47),(68 28245.354),(69 28229.918),(70 28215.904),(71 28248.424),(72 28262.121),(73 28273.492),(74 28239.648),(75 28244.354),(76 28237.822),(77 28252.281),(78 28293.168),(79 28365.389),
(1 3376.0168),(2 7288.0073),(3 10667.102),(4 13482.436),(5 15752.623),(6 17525.607),(7 18841.996),(8 19811.133),(9 20618.752),(10 21312.08),(11 21981.143),(12 22588.86),(13 23173.63),(14 23639.06),(15 23999.346),(16 24348.588),(17 24704.734),(18 24990.258),(19 25200.826),(20 25328.477),(21 25489.98),(22 25634.102),(23 25823.656),(24 25992.096),(25 26141.65),(26 26227.693),(27 26287.783),(28 26311.707),(29 26350.473),(30 26384.988),(31 26503.334),(32 26628.318),(33 26786.295),(34 26866.084),(35 26931.697),(36 26997.176),(37 27117.52),(38 27183.336),(39 27245.275),(40 27254.06),(41 27287.553),(42 27358.02),(43 27413.715),(44 27384.697),(45 27363.033),(46 27389.71),(47 27463.62),(48 27507.4),(49 27592.014),(50 27664.572),(51 27736.11),(52 27722.98),(53 27758.479),(54 27797.865),(55 27877.725),(56 27887.137),(57 27887.947),(58 27867.473),(59 27829.543),(60 27754.764),(61 27707.672),(62 27646.29),(63 27648.766),(64 27643.543),(65 27653.98),(66 27613.18),(67 27589.18),(68 27529.059),(69 27521.338),(70 27475.729),(71 27436.29),(72 27414.031),(73 27434.176),(74 27466.62),(75 27488.836),(76 27488.303),(77 27498.957),(78 27507.611),(79 27480.93),
(1 3300.8923),(2 7113.369),(3 10471.456),(4 13258.255),(5 15513.526),(6 17254.818),(7 18533.328),(8 19480.027),(9 20263.787),(10 20893.996),(11 21482.338),(12 22058.9),(13 22584.47),(14 22994.36),(15 23362.953),(16 23680.854),(17 23965.387),(18 24145.432),(19 24335.768),(20 24527.508),(21 24733.402),(22 24863.316),(23 24988.639),(24 25125.104),(25 25254.22),(26 25340.79),(27 25434.357),(28 25534.9),(29 25632.318),(30 25710.816),(31 25820.902),(32 25906.457),(33 25991.416),(34 26026.354),(35 26070.598),(36 26136.773),(37 26201.172),(38 26213.53),(39 26233.588),(40 26211.72),(41 26222.34),(42 26233.344),(43 26302.26),(44 26354.19),(45 26390.922),(46 26403.072),(47 26442.24),(48 26413.44),(49 26409.389),(50 26382.09),(51 26391.713),(52 26396.162),(53 26467.723),(54 26554.262),(55 26649.762),(56 26741.688),(57 26842.508),(58 26901.344),(59 26974.83),(60 27011.172),(61 27058.473),(62 27030.832),(63 26988.014),(64 26953.688),(65 26930.79),(66 26863.63),(67 26827.156),(68 26803.95),(69 26775.104),(70 26756.918),(71 26737.791),(72 26703.977),(73 26703.477),(74 26630.35),(75 26547.32),(76 26466.58),(77 26413.334),(78 26383.408),(79 26341.363),
(1 3143.4722),(2 6752.3647),(3 9898.945),(4 12498.295),(5 14606.221),(6 16227.411),(7 17412.04),(8 18303.973),(9 19058.148),(10 19647.727),(11 20190.314),(12 20718.766),(13 21203.53),(14 21571.336),(15 21912.31),(16 22208.668),(17 22468.29),(18 22687.775),(19 22882.338),(20 23027.016),(21 23168.313),(22 23315.115),(23 23474.531),(24 23643.096),(25 23825.87),(26 23970.832),(27 24079.22),(28 24136.69),(29 24213.168),(30 24281.096),(31 24385.432),(32 24530.701),(33 24689.133),(34 24779.73),(35 24845.033),(36 24857.021),(37 24893.957),(38 24936.307),(39 24981.375),(40 24991.871),(41 25002.576),(42 25037.98),(43 25062.752),(44 25031.398),(45 25024.99),(46 24986.314),(47 24961.412),(48 24934.186),(49 24928.012),(50 24912.285),(51 24922.38),(52 24889.926),(53 24870.014),(54 24839.424),(55 24897.057),(56 24911.254),(57 24946.107),(58 24995.12),(59 25028.838),(60 25069.03),(61 25118.098),(62 25071.408),(63 25006.352),(64 24913.822),(65 24882.924),(66 24866.838),(67 24881.242),(68 24885.902),(69 24917.486),(70 24944.867),(71 24973.867),(72 24967.734),(73 24922.92),(74 24875.912),(75 24809.207),(76 24766.281),(77 24798.135),(78 24821.434),(79 24851.662),
(1 3078.7937),(2 6625.09),(3 9711.982),(4 12233.192),(5 14276.728),(6 15837.254),(7 17019.535),(8 17915.295),(9 18665.375),(10 19276.592),(11 19846.852),(12 20353.639),(13 20823.074),(14 21146.557),(15 21383.635),(16 21591.123),(17 21819.139),(18 22030.498),(19 22271.293),(20 22493.139),(21 22703.889),(22 22909.018),(23 23115.03),(24 23281.314),(25 23415.313),(26 23491.158),(27 23562.662),(28 23625.252),(29 23723.123),(30 23792.443),(31 23910.19),(32 24015.773),(33 24136.896),(34 24242.264),(35 24311.547),(36 24360.234),(37 24402.18),(38 24410.625),(39 24440.8),(40 24417.148),(41 24369.97),(42 24353.7),(43 24369.246),(44 24346.545),(45 24313.225),(46 24282.473),(47 24347.865),(48 24374.168),(49 24420.717),(50 24495.934),(51 24584.916),(52 24613.379),(53 24650.098),(54 24658.473),(55 24698.445),(56 24688.695),(57 24641.508),(58 24618.215),(59 24621.516),(60 24601.432),(61 24589.621),(62 24596.314),(63 24622.99),(64 24593.5),(65 24599.256),(66 24600.578),(67 24611.12),(68 24637.139),(69 24681.916),(70 24681.252),(71 24676.621),(72 24632.404),(73 24620.197),(74 24618.22),(75 24603.719),(76 24586.107),(77 24602.055),(78 24615.285),(79 24627.047),
(1 2961.228),(2 6344.159),(3 9281.917),(4 11693.894),(5 13671.013),(6 15208.761),(7 16380.712),(8 17311.107),(9 18039.563),(10 18652.691),(11 19226.355),(12 19768.492),(13 20259.482),(14 20638.877),(15 20955.209),(16 21214.701),(17 21470.715),(18 21679.143),(19 21873.207),(20 22067.895),(21 22269.803),(22 22453.156),(23 22617.207),(24 22698.846),(25 22780.262),(26 22826.611),(27 22887),(28 22913.754),(29 22953.523),(30 23019.645),(31 23124.645),(32 23218.508),(33 23328.127),(34 23404.662),(35 23489.227),(36 23579.37),(37 23704.217),(38 23789.898),(39 23863.97),(40 23884.04),(41 23882.781),(42 23887.254),(43 23931.127),(44 23940.752),(45 23968.807),(46 23987.322),(47 24033.521),(48 24082.553),(49 24158.043),(50 24189.6),(51 24243.176),(52 24261.281),(53 24279.287),(54 24294.713),(55 24334.03),(56 24313.268),(57 24298.53),(58 24306.434),(59 24322.83),(60 24326.96),(61 24351.088),(62 24376.283),(63 24417.23),(64 24386.348),(65 24353.967),(66 24309.363),(67 24299.363),(68 24315.803),(69 24392.285),(70 24421.791),(71 24421.23),(72 24385.951),(73 24391.771),(74 24379.1),(75 24348.188),(76 24293.49),(77 24279.049),(78 24277.023),(79 24301.861),
(1 2906.3364),(2 6234.625),(3 9135.43),(4 11531.873),(5 13491.695),(6 14971.886),(7 16066.385),(8 16854.553),(9 17484.49),(10 17997.014),(11 18500.152),(12 18968.467),(13 19355.3),(14 19659.14),(15 19935.658),(16 20195.77),(17 20414.572),(18 20597.578),(19 20748.072),(20 20909.084),(21 21084.102),(22 21258.598),(23 21428.283),(24 21580.781),(25 21712.963),(26 21795.633),(27 21853.117),(28 21912.928),(29 22009.375),(30 22109.686),(31 22268.123),(32 22371.828),(33 22449.121),(34 22488.041),(35 22570.432),(36 22665.74),(37 22738.352),(38 22764.56),(39 22780.465),(40 22759.146),(41 22732.557),(42 22724.25),(43 22739.363),(44 22746.627),(45 22776.236),(46 22773.553),(47 22780.832),(48 22768.572),(49 22779.252),(50 22767.217),(51 22782.49),(52 22786.773),(53 22788.15),(54 22746.125),(55 22762.604),(56 22793.469),(57 22826.832),(58 22856.775),(59 22921.49),(60 22970.557),(61 23021.281),(62 23038.613),(63 23054.639),(64 23033.707),(65 23052.604),(66 23027.23),(67 22975.625),(68 22899.6),(69 22863.81),(70 22847.967),(71 22827.39),(72 22827.406),(73 22863.043),(74 22906.328),(75 22950.68),(76 22983.92),(77 23033.777),(78 23053.334),(79 23067.94),
(1 2802.053),(2 5998.363),(3 8770.169),(4 11052.355),(5 12887.056),(6 14261.327),(7 15330.857),(8 16107.011),(9 16738.549),(10 17227.748),(11 17704.191),(12 18121.537),(13 18467.098),(14 18759.535),(15 19024.494),(16 19240.918),(17 19445.06),(18 19616.031),(19 19778.557),(20 19943.824),(21 20117.836),(22 20313.338),(23 20483.582),(24 20621.354),(25 20756.05),(26 20839.393),(27 20872.143),(28 20893.336),(29 20932.768),(30 20998.572),(31 21074.867),(32 21179.266),(33 21323.975),(34 21444.285),(35 21559.557),(36 21636.902),(37 21745.531),(38 21794.85),(39 21864.81),(40 21870.727),(41 21869.607),(42 21870.168),(43 21855.191),(44 21797.096),(45 21749.33),(46 21746.055),(47 21803.857),(48 21808.396),(49 21818.459),(50 21831.164),(51 21893.031),(52 21912.191),(53 21916.436),(54 21915.758),(55 21959.7),(56 21953.322),(57 21971.51),(58 21952.17),(59 21952.855),(60 21944.531),(61 21943.547),(62 21926.096),(63 21894.916),(64 21866.537),(65 21881.537),(66 21878.582),(67 21857.229),(68 21881.598),(69 21901.654),(70 21889.65),(71 21863.54),(72 21835.893),(73 21848.516),(74 21837.318),(75 21824.742),(76 21814.406),(77 21836.102),(78 21863.371),(79 21884.434),
(1 2715.5813),(2 5827.238),(3 8550.277),(4 10775.355),(5 12549.076),(6 13893.515),(7 14899.296),(8 15605.899),(9 16170.753),(10 16641.81),(11 17088.646),(12 17525.049),(13 17904.498),(14 18197.824),(15 18419.475),(16 18600.107),(17 18802.205),(18 19006.42),(19 19207.496),(20 19415.943),(21 19630.564),(22 19787.443),(23 19928.863),(24 20061.97),(25 20187.11),(26 20260.287),(27 20321.014),(28 20354.268),(29 20424.197),(30 20527.617),(31 20667.133),(32 20794.143),(33 20913.414),(34 21010.727),(35 21097.328),(36 21129.484),(37 21199.441),(38 21245.86),(39 21300.313),(40 21340.111),(41 21373.307),(42 21370.105),(43 21363.148),(44 21350.467),(45 21349.469),(46 21324.51),(47 21327.229),(48 21328.68),(49 21328.955),(50 21304.438),(51 21321.45),(52 21307.14),(53 21304.121),(54 21296.23),(55 21323.23),(56 21309.055),(57 21274.594),(58 21246.395),(59 21260.82),(60 21253.453),(61 21272.36),(62 21300.395),(63 21312.385),(64 21241.09),(65 21196.984),(66 21137.164),(67 21115.35),(68 21102.03),(69 21115.703),(70 21136.664),(71 21180.979),(72 21193.424),(73 21223.254),(74 21201.025),(75 21148.26),(76 21086.748),(77 21060.01),(78 21060.578),(79 21038.314),
(1 2619.2432),(2 5611.1753),(3 8230.301),(4 10387.951),(5 12104.007),(6 13384.699),(7 14350.657),(8 15054.454),(9 15599.675),(10 16030.696),(11 16451.822),(12 16880.602),(13 17280.113),(14 17610.572),(15 17938.639),(16 18205.848),(17 18429.852),(18 18587.375),(19 18713.361),(20 18855.135),(21 19033.873),(22 19153.193),(23 19257.684),(24 19340.584),(25 19398.533),(26 19429.36),(27 19498.084),(28 19543.584),(29 19626.979),(30 19714.924),(31 19824.564),(32 19892.648),(33 19937.725),(34 19966.5),(35 20051.28),(36 20112.912),(37 20151.178),(38 20196.93),(39 20275.314),(40 20352.18),(41 20427.277),(42 20489.389),(43 20555.43),(44 20577.277),(45 20604.488),(46 20590.03),(47 20592.754),(48 20554.387),(49 20540.576),(50 20498.037),(51 20449.238),(52 20356.033),(53 20293.715),(54 20264.385),(55 20291.982),(56 20286.61),(57 20287.93),(58 20283.705),(59 20292.303),(60 20313.635),(61 20333.508),(62 20315.436),(63 20312.621),(64 20285.252),(65 20284.117),(66 20247.664),(67 20218.805),(68 20226.602),(69 20238.15),(70 20223.754),(71 20231.205),(72 20234.676),(73 20236.836),(74 20221.389),(75 20198.512),(76 20163.734),(77 20151.215),(78 20154.258),(79 20138.705),
(1 2553.5388),(2 5445.264),(3 7950.7993),(4 9991.061),(5 11635.832),(6 12888.32),(7 13812.395),(8 14452.248),(9 14961.065),(10 15415.438),(11 15867.845),(12 16281.242),(13 16634.412),(14 16935.934),(15 17206.416),(16 17426.303),(17 17612.193),(18 17755.096),(19 17865.348),(20 18001.39),(21 18145.703),(22 18263.139),(23 18362.754),(24 18456.76),(25 18546.766),(26 18588.283),(27 18620.596),(28 18670.7),(29 18739.951),(30 18802.145),(31 18877.965),(32 18974.252),(33 19063.8),(34 19165.543),(35 19235.982),(36 19272.346),(37 19318.975),(38 19354.246),(39 19374.719),(40 19366.559),(41 19370.766),(42 19338.635),(43 19340.555),(44 19319.053),(45 19329.54),(46 19354.387),(47 19409.025),(48 19437.256),(49 19446.002),(50 19431.33),(51 19422.219),(52 19411.541),(53 19424.178),(54 19443.654),(55 19509.625),(56 19571.938),(57 19608.28),(58 19634.744),(59 19655.79),(60 19654.178),(61 19659.758),(62 19652.965),(63 19669.396),(64 19639.918),(65 19623.951),(66 19595.828),(67 19599.477),(68 19601.828),(69 19628.666),(70 19622.97),(71 19624.465),(72 19621.865),(73 19641.338),(74 19609.62),(75 19577.836),(76 19552.021),(77 19558.71),(78 19539.563),(79 19505.197),
(1 2465.9712),(2 5253.0957),(3 7708.744),(4 9709.398),(5 11302.242),(6 12499.293),(7 13377.793),(8 14010.091),(9 14512.872),(10 14945.571),(11 15369.383),(12 15757.38),(13 16120.885),(14 16402.148),(15 16646.828),(16 16836.633),(17 16970.254),(18 17075.275),(19 17186.148),(20 17298.594),(21 17394.842),(22 17460.887),(23 17558.857),(24 17640.15),(25 17709.271),(26 17716.703),(27 17719.432),(28 17738.283),(29 17795.13),(30 17844.697),(31 17947.06),(32 18049.277),(33 18134.422),(34 18216.283),(35 18273.01),(36 18301.162),(37 18359.902),(38 18394.625),(39 18438.35),(40 18443.18),(41 18418.547),(42 18356.586),(43 18342.451),(44 18301.785),(45 18270.303),(46 18232.773),(47 18261.557),(48 18265.902),(49 18316.986),(50 18365.322),(51 18422.848),(52 18457.072),(53 18489.068),(54 18508.97),(55 18570.898),(56 18603.389),(57 18640.084),(58 18659.477),(59 18657.549),(60 18641.676),(61 18645.992),(62 18617.605),(63 18626.025),(64 18622.197),(65 18622.117),(66 18587.813),(67 18583.281),(68 18558.393),(69 18538.217),(70 18501.6),(71 18458.635),(72 18430.352),(73 18431.682),(74 18447.68),(75 18463.043),(76 18497.902),(77 18588.258),(78 18633.232),(79 18638.174),
(1 2379.691),(2 5095.569),(3 7471.188),(4 9412.727),(5 10971.963),(6 12137.414),(7 12988.981),(8 13597.6455),(9 14107.724),(10 14544.098),(11 14973.954),(12 15350.759),(13 15665.308),(14 15933.074),(15 16152.6455),(16 16346.151),(17 16520.172),(18 16647.158),(19 16767.14),(20 16873.092),(21 16986.682),(22 17067.91),(23 17175.545),(24 17265.07),(25 17372.36),(26 17431.57),(27 17489.092),(28 17533.654),(29 17589.396),(30 17650.162),(31 17734.135),(32 17829.434),(33 17888.58),(34 17924.574),(35 18001.188),(36 18062.383),(37 18131.902),(38 18183.598),(39 18248.936),(40 18267.584),(41 18295.285),(42 18303.717),(43 18311.81),(44 18277),(45 18259.371),(46 18262.209),(47 18284.18),(48 18293.29),(49 18330.738),(50 18340.121),(51 18361.191),(52 18335.215),(53 18330.947),(54 18301.303),(55 18303.217),(56 18283.578),(57 18264.61),(58 18253.182),(59 18218.11),(60 18178.654),(61 18178.098),(62 18173.322),(63 18200.828),(64 18207.629),(65 18204.305),(66 18163.39),(67 18114.383),(68 18057.184),(69 17987.121),(70 17920.273),(71 17876.365),(72 17855.873),(73 17916.732),(74 17948.732),(75 17980.299),(76 18005.344),(77 18047.514),(78 18048.525),(79 18022.994),
(1 2312.2378),(2 4937.1265),(3 7232.2607),(4 9092.985),(5 10560.206),(6 11628.78),(7 12429.309),(8 13006.268),(9 13453.266),(10 13855.092),(11 14241.446),(12 14570.516),(13 14851.121),(14 15075.645),(15 15262.429),(16 15413.242),(17 15545.984),(18 15627.252),(19 15717.022),(20 15810.914),(21 15934.007),(22 16058.976),(23 16185.132),(24 16287.786),(25 16351.666),(26 16324.085),(27 16309.232),(28 16297.704),(29 16304.064),(30 16346.155),(31 16434.885),(32 16542.156),(33 16644.572),(34 16759.45),(35 16851.84),(36 16896.766),(37 16959.97),(38 17022.877),(39 17096.207),(40 17120.35),(41 17136.604),(42 17139.586),(43 17179.557),(44 17172.646),(45 17190.977),(46 17198.238),(47 17233.137),(48 17223.828),(49 17268.514),(50 17294.67),(51 17339.275),(52 17336.615),(53 17344.082),(54 17329.543),(55 17331.986),(56 17278.957),(57 17235.275),(58 17205.447),(59 17215.324),(60 17222.598),(61 17242.373),(62 17261.064),(63 17295.89),(64 17326.668),(65 17349.758),(66 17326.031),(67 17319.576),(68 17304.219),(69 17308.285),(70 17279.07),(71 17257.701),(72 17257.191),(73 17297.883),(74 17338.637),(75 17354.947),(76 17369.787),(77 17393.252),(78 17399.836),(79 17377.988),
(1 2242.5308),(2 4790.953),(3 7023.8926),(4 8844.856),(5 10249.674),(6 11268.877),(7 12023.347),(8 12586.73),(9 13026.156),(10 13398.181),(11 13767.414),(12 14115.411),(13 14437.06),(14 14704.265),(15 14943.163),(16 15168.292),(17 15371.654),(18 15525.548),(19 15661.291),(20 15794.193),(21 15933.276),(22 16017.874),(23 16086.575),(24 16155.358),(25 16208.57),(26 16244.412),(27 16296.701),(28 16344.394),(29 16375.072),(30 16395.271),(31 16443.463),(32 16498.648),(33 16554.035),(34 16590.547),(35 16651.934),(36 16684.92),(37 16722.719),(38 16769.133),(39 16825.79),(40 16798.428),(41 16770.227),(42 16732.98),(43 16722.28),(44 16711.287),(45 16696.465),(46 16675.389),(47 16683.33),(48 16677.418),(49 16687.678),(50 16702.953),(51 16738.896),(52 16747.408),(53 16776.137),(54 16782.809),(55 16778.998),(56 16764.904),(57 16765.992),(58 16776.389),(59 16816.092),(60 16835.848),(61 16846.127),(62 16822.408),(63 16817.084),(64 16810.89),(65 16793.117),(66 16776.215),(67 16796.488),(68 16832.78),(69 16863.096),(70 16847.158),(71 16819.598),(72 16807.002),(73 16843.229),(74 16864.387),(75 16886.28),(76 16894.303),(77 16907.002),(78 16889.871),(79 16844.965),
(1 2158.5974),(2 4580.885),(3 6715.9385),(4 8460.146),(5 9840.698),(6 10857.105),(7 11607.279),(8 12117.724),(9 12522.152),(10 12872.99),(11 13241.201),(12 13592.226),(13 13902.077),(14 14135.516),(15 14337.329),(16 14518.942),(17 14671.324),(18 14805.044),(19 14928.265),(20 15047.001),(21 15163.588),(22 15272.465),(23 15398.024),(24 15498.644),(25 15564.938),(26 15579.804),(27 15571.647),(28 15599.032),(29 15648.205),(30 15671.743),(31 15728.675),(32 15798.043),(33 15867.967),(34 15952.337),(35 16036.651),(36 16100.147),(37 16161.054),(38 16188.673),(39 16218.467),(40 16227.423),(41 16239.474),(42 16250.62),(43 16273.072),(44 16280.851),(45 16273.793),(46 16268.938),(47 16269.639),(48 16242.458),(49 16202.718),(50 16169.56),(51 16170.387),(52 16151.545),(53 16167.474),(54 16185.348),(55 16229.297),(56 16251.315),(57 16258.223),(58 16265.593),(59 16273.888),(60 16267.514),(61 16244.9375),(62 16190.714),(63 16141.554),(64 16099.994),(65 16102.892),(66 16102.956),(67 16121.407),(68 16166.203),(69 16208.552),(70 16208.439),(71 16204.966),(72 16223.731),(73 16273.077),(74 16294.248),(75 16285.284),(76 16270.385),(77 16248.035),(78 16187.11),(79 16115.744),
