1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 638.11847),(2 943.45966),(3 1189.0068),(4 1342.6517),(5 1451.0834),(6 1519.5461),(7 1584.2131),(8 1648.0844),(9 1649.6569),(10 1671.1871),(11 1728.1421),(12 1740.1364),(13 1754.294),(14 1766.3691),(15 1764.5922),(16 1776.7778),(17 1806.9625),(18 1794.545),(19 1811.1855),(20 1838.7523),(21 1845.807),(22 1867.2555),(23 1886.0394),(24 1887.1797),(25 1881.2335),(26 1906.0171),(27 1909.7074),(28 1943.5333),(29 1946.7429),(30 1966.7555),(31 1992.8291),(32 1999.1483),(33 1998.5206),(34 2020.3204),(35 2012.931),(36 2017.1638),(37 2029.7369),(38 2020.2451),(39 2030.577),(40 2058.7698),(41 2005.5275),(42 2019.4805),(43 2043.9932),(44 2056.2534),(45 2048.1758),(46 2066.4167),(47 2059.0017),(48 2056.6477),(49 2068.9512),(50 2085.9133),(51 2091.1199),(52 2144.3691),(53 2126.7185),(54 2127.086),(55 2148.9285),(56 2146.5886),(57 2146.3096),(58 2157.2588),(59 2125.5427),(60 2125.6277),(61 2153.0837),(62 2156.4731),(63 2187.5564),(64 2202.1448),(65 2181.7751),(66 2177.0222),(67 2188.4592),(68 2180.688),(69 2190.6162),(70 2192.9863),(71 2167.312),(72 2174.4316),(73 2168.6873),(74 2165.0317),(75 2201.1013),(76 2218.8157),(77 2199.3723),(78 2197.2996),(79 2178.3767),
(1 642.2599),(2 946.41144),(3 1197.1204),(4 1347.8389),(5 1458.0017),(6 1527.1887),(7 1584.3134),(8 1634.6385),(9 1657.125),(10 1689.6498),(11 1746.2932),(12 1773.3715),(13 1803.3627),(14 1821.9961),(15 1835.5062),(16 1861.4117),(17 1892.2256),(18 1873.3496),(19 1904.0347),(20 1935.6787),(21 1945.4059),(22 1958.6381),(23 1952.207),(24 1951.7168),(25 1954.0305),(26 1985.729),(27 1987.6171),(28 1991.6653),(29 1989.0264),(30 1986.7819),(31 2020.1498),(32 2005.8613),(33 2010.2605),(34 2029.525),(35 2006.8954),(36 2019.8636),(37 2056.9895),(38 2010.3381),(39 2049.5208),(40 2076.4019),(41 2045.9751),(42 2049.0815),(43 2064.2354),(44 2063.36),(45 2058.5383),(46 2070.9458),(47 2065.8496),(48 2075.675),(49 2106.1113),(50 2111.0146),(51 2118.1108),(52 2146.887),(53 2148.4285),(54 2154.5374),(55 2165.0837),(56 2151.748),(57 2157.6672),(58 2177.2341),(59 2179.2598),(60 2177.7937),(61 2189.6934),(62 2180.9202),(63 2207.7722),(64 2232.827),(65 2217.0173),(66 2194.9873),(67 2206.7166),(68 2193.7356),(69 2200.5967),(70 2212.062),(71 2203.05),(72 2197.9163),(73 2212.4329),(74 2215.0488),(75 2229.657),(76 2251.7703),(77 2236.0833),(78 2237.1643),(79 2193.3506),
(1 612.4772),(2 891.5108),(3 1104.6958),(4 1244.2458),(5 1353.0663),(6 1402.6427),(7 1462.117),(8 1522.6992),(9 1549.0852),(10 1573.8915),(11 1608.4124),(12 1623.3362),(13 1659.3418),(14 1676.0327),(15 1689.212),(16 1714.5343),(17 1754.6808),(18 1747.5557),(19 1777.5978),(20 1805.2528),(21 1805.2306),(22 1802.5476),(23 1817.6819),(24 1815.4744),(25 1825.4171),(26 1850.114),(27 1832.9095),(28 1853.7028),(29 1837.5847),(30 1833.2314),(31 1866.2764),(32 1843.7758),(33 1844.4681),(34 1859.3585),(35 1832.7439),(36 1841.1068),(37 1875.02),(38 1852.9847),(39 1871.5552),(40 1882.4432),(41 1868.7642),(42 1870.2349),(43 1902.2015),(44 1893.6654),(45 1902.8699),(46 1909.5956),(47 1896.5009),(48 1921.8882),(49 1928.4606),(50 1920.6902),(51 1972.5466),(52 2010.3058),(53 1996.7179),(54 2007.8672),(55 2027.9906),(56 2013.6082),(57 2021.355),(58 2031.8329),(59 2032.2822),(60 2032.7465),(61 2044.343),(62 2017.8308),(63 2018.6785),(64 2034.6786),(65 2012.2632),(66 1999.8109),(67 1999.1613),(68 1991.6891),(69 1975.6669),(70 1984.2023),(71 1988.243),(72 1978.6929),(73 1980.4186),(74 1975.2064),(75 1982.7142),(76 2002.6161),(77 1974.0657),(78 2004.9626),(79 1992.8273),
(1 626.0796),(2 920.7163),(3 1136.3064),(4 1276.1226),(5 1399.2223),(6 1447.8945),(7 1495.139),(8 1536.4739),(9 1550.9082),(10 1569.4657),(11 1599.8821),(12 1598.3403),(13 1634.567),(14 1652.7037),(15 1651.105),(16 1674.8306),(17 1701.4229),(18 1700.5847),(19 1722.6954),(20 1755.1567),(21 1762.1588),(22 1770.9615),(23 1770.9921),(24 1779.9014),(25 1780.7872),(26 1819.1866),(27 1816.6028),(28 1836.4565),(29 1823.3286),(30 1827.0096),(31 1851.889),(32 1824.0022),(33 1835.2052),(34 1860.89),(35 1853.2621),(36 1861.2963),(37 1894.6427),(38 1876.8273),(39 1900.1178),(40 1917.7819),(41 1888.0177),(42 1878.4606),(43 1892.82),(44 1867.2985),(45 1870.436),(46 1881.4133),(47 1871.6057),(48 1891.4844),(49 1919.4244),(50 1911.4063),(51 1939.4666),(52 1985.0621),(53 1962.2343),(54 1967.8533),(55 1966.5841),(56 1970.3467),(57 1983.6875),(58 1983.2378),(59 1980.6057),(60 1984.8817),(61 2025.4316),(62 1999.8145),(63 1991.7207),(64 1986.4879),(65 1958.01),(66 1959.7267),(67 1984.1665),(68 1954.7751),(69 1951.3595),(70 1951.003),(71 1962.5544),(72 1967.9011),(73 1978.245),(74 1959.7838),(75 1983.0089),(76 1988.5419),(77 1977.8195),(78 2009.9999),(79 2002.6862),
(1 622.0608),(2 901.928),(3 1118.7942),(4 1240.2642),(5 1345.0851),(6 1385.6603),(7 1433.9661),(8 1484.8236),(9 1499.3254),(10 1530.605),(11 1559.1359),(12 1558.1589),(13 1580.5688),(14 1608.1974),(15 1625.2966),(16 1641.9801),(17 1675.6669),(18 1691.6985),(19 1693.5889),(20 1726.5854),(21 1749.1611),(22 1770.4441),(23 1788.0215),(24 1787.5607),(25 1801.1017),(26 1816.6816),(27 1820.436),(28 1829.3464),(29 1807.6713),(30 1823.7428),(31 1836.5278),(32 1825.7034),(33 1836.7595),(34 1865.0049),(35 1866.937),(36 1875.8486),(37 1898.9032),(38 1898.4806),(39 1902.6907),(40 1917.427),(41 1888.0333),(42 1888.1427),(43 1900.2179),(44 1877.5814),(45 1875.4408),(46 1888.9843),(47 1870.3721),(48 1886.4537),(49 1912.6984),(50 1914.167),(51 1937.9603),(52 2001.1686),(53 1963.6411),(54 1951.1724),(55 1964.5228),(56 1964.2599),(57 1961.4868),(58 1961.6222),(59 1933.946),(60 1936.2833),(61 1964.7014),(62 1943.3031),(63 1959.6823),(64 1953.4938),(65 1942.9634),(66 1942.9666),(67 1969.7936),(68 1922.513),(69 1929.9811),(70 1944.4011),(71 1932.2877),(72 1934.3219),(73 1927.0352),(74 1883.3176),(75 1905.4706),(76 1911.6039),(77 1887.1359),(78 1916.592),(79 1909.3119),
(1 612.18164),(2 875.36084),(3 1096.4064),(4 1206.191),(5 1294.9452),(6 1350.7444),(7 1389.4244),(8 1425.8999),(9 1444.5966),(10 1472.2325),(11 1500.1151),(12 1511.404),(13 1536.0386),(14 1550.5579),(15 1554.4803),(16 1575.5265),(17 1592.8431),(18 1606.2778),(19 1609.7323),(20 1641.9945),(21 1657.073),(22 1686.8156),(23 1720.895),(24 1711.1993),(25 1706.1251),(26 1736.8281),(27 1725.8207),(28 1740.3667),(29 1730.3864),(30 1721.6327),(31 1748.4116),(32 1727.7865),(33 1748.4342),(34 1768.4634),(35 1764.2773),(36 1776.9774),(37 1806.5566),(38 1792.1436),(39 1810.0242),(40 1821.0952),(41 1801.3622),(42 1809.3002),(43 1831.6783),(44 1813.4515),(45 1819.955),(46 1840.2137),(47 1821.645),(48 1834.2374),(49 1835.9253),(50 1823.3348),(51 1842.1984),(52 1868.2126),(53 1864.9862),(54 1869.4805),(55 1903.9258),(56 1891.638),(57 1877.0471),(58 1871.3352),(59 1873.6318),(60 1878.7059),(61 1912.5118),(62 1894.311),(63 1901.7666),(64 1907.6783),(65 1894.6752),(66 1895.5156),(67 1915.0105),(68 1897.1589),(69 1878.0574),(70 1882.2212),(71 1874.5608),(72 1879.2),(73 1885.0465),(74 1854.7345),(75 1859.5283),(76 1859.4124),(77 1864.2961),(78 1882.5724),(79 1885.7723),
(1 612.76953),(2 873.6539),(3 1094.063),(4 1206.4988),(5 1306.2676),(6 1347.6663),(7 1395.0575),(8 1434.4822),(9 1447.6478),(10 1465.9843),(11 1488.9199),(12 1514.3855),(13 1534.7512),(14 1549.6099),(15 1556.7267),(16 1582.2905),(17 1614.9332),(18 1614.0355),(19 1630.9847),(20 1662.3152),(21 1671.228),(22 1694.9131),(23 1715.0249),(24 1704.3544),(25 1715.5332),(26 1745.4554),(27 1737.5447),(28 1761.9631),(29 1762.37),(30 1755.495),(31 1775.2734),(32 1757.237),(33 1754.7882),(34 1780.7137),(35 1778.0625),(36 1785.4504),(37 1826.7113),(38 1826.8842),(39 1847.238),(40 1879.0511),(41 1853.8383),(42 1843.5579),(43 1857.205),(44 1862.4117),(45 1871.4917),(46 1885.2394),(47 1876.142),(48 1874.5289),(49 1877.8705),(50 1868.4039),(51 1882.9067),(52 1892.546),(53 1878.3519),(54 1881.3406),(55 1899.4352),(56 1891.1609),(57 1914.7313),(58 1914.9307),(59 1916.0077),(60 1921.2096),(61 1953.0951),(62 1917.2317),(63 1920.9808),(64 1929.1788),(65 1906.1329),(66 1909.9633),(67 1919.6792),(68 1882.7349),(69 1877.8503),(70 1890.0001),(71 1868.265),(72 1876.4022),(73 1888.3593),(74 1873.3856),(75 1887.1649),(76 1890.5555),(77 1909.4756),(78 1933.3735),(79 1922.7404),
(1 592.0764),(2 846.53046),(3 1046.4147),(4 1158.3168),(5 1256.1311),(6 1306.4578),(7 1344.9911),(8 1395.3516),(9 1403.6416),(10 1432.9287),(11 1460.8405),(12 1480.7802),(13 1514.5135),(14 1532.2308),(15 1533.3855),(16 1548.165),(17 1555.5952),(18 1546.9252),(19 1560.8761),(20 1571.1602),(21 1575.0614),(22 1603.0264),(23 1634.041),(24 1630.5251),(25 1620.288),(26 1645.3904),(27 1645.7626),(28 1649.3129),(29 1635.3298),(30 1640.063),(31 1658.616),(32 1640.1304),(33 1638.7028),(34 1654.9834),(35 1653.5052),(36 1666.5927),(37 1707.6445),(38 1702.6328),(39 1726.999),(40 1762.5162),(41 1743.6986),(42 1752.8716),(43 1768.1187),(44 1764.0731),(45 1770.6665),(46 1798.269),(47 1783.0123),(48 1775.1458),(49 1796.8809),(50 1785.7855),(51 1818.2303),(52 1846.2843),(53 1846.0613),(54 1828.9744),(55 1819.8109),(56 1801.8245),(57 1810.6774),(58 1826.6382),(59 1822.0475),(60 1820.8845),(61 1823.9949),(62 1811.6173),(63 1821.9008),(64 1831.6292),(65 1801.7048),(66 1813.9521),(67 1835.2346),(68 1810.9026),(69 1805.203),(70 1813.5276),(71 1806.0983),(72 1799.7911),(73 1811.8966),(74 1805.3666),(75 1821.0767),(76 1815.0676),(77 1811.6571),(78 1836.1924),(79 1826.3007),
(1 592.3659),(2 836.06366),(3 1063.518),(4 1162.1545),(5 1253.3104),(6 1290.2119),(7 1355.0936),(8 1388.3904),(9 1394.7769),(10 1423.9698),(11 1460.2592),(12 1490.262),(13 1508.112),(14 1529.114),(15 1526.6925),(16 1538.5066),(17 1580.4221),(18 1560.6934),(19 1571.3271),(20 1590.894),(21 1578.9958),(22 1591.734),(23 1605.4176),(24 1583.0479),(25 1610.6981),(26 1626.2888),(27 1620.619),(28 1633.7148),(29 1616.9226),(30 1597.6454),(31 1610.1205),(32 1606.8146),(33 1610.2505),(34 1642.4672),(35 1650.9719),(36 1657.6681),(37 1683.5995),(38 1665.7427),(39 1705.0524),(40 1711.2546),(41 1682.3267),(42 1693.8472),(43 1700.8269),(44 1688.288),(45 1701.7391),(46 1728.8335),(47 1705.0751),(48 1721.448),(49 1748.1218),(50 1751.1625),(51 1777.9348),(52 1834.3735),(53 1805.3226),(54 1812.3129),(55 1812.4674),(56 1805.9071),(57 1822.9874),(58 1838.3245),(59 1839.8989),(60 1841.0063),(61 1859.0853),(62 1833.3553),(63 1838.0566),(64 1859.0757),(65 1827.4089),(66 1827.3925),(67 1833.7112),(68 1819.6285),(69 1800.2656),(70 1808.1633),(71 1785.6185),(72 1798.967),(73 1807.44),(74 1804.3325),(75 1811.2045),(76 1828.6619),(77 1820.0176),(78 1828.9126),(79 1822.5638),
(1 581.8138),(2 834.04767),(3 1049.8942),(4 1151.49),(5 1236.418),(6 1296.9211),(7 1351.0829),(8 1390.3778),(9 1407.5815),(10 1440.1812),(11 1481.077),(12 1494.9167),(13 1510.8987),(14 1536.6193),(15 1545.9604),(16 1561.3906),(17 1587.1066),(18 1596.7607),(19 1602.1561),(20 1607.484),(21 1613.9155),(22 1624.4255),(23 1636.593),(24 1622.4185),(25 1645.6382),(26 1667.5645),(27 1673.7921),(28 1708.1449),(29 1687.6215),(30 1671.5916),(31 1686.3586),(32 1668.4899),(33 1673.7491),(34 1707.1322),(35 1700.9054),(36 1699.4487),(37 1729.625),(38 1699.4161),(39 1720.5895),(40 1742.9595),(41 1717.1118),(42 1738.8081),(43 1759.3921),(44 1750.6501),(45 1761.6536),(46 1777.4534),(47 1772.3566),(48 1787.6635),(49 1805.5275),(50 1825.9393),(51 1861.2689),(52 1903.1315),(53 1858.8386),(54 1854.6849),(55 1874.9977),(56 1866.6405),(57 1880.9171),(58 1888.013),(59 1865.5825),(60 1875.3541),(61 1897.6346),(62 1873.1554),(63 1859.1404),(64 1875.95),(65 1855.8499),(66 1852.8798),(67 1859.3129),(68 1829.7738),(69 1819.2751),(70 1826.9225),(71 1809.9349),(72 1807.462),(73 1822.0881),(74 1809.74),(75 1822.934),(76 1850.1593),(77 1831.6738),(78 1846.7686),(79 1844.702),
(1 575.33215),(2 821.2489),(3 1025.1405),(4 1122.2949),(5 1200.5261),(6 1253.3694),(7 1295.4418),(8 1327.954),(9 1342.9004),(10 1368.9435),(11 1393.1278),(12 1397.3334),(13 1408.0527),(14 1416.6595),(15 1425.5696),(16 1439.335),(17 1478.9452),(18 1468.0989),(19 1464.9612),(20 1486.293),(21 1492.9089),(22 1506.4188),(23 1526.0066),(24 1517.1749),(25 1542.126),(26 1567.4209),(27 1564.1552),(28 1585.6749),(29 1575.0933),(30 1578.6765),(31 1597.4614),(32 1591.6238),(33 1592.1957),(34 1618.7638),(35 1618.0846),(36 1612.2584),(37 1640.8661),(38 1614.2357),(39 1638.4047),(40 1660.1931),(41 1640.312),(42 1634.0144),(43 1651.1693),(44 1644.069),(45 1645.493),(46 1654.3285),(47 1633.4),(48 1636.8923),(49 1656.2794),(50 1658.1787),(51 1681.2961),(52 1725.9838),(53 1701.1207),(54 1697.5868),(55 1716.2822),(56 1717.0203),(57 1741.1093),(58 1759.5089),(59 1744.1475),(60 1756.8744),(61 1773.2616),(62 1752.3053),(63 1741.1381),(64 1758.1619),(65 1746.3848),(66 1742.1244),(67 1769.7219),(68 1742.8662),(69 1734.9089),(70 1732.0082),(71 1715.2052),(72 1712.9387),(73 1725.7294),(74 1721.1847),(75 1738.7637),(76 1769.0679),(77 1766.6902),(78 1785.2166),(79 1784.0547),
(1 565.10675),(2 817.67206),(3 1015.5298),(4 1101.1736),(5 1185.442),(6 1240.1953),(7 1287.5874),(8 1336.1351),(9 1338.5319),(10 1372.468),(11 1414.461),(12 1408.5525),(13 1427.5746),(14 1438.8904),(15 1449.7653),(16 1465.4756),(17 1499.6458),(18 1478.6754),(19 1480.8195),(20 1493.8279),(21 1521.7517),(22 1521.3676),(23 1543.993),(24 1519.2783),(25 1541.9572),(26 1569.8304),(27 1575.646),(28 1574.2229),(29 1553.1086),(30 1564.2664),(31 1591.5839),(32 1582.3112),(33 1598.139),(34 1646.1213),(35 1619.58),(36 1625.4956),(37 1662.095),(38 1633.9691),(39 1660.7576),(40 1688.6058),(41 1648.3993),(42 1649.465),(43 1666.7745),(44 1649.3632),(45 1651.9203),(46 1662.846),(47 1634.0625),(48 1638.5995),(49 1662.2435),(50 1660.0203),(51 1673.1205),(52 1703.28),(53 1684.3457),(54 1706.5446),(55 1708.8221),(56 1712.7196),(57 1716.7617),(58 1728.6595),(59 1714.6599),(60 1725.6226),(61 1745.3353),(62 1727.2491),(63 1735.8759),(64 1738.7028),(65 1722.8977),(66 1709.3484),(67 1725.9482),(68 1704.6185),(69 1689.3242),(70 1679.057),(71 1651.6985),(72 1655.3467),(73 1650.143),(74 1658.9089),(75 1670.6206),(76 1700.3673),(77 1692.874),(78 1714.5194),(79 1701.3363),
(1 557.65137),(2 798.2694),(3 989.509),(4 1081.9255),(5 1149.7969),(6 1197.8893),(7 1238.4385),(8 1284.4434),(9 1287.9541),(10 1324.1283),(11 1348.7963),(12 1352.4937),(13 1376.8593),(14 1393.5406),(15 1402.8551),(16 1426.4702),(17 1458.916),(18 1445.3585),(19 1457.5466),(20 1478.1741),(21 1495.0007),(22 1484.4927),(23 1498.4495),(24 1504.6049),(25 1507.9662),(26 1534.2609),(27 1543.3324),(28 1545.675),(29 1522.7067),(30 1535.5466),(31 1563.9159),(32 1533.4624),(33 1540.9431),(34 1576.782),(35 1547.8341),(36 1565.4227),(37 1586.7346),(38 1572.0084),(39 1586.7465),(40 1611.74),(41 1577.8615),(42 1579.223),(43 1584.7372),(44 1578.3055),(45 1565.978),(46 1584.6195),(47 1565.522),(48 1582.2606),(49 1610.6965),(50 1602.7015),(51 1636.6324),(52 1669.4141),(53 1650.1858),(54 1664.678),(55 1668.6044),(56 1676.059),(57 1677.553),(58 1686.4257),(59 1675.9324),(60 1683.7656),(61 1702.4482),(62 1689.4595),(63 1717.4939),(64 1724.9719),(65 1704.8422),(66 1677.399),(67 1696.8684),(68 1680.2662),(69 1676.5322),(70 1674.0704),(71 1658.1035),(72 1648.698),(73 1669.0793),(74 1639.4932),(75 1631.1543),(76 1632.7994),(77 1630.0527),(78 1666.3136),(79 1664.3721),
(1 558.8352),(2 793.66815),(3 980.56464),(4 1080.3615),(5 1164.0477),(6 1209.6012),(7 1255.5573),(8 1301.7079),(9 1297.3464),(10 1336.3723),(11 1372.8787),(12 1376.537),(13 1396.7283),(14 1408.9839),(15 1413.859),(16 1436.4355),(17 1455.346),(18 1440.5524),(19 1455.8588),(20 1472.6572),(21 1482.4066),(22 1486.1282),(23 1499.6466),(24 1498.958),(25 1512.8983),(26 1532.9951),(27 1544.3019),(28 1569.2709),(29 1564.4843),(30 1575.8341),(31 1609.6034),(32 1598.8966),(33 1599.1178),(34 1622.1271),(35 1601.6179),(36 1605.5621),(37 1631.5074),(38 1619.077),(39 1638.7181),(40 1666.9747),(41 1653.2819),(42 1657.4438),(43 1665.7817),(44 1646.762),(45 1650.4907),(46 1664.8589),(47 1641.4783),(48 1651.0131),(49 1669.9075),(50 1656.0037),(51 1681.3508),(52 1708.782),(53 1676.0981),(54 1676.5289),(55 1686.3196),(56 1705.8889),(57 1699.839),(58 1696.1302),(59 1686.5122),(60 1688.0701),(61 1698.5457),(62 1677.0063),(63 1679.2135),(64 1676.2494),(65 1671.8671),(66 1664.9791),(67 1682.1062),(68 1673.4708),(69 1659.7954),(70 1664.9872),(71 1631.8289),(72 1620.2571),(73 1630.4476),(74 1627.028),(75 1655.6967),(76 1663.6357),(77 1643.335),(78 1676.0377),(79 1682.0363),
(1 537.8344),(2 766.237),(3 948.643),(4 1044.6028),(5 1116.5292),(6 1166.1897),(7 1212.2887),(8 1251.9193),(9 1247.806),(10 1279.2804),(11 1313.6736),(12 1316.6101),(13 1331.8953),(14 1346.3705),(15 1357.52),(16 1372.2615),(17 1396.5297),(18 1398.8821),(19 1421.6658),(20 1435.5757),(21 1436.8921),(22 1437.8224),(23 1427.6001),(24 1418.6599),(25 1433.1288),(26 1443.2615),(27 1451.3131),(28 1474.7748),(29 1466.681),(30 1486.736),(31 1512.082),(32 1504.1498),(33 1510.6273),(34 1525.8176),(35 1513.0906),(36 1513.5266),(37 1537.103),(38 1537.2405),(39 1556.5282),(40 1574.3944),(41 1559.8085),(42 1568.7876),(43 1578.7074),(44 1572.8756),(45 1578.134),(46 1582.2455),(47 1555.6597),(48 1570.4093),(49 1579.7101),(50 1579.7025),(51 1593.4888),(52 1623.1964),(53 1606.4824),(54 1597.6603),(55 1591.4357),(56 1600.9191),(57 1617.1886),(58 1618.2859),(59 1614.0773),(60 1621.0077),(61 1641.3562),(62 1635.3756),(63 1632.1583),(64 1635.849),(65 1626.4302),(66 1623.9337),(67 1642.8003),(68 1633.3689),(69 1624.4036),(70 1628.5145),(71 1612.7378),(72 1618.6135),(73 1613.6713),(74 1600.277),(75 1620.3674),(76 1651.9962),(77 1636.7162),(78 1653.2117),(79 1642.9984),
(1 531.18896),(2 759.1683),(3 926.5354),(4 1030.0636),(5 1092.9774),(6 1136.1337),(7 1180.9396),(8 1221.3392),(9 1226.1335),(10 1239.7491),(11 1269.8693),(12 1272.4927),(13 1291.331),(14 1305.8209),(15 1323.5692),(16 1334.4491),(17 1357.902),(18 1361.187),(19 1369.3689),(20 1389.011),(21 1373.9647),(22 1384.211),(23 1399.9648),(24 1395.2859),(25 1405.1631),(26 1413.0267),(27 1429.7822),(28 1450.3323),(29 1440.4286),(30 1458.2627),(31 1485.657),(32 1477.8275),(33 1483.2777),(34 1495.7322),(35 1482.8231),(36 1480.6351),(37 1498.3738),(38 1481.8693),(39 1494.526),(40 1516.4255),(41 1503.9927),(42 1521.4646),(43 1524.6151),(44 1514.0137),(45 1507.2789),(46 1520.7065),(47 1515.6637),(48 1528.694),(49 1551.0367),(50 1543.0402),(51 1546.0128),(52 1578.6489),(53 1559.803),(54 1588.8771),(55 1606.3818),(56 1598.8357),(57 1612.1823),(58 1622.1072),(59 1625.1179),(60 1628.168),(61 1652.2072),(62 1633.642),(63 1635.9426),(64 1656.0977),(65 1631.4989),(66 1624.2101),(67 1637.3531),(68 1646.8231),(69 1650.9344),(70 1657.1428),(71 1646.3025),(72 1656.0162),(73 1655.9685),(74 1623.5197),(75 1621.0304),(76 1630.514),(77 1611.0223),(78 1612.9169),(79 1597.4717),
(1 530.08417),(2 746.9017),(3 927.4529),(4 1026.2733),(5 1087.5791),(6 1132.4589),(7 1171.5103),(8 1222.9028),(9 1235.4124),(10 1256.1816),(11 1280.188),(12 1293.3915),(13 1328.9001),(14 1337.191),(15 1346.7792),(16 1361.6516),(17 1368.199),(18 1365.0486),(19 1373.2546),(20 1394.8618),(21 1384.2084),(22 1397.1742),(23 1415.2367),(24 1407.221),(25 1420.4276),(26 1437.4474),(27 1439.0881),(28 1446.6912),(29 1432.2012),(30 1436.122),(31 1461.8008),(32 1456.797),(33 1448.1888),(34 1467.6891),(35 1468.906),(36 1482.0273),(37 1500.5526),(38 1483.9332),(39 1486.2103),(40 1511.5774),(41 1511.0612),(42 1516.2129),(43 1524.0577),(44 1518.8792),(45 1516.8367),(46 1547.1863),(47 1537.9192),(48 1558.918),(49 1584.3132),(50 1577.4067),(51 1599.8145),(52 1607.8481),(53 1613.5303),(54 1624.9017),(55 1633.5214),(56 1637.6838),(57 1640.7471),(58 1657.2437),(59 1636.1233),(60 1629.7833),(61 1650.9594),(62 1626.4496),(63 1624.9272),(64 1643.5425),(65 1628.8776),(66 1623.0028),(67 1630.1882),(68 1610.5173),(69 1626.3099),(70 1639.2865),(71 1627.0494),(72 1606.0508),(73 1612.0118),(74 1591.5103),(75 1595.4208),(76 1596.547),(77 1580.4613),(78 1609.4994),(79 1590.5657),
