1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 42127.82),(2 138142.3),(3 262767.97),(4 424926.34),(5 625002.3),(6 887200),(7 1159733.3),(8 1432134.9),(9 1710658.1),(10 2011858.9),(11 2318628.8),(12 2693408.8),(13 3067765.3),(14 3522565),(15 4020143.3),(16 4540396.5),(17 5090588.5),(18 5669037.5),(19 6217380.5),(20 6825170.5),(21 7460478.5),(22 8100768.5),(23 8745369),(24 9464528),(25 10233763),(26 11063312),(27 11827844),(28 12631933),(29 13434672),(30 14299615),(31 15052949),(32 15861464),(33 16538693),(34 17280966),(35 17878064),(36 18501940),(37 19014322),(38 19471144),(39 19868350),(40 20241126),(41 20534394),(42 20794674),(43 21028374),(44 21226778),(45 21312134),(46 21403838),(47 21462542),(48 21480562),(49 21419346),(50 21377504),(51 21326422),(52 21317980),(53 21260922),(54 21331184),(55 21260006),(56 21166814),(57 21040010),(58 20919318),(59 20796256),(60 20689460),(61 20686440),(62 20627058),(63 20602992),(64 20633498),(65 20590808),(66 20577774),(67 20482448),(68 20327514),(69 20136382),(70 19980808),(71 19779874),(72 19573072),(73 19360590),(74 19175688),(75 18991756),(76 18880194),(77 18821402),(78 18828346),(79 18892172),
(1 1768.3016),(2 3377.5107),(3 4238.7925),(4 4566.131),(5 4649.2886),(6 4871.148),(7 4943.24),(8 5140.843),(9 5364.146),(10 5576.041),(11 5561.386),(12 5376.619),(13 5248.4565),(14 5257.3037),(15 5351.0728),(16 5386.556),(17 5351.769),(18 5476.7734),(19 5429.616),(20 5504.6816),(21 5618.9136),(22 5715.445),(23 5667.542),(24 5604.684),(25 5578.332),(26 5637.794),(27 5622.458),(28 5476.974),(29 5312.078),(30 5291.142),(31 5256.438),(32 5289.7285),(33 5349.4736),(34 5472.848),(35 5564.736),(36 5677.557),(37 5786.0864),(38 5899.5083),(39 5897.029),(40 5880.041),(41 5828.931),(42 5808.764),(43 5674.1787),(44 5544.2153),(45 5380.394),(46 5353.1084),(47 5260.6343),(48 5232.411),(49 5184.3433),(50 5213.529),(51 5164.668),(52 5150.1914),(53 5141.1797),(54 5246.1084),(55 5292.024),(56 5352.0366),(57 5509.492),(58 5670.1445),(59 5747.911),(60 5861.294),(61 5920.5386),(62 5897.8535),(63 5857.203),(64 5823.5757),(65 5773.0503),(66 5844.628),(67 5770.803),(68 5764.585),(69 5728.1353),(70 5718.6895),(71 5733.977),(72 5710.503),(73 5675.6563),(74 5635.875),(75 5633.866),(76 5660.536),(77 5734.41),(78 5959.3096),(79 5925.784),
(1 1611.4594),(2 3077.891),(3 3874.7021),(4 4251.921),(5 4360.105),(6 4520.634),(7 4597.1006),(8 4795.974),(9 5000.982),(10 5194.909),(11 5208.8135),(12 5117.8594),(13 4983.8813),(14 4995.525),(15 4998.0503),(16 4985.4688),(17 4984.252),(18 5116.579),(19 5230.59),(20 5323.619),(21 5456.78),(22 5479.8906),(23 5376.4736),(24 5301.5264),(25 5287.5845),(26 5318.2705),(27 5282.08),(28 5136.7603),(29 5055.9565),(30 5140.6255),(31 5059.0996),(32 5111.4536),(33 5211.2075),(34 5279.08),(35 5280.5386),(36 5337.851),(37 5455.7217),(38 5575.9995),(39 5563.5005),(40 5561.866),(41 5537.4946),(42 5548.25),(43 5431.9697),(44 5304.018),(45 5222.672),(46 5194.846),(47 5142.941),(48 5152.5767),(49 5125.137),(50 5143.0015),(51 5166.2095),(52 5211.4697),(53 5220.634),(54 5280.6943),(55 5252.89),(56 5308.105),(57 5348.973),(58 5383.2173),(59 5455.3003),(60 5527.0547),(61 5611.1846),(62 5610.376),(63 5525.336),(64 5415.4707),(65 5401.9385),(66 5492.285),(67 5483.3745),(68 5448.032),(69 5434.4355),(70 5487.157),(71 5545.616),(72 5466.802),(73 5490.241),(74 5526.169),(75 5497.0225),(76 5506.2827),(77 5550.339),(78 5688.261),(79 5689.1763),
(1 1508.0386),(2 2840.4204),(3 3591.993),(4 3933.23),(5 4015.581),(6 4149.3457),(7 4169.1323),(8 4347.231),(9 4558.7373),(10 4765.3423),(11 4830.749),(12 4751.169),(13 4621.0835),(14 4662.25),(15 4729.0996),(16 4768.703),(17 4729.3633),(18 4879.734),(19 4930.897),(20 5026.623),(21 5151.4595),(22 5133.25),(23 5058.136),(24 5010.0117),(25 4963.1167),(26 5013.8364),(27 4971.31),(28 4875.047),(29 4826.3203),(30 4913.5083),(31 4902.605),(32 4896.916),(33 4961.0723),(34 4987.9946),(35 5010.727),(36 5045.142),(37 5139.4414),(38 5244.6416),(39 5280.586),(40 5306.25),(41 5256.3887),(42 5255.0605),(43 5142.1177),(44 5012.657),(45 4927.494),(46 4907.563),(47 4850.2246),(48 4894.183),(49 4908.4),(50 4943.334),(51 4951.9727),(52 4972.999),(53 4982.1675),(54 5062.1104),(55 5051.606),(56 5112.0073),(57 5177.653),(58 5260.4204),(59 5234.493),(60 5225.443),(61 5230.385),(62 5148.1904),(63 5089.961),(64 5091.882),(65 5123.973),(66 5211.5205),(67 5146.6704),(68 5151.173),(69 5129.86),(70 5170.4907),(71 5180.9863),(72 5082.374),(73 5018.4546),(74 4955.875),(75 4960.7476),(76 4951.168),(77 4965.708),(78 5096.6226),(79 5077.6816),
(1 1507.1761),(2 2837.7244),(3 3465.1343),(4 3728.5317),(5 3787.5557),(6 3908.293),(7 3917.8254),(8 4089.2742),(9 4305.8506),(10 4442.4263),(11 4475.9907),(12 4378.1465),(13 4305.4263),(14 4295.288),(15 4369.4473),(16 4352.3633),(17 4328.139),(18 4464.776),(19 4483.48),(20 4598.8228),(21 4753.6816),(22 4782.3096),(23 4769.654),(24 4756.7354),(25 4749.1855),(26 4778.245),(27 4725.9146),(28 4675.285),(29 4570.428),(30 4683.981),(31 4654.5337),(32 4646.208),(33 4734.8027),(34 4781.9116),(35 4806.807),(36 4829.2144),(37 4888.7),(38 4964.3496),(39 5001.6763),(40 4984.114),(41 4956.0703),(42 4959.2754),(43 4839.819),(44 4702.493),(45 4590.098),(46 4588.246),(47 4510.601),(48 4469.7813),(49 4407.5723),(50 4412.688),(51 4411.367),(52 4483.802),(53 4504.178),(54 4626.0244),(55 4641.7476),(56 4691.4893),(57 4781.704),(58 4837.637),(59 4837.0933),(60 4899.9253),(61 4899.149),(62 4905.9404),(63 4869.1777),(64 4855.4355),(65 4879.474),(66 4951.618),(67 4934.277),(68 4951.5615),(69 4955.828),(70 4933.174),(71 4943.143),(72 4836.156),(73 4825.795),(74 4838.002),(75 4830.0425),(76 4822.387),(77 4842.917),(78 4962.6216),(79 4981.3335),
(1 1592.2162),(2 2994.3538),(3 3677.7415),(4 3905.1477),(5 3903.2515),(6 4079.5415),(7 4070.3066),(8 4266.4136),(9 4516.503),(10 4693.7505),(11 4700.644),(12 4510.682),(13 4342.4785),(14 4337.7817),(15 4408.1167),(16 4442.739),(17 4412.8228),(18 4527.2773),(19 4643.1646),(20 4802.892),(21 4957.7256),(22 4961.3394),(23 4962.041),(24 4869.011),(25 4823.5034),(26 4871.76),(27 4837.7993),(28 4736.122),(29 4591.345),(30 4652.3784),(31 4695.972),(32 4796.9487),(33 4894.9995),(34 4951.556),(35 4966.895),(36 5003.1836),(37 5055.808),(38 5192.488),(39 5298.499),(40 5266.5293),(41 5164.3403),(42 5089.563),(43 4894.7383),(44 4668.5215),(45 4523.6455),(46 4511.752),(47 4467.9414),(48 4414.7627),(49 4293.2183),(50 4251.096),(51 4294.627),(52 4320.2563),(53 4336.3516),(54 4437.723),(55 4477.092),(56 4537.5273),(57 4657.3174),(58 4732.963),(59 4785.686),(60 4804.938),(61 4850.349),(62 4845.5137),(63 4798.1377),(64 4804.3745),(65 4858.5806),(66 5004.779),(67 4978.705),(68 5019.002),(69 5001.865),(70 4974.1235),(71 4970.4946),(72 4863.164),(73 4770.096),(74 4774.041),(75 4769.074),(76 4729.676),(77 4701.1563),(78 4785.723),(79 4815.7466),
(1 1488.254),(2 2790.9775),(3 3454.5847),(4 3700.8142),(5 3797.3384),(6 4014.9846),(7 4074.9885),(8 4244.8213),(9 4435.6284),(10 4575.7017),(11 4541.846),(12 4382.0913),(13 4300.0537),(14 4326.133),(15 4393.4395),(16 4445.151),(17 4411.0415),(18 4544.59),(19 4580.3486),(20 4699.1675),(21 4771.658),(22 4831.404),(23 4797.185),(24 4727.099),(25 4715.7974),(26 4776.672),(27 4716.394),(28 4636.443),(29 4549.653),(30 4593.5786),(31 4639.4854),(32 4740.0137),(33 4756.712),(34 4773.37),(35 4814.862),(36 4840.853),(37 4926.1914),(38 5055.5513),(39 5109.1963),(40 5075.4224),(41 5039.688),(42 4970.3145),(43 4781.196),(44 4645.97),(45 4587.097),(46 4644.422),(47 4613.2603),(48 4623.0615),(49 4539.6836),(50 4543.571),(51 4562.1353),(52 4528.612),(53 4492.6997),(54 4548.199),(55 4460.5815),(56 4476.741),(57 4583.2393),(58 4687.591),(59 4758.723),(60 4859.1987),(61 4896.0337),(62 4887.972),(63 4868.035),(64 4894.5083),(65 4930.9434),(66 5040.6265),(67 5051.295),(68 5061.093),(69 5006.978),(70 4975.9316),(71 4969.0386),(72 4862.6216),(73 4752.138),(74 4720.156),(75 4690.48),(76 4632.0913),(77 4598.205),(78 4709.0425),(79 4760.4873),
(1 1392.2982),(2 2581.7754),(3 3144.1306),(4 3339.5195),(5 3427.459),(6 3568.149),(7 3581.7356),(8 3746.7651),(9 3925.9683),(10 4055.5872),(11 4058.5642),(12 3951.4656),(13 3871.0747),(14 3972.468),(15 4055.8555),(16 4097.313),(17 4044.2346),(18 4123.42),(19 4090.9763),(20 4143.7344),(21 4197.047),(22 4185.0903),(23 4158.09),(24 4181.889),(25 4225.959),(26 4268.865),(27 4260.0923),(28 4145.15),(29 4087.2175),(30 4100.5503),(31 4109.8843),(32 4132.384),(33 4158.75),(34 4167.442),(35 4181.799),(36 4207.8306),(37 4266.645),(38 4334.3823),(39 4358.831),(40 4352.3833),(41 4377.395),(42 4419.7305),(43 4292.5073),(44 4148.62),(45 4103.299),(46 4142.8613),(47 4111.002),(48 4114.2065),(49 4090.2563),(50 4079.7698),(51 4073.9202),(52 4088.1353),(53 4142.4707),(54 4212.5693),(55 4203.3687),(56 4216.413),(57 4261.0425),(58 4300.684),(59 4324.6514),(60 4317.169),(61 4305.4956),(62 4305.07),(63 4325.741),(64 4365.1274),(65 4384.2056),(66 4423.3257),(67 4386.551),(68 4425.402),(69 4445.6426),(70 4453.926),(71 4369.285),(72 4264.5713),(73 4196.1685),(74 4128.3926),(75 4087.3577),(76 4073.8267),(77 4082.5725),(78 4175.953),(79 4211.4883),
(1 1356.3823),(2 2468.784),(3 3040.1875),(4 3262.2197),(5 3322.968),(6 3439.1555),(7 3466.5781),(8 3608.8843),(9 3735.8987),(10 3857.469),(11 3897.0496),(12 3796.6426),(13 3695.5337),(14 3738.5642),(15 3772.2395),(16 3787.4805),(17 3796.6616),(18 3960.3713),(19 4002.1252),(20 4126.693),(21 4189.8965),(22 4144.1445),(23 4112.3667),(24 4084.8828),(25 4073.2173),(26 4075.0647),(27 4037.359),(28 3869.8147),(29 3788.6785),(30 3878.9954),(31 3951.737),(32 4023.5657),(33 4043.7578),(34 4013.4678),(35 4028.1804),(36 4037.8506),(37 4029.0657),(38 4042.5154),(39 4072.454),(40 4046.6704),(41 4084.4336),(42 4079.379),(43 3959.6653),(44 3890.987),(45 3806.4712),(46 3787.0696),(47 3736.1863),(48 3734.8853),(49 3708.5618),(50 3699.3),(51 3680.7944),(52 3683.9885),(53 3713.1038),(54 3814.7947),(55 3777.1785),(56 3822.8418),(57 3875.0046),(58 3912.133),(59 3927.4753),(60 3917.045),(61 3928.384),(62 3953.1477),(63 3963.354),(64 4003.6963),(65 4004.3071),(66 4043.431),(67 4063.129),(68 4108.191),(69 4090.716),(70 4087.8652),(71 4047.0303),(72 4011.5967),(73 3988.9878),(74 3913.946),(75 3902.561),(76 3880.6565),(77 3849.2478),(78 3945.8418),(79 3976.2314),
(1 1223.3978),(2 2200.6255),(3 2684.7822),(4 2928.8394),(5 3017.6948),(6 3179.9263),(7 3167.382),(8 3291.833),(9 3396.096),(10 3539.0474),(11 3607.2202),(12 3551.812),(13 3468.754),(14 3477.4072),(15 3480.5193),(16 3473.146),(17 3462.3967),(18 3624.421),(19 3672.005),(20 3725.9258),(21 3748.215),(22 3739.4517),(23 3703.679),(24 3677.1504),(25 3653.5317),(26 3620.9683),(27 3588.904),(28 3540.16),(29 3507.9282),(30 3577.023),(31 3573.5615),(32 3578.2166),(33 3589.3728),(34 3597.8064),(35 3622.1443),(36 3664.4275),(37 3722.964),(38 3746.2473),(39 3770.3853),(40 3771.8157),(41 3763.1338),(42 3775.3333),(43 3712.8784),(44 3647.1565),(45 3600.5112),(46 3611.6648),(47 3621.47),(48 3631.2778),(49 3563.618),(50 3566.476),(51 3558.387),(52 3534.5361),(53 3503.7495),(54 3564.541),(55 3525.6116),(56 3569.1877),(57 3654.455),(58 3699.796),(59 3686.6077),(60 3691.8506),(61 3698.355),(62 3661.7898),(63 3635.3323),(64 3631.5522),(65 3617.4067),(66 3644.3923),(67 3624.878),(68 3654.0283),(69 3640.4197),(70 3656.2686),(71 3658.0686),(72 3640.9333),(73 3638.3484),(74 3623.6096),(75 3621.696),(76 3637.8325),(77 3666.7307),(78 3753.8293),(79 3749.2197),
(1 1240.5215),(2 2195.2102),(3 2657.5417),(4 2844.6768),(5 2895.3635),(6 2997.494),(7 3080.7014),(8 3197.9812),(9 3309.1199),(10 3450.4446),(11 3493.701),(12 3415.8174),(13 3344.614),(14 3346.0137),(15 3403.9043),(16 3431.5586),(17 3425.3784),(18 3568.309),(19 3537.9355),(20 3632.0037),(21 3668.3103),(22 3664.805),(23 3610.7092),(24 3575.8145),(25 3540.881),(26 3538.5784),(27 3495.7405),(28 3480.1965),(29 3455.2693),(30 3572.0322),(31 3577.1973),(32 3578.1943),(33 3588.5884),(34 3644.694),(35 3691.424),(36 3732.3765),(37 3724.822),(38 3739.1985),(39 3721.5552),(40 3725.4856),(41 3692.467),(42 3701.2915),(43 3632.5474),(44 3595.1587),(45 3571.2192),(46 3606.3284),(47 3607.0813),(48 3616.2383),(49 3552.1758),(50 3551.2957),(51 3545.0728),(52 3509.144),(53 3533.7544),(54 3563.0244),(55 3544.612),(56 3585.9211),(57 3632.1887),(58 3726.002),(59 3707.1926),(60 3692.6875),(61 3706.2483),(62 3676.0376),(63 3645.4846),(64 3651.5107),(65 3632.0298),(66 3717.631),(67 3768.9834),(68 3797.302),(69 3738.4072),(70 3732.1885),(71 3691.1836),(72 3618.788),(73 3578.6453),(74 3603.1223),(75 3644.4045),(76 3647.8733),(77 3641.3923),(78 3770.856),(79 3781.0056),
(1 1190.7229),(2 2151.9082),(3 2617.7222),(4 2818.322),(5 2862.346),(6 2963.8264),(7 2999.2622),(8 3108.8027),(9 3248.0452),(10 3322.5647),(11 3310.5955),(12 3213.2722),(13 3138.278),(14 3144.0913),(15 3191.7039),(16 3254.9666),(17 3287.5693),(18 3415.5925),(19 3453.0332),(20 3501.7197),(21 3573.3276),(22 3577.3748),(23 3529.8184),(24 3486.2444),(25 3449.719),(26 3469.701),(27 3406.2808),(28 3322.949),(29 3270.1772),(30 3375.8452),(31 3392.3503),(32 3441.2278),(33 3468.9348),(34 3464.298),(35 3485.461),(36 3512.9087),(37 3575.487),(38 3603.2224),(39 3583.613),(40 3565.4954),(41 3561.3662),(42 3569.5623),(43 3512.4875),(44 3460.8875),(45 3455.5474),(46 3511.818),(47 3494.5903),(48 3479.9165),(49 3444.958),(50 3440.3484),(51 3450.4895),(52 3444.4143),(53 3446.0925),(54 3499.135),(55 3466.8472),(56 3474.5313),(57 3509.8215),(58 3558.4238),(59 3556.6602),(60 3558.927),(61 3545.7336),(62 3543.1426),(63 3548.4082),(64 3565.8647),(65 3610.889),(66 3702.463),(67 3674.8743),(68 3661.2717),(69 3602.521),(70 3581.8337),(71 3589.523),(72 3486.0737),(73 3428.8962),(74 3410.3147),(75 3427.1245),(76 3405.2734),(77 3388.3948),(78 3508.509),(79 3520.587),
(1 1122.8129),(2 1979.6606),(3 2429.0574),(4 2613.5483),(5 2658.0188),(6 2747.0642),(7 2810.1418),(8 2932.6948),(9 3062.4683),(10 3148.8176),(11 3144.0894),(12 3030.9243),(13 2968.6543),(14 3015.7842),(15 3072.0613),(16 3064.7534),(17 3085.6035),(18 3203.957),(19 3234.7383),(20 3317.1665),(21 3355.4104),(22 3322.458),(23 3297.1006),(24 3259.5256),(25 3243.867),(26 3263.0286),(27 3229.0703),(28 3212.3044),(29 3171.474),(30 3196.939),(31 3214.5015),(32 3264.6643),(33 3283.5676),(34 3302.1648),(35 3317.8428),(36 3347.6611),(37 3366.7192),(38 3336.2295),(39 3278.546),(40 3269.02),(41 3249.0483),(42 3253.5583),(43 3216.328),(44 3167.43),(45 3126.2512),(46 3144.8232),(47 3136.5898),(48 3158.5315),(49 3134.6824),(50 3143.6672),(51 3167.3066),(52 3192.5083),(53 3216.0159),(54 3294.0308),(55 3218.2334),(56 3215.1194),(57 3216.8525),(58 3216.7883),(59 3200.927),(60 3211.116),(61 3253.9563),(62 3231.7693),(63 3245.647),(64 3274.4397),(65 3338.8613),(66 3423.7546),(67 3422.617),(68 3413.1995),(69 3400.2004),(70 3418.037),(71 3397.1152),(72 3344.2522),(73 3329.707),(74 3299.0593),(75 3312.874),(76 3280.6814),(77 3295.3748),(78 3416.2505),(79 3426.1077),
(1 1121.9043),(2 1981.634),(3 2430.1067),(4 2619.0737),(5 2684.8645),(6 2800.186),(7 2842.0989),(8 2959.2754),(9 3085.7388),(10 3183.049),(11 3161.859),(12 3056.6973),(13 2991.8057),(14 3041.5215),(15 3023.6614),(16 3036.8184),(17 3038.7751),(18 3229.1147),(19 3297.0713),(20 3419.9849),(21 3456.6985),(22 3459.6582),(23 3469.124),(24 3425.2957),(25 3401.0886),(26 3392.8594),(27 3354.8535),(28 3333.3853),(29 3318.5925),(30 3373.3809),(31 3349.0186),(32 3372.918),(33 3360.8748),(34 3389.394),(35 3399.5735),(36 3417.7366),(37 3419.68),(38 3421.5288),(39 3363.1555),(40 3306.2263),(41 3268.05),(42 3334.7798),(43 3269.3223),(44 3233.4148),(45 3203.222),(46 3234.3784),(47 3208.054),(48 3191.1228),(49 3162.5596),(50 3145.957),(51 3158.8027),(52 3190.5515),(53 3197.561),(54 3280.2876),(55 3198.5417),(56 3213.883),(57 3224.877),(58 3218.6729),(59 3212.8923),(60 3238.4736),(61 3228.9258),(62 3225.8608),(63 3197.771),(64 3195.2341),(65 3226.5725),(66 3322.5964),(67 3314.8284),(68 3288.906),(69 3261.0276),(70 3327.915),(71 3343.9158),(72 3296.2813),(73 3268.8823),(74 3254.9233),(75 3242.974),(76 3218.9556),(77 3225.9746),(78 3371.4617),(79 3377.421),
(1 1113.8379),(2 2004.5392),(3 2451.027),(4 2606.8635),(5 2629.335),(6 2706.9084),(7 2760.477),(8 2876.4636),(9 3033.1738),(10 3126.2075),(11 3105.4575),(12 3021.3223),(13 2963.7834),(14 3008.6794),(15 3015.3733),(16 3074.0461),(17 3102.9663),(18 3243.6172),(19 3296.5222),(20 3346.12),(21 3372.437),(22 3383.9578),(23 3365.7383),(24 3293.255),(25 3259.371),(26 3288.5417),(27 3275.1277),(28 3271.5076),(29 3242.508),(30 3293.7583),(31 3339.7468),(32 3353.284),(33 3328.5486),(34 3312.4382),(35 3339.0461),(36 3333.4512),(37 3369.4316),(38 3405.508),(39 3388.6511),(40 3371.468),(41 3361.0828),(42 3364.4294),(43 3338.3306),(44 3356.7048),(45 3363.1172),(46 3367.3582),(47 3333.9604),(48 3306.595),(49 3242.4458),(50 3231.7927),(51 3260.0945),(52 3259.0728),(53 3241.5264),(54 3234.0461),(55 3148.7966),(56 3128.9053),(57 3151.8774),(58 3198.4758),(59 3242.312),(60 3279.2205),(61 3333.769),(62 3399.3096),(63 3427.2273),(64 3427.0156),(65 3453.9229),(66 3533.5261),(67 3524.7773),(68 3524.5056),(69 3489.8772),(70 3456.4163),(71 3444.3887),(72 3379.9487),(73 3331.3782),(74 3322.838),(75 3317.003),(76 3275.1438),(77 3259.7751),(78 3391.2302),(79 3435.4744),
(1 1024.5728),(2 1819.0221),(3 2228.6487),(4 2383.414),(5 2453.504),(6 2538.287),(7 2581.3828),(8 2703.1677),(9 2824.5251),(10 2877.909),(11 2891.7717),(12 2833.529),(13 2782.5388),(14 2825.9573),(15 2873.0154),(16 2897.7114),(17 2918.2102),(18 3067.0625),(19 3116.147),(20 3150.9937),(21 3148.447),(22 3158.0493),(23 3157.0303),(24 3150.8987),(25 3144.7656),(26 3166.6838),(27 3163.3767),(28 3147.8577),(29 3136.248),(30 3189.167),(31 3177.034),(32 3187.1465),(33 3141.1458),(34 3129.5376),(35 3121.5295),(36 3123.6875),(37 3135.1177),(38 3131.9937),(39 3116.9492),(40 3094.6018),(41 3042.6902),(42 3103.5344),(43 3090.4907),(44 3087.8184),(45 3086.3271),(46 3085.841),(47 3020.6694),(48 2981.703),(49 2957.515),(50 2952.9954),(51 2946.683),(52 2960.5447),(53 2949.45),(54 2984.3875),(55 2923.6846),(56 2893.7478),(57 2892.8271),(58 2919.1692),(59 2953.1108),(60 2953.999),(61 2984.2673),(62 3006.472),(63 3040.1082),(64 3034.3235),(65 3050.0159),(66 3159.6064),(67 3174.8708),(68 3212.692),(69 3197.6997),(70 3211.9666),(71 3223.908),(72 3192.6602),(73 3208.402),(74 3231.623),(75 3253.144),(76 3247.3918),(77 3234.4197),(78 3311.623),(79 3304.9463),
(1 959.16406),(2 1678.5948),(3 2050.335),(4 2225.247),(5 2307.0066),(6 2383.3977),(7 2395.8079),(8 2498.0864),(9 2593.7705),(10 2692.9976),(11 2692.1008),(12 2624.652),(13 2589.527),(14 2619.3872),(15 2625.7527),(16 2655.4478),(17 2666.8926),(18 2794.3608),(19 2832.677),(20 2861.7285),(21 2880.0144),(22 2910.39),(23 2903.5532),(24 2874.9128),(25 2873.3594),(26 2866.7124),(27 2856.911),(28 2891.504),(29 2893.7275),(30 2921.2607),(31 2899.504),(32 2874.1619),(33 2870.7263),(34 2873.6433),(35 2868.6807),(36 2876.87),(37 2896.7031),(38 2900.786),(39 2853.5715),(40 2826.0217),(41 2787.9812),(42 2868.9902),(43 2874.452),(44 2893.1504),(45 2876.7087),(46 2920.4087),(47 2868.7498),(48 2853.8823),(49 2814.2708),(50 2795.9348),(51 2803.9934),(52 2808.7693),(53 2829.2302),(54 2882.609),(55 2837.6687),(56 2824.7388),(57 2803.9534),(58 2790.7961),(59 2806.4895),(60 2817.7935),(61 2858.0313),(62 2877.9385),(63 2895.3628),(64 2904.496),(65 2911.2634),(66 3018.9749),(67 3062.231),(68 3079.54),(69 3105.8235),(70 3156.1262),(71 3147.302),(72 3093.7122),(73 3076.138),(74 3088.0242),(75 3060.9148),(76 3029.919),(77 3036.541),(78 3147.6528),(79 3163.2651),
