1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 211.49045),(2 278.11035),(3 328.01736),(4 351.13226),(5 377.39307),(6 397.12067),(7 419.32202),(8 436.62817),(9 441.93405),(10 440.9466),(11 446.88287),(12 447.2681),(13 453.5149),(14 461.68042),(15 464.8503),(16 468.03754),(17 475.99167),(18 482.6945),(19 491.97955),(20 487.92847),(21 494.1638),(22 499.87604),(23 506.8592),(24 509.24667),(25 513.53796),(26 515.46735),(27 524.95654),(28 518.1757),(29 522.2833),(30 526.5608),(31 527.26904),(32 525.8079),(33 522.882),(34 522.99744),(35 527.1764),(36 529.2437),(37 526.452),(38 525.4454),(39 526.72455),(40 526.3474),(41 529.0098),(42 528.653),(43 526.6831),(44 519.83496),(45 516.15607),(46 516.6437),(47 512.7728),(48 505.59525),(49 506.36215),(50 505.30927),(51 508.0857),(52 511.12823),(53 517.0732),(54 520.98303),(55 521.0097),(56 521.3727),(57 517.2863),(58 515.3671),(59 510.37387),(60 516.1044),(61 510.69965),(62 507.4976),(63 507.92905),(64 504.6874),(65 507.82138),(66 506.6274),(67 513.76526),(68 515.9969),(69 521.6802),(70 518.0528),(71 521.37256),(72 520.71326),(73 519.4431),(74 523.55896),(75 519.0753),(76 514.6717),(77 514.7026),(78 509.39532),(79 512.9022),
(1 205.73108),(2 265.7299),(3 311.5135),(4 335.28644),(5 354.64218),(6 371.02487),(7 383.49432),(8 398.6996),(9 405.93848),(10 405.92346),(11 409.7719),(12 408.78168),(13 409.86374),(14 418.9687),(15 422.07745),(16 426.75757),(17 435.88437),(18 445.2792),(19 448.7323),(20 448.65552),(21 459.92365),(22 464.0349),(23 467.84152),(24 463.31912),(25 469.13602),(26 467.2114),(27 470.25433),(28 466.82993),(29 470.7163),(30 467.99945),(31 472.28488),(32 472.20786),(33 474.25244),(34 479.16287),(35 485.06528),(36 491.06064),(37 491.47974),(38 496.148),(39 502.83356),(40 504.6413),(41 507.3695),(42 503.9974),(43 500.0877),(44 497.10825),(45 496.30396),(46 502.6527),(47 498.8225),(48 499.3486),(49 501.42126),(50 503.30475),(51 500.0919),(52 502.66562),(53 504.48233),(54 506.63037),(55 510.552),(56 504.60922),(57 506.29623),(58 509.15906),(59 510.03363),(60 513.7138),(61 510.5851),(62 508.22855),(63 506.72592),(64 510.79175),(65 510.928),(66 510.46317),(67 514.37933),(68 510.63257),(69 509.69366),(70 505.17432),(71 504.09772),(72 501.68723),(73 498.1975),(74 498.64957),(75 498.20044),(76 493.17993),(77 493.76685),(78 492.31055),(79 496.82477),
(1 201.30792),(2 261.98575),(3 306.06827),(4 332.56314),(5 351.6905),(6 367.95673),(7 382.54364),(8 393.52243),(9 401.87982),(10 405.73218),(11 407.22983),(12 409.20462),(13 406.40442),(14 417.61804),(15 422.71167),(16 424.51462),(17 434.3019),(18 441.42896),(19 441.32224),(20 440.81638),(21 448.15497),(22 448.23553),(23 446.5766),(24 445.0817),(25 444.8283),(26 446.54987),(27 450.5257),(28 451.2821),(29 449.01447),(30 450.3266),(31 456.05386),(32 454.05957),(33 454.45078),(34 453.17303),(35 455.18576),(36 458.675),(37 461.45035),(38 466.3785),(39 468.1192),(40 468.43985),(41 467.63156),(42 463.37692),(43 468.92786),(44 467.10034),(45 468.87296),(46 469.1278),(47 468.03983),(48 466.80408),(49 465.10825),(50 469.42664),(51 472.59818),(52 473.98526),(53 477.01416),(54 479.9105),(55 487.57767),(56 486.74728),(57 491.18423),(58 495.7489),(59 488.7459),(60 489.93018),(61 487.30692),(62 490.85907),(63 488.52377),(64 487.40134),(65 490.87338),(66 488.3196),(67 486.86646),(68 481.2012),(69 481.91992),(70 481.10852),(71 482.93735),(72 481.2968),(73 484.40247),(74 484.57172),(75 484.75082),(76 483.0741),(77 489.7383),(78 489.2467),(79 482.0091),
(1 204.23811),(2 268.8809),(3 311.10245),(4 337.80783),(5 362.3771),(6 373.3852),(7 389.03098),(8 400.8824),(9 409.27603),(10 404.50555),(11 410.07666),(12 410.35474),(13 416.99677),(14 421.50357),(15 427.5692),(16 423.67688),(17 434.45132),(18 437.9113),(19 447.48492),(20 449.46704),(21 456.89532),(22 454.68234),(23 457.46103),(24 451.8199),(25 455.8225),(26 461.39102),(27 463.9824),(28 459.381),(29 465.0097),(30 463.82715),(31 471.20953),(32 472.2543),(33 472.4174),(34 467.62595),(35 475.46103),(36 473.81265),(37 476.00705),(38 474.28088),(39 474.0926),(40 473.726),(41 471.83844),(42 467.1049),(43 470.8878),(44 468.5864),(45 470.50482),(46 471.94244),(47 475.78534),(48 472.01828),(49 467.5371),(50 468.07138),(51 467.77097),(52 471.42953),(53 465.52975),(54 468.3814),(55 471.4703),(56 468.90137),(57 465.54285),(58 470.88892),(59 472.75735),(60 476.52838),(61 482.23865),(62 487.75403),(63 490.88803),(64 496.1884),(65 502.09174),(66 502.03973),(67 501.13354),(68 501.246),(69 501.1873),(70 500.79623),(71 499.9904),(72 494.93002),(73 499.66748),(74 503.55933),(75 503.39542),(76 502.70517),(77 504.4061),(78 501.17242),(79 499.21167),
(1 204.47319),(2 266.1162),(3 309.02612),(4 339.66907),(5 363.0373),(6 377.74323),(7 392.92184),(8 399.1949),(9 404.8297),(10 403.16116),(11 409.74637),(12 408.1604),(13 412.4657),(14 417.6332),(15 428.3338),(16 435.6501),(17 438.70856),(18 449.6272),(19 453.5657),(20 452.32828),(21 449.7268),(22 452.03564),(23 452.09894),(24 445.60745),(25 446.25275),(26 444.51862),(27 450.6738),(28 446.9151),(29 453.05505),(30 453.4716),(31 462.08646),(32 459.32907),(33 462.07358),(34 461.42746),(35 466.86658),(36 471.2148),(37 472.12827),(38 468.1853),(39 470.2102),(40 467.18118),(41 471.64838),(42 465.97662),(43 470.19778),(44 466.43472),(45 466.5477),(46 468.61267),(47 472.48737),(48 472.81854),(49 473.61356),(50 478.20508),(51 479.62585),(52 475.2887),(53 481.2187),(54 481.296),(55 486.37125),(56 483.5609),(57 480.40253),(58 482.54874),(59 479.955),(60 478.54907),(61 484.41592),(62 490.62234),(63 497.5434),(64 495.4642),(65 500.45654),(66 499.28757),(67 497.2613),(68 499.77045),(69 502.34378),(70 499.5769),(71 506.668),(72 499.2434),(73 502.32092),(74 503.42664),(75 502.48083),(76 505.8902),(77 505.6362),(78 500.15),(79 497.3667),
(1 200.60933),(2 260.22037),(3 298.71436),(4 321.85434),(5 345.47562),(6 359.44302),(7 373.17712),(8 380.97028),(9 392.11624),(10 387.73083),(11 403.75845),(12 408.34607),(13 413.67258),(14 421.585),(15 423.1041),(16 429.52332),(17 431.33548),(18 436.97003),(19 435.6273),(20 433.3901),(21 433.89468),(22 429.3274),(23 432.261),(24 424.94882),(25 427.2484),(26 428.669),(27 428.5421),(28 424.63724),(29 426.47827),(30 430.72443),(31 434.0761),(32 435.40778),(33 435.4231),(34 439.68326),(35 441.14783),(36 442.65808),(37 441.33243),(38 440.0023),(39 438.64145),(40 441.61746),(41 442.84888),(42 442.02588),(43 446.3029),(44 446.3134),(45 448.114),(46 451.64865),(47 451.4757),(48 452.24722),(49 454.6861),(50 457.61816),(51 459.2548),(52 459.31265),(53 455.52835),(54 454.94122),(55 459.91132),(56 456.9311),(57 458.13364),(58 457.00803),(59 456.94473),(60 455.932),(61 460.2382),(62 467.55292),(63 471.22232),(64 477.3802),(65 482.4574),(66 476.70538),(67 483.36337),(68 481.02582),(69 488.3088),(70 486.89532),(71 488.80533),(72 491.50775),(73 501.14056),(74 502.1025),(75 507.3402),(76 509.1774),(77 507.42902),(78 501.418),(79 498.69647),
(1 200.68063),(2 263.90015),(3 308.06958),(4 338.4816),(5 356.3953),(6 371.1738),(7 383.80063),(8 390.9548),(9 396.43445),(10 397.42838),(11 408.49408),(12 417.90863),(13 421.37064),(14 431.86194),(15 435.22498),(16 439.02646),(17 440.8637),(18 444.3799),(19 448.39212),(20 441.71588),(21 447.13852),(22 443.99756),(23 444.88046),(24 436.2313),(25 439.80603),(26 444.806),(27 447.98755),(28 449.77417),(29 446.6262),(30 447.0735),(31 456.53314),(32 454.14246),(33 450.89645),(34 451.20776),(35 451.71222),(36 457.8207),(37 456.18887),(38 460.34576),(39 458.0394),(40 454.79083),(41 457.1309),(42 452.3895),(43 453.12442),(44 456.7492),(45 455.26065),(46 455.7931),(47 460.70187),(48 469.38892),(49 472.30106),(50 478.7227),(51 482.07574),(52 479.04498),(53 482.45834),(54 478.92578),(55 481.69983),(56 484.12665),(57 486.02075),(58 482.30612),(59 479.87122),(60 478.60117),(61 477.88452),(62 482.88675),(63 488.2452),(64 488.17084),(65 490.9555),(66 483.56702),(67 483.8634),(68 480.64777),(69 486.97653),(70 483.71503),(71 482.30685),(72 480.1396),(73 482.44186),(74 484.76477),(75 487.80658),(76 486.4772),(77 490.29013),(78 480.38602),(79 481.47333),
(1 195.23189),(2 255.82759),(3 294.60144),(4 319.58655),(5 337.93222),(6 353.0398),(7 362.38522),(8 368.29803),(9 380.28082),(10 378.3971),(11 386.23605),(12 390.44925),(13 393.0971),(14 403.2908),(15 405.34723),(16 413.47824),(17 416.79642),(18 416.95584),(19 420.28363),(20 418.27036),(21 423.5657),(22 416.3444),(23 415.4703),(24 411.8253),(25 416.95795),(26 419.45755),(27 420.53662),(28 419.83862),(29 420.2446),(30 421.31366),(31 423.3735),(32 420.01828),(33 418.45468),(34 419.88358),(35 414.4512),(36 417.55716),(37 412.9876),(38 416.9191),(39 420.59665),(40 418.63293),(41 418.7498),(42 414.31726),(43 417.63138),(44 421.09543),(45 422.86792),(46 422.14148),(47 424.86017),(48 424.63635),(49 425.25125),(50 434.0304),(51 438.92212),(52 434.63898),(53 438.99292),(54 442.2053),(55 442.73483),(56 439.8945),(57 440.42255),(58 437.63156),(59 439.00366),(60 440.7064),(61 442.08566),(62 445.7165),(63 451.617),(64 446.86243),(65 454.11832),(66 455.36304),(67 455.4934),(68 452.3583),(69 463.2012),(70 466.3995),(71 467.13977),(72 466.87296),(73 465.72708),(74 469.3471),(75 472.1054),(76 474.8865),(77 473.96124),(78 473.6164),(79 469.70587),
(1 194.7636),(2 260.782),(3 299.3208),(4 325.03683),(5 349.92706),(6 360.88745),(7 373.55215),(8 383.3953),(9 387.00275),(10 390.8144),(11 399.01056),(12 407.2193),(13 414.1383),(14 425.0838),(15 425.21506),(16 432.13507),(17 436.87177),(18 441.30032),(19 442.5901),(20 433.76578),(21 439.51163),(22 430.07016),(23 432.63965),(24 429.7022),(25 429.6764),(26 436.63037),(27 439.04025),(28 438.3174),(29 438.3659),(30 439.8563),(31 443.56934),(32 446.11423),(33 446.71494),(34 443.6468),(35 444.9681),(36 446.64728),(37 445.59207),(38 445.96487),(39 442.5478),(40 441.25323),(41 439.2729),(42 438.9056),(43 439.7487),(44 440.79987),(45 444.745),(46 440.97528),(47 444.52316),(48 444.8824),(49 444.46286),(50 450.06323),(51 450.86902),(52 448.64398),(53 446.95175),(54 447.7971),(55 447.79486),(56 449.30722),(57 455.87546),(58 454.18826),(59 450.54752),(60 448.61288),(61 448.6848),(62 446.2697),(63 454.48444),(64 462.70367),(65 467.76788),(66 469.7188),(67 471.8977),(68 469.73602),(69 474.88065),(70 478.11993),(71 475.35458),(72 481.6487),(73 479.09564),(74 477.20447),(75 479.14136),(76 472.36557),(77 476.85178),(78 474.78238),(79 469.02075),
(1 192.97676),(2 256.355),(3 296.68018),(4 324.94907),(5 346.27496),(6 357.31473),(7 370.1685),(8 374.38617),(9 378.1836),(10 377.2604),(11 385.51254),(12 391.3687),(13 391.39938),(14 402.3556),(15 405.52707),(16 413.9597),(17 412.48846),(18 412.57132),(19 416.77774),(20 411.1704),(21 417.16403),(22 417.51315),(23 427.08875),(24 422.13354),(25 424.27194),(26 425.87967),(27 429.0303),(28 429.2692),(29 434.4577),(30 432.19943),(31 432.438),(32 431.27182),(33 438.8112),(34 441.92783),(35 437.21225),(36 434.69656),(37 430.7188),(38 436.46512),(39 433.2859),(40 436.07108),(41 434.28482),(42 429.87558),(43 423.40857),(44 424.16522),(45 422.3311),(46 421.5408),(47 423.67126),(48 423.1633),(49 425.25006),(50 428.90656),(51 430.89954),(52 425.86713),(53 429.81247),(54 433.4124),(55 445.39368),(56 443.2369),(57 453.2218),(58 451.65646),(59 450.32233),(60 452.40887),(61 445.05057),(62 442.87897),(63 440.9528),(64 442.49167),(65 440.8856),(66 441.26483),(67 440.1096),(68 441.8339),(69 445.79633),(70 438.66547),(71 440.4887),(72 443.85532),(73 443.87048),(74 440.09225),(75 443.0945),(76 442.32495),(77 441.7569),(78 441.58075),(79 438.39325),
(1 195.43396),(2 255.34903),(3 298.66223),(4 325.20206),(5 351.7848),(6 360.06732),(7 372.53134),(8 375.80426),(9 375.9231),(10 379.8938),(11 392.08112),(12 393.40854),(13 398.50732),(14 402.93878),(15 405.29074),(16 416.65958),(17 415.5888),(18 414.34637),(19 418.05978),(20 413.46982),(21 411.64545),(22 412.01865),(23 417.174),(24 419.15112),(25 418.97617),(26 418.8032),(27 421.90762),(28 422.9066),(29 421.98157),(30 424.862),(31 425.61682),(32 420.11584),(33 424.44067),(34 429.7765),(35 434.7197),(36 436.95853),(37 438.70593),(38 436.75995),(39 437.54236),(40 439.18573),(41 439.03848),(42 438.9057),(43 437.61737),(44 439.32452),(45 439.3033),(46 441.46335),(47 441.05035),(48 439.07333),(49 434.30276),(50 434.1141),(51 430.1983),(52 429.81552),(53 434.7005),(54 432.8864),(55 436.7369),(56 442.5444),(57 447.42343),(58 444.18225),(59 442.08215),(60 446.9742),(61 442.87668),(62 447.5847),(63 447.65912),(64 453.75717),(65 452.01608),(66 455.5874),(67 454.8957),(68 458.5076),(69 463.19998),(70 464.0118),(71 462.8492),(72 462.9558),(73 465.72794),(74 463.91605),(75 469.64874),(76 468.0893),(77 470.57315),(78 467.78592),(79 466.03082),
(1 194.05052),(2 259.56232),(3 302.68204),(4 333.12543),(5 356.42944),(6 374.93362),(7 389.04855),(8 394.25162),(9 399.7605),(10 408.6778),(11 417.80078),(12 418.52222),(13 421.72028),(14 429.04553),(15 432.72043),(16 440.6237),(17 441.01123),(18 438.83142),(19 438.60855),(20 434.507),(21 433.73087),(22 433.58832),(23 435.46283),(24 437.74863),(25 437.08545),(26 443.47916),(27 447.28036),(28 446.06348),(29 446.56158),(30 447.34146),(31 451.51508),(32 445.16666),(33 451.2518),(34 447.79382),(35 453.44516),(36 450.28793),(37 448.9893),(38 445.72122),(39 446.97296),(40 448.92435),(41 446.50665),(42 447.69003),(43 450.4363),(44 452.5481),(45 456.34055),(46 460.4126),(47 467.4693),(48 465.852),(49 465.53842),(50 464.94485),(51 473.3318),(52 479.10162),(53 485.1309),(54 491.38828),(55 493.8285),(56 493.4049),(57 493.77744),(58 490.92194),(59 489.25006),(60 483.91815),(61 482.94516),(62 483.962),(63 483.88858),(64 486.01398),(65 489.36557),(66 490.19748),(67 491.02994),(68 490.74963),(69 490.97647),(70 492.59116),(71 498.70114),(72 501.59424),(73 492.9413),(74 494.5959),(75 493.15216),(76 489.805),(77 487.1602),(78 482.6492),(79 475.90897),
(1 187.84639),(2 249.0668),(3 290.0608),(4 323.61743),(5 344.8515),(6 359.00262),(7 365.6237),(8 369.40494),(9 375.36322),(10 378.37625),(11 384.91888),(12 391.44186),(13 393.8143),(14 399.38925),(15 404.71622),(16 406.11942),(17 409.76035),(18 406.1068),(19 405.90082),(20 402.13867),(21 405.79706),(22 408.15732),(23 408.6571),(24 415.74484),(25 418.49725),(26 426.515),(27 433.3816),(28 438.47916),(29 440.08926),(30 441.75824),(31 438.31924),(32 436.63907),(33 439.11575),(34 439.41782),(35 441.10605),(36 442.8481),(37 438.4961),(38 444.36407),(39 446.45337),(40 448.91675),(41 448.93478),(42 447.99615),(43 449.6575),(44 445.86353),(45 450.4888),(46 451.6996),(47 452.33475),(48 449.9134),(49 448.00064),(50 449.78543),(51 452.52988),(52 455.32397),(53 455.91513),(54 455.16632),(55 458.51697),(56 457.70178),(57 461.2977),(58 462.32288),(59 458.1026),(60 453.69672),(61 453.93753),(62 455.05612),(63 453.5095),(64 453.7163),(65 456.38303),(66 458.33804),(67 457.4254),(68 456.46512),(69 458.0628),(70 457.59232),(71 458.50415),(72 458.88522),(73 458.27542),(74 455.2398),(75 453.0216),(76 447.0416),(77 447.3328),(78 443.2536),(79 445.4119),
(1 187.61778),(2 254.5919),(3 297.56146),(4 333.7215),(5 358.6071),(6 370.21744),(7 374.5361),(8 372.8605),(9 377.4457),(10 381.72415),(11 393.67984),(12 400.7941),(13 405.18304),(14 410.11536),(15 414.42508),(16 416.206),(17 415.33865),(18 406.25232),(19 404.96948),(20 403.98813),(21 409.66006),(22 411.01566),(23 409.37625),(24 415.14197),(25 411.6854),(26 413.90674),(27 412.6292),(28 415.35117),(29 420.67526),(30 420.07947),(31 424.3676),(32 417.39996),(33 420.8809),(34 419.38568),(35 417.2998),(36 414.42957),(37 411.83453),(38 412.11133),(39 411.572),(40 411.39896),(41 413.16022),(42 410.41425),(43 414.52197),(44 413.1018),(45 421.40494),(46 421.93018),(47 426.57675),(48 422.9776),(49 420.98987),(50 430.43747),(51 437.06516),(52 446.41693),(53 449.1826),(54 454.71793),(55 454.3718),(56 455.44922),(57 458.87808),(58 453.49796),(59 452.11948),(60 452.7924),(61 451.46964),(62 455.4339),(63 454.77936),(64 454.1224),(65 453.08957),(66 447.3988),(67 450.9927),(68 450.11273),(69 448.56668),(70 453.77475),(71 454.7262),(72 458.79),(73 460.28705),(74 460.36432),(75 461.32785),(76 453.53326),(77 455.81223),(78 454.7304),(79 452.75195),
(1 185.80096),(2 251.34459),(3 292.8412),(4 325.67505),(5 349.4288),(6 360.14783),(7 370.22415),(8 374.39548),(9 376.67453),(10 388.6948),(11 404.39587),(12 409.55252),(13 413.00253),(14 420.18805),(15 418.449),(16 417.40506),(17 414.88522),(18 409.8875),(19 414.6831),(20 413.03128),(21 418.09268),(22 417.87164),(23 423.36096),(24 423.69122),(25 417.91028),(26 416.36002),(27 417.0638),(28 418.86884),(29 423.2928),(30 428.4236),(31 437.44492),(32 435.68393),(33 437.86356),(34 434.6963),(35 428.52298),(36 429.10077),(37 426.13275),(38 435.29095),(39 437.0478),(40 438.71353),(41 441.74786),(42 439.23685),(43 441.71555),(44 441.49417),(45 442.502),(46 441.8874),(47 440.181),(48 439.31564),(49 438.36652),(50 441.96942),(51 445.5853),(52 443.02332),(53 444.11856),(54 447.0825),(55 447.56946),(56 442.5264),(57 446.3878),(58 453.29663),(59 455.0452),(60 454.47314),(61 459.83652),(62 459.97943),(63 456.5399),(64 450.5671),(65 447.5722),(66 446.51852),(67 447.2241),(68 449.32623),(69 453.22168),(70 455.1228),(71 452.53198),(72 455.2809),(73 452.43442),(74 450.23193),(75 449.0101),(76 448.1595),(77 448.4291),(78 452.58258),(79 450.78058),
(1 181.80359),(2 245.89745),(3 289.33432),(4 321.80817),(5 341.6349),(6 348.51416),(7 363.9054),(8 366.96713),(9 373.56363),(10 376.57068),(11 386.62628),(12 390.9054),(13 399.00775),(14 399.1468),(15 401.98813),(16 405.87314),(17 405.1824),(18 404.64008),(19 408.13815),(20 409.69855),(21 410.6318),(22 409.5299),(23 404.19983),(24 404.56525),(25 408.77344),(26 407.7117),(27 410.88162),(28 408.81854),(29 414.85782),(30 418.6032),(31 428.3171),(32 421.97552),(33 424.55435),(34 421.1368),(35 420.12253),(36 415.9964),(37 418.9742),(38 421.11),(39 426.79114),(40 432.11322),(41 429.3085),(42 426.54807),(43 430.11627),(44 426.11255),(45 427.5175),(46 424.9472),(47 423.0956),(48 423.49603),(49 425.83548),(50 425.6317),(51 429.26),(52 428.14917),(53 429.8374),(54 426.9818),(55 429.20795),(56 425.89957),(57 428.92615),(58 430.82184),(59 430.95572),(60 427.14996),(61 428.7046),(62 430.3311),(63 429.05496),(64 427.66855),(65 427.6554),(66 427.2011),(67 431.24664),(68 428.6134),(69 430.46362),(70 426.195),(71 428.71313),(72 428.36554),(73 429.6009),(74 426.76453),(75 431.45834),(76 434.89502),(77 437.23822),(78 436.29858),(79 440.73883),
(1 184.67958),(2 246.89764),(3 290.32825),(4 322.11835),(5 343.82462),(6 353.27573),(7 368.64752),(8 374.91943),(9 384.54562),(10 390.76413),(11 403.26797),(12 409.08368),(13 413.5183),(14 414.4488),(15 411.9053),(16 408.93658),(17 415.78726),(18 411.8523),(19 416.0557),(20 411.6794),(21 415.58743),(22 416.7151),(23 420.47037),(24 415.09076),(25 411.49893),(26 409.02045),(27 414.941),(28 421.06995),(29 422.48633),(30 420.31003),(31 425.85516),(32 422.5249),(33 424.858),(34 418.7777),(35 417.87128),(36 414.5031),(37 410.6004),(38 416.3374),(39 414.06314),(40 414.05136),(41 411.64072),(42 409.52536),(43 410.95712),(44 408.382),(45 410.25476),(46 413.5497),(47 412.7863),(48 414.24442),(49 415.3928),(50 424.2064),(51 429.7826),(52 430.53522),(53 434.10544),(54 430.45792),(55 433.54056),(56 427.53952),(57 429.4952),(58 429.40775),(59 429.59085),(60 428.7302),(61 427.24457),(62 429.82675),(63 424.02457),(64 424.80322),(65 421.4612),(66 424.7177),(67 422.37344),(68 420.51913),(69 418.39914),(70 421.07828),(71 426.11218),(72 423.99576),(73 426.579),(74 422.90695),(75 428.95947),(76 437.12567),(77 440.5586),(78 439.9127),(79 445.99683),
(1 177.1),(2 240.46545),(3 287.32288),(4 322.63657),(5 351.42807),(6 362.45108),(7 376.898),(8 386.57697),(9 391.1395),(10 392.3711),(11 403.63293),(12 406.64883),(13 406.81754),(14 401.97305),(15 399.00912),(16 393.38385),(17 397.96124),(18 396.741),(19 395.18503),(20 393.3825),(21 395.15402),(22 389.984),(23 387.84933),(24 390.56818),(25 392.43692),(26 392.62958),(27 399.3859),(28 403.2992),(29 408.9373),(30 407.94223),(31 410.62897),(32 407.34476),(33 410.24823),(34 406.47137),(35 409.9536),(36 412.66232),(37 406.975),(38 413.37918),(39 417.2546),(40 422.04715),(41 424.30368),(42 423.18875),(43 427.4152),(44 423.91968),(45 424.40503),(46 424.67633),(47 424.46948),(48 423.65097),(49 420.9043),(50 420.10284),(51 421.6467),(52 421.18332),(53 420.0071),(54 419.9417),(55 422.024),(56 424.7114),(57 425.10498),(58 426.0995),(59 431.1884),(60 429.17),(61 432.0535),(62 431.5805),(63 427.96295),(64 422.5911),(65 421.2091),(66 420.76395),(67 423.51852),(68 424.7847),(69 424.7709),(70 426.0381),(71 425.94012),(72 420.53085),(73 419.82584),(74 420.15155),(75 425.68872),(76 429.10425),(77 425.78467),(78 420.31973),(79 418.55038),
(1 178.86023),(2 244.59103),(3 291.6455),(4 328.9959),(5 350.3833),(6 360.67792),(7 368.25357),(8 372.60184),(9 378.7809),(10 389.8794),(11 399.47983),(12 401.83893),(13 402.37262),(14 399.84695),(15 401.74078),(16 402.66113),(17 400.21805),(18 397.26123),(19 393.976),(20 397.32928),(21 404.99316),(22 402.5262),(23 396.8814),(24 395.9303),(25 395.4288),(26 397.8817),(27 405.46222),(28 415.7403),(29 424.5006),(30 429.89935),(31 432.79047),(32 427.45877),(33 428.74872),(34 425.77615),(35 426.39328),(36 426.37085),(37 424.27902),(38 423.962),(39 424.4567),(40 424.29056),(41 423.6462),(42 421.02643),(43 421.0584),(44 417.2545),(45 418.3681),(46 416.74573),(47 422.53104),(48 421.52032),(49 424.09723),(50 422.50842),(51 425.96698),(52 422.18192),(53 414.62338),(54 417.73627),(55 415.20618),(56 414.21814),(57 420.98593),(58 419.05347),(59 418.05753),(60 416.93918),(61 422.74716),(62 427.90524),(63 429.2731),(64 426.9887),(65 426.90823),(66 427.80878),(67 423.91855),(68 419.208),(69 418.35873),(70 416.1087),(71 416.32254),(72 416.47107),(73 425.8539),(74 428.2671),(75 428.55588),(76 429.2224),(77 430.33017),(78 429.0191),(79 427.98538),
