1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11036.266),(2 36136.652),(3 77316.72),(4 127593.76),(5 192680.8),(6 266789.5),(7 349307),(8 430155.63),(9 515065.6),(10 589056),(11 655283.9),(12 710235.3),(13 763706.25),(14 808962.56),(15 853818.06),(16 895451.56),(17 938403.25),(18 984072.2),(19 1042561.7),(20 1108854),(21 1189857.3),(22 1268866.5),(23 1358259.8),(24 1433454),(25 1516410),(26 1589751.1),(27 1666491.5),(28 1737150.1),(29 1813571.5),(30 1884820.6),(31 1967668.1),(32 2056104.9),(33 2155283.8),(34 2243609.3),(35 2342917.3),(36 2422283.5),(37 2505541.3),(38 2566771.5),(39 2631656.3),(40 2682776.8),(41 2735065.3),(42 2777416.3),(43 2835858.3),(44 2882200.3),(45 2950844),(46 3028523.3),(47 3132148),(48 3246466),(49 3353998.8),(50 3438397),(51 3549063.3),(52 3649086.8),(53 3749476),(54 3832175.3),(55 3938483.3),(56 4034913.3),(57 4151791.3),(58 4271864.5),(59 4429579),(60 4565272.5),(61 4716944.5),(62 4849614),(63 5007711),(64 5158895),(65 5315942.5),(66 5445516),(67 5584268),(68 5706507.5),(69 5842112),(70 5981513.5),(71 6165212.5),(72 6356221.5),(73 6571168),(74 6770270.5),(75 6951952.5),(76 7122384),(77 7314500),(78 7488188),(79 7684722.5),
(1 9170.427),(2 28628.898),(3 50129.895),(4 69305.516),(5 84047.81),(6 94205.8),(7 99278.53),(8 101903.2),(9 104469.21),(10 107985.46),(11 111900.88),(12 115881.19),(13 119614.62),(14 121510.57),(15 122596.234),(16 122393.62),(17 122249.16),(18 122512.25),(19 122935.87),(20 122821.54),(21 123186.81),(22 124144.31),(23 125071.89),(24 125492.31),(25 125971.32),(26 125648.86),(27 124694.25),(28 123955.87),(29 123557.57),(30 122725.73),(31 122743.86),(32 123181.516),(33 123869.18),(34 125236.16),(35 126642.14),(36 127808.766),(37 128895.62),(38 128995.19),(39 127705.25),(40 126203.3),(41 124812.77),(42 123925.68),(43 123198.57),(44 122868.31),(45 123001.95),(46 124202.164),(47 124879.06),(48 124676.05),(49 123247.664),(50 121628.23),(51 121614.93),(52 121946.02),(53 123267.12),(54 124982.54),(55 126285.734),(56 126303.16),(57 125065.54),(58 123853),(59 123548.88),(60 124216.766),(61 126208.61),(62 128709.27),(63 130807.234),(64 132047.11),(65 132821.81),(66 133066.92),(67 132816.69),(68 132795.73),(69 133260.9),(70 133701.97),(71 134082.97),(72 133983.33),(73 133644.63),(74 133318.1),(75 132796.77),(76 131102.48),(77 129253.43),(78 127810.98),(79 126807.23),
(1 8144.337),(2 25735.525),(3 45538.74),(4 62962.848),(5 75856.555),(6 84312.19),(7 89647.8),(8 93437.22),(9 96397.43),(10 98984.27),(11 102657.75),(12 106737.125),(13 109673.14),(14 110667.21),(15 112108.586),(16 114663.8),(17 117743.52),(18 121373.58),(19 125406.55),(20 126824.69),(21 125654.66),(22 124002.695),(23 123447.43),(24 123804.76),(25 125262.04),(26 126919.01),(27 128419.17),(28 127985.22),(29 126145.125),(30 123986.86),(31 122890.695),(32 123542),(33 125960.8),(34 129159.7),(35 132412.86),(36 135078.95),(37 136199.75),(38 136191.77),(39 136334.72),(40 136483.36),(41 136581.47),(42 136438.42),(43 135463.7),(44 133786.56),(45 131778.44),(46 129591.305),(47 127536.445),(48 127490.75),(49 128462.38),(50 128687.6),(51 129904.55),(52 130955.02),(53 130700.06),(54 128692.61),(55 126317.96),(56 123924.51),(57 123167.695),(58 123979.85),(59 125001.84),(60 124808.06),(61 124304.27),(62 124219.93),(63 124475.414),(64 124910.61),(65 125453.34),(66 125105.19),(67 124232.63),(68 124562.31),(69 124562.66),(70 124996.01),(71 125971.64),(72 127234.62),(73 127792.586),(74 127205.875),(75 126265.33),(76 125051.38),(77 123795.82),(78 122073.66),(79 120888.36),
(1 8328.432),(2 25962.203),(3 45133.418),(4 61950.098),(5 74093.945),(6 81181.555),(7 84720.87),(8 86865.74),(9 88949.4),(10 91613.95),(11 95791.59),(12 100864.47),(13 104608.68),(14 106333.734),(15 107813.945),(16 108785.12),(17 109580.63),(18 111395.77),(19 113859.195),(20 116052.05),(21 118936.19),(22 122501.78),(23 125434.164),(24 127690.24),(25 127955.53),(26 126892.336),(27 124902.414),(28 121559.71),(29 118792.58),(30 116548.38),(31 115979.336),(32 116020.42),(33 115335.1),(34 115849.055),(35 117210.555),(36 117943.54),(37 117769.49),(38 116571.61),(39 115058.19),(40 114922.555),(41 116780.336),(42 118981.4),(43 120729.22),(44 122370.29),(45 123939.66),(46 125011.81),(47 125439.58),(48 126174.445),(49 127159.78),(50 128249.734),(51 130741.81),(52 131760.05),(53 131593.03),(54 130869.266),(55 129244.664),(56 127600.805),(57 126616.445),(58 126716.484),(59 126717.75),(60 127736.36),(61 129181.97),(62 129924.39),(63 130723.445),(64 131498.16),(65 131383.55),(66 130007.95),(67 128553.71),(68 128634.53),(69 130249.9),(70 132353.44),(71 133981.31),(72 134785.44),(73 135511.78),(74 135068.33),(75 133971),(76 132173.3),(77 131020.54),(78 130947.49),(79 131535.05),
(1 8757.509),(2 27178.195),(3 47245.453),(4 64343.215),(5 75733.59),(6 83308.836),(7 88580.96),(8 93143.98),(9 97807.57),(10 102650.43),(11 106820.266),(12 110437.734),(13 112023.055),(14 111828.72),(15 112149.54),(16 112714.695),(17 114535.65),(18 116242.18),(19 116535.375),(20 117027.695),(21 118226.65),(22 120065.92),(23 121933.94),(24 123952.266),(25 124889.99),(26 123920.06),(27 121929.375),(28 119770.805),(29 117783),(30 115375.97),(31 114940.88),(32 116137.4),(33 116960.09),(34 119065.234),(35 121043.32),(36 121795.055),(37 122172.15),(38 122551.516),(39 124013.28),(40 125881.58),(41 127319.6),(42 127500.49),(43 125922.29),(44 123019.68),(45 120534.91),(46 117767),(47 116002.516),(48 116482.13),(49 117923.06),(50 118810.516),(51 119737.94),(52 119821.61),(53 119141.14),(54 119048.25),(55 118973),(56 119410.41),(57 121196.74),(58 123522.13),(59 125407.484),(60 127114.945),(61 128130.37),(62 128704.734),(63 129024.05),(64 129131.94),(65 129618.914),(66 129273.17),(67 128196.92),(68 126877.98),(69 126127.28),(70 125917.195),(71 127195.25),(72 128127.87),(73 128557.44),(74 128671.02),(75 128491.39),(76 127913.54),(77 127616.77),(78 126845.336),(79 125323.12),
(1 8700.7705),(2 27058.5),(3 47079.61),(4 63740.31),(5 74676.19),(6 81654.1),(7 86461.28),(8 90216.35),(9 93757.37),(10 96919.164),(11 99599.15),(12 101816.195),(13 103127),(14 104280.48),(15 106878.33),(16 108573.95),(17 110829.555),(18 113189.23),(19 113013.06),(20 112950.414),(21 113417.75),(22 114437.945),(23 115844.13),(24 116802.94),(25 117073.28),(26 115965.47),(27 113475.74),(28 110726.85),(29 108468.99),(30 107204.08),(31 108627.98),(32 111351.92),(33 114806.055),(34 117693.11),(35 118096.15),(36 116470.805),(37 115068.8),(38 114319.36),(39 114655.65),(40 115699.14),(41 116838.48),(42 116910.92),(43 116427.086),(44 115222.14),(45 113570.02),(46 111863.78),(47 111260.06),(48 112334.22),(49 114551.97),(50 116076.06),(51 116777.81),(52 116874.37),(53 116395.87),(54 115597.65),(55 115632.53),(56 115417.78),(57 115142.87),(58 114477.48),(59 113391.5),(60 113407.305),(61 113742.15),(62 114505.22),(63 115567.27),(64 116071.44),(65 116112.55),(66 115583.55),(67 115177.414),(68 116268.11),(69 118851.85),(70 121326.24),(71 123252.95),(72 123808.13),(73 122099.19),(74 119242.92),(75 116482.01),(76 113590.5),(77 112458.305),(78 111915.11),(79 111703.586),
(1 8569.229),(2 26526.13),(3 45716.45),(4 60898.5),(5 70402.67),(6 75477.72),(7 78288.9),(8 80627.55),(9 82841.266),(10 85658.15),(11 88277.2),(12 90565.484),(13 91552.72),(14 92484.58),(15 94647.99),(16 96780.24),(17 99162.67),(18 100957.07),(19 101932.31),(20 104611.17),(21 108231.34),(22 112065.266),(23 115267.06),(24 116428.61),(25 116412.57),(26 114616.8),(27 112081.54),(28 110869.305),(29 110574.82),(30 111189.34),(31 113659.28),(32 116668.695),(33 119040.99),(34 120242.04),(35 119572.27),(36 117409.98),(37 115475.76),(38 114728),(39 115181.09),(40 115970.4),(41 116688.82),(42 116640.3),(43 115581.6),(44 113859.766),(45 112814.336),(46 112338.52),(47 112699.07),(48 114174.55),(49 116417.45),(50 118200.695),(51 119569.42),(52 120192.445),(53 120298.03),(54 120011.03),(55 119913.15),(56 119734.51),(57 119932.02),(58 120508.25),(59 121904.25),(60 123122.22),(61 123738.81),(62 123864.79),(63 124009.875),(64 123944.21),(65 124288.586),(66 124966.52),(67 125628.66),(68 126542.1),(69 126261.914),(70 125945.336),(71 125641.2),(72 125253.14),(73 124245.7),(74 122157.69),(75 120187),(76 118441.38),(77 118041.875),(78 118152.99),(79 118194.09),
(1 8108.8296),(2 25289.5),(3 44244.55),(4 60548.04),(5 72542.234),(6 80126.7),(7 83770.18),(8 86420.586),(9 89263.92),(10 91497.21),(11 93029.14),(12 94157.33),(13 94909.38),(14 96669.6),(15 99261.51),(16 101270.555),(17 102714.625),(18 103270.99),(19 103216.02),(20 104279.34),(21 106374.21),(22 108839.02),(23 111371.03),(24 111986.664),(25 111297.56),(26 108345.01),(27 104980.375),(28 102013.3),(29 99962.77),(30 98578.195),(31 97950.06),(32 97538.49),(33 96968.4),(34 96054.234),(35 95222.98),(36 94879.53),(37 95324),(38 97008.07),(39 99520.59),(40 101631.29),(41 102815.586),(42 102606.04),(43 102296.22),(44 102023.14),(45 101867.805),(46 102227.484),(47 103066.22),(48 103905.67),(49 104860.98),(50 104568.29),(51 103319.56),(52 102346.125),(53 101451.195),(54 100706),(55 100698.44),(56 100484.25),(57 99738.77),(58 99554.75),(59 100435.99),(60 101751.22),(61 102580.05),(62 103060.06),(63 103983.9),(64 103769.98),(65 103952.82),(66 104672.95),(67 105267.21),(68 106269.83),(69 106709.734),(70 106821.21),(71 106596.97),(72 106035.41),(73 105381.64),(74 105032.74),(75 104680.15),(76 104349.6),(77 103909.305),(78 103165.48),(79 101657.586),
(1 7873.2666),(2 24130.89),(3 41503.28),(4 55521.496),(5 64992.42),(6 70424.19),(7 73315.18),(8 76176.836),(9 79304.46),(10 82315.58),(11 83763.36),(12 84079.9),(13 84081.21),(14 84414.04),(15 85824.03),(16 87257.09),(17 89279.54),(18 90923.89),(19 90933.43),(20 91266.71),(21 92228.81),(22 94114.8),(23 96980.21),(24 98095.19),(25 97849.79),(26 96091.24),(27 92392.58),(28 89470.164),(29 88682.2),(30 89224.9),(31 91254.86),(32 93524.125),(33 95283.445),(34 96657.19),(35 97124.52),(36 97692.1),(37 98515.37),(38 100498.695),(39 103296.125),(40 105120.02),(41 105974.33),(42 105302.31),(43 104002.36),(44 103094.23),(45 103344.695),(46 104556.695),(47 105848.52),(48 107105.67),(49 107638.36),(50 107105.58),(51 106429.5),(52 106074.734),(53 106309.93),(54 106820.734),(55 106859.98),(56 106608.305),(57 106336.92),(58 106064.57),(59 106759.375),(60 107868.96),(61 109392.375),(62 110586.2),(63 111543.19),(64 111869.94),(65 112328.266),(66 112531.07),(67 112296.66),(68 112431.13),(69 112584.164),(70 112507.94),(71 111954.26),(72 110938.305),(73 110021.83),(74 109256.09),(75 109013.37),(76 108849.92),(77 108445.59),(78 107762.1),(79 106753.24),
(1 8479.288),(2 26268.531),(3 45014.77),(4 59078.54),(5 67825.83),(6 72070.5),(7 74187.164),(8 76021.97),(9 78694.23),(10 81758.71),(11 84241.695),(12 86203.86),(13 87785.48),(14 89115.73),(15 91454.95),(16 93003.37),(17 93723.51),(18 94577.92),(19 95103.336),(20 95618.1),(21 96673.8),(22 97713.35),(23 98843.02),(24 99114.01),(25 98159.11),(26 96700.71),(27 95159.266),(28 94556.266),(29 95099.86),(30 95768.51),(31 96569.45),(32 96605.37),(33 95775.41),(34 93875.59),(35 91471.89),(36 89980.266),(37 90439.62),(38 92147.87),(39 94102.68),(40 94666.42),(41 93512.78),(42 91461.03),(43 90468.805),(44 90349.195),(45 90739.24),(46 91878.875),(47 93128.37),(48 93647.01),(49 93222.22),(50 91996.664),(51 90720.75),(52 90237.79),(53 91097.06),(54 92779.34),(55 94375.75),(56 95436.08),(57 95484.18),(58 94623.95),(59 94340.08),(60 94358.38),(61 94374.42),(62 94333.375),(63 94478.04),(64 94092.61),(65 93978),(66 94419.27),(67 95071.37),(68 96335.15),(69 97982.25),(70 98848.52),(71 99869.18),(72 100854.73),(73 101126.83),(74 100909.31),(75 101126.91),(76 101431.734),(77 101832.39),(78 101897.85),(79 101322.55),
(1 8240.149),(2 25345.406),(3 43399.316),(4 57090.355),(5 65511.51),(6 69916.32),(7 72365.92),(8 74496.92),(9 77284.98),(10 79999.25),(11 81922.25),(12 82914.38),(13 83157.305),(14 83381.914),(15 84859.914),(16 86534.16),(17 87354.875),(18 87684.26),(19 88991.19),(20 90279.086),(21 91947.37),(22 93419.74),(23 94376.555),(24 93747.33),(25 91926.73),(26 89306.96),(27 87518.52),(28 86808),(29 87247.6),(30 87838.445),(31 88744.805),(32 89237.07),(33 88526.18),(34 87672.336),(35 87089.55),(36 87603.68),(37 89355.47),(38 91218.01),(39 91977.11),(40 90762.34),(41 89023.21),(42 87350.52),(43 86412.18),(44 85905.21),(45 85798.44),(46 85366.84),(47 84432.62),(48 83441.96),(49 83409.64),(50 84359.86),(51 86276.67),(52 87407.29),(53 88117.19),(54 88814.82),(55 89802.74),(56 90375.195),(57 90225.11),(58 90482.16),(59 90454.64),(60 90005.914),(61 89563.03),(62 89078.58),(63 89449.83),(64 90584.6),(65 92413.03),(66 93935.05),(67 95377.86),(68 96427.78),(69 97785.305),(70 99598.086),(71 100569.94),(72 100707.78),(73 100276.12),(74 99262.06),(75 98259.77),(76 96642.82),(77 95518.78),(78 95787.93),(79 96468.34),
(1 7797.809),(2 23834.463),(3 40480.453),(4 53302.105),(5 61488.75),(6 66260.78),(7 69000.984),(8 70832.6),(9 72723.32),(10 74750.97),(11 76989.03),(12 77746.49),(13 77813.484),(14 78179.22),(15 79577.984),(16 80090.03),(17 80065.28),(18 80221.33),(19 80875.836),(20 82143.55),(21 83926.74),(22 85625.1),(23 86557.81),(24 85850.22),(25 83962.44),(26 81682.484),(27 80666.42),(28 80547.92),(29 81570.21),(30 82565.03),(31 82859.78),(32 82797.68),(33 82164.69),(34 82005.33),(35 82245.18),(36 82644.46),(37 84055.35),(38 84867.91),(39 84327.055),(40 82564.31),(41 80584.836),(42 79210.586),(43 78854.734),(44 79180.61),(45 79900.19),(46 80903.805),(47 81426.24),(48 81415.984),(49 81632.35),(50 82449.4),(51 83775.72),(52 83957.484),(53 84374.625),(54 84729.85),(55 85668.67),(56 86851.77),(57 88088.11),(58 88639.016),(59 88904.875),(60 88599.63),(61 88846.305),(62 90017.5),(63 92005.11),(64 94629.54),(65 96527.99),(66 97307.83),(67 97015.26),(68 95852.97),(69 95144.11),(70 95094.17),(71 94851.67),(72 94367.14),(73 94360.59),(74 93545.54),(75 92294.78),(76 90660.445),(77 90069.64),(78 90209.79),(79 90649.086),
(1 7582.5723),(2 23133.89),(3 39545.797),(4 52494.125),(5 60621.668),(6 65034.332),(7 67437.77),(8 69761.234),(9 71848.69),(10 74107.32),(11 76480.28),(12 77734.97),(13 78391.18),(14 79186.195),(15 80880.12),(16 82682.97),(17 83666.64),(18 84400.38),(19 84868.734),(20 85904.62),(21 88287.47),(22 89433.16),(23 88791.875),(24 85964.88),(25 81807.23),(26 78857.73),(27 77961),(28 77870.55),(29 78426.94),(30 78537.31),(31 77808.41),(32 76865.875),(33 76802.805),(34 77541.67),(35 78576.04),(36 79703.55),(37 80928.01),(38 81441.64),(39 81479.7),(40 80152.37),(41 78340.04),(42 77105.04),(43 76950.56),(44 77258.516),(45 78048.16),(46 78560.125),(47 78519.85),(48 78378.33),(49 79191.58),(50 80341.586),(51 81341.69),(52 81913.266),(53 82003.39),(54 81527.016),(55 81723.93),(56 82046.84),(57 82186.93),(58 82205.24),(59 81897.414),(60 80813.2),(61 80140.22),(62 80786.64),(63 81694.62),(64 82648.695),(65 83290.76),(66 83084.24),(67 82313.586),(68 82189.63),(69 82548.53),(70 83268.41),(71 83599.68),(72 83015.94),(73 81912.305),(74 80922.24),(75 80494.32),(76 81434.69),(77 83174.74),(78 84855.14),(79 85583.74),
(1 7576.76),(2 23657.123),(3 40641.094),(4 53495.484),(5 61236.496),(6 66053.47),(7 69812.18),(8 72901.32),(9 75712.6),(10 78471.19),(11 80884.01),(12 82721.29),(13 83651.04),(14 85344.734),(15 87764.89),(16 88928.05),(17 89124.1),(18 88845.22),(19 88961.38),(20 89480.18),(21 89651.94),(22 88824.74),(23 86907.59),(24 84550.11),(25 82626.56),(26 81962.83),(27 82461.88),(28 82798.59),(29 83929.11),(30 84362.45),(31 83817.25),(32 82510.875),(33 81887.74),(34 82373.51),(35 83101.11),(36 83890.81),(37 84772.875),(38 84565.4),(39 83755.64),(40 82502.19),(41 82258.86),(42 82986.75),(43 84483.62),(44 85452.56),(45 86007.68),(46 85831.36),(47 85023.29),(48 84222.95),(49 84195.01),(50 84487.586),(51 84775.19),(52 84666.19),(53 84723.27),(54 84861.33),(55 85496.97),(56 86138.16),(57 86299.42),(58 86448.93),(59 86716.51),(60 87402.71),(61 88161.58),(62 88640.32),(63 89278.77),(64 88832.82),(65 88024.59),(66 87715.15),(67 87599.6),(68 87800.81),(69 88161.04),(70 87718.64),(71 86360.875),(72 84552.99),(73 83112.67),(74 82188.96),(75 81607.14),(76 81947.73),(77 82747.336),(78 83698.49),(79 84280.1),
(1 7419.547),(2 22364.25),(3 37044.2),(4 47639.375),(5 53379.69),(6 57262.43),(7 60221.918),(8 63131.613),(9 66073.41),(10 68708.38),(11 71597.16),(12 74003.72),(13 75033.2),(14 75919.54),(15 77507.39),(16 78302.75),(17 78957.62),(18 79157.74),(19 79976.9),(20 81649.62),(21 83300.625),(22 83682.06),(23 81945.46),(24 79760.984),(25 77766.125),(26 76438.125),(27 76910.266),(28 77802.2),(29 78822.32),(30 78781.74),(31 78364.26),(32 77962.48),(33 77315.305),(34 77093.33),(35 77944.2),(36 78425.21),(37 78440.055),(38 77511.26),(39 76249.79),(40 75211.67),(41 74943.12),(42 74766.016),(43 74490.56),(44 73493.44),(45 72363.41),(46 71346.58),(47 70931.64),(48 70633.72),(49 70860.25),(50 71498.75),(51 72541.07),(52 73400.16),(53 74222.76),(54 74857.65),(55 75690.055),(56 76186.9),(57 76362.82),(58 76838.336),(59 77201.68),(60 77720.58),(61 77742.79),(62 77546.73),(63 77466.11),(64 77129.26),(65 77663.88),(66 78631.56),(67 79890.055),(68 80469.37),(69 79926.65),(70 78699.266),(71 77489.414),(72 76117.7),(73 75061.6),(74 74672.86),(75 75165.78),(76 76109.67),(77 76954.016),(78 77964.28),(79 78217.195),
(1 7411.8936),(2 22517.07),(3 37346.56),(4 47568.605),(5 53161.402),(6 55827.043),(7 57702.367),(8 59850.832),(9 62149.188),(10 63627.75),(11 65092.746),(12 66634.98),(13 67419.695),(14 68412.83),(15 71014.555),(16 72486),(17 73544.48),(18 74366.914),(19 75908.86),(20 78325.97),(21 80608.77),(22 80468.41),(23 78279.016),(24 75283.53),(25 72443.414),(26 71047.836),(27 71643.3),(28 72810.625),(29 73799.97),(30 73607.16),(31 73281.555),(32 73626.23),(33 74329.81),(34 76114.7),(35 78103.58),(36 79049.38),(37 78924.164),(38 77926.734),(39 76669.17),(40 75630.38),(41 74491.336),(42 73373.35),(43 72296.95),(44 70753.28),(45 69515.805),(46 69416.12),(47 69891.23),(48 70553),(49 71615.45),(50 72335.13),(51 73167.516),(52 73675.95),(53 73636.48),(54 73131.17),(55 72710.86),(56 72298.26),(57 72181.59),(58 71603.65),(59 71219.51),(60 71639.555),(61 71805.88),(62 71973.48),(63 72419.945),(64 72314.58),(65 72143.984),(66 72127.266),(67 72124.62),(68 72024.88),(69 71457.13),(70 70334.52),(71 69050.125),(72 68409.3),(73 69157.58),(74 70938.24),(75 72568.586),(76 73488.016),(77 73655.8),(78 73319.41),(79 73413.414),
(1 7196.9517),(2 21866.785),(3 35506.3),(4 43937.832),(5 48023.65),(6 50199.16),(7 52210.363),(8 55090.457),(9 58365.79),(10 60369.13),(11 61341.484),(12 61985),(13 63034.883),(14 65056.027),(15 67662.2),(16 69725.375),(17 71262.984),(18 71674.42),(19 73181.37),(20 75622.42),(21 78359.15),(22 79845.945),(23 79613.61),(24 78388.98),(25 77584.37),(26 77562.03),(27 78310.23),(28 78228.97),(29 77435.14),(30 75209.94),(31 73538.23),(32 73509.8),(33 74273.9),(34 76008.65),(35 77546.375),(36 77845.2),(37 77299.79),(38 75547.13),(39 73980.75),(40 73512.54),(41 73607.99),(42 73808.805),(43 73394.625),(44 72295.18),(45 71733.664),(46 72036.77),(47 72186.39),(48 71914.414),(49 71855.66),(50 72056.45),(51 72612.73),(52 72689.27),(53 72829.086),(54 72553.92),(55 71936.15),(56 71076.11),(57 70231.94),(58 69538.58),(59 69222.37),(60 69555.24),(61 69671.27),(62 69166.664),(63 68777.375),(64 68171.44),(65 68452.42),(66 69242.44),(67 70145.35),(68 70986.76),(69 70974.32),(70 70001.07),(71 68612.54),(72 67649.06),(73 67896.55),(74 69140.3),(75 70766.42),(76 71857.22),(77 72413.945),(78 72563.32),(79 72341.58),
(1 6674.2305),(2 20061.371),(3 33034.207),(4 41730.008),(5 46672.32),(6 49328.832),(7 51621.21),(8 54490.344),(9 57372.152),(10 59895.375),(11 61991),(12 62744.33),(13 63116.297),(14 64019.164),(15 65495.164),(16 65928.31),(17 66280.36),(18 66249.055),(19 66966.73),(20 67914.19),(21 68397.83),(22 68196.305),(23 67299.76),(24 66195.516),(25 65094.906),(26 64857.742),(27 65487.46),(28 66032.23),(29 66194.21),(30 65551.38),(31 65539.47),(32 65756.38),(33 66426.01),(34 67631.23),(35 68109.38),(36 67531.22),(37 67083.45),(38 66440.695),(39 66105.41),(40 65780.016),(41 65784.85),(42 65948.516),(43 66280.05),(44 66388.305),(45 66090.914),(46 66224.555),(47 66664.125),(48 67082.71),(49 67789.08),(50 68030.72),(51 68325.31),(52 68113.4),(53 67067.41),(54 65936.984),(55 65427.98),(56 65329.24),(57 65507.637),(58 65781.914),(59 65799.76),(60 65479.203),(61 66119.15),(62 66990.086),(63 67468.836),(64 68078.984),(65 68437.63),(66 68653.39),(67 68914.14),(68 68656.37),(69 68254.1),(70 67887.16),(71 67739.82),(72 68136.555),(73 68550.125),(74 69135.21),(75 70030.2),(76 70754.125),(77 71786.195),(78 72358.69),(79 72303.055),
