1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 50900.31),(2 123329.23),(3 219128.83),(4 324899.63),(5 439119.88),(6 546389.44),(7 664579.4),(8 787888.7),(9 898756.7),(10 1021412.06),(11 1128045),(12 1222803.4),(13 1316224.6),(14 1405020),(15 1501184),(16 1604731),(17 1701262.4),(18 1771726.5),(19 1840429.6),(20 1903832.9),(21 1952456.9),(22 2003388),(23 2034905),(24 2053026.1),(25 2061887.9),(26 2062357.6),(27 2061285.6),(28 2055313.1),(29 2047146.9),(30 2036040.9),(31 2032744.1),(32 2034475),(33 2054295.1),(34 2093974.9),(35 2115523.8),(36 2113689.3),(37 2143377.8),(38 2148064.8),(39 2226781.5),(40 2253813.3),(41 2269708),(42 2263451.5),(43 2258065.3),(44 2248286.8),(45 2229594.3),(46 2205581),(47 2194379),(48 2196177),(49 2199119.3),(50 2203802),(51 2217469.3),(52 2233803),(53 2271288.8),(54 2307051.3),(55 2346029.8),(56 2400000.3),(57 2465438.8),(58 2517887.3),(59 2588456.3),(60 2644462),(61 2732607.8),(62 2816180.8),(63 2904876.3),(64 2997486),(65 3095411.3),(66 3191014.8),(67 3281671.3),(68 3378961.3),(69 3465760),(70 3541805.8),(71 3590064.3),(72 3619614.3),(73 3647885.3),(74 3666914.8),(75 3646847.8),(76 3653321),(77 3659090.8),(78 3640463.3),(79 3630212),
(1 3457.4873),(2 6270.1816),(3 7970.0073),(4 8942.864),(5 9763.46),(6 10422.201),(7 10736.225),(8 10975.251),(9 11230.896),(10 11591.257),(11 12012.712),(12 12331.8125),(13 12530.083),(14 12566.587),(15 12550.114),(16 12708.753),(17 13135.484),(18 13455.894),(19 13600.464),(20 13830.106),(21 14106.425),(22 14342.212),(23 14508.799),(24 14444.454),(25 14490.54),(26 14532.351),(27 14515.508),(28 14487.694),(29 14552.64),(30 14561.056),(31 14481.584),(32 14385.925),(33 14343.196),(34 14499.073),(35 14527.192),(36 14495.005),(37 14469.657),(38 14404.445),(39 14468.454),(40 14631.267),(41 14672.42),(42 14427.631),(43 14536.4795),(44 14521.055),(45 14454.277),(46 14426.455),(47 14494.779),(48 14456.088),(49 14454.664),(50 14340.693),(51 14368.338),(52 14204.564),(53 14121.793),(54 14104.275),(55 14138.271),(56 14066.776),(57 14115.822),(58 14107.252),(59 14077.993),(60 14379.353),(61 14351.769),(62 14393.886),(63 14576.271),(64 14427.77),(65 14341.429),(66 14316.84),(67 14297.595),(68 14379.4795),(69 14393.907),(70 14326.287),(71 14357.511),(72 14512.362),(73 14390.191),(74 14298.379),(75 14538.751),(76 14605.515),(77 14679.6455),(78 14705.279),(79 14810.355),
(1 3371.7402),(2 6202.2593),(3 7938.4536),(4 8959.121),(5 9803.871),(6 10469.229),(7 10848.864),(8 11134.121),(9 11369.044),(10 11623.043),(11 11949.274),(12 12401.492),(13 12598.745),(14 12640.775),(15 12735.565),(16 12905.354),(17 13095.265),(18 13123.197),(19 13255.416),(20 13422.588),(21 13546.398),(22 13678.142),(23 13884.611),(24 13806.631),(25 13770.896),(26 13593.866),(27 13639.073),(28 13510.119),(29 13459.193),(30 13565.961),(31 13830.224),(32 14099.001),(33 14065.67),(34 14024.721),(35 13955.06),(36 13838.673),(37 13660.36),(38 13494.014),(39 13777.855),(40 13905.202),(41 13887.38),(42 13935.179),(43 14132.275),(44 14198.539),(45 14150.209),(46 14167.139),(47 14108.937),(48 13970.542),(49 13908.466),(50 13885.851),(51 13867.557),(52 13752.415),(53 13731.365),(54 13639.014),(55 13791.987),(56 13802.357),(57 13847.512),(58 13971.1),(59 13803.125),(60 14096.13),(61 14152.032),(62 14366.431),(63 14501.462),(64 14339.898),(65 14228.555),(66 14244.154),(67 14198.037),(68 14177.803),(69 14181.104),(70 14051.716),(71 14010.845),(72 14045.46),(73 13985.236),(74 13960.082),(75 14154.787),(76 14313.542),(77 14414.68),(78 14585.269),(79 14647.225),
(1 3224.6829),(2 5868.0566),(3 7581.1074),(4 8570.461),(5 9449.4795),(6 9966.592),(7 10326.91),(8 10816.699),(9 11053.411),(10 11346.998),(11 11703.786),(12 11980.793),(13 12141.238),(14 12244.829),(15 12250.069),(16 12464.651),(17 12557.405),(18 12574.906),(19 12819.716),(20 13075.862),(21 13113.081),(22 13131.065),(23 13236.738),(24 13039.386),(25 13144.146),(26 13218.759),(27 13220.8125),(28 13279.565),(29 13266.59),(30 13254.627),(31 13281.331),(32 13316.53),(33 13406.182),(34 13661.164),(35 13873.119),(36 13836.383),(37 13861.667),(38 13688.229),(39 13451.909),(40 13510.588),(41 13451.415),(42 13501.7705),(43 13607.618),(44 13460.459),(45 13333.76),(46 13316.493),(47 13230.1875),(48 13162.054),(49 13070.888),(50 13024.567),(51 13027.565),(52 13010.081),(53 13011.552),(54 13023.957),(55 12967.922),(56 12858.599),(57 12816.937),(58 12915.271),(59 12746.761),(60 12915.909),(61 12960.5205),(62 13029.559),(63 13102.199),(64 13005.916),(65 12917.893),(66 12909.86),(67 12900.501),(68 12935.4375),(69 13205.963),(70 13299.25),(71 13434.857),(72 13484.265),(73 13503.648),(74 13618.908),(75 13687.914),(76 13725.807),(77 13720.678),(78 14122.76),(79 14128.199),
(1 3236.7422),(2 5760.5557),(3 7400.552),(4 8318.262),(5 9021.02),(6 9486.392),(7 9766.179),(8 10102.402),(9 10303.83),(10 10601.936),(11 10928.415),(12 11269.351),(13 11541.967),(14 11725.78),(15 11848.573),(16 12091.926),(17 12323.575),(18 12427.416),(19 12582.995),(20 12781.076),(21 12752.229),(22 12812.4795),(23 12908.604),(24 12729.21),(25 12764.741),(26 12898.561),(27 12927.154),(28 12971.138),(29 13036.65),(30 13078.2295),(31 13079.015),(32 13157.068),(33 13153.475),(34 13199.072),(35 13308.15),(36 13281.771),(37 13193.475),(38 13082.838),(39 12996.46),(40 12983.028),(41 12976.745),(42 13094.329),(43 13216.722),(44 13240.123),(45 13299.759),(46 13360.9),(47 13306.746),(48 13246.65),(49 13242.547),(50 13155.019),(51 13169.051),(52 13182.717),(53 13152.186),(54 13190.399),(55 13240.486),(56 13294.455),(57 13278.455),(58 13314.535),(59 13257.196),(60 13546.594),(61 13561.267),(62 13716.28),(63 13900.887),(64 13818.026),(65 13689.031),(66 13591.083),(67 13467.224),(68 13481.363),(69 13598.384),(70 13663.825),(71 13778.677),(72 13918.334),(73 13910.39),(74 13981.254),(75 14025.325),(76 14076.796),(77 14160.334),(78 14124.919),(79 13981.7295),
(1 3082.2258),(2 5493.473),(3 6925.9194),(4 7734.523),(5 8518.83),(6 8941.815),(7 9360.416),(8 9906.329),(9 10302.496),(10 10480.759),(11 10831.92),(12 11157.831),(13 11432.586),(14 11652.275),(15 11788.128),(16 11914.398),(17 11972.567),(18 12072.627),(19 12135.022),(20 12191.917),(21 12215.198),(22 12258.508),(23 12292.545),(24 12109.331),(25 12149.957),(26 12184.494),(27 12386.59),(28 12360.31),(29 12332.373),(30 12358.087),(31 12397.635),(32 12460.314),(33 12386.08),(34 12343.815),(35 12420.593),(36 12479.502),(37 12426.005),(38 12405.654),(39 12434.808),(40 12494.724),(41 12496.366),(42 12524.837),(43 12540.969),(44 12457.214),(45 12523.719),(46 12566.02),(47 12479.882),(48 12423.285),(49 12505.682),(50 12438.826),(51 12408.283),(52 12567.037),(53 12576.611),(54 12774.065),(55 13012.638),(56 12966.658),(57 12939.699),(58 12949.94),(59 12848.234),(60 13012.242),(61 13034.83),(62 13095.015),(63 13120.428),(64 13036.255),(65 13050.854),(66 13120.075),(67 13132.0205),(68 13218.647),(69 13433.277),(70 13569.572),(71 13637.868),(72 13747.828),(73 13582.56),(74 13605.002),(75 13705.03),(76 13650.424),(77 13634.975),(78 13551.519),(79 13431.414),
(1 3058.0386),(2 5402.3833),(3 6952.5664),(4 7824.4204),(5 8529.299),(6 9193.934),(7 9571.162),(8 9989.306),(9 10245.3545),(10 10381.506),(11 10670.249),(12 10892.776),(13 11027.805),(14 11080.523),(15 11063.016),(16 11116.885),(17 11277.968),(18 11352.283),(19 11535.569),(20 11730.601),(21 11774.041),(22 11778.9375),(23 11891.858),(24 11829.61),(25 11896.97),(26 12017.834),(27 12166.66),(28 12245.679),(29 12312.587),(30 12301.967),(31 12322.385),(32 12396.889),(33 12458.444),(34 12537.636),(35 12657.75),(36 12718.38),(37 12645.802),(38 12634.184),(39 12682.943),(40 12627.261),(41 12524.814),(42 12506.725),(43 12473.867),(44 12444.577),(45 12501.344),(46 12587.744),(47 12493.699),(48 12521.393),(49 12546.986),(50 12476.044),(51 12573.262),(52 12678.639),(53 12646.338),(54 12690.734),(55 12813.349),(56 12789.701),(57 12893.16),(58 12934.677),(59 12867.885),(60 12988.784),(61 12966.061),(62 12992.314),(63 13008.914),(64 12836.934),(65 12750.433),(66 12675.183),(67 12605.628),(68 12567.648),(69 12679.081),(70 12682.658),(71 12624.044),(72 12652.8545),(73 12857.007),(74 12936.324),(75 13064.256),(76 12973.543),(77 13036.535),(78 13087.077),(79 12904.698),
(1 3065.6294),(2 5471.973),(3 6967.2974),(4 7786.174),(5 8357.341),(6 8876.307),(7 9235.562),(8 9480.29),(9 9622.628),(10 9727.583),(11 9976.688),(12 10094.742),(13 10223.822),(14 10412.27),(15 10475.688),(16 10639.831),(17 10700.007),(18 10772.531),(19 10913.139),(20 11073.391),(21 11153.814),(22 11148.001),(23 11279.409),(24 11228.889),(25 11218.058),(26 11413.264),(27 11408.879),(28 11395.771),(29 11532.805),(30 11606.276),(31 11748.038),(32 11845.438),(33 11880.908),(34 11986.517),(35 12125.258),(36 12115.015),(37 12039.667),(38 12063.932),(39 12042.527),(40 12005.961),(41 11858.825),(42 11875.293),(43 11929.911),(44 11957.741),(45 12025.174),(46 12066.302),(47 12023.967),(48 12031.192),(49 12094.085),(50 11988.946),(51 12053.414),(52 12164.65),(53 12084.805),(54 12049.117),(55 12108.977),(56 12043.402),(57 11914.7295),(58 11747.558),(59 11613.654),(60 11958.4795),(61 12147.84),(62 12341.176),(63 12435.443),(64 12229.256),(65 12114.907),(66 12011.1875),(67 11925.259),(68 11798.893),(69 11861.852),(70 11789.589),(71 11839.004),(72 11926.335),(73 12082.852),(74 12264.267),(75 12459.609),(76 12442.59),(77 12518.1045),(78 12697.255),(79 12600.152),
(1 2974.8455),(2 5198.7373),(3 6590.4736),(4 7401.0874),(5 8060.227),(6 8551.192),(7 8864.851),(8 9040.21),(9 9144.579),(10 9267.441),(11 9409.957),(12 9482.525),(13 9622.44),(14 9761.827),(15 9931.532),(16 10111.82),(17 10370.15),(18 10390.112),(19 10562.748),(20 10687.097),(21 10676.099),(22 10690.169),(23 10798.691),(24 10783.676),(25 10822.148),(26 10957.389),(27 10955.548),(28 10992.48),(29 11081.854),(30 11135.311),(31 11274.68),(32 11465.751),(33 11462.675),(34 11548.145),(35 11722.232),(36 11797.4375),(37 11725.935),(38 11620.463),(39 11666.429),(40 11635.456),(41 11651.826),(42 11499.818),(43 11548.904),(44 11360.822),(45 11393.479),(46 11459.155),(47 11410.834),(48 11375.893),(49 11477.274),(50 11258.109),(51 11345.3),(52 11382.832),(53 11187.422),(54 11104.949),(55 11188.441),(56 11045.024),(57 10991.471),(58 10975.959),(59 10905.316),(60 11278.097),(61 11449.58),(62 11600.658),(63 11685.656),(64 11658.866),(65 11738.585),(66 11847.757),(67 11716.157),(68 11751.758),(69 11750.737),(70 11615.123),(71 11544.917),(72 11525.228),(73 11636.058),(74 11764.647),(75 11846.88),(76 11845.985),(77 11930.075),(78 12075.507),(79 11932.8125),
(1 2926.055),(2 5107.4175),(3 6535.825),(4 7256.0576),(5 7871.895),(6 8311.087),(7 8586.255),(8 8906.942),(9 9096.829),(10 9317.754),(11 9598.052),(12 9602.721),(13 9673.488),(14 9672.779),(15 9804.745),(16 10037.737),(17 10388.375),(18 10450.992),(19 10496.939),(20 10605.018),(21 10632.453),(22 10690.713),(23 10765.227),(24 10772.88),(25 10828.924),(26 11002.319),(27 10991.246),(28 10971.92),(29 10983.451),(30 10986.4795),(31 11091.965),(32 11280.343),(33 11392.847),(34 11426.202),(35 11495.478),(36 11407.419),(37 11252.257),(38 11054.818),(39 11149.951),(40 11079.991),(41 11012.583),(42 11015.69),(43 10976.944),(44 10825.378),(45 10701.701),(46 10771.878),(47 10818.734),(48 10871.225),(49 10995.523),(50 10990.566),(51 10933.375),(52 10963.295),(53 10870.809),(54 10838.514),(55 10907.043),(56 11019.511),(57 11113.025),(58 11230.869),(59 11237.999),(60 11496.275),(61 11532.046),(62 11600.348),(63 11781.907),(64 11794.622),(65 11811.701),(66 11854.692),(67 11715.757),(68 11712.792),(69 11752.532),(70 11657.826),(71 11607.835),(72 11727.97),(73 11646.236),(74 11654.111),(75 11621.762),(76 11583.061),(77 11651.721),(78 11731.046),(79 11672.251),
(1 2766.6287),(2 4841.8564),(3 6131.2754),(4 6851.3047),(5 7461.857),(6 7921.2065),(7 8280.241),(8 8514.112),(9 8660.74),(10 8786.119),(11 8954.4795),(12 8939.886),(13 9047.06),(14 9179.453),(15 9374.348),(16 9626.678),(17 9915.579),(18 9966.685),(19 10019.401),(20 10099.782),(21 10162.027),(22 10226.141),(23 10355.176),(24 10361.208),(25 10490.301),(26 10607.79),(27 10513.678),(28 10437.907),(29 10530.937),(30 10593.95),(31 10624.714),(32 10661.667),(33 10627.958),(34 10726.635),(35 10824.939),(36 10727.235),(37 10719.7295),(38 10685.18),(39 10674.681),(40 10743.143),(41 10745.709),(42 10684.336),(43 10685.389),(44 10654.873),(45 10684.005),(46 10666.834),(47 10710.779),(48 10806.627),(49 10936.662),(50 10956.322),(51 11050.058),(52 11040.473),(53 10945.714),(54 10985.322),(55 11073.218),(56 11045.798),(57 11037.172),(58 11059.994),(59 11062.613),(60 11316.043),(61 11365.33),(62 11488.592),(63 11651.398),(64 11706.447),(65 11835.753),(66 11924.447),(67 11865.254),(68 11812.991),(69 11782.431),(70 11700.478),(71 11608.223),(72 11716.842),(73 11763.849),(74 11838.689),(75 11936.376),(76 11955.913),(77 11917.16),(78 11913.285),(79 11909.678),
(1 2685.2004),(2 4636.4834),(3 5894.1636),(4 6542.9336),(5 7109.847),(6 7455.139),(7 7795.187),(8 8151.199),(9 8362.59),(10 8556.286),(11 8790.44),(12 8859.648),(13 8959.29),(14 9061.976),(15 9174.684),(16 9371.694),(17 9556.226),(18 9659.971),(19 9616.955),(20 9731.942),(21 9783.919),(22 9843.442),(23 9930.255),(24 10000.108),(25 10218.652),(26 10379.233),(27 10312.876),(28 10236.01),(29 10178.4375),(30 10104.998),(31 10072.245),(32 10156.881),(33 10139.93),(34 10290.433),(35 10499.263),(36 10609.753),(37 10633.795),(38 10651.159),(39 10586.167),(40 10648.157),(41 10607.241),(42 10562.544),(43 10570.89),(44 10637.296),(45 10728.491),(46 10699.194),(47 10640.51),(48 10599.569),(49 10653.7295),(50 10621.309),(51 10656.217),(52 10696.82),(53 10475.852),(54 10477.517),(55 10582.918),(56 10541.313),(57 10529.089),(58 10586.027),(59 10600.577),(60 10729.39),(61 10690.314),(62 10832.023),(63 10885.921),(64 10856.002),(65 10989.798),(66 11112.317),(67 11134.782),(68 11198.24),(69 11265.717),(70 11221.798),(71 11195.292),(72 11300.33),(73 11257.834),(74 11333.934),(75 11402.924),(76 11480.799),(77 11448.191),(78 11464.704),(79 11354.205),
(1 2634.0493),(2 4541.9766),(3 5717.5723),(4 6284.9717),(5 6786.556),(6 7100.2793),(7 7356.084),(8 7635.135),(9 7761.41),(10 8035.556),(11 8425.102),(12 8629.837),(13 8751.722),(14 8836.343),(15 8940.222),(16 9101.935),(17 9340.251),(18 9469.756),(19 9546.66),(20 9651.911),(21 9680.274),(22 9747.253),(23 9746.056),(24 9826.286),(25 10080.272),(26 10271.351),(27 10156.64),(28 10142.618),(29 10117.063),(30 10189.35),(31 10091.465),(32 10139.44),(33 10151.606),(34 10250.487),(35 10321.888),(36 10256.179),(37 10384.068),(38 10445.856),(39 10405.223),(40 10319.86),(41 10222.253),(42 10168.263),(43 10174.18),(44 10133.242),(45 10163.911),(46 10207.654),(47 10109.562),(48 10038.013),(49 10092.878),(50 9957.337),(51 9890.765),(52 9947.646),(53 9884.054),(54 9872.925),(55 9975.662),(56 9913.395),(57 10014.53),(58 10145.223),(59 10128.249),(60 10217.8545),(61 10316.351),(62 10411.561),(63 10548.916),(64 10481.896),(65 10583.631),(66 10567.121),(67 10500.68),(68 10518.355),(69 10588.425),(70 10588.634),(71 10667.741),(72 10800.18),(73 10775.295),(74 10864.075),(75 10982.792),(76 11051.229),(77 11127.428),(78 11175.014),(79 11047.481),
(1 2537.4526),(2 4402.8745),(3 5534.112),(4 6151.2236),(5 6649.6978),(6 7036.732),(7 7287.8345),(8 7471.3022),(9 7606.946),(10 7861.776),(11 8106.096),(12 8232.908),(13 8429.631),(14 8571.097),(15 8636.222),(16 8642.474),(17 8975.899),(18 9081.167),(19 9296.992),(20 9413.379),(21 9539.877),(22 9603.962),(23 9613.341),(24 9537.294),(25 9580.245),(26 9760.872),(27 9831.924),(28 9984.291),(29 10110.146),(30 10091.769),(31 9916.446),(32 9918.404),(33 9988.446),(34 10073.934),(35 10089.62),(36 9965.296),(37 9966.2705),(38 9975.229),(39 9842.695),(40 9839.692),(41 9868.02),(42 9883.375),(43 9809.808),(44 9722.942),(45 9668.303),(46 9707.931),(47 9636.058),(48 9550.756),(49 9602.77),(50 9522.273),(51 9477.187),(52 9434.685),(53 9306.911),(54 9243.622),(55 9326.727),(56 9259.647),(57 9347.782),(58 9393.733),(59 9488.761),(60 9722.176),(61 9674.709),(62 9652.823),(63 9713.309),(64 9682.115),(65 9724.047),(66 9819.833),(67 9837.369),(68 9820.768),(69 9933.343),(70 9936.194),(71 10033.528),(72 10122.038),(73 10151.916),(74 10161.021),(75 10243.8955),(76 10247.111),(77 10365.392),(78 10536.45),(79 10517.715),
(1 2577.4822),(2 4461.971),(3 5530.875),(4 6056.514),(5 6610.708),(6 7052.487),(7 7307.6064),(8 7478.6895),(9 7580.374),(10 7722.9014),(11 7955.4536),(12 8125.7007),(13 8353.395),(14 8415.857),(15 8461.792),(16 8496.087),(17 8683.082),(18 8683.336),(19 8822.16),(20 8905.438),(21 9000.427),(22 9051.426),(23 9137.388),(24 9126.645),(25 9132.986),(26 9208.442),(27 9264.258),(28 9255.224),(29 9289.335),(30 9301.274),(31 9291.917),(32 9341.542),(33 9485.174),(34 9523.844),(35 9521.826),(36 9584.014),(37 9502.577),(38 9479.487),(39 9338.763),(40 9262.18),(41 9187.206),(42 9177.343),(43 9238.188),(44 9134.301),(45 9176.238),(46 9206.934),(47 9153.94),(48 9097.172),(49 9161.004),(50 9159.06),(51 9126.84),(52 9168.657),(53 9185.374),(54 9267.645),(55 9344.291),(56 9360.874),(57 9288.996),(58 9276.777),(59 9255.89),(60 9356.879),(61 9370.04),(62 9372.37),(63 9459.552),(64 9397.92),(65 9404.432),(66 9511.026),(67 9546.121),(68 9575.28),(69 9696.264),(70 9692.845),(71 9659.844),(72 9715.303),(73 9754.726),(74 9819.689),(75 9925.112),(76 9846.771),(77 9849.083),(78 9869.563),(79 9867.721),
(1 2466.008),(2 4211.528),(3 5275.061),(4 5796.5566),(5 6286.9316),(6 6653.5522),(7 6929.9556),(8 7159.948),(9 7285.4185),(10 7404.1597),(11 7584.5776),(12 7648.503),(13 7740.9844),(14 7787.5664),(15 7814.944),(16 7970.7554),(17 8104.0083),(18 8142.8745),(19 8185.835),(20 8244.05),(21 8293.378),(22 8347.883),(23 8486.1455),(24 8499.067),(25 8606.578),(26 8624.503),(27 8563.077),(28 8618.621),(29 8798.161),(30 8858.068),(31 8926.064),(32 9103.956),(33 9189.788),(34 9163.627),(35 9101.272),(36 9067.744),(37 9078.965),(38 9083.005),(39 9037.746),(40 9016.72),(41 8959.857),(42 8949.438),(43 9012.24),(44 8941.506),(45 8949.593),(46 8954.588),(47 8928.889),(48 8971.536),(49 9054.825),(50 8976.032),(51 9003.096),(52 9114.77),(53 9125.281),(54 9162.971),(55 9202.636),(56 9196.623),(57 9149.328),(58 9176.842),(59 9070.856),(60 9217.321),(61 9199.539),(62 9234.234),(63 9350.792),(64 9305.671),(65 9261.842),(66 9393.787),(67 9448.145),(68 9474.19),(69 9574.617),(70 9424.832),(71 9342.546),(72 9445.414),(73 9445.909),(74 9413.525),(75 9432.8),(76 9447.052),(77 9425.525),(78 9378.859),(79 9337.887),
(1 2402.8977),(2 4110.173),(3 5214.794),(4 5796.6924),(5 6324.102),(6 6693.0815),(7 6865.429),(8 7006.7334),(9 7155.117),(10 7360.955),(11 7621.811),(12 7690.5796),(13 7725.979),(14 7755.7813),(15 7840.852),(16 8041.4277),(17 8278.91),(18 8329.357),(19 8410.545),(20 8523.431),(21 8484.844),(22 8560.701),(23 8712.703),(24 8657.365),(25 8664.676),(26 8689.769),(27 8652.487),(28 8665.246),(29 8850.79),(30 8880.632),(31 8951.795),(32 9063.161),(33 9080.452),(34 9212.335),(35 9336.775),(36 9306.083),(37 9353.328),(38 9380.286),(39 9256.237),(40 9256.916),(41 9194.372),(42 9176.6875),(43 9311.893),(44 9288.296),(45 9305.201),(46 9402.148),(47 9411.081),(48 9503.869),(49 9600.213),(50 9436.664),(51 9371.812),(52 9329.639),(53 9313.752),(54 9427.017),(55 9531.581),(56 9461.16),(57 9494.189),(58 9516.761),(59 9442.461),(60 9428.303),(61 9458.013),(62 9561.24),(63 9797.711),(64 9808.074),(65 9790.915),(66 9777.06),(67 9717.671),(68 9769.421),(69 9851.14),(70 9769.143),(71 9823.752),(72 9855.415),(73 9820.546),(74 9924.263),(75 9968.899),(76 9979.2295),(77 9963.216),(78 9913.508),(79 9954.254),
(1 2378.9841),(2 4013.557),(3 4971.5503),(4 5584.6597),(5 6024.5913),(6 6304.9063),(7 6427.1543),(8 6610.3813),(9 6781.562),(10 7045.699),(11 7351.1763),(12 7421.479),(13 7441.464),(14 7550.4653),(15 7648.7495),(16 7633.8433),(17 7920.0854),(18 7967.474),(19 8037.6016),(20 8223.855),(21 8324.231),(22 8355.617),(23 8320.071),(24 8173.789),(25 8166.0957),(26 8149.1436),(27 8216.842),(28 8260.174),(29 8406.287),(30 8414.565),(31 8372.159),(32 8360.749),(33 8383.247),(34 8461.94),(35 8494.235),(36 8538.5),(37 8713.189),(38 8739.482),(39 8845.425),(40 8852.067),(41 8806.488),(42 8815.51),(43 8838.567),(44 8815.927),(45 8833.709),(46 8883.557),(47 8886.98),(48 8914.213),(49 8931.725),(50 8699.862),(51 8683.41),(52 8712.549),(53 8665.024),(54 8640.054),(55 8616.675),(56 8568.061),(57 8578.853),(58 8515.77),(59 8515.791),(60 8624.796),(61 8633.954),(62 8617.96),(63 8724.708),(64 8661.136),(65 8714.625),(66 8954.822),(67 8969.87),(68 8922.272),(69 9039.546),(70 8961.322),(71 8980.612),(72 8982.675),(73 8937.011),(74 8951.567),(75 8936.373),(76 8936.182),(77 8895.647),(78 8912.117),(79 8928.525),
