1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 68470.29),(2 195142.19),(3 352766.9),(4 555614.6),(5 699121.06),(6 850631.5),(7 1000039.06),(8 1132314.6),(9 1260431.6),(10 1390837.3),(11 1554579),(12 1712647),(13 1906019.4),(14 2105281.3),(15 2283410.8),(16 2410897.8),(17 2583342.3),(18 2739686.3),(19 2944720.8),(20 3129073.3),(21 3322092),(22 3499727),(23 3691559.3),(24 3897097),(25 4135188.8),(26 4432267.5),(27 4770297.5),(28 5084536.5),(29 5421706),(30 5757976.5),(31 6091812.5),(32 6446442),(33 6756978.5),(34 7054957.5),(35 7364610),(36 7691160.5),(37 8046268.5),(38 8359204),(39 8817907),(40 9226572),(41 9600441),(42 10069168),(43 10548935),(44 11130914),(45 11697375),(46 12289435),(47 13035627),(48 13699877),(49 14252195),(50 14791491),(51 15138804),(52 15456641),(53 15734407),(54 15862677),(55 16042788),(56 16162404),(57 16292532),(58 16325140),(59 16380367),(60 16414100),(61 16370028),(62 16349336),(63 16252040),(64 16096659),(65 15871848),(66 15507596),(67 15134241),(68 14567387),(69 13984040),(70 13344905),(71 12763711),(72 12226677),(73 11789711),(74 11355761),(75 11004051),(76 10718321),(77 10504428),(78 10234463),(79 10072769),
(1 1489.3918),(2 2128.5056),(3 2673.1772),(4 2969.6045),(5 3199.0154),(6 3447.1465),(7 3629.2476),(8 3798.2048),(9 4004.8408),(10 4053.8096),(11 4155.651),(12 4269.6753),(13 4275.0747),(14 4308.7583),(15 4466.4463),(16 4420.997),(17 4474.0894),(18 4541.612),(19 4485.598),(20 4530.365),(21 4488.219),(22 4469.1157),(23 4525.7886),(24 4460.522),(25 4440.92),(26 4441.9116),(27 4420.5728),(28 4366.276),(29 4390.52),(30 4320.187),(31 4311.3228),(32 4385.099),(33 4370.227),(34 4424.209),(35 4475.0557),(36 4438.816),(37 4487.0254),(38 4540.8853),(39 4501.6636),(40 4532.947),(41 4564.042),(42 4540.8633),(43 4576.762),(44 4631.0073),(45 4599.7837),(46 4683.181),(47 4622.275),(48 4606.8936),(49 4667.9536),(50 4637.083),(51 4710.171),(52 4792.63),(53 4768.0864),(54 4739.5386),(55 4794.9526),(56 4741.257),(57 4753.998),(58 4793.8037),(59 4760.819),(60 4761.089),(61 4785.3477),(62 4719.716),(63 4758.199),(64 4827.312),(65 4751.738),(66 4766.548),(67 4790.551),(68 4745.43),(69 4735.147),(70 4774.1313),(71 4707.5005),(72 4665.733),(73 4662.4453),(74 4580.837),(75 4601.0005),(76 4624.4604),(77 4598.8315),(78 4620.5425),(79 4671.2573),
(1 1439.7701),(2 2077.107),(3 2586.9548),(4 2880.481),(5 3133.733),(6 3371.834),(7 3525.6516),(8 3695.2476),(9 3871.5525),(10 3958.7373),(11 4072.4492),(12 4216.877),(13 4240.597),(14 4254.861),(15 4429.92),(16 4430.391),(17 4508.6113),(18 4591.5723),(19 4555.039),(20 4613.8184),(21 4538.0654),(22 4502.235),(23 4548.809),(24 4510.9004),(25 4509.978),(26 4558.0464),(27 4503.86),(28 4513.017),(29 4552.853),(30 4515.399),(31 4539.9277),(32 4598.046),(33 4581.119),(34 4642.6543),(35 4692.1465),(36 4638.0444),(37 4617.5054),(38 4691.4707),(39 4641.939),(40 4652.9004),(41 4660.004),(42 4650.5464),(43 4657.4644),(44 4707.3496),(45 4708.3276),(46 4781.042),(47 4664.0015),(48 4660.752),(49 4652.296),(50 4569.9795),(51 4630.141),(52 4660.7715),(53 4595.4453),(54 4605.683),(55 4705.6733),(56 4649.1187),(57 4672.412),(58 4767.8374),(59 4672.187),(60 4654.6777),(61 4735.1733),(62 4683.429),(63 4728.6284),(64 4771.7915),(65 4733.5674),(66 4714.347),(67 4727.398),(68 4686.708),(69 4670.994),(70 4697.2676),(71 4593.906),(72 4559.529),(73 4566.0176),(74 4525.361),(75 4533.1494),(76 4524.4775),(77 4500.437),(78 4494.2583),(79 4541.3813),
(1 1447.8586),(2 2075.7456),(3 2564.108),(4 2866.1326),(5 3100.5225),(6 3374.163),(7 3541.7813),(8 3663.097),(9 3804.7627),(10 3908.5222),(11 4005.0378),(12 4184.2144),(13 4210.5894),(14 4223.5015),(15 4322.5186),(16 4272.77),(17 4327.451),(18 4373.8447),(19 4319.047),(20 4407.0513),(21 4330.4126),(22 4345.978),(23 4378.4565),(24 4265.6597),(25 4300.181),(26 4344.655),(27 4287.159),(28 4251.254),(29 4334.6714),(30 4300.5986),(31 4313.723),(32 4356.174),(33 4354.3726),(34 4404.8247),(35 4505.197),(36 4480.6177),(37 4501.503),(38 4568.124),(39 4538.633),(40 4583.104),(41 4640.8394),(42 4633.5117),(43 4671.4814),(44 4682.689),(45 4685.3237),(46 4741.851),(47 4675.536),(48 4691.3247),(49 4710.3145),(50 4636.9243),(51 4660.5996),(52 4686.1475),(53 4583.271),(54 4632.3506),(55 4678.6577),(56 4569.9287),(57 4504.151),(58 4560.719),(59 4514.3745),(60 4514.845),(61 4533.992),(62 4492.1904),(63 4507.083),(64 4575.0957),(65 4514.729),(66 4496.152),(67 4523.4478),(68 4460.033),(69 4462.333),(70 4488.1553),(71 4399.505),(72 4347.605),(73 4402.9673),(74 4359.2827),(75 4394.554),(76 4425.8096),(77 4420.7793),(78 4433.004),(79 4471.89),
(1 1425.9009),(2 2088.4749),(3 2593.6465),(4 2912.278),(5 3136.9956),(6 3372.9905),(7 3565.2275),(8 3678.0432),(9 3839.4858),(10 3965.9602),(11 4061.6653),(12 4231.639),(13 4266.9277),(14 4300.191),(15 4412.4106),(16 4345.9478),(17 4365.747),(18 4429.6685),(19 4397.1294),(20 4471.782),(21 4415.7817),(22 4402.193),(23 4464.4956),(24 4422.053),(25 4418.3086),(26 4460.2954),(27 4391.0444),(28 4377.1455),(29 4392.9683),(30 4379.633),(31 4367.3193),(32 4453.3555),(33 4404.227),(34 4422.47),(35 4498.5103),(36 4450.4966),(37 4478.117),(38 4584.6323),(39 4583.202),(40 4629.2954),(41 4670.5806),(42 4638.014),(43 4642.9136),(44 4696.7573),(45 4676.4673),(46 4744.9697),(47 4698.638),(48 4693.641),(49 4733.9126),(50 4663.574),(51 4665.8345),(52 4709.745),(53 4654.3193),(54 4680.9365),(55 4746.2153),(56 4705.3027),(57 4709.0313),(58 4771.819),(59 4711.883),(60 4731.0283),(61 4714.2715),(62 4653.654),(63 4687.991),(64 4759.4263),(65 4696.8936),(66 4730.055),(67 4794.3257),(68 4764.619),(69 4754.6577),(70 4719.1626),(71 4645.333),(72 4627.587),(73 4629.7295),(74 4563.812),(75 4582.165),(76 4609.9014),(77 4609.445),(78 4606.606),(79 4573.726),
(1 1391.8533),(2 1989.8625),(3 2495.55),(4 2767.9922),(5 3011.0486),(6 3227.2813),(7 3384.9712),(8 3491.1042),(9 3641.4395),(10 3735.5073),(11 3839.9631),(12 3960.3616),(13 3985.1543),(14 4030.1956),(15 4170.474),(16 4151.7197),(17 4190.6133),(18 4293.8105),(19 4269.7407),(20 4354.212),(21 4339.831),(22 4331.8384),(23 4427.2075),(24 4375.4585),(25 4315.3535),(26 4357.858),(27 4362.7397),(28 4336.5225),(29 4328.474),(30 4280.087),(31 4299.3394),(32 4308.2065),(33 4262.7007),(34 4266.063),(35 4295.636),(36 4263.85),(37 4310.003),(38 4328.3657),(39 4319.5757),(40 4352.7764),(41 4391.6563),(42 4371.5767),(43 4395.04),(44 4459.785),(45 4420.779),(46 4458.386),(47 4417.254),(48 4438.9487),(49 4460.0205),(50 4428.114),(51 4477.699),(52 4489.54),(53 4420.22),(54 4388.2363),(55 4407.2734),(56 4356.202),(57 4351.008),(58 4387.3374),(59 4342.3223),(60 4363.0977),(61 4393.441),(62 4356.1865),(63 4386.356),(64 4412.0522),(65 4328.852),(66 4339.2295),(67 4395.252),(68 4345.9316),(69 4303.755),(70 4349.903),(71 4280.693),(72 4262.728),(73 4307.8105),(74 4277.9897),(75 4311.515),(76 4353.805),(77 4307.1655),(78 4322.449),(79 4361.8687),
(1 1370.8689),(2 1980.5668),(3 2458.4998),(4 2740.3164),(5 2946.6775),(6 3212.1504),(7 3334.5308),(8 3422.0178),(9 3588.2158),(10 3608.3708),(11 3661.583),(12 3769.5745),(13 3772.5154),(14 3816.082),(15 3967.1987),(16 3967.6008),(17 4052.2065),(18 4141.3057),(19 4116.403),(20 4186.0615),(21 4157.564),(22 4153.449),(23 4226.9565),(24 4187.8716),(25 4188.9883),(26 4225.186),(27 4145.42),(28 4130.7583),(29 4162.8574),(30 4104.0938),(31 4130.0063),(32 4175.1304),(33 4151.072),(34 4145.996),(35 4174.3457),(36 4121.0483),(37 4132.628),(38 4152.405),(39 4133.8413),(40 4145.7744),(41 4229.4834),(42 4244.015),(43 4260.2495),(44 4304.4),(45 4228.48),(46 4270.9526),(47 4174.675),(48 4148.9185),(49 4220.7583),(50 4208.167),(51 4264.361),(52 4301.009),(53 4280.072),(54 4267.515),(55 4295.071),(56 4222.0874),(57 4204.225),(58 4245.0825),(59 4213.145),(60 4222.4033),(61 4293.4585),(62 4256.124),(63 4302.6655),(64 4332.3857),(65 4259.3794),(66 4263.875),(67 4277.7905),(68 4223.846),(69 4158.72),(70 4195.2036),(71 4092.069),(72 4094.24),(73 4127.9165),(74 4060.2327),(75 4042.429),(76 4034.958),(77 4009.2742),(78 3994.1953),(79 4010.49),
(1 1367.5388),(2 1936.6716),(3 2417.6248),(4 2679.0183),(5 2854.525),(6 3086.8477),(7 3212.0547),(8 3325.9355),(9 3509.876),(10 3583.079),(11 3658.2092),(12 3786.4575),(13 3796.898),(14 3825.7551),(15 3940.0637),(16 3929.3481),(17 3990.944),(18 4056.9336),(19 4027.7368),(20 4088.851),(21 4058.5984),(22 4056.9053),(23 4145.8193),(24 4081.166),(25 4100.9707),(26 4149.229),(27 4075.9758),(28 4040.3975),(29 4058.4414),(30 3985.351),(31 4023.0203),(32 4078.0586),(33 4078.432),(34 4061.2148),(35 4112.3843),(36 4037.6519),(37 4077.4932),(38 4111.78),(39 4053.052),(40 4123.7603),(41 4184.388),(42 4170.0415),(43 4178.6934),(44 4214.9546),(45 4188.9946),(46 4212.5034),(47 4138.677),(48 4111.0103),(49 4133.3584),(50 4120.257),(51 4130.077),(52 4115.6343),(53 4126.159),(54 4148.1494),(55 4217.333),(56 4137.0977),(57 4174.031),(58 4245.1294),(59 4192.99),(60 4198.126),(61 4267.8677),(62 4177.4897),(63 4183.5728),(64 4214.5044),(65 4141.762),(66 4113.2656),(67 4174.331),(68 4110.215),(69 4065.8052),(70 4107.3735),(71 4030.3484),(72 4023.741),(73 4035.1772),(74 3975.6155),(75 3999.4731),(76 4000.9958),(77 3999.0159),(78 4006.4575),(79 4030.9731),
(1 1327.8694),(2 1850.6843),(3 2325.3472),(4 2591.7283),(5 2801.9138),(6 3022.9807),(7 3157.8337),(8 3238.6711),(9 3363.3113),(10 3436.6218),(11 3527.4397),(12 3659.4448),(13 3685.3342),(14 3724.1736),(15 3822.0474),(16 3791.708),(17 3823.5103),(18 3887.4573),(19 3858.9968),(20 3944.3677),(21 3885.315),(22 3889.2957),(23 3950.9172),(24 3904.9285),(25 3929.4487),(26 3993.9731),(27 3966.1743),(28 3895.2742),(29 3972.2273),(30 3928.9937),(31 3965.4688),(32 4004.7646),(33 3959.1575),(34 3953.1326),(35 4006.1143),(36 3915.0059),(37 3935.838),(38 3973.731),(39 3945.6375),(40 3972.3843),(41 4047.5474),(42 4041.709),(43 4044.8887),(44 4087.6921),(45 4068.2217),(46 4118.1064),(47 4046.253),(48 4030.8748),(49 4086.794),(50 4041.4265),(51 4032.2837),(52 4069.2349),(53 4018.5889),(54 4045.3914),(55 4092.9648),(56 4045.5063),(57 4064.7146),(58 4139.8423),(59 4099.0435),(60 4080.6213),(61 4163.707),(62 4107.1377),(63 4131.5503),(64 4139.378),(65 4042.5078),(66 4011.5696),(67 4056.7798),(68 3992.9373),(69 3962.0151),(70 3985.2197),(71 3943.9954),(72 3898.1624),(73 3870.8264),(74 3854.9297),(75 3861.752),(76 3875.0752),(77 3830.021),(78 3843.6584),(79 3904.5115),
(1 1339.3625),(2 1903.5078),(3 2366.4272),(4 2660.7725),(5 2850.3088),(6 3090.864),(7 3220.2373),(8 3325.6917),(9 3492.5398),(10 3555.4832),(11 3636.351),(12 3728.5686),(13 3729.8635),(14 3752.651),(15 3893.2224),(16 3887.3176),(17 3912.6348),(18 3978.3298),(19 3942.3215),(20 4045.2097),(21 4032.0623),(22 4014.9324),(23 4138.884),(24 4048.3425),(25 4074.9824),(26 4107.262),(27 4045.189),(28 4014.9758),(29 4033.9458),(30 4000.8533),(31 3981.1934),(32 4031.308),(33 3968.6702),(34 4020.6191),(35 4082.6843),(36 4054.7378),(37 4084.835),(38 4076.5586),(39 4079.4436),(40 4100.213),(41 4134.4414),(42 4111.9604),(43 4132.187),(44 4165.6953),(45 4162.798),(46 4210.028),(47 4128.515),(48 4143.151),(49 4189.929),(50 4137.619),(51 4161.529),(52 4168.238),(53 4104.7153),(54 4122.2954),(55 4158.4336),(56 4099.042),(57 4135.9395),(58 4218.325),(59 4150.5005),(60 4138.016),(61 4140.177),(62 4073.094),(63 4109.7734),(64 4134.875),(65 4078.3564),(66 4072.421),(67 4106.926),(68 4030.3567),(69 3966.036),(70 4024.9932),(71 3945.9175),(72 3908.3032),(73 3912.4973),(74 3860.2932),(75 3900.549),(76 3952.4292),(77 3956.7532),(78 3981.7607),(79 4041.6108),
(1 1316.3286),(2 1875.9708),(3 2293.184),(4 2542.354),(5 2730.123),(6 2951.154),(7 3095.159),(8 3215.0303),(9 3351.46),(10 3395.0063),(11 3475.1863),(12 3575.7905),(13 3582.83),(14 3626.2383),(15 3799.1453),(16 3786.2847),(17 3835.3845),(18 3902.4202),(19 3869.5388),(20 3971.7395),(21 3944.3777),(22 3940.016),(23 4027.5195),(24 3963.1208),(25 3966.9382),(26 3982.1504),(27 3915.693),(28 3933.0024),(29 3955.9094),(30 3917.2764),(31 3925.0857),(32 3963.4443),(33 3926.9714),(34 3975.44),(35 4054.6965),(36 4002.4016),(37 4049.4185),(38 4053.5002),(39 4006.7004),(40 4032.9282),(41 4066.427),(42 4027.279),(43 4085.384),(44 4176.692),(45 4100.2886),(46 4181.265),(47 4128.22),(48 4129.626),(49 4186.371),(50 4117.625),(51 4143.4478),(52 4145.98),(53 4121.9907),(54 4076.0034),(55 4111.3),(56 4061.2969),(57 4079.9883),(58 4088.81),(59 4025.653),(60 4011.6226),(61 4059.029),(62 3996.796),(63 4004.0317),(64 4035.313),(65 3947.1348),(66 3980.773),(67 4013.2183),(68 3922.4983),(69 3872.9248),(70 3916.0913),(71 3836.4888),(72 3823.9434),(73 3851.803),(74 3811.1248),(75 3863.0667),(76 3901.7234),(77 3891.2922),(78 3911.6392),(79 3938.9346),
(1 1295.4938),(2 1827.5476),(3 2223.0234),(4 2520.7173),(5 2743.9678),(6 2959.6975),(7 3145.2512),(8 3255.7996),(9 3370.0313),(10 3400.871),(11 3473.2493),(12 3581.2559),(13 3572.1736),(14 3590.5652),(15 3744.5938),(16 3721.8176),(17 3764.8818),(18 3808.9517),(19 3782.9893),(20 3879.857),(21 3866.379),(22 3863.636),(23 3921.089),(24 3859.729),(25 3863.3835),(26 3893.5269),(27 3849.402),(28 3826.1123),(29 3842.4272),(30 3797.6106),(31 3792.3171),(32 3836.1802),(33 3819.7188),(34 3823.826),(35 3907.669),(36 3857.327),(37 3884.0269),(38 3924.772),(39 3916.1926),(40 3948.2385),(41 3986.1096),(42 3929.669),(43 3949.494),(44 4033.054),(45 3979.888),(46 4022.7542),(47 3965.295),(48 3937.4863),(49 3993.7222),(50 3965.87),(51 3961.663),(52 3982.776),(53 3955.1135),(54 3941.3708),(55 3966.3152),(56 3918.2644),(57 3927.1655),(58 3932.9795),(59 3840.5273),(60 3814.9573),(61 3890.3923),(62 3820.9197),(63 3872.0454),(64 3894.6543),(65 3831.8),(66 3843.5764),(67 3859.208),(68 3819.0417),(69 3792.1384),(70 3823.7993),(71 3732.599),(72 3724.128),(73 3734.5298),(74 3716.192),(75 3726.0767),(76 3745.4138),(77 3744.3342),(78 3740.9272),(79 3795.8438),
(1 1276.0537),(2 1831.4962),(3 2267.1724),(4 2522.6943),(5 2729.9233),(6 2940.2751),(7 3092.1504),(8 3207.3325),(9 3309.737),(10 3348.0298),(11 3420.1543),(12 3505.0203),(13 3492.8887),(14 3485.994),(15 3595.796),(16 3536.3674),(17 3612.7844),(18 3674.3894),(19 3653.3657),(20 3731.332),(21 3726.58),(22 3728.031),(23 3821.1357),(24 3804.795),(25 3813.205),(26 3875.2915),(27 3805.3064),(28 3788.2815),(29 3834.384),(30 3790),(31 3774.1165),(32 3816.1387),(33 3800.728),(34 3839.5957),(35 3935.755),(36 3907.2012),(37 3946.3506),(38 3984.3782),(39 3982.9536),(40 4014.4746),(41 4043.0024),(42 3960.5442),(43 3933.5557),(44 3966.49),(45 3944.568),(46 3974.7356),(47 3919.206),(48 3930.2847),(49 3956.4778),(50 3872.7424),(51 3902.9265),(52 3903.3955),(53 3941.487),(54 3925.0698),(55 3974.3105),(56 3928.2104),(57 3944.2517),(58 4010.6682),(59 3976.202),(60 3996.68),(61 4051.2432),(62 4004.0212),(63 4045.9087),(64 4107.3237),(65 4056.473),(66 4064.5454),(67 4098.6855),(68 4051.3208),(69 4022.4966),(70 4020.127),(71 3978.8303),(72 3958.465),(73 3990.5825),(74 3927.8523),(75 3916.4907),(76 3932.183),(77 3890.1294),(78 3854.8376),(79 3868.9043),
(1 1245.3507),(2 1739.8937),(3 2138.5273),(4 2355.7803),(5 2553.4133),(6 2752.053),(7 2869.0017),(8 2981.077),(9 3098.4812),(10 3172.4753),(11 3265.9836),(12 3362.3582),(13 3389.4033),(14 3394.4912),(15 3506.29),(16 3454.1372),(17 3452.451),(18 3488.9688),(19 3455.385),(20 3494.3062),(21 3484.9038),(22 3499.4092),(23 3541.2126),(24 3492.0684),(25 3506.6423),(26 3553.01),(27 3534.527),(28 3516.3486),(29 3583.6572),(30 3572.7139),(31 3592.4631),(32 3636.1597),(33 3628.569),(34 3651.006),(35 3739.2417),(36 3688.911),(37 3716.731),(38 3762.2747),(39 3775.7297),(40 3821.588),(41 3889.566),(42 3881.7917),(43 3851.1926),(44 3869.298),(45 3822.1492),(46 3831.6606),(47 3789.3298),(48 3780.5679),(49 3833.6982),(50 3783.4949),(51 3792.4978),(52 3811.008),(53 3769.2637),(54 3767.1926),(55 3808.5273),(56 3739.6423),(57 3730.9006),(58 3777.902),(59 3736.382),(60 3770.4954),(61 3795.3188),(62 3705.8062),(63 3748.4287),(64 3775.547),(65 3712.6567),(66 3708.1868),(67 3744.0881),(68 3748.1113),(69 3737.4993),(70 3751.0828),(71 3701.7678),(72 3678.7332),(73 3689.3152),(74 3614.4607),(75 3640.575),(76 3679.1602),(77 3613.1233),(78 3611.6038),(79 3674.2888),
(1 1250.2175),(2 1765.2487),(3 2167.008),(4 2423.3184),(5 2603.3774),(6 2843.6636),(7 2959.569),(8 3088.3765),(9 3206.7065),(10 3254.2463),(11 3323.0588),(12 3423.7012),(13 3476.5576),(14 3465.086),(15 3633.0989),(16 3580.6401),(17 3599.1514),(18 3646.4495),(19 3606.3687),(20 3640.0627),(21 3608.361),(22 3592.4702),(23 3656.3857),(24 3598.1387),(25 3609.11),(26 3670.742),(27 3663.373),(28 3671.0552),(29 3731.6008),(30 3692.4172),(31 3706.5447),(32 3725.8848),(33 3724.9639),(34 3757.8494),(35 3813.727),(36 3756.7273),(37 3757.3237),(38 3822.458),(39 3814.278),(40 3836.2244),(41 3896.34),(42 3907.1575),(43 3913.6416),(44 3926.6409),(45 3882.0305),(46 3899.8835),(47 3803.7751),(48 3796.8647),(49 3808.6924),(50 3772.2656),(51 3781.6975),(52 3822.9492),(53 3754.5515),(54 3757.1575),(55 3791.2202),(56 3734.3735),(57 3744.8674),(58 3833.561),(59 3776.6226),(60 3804.4382),(61 3850.5051),(62 3787.0867),(63 3852.0237),(64 3904.3315),(65 3827.5237),(66 3850.1267),(67 3872.5085),(68 3814.3901),(69 3781.6301),(70 3733.144),(71 3687.98),(72 3674.6836),(73 3679.4946),(74 3638.3433),(75 3597.131),(76 3618.8638),(77 3586.935),(78 3615.6511),(79 3660.6523),
(1 1229.3434),(2 1688.1241),(3 2051.9146),(4 2297.6128),(5 2448.2224),(6 2654.3335),(7 2758.02),(8 2848.2761),(9 2989.0828),(10 3031.235),(11 3110.7346),(12 3223.1106),(13 3233.4548),(14 3266.471),(15 3388.383),(16 3338.721),(17 3412.751),(18 3467.418),(19 3440.921),(20 3546.9185),(21 3537.5957),(22 3517.0713),(23 3567.297),(24 3547.0098),(25 3523.3142),(26 3570.6877),(27 3533.2607),(28 3544.6125),(29 3594.9656),(30 3566.6882),(31 3565.8962),(32 3610.726),(33 3639.3003),(34 3666.0847),(35 3738.9211),(36 3718.1614),(37 3704.7698),(38 3748.5522),(39 3708.768),(40 3700.3862),(41 3705.7456),(42 3690.042),(43 3713.4841),(44 3758.0093),(45 3713.7742),(46 3744.7388),(47 3687.6553),(48 3667.4814),(49 3705.8784),(50 3660.2017),(51 3645.1523),(52 3692.1553),(53 3636.8726),(54 3602.9812),(55 3661.3396),(56 3588.4812),(57 3626.5198),(58 3678.7944),(59 3633.6233),(60 3658.0718),(61 3708.8047),(62 3670.628),(63 3681.0522),(64 3724.025),(65 3640.499),(66 3641.109),(67 3659.83),(68 3590.82),(69 3572.6628),(70 3566.772),(71 3517.4336),(72 3504.6184),(73 3559.7524),(74 3482.207),(75 3473.8035),(76 3447.912),(77 3380.8257),(78 3389.7266),(79 3423.9854),
(1 1214.127),(2 1702.6531),(3 2080.2688),(4 2323.9202),(5 2461.22),(6 2644.2185),(7 2768.2947),(8 2849.276),(9 2953.0786),(10 2998.5876),(11 3073.9275),(12 3184.246),(13 3226.5989),(14 3265.4072),(15 3394.9106),(16 3394.4368),(17 3469.9907),(18 3552.5613),(19 3516.1736),(20 3592.1724),(21 3591.5354),(22 3585.6821),(23 3645.9922),(24 3598.3743),(25 3575.4849),(26 3586.9033),(27 3534.6372),(28 3544.4634),(29 3556.2048),(30 3499.879),(31 3530.1348),(32 3583.4202),(33 3593.5334),(34 3599.766),(35 3659.2893),(36 3609.2761),(37 3631.922),(38 3653.5562),(39 3624.2915),(40 3651.648),(41 3650.381),(42 3641.2815),(43 3653.5767),(44 3671.2952),(45 3655.8418),(46 3684.8455),(47 3610.8093),(48 3619.273),(49 3670.3647),(50 3643.0242),(51 3654.254),(52 3647.0642),(53 3610.2852),(54 3564.4805),(55 3609.607),(56 3583.7097),(57 3618.049),(58 3660.3884),(59 3632.478),(60 3638.502),(61 3674.639),(62 3605.0764),(63 3610.882),(64 3628.6445),(65 3548.9858),(66 3552.4949),(67 3600.1636),(68 3533.4822),(69 3509.9714),(70 3542.6646),(71 3501.2725),(72 3477.9634),(73 3524.3582),(74 3450.0193),(75 3435.7825),(76 3450.3853),(77 3428.4065),(78 3441.9883),(79 3484.7026),
