1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 188997.36),(2 444421.88),(3 728849.8),(4 1302254.3),(5 1960409.6),(6 2624098.3),(7 3582705.3),(8 4564520.5),(9 5538853.5),(10 6806086.5),(11 8099478.5),(12 9386329),(13 10926012),(14 12541963),(15 14012819),(16 15751984),(17 17643208),(18 19375764),(19 21558070),(20 23935978),(21 25823922),(22 28016654),(23 30368778),(24 32381698),(25 34594700),(26 36935868),(27 38792148),(28 40700420),(29 42898716),(30 44718496),(31 46897700),(32 49519884),(33 51615790),(34 54193268),(35 57555532),(36 60533132),(37 63678828),(38 67328030),(39 70488260),(40 73924730),(41 77806830),(42 81141384),(43 84477380),(44 88020700),(45 90758630),(46 93603480),(47 97255550),(48 100269270),(49 103664010),(50 107818180),(51 111378040),(52 114722390),(53 118414360),(54 121686080),(55 124394890),(56 127163240),(57 129586776),(58 131899140),(59 134674400),(60 137219920),(61 139162160),(62 140740140),(63 141227440),(64 141749090),(65 143124050),(66 144446720),(67 145946820),(68 147610800),(69 148513620),(70 149176450),(71 150113600),(72 150616690),(73 151348820),(74 152662350),(75 153746240),(76 155292350),(77 157092750),(78 159195090),(79 160688270),
(1 34332.492),(2 70909.11),(3 87992.625),(4 102332.72),(5 109765.305),(6 114865.65),(7 120681.05),(8 124069.06),(9 127663.58),(10 131938.48),(11 135155.56),(12 139856.1),(13 143321.28),(14 147195.42),(15 153391.8),(16 159014.77),(17 154172.88),(18 154835.34),(19 160159.53),(20 161559.17),(21 166408.28),(22 169321.27),(23 171286.36),(24 172080.16),(25 169307.17),(26 168882.64),(27 165170.47),(28 163411.48),(29 162257.39),(30 163274.92),(31 163585.44),(32 162053.88),(33 164333.45),(34 165026.17),(35 163863.84),(36 166050.94),(37 170489.88),(38 169969.98),(39 169199.98),(40 172737.75),(41 172834.5),(42 171385.17),(43 172080.5),(44 171422.86),(45 170965.64),(46 172039.6),(47 172123.17),(48 173357.8),(49 173216.4),(50 171270.83),(51 172322.95),(52 172983.75),(53 174833.8),(54 175307.08),(55 175429.55),(56 177516.94),(57 182965.31),(58 187535.33),(59 184637.9),(60 185948.31),(61 190316.92),(62 188126.94),(63 185898.64),(64 183317.69),(65 182450.7),(66 185857.27),(67 186477.03),(68 184450.19),(69 183056.27),(70 180853.98),(71 175946.5),(72 173623.81),(73 173795.83),(74 179218.98),(75 184002.64),(76 183906.2),(77 182160.48),(78 185771.17),(79 188341.88),
(1 34521.83),(2 71736.41),(3 89079.59),(4 99671.22),(5 108124.14),(6 116937.96),(7 126403.055),(8 132064.69),(9 136301.33),(10 140342.5),(11 138153.28),(12 136174.53),(13 139759.52),(14 140227.81),(15 144099.39),(16 145772.56),(17 141911.77),(18 142958.78),(19 144939.17),(20 146749.84),(21 149151.16),(22 150028.84),(23 150393.19),(24 150096),(25 149039.47),(26 152410.81),(27 153442.94),(28 151204.53),(29 154478.88),(30 156334.53),(31 155213.75),(32 156126.89),(33 158445.06),(34 160668.08),(35 160800.34),(36 164985.52),(37 168777.63),(38 166541.05),(39 165359.92),(40 166017.98),(41 166187.56),(42 168677.42),(43 170325.77),(44 172461.66),(45 174789.98),(46 173807.28),(47 176712.39),(48 180724.13),(49 179132.4),(50 177551.45),(51 179905.03),(52 180243.5),(53 178720.08),(54 178623.02),(55 179626.11),(56 177899.73),(57 176252.17),(58 179249.6),(59 181353.42),(60 183351.02),(61 185456.61),(62 187471.64),(63 188123.19),(64 187694.69),(65 186197.52),(66 184148.22),(67 186743.16),(68 190307.9),(69 192595.86),(70 192852.98),(71 190243.34),(72 189933.61),(73 191468.13),(74 190863.72),(75 187850.88),(76 187613.36),(77 188116.5),(78 192948.34),(79 195689.34),
(1 35267.203),(2 71241.69),(3 88334.164),(4 103243.07),(5 112896.484),(6 118315.555),(7 126790.24),(8 128884),(9 130441.5),(10 134479.52),(11 131306.3),(12 131696.5),(13 133065.94),(14 135850.77),(15 140952.94),(16 143756.73),(17 140129.2),(18 140463.53),(19 140635.81),(20 138909.28),(21 140911.7),(22 142426.83),(23 140713.56),(24 139962.77),(25 146488.2),(26 150712.72),(27 151119.5),(28 154107.36),(29 157383.3),(30 156855.2),(31 155761.86),(32 157595.19),(33 156559.52),(34 157878.14),(35 161100.92),(36 163583.08),(37 165132.8),(38 164430.72),(39 169010.1),(40 169744.56),(41 171430.4),(42 171282.36),(43 172209.81),(44 172795.08),(45 174065.14),(46 171535.4),(47 171899.98),(48 180543.86),(49 179292.03),(50 182555.6),(51 184878.1),(52 182158.92),(53 181234.9),(54 182534.47),(55 183799.97),(56 185431.36),(57 186532.81),(58 189773.6),(59 189099.27),(60 188261.6),(61 194183.73),(62 196134.7),(63 195500.92),(64 196460.81),(65 199388.61),(66 199733.81),(67 200796.08),(68 199325.14),(69 196671.67),(70 195852.73),(71 192566.4),(72 194157.39),(73 195803.13),(74 194408.81),(75 192765.78),(76 192194.08),(77 191872.5),(78 189467.19),(79 188291.94),
(1 32504.496),(2 65397.926),(3 78158.78),(4 88102.016),(5 92722.83),(6 96816.39),(7 103891.8),(8 106059.48),(9 108549.88),(10 114840.38),(11 112896.01),(12 109642.72),(13 113142.89),(14 118313.97),(15 125537.12),(16 128633.49),(17 129693.586),(18 130699.45),(19 129227.07),(20 132111.58),(21 136483.52),(22 136844.52),(23 139220.33),(24 142254.22),(25 146378.97),(26 146819.1),(27 146955.66),(28 149006.17),(29 152188.92),(30 152712.61),(31 151492.61),(32 150817.78),(33 150067.61),(34 151601.14),(35 152077.97),(36 151738.31),(37 150685.72),(38 151018.83),(39 153018.28),(40 154592.9),(41 157198.83),(42 158854.5),(43 159601.92),(44 161691.03),(45 163000.25),(46 164584.83),(47 166887.13),(48 169443.95),(49 170045.94),(50 171470.83),(51 170941.45),(52 169217.55),(53 172122.86),(54 175090.11),(55 174343.02),(56 175888.42),(57 177225.47),(58 179214.03),(59 181142.7),(60 182128.45),(61 182029.69),(62 181667.78),(63 180120.19),(64 178680.34),(65 177808.25),(66 177390.14),(67 177123.94),(68 175150.75),(69 172293.83),(70 171289.13),(71 169944.4),(72 169292.83),(73 171161.14),(74 174534.16),(75 173733.56),(76 171801.02),(77 171726.34),(78 169322.88),(79 167727.42),
(1 32639.377),(2 66719.45),(3 82573.47),(4 91548.92),(5 97049.88),(6 103742.27),(7 109924.04),(8 111164.36),(9 111119.375),(10 113347.81),(11 110715.96),(12 109874.45),(13 114170.016),(14 119792.57),(15 124599.23),(16 124539.766),(17 125578.74),(18 126748.016),(19 126811.65),(20 131724.53),(21 132746.81),(22 131156.38),(23 132422.64),(24 135211.69),(25 138566.11),(26 138919.63),(27 140197.28),(28 142542.44),(29 143971.34),(30 143946.83),(31 144010.61),(32 148011.23),(33 149922.6),(34 154175.83),(35 157160.94),(36 155927.19),(37 158187.2),(38 160314.22),(39 156000.02),(40 160492.8),(41 163198.89),(42 164148.61),(43 167755.14),(44 171208.16),(45 172384.64),(46 173020.38),(47 173134.42),(48 175851.52),(49 174710.17),(50 171853.75),(51 173225.33),(52 172661.66),(53 171485.14),(54 175054.84),(55 173279.23),(56 173264.92),(57 177229.14),(58 178510.02),(59 175999.61),(60 177770.02),(61 179303.61),(62 180374.34),(63 183192.83),(64 185745.19),(65 187887.42),(66 183210.13),(67 181328.7),(68 183578.19),(69 181476.73),(70 182212.42),(71 184321.13),(72 187272.13),(73 188174.5),(74 189527.97),(75 188216.02),(76 187280.55),(77 186815.4),(78 187017.77),(79 187547.1),
(1 30692.713),(2 62013.023),(3 74898.09),(4 84111.76),(5 88898.2),(6 92488.81),(7 95384.86),(8 94589.836),(9 94044.91),(10 95053.13),(11 95765.484),(12 99847.76),(13 102156.49),(14 102758.55),(15 105256.33),(16 105616.91),(17 106309.73),(18 107009.3),(19 107689.3),(20 111936.83),(21 114509.125),(22 113732.7),(23 113405.6),(24 113934.04),(25 113061.06),(26 112931.76),(27 114842.68),(28 118808.12),(29 121176.57),(30 120596.09),(31 121902.68),(32 123528.59),(33 124218.66),(34 126783.39),(35 126996.12),(36 128388.3),(37 133393.9),(38 134508.77),(39 133577.8),(40 135358.05),(41 139426.38),(42 139974.33),(43 142881.53),(44 145110.19),(45 145518.8),(46 146371.14),(47 148994.34),(48 151611.52),(49 153296.02),(50 151502.97),(51 152280.19),(52 151777.78),(53 154073.94),(54 157113.61),(55 156156.64),(56 154644.5),(57 155811.14),(58 156447.33),(59 156241.69),(60 160313.45),(61 164948.75),(62 165929.3),(63 167262.81),(64 167918.25),(65 169410.22),(66 168474.13),(67 169823.7),(68 171016.13),(69 170327.25),(70 169580.2),(71 172443.61),(72 175510.84),(73 177441.92),(74 180693.42),(75 181395.97),(76 181317.33),(77 180293.3),(78 180577.48),(79 175904.39),
(1 29423.22),(2 59720.1),(3 71723.805),(4 76460.29),(5 81808),(6 88584.62),(7 92266.62),(8 95775.266),(9 97458.57),(10 98203.48),(11 100344.484),(12 101454.6),(13 102517.26),(14 103377.016),(15 106102.63),(16 106822.99),(17 106578.53),(18 106396.63),(19 105779.055),(20 106919.6),(21 107468.55),(22 109065.1),(23 110826.23),(24 112586.78),(25 112860.46),(26 110806.28),(27 110583.22),(28 112018.766),(29 113302.5),(30 113660.35),(31 115346.03),(32 116952.836),(33 120022.98),(34 123405.65),(35 123649.54),(36 126218.086),(37 128821.234),(38 127086.35),(39 127229.78),(40 127977.78),(41 128661.72),(42 128308.6),(43 130208.6),(44 132439.14),(45 133320.31),(46 132662.05),(47 134384.72),(48 132601.98),(49 132544.56),(50 134683.16),(51 134290.66),(52 134974.22),(53 135158.84),(54 139830.25),(55 143356.92),(56 142028.5),(57 142261.83),(58 141833.39),(59 141864.03),(60 143684.66),(61 146734.03),(62 146746.28),(63 146143.25),(64 146042.14),(65 146180.7),(66 148688.55),(67 151897.66),(68 149284.69),(69 148680.47),(70 149443.58),(71 151187.14),(72 151331.58),(73 150977.23),(74 150315.2),(75 147378.98),(76 143898.77),(77 142898.23),(78 143174.31),(79 144967.39),
(1 30408.3),(2 58423.48),(3 68711.95),(4 75919.26),(5 82316.48),(6 86974.85),(7 92853.984),(8 97021.92),(9 99893.58),(10 98848.9),(11 99121.89),(12 101578.38),(13 102549.47),(14 104401.805),(15 109618.234),(16 112930.77),(17 112982.59),(18 115073.305),(19 116727.78),(20 117886.8),(21 118062.7),(22 117117.08),(23 117760.63),(24 120162.69),(25 122572.58),(26 120609.52),(27 122250.086),(28 120674),(29 118522.75),(30 120151.25),(31 123078.05),(32 125349.23),(33 126195.88),(34 124903.625),(35 125115.88),(36 126632.48),(37 128821.32),(38 132607.25),(39 132399.69),(40 133121.2),(41 136301.86),(42 136314.25),(43 139103.31),(44 142550.84),(45 144745.6),(46 143634.33),(47 144478.67),(48 144473.97),(49 142859.83),(50 141570.92),(51 140843.61),(52 138809.06),(53 138912.47),(54 142470.39),(55 145206.27),(56 146044.52),(57 147411.03),(58 148343.45),(59 147418.88),(60 146775.47),(61 149113.03),(62 146715.55),(63 146782.31),(64 145235.9),(65 145365.13),(66 146713.84),(67 150988.44),(68 151908.36),(69 154086.06),(70 155220.3),(71 155458.31),(72 154320.38),(73 152467.63),(74 153297.52),(75 154307.03),(76 154379.16),(77 154853.89),(78 154272.39),(79 153263.7),
(1 29318.953),(2 57897.105),(3 68533.57),(4 75951.66),(5 81398.51),(6 87041.086),(7 91364.73),(8 92132.375),(9 93395.27),(10 93433.97),(11 95637.17),(12 96888.09),(13 95811.61),(14 99357.59),(15 103021.03),(16 104862.125),(17 104550.38),(18 104569.07),(19 106259.92),(20 105615.195),(21 105499.37),(22 104902.375),(23 105626.9),(24 107005.766),(25 108092.18),(26 108748.375),(27 108824.836),(28 108057.66),(29 108115.914),(30 107988.64),(31 109583.66),(32 111530.63),(33 113690.58),(34 114352.2),(35 118401.79),(36 120435.12),(37 121136.54),(38 123710.65),(39 125661.37),(40 124009.37),(41 125241.66),(42 124908.695),(43 125376.58),(44 126804.914),(45 127791.55),(46 132602.86),(47 134107.31),(48 131832.83),(49 130370.31),(50 129210.25),(51 130034.516),(52 131721.11),(53 131606.25),(54 132344.38),(55 132041.6),(56 131703.58),(57 131983.11),(58 130773.72),(59 131324.69),(60 132154.06),(61 130753.35),(62 130239.336),(63 130525.89),(64 131748.58),(65 132087.28),(66 133624),(67 136910.77),(68 137764.48),(69 136278.16),(70 136340.97),(71 136112.9),(72 135147.23),(73 138258.52),(74 137700.66),(75 139310.47),(76 139997.86),(77 140149.53),(78 140760.27),(79 139103.1),
(1 29508.102),(2 55602.965),(3 66174.75),(4 73598.5),(5 80621.766),(6 86678.89),(7 89167.016),(8 89102.4),(9 90200.164),(10 93107.2),(11 95804.125),(12 99221.22),(13 100814.13),(14 101296.27),(15 102766.414),(16 102910.62),(17 100068.12),(18 100387.766),(19 103728.445),(20 104761.63),(21 106904.05),(22 109256.016),(23 113222.484),(24 115299.016),(25 114247.914),(26 114575.266),(27 114775.88),(28 112385.4),(29 112470.15),(30 115422.68),(31 116162.6),(32 119362.5),(33 120891.5),(34 122479.24),(35 124780.164),(36 124251.85),(37 126710.62),(38 131959.16),(39 133161.56),(40 133251.47),(41 136547.94),(42 135958.31),(43 136703.23),(44 137361.19),(45 137132.3),(46 136525.52),(47 137348.61),(48 139752.28),(49 138440.81),(50 136881.58),(51 139050.55),(52 139371.06),(53 139247.28),(54 139186.58),(55 141534.14),(56 142781.02),(57 143209.45),(58 142590.77),(59 141587.47),(60 140376.14),(61 138252.52),(62 138357.48),(63 137348.52),(64 136528.03),(65 136097.81),(66 135786.14),(67 136766.08),(68 135429.02),(69 135378.63),(70 139293.89),(71 139868.22),(72 137451.9),(73 136389.05),(74 138058.67),(75 139599.61),(76 138237.8),(77 140037.75),(78 140934.94),(79 137122.69),
(1 26978.354),(2 51294.684),(3 59242.016),(4 65737.51),(5 73303.98),(6 81314.52),(7 83313.31),(8 84980.766),(9 87498.45),(10 89908.43),(11 91349.86),(12 92525.86),(13 94863.18),(14 95556.96),(15 96159.52),(16 95610.336),(17 96728.28),(18 97457.91),(19 99159.07),(20 96566.54),(21 96521.516),(22 98644.99),(23 99655.15),(24 97362.76),(25 100321.87),(26 103207.94),(27 102456.34),(28 101409.56),(29 101458.99),(30 103659.19),(31 105978.766),(32 108314.86),(33 107592.67),(34 109827.1),(35 111347.43),(36 110729.47),(37 113186.49),(38 114172.24),(39 114625.2),(40 114964.266),(41 117738.3),(42 118799.15),(43 118631.19),(44 121721.41),(45 124663.02),(46 124565.586),(47 124852.65),(48 125430.26),(49 127355.57),(50 127629.305),(51 126398.44),(52 127201.32),(53 126998.484),(54 124541.81),(55 123960.234),(56 125838.03),(57 125267.68),(58 124304.9),(59 123215.98),(60 122967.46),(61 121850.57),(62 119869.81),(63 119741.305),(64 118289.45),(65 117527.58),(66 117893.69),(67 117465.29),(68 119595.64),(69 122968.625),(70 124609.83),(71 124281.42),(72 124929.516),(73 127374.13),(74 126263.805),(75 122305.555),(76 123517.87),(77 121992.125),(78 119720.77),(79 117047.734),
(1 26391.004),(2 51780.465),(3 60302.61),(4 65762.836),(5 72193.9),(6 76614.805),(7 78175.95),(8 79623.48),(9 80776.61),(10 82055.25),(11 83681.33),(12 85714.92),(13 88154.22),(14 91117.61),(15 93552.234),(16 92330.97),(17 93603.4),(18 96222.85),(19 98682.5),(20 99903.92),(21 99721.11),(22 100624.22),(23 102904.734),(24 103961.94),(25 103840.016),(26 104313.79),(27 102983.49),(28 101849.37),(29 103500.05),(30 104639.266),(31 103855.2),(32 104970.26),(33 106192.18),(34 106534.14),(35 108583.305),(36 109569.266),(37 110373.97),(38 111054.914),(39 111865.1),(40 111611.78),(41 112354.9),(42 115723.29),(43 117124.61),(44 120731.875),(45 120031.69),(46 119167.6),(47 121694.836),(48 123029.74),(49 123021.52),(50 123051.07),(51 122797.01),(52 122628.84),(53 121795.34),(54 123052.29),(55 124251.65),(56 124348.75),(57 124389.47),(58 122672.26),(59 121297.63),(60 120875.29),(61 121077.7),(62 122299.52),(63 123313.29),(64 124357.28),(65 123934.22),(66 123094.414),(67 123600.805),(68 125471.18),(69 125789.65),(70 124939.91),(71 120440.9),(72 118471.17),(73 120682.91),(74 123201.37),(75 126058.69),(76 126291.414),(77 126183.02),(78 123265.01),(79 123286.14),
(1 26875.857),(2 49133.633),(3 58455.625),(4 63424.52),(5 69013.43),(6 70681.086),(7 73948.086),(8 76287.8),(9 76019.336),(10 77227.48),(11 78626.02),(12 78826.22),(13 81363.44),(14 85466.96),(15 88450.695),(16 89587.35),(17 90126.04),(18 91232.89),(19 90507.97),(20 92049.9),(21 91828.98),(22 93958.61),(23 98378.37),(24 98256.35),(25 99824.19),(26 102101.945),(27 102571.89),(28 102783.92),(29 105562.55),(30 106990.84),(31 109828.305),(32 113585.93),(33 114833.81),(34 116462.51),(35 117337.43),(36 117282.625),(37 118942.73),(38 121071.87),(39 119001.695),(40 118835.23),(41 121462.06),(42 120567.95),(43 118987.31),(44 120179.22),(45 119298.484),(46 116361.28),(47 119220.445),(48 117826.67),(49 117496.53),(50 117525.88),(51 117359.54),(52 118364.89),(53 120148.27),(54 117846.12),(55 115134.26),(56 113587.92),(57 111782.37),(58 112021.23),(59 113404.93),(60 112249.53),(61 112079.38),(62 115512.16),(63 117308.6),(64 118864.67),(65 120513.01),(66 122229.03),(67 120445.32),(68 120133.55),(69 120485.09),(70 121461.164),(71 120517.88),(72 120483.38),(73 121716.586),(74 120988.74),(75 123113.26),(76 125168.945),(77 125293.44),(78 123231.69),(79 124562.24),
(1 25353.66),(2 46742.164),(3 52928.582),(4 57363.81),(5 61106.336),(6 65398.754),(7 67821.125),(8 70268.53),(9 72344.4),(10 74581.31),(11 76997.13),(12 80231.17),(13 81708.586),(14 81908.52),(15 82199.71),(16 82459.48),(17 85139.74),(18 86643),(19 90053.09),(20 92490.555),(21 93619.13),(22 95593.87),(23 99083.62),(24 99477.71),(25 99348.06),(26 100296.37),(27 100031.555),(28 102418.37),(29 104495.99),(30 105348.91),(31 105191.65),(32 106402.55),(33 106778.64),(34 106190.9),(35 105370.71),(36 107486.375),(37 110714.61),(38 109895.94),(39 109399.08),(40 111642.055),(41 112546.81),(42 112605.125),(43 113954.06),(44 112438.84),(45 111464.04),(46 111394.734),(47 111697.51),(48 112149.234),(49 112715.2),(50 113850.71),(51 113377.336),(52 112892.74),(53 113540.87),(54 113168.15),(55 113516.24),(56 114676.16),(57 114031.88),(58 112901.86),(59 111824.47),(60 109833.01),(61 108342.164),(62 111524.91),(63 112669.555),(64 111705.17),(65 113167.94),(66 112429.6),(67 112946.12),(68 113746.9),(69 114496.88),(70 114643.305),(71 113342.25),(72 111719.57),(73 109601.08),(74 109000.516),(75 111235.74),(76 111375.17),(77 112394.89),(78 109298.79),(79 107371.27),
(1 25429.357),(2 44418.926),(3 52549.332),(4 58683.527),(5 64785.418),(6 68586.36),(7 71313.23),(8 73435.016),(9 75619.195),(10 76867.63),(11 78752.234),(12 81896.07),(13 84645.36),(14 84362.36),(15 86918.15),(16 88291.49),(17 89701.6),(18 92719.42),(19 92683.43),(20 93626.39),(21 94319.44),(22 95512.75),(23 96937.98),(24 96182.25),(25 97834.67),(26 98668),(27 99049.6),(28 99930.32),(29 100773.85),(30 101572.016),(31 101693.86),(32 103663.12),(33 106947.625),(34 107672.87),(35 108006.76),(36 108351.164),(37 110809.18),(38 111741.26),(39 113112.266),(40 114444.06),(41 114730.21),(42 114912.25),(43 114503.86),(44 115374.93),(45 114715.26),(46 114705.516),(47 117744.65),(48 120523.89),(49 119426.99),(50 120033.11),(51 119664.34),(52 117126.25),(53 117967.26),(54 118706.32),(55 119440.14),(56 118939.75),(57 118791.805),(58 118138.44),(59 117967.21),(60 117412.39),(61 118457.64),(62 117439.836),(63 117222.62),(64 120480.31),(65 120518.31),(66 119342.2),(67 118765.07),(68 118413.57),(69 118156.78),(70 118553.07),(71 117065.7),(72 117484.94),(73 118538.125),(74 118255.1),(75 118890.69),(76 118163.93),(77 118550.86),(78 118337.68),(79 119339),
(1 25241.482),(2 44924.273),(3 52248.29),(4 58145.293),(5 63097.37),(6 66244.48),(7 69045.88),(8 72469.1),(9 74153.445),(10 74753.92),(11 74307.664),(12 74799.664),(13 76829.24),(14 79065.77),(15 81231.164),(16 84747.93),(17 84386.49),(18 85814.38),(19 86705.26),(20 87758.875),(21 88712.7),(22 89367.734),(23 89486.84),(24 89564.62),(25 91443.19),(26 90832.695),(27 91696.34),(28 92616.81),(29 92062.63),(30 93972.21),(31 94613.97),(32 94998.41),(33 96841.04),(34 97419.945),(35 96730.56),(36 98399.33),(37 99464.04),(38 100488.7),(39 100382.85),(40 97422.23),(41 98365.484),(42 99055.09),(43 100993.57),(44 103904.79),(45 103964.43),(46 103191.22),(47 104172.43),(48 105378.92),(49 106493.33),(50 105642.63),(51 107331.3),(52 109059.63),(53 110163.88),(54 109349.81),(55 108510.88),(56 109544.15),(57 111639.016),(58 110639.3),(59 109936.12),(60 111188.016),(61 112666.41),(62 114279.625),(63 114368.61),(64 113108.36),(65 111971.63),(66 111026.375),(67 111817.29),(68 110657.19),(69 108050.76),(70 107419.484),(71 109230.88),(72 108329.33),(73 108299.62),(74 108927.07),(75 108186.94),(76 109208.39),(77 109715.63),(78 111027.65),(79 111491.24),
(1 23673.385),(2 44888.473),(3 52951.6),(4 56274.23),(5 61808.73),(6 63194.484),(7 62692.984),(8 64591.26),(9 64714.355),(10 66596.25),(11 69684.83),(12 70415.29),(13 72335.48),(14 73613.336),(15 74981.25),(16 75351.55),(17 74250.625),(18 76544.945),(19 78540.52),(20 80358.8),(21 83659.02),(22 84985.9),(23 84903.21),(24 84725.84),(25 84728.05),(26 87058.625),(27 89940.25),(28 91603.83),(29 90507.03),(30 90568.48),(31 90209.18),(32 89595.48),(33 90935.59),(34 91443.03),(35 92920.97),(36 94296.62),(37 95060.41),(38 96148.805),(39 97842.1),(40 96997.2),(41 98027.56),(42 99218.49),(43 101718.44),(44 105542.39),(45 105861.27),(46 106171.836),(47 109328.99),(48 108416.97),(49 108015.29),(50 105941.21),(51 106140.586),(52 106491.47),(53 107779.83),(54 107709.65),(55 106900.41),(56 106206.44),(57 107025.01),(58 107946.8),(59 108207.625),(60 110414.54),(61 112282.09),(62 113384.93),(63 113825.51),(64 111280.49),(65 108708.6),(66 107950.51),(67 110125.97),(68 107336.85),(69 107827.35),(70 109888.53),(71 108438.92),(72 108080.56),(73 107386.414),(74 105945.32),(75 106679.32),(76 109742.2),(77 110415.24),(78 109700),(79 109884.65),
(1 24191.979),(2 42453.957),(3 50224.598),(4 53961.9),(5 59592.727),(6 60469.625),(7 61327.11),(8 64383.76),(9 65120.043),(10 65832.625),(11 67851.06),(12 67671.984),(13 68965.375),(14 68345.914),(15 68664.04),(16 69117.51),(17 69713.99),(18 72506.35),(19 75299.11),(20 76484.07),(21 79267.125),(22 82481.33),(23 81971.51),(24 82266.984),(25 84714.55),(26 84952.97),(27 88638.25),(28 89506.836),(29 90512.13),(30 91282.1),(31 89908.695),(32 92686.375),(33 93529.88),(34 95045.266),(35 96058.95),(36 94683.05),(37 95295.61),(38 97275.84),(39 97832.82),(40 98592.75),(41 100584.18),(42 102219.375),(43 101086.89),(44 102869.84),(45 103360.85),(46 103730.21),(47 104536.05),(48 105574.32),(49 104611.77),(50 103906.43),(51 104814.695),(52 105640.305),(53 103922.305),(54 104856.2),(55 105489.32),(56 107403.266),(57 107614.38),(58 107196.33),(59 108585.87),(60 108948.24),(61 108307.59),(62 108410.4),(63 109059.9),(64 110074.14),(65 110127.88),(66 109765.8),(67 109177.09),(68 111047.71),(69 109218.3),(70 110059.06),(71 109850.13),(72 109711),(73 108614.32),(74 108148.68),(75 108996.98),(76 110976.01),(77 111117.31),(78 111220.55),(79 113014.016),
