1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 58842.574),(2 31528.922),(3 121242.664),(4 121859.53),(5 234717.33),(6 256879.36),(7 389852.88),(8 430593.72),(9 578805.3),(10 640119.6),(11 802896.7),(12 886735),(13 1068592.6),(14 1163564),(15 1339602.6),(16 1443457.5),(17 1652771.5),(18 1791450),(19 2013953.4),(20 2173581.8),(21 2429050.3),(22 2620841),(23 2881386.8),(24 3079138),(25 3361009),(26 3568547.3),(27 3884757),(28 4109508.8),(29 4424334.5),(30 4652320.5),(31 4953109.5),(32 5155605.5),(33 5455822),(34 5614805.5),(35 5831276.5),(36 5986150.5),(37 6217344),(38 6374432),(39 6577030.5),(40 6716812),(41 6918662.5),(42 7049838.5),(43 7212275.5),(44 7314622.5),(45 7440064.5),(46 7512197.5),(47 7616222.5),(48 7637705.5),(49 7712081.5),(50 7717224),(51 7768900),(52 7772518.5),(53 7829118),(54 7815086.5),(55 7873977.5),(56 7888916.5),(57 7971606.5),(58 7976929.5),(59 8047630.5),(60 8062290.5),(61 8134794.5),(62 8148311.5),(63 8249525.5),(64 8287009.5),(65 8409230),(66 8473760),(67 8596263),(68 8680116),(69 8829936),(70 8959995),(71 9165261),(72 9334968),(73 9524505),(74 9665278),(75 9878207),(76 9989256),(77 10145623),(78 10220636),(79 10346212),
(1 5346.873),(2 9929.402),(3 13690.872),(4 14045.161),(5 16355.214),(6 16919.006),(7 18310.047),(8 17716.264),(9 19535.41),(10 19243.24),(11 20432.156),(12 19821.164),(13 21442.23),(14 20512.416),(15 21456.848),(16 20815.322),(17 22040.682),(18 21541.842),(19 23168.201),(20 23196.25),(21 25163.014),(22 24993.092),(23 26625.645),(24 26262.695),(25 28027.092),(26 27883),(27 29537.86),(28 29441.184),(29 31351.523),(30 31239.959),(31 33429.098),(32 33851.996),(33 36234.105),(34 36721.383),(35 39329.793),(36 40401.43),(37 43785.61),(38 45048.113),(39 48948),(40 50971.15),(41 54229.254),(42 55391.61),(43 59122.367),(44 60541.01),(45 63362),(46 63995.168),(47 66899.99),(48 67977.9),(49 70871.8),(50 71672.664),(51 74442.25),(52 75269.664),(53 77750.555),(54 78663.15),(55 81188.88),(56 81777.07),(57 84111.18),(58 83803.98),(59 85160.49),(60 84267.89),(61 85020.375),(62 83803.23),(63 84322.93),(64 83038.86),(65 83997.52),(66 83234.1),(67 84050.234),(68 83099.484),(69 84094.14),(70 82861.664),(71 83738.766),(72 82779.67),(73 83629.92),(74 82357.28),(75 83147.414),(76 81975.46),(77 82559),(78 81174.35),(79 82121.086),
(1 5437.7124),(2 9911.309),(3 13630.741),(4 13973.726),(5 16371.357),(6 16521.56),(7 17662.521),(8 16744.215),(9 18437.91),(10 17971.168),(11 19243.256),(12 18751.543),(13 20220.252),(14 19088.838),(15 20054.79),(16 19372.201),(17 20452.727),(18 19920.209),(19 21590.432),(20 21310.934),(21 22940.7),(22 22749.412),(23 24223.572),(24 23924.982),(25 25448.049),(26 25374.932),(27 27267.727),(28 27483.365),(29 30029.035),(30 30408.47),(31 32660.705),(32 32657.31),(33 35455.86),(34 36203.78),(35 38943.957),(36 39931.277),(37 43620.34),(38 45430.605),(39 49429.69),(40 51646.26),(41 55770.285),(42 57605.406),(43 61158.75),(44 62927.16),(45 66771.52),(46 68148.6),(47 71161.34),(48 71932.47),(49 74953.35),(50 75668.21),(51 78446.46),(52 79097.03),(53 81374.91),(54 81518.195),(55 83542.33),(56 83647.875),(57 85732.12),(58 85094.44),(59 86338.4),(60 85349.51),(61 86077.805),(62 84564.64),(63 85202.35),(64 83946.26),(65 84514.836),(66 83565.875),(67 84710.2),(68 83607.59),(69 84466.05),(70 83118.92),(71 83860.38),(72 82779.84),(73 84022.12),(74 83258),(75 84383.44),(76 83274.56),(77 84261.945),(78 83291.56),(79 84609.98),
(1 5526.6885),(2 10031.137),(3 13503.174),(4 13711.746),(5 15795.697),(6 16123.297),(7 17186.496),(8 16609.027),(9 18280.2),(10 17935.047),(11 19166.268),(12 18615.709),(13 19947.258),(14 18932.04),(15 19606.186),(16 18955.729),(17 20254.275),(18 19894.168),(19 21343.42),(20 21277.564),(21 23242.275),(22 22729.299),(23 23848.027),(24 23476.934),(25 25088.332),(26 24955.602),(27 26708.955),(28 26777.672),(29 28991.148),(30 29047.555),(31 30965.38),(32 31122.088),(33 33575.133),(34 34238.324),(35 36924.08),(36 38134.39),(37 41343.438),(38 42850.2),(39 46580.96),(40 48246.668),(41 51368.387),(42 52775.17),(43 55931.734),(44 57448.668),(45 60760.883),(46 62184.137),(47 65708.54),(48 67186.695),(49 70604.25),(50 71726.88),(51 74630.95),(52 75499.52),(53 78087.63),(54 78710.48),(55 80999.195),(56 81571.445),(57 83906.43),(58 83820.38),(59 85658.3),(60 84680.71),(61 84950.55),(62 83925.484),(63 84908.625),(64 83910.53),(65 84967.41),(66 84505.01),(67 85421.805),(68 84314.35),(69 85101.984),(70 84180.2),(71 84962.61),(72 83825.92),(73 84512.62),(74 83364.32),(75 84381.26),(76 83815.67),(77 84565.2),(78 83035.586),(79 84044.375),
(1 5370.685),(2 9500.802),(3 12939.243),(4 13214.618),(5 15348.118),(6 15669.75),(7 16853.193),(8 16250.093),(9 17911.85),(10 17480.668),(11 18613.215),(12 18029.586),(13 19007.1),(14 17762.477),(15 18522.627),(16 17967.219),(17 19402.314),(18 19349.166),(19 21072.82),(20 20976.05),(21 22633.45),(22 22602.094),(23 24033.174),(24 23738.758),(25 25556.79),(26 25535.34),(27 27196.57),(28 27314.602),(29 29864.793),(30 29896.943),(31 31823.652),(32 32273.252),(33 35029.98),(34 35725.9),(35 38479.555),(36 39666.13),(37 42995.97),(38 45006.64),(39 49162.82),(40 50870.152),(41 54437.19),(42 55718.594),(43 58343.137),(44 59605.59),(45 62666.168),(46 63622.832),(47 66366.25),(48 67311.53),(49 70370.43),(50 71517.48),(51 74406.12),(52 75144.81),(53 77237.53),(54 76899.35),(55 78979.84),(56 79010.125),(57 80734.49),(58 80328.78),(59 81412.21),(60 80108.26),(61 80334.695),(62 78458.13),(63 78609.47),(64 77553.29),(65 78623.45),(66 78103.125),(67 79247.55),(68 78487.664),(69 79596.055),(70 78106.8),(71 78644.72),(72 77582.66),(73 78216.68),(74 77055.15),(75 77991.11),(76 77102.63),(77 78104.14),(78 77690.57),(79 79184.055),
(1 5363.376),(2 9215.631),(3 12652.967),(4 12663.51),(5 14835.483),(6 15236.834),(7 16347.489),(8 15766.773),(9 17303.404),(10 16711.357),(11 17793.969),(12 17154.895),(13 18458.693),(14 17433.664),(15 18212.166),(16 17672.262),(17 19149.709),(18 18974.482),(19 20685.855),(20 20704.498),(21 22587.67),(22 22397.17),(23 24210.32),(24 24241.48),(25 26025.31),(26 25868.455),(27 27445.43),(28 27561.986),(29 29940.578),(30 29887.59),(31 31827.46),(32 32398.871),(33 35230.99),(34 36264.742),(35 39389.832),(36 40740.36),(37 44247.207),(38 45890.6),(39 49907.52),(40 52013.168),(41 55918.96),(42 57824),(43 61183.44),(44 62902.516),(45 66385.95),(46 67526.83),(47 70347.016),(48 71074.766),(49 73941.73),(50 74771.85),(51 77276.28),(52 78136.01),(53 80693.875),(54 81175.32),(55 83653.66),(56 84186.51),(57 86343.46),(58 85728.734),(59 86878.086),(60 85963.85),(61 86071.445),(62 84348.46),(63 84327.4),(64 82677.06),(65 83104.27),(66 82441.125),(67 83918.875),(68 83338.37),(69 84107.805),(70 83297.914),(71 84523.48),(72 84088.88),(73 85268.164),(74 84839.96),(75 85761.66),(76 84602.58),(77 85741.086),(78 85014.89),(79 85903.91),
(1 5359.439),(2 9230.817),(3 12252.168),(4 12468.384),(5 14837.973),(6 15254.941),(7 15928.014),(8 15456.993),(9 16913.814),(10 16389.404),(11 17406.22),(12 16837.568),(13 18232.445),(14 17431.682),(15 18236.639),(16 17805.307),(17 19194.436),(18 19053.063),(19 20543.049),(20 20417.857),(21 22044.674),(22 21918.271),(23 23524.926),(24 23549.45),(25 24963.508),(26 24787.402),(27 26373.09),(28 26420.97),(29 28227.365),(30 28013.71),(31 29783.637),(32 30355.592),(33 32847.297),(34 33716.113),(35 36217.883),(36 37153.72),(37 40016.742),(38 41755.973),(39 45675.945),(40 47356.625),(41 50322.094),(42 51849.79),(43 54548.09),(44 55856.363),(45 58448.08),(46 59456.69),(47 62203.06),(48 63007.29),(49 65590.22),(50 66306.18),(51 68295.06),(52 68859.57),(53 71073.72),(54 71254.97),(55 73172.99),(56 73398.8),(57 75345.63),(58 74884.11),(59 75824.76),(60 74573.47),(61 74841.44),(62 73575.664),(63 73703.64),(64 72770.445),(65 73509.43),(66 73236.45),(67 74423.93),(68 73682.805),(69 74214.43),(70 73260.45),(71 74353.336),(72 73817.49),(73 74798.69),(74 73761.26),(75 74363.27),(76 73421.805),(77 74561.39),(78 74144.414),(79 75321.6),
(1 5252.5073),(2 8838.305),(3 11805.549),(4 11903.999),(5 14060.973),(6 14545.634),(7 15461.716),(8 14940.294),(9 16492.266),(10 16054.567),(11 17137.879),(12 16364.237),(13 17557.31),(14 16633.027),(15 17294.715),(16 16380.729),(17 17421.754),(18 16997.041),(19 18487.412),(20 18532.17),(21 20334.078),(22 20382.41),(23 22132.102),(24 22038.104),(25 23643.807),(26 23467.213),(27 25113.28),(28 24819.822),(29 26891.486),(30 26892.93),(31 28827.664),(32 29090.268),(33 31683.355),(34 32522.295),(35 35122.285),(36 36053.055),(37 38859.324),(38 39955.086),(39 42688.023),(40 43726.848),(41 46514.723),(42 47567.723),(43 50373.477),(44 51225.27),(45 53610.81),(46 54179.094),(47 56321.133),(48 56469.94),(49 58944.477),(50 59333.848),(51 61279.758),(52 61851.77),(53 64200.977),(54 64439.305),(55 66094.484),(56 65969.29),(57 67427.88),(58 66875.266),(59 68030.02),(60 67340.54),(61 68088.54),(62 67042.37),(63 67436.13),(64 66286.5),(65 66965.66),(66 66531.734),(67 67751.24),(68 67095.62),(69 68100.06),(70 67192.15),(71 68250.766),(72 67897.984),(73 68975.86),(74 67792.11),(75 68530.06),(76 67658.266),(77 68777.11),(78 68428.9),(79 70203.055),
(1 5379.6587),(2 8694.918),(3 11590.688),(4 11512.501),(5 13552.003),(6 13747.659),(7 14680.043),(8 14382.797),(9 15929.121),(10 15295.932),(11 16277.392),(12 15439.973),(13 16728.477),(14 15673.024),(15 16452.42),(16 15670.192),(17 17119.072),(18 16605.81),(19 18189.016),(20 18074.723),(21 19806.62),(22 19751.195),(23 21722.582),(24 21746.234),(25 23721.885),(26 23414.197),(27 25400.088),(28 25489.887),(29 27501.623),(30 27236.121),(31 29215.299),(32 29308.365),(33 32070.42),(34 32964.375),(35 36012.715),(36 36951.723),(37 40729.855),(38 42703.383),(39 46111.273),(40 47224.65),(41 50204.027),(42 51292.027),(43 54252.93),(44 55442.652),(45 58265.516),(46 58788.91),(47 61005.043),(48 61179.766),(49 63586.402),(50 63759.496),(51 65775.086),(52 66091.16),(53 68408.195),(54 68700.87),(55 70687.96),(56 70471.32),(57 72141.695),(58 71013.68),(59 71643.44),(60 70298.625),(61 70872.31),(62 69550.734),(63 69817.88),(64 68546.01),(65 69509.234),(66 69261.69),(67 70713.03),(68 70196.586),(69 71520.05),(70 70430.09),(71 71435.02),(72 70800.45),(73 72350.56),(74 71671.23),(75 72947.05),(76 72382.336),(77 73891.94),(78 73577.01),(79 75384.19),
(1 5191.6685),(2 8359.046),(3 11206.716),(4 11268.469),(5 13320.151),(6 13698.57),(7 14557.37),(8 14190.992),(9 15837.523),(10 15220.339),(11 16448.346),(12 15746.867),(13 16870.158),(14 15882.029),(15 16582.293),(16 15849.765),(17 17247.701),(18 16401.953),(19 17701.914),(20 17668.318),(21 19631.916),(22 19563.2),(23 21583.105),(24 21547.66),(25 23746.111),(26 23480.402),(27 25251.084),(28 25229.186),(29 27262.992),(30 27205.463),(31 29051.092),(32 29294.182),(33 31977.318),(34 32868.707),(35 35751.152),(36 36885.742),(37 40426.473),(38 41986.973),(39 45345.973),(40 46588.47),(41 49721.24),(42 50545.313),(43 53075.418),(44 54004.38),(45 56501.72),(46 57208.11),(47 59655.875),(48 60047.074),(49 62609.934),(50 62893.973),(51 65472),(52 66166.98),(53 68509.24),(54 68647.51),(55 70544.25),(56 70284.26),(57 71722.5),(58 70665.164),(59 71230.61),(60 69802.15),(61 70323.73),(62 69175.99),(63 69567.47),(64 68337.33),(65 69358.164),(66 69020.88),(67 70315.336),(68 69447.77),(69 70557.39),(70 69561.26),(71 70203.04),(72 69490.516),(73 70862.33),(74 70008.625),(75 71607.555),(76 71129.27),(77 72434.14),(78 72027.02),(79 73716.26),
(1 5039.0215),(2 8031.165),(3 10782.039),(4 10814.957),(5 13060.783),(6 13484.204),(7 14142.4375),(8 13841.601),(9 15167.636),(10 14557.284),(11 15688.65),(12 15050.462),(13 16278.334),(14 15303.211),(15 16023.834),(16 15443.905),(17 16782.238),(18 16091.186),(19 17430.494),(20 17324.645),(21 19182.813),(22 18987.576),(23 20720.379),(24 20663.727),(25 22654.906),(26 22688.113),(27 24326.863),(28 24517.648),(29 26681.3),(30 26973.018),(31 29009.768),(32 29605.883),(33 32534.225),(34 34027.094),(35 37205.438),(36 38614.516),(37 42442.984),(38 44895.785),(39 48932.06),(40 51118.355),(41 54614.004),(42 56018.44),(43 59060.543),(44 60368.066),(45 63302.72),(46 64652.848),(47 67577.53),(48 68467.62),(49 70970.96),(50 71425.61),(51 73562.9),(52 74288.18),(53 76525.37),(54 77149.68),(55 78980.695),(56 78875.45),(57 80030.484),(58 78860.4),(59 79100.79),(60 77846.5),(61 77820.24),(62 76370.79),(63 76270.88),(64 74582.96),(65 74869.836),(66 74562.82),(67 75669.79),(68 74711.39),(69 75247.484),(70 73913.695),(71 74556.305),(72 74126.41),(73 75319.56),(74 74382.61),(75 75064.484),(76 74177.71),(77 75378.625),(78 74826.914),(79 76219.805),
(1 5258.0435),(2 8427.454),(3 11224.351),(4 11082.37),(5 13185.63),(6 13521.441),(7 14254.038),(8 13945.411),(9 15237.792),(10 14545.599),(11 15535.001),(12 14860.852),(13 16190.706),(14 15145.224),(15 15748.481),(16 15102.796),(17 16388.56),(18 15740.042),(19 16705.729),(20 16510.678),(21 17996.076),(22 18164.01),(23 19996.172),(24 20081.295),(25 22017.43),(26 22133.908),(27 24075.451),(28 24059.617),(29 26057.596),(30 26208.078),(31 28242.156),(32 28851.885),(33 31397.01),(34 32272.389),(35 35003.86),(36 35887.844),(37 38926.164),(38 40488.426),(39 44072.785),(40 45875.45),(41 48998.92),(42 50220.703),(43 52740.47),(44 53730.01),(45 56133.184),(46 56908.547),(47 59119.48),(48 59449.094),(49 61848.188),(50 62336.645),(51 64381.105),(52 65044.605),(53 67212.02),(54 67268.695),(55 68825.36),(56 68668.23),(57 70023.33),(58 69490.03),(59 70279.305),(60 69374.83),(61 69851.52),(62 68798.84),(63 69016.52),(64 67812.15),(65 68690.59),(66 68529.5),(67 69646.97),(68 68868.68),(69 69975.26),(70 69145.18),(71 69971.914),(72 69293.266),(73 70439.195),(74 69871.88),(75 71038.87),(76 70606.195),(77 72157.19),(78 71914.49),(79 73264.47),
(1 4998.4507),(2 7913.939),(3 10680.468),(4 10643.742),(5 12719.984),(6 13168.463),(7 13787.751),(8 13398.929),(9 14637.409),(10 13901.309),(11 14789.701),(12 14130.777),(13 15222.157),(14 14375.268),(15 15107.589),(16 14584.074),(17 15758.246),(18 15177.564),(19 16243.929),(20 15950.895),(21 17446.861),(22 17489.527),(23 19160.143),(24 19343.447),(25 21161.139),(26 21020.04),(27 22711.523),(28 22748.219),(29 24910.318),(30 24828.143),(31 26589.5),(32 27042.27),(33 29536.164),(34 30345.35),(35 33018.414),(36 34152.22),(37 37353.777),(38 39036.25),(39 42679.94),(40 44272.91),(41 47095.375),(42 48351.586),(43 51161.258),(44 52366.344),(45 54998.49),(46 55587.51),(47 57807.87),(48 58302.938),(49 60917.832),(50 61440.16),(51 63480.117),(52 64409.25),(53 66767.92),(54 67171.98),(55 68883.01),(56 68704.26),(57 69915.21),(58 69161.52),(59 70067.56),(60 69370.08),(61 69790.38),(62 68362.516),(63 68760.25),(64 67656.484),(65 68124.516),(66 67295.875),(67 68199.2),(68 67638.15),(69 68563.805),(70 67637.16),(71 68633.42),(72 67955.62),(73 68644.69),(74 67424.086),(75 68284.58),(76 67468.88),(77 68718.42),(78 67962.55),(79 68500.54),
(1 5045.0127),(2 7927.2847),(3 10867.83),(4 11009.43),(5 13211.899),(6 13573.725),(7 14010.826),(8 13757.099),(9 14976.898),(10 14061.72),(11 15052.893),(12 14390.762),(13 15498.184),(14 14458.696),(15 15025.202),(16 14632.092),(17 15677.3),(18 14973.833),(19 16342.957),(20 16018.192),(21 17381.824),(22 17615.27),(23 19436.645),(24 19274.752),(25 20829.875),(26 20669.332),(27 22300.1),(28 22296.934),(29 24139.379),(30 24372.008),(31 26650.977),(32 27288.281),(33 29931.906),(34 30868.273),(35 33604.156),(36 34695.02),(37 37823.06),(38 39246.402),(39 42549.766),(40 44004.453),(41 46848.535),(42 48218.465),(43 50711.902),(44 51559.99),(45 53969.684),(46 54410.1),(47 56310.16),(48 56304.285),(49 58261.12),(50 58720.633),(51 60740.67),(52 61197.715),(53 62993.12),(54 62989.277),(55 64455.105),(56 64219.35),(57 65216.99),(58 64278.156),(59 64956.53),(60 64002.09),(61 64193.57),(62 62916.938),(63 63070.668),(64 61707.566),(65 61911.656),(66 61358.9),(67 62502.695),(68 62254.93),(69 63447.13),(70 62916.043),(71 63973.54),(72 63391.465),(73 64700.813),(74 64464.664),(75 65776.5),(76 65682.98),(77 67272.35),(78 67399.98),(79 68857.85),
(1 4823.097),(2 7497.794),(3 10476.712),(4 10658.97),(5 12781.479),(6 13022.69),(7 13607.911),(8 13298.08),(9 14549.958),(10 13851.655),(11 14771.245),(12 14047.512),(13 15354.586),(14 14458.374),(15 15283.776),(16 14955.486),(17 16071.359),(18 15551.047),(19 16978.371),(20 16837.082),(21 18491.082),(22 18642.883),(23 20430.613),(24 20450.121),(25 22137.79),(26 21993.432),(27 23552.768),(28 24020.365),(29 26373.889),(30 26641.725),(31 28680.074),(32 29322.19),(33 32019.775),(34 33244.156),(35 36099.734),(36 37268.926),(37 40781.105),(38 42756.875),(39 46548.996),(40 48429.723),(41 51340.45),(42 52346.97),(43 54872.85),(44 55770.51),(45 58098.9),(46 58677.848),(47 60587.77),(48 60514.504),(49 62534.844),(50 62802.332),(51 64578.297),(52 64783.902),(53 66303.46),(54 66306.57),(55 67664.984),(56 67324.01),(57 68717.96),(58 67985.9),(59 68314),(60 66828.11),(61 66763.98),(62 65046.598),(63 65157.48),(64 63755.836),(65 64175.063),(66 64023.266),(67 65574.01),(68 65290.73),(69 66217.89),(70 65677.26),(71 67091.54),(72 66895.914),(73 68448.04),(74 68305.766),(75 70053.27),(76 70053.86),(77 71464.89),(78 71077.79),(79 72213.5),
(1 4607.832),(2 7230.883),(3 9977.333),(4 10062.929),(5 12044.29),(6 12226.393),(7 12809.806),(8 12820.413),(9 14050.337),(10 13343.605),(11 14198.394),(12 13690.665),(13 14918.479),(14 13947.604),(15 14626.461),(16 14289.274),(17 15415.772),(18 14964.366),(19 16229.001),(20 16116.882),(21 17523.621),(22 17773.053),(23 19451.637),(24 19621.008),(25 21163.834),(26 21147.13),(27 22712.396),(28 22811.527),(29 24727.172),(30 24787.201),(31 26736.723),(32 27056.338),(33 29378.834),(34 30304.318),(35 32885.12),(36 34056.113),(37 37131.027),(38 38708.23),(39 42283.465),(40 43883.793),(41 46440.09),(42 47458.73),(43 49786.14),(44 50422.98),(45 52616.973),(46 53017.09),(47 54708.777),(48 54831.098),(49 56712.984),(50 56680.73),(51 58202.914),(52 58235.188),(53 59814.72),(54 59809.19),(55 61231.836),(56 60888.42),(57 61612.36),(58 60539.13),(59 60775.51),(60 59375.08),(61 59236.94),(62 57726.9),(63 57833.184),(64 56481.86),(65 56711.816),(66 56320.926),(67 57590.2),(68 57266.266),(69 58308.035),(70 57769.24),(71 58970.57),(72 58768.32),(73 60125.656),(74 60333.125),(75 61818.266),(76 61699.242),(77 63350.82),(78 63119.934),(79 64956.26),
(1 4480.8345),(2 6870.477),(3 9576.885),(4 9599.277),(5 11641.635),(6 11777.812),(7 12441.999),(8 12226.349),(9 13314.348),(10 12618.336),(11 13513.764),(12 12953.664),(13 14020.9),(14 13124.632),(15 14082.672),(16 13851.262),(17 14927.164),(18 14367.697),(19 15546.281),(20 15330.962),(21 16901.158),(22 16855.434),(23 18616.629),(24 18617.637),(25 20258.076),(26 20014.879),(27 21785.754),(28 21836.78),(29 23988.65),(30 24186.822),(31 26187.205),(32 26513.162),(33 28952.244),(34 29839.584),(35 32415.313),(36 33448.934),(37 36373.895),(38 37735.063),(39 41082.383),(40 42740.9),(41 46000.02),(42 47240.793),(43 49267.33),(44 50050.64),(45 52211.44),(46 52505.89),(47 54426.51),(48 54266.164),(49 56104.48),(50 55938.063),(51 57605.875),(52 57604.824),(53 59118.453),(54 58761.637),(55 60057.375),(56 59753.605),(57 60827.637),(58 59742.098),(59 59976.152),(60 58604.176),(61 58506.25),(62 56778.684),(63 56718.77),(64 55252.71),(65 55758.316),(66 55254.047),(67 56574.996),(68 56343.41),(69 57778.22),(70 57213.918),(71 58465.99),(72 58097.855),(73 59582.832),(74 59241.137),(75 60644.215),(76 60357.586),(77 61762.945),(78 61351.184),(79 62850.957),
(1 4451.7056),(2 6752.253),(3 9450.689),(4 9316.912),(5 11212.554),(6 11212.624),(7 12002.886),(8 11983.159),(9 13119.159),(10 12572.057),(11 13494.64),(12 12925.825),(13 14145.614),(14 13040.292),(15 13896.472),(16 13544.839),(17 14599.812),(18 13978.348),(19 15077.41),(20 14715.519),(21 16300.905),(22 16276.121),(23 17929.352),(24 17676.28),(25 19155.713),(26 19098.297),(27 20934.178),(28 20971.379),(29 22596.133),(30 22425.648),(31 24371.922),(32 24661.682),(33 26966.049),(34 27739.963),(35 30186.793),(36 30839.152),(37 33477.035),(38 34464.47),(39 37400.727),(40 38593.215),(41 41352.117),(42 42187.355),(43 44136.996),(44 44608.176),(45 46637.97),(46 46924.24),(47 48724.203),(48 48804.055),(49 50605.72),(50 50456.074),(51 51987.02),(52 51949.098),(53 53614.395),(54 53263.152),(55 54403.035),(56 53754.266),(57 54875.035),(58 53797.65),(59 54459.95),(60 53360.44),(61 53469.316),(62 52022.258),(63 52087.773),(64 50830.207),(65 51330.69),(66 51267.195),(67 52488.07),(68 52092.66),(69 53019.465),(70 52367.96),(71 53321.145),(72 52517.605),(73 53676.082),(74 53204.492),(75 54207.17),(76 53804.113),(77 55037.58),(78 54739.117),(79 56142.418),
