1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1087.2301),(2 1715.3005),(3 2187.3286),(4 2619.8708),(5 2991.1887),(6 3221.367),(7 3427.5723),(8 3534.022),(9 3690.627),(10 3804.235),(11 3807.4448),(12 3862.1611),(13 3976.0596),(14 3947.8682),(15 3976.5774),(16 4052.228),(17 4046.1982),(18 4055.0752),(19 4155.341),(20 4131.013),(21 4157.6675),(22 4272.277),(23 4269.336),(24 4268.367),(25 4315.8735),(26 4285.627),(27 4324.688),(28 4389.307),(29 4366.9453),(30 4387.985),(31 4392.124),(32 4426.152),(33 4511.0605),(34 4515.8174),(35 4511.9907),(36 4594.1836),(37 4537.315),(38 4578.9004),(39 4604.577),(40 4577.1396),(41 4603.8994),(42 4667.228),(43 4570.6753),(44 4537.9893),(45 4565.351),(46 4535.0815),(47 4545.369),(48 4587.114),(49 4573.776),(50 4570.5503),(51 4604.604),(52 4581.8794),(53 4638.9478),(54 4686.465),(55 4634.2456),(56 4670.883),(57 4721.257),(58 4695.4272),(59 4736.457),(60 4805.725),(61 4814.8853),(62 4831.333),(63 4849.7896),(64 4789.2744),(65 4804.689),(66 4831.6567),(67 4778.148),(68 4783.4224),(69 4814.2715),(70 4779.5864),(71 4819.026),(72 4874.275),(73 4836.016),(74 4779.979),(75 4811.46),(76 4766.4688),(77 4803.0713),(78 4839.3037),(79 4764.2944),
(1 1052.8768),(2 1635.4808),(3 2062.1887),(4 2412.3618),(5 2803.8132),(6 2987.606),(7 3175.6487),(8 3298.8079),(9 3439.3672),(10 3571.3147),(11 3611.6785),(12 3698.6484),(13 3779.7202),(14 3770.2808),(15 3823.109),(16 3848.337),(17 3860.3555),(18 3853.2236),(19 3931.547),(20 3908.6326),(21 3905.395),(22 4004.0618),(23 4009.0745),(24 4021.6743),(25 4046.6182),(26 4014.8652),(27 4047.3918),(28 4110.3853),(29 4134.552),(30 4220.7065),(31 4244.4053),(32 4230.4),(33 4291.234),(34 4287.738),(35 4338.8984),(36 4396.322),(37 4376.2676),(38 4429.479),(39 4445.7803),(40 4445.468),(41 4458.6816),(42 4520.811),(43 4394.8843),(44 4362.9644),(45 4414.2773),(46 4361.3086),(47 4334.064),(48 4362.67),(49 4321.2485),(50 4328.0327),(51 4394.4995),(52 4408.0664),(53 4471.751),(54 4510.9517),(55 4447.1743),(56 4473.7705),(57 4498.929),(58 4495.3306),(59 4507.1753),(60 4564.378),(61 4533.4976),(62 4570.337),(63 4588.2266),(64 4509.9116),(65 4507.1807),(66 4524.7705),(67 4514.7183),(68 4514.6343),(69 4554.928),(70 4493.739),(71 4489.2593),(72 4518.907),(73 4474.523),(74 4472.119),(75 4508.6226),(76 4498.047),(77 4581.502),(78 4573.5723),(79 4551.744),
(1 1068.6282),(2 1668.7198),(3 2091.7813),(4 2456.3572),(5 2788.5657),(6 3017.6926),(7 3211.3164),(8 3307.0444),(9 3442.3223),(10 3576.9788),(11 3658.8188),(12 3734.8328),(13 3846.6624),(14 3824.783),(15 3873.347),(16 3944.7637),(17 3929.7754),(18 3940.7424),(19 4002.6968),(20 3980.3408),(21 3995.1838),(22 4076.9556),(23 4068.709),(24 4071.0452),(25 4116.3843),(26 4125.111),(27 4161.6187),(28 4229.9766),(29 4250.7),(30 4303.7935),(31 4315.3125),(32 4287.0605),(33 4311.236),(34 4307.679),(35 4311.9707),(36 4319.3535),(37 4257.274),(38 4242.4536),(39 4271.9346),(40 4290.016),(41 4268.1704),(42 4303.107),(43 4210.982),(44 4173.9956),(45 4182.2476),(46 4089.6523),(47 4062.8018),(48 4090.4658),(49 4058.244),(50 4068.1414),(51 4156.133),(52 4139.5996),(53 4208.6763),(54 4263.0366),(55 4207.6426),(56 4217.059),(57 4263.4463),(58 4259.578),(59 4232.391),(60 4311.924),(61 4305.0044),(62 4361.0317),(63 4420.353),(64 4361.2183),(65 4377.6665),(66 4387.587),(67 4331.2256),(68 4329.787),(69 4385.5605),(70 4312.7183),(71 4341.056),(72 4361.9985),(73 4338.445),(74 4344.876),(75 4412.251),(76 4423.685),(77 4471.9614),(78 4548.4277),(79 4552.42),
(1 1054.4313),(2 1640.9905),(3 2078.8306),(4 2434.955),(5 2766.9863),(6 3002.3018),(7 3159.6646),(8 3294.9863),(9 3418.1238),(10 3549.0122),(11 3575.0972),(12 3635.8875),(13 3724.2786),(14 3714.6606),(15 3765.972),(16 3842.2104),(17 3852.6743),(18 3842.2344),(19 3898.496),(20 3843.9077),(21 3861.112),(22 3960.8484),(23 3969.901),(24 3964.606),(25 3998.2124),(26 3937.7778),(27 3977.84),(28 3980.248),(29 3980.6846),(30 4031.6484),(31 4059.1338),(32 4077.2266),(33 4102.868),(34 4096.9736),(35 4099.954),(36 4148.675),(37 4138.81),(38 4124.6772),(39 4133.641),(40 4143.005),(41 4173.3706),(42 4186.1567),(43 4150.0083),(44 4136.172),(45 4144.2144),(46 4104.214),(47 4093.0227),(48 4085.4988),(49 4041.9946),(50 4057.4897),(51 4110.3726),(52 4094.1748),(53 4136.7515),(54 4172.894),(55 4125.5933),(56 4114.8633),(57 4146.9907),(58 4109.6157),(59 4095.315),(60 4197.083),(61 4225.041),(62 4276.448),(63 4331.7534),(64 4316.2383),(65 4316.179),(66 4300.224),(67 4239.0767),(68 4237.1006),(69 4322.9854),(70 4253.5083),(71 4302.357),(72 4338.298),(73 4295.4136),(74 4276.472),(75 4359.7876),(76 4324.3794),(77 4379.78),(78 4455.666),(79 4380.1763),
(1 1047.8867),(2 1643.988),(3 2090.7832),(4 2446.8894),(5 2795.6228),(6 3031.8792),(7 3200.7754),(8 3290.0588),(9 3432.2246),(10 3563.2732),(11 3580.9587),(12 3635.8716),(13 3694.9126),(14 3693.9863),(15 3715.3467),(16 3780.7202),(17 3795.6047),(18 3830.4768),(19 3876.659),(20 3860.3918),(21 3853.694),(22 3902.745),(23 3888.8516),(24 3907.6033),(25 3911.2666),(26 3892.4856),(27 3905.3677),(28 3955.4482),(29 3957.9214),(30 3945.6016),(31 3958.426),(32 3965.9695),(33 4057.7324),(34 4067.6528),(35 4080.3494),(36 4114.1304),(37 4067.4897),(38 4028.309),(39 4038.4075),(40 4011.8203),(41 4005.437),(42 4060.3933),(43 4015.4907),(44 3995.9963),(45 4038.4675),(46 3988.614),(47 3958.2876),(48 3953.095),(49 3906.6782),(50 3916.1418),(51 3980.4163),(52 3966.6702),(53 4013.38),(54 4092.7026),(55 4085.838),(56 4095.3184),(57 4166.843),(58 4167.801),(59 4170),(60 4285.998),(61 4295.4277),(62 4339.175),(63 4372.4316),(64 4342.368),(65 4364.3926),(66 4399.8047),(67 4346.456),(68 4335.1733),(69 4431.841),(70 4377.263),(71 4409.128),(72 4449.5366),(73 4426.275),(74 4414.9683),(75 4420.4756),(76 4380.717),(77 4389.544),(78 4426.7197),(79 4327.677),
(1 1032.8835),(2 1614.5294),(3 2029.4319),(4 2396.7026),(5 2707.8247),(6 2922.31),(7 3091.8184),(8 3192.373),(9 3334.2544),(10 3463.1838),(11 3488.9753),(12 3572.3608),(13 3620.7197),(14 3596.2979),(15 3591.9985),(16 3644.762),(17 3683.6653),(18 3709.5105),(19 3763.9563),(20 3691.9492),(21 3698.6406),(22 3726.2568),(23 3702.209),(24 3723.1057),(25 3756.7393),(26 3719.3254),(27 3716.945),(28 3751.2197),(29 3737.077),(30 3759.3723),(31 3772.0203),(32 3775.5735),(33 3837.375),(34 3854.7212),(35 3882.597),(36 3943.6714),(37 3922.9243),(38 3931.0662),(39 3973.5403),(40 3951.5203),(41 3977.0107),(42 3985.423),(43 3968.435),(44 3984.9077),(45 4057.4924),(46 3964.96),(47 3917.3623),(48 3936.5369),(49 3901.9546),(50 3927.6292),(51 3968.1016),(52 3910.668),(53 3945.93),(54 4034.7537),(55 4016.4788),(56 4030.1548),(57 4063.736),(58 4029.1238),(59 3999.079),(60 4037.8008),(61 4018.2283),(62 4024.0154),(63 4007.0183),(64 3955.0586),(65 3945.769),(66 3988.109),(67 3953.4),(68 3963.8533),(69 4062.3093),(70 4015.683),(71 3999.3035),(72 4010.703),(73 3978.3508),(74 3940.6587),(75 4007.25),(76 3964.0613),(77 4043.1814),(78 4087.069),(79 4051.2234),
(1 1015.65125),(2 1543.9413),(3 1937.4497),(4 2263.1956),(5 2626.6052),(6 2825.404),(7 2975.002),(8 3060.452),(9 3166.313),(10 3286.505),(11 3296.7288),(12 3355.425),(13 3446.132),(14 3418.2852),(15 3467.532),(16 3567.0513),(17 3602.9841),(18 3652.7095),(19 3729.9136),(20 3693.2864),(21 3682.4348),(22 3765.4324),(23 3744.4185),(24 3758.2236),(25 3801.4517),(26 3793.6758),(27 3823.8552),(28 3836.5313),(29 3819.3308),(30 3845.428),(31 3858.8694),(32 3898.163),(33 3934.14),(34 3935.6223),(35 3928.0852),(36 3967.3538),(37 3917.2393),(38 3911.095),(39 3969.6887),(40 3922.7202),(41 3926.6829),(42 3966.475),(43 3955.8313),(44 3915.2185),(45 4001.3093),(46 3957.2957),(47 3950.049),(48 3971.4973),(49 3903.7764),(50 3917.8494),(51 3969.4448),(52 3913.2522),(53 3913.2366),(54 3974.45),(55 3982.3357),(56 4024.998),(57 4074.9065),(58 4044.8757),(59 4042.277),(60 4072.4956),(61 4041.786),(62 4022.1772),(63 4037.714),(64 3974.907),(65 4005.3813),(66 4047.0508),(67 4015.018),(68 4015.56),(69 4059.8772),(70 4028.462),(71 4041.9941),(72 4069.5422),(73 4032.306),(74 3984.849),(75 3983.2485),(76 3934.9407),(77 3953.3013),(78 3984.592),(79 3946.463),
(1 983.8573),(2 1527.975),(3 1943.7773),(4 2293.9377),(5 2581.9958),(6 2831.814),(7 3011.6794),(8 3111.5398),(9 3245.6611),(10 3394.8267),(11 3417.1936),(12 3491.7876),(13 3597.9832),(14 3564.377),(15 3589.6992),(16 3680.005),(17 3717.719),(18 3775.9749),(19 3855.5896),(20 3786.337),(21 3768.2195),(22 3799.4153),(23 3793.9575),(24 3808.0476),(25 3849.2146),(26 3837.6401),(27 3841.0188),(28 3839.925),(29 3838.115),(30 3852.7463),(31 3865.508),(32 3872.9182),(33 3930.2415),(34 3959.6262),(35 3949.0686),(36 3975.3574),(37 3939.3108),(38 3942.1345),(39 3947.0005),(40 3928.66),(41 3895.3496),(42 3939.4438),(43 3904.584),(44 3895.1855),(45 3933.3743),(46 3893.9883),(47 3875.9746),(48 3902.6821),(49 3839.024),(50 3833.703),(51 3897.264),(52 3870.123),(53 3923.584),(54 3953.786),(55 3935.7349),(56 3946.4133),(57 3997.288),(58 3989.9167),(59 3989.2412),(60 4012.67),(61 3974.446),(62 3954.5796),(63 3981.7104),(64 3890.8628),(65 3870.2744),(66 3915.0793),(67 3854.82),(68 3868.9927),(69 3882.625),(70 3902.1106),(71 3929.1545),(72 3967.7397),(73 3928.0938),(74 3923.2603),(75 3946.6013),(76 3919.5222),(77 3920.5166),(78 3941.4233),(79 3896.524),
(1 1010.61896),(2 1552.6803),(3 1949.6581),(4 2288.4436),(5 2619.7742),(6 2816.4807),(7 2980.0605),(8 3091.3552),(9 3192.38),(10 3312.9978),(11 3307.4958),(12 3340.5605),(13 3434.8313),(14 3446.712),(15 3466.9048),(16 3529.2778),(17 3553.7402),(18 3604.9924),(19 3690.9937),(20 3631.465),(21 3633.086),(22 3677.5215),(23 3683.8972),(24 3689.0667),(25 3733.8992),(26 3722.9917),(27 3752.0452),(28 3790.62),(29 3777.045),(30 3792.7283),(31 3769.331),(32 3780.651),(33 3842.7717),(34 3846.1333),(35 3897.043),(36 3964.6304),(37 3927.064),(38 3919.2612),(39 4000.712),(40 3961.7917),(41 3965.3535),(42 3948.6536),(43 3912.1567),(44 3890.2605),(45 3911.516),(46 3848.8174),(47 3791.111),(48 3787.9814),(49 3787.5596),(50 3786.8936),(51 3834.5083),(52 3839.5266),(53 3892.8352),(54 3937.7168),(55 3886.9568),(56 3927.296),(57 3978.707),(58 3951.62),(59 3949.5884),(60 3962.7297),(61 3910.3994),(62 3913.8098),(63 3917.497),(64 3812.6987),(65 3808.518),(66 3797.491),(67 3766.3418),(68 3771.8118),(69 3807.3335),(70 3781.9001),(71 3794.651),(72 3842.6409),(73 3833.018),(74 3866.9429),(75 3877.8186),(76 3872.3704),(77 3899.8276),(78 3909.628),(79 3843.4766),
(1 982.25006),(2 1507.5681),(3 1868.0629),(4 2196.168),(5 2546.8823),(6 2713.11),(7 2889.5388),(8 2980.467),(9 3089.475),(10 3212.8672),(11 3248.6548),(12 3302.8665),(13 3369.4373),(14 3352.1462),(15 3411.0522),(16 3523.2092),(17 3527.4956),(18 3570.459),(19 3593.1934),(20 3526.4067),(21 3501.3967),(22 3516.5168),(23 3483.962),(24 3502.3232),(25 3536.2131),(26 3536.7295),(27 3601.0122),(28 3666.7395),(29 3688.8408),(30 3722.0923),(31 3720.5593),(32 3723.9941),(33 3784.2031),(34 3823.385),(35 3848.9182),(36 3882.251),(37 3842.8022),(38 3841.7886),(39 3852.6028),(40 3793.268),(41 3747.5938),(42 3724.5857),(43 3659.9697),(44 3670.124),(45 3714.6362),(46 3690.2961),(47 3670.8938),(48 3700.5525),(49 3642.7036),(50 3666.3127),(51 3713.7524),(52 3693.4607),(53 3746.2402),(54 3771.5532),(55 3722.9287),(56 3753.95),(57 3801.6658),(58 3780.2532),(59 3780.5767),(60 3833.1484),(61 3817.9407),(62 3833.3794),(63 3838.3325),(64 3758.4727),(65 3747.4524),(66 3759.0212),(67 3716.3408),(68 3720.5364),(69 3760.9578),(70 3725.3381),(71 3747.938),(72 3785.8196),(73 3765.5146),(74 3773.7341),(75 3793.5051),(76 3725.2402),(77 3781.2766),(78 3781.9275),(79 3735.119),
(1 949.5968),(2 1441.6233),(3 1771.0935),(4 2076.3823),(5 2391.844),(6 2544.8088),(7 2711.6724),(8 2825.4663),(9 2919.4192),(10 3001.5657),(11 3038.9407),(12 3078.9426),(13 3158.8728),(14 3160.1865),(15 3204.7485),(16 3280.0737),(17 3295.1177),(18 3327.5107),(19 3376.462),(20 3350.2205),(21 3348.5833),(22 3385.915),(23 3328.2183),(24 3316.6235),(25 3401.5244),(26 3392.0732),(27 3432.6033),(28 3449.8499),(29 3450.3826),(30 3475.8726),(31 3481.4702),(32 3487.7622),(33 3530.9915),(34 3533.8843),(35 3538.284),(36 3574.2039),(37 3535.7212),(38 3526.9543),(39 3591.6885),(40 3553.357),(41 3525.7583),(42 3553.8477),(43 3502.6592),(44 3482.2615),(45 3513.6948),(46 3493.8528),(47 3496.8635),(48 3516.7126),(49 3497.8074),(50 3509.8684),(51 3538.481),(52 3524.58),(53 3562.6577),(54 3630.1362),(55 3604.6968),(56 3636.6787),(57 3661.8362),(58 3679.624),(59 3689.0945),(60 3767.093),(61 3730.0017),(62 3774.7842),(63 3808.0623),(64 3750.0176),(65 3766.0947),(66 3784.4434),(67 3764.494),(68 3779.6272),(69 3816.5227),(70 3764.4646),(71 3801.58),(72 3860.6174),(73 3823.8599),(74 3816.277),(75 3862.6992),(76 3823.0842),(77 3888.941),(78 3931.3257),(79 3907.587),
(1 940.5143),(2 1448.4109),(3 1775.5459),(4 2052.8955),(5 2331.9553),(6 2480.9011),(7 2624.8997),(8 2731.5144),(9 2845.062),(10 2948.7383),(11 2957.2073),(12 3013.3594),(13 3071.2317),(14 3075.2917),(15 3155.402),(16 3233.2954),(17 3268.0022),(18 3281.4705),(19 3328.7046),(20 3297.0103),(21 3282.6816),(22 3328.136),(23 3270.4434),(24 3274.2017),(25 3321.2083),(26 3275.7664),(27 3276.6267),(28 3350.0728),(29 3370.0593),(30 3415.1514),(31 3380.8037),(32 3407.1199),(33 3460.3682),(34 3466.6821),(35 3442.738),(36 3467.8193),(37 3412.7021),(38 3395.1213),(39 3431.367),(40 3398.8376),(41 3379.2935),(42 3431.2065),(43 3392.622),(44 3366.003),(45 3371.5933),(46 3379.4795),(47 3371.1765),(48 3389.4307),(49 3366.5862),(50 3321.709),(51 3373.7192),(52 3388.0425),(53 3438.6072),(54 3503.4502),(55 3479.741),(56 3531.7727),(57 3612.3008),(58 3605.0615),(59 3621.156),(60 3672.2375),(61 3633.6594),(62 3658.009),(63 3709.6433),(64 3655.2817),(65 3653.1064),(66 3697.2847),(67 3625.3384),(68 3617.4575),(69 3637.5833),(70 3592.6323),(71 3626.1013),(72 3698.3354),(73 3656.2566),(74 3645.0303),(75 3674.0098),(76 3677.1653),(77 3733.0054),(78 3784.2957),(79 3738.1448),
(1 947.63245),(2 1450.1704),(3 1804.1356),(4 2067.1594),(5 2320.6785),(6 2505.8652),(7 2612.2095),(8 2685.1858),(9 2790.5505),(10 2940.4792),(11 2963.519),(12 2995.5498),(13 3063.5696),(14 3043.9875),(15 3072.673),(16 3153.456),(17 3149.8787),(18 3197.5784),(19 3234.4458),(20 3200.3774),(21 3194.8765),(22 3219.251),(23 3220.539),(24 3209.7432),(25 3223.1082),(26 3223.9312),(27 3210.7395),(28 3281.7383),(29 3297.9846),(30 3322.417),(31 3301.586),(32 3325.5261),(33 3368.9465),(34 3397.0117),(35 3387.159),(36 3437.4678),(37 3420.8042),(38 3425.3618),(39 3458.1702),(40 3408.4216),(41 3418.943),(42 3447.2815),(43 3423.9902),(44 3396.2969),(45 3417.5635),(46 3407.2976),(47 3416.5386),(48 3448.0044),(49 3411.487),(50 3411.5078),(51 3447.26),(52 3438.1885),(53 3476.0852),(54 3507.4387),(55 3502.682),(56 3528.0076),(57 3603.1924),(58 3581.053),(59 3614.7378),(60 3674.9404),(61 3641.1455),(62 3676.784),(63 3723.5308),(64 3666.6946),(65 3664.806),(66 3690.2341),(67 3626.5269),(68 3623.2192),(69 3654.149),(70 3604.6965),(71 3607.192),(72 3641.2646),(73 3599.402),(74 3568.6265),(75 3619.731),(76 3612.1326),(77 3671.9626),(78 3698.5635),(79 3669.2976),
(1 924.21576),(2 1408.0359),(3 1748.152),(4 2022.9396),(5 2247.085),(6 2428.3286),(7 2566.7322),(8 2632.859),(9 2729.2717),(10 2882.1929),(11 2894.6973),(12 2923.3955),(13 2977.6777),(14 2951.8848),(15 2972.89),(16 3048.0671),(17 3057.4465),(18 3088.1929),(19 3153.8596),(20 3126.8962),(21 3116.0774),(22 3165.3003),(23 3190.195),(24 3194.8472),(25 3167.0496),(26 3165.6648),(27 3209.5793),(28 3266.064),(29 3260.4236),(30 3280.4756),(31 3275.5034),(32 3249.3457),(33 3281.9983),(34 3293.3608),(35 3304.1018),(36 3343.964),(37 3317.0078),(38 3320.391),(39 3358.0662),(40 3324.0977),(41 3301.862),(42 3325.241),(43 3259.5708),(44 3240.2454),(45 3251.1707),(46 3232.0286),(47 3218.3577),(48 3210.953),(49 3229.2383),(50 3235.3472),(51 3306.782),(52 3287.6848),(53 3321.6985),(54 3353.6985),(55 3342.8313),(56 3382.9937),(57 3445.6265),(58 3436.006),(59 3419.9316),(60 3464.4983),(61 3431.688),(62 3447.1848),(63 3484.8752),(64 3445.0718),(65 3464.5295),(66 3489.4458),(67 3468.333),(68 3483.5884),(69 3555.9824),(70 3516.5735),(71 3508.6619),(72 3510.879),(73 3483.1797),(74 3477.8203),(75 3508.8838),(76 3510.4775),(77 3531.6296),(78 3560.194),(79 3522.811),
(1 914.63043),(2 1388.4045),(3 1694.7421),(4 1973.1649),(5 2248.2444),(6 2409.646),(7 2526.6638),(8 2597.8123),(9 2702.9958),(10 2801.7769),(11 2794.6978),(12 2790.243),(13 2831.577),(14 2803.3225),(15 2806.0544),(16 2886.4902),(17 2880.3865),(18 2924.3677),(19 2969.1345),(20 2934.1572),(21 2954.906),(22 3042.025),(23 3051.771),(24 3041.6985),(25 3065.836),(26 3070.536),(27 3078.6033),(28 3170.689),(29 3175.4734),(30 3202.4421),(31 3200.087),(32 3201.0703),(33 3251.6306),(34 3241.842),(35 3255.2166),(36 3319.832),(37 3314.3975),(38 3306.4163),(39 3346.5198),(40 3311.4507),(41 3289.4563),(42 3333.9116),(43 3293.504),(44 3287.3118),(45 3328.4802),(46 3321.3728),(47 3312.008),(48 3301.7852),(49 3292.1084),(50 3311.5313),(51 3354.7783),(52 3309.2358),(53 3360.874),(54 3374.6592),(55 3344.55),(56 3382.8381),(57 3404.9814),(58 3400.6877),(59 3401.901),(60 3430.0532),(61 3426.0232),(62 3434.756),(63 3430.1821),(64 3392.2046),(65 3390.2483),(66 3398.9255),(67 3401.196),(68 3421.5037),(69 3455.5205),(70 3416.62),(71 3420.5447),(72 3452.5623),(73 3438.051),(74 3454.0413),(75 3446.3147),(76 3415.6758),(77 3443.0042),(78 3468.7556),(79 3440.6484),
(1 885.98895),(2 1341.3455),(3 1625.0266),(4 1904.3665),(5 2165.7783),(6 2298.2578),(7 2407.5674),(8 2504.3018),(9 2603.0037),(10 2709.8098),(11 2702.0725),(12 2705.8196),(13 2765.9856),(14 2731.7476),(15 2758.941),(16 2826.7334),(17 2836.4805),(18 2883.8179),(19 2917.7244),(20 2897.1365),(21 2922.6619),(22 2997.1235),(23 2976.5403),(24 2956.2598),(25 2983.4902),(26 2949.3733),(27 2967.2258),(28 2996.3225),(29 3025.9478),(30 3050.093),(31 3042.228),(32 3034.621),(33 3108.7007),(34 3101.7637),(35 3079.3),(36 3090.379),(37 3088.2502),(38 3090.4385),(39 3105.2473),(40 3081.671),(41 3062.1401),(42 3090.9534),(43 3065.2764),(44 3065.7026),(45 3124.645),(46 3083.4583),(47 3087.5945),(48 3106.537),(49 3059.1975),(50 3074.7734),(51 3120.7368),(52 3103.3586),(53 3143.6807),(54 3178.8271),(55 3188.6863),(56 3213.9043),(57 3249.2178),(58 3234.4526),(59 3230.78),(60 3257.4385),(61 3245.6863),(62 3236.85),(63 3240.8047),(64 3216.6775),(65 3217.8088),(66 3241.246),(67 3214.8904),(68 3209.0356),(69 3214.321),(70 3161.9385),(71 3185.9236),(72 3211.2224),(73 3187.5554),(74 3188.0154),(75 3218.2678),(76 3164.3586),(77 3222.0103),(78 3234.326),(79 3165.2627),
(1 894.9255),(2 1345.1733),(3 1646.6897),(4 1908.7098),(5 2171.036),(6 2316.142),(7 2484.418),(8 2515.9639),(9 2612.422),(10 2758.2969),(11 2751.7466),(12 2776.8164),(13 2850.4758),(14 2805.5396),(15 2809.7876),(16 2890.7637),(17 2879.0557),(18 2918.1099),(19 2999.7148),(20 2966.5593),(21 2999.2356),(22 3061.8232),(23 3048.4395),(24 3034.6953),(25 3048.7166),(26 3065.625),(27 3082.0544),(28 3123.9294),(29 3124.1162),(30 3167.3179),(31 3139.9348),(32 3127.762),(33 3179.9167),(34 3176.1768),(35 3176.0571),(36 3205.0464),(37 3176.297),(38 3159.8533),(39 3218.0366),(40 3163.693),(41 3170.4),(42 3183.7253),(43 3119.3113),(44 3133.7964),(45 3190.015),(46 3157.919),(47 3165.5764),(48 3184.5503),(49 3111.296),(50 3114.568),(51 3149.7986),(52 3138.869),(53 3214.3232),(54 3275.3337),(55 3293.7214),(56 3344.3555),(57 3394.402),(58 3417.5308),(59 3466.459),(60 3497.8647),(61 3497.0466),(62 3486.6924),(63 3464.0164),(64 3417.4558),(65 3403.1558),(66 3433.108),(67 3377.9849),(68 3383.0222),(69 3414.1465),(70 3365.871),(71 3379.5342),(72 3403.1228),(73 3307.0764),(74 3309.7627),(75 3327.6626),(76 3280.5347),(77 3320.8594),(78 3353.4402),(79 3304.0913),
