1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 132543.56),(2 350363.66),(3 735138.8),(4 1140684),(5 1676878.1),(6 2220630),(7 2854897.3),(8 3444966.8),(9 4146561.3),(10 4843720.5),(11 5685043.5),(12 6582182.5),(13 7635706.5),(14 8799037),(15 10184883),(16 11606072),(17 13128472),(18 14746492),(19 16324737),(20 17783534),(21 19279882),(22 20742718),(23 22450178),(24 23994480),(25 26090520),(26 27887952),(27 29853470),(28 31802064),(29 33739750),(30 35716590),(31 37607664),(32 39559284),(33 41426240),(34 43296476),(35 45051244),(36 46901136),(37 48611644),(38 50457388),(39 52221744),(40 54123890),(41 55935444),(42 57918224),(43 59865810),(44 61786268),(45 63732940),(46 65533140),(47 67304900),(48 68935780),(49 70715704),(50 72957610),(51 74637730),(52 76404440),(53 78181150),(54 79902230),(55 81818070),(56 83911624),(57 85859624),(58 87810056),(59 89857920),(60 91674600),(61 93621310),(62 95597560),(63 97607960),(64 100104424),(65 102531736),(66 104858410),(67 107319580),(68 109965290),(69 112988190),(70 115876320),(71 118747864),(72 121816856),(73 124699990),(74 127978370),(75 131561240),(76 134634770),(77 137587020),(78 140528140),(79 143155250),
(1 33618.76),(2 87474.81),(3 129940.125),(4 158904.92),(5 177237.81),(6 191325.34),(7 200104.69),(8 205846.84),(9 208639.75),(10 212473.02),(11 219339.16),(12 227384.97),(13 232160.97),(14 236151.94),(15 237782.16),(16 238970.64),(17 237477.39),(18 236410.38),(19 234364.95),(20 234898.94),(21 234773.77),(22 238721.97),(23 241953.2),(24 245999.11),(25 247541.92),(26 250488.77),(27 251058.39),(28 253015.31),(29 254615.63),(30 257303.4),(31 259501.89),(32 262195.22),(33 260184.84),(34 258487.39),(35 254714.28),(36 255776.13),(37 256703.89),(38 258940.55),(39 263051.34),(40 266040.9),(41 265863.56),(42 267190.88),(43 268196.03),(44 269637.25),(45 271332.06),(46 273332.03),(47 276364.6),(48 279058.16),(49 277661.72),(50 276041.13),(51 271089.94),(52 268973.25),(53 268656.88),(54 271097.28),(55 270710.16),(56 273234.03),(57 274883.97),(58 276130.78),(59 275210.2),(60 277788.7),(61 278015.88),(62 281158.34),(63 282698.3),(64 283830.7),(65 282213.53),(66 283147.9),(67 283444.2),(68 284873.66),(69 283551.97),(70 283847.97),(71 282040.34),(72 282631.66),(73 282786.5),(74 283348.9),(75 281419.97),(76 282511.8),(77 282199.6),(78 283517.8),(79 285247.8),
(1 32927.492),(2 86039.555),(3 127072.45),(4 155096.98),(5 172624.42),(6 186740.34),(7 195747.66),(8 205115.33),(9 212030.33),(10 219374.11),(11 224040.3),(12 230169.66),(13 233171),(14 236981.05),(15 237986.4),(16 239837.52),(17 237841.5),(18 236155.67),(19 232090.64),(20 234197.17),(21 235476.6),(22 238293.16),(23 239961.97),(24 243014.73),(25 247110.25),(26 249475.1),(27 250803.83),(28 252587.47),(29 251864.61),(30 253271.2),(31 252791.55),(32 253361.3),(33 252763.97),(34 254460.52),(35 254213.28),(36 254766.25),(37 255455.08),(38 256352.86),(39 256884.61),(40 259341.73),(41 259876.86),(42 260822.1),(43 260822.08),(44 263664.8),(45 264053.9),(46 264027.66),(47 262707.6),(48 262094.1),(49 258700.53),(50 259290.6),(51 259075.33),(52 260542.86),(53 261074.5),(54 261784.2),(55 260326.17),(56 262182.84),(57 261458.22),(58 261541.97),(59 259185.5),(60 260587.17),(61 260784.6),(62 261673.14),(63 260507.5),(64 261417.1),(65 260208.39),(66 260676.1),(67 260727.72),(68 262581.72),(69 263170.25),(70 264897.4),(71 264983.47),(72 266512.34),(73 267006.44),(74 268809.2),(75 269153.25),(76 268113.4),(77 266000.9),(78 265941.72),(79 265548.3),
(1 32478.57),(2 84707.46),(3 125851.35),(4 155203.4),(5 171790.61),(6 182879.33),(7 190518.44),(8 199354.97),(9 206157.22),(10 212523.02),(11 215755.53),(12 219718.78),(13 219582.44),(14 219228.73),(15 217175.42),(16 216985.19),(17 215937.36),(18 217048.66),(19 215847.94),(20 218521.5),(21 220182.56),(22 225256.98),(23 229841.42),(24 232828.1),(25 234102.7),(26 233557.22),(27 231790.17),(28 233288.61),(29 234007.23),(30 234347.06),(31 233897.52),(32 235585.69),(33 238826.9),(34 245013.02),(35 247949.19),(36 251542.03),(37 254422.5),(38 257812.67),(39 258296.23),(40 261082.52),(41 262463.03),(42 264143.78),(43 263828.22),(44 265296.84),(45 265016.13),(46 266891.22),(47 268077.4),(48 269073.53),(49 266572.06),(50 266916.3),(51 266959.56),(52 268717.16),(53 267263.8),(54 266728.78),(55 260978.56),(56 259199.73),(57 259227.83),(58 263730.44),(59 265097.7),(60 267128.4),(61 266050.66),(62 265587.88),(63 263054.84),(64 260257.89),(65 254925.16),(66 253909.94),(67 253408.58),(68 255969.83),(69 257672.39),(70 263351.63),(71 266205.72),(72 267085.1),(73 264195.13),(74 262370.47),(75 260881.98),(76 261078.75),(77 259905.69),(78 260158.34),(79 260139.6),
(1 31033.766),(2 80676.92),(3 120123.4),(4 148759.33),(5 167222.8),(6 181977.38),(7 188688.11),(8 194442.86),(9 201420.25),(10 208083.63),(11 211134.38),(12 214396.34),(13 214702.45),(14 215796.03),(15 216172.1),(16 217634.39),(17 218735.63),(18 219806.89),(19 217948.39),(20 217754.75),(21 220181.39),(22 227254.88),(23 232038.08),(24 236008.25),(25 237647.3),(26 237149.44),(27 234325.66),(28 234311.22),(29 233539.2),(30 233739.72),(31 234354.42),(32 236782.17),(33 238251.89),(34 239653.31),(35 238839.69),(36 240010.38),(37 240487.55),(38 243220.52),(39 245539.45),(40 248677.39),(41 251677.31),(42 252980.39),(43 250032.89),(44 250685.45),(45 250540.23),(46 250946.73),(47 248949.11),(48 247809.1),(49 246325.36),(50 249106.33),(51 248058.39),(52 247261.98),(53 243767.22),(54 243759.16),(55 241789.13),(56 241438.39),(57 240344.64),(58 242122.55),(59 245117.08),(60 251973.33),(61 255110),(62 255699.42),(63 251574.75),(64 247665.38),(65 242331.34),(66 242161.52),(67 243244.63),(68 245502.27),(69 246635.33),(70 250015.9),(71 250279.31),(72 251854.77),(73 252013.69),(74 252920.58),(75 253571.4),(76 253804.75),(77 252036.2),(78 251846.95),(79 249936.16),
(1 30795.637),(2 79928.87),(3 116928.72),(4 142724.02),(5 159742.27),(6 174556.27),(7 182349.1),(8 186948.64),(9 190920.56),(10 198253.73),(11 204197.34),(12 210858.16),(13 214910.4),(14 219979.5),(15 220706.3),(16 219276.64),(17 216274.6),(18 217497.05),(19 218038.5),(20 220865.9),(21 221744),(22 224594.92),(23 225258.6),(24 226602.7),(25 227990.81),(26 229041.84),(27 226914.58),(28 229340.1),(29 231163.67),(30 231132.8),(31 227586.56),(32 228353.75),(33 228638.81),(34 230706.27),(35 229476.44),(36 230444.1),(37 231478.44),(38 234275.53),(39 235570.9),(40 238218.89),(41 239338.2),(42 240197.6),(43 238404.11),(44 239215.02),(45 239343.8),(46 241552.17),(47 243210.6),(48 242850.39),(49 240738.3),(50 240642.48),(51 240860.9),(52 244173.31),(53 243894.48),(54 245077.03),(55 242131.89),(56 242055.53),(57 244736.33),(58 246707.86),(59 247922.16),(60 253021.58),(61 257275.77),(62 258689.17),(63 258082.95),(64 256496.31),(65 252098.75),(66 250205.39),(67 249206.56),(68 250351.94),(69 249512.28),(70 251125.06),(71 249886.23),(72 251314.81),(73 250853.73),(74 253662.08),(75 255602.08),(76 254904.36),(77 253273.58),(78 252047.7),(79 249364.67),
(1 30573.873),(2 79869.05),(3 117010.19),(4 140376.86),(5 155693.06),(6 168613.08),(7 174896.77),(8 179561.83),(9 183742.03),(10 188638.77),(11 191627.81),(12 195020.78),(13 196369.61),(14 198538.8),(15 196035.03),(16 194572.5),(17 192470.23),(18 194284.58),(19 195842.02),(20 198452.2),(21 200554.45),(22 205973.44),(23 209514.27),(24 211974.31),(25 210542.17),(26 208864.34),(27 207173.02),(28 208552.36),(29 210815.66),(30 212119.67),(31 210595.5),(32 212659.61),(33 213854.17),(34 217888.06),(35 221935.81),(36 226889.22),(37 228952.61),(38 229964.66),(39 229076.94),(40 231440.03),(41 232349.17),(42 235491.53),(43 236075.56),(44 237557.83),(45 239863.5),(46 242144.06),(47 242214.86),(48 242563.98),(49 241368),(50 240802.88),(51 240822.28),(52 242122.52),(53 242079.5),(54 242159.28),(55 239441.11),(56 240323.4),(57 239347.16),(58 239490.77),(59 237583.03),(60 239048.66),(61 239656.05),(62 239276.31),(63 238228.44),(64 239433.1),(65 237765.48),(66 235952.78),(67 234448.73),(68 233570.98),(69 231995.36),(70 234306.67),(71 234683.95),(72 237766.31),(73 237854.61),(74 239017.22),(75 240868.03),(76 241734.53),(77 237570.22),(78 235851.81),(79 232863.64),
(1 30617.969),(2 78609.91),(3 114600.56),(4 138701.55),(5 153472.14),(6 165583.63),(7 172503.17),(8 179147.08),(9 185039.25),(10 189136.16),(11 193227.72),(12 199237.4),(13 202705.86),(14 205561.53),(15 203732.31),(16 203818.14),(17 202997.88),(18 205031.4),(19 207738.9),(20 212077.83),(21 213134.64),(22 215860.61),(23 215816.36),(24 217759.89),(25 217743.8),(26 218273.66),(27 217462.97),(28 217651.84),(29 216637.89),(30 214768.03),(31 211178.03),(32 212959.17),(33 213990.2),(34 216943.3),(35 218621.6),(36 220582.08),(37 220599.5),(38 223897.34),(39 226215.52),(40 229865.25),(41 230066.5),(42 231314.63),(43 230344.7),(44 231443.3),(45 228825.64),(46 227035.69),(47 225283.33),(48 225168.1),(49 221941.19),(50 219414.16),(51 217174.13),(52 219045.52),(53 218340.7),(54 218835.89),(55 217926.14),(56 220405.28),(57 219665.56),(58 218717.44),(59 216994.34),(60 218513.67),(61 219550.56),(62 219003.72),(63 214746.28),(64 214043.39),(65 211776.86),(66 210051.42),(67 207506.08),(68 208766.38),(69 210660.38),(70 214593.3),(71 217881.9),(72 222996.36),(73 223579.23),(74 224215.34),(75 222944.36),(76 221707.52),(77 220045.1),(78 221286.08),(79 222694.36),
(1 30216.666),(2 77265.71),(3 115157.54),(4 141228.6),(5 155997.5),(6 167280.53),(7 173366.25),(8 177503.48),(9 182093.47),(10 189043.98),(11 194632.08),(12 196651.6),(13 195357.11),(14 196907.83),(15 198120.8),(16 199868.03),(17 198693.64),(18 201424.05),(19 204061.52),(20 207480.95),(21 208497.47),(22 210668.33),(23 211659.6),(24 214609.53),(25 216227.53),(26 217320.73),(27 215335.81),(28 216622.06),(29 217126.78),(30 218978.8),(31 216917.98),(32 218814.42),(33 218521.19),(34 221005.55),(35 221735.34),(36 221737.84),(37 222247.17),(38 224045.44),(39 224365.8),(40 224579.78),(41 224879.03),(42 227552.17),(43 227787.56),(44 228987.06),(45 228934.75),(46 230451.31),(47 229400.17),(48 229651.9),(49 227665.81),(50 227877.6),(51 228948.03),(52 231887.27),(53 228982.72),(54 228565.25),(55 227106.36),(56 228656.81),(57 228025.81),(58 228780.73),(59 228660.73),(60 229016.06),(61 226105.73),(62 225659.66),(63 224664.05),(64 225752.33),(65 224264.7),(66 222083.56),(67 220275.4),(68 221513.02),(69 221591),(70 224548.8),(71 224749.53),(72 225709.25),(73 224189.34),(74 225134.67),(75 223580.92),(76 223551.1),(77 223630.94),(78 224425.47),(79 224888.84),
(1 29524.81),(2 75078.99),(3 108173.27),(4 129860.086),(5 144382.42),(6 155952.67),(7 162037.3),(8 166737.8),(9 170208.42),(10 175889.64),(11 179169.66),(12 182477.56),(13 183391.92),(14 184109.6),(15 182987.05),(16 181979.16),(17 181281.47),(18 184483.75),(19 186993.22),(20 189896.94),(21 189790.36),(22 190697),(23 193053.95),(24 197576.64),(25 201312.75),(26 204798.17),(27 206053.86),(28 209554.42),(29 211796.34),(30 213839.69),(31 211595.92),(32 210490.27),(33 207805.67),(34 208395.67),(35 208711.6),(36 209414.31),(37 210472.8),(38 213711.17),(39 214890.27),(40 216036.03),(41 218682.13),(42 222841.73),(43 221373),(44 219564.47),(45 218068.9),(46 220040.19),(47 221060.17),(48 223683),(49 221476.08),(50 221898),(51 221241.42),(52 221470.05),(53 219612.97),(54 220362.19),(55 218725.95),(56 217583.31),(57 214778.2),(58 212601.25),(59 210239.8),(60 209794.56),(61 208837.28),(62 209681.45),(63 210118.8),(64 212028.81),(65 210933.45),(66 209099.73),(67 208054.47),(68 211091.47),(69 212598.06),(70 216131.25),(71 219317.98),(72 222559.86),(73 221839.97),(74 220955.45),(75 221648.77),(76 224354.7),(77 224535.55),(78 226332.42),(79 228586.45),
(1 28045.438),(2 70625.164),(3 101447.64),(4 122951.97),(5 137485.95),(6 148292.56),(7 151548.97),(8 155086.36),(9 158472.03),(10 164127.45),(11 167099.8),(12 171297.05),(13 173853.53),(14 174768.42),(15 173616.16),(16 174625.06),(17 173800.22),(18 174941.95),(19 175421.14),(20 178425.89),(21 178248.56),(22 178472.83),(23 177815.16),(24 177112.67),(25 178417.7),(26 180974.73),(27 185447.77),(28 189102.08),(29 190849.19),(30 193451.4),(31 191402.25),(32 188786.64),(33 183978.66),(34 183477.27),(35 183296.66),(36 184670.69),(37 186772.4),(38 190664.16),(39 192351.25),(40 195134.3),(41 197073.39),(42 199886.36),(43 199961.77),(44 200648.66),(45 199643.02),(46 200554.13),(47 199960.75),(48 200570.13),(49 198655.3),(50 199096.83),(51 197604.47),(52 198640.64),(53 198439.7),(54 201941.23),(55 203435.75),(56 206439.19),(57 206760.83),(58 208139.78),(59 207620.5),(60 208031.72),(61 208037.98),(62 207751.55),(63 206782.38),(64 207958.88),(65 206966.23),(66 207127.34),(67 207602.02),(68 209002.75),(69 209157.25),(70 212058.08),(71 211373.7),(72 211720.06),(73 211798),(74 215205.88),(75 217404.61),(76 218858.77),(77 219513.78),(78 222623.25),(79 221520.05),
(1 26768.621),(2 67295.41),(3 96289.664),(4 115923.44),(5 128888.76),(6 138172.63),(7 141554.3),(8 146591.81),(9 151653.48),(10 158357.42),(11 161638.94),(12 166358.48),(13 166799.03),(14 167378.1),(15 165672.81),(16 167540.55),(17 167969.97),(18 169493.08),(19 170754.61),(20 173025.73),(21 173592.33),(22 175154.47),(23 176287.5),(24 178149.67),(25 180380.73),(26 182844.64),(27 184069.88),(28 187007.6),(29 189184.45),(30 191515.94),(31 190151.64),(32 188875.02),(33 186137.4),(34 186932.61),(35 187191.31),(36 189106.28),(37 191728.5),(38 196285.52),(39 197741.81),(40 199411.22),(41 199718.27),(42 201464.9),(43 199647.16),(44 198411.27),(45 197193.2),(46 198554.98),(47 198922.97),(48 201055.52),(49 199518.33),(50 199254.1),(51 197667.23),(52 198707.14),(53 199492.84),(54 203265.84),(55 203395.56),(56 201779.16),(57 198598.47),(58 198435.17),(59 197074.4),(60 195950.4),(61 194612.19),(62 196359.7),(63 197292.53),(64 198779.45),(65 198116.92),(66 199017.31),(67 196961.52),(68 196186.7),(69 195099.13),(70 196972.63),(71 197078.5),(72 199780.42),(73 200610.28),(74 202974.77),(75 204971.52),(76 206616.55),(77 205415.42),(78 205087.63),(79 202747.34),
(1 27045.238),(2 68677.22),(3 98378.77),(4 116381.65),(5 127013.984),(6 134989.97),(7 137805.86),(8 142960.1),(9 148869.66),(10 154477.05),(11 155001.13),(12 156976.92),(13 157785.56),(14 159251.1),(15 159186.45),(16 161393.92),(17 163098.86),(18 165891.3),(19 165836.28),(20 168544.33),(21 171314.34),(22 173437.3),(23 174615.83),(24 177301.34),(25 180900.06),(26 184010.72),(27 183607.05),(28 184064.77),(29 182901.81),(30 182508.52),(31 180104.28),(32 177976.13),(33 175748.55),(34 176158.28),(35 175447.19),(36 177745.02),(37 180153.89),(38 183780.9),(39 185197.58),(40 187814.83),(41 188473.05),(42 189946.77),(43 189274.95),(44 188871.03),(45 187244.77),(46 187259.83),(47 188223.69),(48 191134.2),(49 192536.17),(50 193323.9),(51 193060.97),(52 195608.27),(53 195791.45),(54 195472.83),(55 193089.61),(56 191729.42),(57 188288.6),(58 186324.67),(59 184358.92),(60 185216.6),(61 186265.02),(62 189281.3),(63 190271.89),(64 192078.16),(65 192038.14),(66 190914.9),(67 186506.58),(68 184302.03),(69 183141.02),(70 183535.05),(71 183692.05),(72 186517.19),(73 188322.58),(74 192643.58),(75 195575.53),(76 196337.16),(77 194693.66),(78 194109.11),(79 191557.89),
(1 26627.514),(2 65737.22),(3 93042.57),(4 110422.12),(5 122004.414),(6 132201.44),(7 137729.61),(8 141515.31),(9 144590.4),(10 149945.38),(11 153959.22),(12 159780.5),(13 163969.75),(14 165857.19),(15 165172.95),(16 165123),(17 164383.44),(18 167176.48),(19 168613.75),(20 169851.6),(21 167032.95),(22 165728.38),(23 166230.97),(24 168999.78),(25 171728.45),(26 173845.86),(27 175747.48),(28 180283.9),(29 181964.58),(30 182984.77),(31 182116.13),(32 181647.55),(33 180888.7),(34 182412.86),(35 182949.56),(36 184103.69),(37 183789.19),(38 186617.44),(39 187087.69),(40 187705.44),(41 186814.83),(42 186472.4),(43 185003.3),(44 185298.23),(45 185272.88),(46 186354.52),(47 188400.56),(48 191031.98),(49 188928.23),(50 189167.69),(51 188228.31),(52 189284.45),(53 189438.8),(54 191046.7),(55 191035.64),(56 191809.89),(57 190774.47),(58 190346.58),(59 188049.97),(60 188062.89),(61 188439.53),(62 189580.1),(63 190214.33),(64 191869.33),(65 192268.53),(66 191121),(67 189467.44),(68 190575.81),(69 190086.53),(70 191052.64),(71 192084.45),(72 195697.34),(73 197311.1),(74 198318.22),(75 197379.02),(76 196860.63),(77 195187.64),(78 196135.72),(79 194210.66),
(1 25914.3),(2 63542.59),(3 89058.75),(4 105742.13),(5 117073.266),(6 125715.164),(7 130909.625),(8 137263.98),(9 143637.48),(10 150001.22),(11 155435.28),(12 160919.89),(13 162527.25),(14 164208.98),(15 164790.27),(16 167703.6),(17 168879.11),(18 170720.27),(19 171761.31),(20 172350.44),(21 168829.67),(22 169022.28),(23 170940.1),(24 172532.81),(25 171928.95),(26 172035.45),(27 170923.22),(28 173208.81),(29 174076.6),(30 172849.28),(31 169526.7),(32 166409.73),(33 165213.81),(34 167643.22),(35 169331.52),(36 171442.95),(37 173587.89),(38 177608.45),(39 179395.56),(40 180159.97),(41 180058.02),(42 180033.33),(43 178191.22),(44 176827.19),(45 174977.5),(46 175269.98),(47 174786.08),(48 175838.53),(49 176041.13),(50 180974.67),(51 183509.78),(52 186178.06),(53 185634.45),(54 185835.55),(55 185232.5),(56 185722.86),(57 183480),(58 182894.22),(59 182666.64),(60 184257.48),(61 185112.86),(62 186110.5),(63 183963.31),(64 182047.72),(65 180936.78),(66 180079.95),(67 178564.11),(68 178396.27),(69 178962.17),(70 181101.4),(71 182441.28),(72 186483.39),(73 186779.61),(74 186755.13),(75 188012.78),(76 189483.38),(77 189308.16),(78 189022.56),(79 186840.84),
(1 26882.24),(2 66124.75),(3 92779.65),(4 110622.68),(5 122406.47),(6 130860.15),(7 135602.36),(8 141804.64),(9 145706.95),(10 151072.6),(11 156232.22),(12 161342.64),(13 164355.25),(14 166308.88),(15 166807.86),(16 170176.64),(17 170339.27),(18 170778.97),(19 169836.84),(20 168608.27),(21 164497.17),(22 164460.8),(23 164463),(24 165298.9),(25 165267.52),(26 166188.42),(27 166605.1),(28 168403.5),(29 168159.44),(30 168545.31),(31 167144.28),(32 166880.83),(33 166314),(34 168375.97),(35 171068.83),(36 173047.9),(37 172855.53),(38 174802.17),(39 176267.22),(40 176569.8),(41 175622.95),(42 177208.56),(43 177677.42),(44 178457.4),(45 177465.06),(46 176279.88),(47 174217.58),(48 174683.02),(49 172846.44),(50 174043.97),(51 173276.19),(52 174940.69),(53 174797.2),(54 176946.7),(55 178282.6),(56 180446.72),(57 180496.97),(58 182686.64),(59 182333.67),(60 182784.48),(61 182917.39),(62 185328.23),(63 185594.69),(64 185103.39),(65 183074.83),(66 182860.11),(67 181746.89),(68 182977.34),(69 181568.7),(70 182626.3),(71 182254.2),(72 184504.56),(73 184422.52),(74 185053.7),(75 188413.94),(76 191464.69),(77 191973.03),(78 193104.86),(79 191701.89),
(1 25651.766),(2 63081.973),(3 89257.93),(4 106357.88),(5 115870.89),(6 123270.76),(7 127055.96),(8 133742.95),(9 139497.31),(10 145552.84),(11 150103.83),(12 154476.6),(13 155063),(14 154641.08),(15 152514.25),(16 153120.58),(17 154833.83),(18 157348.13),(19 157841.8),(20 159637.44),(21 157487.47),(22 158130.22),(23 157799.55),(24 157654.94),(25 159250.6),(26 160841.83),(27 161539.6),(28 162315.81),(29 161686.88),(30 161812.06),(31 159909.89),(32 160247.16),(33 159534.4),(34 160389.03),(35 160651.33),(36 162286.44),(37 162834.1),(38 165183.83),(39 165322.36),(40 165875.16),(41 165188.05),(42 166511.64),(43 167299.67),(44 167774.03),(45 166368.11),(46 165530.44),(47 162319.02),(48 161094.2),(49 158395.63),(50 159692.67),(51 159399.34),(52 160479.33),(53 160332.13),(54 162517.56),(55 163330.13),(56 164811.8),(57 163615.98),(58 165627.31),(59 168739.89),(60 171430.38),(61 172342.33),(62 174958.06),(63 173217.6),(64 172345.4),(65 171629.48),(66 175478.03),(67 178221.64),(68 180643.81),(69 179539.98),(70 178867),(71 176577.4),(72 175489.28),(73 174498.95),(74 175455.25),(75 176712.31),(76 178331.84),(77 178728.02),(78 180635.36),(79 180311.88),
(1 25076.61),(2 62452.582),(3 90065.375),(4 108573),(5 119711.04),(6 127826.484),(7 132974.22),(8 138177.02),(9 144051.52),(10 150326.9),(11 153143.11),(12 156467.66),(13 154987.86),(14 153463.73),(15 151007.61),(16 152827.34),(17 153515.92),(18 156014.6),(19 156907.92),(20 158413.7),(21 156698.6),(22 157320.31),(23 156667.95),(24 156969.11),(25 158058.61),(26 160942.61),(27 163312.58),(28 165019.72),(29 164259.33),(30 164380.06),(31 162579.9),(32 164174.75),(33 164730.53),(34 165885.4),(35 166087.23),(36 167089.88),(37 167827.47),(38 170909.86),(39 171069.61),(40 173023.47),(41 173511.1),(42 175137),(43 173911.5),(44 173563.67),(45 173741.7),(46 173548.27),(47 170890.89),(48 168784.11),(49 166175.5),(50 168737.36),(51 168379.81),(52 170297.98),(53 169517.22),(54 171468.23),(55 171688.4),(56 171708.03),(57 171845.53),(58 175490.88),(59 177516.13),(60 177710.58),(61 175409.61),(62 174595.58),(63 171960.38),(64 173401.22),(65 175056.66),(66 178200.69),(67 177731.94),(68 178160.98),(69 175962.98),(70 175094.53),(71 173909.16),(72 176614.92),(73 178585.22),(74 179897.28),(75 179883.69),(76 179150.02),(77 178665.14),(78 178709.48),(79 177945.47),
(1 25312.617),(2 61765.016),(3 87338.47),(4 105484.164),(5 117197.875),(6 125152.164),(7 130127.49),(8 136389.61),(9 141134.63),(10 145782.56),(11 147639.08),(12 149947.97),(13 149907.86),(14 148500.97),(15 146799.4),(16 147666.11),(17 147101.25),(18 149617.69),(19 150556.86),(20 153246.78),(21 152762.67),(22 153565.6),(23 153206.78),(24 153618.14),(25 154713.67),(26 157020.7),(27 158811.47),(28 160832.53),(29 162312.14),(30 164301.64),(31 162644.64),(32 162615.06),(33 161074.19),(34 160099.39),(35 158034.02),(36 158002.48),(37 158251.22),(38 161398.44),(39 162439.66),(40 165197.27),(41 166646.42),(42 168700.45),(43 169291.47),(44 169909.38),(45 168585.52),(46 166722.3),(47 164101.64),(48 163721.5),(49 162117.7),(50 162589.4),(51 161985.69),(52 163624),(53 162048.11),(54 162205.72),(55 161199.7),(56 161761.61),(57 161067.64),(58 163498.73),(59 163269.03),(60 163448.1),(61 162971.73),(62 163764.66),(63 162884.33),(64 164213.94),(65 164371.25),(66 165878.69),(67 164984.23),(68 165430.45),(69 165102.4),(70 166946.77),(71 168277.25),(72 171084.11),(73 171192.17),(74 171337),(75 173392.97),(76 174169.5),(77 174693),(78 177080.45),(79 175502.33),
