1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 269539.78),(2 909428.94),(3 1874665.9),(4 3147878),(5 4636596),(6 6351568.5),(7 8217545.5),(8 10166132),(9 12215216),(10 14369777),(11 16664520),(12 18878658),(13 21021994),(14 22967072),(15 24835546),(16 26524624),(17 28026928),(18 29366784),(19 30428862),(20 31291448),(21 32174090),(22 33010454),(23 34108268),(24 34970596),(25 35618148),(26 35992668),(27 36049948),(28 36003324),(29 35701204),(30 35484140),(31 35262684),(32 34520596),(33 33565600),(34 32617922),(35 31944274),(36 31568464),(37 31478666),(38 31415960),(39 31460134),(40 32001482),(41 32860464),(42 34153664),(43 35584852),(44 37157164),(45 38731412),(46 40640068),(47 42384868),(48 44089720),(49 45809100),(50 47272724),(51 48609936),(52 49932220),(53 51281572),(54 52670612),(55 53927620),(56 55130290),(57 56435744),(58 57777036),(59 59269652),(60 60815532),(61 62526572),(62 64283780),(63 66156096),(64 68201550),(65 70298090),(66 72531930),(67 75049760),(68 77658640),(69 80192510),(70 83087016),(71 86160390),(72 88927880),(73 91617090),(74 94230216),(75 96367864),(76 97894530),(77 98756260),(78 99305730),(79 99444840),
(1 46572.16),(2 100582.66),(3 135542.78),(4 164217.19),(5 192587.17),(6 217046.94),(7 232599.55),(8 239319.92),(9 249129.6),(10 253792.1),(11 251683.92),(12 252347.7),(13 256516.11),(14 263294.47),(15 267227.22),(16 270990.13),(17 281278.13),(18 289075.4),(19 289069.75),(20 288997.4),(21 291456.28),(22 293928.28),(23 295187.63),(24 295622.1),(25 295039.75),(26 295442.38),(27 298831),(28 303681.22),(29 305731.53),(30 307215.84),(31 306067.44),(32 307129.13),(33 309139.44),(34 308393.63),(35 308914.4),(36 311372.5),(37 314902.13),(38 315991.4),(39 316518.56),(40 318090.72),(41 321863.28),(42 324260.5),(43 326917.66),(44 327597.75),(45 331303.9),(46 337765.63),(47 347573.63),(48 358539.8),(49 366117.88),(50 373683.38),(51 380356.53),(52 385978.38),(53 386055.4),(54 383497.6),(55 376634.03),(56 374533.75),(57 372374.6),(58 371172.47),(59 371403.78),(60 375176.25),(61 381919.7),(62 382870.03),(63 381566.63),(64 384508.9),(65 386552.34),(66 387159.75),(67 387513.28),(68 384954.94),(69 381674.88),(70 380761.8),(71 382266.5),(72 384252.2),(73 388942.1),(74 390651.22),(75 392323.13),(76 394861.5),(77 392314.9),(78 389837.75),(79 385820.7),
(1 43320.11),(2 93025.586),(3 127231.12),(4 158086.5),(5 185477.13),(6 208605.78),(7 226626.3),(8 234927.78),(9 238912.61),(10 241513.4),(11 240821.27),(12 242063.42),(13 243558.58),(14 248451.3),(15 253813.88),(16 259808.98),(17 269240.84),(18 277347.44),(19 281542.66),(20 288301.16),(21 292637.38),(22 294097.13),(23 293926.28),(24 292697.06),(25 291855.03),(26 291927.03),(27 296999.44),(28 303402.53),(29 307378.88),(30 309625.44),(31 307666.38),(32 303283.06),(33 302782.9),(34 303575.34),(35 303875.5),(36 309148.56),(37 315003.72),(38 318781.34),(39 321226.34),(40 323034.94),(41 322855.25),(42 318794.16),(43 319494.28),(44 317780.63),(45 318817.72),(46 323397),(47 328265),(48 331301.4),(49 332213.4),(50 332495.13),(51 333780.72),(52 336172.66),(53 337715.28),(54 341213.72),(55 344106.13),(56 342690.66),(57 340854.94),(58 342039.88),(59 340282),(60 339392.47),(61 339174.8),(62 340358.53),(63 344362.94),(64 347163.8),(65 348390.88),(66 351755.72),(67 354671.53),(68 353902.78),(69 353577.25),(70 354272.56),(71 354266.56),(72 355819.53),(73 358133.63),(74 360825),(75 363949.13),(76 364028.22),(77 361129.8),(78 358905.97),(79 355390.44),
(1 42766.38),(2 90893.625),(3 123661.63),(4 153490.94),(5 179574.23),(6 203182.34),(7 217921.11),(8 226914),(9 231372.13),(10 234488.16),(11 236653.67),(12 235629.67),(13 236424.83),(14 242306.28),(15 247185.03),(16 251832.83),(17 258602.97),(18 266926.75),(19 272858.4),(20 278741.9),(21 286214.75),(22 288538.72),(23 288523.8),(24 287274.78),(25 288689.34),(26 290959.1),(27 295371.5),(28 300842.25),(29 301509.66),(30 301250.44),(31 300534.28),(32 300000.63),(33 300921.47),(34 304922.88),(35 308225.03),(36 310172.25),(37 314763.7),(38 318466.34),(39 321268.28),(40 322088.72),(41 321425.4),(42 321637.75),(43 323756.97),(44 323835.13),(45 325181.3),(46 327392.75),(47 328996.84),(48 331199.2),(49 334725.53),(50 339327.56),(51 345107.25),(52 347429.38),(53 347970.22),(54 350209.22),(55 352045.63),(56 351045.16),(57 350844.78),(58 349917.53),(59 345419.4),(60 341353.6),(61 340497.8),(62 341891.03),(63 342587.56),(64 345653.7),(65 347185.06),(66 348010.72),(67 347867.1),(68 346168.9),(69 345578.66),(70 344758.03),(71 343227.72),(72 340973.25),(73 339038.66),(74 339289.5),(75 340807.16),(76 341821.63),(77 342213.9),(78 342150.7),(79 342871.84),
(1 42854.6),(2 91491.89),(3 127916.92),(4 158192.03),(5 187054.05),(6 214890.27),(7 231273.08),(8 245831.72),(9 256330.53),(10 261616.9),(11 263331.28),(12 264135.75),(13 267035.5),(14 271904.63),(15 277497.5),(16 284140.78),(17 288511.22),(18 293813.75),(19 297068.7),(20 300269.97),(21 303149.4),(22 307025.44),(23 305353.9),(24 304499.06),(25 308296.06),(26 315466.56),(27 321993.22),(28 328462.78),(29 332623.88),(30 332512),(31 331792.38),(32 331852.78),(33 334814.7),(34 338437.5),(35 342172.9),(36 345288.97),(37 346755.3),(38 347525.1),(39 350887.47),(40 353500.2),(41 356064.3),(42 357012.25),(43 354683.22),(44 352056.56),(45 351705.8),(46 350791.03),(47 352938.2),(48 356353.72),(49 359667.88),(50 365029.2),(51 369643.8),(52 366391.53),(53 359018.4),(54 357592.53),(55 360720.84),(56 361748.4),(57 360426.8),(58 361537.5),(59 359770.75),(60 359848.78),(61 358212.1),(62 357976.1),(63 359249.2),(64 357924.75),(65 355309.84),(66 352351.53),(67 350567.53),(68 348571.03),(69 347767.53),(70 348524.8),(71 347705.34),(72 346124.3),(73 343219.7),(74 341595.28),(75 338414.78),(76 338840.8),(77 335845.94),(78 334663.47),(79 332780.84),
(1 43493.875),(2 90549.17),(3 127541.32),(4 155294.39),(5 178887.38),(6 196921.73),(7 208319.02),(8 218348.02),(9 227602.8),(10 231581.97),(11 235455.13),(12 237516.86),(13 240142.3),(14 245977.77),(15 253425.81),(16 257894.02),(17 261635.05),(18 264270.66),(19 265440.6),(20 267429),(21 267506.4),(22 265694.63),(23 264177.38),(24 266115.84),(25 270984.63),(26 276146.13),(27 279604.22),(28 284991.47),(29 285468.44),(30 286089.7),(31 285837.94),(32 286172.38),(33 290377.53),(34 291852.44),(35 293344.06),(36 295448.22),(37 296858.38),(38 298881.78),(39 303281.38),(40 305237.84),(41 310573.03),(42 314040.94),(43 315092.03),(44 317267.2),(45 321841.6),(46 325179.56),(47 330158.9),(48 331487.9),(49 333268.06),(50 335961.34),(51 339667.44),(52 340979.03),(53 341407.2),(54 342069.5),(55 346767.13),(56 348295.34),(57 345803.84),(58 345244.94),(59 340882.66),(60 335022.5),(61 328237.78),(62 324658.9),(63 324148.13),(64 322129.94),(65 320290.63),(66 317116.63),(67 313302.94),(68 309118.8),(69 309882.9),(70 310650.34),(71 309992.53),(72 308123.66),(73 307635.28),(74 306005.97),(75 304604),(76 301256.13),(77 298316.63),(78 297757.34),(79 296301.94),
(1 42361.89),(2 86595.64),(3 118087.15),(4 144773.8),(5 162220.45),(6 175846.77),(7 183359.33),(8 188406.78),(9 194786.36),(10 199484.22),(11 202202.58),(12 206280.19),(13 212464.28),(14 219387.9),(15 225834.06),(16 230150.78),(17 231801.75),(18 231058.14),(19 230809.42),(20 231625.3),(21 230698.7),(22 229209.45),(23 227813.78),(24 228483.34),(25 228646.86),(26 234279.95),(27 241891.66),(28 248203.03),(29 248002.69),(30 248161.73),(31 245630.05),(32 243870.44),(33 246633.47),(34 246159.14),(35 244019.64),(36 245966.78),(37 248374.83),(38 246466.42),(39 248029.05),(40 250298.06),(41 253403.23),(42 255367.61),(43 258457.86),(44 262005.23),(45 263941.72),(46 270212.38),(47 274001.8),(48 274371.16),(49 274109.13),(50 275067.4),(51 273365.63),(52 270845.97),(53 268762.84),(54 269541.28),(55 273854.03),(56 278134.72),(57 281468.97),(58 283487.4),(59 281241.4),(60 278548.56),(61 276108.78),(62 271192.53),(63 265742.84),(64 260607.58),(65 256884.86),(66 255675.64),(67 256548.08),(68 256389.23),(69 256765.06),(70 257178.02),(71 258207.08),(72 258007.34),(73 260149.94),(74 259747.92),(75 259396.92),(76 256597.83),(77 255036.94),(78 254244.17),(79 252573.14),
(1 44291.676),(2 90474.55),(3 124634.71),(4 150579.39),(5 169677.08),(6 183883.67),(7 190039.97),(8 194112.95),(9 197382.97),(10 202184.1),(11 204213.11),(12 207278.25),(13 213323.98),(14 221485.11),(15 227862.1),(16 231740.53),(17 234402.28),(18 236076.36),(19 238837.42),(20 240648.61),(21 243546.6),(22 245502.78),(23 243871.22),(24 240662.11),(25 242327.11),(26 246545.83),(27 253257.78),(28 255891.95),(29 255047.72),(30 254525.75),(31 251635.2),(32 248568.17),(33 248845.55),(34 247084.8),(35 246511.73),(36 248144.9),(37 246945.6),(38 242514.19),(39 240733.55),(40 237641.42),(41 237703.61),(42 237754.67),(43 240473.02),(44 246653.08),(45 250701.97),(46 256293.3),(47 262002.69),(48 264159.8),(49 263896.34),(50 265507.8),(51 266141.03),(52 264522.72),(53 261605.47),(54 263826.44),(55 267012.47),(56 267260.97),(57 269097.28),(58 268344.1),(59 267832.94),(60 267749.72),(61 267910.66),(62 268561.94),(63 269206.5),(64 267850.2),(65 264751.4),(66 265562.4),(67 264482.8),(68 263274.53),(69 264845.28),(70 266634.06),(71 268428.47),(72 268852.38),(73 270596.94),(74 272116.8),(75 268665.78),(76 263216.88),(77 257463.11),(78 255475.9),(79 251373.6),
(1 42566.977),(2 86974.875),(3 119875.42),(4 147335.67),(5 169421.64),(6 185377.97),(7 196322.27),(8 203261.17),(9 207368.9),(10 209303.23),(11 210004.06),(12 213335.56),(13 219272.17),(14 224747.94),(15 229554.98),(16 232000.23),(17 236075.86),(18 238855.1),(19 241404.56),(20 246018.84),(21 250483.75),(22 253391.06),(23 253152.69),(24 252500.77),(25 253190.78),(26 257265.28),(27 259736.83),(28 259925.11),(29 257449.97),(30 255836.05),(31 256230.39),(32 258894.4),(33 262171.25),(34 262336.94),(35 261864.56),(36 263983.72),(37 266412.75),(38 265088.16),(39 263774.34),(40 262834.94),(41 263131.47),(42 261175.23),(43 263516.75),(44 266081.72),(45 268946.2),(46 273482.03),(47 277476.7),(48 279000),(49 280701.28),(50 280156.28),(51 276582.53),(52 273629.47),(53 269485.28),(54 269337.6),(55 272324.63),(56 273733.5),(57 275021.94),(58 273920.94),(59 272195.38),(60 272950.78),(61 273846.5),(62 274173.97),(63 275415.8),(64 275489.78),(65 273515.97),(66 272112.2),(67 271740.34),(68 270899.66),(69 270287.2),(70 272837.72),(71 272994.8),(72 272787.4),(73 274340.9),(74 276039.3),(75 276179.8),(76 275344.72),(77 272202.38),(78 273167.94),(79 271832.4),
(1 40761.848),(2 82604.266),(3 116234.93),(4 147285.27),(5 170177.28),(6 188592.03),(7 200279.77),(8 211376.83),(9 218247.6),(10 223473.8),(11 229073.44),(12 236435.86),(13 242893.86),(14 250073.19),(15 256817.1),(16 264752.78),(17 268966),(18 273472.4),(19 277829),(20 282917.1),(21 285080.66),(22 290370.06),(23 291328.44),(24 292356.78),(25 296094.06),(26 301943.28),(27 306176.4),(28 308850.47),(29 309206.94),(30 307175.84),(31 305639.3),(32 303662.66),(33 301158.47),(34 302331.7),(35 301582.47),(36 300676.03),(37 300144.03),(38 297920.1),(39 298186.6),(40 295067.6),(41 292719.4),(42 291503.72),(43 291622.38),(44 291576.03),(45 292916.28),(46 294596.63),(47 297907.66),(48 301902.22),(49 303812.06),(50 305276.4),(51 303711.13),(52 299946),(53 294614.34),(54 291912.2),(55 293539.47),(56 296399.16),(57 298163.22),(58 301030.03),(59 302915.63),(60 304067.8),(61 305316.4),(62 304865.06),(63 303776.03),(64 301397.13),(65 301445.56),(66 300001),(67 295355.84),(68 293424.88),(69 292661.3),(70 291164.5),(71 292200.3),(72 291601.66),(73 291228.72),(74 290294.63),(75 292351.63),(76 293787.78),(77 296011.13),(78 296560.78),(79 295716.03),
(1 39280.04),(2 78284.18),(3 108603.25),(4 136046.55),(5 155606.88),(6 171326.48),(7 183310.33),(8 191693.97),(9 196638.86),(10 197871.23),(11 199908.28),(12 204379.48),(13 211576.72),(14 220423.3),(15 225667.11),(16 230030.64),(17 232590.05),(18 238635.28),(19 243965.92),(20 246445.3),(21 248420.16),(22 249116.56),(23 245373.73),(24 246136.45),(25 248980.95),(26 253861.53),(27 259079.88),(28 260551.55),(29 260868.08),(30 262441.22),(31 265986.53),(32 266795.97),(33 266452.25),(34 265142.44),(35 262900.75),(36 261593.33),(37 264404.03),(38 264714.25),(39 262870.13),(40 261209.58),(41 261942.78),(42 263640.66),(43 264134.38),(44 268917.66),(45 270359.28),(46 272706.47),(47 276234.63),(48 277894.06),(49 280334.94),(50 281444.4),(51 280610.9),(52 277836.66),(53 273461.75),(54 272144.03),(55 271913.6),(56 272725.97),(57 274095.22),(58 276765.38),(59 279617.5),(60 282186.78),(61 282215.2),(62 283043.47),(63 281171.84),(64 278013.16),(65 274980.53),(66 269784.5),(67 267627.56),(68 266653.16),(69 264835.8),(70 265135.2),(71 266743.25),(72 268678.7),(73 268777.06),(74 269032.22),(75 271082.9),(76 271107.66),(77 270169.47),(78 270572.94),(79 270756.03),
(1 38329.586),(2 75960.34),(3 105927.56),(4 128755.266),(5 146987.33),(6 159987.14),(7 169329.03),(8 177231.53),(9 183199.52),(10 190023.06),(11 197605.47),(12 202119.1),(13 208408.89),(14 215648.67),(15 218356.83),(16 220391.33),(17 224053.83),(18 228919.44),(19 234046.73),(20 237678.1),(21 241700.8),(22 245729.16),(23 243185.3),(24 245267.14),(25 250988.94),(26 255995.19),(27 261837.19),(28 266156.4),(29 268730.2),(30 270900.53),(31 273369.34),(32 274603.84),(33 272862.06),(34 270944.03),(35 269515.25),(36 268078.1),(37 269480.38),(38 266809.03),(39 265626.06),(40 266108.47),(41 267062.1),(42 270323.25),(43 272487.8),(44 276245.4),(45 277184.38),(46 276436.7),(47 277279.4),(48 279005.7),(49 279192.97),(50 279058.44),(51 278161.2),(52 276601),(53 276220),(54 276076.44),(55 273470.47),(56 272408.22),(57 274380.66),(58 275574.78),(59 276557.66),(60 276273.7),(61 274445.56),(62 273271.88),(63 271970.4),(64 268223.63),(65 264491.34),(66 260425.86),(67 257464.48),(68 257231.45),(69 258568.55),(70 258176.58),(71 260496.98),(72 260623.52),(73 258524.33),(74 255355.05),(75 255325.14),(76 256104.92),(77 255951.2),(78 255135.95),(79 255010.75),
(1 37197.016),(2 75385.766),(3 103636.664),(4 127625.71),(5 145280.69),(6 157732.6),(7 167614.45),(8 177077.73),(9 180584.73),(10 183812.69),(11 188208.69),(12 191606.88),(13 197921.9),(14 204977.6),(15 211379.58),(16 213380.86),(17 214178.23),(18 217776.06),(19 222705.77),(20 225623.67),(21 228129.33),(22 232048.98),(23 234036.5),(24 237988.02),(25 242825.47),(26 246295.8),(27 247988.95),(28 247181.23),(29 249040.95),(30 252798.84),(31 252187.44),(32 252438.98),(33 253500.8),(34 253315.47),(35 251612.84),(36 248812.22),(37 248750.28),(38 245509.92),(39 243590.72),(40 242069.42),(41 241258.73),(42 244529.28),(43 246817.36),(44 247604.95),(45 250254),(46 249194.14),(47 249393.22),(48 250706.28),(49 250770.67),(50 250328.97),(51 248965.67),(52 247286.05),(53 245967.34),(54 245373.27),(55 247505.36),(56 249328.73),(57 251021.77),(58 252304.97),(59 254919.38),(60 257954.98),(61 256107.84),(62 253172.9),(63 250755.6),(64 250117.42),(65 247738.4),(66 245448.58),(67 242167.19),(68 242223.06),(69 242265.1),(70 242659.92),(71 241777.13),(72 240585.22),(73 235763.27),(74 233279.33),(75 231220.77),(76 229717.5),(77 231635.56),(78 233644.02),(79 232485.25),
(1 37176.6),(2 75318.87),(3 103157.305),(4 127052.37),(5 144231.11),(6 157088.25),(7 167261),(8 177767.28),(9 184023.5),(10 188814.36),(11 195654.31),(12 199817),(13 206565.97),(14 211746.5),(15 213358.19),(16 213407.17),(17 217228.16),(18 222431.88),(19 229104.58),(20 234623.39),(21 239877.42),(22 245479.6),(23 247413.83),(24 250299.11),(25 251477.25),(26 254557.52),(27 254617.63),(28 252666.14),(29 254805.95),(30 257922.97),(31 257679.97),(32 256794.88),(33 255467.9),(34 252843.11),(35 252561.3),(36 251810.67),(37 251151.14),(38 249421.28),(39 246784.8),(40 242553.06),(41 237241.98),(42 236810.2),(43 238411.55),(44 240227.16),(45 243303.73),(46 243242.89),(47 243029.48),(48 242086.17),(49 239494),(50 237372.3),(51 235356.77),(52 234176.14),(53 232850.47),(54 232809.28),(55 234532.5),(56 239789.98),(57 243115.58),(58 246139.36),(59 247892.47),(60 248380.48),(61 248386.78),(62 247048.2),(63 245855.5),(64 246294.97),(65 245928.56),(66 245577.64),(67 246727.69),(68 247973.25),(69 248570.22),(70 249112.13),(71 247729.81),(72 246393.44),(73 242947.25),(74 240029.22),(75 237632.45),(76 234749.98),(77 234609.31),(78 234436.64),(79 233757.08),
(1 36460.855),(2 72380.39),(3 99328.54),(4 121952.46),(5 137020.94),(6 150681.48),(7 160375.4),(8 169365.42),(9 176584.28),(10 183280.66),(11 189803.38),(12 195890.34),(13 203377.77),(14 211753.92),(15 215336.92),(16 218264),(17 222271.25),(18 229413.84),(19 236180.31),(20 240991.61),(21 243876.45),(22 245546.72),(23 244229.9),(24 245577.73),(25 245374.34),(26 246088.88),(27 247127.89),(28 247944.56),(29 250787.34),(30 252361.75),(31 250709.55),(32 246893.63),(33 244232.28),(34 240580.4),(35 237278.67),(36 236174.19),(37 232864.47),(38 228331.78),(39 225173.66),(40 221364.64),(41 218725.11),(42 216878.75),(43 217459.19),(44 218178.7),(45 220085.13),(46 222900.19),(47 226553.48),(48 227231.36),(49 225003.92),(50 222269.17),(51 219547.17),(52 216690.7),(53 216630.36),(54 218299.3),(55 219838.25),(56 224398.98),(57 229323.56),(58 230487.08),(59 232654.61),(60 233627.94),(61 233180.48),(62 232320.9),(63 233700.3),(64 235084.78),(65 233923.66),(66 233813.27),(67 233936.63),(68 235229.52),(69 239190.13),(70 240360.48),(71 237996.81),(72 237834.39),(73 234738.83),(74 230617.44),(75 228112.58),(76 225810.33),(77 226840.77),(78 228333.08),(79 228021.1),
(1 34006.582),(2 67939.234),(3 95730),(4 118571.7),(5 136699.67),(6 147922.66),(7 156298.94),(8 160446.97),(9 163588.7),(10 166804.55),(11 171489.97),(12 175734.16),(13 182715.56),(14 189065.61),(15 192968.86),(16 194555.8),(17 194193.63),(18 195439.23),(19 197606.47),(20 200590.73),(21 202517.94),(22 204036.47),(23 205741.4),(24 207021.77),(25 205207.06),(26 203686.42),(27 202599.67),(28 202525.94),(29 205387.22),(30 206613.14),(31 207143.55),(32 206699.36),(33 205514.05),(34 203299.14),(35 201784.67),(36 199612.73),(37 198429.77),(38 196529.42),(39 195496.42),(40 195415.56),(41 197841.64),(42 199766.53),(43 199799.77),(44 197019.45),(45 198809.34),(46 200772.89),(47 201891.67),(48 201556.88),(49 201225.03),(50 202398.28),(51 202861),(52 203002.1),(53 202915.45),(54 202816.25),(55 203382.86),(56 205872.1),(57 206397.53),(58 206936.11),(59 207725.1),(60 206452.13),(61 206620.52),(62 205690.58),(63 205406.52),(64 203722.3),(65 202912.38),(66 200185.98),(67 197108.5),(68 195512.55),(69 196138.8),(70 196264.53),(71 194381.34),(72 194058.23),(73 191782.25),(74 189072.28),(75 186936.61),(76 182808.08),(77 181022.94),(78 180177.13),(79 181000.6),
(1 33816.715),(2 68170.55),(3 96848.76),(4 121151.625),(5 139046.19),(6 150193.3),(7 158252.03),(8 162203.9),(9 165085.4),(10 167387.8),(11 169346.25),(12 174133.9),(13 183471.13),(14 190386.95),(15 193818.97),(16 192510.11),(17 193107.9),(18 193472.39),(19 194984.14),(20 198862.25),(21 201960.83),(22 206048.77),(23 207666.03),(24 208603.73),(25 207775.36),(26 207827.52),(27 209278.16),(28 208225.11),(29 209584.95),(30 210387.53),(31 211027.19),(32 211334.7),(33 211846.77),(34 211868.5),(35 211009.53),(36 208754.3),(37 204889.97),(38 203984.1),(39 204549.05),(40 205388.95),(41 208192.1),(42 208649.4),(43 210266.47),(44 209239.8),(45 208679.39),(46 207570.27),(47 205201.98),(48 203444.69),(49 203460.72),(50 205404.2),(51 206863.64),(52 208691.75),(53 210124.55),(54 210418.19),(55 211175.88),(56 211264.81),(57 210317.97),(58 211312.23),(59 213361.39),(60 214936.92),(61 216002.67),(62 214389.89),(63 213845.2),(64 211582.55),(65 209509.89),(66 205821.53),(67 201813.9),(68 201662.3),(69 202142.08),(70 202575.39),(71 202150.77),(72 202340.05),(73 202789.42),(74 201291.53),(75 198049.39),(76 194736.56),(77 190821.9),(78 189350.13),(79 188631.92),
(1 33590.863),(2 67370.41),(3 93758.54),(4 117467.13),(5 134031.97),(6 146866.13),(7 156207.77),(8 162304.19),(9 165618.64),(10 168592.92),(11 173023.4),(12 177763.34),(13 183759.4),(14 189046.48),(15 192321.38),(16 195034.45),(17 198021.77),(18 198898.7),(19 199642.42),(20 200583.64),(21 202436.27),(22 204142.19),(23 206504.45),(24 209609.14),(25 211302.81),(26 213129.3),(27 213251.52),(28 210791.33),(29 209636.55),(30 208835.56),(31 208040.64),(32 206390.1),(33 207133.42),(34 207791.88),(35 207271.7),(36 204942.9),(37 202646.25),(38 197373.39),(39 195133.36),(40 196860.45),(41 201274.42),(42 202807.66),(43 204460.9),(44 206521.36),(45 205407.14),(46 202331.16),(47 200472.03),(48 198922.25),(49 199346.17),(50 201136.86),(51 202698.03),(52 203954.9),(53 204989.6),(54 205435.08),(55 205279.25),(56 205320.8),(57 204202.2),(58 203969.02),(59 206242.81),(60 205673.64),(61 205121.6),(62 204274.88),(63 206011.69),(64 206526.69),(65 208015.69),(66 206580.64),(67 204066.58),(68 200535.28),(69 197571.36),(70 194815.81),(71 193421.61),(72 194867.27),(73 194662.33),(74 194551.48),(75 193917.92),(76 193205.86),(77 192126.27),(78 191076.63),(79 189466),
(1 32080.92),(2 62814.215),(3 86260.45),(4 108724.78),(5 124111.35),(6 133722.72),(7 139791.42),(8 144287.69),(9 145969.52),(10 147463.58),(11 149260.63),(12 154132.19),(13 157681.73),(14 161902.97),(15 163144.78),(16 165639.81),(17 165257.55),(18 167129),(19 169128.83),(20 171685.9),(21 173256.73),(22 177505.63),(23 182713.2),(24 185453.31),(25 187197.31),(26 187523.92),(27 187179.17),(28 188507.16),(29 188387.23),(30 187880.92),(31 186216.16),(32 184959.31),(33 183824.84),(34 183980.27),(35 186558.03),(36 188706.11),(37 188169.78),(38 186393.83),(39 185130.36),(40 183472.77),(41 183579.69),(42 183798.9),(43 184011.75),(44 185102.94),(45 184924.28),(46 183191.36),(47 181531.55),(48 180217.77),(49 180306.86),(50 180631.42),(51 182180.81),(52 183813.19),(53 186582.11),(54 185623.36),(55 185039.5),(56 184074.73),(57 181738.25),(58 181551.77),(59 178495.14),(60 174949.98),(61 174074.25),(62 175838.19),(63 179258.06),(64 181728.56),(65 184332.06),(66 185819.1),(67 184971.19),(68 182207.31),(69 180409.7),(70 177874.9),(71 175325.55),(72 175017.9),(73 175694.42),(74 176763.8),(75 179066.8),(76 180716.55),(77 180777.56),(78 178810.86),(79 176364.38),
