(1 0.0025102757),(2 5.747113),(3 14.441852),(4 18.194817),(5 18.217798),(6 19.771574),(7 21.146502),(8 21.765722),(9 21.795616),(10 21.748846),(11 22.701447),(12 25.568842),(13 25.567533),(14 26.612028),(15 28.040682),(16 31.019949),(17 31.005482),(18 31.704872),(19 30.81209),(20 32.05335),(21 32.02763),(22 31.75733),(23 30.755745),(24 32.27101),(25 32.330902),(26 33.94707),(27 33.636528),(28 35.383434),(29 35.404728),(30 34.896957),(31 33.986557),(32 34.85761),(33 34.895454),(34 34.30233),(35 35.071392),(36 35.992973),(37 36.02932),(38 35.864014),(39 36.411633),(40 38.255863),(41 38.227028),
(1 0.0023234098),(2 5.4810815),(3 12.481115),(4 15.912127),(5 15.897716),(6 16.502684),(7 19.104546),(8 19.894144),(9 19.896442),(10 19.730728),(11 21.195187),(12 22.928902),(13 22.972227),(14 22.959915),(15 24.663788),(16 26.38845),(17 26.382156),(18 27.506098),(19 26.53365),(20 27.934336),(21 27.942648),(22 27.220407),(23 27.950876),(24 29.269709),(25 29.242613),(26 29.310549),(27 29.211239),(28 30.512154),(29 30.500141),(30 30.58351),(31 28.0374),(32 29.149704),(33 29.17319),(34 30.03384),(35 30.219944),(36 31.383081),(37 31.415104),(38 31.350107),(39 29.896593),(40 30.790232),(41 30.795683),
(1 0.0025239561),(2 5.2354174),(3 13.018006),(4 15.808268),(5 15.811005),(6 16.03983),(7 17.823744),(8 19.76912),(9 19.777262),(10 19.331001),(11 19.919113),(12 22.314096),(13 22.3351),(14 22.66994),(15 24.365875),(16 25.935747),(17 25.976917),(18 25.775335),(19 25.310383),(20 26.025723),(21 26.035845),(22 25.927689),(23 26.311077),(24 26.97752),(25 27.043154),(26 28.526747),(27 27.870821),(28 29.578533),(29 29.581446),(30 29.275145),(31 28.153189),(32 27.677612),(33 27.709717),(34 27.655973),(35 28.921509),(36 29.62657),(37 29.58346),(38 29.618692),(39 29.704916),(40 30.740156),(41 30.73163),
(1 0.002338664),(2 4.5896683),(3 11.962949),(4 14.786297),(5 14.779698),(6 15.58675),(7 17.930803),(8 18.60353),(9 18.591244),(10 18.810692),(11 18.606318),(12 19.844568),(13 19.817234),(14 21.033342),(15 22.968655),(16 24.08373),(17 24.066097),(18 24.605154),(19 24.088625),(20 24.816313),(21 24.82558),(22 23.177805),(23 23.900364),(24 25.448288),(25 25.468805),(26 25.867344),(27 26.708862),(28 28.740004),(29 28.638859),(30 28.148762),(31 26.29816),(32 26.052929),(33 26.086731),(34 25.74598),(35 26.587875),(36 28.383669),(37 28.394653),(38 27.659008),(39 27.08421),(40 27.69435),(41 27.69319),
(1 0.0022601301),(2 4.9543843),(3 11.9756365),(4 14.879958),(5 14.915229),(6 15.794815),(7 17.192123),(8 18.46592),(9 18.470226),(10 18.227365),(11 17.781376),(12 18.433693),(13 18.421207),(14 19.79272),(15 21.42578),(16 23.231365),(17 23.236937),(18 24.440826),(19 24.748463),(20 25.287155),(21 25.301483),(22 23.963531),(23 23.319891),(24 24.473816),(25 24.489635),(26 25.800205),(27 25.56109),(28 26.691704),(29 26.607115),(30 26.350508),(31 25.526426),(32 25.563011),(33 25.564875),(34 25.43848),(35 26.097546),(36 27.702772),(37 27.69834),(38 27.800127),(39 27.30256),(40 28.407343),(41 28.401941),
(1 0.0024112521),(2 4.7295303),(3 11.934822),(4 14.310999),(5 14.307237),(6 14.984146),(7 16.863165),(8 18.197025),(9 18.185844),(10 18.310244),(11 18.779434),(12 20.532438),(13 20.537142),(14 20.837572),(15 20.995914),(16 22.413427),(17 22.417906),(18 23.11248),(19 22.715374),(20 23.807352),(21 23.805902),(22 22.843641),(23 23.641876),(24 25.481483),(25 25.502449),(26 25.3958),(27 24.832739),(28 25.917122),(29 25.925714),(30 25.754068),(31 23.965109),(32 24.82271),(33 24.828503),(34 23.314184),(35 24.211409),(36 26.267458),(37 26.245646),(38 25.882256),(39 25.832785),(40 26.824932),(41 26.81488),
(1 0.0020526585),(2 4.1126328),(3 9.679281),(4 11.53189),(5 11.536462),(6 12.901895),(7 13.969166),(8 14.583406),(9 14.578248),(10 14.501231),(11 14.486676),(12 15.412887),(13 15.407521),(14 16.162077),(15 17.452652),(16 18.60064),(17 18.579187),(18 18.4076),(19 18.466208),(20 19.404871),(21 19.423473),(22 18.986794),(23 20.067127),(24 21.33722),(25 21.332327),(26 20.578445),(27 21.164816),(28 21.926456),(29 21.939356),(30 21.405685),(31 21.588566),(32 21.346907),(33 21.323118),(34 20.237228),(35 21.16483),(36 22.619967),(37 22.609365),(38 22.896463),(39 22.902546),(40 23.43771),(41 23.429),
(1 0.0023609132),(2 4.1551204),(3 9.979085),(4 11.522702),(5 11.543078),(6 13.055758),(7 14.426866),(8 16.092358),(9 16.084196),(10 15.787163),(11 15.528239),(12 16.572275),(13 16.531738),(14 16.934286),(15 17.978329),(16 20.282322),(17 20.302595),(18 21.050665),(19 20.54489),(20 21.230417),(21 21.254871),(22 20.51656),(23 20.665382),(24 21.75245),(25 21.783072),(26 22.162922),(27 22.082373),(28 23.020622),(29 23.083986),(30 22.356777),(31 21.28349),(32 21.451694),(33 21.457626),(34 21.398672),(35 21.42064),(36 22.80001),(37 22.8246),(38 22.42886),(39 22.897335),(40 23.610912),(41 23.608244),
(1 0.0022291003),(2 3.611504),(3 8.657133),(4 10.441807),(5 10.460468),(6 11.193099),(7 12.259687),(8 13.194373),(9 13.217151),(10 13.62894),(11 13.516304),(12 14.840504),(13 14.840349),(14 15.144317),(15 15.959158),(16 17.514858),(17 17.503489),(18 17.711256),(19 17.850668),(20 18.26194),(21 18.25516),(22 17.262714),(23 17.60858),(24 18.955637),(25 18.966784),(26 18.803894),(27 17.90248),(28 19.126741),(29 19.078506),(30 18.604546),(31 18.468842),(32 18.460262),(33 18.487278),(34 18.501408),(35 19.304678),(36 19.979128),(37 19.965702),(38 19.761904),(39 20.4747),(40 20.554338),(41 20.543154),
(1 0.0024531789),(2 3.8633137),(3 9.225982),(4 11.132371),(5 11.149722),(6 12.4162655),(7 13.755643),(8 14.475907),(9 14.465814),(10 14.317258),(11 14.536437),(12 15.376311),(13 15.409499),(14 15.069446),(15 16.811096),(16 18.30675),(17 18.305777),(18 18.224192),(19 18.236351),(20 19.090528),(21 19.098726),(22 18.338688),(23 18.901793),(24 19.807783),(25 19.823807),(26 19.697458),(27 19.78623),(28 20.182413),(29 20.108082),(30 19.190023),(31 19.360794),(32 20.091139),(33 20.090784),(34 19.70261),(35 20.21522),(36 21.507904),(37 21.507458),(38 20.851469),(39 20.829075),(40 21.137129),(41 21.129906),
