1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,
(1 0.0018412281),(2 4.033923),(3 10.914952),(4 13.428343),(5 13.412353),(6 13.816429),(7 15.377273),(8 15.129013),(9 15.105936),(10 15.121137),(11 15.397105),(12 16.711779),(13 16.722136),(14 17.472631),(15 18.892874),(16 20.152885),(17 20.157402),(18 21.335222),(19 20.329071),(20 20.877548),(21 20.886719),(22 19.881792),(23 18.672125),(24 20.012852),(25 20.016243),(26 20.457716),(27 22.072155),(28 22.6144),(29 22.591036),(30 23.698177),(31 21.541481),(32 22.576643),(33 22.620214),(34 21.773586),(35 22.295954),(36 23.3611),(37 23.35806),(38 22.80007),(39 22.360733),(40 23.303759),(41 23.293167),
(1 0.0018046815),(2 4.4263945),(3 10.015372),(4 12.188149),(5 12.213948),(6 12.234028),(7 13.529691),(8 14.472659),(9 14.478789),(10 14.517299),(11 13.910234),(12 15.748756),(13 15.761668),(14 16.187473),(15 17.768488),(16 18.725355),(17 18.704275),(18 18.903307),(19 19.303934),(20 19.544786),(21 19.529701),(22 18.745844),(23 19.740578),(24 20.598555),(25 20.607422),(26 21.934607),(27 21.812052),(28 22.044153),(29 22.029121),(30 21.60332),(31 20.146372),(32 20.068752),(33 20.086206),(34 20.125957),(35 20.796871),(36 22.806814),(37 22.808952),(38 22.83248),(39 21.778942),(40 22.43136),(41 22.427853),
(1 0.001947517),(2 4.394742),(3 10.818064),(4 13.232342),(5 13.222617),(6 13.637951),(7 14.716625),(8 15.811892),(9 15.789662),(10 15.590164),(11 15.463342),(12 16.394943),(13 16.397127),(14 17.422565),(15 18.307451),(16 19.92477),(17 19.90275),(18 20.853346),(19 20.668457),(20 20.38764),(21 20.423784),(22 19.833632),(23 20.471354),(24 22.64992),(25 22.642563),(26 21.766785),(27 21.846167),(28 22.49818),(29 22.462399),(30 21.88482),(31 21.066212),(32 20.895704),(33 20.863617),(34 20.691236),(35 20.810902),(36 22.678677),(37 22.641438),(38 23.763992),(39 22.720984),(40 23.22232),(41 23.20982),
(1 0.0019458631),(2 4.135063),(3 9.611729),(4 12.383589),(5 12.395335),(6 13.371016),(7 15.094007),(8 15.356728),(9 15.338795),(10 14.7375965),(11 14.558339),(12 15.327682),(13 15.333935),(14 16.063065),(15 17.201527),(16 18.21523),(17 18.20558),(18 17.872892),(19 17.90851),(20 18.791248),(21 18.799753),(22 18.00669),(23 19.432182),(24 20.19649),(25 20.191074),(26 20.887177),(27 20.00197),(28 20.466139),(29 20.509024),(30 20.350264),(31 20.166876),(32 20.19751),(33 20.19714),(34 19.63921),(35 20.398205),(36 21.492462),(37 21.49792),(38 21.379425),(39 21.080309),(40 21.656797),(41 21.654682),
(1 0.0018948814),(2 3.5461547),(3 7.77479),(4 9.158244),(5 9.175222),(6 10.220908),(7 11.477455),(8 12.37568),(9 12.389607),(10 12.152969),(11 12.142517),(12 13.4560375),(13 13.463491),(14 13.150481),(15 14.445563),(16 15.695637),(17 15.719746),(18 15.582323),(19 15.7699175),(20 16.311567),(21 16.31091),(22 15.817073),(23 16.07083),(24 17.597696),(25 17.62968),(26 17.455635),(27 17.347008),(28 18.362322),(29 18.395502),(30 17.653849),(31 17.313282),(32 17.773672),(33 17.772692),(34 17.494894),(35 17.210598),(36 18.44095),(37 18.437288),(38 18.07703),(39 18.31264),(40 18.747643),(41 18.74518),
(1 0.0018386832),(2 3.1083164),(3 7.0390167),(4 8.61223),(5 8.618144),(6 9.040301),(7 9.502162),(8 9.927377),(9 9.935335),(10 10.114562),(11 10.25562),(12 11.331803),(13 11.329129),(14 11.452916),(15 12.035033),(16 12.805243),(17 12.8068695),(18 12.668792),(19 12.693885),(20 13.709024),(21 13.685847),(22 13.217615),(23 13.264275),(24 14.004432),(25 13.977297),(26 14.512897),(27 14.674643),(28 15.085399),(29 15.044613),(30 14.453402),(31 13.714853),(32 14.32341),(33 14.324645),(34 14.257539),(35 14.176732),(36 15.156606),(37 15.162558),(38 15.305915),(39 15.387669),(40 15.752977),(41 15.749617),
(1 0.0016953023),(2 2.9138927),(3 6.9444733),(4 8.067784),(5 8.078545),(6 8.605837),(7 9.369306),(8 9.67517),(9 9.665567),(10 9.709384),(11 9.738354),(12 10.081459),(13 10.093635),(14 10.691039),(15 11.189597),(16 12.320487),(17 12.318565),(18 12.477312),(19 12.387947),(20 12.827628),(21 12.81268),(22 12.662772),(23 12.595168),(24 13.673189),(25 13.680416),(26 12.74829),(27 13.469474),(28 14.345342),(29 14.299062),(30 13.632825),(31 13.404873),(32 13.497031),(33 13.490787),(34 12.964452),(35 14.104458),(36 14.7041025),(37 14.687916),(38 13.910285),(39 13.694316),(40 13.996665),(41 13.9979725),
(1 0.0019099761),(2 3.0911512),(3 7.108622),(4 8.222381),(5 8.243142),(6 8.628334),(7 8.979727),(8 10.283748),(9 10.289453),(10 9.945962),(11 10.200349),(12 11.179968),(13 11.191658),(14 12.206317),(15 12.326907),(16 13.451202),(17 13.447786),(18 13.223815),(19 13.143007),(20 13.72031),(21 13.733944),(22 13.861254),(23 13.492463),(24 14.243625),(25 14.261487),(26 13.141976),(27 13.786712),(28 15.103608),(29 15.068577),(30 14.683227),(31 14.915443),(32 15.12469),(33 15.131258),(34 14.457961),(35 14.398333),(36 15.821716),(37 15.806646),(38 15.043276),(39 15.247082),(40 15.18522),(41 15.188314),
(1 0.0017716065),(2 2.5329103),(3 6.2106533),(4 7.619719),(5 7.6161904),(6 7.771913),(7 8.123968),(8 8.6828),(9 8.680347),(10 8.487871),(11 8.595591),(12 9.573196),(13 9.580709),(14 9.913531),(15 10.186445),(16 10.825262),(17 10.813002),(18 10.6364975),(19 10.855059),(20 11.565153),(21 11.56559),(22 11.499948),(23 11.133755),(24 12.080207),(25 12.071487),(26 11.929671),(27 12.308815),(28 12.822953),(29 12.801412),(30 12.539055),(31 12.013278),(32 12.3223915),(33 12.32505),(34 12.261635),(35 12.724626),(36 13.507076),(37 13.502513),(38 13.325168),(39 13.13206),(40 13.445123),(41 13.449434),
(1 0.0018127627),(2 2.568889),(3 6.060105),(4 7.189867),(5 7.1955166),(6 7.610688),(7 8.1274185),(8 8.555387),(9 8.561055),(10 8.376381),(11 9.097307),(12 9.750311),(13 9.781058),(14 9.723983),(15 10.180633),(16 11.325399),(17 11.329743),(18 10.870067),(19 10.928078),(20 11.50258),(21 11.497453),(22 11.307971),(23 11.283274),(24 11.826273),(25 11.827648),(26 11.968821),(27 11.401952),(28 11.921376),(29 11.876469),(30 11.217127),(31 12.065765),(32 12.401692),(33 12.39992),(34 12.383982),(35 11.781022),(36 12.483786),(37 12.465742),(38 12.545006),(39 11.965133),(40 12.872871),(41 12.870842),
