1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 242.13884),(2 309.9526),(3 335.85016),(4 346.8715),(5 359.17523),(6 368.11807),(7 379.66043),(8 383.57263),(9 388.5538),(10 392.59155),(11 397.3151),(12 399.1184),(13 400.39355),(14 400.12875),(15 398.67007),(16 401.25076),(17 399.35675),(18 406.19455),(19 408.97568),(20 412.43796),(21 412.6891),(22 413.78497),(23 413.58435),(24 410.49597),(25 413.69092),(26 421.90878),(27 424.75366),(28 424.179),(29 421.04016),(30 429.9101),(31 431.17297),(32 424.47983),(33 426.06378),(34 426.9905),(35 424.4278),(36 425.20105),(37 428.01215),(38 429.44916),(39 427.28555),(40 429.5434),(41 430.24722),(42 429.30438),(43 434.67557),(44 432.79706),(45 424.60794),(46 427.64758),(47 430.33148),(48 433.42435),(49 433.116),(50 437.41263),(51 430.13934),(52 434.56616),(53 436.15192),(54 440.0652),(55 439.62152),(56 440.34406),(57 440.92703),(58 437.9858),(59 441.98276),(60 442.7406),(61 438.86063),(62 448.23288),(63 442.7706),(64 444.09583),(65 443.14462),(66 444.00113),(67 445.16602),(68 447.7319),(69 447.41443),(70 450.82797),(71 454.1262),(72 461.15186),(73 459.1518),(74 458.11258),(75 454.62402),(76 450.95535),(77 455.38834),(78 451.97675),(79 450.14294),
(1 238.39868),(2 307.91556),(3 328.66852),(4 341.28827),(5 352.97043),(6 363.88565),(7 372.89337),(8 376.4916),(9 379.3003),(10 384.4058),(11 390.88443),(12 391.29688),(13 392.11075),(14 396.18765),(15 395.04633),(16 397.26758),(17 392.64063),(18 397.9372),(19 396.6),(20 399.8043),(21 399.09204),(22 401.4765),(23 399.16922),(24 396.60306),(25 401.44812),(26 407.43466),(27 411.54022),(28 413.64487),(29 412.99734),(30 415.74503),(31 414.7178),(32 410.1097),(33 412.10974),(34 416.5643),(35 413.4996),(36 416.89737),(37 416.39066),(38 418.32443),(39 418.65237),(40 421.6191),(41 419.77972),(42 422.44058),(43 424.11746),(44 423.91412),(45 419.59146),(46 422.07874),(47 423.95175),(48 427.13342),(49 428.72046),(50 431.51382),(51 426.35434),(52 428.33987),(53 430.2127),(54 431.76398),(55 434.8943),(56 438.38016),(57 442.1618),(58 440.2879),(59 440.96222),(60 438.94812),(61 437.38223),(62 445.263),(63 441.36926),(64 441.29825),(65 440.68594),(66 440.62598),(67 441.97342),(68 442.16193),(69 443.9111),(70 442.9005),(71 446.8129),(72 450.41394),(73 455.2685),(74 449.4692),(75 449.89136),(76 447.40405),(77 446.0013),(78 440.8179),(79 442.62454),
(1 231.94907),(2 304.85687),(3 322.64066),(4 337.79782),(5 351.78052),(6 362.2953),(7 370.4541),(8 372.99286),(9 375.7156),(10 380.7413),(11 381.51007),(12 380.65005),(13 382.93658),(14 388.54297),(15 384.7009),(16 388.94693),(17 387.18384),(18 392.40747),(19 393.35788),(20 404.109),(21 400.9101),(22 404.01788),(23 404.48743),(24 403.39578),(25 405.08636),(26 410.26157),(27 415.472),(28 416.0582),(29 414.364),(30 418.54227),(31 414.677),(32 411.7196),(33 411.0654),(34 410.92807),(35 409.01715),(36 408.95062),(37 412.5046),(38 415.70987),(39 418.3801),(40 419.2476),(41 415.36505),(42 417.7323),(43 412.86154),(44 411.60757),(45 410.1752),(46 409.18753),(47 410.90222),(48 411.23837),(49 411.66144),(50 414.4885),(51 418.72388),(52 418.55957),(53 418.15512),(54 420.82642),(55 419.0848),(56 420.97043),(57 422.0678),(58 421.5777),(59 422.4915),(60 422.9682),(61 419.28412),(62 429.2155),(63 425.09967),(64 425.7617),(65 426.11917),(66 428.72134),(67 428.5833),(68 426.36514),(69 431.78802),(70 438.7424),(71 437.4092),(72 445.92242),(73 446.4487),(74 449.0858),(75 444.91257),(76 442.65338),(77 449.88565),(78 448.25748),(79 447.51807),
(1 234.06027),(2 298.7961),(3 324.1676),(4 338.40454),(5 346.93484),(6 360.15933),(7 363.903),(8 367.62607),(9 367.8897),(10 371.37546),(11 373.94482),(12 377.8118),(13 378.71994),(14 381.42236),(15 378.4754),(16 378.27838),(17 383.5734),(18 386.14),(19 389.88773),(20 391.75082),(21 386.4422),(22 388.50525),(23 392.23645),(24 385.3458),(25 384.13333),(26 392.135),(27 397.7204),(28 394.14914),(29 399.0269),(30 400.8716),(31 401.8482),(32 398.18445),(33 393.62402),(34 397.37738),(35 398.0942),(36 398.06674),(37 402.62515),(38 404.02322),(39 399.39697),(40 404.2476),(41 403.1803),(42 406.94504),(43 409.55826),(44 409.33057),(45 404.1495),(46 404.6393),(47 404.1515),(48 405.14783),(49 408.4524),(50 410.46048),(51 415.73145),(52 412.1072),(53 410.83167),(54 416.3366),(55 421.3741),(56 422.7931),(57 420.4726),(58 420.18585),(59 415.93518),(60 420.10373),(61 420.19565),(62 422.57672),(63 422.71048),(64 418.95215),(65 419.8092),(66 423.0054),(67 425.30515),(68 428.957),(69 429.67856),(70 432.85974),(71 435.07944),(72 437.24097),(73 437.40793),(74 440.578),(75 437.525),(76 437.47726),(77 434.36954),(78 433.31918),(79 435.4312),
(1 228.73628),(2 294.87036),(3 318.79477),(4 329.18054),(5 336.7603),(6 351.87506),(7 353.25528),(8 361.2602),(9 366.62314),(10 367.63217),(11 367.83234),(12 369.45547),(13 372.24985),(14 377.15652),(15 375.76334),(16 378.72437),(17 376.44543),(18 377.0978),(19 378.77023),(20 381.94772),(21 381.54803),(22 391.12323),(23 388.60544),(24 388.00342),(25 390.74536),(26 395.63086),(27 398.52942),(28 400.52448),(29 401.98715),(30 402.36462),(31 402.07687),(32 399.15756),(33 399.67313),(34 399.46518),(35 401.95935),(36 401.04657),(37 397.2089),(38 401.9592),(39 399.91486),(40 401.26447),(41 393.77072),(42 398.44705),(43 400.13065),(44 396.3347),(45 394.6071),(46 397.2492),(47 400.49216),(48 400.5451),(49 400.2506),(50 408.30212),(51 407.99295),(52 408.76962),(53 409.60382),(54 415.63193),(55 419.75504),(56 418.2622),(57 415.68268),(58 418.06168),(59 416.88458),(60 423.28357),(61 418.00555),(62 420.55823),(63 422.97217),(64 417.25317),(65 418.82092),(66 418.2768),(67 419.68222),(68 421.97104),(69 420.0635),(70 421.84586),(71 430.22125),(72 432.32483),(73 433.00467),(74 429.4255),(75 425.74304),(76 429.02084),(77 426.8206),(78 424.75037),(79 422.7865),
(1 222.37962),(2 287.693),(3 309.9577),(4 321.39966),(5 330.41666),(6 338.14),(7 347.12506),(8 350.39972),(9 352.48636),(10 358.12524),(11 358.05322),(12 358.13843),(13 365.23422),(14 369.39493),(15 363.17206),(16 364.87036),(17 368.4639),(18 373.7898),(19 371.02475),(20 370.6592),(21 372.81583),(22 376.62137),(23 379.9315),(24 376.16412),(25 376.27292),(26 381.39175),(27 385.3553),(28 386.1121),(29 384.85785),(30 383.97034),(31 386.55664),(32 386.6493),(33 386.0971),(34 385.84283),(35 386.44922),(36 381.54706),(37 383.8218),(38 390.66486),(39 391.1809),(40 392.1929),(41 387.83453),(42 389.8128),(43 390.01028),(44 388.72546),(45 380.52753),(46 381.74173),(47 383.71533),(48 385.31445),(49 387.81653),(50 394.39417),(51 395.57623),(52 397.50586),(53 396.05423),(54 401.8169),(55 401.951),(56 396.8525),(57 396.4278),(58 398.3985),(59 397.36346),(60 402.3202),(61 402.03183),(62 402.76114),(63 405.26794),(64 406.29742),(65 408.89566),(66 411.01743),(67 411.05246),(68 413.81982),(69 417.112),(70 422.0829),(71 422.97055),(72 429.00906),(73 426.69766),(74 428.77878),(75 427.80185),(76 427.7822),(77 430.26825),(78 429.6542),(79 432.77057),
(1 221.8684),(2 287.49625),(3 307.88553),(4 320.757),(5 330.71118),(6 338.2148),(7 351.374),(8 352.02713),(9 355.55988),(10 359.19806),(11 356.63913),(12 356.57315),(13 359.6715),(14 364.5043),(15 360.03397),(16 359.96823),(17 358.29657),(18 361.69547),(19 360.29028),(20 360.64673),(21 363.63834),(22 369.93805),(23 369.2905),(24 370.67816),(25 374.78027),(26 376.06604),(27 378.73148),(28 377.77298),(29 376.49265),(30 375.84048),(31 376.10712),(32 377.27878),(33 373.19666),(34 375.1674),(35 373.32062),(36 375.64285),(37 380.11282),(38 383.78244),(39 384.95865),(40 386.9143),(41 390.95013),(42 393.36545),(43 393.37497),(44 389.84232),(45 384.40262),(46 383.58554),(47 382.07217),(48 387.92572),(49 389.88635),(50 390.9269),(51 393.04694),(52 393.31134),(53 394.81665),(54 396.75153),(55 397.717),(56 396.20184),(57 395.5472),(58 398.47437),(59 396.02692),(60 398.69235),(61 396.82132),(62 399.14264),(63 399.13925),(64 399.26654),(65 402.1243),(66 402.05057),(67 400.88666),(68 408.5858),(69 409.139),(70 411.52203),(71 410.26407),(72 414.87396),(73 409.9991),(74 413.87808),(75 411.08682),(76 410.60867),(77 414.05673),(78 413.10922),(79 410.23987),
(1 217.75351),(2 285.3896),(3 308.39996),(4 316.53897),(5 329.57843),(6 337.85516),(7 343.15942),(8 349.47467),(9 349.12045),(10 351.31235),(11 349.2854),(12 350.59848),(13 356.5305),(14 362.37204),(15 361.55325),(16 363.58148),(17 363.02734),(18 362.67282),(19 364.66647),(20 364.87274),(21 367.68756),(22 368.63275),(23 370.15698),(24 366.68274),(25 372.5428),(26 373.15762),(27 373.10922),(28 373.2964),(29 373.14612),(30 371.31165),(31 372.63046),(32 368.86475),(33 373.08652),(34 371.67245),(35 373.2029),(36 370.54858),(37 369.03638),(38 374.26425),(39 371.8876),(40 373.32816),(41 372.50143),(42 378.90982),(43 380.22433),(44 381.12225),(45 376.26883),(46 376.90015),(47 378.46365),(48 384.86652),(49 383.9617),(50 386.88522),(51 386.27444),(52 388.84195),(53 388.31473),(54 388.5163),(55 390.3979),(56 392.1639),(57 391.4144),(58 392.9658),(59 394.1485),(60 400.07092),(61 398.40912),(62 399.71945),(63 401.49243),(64 399.8891),(65 397.72595),(66 401.00586),(67 402.5333),(68 410.05002),(69 411.76382),(70 414.25348),(71 416.7396),(72 415.96353),(73 413.7781),(74 413.8933),(75 415.07297),(76 412.2001),(77 412.43668),(78 412.5181),(79 410.99103),
(1 213.20143),(2 271.23392),(3 292.32913),(4 307.95392),(5 315.85263),(6 326.79404),(7 334.81882),(8 339.56842),(9 341.20447),(10 342.7824),(11 346.60815),(12 346.6374),(13 348.30203),(14 350.8163),(15 349.9651),(16 349.6021),(17 349.83255),(18 353.166),(19 350.4222),(20 351.77878),(21 355.4929),(22 358.96545),(23 360.46207),(24 352.6554),(25 356.43463),(26 363.53326),(27 366.3594),(28 363.9771),(29 364.80344),(30 369.189),(31 374.4118),(32 370.37982),(33 370.71933),(34 370.01926),(35 368.5373),(36 366.55704),(37 369.79855),(38 372.16315),(39 369.6672),(40 372.20163),(41 372.73987),(42 375.94696),(43 371.56113),(44 375.4549),(45 374.03397),(46 368.49103),(47 368.63596),(48 371.7258),(49 375.67032),(50 374.29715),(51 375.92215),(52 382.51355),(53 384.937),(54 387.39886),(55 388.74088),(56 387.57004),(57 387.4913),(58 389.0046),(59 387.41846),(60 390.94962),(61 392.71957),(62 392.30832),(63 389.88153),(64 392.31183),(65 396.19394),(66 397.1747),(67 398.6013),(68 399.90945),(69 404.15744),(70 408.39908),(71 415.65762),(72 413.8794),(73 410.42853),(74 411.2626),(75 413.83585),(76 414.38214),(77 415.65643),(78 411.36072),(79 411.23636),
(1 214.269),(2 274.86993),(3 293.2719),(4 308.8511),(5 320.4147),(6 327.33914),(7 331.87845),(8 340.66458),(9 341.49796),(10 344.80856),(11 346.5678),(12 344.4658),(13 348.01028),(14 349.3461),(15 351.0382),(16 352.2574),(17 352.46664),(18 353.41336),(19 355.45248),(20 356.07663),(21 357.19745),(22 357.87076),(23 361.08112),(24 356.80215),(25 361.02048),(26 365.5729),(27 369.9976),(28 369.26282),(29 369.20386),(30 365.85733),(31 365.70822),(32 364.95135),(33 367.46878),(34 366.65704),(35 368.07806),(36 366.1566),(37 366.77042),(38 371.48465),(39 373.05243),(40 373.45883),(41 372.56113),(42 369.93884),(43 372.5337),(44 367.15866),(45 363.24435),(46 360.58728),(47 360.87863),(48 366.58453),(49 368.66006),(50 373.55353),(51 372.9251),(52 379.21655),(53 379.2335),(54 385.05008),(55 384.2927),(56 386.50043),(57 388.29724),(58 387.42215),(59 388.11365),(60 386.56052),(61 385.20245),(62 387.65662),(63 387.06973),(64 393.61316),(65 392.33356),(66 389.812),(67 390.8535),(68 391.04932),(69 393.61362),(70 396.2145),(71 397.997),(72 397.97647),(73 400.24988),(74 400.26636),(75 397.95532),(76 399.73026),(77 400.6925),(78 390.13913),(79 391.29086),
(1 209.12929),(2 262.52747),(3 284.94135),(4 297.8203),(5 307.25784),(6 314.42456),(7 320.63422),(8 324.47144),(9 329.93192),(10 331.55652),(11 329.60522),(12 333.16956),(13 334.87827),(14 338.65088),(15 338.9887),(16 340.57874),(17 341.1109),(18 345.60892),(19 344.37463),(20 346.6516),(21 347.43115),(22 351.17413),(23 352.6955),(24 352.69498),(25 353.78903),(26 358.5669),(27 358.49902),(28 357.1987),(29 360.58),(30 359.03937),(31 361.30698),(32 360.77127),(33 360.5658),(34 361.25507),(35 362.44608),(36 365.211),(37 362.4624),(38 366.1303),(39 363.0252),(40 368.68045),(41 369.45883),(42 369.2622),(43 369.378),(44 367.29272),(45 363.45636),(46 365.33197),(47 363.45984),(48 365.66516),(49 368.12317),(50 374.01453),(51 368.5622),(52 371.69574),(53 371.39288),(54 377.33118),(55 380.6811),(56 379.67105),(57 380.02884),(58 380.2687),(59 377.5442),(60 376.38968),(61 376.95352),(62 380.7256),(63 379.81512),(64 380.47217),(65 381.32825),(66 384.87228),(67 386.58618),(68 389.04395),(69 388.95535),(70 392.1545),(71 393.43488),(72 391.9948),(73 389.0139),(74 391.97757),(75 388.73495),(76 387.40378),(77 388.329),(78 387.95453),(79 387.2519),
(1 206.41222),(2 265.1136),(3 285.52014),(4 294.84192),(5 306.3014),(6 313.03165),(7 321.5423),(8 321.7754),(9 329.4875),(10 330.57025),(11 334.84653),(12 334.52206),(13 335.33444),(14 337.5221),(15 338.48602),(16 338.42383),(17 338.83145),(18 342.17996),(19 339.70404),(20 343.15466),(21 344.04288),(22 345.84946),(23 347.75613),(24 347.49136),(25 347.5232),(26 351.87622),(27 353.58234),(28 353.1245),(29 352.13458),(30 351.4041),(31 356.41962),(32 357.02335),(33 355.47394),(34 352.9403),(35 351.03818),(36 355.0399),(37 356.4547),(38 357.72183),(39 356.54904),(40 356.61182),(41 356.702),(42 356.375),(43 355.95474),(44 356.1855),(45 356.6014),(46 356.14966),(47 356.762),(48 357.78983),(49 360.91394),(50 364.31134),(51 363.47797),(52 366.10602),(53 366.64297),(54 373.93402),(55 372.30548),(56 372.59488),(57 372.49933),(58 375.36234),(59 375.0165),(60 373.3082),(61 371.6235),(62 374.18033),(63 374.229),(64 374.8822),(65 378.98),(66 380.43198),(67 382.5811),(68 385.72723),(69 387.74994),(70 386.32544),(71 389.8259),(72 392.9077),(73 395.45123),(74 399.45547),(75 395.22626),(76 394.13977),(77 396.1062),(78 394.43384),(79 393.94662),
(1 204.24055),(2 262.61975),(3 276.61722),(4 289.08286),(5 297.35095),(6 301.1694),(7 311.03162),(8 318.4459),(9 320.36505),(10 320.11987),(11 321.59528),(12 320.9275),(13 323.16943),(14 328.2496),(15 327.67044),(16 326.39374),(17 327.09256),(18 331.6853),(19 333.3586),(20 334.24164),(21 334.9495),(22 334.04984),(23 335.63647),(24 334.88104),(25 334.9506),(26 339.26273),(27 340.9575),(28 341.28653),(29 341.314),(30 341.42767),(31 344.85715),(32 343.4962),(33 343.43225),(34 344.10144),(35 340.99255),(36 342.08838),(37 344.7866),(38 346.53387),(39 345.8813),(40 345.47235),(41 347.65668),(42 348.93182),(43 345.87613),(44 347.46445),(45 346.78433),(46 344.48602),(47 347.48022),(48 351.2004),(49 351.17548),(50 353.04266),(51 351.48196),(52 350.8027),(53 348.80133),(54 353.1429),(55 355.79523),(56 355.69733),(57 356.76447),(58 352.86517),(59 353.71518),(60 352.48383),(61 356.3812),(62 357.7893),(63 360.83524),(64 366.38525),(65 367.4999),(66 366.45267),(67 369.5283),(68 372.8122),(69 374.3247),(70 371.97525),(71 374.7077),(72 375.39053),(73 378.7687),(74 382.7016),(75 374.58237),(76 374.66922),(77 376.77417),(78 376.69583),(79 377.8312),
(1 202.36667),(2 259.5155),(3 274.2518),(4 285.13458),(5 297.11264),(6 304.88486),(7 310.94333),(8 317.96017),(9 318.39728),(10 322.64368),(11 323.7785),(12 323.93628),(13 326.13116),(14 335.12274),(15 330.06848),(16 328.5758),(17 329.0256),(18 329.37747),(19 330.5868),(20 328.15768),(21 333.03308),(22 334.3776),(23 337.7698),(24 333.41452),(25 339.12094),(26 344.9188),(27 344.32068),(28 342.49863),(29 340.2209),(30 347.19604),(31 348.5263),(32 345.72623),(33 346.1485),(34 348.85852),(35 346.84723),(36 349.587),(37 349.79544),(38 349.8798),(39 347.0214),(40 349.37057),(41 351.6891),(42 352.83206),(43 349.85413),(44 348.38513),(45 344.8506),(46 342.58722),(47 346.03894),(48 348.97495),(49 351.80557),(50 350.49634),(51 350.61432),(52 352.83347),(53 354.85754),(54 359.2663),(55 360.6545),(56 358.17413),(57 358.86075),(58 357.59818),(59 357.62646),(60 352.96436),(61 358.4316),(62 358.1142),(63 355.84058),(64 361.11642),(65 359.87155),(66 359.58447),(67 360.25314),(68 362.1557),(69 361.16254),(70 361.62717),(71 367.05634),(72 367.66827),(73 373.41245),(74 373.29333),(75 366.61496),(76 364.58752),(77 365.48004),(78 364.8489),(79 364.3606),
(1 197.2918),(2 249.22894),(3 266.18546),(4 276.71243),(5 288.12234),(6 294.04324),(7 301.4329),(8 308.33447),(9 311.4612),(10 314.494),(11 316.36633),(12 316.17517),(13 318.9515),(14 323.61215),(15 320.14224),(16 319.67096),(17 322.19495),(18 320.38074),(19 325.8251),(20 323.25128),(21 320.97772),(22 328.61694),(23 327.95767),(24 328.28046),(25 329.4401),(26 333.14203),(27 334.86224),(28 333.91556),(29 332.105),(30 338.56488),(31 335.05914),(32 335.51797),(33 338.54822),(34 342.8895),(35 339.9051),(36 342.9282),(37 345.16205),(38 348.16437),(39 346.83987),(40 344.69632),(41 345.24866),(42 344.9872),(43 344.79117),(44 342.61252),(45 338.39307),(46 338.30237),(47 339.16953),(48 343.61572),(49 340.99744),(50 345.86508),(51 346.84662),(52 348.11935),(53 347.58514),(54 346.90225),(55 346.7179),(56 348.45792),(57 348.5848),(58 351.15936),(59 353.01224),(60 349.02838),(61 347.2441),(62 351.50952),(63 348.332),(64 352.4938),(65 355.3863),(66 358.13254),(67 362.35147),(68 365.3626),(69 365.42972),(70 366.56448),(71 370.0991),(72 369.51367),(73 368.05753),(74 373.41492),(75 373.84918),(76 376.61746),(77 379.9221),(78 377.75565),(79 380.28412),
(1 196.39815),(2 249.98218),(3 266.43008),(4 277.4181),(5 288.27838),(6 294.75168),(7 300.88333),(8 304.73425),(9 310.09402),(10 310.03754),(11 311.70984),(12 316.23636),(13 316.3744),(14 324.52014),(15 319.66498),(16 321.07123),(17 321.79623),(18 324.432),(19 323.58636),(20 323.25516),(21 326.15057),(22 328.56757),(23 328.3512),(24 324.10266),(25 326.65146),(26 330.54944),(27 335.18234),(28 335.60242),(29 336.0051),(30 338.76224),(31 335.68463),(32 339.18747),(33 339.34897),(34 337.36722),(35 334.0293),(36 337.63986),(37 336.39893),(38 335.15564),(39 336.14172),(40 340.4449),(41 339.8595),(42 342.58966),(43 339.17993),(44 337.39713),(45 335.87842),(46 332.67917),(47 336.92307),(48 339.24994),(49 341.09903),(50 340.58908),(51 338.4827),(52 341.55847),(53 344.86188),(54 346.09485),(55 349.20908),(56 352.19986),(57 353.84058),(58 351.41388),(59 350.9927),(60 349.0477),(61 349.85068),(62 352.00797),(63 351.55167),(64 353.17456),(65 352.54947),(66 351.14526),(67 353.17484),(68 356.0627),(69 355.685),(70 359.02014),(71 359.5237),(72 363.68768),(73 360.40216),(74 360.72992),(75 357.7131),(76 357.4472),(77 359.2671),(78 354.5505),(79 358.09204),
(1 193.2036),(2 247.95842),(3 263.2359),(4 272.69855),(5 283.32166),(6 286.42706),(7 291.26678),(8 296.43948),(9 299.03064),(10 304.0082),(11 305.0855),(12 310.23315),(13 311.3834),(14 318.0187),(15 315.17905),(16 313.11688),(17 314.089),(18 315.60767),(19 318.49863),(20 318.40237),(21 318.8567),(22 323.79016),(23 324.5725),(24 321.22025),(25 325.3962),(26 330.47513),(27 328.23975),(28 332.64197),(29 331.32568),(30 331.76996),(31 333.91324),(32 333.8403),(33 330.65955),(34 333.44946),(35 331.25833),(36 334.43405),(37 333.1578),(38 336.4308),(39 331.74045),(40 333.35117),(41 334.65836),(42 335.15384),(43 336.5105),(44 332.54834),(45 334.50665),(46 332.36423),(47 332.27512),(48 336.7518),(49 337.8788),(50 340.9997),(51 340.7642),(52 338.54288),(53 339.5599),(54 339.45593),(55 343.0896),(56 344.91513),(57 346.18234),(58 346.88025),(59 348.86102),(60 345.2278),(61 344.02933),(62 344.768),(63 344.72482),(64 344.73422),(65 343.93622),(66 344.80103),(67 345.7174),(68 344.77176),(69 342.30078),(70 347.66806),(71 347.7378),(72 346.75195),(73 346.29584),(74 348.44864),(75 348.45255),(76 348.5425),(77 346.08774),(78 350.20642),(79 349.40356),
(1 189.62285),(2 241.56195),(3 256.95215),(4 267.23557),(5 276.37442),(6 281.1325),(7 288.2459),(8 288.3655),(9 288.55106),(10 289.15518),(11 291.06454),(12 292.86963),(13 295.82993),(14 298.75864),(15 295.21207),(16 297.9363),(17 303.31067),(18 300.73013),(19 299.16742),(20 299.55554),(21 299.9375),(22 303.91046),(23 304.52435),(24 303.92163),(25 306.207),(26 307.6421),(27 310.60953),(28 313.80313),(29 314.46152),(30 318.0096),(31 318.84006),(32 317.09103),(33 312.51608),(34 315.79892),(35 316.32297),(36 320.90347),(37 320.79645),(38 322.94025),(39 321.80634),(40 318.45154),(41 322.018),(42 324.1814),(43 322.28244),(44 322.58182),(45 321.2966),(46 318.07666),(47 319.64758),(48 319.94104),(49 322.12473),(50 325.83987),(51 318.92505),(52 321.5562),(53 324.89218),(54 330.02148),(55 332.0987),(56 332.74707),(57 335.94592),(58 336.8951),(59 334.15317),(60 334.1001),(61 330.25885),(62 334.20563),(63 332.8451),(64 334.3773),(65 336.73157),(66 335.15714),(67 337.09424),(68 339.97342),(69 337.53784),(70 337.0431),(71 340.86096),(72 346.60757),(73 343.78717),(74 346.8612),(75 347.3979),(76 346.79208),(77 344.4102),(78 344.7581),(79 344.1435),
(1 188.20804),(2 237.82086),(3 255.33199),(4 266.65436),(5 278.83676),(6 281.59338),(7 289.45944),(8 290.88617),(9 292.74838),(10 295.74152),(11 298.14542),(12 301.41183),(13 304.80014),(14 307.5635),(15 302.29926),(16 301.44162),(17 306.79126),(18 305.71555),(19 305.36603),(20 306.40247),(21 306.61484),(22 309.99774),(23 311.60934),(24 308.60654),(25 309.53098),(26 312.64514),(27 313.21576),(28 314.4556),(29 315.97705),(30 317.70816),(31 318.45996),(32 318.25452),(33 318.4867),(34 320.18497),(35 317.80054),(36 317.98804),(37 319.49078),(38 320.56174),(39 317.62985),(40 317.8421),(41 321.44287),(42 317.25137),(43 319.02435),(44 317.98413),(45 318.3479),(46 315.1697),(47 318.78745),(48 316.87735),(49 317.48276),(50 325.48846),(51 323.49896),(52 326.7678),(53 327.05215),(54 328.55206),(55 330.0773),(56 330.30756),(57 328.21014),(58 326.76724),(59 330.76367),(60 327.6311),(61 322.87485),(62 326.5775),(63 325.21127),(64 327.1419),(65 327.18045),(66 331.26028),(67 332.92395),(68 335.36383),(69 335.31967),(70 338.08682),(71 338.6317),(72 343.17148),(73 343.10464),(74 344.51816),(75 342.07483),(76 341.753),(77 339.60663),(78 339.46796),(79 341.6346),
