1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 13947.489),(2 29795.47),(3 56500.49),(4 85563.414),(5 124971.18),(6 158149.58),(7 195722.95),(8 239057.11),(9 277029.97),(10 303581.72),(11 345245.53),(12 372172.6),(13 416610.66),(14 445290.03),(15 486158.66),(16 512550),(17 560861.44),(18 593365.2),(19 631663.3),(20 665264.8),(21 706173.2),(22 737003.8),(23 792471.25),(24 849409.75),(25 904051.25),(26 950333.3),(27 995733.75),(28 1022706.2),(29 1049843.4),(30 1084715.6),(31 1118897.9),(32 1148039.9),(33 1203965.1),(34 1232447),(35 1279553.3),(36 1311706.9),(37 1364595.1),(38 1376821.4),(39 1437595),(40 1483377.5),(41 1536919),(42 1602295.4),(43 1670807.4),(44 1721063.1),(45 1781094),(46 1824687.1),(47 1886759),(48 1954937.9),(49 2022458.9),(50 2058312.6),(51 2100084.8),(52 2129910.5),(53 2213605.3),(54 2236388.5),(55 2276775),(56 2336384),(57 2370076.8),(58 2459088.8),(59 2500764.3),(60 2571412.3),(61 2600913),(62 2676838),(63 2726018.8),(64 2797063),(65 2830754),(66 2897119.8),(67 3001246),(68 3050907.3),(69 3110470.3),(70 3171600),(71 3231120),(72 3311400),(73 3405833.3),(74 3497304),(75 3621352.8),(76 3749834.8),(77 3893242.3),(78 4345922.5),(79 4541686),
(1 18307.037),(2 57446.902),(3 104648.164),(4 139883.14),(5 162694.75),(6 175296.55),(7 182709.94),(8 190123.25),(9 198822.23),(10 207495.86),(11 214296.16),(12 217474.19),(13 216887.84),(14 217273.38),(15 222442.4),(16 231765.63),(17 242825.38),(18 252230.92),(19 259128.8),(20 261392.63),(21 261089.8),(22 259768.05),(23 258239.02),(24 256011.8),(25 256591.23),(26 259341.72),(27 265028.56),(28 270809),(29 274406.03),(30 278184.53),(31 280352.1),(32 282284.53),(33 285294.6),(34 286431.53),(35 289070.38),(36 292707.94),(37 297084.56),(38 300117.84),(39 303022.9),(40 302339.38),(41 301927.1),(42 301249.25),(43 301335.88),(44 300845.44),(45 301425.63),(46 303592.9),(47 304015.22),(48 304041.16),(49 302352.53),(50 301621.4),(51 300028.78),(52 297975.13),(53 296077.63),(54 293687),(55 292948.34),(56 293154.4),(57 290722.44),(58 290072.9),(59 290795.7),(60 293410.56),(61 295485.72),(62 299324.34),(63 302437.72),(64 302686.75),(65 302067.1),(66 299552.94),(67 299844.3),(68 300518.16),(69 303253.2),(70 303759.3),(71 301856),(72 299132.03),(73 297099.16),(74 294853.97),(75 293610.22),(76 292750.75),(77 291933),(78 291225.34),(79 289945.22),
(1 18426.629),(2 56903.633),(3 102340.195),(4 136624.95),(5 159357),(6 172789.88),(7 181481.14),(8 188951.42),(9 195374.11),(10 202507.66),(11 207620.3),(12 211731.64),(13 215867.53),(14 221487.81),(15 227340.92),(16 233809.3),(17 238560.95),(18 240916.3),(19 243534.88),(20 244797.83),(21 246332.56),(22 247523.66),(23 247367.88),(24 247226.86),(25 247668.81),(26 247238.33),(27 247160.86),(28 250123.1),(29 250895.27),(30 252142.28),(31 253633.36),(32 255406.81),(33 259889.05),(34 264695.06),(35 269262.53),(36 272349.5),(37 274363.97),(38 274152.47),(39 273199.34),(40 270488.4),(41 267755.66),(42 267166.75),(43 269723.3),(44 274655.56),(45 278764.53),(46 279527.06),(47 278881.72),(48 276553.78),(49 274323.97),(50 274212.88),(51 277436.94),(52 280853.9),(53 283866.25),(54 284641.4),(55 284948.28),(56 285923.75),(57 286695.97),(58 288454.53),(59 289255.66),(60 291712.72),(61 292322.2),(62 293934.38),(63 295386.2),(64 296897.25),(65 297470.88),(66 294246.1),(67 290829.7),(68 288336.8),(69 289238.03),(70 292901.13),(71 295996.72),(72 298820.06),(73 301178.2),(74 301822.9),(75 301173.9),(76 299184.3),(77 299551.47),(78 299921.9),(79 300327.38),
(1 17601.256),(2 54558),(3 98417.85),(4 133726.33),(5 158652.77),(6 174316.94),(7 185012.39),(8 192296.02),(9 198392.45),(10 202540),(11 204818.02),(12 206238.89),(13 207316.28),(14 211472.72),(15 216280.1),(16 221928.63),(17 227943.77),(18 232012.89),(19 234480.28),(20 235066.8),(21 234077.77),(22 231166.05),(23 228854.88),(24 227065.33),(25 227318.78),(26 229168.23),(27 232789.27),(28 237550.22),(29 240671.44),(30 242858.48),(31 243215.22),(32 242346.98),(33 243913.63),(34 247592.28),(35 253144.95),(36 258040.88),(37 261791.3),(38 262550.7),(39 264474.7),(40 266008),(41 268826.94),(42 273537.44),(43 278476.34),(44 280458.56),(45 279818.75),(46 278471.97),(47 277674.8),(48 277890.84),(49 276633.6),(50 275239.25),(51 273627.13),(52 273012.03),(53 275489.78),(54 277495.25),(55 280260.63),(56 283697.2),(57 285416.25),(58 286925.22),(59 287828.1),(60 288444.3),(61 288235.1),(62 288915.84),(63 289225.75),(64 291075.4),(65 292306),(66 293450.5),(67 295008.38),(68 296264.4),(69 298121.78),(70 298446.4),(71 298146.1),(72 297552.03),(73 298140.3),(74 296843.8),(75 296778.6),(76 295754.84),(77 293535.9),(78 292750.28),(79 290676.16),
(1 18649.953),(2 57756.97),(3 103604.914),(4 136145.64),(5 154372.4),(6 161776.94),(7 166564.5),(8 171723.72),(9 178535.75),(10 185532.78),(11 188833.22),(12 188687.72),(13 187921.7),(14 191230.66),(15 198864.86),(16 208232.92),(17 216122.73),(18 220135.72),(19 221139.52),(20 217911.95),(21 215015.66),(22 212709.5),(23 212345.22),(24 213822.69),(25 215365.72),(26 216482.47),(27 218238.2),(28 220566.48),(29 221847.89),(30 224144.84),(31 226698.3),(32 228747.7),(33 233086.83),(34 234590.95),(35 235332.73),(36 234686.06),(37 234153.14),(38 232434.61),(39 233589.44),(40 235520.06),(41 238194.78),(42 242740.3),(43 246221.05),(44 247566.36),(45 247669.7),(46 248762.98),(47 250668.36),(48 252874.06),(49 254739.05),(50 255074.53),(51 255080.2),(52 253114.06),(53 254057.44),(54 257186.9),(55 262780.13),(56 269360.34),(57 273990.7),(58 277929.66),(59 279228.28),(60 279116.56),(61 276159.2),(62 275126.4),(63 276729.63),(64 279355.78),(65 282473.6),(66 283631.84),(67 284963.44),(68 284752.8),(69 283059.56),(70 281933.53),(71 281353.72),(72 281440),(73 282149.94),(74 281067.53),(75 279181.2),(76 275494.03),(77 271105.78),(78 265520.84),(79 259570.02),
(1 18596.379),(2 56941.555),(3 99821.516),(4 131730.83),(5 151320.78),(6 162594.11),(7 172939.1),(8 181123.25),(9 187950.69),(10 193079.69),(11 195606.45),(12 197527.78),(13 201215.06),(14 208236.28),(15 216173.42),(16 222487.94),(17 223060.75),(18 219600.23),(19 215508.98),(20 212809.02),(21 212034.14),(22 211698.25),(23 213038),(24 215164.97),(25 218913.78),(26 222352.1),(27 224805.28),(28 226312),(29 226445.63),(30 227876.44),(31 230780.64),(32 232476.95),(33 234893.06),(34 237254.34),(35 239621.72),(36 240308.55),(37 240439.83),(38 239663.95),(39 239404.53),(40 238779.84),(41 240313.06),(42 244195.83),(43 248066.64),(44 252037.55),(45 255045.23),(46 256144.98),(47 258136.47),(48 259969.95),(49 260240.23),(50 261560.06),(51 262362.13),(52 262119.02),(53 262814.56),(54 263103.06),(55 264341.4),(56 266232),(57 266127.9),(58 267463.3),(59 267752.9),(60 268804.2),(61 266724.1),(62 264776.7),(63 264001.6),(64 265315.72),(65 267992.47),(66 269630.94),(67 269420.44),(68 265256.7),(69 261003.98),(70 259672.47),(71 259695.2),(72 259276.23),(73 258179.34),(74 256667.55),(75 257229.23),(76 257485.77),(77 255648.6),(78 254898.17),(79 253864.23),
(1 18585.424),(2 57894.918),(3 101112.24),(4 132766.69),(5 152041.47),(6 163200.02),(7 173227.63),(8 180557.27),(9 186737),(10 193459.6),(11 197021.39),(12 200014.25),(13 204488.38),(14 210784.2),(15 216819.06),(16 222286.13),(17 224518.25),(18 223790.6),(19 222331.52),(20 220378.48),(21 220620.81),(22 220994.61),(23 221499.42),(24 221113.61),(25 222907.28),(26 224804.94),(27 227266.27),(28 230167.13),(29 230309.28),(30 230877.89),(31 232741.75),(32 233173.84),(33 235080.02),(34 235836.27),(35 236814.38),(36 236284.33),(37 236080.72),(38 234872.75),(39 234847.11),(40 235191.16),(41 235877.63),(42 237358.78),(43 239439.89),(44 240671.45),(45 240462.22),(46 238266.63),(47 235420.52),(48 234030.05),(49 232288.55),(50 232115.92),(51 233625.05),(52 237733.16),(53 242578.34),(54 247216.19),(55 251494.08),(56 252774.81),(57 251739.48),(58 252199.39),(59 252481.52),(60 251742.75),(61 248516.86),(62 245409.95),(63 244198.19),(64 243478.92),(65 245309.27),(66 247972.42),(67 250734.06),(68 251143.22),(69 249565.39),(70 248703.19),(71 248776.73),(72 249208.98),(73 249295.34),(74 248787.52),(75 251128.28),(76 251719.27),(77 250147.88),(78 247547.84),(79 246760.28),
(1 17782.6),(2 54296.777),(3 95405.8),(4 125679.17),(5 143878.36),(6 153321.03),(7 159663.31),(8 165511.98),(9 172308.13),(10 178495.56),(11 180742.34),(12 181587.23),(13 183501.95),(14 187908.25),(15 193871.56),(16 200059.88),(17 202149.39),(18 201623.33),(19 200223.13),(20 198102.2),(21 196609.61),(22 196197.08),(23 197437.9),(24 199490.55),(25 202400.4),(26 204545.36),(27 207033.78),(28 210228.61),(29 212970.63),(30 214994.05),(31 217799.81),(32 218624.44),(33 220988.95),(34 221691.23),(35 223499.13),(36 225510.75),(37 227745.94),(38 229377.08),(39 230447.39),(40 229206.28),(41 227852.92),(42 225977.98),(43 223758.9),(44 221095.19),(45 219583.39),(46 218205.11),(47 216734.92),(48 217382.58),(49 219272.64),(50 222809.67),(51 226217.64),(52 228688.89),(53 231378.56),(54 232738.39),(55 233247.03),(56 232490.58),(57 231675.19),(58 233834.9),(59 236882.53),(60 240584.48),(61 242046.92),(62 242424.77),(63 242357.3),(64 243627.7),(65 244920.84),(66 246157.25),(67 246152.1),(68 246825.17),(69 247552.53),(70 248270.7),(71 249773.5),(72 249765.1),(73 250084.06),(74 250321.05),(75 251915.67),(76 252960.1),(77 252968.06),(78 252731.27),(79 252660.14),
(1 16910.709),(2 51173.895),(3 89452.4),(4 117767.914),(5 133288.88),(6 140779.6),(7 145266.34),(8 149277.77),(9 152814.11),(10 155102.77),(11 153099.34),(12 152995.64),(13 157523.86),(14 165162.14),(15 171803.17),(16 175317.56),(17 175297.78),(18 174925.47),(19 176566.75),(20 180775.53),(21 185851.45),(22 189503.2),(23 192003.56),(24 193645.84),(25 195274.17),(26 196986.47),(27 199557.78),(28 200167.86),(29 199414.14),(30 199096.17),(31 201734.98),(32 204531.4),(33 207194.84),(34 208508.13),(35 210435.83),(36 212688.73),(37 216200.84),(38 218760.8),(39 221562.23),(40 222933.64),(41 222982.3),(42 221735.92),(43 218885.66),(44 215815.95),(45 213151.72),(46 210226.05),(47 208793.84),(48 207788.06),(49 207701.19),(50 208785.9),(51 211420.14),(52 212669.05),(53 213924.53),(54 214270.42),(55 215630.38),(56 216536.95),(57 214703.4),(58 213158.88),(59 211402.94),(60 211156.88),(61 210966.89),(62 214010.1),(63 216423.11),(64 219410.02),(65 220825.06),(66 219543.02),(67 217067.42),(68 215666.66),(69 215198.94),(70 214474.9),(71 212575.45),(72 210811.16),(73 210002.1),(74 208452.9),(75 207716.95),(76 207861.36),(77 208635.19),(78 211684),(79 214588.75),
(1 17351.146),(2 52735.457),(3 91869.805),(4 119138.95),(5 133136.52),(6 139756.27),(7 142984.13),(8 144969.8),(9 147865.97),(10 151236.63),(11 154531.5),(12 160106.89),(13 168056.03),(14 176532.2),(15 182519.2),(16 185238.94),(17 184750.78),(18 183061.94),(19 183185.47),(20 183862.88),(21 185367.13),(22 185658.61),(23 185657.55),(24 186293.27),(25 188193.03),(26 189703.64),(27 191599.03),(28 191916.45),(29 191195.61),(30 191055.08),(31 193063.67),(32 194769.27),(33 198037.53),(34 199304.48),(35 201347.61),(36 201046.11),(37 200077.58),(38 198964.53),(39 199255.61),(40 200079.38),(41 201573.92),(42 202412.9),(43 203145.8),(44 202815.83),(45 202361.16),(46 200486.42),(47 198783.06),(48 196584.16),(49 193997.53),(50 194758.88),(51 195968.02),(52 197936.38),(53 199644.27),(54 199223.84),(55 197807.16),(56 197417.22),(57 198230.44),(58 200712.22),(59 202816.94),(60 206783.17),(61 210422.78),(62 214099.13),(63 215761.25),(64 217135.94),(65 218388.8),(66 219048.78),(67 218743.36),(68 217121.47),(69 217068.08),(70 218665.78),(71 220488.19),(72 219986.97),(73 218870.73),(74 216384.11),(75 213588.55),(76 213704.06),(77 215333.56),(78 219254.42),(79 221543.08),
(1 16429.744),(2 49191.496),(3 85969.93),(4 112490.33),(5 128843.414),(6 137589.64),(7 143315.9),(8 145484.45),(9 148571.44),(10 152586.6),(11 156558.08),(12 162783.45),(13 169228.86),(14 176020.17),(15 179410.73),(16 181635.69),(17 182052.34),(18 181261.14),(19 181251.88),(20 182940.1),(21 185177.98),(22 186963.5),(23 187949.69),(24 188551.47),(25 188926.86),(26 189136.52),(27 188338.23),(28 187631.97),(29 186218.77),(30 185886.36),(31 186849.97),(32 187510.42),(33 187438),(34 185523.19),(35 184892.81),(36 184622.42),(37 186583.38),(38 188286.97),(39 190420.78),(40 191395.08),(41 191070.17),(42 190920.33),(43 188491.05),(44 186994.39),(45 186828.92),(46 187507.47),(47 189248.83),(48 191401.13),(49 192600.6),(50 194808.28),(51 196545.7),(52 197941.89),(53 200008.52),(54 198647.89),(55 197724.84),(56 197605.25),(57 198562.84),(58 200608.02),(59 201623.4),(60 204002.3),(61 205468.94),(62 208522.72),(63 211261.78),(64 214095.61),(65 214725.9),(66 214744.97),(67 216326.06),(68 217379.48),(69 218919.94),(70 222021.3),(71 224537.22),(72 226150.5),(73 227024.88),(74 226043.88),(75 225237.1),(76 223797.1),(77 222897.78),(78 223975.06),(79 226019.28),
(1 17097.555),(2 51517.18),(3 89218.02),(4 113691.15),(5 126601.49),(6 133151.61),(7 140014.17),(8 147502.36),(9 154033.36),(10 158045.02),(11 159880.22),(12 164386.47),(13 172032.22),(14 179852.2),(15 183229.1),(16 184098.5),(17 183494.08),(18 183459.11),(19 184895.72),(20 186805.1),(21 188601.4),(22 189510.75),(23 189322.72),(24 190388.53),(25 192445.84),(26 194002.45),(27 193694.16),(28 192935.69),(29 193606.69),(30 196415.58),(31 199020.58),(32 199061.23),(33 197096.67),(34 194925.13),(35 194627.39),(36 195811.53),(37 197144.94),(38 197183.36),(39 196892.64),(40 196137.34),(41 195669.03),(42 194489.64),(43 193634.14),(44 194781.56),(45 196851.4),(46 197908.08),(47 198720.72),(48 198195.48),(49 197345.31),(50 197361.88),(51 198201.47),(52 198050.73),(53 198797.88),(54 199369.42),(55 198390.88),(56 196383.4),(57 196982.05),(58 201305.36),(59 204700.73),(60 207590.95),(61 210461.06),(62 214036.98),(63 217027.05),(64 220349.72),(65 222779.77),(66 222749.88),(67 223227.02),(68 222172.47),(69 221141.47),(70 221580.39),(71 222397.84),(72 224070.06),(73 224313.63),(74 222698.2),(75 222723.98),(76 224035.4),(77 224057.06),(78 223922.6),(79 223515.92),
(1 17666.758),(2 53256.332),(3 90927.17),(4 115296.79),(5 129431.32),(6 138583.16),(7 146755.23),(8 153375.1),(9 157978.42),(10 160256.42),(11 162009.34),(12 167266.17),(13 173701.89),(14 178636),(15 178352.08),(16 176301.14),(17 175641.47),(18 177904.39),(19 182417.4),(20 184428.2),(21 184416.94),(22 183422.44),(23 183787.81),(24 186508.53),(25 189558.52),(26 190602.34),(27 189783.48),(28 187837.16),(29 186354.66),(30 187597.81),(31 190140.28),(32 192698.31),(33 194803.23),(34 196081.56),(35 196923.75),(36 196128.31),(37 194861.98),(38 192294.66),(39 189915.52),(40 187845.8),(41 188729.14),(42 189526.5),(43 188505.55),(44 186649.61),(45 184607.66),(46 183959.98),(47 185840.22),(48 188724.94),(49 189665.28),(50 190423.89),(51 190884.9),(52 191933.48),(53 193831.17),(54 194012.45),(55 194928.66),(56 196896.83),(57 198209.88),(58 200290.39),(59 201477.83),(60 203213.67),(61 203787.19),(62 205235.77),(63 205380.78),(64 204863.97),(65 205394.13),(66 206271.86),(67 207100.97),(68 207156.14),(69 207026.78),(70 207966.34),(71 210429.89),(72 212837.92),(73 214046.56),(74 214861.98),(75 216564.75),(76 219138.81),(77 220613.22),(78 222945.13),(79 223646.6),
(1 17678.244),(2 52915.992),(3 90118.31),(4 114112.06),(5 126155.42),(6 131862.66),(7 136554.95),(8 142724.28),(9 150388.7),(10 157050.17),(11 162489.72),(12 168194.69),(13 172996.72),(14 176240.23),(15 176935.33),(16 176789.84),(17 175740.83),(18 176473.42),(19 178144.33),(20 178928.03),(21 177888.77),(22 175876.97),(23 174895.84),(24 175793.31),(25 177222),(26 179251.19),(27 181797.75),(28 182470.2),(29 181897.05),(30 181890.47),(31 183120.23),(32 185468.28),(33 188659.55),(34 190669.3),(35 192990.63),(36 193601.3),(37 194690.39),(38 195398.55),(39 196711.02),(40 194660.13),(41 191888.84),(42 190187.17),(43 189927.58),(44 190517.83),(45 190868.31),(46 190261.38),(47 189972.89),(48 190722.38),(49 191419.02),(50 192373.17),(51 192366.2),(52 192005.27),(53 193171.8),(54 193040.48),(55 193051.1),(56 191984.63),(57 191121.84),(58 190681.8),(59 191814.56),(60 193523.86),(61 192981.03),(62 190508.47),(63 187505.38),(64 187019.02),(65 187219.77),(66 187982.23),(67 190076),(68 191370.98),(69 193286.17),(70 194546.17),(71 195688.75),(72 198962.17),(73 204687.05),(74 210016.39),(75 213332.11),(76 213465.72),(77 211398.25),(78 208551.75),(79 207844.89),
(1 15523.829),(2 45764.266),(3 76333.54),(4 96109.37),(5 107290),(6 114540.78),(7 120450.91),(8 125639.49),(9 131503.22),(10 136025.86),(11 139344.63),(12 143412.28),(13 149184.31),(14 154527.34),(15 157517.5),(16 158808.19),(17 159812.94),(18 160640.61),(19 161228.56),(20 161805.97),(21 163594.48),(22 165838.19),(23 168376.52),(24 171074.13),(25 173553.45),(26 173920.89),(27 173966.36),(28 173745.88),(29 174268.75),(30 175651.36),(31 175815.55),(32 175082.25),(33 174777.45),(34 173978.08),(35 173126.4),(36 173035.05),(37 174030.4),(38 174886.2),(39 176164.06),(40 175802.94),(41 174943.9),(42 174726.03),(43 175192.36),(44 176819.2),(45 179321.98),(46 180579.55),(47 181421.39),(48 182886.83),(49 184079.78),(50 186027.11),(51 186664.36),(52 185050.28),(53 183827.22),(54 183790.48),(55 185232.28),(56 186899.05),(57 187915.98),(58 188798.1),(59 188237.69),(60 188684.06),(61 189147.52),(62 190580.95),(63 191056.58),(64 190761.8),(65 189743.05),(66 188751.73),(67 188208.6),(68 187998.56),(69 188630.22),(70 189989.52),(71 190282.48),(72 190942.73),(73 192912.55),(74 194956.75),(75 194838.84),(76 195083.8),(77 196003.44),(78 197137.39),(79 197351.25),
(1 16181.925),(2 47601.63),(3 80897.55),(4 101496.6),(5 111855.61),(6 118513.625),(7 127136.33),(8 134348),(9 139650.84),(10 142539.95),(11 145545.4),(12 151785.02),(13 160653.23),(14 167589.5),(15 169247.73),(16 168861.39),(17 168361.22),(18 169459.75),(19 171137.75),(20 171292.8),(21 170654.16),(22 172165.98),(23 176300.42),(24 181546.66),(25 184112.77),(26 182661.88),(27 180151.16),(28 177871.42),(29 177769.77),(30 179878.61),(31 181541.19),(32 181316.36),(33 180732.45),(34 179528.52),(35 178975.52),(36 178603.02),(37 177840.02),(38 176969.92),(39 178028.77),(40 178956.1),(41 179209.28),(42 179388.03),(43 178324.67),(44 178439.83),(45 181348.42),(46 185147.33),(47 188667.23),(48 189628.17),(49 188346.69),(50 186064.28),(51 182575.78),(52 179827.19),(53 180017.52),(54 180736.77),(55 182762.05),(56 183828.64),(57 183453.38),(58 183006.88),(59 182591.23),(60 183094.39),(61 183441.64),(62 183320.39),(63 182329.97),(64 182651.58),(65 183563.86),(66 182967.52),(67 182872.97),(68 182616.94),(69 183562.02),(70 185247.92),(71 186741.95),(72 187934.45),(73 188991.22),(74 189225.81),(75 190289.5),(76 193203.06),(77 195418.44),(78 197183.02),(79 198533.03),
(1 15722.993),(2 45678.07),(3 76811.32),(4 96504.18),(5 106464.56),(6 113060.01),(7 119052.84),(8 124190.25),(9 128904.734),(10 132821.6),(11 136484.08),(12 140742.05),(13 146485.6),(14 151140.39),(15 153518.58),(16 155635.23),(17 157449.14),(18 158815.9),(19 159682.97),(20 158977.56),(21 159008.48),(22 160225.92),(23 162454.52),(24 165862.86),(25 168150.7),(26 169993.11),(27 171049.53),(28 172368.81),(29 172668.08),(30 172677.1),(31 172158.31),(32 170742.23),(33 168889.33),(34 167394.6),(35 166451.38),(36 164877.73),(37 164483.81),(38 163441.86),(39 162644.14),(40 162437.67),(41 162671.13),(42 163018.6),(43 163395.02),(44 164659.67),(45 166131.36),(46 168188.63),(47 170481.31),(48 172672.83),(49 173359.14),(50 174388.38),(51 174845.1),(52 173718.17),(53 173702.97),(54 174808.61),(55 177553.69),(56 180681.31),(57 181698.88),(58 181611.03),(59 180474.38),(60 181219.73),(61 182722.1),(62 183774.64),(63 181402.1),(64 179650),(65 178493.38),(66 178743.73),(67 179544.27),(68 180245.78),(69 181573.83),(70 183657.64),(71 186504.63),(72 189474.53),(73 192512.1),(74 194679.2),(75 196746.27),(76 199033.88),(77 199478.67),(78 200779.92),(79 200991.61),
(1 15207.047),(2 44041.08),(3 72761.89),(4 89726.76),(5 97001.46),(6 101325.35),(7 106628.4),(8 114141.96),(9 121397.56),(10 126416.64),(11 128603.15),(12 131493.08),(13 136002.86),(14 140221.25),(15 141480.33),(16 142192.03),(17 143350.34),(18 145002.63),(19 147736.58),(20 148573.13),(21 148557.05),(22 148265.38),(23 149055.27),(24 150340.22),(25 150931.53),(26 151111.7),(27 152117.78),(28 154615.14),(29 155637.25),(30 155395.03),(31 154725.14),(32 156320.31),(33 158832.14),(34 161488.55),(35 163510.16),(36 165315.72),(37 167482.9),(38 167237.89),(39 166042.48),(40 163664.9),(41 161772.38),(42 161091.53),(43 160442.88),(44 161181.27),(45 161660.1),(46 162803.69),(47 165014.28),(48 166302.44),(49 165674.53),(50 165267.34),(51 163987.9),(52 163244.3),(53 163399.9),(54 162415.97),(55 162710.72),(56 164194.11),(57 166360.53),(58 168737.64),(59 168675.89),(60 169019.89),(61 169943.34),(62 171389.75),(63 171286.69),(64 171545.53),(65 171211.9),(66 170975.11),(67 171778.48),(68 173057.63),(69 175170.61),(70 178437.66),(71 180641.97),(72 179565.1),(73 176777.88),(74 174335.02),(75 173791.81),(76 173618.97),(77 173678.88),(78 173969.95),(79 173601.48),
(1 15142.531),(2 43595.996),(3 70631.89),(4 85055.516),(5 92000.67),(6 97552.59),(7 104828.02),(8 110889.05),(9 115738.805),(10 118814.336),(11 120997.13),(12 124941.01),(13 128626.3),(14 131271.25),(15 132535.97),(16 135164.16),(17 138981.02),(18 142026.88),(19 144455.13),(20 144618.88),(21 144879.11),(22 146701.39),(23 148540.63),(24 149489.02),(25 148792.06),(26 146862.3),(27 147443.97),(28 149082.98),(29 149314.5),(30 149100.39),(31 148787.98),(32 150318.63),(33 154414),(34 156737.1),(35 157084.58),(36 156309.14),(37 156008.95),(38 155673.7),(39 155392.45),(40 152674.72),(41 151208.97),(42 149854.36),(43 148795.23),(44 148842.27),(45 149303.61),(46 149979.3),(47 149999.38),(48 149983.64),(49 148977.31),(50 149478.83),(51 150837.94),(52 151842.28),(53 153596.17),(54 152677.94),(55 151727.95),(56 151270.61),(57 150593.56),(58 151253.1),(59 150934.42),(60 151661.38),(61 152141.55),(62 153616.84),(63 154156.48),(64 156348.75),(65 158124.03),(66 159071.16),(67 159102.06),(68 159532),(69 160517.58),(70 161129.69),(71 161515.77),(72 161648.27),(73 161907.2),(74 161945.63),(75 162681.73),(76 163916.13),(77 164296.4),(78 164442.66),(79 164783.73),
