1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 57473.074),(2 206642.7),(3 422873.22),(4 667298.2),(5 902020.2),(6 1088178.3),(7 1221194.6),(8 1294497.8),(9 1345718.8),(10 1391630.4),(11 1451861.5),(12 1541745.1),(13 1676268.1),(14 1839846),(15 2016658),(16 2204318.3),(17 2360169),(18 2497985.5),(19 2584969.3),(20 2637567),(21 2669589.3),(22 2690547.3),(23 2726242),(24 2821354.8),(25 2948735.3),(26 3129298),(27 3391830),(28 3690906),(29 4029405.8),(30 4384986),(31 4722005.5),(32 5039144.5),(33 5274604.5),(34 5457317),(35 5601530.5),(36 5806132),(37 6006117.5),(38 6212861.5),(39 6448798),(40 6700975.5),(41 6919514.5),(42 7119082.5),(43 7237200.5),(44 7302214.5),(45 7300587.5),(46 7269360.5),(47 7212292),(48 7192128.5),(49 7203390.5),(50 7299288),(51 7399690.5),(52 7514574.5),(53 7661976),(54 7781574),(55 7932717.5),(56 8104984),(57 8228163.5),(58 8329098.5),(59 8372531.5),(60 8381815.5),(61 8431094),(62 8492199),(63 8623167),(64 8816149),(65 9039448),(66 9311745),(67 9609343),(68 9938908),(69 10276278),(70 10593262),(71 10892597),(72 11192744),(73 11478723),(74 11798309),(75 12167941),(76 12580496),(77 12966013),(78 13399500),(79 13875051),
(1 14106.817),(2 40132.293),(3 64376.164),(4 82096.36),(5 94391.84),(6 102505.234),(7 108712.69),(8 114475.375),(9 119371.46),(10 123129.734),(11 125550.74),(12 126664.22),(13 127790.5),(14 128948.65),(15 130450.99),(16 131553.13),(17 132205.17),(18 133282.47),(19 135970.13),(20 138628.19),(21 140467.13),(22 140532.17),(23 139994.4),(24 140489.13),(25 141114.45),(26 142268.23),(27 143596.7),(28 144755.16),(29 145456.33),(30 145986.72),(31 146982.66),(32 147123.52),(33 147361.14),(34 148432.6),(35 149690.3),(36 149549.39),(37 148457.05),(38 147663.52),(39 146756.97),(40 145810.55),(41 144730.02),(42 144082.9),(43 143591.19),(44 143952.67),(45 143692.66),(46 143048.52),(47 143345.97),(48 144089.98),(49 144974.77),(50 144481.33),(51 144857.27),(52 145130.19),(53 145412.83),(54 146145.03),(55 146609.22),(56 147037.84),(57 147070.27),(58 147434.53),(59 147642.44),(60 147033.89),(61 144889.39),(62 143527.94),(63 141652.92),(64 140486.52),(65 140551.17),(66 140863.86),(67 139820.6),(68 138371.13),(69 137249.33),(70 136993.3),(71 137544.39),(72 137973.83),(73 138025.69),(74 137051.55),(75 135654.55),(76 135674.66),(77 136927.95),(78 138029.36),(79 139372.27),
(1 13456.784),(2 37693.34),(3 60010.438),(4 77112.33),(5 89106.85),(6 96852.14),(7 102322.33),(8 106239.234),(9 110058.45),(10 113564.01),(11 116762.54),(12 119355.82),(13 120891.61),(14 120883.71),(15 120529.99),(16 119614.08),(17 119802.055),(18 121499.68),(19 124411.086),(20 127367.39),(21 130037.12),(22 132050.78),(23 133484.55),(24 134517.17),(25 135731.39),(26 137281.42),(27 138243.45),(28 139186.9),(29 139776.17),(30 139492.47),(31 140006.42),(32 140347.3),(33 140751.64),(34 141067.14),(35 140592.06),(36 139750.72),(37 139472.14),(38 139189.61),(39 138907.78),(40 138630.55),(41 138960.47),(42 140121.23),(43 141510.89),(44 143248.36),(45 144526.94),(46 144739.86),(47 144070.06),(48 143653.4),(49 143713.94),(50 144266.06),(51 145192.25),(52 145721.33),(53 146257.31),(54 146184.1),(55 145439.83),(56 144512.58),(57 143362.2),(58 142988.78),(59 143013.75),(60 143434.23),(61 143908.1),(62 143878.67),(63 143758.73),(64 142505.77),(65 141564.97),(66 140950.52),(67 140200.28),(68 138925.03),(69 138352.55),(70 138098.66),(71 137229.16),(72 135074.39),(73 133358.92),(74 132315.14),(75 131566.2),(76 131560.39),(77 131208.08),(78 131257.38),(79 131577.75),
(1 13390.376),(2 37192.824),(3 58571.703),(4 73747.72),(5 84297.85),(6 91511.75),(7 96839.45),(8 100914.586),(9 104124.09),(10 106218.92),(11 106979.93),(12 106955.69),(13 106706.75),(14 107050),(15 107798.055),(16 108912.67),(17 110477.67),(18 112764.05),(19 115235.26),(20 117610.586),(21 119037.09),(22 120075.234),(23 121424.13),(24 122739.1),(25 124977.44),(26 126193.63),(27 126186),(28 127050.766),(29 128613.69),(30 128816.27),(31 128615.69),(32 129063.89),(33 128724.47),(34 128052.29),(35 127894.414),(36 128062.81),(37 128656.39),(38 129326.766),(39 129626.01),(40 129729.72),(41 130558.61),(42 131897.4),(43 133480.56),(44 134397.73),(45 134092.31),(46 133503.23),(47 132856.5),(48 132563.34),(49 131731.11),(50 131350.08),(51 131306.73),(52 131458.83),(53 130923.09),(54 131138.55),(55 130924.97),(56 130411.95),(57 129067.21),(58 128176.516),(59 128175.11),(60 127861.55),(61 128031.75),(62 128739.97),(63 129058.766),(64 129057.39),(65 129358.484),(66 129453.31),(67 129478.79),(68 129474.03),(69 129538.81),(70 129348.39),(71 129112.586),(72 128510.65),(73 126996.85),(74 125624.1),(75 124577.47),(76 123819.98),(77 123821.16),(78 123298.92),(79 123025.87),
(1 13532.08),(2 37826.195),(3 59369.133),(4 74482.64),(5 83316.5),(6 88823.01),(7 93149.24),(8 96696.94),(9 100383.664),(10 102938.99),(11 104572.78),(12 105942.64),(13 107387.89),(14 108467.25),(15 108747.01),(16 108744.32),(17 108978.19),(18 109714.164),(19 110266.89),(20 110594.95),(21 110884.28),(22 111138.305),(23 111593.2),(24 112318.734),(25 113419.72),(26 114993.09),(27 115050.2),(28 115193.93),(29 115954.164),(30 116655.44),(31 117943.125),(32 119447.93),(33 121175.14),(34 122589.164),(35 122985.5),(36 122441.28),(37 122889.62),(38 123412.83),(39 123302.836),(40 122652.81),(41 122763.68),(42 123443.14),(43 125596.28),(44 127105.836),(45 127932.44),(46 128420.81),(47 128340.76),(48 128589.8),(49 129052.695),(50 129446),(51 129483.62),(52 129496.15),(53 129628.72),(54 129345.664),(55 128689.72),(56 127808.305),(57 126433.11),(58 125391.6),(59 125052.18),(60 125248.88),(61 125860.32),(62 127712.85),(63 128461.66),(64 128596.75),(65 128074.36),(66 127762.42),(67 126695.68),(68 126032.38),(69 125351.58),(70 124736.52),(71 124720.11),(72 124346.89),(73 124278.77),(74 124780.55),(75 125352.38),(76 125257.695),(77 125127.92),(78 124752.57),(79 124664.5),
(1 13262.3),(2 37085.855),(3 58340.473),(4 73337.62),(5 82976.266),(6 88812.18),(7 92460.234),(8 94837.35),(9 96692.234),(10 98605.71),(11 99769.945),(12 101298.78),(13 102487.78),(14 103540.92),(15 104285.23),(16 105312.55),(17 106227.73),(18 106250.945),(19 106140.305),(20 105682.69),(21 105280.17),(22 105798.81),(23 106649.99),(24 108257.055),(25 109534.29),(26 110459.336),(27 110932.78),(28 110348.03),(29 110262.3),(30 110745.73),(31 110930.18),(32 110882.055),(33 110877.78),(34 110893.1),(35 111818.96),(36 113287.42),(37 114822.6),(38 115488.55),(39 116179.016),(40 117299.61),(41 118779.05),(42 119517.38),(43 120187.2),(44 120948.66),(45 121292.78),(46 121545.96),(47 121647.31),(48 121729.42),(49 121906.17),(50 122515.5),(51 123021.07),(52 122706.87),(53 122506.055),(54 122228.766),(55 122064.09),(56 121965.914),(57 121912.01),(58 121900.99),(59 121606.55),(60 121719.19),(61 121304.15),(62 120999.125),(63 120853.13),(64 121011.79),(65 121447.91),(66 122442.71),(67 122820.91),(68 122478.58),(69 122389.586),(70 122344.32),(71 122602.75),(72 122063.88),(73 122324.984),(74 122868.06),(75 122459.55),(76 122072.98),(77 121831.68),(78 122201.41),(79 121742.695),
(1 13161.0625),(2 36917.633),(3 58202.004),(4 72825.65),(5 83221.266),(6 90282.4),(7 94154.79),(8 96837.73),(9 99594.305),(10 102479.56),(11 104805.9),(12 106388.74),(13 107065.87),(14 107581.484),(15 107325.64),(16 107232.06),(17 107951.46),(18 109289.016),(19 110662.99),(20 110840.81),(21 110712.41),(22 110618.94),(23 111499.43),(24 112847.266),(25 113975.5),(26 114436.555),(27 114559.3),(28 114267.17),(29 114581.65),(30 113895.56),(31 113012.19),(32 112069.78),(33 111377.75),(34 111265.375),(35 111221.31),(36 111743.625),(37 112582.516),(38 113869.04),(39 114901.516),(40 116034.3),(41 117030.91),(42 117949.18),(43 118516.94),(44 118951.83),(45 119531.51),(46 120041.02),(47 121107.9),(48 121844.68),(49 122535.95),(50 122883.88),(51 123322.72),(52 123637.19),(53 124005.51),(54 123915.21),(55 122807.72),(56 122389.65),(57 122004.414),(58 121644.266),(59 120659.16),(60 119590.69),(61 118757.15),(62 118734.414),(63 118802.94),(64 119272.06),(65 119608.32),(66 119766.02),(67 119665.57),(68 120829.39),(69 121949.516),(70 122557.29),(71 121604.21),(72 120769.31),(73 120239.734),(74 120035.586),(75 119755.77),(76 119391.99),(77 118379.87),(78 116927.13),(79 115467.54),
(1 12547.23),(2 34768.785),(3 54262.42),(4 67254.57),(5 75101.37),(6 79543.98),(7 82328),(8 85260.67),(9 87751.414),(10 90411.19),(11 92201.21),(12 93931.08),(13 95276.51),(14 96784.24),(15 97906.35),(16 99254.24),(17 100278.13),(18 101134.16),(19 101944.586),(20 103045.36),(21 104109.89),(22 105033.945),(23 105140.92),(24 105046.02),(25 104536.33),(26 103881.55),(27 103224.86),(28 103725.94),(29 104858.4),(30 105969.4),(31 106833.805),(32 107728.766),(33 108670.53),(34 109301.57),(35 110273.914),(36 111182.11),(37 112308.766),(38 113008.82),(39 113187.97),(40 113126.86),(41 113198.05),(42 113636.18),(43 114577.71),(44 115317.73),(45 116979.99),(46 118922.35),(47 120679.76),(48 121415.3),(49 121301.586),(50 121234.516),(51 121387.7),(52 121449.59),(53 121472.766),(54 121296.7),(55 120256.14),(56 119186.51),(57 118276.516),(58 117744.36),(59 117361.68),(60 116873.79),(61 116432.84),(62 116242.94),(63 114697.625),(64 113445.53),(65 113023.34),(66 112961.734),(67 113063.9),(68 113655.68),(69 114393.41),(70 114916.57),(71 114631.03),(72 114232.05),(73 114484.945),(74 115899.914),(75 116580.6),(76 116799.586),(77 117272.13),(78 117616.44),(79 117712.266),
(1 12818.953),(2 35550.594),(3 55322.75),(4 68298.07),(5 75719.46),(6 80033.58),(7 83588.47),(8 87158.42),(9 90063.51),(10 92037.2),(11 93383.914),(12 94131.43),(13 95198.27),(14 96076.62),(15 97434.48),(16 99127.61),(17 100358.81),(18 101336.484),(19 101332.13),(20 101298.375),(21 102146.7),(22 103687.805),(23 105264.91),(24 106942.695),(25 108319.09),(26 109011.21),(27 108721.88),(28 108082.67),(29 108390.195),(30 109441.26),(31 110394.445),(32 111005.914),(33 111270.836),(34 110575.09),(35 109560.94),(36 108736.11),(37 109095.836),(38 109780.79),(39 110054.195),(40 110118.23),(41 109737.04),(42 110426.37),(43 111986.305),(44 112928.42),(45 113713.53),(46 114641.32),(47 116662.17),(48 118055.33),(49 119608.195),(50 120709.38),(51 121714.99),(52 122094.12),(53 122154.81),(54 121521.83),(55 120091.02),(56 118621.63),(57 117660.66),(58 116530.836),(59 116139.74),(60 116666.8),(61 117431.74),(62 118311.71),(63 118044.59),(64 118053.19),(65 118751.73),(66 119046.92),(67 119271.125),(68 120140.56),(69 121375.516),(70 122107.09),(71 121977.06),(72 121120.62),(73 120296),(74 118974.09),(75 117453.36),(76 116358.086),(77 116023.92),(78 115678.875),(79 115560.195),
(1 12382.116),(2 34351.25),(3 53535.457),(4 65619.68),(5 73161.195),(6 78139.05),(7 81697.15),(8 84150.61),(9 86087.02),(10 88284.61),(11 90229.57),(12 92423.9),(13 94887.23),(14 97395.45),(15 99321.44),(16 100429.99),(17 101603.26),(18 102963.67),(19 105033.375),(20 106743.53),(21 107999.39),(22 109749.81),(23 110909.45),(24 111640.625),(25 111800.734),(26 111553.484),(27 111391.11),(28 111856.89),(29 111641.42),(30 110639.7),(31 109825.2),(32 109282.31),(33 108954.56),(34 109554.19),(35 109678.03),(36 110008.95),(37 110125.47),(38 109665.805),(39 109052.36),(40 108362.41),(41 108291.7),(42 107762.02),(43 107819.35),(44 107583.9),(45 107776.03),(46 108282.7),(47 108804.5),(48 109143.88),(49 109696.945),(50 109973.88),(51 109936.625),(52 109875.195),(53 109964.89),(54 109664.25),(55 108953.875),(56 107805.36),(57 106651.945),(58 105787.2),(59 105144.055),(60 105408.04),(61 105988.13),(62 106325.84),(63 106626.164),(64 106636.914),(65 106335.34),(66 106779.57),(67 107754.74),(68 108676.43),(69 109510.3),(70 109706.96),(71 108640.65),(72 107531.94),(73 107027.78),(74 106741.84),(75 106496.5),(76 106493.05),(77 106810.61),(78 106829.1),(79 106904.4),
(1 12092.017),(2 33329.684),(3 51658.566),(4 63580.605),(5 71849.12),(6 77780.086),(7 81952.54),(8 86073.055),(9 89336.23),(10 90940.91),(11 91001.65),(12 92146.31),(13 93465.48),(14 94895.6),(15 96304.586),(16 97500.97),(17 98332.68),(18 99654.02),(19 101067.805),(20 102892.87),(21 103877.945),(22 104834.02),(23 106067.9),(24 107152.6),(25 108175.195),(26 108194.164),(27 107438.44),(28 106459.305),(29 105811.97),(30 105511.91),(31 105233.195),(32 105248.04),(33 105391.23),(34 105755.875),(35 105799.87),(36 106472.125),(37 107047.38),(38 107415.945),(39 107972.305),(40 108943.875),(41 109766.47),(42 110157.48),(43 110930.52),(44 111329.99),(45 110929.52),(46 110844.72),(47 110513.07),(48 109637.62),(49 109669.29),(50 109574.4),(51 109483.94),(52 109243.81),(53 108464.91),(54 107298.164),(55 105675.57),(56 104900.54),(57 104664.625),(58 105089.13),(59 105027.96),(60 105243.445),(61 105876.4),(62 106340.945),(63 107379.945),(64 108210.69),(65 108713.78),(66 108942.04),(67 109410.125),(68 109846.875),(69 110274.555),(70 110800.57),(71 110767.34),(72 110188.32),(73 110014.38),(74 109660.29),(75 109116.15),(76 108671.84),(77 108799.63),(78 108726.03),(79 108467.48),
(1 12104.992),(2 33173.348),(3 50850.094),(4 62263.266),(5 69710.805),(6 74791.28),(7 78607.81),(8 82225.93),(9 85317.055),(10 86714.68),(11 87800.44),(12 89128.59),(13 89739.84),(14 90909.13),(15 91790.29),(16 92699.016),(17 93768.42),(18 94531.11),(19 95638.664),(20 96531.82),(21 97747.055),(22 99250.35),(23 101250.02),(24 103127.38),(25 103710.81),(26 103903.63),(27 103671.914),(28 103328.664),(29 103139.4),(30 103151.73),(31 103178.5),(32 103941.695),(33 104285.44),(34 104548.19),(35 104482.766),(36 104701.76),(37 104540.695),(38 104309.2),(39 104122.65),(40 104140.69),(41 104268.15),(42 104590.33),(43 104718.01),(44 104987.49),(45 104894.54),(46 104785.35),(47 104662.27),(48 104715.25),(49 104549.73),(50 105158.36),(51 105342.89),(52 105589.13),(53 105283.19),(54 104178.836),(55 103299.375),(56 102179.53),(57 101757.164),(58 101475.19),(59 101198.69),(60 101006.516),(61 100802.15),(62 100743.96),(63 100537.81),(64 100397.78),(65 100472.87),(66 100937.82),(67 101747.734),(68 102766.055),(69 103313.78),(70 103502.36),(71 103097.49),(72 102630.06),(73 102724.77),(74 102706.19),(75 101998.55),(76 101579.484),(77 102188.664),(78 102815.76),(79 103320.57),
(1 12281.914),(2 33381.43),(3 50788.402),(4 62172.133),(5 69630.38),(6 74538.58),(7 77363.77),(8 79523.6),(9 82251.09),(10 84419.33),(11 85595.4),(12 86467.07),(13 87285.66),(14 87936.34),(15 88323.67),(16 88726.48),(17 89077.76),(18 89952.04),(19 91010.28),(20 91651.1),(21 92022.875),(22 92673.56),(23 93181.36),(24 94024.15),(25 94754.6),(26 95385.37),(27 95661.23),(28 96723.59),(29 97553.18),(30 98009.72),(31 98459.56),(32 99542.72),(33 100760.04),(34 101995.3),(35 102581.85),(36 102623.45),(37 101798.9),(38 100957.91),(39 99903.484),(40 99991.71),(41 100580.125),(42 101313.88),(43 102132.836),(44 102616.75),(45 103468.34),(46 103598.58),(47 102993.33),(48 102229.8),(49 101284.555),(50 100449.99),(51 99841.05),(52 99188.08),(53 98134.44),(54 97836.24),(55 98223.89),(56 98186.84),(57 98255.38),(58 98129.484),(59 97420.33),(60 96979.6),(61 97013.99),(62 97241.53),(63 97765.97),(64 97742.47),(65 97778.67),(66 98048.64),(67 98002.99),(68 98372.21),(69 98331.19),(70 98140.11),(71 98226.03),(72 99218.66),(73 100924.34),(74 102152.11),(75 101641.08),(76 100494.34),(77 99710.125),(78 99596.125),(79 99769.79),
(1 12405.13),(2 33905.336),(3 51840.9),(4 62475.777),(5 68480.81),(6 71990.36),(7 74595.945),(8 78254.46),(9 81489.13),(10 83873.15),(11 85739.336),(12 87530.86),(13 89061.055),(14 89681.36),(15 90118.305),(16 90541.36),(17 90549.97),(18 90952.61),(19 91274.23),(20 90984.97),(21 91098.055),(22 92135.04),(23 92888.4),(24 93061.66),(25 93619.7),(26 93973.74),(27 94409.77),(28 95313.1),(29 96288.34),(30 96597.64),(31 96495.79),(32 96350.54),(33 96077.766),(34 96164.11),(35 96637.49),(36 96846.89),(37 96681.266),(38 96389.8),(39 95883.51),(40 95514.305),(41 96027.21),(42 96042.07),(43 95877.27),(44 96763.26),(45 97492.46),(46 97959.266),(47 98821.66),(48 99774.11),(49 100373.164),(50 100343.266),(51 99562.09),(52 98438.664),(53 97530.23),(54 97383.74),(55 97812),(56 97308.64),(57 96918.54),(58 97102.64),(59 97174.07),(60 97758.945),(61 98159.625),(62 98238.26),(63 98803.71),(64 100140.67),(65 100462.2),(66 100955.49),(67 100562.09),(68 100437.86),(69 99816.17),(70 99411.805),(71 99532.77),(72 100669.77),(73 102735.16),(74 104786.875),(75 106150.555),(76 106241.58),(77 105747.77),(78 105018.99),(79 104524.734),
(1 11704.776),(2 31489.217),(3 47355.75),(4 56936.793),(5 63235.836),(6 67342.54),(7 70767.91),(8 74452.38),(9 77316.6),(10 79595.58),(11 81718.48),(12 83798.016),(13 85674.3),(14 86871.1),(15 87684.45),(16 88391.62),(17 88396.05),(18 88581.836),(19 89110.95),(20 89221.12),(21 89181.21),(22 89610.57),(23 89595.78),(24 90344.54),(25 91659.84),(26 92306.3),(27 91928.22),(28 91456.16),(29 91504.27),(30 91652.72),(31 91972.37),(32 92129.72),(33 92228.73),(34 92653.42),(35 93075.87),(36 93489.73),(37 93167.32),(38 92761.31),(39 91935.12),(40 91528.516),(41 91971.875),(42 92372.516),(43 92432.695),(44 91893.195),(45 91984.01),(46 91609.766),(47 91429.93),(48 92620.33),(49 94035.27),(50 95248.08),(51 95351.07),(52 94853.78),(53 94573.15),(54 94647.516),(55 93827.55),(56 93704.78),(57 93313.67),(58 92820.69),(59 92263.586),(60 92232.64),(61 92354.086),(62 92526.55),(63 92743.6),(64 93301.47),(65 93896.58),(66 94834.31),(67 95366.164),(68 95056.21),(69 94508.4),(70 93689.3),(71 92731.96),(72 92316.31),(73 91979.12),(74 91860.12),(75 91721.586),(76 91641.21),(77 92128.805),(78 91919.85),(79 91897.984),
(1 11848.696),(2 32264.842),(3 48964.406),(4 59568.617),(5 66178.17),(6 70093.33),(7 73106.164),(8 75898.07),(9 78149.79),(10 79318.51),(11 80492.3),(12 81898.76),(13 83086.27),(14 84171.04),(15 85171.93),(16 86449.8),(17 87244.36),(18 88245.61),(19 88580.73),(20 89037.74),(21 89671.97),(22 90183.75),(23 90697.38),(24 91381.375),(25 92188.5),(26 91985.56),(27 90708.71),(28 89736.555),(29 90353.516),(30 90955.09),(31 91458.484),(32 91545.94),(33 91672.1),(34 92186.68),(35 92069.93),(36 91488.74),(37 91015.07),(38 90687.37),(39 90563.67),(40 90559.2),(41 90218.16),(42 90179.09),(43 90215.64),(44 90492.82),(45 90380.82),(46 89643.125),(47 88914.63),(48 89038.625),(49 90084.164),(50 90922.86),(51 91112.03),(52 90820.62),(53 90849.805),(54 91136.36),(55 90942.234),(56 91122.4),(57 91502.305),(58 91791.914),(59 91447.56),(60 91346.73),(61 91023.445),(62 90156.25),(63 89294.13),(64 88191.38),(65 87536.96),(66 87738.484),(67 88468.88),(68 89267.125),(69 89811.28),(70 88988.19),(71 87837.5),(72 87372.2),(73 87164.81),(74 87336.78),(75 87465.836),(76 88249.2),(77 88911.44),(78 88910.98),(79 89081.08),
(1 11259.319),(2 30204.318),(3 45694.434),(4 55585.29),(5 61874.215),(6 66102.92),(7 69144.04),(8 72207.72),(9 74953.586),(10 76714.06),(11 77812.61),(12 79463.43),(13 81092.33),(14 82453.305),(15 83485.89),(16 84176.234),(17 84793.52),(18 85870.86),(19 86782.25),(20 87056.82),(21 86963.67),(22 87502.64),(23 88472.14),(24 89652.41),(25 90729.47),(26 91253.99),(27 91097.28),(28 91466.34),(29 92441.05),(30 92292.48),(31 91370.87),(32 90671.28),(33 90497.13),(34 91195.73),(35 92144.7),(36 92619.03),(37 92714.33),(38 92667.74),(39 92527.7),(40 92478.69),(41 92257.07),(42 92324.08),(43 92485.63),(44 92750.19),(45 93118.23),(46 92581.52),(47 92601.31),(48 92552.19),(49 92090.22),(50 91557.81),(51 91003.27),(52 90517.5),(53 90648.1),(54 90549.125),(55 90087.61),(56 89226.59),(57 88872.29),(58 88543.66),(59 88258.99),(60 88485.4),(61 88801.3),(62 89304.03),(63 89613.32),(64 89685.664),(65 89862.93),(66 90478.445),(67 92107.31),(68 93281.016),(69 93333.164),(70 93456.555),(71 92988.18),(72 92654.914),(73 92628.11),(74 93116.19),(75 93130.68),(76 93315.125),(77 94343.92),(78 95251.1),(79 96102.07),
(1 11027.321),(2 29561.484),(3 44608.29),(4 54119.71),(5 60573.773),(6 65354.074),(7 68887.22),(8 72376.24),(9 74668.61),(10 75268.41),(11 75175.9),(12 75298.35),(13 75844.2),(14 76283.734),(15 76362.78),(16 76512.46),(17 76683.27),(18 76823.62),(19 77640.31),(20 78005.66),(21 78128.72),(22 78390.78),(23 78829.18),(24 79447.42),(25 80420.39),(26 81517.34),(27 82669.055),(28 83663.9),(29 83727.945),(30 83365.84),(31 83718.69),(32 84960.766),(33 85641.445),(34 86289.43),(35 86431.65),(36 87129.07),(37 87470.55),(38 87940.805),(39 87920.445),(40 87870.914),(41 87728.57),(42 87429.16),(43 87673.26),(44 87743.19),(45 88505.07),(46 88592.75),(47 88629.33),(48 88347.54),(49 87369.484),(50 86725.17),(51 86383.57),(52 86579.625),(53 86690.76),(54 87106.49),(55 86951.6),(56 86161.58),(57 85326.945),(58 85074.01),(59 84761.64),(60 84828.586),(61 84540.14),(62 84643.69),(63 85385.67),(64 86593.6),(65 87868.914),(66 88510.84),(67 89250.86),(68 89513.914),(69 89846.8),(70 90226.48),(71 89693.586),(72 88675.58),(73 86975.04),(74 86036.94),(75 85639.81),(76 85805.09),(77 86165.62),(78 86647.2),(79 87585.586),
