1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 70975.15),(2 223554.67),(3 440536),(4 692990.44),(5 982536.8),(6 1286102.9),(7 1596502.6),(8 1893981.6),(9 2140689.5),(10 2378770.3),(11 2658207.8),(12 2940128),(13 3243970.8),(14 3594105.3),(15 3947717.8),(16 4333174),(17 4727620),(18 5159465),(19 5567538),(20 6021074.5),(21 6442915.5),(22 6870345.5),(23 7281324),(24 7669944),(25 8187238.5),(26 8637676),(27 9102051),(28 9611809),(29 10059185),(30 10547430),(31 11050407),(32 11540931),(33 11992876),(34 12432843),(35 12780568),(36 13187699),(37 13522301),(38 13800200),(39 13977712),(40 14171347),(41 14291421),(42 14469448),(43 14621256),(44 14826277),(45 15012043),(46 15207432),(47 15454704),(48 15699285),(49 15776795),(50 15897829),(51 15868308),(52 15812751),(53 15707023),(54 15634709),(55 15563667),(56 15473220),(57 15434701),(58 15254421),(59 15087695),(60 15061149),(61 15055271),(62 15116203),(63 15144837),(64 15229203),(65 15276720),(66 15411079),(67 15567953),(68 15820963),(69 16122405),(70 16458775),(71 16923116),(72 17452706),(73 18067502),(74 18814046),(75 19631930),(76 20558102),(77 21557230),(78 22616920),(79 23773334),
(1 17852.785),(2 45015.39),(3 67249.734),(4 81565.81),(5 89964.32),(6 97682.49),(7 104640.61),(8 111587.88),(9 115113.69),(10 117598.57),(11 119110.61),(12 121719.836),(13 123495.84),(14 125962.04),(15 127864.35),(16 128736.63),(17 130628.59),(18 131341.08),(19 129794.72),(20 127964.93),(21 125776.555),(22 126280.36),(23 127231.17),(24 129483.09),(25 129836.31),(26 129627.57),(27 128206.5),(28 129023.29),(29 131171.56),(30 133074.33),(31 134120.81),(32 134525.9),(33 132795.22),(34 132565.48),(35 131144.23),(36 130485.52),(37 130503.6),(38 132919.25),(39 134809.06),(40 136981.86),(41 136213.25),(42 136852.05),(43 136656.08),(44 137301.5),(45 136387.94),(46 136860.66),(47 136492.36),(48 138585.17),(49 139233.22),(50 139397.19),(51 139115.11),(52 139322.3),(53 139537.36),(54 138657.44),(55 138440.97),(56 139057.14),(57 139724.05),(58 138872.33),(59 138818.4),(60 138578.81),(61 139282.03),(62 138873.16),(63 139257.73),(64 138777.33),(65 137745.97),(66 136661.88),(67 136336.8),(68 135908.86),(69 135913.3),(70 134716.7),(71 135548.84),(72 135770.16),(73 137115.2),(74 136804.98),(75 136759.22),(76 135049.22),(77 135093.45),(78 136338.89),(79 136684.61),
(1 18662.965),(2 48148.492),(3 72663.71),(4 87801.07),(5 96740.2),(6 104331.64),(7 110930.84),(8 117167.52),(9 120035.71),(10 122894.086),(11 124133.055),(12 126184.984),(13 127447.69),(14 129130.055),(15 131070.45),(16 132326.5),(17 133607.42),(18 134099.03),(19 133176.14),(20 132657.05),(21 131212.06),(22 131340.72),(23 131474.63),(24 132704.03),(25 133999.16),(26 132995.13),(27 131366.8),(28 131262.28),(29 132014.73),(30 132383.4),(31 132068.66),(32 132497.72),(33 131051.73),(34 131359.72),(35 131188.95),(36 132645.98),(37 133922.58),(38 135666.53),(39 135104.36),(40 135429.95),(41 134751.42),(42 135164.58),(43 134593.23),(44 135765.27),(45 136472.34),(46 138243.05),(47 140140.98),(48 141936.89),(49 141651.27),(50 141626.52),(51 141884.83),(52 141476.11),(53 141741.14),(54 142110.77),(55 142388.39),(56 141944.8),(57 143090.89),(58 142716.53),(59 142916.39),(60 141606.89),(61 141870.48),(62 141906.52),(63 143245.38),(64 143490.97),(65 143605.14),(66 142337.63),(67 142516.95),(68 141374.33),(69 139924.28),(70 139477.8),(71 140681.56),(72 141615.16),(73 142344.25),(74 141901.08),(75 142212.28),(76 141715.83),(77 142554.08),(78 144272.52),(79 144548.92),
(1 18612.213),(2 47756.83),(3 71877.63),(4 86750.375),(5 93559.01),(6 98972.805),(7 103859.58),(8 109217.75),(9 112242.39),(10 114141.91),(11 115149.71),(12 117736.7),(13 120556.56),(14 123456),(15 125977.984),(16 127633.92),(17 128880.445),(18 130234.14),(19 129915.83),(20 129086.25),(21 128101.65),(22 128306.81),(23 127886.33),(24 127363.79),(25 126835.79),(26 126900.66),(27 127724.914),(28 128643.75),(29 128940.47),(30 128332.04),(31 127302.22),(32 126844.52),(33 125605.36),(34 126240.484),(35 127044.7),(36 128791.336),(37 129119.42),(38 130217.375),(39 129652.055),(40 130128.58),(41 129595.266),(42 129848.21),(43 127691.03),(44 126951.96),(45 127598.56),(46 129695.984),(47 131004.39),(48 132970.45),(49 132933.16),(50 132973.03),(51 132929.86),(52 133040.81),(53 134327.4),(54 136112.55),(55 137813.7),(56 138398.89),(57 138201.44),(58 137642.95),(59 137339.31),(60 136937.33),(61 137572.17),(62 137360.78),(63 138292.47),(64 138674.17),(65 139541.17),(66 139520.44),(67 139222.11),(68 138522.4),(69 139774.31),(70 140084.63),(71 140983.69),(72 141529.77),(73 143319.39),(74 143105.31),(75 144210.44),(76 143329.72),(77 143239.95),(78 143698.52),(79 144247.86),
(1 17651.42),(2 44603.75),(3 66483.766),(4 80229.164),(5 87381.53),(6 93698.42),(7 99368.08),(8 103807.055),(9 105586.305),(10 107648.54),(11 108668.97),(12 111358.53),(13 113632.11),(14 116314.35),(15 119168.08),(16 120582.78),(17 121589.22),(18 121817.734),(19 120931.46),(20 120866.33),(21 120712.95),(22 121860.414),(23 121008.92),(24 119945.16),(25 120129.11),(26 120881.37),(27 120667.65),(28 121141.984),(29 122261.055),(30 122380.48),(31 122103.32),(32 123067.56),(33 123674.76),(34 124357.55),(35 123110),(36 123329.41),(37 124382.766),(38 126162.79),(39 125844.43),(40 126591.586),(41 126024.73),(42 127268.47),(43 127526.05),(44 129167.5),(45 128558.7),(46 128874.88),(47 128227.86),(48 128737.79),(49 127838.02),(50 127395.664),(51 127991.734),(52 129092.305),(53 130962.23),(54 132617.92),(55 134443.17),(56 133744.19),(57 133359.92),(58 131648.48),(59 131860.56),(60 131126.95),(61 131377.52),(62 130536.89),(63 131616.2),(64 131895),(65 134087.06),(66 134244.6),(67 134123.84),(68 133360.73),(69 133272.73),(70 133270.92),(71 134034),(72 134315.88),(73 134495.42),(74 132495.84),(75 131751.14),(76 131351.36),(77 132022.22),(78 132294.64),(79 132286.22),
(1 17374.412),(2 44094.67),(3 65281.67),(4 78358.21),(5 84498.73),(6 90811.17),(7 95544.54),(8 99512.91),(9 102859.36),(10 106515.78),(11 108608.484),(12 111483.58),(13 113366.55),(14 114820.6),(15 116560.25),(16 118214.625),(17 120649.46),(18 122598),(19 122537.11),(20 122975.555),(21 123470.93),(22 125262.89),(23 125908.77),(24 127129.91),(25 126935.414),(26 126337.1),(27 125012.34),(28 124221.91),(29 123683.336),(30 122215.516),(31 122263.78),(32 122026.484),(33 120249.22),(34 119510.18),(35 118120.25),(36 118552.16),(37 118469.48),(38 118556.016),(39 117652.42),(40 118926.22),(41 119844.27),(42 120918.58),(43 120507.42),(44 121179.984),(45 120761.375),(46 121628),(47 120605.74),(48 121582.195),(49 122009.88),(50 123768.445),(51 124594),(52 125138.51),(53 126665.086),(54 127509.54),(55 128935.92),(56 129170.14),(57 129825.01),(58 129743.69),(59 130991.58),(60 131140.6),(61 131451.75),(62 130506.93),(63 130306.41),(64 129527.44),(65 128970.62),(66 127596.04),(67 127397.63),(68 127340.42),(69 127520.81),(70 127330.02),(71 127804.12),(72 127941.06),(73 128934.41),(74 128545.65),(75 130323.19),(76 130241.15),(77 128961.54),(78 128202.43),(79 128125.07),
(1 17458.348),(2 44439.62),(3 65129.77),(4 76967.625),(5 82639.43),(6 87564.56),(7 91338.03),(8 94959.766),(9 97269.195),(10 100689.77),(11 103921.62),(12 107265.78),(13 109038.6),(14 109043.664),(15 109046.42),(16 109398.83),(17 111301.33),(18 112555.69),(19 112334.13),(20 112754.78),(21 112429.266),(22 114006.36),(23 115502.46),(24 116373.04),(25 116362.375),(26 116555.25),(27 116002.78),(28 116004.42),(29 115976.91),(30 115159.12),(31 114273.516),(32 113101.88),(33 111675.06),(34 112742.47),(35 113830.58),(36 114595.83),(37 114758.82),(38 115659.02),(39 116106.65),(40 117310.734),(41 117062.6),(42 117752.29),(43 117799.62),(44 118386.73),(45 118426.54),(46 119762.62),(47 120369.54),(48 122021.24),(49 122957.59),(50 124213.83),(51 123768.73),(52 123834.484),(53 124917.13),(54 125555.29),(55 126705.41),(56 124859.47),(57 124359.06),(58 124210.13),(59 124060.85),(60 123587.06),(61 124257.64),(62 124445.664),(63 125927.94),(64 125965.22),(65 126637.25),(66 126551.375),(67 126506.65),(68 126154.16),(69 125202.76),(70 123753.83),(71 123370.87),(72 122818.266),(73 122309.914),(74 120235.734),(75 120898.65),(76 120458.06),(77 119655.25),(78 119145.88),(79 118007.23),
(1 17096.191),(2 42848.426),(3 62082.395),(4 73479.836),(5 79384.414),(6 85657.73),(7 90859.2),(8 96180.8),(9 100187.68),(10 104864.586),(11 108000.76),(12 110544.67),(13 111136.516),(14 111472.3),(15 112793.5),(16 113822.414),(17 114571.64),(18 114462.99),(19 114085.57),(20 115104.61),(21 116001.19),(22 116170.43),(23 116959.305),(24 118099.51),(25 117284.414),(26 117006.32),(27 116068.13),(28 116684.16),(29 118005.164),(30 117820.65),(31 116344.016),(32 115544.016),(33 113900.48),(34 114976.72),(35 115801.164),(36 116782.53),(37 116981.07),(38 116683.94),(39 115810.16),(40 116428.09),(41 115967.664),(42 116151.945),(43 117477.5),(44 119371.016),(45 119366.414),(46 120000.66),(47 120078.28),(48 121368.695),(49 121190.81),(50 121455.88),(51 120473.55),(52 119890.4),(53 120367.29),(54 120849.37),(55 120641.24),(56 119463.836),(57 118922.27),(58 117468.35),(59 117595.9),(60 118106.72),(61 120296.695),(62 122430.734),(63 124205.5),(64 124305.92),(65 124719.84),(66 124898.875),(67 126864.45),(68 126250.2),(69 125686.43),(70 125049.086),(71 124974.97),(72 123551.33),(73 123403.42),(74 123065.54),(75 125438.24),(76 126096.31),(77 127780.72),(78 129667.41),(79 129494.06),
(1 15995.94),(2 39598.953),(3 57388.055),(4 67885.3),(5 73607.84),(6 78756.055),(7 83069.98),(8 87049.86),(9 89233.72),(10 92352.25),(11 94730.414),(12 96430.84),(13 96288.9),(14 96860.484),(15 98828.87),(16 100227.57),(17 101402.25),(18 101954.23),(19 101854.58),(20 102830.55),(21 103463.48),(22 104348.41),(23 104318.11),(24 104918.48),(25 106315.52),(26 107742.695),(27 107986.02),(28 109733.16),(29 110950.766),(30 111011.625),(31 110800.04),(32 110916.97),(33 110391.61),(34 111467.88),(35 111691.57),(36 112541.48),(37 111562.086),(38 111760.71),(39 111985.195),(40 112052.555),(41 111321.43),(42 112429.65),(43 112365.95),(44 113530.06),(45 112054.625),(46 112315.82),(47 111833.73),(48 112249.96),(49 111192.32),(50 111896.375),(51 112054.41),(52 112039.04),(53 112348.25),(54 111120.32),(55 110330.45),(56 109711.086),(57 109413.336),(58 109379.81),(59 109816.945),(60 110219.59),(61 112862.766),(62 115377.35),(63 116615.03),(64 116275.4),(65 116040.57),(66 117353.47),(67 119718.78),(68 119369.29),(69 118802.79),(70 117524.76),(71 115600.164),(72 114307.88),(73 114760.2),(74 113174.28),(75 114259.79),(76 113436.64),(77 115103.54),(78 116338.64),(79 114899.31),
(1 15829.707),(2 39364.258),(3 57801.938),(4 69328.19),(5 75304.63),(6 81874.74),(7 87440.64),(8 91508.63),(9 92880.11),(10 95289),(11 97447.63),(12 99745.76),(13 100810.68),(14 100882.27),(15 101923.17),(16 103171.1),(17 104795.11),(18 105563.805),(19 105292.75),(20 106650.47),(21 108059.4),(22 108420.6),(23 107922.49),(24 108124.69),(25 109718.984),(26 111601.28),(27 111734.15),(28 110913.19),(29 110363.75),(30 109974.66),(31 110387.05),(32 110658.516),(33 109945.164),(34 111152.47),(35 111911.64),(36 112721.45),(37 112043.516),(38 112001.4),(39 111718.41),(40 111941.72),(41 111181.21),(42 110833.93),(43 110213.836),(44 111060.58),(45 111217.85),(46 111531.36),(47 111361.58),(48 112567.02),(49 112964.42),(50 114948.62),(51 115389.42),(52 114617.62),(53 114510.516),(54 113045.87),(55 112415.836),(56 111990.6),(57 111966.9),(58 111170.195),(59 111207.68),(60 113041.766),(61 115468.57),(62 116023.195),(63 116336.664),(64 114682.1),(65 113662.51),(66 113038.13),(67 113008.64),(68 112104.78),(69 112685.05),(70 111904.74),(71 112598.95),(72 113160.7),(73 114838.95),(74 114969.57),(75 117178.15),(76 117389.93),(77 118639.22),(78 119356.7),(79 119600.95),
(1 15641.283),(2 38637.453),(3 56407.39),(4 68120.59),(5 75458.21),(6 82454.85),(7 87006.82),(8 90084.08),(9 90489.64),(10 92803.59),(11 94413.89),(12 96379.85),(13 97115.08),(14 97394.25),(15 98620.55),(16 99389.41),(17 100657.37),(18 102136.66),(19 102930.336),(20 104394.5),(21 104919.37),(22 104976.73),(23 104785.79),(24 105639.07),(25 106632.18),(26 107281.82),(27 107188.83),(28 107927.89),(29 108654.53),(30 108860.43),(31 109067.42),(32 109318.31),(33 108776.7),(34 109393.336),(35 109005.52),(36 109183.28),(37 108131.28),(38 108328.5),(39 107534.266),(40 108574.24),(41 108386.6),(42 108643.03),(43 107993.26),(44 109440.43),(45 111115.21),(46 112944.74),(47 112892.125),(48 114941.79),(49 115515.586),(50 116996.945),(51 117596.76),(52 118122.49),(53 118753.38),(54 118392),(55 117733.92),(56 115955.52),(57 115164.63),(58 114284.5),(59 114249.63),(60 114621.016),(61 114795.484),(62 114351.42),(63 114908.95),(64 114355.4),(65 114143.41),(66 112950.016),(67 111340.06),(68 110750.99),(69 111145.81),(70 109973.75),(71 109731.5),(72 109427.37),(73 110828.29),(74 110892.04),(75 112521.914),(76 112316.05),(77 112634.555),(78 113538.21),(79 113209.41),
(1 15653.452),(2 38374.395),(3 55787.305),(4 66421.37),(5 72857.13),(6 78384.14),(7 81320.01),(8 82213.664),(9 82084.5),(10 83905.91),(11 84992.38),(12 86998.836),(13 86718.266),(14 86237.25),(15 87274.97),(16 88744.76),(17 91326.3),(18 93703.91),(19 95459.664),(20 97038.55),(21 97456.54),(22 97173.08),(23 96126.64),(24 96323.48),(25 97140.41),(26 98213.1),(27 98073.57),(28 99631.08),(29 101084.336),(30 101412.09),(31 101328.875),(32 100559.15),(33 99641.695),(34 100001.25),(35 100069.1),(36 100472.125),(37 99901.64),(38 99825.125),(39 99692.43),(40 101055.336),(41 101523.44),(42 102530.19),(43 102512.36),(44 104091.59),(45 103994.71),(46 105205.03),(47 105466.15),(48 107436.59),(49 107238.89),(50 106786.64),(51 104665.95),(52 104172.24),(53 104568.09),(54 103288.89),(55 103193.945),(56 102969.44),(57 103539.2),(58 103850.984),(59 105048.61),(60 106706.52),(61 108990.96),(62 110010.62),(63 110505.1),(64 110598.54),(65 110948.4),(66 110748.516),(67 110858.52),(68 110165.03),(69 110993.43),(70 110350.15),(71 109512.76),(72 108080.28),(73 107960.5),(74 107389.71),(75 109183.04),(76 108625.1),(77 108061.85),(78 107446.76),(79 106076.69),
(1 15489.811),(2 38535.05),(3 55783.117),(4 66394.05),(5 72393.484),(6 77861.66),(7 80935.93),(8 83655.34),(9 84517.27),(10 85582.664),(11 86256.75),(12 87700.25),(13 87120.984),(14 86619.07),(15 87734.305),(16 88874.62),(17 90757.76),(18 92712.66),(19 92589.484),(20 93948.18),(21 94460.09),(22 95153.76),(23 93638.984),(24 93261.07),(25 93981.8),(26 95655.41),(27 96318.57),(28 97360.85),(29 99031.59),(30 99410.82),(31 100343.8),(32 101440.9),(33 101049.25),(34 101439.91),(35 101682.16),(36 102809.68),(37 102319.85),(38 102078.7),(39 101443.375),(40 102555.195),(41 102187.445),(42 102889.84),(43 102198.79),(44 102526.94),(45 102419.06),(46 102722.17),(47 102515.34),(48 103634.586),(49 102911.63),(50 102654.24),(51 101684.305),(52 102223.45),(53 103152.16),(54 102382.96),(55 103142.79),(56 103623.06),(57 104689.45),(58 104635.84),(59 104972.13),(60 106447.46),(61 107799.22),(62 107586.55),(63 109456.09),(64 109991.37),(65 109803.35),(66 108273.74),(67 107968.04),(68 108514.266),(69 110145.44),(70 110103.02),(71 109372.93),(72 108218.234),(73 109053.82),(74 108594.56),(75 109396.695),(76 108533.414),(77 107479.66),(78 106474.29),(79 105433.5),
(1 14925.6455),(2 35728.664),(3 51015.652),(4 59737.38),(5 65181.68),(6 70217.46),(7 73060.48),(8 75778.91),(9 77907.836),(10 80356.586),(11 81087.195),(12 82246.61),(13 82355.414),(14 81757.9),(15 82840.62),(16 83910.82),(17 85510.12),(18 87206.24),(19 87575.6),(20 89166.695),(21 89807.22),(22 90885.03),(23 90189.586),(24 89548.76),(25 89710.71),(26 89801.86),(27 89372.875),(28 90026.76),(29 91862.59),(30 92535.45),(31 92435.47),(32 92907.43),(33 92783.2),(34 93625.33),(35 94479.83),(36 95866.04),(37 95407.82),(38 95710.35),(39 95824),(40 96198.49),(41 95635.12),(42 96429.24),(43 96104.44),(44 96973.92),(45 97286.984),(46 98570.836),(47 98305.61),(48 98891.8),(49 98329.12),(50 99397.73),(51 98139.7),(52 97213.53),(53 97428.25),(54 96643.31),(55 97182.24),(56 97355.84),(57 98706.76),(58 98955.45),(59 100214.29),(60 101118.08),(61 102264.94),(62 102545.46),(63 103549.39),(64 102677.266),(65 101764.72),(66 100410.8),(67 100220.414),(68 100460.055),(69 101256.12),(70 101148.99),(71 101088.375),(72 101135.12),(73 101984.27),(74 101740.914),(75 102984.87),(76 102572.05),(77 102457.234),(78 101995.82),(79 100990.88),
(1 15362.147),(2 37072.477),(3 53016.06),(4 62703.703),(5 68787.48),(6 74171.24),(7 77904.07),(8 81489.266),(9 82714.42),(10 84584.89),(11 85540.234),(12 87057.45),(13 86859.516),(14 87362.086),(15 88205.87),(16 88488.01),(17 88948.48),(18 89104.305),(19 89442.05),(20 90960.305),(21 91488.68),(22 92514.34),(23 92156.87),(24 92597.22),(25 93208.16),(26 93626.36),(27 92950.52),(28 92881.234),(29 93287.27),(30 93723.28),(31 93747.945),(32 93939.48),(33 94606.98),(34 97174.664),(35 98426.89),(36 99908.27),(37 99000.41),(38 98840.16),(39 97833.59),(40 98707.05),(41 98844.16),(42 99589.42),(43 99492.25),(44 100974.59),(45 101649.84),(46 101985.65),(47 101373.04),(48 102102.555),(49 100564.086),(50 100442.875),(51 100303.17),(52 101114.07),(53 102561.36),(54 102875.68),(55 103313.61),(56 104060.76),(57 105498.25),(58 105354.984),(59 105418.945),(60 104719.42),(61 104677.81),(62 104101.96),(63 103890.74),(64 103410.34),(65 102927.56),(66 101344.664),(67 100626.625),(68 99188.15),(69 99081.18),(70 99527.13),(71 100415.22),(72 100724.45),(73 102086.76),(74 101408.11),(75 100869.88),(76 99913.13),(77 99598.59),(78 99732.2),(79 99133.55),
(1 14725.09),(2 35998.45),(3 51572.313),(4 61100.668),(5 66663.85),(6 72424.27),(7 75858.67),(8 78693.586),(9 79611.016),(10 80915.4),(11 81762.305),(12 84032.14),(13 84739.26),(14 86783.03),(15 88180.17),(16 87800.23),(17 88319.77),(18 89249.49),(19 89448.04),(20 89415.28),(21 88177.63),(22 87710.45),(23 87324.91),(24 86738.56),(25 86965.72),(26 87302.74),(27 87405.055),(28 88182.336),(29 88528.21),(30 88671.97),(31 89618.484),(32 90748.91),(33 90851.55),(34 91989.75),(35 92307.53),(36 92780.83),(37 92411.4),(38 92452.516),(39 92057.79),(40 93002.09),(41 93025.18),(42 93322.27),(43 94187.21),(44 96174.375),(45 96982.414),(46 97700.766),(47 97498.37),(48 97947.72),(49 96958.44),(50 97436.19),(51 97460.34),(52 97297.85),(53 97911.02),(54 98033.86),(55 98464.12),(56 99349.18),(57 100777.41),(58 102144.945),(59 103278.96),(60 102782.96),(61 102351.13),(62 101143.28),(63 101125.45),(64 100767.13),(65 100721.66),(66 100166.57),(67 99341.22),(68 98933.586),(69 99375.1),(70 99121.69),(71 99070.83),(72 98709.28),(73 99221.48),(74 99228.016),(75 100456.94),(76 99548.82),(77 98613.57),(78 98474.08),(79 98279.43),
(1 14535.708),(2 35438.094),(3 50573.277),(4 59628.207),(5 65750.375),(6 71056.08),(7 74329.05),(8 77216.69),(9 78448.29),(10 80016.945),(11 80161.41),(12 81056.164),(13 80979.95),(14 81273.77),(15 83102.38),(16 84565.836),(17 85236.1),(18 85938.234),(19 86153.77),(20 86827.45),(21 86263.91),(22 85837.484),(23 85189.24),(24 85572.195),(25 86023.055),(26 86250.836),(27 86046.055),(28 86965.81),(29 88636.69),(30 89217.61),(31 90722.99),(32 92386.49),(33 93063.01),(34 94256.27),(35 94129.64),(36 93736.95),(37 91374.164),(38 90403.47),(39 89627.15),(40 90336.91),(41 90591.62),(42 91423.79),(43 92001.36),(44 93672.8),(45 93940.08),(46 94648.63),(47 94217.88),(48 95254.53),(49 95432.16),(50 96376.83),(51 94969.016),(52 94083.68),(53 94552.69),(54 93905.32),(55 94174.92),(56 94090.38),(57 95161.945),(58 95739.21),(59 96312.65),(60 95053.36),(61 94606.91),(62 94149),(63 94212.68),(64 93758.14),(65 93760.12),(66 92974.68),(67 93309.77),(68 93531.79),(69 94504.484),(70 95164.2),(71 95368.484),(72 95513.28),(73 96362.7),(74 96199.16),(75 97902.01),(76 97396.6),(77 96711.734),(78 96771.555),(79 96145.77),
(1 14595.145),(2 35118.89),(3 49619.246),(4 58187.15),(5 64244.06),(6 69758.16),(7 73553.06),(8 76317.32),(9 76835.414),(10 78389.2),(11 79486.734),(12 80711.86),(13 80546.43),(14 81368.625),(15 83312.086),(16 84753.17),(17 85501.03),(18 86441.68),(19 86175.7),(20 85834.55),(21 85169.6),(22 84323.445),(23 83811.86),(24 84129.52),(25 84627.484),(26 84901.18),(27 84980.586),(28 85779.59),(29 87035.4),(30 87376.31),(31 87785.33),(32 88096.39),(33 86962.555),(34 87500.836),(35 87166.07),(36 86771.53),(37 85606.67),(38 85759.98),(39 85218.24),(40 86499.74),(41 86792.94),(42 88264.55),(43 88825.21),(44 90097.36),(45 90233.64),(46 91719.68),(47 91958.4),(48 93174.984),(49 93436.4),(50 93809.7),(51 92987.445),(52 92648.48),(53 93483.445),(54 93041.38),(55 93331.15),(56 93502.72),(57 93862.77),(58 93761.45),(59 94092.086),(60 93610.89),(61 93769.14),(62 93004.625),(63 93341.414),(64 93200.65),(65 93312.33),(66 92192.67),(67 91913.04),(68 91613.09),(69 92635.14),(70 92920.01),(71 92609.97),(72 91991.41),(73 91685.51),(74 90706.875),(75 92846.4),(76 93490.836),(77 93621.88),(78 93220.05),(79 92644.836),
(1 14376.544),(2 34201.984),(3 47935.563),(4 56265.094),(5 61665.758),(6 66530.97),(7 69237.484),(8 71257.23),(9 71829.97),(10 73842.805),(11 75297.016),(12 76643.484),(13 77630.95),(14 78892.97),(15 81022.16),(16 81845.18),(17 82094.35),(18 82184.27),(19 81987.15),(20 83043.555),(21 82863.37),(22 82185.2),(23 80792.96),(24 80413.35),(25 81237.63),(26 82497.72),(27 82922.234),(28 84162.56),(29 85965.23),(30 87359.55),(31 88277.33),(32 88756.82),(33 88568.43),(34 89465.54),(35 88860.72),(36 88181.75),(37 87344.65),(38 87711.6),(39 87959.336),(40 89156.07),(41 89254.6),(42 89921.234),(43 89854.4),(44 90914.01),(45 91229.86),(46 92182.445),(47 91551.336),(48 91561.95),(49 91004.39),(50 90704.39),(51 89263.77),(52 88386.09),(53 88530.445),(54 88341.37),(55 88878.05),(56 88276.945),(57 87977.22),(58 87829.57),(59 87958.11),(60 87428.875),(61 87128.59),(62 86649.96),(63 87733.71),(64 88277.3),(65 88033.125),(66 87880.44),(67 88014.516),(68 88173.41),(69 88624.21),(70 88451.016),(71 88848.086),(72 87718.445),(73 87350.38),(74 86543.95),(75 87806.625),(76 88640.21),(77 89398.555),(78 90241.58),(79 90289.35),
