1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 297.75226),(2 381.25916),(3 428.90842),(4 458.00385),(5 473.7777),(6 490.7584),(7 503.29834),(8 516.9203),(9 525.84125),(10 534.3022),(11 534.92914),(12 540.5156),(13 546.2348),(14 552.1593),(15 560.2456),(16 556.80255),(17 561.4645),(18 574.88226),(19 575.6076),(20 575.84424),(21 571.1272),(22 577.66095),(23 580.0747),(24 570.5997),(25 569.81506),(26 577.0456),(27 590.2039),(28 585.68195),(29 583.94),(30 587.97626),(31 586.2188),(32 593.51044),(33 595.81665),(34 602.44086),(35 597.57025),(36 595.6403),(37 582.91205),(38 593.5682),(39 596.70496),(40 589.83875),(41 595.0716),(42 595.1588),(43 592.2597),(44 593.0798),(45 592.80396),(46 595.09015),(47 584.6777),(48 592.2051),(49 588.62885),(50 589.0166),(51 588.4892),(52 584.83344),(53 577.86865),(54 583.2222),(55 576.64703),(56 583.43994),(57 588.17126),(58 583.5557),(59 580.94434),(60 571.4842),(61 572.2099),(62 570.0457),(63 569.43506),(64 577.5478),(65 565.3653),(66 564.9421),(67 564.4412),(68 562.9997),(69 567.0159),(70 568.0653),(71 565.8185),(72 565.47644),(73 558.7966),(74 565.19995),(75 558.346),(76 552.7878),(77 545.71173),(78 539.647),(79 537.3418),
(1 296.6224),(2 371.58707),(3 410.2144),(4 442.82053),(5 458.10367),(6 464.04224),(7 482.98465),(8 484.36887),(9 491.29642),(10 495.3957),(11 507.32352),(12 505.91034),(13 509.3737),(14 513.41516),(15 515.1287),(16 518.18756),(17 526.9993),(18 532.6008),(19 538.00055),(20 543.38684),(21 545.6425),(22 538.31604),(23 539.23047),(24 545.48193),(25 542.91455),(26 549.2589),(27 557.7198),(28 552.30225),(29 548.38416),(30 554.16504),(31 550.74475),(32 552.8814),(33 551.04584),(34 556.009),(35 548.269),(36 547.83075),(37 549.6274),(38 560.0634),(39 562.8469),(40 552.51794),(41 547.772),(42 554.0009),(43 549.6883),(44 552.2138),(45 551.3233),(46 557.4787),(47 552.9213),(48 548.943),(49 550.38635),(50 557.78766),(51 559.7449),(52 551.95575),(53 554.52466),(54 557.832),(55 555.8076),(56 559.8619),(57 563.5558),(58 561.6569),(59 555.91296),(60 557.8931),(61 552.7221),(62 548.6199),(63 547.96936),(64 549.37885),(65 544.2773),(66 546.8544),(67 550.6756),(68 553.3728),(69 560.6855),(70 552.3705),(71 548.29285),(72 547.37085),(73 547.6989),(74 550.65656),(75 544.82697),(76 542.28723),(77 537.49396),(78 527.05524),(79 520.4016),
(1 289.0367),(2 371.1003),(3 413.75684),(4 440.00125),(5 448.4888),(6 453.0592),(7 462.53314),(8 476.80487),(9 482.8555),(10 490.99548),(11 496.67593),(12 501.66708),(13 506.72684),(14 513.8319),(15 520.1003),(16 521.8969),(17 523.2775),(18 528.77216),(19 527.41113),(20 534.3382),(21 535.1388),(22 538.74115),(23 538.9268),(24 539.87933),(25 548.3705),(26 549.1463),(27 548.8505),(28 545.00684),(29 536.56604),(30 540.7976),(31 540.0317),(32 547.1179),(33 547.23956),(34 542.8801),(35 537.6737),(36 542.54144),(37 542.559),(38 544.60345),(39 550.18146),(40 544.5972),(41 538.5148),(42 544.60455),(43 541.2798),(44 545.0572),(45 548.25085),(46 547.0224),(47 544.7937),(48 538.36176),(49 534.78656),(50 540.991),(51 535.17285),(52 535.4547),(53 538.3721),(54 538.1278),(55 535.7375),(56 541.6044),(57 548.4763),(58 546.95746),(59 543.48883),(60 540.435),(61 534.1409),(62 536.21014),(63 531.3965),(64 536.95087),(65 531.0213),(66 533.0202),(67 531.53754),(68 537.34357),(69 543.04333),(70 535.5937),(71 535.5171),(72 528.1725),(73 526.1696),(74 533.0402),(75 525.3703),(76 520.80707),(77 519.175),(78 509.29877),(79 503.73328),
(1 285.84677),(2 365.27924),(3 403.27005),(4 429.11118),(5 442.92908),(6 456.95398),(7 462.5394),(8 482.62625),(9 491.13074),(10 492.55777),(11 498.8467),(12 498.48373),(13 500.7345),(14 504.84943),(15 505.12375),(16 509.0621),(17 512.6883),(18 520.148),(19 521.665),(20 523.765),(21 529.2437),(22 528.52545),(23 527.6204),(24 528.5126),(25 527.62286),(26 529.839),(27 528.90405),(28 532.28674),(29 534.13806),(30 541.26294),(31 543.9508),(32 536.706),(33 536.5696),(34 532.52203),(35 528.57715),(36 531.5118),(37 531.19073),(38 545.7921),(39 542.78906),(40 537.5245),(41 548.175),(42 542.1997),(43 538.73193),(44 535.7045),(45 540.45105),(46 543.1258),(47 537.82245),(48 539.32983),(49 527.7159),(50 537.04486),(51 531.6744),(52 530.2366),(53 524.00024),(54 520.6346),(55 523.46533),(56 528.93756),(57 535.48315),(58 533.53345),(59 527.661),(60 530.74866),(61 523.1689),(62 530.36285),(63 529.6319),(64 530.7824),(65 519.8141),(66 519.17615),(67 517.22076),(68 522.4694),(69 527.3634),(70 525.40173),(71 525.667),(72 527.48315),(73 525.3682),(74 529.1844),(75 525.29407),(76 521.97687),(77 516.64624),(78 513.99976),(79 508.69275),
(1 278.5525),(2 350.26135),(3 392.6151),(4 414.32605),(5 430.07303),(6 444.8678),(7 452.2351),(8 471.24805),(9 478.6454),(10 484.6163),(11 485.25848),(12 486.9966),(13 496.11136),(14 505.81155),(15 506.30438),(16 502.8923),(17 507.64355),(18 509.72675),(19 517.0145),(20 519.5755),(21 523.9331),(22 517.9618),(23 525.8864),(24 519.8777),(25 522.5035),(26 532.11847),(27 534.0658),(28 530.5491),(29 526.98804),(30 524.54596),(31 524.0354),(32 527.8087),(33 526.139),(34 523.2438),(35 517.5936),(36 520.2724),(37 523.9487),(38 528.79193),(39 533.9561),(40 527.9487),(41 527.5067),(42 530.81213),(43 525.8582),(44 525.7156),(45 532.9974),(46 533.5489),(47 518.4874),(48 516.69025),(49 521.11975),(50 520.9854),(51 520.5132),(52 520.9608),(53 519.68976),(54 519.9179),(55 524.0993),(56 521.274),(57 529.7294),(58 527.0524),(59 532.4764),(60 527.5371),(61 523.8171),(62 529.78156),(63 521.47766),(64 522.15857),(65 516.7978),(66 515.38416),(67 517.85297),(68 521.9487),(69 524.2069),(70 521.9016),(71 522.18445),(72 519.685),(73 517.6285),(74 523.4702),(75 515.9387),(76 504.1883),(77 501.0963),(78 496.22595),(79 492.30124),
(1 274.1162),(2 344.85605),(3 385.484),(4 405.832),(5 421.76593),(6 439.21307),(7 452.97385),(8 465.74908),(9 471.46255),(10 472.5314),(11 473.39825),(12 483.77325),(13 490.97144),(14 496.03),(15 500.4767),(16 503.33395),(17 503.75082),(18 513.63403),(19 514.013),(20 515.40027),(21 515.32684),(22 516.7631),(23 515.8421),(24 513.80597),(25 516.56854),(26 520.47095),(27 524.8772),(28 527.572),(29 524.2227),(30 523.7758),(31 522.3864),(32 516.6795),(33 518.9423),(34 525.224),(35 520.00543),(36 520.56995),(37 516.886),(38 530.7185),(39 533.7999),(40 525.30597),(41 529.86346),(42 526.24927),(43 518.2711),(44 518.1647),(45 521.4916),(46 519.79474),(47 512.60486),(48 516.5404),(49 507.65137),(50 509.2446),(51 511.08813),(52 503.36304),(53 503.8551),(54 501.9467),(55 508.8233),(56 509.96146),(57 514.92114),(58 505.77078),(59 509.0628),(60 503.7988),(61 498.07727),(62 501.1959),(63 498.13065),(64 498.73596),(65 500.4421),(66 502.08176),(67 500.19247),(68 503.58713),(69 509.33347),(70 507.05548),(71 509.65192),(72 510.98035),(73 515.4347),(74 512.86176),(75 505.6902),(76 502.80002),(77 500.04742),(78 483.54593),(79 482.23544),
(1 266.15787),(2 343.88068),(3 377.08963),(4 400.52475),(5 407.09488),(6 419.12143),(7 425.42853),(8 441.8234),(9 453.2066),(10 456.3114),(11 458.53955),(12 464.45502),(13 478.3447),(14 481.47498),(15 483.9186),(16 481.23853),(17 484.97098),(18 486.89005),(19 485.83997),(20 487.55734),(21 488.93292),(22 487.85208),(23 486.8747),(24 485.09863),(25 488.1748),(26 490.5098),(27 492.15924),(28 489.52283),(29 485.88092),(30 492.8056),(31 497.32678),(32 493.97333),(33 491.82715),(34 498.81137),(35 494.2363),(36 491.64426),(37 487.86066),(38 501.08392),(39 502.17688),(40 494.23352),(41 492.55563),(42 497.60208),(43 493.40015),(44 493.543),(45 496.28223),(46 491.55618),(47 486.8266),(48 487.95847),(49 487.51785),(50 498.3946),(51 495.57297),(52 496.51974),(53 490.8533),(54 493.02573),(55 497.1634),(56 501.45413),(57 500.2717),(58 496.87668),(59 489.83417),(60 488.99707),(61 485.1287),(62 490.46796),(63 485.09152),(64 487.5647),(65 487.05408),(66 488.2504),(67 493.03766),(68 493.8165),(69 496.1781),(70 496.19638),(71 492.8074),(72 493.25433),(73 493.82523),(74 493.44077),(75 492.7163),(76 483.07083),(77 474.43777),(78 468.69354),(79 468.82272),
(1 258.56027),(2 327.5359),(3 365.85327),(4 388.29968),(5 403.43683),(6 409.03952),(7 418.35095),(8 429.42484),(9 441.45157),(10 442.49838),(11 448.37738),(12 451.52814),(13 455.5601),(14 465.84482),(15 461.50238),(16 458.9691),(17 468.56635),(18 474.38733),(19 476.23227),(20 479.38336),(21 478.08075),(22 481.08875),(23 481.55838),(24 480.65482),(25 480.5644),(26 491.8445),(27 486.17224),(28 492.06516),(29 487.51932),(30 490.76047),(31 489.75916),(32 489.08505),(33 492.98828),(34 492.2232),(35 489.47534),(36 489.62012),(37 480.54922),(38 496.41235),(39 494.97748),(40 487.12952),(41 489.9043),(42 488.99442),(43 487.33282),(44 482.02756),(45 486.6939),(46 482.4456),(47 478.65955),(48 476.86942),(49 483.02188),(50 487.22516),(51 481.18494),(52 484.738),(53 480.84393),(54 483.9069),(55 482.69385),(56 483.96808),(57 493.93802),(58 487.94382),(59 479.02826),(60 477.5931),(61 477.1962),(62 482.6013),(63 481.43842),(64 480.84515),(65 480.09534),(66 479.16016),(67 479.94156),(68 482.2765),(69 484.359),(70 481.27618),(71 480.2925),(72 481.90714),(73 483.41696),(74 480.95105),(75 479.95126),(76 480.267),(77 472.81662),(78 463.85458),(79 459.91742),
(1 260.73215),(2 332.9359),(3 366.99033),(4 382.96085),(5 396.25912),(6 406.88034),(7 410.59637),(8 422.0722),(9 428.68735),(10 431.7479),(11 431.7144),(12 438.4454),(13 440.90228),(14 453.95697),(15 458.84717),(16 454.39774),(17 464.41348),(18 468.98218),(19 469.85873),(20 472.0802),(21 470.7665),(22 475.78113),(23 473.46994),(24 472.78885),(25 472.2814),(26 475.60605),(27 477.77188),(28 478.8369),(29 478.17664),(30 479.85822),(31 479.14243),(32 483.16498),(33 478.22565),(34 475.6408),(35 478.5638),(36 479.4562),(37 468.92453),(38 476.60657),(39 484.73288),(40 484.49164),(41 480.74734),(42 483.48514),(43 482.28278),(44 480.47964),(45 476.90073),(46 477.20355),(47 473.63525),(48 476.83484),(49 474.33752),(50 473.05853),(51 471.64554),(52 470.9237),(53 468.56552),(54 473.5856),(55 475.13486),(56 476.5628),(57 483.53427),(58 472.73114),(59 474.472),(60 473.6989),(61 470.48373),(62 474.8697),(63 474.06992),(64 473.0997),(65 471.98633),(66 469.88373),(67 466.82227),(68 467.4485),(69 469.90732),(70 463.06003),(71 463.77066),(72 458.65213),(73 458.3915),(74 459.3487),(75 456.5454),(76 455.92792),(77 455.65048),(78 455.39642),(79 446.5379),
(1 253.56915),(2 315.96823),(3 355.59167),(4 378.22192),(5 387.87823),(6 402.87512),(7 410.18796),(8 416.85327),(9 427.30768),(10 428.46545),(11 433.90015),(12 439.03888),(13 444.6749),(14 451.01538),(15 453.1794),(16 458.45062),(17 460.3352),(18 462.94),(19 464.0813),(20 464.24548),(21 465.13873),(22 467.96564),(23 470.97714),(24 459.88168),(25 468.32083),(26 474.47177),(27 479.88705),(28 475.87595),(29 473.90057),(30 471.80414),(31 470.38556),(32 470.3239),(33 472.25076),(34 470.46155),(35 465.06775),(36 464.39233),(37 453.60782),(38 468.55417),(39 469.12268),(40 466.40424),(41 467.65256),(42 466.27283),(43 462.8791),(44 461.6148),(45 467.11047),(46 464.95157),(47 456.74573),(48 457.0714),(49 457.11548),(50 458.87006),(51 460.87225),(52 458.217),(53 456.59222),(54 458.27155),(55 457.88177),(56 459.63208),(57 461.34143),(58 455.05872),(59 460.11203),(60 458.12637),(61 455.28552),(62 453.15387),(63 453.38428),(64 455.95358),(65 450.5041),(66 446.02182),(67 451.4279),(68 452.74677),(69 459.00226),(70 457.095),(71 460.29718),(72 457.4642),(73 452.6862),(74 455.16354),(75 458.42233),(76 454.9996),(77 449.28262),(78 442.8626),(79 439.06998),
(1 248.68773),(2 312.33786),(3 342.00052),(4 366.2048),(5 378.32974),(6 390.27835),(7 400.5),(8 408.1314),(9 416.60345),(10 421.45282),(11 427.17538),(12 434.25525),(13 440.8164),(14 447.04712),(15 448.43054),(16 449.62827),(17 455.07327),(18 466.41937),(19 464.24573),(20 468.52878),(21 466.53525),(22 469.75815),(23 467.6171),(24 464.61215),(25 463.8848),(26 467.45782),(27 464.30777),(28 465.52292),(29 464.6986),(30 465.00204),(31 463.39963),(32 468.74734),(33 465.7749),(34 464.68686),(35 460.9009),(36 462.15143),(37 457.84665),(38 467.64795),(39 470.17053),(40 463.35394),(41 462.35318),(42 461.47845),(43 453.77078),(44 459.26337),(45 462.36356),(46 460.57138),(47 463.55914),(48 458.17474),(49 461.8591),(50 461.4722),(51 460.5029),(52 461.51587),(53 453.73508),(54 461.22775),(55 463.77795),(56 462.90115),(57 466.02145),(58 458.6723),(59 451.23456),(60 456.7483),(61 450.3848),(62 458.22696),(63 454.03357),(64 455.34305),(65 456.9202),(66 456.4578),(67 452.00937),(68 456.68195),(69 457.8161),(70 464.859),(71 462.14813),(72 452.81763),(73 455.5895),(74 463.5362),(75 454.3028),(76 449.76566),(77 450.47986),(78 441.7894),(79 439.8324),
(1 241.01933),(2 302.24683),(3 330.66083),(4 354.96463),(5 368.52386),(6 382.93356),(7 392.20877),(8 401.71762),(9 403.545),(10 408.0913),(11 414.79526),(12 415.48486),(13 416.9309),(14 424.22964),(15 427.47583),(16 425.0583),(17 432.1294),(18 432.74884),(19 439.334),(20 443.20712),(21 445.31656),(22 449.688),(23 445.2632),(24 440.26807),(25 441.19476),(26 445.52924),(27 450.51477),(28 449.9565),(29 451.9442),(30 451.9539),(31 453.02197),(32 452.94388),(33 450.87018),(34 451.928),(35 449.65277),(36 453.5691),(37 447.56354),(38 451.45334),(39 455.4776),(40 448.33054),(41 450.5107),(42 448.7656),(43 446.59628),(44 444.13977),(45 451.00076),(46 448.28162),(47 443.3387),(48 446.4827),(49 442.69998),(50 443.12042),(51 448.0199),(52 446.40753),(53 441.1587),(54 448.61035),(55 446.04053),(56 451.7529),(57 453.75943),(58 446.7781),(59 442.29834),(60 447.04376),(61 442.6668),(62 445.36823),(63 435.87225),(64 440.44305),(65 445.12106),(66 442.90195),(67 442.53934),(68 443.95993),(69 445.11218),(70 447.62582),(71 446.73224),(72 444.58493),(73 442.87604),(74 442.2293),(75 443.95175),(76 442.50983),(77 433.84747),(78 429.89706),(79 421.36383),
(1 239.8476),(2 302.67093),(3 335.40723),(4 354.19482),(5 365.65335),(6 373.0609),(7 379.67496),(8 385.83246),(9 391.5603),(10 396.1467),(11 395.6143),(12 403.55325),(13 405.96378),(14 412.46747),(15 409.19257),(16 416.5773),(17 420.50226),(18 422.3701),(19 422.2827),(20 425.3929),(21 427.59665),(22 430.84485),(23 432.62042),(24 426.31906),(25 431.06818),(26 433.75394),(27 431.25415),(28 435.21906),(29 438.7347),(30 437.14063),(31 441.50858),(32 446.05164),(33 444.65167),(34 442.56326),(35 443.2534),(36 446.84076),(37 445.7819),(38 453.20313),(39 454.72815),(40 447.7715),(41 447.7855),(42 444.5658),(43 441.58755),(44 442.7714),(45 449.25333),(46 444.94354),(47 441.17798),(48 441.523),(49 442.4724),(50 441.4981),(51 444.79764),(52 442.44736),(53 443.2996),(54 447.45828),(55 449.49908),(56 447.62952),(57 455.61127),(58 453.34372),(59 447.1582),(60 444.70874),(61 446.04736),(62 450.18515),(63 445.50555),(64 445.7731),(65 444.49652),(66 442.71124),(67 439.46582),(68 437.75174),(69 441.98978),(70 447.0097),(71 445.25058),(72 441.40668),(73 443.45157),(74 445.19382),(75 440.81995),(76 438.21255),(77 437.14813),(78 425.07928),(79 422.0287),
(1 239.77795),(2 298.94504),(3 323.83652),(4 345.08994),(5 355.77536),(6 367.5191),(7 371.73898),(8 381.14706),(9 385.6299),(10 392.64044),(11 394.34042),(12 398.82376),(13 399.90518),(14 407.64993),(15 409.1007),(16 410.43628),(17 412.236),(18 417.27768),(19 418.31635),(20 419.3518),(21 421.46317),(22 420.31772),(23 418.36124),(24 418.71634),(25 414.8554),(26 421.18274),(27 421.78488),(28 425.09372),(29 422.1951),(30 429.19843),(31 428.04846),(32 434.72977),(33 440.7852),(34 437.4639),(35 434.10196),(36 429.38037),(37 424.2144),(38 431.93823),(39 434.6596),(40 430.68054),(41 429.8726),(42 427.66605),(43 424.47064),(44 430.9002),(45 427.09528),(46 430.07846),(47 429.8245),(48 427.63947),(49 425.73593),(50 426.74716),(51 424.07767),(52 424.25287),(53 427.99762),(54 426.6613),(55 426.91977),(56 426.72253),(57 430.95682),(58 429.5571),(59 428.34665),(60 426.40515),(61 421.00934),(62 422.9045),(63 420.1912),(64 423.25616),(65 421.5522),(66 414.64484),(67 416.45108),(68 414.99442),(69 421.00076),(70 419.2211),(71 420.30716),(72 417.4812),(73 423.3308),(74 421.43054),(75 420.50018),(76 416.18436),(77 418.2759),(78 405.71634),(79 406.15698),
(1 233.9525),(2 296.53452),(3 324.5715),(4 345.25412),(5 352.90576),(6 363.21796),(7 368.3648),(8 376.45233),(9 384.97675),(10 386.48938),(11 388.35455),(12 394.87808),(13 400.99533),(14 406.40347),(15 407.77322),(16 414.103),(17 416.74146),(18 417.83676),(19 416.77426),(20 420.5797),(21 426.31998),(22 424.74646),(23 424.77115),(24 423.25262),(25 421.5142),(26 422.6943),(27 429.75775),(28 432.3962),(29 430.72772),(30 430.26828),(31 429.8582),(32 430.60013),(33 429.29254),(34 431.97772),(35 426.78036),(36 427.40457),(37 424.95294),(38 430.48657),(39 430.6202),(40 425.4002),(41 428.16568),(42 426.43997),(43 427.67398),(44 427.03146),(45 422.30832),(46 425.2651),(47 416.44666),(48 417.26614),(49 414.52255),(50 418.0901),(51 412.83664),(52 422.14355),(53 418.55103),(54 418.76202),(55 423.70743),(56 428.58585),(57 428.8546),(58 426.50528),(59 421.3013),(60 425.82034),(61 419.22272),(62 425.13187),(63 423.90506),(64 424.63354),(65 422.77863),(66 427.71353),(67 425.6312),(68 429.45758),(69 429.3185),(70 429.6152),(71 426.37512),(72 424.24924),(73 421.381),(74 420.96222),(75 422.30087),(76 417.98434),(77 413.87488),(78 408.30402),(79 401.39954),
(1 228.62068),(2 285.73395),(3 314.16458),(4 331.45764),(5 342.45764),(6 351.2651),(7 359.65717),(8 368.8773),(9 372.92886),(10 374.70682),(11 380.98123),(12 389.88797),(13 394.91248),(14 396.44327),(15 395.06323),(16 399.77048),(17 400.03607),(18 404.18765),(19 403.7777),(20 408.22595),(21 409.67975),(22 409.6463),(23 410.64252),(24 412.01044),(25 411.66315),(26 410.44553),(27 412.6103),(28 409.57608),(29 410.74823),(30 411.5975),(31 411.23343),(32 416.0673),(33 413.46417),(34 413.83646),(35 408.72824),(36 407.6353),(37 403.7192),(38 412.68372),(39 406.95358),(40 409.98294),(41 407.82333),(42 408.35532),(43 406.209),(44 406.19705),(45 406.8086),(46 405.85892),(47 403.32782),(48 407.59503),(49 406.91693),(50 406.34903),(51 406.24203),(52 410.8584),(53 410.20206),(54 412.336),(55 417.08752),(56 419.19104),(57 421.84613),(58 414.6855),(59 411.90723),(60 412.30423),(61 406.55322),(62 412.45792),(63 414.74307),(64 414.21048),(65 413.4914),(66 416.81552),(67 414.7537),(68 418.1177),(69 417.83813),(70 415.62753),(71 415.2308),(72 415.0386),(73 413.6422),(74 418.1541),(75 414.21204),(76 415.1447),(77 410.16827),(78 400.98697),(79 400.7789),
(1 222.74474),(2 279.80002),(3 308.56665),(4 327.27078),(5 341.78735),(6 346.7701),(7 354.9486),(8 368.57574),(9 369.57507),(10 374.05118),(11 378.82425),(12 383.03564),(13 387.02896),(14 390.12744),(15 392.64508),(16 390.89005),(17 397.4876),(18 396.3434),(19 398.14206),(20 401.22824),(21 401.40497),(22 404.60858),(23 403.69315),(24 403.0814),(25 403.7788),(26 406.34985),(27 408.83813),(28 409.2094),(29 406.22208),(30 404.79062),(31 402.82068),(32 407.2352),(33 410.12753),(34 408.4957),(35 411.10764),(36 412.95905),(37 407.96283),(38 413.62448),(39 417.37576),(40 414.48834),(41 410.3874),(42 411.5871),(43 413.01294),(44 414.08954),(45 411.75662),(46 412.75922),(47 412.80075),(48 413.9839),(49 411.6176),(50 414.09756),(51 411.5908),(52 414.38965),(53 408.08072),(54 409.64676),(55 409.0917),(56 411.95963),(57 415.38864),(58 411.37787),(59 404.46176),(60 400.00937),(61 398.89993),(62 403.49405),(63 406.02692),(64 408.42752),(65 408.30142),(66 406.87988),(67 405.58325),(68 402.7729),(69 406.6402),(70 408.76392),(71 408.40332),(72 410.19763),(73 406.8524),(74 408.9077),(75 403.85767),(76 402.2457),(77 399.42365),(78 395.1211),(79 391.7076),
(1 225.16177),(2 279.8958),(3 306.68393),(4 329.5439),(5 341.2502),(6 348.62415),(7 357.138),(8 365.80667),(9 374.1722),(10 380.72955),(11 380.6485),(12 385.40158),(13 392.68466),(14 397.64874),(15 398.02585),(16 405.2828),(17 404.34683),(18 409.6889),(19 409.87906),(20 407.683),(21 406.84918),(22 407.72366),(23 407.15155),(24 404.27618),(25 402.2026),(26 406.61407),(27 413.45407),(28 405.578),(29 407.75153),(30 410.35736),(31 409.52628),(32 406.0328),(33 404.87964),(34 407.8621),(35 403.02335),(36 407.99127),(37 403.9805),(38 415.42148),(39 412.39648),(40 409.0842),(41 405.9342),(42 409.3528),(43 405.76373),(44 407.45612),(45 407.99295),(46 410.77884),(47 408.16034),(48 408.51178),(49 402.2152),(50 404.19772),(51 405.79456),(52 404.2602),(53 404.7583),(54 403.7997),(55 406.3706),(56 408.4222),(57 409.29382),(58 404.77728),(59 401.9976),(60 407.09146),(61 406.63303),(62 413.28574),(63 409.62244),(64 417.12622),(65 411.21545),(66 413.56177),(67 417.0638),(68 416.31552),(69 419.3748),(70 414.48947),(71 416.12097),(72 410.19553),(73 413.423),(74 415.64633),(75 414.63663),(76 410.8044),(77 402.8359),(78 391.44763),(79 387.97897),
(1 216.32729),(2 269.0527),(3 297.35263),(4 314.1396),(5 322.732),(6 333.5475),(7 342.35074),(8 347.60355),(9 353.62396),(10 355.74872),(11 355.11368),(12 359.06598),(13 366.78506),(14 369.58548),(15 375.45154),(16 381.64114),(17 384.56638),(18 382.48105),(19 386.47208),(20 385.9318),(21 384.54688),(22 383.42303),(23 385.97006),(24 386.6007),(25 382.3754),(26 387.61667),(27 388.76108),(28 382.9834),(29 385.81482),(30 386.1575),(31 384.9426),(32 386.90448),(33 384.2286),(34 387.14148),(35 379.90967),(36 381.56805),(37 373.3272),(38 381.00827),(39 378.64645),(40 378.07468),(41 378.06946),(42 378.26935),(43 381.19846),(44 383.93338),(45 381.922),(46 383.49707),(47 379.5459),(48 382.41446),(49 379.16544),(50 384.2989),(51 387.49802),(52 387.0641),(53 386.38678),(54 389.28677),(55 388.2186),(56 391.02887),(57 392.02365),(58 387.04456),(59 386.7343),(60 386.59952),(61 382.08173),(62 388.664),(63 387.49454),(64 390.12698),(65 389.43442),(66 391.32745),(67 385.03177),(68 391.2294),(69 390.94885),(70 387.1154),(71 392.56805),(72 389.88394),(73 387.9708),(74 389.1851),(75 388.85867),(76 383.5627),(77 383.9397),(78 377.0895),(79 378.92615),
