1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 0.00029792773),(2 0.58387285),(3 1.1973892),(4 1.4068779),(5 1.4079558),(6 1.506214),(7 1.606485),(8 1.6861113),(9 1.6855197),(10 1.7854844),(11 1.9040028),(12 1.923022),(13 1.9210839),(14 1.8930998),(15 1.9958819),(16 2.0476558),(17 2.0461137),(18 2.0741038),(19 2.1030257),(20 2.1656094),(21 2.162816),(22 2.1397545),(23 2.1119044),(24 2.0755308),(25 2.0741491),(26 2.0363402),(27 1.9621112),(28 2.043251),(29 2.0236576),(30 2.0116022),(31 2.0662296),(32 2.1262982),(33 2.123726),(34 2.0851529),(35 2.1355593),(36 2.203299),(37 2.201728),(38 2.1514425),(39 2.1788764),(40 2.2577066),(41 2.256482),(42 2.1882608),(43 2.249224),(44 2.24841),(45 2.2491527),
(1 0.00035763677),(2 0.57686204),(3 1.148733),(4 1.337923),(5 1.33787),(6 1.4356977),(7 1.5688933),(8 1.6188942),(9 1.6170444),(10 1.7139565),(11 1.8414315),(12 1.8739631),(13 1.8719652),(14 1.8779821),(15 1.9471833),(16 1.9581747),(17 1.9559046),(18 2.0086544),(19 1.990038),(20 2.0403469),(21 2.0380266),(22 2.0356457),(23 2.0278084),(24 1.9896619),(25 1.9871355),(26 1.9041951),(27 1.8804016),(28 1.9655491),(29 1.9484475),(30 1.8949667),(31 1.9236351),(32 1.9896953),(33 1.9878414),(34 1.9588562),(35 1.982662),(36 2.0499988),(37 2.0475),(38 2.0668426),(39 2.0489478),(40 2.1071372),(41 2.1058655),(42 2.0388522),(43 2.1573153),(44 2.1568727),(45 2.1572688),
(1 0.00034080824),(2 0.45128807),(3 0.9169922),(4 1.0710062),(5 1.0714065),(6 1.1380928),(7 1.2543993),(8 1.3097486),(9 1.3075292),(10 1.4100442),(11 1.5140313),(12 1.517117),(13 1.5139271),(14 1.5055913),(15 1.5470734),(16 1.5697927),(17 1.5666758),(18 1.6122239),(19 1.6087954),(20 1.6526818),(21 1.650576),(22 1.6478045),(23 1.6054711),(24 1.557251),(25 1.5546848),(26 1.4936574),(27 1.4943779),(28 1.5594728),(29 1.5432351),(30 1.520089),(31 1.5399005),(32 1.6024737),(33 1.6009295),(34 1.5651416),(35 1.588797),(36 1.6187688),(37 1.6157204),(38 1.6593598),(39 1.6621823),(40 1.7059311),(41 1.7049178),(42 1.647656),(43 1.7127434),(44 1.7126184),(45 1.7127193),
(1 0.0003154875),(2 0.3685103),(3 0.73439956),(4 0.8731075),(5 0.8725062),(6 0.93705875),(7 1.0570635),(8 1.1130937),(9 1.1105152),(10 1.16869),(11 1.2334462),(12 1.2638937),(13 1.2622263),(14 1.2394811),(15 1.2532632),(16 1.2700442),(17 1.2687337),(18 1.2943834),(19 1.3072581),(20 1.3365104),(21 1.33427),(22 1.320298),(23 1.2948931),(24 1.3080093),(25 1.306082),(26 1.2344495),(27 1.236192),(28 1.2564375),(29 1.2387263),(30 1.2306699),(31 1.2503513),(32 1.2931788),(33 1.290403),(34 1.2618607),(35 1.3111855),(36 1.3160285),(37 1.3134906),(38 1.3590704),(39 1.3497161),(40 1.3857943),(41 1.3840947),(42 1.3240097),(43 1.3769594),(44 1.3768592),(45 1.3769071),
(1 0.0002896832),(2 0.29660252),(3 0.58872443),(4 0.6953036),(5 0.69496906),(6 0.7492898),(7 0.8507169),(8 0.902466),(9 0.90062845),(10 0.92542285),(11 0.96425253),(12 0.9707524),(13 0.96851987),(14 0.9419097),(15 0.9694974),(16 0.992453),(17 0.9904133),(18 1.0060828),(19 1.0092416),(20 1.0366278),(21 1.0348573),(22 1.0280637),(23 0.9997375),(24 1.0278077),(25 1.0267862),(26 0.9777518),(27 0.9670343),(28 0.9887768),(29 0.9747668),(30 0.9563423),(31 1.001014),(32 1.0371108),(33 1.0353847),(34 1.0139548),(35 1.0355364),(36 1.0553608),(37 1.0534568),(38 1.0702343),(39 1.1015266),(40 1.1224184),(41 1.120387),(42 1.0869174),(43 1.1126422),(44 1.1123606),(45 1.1125729),
(1 0.00028284427),(2 0.24581753),(3 0.48265356),(4 0.5690239),(5 0.5680101),(6 0.6044153),(7 0.67336404),(8 0.7209038),(9 0.71956974),(10 0.7241992),(11 0.76988745),(12 0.77903044),(13 0.77677304),(14 0.75579804),(15 0.77928305),(16 0.8028272),(17 0.80025643),(18 0.8199578),(19 0.8265339),(20 0.84289885),(21 0.8417505),(22 0.8462627),(23 0.8203004),(24 0.8368235),(25 0.8354648),(26 0.80457884),(27 0.78879964),(28 0.7958624),(29 0.78594375),(30 0.79447013),(31 0.81480503),(32 0.83683425),(33 0.8353746),(34 0.83065003),(35 0.8567337),(36 0.8627255),(37 0.86122787),(38 0.8609967),(39 0.8674983),(40 0.8991374),(41 0.8976561),(42 0.87367004),(43 0.89376485),(44 0.893695),(45 0.89379364),
(1 0.00028860825),(2 0.20773011),(3 0.40964365),(4 0.48003808),(5 0.4789472),(6 0.5054691),(7 0.5678862),(8 0.6021277),(9 0.60064787),(10 0.6047949),(11 0.64295876),(12 0.656189),(13 0.6547712),(14 0.6478188),(15 0.6713806),(16 0.6956115),(17 0.69349635),(18 0.70609),(19 0.70909566),(20 0.72439575),(21 0.7230414),(22 0.7163948),(23 0.6980101),(24 0.7238881),(25 0.7224134),(26 0.69463533),(27 0.65532434),(28 0.67871726),(29 0.66817904),(30 0.66328764),(31 0.6894391),(32 0.71158755),(33 0.7096561),(34 0.7083704),(35 0.716639),(36 0.72999114),(37 0.72868353),(38 0.7158468),(39 0.7199669),(40 0.74741876),(41 0.74681187),(42 0.7247429),(43 0.7559144),(44 0.7556108),(45 0.7558953),
(1 0.00027323645),(2 0.17053978),(3 0.33034614),(4 0.39040074),(5 0.38983893),(6 0.40663436),(7 0.46038502),(8 0.47628778),(9 0.47501755),(10 0.4680922),(11 0.50175714),(12 0.51797324),(13 0.51656276),(14 0.5093135),(15 0.5396362),(16 0.5599075),(17 0.55742705),(18 0.5658834),(19 0.5657382),(20 0.5915902),(21 0.5905062),(22 0.5861145),(23 0.573157),(24 0.5889702),(25 0.58808607),(26 0.56490195),(27 0.5351053),(28 0.5579348),(29 0.5485805),(30 0.5483812),(31 0.56308484),(32 0.5808392),(33 0.57932913),(34 0.57472444),(35 0.59077454),(36 0.600525),(37 0.59909445),(38 0.58768404),(39 0.59944314),(40 0.6239049),(41 0.6232845),(42 0.59608114),(43 0.6226818),(44 0.62250555),(45 0.62266934),
(1 0.0002588957),(2 0.13565539),(3 0.26431644),(4 0.31306374),(5 0.3122616),(6 0.32524306),(7 0.36387485),(8 0.37529892),(9 0.37432358),(10 0.376054),(11 0.40836802),(12 0.42129585),(13 0.41980448),(14 0.41381398),(15 0.4489502),(16 0.46109578),(17 0.45976484),(18 0.46625754),(19 0.4677545),(20 0.48911765),(21 0.4878335),(22 0.4872621),(23 0.48042235),(24 0.49184546),(25 0.48973224),(26 0.4716998),(27 0.43779492),(28 0.46007136),(29 0.4528956),(30 0.45150495),(31 0.4711211),(32 0.48614326),(33 0.48478016),(34 0.483093),(35 0.49391556),(36 0.50202847),(37 0.50060606),(38 0.48805094),(39 0.49843776),(40 0.51813376),(41 0.51715356),(42 0.5037969),(43 0.5305737),(44 0.5305612),(45 0.53052807),
(1 0.00023016859),(2 0.10841404),(3 0.21468945),(4 0.2526276),(5 0.25203195),(6 0.2630608),(7 0.29002672),(8 0.3014259),(9 0.30028948),(10 0.30487895),(11 0.3335713),(12 0.3476037),(13 0.34635004),(14 0.3394141),(15 0.36127785),(16 0.37338433),(17 0.37194416),(18 0.38060224),(19 0.37820685),(20 0.39436832),(21 0.39309978),(22 0.39453268),(23 0.3843402),(24 0.40007532),(25 0.39878002),(26 0.38664594),(27 0.36045328),(28 0.38098603),(29 0.3743569),(30 0.3779494),(31 0.39348346),(32 0.40362212),(33 0.4028442),(34 0.40588877),(35 0.41659117),(36 0.4261706),(37 0.42496657),(38 0.415866),(39 0.42353845),(40 0.44328797),(41 0.44260567),(42 0.4260203),(43 0.44782823),(44 0.44765446),(45 0.44786015),
(1 0.00025106987),(2 0.09746264),(3 0.19392481),(4 0.22605617),(5 0.22542971),(6 0.23349284),(7 0.25905308),(8 0.27323887),(9 0.2724498),(10 0.27643296),(11 0.29921043),(12 0.31120726),(13 0.30990157),(14 0.30597737),(15 0.32777107),(16 0.33962822),(17 0.3382897),(18 0.34241247),(19 0.34213752),(20 0.35973573),(21 0.358745),(22 0.35224196),(23 0.34801817),(24 0.35940787),(25 0.35835162),(26 0.35147995),(27 0.3246237),(28 0.34546322),(29 0.33875883),(30 0.34244245),(31 0.35511294),(32 0.3694657),(33 0.36829835),(34 0.36880037),(35 0.38135394),(36 0.38869715),(37 0.38754126),(38 0.38043222),(39 0.39097115),(40 0.40792435),(41 0.40746793),(42 0.38991088),(43 0.41042125),(44 0.41024774),(45 0.4103977),
(1 0.00022968317),(2 0.079565726),(3 0.15585944),(4 0.18365876),(5 0.18320397),(6 0.18984576),(7 0.20917363),(8 0.22228633),(9 0.22121948),(10 0.22499469),(11 0.24984264),(12 0.25772083),(13 0.25632387),(14 0.2541141),(15 0.26981062),(16 0.28076512),(17 0.279742),(18 0.28368855),(19 0.2827788),(20 0.30153978),(21 0.30082202),(22 0.29724103),(23 0.29234743),(24 0.30609226),(25 0.30470964),(26 0.29389048),(27 0.2754342),(28 0.2897967),(29 0.28400505),(30 0.28966245),(31 0.30091736),(32 0.31228095),(33 0.31092146),(34 0.31407693),(35 0.32527313),(36 0.33232608),(37 0.33154604),(38 0.32450935),(39 0.3357155),(40 0.3464406),(41 0.34564307),(42 0.3323065),(43 0.35377085),(44 0.35363075),(45 0.353749),
(1 0.00022768477),(2 0.070763476),(3 0.13532515),(4 0.15817566),(5 0.157737),(6 0.16293107),(7 0.17991103),(8 0.19262691),(9 0.19167817),(10 0.19638745),(11 0.21907581),(12 0.22746736),(13 0.22633581),(14 0.22301544),(15 0.23687945),(16 0.24721324),(17 0.2464221),(18 0.25297156),(19 0.25486055),(20 0.2687829),(21 0.2680358),(22 0.26534787),(23 0.2618142),(24 0.2741398),(25 0.27271798),(26 0.26417047),(27 0.25082812),(28 0.26672992),(29 0.261394),(30 0.26275468),(31 0.27624053),(32 0.28553787),(33 0.28450024),(34 0.28739953),(35 0.29913956),(36 0.30194712),(37 0.301048),(38 0.29463124),(39 0.30623204),(40 0.3199584),(41 0.31928223),(42 0.30442837),(43 0.3234258),(44 0.323439),(45 0.32341757),
(1 0.00025428107),(2 0.068154044),(3 0.13163136),(4 0.15259822),(5 0.15200904),(6 0.15698513),(7 0.17358266),(8 0.18394591),(9 0.18313108),(10 0.19066261),(11 0.21192458),(12 0.2215165),(13 0.22043784),(14 0.21436086),(15 0.22978938),(16 0.23926604),(17 0.23804036),(18 0.2423986),(19 0.24533135),(20 0.25595164),(21 0.25503138),(22 0.25357696),(23 0.24968871),(24 0.2679912),(25 0.2663135),(26 0.2556041),(27 0.24257438),(28 0.2587642),(29 0.25280955),(30 0.2526329),(31 0.2666623),(32 0.27637506),(33 0.27516842),(34 0.2759442),(35 0.2880323),(36 0.29178518),(37 0.29069957),(38 0.28492764),(39 0.29633522),(40 0.30795968),(41 0.30705988),(42 0.29548898),(43 0.31095594),(44 0.31093755),(45 0.31094426),
(1 0.000271152),(2 0.06196697),(3 0.11925571),(4 0.14249162),(5 0.1419452),(6 0.14441401),(7 0.16075562),(8 0.17245737),(9 0.17179133),(10 0.17702988),(11 0.19560184),(12 0.20404011),(13 0.2029642),(14 0.19789742),(15 0.21326502),(16 0.22202808),(17 0.22104566),(18 0.22645284),(19 0.22609717),(20 0.24031666),(21 0.23970404),(22 0.23799706),(23 0.23409873),(24 0.24731791),(25 0.24590196),(26 0.23770411),(27 0.22205046),(28 0.23583055),(29 0.2308977),(30 0.234912),(31 0.24710542),(32 0.25580704),(33 0.25434428),(34 0.25480613),(35 0.26623943),(36 0.27177164),(37 0.27068973),(38 0.26844114),(39 0.27715057),(40 0.29045844),(41 0.28973174),(42 0.2761016),(43 0.28974795),(44 0.28972766),(45 0.2897659),
(1 0.00027272478),(2 0.055262707),(3 0.107235946),(4 0.1283369),(5 0.1278737),(6 0.1299056),(7 0.14445461),(8 0.15500031),(9 0.15421559),(10 0.15833502),(11 0.17682761),(12 0.18572974),(13 0.18470642),(14 0.179864),(15 0.19381142),(16 0.20295702),(17 0.20180883),(18 0.20694123),(19 0.2059171),(20 0.21932389),(21 0.21886893),(22 0.21796285),(23 0.21721776),(24 0.22630416),(25 0.22504945),(26 0.2173442),(27 0.20298724),(28 0.21528555),(29 0.21056034),(30 0.21481442),(31 0.22542661),(32 0.23283164),(33 0.23198555),(34 0.23296297),(35 0.24292436),(36 0.2477048),(37 0.24695),(38 0.24388248),(39 0.2552505),(40 0.26591498),(41 0.26523426),(42 0.25431216),(43 0.26901558),(44 0.26901338),(45 0.26900604),
(1 0.0002652633),(2 0.049629506),(3 0.09701988),(4 0.11628412),(5 0.11564436),(6 0.11831435),(7 0.13118741),(8 0.1406237),(9 0.1398898),(10 0.14524588),(11 0.16265582),(12 0.17027931),(13 0.16950262),(14 0.16444981),(15 0.17707469),(16 0.18674138),(17 0.1857846),(18 0.19166793),(19 0.19449891),(20 0.20555839),(21 0.20507555),(22 0.20189716),(23 0.20040049),(24 0.20987634),(25 0.2087916),(26 0.20159453),(27 0.18857253),(28 0.20019285),(29 0.19653034),(30 0.19881216),(31 0.21014217),(32 0.21687599),(33 0.2160047),(34 0.21898444),(35 0.2298387),(36 0.23379065),(37 0.23302332),(38 0.22936875),(39 0.23867792),(40 0.25124624),(41 0.25120398),(42 0.24061349),(43 0.2544503),(44 0.25438875),(45 0.25442448),
(1 0.00028375993),(2 0.04827944),(3 0.092769526),(4 0.112340696),(5 0.11192855),(6 0.11285876),(7 0.1265747),(8 0.13462473),(9 0.13377872),(10 0.13902281),(11 0.1564776),(12 0.16406633),(13 0.16328552),(14 0.15850322),(15 0.17173669),(16 0.18010485),(17 0.17905591),(18 0.18576811),(19 0.18504271),(20 0.19646578),(21 0.19582035),(22 0.19505094),(23 0.19171491),(24 0.20099866),(25 0.19977981),(26 0.19482632),(27 0.18157189),(28 0.19358137),(29 0.18909886),(30 0.19359928),(31 0.20232694),(32 0.20965451),(33 0.20875902),(34 0.21054539),(35 0.21931534),(36 0.22624548),(37 0.22544524),(38 0.22192656),(39 0.23088226),(40 0.2415774),(41 0.24116749),(42 0.23153251),(43 0.24464467),(44 0.2445909),(45 0.2446529),
(1 0.0003136741),(2 0.047963772),(3 0.0916585),(4 0.11137272),(5 0.11089581),(6 0.11174309),(7 0.123500004),(8 0.1345085),(9 0.13401818),(10 0.13799554),(11 0.15545775),(12 0.16317244),(13 0.1622502),(14 0.15614511),(15 0.1677921),(16 0.17789711),(17 0.17694427),(18 0.18182002),(19 0.18133752),(20 0.19450906),(21 0.19385114),(22 0.1917462),(23 0.19012427),(24 0.19919354),(25 0.19808087),(26 0.19116563),(27 0.17935377),(28 0.18872532),(29 0.18485026),(30 0.19062944),(31 0.19958329),(32 0.20665568),(33 0.20564297),(34 0.2065287),(35 0.21908222),(36 0.22320206),(37 0.22239251),(38 0.21874782),(39 0.22942494),(40 0.23937301),(41 0.23889084),(42 0.22820938),(43 0.23952408),(44 0.23955637),(45 0.23951235),
(1 0.0003060367),(2 0.04423776),(3 0.0864049),(4 0.10316106),(5 0.1026036),(6 0.104814805),(7 0.11621808),(8 0.12506601),(9 0.12441479),(10 0.12898418),(11 0.14549887),(12 0.15169322),(13 0.15105496),(14 0.14696112),(15 0.157819),(16 0.16752419),(17 0.1666115),(18 0.17208299),(19 0.17286316),(20 0.18494329),(21 0.18450817),(22 0.1819525),(23 0.1804109),(24 0.19069389),(25 0.1895962),(26 0.18070702),(27 0.16991046),(28 0.17995873),(29 0.17610009),(30 0.18082401),(31 0.18966173),(32 0.19641),(33 0.19532858),(34 0.19624251),(35 0.20823398),(36 0.21211715),(37 0.21154721),(38 0.20888759),(39 0.22027409),(40 0.2288896),(41 0.2283842),(42 0.21739858),(43 0.2298963),(44 0.22987509),(45 0.2298988),
(1 0.00032754312),(2 0.041225918),(3 0.07786771),(4 0.09365972),(5 0.09315661),(6 0.09419688),(7 0.10372403),(8 0.11208866),(9 0.1116207),(10 0.115075484),(11 0.13119823),(12 0.13714758),(13 0.13649803),(14 0.13202113),(15 0.14141878),(16 0.14926134),(17 0.148504),(18 0.15276994),(19 0.15521263),(20 0.1649743),(21 0.16474372),(22 0.16291091),(23 0.15971018),(24 0.16983154),(25 0.16873276),(26 0.16224301),(27 0.15322523),(28 0.1621045),(29 0.1586963),(30 0.16161753),(31 0.16947423),(32 0.17519744),(33 0.17436422),(34 0.17405401),(35 0.18109979),(36 0.18648843),(37 0.18594944),(38 0.18446606),(39 0.1932802),(40 0.20162606),(41 0.20104706),(42 0.1928153),(43 0.20305039),(44 0.2029942),(45 0.20304893),
(1 0.00023736098),(2 0.023907589),(3 0.041768003),(4 0.048950505),(5 0.048640985),(6 0.049804203),(7 0.054399457),(8 0.0590572),(9 0.05878701),(10 0.059971016),(11 0.06636387),(12 0.070265986),(13 0.06987559),(14 0.06771089),(15 0.07164686),(16 0.075441),(17 0.074929826),(18 0.07538294),(19 0.07754309),(20 0.08149502),(21 0.08108211),(22 0.08036949),(23 0.07828314),(24 0.08364798),(25 0.082875215),(26 0.078806914),(27 0.075531796),(28 0.07999652),(29 0.077692986),(30 0.07938402),(31 0.081921466),(32 0.0857327),(33 0.085113384),(34 0.084038354),(35 0.086068645),(36 0.08952316),(37 0.089177966),(38 0.08696663),(39 0.09052609),(40 0.09417435),(41 0.09378816),(42 0.090596445),(43 0.09592372),(44 0.09591869),(45 0.09592733),
(1 0.00013933369),(2 0.0093934825),(3 0.013246746),(4 0.015730333),(5 0.01551993),(6 0.014548751),(7 0.015176608),(8 0.017042624),(9 0.016855568),(10 0.015572986),(11 0.016001187),(12 0.017886864),(13 0.017626978),(14 0.016504804),(15 0.016734641),(16 0.017987397),(17 0.017656181),(18 0.016366627),(19 0.016412884),(20 0.0177465),(21 0.017562384),(22 0.016880343),(23 0.01659409),(24 0.018611385),(25 0.018269978),(26 0.01645285),(27 0.015423384),(28 0.017319804),(29 0.016037483),(30 0.015603552),(31 0.015734518),(32 0.017817559),(33 0.017482845),(34 0.016272651),(35 0.015915627),(36 0.017611641),(37 0.017435348),(38 0.01612242),(39 0.016189817),(40 0.017881177),(41 0.017736824),(42 0.016102811),(43 0.017718183),(44 0.01767869),(45 0.01771659),
(1 0.00012344189),(2 0.0074774977),(3 0.010281326),(4 0.0120356595),(5 0.011888501),(6 0.01117598),(7 0.011706219),(8 0.013140253),(9 0.01299485),(10 0.01215031),(11 0.012200929),(12 0.013719513),(13 0.013511902),(14 0.012675997),(15 0.012780456),(16 0.013687299),(17 0.013406249),(18 0.012577173),(19 0.01241535),(20 0.013744533),(21 0.013648434),(22 0.01295943),(23 0.012621549),(24 0.014377834),(25 0.014092518),(26 0.012491024),(27 0.011843),(28 0.013514426),(29 0.012542699),(30 0.012066193),(31 0.012349052),(32 0.013642604),(33 0.01338676),(34 0.012542935),(35 0.012201107),(36 0.01345034),(37 0.01333031),(38 0.012385719),(39 0.012353636),(40 0.013716225),(41 0.0136387525),(42 0.0122797275),(43 0.013532176),(44 0.013520121),(45 0.013530716),
