1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 158312.3),(2 481060.66),(3 849861.5),(4 1182583.5),(5 1443689),(6 1604255),(7 1576466),(8 1440476.6),(9 1325095),(10 1229241.6),(11 1236173.9),(12 1296838.1),(13 1401902.5),(14 1566547),(15 1744179.4),(16 1894127.4),(17 2053013.1),(18 2219802.5),(19 2306879.3),(20 2373152.3),(21 2443245.3),(22 2521474.5),(23 2631355.3),(24 2744605.8),(25 2882885.8),(26 3065125.3),(27 3327269.3),(28 3747622),(29 4122291.3),(30 4417991.5),(31 4713742.5),(32 4978890),(33 5159535.5),(34 5309771.5),(35 5387845.5),(36 5487034),(37 5591886),(38 5772053.5),(39 5932168),(40 6173471.5),(41 6341179.5),(42 6530188),(43 6693992),(44 6838881.5),(45 6990360),(46 7072998),(47 7074456.5),(48 7006084.5),(49 7004748),(50 7026057.5),(51 7200113.5),(52 7533389.5),(53 7855617.5),(54 8130550),(55 8261274),(56 8278669.5),(57 8442749),(58 8583136),(59 8668415),(60 8915507),(61 9347239),(62 10057720),(63 10407427),(64 10710030),(65 10921272),(66 11281055),(67 11694227),(68 11938120),(69 12214885),(70 12419175),(71 12574816),(72 12641684),(73 12710607),(74 12782628),(75 12836136),(76 13047477),(77 13338583),(78 13810456),(79 14370936),
(1 35328.875),(2 67884.75),(3 86400.63),(4 97654.734),(5 105361.4),(6 112535.266),(7 119965.29),(8 127485.55),(9 130274.875),(10 134049.55),(11 136971.1),(12 138337.89),(13 138703.19),(14 137534.73),(15 137092.17),(16 134587.03),(17 133941.56),(18 133218.55),(19 131976.03),(20 131696.23),(21 131167.11),(22 129435.75),(23 128633.21),(24 129131.35),(25 131098.58),(26 131462.14),(27 131851.52),(28 132194.77),(29 135167.27),(30 138729.7),(31 142113.66),(32 145264),(33 144163.53),(34 145466.95),(35 149357.47),(36 150612.88),(37 152358.28),(38 154040.66),(39 154207.03),(40 152025.7),(41 149752.75),(42 146499.94),(43 146170.77),(44 143988.38),(45 142565.61),(46 144016.67),(47 142856.1),(48 142357.78),(49 144022.22),(50 145473.77),(51 146055.08),(52 147761.95),(53 148922.55),(54 150714.73),(55 150821.72),(56 151557.64),(57 152874.05),(58 152218.94),(59 152151.81),(60 152123.8),(61 150508.48),(62 151193.3),(63 151139.77),(64 149871.58),(65 150555.98),(66 150910.75),(67 148286.1),(68 146157.89),(69 146460.52),(70 146661.2),(71 146619.95),(72 146073.89),(73 147019.94),(74 145581.52),(75 146617.38),(76 148229.75),(77 148437.36),(78 148415.1),(79 150448.27),
(1 35038.16),(2 68357.53),(3 86605.836),(4 96868.7),(5 104904.305),(6 116958.99),(7 128438.73),(8 135502.36),(9 141080.45),(10 144147),(11 146219.06),(12 146327.52),(13 144000.03),(14 142437.86),(15 139199.52),(16 135062.77),(17 134638.64),(18 130735.086),(19 127040.87),(20 125554.234),(21 124539.516),(22 123169.24),(23 123494.2),(24 124042),(25 124687.305),(26 125885.01),(27 127250.03),(28 131170.19),(29 135515.89),(30 138136.36),(31 141430.84),(32 146183.7),(33 148700.47),(34 150653.25),(35 153726.44),(36 154082.3),(37 156592.36),(38 158237.06),(39 154984.64),(40 152761.27),(41 151750.8),(42 150099.6),(43 149426.64),(44 146772.47),(45 145469.52),(46 146963.4),(47 147199.53),(48 147753.2),(49 149494.83),(50 150957),(51 152900.9),(52 154831.86),(53 156700.75),(54 157738.8),(55 157509.45),(56 157333.77),(57 156659.03),(58 154101.44),(59 153642.56),(60 152551.05),(61 152713.92),(62 154777.02),(63 155941.98),(64 154450.22),(65 153168.86),(66 152297.4),(67 151982.8),(68 150808.14),(69 148396),(70 147597.72),(71 148798.86),(72 149692.4),(73 148449.27),(74 148405.6),(75 150776.58),(76 151462),(77 152920.27),(78 154635.52),(79 157970.28),
(1 32983.023),(2 63202.02),(3 78564.75),(4 87431.35),(5 95048.82),(6 105631.13),(7 114940.664),(8 120226.61),(9 126290.65),(10 128602.38),(11 130876.164),(12 132312.84),(13 133222.17),(14 133235.08),(15 131736.34),(16 129605.42),(17 127704.16),(18 124846.07),(19 121448.086),(20 120213.41),(21 118169.945),(22 116997.84),(23 115438.47),(24 114848.57),(25 117462.266),(26 117877.555),(27 117851.17),(28 121068.44),(29 122399.945),(30 123007.516),(31 126256.16),(32 130165.24),(33 133616.53),(34 135775.14),(35 136636.6),(36 137296.6),(37 139558.38),(38 138397.8),(39 134374.34),(40 132514.34),(41 131702.58),(42 130192.35),(43 129239.95),(44 126645.44),(45 124793.71),(46 126397.26),(47 126687.45),(48 126952.24),(49 127001.34),(50 127674.25),(51 129907.03),(52 131953.22),(53 133389.31),(54 135152.56),(55 135368.31),(56 134150.23),(57 134170.89),(58 133682.13),(59 131799.88),(60 132570.56),(61 133350.86),(62 133452.34),(63 134883.61),(64 134976.73),(65 133389.78),(66 133465.73),(67 134193.31),(68 133854.81),(69 132097.9),(70 131946.31),(71 133835.95),(72 135490.64),(73 134710.44),(74 135023.7),(75 135446.48),(76 137014.16),(77 138280.66),(78 138852.63),(79 141493.22),
(1 32648.38),(2 61337.668),(3 77472.57),(4 86710.555),(5 94033.27),(6 103854.15),(7 112852.84),(8 119030.68),(9 125213.56),(10 128719.74),(11 132030.2),(12 133450.05),(13 133754.33),(14 131967.42),(15 129044.445),(16 127471.23),(17 127217.67),(18 125859.6),(19 123385.5),(20 120787.29),(21 118293.04),(22 115963.74),(23 113583.6),(24 112278.52),(25 113075.79),(26 113780.73),(27 115221.414),(28 117821.625),(29 119709.375),(30 120871.91),(31 124878.984),(32 127254.78),(33 127907.36),(34 129469.375),(35 130352.03),(36 131118.13),(37 131665.67),(38 132269.34),(39 131435.92),(40 128684.38),(41 128019.5),(42 127106.766),(43 126729.98),(44 124513.65),(45 122313.72),(46 123059.5),(47 122999.6),(48 122532.555),(49 123694.27),(50 125350.52),(51 127528.164),(52 128361.94),(53 127000.85),(54 127030.89),(55 128626.46),(56 127583.305),(57 127264.234),(58 128239.71),(59 127635.59),(60 128209.86),(61 128581.44),(62 128760.81),(63 131105.2),(64 128795.664),(65 128386.08),(66 130033.164),(67 130301.42),(68 130150.14),(69 131325.97),(70 131790.88),(71 133239),(72 135392.81),(73 134281.97),(74 135087.94),(75 137527.63),(76 138104.7),(77 139065.97),(78 138675.77),(79 137826.36),
(1 32408.74),(2 61950.81),(3 78011.71),(4 87963.05),(5 96228.84),(6 104211.516),(7 112243.04),(8 117645.29),(9 122580.445),(10 125576.95),(11 126230.76),(12 125520.05),(13 124182.086),(14 122111.2),(15 120619.875),(16 118333.81),(17 116475.79),(18 115687.234),(19 114909.76),(20 113700.055),(21 111965.445),(22 111425.34),(23 110785.445),(24 111505.01),(25 111430.195),(26 113896.43),(27 115913.336),(28 116316.68),(29 118818.61),(30 120713.25),(31 122982.39),(32 125064.16),(33 126715.96),(34 128772.15),(35 128252.95),(36 128098.62),(37 126632.97),(38 126410.87),(39 125894.74),(40 125019.836),(41 123194.37),(42 119835.77),(43 118498.93),(44 116059.63),(45 115015.19),(46 115300.586),(47 115328.164),(48 117775.664),(49 120052.266),(50 121878.4),(51 124587.98),(52 125210.11),(53 125595.58),(54 127469.6),(55 126619.3),(56 126375.914),(57 125569.84),(58 125829.04),(59 129620.8),(60 132056.52),(61 131012.945),(62 130751.28),(63 130450.33),(64 129871.77),(65 130862.82),(66 130327.75),(67 129856.08),(68 132220.28),(69 132177.69),(70 132730.81),(71 133064.72),(72 134068),(73 135521.2),(74 134845.13),(75 134828.44),(76 133335.13),(77 132230.13),(78 132810.48),(79 133090.38),
(1 30280.018),(2 58287.676),(3 73794.48),(4 83967.62),(5 93581.52),(6 101684.11),(7 108526.23),(8 113392.02),(9 118103.13),(10 120749.195),(11 122871.84),(12 124888.1),(13 124004.44),(14 122879.14),(15 122161.02),(16 119648.87),(17 116261.83),(18 114909.69),(19 115685.375),(20 113941.695),(21 112277.586),(22 112244.64),(23 110769.57),(24 111599.6),(25 112325.46),(26 113138.76),(27 116103.76),(28 118926.73),(29 121759.26),(30 125188.79),(31 129672.38),(32 132481.3),(33 133006.2),(34 133262.42),(35 132980.7),(36 132881.98),(37 130993.9),(38 130554.43),(39 128540.3),(40 126562.164),(41 122931.086),(42 120140.99),(43 118393.555),(44 115791.93),(45 115710.3),(46 118020.89),(47 119492.74),(48 121136.734),(49 122031.45),(50 122793.086),(51 124714.016),(52 126133.87),(53 126431.24),(54 127464.4),(55 127294.55),(56 125664.15),(57 125256.96),(58 126226.91),(59 127320.77),(60 129638.33),(61 130470.83),(62 128407.586),(63 127215.95),(64 125750.21),(65 126030.56),(66 126984.77),(67 126497.66),(68 126092.31),(69 124328.1),(70 122213.086),(71 121415.18),(72 122110.93),(73 122533.71),(74 124196.13),(75 123142.05),(76 123393.16),(77 125328.38),(78 126296.99),(79 126102.96),
(1 29675.1),(2 56229.76),(3 70214.984),(4 79922.65),(5 89122.36),(6 97926.484),(7 105521.195),(8 112693.445),(9 120074.1),(10 121926.36),(11 124153.15),(12 126382.445),(13 126406.484),(14 125533.17),(15 124369.29),(16 122389.945),(17 119955.945),(18 116477.055),(19 115251.14),(20 112963.33),(21 111288.91),(22 109862.805),(23 108140.24),(24 108581.95),(25 108421.95),(26 110985.99),(27 113603.234),(28 118554.875),(29 123287.37),(30 125690.85),(31 128467.41),(32 130489.19),(33 131943.56),(34 134694.98),(35 137183.23),(36 138193.39),(37 137363.77),(38 136876.36),(39 134620.53),(40 130900.33),(41 128538.58),(42 126013.734),(43 122091.18),(44 118714.54),(45 116363.67),(46 118873.84),(47 120476.7),(48 121820.4),(49 122571.31),(50 122691.55),(51 124624.98),(52 127277.48),(53 129170.1),(54 131025.336),(55 131269.1),(56 129583.13),(57 129145.99),(58 128467.4),(59 128386.625),(60 128578.945),(61 129244.03),(62 128189.1),(63 126904.555),(64 125644.99),(65 121891.47),(66 119742.3),(67 118740.88),(68 118717.04),(69 117033.41),(70 114918.89),(71 114879.6),(72 116220.84),(73 116204.33),(74 119090.88),(75 120845.44),(76 122290.99),(77 125110.22),(78 125360.125),(79 125355.95),
(1 28683.207),(2 53823.87),(3 67153.164),(4 74871.3),(5 81006.164),(6 87098.28),(7 94965.945),(8 100482.47),(9 105697.08),(10 106639.04),(11 108640.44),(12 111286.04),(13 110326.01),(14 109430.516),(15 109509.016),(16 108497.37),(17 105638.81),(18 104241.37),(19 104436.5),(20 104888.12),(21 103434.95),(22 101184.57),(23 101293.47),(24 99634.4),(25 99193.57),(26 100287.9),(27 98990.72),(28 101263.414),(29 103254.03),(30 105815.336),(31 107407.29),(32 108959.37),(33 110042.516),(34 113607.875),(35 116615.65),(36 118818.55),(37 118160.21),(38 116616.89),(39 114784.63),(40 114195.4),(41 111460.53),(42 108754.195),(43 106619.914),(44 104331.03),(45 102292.66),(46 103730.13),(47 106203.05),(48 107860.14),(49 108457.84),(50 109441.88),(51 110648.08),(52 113480.4),(53 117068.13),(54 118850.586),(55 119390.91),(56 117442.28),(57 116320.48),(58 115503.3),(59 115244.05),(60 116249.66),(61 116290.7),(62 112891.766),(63 111082.29),(64 109046.586),(65 107800.195),(66 104898.086),(67 103415.71),(68 103303.89),(69 102261.305),(70 101225.9),(71 100183.586),(72 101425.17),(73 102036.37),(74 103638.63),(75 104651.31),(76 106647.234),(77 108575.12),(78 110441.97),(79 111808.8),
(1 27644.533),(2 51444.12),(3 64635.13),(4 72788.18),(5 79514.625),(6 85964.53),(7 92047.73),(8 95629.695),(9 99260.8),(10 100421.79),(11 100821.58),(12 101102.56),(13 100438.1),(14 100860.75),(15 100604.49),(16 99561.35),(17 98869.65),(18 97857.65),(19 99233.98),(20 99847.61),(21 99549.59),(22 99543.984),(23 99366.39),(24 97520.06),(25 96245.86),(26 96738.21),(27 96090.32),(28 96717.22),(29 98027.1),(30 100059.39),(31 101486.555),(32 103751.88),(33 105511.07),(34 108108.43),(35 109413.18),(36 109466.46),(37 107604.664),(38 106858.35),(39 105765.36),(40 105628.62),(41 103388.5),(42 101685.85),(43 100313.93),(44 99704.44),(45 99720.61),(46 100826.766),(47 101082.375),(48 101053.305),(49 101102.13),(50 102433.76),(51 103960.62),(52 106445.85),(53 107938.05),(54 108315.78),(55 109168.8),(56 109495.97),(57 109732.49),(58 108110.16),(59 107760),(60 107880.58),(61 108458.984),(62 107630.75),(63 105939.586),(64 104380.31),(65 102371.45),(66 99791.266),(67 98066.016),(68 97767.625),(69 97098.234),(70 96975.76),(71 97283.26),(72 98475.22),(73 98367.65),(74 98169.79),(75 98527.45),(76 100114.55),(77 103416.81),(78 105176.84),(79 105529.42),
(1 26815.455),(2 50567.22),(3 66347.32),(4 77674.67),(5 86404.016),(6 94760.195),(7 100850.71),(8 105722.2),(9 109837.28),(10 110438.9),(11 110025.234),(12 111580.98),(13 111557.46),(14 110834.94),(15 109758.56),(16 108200.33),(17 106167.09),(18 104389.22),(19 103611.29),(20 104207.81),(21 103200.39),(22 100677.04),(23 99209.164),(24 97748.56),(25 96645.09),(26 95357.914),(27 94509.766),(28 96719.336),(29 97595.38),(30 101063.41),(31 103493.59),(32 104726.945),(33 105829.05),(34 108518.69),(35 110083.586),(36 108188.38),(37 106298.59),(38 106427.62),(39 105909.95),(40 106064.5),(41 106120.55),(42 104223.016),(43 102750.94),(44 100853.16),(45 100165.54),(46 100371.56),(47 99855.625),(48 100958.81),(49 101636.2),(50 101316.91),(51 103170.74),(52 104950.42),(53 106859.81),(54 108557.13),(55 108313.164),(56 108388.664),(57 108637.984),(58 108160.51),(59 109544.445),(60 108834.484),(61 108195.54),(62 108635.2),(63 107496.29),(64 104213.59),(65 101560.734),(66 99548.63),(67 98536.64),(68 98245.08),(69 97669.74),(70 98804.49),(71 101255.62),(72 103633.95),(73 104079.5),(74 102977.75),(75 103976.07),(76 105732.516),(77 106571.68),(78 106859.51),(79 107622.51),
(1 25851.063),(2 48065.063),(3 61976.008),(4 71297.86),(5 79378.914),(6 86293.4),(7 92309.57),(8 95686.85),(9 98162.65),(10 99995.05),(11 101139.055),(12 102389.914),(13 102132.27),(14 100001),(15 99768.27),(16 100749.97),(17 100440.57),(18 99079.27),(19 99370.336),(20 101451.25),(21 100107.37),(22 97501.45),(23 94083.22),(24 93022.53),(25 93119.95),(26 93313.98),(27 91516.25),(28 90970.89),(29 91903.88),(30 92911.01),(31 92989.48),(32 93451.59),(33 93924.875),(34 94575.47),(35 95369.18),(36 94249.65),(37 94922.77),(38 95099.766),(39 94640.09),(40 96061.84),(41 95107.58),(42 93012.92),(43 92309.11),(44 91349.805),(45 92648.305),(46 93880.984),(47 93819.46),(48 94981.516),(49 96281.1),(50 96813.58),(51 98218.43),(52 100481.73),(53 101495.68),(54 101678.414),(55 101042.18),(56 101828.055),(57 100522.58),(58 100255.09),(59 101810.875),(60 101602.57),(61 99583.42),(62 98346.38),(63 98014.26),(64 95441.125),(65 94416.68),(66 93964.734),(67 92957.54),(68 93003.77),(69 93091.8),(70 92943.12),(71 93568.34),(72 95600.625),(73 95790.84),(74 94885.96),(75 94725.29),(76 95491.25),(77 96383.13),(78 97309.37),(79 97743.74),
(1 25109.887),(2 47277.54),(3 60500.266),(4 68621.19),(5 75855.49),(6 83271.91),(7 88954.36),(8 92908.586),(9 94985.72),(10 96694.8),(11 97947.234),(12 101061.195),(13 100608.19),(14 98841.016),(15 98416.35),(16 97404.84),(17 96909.25),(18 95919.74),(19 96156.47),(20 96277),(21 95061.92),(22 94481.03),(23 94148.15),(24 94185.13),(25 93419.67),(26 94197.52),(27 93105.38),(28 92633.48),(29 93624.97),(30 95330.96),(31 95746.14),(32 96494.82),(33 96774.945),(34 96796.43),(35 96705.66),(36 95654.07),(37 95265.48),(38 96339.305),(39 96538.61),(40 97091.94),(41 95392.73),(42 94369.625),(43 93525.26),(44 91572.69),(45 92230.484),(46 94163.195),(47 93317.984),(48 93034.71),(49 95071.3),(50 95810.42),(51 95518.734),(52 95949.414),(53 95493.39),(54 95480.18),(55 96359.445),(56 95977.94),(57 94436.66),(58 94624.64),(59 95543.875),(60 95876.516),(61 93668.95),(62 91457.086),(63 91817.12),(64 91662.47),(65 92469.88),(66 92383.46),(67 92381.04),(68 93180),(69 93828.41),(70 93502.555),(71 93667.22),(72 95333.55),(73 96125.48),(74 95866.85),(75 96866.92),(76 98012.7),(77 99386.03),(78 100628.42),(79 101114.99),
(1 24902.664),(2 46676.78),(3 58067.086),(4 65255.785),(5 70893.84),(6 77253.49),(7 82157.17),(8 85600.68),(9 89210.05),(10 90290.84),(11 91773.95),(12 92841.38),(13 92221.46),(14 90754.695),(15 90950.83),(16 89809.52),(17 88707.08),(18 88346.26),(19 89433.34),(20 89272.42),(21 88790.98),(22 88815.7),(23 89134.61),(24 89964.79),(25 89672.734),(26 90206.57),(27 90981.35),(28 91596.17),(29 92447.15),(30 92576.62),(31 93217.33),(32 93216.88),(33 94260.945),(34 93946.48),(35 94063.055),(36 94008.78),(37 91827.04),(38 92025.54),(39 92396.555),(40 95164.69),(41 94361.42),(42 94178.3),(43 92513.22),(44 91531.51),(45 91719.21),(46 92017.18),(47 90879.41),(48 91038.305),(49 92420.98),(50 91333.766),(51 89547.35),(52 89330.62),(53 88341.22),(54 87724.84),(55 87194.1),(56 86287.664),(57 86369.78),(58 87911.84),(59 88249.42),(60 88311.73),(61 87620.95),(62 87424.43),(63 88251.7),(64 87771.555),(65 87278.69),(66 86892.625),(67 84492.22),(68 83480.3),(69 83320.79),(70 82288.65),(71 82972.086),(72 84519.32),(73 86039.16),(74 86220.92),(75 86323.51),(76 86078.23),(77 87434.305),(78 89654.71),(79 90403.45),
(1 23922.93),(2 42130.777),(3 53221.16),(4 61369.297),(5 69190.15),(6 76316.625),(7 81644.26),(8 86128.23),(9 88051.66),(10 90745.695),(11 92518.836),(12 94128.11),(13 93214.96),(14 93001.94),(15 92117.45),(16 90941.04),(17 90315.51),(18 91119.71),(19 91948.97),(20 92199.414),(21 91466.86),(22 91813.57),(23 92399.96),(24 91970.6),(25 91596.64),(26 90593.06),(27 90168.195),(28 91324.555),(29 91123.36),(30 91261.42),(31 90406.21),(32 90965.2),(33 91138.08),(34 91854.4),(35 91979.67),(36 91236.98),(37 90663.76),(38 90955.71),(39 91158.7),(40 92786.21),(41 93052.6),(42 93606.92),(43 94020.46),(44 93114.95),(45 92185.59),(46 91218.95),(47 90855.336),(48 90328.79),(49 91010.02),(50 91606.16),(51 91012.93),(52 89857.9),(53 88306.14),(54 87949.74),(55 87457.38),(56 85459.445),(57 85781.59),(58 87299.28),(59 88267.836),(60 88853.78),(61 88653.59),(62 89047.18),(63 88320.54),(64 87719.13),(65 87599.34),(66 88003.11),(67 87153.766),(68 86049.74),(69 86661.42),(70 86741.65),(71 87128.086),(72 87914.67),(73 88940.05),(74 90451.83),(75 91635.516),(76 90494.46),(77 90537.1),(78 90888.38),(79 91454.31),
(1 22992.547),(2 42341.586),(3 53810.77),(4 61566.875),(5 69338.23),(6 76715.46),(7 82200.7),(8 85942.27),(9 88958.18),(10 90011.17),(11 89936.09),(12 90160.61),(13 90260.15),(14 89917.445),(15 88994.02),(16 88575.62),(17 88547.08),(18 89101.98),(19 88764.914),(20 88744.97),(21 88902.6),(22 89187.56),(23 89279.49),(24 89225.74),(25 88764.53),(26 89689.45),(27 90047.15),(28 90243.195),(29 91322.63),(30 92014.5),(31 91580.5),(32 92036.51),(33 92809.41),(34 92993.52),(35 91311.305),(36 88428.27),(37 89620.1),(38 88868.89),(39 88751.8),(40 90489.56),(41 90825.984),(42 91719.3),(43 91420.72),(44 91340.27),(45 90514.17),(46 90654.47),(47 89673.51),(48 89150.55),(49 90442.67),(50 91434.04),(51 92632.56),(52 93509.875),(53 93800.68),(54 93157.76),(55 91276.016),(56 89818.8),(57 90359.99),(58 89925.87),(59 88921.81),(60 88671.32),(61 87054.664),(62 88110.5),(63 87085.96),(64 85589.13),(65 85627.1),(66 85141.555),(67 84189.87),(68 84234.78),(69 84978.516),(70 85215.625),(71 85769.13),(72 86189.2),(73 86945.87),(74 88285.41),(75 88936.59),(76 90386.32),(77 92381.53),(78 93051.266),(79 94463.836),
(1 23071.531),(2 42045.58),(3 52933.2),(4 60912.746),(5 68545.92),(6 75789.55),(7 80042.695),(8 83317.81),(9 87485.09),(10 88820.29),(11 87550.09),(12 87056.69),(13 86723.16),(14 85959.25),(15 85607.914),(16 84976.22),(17 84527.875),(18 84332.836),(19 83467.016),(20 83700.12),(21 83758.734),(22 85123.94),(23 85996.67),(24 86195.63),(25 85967.33),(26 87294.92),(27 88894.805),(28 89587.91),(29 90813.914),(30 91090.016),(31 91492.55),(32 91962.055),(33 91807.52),(34 90721.48),(35 89357.97),(36 87501.86),(37 85861.01),(38 85590.45),(39 85911.25),(40 88910.8),(41 87993.49),(42 87231.33),(43 87493.67),(44 87913.82),(45 88125.445),(46 88162.445),(47 87779.11),(48 87377.53),(49 87905.164),(50 88875.83),(51 90489.9),(52 90764.78),(53 90881.42),(54 90594.53),(55 89501.49),(56 88399.05),(57 86994.06),(58 87348.305),(59 86783.37),(60 86681.125),(61 85112.5),(62 84762.945),(63 83325.2),(64 82122.36),(65 81997.08),(66 81984.125),(67 83060.45),(68 83025.56),(69 83948.92),(70 84104.97),(71 84587.24),(72 84069.586),(73 84860.68),(74 85776.13),(75 87307.555),(76 88685.195),(77 89779.48),(78 91662.97),(79 92805.086),
(1 22250.578),(2 41598.074),(3 52733.92),(4 60740.906),(5 68122.35),(6 74903.98),(7 79397.99),(8 82567.93),(9 85460.44),(10 87467.66),(11 87521.6),(12 86877.23),(13 87323.42),(14 87181.55),(15 86695.63),(16 85931.54),(17 85062.02),(18 84876.555),(19 85102.39),(20 85323.53),(21 83852.55),(22 84038.125),(23 84795.1),(24 84762.625),(25 85802.875),(26 87727.5),(27 89619.76),(28 92370.6),(29 94076.19),(30 94472.56),(31 94733.28),(32 95578.625),(33 94702.125),(34 94106.02),(35 91848.01),(36 90188),(37 89178.58),(38 88816.164),(39 87899.234),(40 88542.81),(41 86628.15),(42 85742.98),(43 85834.63),(44 86756.664),(45 86970.016),(46 86214.555),(47 85385.03),(48 85734.875),(49 87032.14),(50 88438.91),(51 89182.56),(52 88458.79),(53 88254.77),(54 87872.58),(55 86139.055),(56 86677.81),(57 86346.51),(58 85768.5),(59 85156.01),(60 86681.38),(61 87100.9),(62 86191.734),(63 85669.734),(64 83904),(65 82748.34),(66 82699.33),(67 82402.24),(68 82004.945),(69 81837.29),(70 81598.15),(71 82852.45),(72 82182.31),(73 83453.984),(74 85152.58),(75 86204.35),(76 87778.45),(77 88365.06),(78 88857.85),(79 88509.9),
(1 21747.883),(2 38968.773),(3 49327.758),(4 56411.18),(5 63165.492),(6 69485.63),(7 73238.29),(8 76317.37),(9 79309.29),(10 80566.79),(11 82069.73),(12 83251.15),(13 83778.164),(14 83403.42),(15 83143.445),(16 80916.46),(17 80653.07),(18 80046.875),(19 79549.516),(20 79417.016),(21 78293.59),(22 78439.5),(23 78901.42),(24 77895.65),(25 76933.24),(26 77976.23),(27 78384.66),(28 80960.164),(29 83445.93),(30 84760.89),(31 86374.93),(32 88125.88),(33 88497.49),(34 88095.57),(35 87374.65),(36 86890.625),(37 86046.16),(38 84939.96),(39 83769.35),(40 82277.54),(41 81740.16),(42 79436.805),(43 78428.69),(44 78627.32),(45 79078.54),(46 79466.18),(47 78951.65),(48 78819.57),(49 78336.61),(50 79466.76),(51 79986.984),(52 79811.266),(53 78896.945),(54 76937.945),(55 76010.305),(56 77165.54),(57 77843.305),(58 78376.77),(59 78490.64),(60 80295.06),(61 80817.31),(62 79790.125),(63 80157.41),(64 79166.945),(65 79708.71),(66 80683.04),(67 80140.97),(68 79965.41),(69 79698.555),(70 80765.28),(71 80931.6),(72 80567.11),(73 81604.12),(74 82495.76),(75 83952.39),(76 85124.93),(77 86232.84),(78 87197.89),(79 85742.12),
