1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 885781.7),(2 3376125),(3 7033898.5),(4 11461833),(5 16633061),(6 22878466),(7 29834240),(8 37113264),(9 44138610),(10 51326132),(11 58722336),(12 66049548),(13 73199096),(14 79767770),(15 86124424),(16 92250936),(17 98440060),(18 104214696),(19 109146530),(20 112969736),(21 115969384),(22 118584280),(23 121311300),(24 124713220),(25 129013220),(26 133179384),(27 137244720),(28 141033920),(29 144344770),(30 146759520),(31 148857150),(32 150299760),(33 150911950),(34 150468530),(35 148883700),(36 146703500),(37 143953490),(38 140859500),(39 137869840),(40 135391500),(41 133603130),(42 132581224),(43 131955580),(44 131621656),(45 131691240),(46 131949336),(47 132590810),(48 133794280),(49 135799700),(50 138435340),(51 141628800),(52 144179250),(53 146647280),(54 148835840),(55 150895600),(56 152570160),(57 154746030),(58 157625380),(59 160709460),(60 164109580),(61 168033340),(62 172499570),(63 176714050),(64 180175980),(65 183228850),(66 186170830),(67 189089170),(68 191440690),(69 193839660),(70 195752300),(71 197928620),(72 200025780),(73 202347340),(74 204269520),(75 206274480),(76 209014700),(77 212354610),(78 215872770),(79 218814740),
(1 22547.34),(2 25292.762),(3 25631.371),(4 26092.672),(5 26553.082),(6 26897.168),(7 27594.1),(8 27426.133),(9 28440.16),(10 28064.76),(11 28473.945),(12 28193.355),(13 28396.975),(14 28241.607),(15 29018.752),(16 28336.621),(17 28626.379),(18 28010.932),(19 27964.354),(20 28590.016),(21 27914.62),(22 28453.402),(23 27998.834),(24 27975.055),(25 28416.955),(26 27551.762),(27 27855.248),(28 27898.021),(29 28512.334),(30 28382.662),(31 28901.422),(32 28555.514),(33 28507.309),(34 28162.912),(35 29000.465),(36 28976.928),(37 28200.732),(38 28993.979),(39 28406.955),(40 28587.795),(41 28066.049),(42 28651.045),(43 28573.246),(44 28501.902),(45 28528.793),(46 28263.111),(47 28432.625),(48 28575.475),(49 28464.826),(50 28419.135),(51 29008.688),(52 28554.195),(53 28870.166),(54 28120.793),(55 28679.678),(56 28151.902),(57 27746.7),(58 28462.855),(59 28597.266),(60 28198.016),(61 28790.605),(62 28282.828),(63 29001.2),(64 28662.373),(65 28622.414),(66 28977.645),(67 28892.459),(68 28613.162),(69 29049.453),(70 28696.672),(71 28659.758),(72 28797.492),(73 28584),(74 28421.191),(75 28433.488),(76 27702.695),(77 28737.625),(78 28367.746),(79 28711.682),
(1 21193.033),(2 23860.455),(3 24562.654),(4 24862.078),(5 25313.29),(6 25487.592),(7 26423.777),(8 26013.104),(9 26129.96),(10 25947.18),(11 26408.473),(12 26615.018),(13 26259.623),(14 27215.307),(15 27120.154),(16 27005.55),(17 27130.777),(18 27667.943),(19 27899.64),(20 27899.393),(21 27247.756),(22 27278.273),(23 26791.682),(24 27308.148),(25 27629.846),(26 27506.059),(27 28035.217),(28 27862.846),(29 27839.742),(30 27911.646),(31 28084.893),(32 27930.924),(33 28072.77),(34 27407.648),(35 27445.387),(36 27344.008),(37 27105.898),(38 26954.95),(39 27162.205),(40 27805.438),(41 27543.457),(42 26902.303),(43 27249.912),(44 27556.018),(45 26803.5),(46 27006.768),(47 27433.152),(48 27599.313),(49 27254.879),(50 27276.322),(51 27623.162),(52 27801.865),(53 27644.691),(54 28054.154),(55 27669.848),(56 27235.826),(57 27586.648),(58 27509.443),(59 27807.916),(60 28276.705),(61 27604.102),(62 27416.387),(63 27539.705),(64 27623.686),(65 27701.39),(66 27367.578),(67 27184.326),(68 27655.203),(69 27612.158),(70 27274.826),(71 27363.742),(72 26881.896),(73 26717.428),(74 26548.152),(75 26636.68),(76 27139.418),(77 27198.633),(78 27048.287),(79 27333.748),
(1 20867.229),(2 23427.2),(3 23637.902),(4 24493.352),(5 24173.469),(6 24615.33),(7 25721.467),(8 25533.15),(9 25924.719),(10 26110.54),(11 26164.572),(12 26127.13),(13 25772.877),(14 26375.98),(15 27274.883),(16 26813.355),(17 26618.727),(18 26786.592),(19 27189.611),(20 26814.865),(21 26692.352),(22 26758.67),(23 26828.883),(24 26669.559),(25 26906.541),(26 26942.785),(27 26656.54),(28 26683.896),(29 27045.777),(30 26321.78),(31 26405.674),(32 26508.096),(33 26657.232),(34 25881.979),(35 26078.254),(36 26200.408),(37 25962.12),(38 26095.564),(39 26274.053),(40 25927.441),(41 26317.05),(42 25766.773),(43 25951.277),(44 26026.693),(45 26254.34),(46 26518.852),(47 26559.336),(48 26996.625),(49 26528.518),(50 27042.818),(51 26982.525),(52 27124.447),(53 27092.838),(54 26806.826),(55 26829.047),(56 26639.105),(57 26728.05),(58 26497.164),(59 26653.346),(60 26901.363),(61 26632.748),(62 26547.54),(63 26237.46),(64 26541.922),(65 26545.87),(66 26739.88),(67 26717.31),(68 26377.344),(69 26799.752),(70 26611.336),(71 26571.975),(72 26652.81),(73 26692.518),(74 26080.203),(75 26219.566),(76 26463.35),(77 26402.281),(78 26641.857),(79 26265.377),
(1 19530.479),(2 21812.21),(3 21296.156),(4 21874.283),(5 22375.309),(6 22703.605),(7 23432.79),(8 23286.74),(9 23210.723),(10 23416.74),(11 23223.56),(12 23673.371),(13 23590.857),(14 24106.527),(15 25354.037),(16 24974.387),(17 24763.41),(18 24327.867),(19 24952.736),(20 24980.256),(21 24923.45),(22 24739.805),(23 24425.283),(24 24233.047),(25 24605.844),(26 24839.203),(27 24642.53),(28 24644.857),(29 24989.582),(30 24950.828),(31 25130.582),(32 24751.371),(33 25181.318),(34 25102.178),(35 25074.35),(36 24954.957),(37 24450.617),(38 24415.781),(39 24722.924),(40 24490.926),(41 24374.244),(42 24145.164),(43 24127.58),(44 24078.252),(45 24526.445),(46 24548.521),(47 24374.61),(48 24083.203),(49 24386.604),(50 24060.79),(51 24219.902),(52 24210.7),(53 24581.04),(54 24478.158),(55 23976.375),(56 24297.156),(57 24323.219),(58 23871.334),(59 24230.469),(60 24005.748),(61 24392.14),(62 24158.514),(63 24865.006),(64 24891.016),(65 24484.76),(66 25102.74),(67 24772.564),(68 24561.328),(69 25525.744),(70 24986.158),(71 24711.736),(72 24848.89),(73 24987.18),(74 24539),(75 24617.754),(76 24602.654),(77 24554.037),(78 24741.656),(79 24631.059),
(1 18893.033),(2 20697.334),(3 21332.822),(4 21424.977),(5 21961.482),(6 21709.084),(7 22281.857),(8 22312.164),(9 22516.764),(10 22260.031),(11 23114.412),(12 23081.762),(13 23299.041),(14 23304.76),(15 23668.158),(16 22980.46),(17 23111.418),(18 23853.287),(19 23726.148),(20 23687.924),(21 24067.46),(22 23214.816),(23 23422.492),(24 23612.563),(25 23670.762),(26 23444.547),(27 23238.54),(28 23410.13),(29 23478.314),(30 24074.656),(31 23573.865),(32 23738.248),(33 23524.135),(34 23306.084),(35 23789.447),(36 23613.17),(37 23657.98),(38 24020.2),(39 24040.844),(40 23556.148),(41 23403.998),(42 23637.352),(43 23731.855),(44 23798.635),(45 24119.76),(46 23629.918),(47 23491.639),(48 23734.855),(49 23915.06),(50 23744.896),(51 23735.63),(52 23384.438),(53 23125.145),(54 24014.734),(55 24190.012),(56 24613.979),(57 24535.844),(58 24290.172),(59 24180.906),(60 23939.457),(61 24113.068),(62 24019.158),(63 24877.016),(64 24264.81),(65 24159.816),(66 24235.541),(67 23807.732),(68 24118.621),(69 23869.793),(70 24396.932),(71 23857.762),(72 24134.445),(73 24274.549),(74 24139.553),(75 24139.488),(76 24640.19),(77 24262.973),(78 24083.596),(79 24078.076),
(1 17785.914),(2 19697.729),(3 20531.465),(4 20528.191),(5 20775.945),(6 21395.29),(7 21579.164),(8 22023.59),(9 22420.775),(10 22757.35),(11 22609.83),(12 23228.94),(13 23032.332),(14 23614.021),(15 23403),(16 22625.299),(17 22574.156),(18 23092.096),(19 22823.275),(20 22753.709),(21 22921.563),(22 22537.58),(23 22896.215),(24 23016.299),(25 22808.918),(26 22423.586),(27 22751.447),(28 22307.723),(29 22305.48),(30 22587.643),(31 22518.941),(32 22519.975),(33 22739.037),(34 22902.057),(35 22439.088),(36 22598.896),(37 22672.174),(38 22608.314),(39 22800.164),(40 22496.795),(41 22547.535),(42 22201.72),(43 22643.777),(44 22642.555),(45 22814.83),(46 22950.393),(47 23215.406),(48 23038.586),(49 22734.75),(50 22836.453),(51 22525.006),(52 23008.008),(53 23134.31),(54 22614.063),(55 22712.637),(56 22652.271),(57 22554.883),(58 22785.92),(59 22418.615),(60 22290.1),(61 22668.115),(62 22602.564),(63 22941.053),(64 22877.129),(65 23035.277),(66 23334.248),(67 23312.365),(68 23466.723),(69 23456.41),(70 23223.863),(71 22858.03),(72 23368.865),(73 23264.123),(74 23139.113),(75 23164.36),(76 23578.506),(77 23308.162),(78 23729.252),(79 23255.455),
(1 17732.367),(2 19639.043),(3 19949.996),(4 20364.953),(5 20381.53),(6 20745.139),(7 21387.96),(8 21644.695),(9 21852.879),(10 22343.28),(11 22266.035),(12 22112.273),(13 21586.494),(14 22103.129),(15 22086.348),(16 21706.111),(17 22243.305),(18 21840.115),(19 21529.086),(20 21398.154),(21 21998.992),(22 22021.887),(23 21862.918),(24 22130.256),(25 22008.209),(26 22225.678),(27 21712.893),(28 22246.367),(29 22117.115),(30 21942.85),(31 22189.963),(32 21941.156),(33 21628.357),(34 21762.373),(35 21328.795),(36 21794.922),(37 22177.408),(38 21766.873),(39 22226.822),(40 22108.5),(41 21995.787),(42 22127.096),(43 21992.715),(44 22194.188),(45 22317.707),(46 22337.953),(47 22126.484),(48 22068.451),(49 21521.752),(50 21415.973),(51 22031.234),(52 22069.813),(53 22601.678),(54 22018.229),(55 22641.506),(56 23027.092),(57 22406.3),(58 22782.756),(59 22834.29),(60 22241.158),(61 23359.902),(62 22893.146),(63 22963.705),(64 22769.953),(65 23234.168),(66 22897.74),(67 23086.283),(68 23166.836),(69 23084.725),(70 23122.34),(71 23020.803),(72 23158.998),(73 22982.176),(74 23168.572),(75 23464.428),(76 23032.459),(77 22936.406),(78 22927.713),(79 22937.463),
(1 16882.016),(2 18931.063),(3 19236.654),(4 19442.824),(5 19158.168),(6 19500.234),(7 19803.795),(8 20078.008),(9 20209.459),(10 20217.406),(11 20208.943),(12 20564.926),(13 20578.465),(14 20765.518),(15 20758.846),(16 21211.797),(17 20973.697),(18 21098.361),(19 20833.084),(20 21079.89),(21 21313.633),(22 20759.482),(23 20860.264),(24 20930.273),(25 20987.033),(26 20983.25),(27 20865.582),(28 21080.871),(29 20923.186),(30 21189.67),(31 21264.852),(32 21065.479),(33 21260.27),(34 21297.59),(35 21313.303),(36 21217.51),(37 21041.133),(38 20487.482),(39 20791.586),(40 20987.627),(41 20729.941),(42 20586.371),(43 20366.838),(44 20371.684),(45 20796.361),(46 20740.371),(47 21247.986),(48 21139.84),(49 20403.725),(50 20901.426),(51 20933.123),(52 20936.299),(53 21395.367),(54 21317.566),(55 21188.83),(56 21029.424),(57 20758.346),(58 21072.752),(59 21171.46),(60 20942.732),(61 21426.652),(62 21031.701),(63 21227.87),(64 21336.992),(65 21010.848),(66 21328.717),(67 21361.33),(68 21235.816),(69 21359.914),(70 21081.752),(71 21055.094),(72 20712.738),(73 21233.047),(74 21119.191),(75 21600.3),(76 21394.803),(77 21144.8),(78 21375.662),(79 21776.578),
(1 16052.421),(2 17542.432),(3 18394.975),(4 18678.66),(5 18831.014),(6 19099.166),(7 19450.734),(8 20291.002),(9 19956.322),(10 19784.441),(11 19872.041),(12 20191.244),(13 19750.596),(14 20299.287),(15 20238.648),(16 20212.26),(17 20069.158),(18 20575.709),(19 20079.457),(20 20211.57),(21 20431.813),(22 20533.682),(23 20545.328),(24 20715.912),(25 20578.387),(26 20789.033),(27 21034.432),(28 20677.578),(29 20554.516),(30 20648.408),(31 20536.877),(32 20674.28),(33 20806.99),(34 20918.912),(35 20921.82),(36 20796.592),(37 20532.436),(38 20546.045),(39 20516.672),(40 20870.295),(41 20429.924),(42 20331.838),(43 20598.6),(44 20123.064),(45 20290.664),(46 19976.738),(47 20220.023),(48 20239.197),(49 20443.342),(50 20801.416),(51 20446.623),(52 20480.455),(53 20397.254),(54 20244.557),(55 20180.861),(56 20493.021),(57 20436.365),(58 20705.578),(59 20633.498),(60 20112.588),(61 20611.01),(62 20397.78),(63 20420.387),(64 20310.605),(65 20723.67),(66 20254.953),(67 20454.303),(68 20259.447),(69 20542.928),(70 20295.092),(71 20418.986),(72 20257.693),(73 20343.408),(74 20364.414),(75 20523.672),(76 20260.541),(77 20177.242),(78 20148.463),(79 20219.406),
(1 15515.944),(2 17242.51),(3 18241.879),(4 18579.596),(5 18729.51),(6 19093.068),(7 19080.875),(8 19565.232),(9 18949.613),(10 19388.498),(11 19542.89),(12 19383.398),(13 19187.645),(14 19815.498),(15 19899.898),(16 19395.203),(17 19467.758),(18 19783.273),(19 19814.633),(20 19915.2),(21 19696.71),(22 19832.023),(23 19952.088),(24 19774.773),(25 19611.252),(26 19458.4),(27 19702.07),(28 19904.746),(29 19779.76),(30 19663.697),(31 19777.879),(32 19945.19),(33 19544.506),(34 19350.21),(35 19692.55),(36 19478.76),(37 19479.232),(38 19600.258),(39 19855.531),(40 19683.95),(41 19791.574),(42 19940.219),(43 19851.7),(44 20011.432),(45 19895.518),(46 19720.871),(47 19932.928),(48 19588.777),(49 19909.736),(50 20027.531),(51 19636.48),(52 19918.754),(53 19919.477),(54 20244.795),(55 19912.207),(56 19795.764),(57 19894.021),(58 19726.367),(59 20085.623),(60 19636.268),(61 19564.92),(62 20025.764),(63 20233.363),(64 19862.6),(65 20022.893),(66 19817.03),(67 19809.77),(68 19752.654),(69 20224.33),(70 19783.549),(71 19786.85),(72 19619.102),(73 19985.09),(74 20050.709),(75 20169.986),(76 20284.773),(77 20030.424),(78 19940.668),(79 20022.932),
(1 15100.503),(2 16948.816),(3 17503.154),(4 17368.418),(5 17591.31),(6 17819.152),(7 18503.35),(8 18686.826),(9 18229.037),(10 18926.773),(11 19116.832),(12 18881.492),(13 18890.854),(14 19255.527),(15 19145.6),(16 19291.96),(17 19062.188),(18 19279.154),(19 19703.984),(20 19581.268),(21 19273.236),(22 19219.31),(23 19571.305),(24 19203.555),(25 19343.092),(26 19075.61),(27 18822.096),(28 18939.9),(29 19286.549),(30 18644.408),(31 18977.963),(32 18871.879),(33 18771.541),(34 18790.984),(35 18999.168),(36 19089.916),(37 19035.316),(38 18779.527),(39 18971.031),(40 18742.938),(41 18988.39),(42 19162.484),(43 18888.727),(44 18594.66),(45 18891.418),(46 18889.598),(47 18724.633),(48 18691.898),(49 18901.838),(50 19058.617),(51 19123.244),(52 18855.85),(53 19090.363),(54 19178.402),(55 19330.734),(56 19326.496),(57 19120.646),(58 19024.432),(59 19566.74),(60 19318.32),(61 18943.568),(62 19014.596),(63 19025.176),(64 18889.383),(65 19064.223),(66 18736.56),(67 18832.904),(68 19049.18),(69 19012.414),(70 18597.44),(71 18904.701),(72 18718.086),(73 18848.123),(74 19350.543),(75 19060.18),(76 18797.934),(77 18978.46),(78 19363.77),(79 19107.908),
(1 14777.588),(2 16374.055),(3 17061.025),(4 17354.354),(5 17108.01),(6 17295.752),(7 17831.418),(8 17654.305),(9 17950.672),(10 17736.768),(11 18401.867),(12 18044.78),(13 18183.672),(14 18270.758),(15 18454.152),(16 18166.36),(17 18473.502),(18 18345.977),(19 18356.766),(20 18530.15),(21 17931.043),(22 18445.863),(23 18635.834),(24 18342.656),(25 18335.047),(26 18097.764),(27 18226.893),(28 18772.092),(29 18445.736),(30 18384.756),(31 18159.402),(32 18390.299),(33 18345.186),(34 18390.393),(35 18400.559),(36 18319.252),(37 18299.303),(38 18101.094),(39 18397.227),(40 18178.104),(41 18655.035),(42 18646.361),(43 18768.586),(44 18863.004),(45 18798.043),(46 18933.61),(47 18736.096),(48 18806.5),(49 18572.225),(50 18971.46),(51 19041.91),(52 18787.197),(53 18516.148),(54 18589.037),(55 18675.94),(56 18721.393),(57 18454.63),(58 18440.957),(59 18299.258),(60 18654.506),(61 18820.285),(62 18408.422),(63 18638.4),(64 18518.906),(65 18322.188),(66 18633.46),(67 18640.072),(68 18896.135),(69 18571.861),(70 18714.486),(71 18200.346),(72 18248.785),(73 18749.215),(74 18873.633),(75 18476.043),(76 18821.783),(77 18874.605),(78 18730.688),(79 18305.455),
(1 13813.601),(2 15359.981),(3 15878.389),(4 16319.74),(5 16190.624),(6 16605.502),(7 16938.09),(8 17299.89),(9 17438.959),(10 17432.15),(11 17261.904),(12 17519.701),(13 17605.223),(14 17663.19),(15 17794.938),(16 17797.295),(17 17609.803),(18 17363.441),(19 17323.602),(20 17290.104),(21 17231.531),(22 17600.012),(23 17587.557),(24 17422.586),(25 17307.389),(26 17237.418),(27 17181.621),(28 17608.662),(29 17231.84),(30 17253.033),(31 17496.598),(32 17664.79),(33 17762.498),(34 17721.871),(35 17927.244),(36 17921.996),(37 17924.396),(38 17762.379),(39 18313.68),(40 18054.06),(41 17930.758),(42 18050.408),(43 18176.049),(44 18207.432),(45 17992.22),(46 18333.707),(47 18097.723),(48 18194.344),(49 18090.35),(50 18243.035),(51 18279.018),(52 18197.36),(53 18102.656),(54 18357.814),(55 18373.52),(56 18336.121),(57 18145.76),(58 17947.717),(59 18030.988),(60 18156.256),(61 18270.844),(62 18193.262),(63 18351.482),(64 18345.492),(65 18460.02),(66 18363.682),(67 18275.35),(68 18161.883),(69 18150.236),(70 18286.021),(71 18342.205),(72 18035.61),(73 18088.46),(74 18116.498),(75 17908.078),(76 18283.172),(77 18406.22),(78 18416.705),(79 18041.45),
(1 13101.074),(2 14277.148),(3 15029.799),(4 15491.927),(5 15555.795),(6 15781.706),(7 16267.779),(8 16454.525),(9 16619.86),(10 16748.58),(11 16741.277),(12 16838.096),(13 16831.531),(14 16591.379),(15 16658.535),(16 16711.125),(17 16639.563),(18 17021.629),(19 16751.61),(20 16645.668),(21 16777.465),(22 16899.36),(23 16962.334),(24 16717.678),(25 16991.314),(26 16891.092),(27 16606.89),(28 16654.47),(29 17038.867),(30 16959.688),(31 16812.744),(32 16896.928),(33 16586.14),(34 16612.434),(35 16693.176),(36 16531.74),(37 16362.507),(38 16365.493),(39 16762.842),(40 16727.26),(41 16608.203),(42 16694.178),(43 16702.49),(44 17120.713),(45 16834.965),(46 16657.24),(47 16901.738),(48 16875.195),(49 16926.027),(50 17201.691),(51 17136.244),(52 17066.564),(53 17523.123),(54 17467.367),(55 17381.797),(56 17244.918),(57 17004.201),(58 17077.002),(59 17168.398),(60 16910.299),(61 16872.068),(62 16665.646),(63 17179.314),(64 17129.383),(65 17262.172),(66 16622.568),(67 16923.732),(68 16667.467),(69 16372.32),(70 16782.143),(71 16736.705),(72 16787.36),(73 16715.072),(74 17067.598),(75 17097.375),(76 16914.328),(77 17005.578),(78 16830.564),(79 16996.096),
(1 12683.683),(2 13814.737),(3 14369.725),(4 14855.451),(5 14655.298),(6 15241.513),(7 15686.17),(8 15398.684),(9 15365.458),(10 15532.214),(11 15651.589),(12 15928.792),(13 15694.161),(14 15879.562),(15 15810.684),(16 15388.181),(17 15669.414),(18 15785.44),(19 15860.633),(20 15873.062),(21 16041.801),(22 15947.586),(23 16117.819),(24 15954.651),(25 16130.41),(26 15838.877),(27 15634.399),(28 15853.249),(29 15954.505),(30 16120.438),(31 16083.236),(32 15995.814),(33 15931.929),(34 15922.095),(35 15795.351),(36 15724.363),(37 15412.552),(38 15694.561),(39 15955.322),(40 15624.188),(41 15858.089),(42 15744.211),(43 15628.859),(44 15759.075),(45 15669.558),(46 15821.989),(47 15759.372),(48 15474.714),(49 15939.929),(50 15897.704),(51 15934.487),(52 16068.099),(53 16167.777),(54 15944.596),(55 16052.286),(56 16148.185),(57 16031.038),(58 16340.076),(59 16276.127),(60 16356.652),(61 16185.51),(62 16083.608),(63 16231.946),(64 16392.979),(65 16527.459),(66 16479.998),(67 16273.532),(68 16225.603),(69 16385.758),(70 16285.713),(71 16330.123),(72 16221.971),(73 16323.641),(74 16402.564),(75 16344.481),(76 16588.766),(77 16544.531),(78 16547.697),(79 16195.263),
(1 12702.092),(2 13717.272),(3 14101.696),(4 14821.057),(5 14725.859),(6 15142.513),(7 15776.509),(8 16031.638),(9 16059.556),(10 15733.933),(11 15994.795),(12 15873.479),(13 16082.5),(14 16045.52),(15 16180.45),(16 16049.77),(17 16043.81),(18 16167.708),(19 16361.457),(20 16322.295),(21 16415.793),(22 16488.264),(23 16708.879),(24 16432.797),(25 16575.172),(26 16188.159),(27 16333.337),(28 16700.408),(29 16551.828),(30 16482.354),(31 16988.418),(32 16790.215),(33 16607.78),(34 16599.014),(35 16481.268),(36 16275.155),(37 16126.864),(38 16300.715),(39 16288.708),(40 16107.648),(41 16327.72),(42 16119.757),(43 15876.954),(44 16212.454),(45 16159.65),(46 16255.038),(47 16104.738),(48 16223.329),(49 16265.155),(50 16107.757),(51 16286.981),(52 16372.582),(53 16433.805),(54 16041.505),(55 16417.438),(56 16123.735),(57 16374.673),(58 16700.963),(59 16836),(60 16786.33),(61 16623.666),(62 16667.953),(63 16368.433),(64 16878.46),(65 16987.01),(66 16963.926),(67 16851.78),(68 16567.91),(69 16525.555),(70 16783.436),(71 16459.45),(72 16329.603),(73 16604.902),(74 16298.685),(75 16413.2),(76 16409.12),(77 16361.579),(78 16541.047),(79 16282.689),
(1 11900.171),(2 12938.29),(3 13047.352),(4 13736.57),(5 13823.21),(6 14229.489),(7 14460.8955),(8 14142.73),(9 14465.038),(10 14833.425),(11 14535.876),(12 14849.446),(13 14655.861),(14 15024.95),(15 15177.603),(16 15085.828),(17 15091.202),(18 15181.205),(19 15198.031),(20 15071.573),(21 15517.18),(22 15349.479),(23 15213.233),(24 15028.79),(25 15258.819),(26 15407.319),(27 15333.94),(28 15488.038),(29 15446.989),(30 15630.102),(31 15497.972),(32 15362.491),(33 15137.976),(34 15248.459),(35 14949.538),(36 14970.946),(37 15036.261),(38 14860.02),(39 15046.995),(40 14806.574),(41 15017.083),(42 14990.754),(43 15025.762),(44 14983.246),(45 15088.505),(46 14978.683),(47 15104.366),(48 15023.505),(49 14948.942),(50 15166.129),(51 15329.344),(52 15071.088),(53 15226.578),(54 14973.07),(55 15241.961),(56 15414.451),(57 15258.041),(58 15351.446),(59 15518.204),(60 15260.521),(61 15075.221),(62 15372.156),(63 15474.819),(64 15500.612),(65 15428.22),(66 15154.881),(67 15485.045),(68 15120.113),(69 15311.632),(70 15167.144),(71 15258.858),(72 15241.964),(73 15160.1),(74 15091.489),(75 15089.959),(76 15121.011),(77 14838.006),(78 14999.656),(79 14746.546),
(1 11769.128),(2 12759.915),(3 12938.092),(4 13483.746),(5 13586.051),(6 14211.94),(7 14483.844),(8 14489.317),(9 14518.709),(10 14577.522),(11 14372.953),(12 14524.092),(13 14975.393),(14 14775.918),(15 14961.486),(16 14925.124),(17 15040.894),(18 15045.511),(19 15052.546),(20 15007.047),(21 15077.548),(22 15118.239),(23 15020.351),(24 14920.175),(25 15140.415),(26 14894.447),(27 15037.266),(28 14784.061),(29 14765.307),(30 14862.871),(31 14895.056),(32 14757.689),(33 14876.517),(34 14851.629),(35 14747.448),(36 14728.893),(37 14803.062),(38 14829.14),(39 14804.605),(40 14721.44),(41 14931.367),(42 14922.27),(43 14874.64),(44 15071.658),(45 15129.81),(46 15072.43),(47 14947.096),(48 14720.261),(49 14810.395),(50 14994.781),(51 15143.705),(52 14805.096),(53 15004.529),(54 14900.279),(55 14974.512),(56 14938.787),(57 14885.657),(58 15089.754),(59 15170.419),(60 14930.267),(61 14848.031),(62 14963.481),(63 14874.642),(64 14888.52),(65 14875.818),(66 14665.715),(67 14502.943),(68 14497.689),(69 14545.167),(70 14625.643),(71 14615.945),(72 14430.534),(73 14650.077),(74 14500.246),(75 14694.177),(76 14342.667),(77 14497.233),(78 14196.175),(79 14197.075),
