q, (a, b, c)
157.5, (-871418050.7758089,0.19230404899037692,871467491.6346313,2.251232585403519)
158.5, (-960255550.4853096,0.19095543882513633,960305898.9222823,2.25118624423478)
159.5, (-840547972.7169768,0.19221195898440313,840596222.5942103,2.2512422753353905)
160.5, (-798420215.9983147,0.19233006413459044,798466810.8896731,2.251251426261756)
161.5, (-739520572.3208845,0.19312671574874318,739566266.42031,2.2512894026450283)
162.5, (-746850579.1590658,0.19270597900604394,746895719.9641975,2.251271924052497)
163.5, (-679285183.2715789,0.1940725922562519,679330241.1218383,2.7486564340991113)
164.5, (-698041209.9888731,0.19317464535201923,698084966.1007291,2.251298895717854)
165.5, (-652359760.3047116,0.19384719056124258,652403339.0851959,2.7486472153914985)
166.5, (-693454984.6352705,0.19242798003419692,693497563.0349917,2.7487088811707956)
167.5, (-628007847.6659416,0.19350581750917858,628049322.1370567,2.748662031636215)
168.5, (-586768175.6302798,0.1939604533675635,586808557.1188524,2.251365229749167)
169.5, (-582372892.0192217,0.19413050381959396,582413316.2680961,2.7486255531869324)
170.5, (-551645775.3812742,0.19451897312630637,551685498.089154,2.7485921762509262)
171.5, (-518375731.7334883,0.19460613314475628,518413869.9047341,2.7485810451764205)
172.5, (-511736003.29566646,0.19467660370192208,511774086.68803096,2.748564826650928)
173.5, (-495466326.9354285,0.1947537746083566,495503668.8098678,2.7485581637432372)
174.5, (-472207034.35725427,0.1954802379498113,472244188.5376054,2.251476506115852)
175.5, (-461752646.60501003,0.19473410610379555,461787961.91759056,2.7485505898201428)
176.5, (-527645907.5058875,0.1921279270347983,527681040.63899237,2.748645754857363)
177.5, (-463482418.71140105,0.19383109235927912,463516594.83320606,2.7485752347774857)
178.5, (-422137462.8550239,0.1953858538397032,422171610.1977323,2.2514969119667847)
179.5, (-391866531.923532,0.19619162371327536,391899941.4403209,2.251539336617863)
180.5, (-375452073.40687186,0.19622205129773537,375484489.5597313,2.25154928915969)
181.5, (-383755670.7068394,0.19520880724188308,383787124.87389356,2.251499492649624)
182.5, (-370102666.7579145,0.19551474263194102,370133722.563629,2.251521802987)
183.5, (-344798825.4818785,0.1960453076987002,344829021.1027648,2.2515578938725063)
184.5, (-314040024.6185305,0.19704950775251318,314069708.837892,2.2516255795882953)
185.5, (-322551143.2364167,0.19653001370211823,322580489.7121754,2.2515897581113595)
186.5, (-303645185.27552253,0.1968305543935746,303673722.3631168,2.2516185168873477)
187.5, (-301567459.38070273,0.1964936575893332,301595514.1114001,2.2516163900367356)
188.5, (28466.467244485342,3.475885056316162,-1218.1516030929872,2.0762621157715553)
189.5, (27985.471300435813,3.2468073801360524,-1655.8529891980213,1.92405883203366)
190.5, (-275788822.13607275,0.1961472989710815,275814710.0343344,2.251617920475134)
191.5, (26384.97839020286,3.241642172785673,-1259.366476595367,2.077114629962085)
192.5, (25713.249418399744,3.2426942980488502,-1217.1603958312833,2.078385982294348)
193.5, (24838.62900029129,3.360910423473507,-712.4513541535614,2.0777895682016863)
194.5, (24276.902947497387,3.3137344751684963,-844.6851675665919,1.9206885901617565)
195.5, (23618.428426353457,3.1357820897453155,-864.7206216454445,2.0781859239555627)
196.5, (22917.207723933345,3.279642515786466,-521.707737286127,2.077157821401521)
197.5, (22938.800057847195,3.0122128212911363,-1163.5711034411959,2.077856793434835)
198.5, (22336.170563419033,3.22535962867934,-696.1033273895885,1.9204016454300934)
199.5, (21578.201644748744,3.1429001059895967,-776.6684412382182,1.9184035804111288)
200.5, (20576.745185804968,3.118180449305089,-481.0426296559489,1.9201986591650242)
201.5, (20531.351908330293,2.9692133600860893,-833.0715577141594,1.920169209787377)
202.5, (20171.073817460012,2.9994569877330797,-815.9491095552737,1.9193567929902426)
203.5, (19610.94336404964,2.9693645106063307,-689.4198413434436,1.9194738828626126)
204.5, (-114934806.88714443,0.20308958544359715,114953078.83697955,1.7478437009420085)
205.5, (-126096930.76921439,0.20052366234750213,126114729.88145855,1.74796872275035)
206.5, (-99607542.07773374,0.2046584062636268,99624804.77095689,1.747748987890177)
207.5, (-84884520.66552567,0.20708514492873858,84901461.34898458,1.2524296959872216)
208.5, (16430.97500000267,3.039783471252456,-58.21027695986137,0.9167247151685964)
209.5, (16311.775181470231,2.9582356027343066,-266.3843209424552,0.9163479737847997)
210.5, (-83540307.28381106,0.2054345342944181,83555907.61040333,1.2523384408761713)
211.5, (15151.03460485015,2.9152427688085787,-164.38338907512414,1.084390499043684)
212.5, (14403.097542165007,3.0386054478374507,156.1262697199029,1.08696893308826)
213.5, (14158.880495949932,2.981501507130645,65.49715575626163,1.0854987106145537)
214.5, (13887.663572126312,2.797071327475459,-148.02304149170865,1.0842532809398195)
215.5, (13307.18112343363,2.8384664807212876,-15.131293922438886,1.086455991332016)
216.5, (12824.796807538487,2.9361292423737644,141.13508588975787,1.0866511674184662)
217.5, (12433.619918761295,2.9637178498145276,197.80889101869133,1.0879220257575026)
