1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 80680.02),(2 265613.1),(3 559391.7),(4 934469.8),(5 1363246.6),(6 1809229),(7 2326638.3),(8 2906831),(9 3529492.8),(10 4262826.5),(11 5058085.5),(12 5869247.5),(13 6731688.5),(14 7633114.5),(15 8377838.5),(16 9209313),(17 10085229),(18 10970784),(19 11864137),(20 12781965),(21 13636429),(22 14487453),(23 15313467),(24 16021315),(25 16768757),(26 17550296),(27 18231382),(28 18911842),(29 19577758),(30 20119554),(31 20565690),(32 20986218),(33 21352976),(34 21750172),(35 22188162),(36 22702464),(37 23298962),(38 23973454),(39 24616542),(40 25236736),(41 25883230),(42 26492376),(43 27137986),(44 27857568),(45 28681472),(46 29575734),(47 30396304),(48 31210730),(49 31895128),(50 32404330),(51 32894294),(52 33421666),(53 33964932),(54 34504944),(55 35024732),(56 35488216),(57 36114340),(58 36916148),(59 37719460),(60 38556984),(61 39498970),(62 40478670),(63 41568170),(64 42684340),(65 43819836),(66 44973588),(67 46140692),(68 47346124),(69 48530836),(70 49883572),(71 51203612),(72 52598336),(73 54012110),(74 55450720),(75 56882988),(76 58390944),(77 60098196),(78 61861250),(79 63384110),
(1 9424.614),(2 19042.701),(3 22272.033),(4 23384.744),(5 24362.406),(6 25965.44),(7 26276.432),(8 26565.697),(9 27497.238),(10 28621.795),(11 28590.977),(12 28669.672),(13 28887.693),(14 29012.674),(15 29947.676),(16 30827.426),(17 31258.496),(18 31839.248),(19 32230.377),(20 32616.518),(21 32894.47),(22 32787.633),(23 33016.723),(24 33061.29),(25 33131.703),(26 33662.16),(27 33509.637),(28 33927.277),(29 34408.39),(30 35498.043),(31 35565.016),(32 34996.33),(33 34648.406),(34 34771.28),(35 34619.89),(36 34727.85),(37 35043.535),(38 35346.395),(39 35476.61),(40 35167.953),(41 34796.508),(42 34894.426),(43 35691.535),(44 35909.734),(45 35849.83),(46 35956.332),(47 35682.977),(48 35026.76),(49 34275.863),(50 34043.617),(51 34004.707),(52 33719.24),(53 33787.344),(54 34054.473),(55 34080.61),(56 34126.496),(57 33677.906),(58 33285.926),(59 33417.973),(60 33744.88),(61 33591.125),(62 33241.652),(63 33296.215),(64 33648.63),(65 34142.785),(66 34401.223),(67 34467.63),(68 34163.25),(69 34393.957),(70 34943.11),(71 35232.168),(72 35370.703),(73 35094.594),(74 34986.26),(75 34709.38),(76 34736.613),(77 34605.332),(78 34530.926),(79 34659.055),
(1 9086.639),(2 18454.115),(3 21810.662),(4 23285.896),(5 24476.54),(6 26153.582),(7 26955.979),(8 27380.826),(9 28205.303),(10 29120.344),(11 29031.918),(12 29304.754),(13 29799.096),(14 29926.29),(15 30457.543),(16 31174.064),(17 32170.006),(18 32997.617),(19 32954.65),(20 33696.918),(21 33843.258),(22 34315.27),(23 34138.85),(24 33992.375),(25 34367.586),(26 34775.813),(27 34702.78),(28 34809.145),(29 34420.836),(30 34627.402),(31 34263.758),(32 34433.09),(33 34798.273),(34 34648.46),(35 34189.99),(36 34192.594),(37 34404.633),(38 34302.438),(39 34310.99),(40 34590.69),(41 34523.625),(42 34896.973),(43 35190.758),(44 34830.707),(45 34486.977),(46 34452.418),(47 34423.84),(48 34748.46),(49 34792.55),(50 34828.293),(51 35048.234),(52 35124.535),(53 34866.74),(54 34868.496),(55 35063.145),(56 35102.594),(57 34981.496),(58 35190.797),(59 35459.406),(60 35839.02),(61 35781.2),(62 35387.1),(63 34523.574),(64 34661.82),(65 35253.414),(66 35931.39),(67 35836.086),(68 35334.37),(69 35071.137),(70 34738.234),(71 34920.22),(72 35501.004),(73 35420.863),(74 34889.094),(75 34412.914),(76 34427.81),(77 34579.332),(78 34616.117),(79 34454.16),
(1 8923.409),(2 17978.28),(3 22043.434),(4 23014.396),(5 23984.695),(6 25881.162),(7 26937.885),(8 26847.469),(9 26944.055),(10 27751.729),(11 28038.855),(12 28282.12),(13 28553.105),(14 28738.64),(15 29911.916),(16 30973.271),(17 31724.945),(18 32251.443),(19 32329.438),(20 32383.602),(21 32329.35),(22 32685.129),(23 32976.75),(24 32978.824),(25 32992.71),(26 33248.76),(27 32449.016),(28 31993.451),(29 31884.463),(30 32332.209),(31 32826.43),(32 32614.469),(33 32458.748),(34 32105.018),(35 31575.379),(36 31906.385),(37 32673.992),(38 32860.83),(39 32929.56),(40 33283.535),(41 33121.72),(42 33359.082),(43 33793.08),(44 34032.6),(45 33992.49),(46 33778.504),(47 33791.105),(48 33698.082),(49 33669.742),(50 33652.707),(51 33213.68),(52 32644.438),(53 32587.238),(54 33099.098),(55 33295.426),(56 33862.95),(57 33690.28),(58 33596.63),(59 33711.703),(60 34110.336),(61 34537.32),(62 34303.887),(63 33497.53),(64 33021.08),(65 32827.277),(66 32677.3),(67 32761.88),(68 32667.123),(69 32179.943),(70 31848.736),(71 31677.252),(72 31822.148),(73 31696.602),(74 31471.537),(75 31526.107),(76 31854.941),(77 32122.861),(78 32260.408),(79 32927.66),
(1 9120.414),(2 18197.75),(3 22180.537),(4 23730.537),(5 25316.22),(6 27232.59),(7 28242.32),(8 28229.078),(9 28312.75),(10 29017.57),(11 29678.168),(12 30024.707),(13 30255.158),(14 30810.713),(15 32083.82),(16 33080.88),(17 33824.82),(18 34053.96),(19 33607.97),(20 33072.215),(21 32174.691),(22 31482.424),(23 31773.016),(24 32205.879),(25 32054.479),(26 32184.453),(27 31781.275),(28 31844.518),(29 32502.646),(30 32929.453),(31 32988.496),(32 32693.068),(33 32549.25),(34 32709.47),(35 32647.29),(36 32706.621),(37 33154.492),(38 33642.285),(39 33881.996),(40 34123.125),(41 34597.36),(42 34891.938),(43 34827.004),(44 34968.797),(45 35102.164),(46 34750.76),(47 35106.52),(48 35138.094),(49 34919.56),(50 34362.816),(51 34031.69),(52 33929.42),(53 33820.633),(54 34132.1),(55 34585.53),(56 34526.41),(57 34112.285),(58 33435.703),(59 33251.117),(60 33494.28),(61 33804.344),(62 34000.05),(63 33838.367),(64 33313.043),(65 32699.707),(66 32133.422),(67 31720.79),(68 31741.229),(69 31807.063),(70 31983.727),(71 32715.3),(72 32822.715),(73 32320.426),(74 31764.916),(75 31446.895),(76 32114.68),(77 32463.479),(78 32517.797),(79 32829.05),
(1 9096.71),(2 18606.38),(3 22469.576),(4 23502.443),(5 24750.87),(6 26695.098),(7 27913.88),(8 27613.4),(9 27976.283),(10 28865.854),(11 29788.83),(12 30410.2),(13 30430.658),(14 30859.42),(15 32081.135),(16 32811.152),(17 33371.16),(18 32891.57),(19 32454.842),(20 32562.648),(21 32893.73),(22 32881.566),(23 32885.86),(24 32960.04),(25 33283.742),(26 33524.82),(27 33042.37),(28 32715.58),(29 33076.12),(30 33311.4),(31 33104.133),(32 32756.982),(33 32491.07),(34 32742.611),(35 33237.504),(36 32914.242),(37 32069.54),(38 31906.805),(39 32499.219),(40 32271.959),(41 32122.992),(42 32426.297),(43 32805.082),(44 33316.15),(45 33292.574),(46 33136.72),(47 32747.732),(48 32580.842),(49 32808.82),(50 32561.043),(51 32373.111),(52 32459.332),(53 32668.693),(54 32662.646),(55 32417.02),(56 32062.766),(57 31298.521),(58 30987.703),(59 31603.078),(60 32202.727),(61 32614.648),(62 32587.154),(63 32189.918),(64 31705.557),(65 31167.438),(66 30692.637),(67 30409.52),(68 30341.611),(69 30611.121),(70 31252.39),(71 31543.395),(72 31463.03),(73 31122.322),(74 30426.61),(75 30495),(76 30714.723),(77 31262.695),(78 31629.135),(79 32044.93),
(1 8757.846),(2 17611.64),(3 21691.78),(4 22725.21),(5 23775.502),(6 25430.277),(7 26928.063),(8 27031.389),(9 27144.813),(10 27451.43),(11 28039.5),(12 28547.36),(13 28391.938),(14 28446.72),(15 29105.656),(16 29760.172),(17 29475.191),(18 29118.58),(19 29224.305),(20 29399.092),(21 29686.6),(22 30401.28),(23 30764.992),(24 30808.074),(25 30777.537),(26 30764.672),(27 30434.508),(28 29786.377),(29 29857.637),(30 30200.813),(31 30376.523),(32 30335.043),(33 30374.426),(34 30227.123),(35 30242.348),(36 30241.5),(37 30293.918),(38 30349.568),(39 30702.695),(40 31101.686),(41 31344.807),(42 31249.432),(43 31423.03),(44 31683.592),(45 31418.354),(46 30980.455),(47 31340.908),(48 31734.445),(49 31743.643),(50 31487.736),(51 31131.145),(52 31268.754),(53 31676.463),(54 31769.217),(55 31427.723),(56 30816.549),(57 30720.61),(58 30856.67),(59 31023.455),(60 31604.926),(61 31654.875),(62 31005.629),(63 30340.615),(64 29952.473),(65 29929.695),(66 29312.41),(67 29022.56),(68 29284.18),(69 29917.563),(70 30166.488),(71 30589.082),(72 30550.162),(73 30275.13),(74 29632.633),(75 29646.797),(76 30215.412),(77 30391.521),(78 30672.348),(79 31144.635),
(1 8808.34),(2 17040.486),(3 20807.572),(4 22522.61),(5 23783.473),(6 25171.502),(7 26408.209),(8 27277.143),(9 28018.621),(10 28470.598),(11 28919.91),(12 29210.076),(13 29175.611),(14 29089.998),(15 29417.01),(16 29537.496),(17 30338.754),(18 30255.35),(19 29855.979),(20 29920.828),(21 29958.947),(22 29781.049),(23 29770.793),(24 29924.746),(25 30301.467),(26 30146.87),(27 29888.094),(28 29795.078),(29 29924.371),(30 30217.193),(31 30351.383),(32 30647.908),(33 30664.732),(34 30560.92),(35 30437.852),(36 30552.598),(37 30637.707),(38 30701.043),(39 31056.49),(40 31293.184),(41 30971.83),(42 31092.912),(43 31124.334),(44 31562.072),(45 31737.771),(46 31978.354),(47 32018.121),(48 31873.242),(49 32075.398),(50 31603.01),(51 31209.549),(52 31497.72),(53 31556.26),(54 31494.996),(55 31163.848),(56 31101.94),(57 30862.072),(58 31211.977),(59 31086.898),(60 31307.748),(61 31132.764),(62 30896.092),(63 30681.816),(64 30252.87),(65 29760.203),(66 29068.553),(67 28835.078),(68 29166.088),(69 29624.709),(70 30100.863),(71 30053.246),(72 30174.102),(73 30167.16),(74 29570.03),(75 28899.088),(76 28543.447),(77 28608.066),(78 28955.898),(79 29140.611),
(1 8256.212),(2 15869.482),(3 18861.078),(4 20963.068),(5 22062.756),(6 22826.896),(7 24114.637),(8 24903.51),(9 25609.281),(10 25999.611),(11 26758.277),(12 27242.424),(13 27237.404),(14 27001.92),(15 27943.234),(16 28454.19),(17 28260.016),(18 28286.941),(19 28306.375),(20 28602.775),(21 28716.645),(22 29226.066),(23 29166.998),(24 28961.586),(25 29461.691),(26 29557.4),(27 29312.521),(28 29087.293),(29 29134.102),(30 29333.113),(31 29117.582),(32 29201.998),(33 29733.648),(34 29704.668),(35 29641.607),(36 29815.404),(37 29913.574),(38 29969.504),(39 29886.424),(40 29964.525),(41 30280.357),(42 30400.23),(43 30975.912),(44 31306.73),(45 31146.299),(46 31011.26),(47 31142.336),(48 30913.643),(49 30970.07),(50 30661.633),(51 30614.377),(52 30767.691),(53 30547.559),(54 30263.904),(55 30291.598),(56 30020.934),(57 29949.596),(58 30115.174),(59 30441.633),(60 30533.111),(61 30044.17),(62 29462.87),(63 29106.398),(64 28788.625),(65 28222.832),(66 27519.91),(67 27310.813),(68 27282.78),(69 27174.086),(70 26857.7),(71 26507.043),(72 26345.79),(73 26554.586),(74 26575.652),(75 26429.133),(76 26161.537),(77 26203.682),(78 26458.031),(79 26492.479),
(1 8289.862),(2 15894.484),(3 18809.71),(4 19913.707),(5 21174.563),(6 22178.254),(7 22630.35),(8 23667.035),(9 24630.451),(10 24843.941),(11 24908.893),(12 25595.34),(13 25678.924),(14 25576.35),(15 26456.63),(16 26943.654),(17 27022.293),(18 26697.393),(19 26537.69),(20 26066.225),(21 25989.783),(22 26459.709),(23 27287.932),(24 27922.072),(25 28408.441),(26 28071.12),(27 28104.229),(28 28752.348),(29 29141.2),(30 29338.867),(31 29263.54),(32 28897.936),(33 28958.752),(34 28950.545),(35 29590.66),(36 30036.475),(37 29853.459),(38 29304.162),(39 29339.441),(40 29598.031),(41 29981.453),(42 30134.012),(43 30670.979),(44 30807.217),(45 30464.861),(46 30507.164),(47 30441.898),(48 29974.28),(49 30011.512),(50 30115.783),(51 30064.422),(52 30230.469),(53 30318.113),(54 29705.002),(55 29241.064),(56 28899.906),(57 28905.984),(58 28921.086),(59 28875.95),(60 28946.729),(61 28446.197),(62 28072.766),(63 27810.367),(64 27612.398),(65 27526.063),(66 27689.82),(67 27437.186),(68 27371.506),(69 27359.768),(70 27393.266),(71 27354.16),(72 27285.662),(73 26842.84),(74 26658.084),(75 26949.904),(76 27111.31),(77 26958.258),(78 27047.139),(79 27430.594),
(1 8178.0503),(2 15230.058),(3 17869.594),(4 19347.88),(5 20259.217),(6 21299.709),(7 22298.953),(8 23064.951),(9 23657.287),(10 23747.244),(11 24281.01),(12 24881.67),(13 25049.027),(14 25718.568),(15 26026.785),(16 26533.457),(17 26526.057),(18 26363.035),(19 26480.486),(20 26649.188),(21 26670.912),(22 27094.855),(23 27190.152),(24 27068.04),(25 27179.918),(26 27642.375),(27 27918.838),(28 27852.58),(29 28344.285),(30 28676.242),(31 28968.857),(32 28754.672),(33 28307.527),(34 28050.564),(35 28103.945),(36 28150.502),(37 28334.932),(38 28519.227),(39 28619.668),(40 28568.068),(41 28462.977),(42 28513.678),(43 28884.426),(44 28969.58),(45 28972.215),(46 28960.27),(47 28677.637),(48 27960.143),(49 27304.055),(50 27404.105),(51 27914.125),(52 28248.107),(53 28270.057),(54 28375.889),(55 28275.781),(56 27678.658),(57 27415.94),(58 27160.74),(59 26995.066),(60 26997),(61 26992.695),(62 27304.104),(63 27387.63),(64 26877.432),(65 26926.799),(66 27085.56),(67 27192.357),(68 26832.428),(69 26823.572),(70 26843.063),(71 26561.951),(72 26321.193),(73 25991.04),(74 25506.65),(75 25594.592),(76 25982.313),(77 26739.1),(78 27171.564),(79 27785.344),
(1 7946.4004),(2 15322.021),(3 18103.523),(4 19749.76),(5 21222.36),(6 22449.418),(7 23117.621),(8 23789.33),(9 24199.64),(10 24230.932),(11 24853.363),(12 25432.41),(13 25746.477),(14 25909.066),(15 26614.838),(16 26994.084),(17 26801.434),(18 26617.895),(19 26910.078),(20 27482.217),(21 27686.986),(22 28089.273),(23 28093.625),(24 27952.043),(25 28154.385),(26 28230.031),(27 28034.85),(28 28075.906),(29 27992.9),(30 27708.656),(31 27886.39),(32 28142.197),(33 28133.816),(34 28015.527),(35 28310.344),(36 28369.037),(37 28190.297),(38 27881.379),(39 27768.412),(40 28217.98),(41 28783.203),(42 28890.951),(43 29199.627),(44 29075.879),(45 28990.457),(46 29038.867),(47 28836.166),(48 28666.777),(49 28401.117),(50 28328.613),(51 28525.31),(52 28923.172),(53 29097.559),(54 29532.068),(55 29576.736),(56 29605.25),(57 29564.354),(58 29360.293),(59 28912.541),(60 28215.14),(61 28028.365),(62 27495.783),(63 27099.25),(64 27092.668),(65 27287.934),(66 27318.89),(67 27168.41),(68 27087.668),(69 27448.363),(70 27614.543),(71 27692.254),(72 26794.496),(73 26625.719),(74 26269.434),(75 26620.678),(76 26532.178),(77 26853.008),(78 27420.568),(79 27860.545),
(1 7758.077),(2 14771.411),(3 17559.309),(4 19089.158),(5 20213.965),(6 21012.129),(7 21487.338),(8 22020.828),(9 22197.207),(10 22834.67),(11 23177.31),(12 23405.725),(13 23952.648),(14 24500.01),(15 24749.842),(16 24832.871),(17 24534.45),(18 24251.63),(19 24714.35),(20 25272.36),(21 25394.783),(22 25488.705),(23 25897.12),(24 25790.979),(25 25771.932),(26 26017.418),(27 26021.55),(28 25855.139),(29 25787.455),(30 25550.66),(31 25953.03),(32 25937.066),(33 26262.46),(34 26597.254),(35 27041.975),(36 27547.547),(37 27423.121),(38 26607.639),(39 26089.55),(40 26351.904),(41 26294.443),(42 26510.102),(43 26824.512),(44 26906.186),(45 27073.654),(46 27395.906),(47 27112.332),(48 26503.611),(49 26334.55),(50 26497.729),(51 26817.346),(52 27022.402),(53 27101.951),(54 27307.258),(55 27522.268),(56 27457.398),(57 27071.309),(58 26797.908),(59 26697.932),(60 26438.707),(61 26327.088),(62 26324.197),(63 26061.404),(64 25855.266),(65 25804.016),(66 25613.64),(67 25808.799),(68 25875.973),(69 25924.158),(70 25923.924),(71 26024.38),(72 26088.006),(73 26314.715),(74 26310.025),(75 26550.102),(76 26982.828),(77 27390.822),(78 27699.963),(79 28015.408),
(1 7530.078),(2 14065.001),(3 16591.26),(4 18079.004),(5 19594.982),(6 20588.184),(7 21204.79),(8 22096.979),(9 22595.883),(10 22934.557),(11 23312.176),(12 23312.268),(13 23723.252),(14 24174.758),(15 24207.004),(16 24541.229),(17 24071.303),(18 23993.512),(19 24571.803),(20 24717.516),(21 24714.473),(22 25485.422),(23 26155.22),(24 26213.799),(25 26301.107),(26 26033.059),(27 26170.424),(28 26214.455),(29 26599.396),(30 26519.92),(31 26334.332),(32 26696.53),(33 27005.48),(34 27333.68),(35 27539.328),(36 27626.848),(37 27596.998),(38 27168.582),(39 26609.467),(40 26616.02),(41 26924.945),(42 26738.299),(43 26455.422),(44 26343.285),(45 26286.684),(46 26197.514),(47 26401.373),(48 26413.059),(49 26137.758),(50 25888.412),(51 25837.137),(52 25560.807),(53 25265.453),(54 25464.951),(55 25350.895),(56 24922.186),(57 24941.588),(58 25287.17),(59 25320.652),(60 25057.438),(61 24961.955),(62 24802.498),(63 24708.303),(64 24228.738),(65 23956.184),(66 23842.732),(67 23836.85),(68 24198.72),(69 24127.47),(70 24222.438),(71 24128.885),(72 23908.127),(73 23859.365),(74 23972.85),(75 24390.59),(76 24669.592),(77 24661.703),(78 24499.043),(79 24635.143),
(1 7651.3276),(2 14076.561),(3 16244.311),(4 17162.846),(5 18326.377),(6 19666.934),(7 20406.646),(8 20989.014),(9 21692.521),(10 22221.662),(11 22657.479),(12 23040.857),(13 23489.598),(14 23583.674),(15 23732.227),(16 23888.748),(17 24084.455),(18 24049.117),(19 24165.023),(20 24115.2),(21 24193.484),(22 24797.102),(23 25049.887),(24 25041.875),(25 25016.986),(26 25305.504),(27 25319.092),(28 24991.586),(29 25043.773),(30 25440.826),(31 25783.791),(32 26019.158),(33 25878.242),(34 26097.508),(35 26195.686),(36 25927.635),(37 25775.348),(38 26103.676),(39 26237.47),(40 26406.547),(41 26572.375),(42 26836.467),(43 26905.21),(44 26756.074),(45 26535.885),(46 26777.223),(47 26835.697),(48 26924.139),(49 26742.576),(50 26432.984),(51 26024.322),(52 25370.012),(53 25343.55),(54 25404.691),(55 25150.613),(56 24963.152),(57 25141.361),(58 25344.783),(59 25150.188),(60 25105.7),(61 25314.805),(62 25217.777),(63 24901.287),(64 24306.617),(65 24129.291),(66 24206.258),(67 24167.867),(68 23745.17),(69 23772.71),(70 23523.26),(71 23746.691),(72 24026.102),(73 23948.629),(74 23920.44),(75 24002.164),(76 24125.986),(77 24348.055),(78 24220.695),(79 24413.375),
(1 7364.047),(2 13828.005),(3 16073.878),(4 17049.51),(5 18491.033),(6 19602.32),(7 19900.139),(8 20433.873),(9 21160.307),(10 21841.068),(11 22245.836),(12 22324.908),(13 22576.719),(14 23339.611),(15 24015.584),(16 24313.242),(17 24222.803),(18 24481.273),(19 24588),(20 24756.717),(21 24566.273),(22 24694.188),(23 25030.686),(24 25072.8),(25 24760.428),(26 24577.469),(27 24474.998),(28 24386.963),(29 24542.734),(30 24902.947),(31 25341.53),(32 25493.352),(33 25767.705),(34 25987.969),(35 25885.816),(36 25817.238),(37 25630.703),(38 25481.416),(39 25196.469),(40 25065.771),(41 25257.795),(42 25261.096),(43 25343.785),(44 25476.225),(45 25296.758),(46 25147.402),(47 24969.873),(48 25045.424),(49 24796.268),(50 24720.508),(51 25023.846),(52 25395.113),(53 25443.773),(54 25548.58),(55 25199.57),(56 25170.068),(57 25349.432),(58 25015.666),(59 24780.88),(60 24398.424),(61 24065.904),(62 24136.219),(63 24360.465),(64 24576.635),(65 24642.92),(66 24461.582),(67 24412.41),(68 24401.379),(69 24428.498),(70 24407.809),(71 24177.096),(72 23630.004),(73 23090.78),(74 22723.635),(75 22687.273),(76 23180.76),(77 23688.346),(78 23469.68),(79 23450.377),
(1 7498.654),(2 13831.144),(3 16117.822),(4 17091.664),(5 17890.49),(6 18839.943),(7 19477.947),(8 19583.193),(9 20288.816),(10 20851.855),(11 21418.637),(12 21705.346),(13 21747.992),(14 22111.008),(15 22308.791),(16 22668.098),(17 22960.623),(18 23437.951),(19 23419.242),(20 23235.838),(21 23251.49),(22 23416.656),(23 23469.537),(24 23525),(25 23941.346),(26 23887.693),(27 24109.533),(28 24024.299),(29 24314.96),(30 24634.396),(31 25006.37),(32 25156.043),(33 25294.215),(34 25213.389),(35 25232.23),(36 25323.59),(37 25356.783),(38 25328.258),(39 25258.51),(40 25220.834),(41 25245.72),(42 25418.965),(43 25527.717),(44 25500.492),(45 25403.297),(46 25133.85),(47 24857.46),(48 24871.791),(49 25321.414),(50 25259.357),(51 25195.55),(52 25129.453),(53 25179.68),(54 25128.76),(55 24751.85),(56 24616.303),(57 24818.158),(58 24623.768),(59 24465.188),(60 24285.094),(61 24056.807),(62 24103.62),(63 24152.324),(64 24125.848),(65 24480.809),(66 23891.111),(67 23505.367),(68 23314.47),(69 23572.639),(70 23999.844),(71 23930.457),(72 23490.518),(73 23159.982),(74 22872.307),(75 23002.809),(76 23271.908),(77 23642.977),(78 23829.633),(79 24017.64),
(1 7468.373),(2 14064.634),(3 16497.87),(4 17170.76),(5 17965.14),(6 18957.902),(7 19391.416),(8 19687.916),(9 20137.762),(10 20501.883),(11 20618.387),(12 21057.725),(13 21373.768),(14 21894.238),(15 22489.83),(16 22608.717),(17 22815.629),(18 23484.2),(19 23822.373),(20 23657.775),(21 23812.24),(22 23927.959),(23 24375.314),(24 24377.861),(25 24181.154),(26 24310.617),(27 24510.863),(28 24403.6),(29 24445.955),(30 24528.824),(31 24597.139),(32 24797.14),(33 25019.857),(34 24906.553),(35 25020.371),(36 24932.541),(37 24902.697),(38 24754.96),(39 24869.313),(40 24632.232),(41 24552.78),(42 24732.91),(43 24575.285),(44 24686.637),(45 24582.44),(46 24457.783),(47 24386.303),(48 24557.236),(49 24682.787),(50 24178.324),(51 24108.377),(52 24104.377),(53 24119.428),(54 23901.367),(55 23806.547),(56 24030.271),(57 24364.873),(58 24389.893),(59 24322.174),(60 24415.42),(61 24450.072),(62 24664.977),(63 24861.1),(64 24850.99),(65 24707.535),(66 24261.99),(67 24240.49),(68 24259.47),(69 24451.854),(70 24045.871),(71 23895.83),(72 24130.773),(73 24146.564),(74 24174.648),(75 24307.352),(76 24379.195),(77 24369.84),(78 24295.953),(79 24295.121),
(1 7044.7236),(2 12977.203),(3 15269.442),(4 16498.332),(5 17401.203),(6 17879.7),(7 18008.822),(8 18167.273),(9 18276.19),(10 18440.912),(11 19217.604),(12 19455.887),(13 19879.773),(14 20723.246),(15 21026.635),(16 20880.246),(17 20910.633),(18 21368.162),(19 21512.318),(20 21292.44),(21 21512.502),(22 22024.516),(23 22343.063),(24 22115.74),(25 22330.492),(26 22799.895),(27 23064.152),(28 22674.21),(29 22424.896),(30 22465.045),(31 22859.81),(32 23122.545),(33 23370.451),(34 23513.72),(35 23768.945),(36 23642.863),(37 23510.063),(38 23440.201),(39 23422.91),(40 23428.006),(41 23818.295),(42 24260.934),(43 24439.707),(44 24426.984),(45 24405.969),(46 24179.078),(47 24118.682),(48 23711.502),(49 23331.244),(50 23210.41),(51 23401.951),(52 23312.646),(53 23097.463),(54 22848.21),(55 22632.44),(56 22563.332),(57 22607.277),(58 22334.07),(59 22535.148),(60 22534.236),(61 22574.42),(62 22490.43),(63 22335.814),(64 22390.533),(65 22551.168),(66 22606.8),(67 22563.318),(68 22710.316),(69 22821.387),(70 22590.293),(71 22300.71),(72 22338.05),(73 22476.863),(74 22413.488),(75 22232.828),(76 22134.432),(77 22180.742),(78 22358.563),(79 22313.367),
