1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1034.8967),(2 1302.6882),(3 1579.5939),(4 1682.8956),(5 1817.2601),(6 1910.3472),(7 1954.8918),(8 2004.8022),(9 2075.6384),(10 2087.0933),(11 2144.1848),(12 2179.4207),(13 2224.243),(14 2275.9365),(15 2259.0417),(16 2254.1375),(17 2271.4834),(18 2237.609),(19 2240.4949),(20 2251.0583),(21 2251.6992),(22 2275.0913),(23 2288.9082),(24 2270.4033),(25 2265.8306),(26 2284.5796),(27 2305.0378),(28 2321.9946),(29 2357.0532),(30 2374.037),(31 2391.0278),(32 2377.008),(33 2358.66),(34 2374.854),(35 2370.552),(36 2341.8396),(37 2356.932),(38 2311.5288),(39 2333.351),(40 2345.7246),(41 2336.3538),(42 2359.4285),(43 2317.6526),(44 2294.0525),(45 2306.3389),(46 2288.0823),(47 2270.0996),(48 2236.0723),(49 2221.8645),(50 2219.9883),(51 2228.5332),(52 2229.4028),(53 2237.8997),(54 2234.5967),(55 2237.3345),(56 2232.2656),(57 2218.6372),(58 2217.5195),(59 2213.7925),(60 2222.7732),(61 2222.535),(62 2207.7585),(63 2229.926),(64 2236.684),(65 2245.0295),(66 2302.1997),(67 2290.2205),(68 2342.0723),(69 2352.036),(70 2371.2246),(71 2405.1846),(72 2375.02),(73 2393.0781),(74 2425.9453),(75 2428.1062),(76 2439.8423),(77 2418.8813),(78 2452.992),(79 2472.9949),
(1 1056.8567),(2 1347.3875),(3 1641.123),(4 1767.3458),(5 1889.027),(6 2009.5223),(7 2066.2869),(8 2117.1038),(9 2191.2415),(10 2221.115),(11 2269.9836),(12 2297.8545),(13 2332.1506),(14 2356.9631),(15 2378.2813),(16 2356.4592),(17 2357.4883),(18 2326.7168),(19 2337.9993),(20 2364.184),(21 2371.2537),(22 2388.2722),(23 2422.6091),(24 2383.1633),(25 2364.7815),(26 2369.7065),(27 2367.1968),(28 2382.0557),(29 2422.9033),(30 2411.9087),(31 2421.6172),(32 2437.6606),(33 2437.2341),(34 2450.4158),(35 2456.5796),(36 2443.477),(37 2437.2832),(38 2399.4963),(39 2451.7566),(40 2429.6409),(41 2407.6465),(42 2450.028),(43 2440.0898),(44 2414.5396),(45 2415.0098),(46 2387.2068),(47 2356.3184),(48 2334.784),(49 2317.7979),(50 2314.1348),(51 2349.7373),(52 2349.0203),(53 2358.4382),(54 2359.7456),(55 2351.868),(56 2333.2947),(57 2324.7942),(58 2297.5247),(59 2308.5178),(60 2336.9932),(61 2347.0532),(62 2332.3367),(63 2345.713),(64 2380.9268),(65 2364.2993),(66 2401.8252),(67 2363.8508),(68 2405.3843),(69 2421.5906),(70 2421.162),(71 2457.3147),(72 2431.2107),(73 2480.7869),(74 2489.549),(75 2514.2024),(76 2549.567),(77 2547.43),(78 2549.4587),(79 2565.7227),
(1 1053.7528),(2 1342.8695),(3 1628.47),(4 1760.9122),(5 1878.4569),(6 2020.6976),(7 2086.0012),(8 2156.8823),(9 2226.192),(10 2235.252),(11 2297.109),(12 2321.2178),(13 2310.455),(14 2326.8635),(15 2318.1587),(16 2316.4873),(17 2304.395),(18 2271.5947),(19 2282.166),(20 2285.0288),(21 2288.2095),(22 2297.6514),(23 2312.0254),(24 2281.763),(25 2298.5828),(26 2306.6816),(27 2296.0828),(28 2315.7205),(29 2348.8572),(30 2344.0974),(31 2349.499),(32 2354.1306),(33 2339.178),(34 2364.0027),(35 2373.3455),(36 2391.4634),(37 2384.106),(38 2323.549),(39 2334.9575),(40 2292.2202),(41 2271.3142),(42 2294.9941),(43 2275.426),(44 2275.5793),(45 2268.2317),(46 2269.6443),(47 2236.4465),(48 2231.7861),(49 2227.9963),(50 2221.35),(51 2259.5037),(52 2240.7832),(53 2275.445),(54 2321.0125),(55 2300.9045),(56 2319.6208),(57 2302.2153),(58 2275.1013),(59 2274.516),(60 2299.2688),(61 2347.991),(62 2334.0107),(63 2354.6836),(64 2345.9084),(65 2323.9563),(66 2337.3855),(67 2311.702),(68 2362.8936),(69 2388.068),(70 2389.258),(71 2431.415),(72 2422.232),(73 2461.9023),(74 2448.3171),(75 2489.5278),(76 2528.5422),(77 2519.5137),(78 2506.4246),(79 2534.105),
(1 1037.5485),(2 1308.8809),(3 1586.62),(4 1723.4933),(5 1846.8047),(6 1942.5349),(7 2019.7341),(8 2073.0657),(9 2125.9778),(10 2143.5479),(11 2223.734),(12 2220.9497),(13 2230.8135),(14 2276.2556),(15 2262.6968),(16 2261.8076),(17 2256.9124),(18 2260.7085),(19 2233.8064),(20 2253.8967),(21 2234.4526),(22 2220.52),(23 2216.9443),(24 2191.9653),(25 2232.3145),(26 2228.1824),(27 2231.3796),(28 2263.817),(29 2272.9187),(30 2274.696),(31 2302.0493),(32 2315.461),(33 2296.5886),(34 2339.295),(35 2355.8662),(36 2348.7454),(37 2353.932),(38 2299.8257),(39 2313.462),(40 2294.3228),(41 2277.197),(42 2279.1804),(43 2259.6045),(44 2253.8474),(45 2283.7783),(46 2255.185),(47 2244.8599),(48 2232.6433),(49 2225.621),(50 2210.3684),(51 2220.7876),(52 2187.8655),(53 2217.9587),(54 2241.486),(55 2227.6155),(56 2224.7021),(57 2225.9873),(58 2233.0269),(59 2230.6226),(60 2257.1494),(61 2284.5178),(62 2281.6685),(63 2312.9434),(64 2326.3894),(65 2311.553),(66 2327.3384),(67 2340.4517),(68 2358.287),(69 2354.0276),(70 2362.5837),(71 2381.1543),(72 2376.0906),(73 2397.0513),(74 2408.6306),(75 2418.5706),(76 2442.4915),(77 2414.1545),(78 2408.2646),(79 2430.492),
(1 1046.0927),(2 1300.2559),(3 1616.6757),(4 1740.2821),(5 1889.6031),(6 1967.259),(7 2032.1761),(8 2100.9568),(9 2158.9126),(10 2167.6917),(11 2224.7737),(12 2224.0303),(13 2236.774),(14 2273.6973),(15 2258.321),(16 2244.6238),(17 2265.3645),(18 2267.3398),(19 2285.1057),(20 2310.8552),(21 2284.0925),(22 2263.8064),(23 2258.3428),(24 2222.3284),(25 2232.1396),(26 2217.8616),(27 2227.8296),(28 2259.5596),(29 2272.9338),(30 2287.1733),(31 2304.7783),(32 2326.1477),(33 2314.273),(34 2356.642),(35 2360.479),(36 2328.5803),(37 2315.7898),(38 2269.55),(39 2281.591),(40 2266.459),(41 2256.919),(42 2255.7122),(43 2238.3914),(44 2229.5046),(45 2277.7634),(46 2247.6746),(47 2223.3186),(48 2231.5566),(49 2204.8462),(50 2216.4883),(51 2214.7065),(52 2182.871),(53 2195.6108),(54 2213.4954),(55 2229.1062),(56 2225.2761),(57 2228.1604),(58 2226.6333),(59 2239.528),(60 2263.992),(61 2298.6902),(62 2286.0476),(63 2329.3123),(64 2354.1206),(65 2355.0996),(66 2350.0032),(67 2368.9993),(68 2374.7883),(69 2379.1746),(70 2390.287),(71 2432.4595),(72 2423.3005),(73 2459.4124),(74 2503.1406),(75 2487.6697),(76 2516.5906),(77 2493.8193),(78 2503.5938),(79 2539.3677),
(1 1023.2165),(2 1265.9883),(3 1547.9663),(4 1649.3551),(5 1766.325),(6 1849.5669),(7 1924.8387),(8 2001.5583),(9 2059.0535),(10 2052.689),(11 2105.1816),(12 2125.9773),(13 2141.367),(14 2177.087),(15 2176.226),(16 2154.4097),(17 2158.1274),(18 2136.664),(19 2156.457),(20 2175.2734),(21 2132.151),(22 2144.76),(23 2164.3245),(24 2131.9595),(25 2133.872),(26 2128.7031),(27 2143.6719),(28 2146.2954),(29 2175.091),(30 2187.5486),(31 2198.3684),(32 2195.5803),(33 2173.7705),(34 2214.771),(35 2221.5337),(36 2200.4797),(37 2217.6316),(38 2197.4924),(39 2227.22),(40 2209.58),(41 2203.4148),(42 2207.6533),(43 2187.14),(44 2177.022),(45 2210.0396),(46 2191.4604),(47 2155.4841),(48 2150.415),(49 2129.9565),(50 2155.4087),(51 2159.8665),(52 2135.5168),(53 2129.4539),(54 2127.3323),(55 2130.9253),(56 2095.7847),(57 2118.5203),(58 2116.1423),(59 2124.7683),(60 2147.3884),(61 2167.5662),(62 2163.4485),(63 2195.667),(64 2225.8076),(65 2211.1563),(66 2226.2087),(67 2187.4053),(68 2224.0356),(69 2236.062),(70 2227.8347),(71 2255.7422),(72 2261.8716),(73 2248.2312),(74 2292.246),(75 2288.7595),(76 2285.8838),(77 2265.02),(78 2302.9363),(79 2341.2227),
(1 1047.4773),(2 1310.5665),(3 1575.9683),(4 1689.72),(5 1822.3278),(6 1895.5248),(7 1964.7789),(8 2031.8287),(9 2110.952),(10 2125.543),(11 2216.398),(12 2201.2234),(13 2220.46),(14 2246.72),(15 2255.6128),(16 2220.645),(17 2221.4885),(18 2163.0981),(19 2172.6003),(20 2175.0122),(21 2140.6423),(22 2156.8445),(23 2161.4614),(24 2147.3823),(25 2135.5083),(26 2129.9333),(27 2152.101),(28 2156.8503),(29 2180.7625),(30 2191.968),(31 2227.457),(32 2230.8855),(33 2225.2432),(34 2239.8462),(35 2237.063),(36 2247.9597),(37 2250.3694),(38 2259.4395),(39 2296.1355),(40 2275.8125),(41 2254.823),(42 2245.246),(43 2220.103),(44 2235.719),(45 2242.84),(46 2230.1858),(47 2220.503),(48 2214.4885),(49 2221.1758),(50 2262.7456),(51 2239.1738),(52 2237.51),(53 2226.2588),(54 2240.947),(55 2236.8555),(56 2222.682),(57 2247.1938),(58 2239.136),(59 2252.6921),(60 2269.6985),(61 2294.819),(62 2291.2432),(63 2313.7344),(64 2335.7615),(65 2302.0627),(66 2333.2268),(67 2288.846),(68 2347.032),(69 2310.7898),(70 2326.906),(71 2351.9478),(72 2365.4392),(73 2382.163),(74 2411.3528),(75 2407.937),(76 2408.431),(77 2394.0173),(78 2426.8333),(79 2450.3457),
(1 1020.35645),(2 1287.3954),(3 1548.9219),(4 1678.4172),(5 1779.0004),(6 1879.6448),(7 1949.729),(8 2020.5419),(9 2062.5579),(10 2092.4954),(11 2178.9263),(12 2160.9739),(13 2193.5195),(14 2251.9536),(15 2245.342),(16 2230.7964),(17 2250.1892),(18 2209.3853),(19 2214.8616),(20 2219.7988),(21 2200.5164),(22 2229.3586),(23 2228.211),(24 2229.271),(25 2226.8389),(26 2209.1353),(27 2240.467),(28 2225.9763),(29 2232.969),(30 2253.2449),(31 2240.6113),(32 2244.899),(33 2246.9573),(34 2248.9866),(35 2237.0112),(36 2222.6406),(37 2227.5352),(38 2206.2988),(39 2240.605),(40 2207.6099),(41 2186.938),(42 2202.992),(43 2156.5522),(44 2184.856),(45 2176.6055),(46 2158.6968),(47 2171.598),(48 2173.3687),(49 2182.8748),(50 2207.6768),(51 2179.4854),(52 2177.263),(53 2184.457),(54 2205.04),(55 2189.2292),(56 2195.8635),(57 2211.7432),(58 2229.5076),(59 2219.3862),(60 2241.2236),(61 2235.1072),(62 2220.0134),(63 2250.8293),(64 2268.3586),(65 2246.8125),(66 2272.0886),(67 2265.1108),(68 2293.3833),(69 2254.1548),(70 2284.3704),(71 2309.6816),(72 2310.6855),(73 2330.9111),(74 2363.2764),(75 2328.2017),(76 2365.0227),(77 2361.29),(78 2370.736),(79 2365.639),
(1 1038.658),(2 1271.704),(3 1519.0425),(4 1642.4255),(5 1742.7509),(6 1848.2742),(7 1942.2532),(8 1991.8569),(9 2012.2896),(10 2076.35),(11 2160.6367),(12 2129.3015),(13 2145.53),(14 2208.4788),(15 2192.4922),(16 2188.118),(17 2197.0398),(18 2188.9954),(19 2210.4014),(20 2204.1567),(21 2175.1653),(22 2197.8047),(23 2207.2957),(24 2182.086),(25 2192.39),(26 2181.6992),(27 2189.9397),(28 2182.095),(29 2189.424),(30 2204.8738),(31 2193.7327),(32 2201.3425),(33 2201.266),(34 2203.53),(35 2177.4941),(36 2146.0977),(37 2174.7734),(38 2136.3254),(39 2168.1423),(40 2100.6848),(41 2127.371),(42 2138.4482),(43 2112.8284),(44 2121.047),(45 2124.0278),(46 2103.9377),(47 2110.074),(48 2101.4182),(49 2100.831),(50 2113.0652),(51 2102.0137),(52 2115.605),(53 2122.9795),(54 2137.2705),(55 2118.9558),(56 2129.2876),(57 2129.3457),(58 2149.3374),(59 2137.737),(60 2156.4197),(61 2161.8215),(62 2159.7847),(63 2167.7837),(64 2185.7634),(65 2164.0393),(66 2199.8523),(67 2192.0337),(68 2214.9294),(69 2195.5364),(70 2226.5186),(71 2254.2312),(72 2236.0022),(73 2250.0413),(74 2269.3896),(75 2295.2068),(76 2332.8296),(77 2338.8274),(78 2341.4543),(79 2351.0442),
(1 1042.2021),(2 1284.4921),(3 1548.1444),(4 1636.4749),(5 1749.6871),(6 1864.4376),(7 1941.7231),(8 2002.9564),(9 2042.5332),(10 2104.5864),(11 2164.731),(12 2125.8477),(13 2145.7646),(14 2174.3665),(15 2160.0278),(16 2163.6018),(17 2168.7073),(18 2164.8557),(19 2190.5938),(20 2178.785),(21 2158.7642),(22 2179.0728),(23 2193.1992),(24 2152.477),(25 2167.698),(26 2170.2134),(27 2203.395),(28 2198.1814),(29 2186.2087),(30 2187.3389),(31 2194.0942),(32 2192.6826),(33 2177.8484),(34 2196.1738),(35 2177.6682),(36 2135.7764),(37 2161.7056),(38 2118.312),(39 2157.7664),(40 2099.7578),(41 2116.6401),(42 2141.8933),(43 2111.5176),(44 2120.4497),(45 2143.833),(46 2123.4666),(47 2133.9275),(48 2142.5237),(49 2135.043),(50 2168.6824),(51 2190.9502),(52 2177.0872),(53 2189.9924),(54 2192.354),(55 2179.7068),(56 2172.5225),(57 2175.4924),(58 2170.6313),(59 2161.6978),(60 2166.1167),(61 2165.819),(62 2143.4092),(63 2161.3186),(64 2163.1396),(65 2139.3337),(66 2165.0273),(67 2171.0615),(68 2192.0393),(69 2205.5515),(70 2225.2932),(71 2260.1008),(72 2228.8145),(73 2234.226),(74 2254.9487),(75 2281.4583),(76 2301.0564),(77 2329.4907),(78 2331.665),(79 2350.605),
(1 1022.4133),(2 1266.0806),(3 1537.4797),(4 1637.8455),(5 1766.1147),(6 1893.797),(7 1977.0552),(8 2041.5289),(9 2104.9658),(10 2119.2666),(11 2187.7883),(12 2181.3242),(13 2173.3525),(14 2187.5789),(15 2192.171),(16 2176.9412),(17 2211.2808),(18 2201.0515),(19 2195.6523),(20 2184.2253),(21 2190.3367),(22 2221.592),(23 2232.9192),(24 2218.7446),(25 2217.9707),(26 2216.669),(27 2214.1804),(28 2212.032),(29 2210.5435),(30 2201.082),(31 2207.3975),(32 2193.5952),(33 2177.382),(34 2181.37),(35 2167.5457),(36 2127.985),(37 2163.1445),(38 2121.7617),(39 2149.9775),(40 2094.8452),(41 2099.8108),(42 2102.323),(43 2041.1904),(44 2056.0557),(45 2074.681),(46 2058.0657),(47 2064.4788),(48 2056.5442),(49 2054.1548),(50 2095.7646),(51 2095.3486),(52 2104.1155),(53 2108.1423),(54 2122.9397),(55 2123.4858),(56 2124.3052),(57 2149.5935),(58 2137.5183),(59 2132.1836),(60 2116.3804),(61 2139.1514),(62 2125.923),(63 2165.3093),(64 2166.9707),(65 2131.1816),(66 2152.216),(67 2187.817),(68 2213.8667),(69 2243.7126),(70 2281.8647),(71 2297.2673),(72 2274.9907),(73 2286.0466),(74 2302.7944),(75 2307.801),(76 2325.3293),(77 2308.9968),(78 2291.216),(79 2330.9136),
(1 1020.5775),(2 1266.5032),(3 1531.3795),(4 1633.0033),(5 1741.5278),(6 1851.1333),(7 1950.9684),(8 1979.9049),(9 2055.943),(10 2082.0518),(11 2141.81),(12 2140.622),(13 2127.3188),(14 2136.1465),(15 2142.6018),(16 2145.7678),(17 2212.692),(18 2189.2393),(19 2152.644),(20 2142.0762),(21 2143.8945),(22 2172.758),(23 2177.7917),(24 2163.6267),(25 2155.4258),(26 2145.83),(27 2150.4724),(28 2145.4036),(29 2151.0078),(30 2114.0254),(31 2128.0994),(32 2115.107),(33 2114.4973),(34 2120.7688),(35 2132.801),(36 2118.1982),(37 2149.9163),(38 2122.6187),(39 2139.7468),(40 2106.2861),(41 2121.8564),(42 2120.535),(43 2091.2073),(44 2097.605),(45 2099.9092),(46 2078.2537),(47 2078.2437),(48 2071.8489),(49 2082.4688),(50 2101.8208),(51 2100.6702),(52 2121.6829),(53 2116.6702),(54 2151.7615),(55 2153.9644),(56 2143.6943),(57 2149.3674),(58 2134.8066),(59 2120.3884),(60 2119.1895),(61 2117.0493),(62 2095.2302),(63 2150.3625),(64 2152.9937),(65 2143.9937),(66 2150.1287),(67 2178.2761),(68 2187.8909),(69 2217.3547),(70 2256.3472),(71 2300.4915),(72 2284.6113),(73 2303.6055),(74 2324.9229),(75 2301.6655),(76 2322.6418),(77 2307.1428),(78 2286.7637),(79 2328.3),
(1 999.22784),(2 1219.6346),(3 1467.7893),(4 1567.509),(5 1636.9254),(6 1753.6646),(7 1830.635),(8 1855.5795),(9 1942.9155),(10 1949.0513),(11 2010.1514),(12 2009.9604),(13 2025.6759),(14 2054.6216),(15 2038.1499),(16 2064.2456),(17 2114.315),(18 2111.4963),(19 2065.098),(20 2081.999),(21 2067.1106),(22 2069.1309),(23 2058.1816),(24 2063.445),(25 2084.3992),(26 2061.2754),(27 2084.4844),(28 2081.7078),(29 2110.4272),(30 2088.7542),(31 2097.956),(32 2091.4548),(33 2083.1199),(34 2105.6914),(35 2105.579),(36 2086.709),(37 2098.091),(38 2085.2695),(39 2114.9482),(40 2101.537),(41 2106.309),(42 2104.6016),(43 2070.4634),(44 2069.9768),(45 2054.5063),(46 2036.6776),(47 2051.4565),(48 2040.983),(49 2047.6823),(50 2053.8716),(51 2052.994),(52 2056.9338),(53 2075.603),(54 2090.4836),(55 2079.2878),(56 2084.151),(57 2084.8855),(58 2087.0596),(59 2075.9978),(60 2085.3289),(61 2072.7312),(62 2049.522),(63 2084.003),(64 2078.622),(65 2079.7866),(66 2081.8555),(67 2099.3772),(68 2121.0288),(69 2134.5405),(70 2152.8765),(71 2200.0444),(72 2191.973),(73 2210.8474),(74 2250.1682),(75 2264.0762),(76 2270.1804),(77 2298.81),(78 2279.2463),(79 2307.2964),
(1 1012.5222),(2 1245.7435),(3 1472.4852),(4 1581.5001),(5 1661.7355),(6 1766.4948),(7 1812.9559),(8 1859.6941),(9 1938.6909),(10 1957.0901),(11 2030.4988),(12 2041.474),(13 2052.416),(14 2076.0876),(15 2062.7988),(16 2077.6755),(17 2088.5127),(18 2091.2727),(19 2061.6558),(20 2083.7769),(21 2049.0674),(22 2044.4888),(23 2076.0947),(24 2072.639),(25 2093.204),(26 2081.2324),(27 2109.4202),(28 2117.2434),(29 2141.6592),(30 2131.645),(31 2121.6687),(32 2133.9475),(33 2116.3286),(34 2132.386),(35 2129.251),(36 2118.755),(37 2122.038),(38 2134.3425),(39 2154.154),(40 2119.9983),(41 2129.2944),(42 2131.7898),(43 2129.3008),(44 2126.9402),(45 2126.6455),(46 2100.4294),(47 2118.6924),(48 2092.883),(49 2108.1865),(50 2090.63),(51 2077.9626),(52 2063.8135),(53 2081.3435),(54 2083.5205),(55 2077.8953),(56 2079.4119),(57 2089.9392),(58 2094.136),(59 2074.7542),(60 2090.3306),(61 2056.6042),(62 2041.232),(63 2074.7498),(64 2069.2498),(65 2064.2798),(66 2068.9402),(67 2069.9812),(68 2082.4548),(69 2107.0508),(70 2122.6335),(71 2174.9348),(72 2163.3752),(73 2177.4705),(74 2240.4194),(75 2236.1343),(76 2272.7341),(77 2283.3442),(78 2264.9568),(79 2286.7913),
(1 1007.3397),(2 1250.6345),(3 1455.9974),(4 1568.8969),(5 1675.2646),(6 1771.9818),(7 1805.4602),(8 1887.782),(9 1955.0364),(10 1975.7639),(11 2056.779),(12 2051.9446),(13 2063.708),(14 2102.0205),(15 2055.4512),(16 2061.6558),(17 2040.342),(18 2038.4355),(19 2028.4615),(20 2038.7256),(21 2015.4565),(22 2016.7234),(23 2057.252),(24 2040.7563),(25 2033.908),(26 2050.566),(27 2054.7866),(28 2068.757),(29 2062.627),(30 2055.5977),(31 2063.6658),(32 2042.1156),(33 2040.5226),(34 2047.9641),(35 2025.6119),(36 2045.2407),(37 2087.3894),(38 2069.6106),(39 2100.0464),(40 2066.896),(41 2062.2263),(42 2077.185),(43 2078.5718),(44 2091.9836),(45 2101.1057),(46 2073.062),(47 2066.8228),(48 2059.3271),(49 2034.8821),(50 2034.4646),(51 2013.3682),(52 2008.3888),(53 2003.6729),(54 2010.4097),(55 2005.7328),(56 1984.4174),(57 2000.3782),(58 2006.8262),(59 2005.5411),(60 2006.7751),(61 1985.4071),(62 1981.7007),(63 2008.3114),(64 2004.7788),(65 1965.2197),(66 1990.1555),(67 2010.421),(68 2035.6144),(69 2070.7212),(70 2086.6926),(71 2134.5583),(72 2134.0662),(73 2150.5608),(74 2204.785),(75 2186.1008),(76 2246.1406),(77 2226.306),(78 2212.261),(79 2230.698),
(1 985.947),(2 1235.339),(3 1425.7802),(4 1523.9142),(5 1637.0135),(6 1746.139),(7 1801.0552),(8 1875.8677),(9 1940.2716),(10 1971.232),(11 2024.7731),(12 2031.8738),(13 2038.2556),(14 2077.714),(15 2045.9395),(16 2014.9419),(17 2034.1166),(18 2020.1265),(19 2014.9747),(20 2021.7126),(21 1999.967),(22 2012.328),(23 2021.4312),(24 2007.7461),(25 1987.9504),(26 1997.6979),(27 1998.1238),(28 2014.899),(29 2026.5264),(30 2006.4269),(31 2025.0624),(32 2038.8899),(33 2041.4518),(34 2052.2761),(35 2009.1752),(36 2023.0001),(37 2068.1326),(38 2024.6499),(39 2064.3042),(40 2026.669),(41 2019.9011),(42 2061.6113),(43 2058.0364),(44 2062.8398),(45 2066.1682),(46 2043.3615),(47 2041.731),(48 2015.7758),(49 2002.0142),(50 2006.0841),(51 2028.8352),(52 2018.2739),(53 2019.0613),(54 2028.2684),(55 2027.7667),(56 2007.0713),(57 2008.5073),(58 2014.6243),(59 1990.1573),(60 2010.9077),(61 1980.6322),(62 1967.279),(63 1981.7427),(64 1987.471),(65 1974.8733),(66 2004.4479),(67 1996.0254),(68 2017.8384),(69 2043.925),(70 2053.0515),(71 2066.785),(72 2090.8635),(73 2098.643),(74 2128.157),(75 2126.3196),(76 2168.4983),(77 2132.698),(78 2152.5752),(79 2169.2874),
(1 966.0402),(2 1216.567),(3 1426.8733),(4 1539.9685),(5 1633.4824),(6 1745.4481),(7 1787.0925),(8 1856.6675),(9 1925.5586),(10 1935.302),(11 1983.2114),(12 1989.8839),(13 1992.4158),(14 2023.4968),(15 2020.7),(16 2000.9689),(17 2031.8069),(18 2019.8488),(19 1987.9402),(20 2006.8339),(21 2008.8123),(22 2034.0917),(23 2047.6956),(24 2034.0654),(25 2026.3274),(26 2021.2513),(27 2014.1763),(28 2019.0487),(29 2046.1069),(30 2041.3206),(31 2089.648),(32 2095.6565),(33 2107.6162),(34 2122.1501),(35 2075.3665),(36 2101.751),(37 2135.5999),(38 2082.1829),(39 2093.3271),(40 2074.314),(41 2059.0964),(42 2093.3914),(43 2066.3643),(44 2068.393),(45 2054.3013),(46 2042.9392),(47 2022.3833),(48 2011.8469),(49 2005.5083),(50 1991.9569),(51 1984.7087),(52 1972.4807),(53 1984.61),(54 1989.0704),(55 2001.9612),(56 2004.1636),(57 2002.3657),(58 2005.7034),(59 1960.2867),(60 1961.1201),(61 1952.2268),(62 1928.035),(63 1953.7577),(64 1949.2391),(65 1934.6495),(66 1972.535),(67 1972.4812),(68 2007.4255),(69 2022.845),(70 2021.52),(71 2078.169),(72 2100.5125),(73 2105.4878),(74 2143.428),(75 2125.329),(76 2151.013),(77 2137.7124),(78 2137.8608),(79 2149.5278),
