1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 6859.155),(2 7692.1685),(3 9006.535),(4 8246.295),(5 10473.859),(6 9520.704),(7 11609.544),(8 11679.84),(9 12574.242),(10 9658.056),(11 13363.03),(12 12984.419),(13 13499.733),(14 12129.117),(15 13743.505),(16 12235.147),(17 13778.961),(18 13341.267),(19 13713.086),(20 10312.2295),(21 13945.075),(22 13784.8545),(23 14455.29),(24 13267.653),(25 14993.368),(26 13592.362),(27 15152.852),(28 14921.802),(29 15386.362),(30 12028.961),(31 15515.753),(32 15209.169),(33 15650.648),(34 14210.77),(35 15623.341),(36 13975.829),(37 15435.133),(38 14948.403),(39 15103.97),(40 11712.481),(41 15568.024),(42 15436.672),(43 16300.602),(44 15160.677),(45 16945.6),(46 15656),(47 17430.756),(48 17043.852),(49 17741.646),(50 14495.198),(51 17977.826),(52 17603.178),(53 18155.35),(54 16618.295),(55 18215.41),(56 16690.467),(57 18005.012),(58 17493.283),(59 17939.615),(60 14256.958),(61 17927.725),(62 17719.85),(63 18409.416),(64 17301.281),(65 19036.547),(66 17689.244),(67 19374.404),(68 19091.746),(69 19742.744),(70 16469.79),(71 20036.768),(72 19828.02),(73 20393.064),(74 18992.818),(75 20583.709),(76 19097.756),(77 20560.6),(78 20033.62),(79 20388.973),
(1 1776.063),(2 3328.223),(3 4706.4414),(4 5667.3667),(5 6445.51),(6 7055.046),(7 7573.146),(8 7872.235),(9 8240.832),(10 8149.0356),(11 8623.903),(12 8657.256),(13 8813.268),(14 8837.811),(15 8883.569),(16 8925.304),(17 8994.347),(18 8931.563),(19 9011.348),(20 8701.442),(21 9043.347),(22 8993.054),(23 9084.858),(24 9053.638),(25 9057.706),(26 9077.669),(27 9135.683),(28 9077.319),(29 9163.286),(30 8862.326),(31 9167.97),(32 9091.882),(33 9157.716),(34 9106.931),(35 9101.356),(36 9110.979),(37 9158.03),(38 9090.81),(39 9157.332),(40 8854.822),(41 9159.273),(42 9088.809),(43 9161.19),(44 9110.864),(45 9093.379),(46 9089.73),(47 9129.667),(48 9058.463),(49 9125.908),(50 8832.535),(51 9133.794),(52 9070.184),(53 9139.464),(54 9095.202),(55 9091.86),(56 9103.982),(57 9159.997),(58 9107.163),(59 9190.26),(60 8916.157),(61 9212.739),(62 9155.908),(63 9232.062),(64 9196.903),(65 9195.243),(66 9199.391),(67 9244.139),(68 9185.5625),(69 9260.507),(70 8994.945),(71 9277.632),(72 9218.035),(73 9282.942),(74 9231.612),(75 9225.485),(76 9234.596),(77 9276.734),(78 9213.967),(79 9275.97),
(1 1711.2091),(2 3194.7239),(3 4502.2944),(4 5414.4136),(5 6145.342),(6 6734.474),(7 7232.2686),(8 7520.4727),(9 7877.4497),(10 7783.132),(11 8234.659),(12 8264.277),(13 8411.813),(14 8423.974),(15 8456.76),(16 8501.252),(17 8571.162),(18 8520.293),(19 8607.788),(20 8317.727),(21 8647.23),(22 8589.88),(23 8669.312),(24 8638.705),(25 8639.472),(26 8659.742),(27 8709.327),(28 8650.025),(29 8728.325),(30 8437.177),(31 8732.787),(32 8658.501),(33 8726.022),(34 8688.514),(35 8679.169),(36 8686.168),(37 8728.658),(38 8662.728),(39 8732.399),(40 8443.938),(41 8737.724),(42 8670.019),(43 8740.853),(44 8701.729),(45 8692.344),(46 8703.237),(47 8749.235),(48 8684.026),(49 8752.5205),(50 8468.879),(51 8751.162),(52 8687.037),(53 8751.344),(54 8699.536),(55 8685.5),(56 8693.809),(57 8735.421),(58 8678.316),(59 8751.862),(60 8491.582),(61 8785.135),(62 8731.049),(63 8801.813),(64 8765.397),(65 8759.834),(66 8767.492),(67 8806.874),(68 8747.961),(69 8819.919),(70 8561.445),(71 8824.057),(72 8750.635),(73 8808.295),(74 8762.832),(75 8746.487),(76 8749.522),(77 8777.755),(78 8709.777),(79 8771.945),
(1 1657.9934),(2 3081.6045),(3 4327.686),(4 5193.331),(5 5887.9634),(6 6448.435),(7 6917.368),(8 7184.556),(9 7520.834),(10 7426.931),(11 7863.2993),(12 7894.53),(13 8039.123),(14 8047.4185),(15 8072.326),(16 8107.7534),(17 8166.2515),(18 8109.6006),(19 8179.7676),(20 7890.046),(21 8206.063),(22 8152.619),(23 8231.371),(24 8198.322),(25 8198.392),(26 8221.518),(27 8271.644),(28 8216.7295),(29 8295.695),(30 8015.9634),(31 8305.3),(32 8239.983),(33 8306.977),(34 8266.275),(35 8265.442),(36 8284.695),(37 8330.192),(38 8267.72),(39 8327.944),(40 8050.565),(41 8340.433),(42 8274.569),(43 8342.302),(44 8302.859),(45 8292.873),(46 8304.239),(47 8336.963),(48 8269.218),(49 8328.653),(50 8053.827),(51 8329.969),(52 8265.148),(53 8331.281),(54 8292.992),(55 8284.816),(56 8296.534),(57 8334.814),(58 8274.791),(59 8336.475),(60 8076.0225),(61 8354.2705),(62 8308.152),(63 8388.292),(64 8368.18),(65 8371.672),(66 8394.478),(67 8444.879),(68 8400.458),(69 8470.892),(70 8220.947),(71 8473.723),(72 8408.332),(73 8464.786),(74 8415.103),(75 8399.975),(76 8398.443),(77 8421.584),(78 8352.441),(79 8398.1875),
(1 1596.7379),(2 2950.516),(3 4131.856),(4 4946.682),(5 5579.2827),(6 6100.238),(7 6526.073),(8 6763.4443),(9 7069.0996),(10 6958.213),(11 7367.7925),(12 7386.564),(13 7515.3823),(14 7521.459),(15 7540.6924),(16 7597.225),(17 7664.0654),(18 7615.9463),(19 7690.289),(20 7411.0464),(21 7721.654),(22 7674.815),(23 7753.2417),(24 7729.205),(25 7723.137),(26 7747.0786),(27 7788.7554),(28 7731.325),(29 7802.218),(30 7533.717),(31 7817.956),(32 7759.1772),(33 7830.782),(34 7796.5366),(35 7781.788),(36 7805.4014),(37 7840.7295),(38 7778.233),(39 7833.637),(40 7560.085),(41 7833.581),(42 7772.679),(43 7837.136),(44 7806.233),(45 7792.933),(46 7812.5884),(47 7846.4688),(48 7789.9443),(49 7849.407),(50 7582.2734),(51 7848.7676),(52 7792.131),(53 7859.5483),(54 7825.4253),(55 7814.6694),(56 7838.1494),(57 7872.4595),(58 7810.881),(59 7868.189),(60 7613.339),(61 7882.787),(62 7837.6904),(63 7908.5967),(64 7880.6807),(65 7873.8486),(66 7900.783),(67 7937.709),(68 7887.4673),(69 7951.056),(70 7709.7285),(71 7958.1494),(72 7901.865),(73 7961.1543),(74 7924.3154),(75 7908.813),(76 7924.553),(77 7952.2197),(78 7892.5034),(79 7940.977),
(1 1544.4395),(2 2845.3877),(3 3971.5479),(4 4754.481),(5 5357.02),(6 5858.731),(7 6261.397),(8 6484.7207),(9 6763.805),(10 6651.371),(11 7047.651),(12 7066.4966),(13 7184.9824),(14 7192.4063),(15 7198.7754),(16 7236.652),(17 7279.3105),(18 7231.8354),(19 7309.4614),(20 7044.105),(21 7344.5684),(22 7301.2456),(23 7374.699),(24 7350.951),(25 7339.7754),(26 7371.6724),(27 7407.3594),(28 7349.4614),(29 7410.8613),(30 7147.4897),(31 7424.758),(32 7371.244),(33 7434.6094),(34 7404.729),(35 7383.022),(36 7401.725),(37 7428.16),(38 7366.646),(39 7420.689),(40 7154.598),(41 7424.6587),(42 7365.637),(43 7418.568),(44 7386.098),(45 7369.6816),(46 7389.535),(47 7416.5454),(48 7358.156),(49 7417.748),(50 7160.9175),(51 7424.4473),(52 7371.767),(53 7431.9644),(54 7408.8706),(55 7397.434),(56 7417.922),(57 7449.16),(58 7397.9536),(59 7453.9526),(60 7202.4297),(61 7462.9946),(62 7417.554),(63 7480.78),(64 7459.4863),(65 7454.1133),(66 7480.6665),(67 7515.2637),(68 7467.2524),(69 7527.526),(70 7290.318),(71 7533.4478),(72 7480.393),(73 7531.317),(74 7500.152),(75 7484.0527),(76 7502.388),(77 7530.27),(78 7478.1577),(79 7531.5464),
(1 1489.0498),(2 2736.492),(3 3808.2717),(4 4552.9434),(5 5112.193),(6 5593.9536),(7 5972.791),(8 6194.5425),(9 6464.14),(10 6350.1846),(11 6723.5522),(12 6735.1904),(13 6841.808),(14 6855.0547),(15 6857.95),(16 6907.4663),(17 6948.2646),(18 6903.842),(19 6968.558),(20 6706.588),(21 6996.401),(22 6956.127),(23 7024.7407),(24 7010.6045),(25 6990.0654),(26 7019.5713),(27 7048.101),(28 6995.293),(29 7051.1714),(30 6789.2104),(31 7051.489),(32 7000.8633),(33 7061.9126),(34 7039.834),(35 7017.506),(36 7045.4775),(37 7068.687),(38 7018.8755),(39 7068.2534),(40 6805.4927),(41 7060.621),(42 7010.972),(43 7067.263),(44 7047.224),(45 7028.864),(46 7059.883),(47 7088.3794),(48 7044.5684),(49 7096.6367),(50 6847.196),(51 7102.791),(52 7055.748),(53 7111.9053),(54 7095.606),(55 7076.209),(56 7104.9683),(57 7133.2534),(58 7090.5),(59 7141.6626),(60 6896.592),(61 7142.6753),(62 7094.6206),(63 7142.939),(64 7120.0146),(65 7102.776),(66 7133.1523),(67 7158.83),(68 7114.0894),(69 7164.0425),(70 6930.9688),(71 7168.599),(72 7122.3794),(73 7172.609),(74 7145.2646),(75 7120.1113),(76 7138.3203),(77 7156.4175),(78 7111.205),(79 7156.336),
(1 1441.3419),(2 2631.1758),(3 3639.5396),(4 4340.6025),(5 4859.504),(6 5310.65),(7 5650.4614),(8 5851.041),(9 6101.708),(10 5984.2207),(11 6342.5737),(12 6350.651),(13 6447.1997),(14 6461.9185),(15 6457.6953),(16 6511.4766),(17 6549.1963),(18 6517.2427),(19 6579.4873),(20 6318.7573),(21 6594.5586),(22 6548.6084),(23 6600.4927),(24 6582.008),(25 6556.133),(26 6590.2173),(27 6618.8237),(28 6588.159),(29 6657.091),(30 6414.4604),(31 6683.543),(32 6642.5015),(33 6692.223),(34 6673.732),(35 6644.5435),(36 6673.5635),(37 6691.8823),(38 6646.7534),(39 6691.8003),(40 6432.959),(41 6679.6177),(42 6629.042),(43 6677.232),(44 6660.5776),(45 6634.367),(46 6664.1904),(47 6683.3076),(48 6640.738),(49 6686.9253),(50 6441.1123),(51 6697.8022),(52 6658.6084),(53 6709.5654),(54 6694.0723),(55 6671.0493),(56 6701.69),(57 6722.331),(58 6680.4023),(59 6730.0015),(60 6493.5737),(61 6735.9526),(62 6693.027),(63 6736.815),(64 6721.482),(65 6703.256),(66 6733.6943),(67 6752.831),(68 6715.1978),(69 6766.543),(70 6535.2134),(71 6765.8354),(72 6720.808),(73 6769.0005),(74 6752.89),(75 6727.679),(76 6751.259),(77 6768.2104),(78 6731.7983),(79 6777.3013),
(1 1386.9114),(2 2523.2168),(3 3482.9023),(4 4157.841),(5 4643.857),(6 5073.579),(7 5388.493),(8 5577.551),(9 5809.074),(10 5689.711),(11 6036.9277),(12 6050.3936),(13 6142.031),(14 6165.808),(15 6158.095),(16 6211.456),(17 6239.5186),(18 6206.2085),(19 6263.119),(20 6009.5205),(21 6278.9604),(22 6240.5645),(23 6288.175),(24 6279.314),(25 6249.3945),(26 6279.2544),(27 6290.19),(28 6249.2383),(29 6303.6035),(30 6059.4326),(31 6317.5396),(32 6274.444),(33 6315.7085),(34 6300.8),(35 6269.0522),(36 6304.773),(37 6320.1743),(38 6287.7275),(39 6342.903),(40 6101.222),(41 6344.4004),(42 6296.5347),(43 6337.1),(44 6323.9277),(45 6293.9004),(46 6326.4766),(47 6344.4917),(48 6309.992),(49 6359.6523),(50 6115.0728),(51 6353.619),(52 6309.0435),(53 6354.482),(54 6346.8643),(55 6322.723),(56 6358.584),(57 6378.629),(58 6345.2456),(59 6395.135),(60 6164.602),(61 6404.0215),(62 6364.5186),(63 6409.22),(64 6403.0215),(65 6375.6353),(66 6406.206),(67 6418.137),(68 6385.085),(69 6432.366),(70 6202.315),(71 6429.7983),(72 6393.573),(73 6441.4937),(74 6433.0195),(75 6402.835),(76 6433.342),(77 6446.616),(78 6414.6606),(79 6463.8784),
(1 1333.1339),(2 2418.882),(3 3323.512),(4 3970.5627),(5 4423.42),(6 4837.2466),(7 5128.1396),(8 5312.455),(9 5527.023),(10 5407.2915),(11 5733.447),(12 5742.492),(13 5821.53),(14 5846.7676),(15 5827.126),(16 5881.0713),(17 5898.7007),(18 5871.453),(19 5920.9644),(20 5677.234),(21 5935.7554),(22 5905.238),(23 5954.0947),(24 5954.1143),(25 5917.8423),(26 5958.044),(27 5960.081),(28 5922.6094),(29 5968.0376),(30 5727.933),(31 5965.0884),(32 5916.7456),(33 5952.3887),(34 5952.8833),(35 5924.944),(36 5969.8853),(37 5983.915),(38 5957.3926),(39 6007.2813),(40 5774.5435),(41 6007.8145),(42 5963.809),(43 5999.745),(44 5997.5156),(45 5962.776),(46 5998.5615),(47 6001.093),(48 5969.4893),(49 6013.114),(50 5780.562),(51 6015.6616),(52 5984.679),(53 6027.219),(54 6026.9595),(55 5996.2114),(56 6037.701),(57 6048.238),(58 6022.6943),(59 6070.0825),(60 5848.0767),(61 6072.869),(62 6033.7686),(63 6066.6655),(64 6059.3823),(65 6023.125),(66 6057.9473),(67 6066.4316),(68 6040.409),(69 6086.7925),(70 5868.9023),(71 6084.999),(72 6043.1616),(73 6073.466),(74 6062.533),(75 6028.899),(76 6059.482),(77 6059.7417),(78 6028.2476),(79 6068.828),
(1 1289.296),(2 2320.6453),(3 3173.454),(4 3792.2903),(5 4208.8354),(6 4592.0947),(7 4848.0835),(8 5024.561),(9 5221.815),(10 5093.6597),(11 5415.5815),(12 5425.9595),(13 5490.3057),(14 5518.728),(15 5498.873),(16 5548.8345),(17 5553.752),(18 5530.1187),(19 5578.95),(20 5338.498),(21 5595.7256),(22 5566.0063),(23 5605.7383),(24 5616.287),(25 5586.6436),(26 5634.082),(27 5633.951),(28 5612.6826),(29 5660.575),(30 5423.4966),(31 5664.5396),(32 5628.279),(33 5662.8037),(34 5673.6577),(35 5642.815),(36 5679.2046),(37 5672.373),(38 5646.9316),(39 5694.6226),(40 5465.1353),(41 5698.303),(42 5655.947),(43 5681.922),(44 5680.2417),(45 5640.099),(46 5674.2813),(47 5672.5615),(48 5647.786),(49 5687.3633),(50 5453.0806),(51 5687.3755),(52 5652.8335),(53 5681.899),(54 5688.713),(55 5661.325),(56 5699.365),(57 5695.957),(58 5675.2007),(59 5717.2334),(60 5495.1885),(61 5722.3184),(62 5688.1826),(63 5723.252),(64 5734.0923),(65 5705.601),(66 5742.231),(67 5738.532),(68 5713.6143),(69 5752.4834),(70 5531.037),(71 5752.4297),(72 5715.367),(73 5741.272),(74 5739.9546),(75 5704.4883),(76 5734.816),(77 5727.1113),(78 5704.2944),(79 5745.004),
(1 1241.767),(2 2229.1494),(3 3029.6824),(4 3621.0894),(5 4011.1882),(6 4371.87),(7 4597.5283),(8 4752.5854),(9 4930.6587),(10 4803.1436),(11 5107.01),(12 5121.8755),(13 5186.2197),(14 5228.089),(15 5212.0464),(16 5262.0923),(17 5254.6177),(18 5231.436),(19 5267.181),(20 5029.1777),(21 5270.9355),(22 5242.358),(23 5271.969),(24 5291.022),(25 5258.516),(26 5302.0586),(27 5291.946),(28 5272.989),(29 5312.018),(30 5088.209),(31 5326.812),(32 5305.1323),(33 5339.858),(34 5360.3276),(35 5330.9346),(36 5375.477),(37 5367.7046),(38 5348.973),(39 5385.2334),(40 5155.1377),(41 5371.93),(42 5328.9263),(43 5349.0986),(44 5357.9785),(45 5319.9004),(46 5356.708),(47 5343.8584),(48 5318.9883),(49 5348.416),(50 5121.78),(51 5346.9463),(52 5318.2446),(53 5345.347),(54 5359.212),(55 5323.635),(56 5365.9688),(57 5360.4883),(58 5343.7695),(59 5385.988),(60 5176.353),(61 5397.08),(62 5370.8325),(63 5398.9097),(64 5411.9536),(65 5380.1323),(66 5417.879),(67 5405.535),(68 5386.9614),(69 5424.2993),(70 5210.922),(71 5421.9243),(72 5392.3066),(73 5417.798),(74 5425.5283),(75 5392.9434),(76 5427.958),(77 5418.5146),(78 5399.406),(79 5433.519),
(1 1196.7253),(2 2140.0974),(3 2892.3643),(4 3452.7683),(5 3815.541),(6 4160.717),(7 4373.0176),(8 4529.4663),(9 4694.661),(10 4562.856),(11 4855.233),(12 4864.3047),(13 4910.5337),(14 4948.06),(15 4922.8745),(16 4974.8774),(17 4963.552),(18 4953.8916),(19 4991.583),(20 4763.42),(21 5004.5967),(22 4980.581),(23 5000.337),(24 5018.9063),(25 4982.3364),(26 5024.0923),(27 5012.365),(28 5001.523),(29 5038.321),(30 4813.395),(31 5043.742),(32 5014.265),(33 5033.08),(34 5051.5854),(35 5018.5117),(36 5062.8857),(37 5054.568),(38 5044.974),(39 5081.9697),(40 4862.4087),(41 5086.9907),(42 5055.5156),(43 5068.5977),(44 5080.6245),(45 5036.96),(46 5070.7046),(47 5050.6455),(48 5034.6475),(49 5066.1245),(50 4846.689),(51 5068.7715),(52 5044.9067),(53 5067.153),(54 5089.0327),(55 5056.744),(56 5101.6343),(57 5095.534),(58 5090.8037),(59 5127.439),(60 4917.242),(61 5130.915),(62 5102.7285),(63 5117.7505),(64 5136.9287),(65 5100.9287),(66 5138.414),(67 5121.474),(68 5105.846),(69 5136.2495),(70 4922.3604),(71 5132.3037),(72 5104.2437),(73 5120.4414),(74 5136.7876),(75 5100.599),(76 5136.117),(77 5119.448),(78 5105.3447),(79 5138.4067),
(1 1150.8435),(2 2049.0215),(3 2750.9775),(4 3282.9292),(5 3628.2441),(6 3947.1985),(7 4134.763),(8 4279.8706),(9 4430.126),(10 4299.401),(11 4575.308),(12 4587.1475),(13 4630.7754),(14 4673.788),(15 4650.395),(16 4694.4434),(17 4684.7144),(18 4683.5874),(19 4715.921),(20 4497.691),(21 4730.7007),(22 4716.4604),(23 4734.343),(24 4759.4033),(25 4732.2),(26 4773.1978),(27 4754.703),(28 4744.6323),(29 4770.8994),(30 4547.8916),(31 4761.6274),(32 4733.454),(33 4748.313),(34 4772.9194),(35 4740.916),(36 4775.7383),(37 4758.677),(38 4749.4956),(39 4777.611),(40 4562.428),(41 4772.1216),(42 4745.5327),(43 4757.211),(44 4779.4873),(45 4754.458),(46 4795.282),(47 4774.121),(48 4759.3193),(49 4783.555),(50 4572.4175),(51 4789.8623),(52 4773.2188),(53 4791.2554),(54 4814.971),(55 4787.475),(56 4822.932),(57 4811.02),(58 4808.015),(59 4837.3584),(60 4636.413),(61 4845.743),(62 4825.456),(63 4836.2007),(64 4855.566),(65 4825.0225),(66 4856.945),(67 4840.2393),(68 4832.211),(69 4863.127),(70 4663.856),(71 4867.1626),(72 4843.1475),(73 4858.078),(74 4878.878),(75 4850.0996),(76 4879.2334),(77 4860.287),(78 4847.1035),(79 4869.1973),
(1 1111.94),(2 1968.6273),(3 2628.6794),(4 3140.2166),(5 3466.0212),(6 3768.5813),(7 3939.2065),(8 4082.7712),(9 4224.0933),(10 4095.2976),(11 4368.031),(12 4381.114),(13 4419.6016),(14 4471.796),(15 4451.454),(16 4491.8853),(17 4472.059),(18 4473.655),(19 4500.45),(20 4283.6553),(21 4508.4556),(22 4494.119),(23 4504.6167),(24 4534.651),(25 4506.4785),(26 4544.4844),(27 4516.121),(28 4509.7734),(29 4534.661),(30 4323.731),(31 4535.6343),(32 4511.908),(33 4526.0977),(34 4563.565),(35 4533.8945),(36 4570.507),(37 4547.9575),(38 4546.223),(39 4573.0737),(40 4365.7935),(41 4577.6187),(42 4552.9346),(43 4556.056),(44 4581.461),(45 4548.5747),(46 4579.585),(47 4548.523),(48 4538.297),(49 4560.691),(50 4356.041),(51 4571.2993),(52 4554.209),(53 4569.0537),(54 4605.7295),(55 4583.0947),(56 4621.8945),(57 4603.983),(58 4605.0107),(59 4632.6074),(60 4435.322),(61 4637.698),(62 4615.1636),(63 4616.0938),(64 4635.605),(65 4602.5864),(66 4630.747),(67 4598.8213),(68 4589.529),(69 4610.9834),(70 4413.746),(71 4615.001),(72 4595.808),(73 4605.415),(74 4634.353),(75 4605.6484),(76 4637.568),(77 4615.8384),(78 4613.5117),(79 4633.925),
(1 1059.8068),(2 1870.9576),(3 2488.339),(4 2971.7917),(5 3272.1777),(6 3543.0684),(7 3698.3142),(8 3836.447),(9 3964.1167),(10 3842.9004),(11 4099.9736),(12 4115.15),(13 4136.173),(14 4181.685),(15 4163.848),(16 4198.321),(17 4175.118),(18 4180.5737),(19 4200.1143),(20 3995.7117),(21 4206.7783),(22 4194.1357),(23 4201.6934),(24 4238.022),(25 4216.449),(26 4246.897),(27 4221.988),(28 4222.808),(29 4240.802),(30 4040.28),(31 4250.6787),(32 4238.807),(33 4242.907),(34 4275.9756),(35 4253.574),(36 4282.124),(37 4255.893),(38 4256.653),(39 4275.742),(40 4082.321),(41 4286.1304),(42 4270.8604),(43 4276.197),(44 4309.7256),(45 4282.708),(46 4305.1333),(47 4277.7026),(48 4277.979),(49 4295.96),(50 4100.718),(51 4304.2847),(52 4292.732),(53 4295.835),(54 4326.481),(55 4303.394),(56 4330.2573),(57 4305.8354),(58 4307.192),(59 4324.297),(60 4134.2573),(61 4329.353),(62 4318.0654),(63 4326.2783),(64 4358.8306),(65 4334.884),(66 4355.5747),(67 4323.6904),(68 4318.389),(69 4333.0283),(70 4141.723),(71 4338.5293),(72 4324.3594),(73 4326.6196),(74 4352.887),(75 4327.881),(76 4352.304),(77 4322.5645),(78 4322.53),(79 4338.635),
(1 1024.1207),(2 1796.3922),(3 2373.9023),(4 2830.4639),(5 3116.2986),(6 3368.985),(7 3506.3286),(8 3640.464),(9 3756.2708),(10 3627.5261),(11 3870.347),(12 3881.1047),(13 3899.236),(14 3949.438),(15 3937.4377),(16 3966.789),(17 3937.5142),(18 3942.5374),(19 3957.6501),(20 3756.484),(21 3961.9822),(22 3948.3616),(23 3945.6833),(24 3981.0818),(25 3963.0615),(26 3992.8113),(27 3964.0957),(28 3970.189),(29 3987.0942),(30 3791.969),(31 3993.4958),(32 3981.5713),(33 3982.833),(34 4023.7053),(35 4005.9678),(36 4037.0933),(37 4012.106),(38 4022.179),(39 4041.3098),(40 3852.3706),(41 4045.0664),(42 4028.796),(43 4025.1582),(44 4059.1748),(45 4037.122),(46 4061.774),(47 4033.2866),(48 4039.0908),(49 4053.8953),(50 3864.1233),(51 4058.5913),(52 4046.1792),(53 4044.2754),(54 4078.4446),(55 4060.6943),(56 4085.2834),(57 4059.081),(58 4069.425),(59 4087.617),(60 3904.0764),(61 4094.5627),(62 4082.385),(63 4078.2378),(64 4108.621),(65 4085.1074),(66 4103.85),(67 4070.0671),(68 4071.7222),(69 4085.089),(70 3898.4338),(71 4083.469),(72 4068.114),(73 4067.1807),(74 4100.1475),(75 4083.6),(76 4107.592),(77 4080.6028),(78 4089.1707),(79 4103.591),
