1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 46923.785),(2 120002.445),(3 228615.2),(4 354052.16),(5 492098.84),(6 659831.8),(7 818681.94),(8 1001360.3),(9 1343350.3),(10 1548902.1),(11 1755852.4),(12 2031369.1),(13 2245230.3),(14 2474821.8),(15 2702882.5),(16 2977923.3),(17 3230476),(18 3514612),(19 3744251.3),(20 3990944.3),(21 4254235.5),(22 4477639.5),(23 4709871.5),(24 4958456),(25 5162673.5),(26 5389143.5),(27 5589849.5),(28 5760838),(29 5934964.5),(30 6046950),(31 6120592.5),(32 6232088),(33 6375606.5),(34 6533177.5),(35 6706216.5),(36 6914054),(37 7091493.5),(38 7271792),(39 7486092),(40 7790464.5),(41 8051112),(42 8288782),(43 8525697),(44 8772478),(45 9024197),(46 9298242),(47 9593951),(48 9902485),(49 10237347),(50 10547779),(51 10883897),(52 11461325),(53 11942875),(54 12353089),(55 12773040),(56 13168301),(57 13583393),(58 14004464),(59 14372293),(60 14728892),(61 15086607),(62 15417725),(63 15807325),(64 16173421),(65 16514509),(66 16863008),(67 17179974),(68 17482284),(69 17729214),(70 17955000),(71 18278166),(72 18574986),(73 18927790),(74 19591182),(75 20078000),(76 20549852),(77 21083558),(78 21723890),(79 22231030),
(1 40149.027),(2 105765.195),(3 161093.36),(4 196540.38),(5 220762.83),(6 242779.55),(7 258757.84),(8 268991.28),(9 278408.56),(10 282317.75),(11 285523.94),(12 288671.72),(13 293247.13),(14 300246.8),(15 307736),(16 308244.75),(17 303350),(18 295227.88),(19 287900.22),(20 287166.25),(21 289760.56),(22 291278.5),(23 289679.78),(24 289648.78),(25 294280.88),(26 302547.3),(27 309531.75),(28 313781.84),(29 316173.75),(30 316850.8),(31 315211.03),(32 315070.28),(33 312992.88),(34 311903.03),(35 312007),(36 312583.25),(37 313760.1),(38 317137.1),(39 321218.47),(40 326574.94),(41 331226.63),(42 333502.34),(43 335356.44),(44 337107.97),(45 339108.5),(46 341640.13),(47 345639.6),(48 348603.47),(49 348651.63),(50 344717.3),(51 340387.3),(52 334055.2),(53 330181.16),(54 332694.47),(55 337170.2),(56 343141.78),(57 346250.13),(58 346961.56),(59 346274.47),(60 341953.94),(61 340836.9),(62 340507.7),(63 339378.56),(64 337614.63),(65 335071.53),(66 330431.25),(67 325187.44),(68 322719.1),(69 324206.1),(70 324894.63),(71 320996.97),(72 315647.97),(73 311918.53),(74 314841.2),(75 319053.44),(76 321701.06),(77 322464.75),(78 321057.88),(79 317771.8),
(1 38920.246),(2 100254.38),(3 153846.02),(4 191182.81),(5 217450.95),(6 237351.5),(7 249802.78),(8 255435.58),(9 259658),(10 264541.72),(11 271068.75),(12 277381.03),(13 281561.2),(14 287204.9),(15 294635.66),(16 296520.5),(17 293533.6),(18 288603.34),(19 283819.03),(20 281922.1),(21 283460.72),(22 286471.94),(23 287229.94),(24 287665.34),(25 289174.06),(26 295108.94),(27 300882.9),(28 304339.72),(29 310171.3),(30 317189.97),(31 322930.56),(32 323108.72),(33 311925.53),(34 303320.1),(35 300097.9),(36 300073.44),(37 299917.1),(38 299408.06),(39 302820.16),(40 309046.75),(41 314752.06),(42 319296.47),(43 322076.1),(44 324941.34),(45 328866.7),(46 333497.56),(47 337367.47),(48 339105.63),(49 338175.66),(50 332994.8),(51 328173.34),(52 322625.75),(53 319046.63),(54 319619.44),(55 324881.34),(56 332994.97),(57 338549.97),(58 340910.9),(59 341410.8),(60 341326.06),(61 346274.66),(62 352451.38),(63 355514.7),(64 355281.25),(65 353690.1),(66 351913.75),(67 348279.28),(68 345872.66),(69 345321.38),(70 342715.66),(71 336375.47),(72 332986.84),(73 335306.13),(74 339586.06),(75 343079.53),(76 341584.75),(77 338795.38),(78 339476.34),(79 339798.4),
(1 36108.07),(2 93725.76),(3 143202.78),(4 175715.19),(5 196362.11),(6 214926.2),(7 228565.44),(8 238975.1),(9 249703.89),(10 253914.36),(11 256937.94),(12 259683.02),(13 262585.53),(14 269540.8),(15 277159.3),(16 282396.28),(17 284498.03),(18 282575.25),(19 280520.28),(20 276273),(21 272935.78),(22 272769.44),(23 275575.4),(24 278359.28),(25 278749.78),(26 280193.53),(27 281560.1),(28 283952.6),(29 288871.97),(30 292829.34),(31 295357.78),(32 295007.75),(33 289761.3),(34 287876.22),(35 289280.7),(36 291558.6),(37 290070.63),(38 291673.44),(39 296090.94),(40 299438.56),(41 300473.94),(42 298218.47),(43 293902.06),(44 293068.1),(45 295169.9),(46 295616.16),(47 297781),(48 300812.34),(49 299668.34),(50 293028.78),(51 284824.72),(52 281871.53),(53 282079.97),(54 285955.84),(55 287301.97),(56 286636.97),(57 286618.44),(58 285809.78),(59 284321.38),(60 287189.47),(61 292690.78),(62 294643.78),(63 291692.88),(64 289074.63),(65 289218.44),(66 291878.34),(67 294433.47),(68 292654.03),(69 288805.53),(70 288521.38),(71 286469.78),(72 283798.34),(73 280874.25),(74 282468.8),(75 286445.8),(76 290663),(77 293853.22),(78 296586.03),(79 299919.13),
(1 37672.383),(2 95138.88),(3 141062.2),(4 170636.45),(5 193024.97),(6 212985.47),(7 229130.33),(8 241261.63),(9 249080.84),(10 251457.45),(11 254998.94),(12 262237.7),(13 269689.53),(14 275955.25),(15 279880.84),(16 279720.7),(17 280763.6),(18 279483),(19 281382),(20 286354.47),(21 290495.25),(22 292712.13),(23 294743.13),(24 298233.1),(25 298790.47),(26 297319.7),(27 295832.44),(28 290947.78),(29 287393.97),(30 289717.6),(31 299196.47),(32 302155.44),(33 297104),(34 292806.16),(35 289452.53),(36 290058.84),(37 291995.7),(38 295293.75),(39 296338.66),(40 297258.34),(41 297595.78),(42 297370.28),(43 296491.25),(44 294476.66),(45 289820.56),(46 287358.4),(47 288950.8),(48 291654.72),(49 292006.78),(50 289165.16),(51 287226.16),(52 285097.1),(53 288865.84),(54 293818.3),(55 293393.13),(56 291626.9),(57 293148.13),(58 299135.75),(59 307227.28),(60 309543.56),(61 307847.7),(62 306090.16),(63 305058.5),(64 303384.13),(65 303243.53),(66 303980.84),(67 303491.1),(68 302769.94),(69 303208.34),(70 300837.72),(71 301997.84),(72 305564.5),(73 303200.25),(74 298068.28),(75 295923.03),(76 299186.13),(77 301379.78),(78 299247.1),(79 294712.4),
(1 33548.41),(2 85186.83),(3 130294.49),(4 162991.95),(5 188278.86),(6 209573.42),(7 223608.34),(8 234961.53),(9 242837.77),(10 245667.56),(11 246127.22),(12 247741.38),(13 251040),(14 257033.88),(15 262996.38),(16 264757.16),(17 263335.2),(18 260692.64),(19 260632.3),(20 264422.1),(21 267557.6),(22 270392.03),(23 274845.13),(24 277867.5),(25 274994.88),(26 270969.4),(27 265837.5),(28 263372.53),(29 264187.75),(30 266275),(31 266131.63),(32 267514.94),(33 269513.4),(34 271657.97),(35 274575.47),(36 278919.2),(37 280577.22),(38 281959.7),(39 284124.88),(40 287327.4),(41 289851.1),(42 291153.13),(43 291932.5),(44 291389.9),(45 288136.8),(46 285211.63),(47 283389.5),(48 281773.94),(49 278165.97),(50 273544.25),(51 271314.06),(52 272852.28),(53 274666.78),(54 274033.38),(55 273314.78),(56 274159.78),(57 274174.1),(58 274551.28),(59 273897.63),(60 272842.88),(61 269122.13),(62 264504.13),(63 261541.48),(64 259965.6),(65 262069.1),(66 265766.5),(67 266735.97),(68 268430.3),(69 275007.56),(70 277671.28),(71 278605.3),(72 279365.66),(73 279705.75),(74 277862.53),(75 278573.56),(76 279180.44),(77 279798.1),(78 282557.53),(79 280437.16),
(1 34341.426),(2 87182.71),(3 130845.65),(4 160098.23),(5 181842.73),(6 200967.4),(7 214278.95),(8 228261.6),(9 236397.3),(10 239253.22),(11 239337.6),(12 240093.66),(13 241354.89),(14 243927.48),(15 246859.44),(16 249762.34),(17 250926.78),(18 252881.28),(19 254652.2),(20 256118.7),(21 257422.73),(22 258578.7),(23 261480.98),(24 265731.66),(25 269524.2),(26 270434.75),(27 270223.9),(28 272457.8),(29 277677.94),(30 279903.6),(31 276490.3),(32 273402.4),(33 271390.88),(34 269556.53),(35 268871.3),(36 269942.9),(37 272095.34),(38 274996.9),(39 275691.7),(40 275481.8),(41 277692.3),(42 281370.6),(43 281361.6),(44 279268.25),(45 278639.1),(46 278767.97),(47 279566.9),(48 277741.03),(49 274594.97),(50 273030.38),(51 269639.13),(52 269313.97),(53 269227.22),(54 272032.53),(55 275572.25),(56 276919.4),(57 278404.75),(58 283014.53),(59 287448.9),(60 287255.22),(61 284386.2),(62 281088.9),(63 279006.72),(64 276433.78),(65 273488.53),(66 272120.9),(67 271277.25),(68 270054.34),(69 273187.3),(70 274480.3),(71 273734.06),(72 269067.25),(73 264877.4),(74 265467.44),(75 271021.1),(76 275077.56),(77 278689.53),(78 283346.63),(79 284893.1),
(1 32231.885),(2 81260.086),(3 120488.12),(4 146686),(5 168087.7),(6 188819.83),(7 204649.16),(8 216149.14),(9 224497.1),(10 227013.53),(11 226868.13),(12 228570),(13 231047.66),(14 233485.23),(15 233513.88),(16 232873.4),(17 232077.94),(18 234146.44),(19 236554.14),(20 241720.73),(21 245613.8),(22 245176.98),(23 243843.14),(24 243874.47),(25 245899.8),(26 242821.75),(27 239765.6),(28 241044.28),(29 243011.45),(30 243964.28),(31 242546.28),(32 241387.4),(33 239725.94),(34 238062.25),(35 238970.92),(36 245484.06),(37 250454.86),(38 252910.78),(39 254014.69),(40 256691.27),(41 260282.44),(42 261130.06),(43 254322.47),(44 247380.97),(45 244732.19),(46 242365.5),(47 239154.17),(48 233587.08),(49 228911.77),(50 226309.16),(51 224692.8),(52 227045.86),(53 229337.66),(54 229907.16),(55 230337.92),(56 233050.78),(57 237588.02),(58 243693.64),(59 247345.95),(60 247322.4),(61 248610.92),(62 248851.88),(63 249096.56),(64 247274.73),(65 245726.95),(66 245876.14),(67 246253.77),(68 246867.34),(69 247310.4),(70 246719.63),(71 248345.17),(72 251426.9),(73 250886.67),(74 246263.28),(75 245819.83),(76 248833.31),(77 252584.3),(78 254911.28),(79 255189.83),
(1 32493.61),(2 82080.12),(3 120910.71),(4 144348.77),(5 161807.31),(6 183079.02),(7 199202),(8 208279.63),(9 215183.11),(10 221141.39),(11 223816.95),(12 223132.31),(13 224417.45),(14 228070.58),(15 231568.77),(16 232347.31),(17 231518.22),(18 231474.53),(19 233476.89),(20 238053.02),(21 243320.55),(22 247897.94),(23 251526.42),(24 253852.16),(25 254026.02),(26 252930.5),(27 253858.36),(28 254483.72),(29 255166.16),(30 254620.06),(31 247799.77),(32 241270.3),(33 235310.95),(34 232567.48),(35 235307.86),(36 240354.06),(37 241498.81),(38 242039.5),(39 243115.25),(40 245010.05),(41 246807.66),(42 243797.28),(43 236869.16),(44 232780.83),(45 231647.64),(46 228528.89),(47 224926.61),(48 223621.66),(49 224404.44),(50 225060.75),(51 224786.77),(52 227579.25),(53 230296.39),(54 232543.2),(55 232721.19),(56 234537.39),(57 238094.53),(58 241740.2),(59 243889.2),(60 247904.58),(61 251151.33),(62 253773.75),(63 256036.16),(64 254272.52),(65 252875.84),(66 253460.95),(67 254605.75),(68 257343.36),(69 258294.73),(70 257107.95),(71 253418.42),(72 250650.72),(73 247876.52),(74 247670.47),(75 246474.34),(76 249854.06),(77 255793.42),(78 257080.45),(79 255573.5),
(1 31942.018),(2 81474.81),(3 121216.625),(4 146594.47),(5 166477.56),(6 186144.14),(7 198859.05),(8 205359.75),(9 212045.92),(10 217145.19),(11 220376.28),(12 221592.33),(13 221648.4),(14 223451.95),(15 226201.78),(16 224304.81),(17 221212.61),(18 218936.6),(19 217089.06),(20 215090.6),(21 213325.14),(22 215303.92),(23 221623.31),(24 226307.19),(25 226569.39),(26 224669.34),(27 221907.73),(28 220660.55),(29 222705.22),(30 224213.98),(31 224344.58),(32 222613.13),(33 219050.13),(34 219054.6),(35 223495.4),(36 225731.72),(37 223848.2),(38 219989.48),(39 219062),(40 219491.14),(41 220631.89),(42 221354.94),(43 220064.88),(44 219792.6),(45 219559.66),(46 217672.88),(47 216870.08),(48 219556.72),(49 223361.75),(50 224301.25),(51 223240.55),(52 223940.58),(53 226126.6),(54 228547.11),(55 231542.89),(56 234878.28),(57 237107.14),(58 236728.11),(59 235481.52),(60 239064.28),(61 238451.16),(62 238785.98),(63 240109.95),(64 239211.33),(65 239031.11),(66 240279.27),(67 242003.92),(68 244445.95),(69 244342.45),(70 241287.31),(71 238726.92),(72 237677.92),(73 235430.2),(74 235327),(75 235143.88),(76 237355.05),(77 240146.58),(78 243213.38),(79 243023.95),
(1 33903.844),(2 85232.695),(3 121570.34),(4 140631.9),(5 156277.47),(6 175517.95),(7 187465.3),(8 192301.38),(9 192388.92),(10 192927.11),(11 194653.75),(12 196511.39),(13 198238.92),(14 200146.14),(15 202480.97),(16 204963.95),(17 209879.45),(18 215029.38),(19 216071.03),(20 214843.88),(21 217037.78),(22 222499.11),(23 226093.08),(24 226303.16),(25 223271.31),(26 222329.98),(27 218755.39),(28 213916.67),(29 211083.81),(30 210061.92),(31 207770.25),(32 207830.56),(33 210185.38),(34 212732.89),(35 216144.98),(36 216916.22),(37 214574.08),(38 213397.05),(39 213577.1),(40 213962.27),(41 213180.1),(42 210563.45),(43 210046.83),(44 209724.77),(45 208237.17),(46 206243.05),(47 205227.16),(48 207274.39),(49 209627.61),(50 209955.03),(51 209329.19),(52 210723.67),(53 214458.63),(54 218282.97),(55 218999.45),(56 217278.16),(57 214312.84),(58 213053.45),(59 214209.78),(60 218628.95),(61 222262.34),(62 223463.92),(63 224181.33),(64 225100.84),(65 225434.4),(66 224502.19),(67 224693.38),(68 225336.89),(69 225541.25),(70 222106.67),(71 219989.6),(72 219346.19),(73 218623.73),(74 218546.36),(75 218643.45),(76 219218.4),(77 219101.17),(78 220776.64),(79 219318.25),
(1 32392.154),(2 81764.95),(3 119377.266),(4 142752.78),(5 161820.81),(6 181302),(7 193840.13),(8 200538.61),(9 201941.23),(10 201713.34),(11 202633.27),(12 205171.58),(13 207664.16),(14 208922.44),(15 208895.03),(16 204637.98),(17 204714.98),(18 206112.17),(19 206615.45),(20 209432.08),(21 215920.88),(22 220124.39),(23 222383.05),(24 225698.06),(25 224958.75),(26 226273.75),(27 226104.55),(28 224847.2),(29 226718.72),(30 228018.42),(31 223872.98),(32 221418.14),(33 218719.45),(34 218157.23),(35 218643.27),(36 216539.36),(37 215245.31),(38 215381.83),(39 216743.78),(40 217275.4),(41 216262.23),(42 217032.88),(43 217760.2),(44 219291.58),(45 217823.92),(46 215337.03),(47 215468.31),(48 215948.67),(49 216294.3),(50 216871.31),(51 215743.94),(52 215667.53),(53 215698.42),(54 216998.17),(55 217382.42),(56 215265.64),(57 213818.6),(58 215545.78),(59 216783.61),(60 220534.61),(61 221795.27),(62 220348.55),(63 217178.58),(64 217224.9),(65 218046.42),(66 219837.94),(67 222134.77),(68 225341.34),(69 229024.39),(70 229814.77),(71 228744.88),(72 228989.03),(73 229997.2),(74 231510.42),(75 231523.5),(76 231832.58),(77 233742.97),(78 234760.53),(79 233528.77),
(1 29517.166),(2 72017.82),(3 104158.9),(4 126375.37),(5 147280.06),(6 165119.98),(7 175774.19),(8 179727.53),(9 183726.84),(10 185441.98),(11 186915.66),(12 190126.52),(13 192513.13),(14 192289.16),(15 189212.16),(16 187350.84),(17 188882.13),(18 190625.45),(19 189811.63),(20 189225.03),(21 192547.78),(22 196818.83),(23 197896.9),(24 196786.72),(25 196702.61),(26 199161.16),(27 204159.02),(28 207260.44),(29 207657.89),(30 204763.64),(31 200728.19),(32 198674),(33 198505.83),(34 199146.58),(35 200793.72),(36 202229.72),(37 202470.44),(38 203600.63),(39 204728.81),(40 202523.63),(41 200499.03),(42 199353.33),(43 201407.44),(44 202274.73),(45 200382.53),(46 199851.06),(47 201600.84),(48 203427.42),(49 203728.36),(50 203243.42),(51 203086.8),(52 203020.75),(53 199942.34),(54 196145.75),(55 196310.27),(56 195685.08),(57 194380.17),(58 195031.08),(59 196737.81),(60 198782.48),(61 200468.67),(62 200980.45),(63 202012.88),(64 202142),(65 203200.44),(66 205714.61),(67 208373.8),(68 209245.36),(69 209160.11),(70 210191.38),(71 210326.44),(72 209344.42),(73 210653.48),(74 214230.28),(75 216419.64),(76 217810.11),(77 219344.63),(78 220344.75),(79 218447.36),
(1 29319.367),(2 71302.54),(3 101628.586),(4 120321.984),(5 137360.77),(6 153134.64),(7 163614.31),(8 168682.36),(9 170292.19),(10 170181.5),(11 171459.66),(12 173665.67),(13 176492.34),(14 178521.94),(15 177772.08),(16 177797.77),(17 180014.19),(18 180948.25),(19 180301.61),(20 179352.64),(21 180010.02),(22 181547.88),(23 181838.86),(24 182407.58),(25 181067.16),(26 182448.67),(27 186503.4),(28 187384.25),(29 184492.7),(30 182399.27),(31 182792.56),(32 182615.34),(33 182621.03),(34 185518.88),(35 188219.81),(36 189790.02),(37 191869.56),(38 195533.89),(39 196378.75),(40 194122.77),(41 193796.88),(42 195090.52),(43 193551.7),(44 190401.27),(45 188492.81),(46 187170.13),(47 186958.64),(48 185697.97),(49 184980.2),(50 186135.44),(51 187375.44),(52 187170.72),(53 189843.78),(54 191175.81),(55 190917.66),(56 190290.25),(57 190338.02),(58 190238.83),(59 191422.48),(60 192408.33),(61 191765.52),(62 190412.28),(63 190372.2),(64 190062.83),(65 189961.98),(66 192438.94),(67 195873.86),(68 198399.23),(69 198961.3),(70 198193.47),(71 195480.67),(72 191484.88),(73 188649.47),(74 187906.36),(75 189445.45),(76 189800.02),(77 189485.98),(78 189992.55),(79 190508.36),
(1 26854.16),(2 64817.26),(3 92874.33),(4 112555.664),(5 129555.305),(6 143965.53),(7 152867.7),(8 157315.8),(9 158884.31),(10 159898.34),(11 161760.83),(12 165134.97),(13 167477.88),(14 168140.88),(15 167871.77),(16 168482.28),(17 167512.5),(18 167706.06),(19 167177.7),(20 165399.98),(21 167526.83),(22 171652),(23 173541.78),(24 175161.47),(25 179811.77),(26 183165.4),(27 186121.83),(28 189363.92),(29 190859.63),(30 190412.55),(31 186356.89),(32 185699.75),(33 187387.83),(34 189950.53),(35 190687.36),(36 190728.89),(37 193058.81),(38 194196.75),(39 192891.55),(40 192889.92),(41 195444.31),(42 195423.94),(43 192473.2),(44 188796.34),(45 187994.58),(46 188581.88),(47 188287.56),(48 186867.56),(49 186036.02),(50 187025.11),(51 189019.36),(52 193348.39),(53 194575.9),(54 194415.66),(55 194438.14),(56 193116.28),(57 192417.69),(58 193872.38),(59 195371.47),(60 194713.25),(61 194848.53),(62 194553.06),(63 195871.13),(64 197772.39),(65 198519.5),(66 198745.61),(67 199093.66),(68 199728.84),(69 198745.7),(70 199482.98),(71 198031.2),(72 198995.61),(73 200680.14),(74 200776.28),(75 200937.25),(76 201278.39),(77 201940.83),(78 202261.17),(79 201251.48),
(1 24915.693),(2 60605.746),(3 90118.73),(4 110997.65),(5 128027.51),(6 141595.92),(7 149032.23),(8 150120.66),(9 150634.08),(10 151980.22),(11 155288.17),(12 159760.52),(13 161007.13),(14 159500.94),(15 158685.8),(16 159693.03),(17 160163.3),(18 160109.39),(19 158922.11),(20 159132.78),(21 161493.16),(22 164708.1),(23 164673.55),(24 163508.98),(25 163061.17),(26 164333.27),(27 168564.94),(28 172877.23),(29 174681.38),(30 176299.27),(31 178759.19),(32 181949.5),(33 183538.78),(34 183666.64),(35 185238.67),(36 186844.72),(37 186052.6),(38 183634.03),(39 178643.81),(40 175743.44),(41 177043.78),(42 180391.64),(43 180694.14),(44 182103.9),(45 184092.97),(46 185871.83),(47 186359.06),(48 186307.86),(49 186001.36),(50 185595.78),(51 184900.5),(52 185476.95),(53 185683.33),(54 186280.22),(55 187931.34),(56 188462.97),(57 189387.14),(58 191499.88),(59 193877.44),(60 194863.88),(61 193817.81),(62 191121.34),(63 191336.36),(64 192243.9),(65 190837.78),(66 188832.92),(67 187610.53),(68 186647.75),(69 185755.48),(70 186190.45),(71 186043.97),(72 185646.5),(73 186153.6),(74 186123.56),(75 184949.52),(76 183287.67),(77 183260.25),(78 183385.28),(79 183164.19),
(1 24986.951),(2 61089.855),(3 90700.99),(4 112421.234),(5 129935.16),(6 143757.73),(7 150487.95),(8 152641.2),(9 154104.17),(10 155824.6),(11 158308.98),(12 160718.17),(13 162021.13),(14 161214.11),(15 161038.81),(16 160877.45),(17 161912.84),(18 163300.06),(19 164010.9),(20 166124.39),(21 168906.4),(22 169134.1),(23 166810.66),(24 165765.39),(25 167583.8),(26 169767.05),(27 171498.67),(28 172247.53),(29 172794.11),(30 174692.63),(31 175861.05),(32 177239.81),(33 175239.97),(34 173431.1),(35 174060.88),(36 173421.6),(37 172372.47),(38 171624.52),(39 170387.94),(40 168398.3),(41 168031.44),(42 169198.42),(43 169283.33),(44 168999.66),(45 166579.2),(46 165716.31),(47 165340.06),(48 164715.42),(49 164345.25),(50 164784.84),(51 166104.6),(52 167311.55),(53 167184.69),(54 167663.84),(55 169192.98),(56 170354.8),(57 173262.52),(58 177090.14),(59 178845),(60 177043.53),(61 177721.95),(62 177619.53),(63 177173.39),(64 176894.97),(65 175591.66),(66 174902.66),(67 176265.14),(68 177582.7),(69 176516.53),(70 175161.53),(71 174371.16),(72 173136.17),(73 172330.14),(74 172840.95),(75 174012.66),(76 174735.94),(77 174466.17),(78 171393.23),(79 170057.45),
(1 24032.129),(2 57788.13),(3 84329.35),(4 103411.484),(5 118817.53),(6 132257.44),(7 139733.36),(8 143498.17),(9 144332.78),(10 147088.73),(11 149921.89),(12 151463.25),(13 152050.25),(14 153196.67),(15 155313.78),(16 156734.5),(17 157225.44),(18 158993.9),(19 159726.92),(20 161203.27),(21 163068.94),(22 162143.83),(23 161733.27),(24 164384.1),(25 167440.83),(26 167049.78),(27 167558.83),(28 168473.73),(29 168015.14),(30 167300.48),(31 164837.78),(32 164719.66),(33 163366.08),(34 162051.08),(35 160423.69),(36 159066.88),(37 158507.48),(38 157216.92),(39 156329.31),(40 155171.56),(41 155867.61),(42 155812.1),(43 155353.16),(44 155856.03),(45 154789.22),(46 152350.17),(47 150749.61),(48 149271.34),(49 149499.05),(50 149725.42),(51 147702.81),(52 145614.84),(53 145942.23),(54 147758),(55 151006.14),(56 154664.64),(57 158749.69),(58 162783.14),(59 164150.28),(60 163486.38),(61 162715.4),(62 162768.73),(63 162035.89),(64 160297.69),(65 158518.28),(66 156743.17),(67 155785.98),(68 155020.92),(69 154897.14),(70 153623.11),(71 152525.89),(72 151677.22),(73 151716.42),(74 153437.56),(75 155322.11),(76 154631.39),(77 153705.47),(78 155378.63),(79 156207.03),
(1 23716.434),(2 56878.434),(3 82174.16),(4 99177.76),(5 111685.4),(6 123839.81),(7 128670.586),(8 129948.125),(9 132335.38),(10 134205.05),(11 135874.36),(12 138847.08),(13 141554.89),(14 143405.75),(15 145564.47),(16 146843.73),(17 149853.97),(18 152888.34),(19 153489.23),(20 153761.48),(21 153824.66),(22 154904.69),(23 157404.03),(24 161896.42),(25 164345.98),(26 165928.56),(27 166728.9),(28 166109.05),(29 164840.45),(30 162853.33),(31 158886.64),(32 155869.13),(33 152775.2),(34 151759.72),(35 152168.88),(36 150878.8),(37 150171.5),(38 150484.75),(39 150728.23),(40 151339.83),(41 152403.61),(42 152124.69),(43 153158.81),(44 155033.28),(45 155927.42),(46 157030.23),(47 158909.34),(48 158421.66),(49 157265.83),(50 155619.73),(51 154936.88),(52 154531.3),(53 157284.22),(54 160620.08),(55 163912.16),(56 167020.02),(57 169228.72),(58 170241.44),(59 169786.98),(60 168238.23),(61 168532.92),(62 169211.28),(63 170055.33),(64 171061.31),(65 171402.78),(66 171207.69),(67 171837.78),(68 172616.52),(69 172990.63),(70 172359.33),(71 172650.39),(72 173836.38),(73 173756.28),(74 174326.98),(75 174912.5),(76 173733.81),(77 171470.14),(78 168543.36),(79 164051.11),
