1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 114255.46),(2 221001.23),(3 331838.2),(4 387908.34),(5 523272.6),(6 701961.5),(7 876763.5),(8 841722.8),(9 882427.7),(10 951233.06),(11 984074.3),(12 922474.8),(13 918091.7),(14 976569.2),(15 981302.2),(16 991517.3),(17 986909.25),(18 1076241),(19 1128285.1),(20 1180304.9),(21 1202184),(22 1255953.9),(23 1318091),(24 1382296.9),(25 1399808),(26 1436873),(27 1508901),(28 1565401.6),(29 1637799.6),(30 1657420.5),(31 1714800.6),(32 1811369.4),(33 1970134.6),(34 1958990),(35 1980926),(36 1991465.4),(37 2073880.6),(38 1992827),(39 1925245.4),(40 1853256.1),(41 1812138.6),(42 1766508.9),(43 1706106.4),(44 1651991.4),(45 1606194.5),(46 1535402.1),(47 1485478.1),(48 1456857),(49 1519614.6),(50 1504579),(51 1443202.4),(52 1457630.4),(53 1504423.4),(54 1547216.6),(55 1550621.6),(56 1535003.6),(57 1631723.6),(58 1630272),(59 1638542.4),(60 1577478.6),(61 1582361),(62 1630271),(63 1630434.9),(64 1579126),(65 1538209),(66 1599158),(67 1680504.6),(68 1634296.4),(69 1661047),(70 1689385.1),(71 1754982.4),(72 1787021.6),(73 1849323),(74 1928653),(75 2020078.4),(76 2036019.6),(77 2087212.5),(78 2116014.8),(79 2176664.3),
(1 40652.45),(2 110575.13),(3 184146),(4 253300.44),(5 324434.97),(6 378368.53),(7 417483),(8 444994.75),(9 470745.38),(10 487804.28),(11 500607.6),(12 511663.88),(13 522573),(14 529012.3),(15 533065.2),(16 537626.2),(17 540688.8),(18 537938),(19 535102.8),(20 533331.3),(21 528211.06),(22 524692.3),(23 528618.1),(24 532168.3),(25 536066.2),(26 538627.3),(27 545483),(28 547686.94),(29 547766.8),(30 543434.6),(31 541788.06),(32 536584.75),(33 534531.06),(34 532946.94),(35 534406.4),(36 536038.75),(37 541282.2),(38 539332.2),(39 539749.2),(40 538129.2),(41 532980.4),(42 526316.1),(43 518825.4),(44 515070.06),(45 514842.22),(46 513908.53),(47 517701.8),(48 520726.75),(49 524224.72),(50 523068.03),(51 525445),(52 523195.9),(53 525314.94),(54 523173.53),(55 524301.44),(56 524813.7),(57 524962.8),(58 522348.25),(59 522159.22),(60 520607.84),(61 519442.34),(62 517464.88),(63 518342.88),(64 515359.9),(65 510670.72),(66 504304.28),(67 500206.84),(68 494907.5),(69 494865.53),(70 495910.63),(71 502715.6),(72 507405.53),(73 515658.16),(74 518774.6),(75 526735.1),(76 527709.56),(77 528898.5),(78 529298.3),(79 530813.44),
(1 39794.52),(2 108906.74),(3 182397.17),(4 255256.72),(5 331035.22),(6 391200.25),(7 436443.75),(8 467491.66),(9 490264.6),(10 502362.22),(11 507771.72),(12 508100.84),(13 508862.25),(14 506638.66),(15 504282.53),(16 505318.97),(17 514998.3),(18 521515.06),(19 526914.44),(20 536086.5),(21 539980.2),(22 543602.75),(23 549267.9),(24 553910.75),(25 561032.7),(26 566707.94),(27 575144.9),(28 579248.6),(29 581472),(30 577168.9),(31 573055.9),(32 560214.44),(33 551831.06),(34 544178.1),(35 536675.75),(36 534825.56),(37 539099.25),(38 538888.1),(39 539488.1),(40 539178.4),(41 535818.56),(42 529318.56),(43 525089.56),(44 521890.63),(45 520527.8),(46 514676.84),(47 509255.88),(48 500748.7),(49 494549.16),(50 487271.8),(51 488249.06),(52 487776.44),(53 493213.3),(54 498501.06),(55 503336.1),(56 502560.3),(57 499573.88),(58 496528.88),(59 491364.13),(60 487566.34),(61 489446.63),(62 493601.9),(63 499605.88),(64 503861.16),(65 506894.8),(66 504010.56),(67 499936.56),(68 495680.88),(69 497564.44),(70 500521.97),(71 507620.44),(72 511470.03),(73 518958.66),(74 521559.3),(75 528223.06),(76 530124.4),(77 531827.75),(78 531924.1),(79 533782.75),
(1 41788.227),(2 113679.42),(3 188468.38),(4 260259.8),(5 333382.2),(6 391719.47),(7 436662.2),(8 471060.94),(9 497412.2),(10 513912.03),(11 521676.06),(12 525862.4),(13 530413.3),(14 530653.25),(15 529061.2),(16 528207.9),(17 529881.2),(18 521893.06),(19 519254.2),(20 522003.97),(21 523374.88),(22 529634.7),(23 540291),(24 547306),(25 553244.9),(26 559378.8),(27 567018.2),(28 569147.06),(29 572642.1),(30 573281.7),(31 579083.4),(32 576612.9),(33 576382.7),(34 574730.75),(35 570905.7),(36 563655.1),(37 558672.9),(38 553452.56),(39 547857.3),(40 544225.2),(41 540326.25),(42 536642.3),(43 534838.6),(44 533220.94),(45 535032.75),(46 536589.75),(47 538584.9),(48 534778.7),(49 532218.5),(50 526340.3),(51 521992.13),(52 513244.03),(53 508227.4),(54 504819.25),(55 506269.06),(56 505670.3),(57 507562.9),(58 509430.2),(59 510969.13),(60 511518.53),(61 510216.94),(62 508783.16),(63 508806.75),(64 507322.13),(65 505714.16),(66 504192.13),(67 504303.25),(68 504066.38),(69 505003.1),(70 504221.22),(71 506540.94),(72 503011.1),(73 504806.3),(74 506333.03),(75 515040),(76 522802.34),(77 529965),(78 534029.75),(79 538943.56),
(1 41538.348),(2 113868.56),(3 190253.9),(4 260451.3),(5 326040.6),(6 375370.94),(7 411575.75),(8 440340.78),(9 463709.06),(10 477118.53),(11 484303.66),(12 485049.88),(13 487123.97),(14 488025.84),(15 489213.03),(16 493849.34),(17 495894.03),(18 492910.3),(19 492083.75),(20 501525.84),(21 509759.1),(22 520793.28),(23 538715.5),(24 549826.44),(25 557945.56),(26 561356.25),(27 567822.56),(28 565153.7),(29 561602.6),(30 556238.06),(31 556179.5),(32 549579.6),(33 548811.3),(34 549393.3),(35 550917.2),(36 551484.8),(37 553718),(38 553411.25),(39 554324.2),(40 554436.9),(41 552385),(42 547810.4),(43 544703.6),(44 537618.6),(45 531701.1),(46 523782.16),(47 520376.03),(48 509943.38),(49 504994.3),(50 500414.8),(51 501849.97),(52 497602.03),(53 495870.3),(54 492799.4),(55 494282.3),(56 493342.78),(57 494801.88),(58 494437.44),(59 497469.97),(60 495748.78),(61 492392.6),(62 489013.84),(63 488725.34),(64 485383.34),(65 481139.66),(66 479610.88),(67 482238.34),(68 484181.44),(69 486810.75),(70 487063.84),(71 488153.63),(72 478927.4),(73 473029.63),(74 465204.5),(75 462891.78),(76 459230.38),(77 459330.47),(78 461684.78),(79 466459.97),
(1 42301.35),(2 115226.73),(3 191007.25),(4 262064.23),(5 330358.3),(6 378576.2),(7 413791.84),(8 439553.2),(9 461848.78),(10 477238.5),(11 485907.97),(12 491402.9),(13 494687.28),(14 493269.47),(15 489119.06),(16 490126.56),(17 490157.63),(18 492679.9),(19 496934.53),(20 506275.16),(21 511402.7),(22 518734.47),(23 527675.5),(24 528936),(25 527138.3),(26 521969.9),(27 522171.4),(28 518318.2),(29 516118.97),(30 515461),(31 519024.72),(32 519009.34),(33 519804.03),(34 519589.75),(35 521251.8),(36 518149.6),(37 516796.6),(38 514392.47),(39 513497.47),(40 506837.53),(41 499997.2),(42 492102.47),(43 487141.8),(44 480733.06),(45 478514.03),(46 477445.8),(47 481097.3),(48 483317.28),(49 489663.13),(50 495314.1),(51 506277.63),(52 510120.44),(53 516153.1),(54 519023.38),(55 522196.13),(56 518753.97),(57 518212.56),(58 515888.34),(59 516795.4),(60 515502.72),(61 515175.66),(62 508996.1),(63 506303.75),(64 503903),(65 502664.03),(66 503787.16),(67 505709),(68 507929.38),(69 510302.38),(70 510846.56),(71 513313.75),(72 505587.88),(73 501627.97),(74 495248.88),(75 494573.88),(76 489714.03),(77 487333.78),(78 486446.2),(79 485914.63),
(1 39868.12),(2 108398.39),(3 181166.14),(4 249534.34),(5 317116.34),(6 368345.56),(7 409157.25),(8 441798.13),(9 467792.2),(10 486481.7),(11 498442.2),(12 506157.5),(13 509963.56),(14 509722.34),(15 508979.13),(16 509836.72),(17 509337.3),(18 509790.9),(19 511775.8),(20 520792.22),(21 524936.94),(22 528701.25),(23 532407.9),(24 531882),(25 529738.8),(26 528061.94),(27 529091.3),(28 527842.44),(29 526574.25),(30 524213.84),(31 525644.1),(32 522065.25),(33 520385),(34 519859.75),(35 519094.75),(36 515976.2),(37 515228.6),(38 512796.22),(39 512780.22),(40 511982.88),(41 506814.9),(42 499790.34),(43 492285.4),(44 483870.3),(45 479326.25),(46 474978.44),(47 474530.28),(48 471952.9),(49 471898.25),(50 471892.38),(51 475493.47),(52 477716.47),(53 483760.8),(54 489118.8),(55 497364.9),(56 500245.28),(57 504809.53),(58 504484.4),(59 505671.28),(60 502087.5),(61 494611.4),(62 487003.8),(63 486176),(64 483546.94),(65 484184.88),(66 486071.8),(67 490535.8),(68 492752.6),(69 498544.8),(70 504850.97),(71 514535.28),(72 517628.97),(73 523861.8),(74 526622.06),(75 531326.75),(76 529936.44),(77 529184.4),(78 526013.2),(79 522024.8),
(1 38435.43),(2 104855.59),(3 174244.05),(4 239812.28),(5 304179.44),(6 353494.97),(7 393811.13),(8 426064.25),(9 452647.8),(10 468656),(11 478566.63),(12 481953.06),(13 484321.8),(14 483825.6),(15 483176.9),(16 483952.5),(17 485696.2),(18 482358.78),(19 483281.75),(20 487020.28),(21 484396.22),(22 485454.75),(23 492653.3),(24 493839.94),(25 492392.66),(26 487583.3),(27 485369.7),(28 479562.84),(29 475013.6),(30 469372),(31 468349.34),(32 468656.84),(33 470938.47),(34 470797.94),(35 472964.63),(36 473790.38),(37 476946.13),(38 473665.7),(39 474852.06),(40 477896.25),(41 478621.4),(42 477740.3),(43 476625.38),(44 474373.4),(45 476065.44),(46 475522.2),(47 477479.13),(48 477881.78),(49 481752.28),(50 483336.3),(51 490807.1),(52 494546.5),(53 500067.3),(54 502687.3),(55 505906.53),(56 506531.2),(57 509880.06),(58 509016.88),(59 509241.3),(60 508236.06),(61 504603.5),(62 499702.94),(63 502145.13),(64 502894.38),(65 503997.25),(66 504488.13),(67 503791.1),(68 499325.47),(69 498189.4),(70 495337.72),(71 497642.75),(72 496614.38),(73 496192.03),(74 492775.3),(75 492462.47),(76 490573.5),(77 487673.25),(78 484557.72),(79 482155.06),
(1 42415.805),(2 115153.875),(3 189465.84),(4 257668.03),(5 323584.38),(6 372119.63),(7 410253.3),(8 437452.9),(9 457518.03),(10 469435),(11 476658.5),(12 480761.78),(13 483845.3),(14 484374.44),(15 485207.28),(16 486840.7),(17 490823.4),(18 493132.16),(19 498703.5),(20 502929.16),(21 504695.94),(22 501354.4),(23 502347.97),(24 497204.63),(25 490227.97),(26 483190.47),(27 482765.47),(28 479323.44),(29 480423.25),(30 484259),(31 492369.5),(32 491898.78),(33 495519.3),(34 502552.16),(35 506805.2),(36 507544.7),(37 513050.97),(38 514121.56),(39 514699.47),(40 512744.06),(41 507232.53),(42 498659.66),(43 486992.06),(44 475132.13),(45 468043.28),(46 461155.56),(47 459976.16),(48 458311.03),(49 460975.25),(50 460797.4),(51 464824.44),(52 466819.88),(53 469699.3),(54 467256.38),(55 464138.28),(56 456830.13),(57 453306.78),(58 449395.06),(59 450848.6),(60 450173.9),(61 451244.72),(62 449756.25),(63 450307.63),(64 449545.38),(65 446917.88),(66 444386.47),(67 444288.34),(68 441024.4),(69 444485.03),(70 444574.63),(71 448885.66),(72 448855),(73 452207.7),(74 450692.34),(75 451001.03),(76 449065.75),(77 450583.28),(78 451199.6),(79 455744.6),
(1 39217.98),(2 104900.305),(3 170384.56),(4 229907.02),(5 286917.4),(6 326621.28),(7 355788.34),(8 380513.1),(9 405184.03),(10 423192.72),(11 433622.5),(12 440048.6),(13 445215.4),(14 446204.78),(15 444511.53),(16 442445.13),(17 441432.28),(18 437810.2),(19 437875.53),(20 439905.13),(21 442091.78),(22 442804.78),(23 450022.9),(24 451771.66),(25 451880.47),(26 449188.53),(27 453085.13),(28 451957.7),(29 452154.9),(30 451223.1),(31 455682.16),(32 451334.3),(33 450572.8),(34 451664.47),(35 455100.03),(36 456062.72),(37 463118.56),(38 465887.38),(39 469931.63),(40 470166.13),(41 470533.94),(42 466205.34),(43 462700.34),(44 457783.3),(45 455137.3),(46 453099.5),(47 455492.22),(48 456576.78),(49 459553.97),(50 460661.94),(51 465493.66),(52 463671.7),(53 462116.53),(54 458534.25),(55 456153.84),(56 451031.8),(57 449086.34),(58 447934.5),(59 454956.1),(60 458899.03),(61 461228.25),(62 461020.8),(63 460906.34),(64 457621.94),(65 453389.38),(66 452729.9),(67 452564.25),(68 449395.75),(69 448283.3),(70 447425.56),(71 451355.4),(72 451999.66),(73 456484.47),(74 454917.75),(75 456702.88),(76 455340.34),(77 453760.3),(78 453116.3),(79 450310.34),
(1 37181.355),(2 99513.91),(3 163108.94),(4 219927.89),(5 272785.13),(6 309895.44),(7 335960.22),(8 358658.25),(9 378137.03),(10 389321.97),(11 394617.63),(12 396789.63),(13 399378.8),(14 400396.88),(15 402573.56),(16 404604.75),(17 405248.13),(18 402623.6),(19 404348.44),(20 406229.78),(21 407867.16),(22 407892.72),(23 413753.97),(24 418630.53),(25 421750.88),(26 425209.2),(27 434104.16),(28 438265.47),(29 442855.44),(30 443796.28),(31 447772.72),(32 445191.56),(33 442822.97),(34 442748.84),(35 440373.13),(36 436570.94),(37 438716.22),(38 437433.97),(39 441821.13),(40 443343.2),(41 448274.6),(42 450662.22),(43 453665.34),(44 454432.22),(45 454607.38),(46 449808.16),(47 446142.16),(48 439139.88),(49 436204.97),(50 430637.25),(51 430986.44),(52 428146.13),(53 426604.66),(54 424419.16),(55 427942.53),(56 427877.78),(57 427285.34),(58 427338.38),(59 430455.78),(60 429326.25),(61 427866.25),(62 427299.4),(63 429579.2),(64 428009.53),(65 424957.13),(66 423384.47),(67 421076.8),(68 418356.94),(69 419646.8),(70 423530.78),(71 432973.38),(72 435568.44),(73 439242.03),(74 437668.38),(75 437518.16),(76 435222.97),(77 432587.22),(78 431905.88),(79 430848.78),
(1 40390.496),(2 108395.62),(3 177635.88),(4 242616.88),(5 305834.56),(6 351335.13),(7 384380.2),(8 408980.88),(9 427347.13),(10 437719.38),(11 440151.5),(12 439011.3),(13 438887.56),(14 436038.97),(15 435339.06),(16 441373.03),(17 449929.16),(18 456518.88),(19 463121.88),(20 473109.16),(21 477122.28),(22 475905.28),(23 479049.78),(24 479765.16),(25 478303.03),(26 474991.3),(27 477007.34),(28 474486.4),(29 473532.25),(30 468355.2),(31 467116.16),(32 462460.47),(33 458564.16),(34 454611.1),(35 454470.06),(36 453290.25),(37 456299.13),(38 456339.7),(39 461226.53),(40 463171.88),(41 465137.72),(42 462957.3),(43 462135.88),(44 458830.34),(45 456528.6),(46 451404.47),(47 449810.2),(48 449023.66),(49 449982.16),(50 447653.5),(51 450218.28),(52 451175.7),(53 455606.1),(54 456226.2),(55 459232.3),(56 461999.75),(57 468347.75),(58 471889.94),(59 475728.06),(60 474362.66),(61 471084.38),(62 466931.47),(63 464930.6),(64 461764),(65 462280.22),(66 465538.22),(67 468612.6),(68 468846.63),(69 469242.44),(70 465739.72),(71 466319.03),(72 461788.22),(73 461200.7),(74 457845.8),(75 458690.6),(76 456192.66),(77 455098.88),(78 455169.1),(79 459001.66),
(1 38039.94),(2 102072.305),(3 168009.64),(4 227506.66),(5 281651.72),(6 319708.63),(7 346244.97),(8 365055.44),(9 380057.6),(10 389017.75),(11 393375.94),(12 393975.2),(13 393679.28),(14 391624.3),(15 392425.72),(16 397855.9),(17 401384.28),(18 402854.03),(19 404724.84),(20 413972.84),(21 417605.63),(22 421185.3),(23 427535.63),(24 428434.03),(25 427476.75),(26 425978.28),(27 426295.63),(28 422804.7),(29 420157.6),(30 417652.7),(31 419245.94),(32 417074.13),(33 416962.97),(34 417163.38),(35 419405.22),(36 416782.53),(37 416505.94),(38 412225.34),(39 412845.97),(40 412723.3),(41 410594.03),(42 406620.88),(43 405710.03),(44 404166.25),(45 408180.13),(46 411071.47),(47 415818.34),(48 416503.88),(49 417377.44),(50 414823.13),(51 413988.1),(52 410697.3),(53 411940.84),(54 410784.06),(55 414656.6),(56 416298.28),(57 419535.66),(58 419729.03),(59 421356.75),(60 421497.38),(61 424404.72),(62 427718.9),(63 433915.44),(64 436182.66),(65 439373.47),(66 438829.06),(67 436727.16),(68 434067.97),(69 435262.78),(70 432971.56),(71 435511.22),(72 433641.9),(73 434175.72),(74 431021.4),(75 434242.13),(76 436395.25),(77 439981.8),(78 442756.84),(79 443561.06),
(1 41086.434),(2 109786.71),(3 178993.47),(4 240448.83),(5 297766.03),(6 339587.6),(7 371100.88),(8 392731.5),(9 411992.06),(10 423889.66),(11 431804.22),(12 434846.03),(13 434629.1),(14 428701.72),(15 423336.1),(16 419068),(17 416186.47),(18 411931.5),(19 411062.97),(20 414661.66),(21 416626.78),(22 423115.2),(23 432480.8),(24 436650.44),(25 437972.72),(26 435782.88),(27 434130.1),(28 428990.22),(29 426919.7),(30 424571.97),(31 429627.4),(32 429184.6),(33 435185.53),(34 441970.47),(35 447934.9),(36 451351.1),(37 456186.38),(38 456801),(39 456386.4),(40 450925.1),(41 445475.6),(42 435426.44),(43 427775.47),(44 418149.3),(45 414017.97),(46 410873.3),(47 411693.2),(48 413389.7),(49 417223.66),(50 418986.5),(51 421823.6),(52 419440.38),(53 419588.56),(54 416803.8),(55 415501.88),(56 413347),(57 411329.9),(58 405756.75),(59 402253.22),(60 400748.72),(61 401937.47),(62 404441.1),(63 411074.72),(64 415102.78),(65 418142.7),(66 416950.25),(67 416146.47),(68 412647.78),(69 412653.63),(70 413372.53),(71 419791.94),(72 421349.63),(73 426114.34),(74 426685.38),(75 429443.1),(76 426702.38),(77 424027.63),(78 422801.1),(79 420614.8),
(1 38308.813),(2 100378.45),(3 165018.14),(4 221587.64),(5 274065.9),(6 311407.9),(7 339211.06),(8 357221.53),(9 369451.3),(10 377323.8),(11 380722.13),(12 381350.38),(13 379802.78),(14 376904.38),(15 374060.3),(16 374526.94),(17 374075.1),(18 373680),(19 376178.72),(20 385277.56),(21 388223.38),(22 389169.3),(23 396675.6),(24 398274.56),(25 400570.56),(26 401127.2),(27 405044.88),(28 401012.6),(29 401316),(30 398253.06),(31 400171.66),(32 395596.28),(33 393374.94),(34 389592.47),(35 386659.97),(36 384146.53),(37 385761.13),(38 387438.97),(39 389168.28),(40 385371.28),(41 383820.94),(42 380619.72),(43 380295.6),(44 379747.1),(45 381323.44),(46 378048.8),(47 378194.2),(48 374476.2),(49 374026.47),(50 368964),(51 367652.94),(52 363504.1),(53 363487.7),(54 365132),(55 369452.13),(56 371348.72),(57 375115.47),(58 374345.06),(59 372786.94),(60 369303.53),(61 367861.9),(62 368157.94),(63 373553.6),(64 376148.94),(65 382649.03),(66 386175.66),(67 391592.78),(68 394889.6),(69 399434.72),(70 401389.53),(71 407921.16),(72 411142.03),(73 414994.78),(74 414555.44),(75 417062.63),(76 414526.72),(77 413134.4),(78 411673.78),(79 412384.4),
(1 38742.027),(2 102442.56),(3 168306.67),(4 224873.98),(5 275979.13),(6 312221.16),(7 339928.34),(8 357778.72),(9 369609.2),(10 376171.56),(11 380072.53),(12 383342.4),(13 385007.1),(14 385706.13),(15 386588),(16 387611.44),(17 388363.03),(18 384166.47),(19 380447.66),(20 380584.88),(21 379301.63),(22 382138.25),(23 388518.06),(24 393433.25),(25 396265.47),(26 396956.6),(27 399044.47),(28 396988.22),(29 397825.63),(30 397288.9),(31 401494.28),(32 404351.53),(33 405894.03),(34 406103.03),(35 406171.3),(36 403670.03),(37 405424.53),(38 404237),(39 406514.66),(40 401588.5),(41 398195.47),(42 394734.63),(43 394464.8),(44 393985.88),(45 398178.22),(46 400076.9),(47 403486.9),(48 405033.03),(49 406938.3),(50 403878.28),(51 404428.78),(52 405238.34),(53 407609.34),(54 406853.97),(55 406326.72),(56 403922.28),(57 404420.44),(58 401808.72),(59 403865.25),(60 401914.34),(61 404709.5),(62 403380.44),(63 406260.7),(64 404192.5),(65 405373.53),(66 405608.06),(67 404891.22),(68 403109.03),(69 405605.03),(70 408165.75),(71 413059.63),(72 413906.06),(73 414851.06),(74 410217.3),(75 405337.72),(76 400857.66),(77 399717.7),(78 399027.97),(79 398812.3),
(1 38105.164),(2 102177.87),(3 167067.05),(4 219840.47),(5 266331.4),(6 298795.78),(7 326482.1),(8 345552.72),(9 360872.4),(10 367610.25),(11 368922.8),(12 366483.47),(13 365293.7),(14 366787.47),(15 368436.94),(16 371625.9),(17 372634.16),(18 372143),(19 369689.94),(20 368597.63),(21 364786.97),(22 360662.06),(23 362686.8),(24 362064.25),(25 363549.16),(26 361374.94),(27 364184.6),(28 363720.72),(29 366602.3),(30 368327.63),(31 375949.97),(32 378787.66),(33 379919.47),(34 377367.22),(35 374293.66),(36 370253.78),(37 369973.4),(38 368112.25),(39 368844.1),(40 365526.75),(41 363772.28),(42 360382.63),(43 359203.13),(44 356908.16),(45 358280.1),(46 355743.75),(47 357550.22),(48 357034.75),(49 357499.9),(50 357057.34),(51 361616.75),(52 362496.88),(53 364847.4),(54 364103.47),(55 366821.63),(56 368181.78),(57 370609.03),(58 373104.66),(59 380213.03),(60 383327.84),(61 383335.75),(62 382345.9),(63 383500.16),(64 383634.1),(65 388810.25),(66 391907.22),(67 394306.6),(68 395573.66),(69 397865.7),(70 397823.06),(71 400941.34),(72 400170.03),(73 400482.34),(74 397260.28),(75 394361.53),(76 392426.5),(77 393818.97),(78 395478.06),(79 398155.94),
(1 39636.75),(2 104798.63),(3 169138.11),(4 221209.77),(5 268142.34),(6 301400.8),(7 325212.88),(8 342622.4),(9 357537.88),(10 367205.3),(11 371543.53),(12 372680.3),(13 374723.13),(14 377050.53),(15 379572.78),(16 382256.72),(17 384844.13),(18 385145.3),(19 386110.6),(20 388638.13),(21 388024.4),(22 385530.28),(23 388152.44),(24 387761.34),(25 389615.53),(26 388280.53),(27 393215.1),(28 392384.5),(29 395182.53),(30 397768.66),(31 404900.9),(32 403761.97),(33 402656.53),(34 401240.47),(35 396655.28),(36 390421.3),(37 390110.63),(38 388912.78),(39 391785.7),(40 391486.9),(41 395417.53),(42 397485.72),(43 398894),(44 396986.66),(45 396753.28),(46 394030.47),(47 393971.06),(48 393423.94),(49 393293.28),(50 387116.2),(51 384814.28),(52 378888.97),(53 375765.34),(54 370220.8),(55 367595.1),(56 364526.94),(57 365144.8),(58 363698.56),(59 364442.72),(60 364506.4),(61 365387.13),(62 367357.88),(63 370510.6),(64 370641.2),(65 371815.94),(66 372441.6),(67 373307.9),(68 374675.78),(69 378096.28),(70 378478.66),(71 382684.28),(72 385309.06),(73 390625.3),(74 392404.63),(75 396482.72),(76 397732.97),(77 402610.47),(78 404172.06),(79 406705.56),
(1 37461.637),(2 100387.97),(3 164969.69),(4 220474.73),(5 268796.34),(6 300155.72),(7 324894.63),(8 344633.25),(9 360316.47),(10 367479.22),(11 370639.34),(12 370208.75),(13 370443.34),(14 371195.97),(15 372973.03),(16 376360),(17 380016.75),(18 381215.8),(19 381528.34),(20 376514.63),(21 369424.25),(22 361075.9),(23 359025.88),(24 356384.56),(25 359966.34),(26 360905.44),(27 367871.8),(28 367950.72),(29 370710.38),(30 369925.47),(31 373973.47),(32 373428.2),(33 376417.1),(34 378500.16),(35 379594.16),(36 374070.38),(37 371228.6),(38 370416.28),(39 373011.6),(40 369779.94),(41 370941.78),(42 369128.56),(43 367906.97),(44 364674.72),(45 365374.8),(46 362666.28),(47 360572.16),(48 359225.66),(49 358652.47),(50 355415.28),(51 356226.06),(52 354315.66),(53 355824.5),(54 353830.2),(55 355841),(56 353679.16),(57 352963.38),(58 351590.03),(59 354518.94),(60 358105.38),(61 363283.1),(62 366080.72),(63 368968.44),(64 368576.25),(65 368954.28),(66 366831.78),(67 364898.16),(68 359821.88),(69 358807.88),(70 355338.53),(71 358594.97),(72 358817.34),(73 364490.4),(74 365182.97),(75 368101.34),(76 367768.13),(77 372329.72),(78 373137.3),(79 374805.6),
